당진시,唐津市 (忠清南道)
가온 디지털 종합 차트,ガオンデジタル綜合チャート
대한민국 풋살 국가대표팀,フットサル大韓民国代表
과천역,果川駅
은광여자고등학교,恩光女子高等学校
인천연수경찰서,仁川延寿警察署
극동대학교,極東大学校
대한민국 금융감독원,大韓民国金融監督院
"1차, 2차 원주 전투",第1次・第2次原州の戦い
대한민국의 경제 개발 5개년 계획,韓国の五カ年計画
정림사지 오층석탑,扶餘定林寺址五層石塔
부산교통공사,釜山交通公社
대한럭비협회,大韓ラグビー協会
KBS경인방송센터,KBS京仁放送センター
서울 경전철 동북선,ソウル軽電鉄東北線
서울 경전철 신림선,ソウル軽電鉄新林線
서울 경전철 우이신설선,ソウル軽電鉄牛耳新設線
재벌,財閥 (韓国)
써클 차트,サークルチャート
휠라,フィラ
경기과학고등학교,京畿科学高等学校
대한민국 국가청렴위원회,大韓民国国家清廉委員会
대한민국 제16대 대통령 선거,2002年大韓民国大統領選挙
대한민국 제15대 대통령 선거,1997年大韓民国大統領選挙
경남 FC,慶南FC
한성대입구역,漢城大入口駅
주안역,朱安駅
산본역,山本駅
회현역,会賢駅
인덕원역,仁徳院駅
성신여대입구역,誠信女大入口駅
대곡-소사선,大谷-素砂線
서울특별시의 시내버스,ソウル特別市の市内バス
한국폴리텍대학 반도체융합캠퍼스,韓国ポリテク大学・安城キャンパス
한국폴리텍대학 바이오캠퍼스,韓国ポリテク大学・バイオキャンパス
함백산,咸白山
태풍 볼라벤,平成24年台風第15号
강강술래,カンガンスルレ
대한민국의 경제,大韓民国の経済
대구복현초등학교,大邱伏賢初等学校
구암역,九岩駅
노은역,老隠駅
반석역,盤石駅
월드컵경기장역,ワールドカップ競技場駅
유성온천역,儒城温泉駅
지족역,智足駅
현충원역,顕忠院駅
서대전네거리역,西大田ネゴリ駅
오룡역,五龍駅
중구청역,中区庁駅
중앙로역,中央路駅
정부청사역,政府庁舎駅
구절역,九切駅
기동역,奇洞駅
공주역,公州駅
동백정역,冬栢亭駅
삼산역,三山駅
석교역,石橋駅
선장역,仙掌駅
성거역,聖居駅
신도역,新都駅
뚜레쥬르,トゥレジュール
부석사,浮石寺
국군정보사령부,国軍情報司令部
당신의 여자,あなたの女
대한민국의 에너지,大韓民国のエネルギー
대한민국 미식축구 국가대표팀,アメリカンフットボール大韓民国代表
송학역,松鶴駅 (忠清北道)
연박역,硯朴駅
원박역,院朴駅
가릉역,佳陵駅 (旧駅)
가동역,佳洞駅
가은역,加恩駅
간현역,艮峴駅
갈촌역,葛村駅
개양역,開陽駅 (慶尚南道)
경북풍산역,慶北豊山駅
경포대역,鏡浦台駅
고지역,古池駅
고평역,高坪駅
공덕리역,孔徳里駅
광대리역,広大里駅
교원역,校原駅
구랑리역,九郎里駅
구마산역,旧馬山駅
군산부두역,群山埠頭駅
군산항역,群山港駅
군자역,君子駅
금문역,琴聞駅
금오산역,金烏山駅
김포역,金浦駅
인천 유나이티드 FC,仁川ユナイテッドFC
전남 드래곤즈 FC,全南ドラゴンズ
제주월드컵경기장,済州ワールドカップ競技場
성남 FC,城南FC
한반도 통일,朝鮮統一問題
경복궁,景福宮
대구스타디움,大邱スタジアム
수원 삼성 블루윙즈,水原三星ブルーウィングス
가야대학교,加耶大学校
대한민국 민주평화통일자문회의,民主平和統一諮問会議
신천지예수교 증거장막성전,新天地イエス教証しの幕屋聖殿
대한민국–러시아 관계,韓露関係
이랜드그룹,イーランドグループ
EBS 국제다큐영화제,EBS国際ドキュメンタリー映画祭
부처님 오신 날,灌仏会
핸드볼코리아리그,ハンドボール韓国リーグ
한국물가정보배 프로기전,物価情報杯プロ棋戦
한,恨
대구 국제 육상 경기 대회,カラフル大邱選手権大会
SK텔레텍,SKテレテック
타타대우상용차,タタ大宇
대한민국의 대통령 목록,大韓民国の大統領の一覧
호미곶면,虎尾串面
숭례문,崇礼門
경주 월성,半月城
원더걸스,ワンダーガールズ
황악산,黄嶽山
황학동,黄鶴洞
황매산,黄梅山
황석산,黄石山
화왕산,火旺山
효창공원,孝昌公園
한국불교태고종,太古宗
해운대 엘시티 더샵,ヘウンデLCTザ・シャープ・ランドマーク・タワー
충정로역,忠正路駅
1992년 하계 올림픽 대한민국 선수단,1992年バルセロナオリンピックの韓国選手団
둔촌동역,遁村洞駅
영등포시장역,永登浦市場駅
합정역,合井駅
남동임해공업지역,南東臨海工業地域
거여동,巨余洞
대한민국-독일 관계,独韓関係
금당천,金塘川
금대봉,金台峰
금당산,金堂山
금강대학교,金剛大学校
금곡동,金谷洞
금전산,金銭山
금학산,金鶴山
왕방산,旺方山
2011년 서울특별시장 보궐선거,2011年ソウル市長補欠選挙
구포역 열차 전복 사고,亀浦駅列車転覆事故
블루홀 스튜디오,Bluehole
SK에너지,SKエナジー
아미산,峨嵋山
경희대학교 천문대,慶熙天文台
가로림조력발전소,加露林潮力発電所
가야산,伽耶山
가야산,伽倻山 (忠清南道)
경상공업고등학교,慶尚工業高校
거제포로수용소,巨済島捕虜収容所
거망산,挙網山
검봉산,剣峰山
검단산,黔丹山
검마산,剣馬山
거문산,巨文山
제주 유나이티드 FC,済州ユナイテッドFC
현대카드,現代カード
HDC현대산업개발,HDC現代産業開発
인천 현대제철 레드엔젤스 WFC,現代製鉄レッドエンジェルズ
협성고등학교,協成高等学校
제3군단,第3軍団
이천종합운동장,利川総合運動場
이촌동,二村洞
걸프 전쟁의 다국적 연합군,連合
AFC 챔피언스리그 2011 결승전,AFCチャンピオンズリーグ 2011 決勝
동래읍성지,東萊邑城
대한합기도협회,大韓合気道協会
써클차트 뮤직 어워즈,サークルチャートミュージックアワード
황오동,皇吾洞
불국동,皇南洞
국토지리정보원,韓国地理情報院
국립지도박물관,地図博物館
특례시,特例市
호구포역,虎口浦駅
연수역,延寿駅
철도의 날,鉄道の日
횡성고등학교,横城高等学校
대구내당초등학교,大邱内唐初等学校
대구노전초등학교,大邱蘆田初等学校
대구대곡초등학교,大邱大谷初等学校
대구도원초등학교,大邱挑原初等学校
대구본리초등학교,大邱本里洞初等学校
대구상원초등학교,大邱上源初等学校
대구상인초등학교,大邱上仁初等學校
대구성곡초등학교,大邱城谷初等学校
김포국제공항,金浦国際空港
제주국제공항,済州国際空港
동예천역,東醴泉駅
동촌역,東村駅 (韓国鉄道公社)
두원역,杜院駅
마성역,麻城駅
마전역,麻田駅
마평역,麻坪駅
마항역,馬項駅
만성역,万聖駅
만수역,万水駅
망월역,望月駅
매류역,梅柳駅
매산역,梅山駅
명산역,明山駅
무촌역,茂村駅
문학역,文鶴駅
미룡역,美龍駅
미산역,眉山駅
미생정역,弥生町駅
미양역,薇陽駅
미평역,美坪駅
박람회역,博覧会駅
반구역,盤邱駅
반야월역,半夜月駅 (韓国鉄道公社)
방송소앞역,放送所前駅
벽도역,碧桃駅
기장 죽성리왜성,機張竹城里倭城
1996년 한국시리즈,1996年の韓国シリーズ
1992년 한국시리즈,1992年の韓国シリーズ
1999년 한국시리즈,1999年の韓国シリーズ
1988년 한국시리즈,1988年の韓国シリーズ
1993년 한국시리즈,1993年の韓国シリーズ
1989년 한국시리즈,1989年の韓国シリーズ
1990년 한국시리즈,1990年の韓国シリーズ
1991년 한국시리즈,1991年の韓国シリーズ
1997년 한국시리즈,1997年の韓国シリーズ
1987년 한국시리즈,1987年の韓国シリーズ
1986년 한국시리즈,1986年の韓国シリーズ
1984년 한국시리즈,1984年の韓国シリーズ
1994년 한국시리즈,1994年の韓国シリーズ
1998년 한국시리즈,1998年の韓国シリーズ
1983년 한국시리즈,1983年の韓国シリーズ
대한민국-이탈리아 관계,伊韓関係
재약산,載薬山
2002년 아시안 게임 테니스,2002年アジア競技大会におけるテニス競技
레일크루즈 해랑,ヘラン
대한민국,大韓民国 (年号)
잠실동,蚕室洞
잠실제1수영장,第1水泳場
장안산,長安山
대한민국의 아이돌,K-POPアイドル
대한민국 축구 국가대표팀,サッカー大韓民国代表
대한민국의 인구순 도시 목록,大韓民国の都市の一覧
한국방송공사,韓国放送公社
섬진강,蟾津江
1988년 하계 올림픽 하키,1988年ソウルオリンピックのホッケー競技
1988년 하계 올림픽 양궁,1988年ソウルオリンピックのアーチェリー競技
금주산,金珠山
금성면,金城面
금오산 (경상북도),金烏山
금물산,今勿山
금수산 (충청북도),錦繡山 (忠清北道)
금탑사,金塔寺
근산,近山
기백산,箕白山
김천종합운동장,金泉総合運動場
국립김해박물관,国立金海博物館
김해외국어고등학교,金海外国語高等学校
김포외국어고등학교,金浦外国語高等学校
김포선,金浦線
한림대학교,翰林大学校
호남고속도로,湖南高速道路
서울외국어고등학교,ソウル外国語高等学校
부경대학교,釜慶大学校
칼빈대학교,カルビン大学校
숙명여자대학교,淑明女子大学校
고신대학교,高神大学校
월출산,月出山
공주대학교,公州大学校
경남과학기술대학교,慶南科学技術大学校
신화,神話
덕수궁,徳寿宮
부산국제영화제,釜山国際映画祭
서울예술대학교,ソウル芸術大学校
배재대학교,培材大学校
총신대학교,総神大学校
을지대학교,乙支大学校
인제대학교,仁済大学校
경인교육대학교,京仁教育大学校
국립강릉원주대학교,国立江陵原州大学校
한밭대학교,ハンバッ大学校
일민미술관,一民美術館
일월산,日月山 (朝鮮)
이매동,二梅洞
인천공항 자기부상철도,仁川空港磁気浮上鉄道
인천 차이나타운,仁川チャイナタウン
인천 대한항공 점보스,仁川大韓航空ジャンボス
인등산,人燈山
대한민국-인도 관계,印韓関係
중소기업은행 축구단,中小企業銀行サッカーチーム
서울대학교병원,ソウル大学校病院
한국산업은행,韓国産業銀行
민주당,民主党
청주공업고등학교,清州機械工業高等学校
포항 전투,浦項の戦い
대전선,大田線
부산아시아드주경기장,釜山アジアド主競技場
대전월드컵경기장,大田ワールドカップ競技場
울산문수축구경기장,蔚山文殊サッカー競技場
문화방송,文化放送
깃대봉 (홍도),キッテ峰
고불산,古仏山
고대산,高台山
고고산,高古山
고적산,高積山
곡달산,鵠達山
금관총,金冠塚
골굴사,骨窟寺
곰봉,コム峰
공덕산 (경상북도),功徳山
공산동,公山洞
굿네이버스,グッドネーバーズ
청심국제고등학교,清心国際高等学校
대관령면,大関嶺面
한국복지대학교,韓国福祉大学校
2AM,2AM
대한민국의 기업 목록,韓国の企業一覧
지평역,砥平駅
일신역 (양평),日新駅
매곡역,梅谷駅
양동역,楊東駅
삼산역,三山駅 (京畿道)
서원주역,西原州駅
동화역,桐華駅
만종역,万鍾駅
원주역,原州駅
월곶역,月串駅
소래포구역,蘇莱浦口駅
서울신문,ソウル新聞
소프트맥스,ソフトマックスゲームソフト
경성대학교,慶星大学校
수원대학교,水原大学校
전주대학교,全州大学校
서울광장,ソウル広場
대한민국 미래창조과학부,未来創造科学部
고래산,高崍山
고리봉,コリ峰
고루포기산,コルポギ山
고려산,高麗山
고성공룡박물관,固城恐竜博物館
정부대전청사,政府大田庁舎
고양외국어고등학교,高陽外国語高等学校
그랜드 하얏트 서울,グランドハイアットソウル
구암고등학교 (대구),鳩岩高等学校
월악산,月岳山
대구교육대학교,大邱教育大学校
대한민국 기상청,大韓民国気象庁
한경대학교,韓京国立大学校
성공회대학교,聖公会大学校
제헌절,制憲節
속리산,俗離山
흥인지문,興仁之門
자유민주연합,自由民主連合
대한민국 공군사관학교,韓国空軍士官学校
청주교육대학교,清州教育大学校
서울과학기술대학교,ソウル科学技術大学校
목포대학교,国立木浦大学校
대한민국 육군사관학교,韓国陸軍士官学校
한국철도대학,韓国鉄道大学
군산대학교,群山大学校
진주교육대학교,晋州教育大学校
전주교육대학교,全州教育大学校
부산교육대학교,釜山教育大学校
국가보안법,国家保安法
구병산,九屏山
구담봉,亀潭峰
구기동,旧基洞
국사봉,国師峰
구미동,九美洞
의정부 KB손해보험 스타즈,議政府KB損害保険スターズ
구나무산,クナム山
국망봉,国望峰
궁정동,宮井洞
국망봉,国望峰
구룡산,九龍山
구왕봉,九王峰
과천외국어고등학교,果川外国語高等学校
대한민국 제20대 국회의원 선거,第20代総選挙
1991년 대한민국 지방 선거,1991年韓国地方議会議員選挙
제1회 전국동시지방선거,第1回全国同時地方選挙
제2회 전국동시지방선거,第2回全国同時地方選挙
제3회 전국동시지방선거,第3回全国同時地方選挙
대한민국 제4회 지방 선거,第4回全国同時地方選挙
제6회 전국동시지방선거,第6回全国同時地方選挙
가마봉,可馬峰
감악산 (경기),紺岳山
강북고등학교,江北高等学校
강천산,剛泉山
강화 매화마름 군락지,江華ヒメバイカモ群落
한국프로농구 2004-05,KBL 2004-05
한국프로농구 2005-06,KBL 2005-06
한국프로농구 2006-07,KBL 2006-07
10·26 사건,朴正煕暗殺事件
대한민국 경찰청,大韓民国警察庁
제2경인고속도로,第二京仁高速道路
동해고속도로,東海高速道路
대한민국 식품의약품안전처,食品医薬品安全処
경인고속도로,京仁高速道路
대한민국 보건복지부,保健福祉部
1988년 하계 올림픽 펜싱,1988年ソウルオリンピックのフェンシング競技
1988년 하계 올림픽 유도,1988年ソウルオリンピックの柔道競技
1988년 하계 올림픽 테니스,1988年ソウルオリンピックのテニス競技
제주항공,済州航空
설악산,雪嶽山
금정산,金井山
용인대학교,龍仁大学校
병영역,兵営駅
보문역,普門駅
복암역,福巌駅
부산잔교역,釜山桟橋駅
북광주역,北光州駅
불정역,仏井駅
빈정역,浜汀駅
사천역,泗川駅
산양역,山陽駅 (慶尚北道)
대한민국의 광역시,広域市
일산구,一山区
대한민국 제17대 대통령 선거,2007年大韓民国大統領選挙
롯데그룹,ロッテグループ
창경궁,昌慶宮
판소리,パンソリ
대한민국 정보통신부,情報通信部
아시아리그 아이스하키,アジアリーグアイスホッケー
LG디스플레이,LGディスプレイ
서울숲,ソウルの森
대전남부순환고속도로,大田南部循環高速道路
대한민국의 람사르 등록 습지,韓国のラムサール条約登録地
부안경찰서,扶安警察署
계성고등학교 (대구),啓聖（ケイソン）高等学校
김앤장 법률사무소,キム＆チャン法律事務所
고구려대학교,高句麗大学校
개혁국민정당,改革国民政党
한국항공대학교,韓国航空大学校
항공사고조사위원회,韓国航空事故調査委員会
한국침례신학대학교,浸礼神学大学校
한국학술지인용색인,韓国学術誌引用索引
대한석탄공사,大韓石炭公社
대한크리켓협회,大韓クリケット協会
한국전기연구원,韓国電気研究院
한국승강기안전관리원,韓国乗降機安全公団
전국실업축구선수권대회,全国実業サッカー選手権大会
농심,農心
경북선,慶北線
명지대학교,明知大学校
엔씨소프트,NCSOFT
2011~2012년 대한민국 프로 농구,KBL 2011-12
1997~1998년 대한민국 프로 농구,KBL 1997-98
1998~1999년 대한민국 프로 농구,KBL 1998-99
1999~2000년 대한민국 프로 농구,KBL 1999-2000
제1보병사단,第1歩兵師団
한성대학교,漢城大学校
대원씨아이,大元 C.I.
티머니,Tマネー
백제 금동대향로,百済金銅香炉
논산천안고속도로,論山-天安高速道路
대한민국 법무부,法務部
상명대학교,祥明大学校
교북동,橋北洞
해신당 공원,海神堂公園
해운대 아이파크,海雲台アイパーク
대원여객,大元旅客
대원교통,大元交通
학산공원,鶴山公園
한라홀딩스,HLグループ
한라대학교,漢拏大学校
한라산국립공원,漢拏山国立公園
대구북부초등학교,大邱北部初等学校
대구산격초등학교,大邱山格初等学校
대구서변초등학교,大邱西辺初等学校
대구성북초등학교,大邱城北初等学校
대구팔달초등학교,大邱八達初等学校
대구학남초등학교,大邱鶴南初等学校
미아리 텍사스,ミアリテキサス
한국의 역법,朝鮮の暦
대부도,大阜島
괘방산,卦榜山
괘관산,掛冠山
광덕산,広徳山
광교산,光教山
광희문,光熙門
광화문광장,光化門広場
광주기아챔피언스필드,光州起亜チャンピオンズフィールド
광주고등학교 (광주),光州高等学校 (光州広域市)
광주과학고등학교,光州科学高等学校
광통관,広通館
관룡산,観龍山
귀목봉,鬼木峰
계룡산국립공원,鶏龍山国立公園
대구성산초등학교,大邱城山初等学校
대구성서초등학교,大邱城西初等学校
대구성지초등학교,大邱城池初等学校
대구신서초등학교,大邱新西初等学校
대구신흥초등학교,大邱新興初等学校
대구와룡초등학교,大邱臥龍初等学校
대구용산초등학교,大邱龍山初等学校
코스피 지수,韓国総合株価指数
계방산,桂芳山 (慶尚南道)
계족산 (대전),鶏足山
계족산 (강원),鶏足山
경각산,鯨角山
경호강,鏡湖江
경주분지,慶州盆地
경주민속공예촌,慶州民俗工芸村
경주시민운동장,慶州市民運動場
경주향교,慶州郷校
강릉 아이스 아레나,江陵アイスアリーナ
경상감영,慶尚監営
경평축구대항전,京平対抗蹴球戦
경신고등학교,慶信高等学校
수요시위,水曜デモ
프로토자동차,プロト自動車
서울종합운동장,蚕室総合運動場
2007년 한국프로야구,2007年の韓国プロ野球
2008년 한국프로야구,2008年の韓国プロ野球
제주국제자유도시개발센터,済州国際自由都市開発センター
제주고등학교,済州高等学校
제주국제자유도시방송,済州放送
국립제주박물관,国立済州博物館
제주종합경기장,済州スタジアム
적선동,積善洞
점봉산 (강원),点鳳山
정동,貞洞 (ソウル特別市)
정동진,正東津
정자동,亭子洞
전주방송,全州放送
대한민국 대통령,大韓民国大統領
장전동,長箭洞
장지동,長旨洞
장산,萇山
장태산,長泰山
대한민국–일본 관계,日韓関係
제주오라종합경기장 야구장,済州吾羅総合競技場野球場
한일 해저 터널,日韓トンネル
전북 현대 모터스 FC,全北現代モータース
승정원일기,承政院日記
수원야구장,水原総合運動場野球場
수도권제1순환고속도로,首都圏第一循環高速道路
충무로,忠武路
평택제천고속도로,平沢-堤川高速道路
신평역,新平駅
인천국제공항고속도로,仁川国際空港高速道路
전라선,全羅線
양원역,養源駅
울산고속도로,蔚山高速道路
1992년 세계 주니어 육상 선수권 대회,1992年世界ジュニア陸上競技選手権大会
2011년 세계 태권도 선수권 대회,2011年世界テコンドー選手権
무주덕유산리조트,茂朱徳裕山リゾート
순천만국제정원박람회,2013順天湾国際庭園博覧会
한려대학교,漢麗大学校
한남동,漢南洞
한성고등학교,漢城高等学校
한화솔루션,ハンファケミカル
한양사이버대학교,漢陽サイバー大学
한영외국어고등학교,漢栄外国語高等学校
대한민국의 보건,韓国の医療
희원엔터테인먼트,ヒウォンエンタテインメント
희양산,㬢陽山
헤럴드 미디어,ヘラルド経済
2010~2011년 대한민국 프로 농구,KBL 2010-11
9·15 대한민국 대규모 정전 사건,2011年韓国大停電
2000~2001년 대한민국 프로 농구,KBL 2000-01
대한민국 프로 농구 2001-02,KBL 2001-02
2002년 FIFA 월드컵 B조,2002 FIFAワールドカップ・グループB
한국프로농구 2003-04,KBL 2003-04
한국해양수산연수원,韓国海洋水産研修院
한국과학기술정보연구원,韓国科学技術情報研究院
한국무역협회,韓国貿易協会
한국해양수산개발원,韓国海洋水産開発院
한국현대의상박물관,韓国現代衣装博物館
국립수목원,国立樹木園
내셔널축구선수권대회,ナショナルサッカー選手権大会
태릉국가대표선수촌,泰陵選手村
나사렛대학교,ナサレン大学校
한국폴리텍III대학 춘천캠퍼스,韓国ポリテクⅢ大学・春川キャンパス
한국폴리텍IV대학,韓国ポリテクⅣ大学
한국폴리텍IV대학 대전캠퍼스,韓国ポリテクⅣ大学・大田キャンパス
한국폴리텍VII대학 부산캠퍼스,韓国ポリテクⅦ大学・釜山キャンパス
마사박물관,韓国馬事会馬の博物館
한국연구재단,韓国研究財団
한국생명공학연구원,韓国生命工学研究院
한국표준과학연구원,韓国標準科学研究院
주금산,鋳錦山
주교동,舟橋洞
주흘산,主屹山
죽전동,竹田洞
서울교통네트워크,ソウル交通ネットワーク
중랑천,中浪川
중원산,中元山
주왕산,周王山
낙성대경제연구소,落星台経済研究所
울산중부경찰서,蔚山中部警察署
울산남부경찰서,蔚山南部警察署
울산광역시경찰청,蔚山地方警察庁
울산광역시 소방본부,蔚山消防本部
울산동부경찰서,蔚山東部警察署
울산울주경찰서,蔚山蔚州警察署
행궁,行宮
대한민국 행정중심복합도시건설청,行政中心複合都市建設庁
서귀포경찰서,西帰浦警察署
논산경찰서,論山警察署
곡성경찰서,谷城警察署
대한민국과 일본국간의 재산 및 청구권에 관한 문제의 해결과 경제협력에 관한 협정,財産及び請求権に関する問題の解決並びに経済協力に関する日本国と大韓民国との間の協定
군위경찰서,軍威警察署
군포경찰서,軍浦警察署
진보당,進歩党
도봉운전면허시험장,道峰運転免許試験場
도농복합시,都農複合形態市
예천경찰서,醴泉警察署
석전대제,釈奠
김천경찰서,金泉警察署
김포경찰서,金浦警察署
김해동부소방서,金海東部消防署
부산 여고생 연쇄 성폭행 사건,釜山女子高校生連続性暴行事件
부산영도경찰서,釜山影島警察署
부산일본인학교,釜山日本人学校
코리아헤럴드,コリア・ヘラルド
마이산,馬耳山道立公園
한국천문연구원,韓国天文研究院
진락산,進楽山
진부면,沈富面
국립진주박물관,国立晋州博物館
지리산 (통영),智異山 (蛇梁島)
조계산,曹渓山
대한민국 합동참모본부,合同参謀本部
종로타워,鍾路タワー（ミレニアムタワー）
중동고등학교,中東高等学校
태백산맥,太白山脈
1988년 하계 올림픽 배구,1988年ソウルオリンピックのバレーボール競技
순천대학교,順天大学校
영동고속도로,嶺東高速道路
중앙고속도로,中央高速道路
양정역,養正駅
현대해상화재보험,現代海上火災保険
부산 교두보 전투,釜山橋頭堡の戦い
경주 국제 마라톤,慶州国際マラソン
남한산성,南漢山城
반제민족민주전선,反帝民族民主戦線
2002년 아시안 게임 배드민턴,2002年アジア競技大会におけるバドミントン競技
한반도,朝鮮半島
쌍용그룹,双竜グループ
쌍용C&E,双竜セメント工業
서부운수,西部運輸
학생독립운동 기념일,学生独立運動記念日
스튜디오 미르,スタジオミール
수내동,藪内洞
인터파크,Interpark
한국국제대학교,韓国国際大学校
국제 백신 연구소,国際ワクチン研究所
입북동,笠北洞
대한민국-이란 관계,イランと大韓民国の関係
북위 38도선,北緯38度線
대구 FC,大邱FC
내셔널리그,ナショナルリーグ
경원선,京元線
용두산공원,龍頭山公園
충북선,忠北線
용인한국외국어대학교 부설고등학교,龍仁韓国外国語大学校付設高等学校
서울 삼성 썬더스,ソウル三星サンダース
부산 해군기지,釜山海軍作戦基地
부산광역시 소방재난본부,釜山消防本部
정교회 성모희보성당,釜山生神女福音聖堂
철원소방서,鉄原消防署
철원경찰서,鉄原警察署
금산경찰서,錦山警察署
금강 나들목,錦江インターチェンジ
진천경찰서,鎮川警察署
장성경찰서,長城警察署
장흥경찰서,長興警察署
음성경찰서,陰城警察署
영광소방서,霊光消防署
영광경찰서,霊光警察署
영암소방서,霊岩消防署
영암경찰서,霊岩警察署
청양경찰서,青陽警察署
한국33관음성지,韓の国三十三観音聖地
한국DMZ학회,韓国DMZ学会
대한민국의 흡연,韓国の喫煙
한국콘텐츠진흥원,韓国コンテンツ振興院
한국교통방송,韓国交通放送
한국지명학회,韓国地名学会
한국여성노동자회,韓国女性労働者会
한국도서(섬)학회,韓国島嶼学会
KTV 국민방송,KTV国民放送
대한민국–미국 관계,米韓関係
대한민국 남자 배구 국가대표팀,バレーボール大韓民国男子代表
한국대중음악상,韓国大衆音楽賞
경기대학교,京畿大学校
대학로,大学路
대한민국 예비군,大韓民国郷土予備軍
탑골공원,タプコル公園
녹양역,緑楊駅
통합진보당,統合進歩党
덕정역,徳亭駅
지행역,紙杏駅
흑석산,黒石山
한국공항공사,韓国空港公社
2017년 FIFA U-20 월드컵,2017 FIFA U-20ワールドカップ
호남고속도로지선,湖南高速道路支線
홍대앞,弘大前
홍릉수목원,洪陵樹木園
전국교직원노동조합,全国教職員労働組合
용주사,龍珠寺
경전선,慶全線
사하역,沙下駅
민주공화당,民主共和党
한국민주당,韓国民主党
한글 학회,ハングル学会
시화호조력발전소,始華湖潮力発電所
낙산사,洛山寺
첨성대,慶州瞻星台
2009~2010년 대한민국 프로 농구,KBL 2009-10
2010년 한국프로야구,2010年の韓国プロ野球
U리그 2010,同年のUリーグ
호미곶,虎尾串
한화에어로스페이스,ハンファエアロスペース
캠프 호비,キャンプ・ハヴィー
카투사,カトゥサ
1982년 아시안 게임 대한민국 선수단,1982年アジア競技大会韓国選手団
웨스틴 조선호텔,ウェスティン朝鮮ホテル
JYP 엔터테인먼트,JYPエンターテインメント
서울 모터쇼,ソウルモーターショー
대구국제공항,大邱国際空港
전주월드컵경기장,全州ワールドカップ競技場
1988년 하계 올림픽 탁구,1988年ソウルオリンピックの卓球競技
한국수자원공사,韓国水資源公社
KC-100,KC-100 (航空機)
KBS 제2라디오,KBS第2ラジオ
KCC (기업),KCC
한국전력기술,韓国電力技術
태백레이싱파크,太白レーシングパーク
2013년 코리아 그랑프리,2013年韓国グランプリ
인천삼산경찰서,仁川三山警察署
대한민국의 일반 국도,韓国の国道
치앙마이 이니셔티브,チェンマイ・イニシアティブ
월미도,月尾島
Gugak FM,国楽FM放送
논산역,論山駅
KBS청주방송총국,KBS清州放送総局
한류월드,韓流ワールド
가야선,伽倻線
KBS충주방송국,KBS忠州放送局
논현동 고시원 살인 사건,論峴洞考試院放火殺人事件
대한민국 제3대 민의원의원 선거,第3代総選挙
양재천,良才川
서울특별시청,ソウル特別市庁
FA컵 2012,韓国FAカップ 2012
소백산국립공원,小白山国立公園
한반도 군사 분계선,38度線
부산일보,釜山日報
디알무비,DR MOVIE
대한민국면,面
대한민국의 리,里
변산,辺山
한탄강역,漢灘江駅
케이조선,STX造船海洋
대전 한국철도 FC,大田コレイル
CJ그룹,CJグループ
한상수자수박물관,韓尙洙刺繍博物館
하나회,ハナフェ
하남읍,下南邑
한강로동,漢江路洞
한일은행 축구단,韓一銀行FC
12·12 군사 반란,粛軍クーデター
전남일보,全南日報
G마켓,Gmarket
양화대교,楊花大橋
주민등록번호,住民登録番号
계방산,桂芳山
각계역,覚渓駅
한국인터넷진흥원,韓国インターネット振興院
환경운동연합,環境運動連合
봉선사,奉先寺
대한민국 제4대 국회의원 선거,第4代総選挙
전국체육대회,大韓民国全国体育大会
국기에 대한 맹세,国旗への宣誓
한국교육개발원,韓国教育開発院
한국영상자료원,韓国映像資料院
중앙해양안전심판원,海洋安全審判院
민족사관고등학교,民族史観高等学校
대한장애인체육회,大韓障碍人体育会
경찰 야구단,警察野球団
아산 무궁화 FC,安山警察庁サッカー団
KR모터스,S&Tモータース
대한민국의 금융기관 목록,大韓民国の銀行の一覧
지리산,智異山
서면역,西面駅
남산 케이블카,南山ケーブルカー
김해국제공항,金海国際空港
주월한국군사령부,駐越韓国軍司令部
울산과학대학교,蔚山科学大学
사천소방서,泗川消防署
통영소방서,統営消防署
거제소방서,巨済消防署
산청소방서,山清消防署
의령소방서,宜寧消防署
함양소방서,咸陽消防署
함안소방서,咸安消防署
단군기원,檀君紀元
거창소방서,居昌消防署
목포대교,木浦大橋
김화역,金化駅
합천소방서,陜川消防署
중부내륙순환열차,中部内陸循環列車
백두대간협곡열차,白頭大幹峡谷列車
비동역,肥洞駅
계명대학교,啓明大学校
하이원 서울가요대상,ソウル歌謡大賞
대한민국 특허청,特許庁
동두천역,東豆川駅
OBS경인TV,OBS京仁テレビ
동두천중앙역,東豆川中央駅
덕계역,徳渓駅
우정사업본부,大韓民国郵政事業本部
에이핑크,Apink
보산역,保山駅
경희궁,慶熙宮
동구릉,東九陵
호원대학교,湖原大学
펜타시큐리티,ペンタセキュリティシステムズ
대한민국-헝가리 관계,ハンガリーと大韓民国の関係
대덕전파천문대,大徳電波天文台
태기산,泰岐山
대구텍,テグテック
태화강,太和江
태화산,太華山
대전방송,大田放送
태광그룹,テグァングループ
탑사,塔寺
대한민국의 방송사,韓国のテレビ
청라언덕역,青蘿の丘駅
의정부 전투,議政府の戦い
서울특별시경찰청,ソウル特別市警察庁
대전대학교,大田大学校
무안광주고속도로,務安-光州高速道路
삼성카드,サムスンカード
동작대교,銅雀大橋
평택파주고속도로,平沢-華城高速道路
서광주역,西光州駅
삼성의료원,三星医療院
을지로,乙支路
국사편찬위원회,国史編纂委員会
식목일,植木日
