Dortmund,多特蒙德
Husum,胡苏姆
Ingelheim am Rhein,莱茵河畔英格尔海姆
Kreis Düren,迪伦县
Kreis Euskirchen,奥伊斯基兴县
Ditzingen,迪钦根
Neues Schloss Herrenchiemsee,海伦基姆湖宫
Klindworth-Scharwenka-Konservatorium,克林德沃特-沙尔文卡音乐学院
Benediktinerabtei St. Maximin vor Trier,聖馬克西姆修道院
Friedrichstadt,腓特烈施塔特
Todtnau,托特瑙
Urft,烏爾夫特河
Landkreis Mittelsachsen,中萨克森县
Landkreis Zwickau,茨维考县
Nuclear Blast,核爆唱片
Landkreis Görlitz,格尔利茨县
Landkreis Sächsische Schweiz-Osterzgebirge,萨克森施韦茨-东厄尔士山县
Kreis Herford,黑尔福德县
Rhein-Sieg-Kreis,莱茵-锡格县
Rhein-Erft-Kreis,莱茵-埃尔夫特县
Iller,伊勒河
Kreis Heinsberg,海因斯贝格县
Städteregion Aachen,亚琛都会区
Landkreis Nordsachsen,北萨克森县
Bad Gottleuba-Berggießhübel,巴特戈特洛伊巴-贝格吉斯许伯尔
Dörfles-Esbach,德尔夫莱斯-埃斯巴赫
Sulzbach am Main,美茵河畔苏尔茨巴赫
Gaienhofen,盖恩霍芬
Heilshoop,海尔斯霍普
Contact Air,康塔克特航空
Olympische Sommerspiele 1972/Handball,1972年夏季奧林匹克運動會手球比賽
KZ Oranienburg,奧拉寧堡集中營
Gehle,蓋勒河
Höheischweiler,赫海施魏莱尔
Olympische Sommerspiele 1936/Basketball,1936夏季奥林匹克运动会篮球比赛
Volleyball bei den Olympischen Sommerspielen 1972,1972年夏季奧林匹克運動會排球比賽
Sebnitz,塞布尼茨河
Vaalserberg,瓦尔斯堡山
Bad Schandau,巴德尚道
politisches System Deutschlands,德國政治
Sächsische Schweiz,萨克森瑞士
Landkreis Leipzig,莱比锡县
Landkreis Meißen,迈森县
Assamstadt,阿萨姆斯塔特
Erligheim,埃尔利格海姆
Sammlung Philippi,腓立比收藏物
Wittstock/Dosse,维特施托克
Huy,胡伊
Verdienstorden der Bundesrepublik Deutschland,联邦十字勋章
Rheinisch-Bergischer Kreis,莱茵-贝吉施县
Oberbergischer Kreis,上贝吉施县
Ingersheim,英格斯海姆
KZ Ravensbrück,拉文斯布吕克集中营
Technische Universität Chemnitz,开姆尼茨工业大学
Alpine Skiweltmeisterschaft 2011,2011年世界高山滑雪錦標賽
Uslar,乌斯拉尔
Külsheim,屈尔斯海姆
Ellern,埃莱尔恩
FC St. Pauli,聖保利足球俱樂部
Herxheim am Berg,山上黑尔克斯海姆
Dippoldiswalde,迪波尔迪斯瓦尔德
Großkarlbach,大卡尔巴赫
Schwäbische Alb,斯瓦比亞汝拉山
CeBIT,CeBIT
Niederstetten,下斯特滕
Schönau im Schwarzwald,施瓦尔茨瓦尔德地区舍瑙
Gerolsheim,格罗尔斯海姆
Winnweiler,温韦勒
Großrinderfeld,格罗斯林德尔费尔德
Dörrenbach,德伦巴赫
SV Concordia Ihrhove,孔科耳狄亚伊尔霍弗
Wittelshofen,维特尔斯霍芬
SGS Essen,埃森SGS
Zeche Zollverein,關稅同盟煤礦工業建築群
Fulda,富尔达河
Bahretal,巴雷塔尔
Bannewitz,巴内维茨
Jungfernstieg,处女堤
Hamburg Hauptbahnhof,漢堡中央車站
Rothschild,羅斯柴爾德家族
Kindenheim,金登海姆
Herrnhuter Brüdergemeinde,摩拉维亚弟兄会
Bahnstrecke München Hbf–Regensburg Hbf,慕尼黑－雷根斯堡铁路
Bundesliga 2009/10,2009年至2010年德國足球甲級聯賽
Bundesliga 2005/06,2005年至2006年德国足球甲级联赛
Erzgebirgskreis,礦山縣 (德國)
Bissersheim,比塞尔斯海姆
Mickhausen,米克豪森
Vogtlandkreis,福格特兰县
Kirn,基尔恩
Fußgönheim,富斯根海姆
Altrip,阿尔特里普
Hermersberg,黑尔梅尔斯贝尔格
Egg an der Günz,金茨河畔埃格
DFB-Pokal 1970/71,1970年至1971年德国足协杯
Bundesliga 2008/09,2008年至2009年德國足球甲級聯賽
AFM,AFM
Universität Stuttgart,斯圖加特大學
Waldfischbach-Burgalben,瓦尔德菲斯希巴-布尔加尔本
Möglingen,默格林根
Langenbach,兰根巴赫
Sauldorf,绍尔多尔夫
Hosena,霍塞纳
Schopfheim,绍普夫海姆
Tamm,塔姆
Werra,威拉河
Altpörtel,舊門
Vorderpfalz,前普法尔茨
Bockenheim an der Weinstraße,魏恩施特拉瑟地区博肯海姆
Ebertsheim,埃贝尔茨海姆
Königheim,柯尼希海姆
Kallstadt,卡尔斯塔特
Freudenberg,弗羅伊登貝格 (巴登)
Donnersberg,唐纳山
Lauda-Königshofen,劳达-克尼格斯霍芬
Tauberbischofsheim,陶贝尔比绍夫斯海姆
Dirmstein,迪尔姆斯泰因
Bönnigheim,本尼希海姆
Weikersheim,魏克尔斯海姆
Leichtathletik bei den Olympischen Sommerspielen 1936,1936年夏季奧林匹克運動會田徑比賽
Reinheim,赖恩海姆
Weißer Schöps,白舍普斯河
Hamburger Hochbahn AG,漢堡高速交通
U-Bahn Hamburg,漢堡地鐵
Erpolzheim,埃波尔茨海姆
Aitern,艾特尔恩
Kickers Offenbach,奥芬巴赫踢球者足球俱乐部
Pirna,皮尔纳
Stockach,施托卡
Goethe-Preis der Stadt Frankfurt am Main,歌德獎
BFC Dynamo,柏林戴拿模
Dohma,多马 (德国)
Dohna,多纳
Universität Rostock,罗斯托克大学
Bahnstrecke Görlitz–Dresden,格尔利茨－德累斯顿铁路
Kommunistische Plattform,共产主义纲领
Bärwalder See,貝爾瓦爾德湖
Eberdingen,埃贝尔丁根
Rock am Ring,Rock am Ring
Kurfürstendamm,选帝侯大街
Großbottwar,大博特瓦尔
Dorfhain,多夫海恩
Sebnitz,塞布尼茨
Lohe-Föhrden,洛黑-弗赫尔登
Freiberg am Neckar,内卡河畔弗赖贝格
Bauhaus,包豪斯
Giekau,吉考
Otterbach,奥特巴赫
Herchweiler,黑尔希魏莱尔
Besigheim,贝西格海姆
Weil am Rhein,莱茵河畔魏尔
Niese,尼瑟河
Flieth-Stegelitz,弗利特-斯特格利茨
Dürrröhrsdorf-Dittersbach,迪尔勒赫尔斯多夫-迪特尔斯巴赫
Glashütte,格拉斯许特
U-Bahnhof Oberwiesenfeld,上草地站
Scorpions,蝎子乐队
Oberstenfeld,上斯滕费尔德
Gerlingen,格尔林根
Europastraße E30,欧洲E30公路
Regierungsbezirk,行政区
Germersheim,盖默斯海姆
Russisch-Orthodoxe Kirche Wiesbaden,聖伊莉莎白教堂
Museum Folkwang,弗柯望博物館
Ahorn,阿霍尔恩
Kyllburg,基爾堡
Hartmannsdorf-Reichenau,哈尔特曼斯多夫-赖歇瑙
Heidenau,海德瑙
Klettwitz,克萊特維茨
Sozialistische Alternative,社会主义替代
Gohrisch,戈里施
Schwieberdingen,施维贝尔丁根
Bad Sulza,巴德苏尔察
Marbach am Neckar,马尔巴赫
Landkreis Neunkirchen,诺因基县
Landkreis Merzig-Wadern,梅尔齐希-瓦登县
Sächsisch-Oberlausitzer Eisenbahngesellschaft,萨克森-上卢萨蒂亚铁路公司
Kronach,克罗纳赫车站
Igersheim,伊格尔斯海姆
Laucha an der Unstrut,翁斯特鲁特河畔劳哈
Speyerer Dom,施派尔主教座堂
Höckendorf,赫肯多夫
TSG 1899 Hoffenheim,霍芬海姆足球俱乐部
Kircheib,基尔夏伊布
Alfred Toepfer Stiftung F. V. S.,阿弗雷德·杜佛基金會
Neuburg an der Donau,纽因堡
Festival of Lights,柏林灯光节
Kaiser-Wilhelm-Nationaldenkmal,威廉皇帝國家紀念碑
kreisfreie Stadt in Deutschland,獨立市
Heinkel He 51,He 51戰鬥機
Halbendorfer See,哈爾本多夫湖
Kreischa,克赖沙
Landkreis St. Wendel,圣文德尔县
Maudach,毛达赫
Schwarzenacker,施瓦岑纳克
Bad Laasphe,巴德拉斯费
Lichtenfels,利希滕费尔斯
Panketal,潘克塔尔
Grünsfeld,格林斯费尔德
Deutscher Werkbund,德意志工藝聯盟
Partwitzer See,帕特維茨湖
Vaihingen an der Enz,恩茨河畔法伊欣根
Walldorf,沃尔多夫
Hermsdorf/Erzgeb.,黑尔姆斯多夫
Sachsenheim,萨森海姆
Betzenberg,贝岑山
"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",黨 (德國政黨)
Hessigheim,黑西格海姆
Altlußheim,旧卢斯海姆
Wiesloch,維斯洛赫
Frechen,弗雷兴
Flughafen Berlin Brandenburg,柏林勃兰登堡机场
Hohnstein,霍恩斯泰因
Königstein,柯尼希斯泰因
Speyer,施派尔
SC Paderborn 07,帕德博恩07足球俱乐部
Regionalverband Saarbrücken,萨尔布吕肯县
Bad Dürkheim,巴德迪尔克海姆
Wertheim,韦尔泰姆
VfL Osnabrück,奥斯纳布吕克足球俱乐部
Gottmadingen,戈特马丁根
Eberbach,埃贝尔巴赫
Speyerbach,施派尔河
Saarbrücken Hauptbahnhof,萨尔布吕肯总站
Semperoper,森柏歌劇院
Neuental,诺伊恩塔尔
Garmisch-Partenkirchen,加爾米施-帕滕基興
Fuhlenhagen,富伦哈根
Saarpfalz-Kreis,萨尔普法尔茨县
Landkreis Saarlouis,萨尔路易县
Paulaner,Paulaner
Belgweiler,贝尔格魏莱尔
Elmshorn,埃尔姆斯霍恩
Körting Hannover,科尔庭汉诺威
Vector Informatik,Vector Informatik
Straßenbahn Kassel,卡塞爾電車
Ravensburg,拉芬斯堡
Rielasingen-Worblingen,里拉辛根-沃尔布林根
Hausen im Wiesental,豪森伊姆维森塔尔
Landstuhl,兰施图尔
Graben-Neudorf,格拉本-诺伊多尔夫
Deidesheim,代德斯海姆
Annweiler am Trifels,安魏莱尔阿姆特里费尔斯
Rockenhausen,罗肯豪森
Bad Mergentheim,巴德梅尔根泰姆
Allensbach,阿伦斯巴赫
Wilhelmsfeld,维尔黑尔姆斯费尔德
Stutensee,施图滕塞
Starnberg,施塔恩贝格
Hohenfels,霍亨费尔斯
Wembach,文巴赫
Ramstein-Miesenbach,拉姆施泰因-米森巴赫
Bernau am Chiemsee,贝尔瑙阿姆希姆塞
Altonaer Museum,阿爾托納博物館
Verlagsgruppe Georg von Holtzbrinck,霍尔茨布林克出版集团
Kleve,克莱沃
Peine,派内
Ilvesheim,伊尔费斯海姆
Mittenwald,米滕瓦尔德
Waldrohrbach,瓦尔德罗尔巴赫
Sinn,辛恩河
Bodman-Ludwigshafen,博德曼-卢德维格斯哈芬
Maulburg,毛尔堡
Völklinger Hütte,弗爾克林根鋼鐵廠
Universitätsklinikum Freiburg,弗萊堡大學附屬醫院
Aschau im Chiemgau,基姆湖阿绍
Schwerte,施韦特
Kusel,库塞尔
Grenzach-Wyhlen,格伦察-维伦
Lutherstadt Wittenberg,维滕贝格
Fußball-Verbandsliga Sachsen-Anhalt,萨克森-安哈尔特足球协会联赛
Schwörstadt,施韦尔斯塔特
Baberowsee,巴伯羅湖
Frasdorf,弗拉斯多尔夫
Voith,福伊特
Lambsheim,兰布斯海姆
Volkertshausen,福尔克尔茨豪森
Rastatt,拉施塔特
Orsingen-Nenzingen,奥尔辛根-嫩钦根
Eigeltingen,艾格尔廷根
Beindersheim,拜因德尔斯海姆
Rieschweiler-Mühlbach,里斯希魏莱尔-米赫尔巴赫
Weisenheim am Sand,魏森海姆阿姆桑德
Friedelsheim,弗里德尔斯海姆
Sandhausen,桑德豪森
Ketsch,克茨希
Barendorf,巴伦多尔夫
Utzenfeld,乌岑费尔德
Allianz-Arena,安联竞技场
Gerzen,格尔岑
Heidenheim an der Brenz,海登海姆
Denkmal für die ermordeten Juden Europas,歐洲被害猶太人紀念碑
Kleinkarlbach,小卡尔巴赫
Neulußheim,新卢斯海姆
Ober-Olm,上奥尔姆
Lörrach,罗拉赫
Deutschland Tour,環德國自行車賽
Kirchheim an der Weinstraße,魏恩施特拉瑟地区基希海姆
Gronau,格羅瑙
Deutsche Universität für Verwaltungswissenschaften Speyer,施派尔德国行政科学大学
Oberrheinische Tiefebene,上莱茵河低地
Neunkirchen,诺因基兴
Brühl,布呂爾
Bad Oeynhausen,巴特恩豪森
Schallbach,沙尔巴赫
Leimen,萊門
Maikammer,迈卡梅尔
Verbandsgemeinde,社區協會
Rheda-Wiedenbrück,雷达-维登布吕克
Lingenfeld,林根费尔德
Jockgrim,约克格里姆
Wiesenttal,维森塔尔
Grünstadt,格林斯塔特
Schliengen,施林根
Rümmingen,吕明根
Kandel,坎德尔
Kleines Wiesental,克莱内斯维森塔尔
Böhl-Iggelheim,伯赫尔-伊格尔海姆
Bahnstrecke Deutz–Gießen,多伊茨-吉森铁路
Lustadt,卢斯塔特
Oberstaufen,上斯陶芬
Berg,贝格
Schifferstadt,席费尔斯塔特
Opernhaus Halle,哈雷歌剧院
Justizpalast,紐倫堡司法宮
MTU Aero Engines,MTU航空发动机公司
Multinationales Korps Nord-Ost,東北多國部隊
Mosbach,莫斯巴赫
Nürnberger Ärzteprozess,醫師的審判
Playmobil,摩比
Herzogenrath,黑尔措根拉特
PreZero-Arena,莱茵-内卡竞技场
Frankenthal,弗兰肯塔尔
Böblingen,伯布林根
Binzen,宾岑
Häg-Ehrsberg,黑格-埃尔斯贝尔格
Gailingen am Hochrhein,盖林根
Westheim,韦斯特海姆 (莱茵兰-普法尔茨)
Hof,霍夫
Bornheim,博恩海姆
Petting,佩廷
Alemannisch,阿勒曼尼语
Börsborn,伯尔斯博尔恩
Malsburg-Marzell,马尔斯布尔格-马尔策尔
Leda,萊達河
Dülmen,迪尔門
Edesheim,埃德斯海姆
Waldsee,瓦尔策
Stade,施塔德
Kirchheim am Neckar,内卡河畔基尔夏伊姆
Bismarck-Gymnasium,俾斯麦文理中学
ATP Stuttgart,梅塞德斯杯
Rheydt Hauptbahnhof,莱特火车总站
Justizpalast,司法宫
Gemmrigheim,格姆里格海姆
Ellerstadt,埃莱尔斯塔特
Siebeldingen,西贝尔丁根
Hundsangen,洪灿根
Pfälzisch,普法尔茨方言
Hennef,黑内夫
Rülzheim,吕尔茨海姆
Mühlingen,米赫林根
Unter den Linden,菩提樹下大街
Serben,塞族
Intercity-Express,城际特快列车
Technische Universität Ilmenau,伊尔默瑙工业大学
Hilzingen,希尔钦根
Singen (Hohentwiel),辛根
Großräschener See,大雷申湖
Schönenberg,舍嫩贝格
Frankenstein,弗兰肯斯泰因
Erkrath,埃尔克拉特
Chaos Computer Club,混沌计算机俱乐部
Oder-Neiße-Grenze,奧德河-尼斯河線
Internationale Filmfestspiele Berlin,柏林国际电影节
Gotha,哥達
Schloss Nymphenburg,宁芬堡宫
Deutsches Museum,德意志博物馆
Römerberg,勒梅尔贝尔格
Melle,梅勒
Löchgau,勒希高
Queidersbach,奎德斯巴赫
Freising,弗赖辛
Öhningen,厄赫宁根
Obermoschel,上莫舍尔
TSV 1860 München,1860慕尼黑足球俱樂部
Otterstadt,奥特尔斯塔特
Bitterfeld-Wolfen,比特费尔德-沃尔芬
Alsdorf,阿尔斯多尔夫
Lemberg,伦贝格
Boizenburg/Elbe,博伊岑堡
Merzalben,梅尔察尔本
Schopp,绍普
Der Spiegel,明镜
Flughafen München,慕尼黑机场
Mundelsheim,蒙德尔斯海姆
Neustadt am Rübenberge,诺伊斯塔特阿姆吕本贝尔格
Fellbach,费尔巴赫
Starnberger See,施塔恩贝格湖
Olympiastadion München,慕尼黑奥林匹克体育场
Forst an der Weinstraße,韦因斯特拉塞地区福尔斯特
Steinbach am Glan,格兰河畔施泰因巴赫
Bünde,賓德
Hauenstein,豪恩斯泰因
Bad Windsheim,巴德温茨海姆
Dümpelfeld,丁佩尔费尔德
Zeller Bach,采爾巴赫河
Roth,羅特河 (雷德尼茨河支流)
Platz der Republik,共和廣場 (柏林)
Pleidelsheim,普莱德尔斯海姆
Kreisstadt,地区首府
Essen Hauptbahnhof,埃森火车总站
Essener Münster,埃森大教堂
Norderney,诺尔德尔奈
Eiskunstlauf-Weltmeisterschaft 1928,1928 柏林
Regierungsbezirk Dresden,德累斯顿行政区
Steißlingen,施泰斯林根
Leonberg,莱昂贝格
Waldspirale,螺旋森林
Internationale Bachakademie Stuttgart,史特加國際巴哈學院
Gierskoppbach,吉爾斯科普巴赫河
Aach,阿赫
Mühlhausen-Ehingen,米赫尔豪森-埃欣根
Neuwieser See,諾伊維瑟湖
Münchberg,明希贝格
Spreetaler See,施普雷塔爾湖
Juist,尤伊斯特
Audi,奥迪
Neckarwestheim,内卡尔韦斯泰姆
Wismar,维斯马
Hessischer Rundfunk,黑森廣播公司
Langeoog,兰格奥格
Baltrum,巴尔特鲁姆
Erkelenz,埃尔克伦茨
Nordhausen,诺德豪森
Bad Kreuznach,巴特克罗伊茨纳赫
Bremen,不来梅
Borkum,博尔库姆
Filderstadt,菲尔德施塔特
Colonia Claudia Ara Agrippinensium,克勞蒂亞·阿格里皮娜的殖民地
Spiekeroog,施皮克罗格
Wangerooge,万格罗格
Kamen,卡門
Albstadt,阿尔布斯塔特
Brühl,布吕尔
Regierungsbezirk Leipzig,莱比锡行政区
Regierungsbezirk Chemnitz,开姆尼茨行政区
Höchst,霍斯特 (法蘭克福)
Echtershausen,埃希特尔斯豪森
Internationale Filmfestspiele Berlin 1998,第48屆柏林影展
Internationale Filmfestspiele Berlin 1997,第47屆柏林國際影展
Cherry,樱桃公司
Lahr/Schwarzwald,拉爾
ZF Friedrichshafen AG,采埃孚
Arcandor,安克特爾
Analytik Jena,耶拿分析仪器
Germania magna,日耳曼尼亚
Nationales Cyber-Abwehrzentrum,國家網絡中心
Telefonvorwahl,德國電話號碼
Monheim am Rhein,莱茵河畔林茨蒙海姆
ZFC Meuselwitz,莫伊塞尔维茨足球俱乐部
Lehrte,莱尔特
FC 08 Homburg,洪堡足球俱乐部
Weinheim,魏恩海姆
Großer Preis von Deutschland 2010,2010年德国大奖赛
Niederstaufenbach,下斯陶芬巴赫
thyssenkrupp AG,蒂森克虏伯
Bundeswappen Deutschlands,德国国徽
Funke Mediengruppe,芬克媒体集团
Biathlon-Weltmeisterschaften 2012,2012年冬季兩項世界錦標賽
Neumarkt-Sankt Veit,诺伊马尔克特-圣法伊特
Bulgaren,保加利亞人
FC Sachsen Leipzig,薩克森萊比錫足球俱樂部
Großer Preis von Deutschland 2009,2009年德国大奖赛
Homburg,洪堡
Straubing,施特劳宾
Berlin-Marathon,柏林馬拉松
Friesisch,弗里斯兰语
Deutsche Bank,德意志银行
Palast der Republik,共和國宮
Junkers Flugzeug- und Motorenwerke,容克斯
Zalando,Zalando
Deutsche Männer-Handballnationalmannschaft,德國國家手球隊
Z-Plan,Z计划
ZDF Studios,ZDF工作室
Rodenbach,罗登巴赫
Wacker Burghausen,布格豪森足球俱乐部
Sabrodter See,薩布羅特湖
Hochtief,豪赫蒂夫
Münchener Secession,慕尼黑分离派
Allgemeiner Deutscher Fahrrad-Club,全德自行车俱乐部
Universität Bielefeld,比勒费尔德大学
Fußball-Bundesliga 1990/91,1990年至1991年德国女子足球甲级联赛
Zeulenroda-Triebes,措伊伦罗达-特里贝斯
RWE,莱茵集团
TSV Großbardorf,大巴多夫体育俱乐部
Internationale Filmfestspiele Berlin 1999,第49屆柏林影展
Ostalpen,東阿爾卑斯山脈
Altmittweida,阿尔特米特魏达
Rodgau,罗德高
Bobritzsch-Hilbersdorf,博布里奇-希尔伯斯多夫
Amberg,安贝格
Frickingen,弗里金根
Sorbisch,索布语
Leine,萊納河
Jütland,日德兰半岛
Pinneberg,平讷贝格
Seefeld,席费尔德
Sedlitzer See,塞德利茨湖
Brühlsche Terrasse,布吕尔平台
Großweitzschen,格罗斯魏茨兴
Stettiner Haff,什切青潟湖
Stendal,施滕达尔
Oberursel (Taunus),奥贝鲁尔塞尔
Liste von Flüssen in Deutschland,德国河流列表
Ramstein Air Base,拉姆施泰因空军基地
Bundespräsident,德國聯邦總統
Birgland,比尔格兰
Dahmker,达姆克尔
Stadion am Lotter Kreuz,洛特路口体育公园
Fraunhofer-Gesellschaft,弗劳恩霍夫协会
Bundesliga 2007/08,2007年至2008年德国足球甲级联赛
Checkpoint Charlie,查理檢查哨
Ischtar-Tor,伊什塔尔城门
U-Bahn Berlin,柏林地鐵
Königshain-Wiederau,柯尼希斯海恩-维德劳
Hartmannsdorf,哈尔特曼斯多夫
Königsfeld,柯尼希斯费尔德_(萨克森州)
Bruchsal,布鲁赫萨尔
Zehna,策纳
St. Jakob,圣雅各堂
Brüder der christlichen Schulen,喇沙會
Wattenmeer,瓦登海
Dahme,達默河
Junkers Ju 52/3m,Ju 52
Die Tageszeitung,日报
Claußnitz,克劳斯尼茨
Krugsdorf,克鲁格斯多夫
Landau in der Pfalz,兰道
Köhn,克赫恩
Schöttelkarspitze,舍特爾卡爾峰
Heiligenhaus,海利根豪斯
Bietigheim-Bissingen,比蒂格海姆-比辛根
Niederdeutsch,低地德语
Lebus,莱布斯
Bogen,博根
Föderalistische Union Europäischer Volksgruppen,欧洲民族联盟
Rheinmetall,莱茵金属
Badenweiler,巴登韦勒
Südschleswigscher Wählerverband,南什列斯威選民聯盟
Chemnitzer FC,开姆尼茨足球俱乐部
Eisenach,爱森纳赫
Oderbruch,奥得沼泽
Kriebstein,克里布斯泰因
Leubsdorf,洛伊布斯多夫
Demokratie Jetzt,現在民主
Regensburg Hauptbahnhof,雷根斯堡火车总站
Zabern-Affäre,萨韦尔讷事件
Internationale Raumstation,国际空间站
Deutsche Teilnehmer der Olympischen Sommerspiele 2012,2012年夏季奧林匹克運動會德國代表團
Scheitenkorb,沙伊滕科尔布
Pegnitz,佩格尼茨
Messerschmitt Me 262,Me 262戰鬥機
Nagold,纳戈尔德
Fußball-Oberliga Rheinland-Pfalz/Saar,莱茵兰-普法尔茨/萨尔足球高级联赛
Living Reviews in Relativity,活着的相对论评论
Südbrookmerland,叙德布罗克梅尔兰
Halberstadt,哈尔伯施塔特
Großhartmannsdorf,格罗斯哈尔特曼斯多夫
Waltrop,瓦尔特罗普
Landkreis Heilbronn,海尔布隆县
Preis von Europa,歐洲大賽
Hammerbach,哈默巴赫河 (姆熱河支流)
Lieser,利瑟河
Zachenberg,察亨贝尔格
Lichtenau,利希特瑙_(萨克森州)
Jüdisches Zentrum München,雅各帐篷会堂
European Physical Journal C,欧洲物理学杂志C辑
Kalypso Media,Kalypso媒體
Deutsch-Sowjetischer Grenz- und Freundschaftsvertrag,德苏友好合作和边界划定条约
Rottenburg am Neckar,内卡河畔罗滕堡
KZ Bergen-Belsen,伯根-贝尔森集中营
Mulda/Sa.,穆尔达
Neuhausen/Erzgeb.,诺伊豪森_(萨克森州)
Landessternwarte Heidelberg-Königstuhl,王座山天文台
Auto Union,汽車聯盟
Ostrau,奥斯特劳
Niederländisch,荷蘭語
Seevetal,塞费塔尔
Niederwiesa,下维萨
Wissen/Sieg,维森
Oberschöna,上舍纳
Niederstriegis,下斯特里吉斯
Schotten,绍滕
Halsbrücke,哈尔斯布吕克
Landkreis Eichsfeld,艾希斯费尔德县
Kyffhäuserkreis,基夫豪塞尔县
Mühlau,米赫劳
Wülfrath,维尔夫拉特
Lichtenberg/Erzgeb.,利希滕贝格_(中萨克森县)
1. Amateurliga,德国足球业余甲级联赛
Landkreis Nordhausen,北豪森县
Wermelskirchen,韦尔梅尔斯基尔兴
Kaarst,卡尔斯特
deutsche Euromünzen,德國的歐元硬幣
Leica Camera,徕卡相机
Junkers Ju 87,Ju 87俯衝轟炸機
Rechenberg-Bienenmühle,雷兴贝尔格-比嫩米赫莱
Deutsche Teilnehmer der Olympischen Sommerspiele 2008,2008年夏季奥林匹克运动会德国代表团
Dorfchemnitz bei Sayda,多夫歇姆尼茨
Saterfriesisch,萨特弗里斯兰语
Dachau,达豪
Eppendorf,埃彭多夫
Wrixum,弗里克苏姆
Erlau,埃尔劳
Tating,塔廷格
Deutsche Nationalbibliothek,德国国家图书馆
BMW,BMW
Wartburgkreis,瓦尔特堡县
Landkreis Gotha,哥达县
Zabitz,察比茨
Winterhausen,温特劳森
Tonhalle Düsseldorf,杜塞尔多夫音乐厅
Bahnstrecke Berlin–Lehrte,柏林－莱尔特铁路
Kampen,坎彭
Reifenberg,赖芬贝尔格
TuS Pewsum,佩武苏姆体操及体育俱乐部
FC Erzgebirge Aue,奥厄足球俱乐部
Landkreis Weimarer Land,魏玛县
Landkreis Sonneberg,松讷贝格县
Ilm-Kreis,伊尔姆县
Saale-Holzland-Kreis,萨勒-霍尔茨兰县
Landkreis Greiz,格赖茨县
Weißenborn/Erzgeb.,魏森博恩_(萨克森州)
Zettlitz,策特利茨
Ziegra-Knobelsdorf,齐格拉-克诺贝尔斯多夫
Saterland,萨特兰
Augustusburg,奥古斯图斯堡
Zschaitz-Ottewig,茨夏伊茨-奥特维希
Unstrut-Hainich-Kreis,温斯特鲁特-海尼希县
Landkreis Sömmerda,瑟默达县
Landkreis Waldeck-Frankenberg,瓦尔德克-弗兰肯贝格县
Schwalm-Eder-Kreis,施瓦尔姆-埃德尔县
Bahnstrecke Braunschweig–Wieren,不伦瑞克－威伦铁路
Borgsum,博尔格苏姆
Wollbach,沃尔巴
Barth,巴尔特（德国）
Werra-Meißner-Kreis,韦拉-迈斯讷县
Landkreis Hersfeld-Rotenburg,赫斯费尔德-罗滕堡县
Montblanc,萬寶龍
Carlstadt,卡尔施塔特
Mercedes-AMG,梅賽德斯-AMG
Königstuhl,王座山
Wiltingen,维尔廷根
1. Britische Panzerdivision,英国陆军第1装甲师
Garz/Rügen,甘孜
Weidendammer Brücke,魏登丹默桥
Landkreis Altenburger Land,阿尔滕堡地区县
Landkreis Kassel,卡塞尔县
Großschirma,格罗席尔马
Hainichen,海尼兴
Landkreis Schmalkalden-Meiningen,施马卡尔登-迈宁根县
Landkreis Hildburghausen,希尔德堡豪森县
Seelitz,塞利茨
Striegistal,施特里吉施塔尔
Julius-Maximilians-Universität Würzburg,维尔茨堡大学
1. FC Union Berlin,柏林联足球俱乐部
Dynamo Dresden,德累斯顿迪納摩
Burgstädt,布尔格斯特
Landkreis Saalfeld-Rudolstadt,萨尔费尔德-鲁多尔施塔特县
Saale-Orla-Kreis,薩勒-奧拉縣
Maitenbeth,迈滕贝特
1. CfR Pforzheim,普福尔茨海姆草地体育俱乐部
Zaza,扎扎人
Hartha,哈尔塔
Landkreis Fulda,富尔达县
Vogelsbergkreis,福格尔斯贝格县
Koldenbüttel,科尔登比特尔
Daun,多因
Glyptothek,古代雕塑展览馆
Kehlsteinhaus,鹰巢
Reinsberg,赖恩斯贝格_(德国)
Rossau,罗绍
Berliner Urstromtal,柏林冰河谷
Zahna-Elster,察纳-埃尔斯特尔
1. Bundesliga Snooker,德国斯诺克甲级联赛
Geringswalde,格林格斯瓦尔德
Frankenberg/Sa.,弗蘭肯貝格
Frauenstein,弗劳恩斯泰因
Roßwein,罗斯韦因
Johannes Gutenberg-Universität Mainz,美因茨大学
Schloss Hohenschwangau,高天鹅堡
Sayda,赛达_(德国)
Waldheim,瓦尔德海姆
Flughafen Hamburg,汉堡机场
Brand-Erbisdorf,布兰德-埃尔比斯多夫
Ostfriesische Inseln,东弗里西亚群岛
ISO 3166-2:DE,ISO 3166-2:DE
Merdingen,梅尔丁根
Leck,莱克
Hansa Rostock,汉莎罗斯托克足球俱乐部
Main-Taunus-Kreis,美因-陶努斯县
Wetteraukreis,维特劳县
Borgward,博格瓦德
Garding,加尔丁格
Mercedes-Benz Group,戴姆勒
Lahn-Dill-Kreis,拉恩-迪尔县
Landkreis Limburg-Weilburg,林堡-魏尔堡县
Südermarsch,叙德尔马尔施
Bad Rappenau,巴德拉佩瑙
Landkreis Offenbach,奥芬巴赫县
1. FC Gera 03,格拉03
1. FC Gievenbeck,吉芬贝克第一足球俱乐部
