Angela Merkel,アンゲラ・メルケル
Oskar Negt,オスカル・ネクト
Johann Kasimir,ヨハン・カジミール
Franz von Soxhlet,フランツ・フォン・ソックスレー
Ignaz Döllinger,イグナーツ・デリンガー
Hermann Lietz,ヘルマン・リーツ
Adolf Johann I.,アドルフ・ヨハン1世
Adolf Galland,アドルフ・ガーランド
Zé Roberto,ジョゼ・ロベルト・ダ・シウヴァ・ジュニオル
Margit Carstensen,マルギット・カルステンセン
Adam von Württemberg,アダム・フォン・ヴュルテンベルク
Max von Hausen,ハウゼン
Johann Philipp Palm,ヨハン・フィリップ・パルム
Ernst I.,エルンスト1世
Mathilde von Sachsen,マティルデ・フォン・ザクセン
Ferdinand Schörner,フェルディナント・シェルナー
Eugen d’Albert,オイゲン・ダルベール
Erich Raeder,エーリヒ・レーダー
Ludwig Ferdinand von Bayern,ルートヴィヒ・フェルディナント・フォン・バイエルン
"Prinz Friedrich Christian, Markgraf von Meißen",フリードリヒ・クリスティアン・フォン・ザクセン
Auguste Maria Luise von Bayern,アウグステ・フォン・バイエルン
Carl Dahlhaus,カール・ダールハウス
Anneliese Rothenberger,アンネリーゼ・ローテンベルガー
Otto IV.,オットー4世
Magdalena Sibylla von Sachsen-Weißenfels,マグダレーナ・ジビーラ・フォン・ザクセン＝ヴァイセンフェルス
Bernd Lange,ベルント・ランゲ
Gottfried Arnold,ゴットフリート・アルノルト
Christian Hülsmeyer,クリスティアン・ヒュルスマイヤー
Herbert Runge,ヘルベルト・ルンゲ
Erich Köhler,エーリヒ・コーラー
Wilhelm René de l’Homme de Courbière,ヴィルヘルム・ルネ・ドゥ・ロム・ドゥ・クービエール
Sandra Hüller,サンドラ・フラー
Edith Picht-Axenfeld,エディット・ピヒト＝アクセンフェルト
Franz Halder,フランツ・ハルダー
Sepp Dietrich,ヨーゼフ・ディートリッヒ
Karl Adolf Lorenz,カール・アドルフ・ローレンツ
Friedrich Freiherr v. Eberstein,フリードリヒ・カール・フォン・エーベルシュタイン
Eugen Leviné,オイゲン・レヴィーネ
Paul Hausser,パウル・ハウサー
Matthias Sammer,マティアス・ザマー
Stefan George,シュテファン・ゲオルゲ
Hans Adolf Krebs,ハンス・クレブス
Marc Lieb,マルク・リープ
Gustav Fröhlich,グスタフ・フレーリッヒ
Hermann Kesten,ヘルマン・ケステン
Meret Becker,メレート・ベッカー
Gottfried Kirch,ゴットフリート・キルヒ
Otto Bartning,オットー・バルトニング
Friedrich Guggenberger,フリードリヒ・グッゲンベルガー
Gundi Busch,ガンディ・ブッシュ
Ortwin Runde,オルトヴィン・ルンデ
Karl Schiller,カール・シラー
Heide Simonis,ハイデ・ジモーニス
Waldemar Kraft,ヴァルデマー・クラフト
Magda Goebbels,マクダ・ゲッベルス
Paul von Lettow-Vorbeck,パウル・フォン・レットウ＝フォルベック
Wilhelm Külz,ヴィルヘルム・クルツ
Sebastian Fitzek,セバスチャン・フィツェック
Helene zu Mecklenburg,ヘレーネ・ツー・メクレンブルク
Daniel Richter,ダニエル・リヒター
Hans von Seeckt,ハンス・フォン・ゼークト
Ferdinand Sauerbruch,フェルディナント・ザウアーブルッフ
Neo Rauch,ネオ・ラオホ
Ingrid Mickler-Becker,イングリット・ベッカー
Frank Emmelmann,フランク・エンメルマン
Eugen Johann Christoph Esper,オイゲン・ヨハン・クリストフ・エシュペル
Arthur Arno Wachmann,アルノ・ヴァハマン
James Last,ジェームス・ラスト
Anagarika Govinda,アナガリカ・ゴヴィンダ
Hasso von Manteuffel,ハッソ・フォン・マントイフェル
Henry Maske,ヘンリー・マスケ
Kai-Uwe von Hassel,カイ＝ウヴェ・フォン・ハッセル
Traudl Junge,トラウデル・ユンゲ
Andreas Hinkel,アンドレアス・ヒンケル
Robert Mertens,ローベルト・メルテンス
Dirk Müller,ディルク・ミューラー
Stephan Schröck,シュテファン・シュレック
Victor Hensen,ヴィクトル・ヘンゼン
Peter Altmaier,ペーター・アルトマイアー
Sebastian Brendel,セバスティアン・ブレンデル
Erwin Stresemann,エルヴィン・シュトレーゼマン
Jonas Kaufmann,ヨナス・カウフマン
Philipp Wilhelm August von der Pfalz,フィリップ・ヴィルヘルム・アウグスト・フォン・デア・プファルツ
Johann I.,ヨハン1世
Johann David Schöpf,ヨハン・ダーフィット・シュープ
Martin Kneser,マルティン・クネーザー
Walter Riester,ヴァルター・リースター
Moritz Schlick,モーリッツ・シュリック
Erich Hartmann,エーリヒ・ハルトマン
August Lösch,アウグスト・レッシュ
Paul Singer,パウル・ジンガー
Ruprecht von der Pfalz,ループレヒト・フォン・デア・プファルツ
Frank Giering,フランク・ギーリング
Pasquale Passarelli,パスクアーレ・パッサレッリ
Robert Müller,ロベルト・ミュラー
Sigmund Jähn,ジークムント・イェーン
Christian Petzold,クリスティアン・ペツォールト
Karl von Eckartshausen,カール・フォン・エッカルツハウゼン
Gerhard Tersteegen,ゲルハルト・テルシュテーゲン
Jürgen Möllemann,ユルゲン・メレマン
Christoph Bergner,クリストフ・ベルグナー
Friedelind Wagner,フリーデリント・ワーグナー
Werner Schroeter,ヴェルナー・シュレーター
Alfred Bohrmann,アルフレット・ボーアマン
Magda Schneider,マクダ・シュナイダー
Kerstin Stegemann,ケルスティン・シュテーゲマン
Helene Wessel,ヘレーネ・ヴェッセル
Theodor Blank,テオドール・ブランク
Ulrich Plenzdorf,ウルリヒ・プレンツドルフ
Christl Cranz,クリストル・クランツ
Tron,トロン
Jochen Borchert,ヨーヒェン・ボルヒャート
Dana Vávrová,ダーナ・ヴァヴロヴァ
Hermann Lüdemann,ヘルマン・リューデマン
Marc Rothemund,マルク・ローテムント
Hans Albert,ハンス・アルバート
Senta Berger,センタ・バーガー
Didi Senft,悪魔おじさん
Hans Fruhstorfer,ハンス・フルストルファー
Oswald Mathias Ungers,オスヴァルト・マティアス・ウンガース
Heinrich Behnke,ハインリヒ・ベーンケ
Gerhard Domagk,ゲルハルト・ドーマク
Hannes Aigner,ハネス・アイグナー
Rudolf Moralt,ルドルフ・モラルト
Anni Steuer,アンニ・シュトイヤー
Gerhard Ebeling,ゲアハルト・エーベリンク
Emil Hirschfeld,エミール・ヒルシュフェルト
Marie Luise Kaschnitz,マリー・ルイーゼ・カシュニッツ
Rebecca Harms,レベッカ・ハルムス
Aenne Biermann,アンネ・ビエールマン
Gil Ofarim,ギル・オファリム
Johann von Aldringen,ヨハン・フォン・アルドリンゲン
Peter Müller,ペーター・ミュラー
Günther Jauch,ギュンター・ヤウフ
Johann Friedrich Gmelin,ヨハン・フリードリヒ・グメリン
Tom Tykwer,トム・ティクヴァ
Wolfgang Paul,ヴォルフガング・パウル
Hendrik Dreekmann,ヘンドリク・ドレークマン
Alfred Saalwächter,アルフレート・ザールヴェヒター
Rudolf Rößler,ルドルフ・レスラー
Josef Kammhuber,ヨーゼフ・カムフーバー
Karin Dor,カリン・ドール
Rudolf-Christoph Freiherr von Gersdorff,ルドルフ＝クリストフ・フォン・ゲルスドルフ
Joachim Peiper,ヨアヒム・パイパー
Wendelin Wiedeking,ヴェンデリン・ヴィーデキング
Jakob Thomasius,ヤーコプ・トマジウス
Wilhelm List,ヴィルヘルム・リスト
Karl Hugo Strunz,カール・フーゴ・シュツルンツ
Carl-Uwe Steeb,カール＝ウーヴェ・シュテープ
Hans Matthöfer,ハンス・マテファー
Johann Wilhelm,ユーリヒ＝クレーフェ＝ベルク公ヨハン
Friedrich Sustris,フリードリヒ・スストリス
August I.,アウグスト1世
Wolfgang Leonhard,ヴォルフガング・レオンハルト
Gotthard Heinrici,ゴットハルト・ハインリツィ
Arthur Nikisch,アルトゥル・ニキシュ
Beatrix von Bayern,ベアトリクス・フォン・バイエルン
Kurt Meyer,クルト・マイヤー
Sophie von der Pfalz,ゾフィー・フォン・デア・プファルツ
Nikolaus von Falkenhorst,ニコラウス・フォン・ファルケンホルスト
Johannes Blaskowitz,ヨハネス・ブラスコヴィッツ
Conny Pohlers,コニー・ポーラーズ
Werner Maihofer,ウェルナー・マイホーファー
Alexander Rüstow,アレクサンダー・リュストー
Sabine Schmitz,サビーネ・シュミッツ
Siegfried Palm,ジークフリート・パルム
Frida Leider,フリーダ・ライダー
Walter Giller,ワルター・ギラー
Lutz D. Schmadel,ルッツ・D・シュマーデル
Georg von Oldenburg,ゲオルク・フォン・オルデンブルク
Thomas Brdarić,トーマス・ブルダリッチ
Hans Apel,ハンス・アーペル
Ludwig Karl Maria von Bayern,ルートヴィヒ・フォン・バイエルン
Friedrich Ludwig von Württemberg-Winnental,フリードリヒ・ルートヴィヒ・フォン・ヴュルテンベルク＝ヴィンネンタル
Maria Kliegel,マリア・クリーゲル
Günter Wächtershäuser,ギュンター・ヴェヒタースホイザー
Edzard Ernst,エツァート・エルンスト
Konrad Morgen,コンラート・モルゲン
Walther Funk,ヴァルター・フンク
Niklas Luhmann,ニクラス・ルーマン
Paul Moritz Warburg,ポール・ウォーバーグ
Menahem Pressler,メナヘム・プレスラー
Oskar Kummetz,オスカー・クメッツ
Jürgen Röber,ユルゲン・レーバー
Matthias Kleinheisterkamp,マティアス・クラインハイスターカンプ
Ralph Kronig,ラルフ・クローニッヒ
Holger Stanislawski,ホルガー・スタニスラウスキ
Michaele Schreyer,ミヒャエレ・シュライアー
Katja Riemann,カッチャ・リーマン
Georg Lassen,ゲオルク・ラセン
Chris Liebing,クリス・リービング
Muriel Baumeister,ムリエル・バウマイスター
Günther Victor,ギュンター・ヴィクトル (シュヴァルツブルク侯)
Wilhelm Bittrich,ヴィルヘルム・ビットリッヒ
Ulf Timmermann,ウルフ・ティンマーマン
Otto Kretschmer,オットー・クレッチマー
Gerhard Anschütz,ゲアハルト・アンシュッツ
Josef Stübben,ヨーゼフ・スチューベン
Tobias Unger,トビアス・ウンガー
Carl Herzog von Württemberg,カール・フォン・ヴュルテンベルク
Ludwig Hassenpflug,ルートヴィヒ・ハッセンプフルク
Markus Stenz,マルクス・シュテンツ
Johann Thölde,ヨハン・テルデ
Otto Friedrich Bollnow,オットー・フリードリッヒ・ボルノウ
Irmingard von Bayern,イルミンガルト・フォン・バイエルン
Klaus Hänsch,クラウス・ヘンシュ
Oskar von Hutier,オスカー・フォン・フーチェル
Christian Ludwig Herzog zu Mecklenburg,クリスティアン・ルートヴィヒ・ツー・メクレンブルク
Annika Mehlhorn,アニカ・メールホルン
Sabine Bergmann-Pohl,ザビーネ・ベルクマン＝ポール
Anton Günther Herzog von Oldenburg,アントン・ギュンター・フォン・オルデンブルク
Werner Janensch,ヴェルナー・ヤーネンシュ
Johann Georg Rosenhain,ヨハン・ローゼンハイン
Friedrich Georg Jünger,フリードリッヒ・ゲオルク・ユンガー
Sophie von La Roche,ゾフィー・フォン・ラ・ロシェ
WestBam,ヴェストバム
Josias von Heeringen,ヨジアス・フォン・ヘーリンゲン
Judith von Thüringen,テューリンゲンのユディ
Walter Andrae,ワルター・アンドレ
Bernhard Rudolf Abeken,ベルンハルト・ルドルフ・アーベケン
Hans Modrow,ハンス・モドロウ
Severin Freund,ゼヴェリン・フロイント
Viola Bauer,ヴィオラ・バウアー
Ernst Bloch,エルンスト・ブロッホ
Hannah Stockbauer,ハナ・シュトックバウアー
Wilhelm Souchon,ヴィルヘルム・スション
Michel Lippert,ミヒャエル・リッペルト
Matthias Pintscher,マティアス・ピンチャー
Graciano Rocchigiani,グラシアノ・ロッシジャーニ
Albert Knapp,アルベルト・クナップ
Ruth Leuwerik,ルート・ロイヴェリク
Gottfried Benn,ゴットフリート・ベン
Matthias Freihof,マティアス・フライホーフ
Günter von Drenkmann,ギュンター・フォン・ドレンクマン
Ernst I. von Baden-Durlach,エルンスト (バーデン＝ドゥルラハ辺境伯)
Rudolf Augstein,ルドルフ・アウクシュタイン
Paul Oswald Ahnert,パウル・オズワルト・アーネルト
Heike Drechsler,ハイケ・ドレクスラー
Britta Steffen,ブリッタ・シュテフェン
Ermanno Wolf-Ferrari,エルマンノ・ヴォルフ＝フェラーリ
Franz Etzel,フランツ・エッツェル
Hans Jonas,ハンス・ヨナス
Anneliese Michel,アンネリーゼ・ミシェル
Gerhard Barkhorn,ゲルハルト・バルクホルン
Helmuth Weidling,ヘルムート・ヴァイトリング
Wilhelm Buck,ヴィルヘルム・ブック
Mark Benecke,マルク・ベネッケ
Friedrich August III.,フリードリヒ・アウグスト3世
Volker Beck,フォルカー・ベック
Lothar Koch,ローター・コッホ
Paul Hindemith,パウル・ヒンデミット
Ernst Zermelo,エルンスト・ツェルメロ
Johannes Gropper,ヨハネス・グロッパー
Dietrich Adolf Hrabak,ディートリヒ・フラバク
Alexander Mitscherlich,アレクサンダー・ミッチャーリヒ
Herbert Rosenfeld,ハーバート・ロゼンフェルド
Rudolf August,ルドルフ・アウグスト
Hans Furler,ハンス・フルラー
Marion Gräfin Dönhoff,マリオン・グレフィン・デンホフ
Wilhelm Röpke,ヴィルヘルム・レプケ
Friedrich von Ingenohl,フリードリヒ・フォン・インゲノール
Emilie Schindler,エミーリエ・シンドラー
Frank Farian,フランク・ファリアン
Wilhelm Sievers,ヴィルヘルム・ジーファース
Heinz Nixdorf,ハインツ・ニクスドルフ
Siegfried Hausner,ジークフリート・ハウスナー
Wolf Kahler,ヴォルフ・カーラー
Otto Seeck,オットー・ゼーク
Christof Leng,クリストフ・レンク
Ernst Zinner,エルンスト・ツィナー
Ingrid Caven,イングリット・カーフェン
Ulrich Mühe,ウルリッヒ・ミューエ
Walter Baade,ウォルター・バーデ
Andreas Voßkuhle,アンドレアス・フォスクーレ
Marika Kilius,マリカ・キリウス
Hans-Gerhard Creutzfeldt,ハンス・ゲルハルト・クロイツフェルト
Elisabeth Auguste Sofie von der Pfalz,エリーザベト・アウグステ・ゾフィー・フォン・デア・プファルツ
Martina Strutz,マルティナ・スタルツ
Käthe Haack,ケーテ・ハーク
Jens Müller,イェンス・ミューラー
Walther Rauff,ヴァルター・ラウフ
Ferdinand Leitner,フェルディナント・ライトナー
Karl-Otto Alberty,カール＝オットー・アルベルティ
Robert Michels,ロベルト・ミヒェルス
Evelyn Hamann,イヴリン・ハーマン
Marlene Weingärtner,マルレーネ・ワインガルトナー
Wilhelm II.,ヴィルヘルム2世
Erich von dem Bach-Zelewski,エーリヒ・フォン・デム・バッハ＝ツェレウスキー
Hans-Jürgen Bäumler,ハンス＝ユルゲン・ボイムラー
Carl Neuberg,カール・ノイベルグ
Lisa Ryzih,リサ・リツィフ
Albrecht VI.,アルブレヒト6世 (メクレンブルク公)
Arthur Rudolph,アルトゥール・ルドルフ
Kurt Weitzmann,クルト・ワイッツマン
Michael Hamburger,マイケル・ハムバーガー
Erich-Heinrich Clößner,エーリヒ＝ハインリヒ・クレスナー
Edith Jacobson,エディス・ヤコブソン
Hans Pfitzner,ハンス・プフィッツナー
Thomas de Maizière,トーマス・デメジエール
Johann Kasimir,ヨハン・カジミール
Wilhelm V. von Kleve,ヴィルヘルム5世
Hertha Bothe,ヘルタ・ボーテ
Max Littmann,マックス・リットマン
Heini Klopfer,ハイニ・クロッパー
Hans-Karl von Esebeck,ハンス＝カール・フォン・エセベック
Horst P. Horst,ホルスト・P・ホルスト
Georg Wilhelm,ゲオルク・ヴィルヘルム (プファルツ＝ツヴァイブリュッケン＝ビルケンフェルト公)
Annika Becker,アニカ・ベッカー
Heinz Tietjen,ハインツ・ティーティエン
Loretta Lux,ロレッタ・ラックス
Wilhelm Furtwängler,ヴィルヘルム・フルトヴェングラー
Elisabeth Schwarzkopf,エリーザベト・シュヴァルツコップ
Alfred Baeumler,アルフレート・ボイムラー
Adolf von Strümpell,アドルフ・ストリュムペル
Albert Betz,アルバート・ベッツ
Clueso,クリューゾ
Marie Karoline von Battenberg,マリー・フォン・バッテンベルク
Adolf Schlagintweit,アドルフ・シュラーギントヴァイト
Volker Schlöndorff,フォルカー・シュレンドルフ
Karl Rahner,カール・ラーナー
Hans Mommsen,ハンス・モムゼン
Gerhard Wilck,ゲルハルト・ヴィルク
Hans-Gert Pöttering,ハンス＝ゲルト・ペテリング
Erich Mielke,エーリッヒ・ミールケ
Karl von den Steinen,カール・フォン・デン・シュタイネン
Franz Eilhard Schulze,シェルツェ
Carlo Schmid,カルロ・シュミット
Wilhelm Keppler,ヴィルヘルム・ケプラー
Götz Aly,ゲッツ・アリー
Johann Wilhelm,ヨハン・ヴィルヘルム
Maria Sibylla Merian,マリア・ジビーラ・メーリアン
Rudolf Caracciola,ルドルフ・カラツィオラ
Joachim Fest,ヨアヒム・フェスト
Karl Friedrich Küstner,フリードリッヒ・キュストナー
Robert Gernhardt,ローベルト・ゲルンハルト
Philip Agee,フィリップ・エイジー
Harald Quandt,ハラルト・クヴァント
Ralf Rothmann,ラルフ・ロートマン
James Kwast,ジェームス・クヴァスト
Walter Fries,ヴァルター・フリーズ
Michael von Albrecht,ミヒャエル・フォン・アルブレヒト
Nicole Reinhardt,ニコーレ・ラインハルト
Miriam Welte,ミーリアム・ヴェルテ
Herbert Albert,ヘルベルト・アルベルト
Robert Förstemann,ローベルト・フェルステマン
Alfred Kerr,アルフレート・ケール
Ludwig Suthaus,ルートヴィヒ・ズートハウス
Sonja Ziemann,ソニア・ツィーマン
Hans Scholl,ハンス・ショール
Richard zu Sayn-Wittgenstein-Berleburg,リヒャルト・ツー・ザイン＝ヴィトゲンシュタイン＝ベルレブルク
Gustav Noske,グスタフ・ノスケ
Georg Friedrich Prinz von Preußen,ゲオルク・フリードリヒ・フォン・プロイセン
Kuno von Westarp,クーノ・フォン・ヴェスタープ
Harald Schmidt,ハラルト・シュミット
Vitali Tajbert,ビタリ・タイベルト
August Conrady,アウグスト・コンラーディ
Martin Mutschmann,マルティン・ムッチュマン
Simon Pauli der Jüngere,ジーモン・パウリ
Wilhelm Herrmann,ヴィルヘルム・ヘルマン
Markus Beyer,マルクス・バイエル
Martin Walser,マルティン・ヴァルザー
Alfred Döblin,アルフレート・デーブリーン
Gunter Sachs,ギュンター・ザックス
Karl,カール
Johannes Coccejus,ヨハンネス・コッケイウス
Hans Tropsch,ハンス・トロプシュ
Germar Rudolf,ゲルマー・ルドルフ
Sarah Hecken,ザラ・ヘッケン
Kurt Tucholsky,クルト・トゥホルスキー
Ulrich von Zatzikhoven,ウルリヒ・フォン・ツァツィクホーフェン
Wolfgang Schadewaldt,ヴォルフガング・シャーデヴァルト
Matthias Goerne,マティアス・ゲルネ
Walter Zimmermann,ヴァルター・マックス・ツィンマーマン
Theodor Osterkamp,テオドール・オステルカンプ
Franz-Paul Decker,フランツ＝パウル・デッカー
Richard Freitag,リヒャルト・フライターク
Markus Wolf,マルクス・ヴォルフ
Anke Huber,アンケ・フーバー
Wolfram Sievers,ヴォルフラム・ジーヴァス
Manuel Reuter,マヌエル・ロイター
Manuela Henkel,マヌエラ・ヘンケル
Hermann Gröhe,ヘルマン・グレーエ
Til Schweiger,ティル・シュヴァイガー
Ludwig I.,ルートヴィヒ1世
Gustav Lombard,グスタフ・ロンバルト
Gustav Samuel Leopold,グスタフ・ザムエル・レオポルト
Lale Andersen,ララ・アンデルセン
Christa Wolf,クリスタ・ヴォルフ
Sig Ruman,シグ・ルーマン
Heike Makatsch,ハイケ・マカチュ
Hans Biebow,ハンス・ビーボウ
Christina Schwanitz,クリスティナ・シュワニッツ
Reinhard Genzel,ラインハルト・ゲンツェル
Ferdinand Maximilian von Baden-Baden,フェルディナント・マクシミリアン・フォン・バーデン＝バーデン
Johann Philipp von Schönborn,ヨハン・フィリップ・フォン・シェンボルン
Jürgen Kocka,ユルゲン・コッカ
Maria Böhmer,マリア・ベーマー
Paul Speratus,パウル・スペラトゥス
Karl Simrock,カール・ヨーゼフ・ジムロック
Wilhelm Fahrmbacher,ヴィルヘルム・ファームバッハー
Friedrich Wilhelm Gotter,フリードリヒ・ヴィルヘルム・ゴッター
Hermann Otto Solms,ヘルマン・オットー・ゾルムス
Jakob Adlung,ヤーコプ・アードルング
Joschka Fischer,ヨシュカ・フィッシャー
Georg Milbradt,ゲオルク・ミルブラット
Juan Linz,ホアン・リンス
Ernst Baier,エルンスト・バイアー
Wilhelm der Jüngere,ヴィルヘルム・デア・ユンゲレ
Karl Hermann Frank,カール・ヘルマン・フランク
Frank Biela,フランク・ビエラ
Dietmar Hopp,ディートマー・ホップ
Amalie zu Solms-Braunfels,アマーリエ・フォン・ゾルムス＝ブラウンフェルス
Heinrich Aldegrever,ハインリヒ・アルデグレーファー
Alexander von Falkenhausen,アレクサンダー・フォン・ファルケンハウゼン
Bert Hellinger,バート・ヘリンガー
Hans Ehard,ハンス・エーハルト
Johann Georg Graevius,ヨハン・ゲオルク・グラエヴィウス
Gustav Andreas Tammann,グスタフ・タンマン
Gustav von Vaerst,グスタフ・フォン・ファースト
Otto von Bülow,オットー・フォン・ビューロー
Joachim Ernst von Anhalt,ヨアヒム・エルンスト
Balthasar Hubmaier,バルタザール・フープマイヤー
Friedrich von Baden-Durlach,フリードリヒ・フォン・バーデン＝ドゥルラハ
Johann Fabricius,ヨハネス・ファブリキウス
Anna Seghers,アンナ・ゼーガース
Liesel Westermann,リーゼル・ヴェステルマン
Sven Ottke,スベン・オットケ
Johann II.,ヨハン2世 (プファルツ＝ツヴァイブリュッケン＝フェルデンツ公)
Sophie Charlotte von Oldenburg,ゾフィー・シャルロッテ・フォン・オルデンブルク
Albert von Thurn und Taxis,アルベルト・フォン・トゥルン・ウント・タクシス
Gottlob Frick,ゴッドロープ・フリック
Eva Pfaff,エーファ・ファフ
Eugen Jochum,オイゲン・ヨッフム
Hans Knappertsbusch,ハンス・クナッパーツブッシュ
Ernst Uhrlau,エルンスト・ウーアラウ
Christian Tetzlaff,クリスティアン・テツラフ
Charlotte Bühler,シャーロッテ・ビューラー
Michael Ballhaus,ミヒャエル・バルハウス
Lothar de Maizière,ロタール・デメジエール
Claudia Pechstein,クラウディア・ペヒシュタイン
Wolfgang Liebeneiner,ヴォルフガング・リーベンアイナー
Harun Farocki,ハルン・ファロッキ
Günther-Eberhardt Wisliceny,ギュンター＝エーベルハルト・ヴィスリツェニー
Wilhelm Schickard,ヴィルヘルム・シッカート
Michael Groß,ミヒャエル・グロス
Rüdiger Gamm,リューディガー・ガム
Karl Julius Beloch,カール・ユリウス・ベロッホ
Max Warburg,マックス・ヴァールブルク
Julius Curtius,ユリウス・クルティウス
Friedrich Hielscher,フリードリヒ・ヒールシャー
Sven Schipplock,スヴェン・シプロック
Johann Andreas von Segner,ヨハン・アンドレアス・フォン・ゼグナー
Armin Meiwes,アルミン・マイヴェス
August Diehl,アウグスト・ディール
Franz Beyer,フランツ・バイヤー
Karl Steinbuch,カール・シュタインブーフ
Hans Oster,ハンス・オスター
Egon Eiermann,エゴン・アイアーマン
Charlie Bauerfeind,シャーリー・バウアーファイント
Georg Meissner,ゲオルク・マイスナー
Walter Krüger,ヴァルター・クリューガー
Bastian Steger,バスティアン・シュテガー
Stephan Vuckovic,ステファン・ブコビッチ
Marc Acardipane,マーク・トローネ
Hans von Beseler,ハンス・ハルトヴィヒ・フォン・ベセラー
Hans Conon von der Gabelentz,ハンス・ゲオルク・コノン・フォン・デル・ガベレンツ
Melchior Hofmann,メルキオール・ホフマン
Albert Göring,アルベルト・ゲーリング
Gudrun Burwitz,グドルーン・ブルヴィッツ
Stipe Erceg,スティペ・エルツェッグ
Luise Adelgunde Victorie Gottsched,ルイーゼ・ゴットシェット
Johann Heinrich Zedler,ヨハン・ヘインリッチ・ゼドラー
Wolfgang Graf Berghe von Trips,ウォルフガング・フォン・トリップス
Hans Krebs,ハンス・クレープス
Benno Landsberger,ベンノ・ランツベルガー
Charlotte Knobloch,シャーロッテ・ノブロック
Michael Mayer,マイケル・メイヤー
Elena Gerhardt,エレナ・ゲルハルト
"Prinz Berthold, Markgraf von Baden",ベルトルト・フォン・バーデン
Herbert Gille,ヘルベルト・オットー・ギレ
Helmut Newton,ヘルムート・ニュートン
Ivan Rebroff,イヴァン・レブロフ
Martin Emmrich,マルティン・エメリッヒ
Peter Schöffer,ペーター・シェッファー
Dirk Raudies,ダーク・ラウディス
Sandro Cortese,サンドロ・コルテセ
Jochen Mass,ヨッヘン・マス
Georg Wenzeslaus von Knobelsdorff,ゲオルク・ヴェンツェスラウス・フォン・クノーベルスドルフ
Bernhard Grzimek,ベルンハルト・グルチメク
Ludwig Müller,ルートヴィヒ・ミュラー
Hans Dreier,ハンス・ドライヤー
Eugen Kogon,オイゲン・コーゴン
Hedwig von Pfalz-Sulzbach,ヘートヴィヒ・フォン・プファルツ＝ズルツバッハ
Heiner Müller,ハイナー・ミュラー
Carl Friedrich Goerdeler,カール・ゲルデラー
Ludwig II.,ルートヴィヒ2世 (プファルツ＝ツヴァイブリュッケン公)
Gunther von Hagens,グンター・フォン・ハーゲンス
Lothar von Trotha,ロタール・フォン・トロータ
Heinrich Hoffmann,ハインリヒ・ホフマン
Andreas Scholl,アンドレアス・ショル
Victor Klemperer,ヴィクトル・クレンペラー
Günter Schabowski,ギュンター・シャボウスキー
Hans Georg Dehmelt,ハンス・デーメルト
Fedor von Bock,フェードア・フォン・ボック
Marie Luise von Hessen-Kassel,マリア・ルイーゼ・ファン・ヘッセン＝カッセル
Karl III. Philipp,カール3世フィリップ
August Kopff,アウグスト・コプフ
Thomas Berthold,トーマス・ベルトルト
Friedrich Karl Arnold Schwassmann,アルノルト・シュヴァスマン
Wyn Hoop,ウィン・フープ
Hartwig Altenmüller,ハートヴィッヒ・アルテンミュラー
Michael Verhoeven,ミヒャエル・セントフレーベン
Max Raabe,マックス・ラーベ
Albert Leo Schlageter,アルベルト・レオ・シュラーゲター
Hans Heinrich Lammers,ハンス・ハインリヒ・ラマース
Maximilian Mechler,マクシミリアン・メヒラー
Ludwig Hilberseimer,ルートヴィヒ・ヒルベルザイマー
Heinz Müller,ハインツ・ミュラー
Ferdinand von Bredow,フェルディナント・フォン・ブレドウ
Hermann-Bernhard Ramcke,ヘルマン＝ベルンハルト・ラムケ
Ludwig von Battenberg,ルイス・アレグザンダー・マウントバッテン
Otto Liman von Sanders,オットー・リーマン・フォン・ザンデルス
Joseph Schröffer,ヨーゼフ・シュレッファー
Gesine Walther,ゲジーネ・ヴァルター
Karl Jordan,カール・ジョーダン
Reinhard Mohn,ラインハルト・モーン
Peter Duesberg,ピーター・デュースバーグ
Heinz Tiessen,ハインツ・ティーセン
Hans Jüttner,ハンス・ユットナー
Paul Bonatz,パウル・ボーナッツ
Ole Bischof,オーレ・ビショフ
Ludwig von Friedeburg,ルートヴィヒ・フォン・フリーデブルク
Walter Friedlaender,ウォルター・フリートレンダー
Klaus Thunemann,クラウス・トゥーネマン
Eugen Bolz,オイゲン・ボルツ
Theodor Tolsdorff,テオドール・トルスドルフ
Grit Breuer,グリット・ブロイアー
Wilhelm Ritter von Leeb,ヴィルヘルム・フォン・レープ
Walter Model,ヴァルター・モーデル
Kurt Schumacher,クルト・シューマッハー
Jost Vacano,ヨスト・ヴァカーノ
Wilhelm Ernst,ヴィルヘルム・エルンスト (ザクセン＝ヴァイマル公)
Wilhelm Gustloff,ヴィルヘルム・グストロフ
Konrad Henlein,コンラート・ヘンライン
Norbert Lammert,ノルベルト・ランメルト
Heinz Günther Guderian,ハインツ・ギュンター・グデーリアン
Martin Wuttke,マルティン・ヴトケ
Johann Reichhart,ヨハン・ライヒハート
Manfred Bukofzer,マンフレッド・ブコフツァー
Regina Halmich,レジーナ・ハルミッヒ
Uwe Schmidt,セニョール・ココナッツ
Hermann Helmer,ヘルマン・ゴットリーブ・ヘルマー
Walter Blume,ヴァルター・ブルーメ
Hans Herrmann,ハンス・ヘルマン
Erwin Huber,エルヴィン・フーバー
Dietrich von Saucken,ディートリヒ・フォン・ザウケン
Richard Glücks,リヒャルト・グリュックス
Rosemarie Ackermann,ローズマリー・アッカーマン
