Diego Velázquez,委拉斯開茲
Alberto Rivera (activista),阿爾貝托·里維拉
Miguel Ángel Martínez Martínez,米格尔·安赫尔·马丁内斯·马丁内斯
Elsa Pataky,埃尔莎·帕塔奇
María José Martínez,玛丽亚·何塞·马丁内斯·桑切斯
Carla Suárez,卡拉·蘇亞雷斯·納瓦羅
Cristina de Borbón,克里斯蒂娜·(西班牙王女)
Demetrio Lozano,德梅特里奥·洛萨诺
Ana Peleteiro,安娜·佩莱泰罗
Miguel Ángel Jiménez,米格·安哲爾·希梅尼茲
Joaquín Domínguez Bécquer,华金·多明格斯·贝克尔
Jordi Llopart,豪尔赫·略帕特
Antonio Tauler,托尼·陶莱尔
Tito Vilanova,蒂托·比拉诺瓦
Dani Jarque,丹尼爾·哈爾克
Feliciano López,費利西亞諾·洛佩斯
María Luisa Gabriela de Saboya,瑪麗亞·路易莎·加布里埃拉
Isabel Farnesio,埃麗莎貝塔·法爾內塞
Práxedes Mateo Sagasta,普拉克塞德斯·马特奥·萨加斯塔
Santiago Bernabéu,圣地亚哥·伯纳乌·耶斯特
Quini,恩里克·卡斯特罗
Pompeu Fabra,庞佩乌·法布拉
Juan Prim,胡安·普里姆
Antonio de Nebrija,安东尼奥·德·内夫里哈
Mariano Fortuny,马里亚·福尔图尼
Rubén Iván Martínez Andrade,魯本·伊萬·馬丁內斯
Catalina Micaela de Austria,西班牙的卡特琳娜·米蓋拉
María Isabel de Borbón,波旁的瑪麗亞·伊莎貝爾·(1789年—1848年)
Jaume Fort,豪梅·福特
Martín López-Zubero,马丁·洛佩斯-苏韦罗
Jordi Villacampa,霍尔迪·比利亚坎帕
Conchita Martínez,康奇塔·馬丁內斯
Mariana Victoria de Borbón,瑪麗安娜·維多利亞·(西班牙)
Bárbara de Braganza,葡萄牙的芭芭拉
Fabiola de Mora y Aragón,法比奧拉王后·(比利時)
María de Jesús de León y Delgado,玛丽亚·德莱昂
Victoria de los Ángeles,維多利亞·德·洛斯·安赫萊斯
Javier Cercas,哈维尔·塞尔加斯
Ramón Menéndez Pidal,拉蒙·梅嫩德斯·皮达尔
José María Romero Poyón,荷西·馬利
Antonio Cañizares,安多尼·卡尼萨雷斯·廖韦拉
Manuel Allendesalazar,曼努埃尔·阿连德萨拉查-穆尼奥斯·德-萨拉查
Hugo de Santalla,烏戈·桑塔耶
Felip Ortiz,费利普·奥尔蒂斯
Bernardo de Gálvez,贝尔纳多·德·加尔维斯
Jaime de Borbón y Battenberg,海梅·(塞戈維亞公爵)
Enric Valor,恩里克·巴洛爾
Alfonso de Borbón (1941-1956),阿方索·德·波旁·(1941年—1956年)
Ona Carbonell,奥娜·卡沃内利
Jesús López Cobos,赫苏斯·洛佩斯·科沃斯
Wayne Brabender,韦恩·布拉文德尔
Roberto Batres,罗伯托·巴特雷斯·迪亚兹
Tomás de la Quadra-Salcedo,托马斯·德拉夸德拉-萨尔塞多
Diego Abad de Santillán,迭戈·阿瓦德·德·桑蒂连
María Antonia Fernanda de Borbón,瑪麗亞·安東妮婭·費迪南達
María Teresa Rafaela de España,瑪麗亞·特蕾莎·拉法埃拉·(西班牙)
Natalia Oreiro,娜塔莉娅·奥雷罗
Mireia Belmonte,米芮亞·貝蒙特·加西亞
Isabel Coixet,伊莎貝拉·庫謝特
Gerardo Diego,赫拉多·迪亚哥
María Isabel de Braganza,瑪麗亞·伊莎貝爾·(布拉干薩)
Marta Baldó,玛尔塔·巴尔多
Jorge Maqueda,豪尔赫·马克达
Nathalia Ramos,娜塔莉亞·羅蒙絲
Bebe,贝贝·(歌手)
Antonio José de Cavanilles,安東尼奧·何塞·卡瓦尼列
Carlos Sainz Jr.,小卡洛斯·塞恩斯
Paz Vega,帕兹·维嘉
María Antonia de Nápoles,瑪麗亞·安東妮亞·(那不勒斯和西西里公主)
Víctor Sánchez del Amo,维克托·桑切斯·德尔·阿莫
Sixto Enrique de Borbón,西克斯圖斯·亨利王子·(波旁-帕爾馬)
Ramón Franco,拉蒙·佛朗哥
Vicente Aranda,文森特·阿兰达
Raúl Entrerríos,劳尔·恩特雷里奥斯
Javier Echevarría Rodríguez,蔡浩偉
Luis Egidio Meléndez,路易斯·埃希迪奧·梅倫德斯
Casto Plasencia,卡斯托·普拉森西亚
Sanmao (escritora),三毛·(作家)
Mario Casas,馬里奧·卡薩斯
Àstrid Bergès-Frisbey,阿斯特丽德·伯格斯·弗瑞斯贝
Teresa Berganza,特蕾莎·布干薩
Severo Ochoa,塞韦罗·奥乔亚
Antonio de Guevara,安东尼奥·德·格瓦拉
María de las Mercedes de Borbón y Orleans,瑪麗亞·梅塞德斯·(波旁-兩西西里)
Agustín Muñoz Grandes,阿古斯丁·穆尼奥斯·格兰德斯
María Josefa Amalia de Sajonia,瑪麗亞·約瑟法·阿瑪莉亞
Francisco Álvarez Martínez,方濟各·阿爾瓦雷斯·馬丁內斯
Joel Robles,若埃爾·羅伯斯
Carlota Joaquina de Borbón,西班牙的卡洛塔·若阿金娜
María Luisa de Borbón (1782-1824),瑪麗亞·路易莎·(盧卡女公爵)
Albert Torres Barceló,阿尔伯特·托雷斯
Arsenio Martínez Campos,阿尔塞尼奥·马丁内斯·坎波斯
Narciso Suárez Amador,纳西索·苏亚雷斯
Agustín García-Gasco,阿古斯丁·加西亚-加斯科·比森特
Roberto Gerhard,罗伯托·格哈德
Sergio Escudero Palomo,塞爾吉奥·埃斯庫德羅·帕洛莫
Jesús Gil,赫苏斯·希尔
Emilio Menéndez del Valle,埃米略·梅嫩德斯·德尔瓦列
Juan Fernández (marino),胡安·费尔南德斯
María Francisca de Braganza,葡萄牙的瑪麗亞·法蘭西絲卡
Jon Kortajarena,喬·可塔迦納
Ildefonso Cerdá,伊尔德丰斯·塞尔达
José Antonio Montero,何塞·安东尼奥·蒙特罗
Jordi Arrese,霍尔迪·阿雷塞
Jesús Rollán,赫苏斯·罗利安
Juan Antonio Ramos,胡安·安东尼奥·拉莫斯
Boris Izaguirre,波里斯·伊沙奎爾
Fernando Ocáriz Braña,范康仁
Joel González,霍埃尔·冈萨雷斯
José Luis Moltó,何塞·路易斯·莫爾托
Crisóstomo Martínez,克里索斯托莫·馬丁內斯
Albert Portas,阿爾伯特·波爾塔斯
Manu Herrera,馬努·埃雷拉
Julián Herranz Casado,儒利安·埃蘭斯·卡薩多
Jorge Manrique,霍赫·曼里奎
Sara Carbonero,莎拉·卡邦奈洛
Casto Espinosa Barriga,卡斯圖·(足球運動員)
Cristian Darío Álvarez,基斯甸·達里奧·艾華利斯
Borja Oubiña,博尔哈·奥比纳
Eliseo Martín,埃利塞奥·马丁
Raimundo Fernández Villaverde,莱蒙多·费尔南德斯·比利亚维尔德
Carmen Maura,卡門·莫拉
Leonor Watling,蓮娜·瓦特伶
Joan Pujol,胡安·普约尔·加西亚
Baltasar Carlos de Austria,巴爾塔沙·卡洛斯
Juan Antonio San Epifanio,胡安·安东尼奥·圣埃皮法尼奥
José Manuel Abascal,何塞·曼努埃尔·阿瓦斯卡尔
Lara Arruabarrena,拉拉·阿魯阿巴雷納
Margarita de Borbón,瑪格麗塔·德·波旁
Ivana Baquero,伊凡娜·巴吉羅
María Vasco,玛丽亚·巴斯科
Luisa Carlota de Borbón-Dos Sicilias,兩西西里的路易莎·卡洛塔
Chris Marquette,克里斯·馬奎特
George Santayana,乔治·桑塔亚那
Anna Cruz,安娜·克鲁斯
María Teresa Torró Flor,瑪麗亞·特雷莎·陶洛·弗洛
Francisco Pradilla,弗朗西斯科·普拉迪利亚
José Rodríguez Martínez,何塞·罗德里格斯·(足球运动员)
Wally Szczerbiak,沃利·斯泽比亚克
Gonzalo Queipo de Llano,冈萨洛·奎波·德·里亚诺
María de Villota,玛丽亚·德·薇罗塔
Lucía Etxebarria,露西娅·埃切贝里亚
Mario Maya,馬力歐·馬雅
Joseba Sarrionandia,何塞法·薩里奧南迪亞
Elvira Lindo,爱尔薇拉·林多
Dámaso Rodríguez Martín,达玛稣·罗德里格斯·马丁
Carlos Busquets,卡路士·布斯基斯
María Luisa Fernanda de Borbón,路易莎·費爾南達·(蒙龐西耶公爵夫人)
Eulalia de Borbón,西班牙的歐拉麗亞
Isabel de Borbón y Borbón,波旁的瑪麗亞·伊莎貝爾·(1851年—1931年)
Elena Anaya,埃琳纳·安娜亚
Pilar de Borbón,皮拉·(巴達霍斯女公爵)
Joaquín Vázquez,华金·巴斯克斯
Víctor Claver,維克多·克拉夫
Fran Yeste,弗朗西斯科·耶斯特
Jorge Lorenzo,豪爾赫·洛倫佐
Juan Jacinto Muñoz Rengel,胡安·哈辛托·穆尼奥斯·伦格尔
Pedro Serrano,佩德羅·塞拉諾
Juan Lindo,胡安·林多
Emilio Castelar,埃米利奥·卡斯特拉尔
Marcelino Menéndez Pelayo,马塞利诺·梅嫩德斯·佩拉约
Fernando Vicente Fibla,費爾南多·比森特
Miguel Ángel Falasca,米格尔·安赫尔·法拉斯卡
Domingo Cisma,多明戈·西斯马
Jesús Huerta de Soto,韦尔塔·德索托
María Teresa Fernández de la Vega,玛丽亚·特蕾莎·费尔南德斯·德拉维加
Silvia Soler,西爾維婭·索勒·艾絲皮諾莎
Dolores Ibárruri,多洛雷斯·伊巴露丽
Ángeles Caso,安赫莱斯·卡索
Gaspar Cassadó,加斯帕尔·卡萨多
Emilio Sánchez (tenista),埃米利奥·桑切斯
José de Acosta,何塞·德·阿科斯塔
Jesús Gámez,捷西斯·加美斯
Miguel Ángel Estrada,米格尔·埃斯特拉达
Morten Skoubo,摩頓·史高保
Víctor Erice,维克多·艾里斯
Pablo Aguilar Bermúdez,帕布羅·阿吉拉爾
Roberto Bautista,羅伯托·包蒂斯塔·阿古特
Juan José Flores,胡安·何塞·弗洛雷斯
Lola Flores,罗拉·弗洛雷斯
Carmen Amaya,卡門·阿瑪雅
María Valverde,瑪莉亞·瓦維德
José María Olazábal,何塞·马里亚·奥拉萨瓦尔
Manuel Martínez Gutiérrez,曼努埃尔·马丁内斯·古铁雷斯
Ana Pastor Julián,安娜·帕斯托尔·胡利安
Luisa Francisca de Guzmán,路易莎·德·古茲曼
Catalanes,加泰隆尼亞人
Nicolás Almagro,尼古拉斯·阿爾瑪格羅
Florentino Pérez,弗洛伦蒂诺·佩雷斯
Keylor Navas,基羅·拿華斯
Irene de Grecia,希臘的伊蓮妮·(1942年)
María de la Paz de Borbón,西班牙的瑪麗亞·德拉帕茲
Mateo Garralda,马特奥·加拉尔达
Rafa Guijosa,拉斐尔·圭霍萨
Francisco López de Gómara,弗朗西斯科·洛佩斯·哥马拉
Alberto Herreros,阿尔韦托·埃雷罗斯
Kiko Casilla,基科·卡西利亞
Manuel Blanco Ramos,弗朗西斯科·曼努埃尔·布兰科
Juan Ignacio Martínez,胡安·伊格纳西奥·马丁内斯
María Isabel de Orleans,瑪麗-伊莎貝爾·德·奧爾良
Antonio Machado,安東尼奧·馬查多
Pepe Sánchez (baloncestista),佩佩·桑切斯
Juan Carlos Arce Gómez,胡安·卡洛斯·阿尔塞·(作家)
Marcelino Oreja Aguirre,马塞利诺·奥雷哈·阿吉雷
Aschwin Wildeboer,阿什溫·威德博爾
Indalecio Prieto,普里耶托
Daniel Plaza,丹尼尔·普拉萨
Gerardo Vera,赫拉尔多·贝拉
Bernardo Bonezzi,贝尔纳多·伯尼兹
Baldomero Espartero,巴尔多梅罗·埃斯帕特罗
Pedro de Mendoza,佩卓·門多薩
Luis de Molina,路易斯·德·莫林纳
Nicolás García Hemme,尼古拉斯·加西亚
Enric Miralles,恩里克·米拉列斯
Carles Planas,卡莱斯·普拉纳斯
Juan Gabriel Vásquez,胡安·加夫列尔·巴斯克斯
Denís Chéryshev,丹尼斯·切雷舍夫
Suso (futbolista),蘇素
José Sanjurjo,何塞·桑胡尔霍
Isabel Preysler,伊莎貝爾·普雷斯勒
Míchel González,米歇尔·(足球运动员)
Gaizka Toquero,蓋斯卡·托克羅
Paco Buyo,帕科·布约
David Fuster,大衛·福斯特·(足球運動員)
Fernando de Austria (cardenal-infante),西班牙的費爾南多·(1609-1641)
Luis Alberto Romero Alconchel,路爾斯·艾拔圖
José Enrique Sánchez,荷西·安歷基·山齊士
José Arechavaleta,何塞·阿雷查瓦莱塔
Juan José Campanella,胡安·J·坎帕内拉
Osmar Ibáñez,奥斯马尔·伊瓦涅斯
Jaime de Marichalar,海梅·德·马里查拉尔
Juan José Millás,胡安·荷西·米雅斯
Ruy González de Clavijo,克拉維約
Jon Aurtenetxe,榮·奧爾迪尼斯
Iago Falque,亚戈·法尔克·席尔瓦
Luis Cernuda,路易斯·塞努达
Patxi Puñal,弗朗西斯科·普纳尔
Daniel Muñoz de la Nava,丹尼爾·穆尼奧斯·德·拉·納瓦
Francisco Clavet,法蘭西斯科·克拉維特
Joaquín Cortés,華金·柯帝斯
Antonio Gades,安東尼奧·加德斯
Justo Tejada,胡斯托·特哈达
Ana Obregón,安娜·歐伯岡
María Amalia de Borbón,瑪麗亞·艾瑪莉亞·(西班牙)
Álex Abrines,亞歷克斯·阿比尼斯
Álex Calatrava,亞歷克斯·卡拉特拉瓦
Álvar Núñez Cabeza de Vaca,阿尔瓦·努涅斯·卡韦萨·德·巴卡
Álex de la Iglesia,艾利克斯·德·拉·伊格萊希亞
Juan Rodríguez Villamuela,胡安·羅德里格斯
Joan Fuster,約安·富士達
Gaspar Sanz,加斯帕·桑兹
Sergio García Fernández,塞爾希奧·加西亞
Pedro Berruguete,佩德罗·贝鲁格特
Miquel Barceló,米格尔·巴塞洛
Ascanio Sforza,阿斯卡尼奧·斯福爾扎
Roberto Merhi,羅伯托·梅里
Mikel Labaka,米高·拉巴卡·謝拉恩
Álvaro Vázquez,阿尔瓦罗·巴斯克斯
Álvaro Quirós,阿爾瓦羅·奎羅斯
Rosario Flores,羅莎莉歐·芙蘿雷斯
Antonio de Mendoza y Pacheco,安东尼奥·德门多萨
Juan de Garay,胡安·德·加雷
Luis García Fernández,路易斯·加西亚·费尔南德斯
Willy Caballero,维利·卡瓦列罗
Manuel García Prieto,曼努埃尔·加西亚·普列托
Antonio Maura,安东尼奥·毛拉
Manuel Portela,曼努埃尔·波特拉·瓦拉达雷斯
Enrique Morente,安立奎·莫倫特
Fernando de Herrera,费尔南多·德·埃雷拉
Álvaro Arbeloa,艾華路·艾比路亞
Cayo Lara,卡约·拉腊
José Joaquín de Olmedo,何塞·華金·德·奧爾梅多
Conde de Romanones,第一代罗曼诺内斯伯爵阿尔瓦罗·菲格罗亚-托雷斯
Segismundo Moret,塞吉斯蒙多·莫雷特
Dámaso Berenguer,达马索·贝伦格尔
Santos Abril,桑托斯·阿夫里尔·卡斯特略
Kike Sola,恩里克·索拉
Mané Jiménez,何塞·馬努埃爾·希門尼斯·奥爾蒂斯
Roberto Canella,罗贝托·卡内利亚
Estela Giménez,埃丝特拉·希门尼斯
Rubén Ramírez Hidalgo,魯本·拉米雷斯·伊達爾戈
Álvaro del Portillo,歐華路
Francisco Fernández Ochoa,弗朗西斯科·费尔南德斯·奥乔亚
Ángel López Ruano,安赫爾·洛佩茲
Ángel Lafita,安赫尔·拉菲塔
Juan José Delhuyar,胡安·何塞·德卢亚尔
Joaquín Jovellar Soler,华金·霍维利亚尔
Luis Rubiales,路易斯·鲁维亚莱斯
Gerard López,謝拉特·盧比斯
Marcos Alonso Mendoza,馬科斯·阿隆索·門多薩
Amaro Pargo,阿马罗·帕戈
Anthony Losilla,安东尼·洛西亚
Mari Lacruz,马里·拉克鲁斯
Juan Camilo Mouriño,胡安·卡米洛·莫里尼奥
Gabino Bugallal,加比诺·布加亚尔·阿劳霍
Ángel María Villar,安祖·馬利亞·韋拿
Sila Calderón,西拉·玛丽亚·卡尔德龙
Miguel Ángel Lotina,米盖尔·安赫尔·洛蒂纳
Javi Venta,查維·雲達
Manolo Santana,曼努埃尔·桑塔纳
Carlos de Austria (1607-1632),西班牙的卡洛斯·(1607-1632)
Emilio Esteban-Infantes y Martín,埃米利奥·埃斯特万·因方特斯
Pablo Abián,巴勃罗·阿维安
Juan de Borbón y Braganza,胡安·(蒙提宗伯爵)
Arpad Šterbik,什泰尔比克·阿帕德
Joaquín Peiró,祖亞昆·皮爾路
Jaime Gavilán,謝美·加維蘭
Jordi Gómez,佐迪·高美斯
Lluís Martínez Sistach,類斯·馬丁內斯-席斯塔賀
Segismundo Casado,塞吉斯蒙多·卡萨多
Ángel David Rodríguez,安赫尔·戴维·罗德里格斯
Luis Aragonés,路易斯·阿拉贡内斯
Martín Montoya,马丁·蒙托亚
Edurne Pasaban,埃杜尔纳·帕萨班
Fernando Sor,費爾南多·索爾
Carmen Linares,卡门·利纳雷斯
Ignacio Ramonet,伊格納西奧·拉莫內特
José Francisco Molina,何塞·莫利納
Félix Mantilla,費利克斯·曼蒂利亞
Pedro Duque,佩德罗·杜克
Marta López Herrero,玛尔塔·洛佩斯
Pablo Alborán,保羅·艾波朗
Enrique Barón,恩里克·巴龙·克雷斯波
María Teresa de Borbón,瑪麗亞·特蕾莎·(西班牙)
Loyola de Palacio,洛约拉·德帕拉西奥
Luis de León,路易斯·德·莱昂
Gaspar Llamazares,加斯帕尔·利亚马萨雷斯
Xabier Etxeita,哈维耶尔·埃切塔
Begoña Fernández,贝戈尼娅·费尔南德斯
Mihaela Ciobanu,米哈埃拉·乔巴努
Verónica Cuadrado,贝罗妮卡·夸德拉多
Iñigo Martínez,伊尼戈·馬丁內斯
Silvia Navarro Giménez,西尔维娅·纳瓦罗
Beatriz Fernández Ibáñez,比阿特丽斯·费尔南德斯
Emilio Nsue,埃米利奧·恩蘇埃
Roberto Lago,羅伯托·拉戈
Carlos Juan Finlay,卡洛斯·芬莱
Maider Unda,迈德尔·温达
Bibiana Aído,比维亚娜·艾多
Daniel Juncadella,丹尼爾·瓊卡德拉
Marga Fullana,玛加丽塔·富利亚纳
Alberto Berasategui,阿爾貝托·貝拉薩特吉
Nina Zhivanevskaya,尼娜·日瓦涅夫斯卡娅
Diego Forlán,迪亞高·科蘭
Patricia Elorza,帕特里夏·埃洛萨
Nely Carla Alberto,内莉·卡拉·阿尔韦托
Eli Pinedo,伊丽莎白·皮内多
Diego Colón,迭戈·哥伦布
Juanín García,胡安宁·加西亚
Carlos Manuel de Céspedes y del Castillo,卡洛斯·曼努埃尔·德·塞斯佩德斯
Alejandro Lerroux,亚历杭德罗·勒鲁斯
Pablo Serrano,巴勃罗·塞拉诺
Carmen Martín,卡门·马丁
Jorge Payá,豪尔赫·帕亚
Nano Rivas,纳诺
Gustavo Suárez Pertierra,古斯塔沃·苏亚雷斯·佩蒂埃拉
Camilo Sesto,卡米洛·塞斯托
Lucas Vázquez de Ayllón,卢卡斯·瓦斯克斯·德·艾利翁
Miriam Blasco,米丽娅姆·布拉斯科
Queralt Castellet,克拉爾特·卡斯特列特
Kiko (futbolista),基科·納爾瓦埃斯
Felipe Guillermo de Orange-Nassau,奥兰治亲王菲利普·威廉
Fátima Báñez,法蒂玛·巴涅斯
Nikola Lončar,尼古拉·隆查尔
Leticia Dolera,拉蒂西亚·多瑞拉
Leonardo Padura,莱昂纳多·帕杜拉
Beñat Etxebarria,贝尼亚特·埃切贝里亚
Rodrigo Rato,罗德里戈·拉托
Rafinha Alcántara,拉芬拿·艾簡達拿
Beatriz de Borbón y Battenberg,貝阿特麗斯王女·(西班牙)
Tomás Mejías,托馬斯·梅西亞斯
Cristóbal Montoro,克里斯托瓦尔·蒙托罗
Eusebio Vélez,欧塞维奥·贝莱斯
Chechu Biriukov,何塞·比留科夫
Antonio Aguilar y Correa,安东尼奥·阿吉拉尔-科雷亚
Gorka Iraizoz,戈尔卡·伊赖索斯
Elena Salgado,埃莱娜·萨尔加多
Carlos Castaño Panadero,卡洛斯·卡斯塔尼奥·帕纳德罗
Carlos Casagemas,卡洛斯·卡薩吉瑪斯
Cristóbal de Castillejo,克里斯托瓦尔·德·卡斯蒂列霍
Carlos Torrent,卡洛斯·托伦特
Carlos de Haes,卡洛斯·德·阿埃斯
Carlos Osoro,嘉祿·奧索羅·西耶拉
Josep Maria Abarca,何塞普·马里亚·阿瓦尔卡
Juan de Torquemada (misionero),弗雷·胡安·德托尔克马达
Raquel Sánchez Silva,拉克尔·桑切斯-席尔瓦
Dani Sordo,达尼·索尔多
Lucía Bosé,露西娅·波塞
José Emilio Amavisca,何塞·阿马维斯卡
Carles Sans López,卡莱斯·桑斯
Sergi Escobar,塞尔希·埃斯科瓦尔
Chus Lampreave,丘丝·兰普雷亚韦
Javier Martí,查維·馬蒂
Daniel Gimeno,丹尼爾·希梅諾-特拉維爾
Alberto Martín Magret,阿爾貝托·馬丁
Pere Riba,佩雷·里巴
Pablo Gargallo,帕布罗·加加罗
Esther Cañadas,伊瑟·肯娜達
Pedro Vélez,佩德罗·贝莱斯
Federico Mompou,费德里科·蒙波
Andrés Velencoso,安德斯·維倫科索
David DeMaría,戴维·德马里亚
Francisco Fernández de Capillas,聖劉方濟
Lorenzo Sanz,洛伦佐·桑斯
Laure Sanabria,劳里亚诺·萨纳布里亚·鲁伊斯
Manuel Gómez Pedraza,曼努埃尔·戈麦斯·佩德拉萨
Marco Banderas,馬可·班德拉斯
José Ángel Valdés,何塞·安赫尔·巴尔德斯
Pedro Solbes,佩德罗·索尔韦斯
Isabel Fernández Gutiérrez,伊莎贝尔·费尔南德斯·(柔道运动员)
Albert Ramos,阿尔韦特·拉莫斯-比尼奥拉斯
Marta Mangué,玛尔塔·曼格
Mercedes Cabrera,梅塞德斯·卡夫雷拉
Amr Waked,阿瑪·威克
Santiago Cañizares,圣地亚哥·卡尼萨雷斯
Francisco Rodríguez Adrados,弗朗西斯科·罗德里格斯·阿德拉多斯
Carlos Blanco Castañón,卡洛斯·布兰科
Severiano Ballesteros,塞維·巴列斯特羅斯
Blanca Fernández Ochoa,布兰卡·费尔南德斯·奥乔亚
Francisco Vázquez de Coronado,弗朗西斯科·巴斯克斯·德·科罗纳多
Magüi Serna,馬貴·塞爾娜
Mikel Rico,米克爾·里科
Rosalía Mera,羅莎莉雅·梅拉
Maikel Naujoks,馬爾基·靴文·拿祖斯·加西亞
Luis Suárez Miramontes,路易斯·蘇亞雷斯·米拉蒙特斯
María Beatriz de Austria-Este,瑪麗亞·貝亞特麗切·(奧地利-埃斯特)
Carlos Pellegrini,卡洛斯·佩列格里尼
María Dolores de Cospedal,玛丽亚·多洛雷斯·德科斯佩达尔
Carmen Romero,卡门·罗梅罗·洛佩斯
Arturo Barea,阿图罗·巴雷亚
Carolina Marín,卡罗琳娜·马林
Roberto Jiménez Gago,羅伯托·吉米內茲
Cristian Ugalde,克里斯蒂安·乌加尔德
Cristian Malmagro,克里斯蒂安·马尔马格罗
Pepe Habichuela,貝貝·阿比吹拉
Diego Costa,迪亞高·哥斯達
Damià Abella,達米亞·阿貝拉
Juan Marsé,胡安·马塞
Bodo Illgner,博多·伊尔格纳
Koke Resurrección,佐治·高基
Jaime Arbós Serra,海梅·阿沃斯
Bartolomé de Carranza,巴托洛梅·德·卡兰萨
Bartolomé Salvá-Vidal,巴托洛梅·薩爾瓦-維達爾
Leonida Gueórguievna Bagratión,列奧妮達·巴格拉季昂-穆赫拉尼
Juan Oró,约安·奥罗
Benito Arias Montano,贝尼托·蒙塔托·阿里亚斯
Marcos Alonso Peña,马科斯·阿隆索·培尼亚
Rafael Pascual (voleibolista),拉斐爾·帕斯夸爾
Ibán Cuadrado,伊万·夸德拉多
Vicente Rocafuerte,比森特·罗卡富埃特
Àngel Rangel,安赫尔·兰格尔
Alejandro Sanz,亞雷漢德羅·桑斯
Joan Massagué,乔安·马萨格
Francisco de Paula de Borbón,法蘭西斯科·德·保拉·德·波旁
Daniel Sarmiento,丹尼尔·萨缅托
Daniel Sánchez Gálvez,丹尼爾·桑切斯
Antonio Pinilla Miranda,安东尼奥·皮尼利亚
María Josefa Carmela de Borbón,瑪麗亞·約瑟法·(西班牙)
Paz de la Huerta,帕茲·德·拉·維爾塔
Leopoldo Calvo-Sotelo,萊奧波爾多·卡爾沃-索特洛
Almudena Grandes,阿尔穆德娜·格兰德斯
Alejandro Amenábar,亚历杭德罗·阿梅纳瓦尔
Maya Plisétskaya,瑪雅·普利謝茨卡婭
José Luis Mendilibar,何塞·路易斯·门迪利巴
Voro,禾路
Alfonso Carlos de Borbón,阿方索·卡洛斯·(聖海梅公爵)
Javier Illana,哈維·伊利亞納
Diego de Pantoja,龐迪我
Alfonso de Borbón y Dampierre,阿方索·(安茹及加的斯公爵)
Jerónimo Saavedra,赫罗尼莫·萨维德拉
Iñaki Azkuna,伊尼亞基·阿斯庫納
Sofía de Borbón,索菲亞王女
Leire Martínez,萊蕾·馬丁尼茲
Laia Palau,拉娅·帕劳
Jeffrén Suárez,謝法倫·蘇亞雷斯
Juande Ramos,胡安德·拉莫斯
Jennifer Serrano,珍妮佛·瑟萊娜
Marc Gasol,馬克·蓋索
Antonio Núñez Tena,安東尼奧·努涅斯
Antonio de Pereda,安東尼奧·德·佩雷達
Antonio Peñalver,安东尼奥·佩尼亚尔韦尔
Nuria Cabanillas,努里娅·卡瓦尼利亚斯
Javi Fuego,哈维·富埃戈
Tania Lamarca,塔尼娅·拉马尔卡
Javier Baraja,哈维尔·巴拉哈
José Antonio Reyes,何塞·安东尼奥·雷耶斯
José Manuel Estepa Llaurens,何塞·曼努埃爾·埃斯特帕·勞倫斯
Juan Antonio Orenga,胡安·安东尼奥·奥伦加
Antonio Vázquez Mejido,安东尼奥·巴斯克斯
David Davis Cámara,戴维·戴维斯·(手球运动员)
José Bernardo de Tagle,何塞·贝纳多·德·塔格莱
Patricia Moreno,帕特里夏·莫雷诺
Carolina Pascual,卡罗琳娜·帕斯夸尔
Julio Herrera y Obes,胡里奧·埃雷拉-奧貝斯
David Russell,大卫·拉塞尔
Ricardo Darín,里卡杜·达林
Rosalía de Castro,罗萨莉娅·德·卡斯特罗
Javier Gómez Noya,哈维尔·戈麦斯·诺亚
Eusebio Güell,欧塞比·桂尔
Miguel Januario de Braganza,米格爾·(布拉干薩)
Paulino Alcántara,保利諾·艾簡達拿
Pablo Hernández Domínguez,柏保路·靴南迪斯
Esteban Granero,埃斯特万·格拉内罗
Gómez Pereira,戈麥斯·佩雷拉
Luis José de Orbegoso,路易斯·何塞·德·奧貝戈索
Lina Romay,蓮娜·蘿薇
Toño de la Cruz,安东尼奥·德拉克鲁兹
Dark Alex,黑暗的亞歷克斯
Saúl Ñíguez,萨乌尔·尼格斯
Martín Cortés de Albacar,马丁·阿尔巴卡·德·科尔特斯
Sergio Casal,塞尔希奥·卡萨尔
Juan José Omella,若望·若瑟·奧梅拉
José Simón Azcona,何塞·阿斯科納·德爾奧約
Pablo Puyol,帕布洛·普約爾
Chechu Dorado,何塞·安東尼奧·多拉多
Michelle Jenner,米歇尔·詹纳
Ignacio Bolívar,伊格纳西奥·博利瓦尔
José de Posada Herrera,何塞·波萨达·埃雷拉
Julia Navarro,胡莉亞·納瓦羅
Ruth Beitia,露特·贝蒂亚
Alba Torrens,阿尔瓦·托伦斯
Mayte Martín,瑪依帖·馬丁
Lola Forner,劳拉·福纳
Laia Pons,拉娅·庞斯
Jaime Lamo de Espinosa,海梅·拉莫·德埃斯皮诺萨
Paco Rabanne,帕高·拉巴納
Alejandro Valverde,亚历杭德罗·巴尔韦德
Manuel Marín,曼努埃尔·马林
Óscar de Marcos,奥斯卡·德马科斯
Constanza II de Sicilia,科斯坦察二世
Recio (futbolista),雷西奧
Nikola Mirotić,尼古拉·米羅蒂奇
Lola Dueñas,洛拉·杜埃尼亚斯
Luis Paret y Alcázar,路易士·帕瑞特·阿卡薩
Lucía Jiménez,露西娅·吉曼奈兹
Rosa Montero,罗莎·蒙特罗
Javi Márquez,哈維·馬科斯
Diego Mariño,迭戈·馬里諾
