México,メキシコ
Paralelo 15 norte,北緯15度線
Paralelo 30 norte,北緯30度線
Chiapa de Corzo,チアパ・デ・コルソ (チアパス州)
línea 4 del Metro de la Ciudad de México,4号線
Serie del Caribe 2009,2009年のカリビアンシリーズ
Tecolotes de Nuevo Laredo,ドスラレドス・オウルズ
Telcel,Telcel
Selección femenina de voleibol de México,バレーボールメキシコ女子代表
crisis económica en México de 1994,1994年メキシコペソ危機
selección femenina de fútbol de México,サッカーメキシコ女子代表
San Gervasio,サン・ヘルバシオ
Ajusco,アフスコ山
Tizimín,ティシミン
Barra de Navidad,バーラ・デ・ナビダード
Federación Mexicana de Fútbol,メキシコサッカー連盟
Macuilxóchitl,マクイルショチトル
Aeropuerto Nacional El Lencero,エル・レンセロ空港
Aeropuerto Internacional de Puerto Escondido,プエルト・エスコンディド国際空港
Aeropuerto Nacional Capitán Rogelio Castillo,キャプテン・ロヘリオ・カスティーヨ国営空港
Estudios Churubusco,エストゥディオス・チュルブスコ
Estadio Nemesio Díez,エスタディオ・ネメシオ・ディエス
Moroleón,モロレオン
Arquidiócesis de Durango,デュランゴ司教
Municipio de Jocotepec,ホコテペク
Cuerpo de Fuerzas Especiales de México,特殊作戦群
transporte de México,メキシコの交通
Azteca América,アステカ
Vuelo 2605 de Western Airlines,ウェスタン航空2605便事故
Parque Xcaret,シカレ海浜公園
Xtabentún (bebida),シュタベントゥン
Zoológico Guadalajara,グアダラハラ動物園
Aridoamérica,アリドアメリカ
Kanasín,カナシン
Partido Liberal Mexicano,メキシコ自由党
Final de la Copa Mundial de Fútbol de 1986,決勝
Catedral Metropolitana de la Ciudad de México,メキシコシティ・メトロポリタン大聖堂
Paralelo 20 norte,北緯20度線
Guamare,グァマレ族
Isla San Marcos,サン・マルコス島
Aeropuerto Nacional de Isla de Cedros,セドロス島空港
elecciones federales en México de 2006,2006年メキシコ大統領選挙
Cuautitlán Izcalli,クアウティトラン・イスカリ
San Pedro Pochutla,サン・ペドロ・ポチュートラ
Temixco,テミスコ
Tepehuacho,テペワ族
Gustavo A. Madero,グスタボ・A・マデロ
El Universal,エル・ウニベルサル
Cadereyta,カデレイタ (ケレタロ州)
Bosque de San Juan de Aragón,サンフアン・デ・アラゴンの森公園
Zona del Silencio,マピミ砂漠
Club León,クラブ・レオン
Isla Santa Margarita,サンタマルガリータ島
sistema dos ojos,ドス・オホス水系
Ixil,イシル族
Ciudad Mier,スィウダード・ミエル
Ocotlán,オコトラン
romeritos,ロメリートス
Bonampak,ボナンパク
Cordillera americana,コルディレラ山系
Amatitán,アマティタン
Municipio de Malinalco,マリナルコ
Municipio El Oro,ムニスィピオ・デ・エル・オロ (メヒコ州)
Ejército Popular Revolucionario,革命人民軍
Presa El Cajón,エル・カホン・ダム
Querétaro Fútbol Club,ケレタロFC
Iguala de la Independencia,イグアラ
San José del Cabo,サン ホセ デル カボ
Ixtapa Zihuatanejo,イスタパ
Guerra de Reforma,レフォルマ戦争
Grupo México,グルポ・メヒコ
Municipio de Aramberri,アランベリ
Municipio de Cortazar,コルタサル
presidente de México,メキシコの大統領
Acueducto del Padre Tembleque,パドレ・テンブレケ水道橋
Riviera Maya,リヴィエラ・マヤ
Selva Lacandona,ラカンドーナ森林
Museo Soumaya,ソウマヤ美術館
Paisaje agavero y antiguas instalaciones industriales de Tequila,テキーラの古い産業施設群とリュウゼツランの景観
Naucalpan de Juárez,ナウカルパン筆頭市
La Quemada,ラ・ケマーダ
Grupo Lala,グルポ・ララ
Congreso de la Ciudad de México,議会
Instituto Tecnológico y de Estudios Superiores de Monterrey,モンテレイ工科大学
Estadio Jalisco,エスタディオ・ハリスコ
Juegos Panamericanos de 1975,1975年パンアメリカン競技大会
Premio FIL de Literatura en Lenguas Romances,グアダラハラ国際ブックフェア ロマンス言語文学賞
Tuxpan,トゥスパン
Premio Mundial de Ciencias Albert Einstein,アルベルト・アインシュタイン世界科学賞
Del Nayar,デル・ナヤル
Electric Daisy Carnival (EDC),Electric Daisy カーニバル
demografía de México,メキシコの人口統計
Parque nacional Sierra de Órganos,シエラ・デ・オルガノス国立公園
Señorío de Tlaxcala,トラスカラ王国
Arizpe,アリスペ
Partido Comunista Mexicano,メキシコ共産党
Partido Popular Socialista de México,メキシコ人民社会党
Partido Socialista de los Trabajadores (México),労働者社会党
Oasisamérica,オアシスアメリカ
Facultad de Artes y Diseño,国立造形芸術学校
Tratado de Guadalupe Hidalgo,グアダルーペ・イダルゴ条約
La mano de Dios,神の手
Cultura mixteca,ミシュテカ
Club Necaxa,ネカサ
Televisión Azteca,TVアステカ
Real Sociedad Deportiva de Zacatecas,レアル・ソシエダ・デ・サカテカス
Cuilápam de Guerrero,クイラパン・デ・ゲレーロ
Río Acaponeta,アカポネタ川
Zacualpan de Amilpas,サクアルパン・デ・アミルパス
San Ángel,サン・アンヘル
Laguna Ojo de Liebre,オホ・デ・リエブレ湖
Perote,ペローテ
Kumiai,クメヤーイー族
InterLiga,インテルリーガ
Isla Danzante,ダンサンテ島
Estadio Morelos,エスタディオ・モレーロス
Santo Domingo Tehuantepec,テワンテペク
elecciones federales de México de 2000,2000年メキシコ大統領選挙
Batalla de El Carrizal,カリサルの戦闘
batalla de Otumba,オツンバの戦い
Puerto Morelos,プエルト・モレロス
Accidente del Learjet 25 en México de 2012,2012年リアジェット25墜落事故
Ures,ウレス自治体
México en los Juegos Paralímpicos,パラリンピックのメキシコ選手団
Aeropuerto Internacional de Bahías de Huatulco,バイアス・デ・ワトゥルコ国際空港
Tenayuca,テナユカ
Pijijiapan,ピヒヒアパン
Movimiento YoSoy132,ジョ・ソイ・132
Ensenada,エンセナーダ
Arquidiócesis de Guadalajara,グラダラハラ
Arquidiócesis de Monterrey,モンテレー大司教
Arquidiócesis de Puebla de los Ángeles,プエブラ司教
Aeropuerto Internacional de Tapachula,タパチュラ国際空港
Adidas Telstar Durlast,テルスター
Cuauhtémoc,クアウテモク
Aeropuerto Internacional General Francisco J. Mujica,フランシスコ・J・ムヒカ国際空港
Aeropuerto Internacional Federal de Culiacán,クリアカン国際空港
Aeropuerto Internacional General Lucio Blanco,ヘネラル・ルチオ・ブランコ国際空港
Aeropuerto Internacional de Uruapan,ウルアパン国際空港
Aeropuerto Abraham González,シウダー・フアレス国際空港
San Pablo del Monte,サン・パブロ・デル・モンテ
Aeropuerto Internacional de Cancún,カンクン国際空港
Xochimilco,ソチミルコ
Islas Marías,マリアス諸島
Mitla,ミトラ
Escuela Nacional Preparatoria,国立予科高等学校
Cerro Mohinora,モイノラ山
Dialecto gradese,グラド方言
Selección de waterpolo de México,水球男子メキシコ代表
Comalcalco,コマルカルコ自治体
Metepec,メテペック
Río Concepción,マグダレナ川 (メキシコ)
Volkswagen de México,プエブラ
Isla Socorro,ソコロ島
Kansas City Southern de México,カンザス・シティ・サザン・ド・メキシコ
Tratado de Velasco,ベラスコ条約
Río Moctezuma,モクテスマ川
Gabinete de México,メキシコの行政機関
Plan de Agua Prieta,アグア・プリエタ計画
México en los Juegos Olímpicos de Calgary 1988,1988年カルガリーオリンピックのメキシコ選手団
Acción Revolucionaria Mexicanista,金シャツ隊
Arena México,アレナ・メヒコ
México en los Juegos Olímpicos,オリンピックのメキシコ選手団
Universidad de Guanajuato,グアナファト大学
chanfaina,チャンファイナ
Convención de Aguascalientes,アグアスカリエンテス会議
Reserva de la biosfera El Pinacate y Gran Desierto de Altar,エル・ピナカテ・イ・グラン・デシエルト・デ・アルタル生物圏保護区
Foro Sol,フォロ・ソル
Plaza de la Constitución,ソカロ
Liga Mexicana de Beisbol,リーガ・メヒカーナ・デ・ベイスボル
Lago de Pátzcuaro,パツクアロ湖
Sierra Mazateca,シエラマサテカ
Texas Mexicana,メキシコ領テキサス
Ocupación estadounidense de Veracruz de 1914,アメリカ合衆国のベラクルス占領 (1914年)
Isla Ángel de la Guarda,アンヘル・デ・ラ・グアルダ島
Reboceros de La Piedad,レボセロス・デ・ラ・ピエダ
Barrancas del Cobre,バランカ・デル・コブレ
Solidaridad,ソリダリダド地方自治体
Municipio de Tula de Allende,トゥーラ・デ・アジェンデ
First meeting of the Internet Governance Forum,インターネットガバナンスフォーラム
Presa Malpaso,マルパソダム
Tecpatán,テクパタン
Batalla de la Carbonera,カルボネラの戦い
Sierra Negra,シエラ・ネグラ
Municipio de Huehuetoca,ウェウェトカ
Sierra de la Laguna,シエラ・デ・ラ・ラグナ
Hecelchakán,エセルチャカン自治体
Nochistlán de Mejía,ノチストラン・デ・メヒア
Comarca Lagunera,ラグーナ地方
San Ignacio,サン・イグナシオ
Jerez de García Salinas,ヘレス・デ・ガルシア・サリナス
Meridiano 115 oeste,西経115度線
Puebla Fútbol Club,プエブラFC
El Fuerte,エル・フエルテ
Rosamorada,ロザモラーダ郡
Deportivo Toluca,デポルティーボ・トルーカFC
Atlacomulco,アトラコムルコ
El Colegio de México,メキシコ国立大学
aviso de viaje,危険情報
Aeropuerto Internacional General José María Yáñez,ヘネラル・ホセ・マリア・ヤニェス国際空港
Aeropuerto Internacional de Ciudad Obregón,シウダード・オブレゴン国際空港
Aeropuerto Nacional de Tamuín,タムイン国営空港
OXXO,OXXO
cine mexicano,メキシコの映画
Los Cabos,ロス・カボス
Cadena costera del Pacífico,太平洋岸山脈
Volcán de Tequila,テキーラ山
Yaxchilán,ヤシュチラン
Iztaccíhuatl,イスタクシワトル山
Cinco de Mayo,シンコ・デ・マヨ
Coyoacán,コヨアカン
Estadio Luis "Pirata" Fuente,エスタディオ・ルイス・デ・ラ・フエンテ
Estadio León,エスタディオ・レオン
Estadio Olímpico Benito Juárez,エスタディオ・オリンピコ・ベニト・フアレス
Aeropuerto Internacional Carlos Rovirosa Pérez,ビヤエルモサ国際空港
Aeropuerto Internacional Quetzalcóatl,ケツァルコアトル国際空港
Aeropuerto Internacional Amado Nervo,アマード・ネルボ国営空港
Aeropuerto Internacional de Ciudad del Carmen,シウダー・デ・カルメン国際空港
Etchohuaquila,エッチョワキーラ
Michelada,ミチェラーダ
Tortuguero,トルトゥゲーロ
La Familia Michoacana,ラ・ファミリア・カルテル
Monumento a la Revolución,革命記念塔 (メキシコ)
Centro histórico de Ciudad de México,ヒストリックセンター
Lago de Chalco,チャルコ湖
Río Jamapa,ハマパ川
Constitución Política de los Estados Unidos Mexicanos,1917年メキシコ合衆国憲法
Museo de Arte Contemporáneo Ateneo de Yucatán,ユカタン現代美術館
Universidad Regiomontana,レヒオモンタナ大学
Horchata,オルチャータ
Batalla de San Juan de Ulúa,サン・フアン・デ・ウルアの戦い(1568年)
Chiapas Fútbol Club,チアパスFC
Aeropuerto Internacional de Acapulco,アカプルコ国際空港
Cajeme,カヘメ郡
Aeropuerto Nacional Licenciado Miguel de la Madrid,ミゲル・デ・ラ・マドリッド空港
Zona Metropolitana de Monterrey,モンテレイ都市圏
Matador,マタドール
Matehuala,マテワラ
Zona Metropolitana del Valle de México,バジェ・デ・メヒコ
Estadio Akron,エスタディオ・アクロン
La Paz,ラパス
Ciudad Serdán,セルダン
Jilotepec,ヒロテペック・デ・モリーナ・エンリケス
Aculco,アクルコ
Rocas Alijos,ロカスアリホス島
Nevado de Toluca,トルカ山
Anexo:Lucha en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックのレスリング競技
Copa FIFA Confederaciones 1999,FIFAコンフェデレーションズカップ1999
Anexo:Medallero de los Juegos Paralímpicos de Tel Aviv 1968,ラマットガンパラリンピックでの国・地域別メダル受賞数一覧
Akumal,アクマル
Cordillera norteamericana,北アメリカ山系
CheckInstall,CheckInstall
Margarita,マルガリータ
Progreso,プログレソ (ユカタン州)
Golfo de Tehuantepec,テワンテペク湾
Cártel del Golfo,ガルフ・カルテル
Mexicali,メヒカリ自治体
Cárdenas,カルデナス自治体
Chumayel,チュマイェル
Teapa,テアパ自治体
Tollan,トゥラン (アステカ神話の伝説的都市)
Estadio Corona,初代スタジアム
Estadio Hidalgo,エスタディオ・イダルゴ
Naica,ナイカ
Tulum,トゥルム遺跡
Mezcal,メスカル
Estadio Corregidora,エスタディオ・コレヒドラ
Frente Democrático Nacional (México),民主国民戦線
Islas Coronado,コロナド諸島
Universidad Autónoma de Guadalajara,グアダラハラ自治大学
Acta Solemne de la Declaración de Independencia de la América Septentrional,メキシコ独立宣言
Soconusco,ソコヌスコ
Tapalpa,タパルパ
Pesquería,ペスケリア
Aeropuerto Internacional General Rafael Buelna,マサトラン
Aeropuerto Internacional Manuel Crescencio Rejón,メリダ国際空港
Aeropuerto Internacional Xoxocotlán,ソソコトラン国際空港
Aeropuerto Internacional General Abelardo L. Rodríguez,ヘネラル・アベラルド・L・ロドリゲス国際空港
Atole,アトル
Sistema de Tren Eléctrico Urbano,グアダラハラ地下鉄
línea 1 del Metro de la Ciudad de México,メキシコシティ地下鉄1号線
Yautepec de Zaragoza,ヤウテペク
Rosario,ロサリオ・デ・テソパコ
Salinas Victoria,サリナス・ビクトリア
Club de Fútbol Pachuca,CFパチューカ
Reynosa,レイノサ
Liga Mexicana de Football Amateur Association,プリメーラ・フエルサ
Puuc,プウク式
Lipán,リパン・アパッチ
Felipe Carrillo Puerto,フェリペ・カリジョ・プエルト
Ferrocarril Chihuahua al Pacífico,チワワ太平洋鉄道
Ferrocarril Interoceánico de México,メキシコ横断鉄道
Ferrosur,フェロスール
Festival Internacional de Cine en Guadalajara,グアダラハラ国際映画祭
Municipio de Pinal de Amoles,ピナル・デ・アモレス
Jalpan de Serra,ハルパン・デ・セラ (ケレタロ州)
Presa Chicoasén,チコアセンダム
Fomento Económico Mexicano,フォメント・エコノミコ・メヒカノ
Xcaret,シカレ
Meskwaki,フォックス語
Santa Cruz,サンタ・クルース
Candelaria,カンデラリア自治体
Calvillo,カルビージョ
Xilitla,ヒリトゥラ
El Chamizal,チャミザル紛争
Circuito de Baloncesto de la Costa del Pacífico,メキシコ
Aeropuerto Internacional General Roberto Fierro Villalobos,ヘネラル・ロベルト・フィエロ・ヴィラロボス国際空港
Abierto GNP Seguros,モンテレイ・オープン
Voleibol en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックのバレーボール競技
Champurrado,チャンプラド
Chaparral y bosques de California,カリフォルニア荒野森林
Charrería,チャレアーダ
Metro CDMX,メキシコシティ地下鉄
Organización Soriana,ソリアナ
Ciudad Mante,シウダード・マンテ
Río Nazas,ナサス川
Municipio de Tlahuelilpan,トラウエリルパン
Aeropuerto Internacional de Cozumel,コスメル国際空港
Aeropuerto Internacional Del Bajío,グアナフアト国際空港
Aeropuerto Internacional General Ignacio Pesqueira García,エルモシージョ国際空港
Aeropuerto Internacional Federal del Valle del Fuerte,ロスモチス国際空港
Cultura de México,メキシコの文化
Tecate,テカテ（Tecate）
Palacio de Lecumberri,レクンベリ刑務所
Universidad Iberoamericana,イベロアメリカーナ大学
Tlaxcala de Xicohténcatl,トラスカラ・デ・シコテンカトル
Copa Mundial de Fútbol Sub-17 de 2011,2011 FIFA U-17ワールドカップ
Lucha Libre AAA Worldwide,AAA (プロレス)
Univision,ユニビジョン
Gran Pirámide de Cholula,トラチウアルテペトル
Sierra de Juárez,シエラ・デ・フアレス
Sistema Ox Bel Ha,オックス・ベル・ハ
Comercial Mexicana,コマーシャル・メキシカーナ
Comisión para la Cooperación Abiental,環境協力委員会
Museo Nómada,ノマディック美術館
Tradición de Teuchitlán,テウチトラン文化
Guachimontones,グアチモントネス遺跡
Partido Revolucionario Institucional,制度的革命党
La Mojarra,ラ＝モハーラ
Río Grande de Santiago,グランデ・デ・サンティアゴ川
Matanza del Jueves de Corpus,コーパスクリスティの虐殺
Ciudad Obregón,シウダ・オブレゴン
Club de Fútbol Oaxtepec,CFオアステペック
Zona Metropolitana de Guadalajara,グアダラハラ都市圏
Ahuacuotzingo,アウアクオツィンゴ
Real de Asientos,レアル・デ・アスィエントス
municipio de Tijuana,ティフアナ市
Campeonato Sub-17 de la Concacaf de 2011,CONCACAF U-17選手権2011
Heroica Matamoros,マタモロス
México en la Copa Mundial de Fútbol de 2010,2010 FIFAワールドカップメキシコ代表
Paseo de la Reforma,レフォルマ通り
Yagul,ヤグル (オアハカ州)
Las Margaritas,ラス・マルガリタス（チアパス州）
Manzanillo,マンサニージョ
Anexo:Fútbol en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックのサッカー競技
Atlixco,アトリスコ
Atlético Celaya,アトレティコ・セラヤ
México en el Campeonato Mundial de Natación de 2011,2011年世界水泳選手権メキシコ選手団
Club Santos Laguna,サントス・ラグナ
Misantla,ミサントラ
Mapimí,マピミ
Teabo,テアボ
Plaza Garibaldi,ガリバルディ広場
Fuerza Aérea Mexicana,メキシコ空軍
Aeropuerto Internacional General Mariano Matamoros,ヘネラル・マリアノ・マタモロス空港
Izapa,イサパ
Sierra de San Jacinto,サンジャシント山脈
Montañas de Santa Rosa,サンタロサ山脈
Rugby en México,メキシコのラグビーユニオン
Tres Vírgenes,トレス・ビルヘネス山
Juárez,フアレス
Mineral del Chico,ミネラル・デル・チコ
Municipio de Zempoala,センポアラ
Gimnasio Olímpico Juan de la Barrera,ヒムナシオ・オリンピコ・フアン・デ・ラ・バレラ
Xel-Há,シェル・ハ
Vuelo 940 de Mexicana de Aviación,メキシカーナ航空940便墜落事故
Islas y áreas protegidas del Golfo de California,カリフォルニア湾の島々と自然保護区群
Apan,アパン
Totolapan,トトラパン
Tultitlán de Mariano Escobedo,トゥルティトラン
Estadio Kukulkán,パルケ・デ・ベイスボル・ククルカン
Iztapalapa,イスタパラパ
Escuintla,エスクイントラ（チアパス州）
Isla Santa Catalina,サンタ・カタリーナ島
Angangueo,ミネラル・デ・アンガンゲオ
Yécora,イェコラ
Partido Popular Socialista,人民社会党
San Miguel de Allende,サン・ミゲル・デ・アジェンデ
El Tajín,エル・タヒン
Municipio de Epazoyucan,エパソユカン
Club Atlético Morelia,モナルカス・モレリア
Congreso de la Unión,連邦議会
Galería de Arte Mexicano,メキシコ美術画廊
San Pablo Villa de Mitla,サン・ペドロ・デ・ミトラ
Batalla de Padierna,コントレラスの戦い
Municipio de Santa Catarina,サンタ・カタリーナ (グアナフアト州)
Villanueva,ビジャヌエバ (サカテカス州)
Villa Díaz Ordaz,ビジャ・ディアス・オルダス
Elsevier,エルゼビア
Puerto Peñasco,プエルト・ペニャスコ
Nextlalpan,ネストラルパン
Torneo femenino de fútbol en los Juegos Panamericanos de 2011,2011年パンアメリカン競技大会のサッカー競技・女子
Tanquián de Escobedo,タンキアン・デ・エスコベド
Vicente Guerrero,ロスアルゴドネス
Río Hondo,オンド川 (ベリーズ)
Arriaga,アリアーガ (メキシコ)
Tepanecas,テパネカ
Terremoto de Baja California de 2010,バハ・カリフォルニア地震
Instituto Politécnico Nacional,メキシコ国立工科大学
Isla Roca Partida,ロカ・パルティーダ島
Villaflores,ビジャフローレス
Chignahuapan,チグナワパン
Río Tehuantepec,テワーンテペック川
Batalla de Churubusco,チュルブスコの戦い
Municipio de Jiquilpan,ヒキルパン・デ・ホゥアレス (ミチョアカン州)
Observatorio Guillermo Haro,ギイェルモ・アロ天文台
Los Mochis,ロスモチス (シナロア州)
San Mateo Atenco,サン・マテオ・アテンコ
Sabinas Hidalgo,サビナス・イダルゴ (ヌエボ・レオン州)
o'odham,パパゴ語
Ocoyoacac,オコヨアカク
Universidades Internacionales del Regnum Christi,アナワク大学ネットワーク
"Secretaría de Infraestructura, Comunicaciones y Transportes",通信運輸事務局
Secretaría de Educación Pública de México,公的教育省
Misiones franciscanas de la Sierra Gorda de Querétaro,ケレタロ州シエラ・ゴルダのフランシスコ会伝道所群
Acayucan,アカユカン
San Juan del Río del Centauro del Norte,サン・フアン・デル・リオ
Municipio de Mineral del Monte,ミネラル・デル・モンテ (イダルゴ州)
Lobos de la BUAP,ロボスBUAP
Alacranes de Durango,アラクラネス・デ・ドゥランゴ
Venados FC,CFメリダ
Magdalena de Kino,マグダレナ・デ・キノ
Jalpa,ハルパ
Idioma cora,コラ族
Benito Juárez,ベニート・フアレス
Correcaminos de la UAT,コレカミノスUAT
Secretaría de Hacienda y Crédito Público,大蔵公債長官
Secretaría de Gobernación de México,内務省
Procurador General de la República,メキシコ連邦検察庁
Secretaría de Seguridad Pública de México,メキシコ公安省（Secretaría de Seguridad Pública）
Anexo:Waterpolo en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックの水球競技
Secretaría de Marina Armada de México,海軍省 (メキシコ)
Grupo Financiero Banamex,バナメックス
Atizapán de Zaragoza,アティサパン・デ・サラゴサ
Ensenada,エンセナダ
Isla de Sacrificios,サクリフィシオス島
México en los Juegos Paralímpicos de Pekín 2008,2008年北京パラリンピックのメキシコ選手団
Premio Ariel,アリエル賞
Batallón de San Patricio,聖パトリック大隊
Partido de la Revolución Democrática,民主革命党
Tratados de Córdoba,コルドバ条約
Estadio Olímpico Universitario,エスタディオ・オリンピコ・ウニベルシタリオ
Centla,セントラ自治体
Anexo:Atletismo en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックの陸上競技
Estadio Universitario El volcán,エスタディオ・ウニベルシタリオ
Selección de voleibol de México,バレーボールメキシコ男子代表
Zona Arqueológica de San Lorenzo,サン＝ロレンソ
Santuario de Jesús Nazareno de Atotonilco,サン・ミゲルの要塞都市とヘスス・ナサレノ・デ・アトトニルコの聖地
Eclipse solar del 11 de julio de 1991,1991年7月11日の日食
Palacio Nacional,国立宮殿
Iturbide,イトゥルビデ
Cuajimalpa de Morelos,クアヒマルパ
Polanco,ポランコ
Kohunlich,コフンリッチ
Piedra del Sol,太陽の石
Santa Clara del Cobre,サンタ・クララ・デル・コブレ
Centro,ムニスィピオ・デ・セントゥロ (タバスコ州)
Donato Guerra,ドナト・ゲラ
Progreso de Obregón,プログレッソ (イダルゴ州)
Río Sonora,ソノラ川
Liga Nacional de Baloncesto Profesional de México,リーガ・ナシオナル・バロンセスト・プロフェッショナル
Holbox,オルボクス島
Llanura costera de golfo,メキシコ湾海岸平野
batalla de Chapultepec,チャプルテペクの戦い
Guamúchil,グアムチル
Badiraguato,バディラグアト
Guerreros FC de Hermosillo,ゲレロスFC・デ・エルモシージョ
Terremotos de Guerrero-Oaxaca de 2012,メキシコ南部地震 (2012年3月)
Cartel de Juárez,フアレス・カルテル
Isla San José,サンノゼ島 (バハ・カリフォルニア・スル州)
Isla Jacques Cousteau,セラルボ島
San Nicolás,サン・ニコラス
Meridiano 100 oeste,西経100度線
Elecciones federales de México,メキシコの選挙
Complejo Cultural Los Pinos,ロス・ピノス
la Reforma,レフォルマ
Señorita México,ミス・メキシコ
Meridiano 110 oeste,西経110度線
Mulegé,ムレヘー
Pahuatlán,パワトゥラン
Corredor biológico mesoamericano,メソアメリカ生物回廊
Palenque,パレンケ
Tzintzuntzan,ツィンツゥンツァン
Batalla de Monterrey,モンテレーの戦い
Explosiones de San Juan Ixhuatepec de 1984,サン・フアン・イスアテペク爆発事故
Río Bec,リオ・ベック
Arteaga,アルテアガ
Matías Romero,マティアス・ロメロ
Tecomán,テコマン
Ferrocarril Suburbano de la Zona Metropolitana del Valle de México,メキシコシティ都市圏郊外鉄道
Plan de Iguala,イグアラ綱領
Malinalco,マリナルコ
elecciones federales en México de 2012,メキシコ総選挙 (2012年)
Cártel de Sinaloa,シナロア・カルテル
Cerro Azul,セロ・アスール
Salvatierra,サルバティエラ
Madera,マデラ
General Plutarco Elías Calles,プルタルコ・エリアス・カリェス (ソノラ州)
La Unión de Isidoro Montes de Oca,ラ・ウニオン・デ・イシドロ・モンテス・デ・オカ
Camarón de Tejeda,カマロン・デ・テヘーダ
General Escobedo,ヘネラル・エスコベード
La Magdalena Contreras,マグダレナ・コントレラス
Ciudad Pemex,シウダ・ペメックス
Fondo de Cultura Económica,フォンド・デ・クルトゥーラ・エコノミカ
Museo de Arte Moderno de México,近代美術館 (メキシコ)
Municipio de Juárez Hidalgo,フアレス
Anexo:Patrimonio de la Humanidad en México,メキシコの世界遺産
Géiser Fly,フライガイザー
Banorte,グルポ・フィナンシエロ・バノルテ
béisbol en México,メキシコの野球
Provincia geológica de Basin and Range,ベイスン・アンド・レンジ
Cártel de los Beltrán Leyva,ベルトラン・レイバ・カルテル
Municipio de Morelos,モレロス
Irapuato,イラプアト
Hidalgo del Parral,チワワ州
Monterrey-Gen. Mariano Escobedo,モンテレイ国際空港
Club de Fútbol Monterrey,CFモンテレー
Constitución Federal de los Estados Unidos Mexicanos de 1824,メキシコ憲法 (1824年)
Tequisquiapan,テキスキアパン
Mina de Naica,ナイカ鉱山
"Instituto Nacional de Astrofísica, Óptica y Electrónica",国立天体物理学・光学・電子工学研究所
Santa Rosalía,サンタ・ロサリア (バハ・カリフォルニア・スル州)
Tlatelolco,トラテロルコ
Xochicalco,ショチカルコ
Bahía de Magdalena,マグダレナ湾
Templo Mayor,テンプロ・マヨール
Edzná,エズナ
Grupo Bimbo,グルーポ・ビンボ
Cañón del Sumidero,スミデロ峡谷
Municipio de Mixquiahuala de Juárez,ミスキアワラ
La Gloria,ラ・グロリア (ベラクルス州)
Municipio de Arandas,アランダス
WGC-Campeonato Cadillac,キャデラック選手権
Laguna de Términos,テルミノス湖
Primera dama de México,メキシコのファーストレディ
Ferrocarriles Nacionales de México,メキシコ国鉄
Festival Internacional de Cine de Morelia,モレリア国際映画祭
Primera División de México,プリメーラ・ディビシオン
El Opeño,エル＝オペーニョ文化
Villa Guerrero,ビヤ・ゲレロ
San Sebastián del Oeste,サン・セバスティアン・デル・オエステ
Bahía de los Ángeles,バイア・デ・ロス・アンヘレス
Desierto de Baja California,バハ・カリフォルニア砂漠
Baja 1000,バハ1000
puente Baluarte Bicentenario,バルアルテ橋
Banco de México,メキシコ銀行
Huatabampo,ワタバンポ
Río Lerma,レルマ川
Copa Panamericana de Voleibol Masculino de 2006,2006年バレーボール男子パンアメリカンカップ
Copa Panamericana de Voleibol Masculino de 2009,2009年バレーボール男子パンアメリカンカップ
jugo de tomate,トマトジュース
Estadio Olímpico Ignacio Zaragoza,エスタディオ・イグナシオ・サラゴサ
Estadio BBVA Bancomer,エスタディオBBVAバンコメル
Tixtla de Guerrero,ティシュトラ
Autódromo Miguel E. Abed,アウトドロモ・ミゲル・E・アベド
Triple Alianza,アステカ三国同盟
Anexo:Gimnasia en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックの体操競技
Archipiélago Madrense,マドレアン・スカイ・アイランド
Frontera,フロンテラ
Cámara de Diputados de México,代議院
Aeropuerto Nacional de Navojoa,ナボホア空港
Isla Bermeja,ベルメハ島
Bernal (Querétaro),ベルナル
Volcán de Colima,コリマ山
Paquimé,パキメ
Isla Guadalupe,グアダルーペ島
Pirámide del Adivino,占い師のピラミッド
Dorados de Chihuahua,チワワ・ゴールデンズ
San Juan Teposcolula,テポスコルラ
Sayulita,サジュリタ
El Arenal (Jalisco),エル・アレナル
Abrazo de Acatempan,アカテンパンの抱擁
Valle de Bravo,バジェ・デ・ブラボ (メヒコ州)
Jala,ハラ
Santa Cruz de Juventino Rosas,サンタ・クルス・デ・フベンティーノ・ローサス
Instituto Nacional de Bellas Artes y Literatura,メキシコ国立芸術院
Instituto Tecnológico Autónomo de México,メキシコ自治工科大学
Instituto Tecnológico y de Estudios Superiores de Occidente,西部工科および高等教育大学(ITESO)
elecciones federales de México de 1952,1952年メキシコ大統領選挙
Centro Internacional de Mejoramiento de Maíz y Trigo,国際トウモロコシ・コムギ改良センター
Huixtán,ウイシュタン
Juegos Parapanamericanos de 2011,2011年パラパンアメリカン競技大会
Formación Aguja,アグヤ累層
Frontera entre Belice y México,ベリーズ・メキシコ国境
Arena Monterrey,モンテレー・アリーナ
Venta de La Mesilla,ガズデン購入
Ameca,アメカ川
