Россия,俄罗斯
Поныровский район,波內里區
Торе-Холь,托列-霍利湖
Сокольническая линия,索科利尼基线
Бурея (река),布列亞河
170-й меридиан западной долготы,西经170度线
Территориальное деление России,俄罗斯行政区划
Луна (космическая программа),月球号系列探测器
Славянский район (Краснодарский край),斯拉維揚斯克區·(俄羅斯)
Аксубаевский район,阿克蘇巴耶沃區
Вятка (река),維亞特卡河
Северная Земля,北地群岛
Ростовский район,羅斯托夫區
Пучежский район,普切日区
Сунтар-Хаята,孫塔爾哈亞塔山脈
Кобяйский улус,科比亞伊區
Попигай (кратер),波皮盖陨石坑
Кулундинское озеро,庫倫達湖
Острова Сергея Кирова,基羅夫群島
Коммунистическая партия Российской Федерации,俄罗斯联邦共产党
Белая (приток Камы),别拉亚河·(卡马河支流)
Беринговский,白令戈夫斯基
"Берёзовка (Берёзовский район, Красноярский край)",别廖佐夫卡·(克拉斯诺亚尔斯克边疆区)
Берёзка (сеть магазинов),小白樺商店
Берёзовка (приток Колымы),別廖佐夫卡河·(科雷馬河支流)
Берёзово (Ханты-Мансийский автономный округ),别廖佐沃·(汉特-曼西自治区)
Канин (полуостров),卡寧半島
Мамаев курган,马马耶夫山岗
Горная Шория,紹里亞山
Оймякон,奥伊米亚康
Дуга Струве,斯特鲁维测地弧
Хребтовая,赫列布托瓦亚
Средний (Иркутская область),斯列德尼·(伊尔库茨克州)
"Рязань (футбольный клуб, 1995)",梁贊足球會
Ловозеро (озеро),洛沃澤羅湖
Навлинский район,纳夫利亚区
Сочинский национальный парк,索契國家公園
Карелия (историческая область),卡累利阿
Русское Небо (авиакомпания),俄罗斯天空航空
Байкит,拜基特
Белое озеро (Вологодская область),白湖·(沃洛格達州)
Долгий (остров),多爾吉島
Горьковское водохранилище,高尔基水库
Сухой (компания),苏霍伊航空集团
Шереметьево,謝列梅捷沃國際機場
Балкарцы,巴尔卡尔人
Алданский район,阿爾丹區
Архипелаг Римского-Корсакова,里姆斯基柯薩科夫群島
Воробьёвы горы,麻雀山
Девственные леса Коми,科米原始森林
Мечетлинский район,梅切特利諾區
Общероссийский народный фронт,全俄人民阵线
Остров Беннетта,本尼特島
Белогорский район (Амурская область),别洛戈尔斯克区·(阿穆尔州)
Ковылкинский район,科維爾基諾區
Аскиз (рабочий посёлок),阿斯基兹·(市级镇)
Ленинская линия,列寧線·(新西伯利亞地鐵)
Тувинцы,图瓦人
Петропавловский собор,彼得保罗主教座堂
Ораниенбаумский плацдарм,奥拉宁鲍姆登陆场
Дом компании «Зингер»,勝家公司樓
Малиновое Озеро,马利诺夫湖村
Северо-Крымский канал,北克里米亚运河
Товарково (Калужская область),托瓦尔科沃·(卡卢加州)
Николаевский район (Хабаровский край),阿穆爾河畔尼古拉耶夫斯克區
Вадинский район,瓦金斯克區
Турухан,圖魯漢河
Женская сборная России по волейболу,俄羅斯國家女子排球隊
Вуокса (река),沃克西河
Бердь,別爾季河
Парамушир,幌筵岛
Котлин,科特林島
Румянцевский музей,魯緬采夫博物館
Трансполярная магистраль,极地铁路
Дом Пашкова,帕什科夫宮
Мокшанский район,莫克尚區
Алтухово (Брянская область),阿尔图霍沃·(布良斯克州)
Псков (автодорога),R23公路·(俄羅斯)
Ордынское,奥尔登斯科耶
Идущие вместе,一起走
"Восточный (остров, архипелаг Седова)",沃斯托奇內島
РИА Новости,俄罗斯新闻社
Чаны (рабочий посёлок),恰内
Сибирский (ЗАТО),锡比尔斯基·(阿尔泰边疆区)
Нюкжа (река),紐克扎河
Мокша (река),莫克沙河
Газета.ru,Gazeta.Ru
Флаг Дагестана,達吉斯坦共和國國旗
Западно-Сибирская железная дорога,西西伯利亚铁路局
"Юбилейный (спортивный комплекс, Санкт-Петербург)",尤比利尼體育中心
Брош (остров),布羅什島
Права человека в России,俄罗斯人权
Вооружённые силы Российской Федерации,俄罗斯联邦武装力量
Ревда (город),列夫達·(斯維爾德洛夫斯克州)
Рассказово,拉斯卡佐沃
Реж,列日·(斯維爾德洛夫斯克州)
Россошь,罗索希·(罗索希区)
Рославль,羅斯拉夫爾
"Металлург (стадион, Самара)",麥特魯體育場
Ростов,罗斯托夫
Реутов,列烏托夫
Родники (город),羅德尼基
Малые Корелы,小科列雷博物館
Она (приток Уды),奧納河
РЖД Арена,俄罗斯铁路竞技场
Щукино (район Москвы),休金諾區
Сражение под Малоярославцем,小雅羅斯拉韋茨戰役
Серпуховско-Тимирязевская линия,谢尔普霍夫-季米里亚泽夫线
Слободская Украина,斯洛博達烏克蘭
"Октябрьская (станция метро, Кольцевая линия)",十月站·(莫斯科地鐵環狀線)
Илек (приток Урала),伊列克河
Асса (приток Сунжи),阿薩河·(孫扎河支流)
Салгир,薩爾吉爾河
Прикаспийская низменность,裏海盆地
Убсунурская котловина,乌布苏盆地
Кенозерский национальный парк,克诺泽罗国家公园
Второе сражение под Полоцком,第二次波洛茨克之战
Сейм (река),謝伊姆河
Югорский мост,苏尔古特大桥
Кандидат наук,副博士学位
Орловка (приток Кети),奧爾洛夫卡河·(克季河支流)
Гулькевичский район,古利克維奇區
Ртищево,勒季謝沃
Рошаль (город),羅沙利·(莫斯科州)
Рубцовск,魯布佐夫斯克
Рудня (город),魯德尼亞
Иркинеева,伊爾基涅耶瓦河
Алексинский район,阿列克辛區
Пеники,佩尼基
Черноморско-Каспийская степь,東歐大草原
Фроловский район,弗罗洛沃区
Уруп (река),烏魯普河
Челябинский тракторный завод,车里雅宾斯克拖拉机厂
Тургенево (Мордовия),屠格涅沃·(莫尔多瓦共和国)
Асача,阿薩恰火山
Южно-Курильск,南庫里爾斯克
Джулукуль,朱盧庫利湖
I саммит БРИК,2009年金砖国家峰会
Красная звезда (газета),红星报
Солнечный район,索爾涅奇內區
Хабаровский район,哈巴羅夫斯克區
Верхнебуреинский район,上布列亞區
Россия (банк),俄羅斯銀行
Мирный (Крым),米爾內·(克里米亞)
Район имени Полины Осипенко,波利娜·奥西片科区
Провиденский район,普羅維傑尼亞區
Рязанский проспект (станция метро),梁贊大道站
S7 Airlines,西伯利亚航空
Хоринский район,霍林斯克區
Волго-Донской канал,伏爾加-頓河運河
Карачай (озеро),卡拉恰伊湖
Междушарский,梅日杜沙爾斯基島
Боковский район,博科夫斯卡亞區
Новописцово,新皮斯佐沃
Краснобродский,克拉斯诺布罗茨基
Иня (нижний приток Оби),伊尼亞河
Ромненский район,罗姆内区·(阿穆尔州)
Локомотивный,洛科莫季夫内
Руза,魯扎
Рузаевка,魯扎耶夫卡
Сарапул,萨拉普尔
Саров,薩羅夫
Сальск,薩利斯克
Салаир,薩萊爾
Рыбинск,雷宾斯克
Рыбное,雷布諾耶
Рыльск,雷利斯克
Интеркосмос,国际宇航员计划
Берутарубе,別魯塔魯別火山
Гуцулы,胡楚爾人
Балахтинский район,巴拉赫塔區
Сасово,薩索沃
Сатка,薩特卡
Завитинский район,扎维京斯克区
Гыданский полуостров,格達半島
"Зенит (футбольный клуб, Пенза)",澤尼特奔薩足球會
Салават,薩拉瓦特
Вилюйский улус,維柳伊斯克區
Тасеева,塔謝耶瓦河
Октябрьский район (Пермский край),十月鎮區·(彼爾姆邊疆區)
Сафакулевский район,薩法庫列沃區
Безымянный (вулкан на Камчатке),别济米扬内火山
Мая (приток Алдана),馬亞河
Сафоново (город),薩福諾沃
Саяногорск,萨彦诺戈尔斯克
Светлогорск (Калининградская область),斯韋特洛戈爾斯克
Саянск,薩彥斯克
Свободный (город),斯沃博德内
Светлоград,斯韋特洛格勒
Свирск,斯維爾斯克
Кумёны,库苗内
Горный улус,戈爾內區
Зырянский район,濟良斯科耶區
Кяхтинский район,恰克圖區
Белый Яр (Верхнекетский район),白亚尔·(上克季区)
Селигер,謝利格爾湖
Безенчук,别津丘克
Калиновка (Хомутовский район),卡利诺夫卡
Колокольня Ивана Великого,伊凡大帝钟楼
Дивеевский район,季韋耶沃區
Садовое кольцо,花园环路
Остров Ратманова,拉特曼諾夫島
Палатка (Магаданская область),帕拉特卡·(马加丹州)
Усть-Ордынский,乌斯季奥尔登斯基
Советское (Саратовская область),苏维埃茨科耶·(萨拉托夫州)
Большой Пит,大皮特河
Роза (Челябинская область),罗扎·(车里雅宾斯克州)
Уголовный кодекс Российской Федерации,俄羅斯刑法典
Башни Московского Кремля,克里姆林宫塔
Пенжинский район,品任納區
Чарыш,恰雷什河
Казанский кремль,喀山克里姆林宫
Кас,卡斯河
Кировский район (Приморский край),基洛夫斯基區
Казахская степь,哈萨克草原
Пушма,普什馬河
Бузулук (приток Хопра),布祖盧克河·(霍皮奧爾河支流)
Собор Александра Невского (Новосибирск),亞歷山大·涅夫斯基主教座堂·(新西伯利亞)
Владимирская (станция метро),弗拉基米爾站·(聖彼得堡地鐵)
Победа (гора),波別達山
Ужурский район,烏茹爾區
Майкопский район,邁科普區
Канал имени Москвы,莫斯科運河
Распутица,泥濘道路季
Обская губа,鄂畢灣
Куйбышевское водохранилище,古比雪夫水庫
Красная (приток Писсы),克拉斯納亞河
Томский государственный университет,托木斯克国立大学
Ушишир,宇志知島
Уй (приток Иртыша),烏伊河·(額爾齊斯河流域)
Чукотский район,楚科奇区
Себеж,謝別日
Фенноскандия,芬諾斯堪底亞
Расшуа,羅處和島
Тангнары,坦格納雷河
Северский район,謝韋爾斯卡亞區
Северо-Курильск,北庫里爾斯克
Северобайкальск,北贝加尔斯克
Дальний Восток России,俄羅斯遠東地區
Лёвинцы (Оричевский район),廖温齐
Комаричи,科马里奇
Сергиев Посад,謝爾吉耶夫鎮
Ми-2,Mi-2直升機
Буор-Хая (губа),布奧爾哈亞灣
"Пионерская (станция метро, Санкт-Петербург)",少先隊站
Балаклава,巴拉克拉瓦
Эвенкийский район,埃文基區
Кольцевая линия (Москва),环状线·(莫斯科地铁)
Женская сборная России по футболу,俄羅斯國家女子足球隊
Большемуртинский район,大穆爾塔區
Дальнереченский район,達利涅列琴斯克區
Бобровский район,博布罗夫区
Край (Россия),边疆区
Боготольский район,博戈托爾區
Медногорский,梅德諾戈爾斯基
Нагатинская (станция метро),納加金諾站
Чёшская губа,喬沙灣
Находка (порт),纳霍德卡港
Остров Дика,迪克島
Пограничная служба Федеральной службы безопасности Российской Федерации,俄罗斯边防军
Ергени,葉爾格尼山脈
Лазовский район,拉佐區·(濱海邊疆區)
Успенский собор (Московский Кремль),圣母安息主教座堂·(莫斯科)
Московский международный кинофестиваль,莫斯科電影節
Ясная Поляна,亚斯纳亚波利亚纳
Живописный мост,景观大桥
Транспортная система России,俄羅斯交通
Yota,Yota
Водлозерский национальный парк,沃德洛澤羅國家公園
Крайний Север,俄罗斯极北地区
Флаг Республики Саха,萨哈共和国国旗
Западный Кавказ,西高加索
Замоскворецкая линия,莫斯科河畔线
Филёвская линия,菲利线
Мыс Флигели,弗利格利角
Лена (автодорога),A360公路·(俄羅斯)
Флаг Бурятии,布里亞特共和國國旗
Террористический акт в Беслане,别斯兰人质危机
Североморск,北莫爾斯克
Североуральск,北烏拉爾斯克
Севск,謝夫斯克
Северск,謝韋爾斯克
Сегежа,謝格扎
Тес-Хемский кожуун,捷斯赫姆区
Заполярный (Коми),扎波利亚尔内·(科米共和国)
Математический институт имени В. А. Стеклова РАН,斯捷克洛夫数学研究所
Усолка (приток Тасеевой),烏索爾卡河·(塔謝耶瓦河支流)
Азиатский маршрут AH7,亞洲公路7號線
55-я параллель северной широты,北纬55度线
Сельцо (город),謝利措
Флаг Чечни,車臣共和國國旗
Ёонайвеем,伊奧尼韋姆河
Эхо Москвы,莫斯科迴聲
Астраханский кремль,阿斯特拉罕克里姆林
Тимшор,蒂姆紹爾河
Выборы в Государственную думу (2007),2007年俄罗斯国家杜马选举
Сыктывдинский район,瑟克特夫金區
Большой Ляховский,大利亞霍夫島
Область (Россия),州·(俄罗斯)
Вах (река),瓦赫河·(鄂畢河)
Екатеринбургский метрополитен,葉卡捷琳堡地鐵
ЮКОС,尤科斯
Марьино (станция метро),馬里諾站
Синяя (приток Лены),錫尼亞亞河·(勒拿河支流)
"Горьковская (станция метро, Санкт-Петербург)",高爾基站
Челюскин (мыс),切柳斯金角
Дом торгового товарищества «Братья Елисеевы»,葉立西夫商場
Взрывы жилых домов в России в сентябре 1999 года,1999年俄罗斯公寓楼爆炸案
Туполев (конструкторское бюро),图波列夫公司
Серафимович (город),绥拉菲莫维奇·(城镇)
Сердобск,謝爾多布斯克
Сергач,謝爾加奇
Семикаракорск,謝米卡拉科爾斯克
Семёнов (город),謝苗諾夫·(下諾夫哥羅德州)
Ямал — Европа,亚马尔-欧洲管道
Флаг Чувашии,楚瓦什共和國國旗
Серпухов,謝爾普霍夫
Орден Александра Невского (Россия),亚历山大·涅夫斯基勋章
Сенгилей,先吉列伊
Остров Беринга,白令岛
Хайбуллинский район,海布爾林斯基區
Корякская Сопка,科里亞克火山
Амурский судостроительный завод,阿穆尔造船厂
ВЛ8,VL8型电力机车
Красное Сормово,红色索尔莫沃造船厂
Российский университет дружбы народов,俄罗斯人民友谊大学
Рыбачий (полуостров),雷巴奇半島
Северная верфь,北方造船厂
Кирово-Чепецкий район,基洛沃-切佩茨克區
Еловский район,葉洛沃區
Туймазинский район,圖伊馬濟區
Горнозаводский район,戈爾諾扎沃茨克區
Карагайский район,卡拉蓋區
Чердынский район,切爾登區
Раковка (приток Комаровки),拉科夫卡河
Марийский язык,马里语
Голышманово,戈雷什马诺沃·(市级镇)
Бытантай,貝坦泰河
Железнодорожный транспорт в России,俄罗斯铁路运输
Лемки,蘭科人
Ферапонтов Белозерский монастырь,費拉邦多夫修道院
Чусовая,丘索瓦亚河·(卡马河支流)
180-й меридиан,180度经线
Белокаменные памятники Владимира и Суздаля,弗拉基米爾和蘇茲達爾的白色古蹟群
Шумшу,占守岛
Маяк (производственное объединение),马雅克生产联合体
Базовый (остров),巴佐維島
Пенжина,品仁納河
Сорочинский район,索羅欽斯克區
Ашлык,阿什雷克河
Вохма (река),沃赫馬河
Каменные острова,卡緬內群島
Уста (река),烏斯塔河
Боградский район,博格勒區
Лаба (приток Кубани),拉巴河
Ануй (река),阿努伊河
Екатериноградская,叶卡捷琳诺格勒茨卡亚
Капустин Яр,卡普斯京亚尔靶场
Московский вокзал (Нижний Новгород),下诺夫哥罗德站·(俄罗斯铁路)
"ЦСКА (хоккейный клуб, Москва)",莫斯科中央陸軍冰球俱樂部
Большой Иргиз,大伊爾吉兹河
Атамановка (Читинский район),阿塔马诺夫卡·(外贝加尔边疆区)
ЛОМО,LOMO公司
Мир — Шаттл,太空梭-和平号计划
Известия,消息报
Сестрорецк,謝斯特羅列茨克
Валдайская возвышенность,瓦爾代高地
Сибай,錫拜
Карские Ворота,卡拉海峽
Су-57,苏-57
Храм Христа Спасителя,基督救世主主教座堂·(莫斯科)
Московский зоопарк,莫斯科動物園
Туртас (река),圖爾塔斯河
Сигнальный (остров),貝殼島
Цаган-Хаг,察甘-哈格湖
Буддизм в Калмыкии,卡尔梅克共和国的佛教
Остров Рудольфа,魯道夫島
Прокопьевский район,普羅科皮耶夫斯克區
Московский Художественный театр,莫斯科艺术剧院
Надымский район,納德姆區
Морки,莫尔基
Горки Ленинские,高爾基列寧斯克
Тымовское,特莫夫斯科耶
Меншиковский дворец (Санкт-Петербург),緬希科夫宮
Сковородино,斯科沃罗季诺
Сим (город),錫姆
Скопин,斯科平
Славгород (Россия),斯拉夫哥羅德·(俄羅斯)
Битва на реке Воже,沃扎河戰役
Исторический центр Санкт-Петербурга и связанные с ним группы памятников,聖彼得堡歷史中心及其相關古蹟群
Рубль СССР,蘇聯盧布
Азевка,阿澤夫卡河
Чемпионат мира по лёгкой атлетике 2013,2013年世界田徑錦標賽
Флаг Удмуртии,烏德穆爾特共和國國旗
Московское время,莫斯科时间
Воздушно-десантные войска Российской Федерации,俄羅斯空降軍
Улаганский район,烏拉甘區
Некрасовское,涅克拉索夫斯科耶
"Юрибей (река, впадает в Байдарацкую губу)",尤里別伊河·(拜達拉塔灣流域)
Сусуманский район,蘇蘇曼區
Славск,斯拉夫斯克
"Пролетарская (станция метро, Москва)",無產階級站·(莫斯科地鐵)
Остров Анциферова,志林規島
Сосьва (река),索西瓦河
Чулымцы,楚利姆鞑靼人
Халха-монголы,喀尔喀蒙古族
Солнечное затмение 6 января 2019 года,2019年1月6日日食
Виледь,維列季河
Ёлва,約爾瓦河
Нем,涅姆河
Акушинский район,阿庫沙區
Колымская губа,科雷馬灣
Шестьдесят четыре деревни к востоку от реки Амур,江東六十四屯
Алеутский район,阿留申區
Китеж,奇鐵茲城
Коми-Пермяцкий автономный округ,科米-彼尔米亚克自治区
Рунет,Runet
Юг (река),尤格河
Екатерининский парк (Царское Село),葉卡捷琳娜公園
Союз-2 (семейство ракет-носителей),联盟2号运载火箭
Бахапча,巴哈普恰河
Ягодное (Магаданская область),亞戈德諾耶·(馬加丹州)
Октябрьский (городской округ Люберцы),十月镇·(莫斯科州)
Волго-Каспийский,伏尔加-里海镇
Верхний Баскунчак,上巴斯昆恰克
Вулканный,武尔坎内
Красная Яруга,红亚鲁加
Томаровка,托马罗夫卡
Кунашир,国后岛
Собинка,索賓卡
Советск (Кировская область),苏维埃茨克·(基洛夫州)
Дом правительства Российской Федерации,白宫·(莫斯科)
ОКБМ имени И. И. Африкантова,阿夫里坎托夫机械制造试验设计局
Слободской,斯洛博茨科伊
Важины,瓦日内
Славянск-на-Кубани,庫班河畔斯拉維揚斯克
Снежинск,斯涅任斯克
Снежногорск (Мурманская область),斯涅日諾戈爾斯克
Смидовичский район,斯米多维奇区
Соликамск,索利卡姆斯克
Солигалич,索利加利奇
Бауманская (станция метро),鮑曼站
Кызылский кожуун,克孜勒区
Крым (автодорога),M2公路·(俄羅斯)
Амедичи,阿梅季奇河
Солнечногорск,索爾涅奇諾戈爾斯克
Соль-Илецк,索利-伊列茨克
Большая кольцевая линия,大環線
Ка-60,Ka-60通用直升機
Рефтинский,列夫京斯基
Шегарский район,舍加爾卡區
Собинский район,索宾卡区
Флаг Ингушетии,印古什共和國國旗
Горячеводский,戈里亚切沃茨基
Председатель Правительства Российской Федерации,俄罗斯总理
Уруп,得撫島
Пермская область,彼尔姆州
Чемпионат России по хоккею с шайбой,俄羅斯冰球超級聯賽
Идюм,伊久姆河
Ворскла,沃爾斯克拉河
"Кулой (река, впадает в Белое море)",庫洛伊河·(流入白海)
Советский (Ханты-Мансийский автономный округ),蘇維埃茨基·(漢特-曼西自治區)
Советск (Тульская область),苏维埃茨克·(图拉州)
Советская Гавань,苏维埃港
Сокол (город),索科爾
Красноармейский район (Приморский край),紅軍區·(濱海邊疆區)
Агульский район,阿古爾區
НПО «Энергомаш» имени академика В. П. Глушко,动力机械科研生产联合体
Городовиковский район,戈羅多維科沃區
Менделеевский район,門捷列夫斯克區
Танну-Ола,唐努烏拉山
Тонино-Анивский полуостров,托尼诺-阿尼瓦半岛
Актанышский район,阿克塔內什區
Ансамбль песни и пляски Российской армии имени А. В. Александрова,亚历山德罗夫红旗歌舞团
Международный авиационно-космический салон,莫斯科国际航空航天展览会
Таймыр (озеро),泰梅爾湖
Разумное,拉祖姆诺耶
Петровское (Ростовский район),彼得罗夫斯科耶·(雅罗斯拉夫尔州)
Пулковская обсерватория,普尔科沃天文台
Оссора (посёлок),奧索拉
Омсукчан,奥姆苏克昌
Пролетарский (Белгородская область),普罗列塔尔斯基·(别尔哥罗德州)
Остров Врангеля (заповедник),弗兰格尔岛保护区
Сольвычегодск,索利维切戈茨克
Сольцы,索利齊
Сорочинск,索羅欽斯克
Сорск,索尔斯克
Малая Кокшага,小科克沙加河
Средиземноморский складчатый пояс,阿尔卑斯带
Сосновка (Кировская область),索斯諾夫卡·(基洛夫州)
Сортавала,索爾塔瓦拉
Сосенский,索先斯基
Сосновоборск (Красноярский край),索斯諾沃博爾斯克
Россия на «Детском Евровидении»,俄羅斯在歐洲青少年歌唱大賽之歷年表現
Воронеж (река),沃羅涅日河
Снежногорск (Красноярский край),斯涅日诺戈尔斯克·(克拉斯诺亚尔斯克边疆区)
Комсомольская правда,共青团真理报
Спас-Деменск,斯帕斯-傑緬斯克
Сосногорск,索斯諾戈爾斯克
Спасск-Рязанский,斯帕斯克-梁赞斯基
Среднеколымск,中科雷姆斯克
Междуреченский (Ханты-Мансийский автономный округ),梅日杜列琴斯基·(汉特-曼西自治区)
Верхнеднепровский,上第聶伯羅夫斯基
Европейский маршрут E20,欧洲E20公路
ЭР200,ER200型电力动车组
Сокольники (Новомосковск),索科爾尼基·(圖拉州)
Посёлок имени Карла Либкнехта,卡尔·李卜克内西村·(库尔斯克州)
Знаменка (Орловская область),兹纳缅卡·(奥廖尔州)
Дедовичи,杰多维奇
Сокол (Магаданская область),索科尔·(马加丹州)
Привольное (Красногвардейский район),普里沃利诺耶
Ровеньки (Белгородская область),罗韦尼基·(俄罗斯)
Ольхон,奧爾洪島
Среднеуральск,中烏拉爾斯克
Старая Купавна,舊庫帕夫納
Сретенск,斯列坚斯克
Спасск (Пензенская область),斯帕斯克
Спасск-Дальний,斯帕斯克达利尼
Спас-Клепики,斯帕斯-克列皮基
Старая Русса,旧鲁萨
Патриарх Московский и всея Руси,莫斯科及全羅斯牧首
КР-860,蘇霍伊KR-860
Смоленск-Северный,斯摩棱斯克北機場
Флаг Северной Осетии,北奥塞梯-阿兰共和国国旗
Динской район,金斯卡亞區
Пачелмский район,帕切爾馬區
Брюховецкий район,布留霍韋茨卡亞區
Красногорский район (Алтайский край),克拉斯諾戈爾斯科耶區·(阿爾泰邊疆區)
Шульган-Таш (заповедник),舒利根塔什自然保护区
Комсомольский район (Хабаровский край),共青城區·(哈巴羅夫斯克邊疆區)
Остров Броутона,武魯頓島
Открытый чемпионат России по бадминтону 2007,2007年俄羅斯羽毛球黃金大獎賽
Стародуб,斯塔羅杜布
Старица (город),斯塔里察
Майзас (приток Тары),邁扎斯河
Старый Оскол,舊奧斯科爾
Хабарский район,哈巴雷區
Куединский район,庫耶達區
Уинский район,烏因斯科耶區
Район имени Лазо,拉佐區·(哈巴羅夫斯克邊疆區)
Анапский район,阿納帕區
Усть-Баргузин,烏斯季巴爾古津
Лужнецкий метромост,卢日尼基地铁桥
Эвено-Бытантайский национальный улус,鄂溫-貝坦泰區
Кызыл-Мажалык,克孜勒-马扎雷克
Буйнакский район,布伊納克斯克區
Чистоозёрный район,奇斯托奧焦爾諾耶區
Мемориал (организация),纪念·(非营利性组织)
Бураевский район,布拉耶沃區
Талица,塔利察
Талдом,塔爾多姆
Краснозёрский район,克拉斯諾焦爾斯科耶區
Бурзянский район,布爾姜區
Калачинский район,卡拉欽斯克區
"Металлург (хоккейный клуб, Магнитогорск)",馬格尼托格爾斯克馬鋼城
Светлый (Якутия),斯韋特雷·(薩哈共和國)
Чернышевский (Якутия),車爾尼雪夫斯基·(薩哈共和國)
Хабаровский мост,哈巴羅夫斯克大橋
Тура (Красноярский край),圖拉·(克拉斯諾亞爾斯克邊疆區)
Лальск,拉利斯克
Канчалан (река),坎恰蘭河
Плещеево озеро,普列謝耶沃湖
Щёлкино,曉爾基諾
Выставка достижений народного хозяйства,國家經濟成就展
Павловский район (Краснодарский край),巴甫洛夫斯卡亞區
Чеди-Хольский кожуун,切季霍爾區
Чернушинский район,切爾努什卡區
Сысола,瑟索拉河
Стерлитамак,斯捷尔利塔马克
Камские Поляны,卡姆斯基耶波利亞內
Шуя (приток Нёмды),舒亞河·(科斯特羅馬州)
Камень (вулкан),卡梅尼火山
Чаа-Хольский кожуун,恰霍爾區
Севастопольская бухта,塞瓦斯托波爾灣
Кулой (рабочий посёлок),库洛伊
Ступино,斯图皮诺
Струнино,斯特魯尼諾
Суворов (город),蘇沃洛夫·(圖拉州)
Бардымский район,巴爾達區·(俄羅斯)
Буолкалах,布奧爾卡拉赫河
Служба внешней разведки Российской Федерации,對外情報局
Кострома (река),科斯特罗马河·(伏尔加河支流)
Хасан (Приморский край),哈桑·(滨海边疆区)
Палех,帕列赫
Гиагинский район,吉阿金斯卡亞區
Чамзинский район,恰姆津卡區
Торбеевский район,托爾別耶沃區
Краснослободский район,克拉斯諾斯洛博茨克區
Нерюнгринский район,涅留恩格里區
Мазурское поозёрье,馬祖爾湖區
Тиличики,季利奇基
Никель (Мурманская область),尼克尔
Фёдоровский район (Башкортостан),費奧多羅夫卡區·(巴什科爾托斯坦共和國)
Шипицыно (Котласский район),希皮齐诺·(科特拉斯区)
Приобье (Ханты-Мансийский автономный округ),普里鄂毕耶
Новая Чара,新恰拉
Пластун (Приморский край),普拉斯通·(市级镇)
Варзина,瓦爾濟納河
Запрудня,扎普鲁德尼亚
Сут-Хольский кожуун,蘇特霍爾區
Эрзинский кожуун,埃爾津區
Тандинский кожуун,坦德區
Надтеречный район,納德捷列奇內區
Конда (приток Иртыша),孔達河
Серноводский район,謝爾諾沃茨科耶區
Спасский район (Пензенская область),斯帕斯克區·(奔薩州)
Шатойский район,沙托伊區
Тайга (город),泰加
Тавда (город),塔夫達
Остров Атласова,阿賴度島
Сычёвка,瑟喬夫卡
Сысерть (город),瑟謝爾季
Сухой Лог (город),蘇霍伊洛格
Замоскворечье (административный район),莫斯科河畔區
События сентября — октября 1993 года в Москве,1993年俄罗斯宪政危机
Чемпионат мира по регби-7 2013,2013年世界盃七人制橄欖球賽
Кроноцкая Сопка,克罗诺基火山
Хамовники,哈莫夫尼基區
Сусуман,苏苏曼
Сухиничи,蘇希尼奇
Тайшет,泰舍特
Российская маоистская партия,俄羅斯毛主義黨
Талнах,塔爾納赫
Таруса,塔魯薩
Таштагол,塔什塔戈爾
Татарск,韃靼斯克
День Конституции Российской Федерации,俄罗斯宪法日
Чепца,切普察河
БИОС-3,BIOS-3
Карымская Сопка,卡雷姆火山
Орджоникидзе (Крым),奧爾忠尼啟則·(克里米亞)
Волоконовка,沃洛科诺夫卡
Петровичи (Смоленская область),彼得罗维奇
Алискерово (посёлок),阿利斯克羅沃
Судогда,蘇多格達
Суоярви,蘇奧耶爾維
Печенга,佩琴加
Полазна,波拉兹纳
Киностудия имени М. Горького,高尔基电影制片厂
Судиславль,苏季斯拉夫尔
Сураж,蘇拉日
Сурск,蘇爾斯克
Суровикино,蘇羅維基諾
Приводино,普里沃季诺
Музей холодной войны (Москва),塔甘斯基保衛指揮點
Власиха (Московская область),弗拉西哈·(莫斯科州)
Тара (город),塔拉·(鄂木斯克州)
Тарко-Сале,塔爾科薩列
Образование в России,俄羅斯教育
Новая Сибирь,新西伯利亚岛
Кольцово (Новосибирская область),科利佐沃·(新西伯利亚州)
Шиловский район,希洛沃區
Буюнда,布雲達河
Смирных,斯米尔内赫
Обозерский,奥博泽尔斯基
Букачача,布卡恰恰
Савинский (Архангельская область),萨温斯基·(阿尔汉格尔斯克州)
Бикин (река),比金河
Бия,比亞河
Теберда,捷別爾達
Тейково,捷伊科沃
Темников,捷姆尼科夫
Терек (город),捷列克·(卡巴爾達-巴爾卡爾共和國)
Тетюши,捷秋希
Бискамжа,比斯卡姆扎
Наши (движение),納什·(青年運動)
Биракан,比拉坎
Альма (река),阿爾馬河
Нарвские триумфальные ворота,納爾瓦凱旋門
Большая Балахня,大巴拉赫尼亞河
Чановский район,恰內區
Озёрный (Тверская область),奥焦尔内·(特维尔州)
Рассоха (приток Попигая),拉索哈河·(波皮蓋河支流)
Селенгинск,色楞金斯克
Васильево (Зеленодольский район),瓦西里耶沃
Россия на летних Паралимпийских играх 2008,2008年夏季殘疾人奧林匹克運動會俄羅斯代表團
Провидения,普罗维杰尼亚
Частинский район,恰斯特耶區
Панковка,潘科夫卡
Чегемский район,切格姆區
Чекмагушевский район,切克馬古什區
Трёхгорный,三山城
Чаунский район,恰翁區
Бутырская тюрьма,布提爾卡監獄
Черекский район,切列克區
Чемальский район,切馬爾區
Чеко,切科湖
Фаддеевский,法捷耶夫岛
