Diego Velázquez,디에고 벨라스케스
Candela Peña,칸델라 페냐
Ruth Gabriel,루트 가브리엘
Juan Ignacio Otero,후안 이그나시오 오테로
María Micaela del Santísimo Sacramento,마리아 미카엘라 데메지에르
Sergio García Fernández,세르히오 가르시아
Denís Chéryshev,데니스 체리셰프
Suso (futbolista),수소 (축구 선수)
Paco Buyo,프란시스코 부요
David Fuster,다비드 푸스테르
Amaro Pargo,아마로 파고
Osmar Ibáñez,오스마르 이바녜스
Rosendo Hernández,로센도 에르난데스
Jaime de Marichalar,하이메 데 마리차라르
Ana Obregón,아나 오브레곤
Álex de la Iglesia,알렉스 데 라 이글레시아
Gaizka Toquero,가이스카 토케로
Jon Aurtenetxe,혼 아우르테네체
Iago Falque,이아고 팔케
Patxi Puñal,프란시스코 푸냘
Pascual Veiga,파스칼 베이가
Abelardo González,아벨라르도 곤살레스
Fernando Tabales,페르난도 타발레스
Mikel Aranburu,미켈 아란부루
Luis Aragonés,루이스 아라고네스
Roberto Etxebarria,로베르토 에체바리아
Ernesto Alterio,에르네스토 알테리오
José Gonzalvo Falcón,호세 곤살보
Eulogio Martínez,에울로히오 마르티네스
Roque Olsen,로케 올센
Álvaro Arbeloa,알바로 아르벨로아
María de Estrada,마리아 데 에스트라다
Conchita Supervía,콘치타 스페르비아
Álvaro Mejía Pérez,알바로 메히아 페레스
Juan de Garay,후안 데 가라이
Javier Urruticoechea,하비에르 우루티코에체아
Rosario Flores,로사리오 플로레스
Ramón Pérez de Ayala,라몬 페레스 데 아얄라
Carlos Montoya,카를로스 몬토야
Gregorio Blasco Sánchez,그레고리오 블라스코
Juan Arza,후안 아르사
Ángel Arocha,앙헬 아로차
Francisco Fernández Ochoa,프란시스코 페르난데스 오초아
Pirri (futbolista),호세 마르티네스 산체스
Willy Caballero,윌리 카바예로
Álvaro Vázquez,알바로 바스케스
Cristina Castaño,크리스티나 카스타뇨
Ustaritz Aldekoaotalora,우스타리츠 알데코아오탈로라
José Ramón Alexanco,호세 라몬 알렉상코
Irene Escolar,이레네 에스콜라르
Ricardo López Felipe,리카르도 로페스 펠리페
Marcos Alonso Mendoza,마르코스 알론소 멘도사
Gerard López,제라르드 로페스
Xabier Etxeita,샤비에르 에체이타
Emilio Nsue,에밀리오 은수에
Ángel López Ruano,앙헬 로페스
Ángel Lafita,앙헬 라피타
Azorín,아소린
Javi Chica,하비에르 치카
Jaime Gavilán,하이메 가빌란
Fernando Tejero,페르난도 테제로
Elías García Martínez,엘리아스 가르시아 마르티네스
Carlos Pacheco Perujo,카를로스 파체코
José Celestino Mutis,호세 셀레스티노 무티스
Ángel Zubieta,앙헬 수비에타
Martín Montoya,마르틴 몬토야
Fernando Sor,페르난도 소르
Yon González,욘 곤살레스
Edurne Pasaban,에두르네 파사반
Ángel (futbolista),앙헬 로드리게스
Víctor Vázquez Solsona,빅토르 바스케스
Joaquín Peiró,호아킨 페이로
Salvador Larroca,살바도르 라로카
José Juncosa,호세 훙코사
Manuel Alexandre,마누엘 알렉산드레
Juanma Lillo,후안마 리요
Ramón J. Sender,라몬 J. 센데르
Rodolfo Chikilicuatre,로돌포 치킬리쿠아트레
Miguel Ángel Lotina,미겔 앙헬 로티나
Ramón Gómez de la Serna,라몬 고메스 데 라 세르나
Mari Lacruz,헤수스 마리아 라크루스
Ramón Guzmán,라몬 구스만
Silke,실케
Héctor Rial,엑토르 리알
Mónica Naranjo,모니카 나랑호
Diego Forlán,디에고 포를란
José Francisco Molina,호세 프란시스코 몰리나
Amaia Salamanca,아마이아 살라망카
Carlos Juan Finlay,카를로스 핀라이
Diego Rodríguez Fernández,디에고 로드리게스 페르난데스
Iñigo Martínez,이니고 마르티네스
Gaizka Garitano,가이스카 가리타노
Fran Perea,프란 페레아
Juanín García,후아닌 가르시아
Kiko (futbolista),프란시스코 미겔 나르바에스 마촌
Najwa Nimri,나와 님리
Loles León,롤레스 레온
Vavá II,루시아노 산체스
Ariadna Gil,아리아드나 힐
Gorka Iraizoz,고르카 이라이소스
Soledad Miranda,솔레다드 미란다
Rossy de Palma,로시 데팔마
Lucía Bosé,루차 보세
Ignacio Zoco,이그나시오 소코
Kiti Mánver,키티 만베르
Chus Lampreave,추스 람프레아베
Francisco Pi y Margall,프란세스크 피 이 마르갈
Carmen Laforet,카르멘 라포레
Esther Cañadas,에스테르 카냐다스
Francisco Javier Farinós,하비에르 파리노스
Pilar Bardem,필라르 바르뎀
Brigitte Yagüe,브리히테 야궤
Eloy Olaya,엘로이 올라야
Angy Fernández,앙히 페르난데스
Icíar Bollaín,이시아르 보야인
Isabel Fernández Gutiérrez,이사벨 페르난데스
Pablo Iglesias Posse,파블로 이글레시아스
Xabier San Martín,하비 산 마르틴
Pedro Parages,페드로 파라헤스
Miriam Blasco,미리암 블라스코
Ana Torroja,아나 토로하
María Pujalte,마리아 푸할테
María Casares,마리아 카자레스
Santiago Cañizares,산티아고 카니사레스
Paloma Picasso,팔로마 피카소
Amancio Amaro,아만시오 아마로
Luis Suárez Miramontes,루이스 수아레스 미라몬테스
Concha Velasco,콘차 벨라스코
Daisy Fuentes,데이지 푸엔테스
Rosana Simón,로사나 시몬
Yolanthe Sneijder-Cabau,욜란테 스네이더르카바우
Dafne Fernández,다프네 페르난데스
Carlos Manuel de Céspedes y del Castillo,카를로스 마누엘 데 세스페데스
Leticia Dolera,레티시아 돌레라
Pere Solé,페드로 솔레
Blanca Romero,블랑카 로메로
Manuel Sanchís Martínez,마누엘 산치스 마르티네스
Carlos Ruiz Herrero,카를로스 루이스 에레로
Pedro Vélez,페드로 벨레스
Silvestre Igoa,실베스트레 이고아
Antonio Resines,안토니오 레시네스
Lluís Homar,유이스 호마르
Carmelo Cedrún,카르멜로 세드룬
Antonio Casas,안토니오 카사스
Laia Marull,라이아 마룰
Christian Alfonso,크리스티안 알폰소 로페스
Celso Bugallo,셀소 부갈로
Gonzalo López-Gallego,곤잘로 로페즈 갈레고
Néstor Calderón,네스토르 칼데론
Pablo Infante,파블로 인판테
Andrés Velencoso,안드레스 벨렝코소
Francisco Vázquez de Coronado,프란시스코 바스케스 데 코로나도
Beñat Etxebarria,베냐트 에체바리아
Rafinha Alcántara,하파에우 아우칸타라
César Martín Villar,세사르 마르틴
Francisco de Herrera el Viejo,프란시스코 데 에레라
Amr Waked,암르 와케드
José María Zárraga,호세 마리아 사라가
Manuel Gómez Pedraza,마누엘 고메스 페드라사
José Ángel Valdés,호세 앙헬 발데스
Francisco Fernández de Capillas,프란치스코 페르난도 데 카필라
Lorenzo Sanz,로렌소 산스
José Antonio Reyes,호세 안토니오 레예스
Alicia Borrachero,알리시아 보라체로
Periko Alonso,미겔 앙헬 알론소
Bodo Illgner,보도 일그너
Mariano Fortuny y Madrazo,마리아노 포르투니 (디자이너)
Severiano Ballesteros,세베 바예스테로스
Rosa María Sardà,로사 마리아 사르다
Estanislao Basora,에스타니슬라오 바소라
Leopoldo Calvo-Sotelo,레오폴도 칼보소텔로
Paz de la Huerta,파스 데라우에르타
Blanca Fernández Ochoa,블랑카 페르난데스 오초아
José Emilio Amavisca,호세 아마비스카
Alejandro Amenábar,알레한드로 아메나바르
Ramón Calderé,라몬 칼데레
Antonio Nariño,안토니오 나리뇨
Jeffrén Suárez,헤프렌 수아레스
Cristina Marcos,크리스티나 마르코스
Juande Ramos,후안데 라모스
Marcos Alonso Peña,마르코스 알론소 페냐
Jennifer Serrano,헤니페르 세라노
Marc Gasol,마르크 가솔
Antonio Pinilla Miranda,안토니오 피니야
Baltasar Albéniz,발타사르 알베니스
Eusebio Poncela,에우세비오 폰셀라
Verónica Echegui,베로니카 에체기
Miguel Ángel Muñoz,미겔 앙헬 무뇨스
Natalia Verbeke,나탈리아 베르베케
Koke Resurrección,코케
Alejandro Sanz,알레한드로 산스
Federico Mompou,페데리코 몸포우
Ana Torrent,아나 토렌트
Carolina Marín,카롤리나 마린
Roberto Jiménez Gago,로베르토 히메네스 가고
Antonio Tapia,안토니오 타피아
Karra Elejalde,카라 엘레할데
Esteban Granero,에스테반 그라네로
Paulino Alcántara,파울리노 알칸타라
Pablo Hernández Domínguez,파블로 에르난데스 도밍게스
Antonio Álvarez Giráldez,안토니오 알바레스 히랄데스
Toño de la Cruz,안토니오 데 라 크루스
Josu Urrutia,호수 우루티아
Pilar López de Ayala,필라르 로페스 데 아얄라
Nerea Camacho,네레아 카마초
Eladio Silvestre,엘라디오 실베스트레
Sebastián Ontoria,세바스티안 온토리아
Cristian Llama,크리스티안 야마
Juan Diego Botto,후안 디에고 보토
Gonzalo Fernández-Castaño,곤살로 페르난데스 카스타뇨
Marc Clotet,마르크 클로테트
Jaime Nunó,하이메 누노 로카
Sofía de Borbón,스페인 인판타 소피아
Mikel Rico,미켈 리코
Lola Dueñas,롤라 두에냐스
Verónica Forqué,베로니카 포르케
Lucía Jiménez,루시아 히메네스
Óliver Torres,올리베르 토레스
Borja Valero,보르하 발레로
Diego Costa,디에고 코스타
Arly Jover,알리 조버
Eve Gordon,이브 고든
Oona Chaplin,우나 채플린
Albert Celades,알베르트 셀라데스
Miguel Reina,미겔 레이나
Migueli,미겔 베르나르도 비안케티
Ruth Núñez,루트 누녜스
Andrea Guasch,안드레아 과스크
Nora Navas,노라 나바스
Michelle Jenner,미셸 제너
Eduardo Pondal,에두아르도 폰달
Àngel Rangel,앙헬 랑헬
Xavi Torres,사비 토레스
Cayetana Fitz-James Stuart,카예타나 피츠하메스 스투아르트 데 알바 여공작
Óscar de Marcos,오스카르 데 마르코스
Marina Pérez,마리나 페레스
Voro,보로 (축구인)
Juan Marsé,후안 마르세
Severino Reija,세베리노 레이하
Antonio Moreno (actor),안토니오 모레노
Javi de Pedro,하비에르 데 페드로
Miquel Soler,미켈 솔레르
Elena Furiase,엘레나 푸리아세
José Cadalso,호세 카달소
David Russell,데이비드 러셀 (기타 연주자)
Leire Martínez,레이레 마르티네스
Claudia Bassols,클라우디아 바솔스
Gonzalo de Berceo,곤살로 데 베르세오
Óscar de la Renta,오스카르 데라렌타
Enrique Saura,엔리케 사우라
Maya Plisétskaya,마이야 플리세츠카야
Enrique Líster,엔리케 리스테르
José Luis Mendilibar,호세 루이스 멘딜리바르
José Luis Abajo,호세 루이스 아바호
Pablo Puyol,파블로 푸욜
Jordi Mestre,조르디 메스트레
Julio Velázquez,훌리오 벨라스케스
Mikel Herzog,미켈 헤르소흐
Dani (futbolista),다니엘 루이스바산
Andrea Orlandi,안드레아 오를란디
Pasieguito,파시에기토
Alejandro Casona,알레한드로 카소나
Blanca Portillo,블랑카 포르티요
Aitana Sánchez-Gijón,아이타나 산체스히혼
Juan Carlos Fresnadillo,후안 카를로스 프레스나디요
Miguel Pardeza,미겔 파르데사
Natasha Yarovenko,나타샤 야로벤코
Rafael Gordillo,라파엘 고르디요
Ricardo Gallego,리카르도 가예고
Chendo,첸도
Haritz Garde,하리츠 가르테
Pablo Benegas,파블로 베네기스
Saúl Ñíguez,사울 니게스
Félix Sesúmaga,펠릭스 세수마가
Fernán Caballero,페르난 카바예로
Óscar García Junyent,오스카르 가르시아 후니엔트
Francisco de Paula de Borbón,프란시스코 데 파울라
Amparo Rivelles,암파로 리베예스
Juan Valera,후안 발레라이아칼라 갈리아노
Diego Mariño,디에고 마리뇨
Vero Boquete,베로니카 보케테
Manuela Velasco,마누엘라 벨라스코
Alfonso Sastre,알폰소 사스트레
Alaska (cantante),알라스카 (가수)
Ander Herrera,안데르 에레라
Jesús Iñigo Liceranzu,이니고 리세란수
Roberto Fresnedoso,로베르토 프레스네도소
Miguel de Andrés,미겔 데 안드레스
Ricardo Darín,리카르도 다린
Delfí Geli,델피 젤리
Javi Márquez,하비 마르케스
Joaquín (futbolista),호아킨 산체스
César Azpilicueta,세사르 아스필리쿠에타
Enrique Granados,엔리케 그라나도스
David Albelda,다비드 알벨다
Gaizka Mendieta,가이스카 멘디에타
Juanito Gómez,후안 고메스 곤살레스
Ricardo Alós,리카르도 알로스
Pruden,프루덴 산체스
Denis Suárez,데니스 수아레스
Xavier O'Callaghan,샤비에르 오칼랴간
Ladislao Kubala,쿠벌러 라슬로
Unai Emery,우나이 에메리
Carlos Saura,카를로스 사우라
Vicente Rodríguez Guillén,비센테 로드리게스
Luis García Sanz,루이스 하비에르 가르시아 산스
Tirso de Molina,티르소 데 몰리나
Ricardo Zamora,리카르도 사모라
Lina Romay,리나 로메이
Eduard Fernández,에두아르드 페르난데스
David Lombán,다비드 롬반
Keko Gontán,케코
Santi Denia,산티아고 데니아
Iván Helguera,이반 엘게라
Gloria Lasso,글로리아 라소
George Meade,조지 미드
Ana Polvorosa,아나 폴보로사
Grigori Sokolov,그리고리 소콜로프
Paco Rabanne,파코 라반
Josep Lluís Sert,주제프 류이스 세르트
Javier Marías,하비에르 마리아스
Yohana Cobo,요아나 코보
Antonio López (futbolista nacido en 1981),안토니오 로페스 게레로
Javier Clemente,하비에르 클레멘테
Isidro Lángara,이시드로 랑가라
Alberto Botía,알베르토 보티아
Víctor Fernández,빅토르 페르난데스
Nacho Vidal,나초 비달
Natalia Streignard,나탈리아 스트레이그나드
Samuel Eto'o,사뮈엘 에토
Jesús Garay Vecino,헤수스 가라이
Jorge Valdano,호르헤 발다노
Samuel Sánchez,사무엘 산체스
Ruy López de Segura,루이 로페스 데 세구라
Beatriz Luengo,베아트리스 루엥고
David Bisbal,다비드 비스발
Manuel Marín,마누엘 마린
Mabel Rivera,마벨 리베라
Bigas Luna,비가스 루나
Maxi Iglesias,막시 이글레시아스
Joaquín Urquiaga,호아킨 우르키아가
Manuel de Blas,마누엘 드 블라스
Nieves Navarro,니브즈 나바로
Rubén Baraja,루벤 바라하
Carlos Marín (cantante),카를로스 마린
Federico Moreno Torroba,페데리코 모레노 토로바
Alejo Sauras,알레조 사우라스
Luis María López Rekarte,루이스 로페스 레카르테
José Planas,호세 플라나스 아르테스
Toni Jiménez,안토니오 히메네스 시스타치스
Marian Rivera,마리안 리베라
Xisco Muñoz,시스코 무뇨스
Ferenc Puskás,푸슈카시 페렌츠
Ana Mariscal,아나 마리스칼
Ana Wagener,아나 와헤네르
Sergio Ramos,세르히오 라모스
Rivaldo,히바우두
Luis Santaló,루이스 산탈로
Gerardo Torrado,헤라르도 토라도
Fernando Arrabal,페르난도 아라발
Pedro León (futbolista),페드로 레온
Antón Lamazares,안톤 라마자레스
Manuel Castells,마누엘 카스텔
Fernando Navarro Corbacho,페르난도 나바로
Antonio Adán,안토니오 아단
José Carreras,호세 카레라스
Ander Garitano,안데르 가리타노
Joseba Etxeberria,호세바 에체베리아
Javi García,프란시스코 하비에르 가르시아
José Luis Romero Robledo,호세 루이스 로메로 로블레도
Diego Velázquez de Cuéllar,디에고 벨라스케스 데 케야르
Juan Carlos Navarro,후안 카를로스 나바로
Valeri Karpin,발레리 카르핀
Ana Mulvoy Ten,애나 멀보이 텐
Andrés Túñez,안드레스 투녜스
Paco Gento,프란시스코 헨토
Juan Alonso,후안 알론소
Sebastián Losada,세바스티안 로사다
Urbano Navarrete,우르바노 나바레테 코르테스
Usun Yoon,윤우선
Marc Bartra,마르크 바르트라
Juan Carlos Valerón,후안 카를로스 발레론
Sergi Bruguera,세르지 브루게라
José Antonio Camacho,호세 안토니오 카마초
Miguel Ángel Nadal,미겔 앙헬 나달
José Santamaría,호세 산타마리아
Andréi Xepkin,안드레이 셉킨
Nacho Fernández Iglesias,나초 페르난데스
Enrique Mateos,엔리케 마테오스
Javier Calleja Revilla,하비에르 카예하
Garcilaso de la Vega,가르실라소 데 라 베가
Albert Luque,알베르 루케
Joan Laporta,주안 라포르타
Olivier Martinez,올리비에 마르티네즈
Ricard Maria Carles,리카르도 마리아 카를레스 고르도
Thomas Christiansen,토마스 크리스티안센
Javier Irureta,하비에르 이루레타
Lucas Vidal,루카스 비달
Rafael Moneo,라파엘 모네오
Philippe Coutinho,필리피 코치뉴
Sebastián Coates,세바스티안 코아테스
Dani Aranzubia,다니엘 아란수비아
Francisco José Ayala,프란시스코 아얄라
Paco Alcácer,파코 알카세르
Unax Ugalde,유나 유가데
Koldo Aguirre,콜도 아기레
Juan Antonio Deusto,후안 안토니오 데우스토
Kike García,키케 가르시아
Silvia Abascal,실비아 아바스칼
Patricia Yurena,파트리시아 유레나 로드리게스
Daniel Pacheco,다니엘 파체코
Sandro Rosell,산드로 로셀
Emilio Sagi-Barba (futbolista),에밀리오 사히 리냔
Francisco Largo Caballero,프란시스코 라르고 카바예로
Camarón de la Isla,카마롱 데 라 이슬라
Felipe Miñambres,펠리페 미냠브레스
Marcelino García Toral,마르셀리노 가르시아 토랄
Rosana Pastor,로사나 파스토르
Olivia Molina,올리비아 몰리나
Melitón Manzanas,멜리톤 만사나스
Ignacio Kortabarria,이나시오 코르타바리아
Javier Zubillaga,하비에르 수비야가
José Murcia González,호세 무르시아
Telmo Zarra,텔모 사라
Asier del Horno,아시에르 델 오르노
Mikel San José,미켈 산 호세
Rudy Fernández,루디 페르난데스 (농구 선수)
Javier López Rodríguez (futbolista español),하비 로페스 (1986년생 축구 선수)
Joan Manuel Serrat,후안 마누엘 세라
Juan Negrín,후안 네그린
Raúl Tamudo,라울 타무도
Roque Baños,로케 바뇨스
Lucas Pérez,루카스 페레스
Alexis Ruano,알렉시스 루아노 델가도
Josep Borrell,주제프 보렐
Alejandro Farnesio (duque de Parma),알레산드로 파르네세 (파르마)
Mista,미겔 앙헬 페레르
Emma Suárez,에마 수아레스
Coke Andújar,코케 (1987년)
Natalia Millán,나탈리아 미얀
Antonio Barragán,안토니오 바라간
Mauricio Pochettino,마우리시오 포체티노
Héctor Moreno,엑토르 모레노
Claudio Bravo (futbolista),클라우디오 브라보
Luis Carrero Blanco,루이스 카레로 블랑코
Marc Muniesa,마르크 무니에사
Juan Arango,후안 아랑고
Enrique Collar,엔리케 코야르
Moncho Gil,몬초 힐
Juan Antonio Larrañaga,후안 안토니오 라라냐가
Patxi Salinas,파치 살리나스
Raimundo Pérez Lezama,라이문도 페레스 레사마
Pedro Antonio de Alarcón,알라르콘 이 아리사
Javier Garrido Behobide,하비에르 가리도
Francisco Tárrega,프란시스코 타레가
Serge Ibaka,세르주 이바카
Sergio García de la Fuente,세르히오 가르시아 (축구 선수)
Miguel Ángel Angulo,미겔 앙헬 앙굴로
Leonardo Cilaurren,레오나르도 실라우렌
Ignacio Eizaguirre,이그나시오 에이사기레
Niceto Alcalá-Zamora,니세토 알칼라사모라
Ramiro Ledesma,라미로 레데스마 라모스
"Julio Iglesias, Jr.",훌리오 이글레시아스 후니오르
Martín Cortés Zúñiga,마르틴 코르테스 수니가
Fran Mérida,프란 메리다
Jonathan Viera,호나탄 비에라
Genar Andrinua,헤나르 안드리누아
Juan Carlos Rodríguez Moreno,후안 카를로스 로드리게스 모레노
David Mateos,다비드 마테오스
Diego López Rodríguez,디에고 로페스 로드리게스
Carlos Velasco Carballo,카를로스 벨라스코 카르바요
Raúl Bravo,라울 브라보
Juan Luis Galiardo,후안 루이스 게리아도
Juan de Borbón,바르셀로나 백작 인판테 후안
Luis Bar Boo,루이스 바르부
Luis Alfonso de Borbón,루이스 알폰소 데 보르본
Adrián López Álvarez,아드리안 로페스 알바레스
Pablo Ibáñez,파블로 이바녜스
Miguel Torres Gómez,미겔 토레스 고메스
Sergio Asenjo,세르히오 아셍호
Fernando Amorebieta,페르난도 아모레비에타
Salva García,살바도르 가르시아
Carlos Comamala,카를로스 코마말라
Iker Muniain,이케르 무니아인
Diego Capel,디에고 카펠
Vicente Asensi,비센테 아센시
Feliciano Rivilla,펠리시아노 리비야
Yū Shirota,시로타 유
Mary Carrillo,메리 카릴로
Martí Riverola,마르티 리베롤라
Raúl Rodríguez Navarro,라울 로드리게스
Ramón Torralba,라몬 토랄바
David Zurutuza,다비드 수루투사
Alfredo Mayo,알프레도 마요
José Parra Martínez,호세 파라 마르티네스
Pichi Alonso,피치 알론소
Mané Esnal,호세 마누엘 에스날
Pierre Webó,피에르 웨보
Antonio Soler Ramos,안토니오 솔레르
Lauren Bisan-Etame,로렌 (축구 선수)
César Sánchez Domínguez,세사르 산체스
Luis Fernández (fútbol),루이스 페르난데스
Luis José de Vendôme,루이조제프 드 부르봉 드 방돔 공작
Carlos Salinas de Gortari,카를로스 살리나스 데 고르타리
Javier Aguirresarobe,하비에르 아기레사로베
Koldo Etxeberria,루이스 마리아 에체베리아
Tomás Reñones,토마스 레뇨네스
Paqui Veza,파키 베사
Paco Jémez,프란시스코 헤메스 마르틴
José Manuel Calderón,호세 칼데론
Manuel Godoy,마누엘 데 고도이
Andrés Gimeno,안드레스 히메노
Francisco Suárez,프란시스코 수아레스
Juan Luis Vives,후안 루이스 비베스
Santiago Urkiaga,산티아고 우르키아가
Manuel Velázquez,마누엘 벨라스케스
Toni Velamazán,토니 벨라마산
Paco Bienzobas,프란시스코 비엔소바스
Javier Manjarín,하비에르 망하린
Jesús Solana,헤수스 솔라나
José Araquistáin,호세 아라키스타인
Fede Saiz,페데 사이스
Agustín Elduayen,아구스틴 엘두아옌
Gallego (futbolista),프란시스코 페르난데스 로드리게스
Úrsula Corberó,우르술라 코르베로
Ricardo Bofill,리카르도 보필
Víctor Sánchez Mata,빅토르 산체스 마타
Jorge Garbajosa,호르헤 가르바호사
Jaime Lazcano,하이메 라스카노
Víctor Tomás González,빅토르 토마스
Ernesto Galán,에르네스토 갈란
Domingo Caycedo,도밍고 카이세도
Juan Señor,후안 안토니오 세뇨르
Aroa Gimeno,아로아 히메노
Vega (Street Fighter),베가 (스트리트 파이터)
José Ufarte,호세 우파르테
Alberto Belsué,알베르토 벨수에
Albert Ferrer,알베르 페레
Iván Campo,이반 캄포
Raúl García Escudero,라울 가르시아 에스쿠데로
Nenê (futbolista),네네 (1981년)
Mariano Pernía,마리아노 페르니아
Iván de la Peña,이반 데 라 페냐
José de Anchieta,안시에타의 요셉
Julio Álvarez Mosquera,훌리오 알바레스
Ramón Zabalo,라몬 사발로
Marta Corredera,마르타 코레데라
Martí Vergés,마르티 베르헤스
Martín Cortés (el mestizo),마르틴 코르테스 엘 메스티소
Jordi Savall,조르디 사발
Vicente Miera,비센테 미에라
María Botto,마리아 보토
Álvaro Vadillo,알바로 바디요
Vicente Calderón,비센테 칼데론
Mirtha Legrand,미르타 르그랑
Abel Antón,아벨 안톤
Abel Resino,아벨 레시노
Abelardo Fernández,아벨라르도 페르난데스
Gonzalo Fernández de Córdoba,곤살로 페르난데스 데 코르도바
Fernando Fernán Gómez,페르난도 페르난 고메스
Manolo Sanchís Hontiyuelo,마누엘 산치스 온티유엘로
Baltasar Garzón,발타사르 가르손
Txiki Begiristain,치키 베히리스타인
Manuel Enrique Mejuto González,마누엘 메후토 곤살레스
Andoni Iraola,안도니 이라올라
Alfonso Pérez,알폰소 페레스
Roberto Olabe,로베르토 올라베 아란사발
Benito Díaz,베니토 디아스
Nacho Pérez,이그나시오 페레즈 산타마리아
Julio Alberto Moreno,훌리오 알베르토 모레노
Alberto López Fernández,알베르토 로페스 페르난데스
Joaquín Turina,호아킨 투리나
Fernando Zambrano,페르난도 삼브라노
Quim Torra,킴 투라
Nano González,마리아노 곤살레스 마로토
Mariola Fuentes,마리올라 푸엔테스
Antonia San Juan,안토니아 산후안
Blanca Suárez,블랑카 수아레스
Cristina Pedroche,크리스티나 페드로체
India Martínez,인디아 마르티네스
Gracia Querejeta,그라시아 퀘레헤타
Ramón Grosso,라몬 그로소
Jordi Codina,조르디 코디나
José Diego Álvarez,호세 디에고 알바레스
Julio Cardeñosa,훌리오 카르데뇨사
Cundi,세쿤디노 수아레스
Francisco Javier Uría,프란시스코 하비에르 우리아
Sergi Belbel,세르지 벨벨
Jordi Dauder,조르디 도더
Léo Baptistão,레오 밥티스탕
Juan Garaizabal,후안 가라이사발
José Mari Bakero,호세 마리 바케로
Pablo Orbaiz,파블로 오르바이스
Íngrid Rubio,잉그리드 루비오
José María Echevarría Ayestarán,호세 마리아 에체바리아
Carlos Lapetra,카를로스 라페트라
José Ignacio Sáenz,호세 이그나시오 사엔스
Ismael Urtubi,이스마엘 우르투비
Kira Miró,키라 미로
Miguel Ángel Portugal,미겔 앙헬 포르투갈
Antonio Amaya Carazo,안토니오 아마야
José María Belauste,호세 마리아 벨라우스테
Borja Bastón,보르하 바스톤
José Zorrilla,호세 소리야
José Ramón Esnaola,호세 라몬 에스나올라
Paul Naschy,폴 나쉬
Abraham Mateo,아브라함 마테오
Carlos Bardem,카를로스 바르뎀
Ramón Marsal,라몬 마르살
Joseíto,호세 이글레시아스 페르난데스
Pepe Mel,페페 멜
Eugenio Leal,에우헤니오 레알
Juan Carlos Garrido Fernández,후안 카를로스 가리도
Guillermo Campanal,기예르모 캄파날
Isidoro San José,이시도로 산 호세
Antonio Biosca,안토니오 비오스카
Francisco Antúnez,프란시스코 안투네스
Antonio Guzmán Núñez,안토니오 구스만 누녜스
Pachín,엔리케 페레스 디아스
Eduardo González Valiño,에두아르도 곤살레스 발리뇨
Jesús Glaría,헤수스 글라리아
Simón Lecue,시몬 레쿠에
Antonio Luna Rodríguez,안토니오 루나
Tente Sánchez,호세 비센테 산체스
José Campaña,호세 캄파냐
Paco Liaño,프란시스코 리아뇨
Sergio Tejera,세르히오 테헤라
Jorge Pulido,호르헤 풀리도
Francisco Rabal,프란시스코 라발
Guillermo Amor,기예르모 아모르
Luis Medina Cantalejo,루이스 메디나 칸탈레호
Fidel Uriarte,피델 우리아르테
Juan Santisteban,후안 산티스테반
Alberto Górriz Echarte,알베르토 고리스
Juan de Oñate,오냐테
Juan Sánchez Moreno,후안 산체스 모레노
Fernando II de las Dos Sicilias,페르디난도 2세 (양시칠리아)
Luis Alcoriza,루이스 알코리자
Almudena Fernández,알무데나 페르난데스
Xavier Cugat,사비에르 쿠가트
Guido Pizarro,기도 피사로
Gai Assulin,가이 아술린
Juan Acuña,후안 아쿠냐
Luciano Vietto,루시아노 비에토
Alberto Iglesias (compositor),알베르토 이글레시아스
Ramón de la Fuente Leal,라몬 데 라 푸엔테 레알
Antonio Puchades,안토니오 푸차데스
Albert Rivera,알베르트 리베라
Óscar Miñambres,오스카르 미냠브레스
Jaime Penedo,하이메 페네도
Rafa Paz,라파엘 파스
Guillermo Eizaguirre,기예르모 에이사기레
Albert Serra,알베르트 세라
Luis Alberto Lacalle,루이스 알베르토 라카예
Robert Fernández,로베르토 페르난데스 보니요
Agustín Aranzabal,아구스틴 아란사발
Antonio Cánovas del Castillo,안토니오 카노바스 델 카스티요
Fermín Cacho,페르민 카초
Sergi Barjuan,세르히 바르후안
Nacho Monreal,나초 몬레알
Miki Roqué,미키 로케
Iker Romero,이케르 로메로
José Samitier,주제프 사미티에르
Francisco López Alfaro,프란시스코 로페스 알파로
Quique Setién,키케 세티엔
Vicente Engonga,비센테 엥공가
Rafael Lesmes,라파엘 레스메스
Belisario Betancur,벨리사리오 베탕쿠르
Ernesto Lecuona,에르네스토 레쿠오나
Francisco Javier Pérez Villarroya,프란시스코 비야로야
Xabier Etxebarria,샤비 에체바리아
Roberto López Ufarte,로베르토 로페스 우파르테
Txetxu Rojo,체추 로호
Rubén García Santos,루벤 가르시아 산토스
Juan Carlos Ablanedo,후안 카를로스 아블라네도
Andrea Duro,안드레아 두로
Manuel Anatol,마누엘 아나톨
Francisco Rodríguez García,프란시스코 로드리게스 가르시아
José Ángel Berraondo,호세 앙헬 베라온도
Gabriel Vidal,가브리엘 비달
Óscar Jaenada,오스카르 하에나다
Gabriel Alonso Aristiaguirre,가브리엘 알론소
Rafa Berges,라파엘 베르헤스
Pedro Jaro,페드로 루이스 하로
Antonio Ferrandis,안토니오 페르안디스
Fortunio Bonanova,포르투니오 보나노바
Cristóbal Parralo,크리스토발 파랄로
Domingo Carulla,도밍고 카루야
