Douglas Adams,ダグラス・アダムズ
David Davis,デイヴィッド・マイケル・デイヴィス
Joe Cocker,ジョー・コッカー
Bonnie Wright,ボニー・ライト
Alan Rickman,アラン・リックマン
Claire Foy,クレア・フォイ
Ruth Padel,ルース・パデル
Jim Al-Khalili,ジム・アルカリーリ
Danny Alexander,ダニー・アレクサンダー
Margaret Ewing,マーガレット・ユーイング
"Richard Luce, Baron Luce",リチャード・ルース (ルース男爵)
"David Hunt, Baron Hunt of Wirral",デイヴィッド・ハント (ハント・オブ・ウィラル男爵)
Peter Aldous,ピーター・オルダス
Roma Downey,ロマ・ダウニー
Carole Pateman,キャロル・ペイトマン
Michael Adams,マイケル・アダムス
Douglas Hogg,ダグラス・ホッグ (第3代ヘイルシャム子爵)
Klaus Roth,クラウス・フリードリッヒ・ロス
Craig Bellamy,クレイグ・ベラミー
Richard Wright,リチャード・ライト
Robert Edwards,ロバート・G・エドワーズ
Eglantyne Jebb,エグランティン・ジェップ
Phil Brown,フィル・ブラウン
Andrew Huxley,アンドリュー・フィールディング・ハクスリー
Halford Mackinder,ハルフォード・マッキンダー
Simon Lessing,サイモン・レッシング
Nadine Dorries,ナディン・ドリーズ
Barbara Margaret Trimble,B・M・ギル
Jemma McKenzie-Brown,ジェマ・マッケンジー＝ブラウン
"Herbert Austin, 1st Baron Austin",ハーバート・オースチン
"Peter Walker, Baron Walker of Worcester",ピーター・ウォーカー (ウォーカー・オブ・ウスター男爵)
Ron Davies,ロン・デイヴィス
Ronnie O'Sullivan,ロニー・オサリバン
David Steel,デイヴィッド・スティール
Winnie Ewing,ウィニー・ユーイング
Nirj Deva,ナージ・デヴァ
Richard Borcherds,リチャード・ボーチャーズ
Kieron Dyer,キーロン・ダイアー
Gwendoline Butler,グウェンドリン・バトラー
Luna Lovegood,ルーナ・ラブグッド
Neville Longbottom,ネビル・ロングボトム
Ian McEwan,イアン・マキューアン
Jean Simmons,ジーン・シモンズ
Cory Doctorow,コリイ・ドクトロウ
Matt Bellamy,マシュー・ベラミー
Eadweard Muybridge,エドワード・マイブリッジ
Eleanor Rathbone,エレノア・ラスボーン
Gemma Doyle,ジェマ・ドイル
A Guy Called Gerald,ア・ガイ・コールド・ジェラルド
Oliver Sacks,オリヴァー・サックス
Katie Leung,ケイティ・リューング
Aaron Klug,アーロン・クルーグ
Martin Ryle,マーティン・ライル
Beth Tweddle,エリザベス・トウェドル
Gurinder Chadha,グリンダ・チャーダ
Christophoros A. Pissarides,クリストファー・ピサリデス
Frank Doran,フランク・ドラン
"John Morris, Baron Morris of Aberavon",ジョン・モリス (アベラボンのモリス男爵)
Konstantin Novoselov,コンスタンチン・ノボセロフ
Anne-Marie Duff,アンヌ＝マリー・ダフ
Jay Kay,ジェイソン・ケイ
Stuart Andrew,スチュアート・アンドルー
Timothy Kirkhope,ティモシー・カークホープ
Simon Donaldson,サイモン・ドナルドソン
Michael Ventris,マイケル・ヴェントリス
Anoushka Shankar,アヌーシュカ・シャンカール
Nigel Dodds,ナイジェル・ドッズ
Jeffrey Donaldson,ジェフリー・ドナルドソン
Dylan Thomas,ディラン・トマス
Ann Haydon-Jones,アン・ヘイドン＝ジョーンズ
Nadhim Zahawi,ナディム・ザハウィ
Ignaz Trebitsch-Lincoln,イグネイシャス・ティモシー・トレビッチ・リンカーン
"Gerald Strickland, 1st Baron Strickland",ジェラルド・ストリックランド (初代ストリックランド男爵)
Francis Maude,フランシス・モーデ
Deborah Kerr,デボラ・カー
Sean Bean,ショーン・ビーン
Harold Hopkins,ハロルド・ホプキンズ
Adamski,アダムスキ
"Henry Brooke, Baron Brooke of Cumnor",ヘンリー・ブロック (カムナーのブロック男爵)
Robert Carr,ロバート・カー
James Milner,ジェイムズ・ミルナー
Jill Esmond,ジル・エズモンド
Heinrich Fraenkel,ハンリヒ・フレンケル
William Lassell,ウィリアム・ラッセル
Douglas Alexander,ダグラス・アレクサンダー
Robert Burton,ロバート・バートン
David Mumford,デヴィッド・マンフォード
Dorothy L. Sayers,ドロシー・L・セイヤーズ
George Porter,ジョージ・ポーター
Emile Heskey,エミール・ヘスキー
"Nadejda Mountbatten, Marchioness of Milford Haven",ナデジダ・マウントバッテン
Jeremy R. Knowles,ジェレミー・R・ノウルズ
Warwick Davis,ワーウィック・デイヴィス
Nicholas Kurti,ニコラス・クルティ
Anthony Crosland,アンソニー・クロスランド
Evelyn Waugh,イーヴリン・ウォー
James Duddridge,ジェームズ・ダドリッジ
Mark Hudson,マーク・ハドソン
Michael Gove,マイケル・ゴーヴ
John Barry,ジョン・バリー
Matthew Lewis,マシュー・ルイス
Alfred Shrubb,アルフレッド・シュラブ
Richard Drax,リチャード・ドラックス
Carwyn Jones,カーウィン・ジョーンズ
Gloria De Piero,グロリア・デ・ピエロ
John Denham,ジョン・デナム（政治家）
Mohammad Sarwar,チョードリー・ムハンマド・サルワル
"George Brown, Baron George-Brown",ジョージ・ブラウン
Sadiq Khan,サディク・カーン
Chris Pyatt,クリス・ピアット
Mark Durkan,マーク・ダーカン
Alfred Knox,アルフレッド・ノックス
John Strachey,ジョン・ストレイチー (政治家)
Richard Hughes,リチャード・ヒューズ
Bella Alten,ベラ・アルテン
Ralph de Diceto,ラルフ・デ・ディセト
Alan Duncan,アラン・ダンカン
Linsey Dawn McKenzie,リンゼイ・ドーン・マッケンジー
Peter Higgs,ピーター・ヒッグス
Steve Baker,スティーブ・ベーカー
G. Evelyn Hutchinson,ジョージ・イヴリン・ハッチンソン
Angela Eagle,アンジェラ・イーグル
Nancy Mitford,ナンシー・ミットフォード
Steve Harris,スティーヴ・ハリス
Ignacy Jan Paderewski,イグナツィ・パデレフスキ
Michelle Dockery,ミシェル・ドッカリー
Mark Davies,マーク・デイビス
Jackie Doyle-Price,ジャッキー・ドイル＝プライス
Aaron Hughes,アーロン・ヒューズ
Enid Blyton,イーニッド・ブライトン
Mary Boyce,メアリー・ボイス
Itzik Manger,イツィク・マンゲル
David Amess,デイヴィッド・エイメス
Rebecca Clarke,レベッカ・クラーク
Reginald Hildyard,レジナルド・ ヒルドヤード
Iain Duncan Smith,イアン・ダンカン・スミス
Mister Sinister,ミスター・シニスター
Catherine Ashton,キャサリン・アシュトン
James Black,ジェームス・ブラック
Philip Dunne,フィリップ・ダン
Gerry Rafferty,ジェリー・ラファティ
Jessica Hynes,ジェシカ・ハインズ
"Richard Haldane, 1st Viscount Haldane",リチャード・ホールデン (ホールデン子爵)
"Christopher Addison, 1st Viscount Addison",クリストファー・アディソン (初代アディソン子爵)
John Deacon,ジョン・ディーコン
"John Chetwynd-Talbot, 1st Earl Talbot",ジョン・チェットウィンド＝タルボット (初代タルボット伯)
"Helen Liddell, Baroness Liddell of Coatdyke",ヘレン・リデル
"John Wodehouse, 3rd Earl of Kimberley",ジョン・ウッドハウス (第3代キンバリー伯爵)
Jeremy Thorpe,ジェレミー・ソープ
Guillermo Cabrera Infante,ギリェルモ・カブレラ＝インファンテ
"Michael Onslow, 7th Earl of Onslow",マイケル・オンズロー
Rachel Shelley,レイチェル・シェリー
Jonathan Ashworth,ジョナサン・アシュワース
Edith Sitwell,イーディス・シットウェル
"Paul Deighton, Baron Deighton",ポール・デイトン
Ned Beauman,ネッド・ボーマン
Eddie Gray,エディ・グレイ
Vivian Stuart,ヴィヴィアン・スチュアート
Jon Lord,ジョン・ロード
Callum McManaman,カラム・マクマナマン
Gary Lewis,ゲイリー・ルイス
Bobby Moore,ボビー・ムーア
George Martin,ジョージ・マーティン
Hartley Shawcross,ハートリー・ショークロス
Hersch Lauterpacht,ハーシュ・ローターパクト
"John Baring, 7th Baron Ashburton",ジョン・ベアリング
"Patrick Mayhew, Baron Mayhew of Twysden",パトリック・メイヒュー
"Gordon Hewart, 1st Viscount Hewart",ゴードン・ヘワート (初代ヘワート子爵)
"Hugh Cecil, 1st Baron Quickswood",ヒュー・セシル (初代クイックスウッド男爵)
George Peabody Gooch,ジョージ・ピーボディ・グーチ
"Michael Forsyth, Baron Forsyth of Drumlean",マイケル・フォーサイス
Jim Knight,ジェームズ・ナイト
Kenneth Arthur Noel Anderson,ケネス・アーサー・ノエル・アンダーソン
Susan Lynch,スーザン・リンチ
George Young,ジョージ・ヤング
"Reginald Brett, 2nd Viscount Esher",レジナルド・ベレット (第2代イーシャ子爵)
"Peter Brooke, Baron Brooke of Sutton Mandeville",ピーター・ブルック
Nigel Evans,ナイジェル・エバンズ
Minerva McGonagall,ミネルバ・マクゴナガル
Ritchie Blackmore,リッチー・ブラックモア
Jeff Beck,ジェフ・ベック
Mark Carney,マーク・カーニー
"John Wakeham, Baron Wakeham",ジョン・ウェイカム (ウェイカム男爵)
Airey Neave,エアリー・ニーヴ
Simon Hughes,サイモン・ヒューズ
Jim Kerr,ジム・カー
Harriett Baldwin,ハリエット・ボールドウィン
"William Jowitt, 1st Earl Jowitt",ウィリアム・ジョウィット
"George Cave, 1st Viscount Cave",ジョージ・ケイヴ (初代ケイヴ子爵)
Julie Elliott,ジュリー・エリオット
Michael Ellis,マイケル・エリス
Jane Ellison,ジェーン・エリソン
Nick Mason,ニック・メイスン
Matthew Parris,マシュー・パリス
"John Baird, 1st Viscount Stonehaven",ジョン・ベアード (初代ストーンヘイヴン子爵)
"Davison Dalziel, 1st Baron Dalziel of Wooler",ダヴィソン・ダルジール
Gareth Barry,ギャレス・バリー
Thomas Gainsborough,トマス・ゲインズバラ
Chris Evans,クリス・エヴァンス
Graham Evans,グレアム・エバンズ
Queen Louise of Sweden,ルイーズ・マウントバッテン
Michael Arlen,マイケル・アーレン
Sienna Miller,シエナ・ミラー
Iain Wright,イアン・ライト
Alice Bailey,アリス・ベイリー
Don Finlay,ドナルド・フィンレー
David Trimble,デヴィッド・トリンブル
Duffy,ダフィー
Thomas Newcomen,トーマス・ニューコメン
James Chuter Ede,ジェームズ・チューター・イード
Eric Varley,エリック・ヴァーレイ
Guto Bebb,ガット・ベブ
Steve Nash,スティーブ・ナッシュ
Anthony James Leggett,アンソニー・レゲット
Lesley-Anne Down,レスリー＝アン・ダウン
Fred Mulley,フレッド・マリー
"Matthew Taylor, Baron Taylor of Goss Moor",マシュー・テイラー (政治家)
Denis Pritt,デニス・プリット
William Sealy Gosset,ウィリアム・ゴセット
Charlie Burchill,チャーリー・バーチル
"Richard Allan, Baron Allan of Hallam",リチャード・アラン
Horatio Bottomley,ホレイショ・ボトムリー
George Reid,ジョージ・リード
Charlie Elphicke,チャーリー・エルフィック
Natascha Engel,ナターシャ・エンジェル
Daphne du Maurier,ダフネ・デュ・モーリア
Margaret Yorke,マーガレット・ヨーク
E. R. Eddison,E・R・エディスン
Lewis Gilbert,ルイス・ギルバート
"Florence Horsbrugh, Baroness Horsbrugh",フローレンス・ホースブルグ (ホースブルグ女男爵)
"Peter Thorneycroft, Baron Thorneycroft",ピーター・ソーニクロフト
"Derick Heathcoat-Amory, 1st Viscount Amory",デリック・ヒースコート＝エイモリー (初代エイモリー子爵)
Tony Colman,トニー・コールマン
Frank Field,フランク・フィールド
Margo MacDonald,マーゴ・マクドナルド
George Eustice,ジョージ・ユースティス
Aasif Mandvi,アーシフ・マンドヴィ
Andrew Smith,アンドルー・スミス
David Coverdale,デイヴィッド・カヴァデール
Maria Miller,マリア・ミラー
Noel Gallagher,ノエル・ギャラガー
Stephen Fry,スティーヴン・フライ
"Herwald Ramsbotham, 1st Viscount Soulbury",ハーウォルド・ラムズボサム (初代ソウルベリー子爵)
Eric Heffer,エリック・ヘファー
Sam Allardyce,サム・アラダイス
"Rennell Rodd, 1st Baron Rennell",ジェームズ・レネル・ロッド (初代レネル男爵)
Tony Pulis,トニー・ピューリス
Shaun Wright-Phillips,ショーン・ライト＝フィリップス
Selwyn Edge,セルウィン・エッジ
"Prince Henry, Duke of Gloucester",ヘンリー
John Digweed,ジョン・ディグウィード
Dion Fortune,ダイアン・フォーチュン
Ed Balls,エド・ボールズ
Jeremy Wright,ジェレミー・ライト
Michael Fabricant,マイケル・ファブリカント
Michael Fallon,マイケル・ファロン
Will Alsop,ウィル・アルソップ
Chris Squire,クリス・スクワイア
Emily Blunt,エミリー・ブラント
Shaun Woodward,ショーン・ウッドワード
Will Self,ウィル・セルフ
Steven Reid,スティーヴン・リード
"Edmund Allenby, 1st Viscount Allenby",エドムンド・アレンビー
"John McFall, Baron McFall of Alcluith",ジョン・マクフォール
"David Maxwell Fyfe, 1st Earl of Kilmuir",デイヴィッド・マクスウェル・ファイフ
David Evennett,デビット・エベネット
Paul Farrelly,ポール・ファレリー
Tim Farron,ティム・ファロン
Lynne Featherstone,リン・フェザーストーン
Robson Green,ロブソン・グリーン
Hans W. Kosterlitz,ハンス・コスターリッツ
Tobias Ellwood,トバイアス・エルウッド
Miss Marple,ミス・マープル
Tony Scott,トニー・スコット
Stephen Barclay,スティーヴン・バークリー
Alan Lloyd Hodgkin,アラン・ロイド・ホジキン
Guy Ritchie,ガイ・リッチー
Roger Penrose,ロジャー・ペンローズ
Sade Adu,シャーデー・アデュ
Kay Parker,ケイ・パーカー
"Julian Byng, 1st Viscount Byng of Vimy",ヴィミのビング子爵
Mike Wood,マイク・ウッド (政治家)
Richard Branson,リチャード・ブランソン
Philip Ledger,フィリップ・レッジャー
Princess Alice of Battenberg,アリス・オブ・バッテンバーグ
Freddie Fox,フレディ・フォックス
"Robert Boothby, Baron Boothby",ロバート・ブースビー (ブースビー男爵)
"David Waddington, Baron Waddington",デイヴィッド・ワディントン (ワディントン男爵)
Tanith Lee,タニス・リー
Meera Syal,ミーラ・サイアル
Maud Watson,モード・ワトソン
Sue Townsend,スー・タウンゼント
Bradley Wiggins,ブラッドリー・ウィギンス
Isobel Campbell,イザベル・キャンベル
Tina Charles,ティナ・チャールズ (歌手)
Abu Hamza al-Masri,アブ・ハムザ・アル＝マスリ
Nigel Lawson,ナイジェル・ローソン
Hugh Trevor-Roper,ヒュー・トレヴァー＝ローパー
William Rees-Mogg,ウィリアム・リーズ＝モグ
"Arthur Tedder, 1st Baron Tedder",アーサー・テッダー
"John Vereker, 6th Viscount Gort",ジョン・ヴェレカー
Russell Thorndike,ラッセル・ソーンダイク
Jack Kid Berg,ジャック・キッド・バーグ
James McAvoy,ジェームズ・マカヴォイ
Ricky Hatton,リッキー・ハットン
Steve Hillage,スティーヴ・ヒレッジ
MF DOOM,MFドゥーム
Maria Eagle,マリア・イーグル
Josephine Tey,ジョセフィン・テイ
Matthew Williamson,マシュー・ウィリアムソン
Robert Syms,ロバート・シムズ
Abby McDonald,アビー・マクドナルド
Abdul Rahman Hassan Azzam,アブドゥル・ラフマーン・ハサン・アッザーム
Lucy Punch,ルーシー・パンチ
Finola Hughes,フィノラ・ヒューズ
Phil Mills,フィル・ミルズ
Peter Christopherson,ピーター・クリストファーソン
Liz McColgan,リズ・マッコルガン
"Nicholas Lyell, Baron Lyell of Markyate",ニコラス・ライエル
"Michael Spicer, Baron Spicer",マイケル・スペンサー
Dingle Foot,ディングル・フット
Edwin Muir,エドウィン・ミュアー
Hans Keller,ハンス・ケラー
Joscelyn Godwin,ジョスリン・ゴドウィン
Charles Dance,チャールズ・ダンス
Yasmine Hamdan,ヤスミン・ハムダン
Martin Freeman,マーティン・フリーマン
Arnold Dolmetsch,アーノルド・ドルメッチ
Assheton Gorton,アシュトン・ゴートン
Gary Caldwell,ガリー・コールドウェル
Robert Bontine Cunninghame Graham,ロバート・グラハム
John Woodcock,ジョン・ウッドコック
Edward Bullard,エドワード・ブラード
Rachel Portman,レイチェル・ポートマン
Tymon Dogg,タイモン・ドッグ
Uffa Fox,ウファ・フォックス
Lillian Board,リリアン・ボード
Peter Cushing,ピーター・カッシング
"John Jellicoe, 1st Earl Jellicoe",ジョン・ジェリコー
"William Slim, 1st Viscount Slim",ウィリアム・スリム
Rose Keegan,ローズ・キーガン
Sarah Wollaston,サラ・ウォラストン
Jon Savage,ジョン・サヴェージ
Malcolm McDowell,マルコム・マクダウェル
Hugh Thomas,ヒュー・トマス
Nicholas Kaldor,ニコラス・カルドア
Owen Paterson,オーウェン・ペイターソン
Jamie Hamilton,ジェイミー・ハミルトン
"Claude Bowes-Lyon, 14th Earl of Strathmore and Kinghorne",クロード・ボーズ＝ライアン
"Peter Carington, 6th Baron Carrington",ピーター・キャリントン
Mark Oaten,マイク・オアテン
Matthew Etherington,マシュー・エザリントン
Alex Oxlade-Chamberlain,アレックス・チェンバレン
Selina Cadell,セリナ・カデル
"Hastings Ismay, 1st Baron Ismay",ヘイスティングス・イスメイ
"David Beatty, 1st Earl Beatty",デヴィッド・ビーティー
Alan Bates,アラン・ベイツ
William Beveridge,ウィリアム・ベヴァリッジ
James Boswell,ジェイムズ・ボズウェル
"Bernard Freyberg, 1st Baron Freyberg",バーナード・フレイバーグ
Anne Briggs,アン・ブリッグス
Andy Turner,アンディ・ターナー
"Nancy Astor, Viscountess Astor",ナンシー・アスター
Phyllis Logan,フィリス・ローガン
Gary Mounfield,マニ
Freddie Jones,フレディ・ジョーンズ
"Jeffery Amherst, 1st Baron Amherst",ジェフリー・アマースト
John Julius Norwich,ジョン・ジュリアス・ノーウィッチ
Jim Marshall,ジム・マーシャル
Bobby Sands,ボビー・サンズ
Thomas Arne,トマス・アーン
Gwyneth Jones,ギネス・ジョーンズ
"Patricia Scotland, Baroness Scotland of Asthal",スコットランド・オブ・アスタル男爵夫人
"John Sewel, Baron Sewel",ジョン・スーウェル
Joe Wright,ジョー・ライト
Michael Roaf,マイケル・ローフ
William Pleeth,ウィリアム・プリース
Miranda Raison,ミランダ・レイズン
Edward James,エドワード・ジェームズ
"Lionel Robbins, Baron Robbins",ライオネル・ロビンズ
Greg Rusedski,グレグ・ルーゼドスキー
Lucy Gutteridge,ルーシー・ガタリッジ
Curt Geyer,クルト・ガイヤー
Alan Hutton,アラン・ハットン
Tony Hibbert,トニー・ヒバート
James Fox,ジェームズ・フォックス
Linford Christie,リンフォード・クリスティ
Chris Rea,クリス・レア
Fatima Whitbread,ファティマ・ウィットブレッド
David Ogilvy,デイヴィッド・オグルヴィ
Zienia Merton,ジーニア・マートン
Leslie Norman,レジー・ノーマン
"Eric Drummond, 16th Earl of Perth",エリック・ドラモンド (16代パース伯爵)
N. T. Wright,ニコラス・トマス・ライト
"George Mountbatten, 2nd Marquess of Milford Haven",ジョージ・マウントバッテン
Audrey Williamson,オードリー・ウィリアムソン
Lemmy,レミー・キルミスター
Robert Donat,ロバート・ドーナット
Ellen MacArthur,エレン・マッカーサー
Penelope Lively,ペネロピ・ライヴリー
Ginger Baker,ジンジャー・ベイカー
Chris Hoy,クリス・ホイ
Gerald Durrell,ジェラルド・ダレル
"Edward Grey, 1st Viscount Grey of Fallodon",エドワード・グレイ
Colin Renfrew,コリン・レンフルー
Katy B,ケイティ・B
Eugene Chaplin,ユージン・アンソニー・チャップリン
Scott Sinclair,スコット・シンクレア
Josh McEachran,ジョシュ・マクイクラン
Karl Johnson,カール・ジョンソン
Stewart Granger,スチュワート・グレンジャー
John Pasche,ジョン・パッシェ
Craig Levein,クレイグ・レヴェイン
Peter Mandelson,ピーター・マンデルソン
Joe Strummer,ジョー・ストラマー
Edward Fox,エドワード・フォックス
Henry Bellingham,ヘンリー・ベリンガム
Maryam d'Abo,マリアム・ダボ
Graeme Souness,グレアム・スーネス
Kunal Nayyar,クナル・ネイヤー
Nicholas Woodeson,ニコラス・ウッドソン
Ruth Wilson,ルース・ウィルソン
John Vane,ジョン・ベーン
Tim Hunt,ティモシー・ハント
Alan Bullock,アラン・ブロック
Graham Coxon,グレアム・コクソン
Gavin Williamson,ゲイビン・ウィリアムソン
Ingrid Newkirk,イングリッド・ニューカーク
"Alexander Cambridge, 1st Earl of Athlone",アレキサンダー・ケンブリッジ (初代アスローン伯爵)
"Thomas Bruce, 7th Earl of Elgin",トマス・ブルース (第7代エルギン伯爵)
Percy Hodge,パーシー・ホッジ
Ernest Thesiger,アーネスト・セジガー
Christopher Cazenove,クリストファー・カジノブ
Kit Symons,キット・シモンズ
Duff Cooper,ダフ・クーパー
Robert Skidelsky,ロバート・スキデルスキー
"Alistair Vane-Tempest-Stewart, 9th Marquess of Londonderry",アリスター・ヴェーン＝テンペスト＝ステュアート (第9代ロンドンデリー侯爵)
Amanda Donohoe,アマンダ・ドノホー
Charles Walker,チャールズ・ウォーカー
Mo Mowlam,モ・モウラム
Hilary Benn,ヒラリー・ベン
Richard Roberts,リチャード・ロバーツ
Roland Joffé,ローランド・ジョフィ
Kieran Richardson,キーラン・リチャードソン
Nedum Onuoha,ネダム・オヌオハ
Steve Davis,スティーブ・デイビス
Eliot Sumner,エリオット・サムナー
"Angus Douglas-Hamilton, 15th Duke of Hamilton",アンガス・ダグラス＝ハミルトン (第15代ハミルトン公爵)
Bill Deedes,ビル・ディーディス
Peter Thomas Bauer,ピーター・バウアー
Thomas Lewis,トーマス・ルイス
Martin Rees,マーティン・リース
"Herbert Samuel, 1st Viscount Samuel",ハーバート・サミュエル
"Edmund Ironside, 1st Baron Ironside",エドムンド・アイアンサイド
David Bentley,デヴィッド・ベントリー
Alan Ball Jr.,アラン・ボール・ジュニア
"Nicholas Stern, Baron Stern of Brentford",ニコラス・スターン
"John Lytton, 5th Earl of Lytton",ジョン・リットン
George Carey,ジョージ・ケアリー
Graham Hutchings,グラハム・ハッチングス
Evelyn Beatrice Hall,エヴリン・ベアトリス・ホール
Ben Barnes,ベン・バーンズ
Skandar Keynes,スキャンダー・ケインズ
Naomi Campbell,ナオミ・キャンベル
Rotha Lintorn-Orman,ロウサ・リントーン＝オーマン
J. Rendel Harris,J・レンデル・ハリス
Fortune Gordien,フォーチュン・ゴーディエン
Henry Fuseli,ヨハン・ハインリヒ・フュースリー
Charles Shaughnessy,チャールズ・ショーネシー
Benny Hill,ベニー・ヒル
John Hurt,ジョン・ハート
Dudley Moore,ダドリー・ムーア
Edmund Goulding,エドマンド・グールディング
Simon Davies,サイモン・デイヴィス
Glenn Hughes,グレン・ヒューズ
Kate Mosse,ケイト・モス (作家)
Louise Lombard,ルイーズ・ロンバード
Tilda Swinton,ティルダ・スウィントン
David Hemmings,デヴィッド・ヘミングス
Phil Wilson,フィル・ウィルソン
Harold Shipman,ハロルド・シップマン
James Taylor,ジェームス・テイラー
Robert Runcie,ロバート・ランシー
"Edward George, Baron George",エドワード・ジョージ
Geoffrey Fisher,ジョフリー・フィッシャー
"Maurice Hankey, 1st Baron Hankey",モーリス・ハンキー (初代ハンキー男爵)
Robert Fisk,ロバート・フィスク
Robin Walker,ロビン・ウォーカー
Jack Davenport,ジャック・ダヴェンポート
Ray Winstone,レイ・ウィンストン
David Fletcher,デビッド・フレッチャー
David Johnson,デヴィッド・ジョンソン
Richard Francis Burton,リチャード・フランシス・バートン
Christopher Isherwood,クリストファー・イシャーウッド
A. L. Rowse,A・L・ラウス
"William Morris, 1st Viscount Nuffield",ウィリアム・モリス
David Puttnam,デヴィッド・パットナム
Michael Bond,マイケル・ボンド
John M. Pollard,ジョン・ポラード
Bernard Hill,バーナード・ヒル
Brendan Rodgers,ブレンダン・ロジャーズ
Billy Williams,ビリー・ウィリアムズ
Jane Seymour,ジェーン・シーモア
Ben Wallace,ベン・ウォレス
Alain de Botton,アラン・ド・ボトン
Robert Graves,ロバート・グレーヴス
Martin Amis,マーティン・エイミス
"Charles Guthrie, Baron Guthrie of Craigiebank",チャールズ・ガスリー (ガスリー男爵)
Colin McRae,コリン・マクレー
"Hugh Dowding, 1st Baron Dowding",ヒュー・ダウディング
John Bercow,ジョン・バーコウ
Alan Baker,アラン・ベイカー
Francis Crick,フランシス・クリック
Peter Woodthorpe,ピーター・ウッドソープ
Philip Glenister,フィリップ・グレニスター
Joan Armatrading,ジョーン・アーマトレイディング
Robert Green,ロバート・グリーン
Gustav Holst,グスターヴ・ホルスト
Dolly Martin,ドリー・リード
Paul Jones,ポール・ジョーンズ
Prince Sadruddin Aga Khan,サドルッディーン・アーガー・ハーン
Clive Brittain,クライヴ・ブリテン
Thomas Cranmer,トマス・クランマー
"Antony Armstrong-Jones, 1st Earl of Snowdon",アンソニー・アームストロング＝ジョーンズ
"George Villiers, 4th Earl of Clarendon",ジョージ・ヴィリアーズ
"William Morrison, 1st Viscount Dunrossil",ウィリアム・モリソン (初代ダンロッシル子爵)
Karl Pearson,カール・ピアソン
Stephen Wolfram,スティーブン・ウルフラム
Jessica Brown Findlay,ジェシカ・ブラウン・フィンドレイ
Jake Scott,ジェイク・スコット
Scott Quigg,スコット・クィッグ
Michael Caine,マイケル・ケイン
Leslie Hore-Belisha,レズリー・ホア＝ベリシャ
Alan McInally,アラン・マキナリー
Matthew Wilson,マシュー・ウィルソン
"David Cunliffe-Lister, 2nd Earl of Swinton",デイヴィッド・カンリフ＝リスター
"John Astor, 3rd Baron Astor of Hever",ジョン・ジェイコブ・アスター
"Gerald Gardiner, Baron Gardiner",ジェラルド・ガーディナー (ガーディナー男爵)
"Hugh FitzRoy, 11th Duke of Grafton",ヒュー・フィッツロイ (第11代グラフトン公)
Danny Blanchflower,ダニー・ブランチフラワー
Kevin McNally,ケヴィン・マクナリー
Gloria Holden,グロリア・ホールデン
Helen Shapiro,ヘレン・シャピロ
Mary Rand,マリー・ランド
"Ian Russell, 13th Duke of Bedford",イアン・ラッセル (第13代ベッドフォード公)
"Thomas Galbraith, 2nd Baron Strathclyde",トマス・ガルブレイス
"Hector Monro, Baron Monro of Langholm",ヘクター・モンロー
"Rudolph Lambart, 10th Earl of Cavan",第10代キャバン伯ルドルフ・ランバート
"Frances D'Souza, Baroness D'Souza",フランセス・デ・スーザ
Robert Winston,ロバート・ウィンストン
Michael Ashcroft,マイケル・アシュクロフト
"Richard Vincent, Baron Vincent of Coleshill",リチャード・ヴィンセント (ヴィンセント・オブ・コールシル男爵)
"Oliver Russell, 2nd Baron Ampthill",オリヴァー・ラッセル (第2代アムトヒル男爵)
"Hugh Cavendish, Baron Cavendish of Furness",ヒュー・キャヴェンディッシュ
Caroline Goodall,キャロライン・グッドール
Robin Harper,ロビン・ハーパー
John Davis,ジョン・デイヴィス
Roger Daltrey,ロジャー・ダルトリー
James McFadden,ジェームズ・マクファデン
Don Airey,ドン・エイリー
"William Ward, 2nd Earl of Dudley",ウィリアム・ハンブル・ワード (第2代ダドリー伯爵)
Ralph Brown,ラルフ・ブラウン
Jimmy Armfield,ジミー・アームフィールド
Charles Williams,チャールズ・ウィリアムズ
Titus Bramble,タイタス・ブランブル
Nicholas Courtney,ニコラス・コートニー
John Marshall,ジョン・マーシャル (ドラマー)
John Dee,ジョン・ディー
Paul Beresford,ポール・ベレスフォード
Luciana Berger,ルシアナ・バーガー
Jake Berry,ジェイク・ベリー
John Gilling,ジョン・ギリング
Peter Hammond,ピーター・ハモンド
"Robert Shirley, 13th Earl Ferrers",ロバート・シャーリー
"Guy Innes-Ker, 10th Duke of Roxburghe",ガイ・イニス＝カー (第10代ロックスバラ公爵)
"Michael Boyce, Baron Boyce",マイケル・ボイス
Hugh Griffith,ヒュー・グリフィス
"Charles Douglas, 3rd Duke of Queensberry",チャールズ・ダグラス (第3代クイーンズベリー公爵)
"Edwin Bramall, Baron Bramall",エドウィン・ブラモール
"Frederick Gordon-Lennox, 9th Duke of Richmond",フレデリック・ゴードン＝レノックス (第9代リッチモンド公爵)
"Arthur Foljambe, 2nd Earl of Liverpool",アーサー・フォジャム (第2代リヴァプール伯爵)
Joan Walley,ジョアン・ウォーリー
"Clementine Churchill, Baroness Spencer-Churchill",クレメンタイン・チャーチル
Steve Webster,スティーブ・ウェブスター
Geezer Butler,ギーザー・バトラー
David Bohm,デヴィッド・ボーム
"Charles Gordon-Lennox, 8th Duke of Richmond",チャールズ・ゴードン＝レノックス (第8代リッチモンド公爵)
"David Triesman, Baron Triesman",デヴィッド・トライズマン
