Alexandra Stan,アレクサンドラ・スタン
Arhiducele Ștefan de Austria,シュテファン・フォン・ハプスブルク
Andrei Codrescu,アンドレイ・コドレスク
Grigore Preoteasa,グリゴーレ・プレオターサ
Mosko Alkalai,モスコ・アルカライ
Emil Imre,エミル・イムレ
Claudiu Keșerü,クラウディウ・ケセル
Vladimir Tismăneanu,ウラジーミル・ティスマネアヌ
Claudiu Niculescu,クラウディウ・ニクレスク
Simona Gherman,シモナ・ゲルマン
Iosif Conta,イオシフ・コンタ
Nicolae Mitea,ニコラエ・ミテア
Edouard Lindenberg,エドゥアルト・リンデンベルク
Constantin Pârvulescu,コンスタンティン・プルヴォレスク
Constantin Dăscălescu,コンスタンティン・ダスカレスク
Marius Copil,マリウス・コピル
Mihail Sadoveanu,ミハイル・サドヴャーヌ
Ionel Ganea,ヨアン・ガネア
Constantin Christescu,コンスタンチン・クリステスク
Nicolae Xenopol,ニコラエ・ゼノポール
Mugurel Buga,ムグレル・ブーガ
Cătălin Fercu,カタリン・フェルク
Ioan Dragalina,イオン・ドラガリナ
Anastasia Lazariuc,アナスタシア・ラザリュク
Dorin Chirtoacă,ドリン・キルトアカ
Ioan Culcer,イオン・クルチェル
Vladimir Orlov,ヴラディーミル・オルロフ
Cezar Lăzărescu,チェザル・ラザレスク
Cezar Popescu,チェザル・ポペスク
Christian Beldi,クリスティアン・ベルディ
Solomon Marcus,ソロモン・マーコス
Andrei Mureșan,アンドレイ・ムレシャン
Cosmina Dușa,コスミナ・ドゥシャ
Alexandru Șerbănescu,アレクサンドル・シェルバネスク
Eremia Grigorescu,エレミヤ・テオフィル・グリゴレスコ
Constantin Silvestri,コンスタンティン・シルヴェストリ
Serge Moscovici,セルジュ・モスコヴィッシ
Ion Marin,イオン・マリン
Ioan Mihail Racoviță,ミハイ・ラコヴィッツァ
Gheorghe Manoliu,ゲオルゲ・マノリウ
Vlad Plahotniuc,ウラジミール・プラホトニク
Iulian Raicea,イウリアン・ライチャ
Leontina Văduva,レオンティーナ・ヴァドゥヴァ
Alexandru Nicolaevici Deutsch,アレクサンドル・ドイチュ
Florian Pittiș,フロリアン・ピティス
Ilarie Voronca,イラリエ・ヴォロンカ
I. A. L. Diamond,I・A・L・ダイアモンド
Ileana Sonnabend,イリアナ・ソナベンド
Varujan Vosganian,ヴァルジャン・ヴォスゲイニアン
Costi Ioniță,コスティ・ヨニッツァ
Ion Stănescu,イオン・スタネスク
Ion Sturza,イオン・ストゥルザ
Ionel Augustin,イオネル・オーガスティン
Ionel Perlea,イオネル・ペルレア
Cristian Pop,クリスティアン・ポップ
Cristian Constantin Petre,クリスティアン・ペトレ
Céline Arnauld,セリーヌ・アルノー
George Călinescu,ジョルジェ・カリネスク
Violeta Andrei,ヴィオレタ・アンドレイ
Joseph M. Juran,ジョセフ・ジュラン
Andrei Ropcea,アンドレイ・ロプシー
Isidor Gansl,ガンスル・イジドル
Ilie Șteflea,イリエ・シュテフレア
Nicolae Manolescu,ニコラエ・マノレスク
Doina Rotaru,ドイナ・ロタル
George Țucudean,ツクデアン
Leonte Răutu,レオンテ・ロウト
Mircea Dobrescu,ミルチェア・ドブレスク
Ermil Gheorghiu,エルミル・ゲオルジウ
Cosmin Frăsinescu,コスミン・フラシネスク
Mihail Majearu,ミハイル・マジェアル
Marian Oprea,マリアン・オプレア
Laurențiu Roșu,ラウレンティウ・ロシュ
Rudolf Wagner-Régeny,ルドルフ・ヴァーグナー＝レゲニー
Ion Barbu,イオン・バルブ
Serge Klarsfeld,セルジュ・クラルスフェルト
Radu Mihăileanu,ラデュ・ミヘイレアニュ
Dragoș Băjenaru,ドラゴシュ・ベジェナル
Lascăr Catargiu,ラスカル・カタルジュ
Anghel Iordănescu,アンゲル・ヨルダネスク
Marius Lăcătuș,マリウス・ラカトゥシュ
Dieter Nisipeanu,リヴィウ・ディエテル・ニシペアヌ
Simion Stoilov,シミオン・ストイロフ
Adrian Matei,アドリアン・マテイ
László Tőkés,テケシュ・ラースロー
Boris Ștefanov,ボリス・ステファンコフ
Eugen Sârbu,ウジェーヌ・サルブ
Ion Aldea Teodorovici,イオン・アルデア・テオドロヴィチ
Ion C. Ciobanu,イオン・コンスタンティン・チョバヌ
Aurelia Cionca,アウレリア・シオンカ
Vitali Holostenco,ヴィタリ・ホロステンコ
Daniel Ciugureanu,ダニエル・チュグレアヌ
Andrei Șerban,アンドレイ・セルバン
Ștefan Câlția,シュテファン・クルツィア
Ștefan Tapalagă,シュテファン・タパラガ
Paul Papp,パウル・パップ
Mihai Răduț,ミハイ・ラドゥツ
Eva Mozes Kor,エヴァ・モーゼス・コー
Iustin Moisescu,ジャスティン・モイセスク
Elisabeta Bostan,エリザベータ・ボスタン
Constantin Virgil Gheorghiu,C・ビルジル・ゲオルギュ
Octav Băncilă,オクタヴ・バンキラ
Florin Cioabă,フロリン・チョアバ
Egon Balas,エゴン・バラス
Florin Constantinovici,フローリン・コンスタンティノヴィチ
Florin Mergea,フロリン・メルジェ
Dennis Șerban,デニス・シェルバン
Cosmin Matei,コスミン・マテイ
Constantin Popovici,コンスタンティン・ポポビッチ
Dumitru Mazilu,ドゥミトル・マジル
"Radu, Principe al României",ラドゥ・ドゥダ
Gheorghe I. Brătianu,ゲオルゲ・I・ブラティアヌ
Decebal Traian Remeș,デチェバル・トライアン・レメシュ
Costin Lazăr,コスティン・ラザル
Victor Brauner,ヴィクトル・ブローネル
Victor Rebengiuc,ヴィクトル・レベンギュウク
Dimitrie A. Sturdza,ディミトリエ・ストゥルザ
Constantin Argetoianu,コンスタンティン・アルジェトイアヌ
Constantin Dobrogeanu-Gherea,コンスタンティン・ドブロジァーヌ・ゲレア
Mitiță Constantinescu,ミティツァ・コンスタンティネスク
Dan Pița,ダン・ピッツァ
Cornel Dinu,コルネル・ディヌ
Esthera Petre,エステラ・ペトル
Loredana Groza,ロレダナ・グローザ
Ramona Mănescu,ラモーナ・マネスク
Ted Dumitru,テッド・デュミトル
Ilarion Ionescu-Galați,フローリン・ヨネス-ガラツィ
Eric de Oliveira,エリック・デ・オリベイラ・ペレイラ
Ciprian Manolescu,シプリアン・マノレスク
Ana de Bourbon-Parma,アンヌ・アントワネット・ド・ブルボン＝パルム
Corneliu Mănescu,コルネリウ・マネスク
Corneliu Vadim Tudor,コルネリウ・ヴァディム・チューダー
Nicolae de Roumanie Medforth-Mills,ニコラス・メドフォース＝ミルズ
George Georgescu,ジョルジェ・ジョルジェスク
Marius Tincu,マリウス・ティンク
Dan Negru,ダン・ネグル
Dan Nistor,ダン・ニストル
Barbu Catargiu,ラスカル・カタルジュ
Florin Bratu,フロリン・ブラトゥ
Alexandru Mățel,アレクサンドル・マツェル
Gabriel Brezoianu,ガブリエル・ブレゾヤヌ
Hariclea Darclée,エリクレア・ダルクレー
Gabi Luncă,ガビ・ルンカ
Dan Alexa,ダン・アレクサ
Cristian Oroș,クリスティアン・オロシュ
Gabriela Potorac,ガブリエラ・ポトラック
Marius Gherman,マリウス・ゲルマン
Celestina Popa,セレスティナ・ポパ
Eugen Țurcanu,エウジェン・ツォルカーノ
Mișu Popp,ミシュ・ポプ
Dana Nălbaru,ダナ・ナバルバ
George Sabin Cutaș,ジョルジェ・サビン・クタシュ
Cristi Puiu,クリスティ・プイウ
Cristian Mandeal,クリスティアン・マンデアル
Radu Ștefan Mazăre,ラドゥ・マザーレ
Adrian Avrămia,エイドリアン・アヴラミア
Dumitru Stângaciu,ドゥミトル・ストゥンガチウ
Mihaela Ciobanu,ミアエラ・シオバヌ
Dan Petrescu,ダン・ペトレスク
Florin Vlaicu,フロリン・ブライク
Adrian Popa,アドリアン・ポパ
Nicolae Lupu,ニコラエ・ルプ
George Constantinescu,ジェオルジェ・コンスタンティネスク
George Banu,ジョルジュ・バニュ
Georges de Bellio,ジョルジュ・ド・ベリオ
Roxana Cocoș,ロクサナダニエラ・ココス
Roxana Luca,ログザナ・ルカ
Grigore Antipa,グリゴーレ・アンティパ
Gabriel Oprea,ガブリエル・オプレア
Gabriel Sîncrăian,ガブリエル・シンクレヤン
Gabriela Mărginean,ガブリエラ・マルジネアン
Ioan Petru Culianu,ヨアン・ペテル・クリアーノ
Daniel Carpo,ダニエル・カルポ
Daniel Dociu,ダニエル・ドシウ
Alexandru Manta,アレクサンドル・マンタ
Cătălin Hîldan,カタリン・ヒルダン
Mircea Mureșan,ミルチャ・ミュアサン
Cătălin Predoiu,カタリン・プレドユ
Hugo Luz,ウーゴ・ルス
Adrian Ursu,アドリアン・ウルス
Valentin Ceaușescu,ヴァレンティン・チャウシェスク
Dem I. Dobrescu,デメトル・イオン・ドブレスク
Ovidiu Burcă,オビデュ・ブルカ
Marcel Iureș,マーセル・ユーレス
Tudorel Stoica,トゥドレル・ストイカ
Eugen Trică,エウジェン・トリカ
Dan Constantinescu (compozitor),ダン・コンスタンティネスク
Radu Muntean,ラドゥ・ムンテアン
Jacques Hérold,ジャック・エロルド
Sabin Ilie,サビン・イリエ
Octavian Bellu,オクタヴィアン・ベル
Ionuț Botezatu,イオヌーツ・ボテザトゥ
Ciprian Tătărușanu,チプリアン・タタルシャヌ
Dimitrie Bogos,ディミトリ・ボゴス
Kehinde Fatai,ケヒンデ・ファタイ
Constantin Ion Parhon,コンスタンティン・イオン・パルホン
Barbu A. Știrbey,バルブ・シュティルベイ
Dean Beța,ディーン・ベシャ
Ionuț Dimofte,イオヌツ・ディモフテ
Augustin Buzura,オーガスティン・ブズラ
Sergiu Nicolaescu,セルジウ・ニコラエスク
Dimitrie I. Ghica,ディミトリエ・I・ギーカ
Alexandru T. Balaban,アレクサンドル・バラバン
Alexandru Vaida-Voievod,アレクサンドル・ヴァイダ＝ヴォエヴォド
Nicolae Tătăranu,ニコラエ・タタラヌ
Daniel Isăilă,ダニエル・イザイラ
John de Chastelain,ジョン・ド・シャステレン
Mircea Diaconu,ミルセア・ディアコヌ
Jules Perahim,ジュール・ペラヒム
Ioan Dumitrache,イオン・ドゥミトラチェ
Radu Korne,ラドゥ・コルーネ
Diana Dondoe,ディアナ・ドンドー
Alexandru Crețu,クレツ
Moses Gaster,モーゼス・ガスター
Constantin I.C. Brătianu,ディヌ・ブラティアヌ
Dragoș Firțulescu,ドラゴシュ・フィルツレスク
Dumitru Chipăruș,デメートル・シパリュス
Toni Tecuceanu,トニ・テクチェアヌ
Albert Saritov,アルベルト・サリトフ
Vasile Voiculescu,ヴァスィーレ・ヴォイコレスク
Raul Cătinaș,ラウル・カティナス
Doru Isac,アイザック・ドール
Doru Popovici,ドル・ポポヴィッチ
Dida Drăgan,ディダ・ドラガン
Principesa Maria a României,マリア
Dumitru Fărcaș,ドゥミトル・ファルカシュ
Dumitru Mitriță,ドゥミトル・ミトリツァ
Alexandru Bârlădeanu,アレクサンドル・ブーラダーノ
Simona Richter,シモナ・リクテル
Dov Seltzer,ダヴ・セルツァー
Cristian Nemescu,クリスティアン・ネメスク
Mariana Simionescu,マリアナ・シミオネスク
Maria Tescanu Rosetti,マリア・テスカヌ・ロゼッティ
Nicolae Densusianu,ニコラエ・デンスシアヌ
Traian Lalescu,トライアン・ラレスク
Margareta a României,マルガレータ・ドゥダ
Corneliu Teodorini,コルネリウ・テオドリニ
Alexandru Drăghici,アレクサンドル・ドラギーチ
Mihail Lascăr,ミハイ・ラスカル
Eliezer Berkovits,エリーザー・バーコヴィッツ
Alex Mihai Stoenescu,アレックス・ミハイ・ストエネスク
Dumitru Coliu,ドミートル・コーリュウ
Alexandru Vlahuță,アレクサンドル・ヴラフタ
Petre Leșcenco,ピョートル・レスチェンコ
Dumitru Tinu,ドミトル・ティヌ
Ricardo Cadú,リカルド・マヌエル・フェレイラ・ソウザ
Gheorghe Asachi,ゲオルゲ・アサキ
Alexandru Baltagă,アレクサンドル・バルタガ
Ludovic Orban,ルドヴィク・オルバン
Maurice Solovine,モーリス・ソロヴィン
Ovidiu Tonița,オヴィディウ・トニツァ
Mircea Rădulescu,ミルチェア・ラドゥレスク
Norman Manea,ノーマン・マネア
Constantin Gâlcă,コンスタンティン・ガルカ
Marius Șumudică,マリウス・シュムディカ
Dumitru Radu Popa,ドゥミトル・ポパ
Fritz Klein,フリッツ・クライン
Alexandru Ioniță,アレクサンドル・ヨニツァ
Mihai Lazăr,ミハイツァ・ラザル
Mihnea Gheorghiu,ミフネア・ゲオルギウ
Csaba Gal,チャバ・ガル
Lidia Lipkovskaia,リディア・リプコフスカヤ
Eusebie Mandicevschi,オイゼビウス・マンディチェフスキ
Alexandru Mateiu,マテイウ
Alexandru Țăruș,アレクサンドル・タルス
Daniel Timofte,ダニエル・ティモフテ
Bogdan Stancu,ボグダン・スタンク
George Ogăraru,ゲオルゲ・オガラル
Alexis Nour,アレクシス・ヌール
Alexandru Moșanu,アレクサンドル・モサヌ
Tiberiu Olah,ティベリウ・オラフ
Klaus Iohannis,クラウス・ヨハニス
Sandu Lungu,アレクサンドル・ルング
Eduard Iordănescu,エドワード・ヨルダネスク
Robert Austerlitz,ロバート・アウステリッツ
Alin Toșca,アリン・トシュカ
Preda Mihăilescu,プレダ・ミハイレスク
Eugen Ciceu,オイゲン・キケロ
Isidore Isou,イシドール・イズー
Daniel Pancu,ダニエル・パンク
Ion C. Inculeț,イオン・インキュレット
Dumitru Mitu,ドゥミトル・ミトゥ
Elena Postică,エレナ・ポスティカ
Paulică Ion,イオン・パウリカ
Silviu Brucan,シルビュ・ブルカン
Kemal Karpat,ケマル・カルパト
Ana Guțu,アナ・グトゥ
Paul Constantinescu,パウル・コンスタンティネスク
Marius Popa,マリウス・ポパ
Mihai Leu,ミハエル・ロエベ
Ioan Andone,ヨアン・アンドネ
Gheorghe Craioveanu,ゲオルゲ・クライオヴェアヌ
Mihail Sturza,ミハイル・ストゥルザ
Theodor Aman,テオドール・アマン
Emil Hoștină,エミール・ホスティナ
Andrea Faciu,アンドレア・ファシウ
Alexandru Usatiuc-Bulgar,アレクサンドル・ウサティウク＝ブルガル
Eugen Aburel,オイゲン・アブレル
Pascal Bentoiu,パスカル・ベントイウ
Nicolae Dabija,ニコラエ・ダビバ
Sorin Copilul de Aur,ソリン・コピルル・デ・アウル
Sorin Socol,ソリン・ソコル
Andreea Esca,アンドレエア・エスカ
Andreea Marin,アンドレア・マリン・バニカ
Adrian Sînă,エイドリアン・シーナ
Marian Drăgulescu,マリアン・ドラグレスク
Lucian Bute,ルシアン・ブーテ
Andrei Boncea,アンドレイ・ボンカー
Alina Gorghiu,アリーナ・ゴルギウ
Ernest Urdărianu,エルネスト・ウルダリアヌ
Mircea Baniciu,ミアーセア・バニシウ
Mircea Daneliuc,ミルチャ・ダネリウツ
Vazken Balgian,ヴァズゲン1世
Olga Nagy,ナジ・オルガ
Albert-László Barabási,アルバート＝ラズロ・バラバシ
Mircea Drăgan,ミルセア・ドラガン
Mircea Frățică,ミルチャ・フラティカ
Anatol Șalaru,アナトール・シャラル
Horațiu Rădulescu,ホラチウ・ラドゥレスク
George Becali,ジジ・ベカリ
Stelian Burcea,ステリアン・ブルチェア
Vasile Blaga,ヴァシレ・ブラガ
Nicolae Tonitza,ニコラエ・トニツァ
Teodor Baconschi,テオドア・バコンスキ
Teodor Meleșcanu,テオドル・メレシュカーヌ
Francisc Șirato,フランチスク・シラト
Adrian Minune,アドリアン・ミヌーネ
Anamaria Tămârjan,アナマリア・タマルジャン
Amos Guttman,エイモス・グットマン
Sandu Eliad,サンドゥ・エリアド
Miron Constantinescu,ミロン・コンスタンティネスク
Valentin Niculae Calafeteanu,バレンティン・カラフェテアヌ
Florin Niță,フローリン・ニツァ
Théodore Brauner,テオドール・ブローネル
Andrei Lupan,アンドレイ・ルパン
Virgil Magherusan,ヴィルギル・マゲルサン
Nicolae Bosie-Codreanu,ニコラエ・ボシェ・コドレアヌ
Andreea Bănică,アンドレエア・バニカ
Vladimir Ghica,ウラジミール・ギカ
Vladimir Nemțeanu,ヴラディミール・ネメツヌー
Constantin Cantacuzino,コンスタンティン・カンタクジノ
Ion Oblemenco,ヨン・オブレメンコ
Grigoraș Dinicu,グリゴラシュ・ディニク
Steliana Nistor,ステリアナ・ニストル
Cristian Tănase,クリスティアン・タナセ
Elek Köblös,エレク・ケブレス
Nicolae Petrescu-Comnen,ニコラエ・ペトレスク＝コムネン
Andreea Doană,アンドレエア・ペレイ
Ion Flueraș,イオアン・フルワラーシュ
Gabriel Cotabiță,ガブリエル・コタビータ
Aurel Vernescu,オーレル・ヴェルネスク
Alexandra Dinu,アレクサンドラ・ディヌ
Geo Da Silva,ジオ・ダ・シルバ
Ioan Lupescu,イオン・ルペスク
Nicu Paleru,ニチュ・パレル
Francisc Panet,フランチスク・パーネ
Andreea Andrei,アンドレエア・アンドレイ
Ana Bogdan,アナ・ボグダン
Anton Weissenbacher,アントン・ヴェイッセンバッケル
Aurelian Chițu,アウレリアン・キツ
Nikos Barboudis,ニコス・バルブディス
Nicoleta Luciu,ニコレッタ・ルシウ
George Scripcaru,ジョルジェ・スクリプカル
George Burianu,ジョルジュ・ボウリアノ
Gabriel Sudan,ガブリエル・スーダン
Dragoș Bucur,ドラゴス・ブクル
Horia Creangă,ホーリャ・クレアンガ
George Maior,ジョージ・クリスティアン・マイヤー
Nicolae Martinescu,ニコラエ・マルティネスク
Lucian Bălan,ルチアン・バラン
Nneka Onyejekwe,ネーカ・オンイェジェクウェ
Nicolae Zamfir,ニコラエ・ザムフィール
Nicolae Titulescu,ニコラエ・ティトゥレスク
Aurel Vlaicu,アウレル・ヴライク
Oleg Andronic,オレグ・アンドロニク
Balint Miklos,バリント・ミクロース
Gheorghe Băgulescu,ジョルジェ・バグレスコ
Pacha Man,パチャマン
Nicolae Ciupercă,ニコラエ・チュペルカ
Petre Cristea,ペトレ・クリステア
Ovidiu Raețchi,オヴィディウ・ライチ
Daniel Minea,ダニエル・ミネア
Bujor Hălmăgeanu,ブジョル・ハルマゲアヌ
Gregorian Bivolaru,絶対的存在への精神統一のための運動
Emil Klein,エミール・クライン
Valeriu Munteanu,ヴァレリ・ムンテアヌ （文学者）
Gheorghe Ghimpu,ゲオルゲ・ギンプ
Paul Einzig,ポール・アインツィヒ
Laura Cosoi,ローラ・コソイ
Paula Kinikinilau,パウラ・キニキニラウ
Pavel Bartoș,パベル・バルトシュ
László Barabási,バラバーシ・ラースロー
Barbu Știrbei,バルブ・ディミトリエ・シュティルベイ
Bogdan Stoica,ボグダン・ストイカ
George Copos,ゲオルゲ・コポス
George-Valentin Bibescu,ジョルジェ・ヴァレンティン・ビベースク
Grigore Ion Răceanu,グリゴーレ・イオン・ラチャーノ
Petre Borilă,ペトレ・ボリラ
Cezar Bolliac,チェーザル・ボリアック
Grigore M. Sturdza,グリゴリエ・ストゥルザ
Gabriel Enache,ガブリエル・エナケ
Caius Brediceanu,カイウス・ブレディツェアヌ
Mária Berde,ベルデ・マーリア
Gheorghe Vasilichi,ゲオルゲ・ヴァスィリキ
Bernard Natan,ベルナール・ナタン
Steliano Filip,ステリアーノ・フィリプ
Francis Chagrin,フランシス・シャグラン
Ciprian Petre Porumb,チプリアン・ペトレ・ポルンブ
László Borbély,ボールビー・ラースロー
Constantin Budescu,コンスタンティン・ブデスク
Cătălin Moroșanu,カタリン・モロサヌ
Geo Bogza,ジェオ・ボグザ
Otmar Szafnauer,オトマー・サフナウアー
Adela Popescu,アデラ・ポペスク
Bartolomeu Anania,バルトロメウ・アナニア
Benjamin Fondane,バンジャマン・フォンダーヌ
Clement Pălimaru,クレメント・パリマル
Horațiu Pungea,ホラツィウ・プンジェア
Harry Gottlieb,ハリー・ゴットリーブ
Ștefan Foriș,シュテファン・フォリシュ
Lucrețiu Pătrășcanu,ルクレツィウ・パトラシュカヌ
Constantin Antoniade,コンスタンティン・アントニアデ
Constantin C. Arion,コンスタンチン・アリオン
Laurențiu Brănescu,ラウレンティウ・ブラネスク
Iuliana Măceșeanu,イウリアナ・マチェシャヌ
Horia Moculescu,ホリア・モクレスク
Constantin Vișoianu,コンスタンティン・ヴィショイアヌ
Raluca Turcan,ラルカ・トゥルカン
Cornel Gheorghe,コルネル・ゲオルゲ
Horia Brenciu,ホリア・ブレンシウ
Horia Agarici,ホリア・アガリチ
Corneliu Dragalina,コルネリウ・ドラガリナ
Radu Timofte,ラドー・ティモフティエ
Ion Vinea,イオン・ヴィネア
Constantin Schumacher,コンスタンティン・シューマッハ
Cornelia Druțu,コルネリア・デュルテュ
Constantin I. Angelescu,コンスタンティン・アンジェレスク
Constantin Prezan,コンスタンチン・プレザン
Victoraș Astafei,ビクトラス・アスタフェイ
Radu Florescu,ラドゥ・フロレスク
Anca Țurcașiu,アンカ・トゥルカシウ
Roxana Boamfă,ログザナ・ボアムファ
Romario Benzar,ロマーリオ・ベンザル
Réka Albert,レカ・アルバート
Andreea Raicu,アンドレエア・ライク
Andreea Bibiri,アンドレエア・ビビリ
Oleg Mutu,オレグ・ムトゥ
Cosmin Mărginean,コスミン・マルジネアン
Sabina Măriuță,サビーナ・マリウタ
Răzvan Theodorescu,ラズヴァン・テオドレスキュー
Angel Tîlvăr,エンジェル・ティルヴァー
Sandu Tudor,サンド・トゥドル
Petru Cazacu,ペトル・カザク
Dan Anghelescu,ダン・アンヘレスク
Ion Nistor,イオン・ニストル
Ion Pelivan,イオン・ペリバン
Octav Pancu-Iași,オクターフ パンク・ヤシ
Ion Vințe,イオン・ヴィンスゼ
Sebastian Ciobanu,セバスチャン・チオバヌ
Sorin Vlaicu,ソリン・ヴライク
Stana Izbașa,スタナ・イズバシャ
Ioanel Sinescu,イオアネル・シネスク
Ionut Avram,マリウス・アヴラム
Ionuț Iftimoaie,イオヌット・イフティモアイエ
Stere Gulea,ステレ・グレア
Tatiana Niculescu,タティアナ・ニクレスク・ブラン
Dan Diaconescu,ダン・ディアコネスク
Aurel Bulgariu,ブルガリウ・アウレル
Aurel Cojan,アウレル・コージャン
Mihail Aslan,ミハイ・アスラーン
Cătălin Lichioiu,カタリン・リキオイユ
Cătălin Mitulescu,カタリン・ミツレスク
DJ Sava,DJ・サヴァ
Aurel Decei,アウレル・デチェイ
Ernest Broșteanu,エルネスト・ブロスティアヌ
Teofil Ioncu,テオフィル・ヨンク
Iurie Colesnic,イウリエ・コレスニク
Tora Vasilescu,トーラ・ヴァシレスク
Iosif Dan,ダン・ヨシフ
Alexandru Potocean,アレクサンドル・ポトチェアン
Traian Cihărean,トライアン・チハリアン
Tudor Istodor,トゥドル・イストドル
Istrate Micescu,イストラテ・ミツェスク
Andra,アンドラ
Tudor Postelnicu,トゥドル・ポステルニク
Iulian Arhire,ユリアン・アルヒレ
Herta Anitaș,ヘルタ・アニタシュ
Tudor Bompa,テューダー･ボンパ
Horia Hulubei,ホリア・フルベイ
Ion Caramitru,イオン・カラミトル
Csaba Kőrösi,コロシ・チャバ
Csaba Ciugulitu,チャバ・シウグリトゥ
Mihail Moruzov,ミハイル・モルゾフ
Constantin Pantazi,コンスタンチン・パンタツ
Vasile Gafencu,ヴァシル・ガフェンス
Florian Coldea,フロリアン・コルディア
Valentin Rusu,ヴァリ・ヴィイェリエ
Vlad Ivanov,ヴラド・イヴァノフ
Miron Nicolescu,ミロン・ニコレスク
Florica Bagdasar,フロリカ・バグダサル
Vasile Șoimaru,ヴァシレ・ソイマル
Principesa Irina a Romaniei,イリナ
Cezar Florin Ouatu,フロリン・チェザル・オワトゥ
Laura Codruța Kövesi,ローラ・コドルツァ・コヴェシ
Viorel Hrebenciuc,ヴィオレル・フレベンチュク
Camelia Zorlescu,カメリア・ゾレスク
Camil Marinescu,カミル・マリネスク
Israel Zinger,イスラエル・ジネガル
Lea Lexis,リー・レクシス
Cella Delavrancea,チェラ・デラブランチャ
Liviu Dragnea,リヴィウ・ドラグネア
Virgil Măgureanu,ヴァージル・マグレアヌ
Vitalia Pavlicenco,ヴィタリア・パブリセンコ
Francisc Pécsi,フランチスク・ペクシ
Ősz János,エース・ヤーノシュ
Lorena Bogza,ロレナ・ボグザ
Vladimir Cristi,ウラジミール・クリスティ
Virgil Madgearu,ヴァージル・マジェール
Gabriel Spahiu,ガブリエル・スパイユ
Cazimir Ionescu,カズィミール・イオネスク
Ștefan Ciobanu,ステファン・ チョバヌ
Zigu Ornea,ジグ・オルネア
Zsolt Kosz,コス・ジョルト
Gelu Voican Voiculescu,ジェル・ヴォイカン・ヴォイコレスク
Lothar Rădăceanu,ロタル・ラダチェアヌ
Maria Antonescu,マリア・アントネスク
Maria Rosetti,マリア・ロゼッティ
Ștefan Stănculescu,シュテファン・スタンクレスク
Ștefan Gușă,ステファン・グシェ
Ștefan de la Bărbulești,シュテファン・デ・ラ・バルブレシュティ
Teodora Albon,テオドラ・アルボン
Ștefan Voitec,シュテファン・ヴォイテク
Marian Iancu,マリアン・ヤンク
Carmen Șerban,カルメン・シェルバン
George Ivașcu,ジョージ・イヴァスク
Irina Loghin,イリーナ・ログン
Márta Károlyi,カーロイ・マールタ
Marian Cristescu,マリアン・クリステスク
Georgiana Drumen,ジョージアナ・ドルメン
George Șipoș,ジョージ・T・シポス
Marius Cristian Negrea,マリウス・ネグレア
Constantin Mișelăricu,コンスタンティン・ミシェリク
Constantin Sandu-Aldea,コンスタンティン・サンドゥ＝アルデア
Matei Pavel Haiducu,マテイ・パベル・ハイドゥク
Corina Dănilă,コリーナ・ダニラ
Mihai Macovei,ミハイ・マコベイ
Mihai Cimpoi,ミハイ・チンポイ
Francisc Șimon,フランチスク・シモン
Mihai Balan,ミハイ・バラン
Francisc Nemeș,フランチスク・ネメシュ
Francisc Zimmermann,フランチスク・ツィンメルマン
Max Auschnitt,マックス・アウシュニット
Mihai Morar,ミハイ・モラール
Mihai Pătrașcu (informatician),ミハイ・パトラシュク
Mihail R. Sturdza,ミハイル・ストゥールザ
Mihail Starenki,ミハイル・スタレンキ
Mihai Cioc,ミハイ・シオク
Gheorghe Săsărman,ギョルゲ・ササルマン
Corvin Radovici,コルヴィン・ラドヴィチ
Ada Condeescu,エイダ・コンディースク
Lora,ロラ
Mihai Șora,ミハイ・ショラ
Mihail Stelescu,ミハイ・ステレスク
Mihai Stoica,ミハイ・ストイカ
Francisc Cociș,フランチスク・コチシュ
Gheorghe Ionescu-Șișești,ゲオルゲ・ロネスク＝シセシティ
Costin Georgescu,コスティン・ジョルジュク
Serafina Moritz,セラフィナ・モーリツ
Vasilica-Viorica Dăncilă,ヴィオリカ・ダンチラ
Grigore Nandriș,グリゴーレ・ナンドリシュ
Adrian Păduraru,エイドリアン・パーダル
Adrian Titieni,アドリアン・ティティエニ
Gianu Bucurescu,ジャヌ・ブクレスク
Maria Cârneci,マリア・カルネッチ
Manuela Hărăbor,マヌエラ・ハラバー
William Amorim,ウィリアム・アモリム
Alexandra Bădoi,アレクサンドラ・バドイ
Alexandra Ungureanu,アレクサン・ドラウングレアヌ
Călin Vlasie,カリン・ヴラシエ
Elena Ilinoiu Codreanu,エレナ・イリノイウ・コドレアヌ
Ionuț Badea,ヨヌツ・バデア
Maria Gheorghiu,マリア・グオルギュー
Dinu Sânmărtean,ディヌ・スンマルテアン
Marin Barbu,マリン・バーブ
Alexandru Darie,アレクサンドル・ダリー
Dale Băsescu,デイル・バセスク
Valentin Sinescu,ヴァレンティン・シネスク
Mariana Mihuț,マリアナ・ミフット
Marian Crișan,マリアン・クリサン
Aura Urziceanu,アウラ・ウルジチェアヌ
Gheorghe Țițeica,ゲオルゲ・ティツェイカ
Marius Bodochi,マリウス・ボドチ
Smiley,スマイリー
Andreea Antonescu,アンドレア・アントネスク
Ion Coman,イオン・コーマン
Nicușor Dan,ニクショル・ダン
Alexandru Repan,アレクサンドル・レパン
Gheorghe Cucu,ゲオルゲ・クク
Jasmine Black,ジャスミン・ブラック
Mihaela Gabriela Delcea,デルチャ・ミハエラ・ガブリエラ
