Portugal,ポルトガル
Ponte da Arrábida,アハビダ橋
lista de governadores da Índia Portuguesa,ポルトガル領インド長官の一覧
Santa Justa,サンタ・ジュスタ
TAP Air Portugal,TAP ポルトガル航空
Instituto Politécnico de Lisboa,ポリテクニック (リスボン)
Tratado de Alcanizes,アルカニーゼス条約
Escola Superior de Teatro e Cinema,リスボン演劇・映画学校
Póvoa de Varzim,ポーヴォア・デ・ヴァルジン
Biblioteca Joanina,ジョアニナ図書館
Portucel,ナビゲーター・カンパニー
brasão de armas de Portugal,ポルトガルの国章
Estação Pontinha,ポンティーニャ駅
Linhares,リニャレス
Seleção Portuguesa de Futebol Sub-20,U-20サッカーポルトガル代表
Sport Clube Beira-Mar,SCベイラ・マル
Futebol Clube Barreirense,FCバレイレンセ
Futebol Clube Famalicão,FCファマリカン
Futebol Clube de Felgueiras,FCフェルゲイラス
Futebol Clube da Maia,FCマイア
Salvador de Briteiros,サルバドール・デ・ブリテイロス
Fórum de Governança da Internet,インターネットガバナンスフォーラム
Universidade Técnica de Lisboa,リスボン工科大学
Vila do Bispo,ヴィラ・ド・ビスポ
Leiria,レイリア
Futebol Clube do Marco,FCマルコ
Futebol Clube da Pampilhosa,FCパンピリョーザ
Futebol Clube Penafiel,FCペナフィエル
basquetebol no FC Porto,FCポルト
Futebol Clube de Vizela,FCヴィゼラ
estrada europeia 82,E82号線
Monte,モンテ
Machico,マシコ
Estádio do Bonfim,エスタディオ・ド・ボンフィン
Estádio do Mar,エスタディオ・ド・マル
Estádio do Restelo,エスタディオ・ド・レステロ
Palácio da Bolsa,ボルサ宮
Batalha do Vimeiro,ヴィメイロの戦い
Aveiro,アヴェイロ県
Clube Desportivo das Aves,CDアヴェス
Museu Calouste Gulbenkian,グルベンキアン美術館
União Desportiva de Leiria,UDレイリア
Museu Nacional de Arte Antiga,国立古美術館
Observatório Europeu da Droga e da Toxicodependência,麻薬・麻薬中毒患者監視センター
Transporte ferroviário em Portugal,ポルトガルの鉄道
Alandroal,アランドゥアル
Vitória Futebol Clube,ヴィトーリアFC (ポルトガル)
Ilha de São Miguel,サンミゲル島
Barcelos,バルセロス
Ilha do Pico,ピコ島
falcoaria,鷹狩
Lagoa Branca,ブランカ湖
Lagoa Comprida,コンプリダ湖
Lagoa Funda (Cedros),フンダ湖
Lagoa Rasa,ハザ湖
Lagoa da Fajã dos Cubres,クブレス・ファジャン・ラグーン
Lagoa do Caldeirão,カルデイラン湖
Trafaria,トラファリア
Ponte,ポンテ
Beja,ベージャ
Castelo de Elvas,エルヴァシュ城
Torre de Belém,ベレンの塔
Serra da Estrela,エストレーラ山脈
Convento de Cristo,トマールのキリスト教修道院
Templo romano de Évora,ローマ神殿 (エヴォラ)
Futebol Clube de Alverca,FCアルベルサ
Futebol Clube de Arouca,FCアロウカ
Lagoa do Fogo,フォゴ湖
Base Aérea das Lajes,ラジェス航空基地
Ponte 25 de Abril,4月25日橋
Faria,ファリア
Praça do Marquês de Pombal,マルケス・デ・ポンバル広場
Clube Desportivo de Tondela,CDトンデラ
Teixeira,テイシェイラ
Golpe de Estado de 28 de Maio de 1926,1926年5月28日クーデター
Estação Campo Pequeno,カンポ・ペケーノ駅
Arraiolos,アライオロス
Nossa Senhora de Fátima,ファティマの聖母
Club Sport Marítimo,CSマリティモ
Ilha Terceira,テルセイラ島
Arrentela,アレンテナ
Arroba,アローバ
Arronches,アロンシィシュ
Governo da República Portuguesa,ポルトガル政府
Assembleia da República,共和国議会
Castro de Vila Nova de São Pedro,ザンブジャル
Passos,パッソス
Clube Desportivo Nacional,CDナシオナル
Festroia,フェストロイア国際映画祭
Instituto Nacional de Estatística,ポルトガル国家統計局
Loriga,ロリガ
Barreiro,バレイロ
Lagos,ラゴス
Campeonato Mundial de Handebol Masculino de 2003,2003年世界男子ハンドボール選手権
São Pedro de Oliveira,サン・ペドロ・デ・オリヴェイラ
Clube Desportivo Trofense,CDトロフェンセ
Futebolista do Ano em Portugal,ポルトガル年間最優秀選手賞
Alfa Pendular,アルファ・ペンドゥラール
Portalegre,ポルタレグレ県
Monsanto,モンサント (アルカネナ)
Oliveira,オリヴェイラ
doula,ドゥーラ
Vila Real de Santo António,ヴィラ・レアル・デ・サント・アントニオ
Guarda,グアルダ
Grande Lisboa,大リスボン圏
Associação Académica de Coimbra – O.A.F.,アカデミカ・コインブラ
Batalha de Alcântara,アルカンタラの戦い (1580年)
Estremadura,イシュトリマドゥーラ
Elvas,エルヴァス
Estação Areeiro,アレエイロ駅
Santa Catarina,サンタ・カタリーナ
Aeródromo do Corvo,コルボ空港
Volta ao Algarve,ヴォルタ・アン・アルガルヴェ
Aeroporto das Flores,フローレス空港
Aeroporto da Horta,オルタ空港
Boavista Futebol Clube,ボアヴィスタFC
Jardim Zoológico de Lisboa,リスボン動物園
Médio Tejo,メディオ・テージュ
Batalha do Douro (1809),ドウロの戦い
Ponte Vasco da Gama,ヴァスコ・ダ・ガマ橋
Santa Maria,サンタマリア島
Fertagus,フェルタグス
Festival RTP da Canção,フェスティヴァル・ダ・カンサン
Clube de Futebol Os Belenenses,CFベレネンセス
Ilha das Flores,フローレス島
Volta ao Alentejo,アレンテージョ一周
São Domingos de Rana,サン・ドミンゴス・デ・ラナ
São Paulo,サン・パウロ
Freitas,フレイタス
Ordem da Liberdade,自由勲章 (ポルトガル)
Ilha de São Jorge,サンジョルジェ島
Vitória Sport Clube,ヴィトーリアSC
Sporting Clube Farense,SCファレンセ
Estação Aeroporto,アエロポルト駅 (リスボンメトロ)
Metropolitano de Lisboa,リスボンメトロ
Biblioteca Nacional de Portugal,ポルトガル国立図書館
Estação Amadora Este,アマドーラ・エステ駅
Campeonato Mundial de Esgrima de 2002,2002年フェンシング世界選手権
Supercopa Europeia de 2011,2011 UEFAスーパーカップ
Linha Amarela,リスボンメトロ 黄色線
Linha Azul,リスボンメトロ 青線
Linha Verde,リスボンメトロ 緑線
Linha do Alentejo,アレンテージョ線
Linhas de Torres Vedras,トレス・ヴェドラス線
Santarém,サンタレン県
Leça Futebol Clube,レサFC
Leça da Palmeira,レサ・ダ・パルメイラ
Revolução liberal do Porto,1820年自由主義革命
Alcabideche,アルカビデチェ
Leiria,レイリア県
Coimbra,コインブラ県
Universidade do Porto,ポルト大学
Prémio Camões,カモンイス賞
Faro,ファーロ県
Euro-região da Galiza-Norte de Portugal,ガリシア＝北ポルトガル・ユーロリージョン
Prazeres,プラゼーレス
Clube Desportivo Santa Clara,CDサンタクララ
Olhão,オリョン
Estação Colégio Militar/Luz,コレジオ・ミリタール＝ルス駅
Parque das Nações,パルケ・ダス・ナソンイス地区
Varzim Sport Club,ヴァルジムSC
Maratona de Lisboa,リスボンマラソン
lista de presidentes da Câmara Municipal de Lisboa,リスボン市長
Aeroporto do Pico,ピコ空港
Aeroporto João Paulo II,ポンタ・デルガダ空港
Aeroporto do Porto Santo,ポルト・サント
estrada europeia 1,E01号線
Silves,シルヴェス
Estação Intendente,インテンデンテ駅
Estação Arroios,アロイオス駅
Sport Clube União Torreense,SCトレエンセ
Portugal nos Jogos Olímpicos,オリンピックのポルトガル選手団
Santana,サンタナ
Partido Popular Monárquico,人民君主党 (ポルトガル)
eleições parlamentares europeias de 1999,1999年欧州議会議員選挙
Aeródromo de Braga,ブラガ空港
Seleção Portuguesa de Rugby,ラグビーポルトガル代表
Jogos da Lusofonia de 2009,2009年ポルトガル語圏競技大会
Campeonato Mundial Júnior de Atletismo de 1994,1994年世界ジュニア陸上競技選手権大会
Peso da Régua,レグア
Aeroporto de Santa Maria,サンタマリア空港 (アゾレス諸島)
Aeródromo de São Jorge,サンジョルジェ空港
Santa Clara,サンタ・クララ
Ilhéus das Formigas,フォルミガス島
Linhares,リニャレス
Revolução da Maria da Fonte,マリア・ダ・フォンテの乱
Campeonato Nacional de Futebol Feminino,国際女性選手権
Segunda Liga,リーガ・デ・オンラ
Bragança,ブラガンサ
Basquetebol do Sport Lisboa e Benfica,SLベンフィカ
Jardim do Paço Episcopal de Castelo Branco,パソ庭園
Ordem de Santiago,サンティアゴ騎士団
Atlético Clube de Portugal,アトレチコCP
Atlético Sport Clube,アトレティコSC
Mosteiro,モステイロ
Ourém,オウレン
Monforte,モンフォルティ
Partido Comunista Português,ポルトガル共産党
Caldo verde,カルド・ヴェルデ
Estádio do Dragão,エスタディオ・ド・ドラゴン
Mosteiro dos Jerónimos,ジェロニモス修道院
Albergaria-a-Velha,アルベルガリア＝ア＝ヴェーリャ
Lourosa,ロウロサ
Igreja Lusitana Católica Apostólica Evangélica,ルシタニア・カトリック使徒福音教会
Oliveira,オリヴェイラ
Masseira,Masseira農法
Linha do Vouga,ヴォウガ鉄道
Sampaio,サンパイオ
Museu do Caramulo,カラムロ博物館
Castelo Branco,カステロ・ブランコ県
eleições parlamentares europeias de 2009 em Portugal,2009年欧州議会議員選挙
Baixo Alentejo (província),バイシュ・アレンテージュ
Autódromo Internacional do Algarve,アウトードロモ・インテルナシオナル・ド・アルガルヴェ
Campeonato Português de Futebol - I Divisão 1934/1935,プリメイラ・リーガ1934-1935
Santa Catarina,サンタ・カタリーナ (ポルトガル)
Seleção Portuguesa de Andebol Masculino,ハンドボールポルトガル代表
Sé do Porto,ポルト大聖堂
Livraria Bertrand,リブラリア・ベルトラン
Sud Expresso,南急行
Évora,エヴォラ県
Joint Command Lisbon,リスボン統連合軍司令部
Palácio Nacional da Ajuda,アジュダ宮殿
Palácio de São Bento,サン・ベント宮殿
Socorro,ソコロ
Tratado de Lisboa (1668),リスボン条約
eleições legislativas portuguesas de 2011,2011年ポルトガル議会選挙
Avanca,アヴァンカ
Comunidade Intermunicipal Viseu Dão Lafões,ヴィゼウ・ダオン・ラフォンイス都市間共同体
espigueiro,Horruまたはhorriu
Igreja de Santa Maria dos Olivais,サンタ・マリア・ド・オリヴァル教会
Sporting Clube da Covilhã,SCコヴィリャン
Seleção Portuguesa de Futebol,サッカーポルトガル代表
Parque Nacional da Peneda-Gerês,ペネダ・ジェレス国立公園
Lagoa das Furnas,フルナス湖
Estação Cabo Ruivo,カボ・ルイヴォ駅
Castelo Branco,カステロ・ブランコ (モガドウロ)
Beira Baixa (província),ベイラ・バイシャ
Azeitão (São Lourenço e São Simão),アゼイタン
Mafamude,マファムデ
Avenida da Liberdade,リベルダーデ大通り
Praça de Touros do Campo Pequeno,カンポ・ペケーノ闘牛場
Portugal nos Jogos Paralímpicos de Verão de 2012,2012年ロンドンパラリンピックのポルトガル選手団
Mozelos,モゼロス
Air Luxor,ハイフライ航空
Guarda,グアルダ県
Santarém,サンタレン
Convento do Carmo,カルモ修道院
Lezíria do Tejo,レジーリア・ドゥ・テージュ
Judeus em Portugal,ポルトガルのユダヤ人の歴史
Península de Setúbal,セトゥーバル半島圏
Setúbal,セトゥーバル県
Lista de instituições de ensino superior de Portugal,ポルトガルの大学一覧
padrão,パドロンイス
MEO Arena,アトランティコ・パビリオン
Globos de Ouro,ポルトガルゴールデングローブ賞
Hanno,アノーネ
Instituto Camões,カモンイス言語・国際協力機構
Troia,トロイア半島
Campeonato Europeu de Handebol Masculino de 1994,1994年欧州男子ハンドボール選手権
Associação Desportiva de Fafe,ADファフェ
Associação Desportiva Ovarense,ADオヴァレンセ
Avis,アヴィシュ
Beira Litoral (província),ベイラ・リトラル
Marrancos,マランコス
Viseu,ヴィゼウ県
Base Aérea de Monte Real,モンテ・リアル航空基地
Cascais,カスカイス
Linha do Porto à Póvoa e Famalicão,リンハ・ド・ポルト・ア・ポヴォア・エ・ファマリカン
Oeste,オエシュティ
Partido Nacional Republicano,国民共和党
Ordem Militar de Sant'Iago da Espada,サンティアゴ・ダ・エスパーダ騎士団
Mercado da Ribeira,リベイラ市場
CTT Correios de Portugal,ポルトガル郵政
Tondela,トンデラ
Carregal do Sal,カレガル・ド・サル
A8 (autoestrada),高速道路
Azinhaga,アジニャーガ
Caldas da Rainha,カルダス・ダ・ライーニャ
Óbidos,オビドゥシュ
Estação Ferroviária de Cascais,カスカイス駅
Federação Portuguesa de Futebol,ポルトガルサッカー連盟
Estação Ferroviária do Barreiro,バレイロ
eleições legislativas portuguesas de 1995,1995年ポルトガル議会選挙
escola comercial,商業学校 (ドイツ)
Grande Porto,グランデ・ポルト
Estádio José Alvalade,エスタディオ・ジョゼ・アルヴァラーデ
Marinha Grande,マリーニャ・グランディ
Monte Real,モンテ・リアル
Massarelos,マサレロス
Baixa de Lisboa,バイシャ・ポンバリーナ
Baixo Alentejo,バイショ・アレンテージョ都市間共同体
Baixo Mondego,バイシュ・モンデーグ
Baixo Vouga,バイシュ・ヴォーガ
Lagoa das Sete Cidades,セテ・シタデス山
Instituto Português do Mar e da Atmosfera,ポルトガル海洋気象庁
Moreira de Cónegos,モレイラ・デ・コネゴス
Porto,ポルト県
Muge,ムゲ
Volta a Portugal,ポルトガル一周
Almada,アルマダ
Estação Ferroviária de Alcântara-Mar,アルカンタラ＝マール駅
Estação Ferroviária de Alcântara-Terra,アルカンタラ＝テラ駅
Estação Ferroviária de Campolide,カンポリーデ駅
Estação Ferroviária de Roma-Areeiro,ローマ・アレエイロ駅
Estação Ferroviária de Sete Rios,セッテ・リオス駅
Gare do Oriente,オリエンテ駅
Estação Ferroviária do Pinhal Novo,ピニャル・ノヴォ駅
Estação Ferroviária de Porto-Campanhã,ポルト＝カンパニャン駅
Estação Ferroviária do Pragal,プラガル駅
Elétricos de Coimbra,コインブラ市電
Beja,ベージャ県
Estado Português da Índia,ポルトガル領インド
Combate da Roliça,ロリカの戦い
Ílhavo,イリャヴォ
Estoril Open,ポルトガル・オープン
Passos,パッソス
Braga,ブラガ県
Universidade de Évora,エヴォラ大学
Beira Interior Sul,ベイラ・インテリオール・スール
eleições legislativas portuguesas de 1976,1976年ポルトガル議会選挙
Duque de Bragança,ブラガンサ公
Sporting Clube de Espinho,SCエスピーニョ
Santuário de Cristo Rei,クリスト＝レイ像
Banco Nacional Ultramarino,大西洋銀行
Paço da Ribeira,リベイラ宮殿
Beira,ベイラ
Beira Interior Norte,ベイラ・インテリオール・ノルティ
Monstra Festival,リスボン・アニメーション映画祭
Grupo Salvador Caetano,サルバドール・カエターノ
Tâmega,タメガ準地域
Pinhal Interior Sul,ピニャル・インテリオール・スール
Pinhal Litoral,ピニャル・リストラル
Pinhal Interior Norte,ピニャル・インテリオール・ノルティ
Ponte Internacional do Guadiana,グアディアナ国際橋
Viana do Castelo,ヴィアナ・ド・カステロ県
Abrantes,アブランテス
Grupo Desportivo Fabril do Barreiro,GDファブリル
Ataque à Embaixada da Turquia em Lisboa,1983年リスボン・トルコ大使館襲撃事件
Carta Constitucional portuguesa de 1826,ポルトガル王国1826年憲章
Elétricos de Sintra,シントラ市電
eleições legislativas portuguesas de 1985,1985年ポルトガル議会選挙
Tavira,タヴィラ
Cabo Carvoeiro,カルボエイロ岬
Fundão,フンダン
Batalha,バターリャ
Miranda do Douro,ミランダ・ド・ドウロ
Bragança,ブラガンサ県
Praça de D. Pedro IV,ロシオ広場
Igreja de São Francisco,サン・フランシスコ教会
Ponte de D. Maria Pia,マリア・ピア橋
Universidade de Coimbra,コインブラ大学
Estação Lumiar,ルミアール駅
Sines,シーネス
Batalha do Cabo de São Vicente,サン・ビセンテ岬の海戦
Albufeira,アルブフェイラ
Almancil,アルマンシル
Grande Prémio de Portugal de 1989,1989年ポルトガルグランプリ
província ultramarina de Portugal,海外州
Universidade do Algarve,アルガルヴェ大学
Montijo,モンチジョ
Miranda do Corvo,ミランダ・ドゥ・コルヴ
estrada europeia 90,欧州経路エ九十
Barrancos,バランクシュ
Trás-os-Montes e Alto Douro,トラス＝オス＝モンテスとアルト・ドゥロ
Estado Novo,エスタド・ノヴォ
Luso-tropicalismo,ルゾ・トロピカリズモ
Grande Prémio de Portugal de 2005,2005年のポルトガルグランプリ
Capela dos Ossos,人骨堂
Islão em Portugal,ポルトガルのイスラム教
Futebol Clube Paços de Ferreira,FCパソス・デ・フェレイラ
eleições legislativas portuguesas de 1979,1979年ポルトガル議会選挙
Estação Oriente,オリエンテ駅
Super Bock,スーパーボック
Igreja de Santa Engrácia,サンタ・エングラシア教会
boneco gigante,ヒガンテスとカベスドス
Selvagem Pequena,セルヴァージェン・ベケーナ島
Banda das Três Ordens,キリスト・聖ベントのアヴィス及び聖ヤコブ帯剣勲章
Cacilhas,カシーリャス
Caixa Geral de Depósitos,ポルトガル貯蓄銀行
Maratona do Porto,ポルトマラソン
eleições presidenciais portuguesas de 2011,2011年ポルトガル共和国大統領選挙
Belmonte,ベルモンティ
cinema de Portugal,ポルトガルの映画
Arquipélago das Berlengas,ベルレンガ島
demografia de Portugal,ポルトガルの人口統計
Mercadona,メルカドーナ
Damaia,ダマイア
Clube de Futebol Estrela da Amadora,CFエストレラ・ダ・アマドーラ
orogenia hercínica,ヘルシニア造山運動
Universidade Nova de Lisboa,新リスボン大学
Campo,カンポ
Estação Cidade Universitária,シダーデ・ウニヴェルシタリア駅
Parque Natural da Serra da Estrela,エストレーラ山脈自然公園
Estarreja,エスタレージャ
Mealhada,メアリャーダ
Estação Olivais,オリヴァイス駅
Santa Maria de Belém,サンタマリア・デ・ベレン
Salvaterra de Magos,サルヴァテッラ・デ・マゴシュ
Castelo Branco,カステロ・ブランコ
Final da Liga dos Campeões da UEFA de 2013–14,UEFAチャンピオンズリーグ 2013-14 決勝
subdivisão administrativa de Portugal,ポルトガルの地域区分
Acção Nacional Popular,国民大衆行動
Música de Portugal,ポルトガル本国
Arquitetura de Portugal,ポルトガルの建築
Caminha,カミーニャ
Portus Cale,ポルトゥ・カーレ
Ordem de Cristo,キリスト騎士団
Quinta da Regaleira,レガレイラ宮殿
lista do Património Mundial em Portugal,ポルトガルの世界遺産
Santuário de Fátima,聖母ファティマ聖堂
Pax Julia,パックス・ユリア
Carta a El-Rei D. Manuel,マヌエル1世への書簡 (ペロ・ヴァス・デ・カミーニャ)
São Martinho do Campo,カンポ
Telheiras,テリェイラス駅
Vulcão dos Capelinhos,カペリニョス山
Estádio Municipal de Aveiro,エスダディオ・ムニシパル・デ・アヴェイロ
SGroup - Universities in Europe,サンタンデル・ネットワーク
Académico Basket Clube,ABCブラガ
Estação Entre Campos,エントレ・カンポス駅
Banco de Portugal,ポルトガル銀行
Vila Real,ヴィラ・レアル県
Constituição portuguesa de 1976,ポルトガルの憲法
Campeonato Europeu de Futebol Sub-21 de 2006,UEFA U-21欧州選手権2006
Duque de Cadaval,カダヴァル公
Anadia,アナディア
Aeroporto de Lisboa Humberto Delgado,ポルテラ空港
Sporting CP versus SL Benfica,デルビー・デ・リスボア
Estádio Universitário de Lisboa,エスタディオ・ウニヴェルシタリオ・デ・リシュボア
Estação Olaias,オライアス駅
Batalha do Buçaco,ブサクの戦い
Estação Ferroviária do Cais do Sodré,カイス・ド・ソドレ駅
Algarvia,アルガルヴィア
áreas metropolitanas de Portugal,ポルトガルにおける都市圏
CP Urbanos do Porto,ポルト近郊鉄道
Campinho,カンピーニョ
Sport Clube Freamunde,SCフレアムンデ
Campo,カンポ
Agualva-Cacém,アグアルヴァ＝カセン
Casa Pia Atlético Clube,カーザ・ピアAC
Porto Judeu,ポルト・ジュデウ
Orbest,オーベスト航空
Turismo em Portugal,ポルトガルの観光
Transferência da corte portuguesa para o Brasil,王室はポルトガルを脱出した
Oliveira (Santa Maria),オリヴェイラ
Lajes,ラジェス
Área Metropolitana do Porto,ポルト大都市圏
Sete Maravilhas de Portugal,ポルトガルの七名所
Igreja de Nossa Senhora do Monte,ノッサ・セニョーラ・ド・モンテ教会
Arganil,アルガニル
Alto Alentejo,アルトゥ・アレンテージュ
Castelo dos Mouros,ムーア人の城堡
Centro Cultural de Belém,ベレン文化センター
CDS - Partido Popular,民主社会中道・人民党
Companhia de Carris de Ferro de Lisboa,CCFL (企業)
Oliveira,オリヴェイラ
Queima das Fitas,ケイマ・ダス・フィタス
Góis,ゴイシュ
Monção,モンサン
Vila Nova de Poiares,ヴィラ・ノーヴァ・デ・ポイアーリシュ
Vilamoura,ヴィラモウラ
Novo Cinema,ノヴォ・シネマ
SIC,SIC
Estação Parque,パルケ駅
Organização dos Estados Ibero-americanos,イベロアメリカ諸国機構
Alcáçovas,アルサソヴァス
Estrela,エストレラ
Praça de Carlos Alberto,カルロス・アルベルト広場
Air Atlantis,エア・アトランティス
Ajuda,アジュダ
Ovar,オヴァール
Oliveira de Azeméis,オリヴェイラ・デ・アゼメーイス
Sé de Lisboa,リスボン大聖堂
Alte,アルテ (ポルトガル)
Estádio do Bessa Século XXI,エスタディオ・ド・ベッサ
Santuário do Bom Jesus do Monte,ボン・ジェズス・ド・モンテ
A Viagem do Glorioso,グロリオーソの航海
eleições presidenciais portuguesas de 2006,2006年ポルトガル共和国大統領選挙
Figueira da Foz,フィゲイラ・ダ・フォシュ
Padroense Futebol Clube,パドロエンセFC
Alvaiázere,アルヴァイアジリ
Estação Quinta das Conchas,キンタ・ダス・コンチャス駅
Parque Eduardo VII,エドゥアルド7世公園
Pragal,プラガル
Estação Marquês de Pombal,マルケス・デ・ポンバル駅
Estação Jardim Zoológico,ジャルディン・ズロジコ駅
Estação do Terreiro do Paço,テレイロ ド パソ駅
Tróleis de Coimbra,コインブラ・トロリーバス
Política externa de Portugal,ポルトガルの国際関係
Corpo de Fuzileiros,特殊海兵襲撃支隊
Alvor,アルヴォル
Copa Algarve 2008,アルガルヴェ・カップ2008
Amarante Futebol Clube,アマランテFC
fronteira Espanha–Portugal,スペイン＝ポルトガル国境
Estação Avenida,アヴェニーダ駅
Estação Ferroviária do Rossio,ロシオ駅
Alverca do Ribatejo,アルヴェルカ
Seleção Portuguesa de Voleibol Masculino,バレーボールポルトガル男子代表
Cruz Vermelha Portuguesa,ポルトガル赤十字
Segura,セグラ
Ponte,ポンテ
Pontinha,ポンチーニャ
Meia Maratona de Portugal,ポルトガルハーフマラソン
Campeonatos Internacionais de Badminton de Portugal,ポルトガルインターナショナル
Basílica da Estrela,エストレラ大聖堂
Castelo de Guimarães,ギマランイス城
PSI-20,ポルトガル株価指数
União Desportiva Oliveirense,UDオリヴェイレンセ
Arquidiocese de Évora,エヴォラ司教
eleições legislativas portuguesas de 2005,2005年ポルトガル議会選挙
Forças Populares 25 de Abril,4月25日民衆勢力
Amarante,アマランテ
Amareleja,アマレレジャ
Televisão em Portugal,ポルトガルのテレビ
Pico Ruivo,ルイボ山
Amora,アモラ
FC Porto versus SL Benfica,オ・クラシコ
Portugal nos Jogos Paralímpicos de Verão de 2008,2008年北京パラリンピックのポルトガル選手団
Batalha de São Mamede,サン・マメデの戦い
Estádio da Luz,エスタディオ・ダ・ルス (1954年)
Via Nova,ヴィア・ノヴァ
Marquês de Abrantes,アブランテシュ侯爵
Centro Histórico do Porto,ポルト歴史地区
Alter do Chão,アルテール・ドゥ・シャオン
Alto Alentejo,アルト・アレンテージョ都市間共同体
Festival de Cinema Gay e Lésbico de Lisboa,リスボンゲイ・レズビアン映画祭
Serra do Buçaco,ブサコ
Alva,アルヴァ川
A Barraca,ア・バラッカ
língua gestual portuguesa,ポルトガル手話
Canhão da Nazaré,ナザレ峡谷
Alvito,アルヴィートゥ
Abrilada,4月反乱
Seleção Portuguesa de Futebol Sub-19,U-19サッカーポルトガル代表
Estádio Dr. Magalhães Pessoa,エスタディオ・Dr.マガリャンイス・ペッソア
Estádio D. Afonso Henriques,エスタディオ・D. アフォンソ・エンリケス
Cetóbriga,カイトブリガ
Partido Liberal Republicano,自由共和党
Partido Republicano Português,ポルトガル共和党
PSR,革命的社会党
Pessoas–Animais–Natureza,人民・動物・自然
cultura de Portugal,ポルトガルの文化
Torre,トーレ山
Clube Oriental de Lisboa,クルーベ・オリエンタル・デ・リジュボア
eleições legislativas portuguesas de 1991,1991年ポルトガル議会選挙
eleições legislativas portuguesas de 1999,1999年ポルトガル議会選挙
eleições legislativas portuguesas de 2002,2002年ポルトガル議会選挙
Parque da Bela Vista,パルケ・ダ・ベラ・ビスタ
geografia de Portugal,ポルトガルの地理
Companhia do Niassa,ニアサ会社
Batalha de Lagos,ラゴスの海戦
Associação Desportiva Sanjoanense,ADサンジョアネンセ
Associação Desportiva de Lousada,ADロウザダ
Associação Desportiva de Machico,ADマシコ
Sismo de Lisboa de 1531,1531年リスボン地震
Associação Académica de Coimbra,コインブラ大学学生自治会
Vila Real,ヴィラ・レアル
Chaves,シャーヴェス
Futebol Clube do Porto B,FCポルトB
Observatório Astronómico de Lisboa,リスボン天文台
Melgaço,メルガーソ
Valença,ヴァレンサ
Nazaré,ナザレ
Batalha do Ameixial,エストレモスの戦い
Batalha de Montes Claros,モンテス・クラロスの戦い
Batalha de Ponte Ferreira,ポンテ・フェレイラの戦い
Estação Martim Moniz,マルティン・モニス駅
Final da Liga dos Campeões da UEFA de 2003-04,UEFAチャンピオンズリーグ 2003-04 決勝
Portugal no Festival Eurovisão da Canção,ポルトガルのユーロビジョン・ソング・コンテスト
Aero Portuguesa,アエロ・ポルトゥゲーザ
Agroar,アグロアール貨物航空
escudo português,ポルトガル・エスクード
Estação Bela Vista,ベラ・ヴィスタ駅
Paços de Évora (restos),マヌエル王宮
ISCTE - Instituto Universitário de Lisboa,ISCTEリスボン
Batalha de Alfarrobeira,アルファロベイラの戦い
Berlenga Grande,ベルレンガ・グランデ島
Capela de São Miguel,サン・ミゲル礼拝堂
Orquestra Gulbenkian,グルベンキアン管弦楽団
Série 1200 da CP,ポルトガル鉄道1200形ディーゼル機関車
Série 1900 da CP,ポルトガル鉄道1900形ディーゼル機関車
Série 1930 da CP,ポルトガル鉄道1930形ディーゼル機関車
Caldas Sport Clube,カルダス S.C.
Estádio Sérgio Conceição,エスタディオ・ムニシパル・セルジオ・コンセイソン
Zona Económica Exclusiva de Portugal,ポルトガルの排他的経済水域
Grande Prémio de Portugal de 1985,1985年ポルトガルグランプリ
Sé de Braga,ブラガ大聖堂
Grande Prémio de Portugal de 1960,1960年ポルトガルグランプリ
Grande Prémio de Portugal de 1984,1984年ポルトガルグランプリ
Amora Futebol Clube,アモラFC
Anadia Futebol Clube,アナディアFC
Voo TAP Portugal 425,TAP ポルトガル航空425便墜落事故
Tentúgal,テントゥガル
Paralelo 38 N,北緯38度線
Aveiro,アヴェイロ
Grande Prémio de Portugal de 1958,1958年ポルトガルグランプリ
Grande Prémio de Portugal de 1959,1959年ポルトガルグランプリ
Copa Europeia/Sul-Americana de 1987,インターコンチネンタルカップ1987
Diário de Notícias,ディアリオ・デ・ノティシアス
Estação Alfornelos,アルフォルネロス駅
Minho,ミーニュ
Santa Comba,サンタ・コンバ
Sandomil,サンドミル
Serviços Municipalizados de Transportes Urbanos de Coimbra,コインブラ市交通局
Cidade Fronteiriça e de Guarnição de Elvas e as suas Fortificações,国境防備の町エルヴァスとその要塞群
Confederação Geral do Trabalho (Portugal),全国労働組合
Escola Alemã de Lisboa,リスボンドイツ学校
Estação Ferroviária de Santos,サントス駅
Saint Dominic's International School,聖ドミニク・インターナショナルスクール
Lisbon & Estoril Film Festival,リスボン&エストリル映画祭
Estremadura,エストレマデューラ州
Estádio Carlos Osório,エスタディオ・カルロス・オソーリオ
Estádio Conde Dias Garcia,エスタディオ・コンデ・ディアス・ガルシア
Estação Ferroviária de Vilar Formoso,ヴィラル・フォルモーゾ駅
arquipélago dos Açores,アゾレス
Fajã dos Cubres,クブレス・ファジャン
Ministério da Cultura,文化省 (ポルトガル)
Ministério da Defesa Nacional,国防省 (ポルトガル)
Portugal Continental,本土
rugby em Portugal,ポルトガルのラグビーユニオン
Sport Clube Angrense,SCアングレンセ
Sporting Clube de Braga B,SCブラガB
Sport Lisboa e Benfica B,SLベンフィカB
estrada europeia 801,E801号線
Ministério das Finanças,財務省 (ポルトガル)
Querença,ケレンサ
saúde em Portugal,ポルトガルの保健
