"Достоевский, Фёдор Михайлович",フョードル・ドストエフスキー
"Ямадаев, Сулим Бекмирзаевич",スリム・ヤマダエフ
"Карачкина, Людмила Георгиевна",リュドミーラ・カラチキナ
"Ромашина, Светлана Алексеевна",スベトラーナ・ロマシナ
"Степанова, Юлия Игоревна",ユリア・ステパノワ
"Петров, Денис Алексеевич",デニス・ペトロフ
"Осипова, Наталья Петровна",ナタリヤ・オシポワ
"Ледяхов, Игорь Анатольевич",イゴール・レディアコフ
"Никифоров, Юрий Валерьевич",ユーリ・ニキフォロフ
"Кукушкин, Михаил Александрович",ミハイル・ククシュキン
"Ларк, Мария",マリア・ラーク
"Булыкин, Дмитрий Олегович",ドミトリ・ブリキン
"Черкесов, Виктор Васильевич",ヴィクトル・チェルケソフ
"Климкин, Илья Сергеевич",イリヤ・クリムキン
"Магнитский, Сергей Леонидович",セルゲイ・マグニツキー
"Тихонов, Виктор Васильевич (1988)",ビクトル・チーホノフ・(1988年生)
"Кабаева, Алина Маратовна",アリーナ・カバエワ
"Симагина-Мелешина, Ирина Александровна",イリーナ・メレシナ
"Уствольская, Галина Ивановна",ガリーナ・ウストヴォーリスカヤ
"Гаврылюк, Нина Васильевна",ニナ・ガブリリュク
"Кондакова, Елена Владимировна",エレーナ・コンダコワ
"Садова, Наталья Ивановна",ナタリア・サドワ
"Плисецкая, Майя Михайловна",マイヤ・プリセツカヤ
"Бобрин, Игорь Анатольевич",イゴール・ボブリン
"Безматерных, Константин Алексеевич",コンスタンチン・ベズマテルニフ
"Соловьёв, Дмитрий Владимирович",ドミトリー・ソロビエフ
"Таривердиев, Микаэл Леонович",ミカエル・タリヴェルディエフ
"Семёнов, Юлиан Семёнович",ユリアン・セミョーノフ
"Медведев, Рой Александрович",ロイ・メドヴェージェフ
"Савельева, Людмила Михайловна",リュドミラ・サベーリエワ
"Полевщикова, Наталья Сергеевна",ナターシャ・ポーリー
"Мишкутёнок, Наталья Евгеньевна",ナタリヤ・ミシュクテノク
"Болотников, Пётр Григорьевич",ピョートル・ボロトニコフ
"Ларионов, Юрий Юрьевич",ユーリ・ラリオノフ
"Нелюбин, Дмитрий Владиславович",ドミトリー・ネリュビン
"Шаргин, Юрий Георгиевич",ユーリ・シャーギン
"Крючков, Николай Афанасьевич",ニコライ・クリューチコフ
"Морозов, Николай Александрович (фигурист)",ニコライ・モロゾフ
"Давыдов, Сергей Дмитриевич",セルゲイ・ダヴィドフ・(フィギュアスケート選手)
"Зуева, Марина Олеговна",マリナ・ズエワ
"Кисляк, Сергей Иванович",セルゲイ・キスリャク
"Любимов, Юрий Петрович",ユーリー・リュビーモフ
"Новиков, Валентин Юрьевич",バレンティン・ノビコフ
"Мамиашвили, Михаил Геразиевич",ミハイル・マミアシビリ
"Мусэрский, Дмитрий Александрович",ドミトリー・ムセルスキー
"Аллахвердиев, Хабиб Мевлидинович",カビブ・アーラフベルディエフ
"Вишнёва, Диана Викторовна",ディアナ・ヴィシニョーワ
"Севастьянов, Виталий Иванович",ヴィタリー・セバスチャノフ
"Заварзина, Алёна Игоревна",アリョーナ・ザワルジナ
"Макаров, Сергей Александрович",セルゲイ・マカロフ・(陸上選手)
"Лисица, Валентина Евгеньевна",ヴァレンティーナ・リシッツァ
"Бечке, Елена Юрьевна",エレーナ・ベチケ
"Сураев, Максим Викторович",マクシム・スラエフ
"Холден, Джон Роберт",ジョン・ロバート・ホールデン
"Селезнёва, Лариса Юрьевна",ラリサ・セレズネワ
"Ахмадулина, Белла Ахатовна",ベーラ・アフマドゥーリナ
"Гамова, Екатерина Александровна",エカテリーナ・ガモワ
"Шелест, Пётр Ефимович",ペトロ・シェレスト
"Колывагин, Виктор Александрович",ヴィクター・コリヴァギン
"Жулин, Александр Вячеславович",アレクサンドル・ズーリン
"Меньшов, Владимир Валентинович",ウラジーミル・メニショフ
"Алексеев, Дмитрий Константинович",ドミトリー・アレクセーエフ
"Пирог, Дмитрий Юрьевич",ディミトリー・ピログ
"Волкогонов, Дмитрий Антонович",ドミトリー・ヴォルコゴーノフ
"Ильиных, Дмитрий Сергеевич",ドミトリー・イリニフ
"Маркович, Мириана",ミリャナ・マルコヴィッチ
"Альминова, Анна Александровна",アンナ・アルミノワ
"Галкина-Самитова, Гульнара Искандеровна",グルナラ・ガルキナ
"Акбаров, Марат Фагимович",マラート・アクバロフ
"Шобухова, Лилия Булатовна",リリア・ショブホワ
"Столяров, Валерий Викторович",ワレリー・ストリャロフ
"Пивоварова, Александра Игоревна",サーシャ・ピヴォヴァロヴァ
"Барсукова, Юлия Владимировна",ユリア・バルスコワ
"Очигава, Софья Альбертовна",ソフィア・オチガワ
"Федотов, Юрий Викторович",ユーリ・フェドートフ
"Бессмертнова, Наталия Игоревна",ナタリア・ベスメルトノワ
Орига,Origa
"Николаева, Татьяна Петровна",タチアナ・ニコラーエワ
"Магалов, Никита Дмитриевич",ニキタ・マガロフ
"Фридман, Михаил Маратович",ミハイル・フリードマン
"Хитрук, Фёдор Савельевич",フョードル・ヒトルーク
"Панкратов, Денис Владимирович",デニス・パンクラトフ
"Митрохин, Василий Никитич",ワシリー・ミトロヒン
"Канаева, Евгения Олеговна",エフゲニア・カナエワ
"Вислова, Нина Геннадьевна",ニナ・ビスローバ
"Попов, Гавриил Харитонович",ガブリール・ポポフ
"Тетюхин, Сергей Юрьевич",セルゲイ・テチューヒン
"Ефимкин, Владимир Сергеевич",ウラディミール・エフィムキン
"Образцова, Елена Васильевна",エレーナ・オブラスツォワ
"Полянский, Дмитрий Степанович",ドミトリー・ポリャンスキー
"Манкиев, Назир Юнузович",ナズリュ・マンキエフ
"Патрикеев, Юрий Николаевич",ユーリ・パトリケフ
"Кляшторный, Сергей Григорьевич",セルゲイ・グリゴリエヴィチ・クリャシュトルヌィ
"Максимова, Екатерина Сергеевна",エカテリーナ・マクシーモワ
"Ананиашвили, Нина Гедевановна",ニーナ・アナニアシヴィリ
"Гатауллин, Радион Аксанович",ロディオン・ガタウリン
"Гордеева, Екатерина Александровна",エカテリーナ・ゴルデーワ
"Базарова, Вера Евгеньевна",ベラ・バザロワ
"Олихвер, Руслан Иосифович",ルスラン・オリフベル
"Шарипов, Салижан Шакирович",サリザン・シャリポフ
"Фролов, Иван Тимофеевич",イワン・フロロフ
"Сметанина, Раиса Петровна",ライサ・スメタニナ
"Берзин, Евгений Валентинович",エフゲニー・ベルズィン
"Морозова, Ольга Васильевна",オルガ・モロゾワ
"Трещёв, Сергей Евгеньевич",セルゲイ・トレシェフ
"Циблиев, Василий Васильевич",ワシリー・ツィブリエフ
"Овчинников, Юрий Львович",ユーリイ・オフチンニコフ
"Прокуроров, Алексей Алексеевич",アレクセイ・プロクロロフ
"Губарев, Алексей Александрович",アレクセイ・グバレフ
"Березовой, Анатолий Николаевич",アナトリー・ベレゾボイ
"Метревели, Александр Ираклиевич",アレックス・メトレベリ
"Глазков, Юрий Николаевич",ユーリ・グラズコフ
"Гриньков, Сергей Михайлович",セルゲイ・グリンコフ
"Греф, Герман Оскарович",ゲルマン・グレフ
"Питаевский, Лев Петрович",レフ・ピタエフスキー
"Тхакушинов, Аслан Китович",アスランチェリイ・トハクシノフ
"Суслин, Виктор Евсеевич",ヴィクトル・ススリン
"Фёдоров, Николай Васильевич (политик)",ニコライ・フョードロフ
"Рейман, Леонид Дододжонович",レオニード・レイマン
"Березовский, Роман Анатольевич",ロマン・ベレゾフスキー
"Третьяков, Александр Владимирович (борец)",アレクサンドル・トレチャコフ
"Кучеров, Никита Игоревич",ニキータ・クチェロフ
"Лалиев, Геннадий Казбекович",ゲンナディ・ラリエフ
"Гришковец, Евгений Валерьевич",エヴゲーニイ・グリシコヴェツ
"Пахмутова, Александра Николаевна",アレクサンドラ・パフムートワ
"Голикова, Татьяна Алексеевна",タチアナ・ゴリコワ
"Шушунова, Елена Львовна",エレーナ・シュシュノワ
"Титов, Владимир Георгиевич (космонавт)",ウラジーミル・チトフ・(宇宙飛行士)
"Виноградов, Павел Владимирович",パーヴェル・ヴィノグラードフ・(宇宙飛行士)
"Мухина, Елена Вячеславовна",エレナ・ムヒナ
"Шарифов, Шариф Наидгаджавович",シャリフ・シャリホフ
"Баранова, Любовь Владимировна",リュボフ・バラノワ＝コズィレワ
"Данилова, Ольга Валерьевна",オリガ・ダニロワ
"Семионова, Полина Александровна",ポリーナ・セミオノワ
"Соколова, Любовь Владимировна",リュボフ・シャチコワ
"Эстес, Евгения Викторовна",エフゲーニャ・エステス
"Хабарова, Ирина Сергеевна",イリーナ・ハバロワ
"Чухрай, Григорий Наумович",グリゴーリ・チュフライ
"Филонов, Павел Николаевич",パーヴェル・フィローノフ
"Скрынник, Елена Борисовна",エレーナ・スクルィーニク
"Зыкина, Людмила Георгиевна",リュドミラ・ズィキナ
"Джанибеков, Владимир Александрович",ウラジーミル・ジャニベコフ
"Савичева, Юлия Станиславовна",ユーリヤ・サーヴィチェヴァ
"Макаров, Олег Григорьевич",オレグ・マカロフ・(宇宙飛行士)
"Буланова, Татьяна Ивановна",タチヤーナ・ブラーノヴァ
"Зеленин, Дмитрий Вадимович",ドミトリー・ゼレーニン
"Рогозин, Дмитрий Олегович",ドミトリー・ロゴージン
"Васильев, Валерий Иванович",ワレリー・ワシリエフ
"Слюсарева, Ольга Анатольевна",オルガ・スリュサレヴァ
"Юртайкина, Татьяна Александровна",タチアナ・シェミャキナ
"Авдеева, Юлианна Андреевна",ユリアンナ・アヴデーエワ
"Урубко, Денис Викторович",デニス・ウルブコ
"Петрова, Мария Игоревна",マリア・ペトロワ
"Платов, Евгений Аркадьевич",エフゲニー・プラトフ
"Кулакова, Галина Алексеевна",ガリナ・クラコワ
"Рукавишников, Николай Николаевич",ニコライ・ルカビシュニコフ
"Данилов-Данильян, Виктор Иванович",ヴィクトル・ダニロフ＝ダニリャン
"Панайотов, Александр Сергеевич",アレクサンドル・パナヨートフ
"Гомес, Инна Александровна",イナ・ゴメス
"Соколов, Григорий Липманович",グリゴリー・ソコロフ
"Кудухов, Бесик Серодинович",ベシク・クドゥホフ
"Ярошинская, Алла Александровна",アラ・ヤロシンスカヤ
"Габулов, Владимир Борисович",ウラジーミル・ガブロフ
"Хлопонин, Александр Геннадиевич",アレクサンドル・フロポーニン
"Сохиев, Туган Таймуразович",トゥガン・ソヒエフ
"Фёдоров, Андрей Витальевич",アンドレイ・フョードロフ・(サッカー選手)
"Грач, Эдуард Давидович",エドゥアルド・グラチ
"Тарасов, Анатолий Владимирович",アナトリー・タラソフ
"Мацуев, Денис Леонидович",デニス・マツーエフ
"Потанин, Владимир Олегович",ウラジーミル・ポターニン
"Колбин, Геннадий Васильевич",ゲンナジー・コルビン
"Мишин, Алексей Николаевич",アレクセイ・ミーシン
"Кулик, Илья Александрович (фигурист)",イリヤ・クーリック
"Селезнёв, Геннадий Николаевич",ゲンナジー・セレズニョフ
"Миллер, Алексей Борисович",アレクセイ・ミレル
"Манаров, Муса Хираманович",ムサ・マナロフ
"Лебедев, Юрий Васильевич",ユーリイ・レベデフ
"Свиридов, Георгий Васильевич",ゲオルギー・スヴィリードフ
"Аксёнов, Владимир Викторович",ウラジーミル・アクショーノフ
"Лопаткина, Ульяна Вячеславовна",ウリヤナ・ロパートキナ
"Коробейникова, Полина Александровна",ポリーナ・コロベイニコワ
"Воронцов-Вельяминов, Борис Александрович",ボリス・ヴォロンツォフ＝ヴェリヤミノフ
"Сергеев, Игорь Дмитриевич",イーゴリ・セルゲーエフ
"Мутко, Виталий Леонтьевич",ヴィタリー・ムトコ
"Харитонов, Сергей Валерьевич",セルゲイ・ハリトーノフ
"Трутнев, Юрий Петрович",ユーリ・トルトネフ
"Стариков, Сергей Викторович",セルゲイ・スタリコフ
"Галиулин, Вагиз Искандарович",ヴァギズ・ガリウリン
"Мишин, Алексей Владимирович",アレクセイ・ミチン
"Катанандов, Сергей Леонидович",セルゲイ・カタナンドフ
"Коновалов, Александр Владимирович (юрист)",アレクサンドル・コノヴァロフ
"Магомедов, Магомедали Магомедович",マゴメダリ・マゴメードフ
"Мустафина, Алия Фархатовна",アリーヤ・ムスタフィナ
"Захарова, Светлана Юрьевна",スヴェトラーナ・ザハーロワ
"Калентьева, Ирина Николаевна",イリナ・カレンティエヴァ
"Егорова, Валентина Михайловна",ワレンティナ・エゴロワ
"Улицкая, Людмила Евгеньевна",リュドミラ・ウリツカヤ
"Забелинская, Ольга Сергеевна",オルガ・ザベリンスカヤ
"Прохорова, Елена Владимировна",エレーナ・プロホロワ
"Чагин, Владимир Геннадьевич",ウラジーミル・チャギン
"Темирканов, Юрий Хатуевич",ユーリ・テミルカーノフ
"Рагозина, Наталья Юрьевна",ナターシャ・ラゴシーナ
"Черток, Борис Евсеевич",ボリス・チェルトック
"Стрекалов, Геннадий Михайлович",ゲンナジー・ストレカロフ
"Мамаев, Павел Константинович",パヴェル・ママエフ
"Денисов, Виталий Геннадьевич",ヴィタリー・デニソフ
"Лисин, Владимир Сергеевич",ウラジーミル・リシン
"Бондарчук, Наталья Сергеевна",ナタリヤ・ボンダルチュク
"Кузнецов, Василий Дмитриевич",ワシリー・クズネツォフ
"Афонин, Вадим Сергеевич",ヴァディム・アフォーニン
"Садырин, Павел Фёдорович",パヴェル・サディリン
"Абт, Александр Викторович",アレクサンドル・アブト
"Рочев, Василий Павлович",ヴァシーリー・パヴロヴィチ・ロチェフ
"Хейдиз, Лена Алексеевна",レナ・ハデス
"Самойлова, Татьяна Евгеньевна",タチアナ・サモイロワ
"Тищенко, Елизавета Ивановна",エリザベータ・ティーシェンコ
"Гладышева, Светлана Алексеевна",スヴェトラーナ・グラディシェワ
"Крылова, Анжелика Алексеевна",アンジェリカ・クリロワ
"Тарасова, Татьяна Анатольевна",タチアナ・タラソワ
"Линичук, Наталья Владимировна",ナタリア・リニチュク
"Ерофеев, Виктор Владимирович",ヴィクトル・エロフェーエフ
"Муллова, Виктория Юрьевна",ヴィクトリア・ムローヴァ
"Меркулова, Юлия Викторовна",ユリア・メルクロワ
"Бутырская, Мария Викторовна",マリア・ブッテルスカヤ
"Рюмин, Валерий Викторович",ワレリー・リューミン
"Никитин, Евгений Игоревич",エフゲニー・ニキーチン
"Жаботинский, Леонид Иванович",レオニード・ジャボチンスキー
"Лифшиц, Константин Яковлевич",コンスタンチン・リフシッツ
"Канунников, Максим Сергеевич",マクシム・カヌニコフ
"Яблоков, Алексей Владимирович",アレクセイ・ヤブロコフ
"Литуев, Юрий Николаевич",ユーリ・リトゥエフ
"Старшинов, Вячеслав Иванович",ヴャチェスラフ・スタルシノフ
"Кирдяпкина, Анися Бясыровна",アニシャ・キルディアプキナ
"Сорокина, Валерия Михайловна",バレリー・ソロキナ
"Тишанин, Александр Георгиевич",アレクサンドル・チシャーニン
"Тихонов, Владимир Ильич",ウラジーミル・チーホノフ
"Шаклеин, Николай Иванович",ニコライ・シャクレイン
"Артамонов, Анатолий Дмитриевич",アナトリー・アルタモーノフ
"Жилкин, Александр Александрович",アレクサンドル・ジルキン
"Примаков, Евгений Максимович",エフゲニー・プリマコフ
"Кавагути, Юко",川口悠子
"Соломенцев, Михаил Сергеевич",ミハイル・ソロメンツェフ
"Шишелов, Владимир Александрович",ウラディーミル・シシェロフ
"Ищенко, Наталья Сергеевна",ナタリア・イーシェンコ
"Лапшин, Михаил Иванович",ミハイル・ラプシン
"Аскеров, Джабар Магомедович",ジャバル・アスケロフ
"Хохлов, Дмитрий Валерьевич",ドミトリー・ホフロフ
"Репин, Вадим Викторович",ヴァディム・レーピン
"Гордеев, Алексей Васильевич",アレクセイ・ゴルデーエフ
"Гришин, Евгений Романович",エフゲニー・グリシン
"Непомнящий, Валерий Кузьмич",ヴァレリー・ニポムニシ
"Проничев, Владимир Егорович",ウラジーミル・プロニチェフ
"Винниченко, Николай Александрович",ニコライ・ヴィンニチェンコ
"Иванов, Вячеслав Всеволодович",ヴャチェスラフ・イヴァーノフ・(言語学者)
"Бронфман, Ефим Наумович",イェフィム・ブロンフマン
"Колокольцев, Владимир Александрович",ウラジーミル・コロコリツェフ
"Муратов, Дмитрий Андреевич",ドミトリー・ムラトフ
"Кириллова, Ирина Владимировна",イリーナ・キリロワ
"Николаева, Елена Николаевна",エレーナ・ニコラエワ
"Леонов, Леонид Максимович",レオニード・レオーノフ
"Афанасьев, Виктор Михайлович",ヴィクトル・アファナシェフ
"Радулов, Александр Валерьевич",アレクサンドル・ラドゥーロフ
"Ахмедов, Бахтияр Шахабутдинович",バフティヤル・アフメドフ
"Джигарханян, Армен Борисович",アルメン・ジガルハンヤン
"Корнеев, Александр Владимирович",アレクサンドル・コルネーエフ
"Абрамов, Михаил Леопольдович",ミハイル・アブラモフ
"Тихонов, Алексей Владимирович",アレクセイ・ティホノフ
"Урманов, Алексей Евгеньевич",アレクセイ・ウルマノフ
"Кассини, Олег",オレグ・カッシーニ
"Янковский, Филипп Олегович",フィリップ・ヤンコフスキー
Алсу,アルスー
"Грищук, Оксана Владимировна",オクサナ・グリシュク
"Родионова, Анастасия Ивановна",アナスタシア・ロディオノワ
"Дедюшко, Александр Викторович",アレクサンドル・デデュシコ
"Соломатин, Андрей Юрьевич",アンドレイ・ソロマティン
"Котенёв, Владимир Владимирович (российский дипломат)",ウラジーミル・コテネフ
"Швыдкой, Михаил Ефимович",ミハイル・シュヴィドコイ
"Андреев, Борис Дмитриевич",ボリス・アンドレーエフ
"Бородакова, Мария Владимировна",マリア・ボロダコワ
"Соловьёва, Ирина Баяновна",イリーナ・ソロウィオワ
"Бикмаев, Марат Рифкатович",マラト・ビクマエフ
"Лавроненко, Константин Николаевич",コンスタンチン・ラヴロネンコ
"Кузьмин, Олег Александрович",オレグ・クズミン
"Поляков, Алексей Николаевич",アレクセイ・ポリャコフ
"Меньков, Александр Александрович",アレクサンドル・メンコフ
"Шахрай, Сергей Семёнович",セルゲイ・シャフライ・(フィギュアスケート選手)
"Биктагирова, Лилия Айратовна",リリヤ・ビクタギロワ
"Бестемьянова, Наталья Филимоновна",ナタリア・ベステミアノワ
"Павлюченкова, Анастасия Сергеевна",アナスタシア・パブリュチェンコワ
"Волосожар, Татьяна Андреевна",タチアナ・ボロソジャル
"Климова, Марина Владимировна",マリナ・クリモワ
"Фрейндлих, Алиса Бруновна",アリーサ・フレインドリフ
"Амосова, Зинаида Степановна",ジナイダ・アモソワ
"Сюняев, Рашид Алиевич",ラシード・スニャーエフ
"Дарькин, Сергей Михайлович",セルゲイ・ダリキン
"Пичкунов, Александр Николаевич",アレキサンダー・ピチュクノフ
"Овчинников, Вячеслав Александрович",ヴャチェスラフ・オフチニコフ
"Петров, Владимир Владимирович",ヴラジーミル・ペトロフ・(アイスホッケー)
"Фадеев, Александр Владимирович",アレクサンドル・ファデーエフ
"Медведчук, Виктор Владимирович",ヴィクトル・メドヴェドチュク
"Шматко, Сергей Иванович",セルゲイ・シマトコ
"Берлинский, Валентин Александрович",ヴァレンチン・ベルリンスキー
"Лобанов, Александр Павлович (художник)",アレクサンドル・ロバノフ
"Крючкова, Светлана Валентиновна",スベトラーナ・クリュチコワ
"Гончарова, Наталия Олеговна",ナタリア・ゴンチャロワ・(バレーボール)
"Забирова, Зульфия Хасановна",ズルフィヤ・ザビロワ
"Перепёлкина, Мария Николаевна",マリア・ペレペルキナ
"Кошелева, Татьяна Сергеевна",タチアナ・コシェレワ
"Старцева, Евгения Александровна",エフゲーニャ・スタルツェワ
"Водорезова, Елена Германовна",エレーナ・ボドレゾワ
"Вирсаладзе, Элисо Константиновна",エリソ・ヴィルサラーゼ
"Славникова, Ольга Александровна",オリガ・スラヴニコワ
"Семенович, Анна Григорьевна",アンナ・セメノビッチ
"Толстая, Татьяна Никитична",タチヤーナ・トルスタヤ
"Перминов, Анатолий Николаевич",アナトーリー・ペルミノフ
"Гутман, Наталия Григорьевна",ナターリヤ・グートマン
"Соколова, Елена Сергеевна",エレーナ・ソコロワ
"Бышовец, Анатолий Фёдорович",アナトリー・ブイショヴェツ
"Добрынин, Анатолий Фёдорович",アナトリー・ドブルイニン
"Гусинский, Владимир Александрович",ウラジーミル・グシンスキー
"Кобрин, Александр Евгеньевич",アレクサンダー・コブリン
"Артёмов, Вячеслав Петрович",ヴャチェスラフ・アルチョーモフ
"Шокуров, Вячеслав Владимирович",ヴャチェスラフ・ショクロフ
"Махов, Билял Валерьевич",ビリャル・マホフ
"Овчинников, Владимир Павлович",ウラディーミル・オフチニコフ
"Смолов, Фёдор Михайлович",フョードル・スモロフ
"Бочина, Наталья Валерьевна",ナタリア・ボチナ
"Туктамышева, Елизавета Сергеевна",エリザベータ・トゥクタミシェワ
"Романовская, Елена Константиновна",エレーナ・ロマノフスカヤ
"Михайлова, Наталья Юрьевна",ナタリア・ミハイロワ
"Платонова, Анастасия Александровна",アナスタシア・プラトノワ
"Иевлева, Александра Андреевна",アレクサンドラ・イエヴレワ
"Шишкова, Евгения Васильевна",エフゲーニヤ・シシコワ
"Злобина, Юлия Сергеевна",ユリア・ズロビナ
"Оноприенко, Анатолий Юрьевич",アナトーリ・オノプリエンコ
"Филипченко, Анатолий Васильевич",アナトリー・フィリプチェンコ
"Тихонов, Владимир Михайлович",朴露子
"Бессмертных, Александр Александрович",アレクサンドル・ベススメルトヌイフ
"Славнов, Сергей Геннадьевич",セルゲイ・スラフノフ
"Рашников, Виктор Филиппович",ヴィクトル・ラシュニコフ
"Бутько, Александр Анатольевич",アレクサンドル・ブツコ
"Хтей, Тарас Юрьевич",タラス・フテイ
"Бельков, Максим Игоревич",マクシム・ベルコフ
"Приставкин, Анатолий Игнатьевич",アナトーリイ・プリスターフキン
"Лукьянов, Анатолий Иванович",アナトリー・ルキヤノフ
"Садур, Нина Николаевна",ニーナ・サドゥール
"Старовойтова, Галина Васильевна",ガリーナ・スタロヴォイトワ
"Крюков, Николай Вячеславович",ニコライ・クリュコフ・(体操選手)
"Погорилая, Анна Алексеевна",アンナ・ポゴリラヤ
"Чайковский, Борис Александрович",ボリス・チャイコフスキー
"Шварц, Исаак Иосифович",イサーク・シュワルツ
"Ковалёв, Алексей Анатольевич",アレクセイ・コヴァリョフ
"Никулин, Игорь Юрьевич",イゴール・ニクリン
"Мехонцев, Егор Леонидович",エゴー・メコンチェフ
"Петров, Николай Арнольдович",ニコライ・ペトロフ
"Берберова, Нина Николаевна",ニーナ・ベルベーロヴァ
"Денисов, Эдисон Васильевич",エディソン・デニソフ
"Комбаров, Дмитрий Владимирович",ドミトリ・コムバロフ
"Воробьёва, Ирина Николаевна",イリーナ・ボロビエワ
Полина Дашкова,ポリーナ・ダシコワ
"Лактионов, Денис Владимирович",デニス・ラクチオノフ
"Сарычев, Валерий Константинович",申宜孫
"Фёдоров, Борис Григорьевич",ボリス・フョードロフ
"Белкин, Борис Давидович",ボリス・ベルキン
"Джепаров, Сервер Решатович",セルヴェル・ジェパロフ
"Киркоров, Филипп Бедросович",フィリップ・キルコロフ
"Тищенко, Борис Иванович",ボリス・ティシチェンコ
"Эйфман, Борис Яковлевич",ボリス・エイフマン
"Александров, Борис Викторович",ボリス・アレクサンドロフ
"Эбзеев, Борис Сафарович",ボリス・エブゼーエフ
"Токарев, Борис Сергеевич",ボリス・トカレフ
"Помазан, Евгений Валерьевич",エフゲニー・ポマザン
"Прудников, Александр Александрович",アレクサンドル・プルドニコフ
"Рольникайте, Мария Григорьевна",マリヤ・ロルニカイテ
"Поляков, Александр Маркович",アレクサンドル・ポリャコフ
"Найдёнова, Ольга Владимировна",オリガ・ナイヂョノワ
"Сурайкин, Андрей Александрович",アンドレイ・スライキン
"Кузнецов, Андрей Александрович (теннисист)",アンドレイ・クズネツォフ
"Сафронов, Иван Иванович (старший)",イワン・サフロノフ
"Фурсенко, Андрей Александрович",アンドレイ・フルセンコ
"Иванов, Владимир Анатольевич",ウラジーミル・イワノフ・(オートバイレーサー)
"Богиев, Вадим Иосифович",ワディム・ボギエフ
"Волошин, Леонид Анатольевич",レオニード・ヴォローシン
"Макаров, Олег Витальевич",オレグ・マカロフ
"Хрущёв, Сергей Никитич",セルゲイ・フルシチョフ
"Воронов, Сергей Евгеньевич",セルゲイ・ボロノフ
"Панкин, Борис Дмитриевич",ボリス・パンキン
"Волк, Игорь Петрович",イゴール・ボルク
"Креер, Витольд Анатольевич",ヴィトールド・クレール
"Букин, Андрей Анатольевич",アンドレイ・ブキン
"Чесноков, Андрей Эдуардович",アンドレイ・チェスノコフ
"Хотеев, Андрей Иванович",アンドレイ・ホテーエフ
"Черкасов, Андрей Геннадьевич",アンドレイ・チェルカソフ
"Битов, Андрей Георгиевич",アンドレイ・ビートフ
"Скобцева, Ирина Константиновна",イリーナ・スコブツェワ
"Кацалапов, Никита Геннадьевич",ニキータ・カツァラポフ
"Вайнберг, Моисей Самуилович",ミェチスワフ・ヴァインベルク
"Рочев, Василий Васильевич",ヴァシーリー・ヴァシーリエヴィチ・ロチェフ
"Воронов, Геннадий Иванович",ゲンナジー・ヴォロノフ
"Рушайло, Владимир Борисович",ウラジーミル・ルシャイロ
"Трошев, Геннадий Николаевич",ゲンナジー・トロシェフ
"Цзю, Константин Борисович",コンスタンチン・チュー
"Шулепов, Игорь Юрьевич",イゴール・チュレポフ
"Позгалёв, Вячеслав Евгеньевич",ヴャチェスラフ・ポズガリョフ
"Глуховский, Дмитрий Алексеевич",ドミトリー・グルホフスキー
"Волков, Сергей Александрович (космонавт)",セルゲイ・アレクサンドロヴィチ・ヴォルコフ
"Чащина, Ирина Викторовна",イリーナ・チャシナ
"Радзинский, Эдвард Станиславович",エドワード・ラジンスキー
"Салкинд, Александр",アレクサンダー・サルキンド
"Иванович, Андрей Викторович",アンドレイ・イヴァノヴィチ・(ピアニスト)
"Волков, Александр Александрович (политик)",アレクサンドル・ヴォルコフ・(政治家)
"Авербух, Илья Изяславич",イリヤ・アベルブフ
"Маркелов, Леонид Игоревич",レオニード・マルケロフ
"Анисин, Вячеслав Михайлович",ヴャチェスラフ・アニシン
"Бухаров, Александр Евгеньевич",アレクサンドル・ブハロフ
"Отарсултанов, Джамал Султанович",ジャマル・オタルスルタノフ
"Эшпай, Андрей Яковлевич",アンドレイ・エシュパイ
"Байбаков, Николай Константинович",ニコライ・バイバコフ
"Вербов, Алексей Игоревич",アレクセイ・ベルボフ
"Королёв, Олег Петрович",オレグ・コロリョフ
"Карлин, Александр Богданович",アレクサンドル・カルリン
"Пуликовский, Константин Борисович",コンスタンチン・プリコフスキー
"Беглов, Александр Дмитриевич",アレクサンドル・ベグロフ
"Бердников, Александр Васильевич",アレクサンドル・ベルドニコフ
"Гениатулин, Равиль Фаритович",ラヴィーリ・ゲニアトゥーリン
"Храмов, Андрей Михайлович",アンドレイ・ハラモフ
"Ланьков, Андрей Николаевич",アンドレイ・ランコフ
"Петров, Андрей Павлович",アンドレイ・ペトロフ
"Миненков, Андрей Олегович",アンドレイ・ミネンコフ
"Сухорученков, Сергей Николаевич",セルゲイ・スホルチェンコフ
"Васильев, Олег Кимович",オレグ・ワシリエフ
"Синайский, Василий Серафимович",ヴァシリー・シナイスキー
"Филин, Сергей Юрьевич",セルゲイ・フィーリン
"Муртазалиев, Махач Далгатович",マハチ・ムルタザリエフ
"Королёв, Евгений Александрович",エフゲニー・コロリオフ
"Глазьев, Сергей Юрьевич",セルゲイ・グラジエフ
"Крылов, Владимир Валентинович",ウラジーミル・クリロフ
"Радионова, Елена Игоревна",エレーナ・ラジオノワ
"Жижикин, Игорь Витальевич",イゴール・ジジキン
"Хачатурян, Карэн Суренович",カレン・ハチャトゥリアン
"Дмитриева, Дарья Андреевна",ダリア・ドミトリエワ
"Макарова, Ксения Олеговна",クセニヤ・マカロワ
"Епишин, Андрей Сергеевич (легкоатлет)",アンドレイ・エピシン
"Моисеев, Андрей Сергеевич",アンドレイ・モイセエフ
