François Hollande,弗朗索瓦·奥朗德
Cédric Villani,塞德里克·维拉尼
Christopher Samba,基斯杜化·森巴
Stéphane Courtois,斯特凡·库尔图瓦
Alfred Dreyfus,阿尔弗雷德·德雷福斯
Jules Janssen,皮埃尔·让森
Étienne Macdonald,艾蒂安·麦克唐纳
Louis Renault (industriel),路易·雷诺
Gabriel Obertan,加布里埃尔·奥贝坦
Théodore Agrippa d'Aubigné,泰奥多尔-阿格里帕·多比涅
Gaston Leroux,加斯东·勒鲁
Sofiane Feghouli,索菲亚内·费古利
Yves Bonnefoy,伊夫·博纳富瓦
Djimi Traoré,吉米·特劳雷
Gaston Planté,加斯东·普朗忒
Georges Auric,乔治·奥里克
Simon Ier de Lorraine,洛林公爵西蒙一世
Pierre Louÿs,皮耶·路易斯
Vincent Ferré,文森·費雷
Henri Moissan,亨利·莫瓦桑
Michel Houellebecq,米歇尔·韦勒贝克
Jean sans Peur,無畏的約翰
Philippe II de Bourgogne,菲利普二世·(勃艮第)
Pierre Cardin,皮爾·卡登
Claude Berri,克勞德·貝黎
Lúcio Costa,盧西奧·科斯塔
Georges Cuvier,喬治·居維葉
Jean Todt,让·托德
Nicolas-Charles Bochsa,尼古拉-查尔斯·博克萨
José-Maria de Heredia,若瑟-马里亚·德·埃雷迪亚
Charles Péguy,夏尔·贝玑
Jules Romains,朱尔·罗曼
Félicité de La Mennais,于格·费利西泰·罗贝尔·德拉梅内
Tahar Ben Jelloun,塔哈尔·本·杰隆
Françoise Barré-Sinoussi,弗朗索瓦丝·巴尔-西诺西
Urbain Le Verrier,于尔班·勒威耶
Olivier Panis,奥利维耶·潘尼斯
Luc Montagnier,吕克·蒙塔尼耶
Omar Bongo,哈吉·奥马尔·邦戈
Jean-Michel Jarre,让-米歇尔·雅尔
Victor Grignard,维克多·格林尼亚
Charles-François Daubigny,夏尔-弗朗索瓦·多比尼
Philippe III le Hardi,腓力三世·(法兰西)
Ilya Ilitch Metchnikov,伊利亞·梅契尼可夫
Jacques Miller,雅克·米勒
Paul Sabatier (chimiste),保罗·萨巴捷
Gabriel Fauré,加布里埃爾·佛瑞
Christophe Lambert,克里斯多弗·藍伯特
Simon Helberg,西蒙·黑尔贝格
Jules Hoffmann,朱尔·A·奥夫曼
Maurice Jarre,莫里斯·雅爾
Berthe Morisot,貝爾特·莫里索
Marie d'Agoult,玛丽·达古尔特
Karine Ruby,卡里娜·吕比
Dominique Aury,安娜·德克洛
Carlo Ponti,卡洛·蓬蒂
Charles Itandje,查理斯·伊坦積
Hélène Grimaud,埃萊娜·格里莫
Marie-Jean Hérault de Séchelles,马里-让·埃罗·德·塞谢勒
Jeanne III de Bourgogne,讓娜三世·(勃艮第)
Natalie Paley,娜塔莉亞·帕夫諾芙娜·帕雷
Violette Szabo,維歐蕾特·薩博
Mathurin Jacques Brisson,马蒂兰·雅克·布里松
Charles Nodier,夏爾·諾迪埃
Séverine Beltrame,塞維琳·布雷蒙·貝爾特拉姆
Éric Boullier,埃里克·布里耶
Fréhel (chanteuse),弗蕾埃尔
Philippe Soupault,菲利普·蘇波
Robert Badinter,罗贝尔·巴丹戴尔
Hubert Maga,于贝尔·马加
Léon Mba,莱昂·姆巴
Rémi Gaillard,雷米·蓋拉德
Vincent Candela,樊尚·坎德拉
Flora Tristan,弗洛拉·特里斯坦
György Cziffra,齐夫拉·乔治
George Weah,乔治·维阿
Marie Dorin-Habert,玛丽·多兰·阿贝尔
Maurice Chevalier,莫里斯·舍瓦利耶
Franck Montagny,弗兰克·蒙塔尼
Cyprian Kamil Norwid,齐普里安·诺尔维德
Simon IV de Montfort,第五代莱斯特伯爵西蒙·德·孟福尔
César de Vendôme,塞萨尔·德·旺多姆
Mathias Énard,馬蒂亞斯·艾那爾德
Sabrina Viguier,萨布丽娜·维吉耶
Pierre Weiss (physicien),皮埃爾·外斯
Louis Dumont,路易·杜蒙
Stéphane Lannoy,斯蒂芬·兰诺伊
Sandrine Brétigny,桑德里娜·布雷蒂尼
Louis Vierne,路易·维埃纳
Rodolphe Kreutzer,鲁道夫·克鲁采
Gaël Kakuta,蓋爾·卡古達
Arnaud Clément,阿诺·克莱芒
Armand Penverne,阿曼德·彭文
François Clouet,弗朗索瓦·克卢埃
Abedi Pelé,阿贝迪·贝利
Louis Ier d'Orléans,路易一世·德·奥尔良
Bertrand Tavernier,贝特朗·塔韦尼耶
Sacha Guitry,薩沙·吉特里
Jean Alesi,让·阿莱西
Marion Bartoli,瑪麗昂·巴托利
Patrick Tambay,帕特里克·唐贝
Maurice Allais,莫里斯·阿莱
Charles Boyer,夏爾·布瓦耶
Jean-Louis Trintignant,尚-路易·特罕狄釀
Simone Signoret,茜蒙·仙諾
Jean-Paul Belmondo,让-保罗·贝尔蒙多
Louis Chiron,路易·希龙
René Arnoux,勒内·阿尔努
Marie Bashkirtseff,玛丽·巴什基尔采夫
Olympe Mancini,奥兰普·曼奇尼
István Nyers,涅尔什·伊什特万
Victor de Broglie (1785-1870),維克托·德·布羅伊
Cyril Tommasone,西里爾·托馬遜
Henri de La Tour d'Auvergne (1611-1675),蒂雷納子爵亨利·德·拉圖爾多韋涅
Raymond Sabouraud,雷蒙德·萨布罗
Charles IV le Bel,查理四世·(法兰西)
Juliette Binoche,茱麗葉·畢諾許
Yves Montand,伊夫·蒙当
Alfred Sisley,阿尔弗雷德·西斯莱
Paul Frère,保罗·弗雷尔
Charles Ehresmann,夏尔·埃雷斯曼
Jeanne Moreau,珍妮·摩露
Inès de La Fressange,伊娜丝·德·拉·弗拉桑热
Maxime Vachier-Lagrave,马克西姆·瓦谢尔-拉格拉夫
Émile Augier,奥日埃
Jeanne de Penthièvre,龐蒂埃夫勒的讓娜
Jean Tirole,让·梯若尔
André Danjon,安德烈-路易·丹容
Julio Cortázar,胡利奥·科塔萨尔
Mikaël Silvestre,米卡埃尔·西尔韦斯特
Jean Giono,让·季奥诺
Yvonne Prévost,伊冯娜·普雷沃
Lorie Pester,萝莉·(法国歌手)
Sofia Boutella,蘇菲亞·波提拉
Jérémy Chardy,熱雷米·夏爾迪
Ludovic Obraniak,奧布拉尼亞克
Georges Prêtre,乔治·普雷特
Jimmy Briand,吉米·布莱恩德
Théodore Chassériau,泰奥多尔·夏塞里奥
Christine de Lorraine,克莉絲汀·德·洛林
Soko (chanteuse),史蒂芬妮·索科林斯基
Isabelle Adjani,伊莎贝尔·阿佳妮
Jean-Claude Brialy,讓-克洛德·布里亞利
Fanny Ardant,芬妮·亞當
Isabelle Huppert,伊莎貝·雨蓓
Abdellatif Kechiche,阿布戴·柯西胥
Abdelkader Ghezzal,阿卜德卡德·格扎尔
Eugene Lauste,欧仁·奥古斯丁·洛斯特
Charles de Rémusat,夏尔·德·雷米萨
Catherine Deneuve,凱撒琳·丹尼芙
Annie Girardot,安妮·姬拉鐸
Sandrine Testud,桑德琳·泰斯圖德
Carole Montillet,卡萝勒·蒙蒂耶
La Goulue,拉·古留
Caroline Garcia,卡罗琳·加西亚
Papiss Cissé,帕皮斯·西塞
Alfred de Vigny,阿尔弗雷德·德·维尼
Leconte de Lisle,勒孔特·德·利尔
Jean-Baptiste Bessières,让-巴蒂斯特·贝西埃
Maurice Thorez,莫里斯·多列士
Ľubomír Moravčík,卢博米尔·莫拉夫奇克
Alcide Dessalines d'Orbigny,阿爾西德·道比尼
Abderrahmane Sissako,阿博德哈蒙·西塞科
Jean Giraud,尚·吉羅
Henri Maspero,亨利·馬伯樂
Moktar Ould Daddah,莫克塔尔·乌尔德·达达赫
Christophe Dugarry,克里斯托弗·杜加里
Boris Spassky,鲍里斯·斯帕斯基
Sophie Calle,蘇菲·卡爾
Emmanuelle Béart,艾曼紐·琵雅
Philippe Noiret,菲利普·努瓦雷
Gérard Depardieu,傑哈·德巴狄厄
Alain Delon,阿兰·德龙
Marielle Goitschel,玛丽耶勒·古瓦切尔
Roger Lemerre,罗杰·勒梅尔
Ibrahim Ba,易卜拉欣·巴
Abbé Pierre,皮埃爾神父
Daniel Auteuil,丹尼爾·奧圖
Pierre Amoyal,皮耶·阿莫亞
Bertrand Delanoë,贝特朗·德拉诺埃
Jean Bureau,让·比罗
Élisabeth de France (1545-1568),伊丽莎白·德·法蘭西·(1545年—1568年)
Florent Sinama-Pongolle,弗洛伦特·辛纳玛-庞格勒
Philippe Christanval,菲利普·克里斯坦瓦尔
Audrey Tautou,奧黛莉·朵杜
Marc Levy,马克·李维
Achille Souchard,阿希尔·苏沙尔
Achille Valenciennes,阿希尔·瓦朗西安纳
Achille Richard,阿希尔·里夏尔
Théodore Dubois,提奥多·杜布瓦
Jean Anouilh,尚·阿諾伊
Sabine Azéma,薩碧娜·阿塞瑪
Carole Bouquet,卡洛·波桂
Nathalie Baye,娜塔莉·貝伊
Henri Padé,亨利·帕德
Armand David,譚衛道
Nicolas Malebranche,尼古拉·马勒伯朗士
Jules Mouquet,朱尔·穆凯
Gaël Givet,盖尔·吉韦
Bernard Gravier,贝尔纳·格拉维耶
Jean-Marie Lehn,让-马里·莱恩
Henri Ier (roi des Francs),亨利一世·(法兰西)
Christophe de Margerie,克里斯托夫·德·马尔热里
Cécile Aubry,塞西爾·奧布里
Maurice Utrillo,莫里斯·郁特里罗
Bernard Hinault,贝尔纳·伊诺
François-Adrien Boieldieu,弗朗索瓦-阿德里安·布瓦尔迪厄
Andrée Joly,安德烈·布吕内
Michel Butor,米歇尔·布托尔
Guillaume II de Nevers,威廉二世·(尼維爾)
Arthur Mabillon,阿蒂尔·马比荣
Pierre-Montan Berton,皮埃尔·蒙泰·博尔顿
Patrice Leconte,巴提斯·勒貢特
Auguste Blanqui,路易·奥古斯特·布朗基
Claudia Cardinale,克勞蒂亞·卡蒂納
Sheila,希拉·(歌手)
Hortense Mancini,侯爾坦絲·曼奇尼
Delphine Seyrig,德尔菲娜·塞里格
Alexandre Cabanel,亚历山大·卡巴内尔
Michel Bastos,米高·巴斯圖斯
Charlotte-Aglaé d'Orléans,夏洛特-阿格萊雅·德·奧爾良
Ismaïl Kadaré,伊斯梅尔·卡达莱
Marie Duplessis,玛丽·迪普莱西
Isabelle d'Orléans-Bragance,奧爾良-布拉干薩的伊莎貝爾
Marie-Caroline de Bourbon-Siciles (1822-1869),瑪麗亞·卡洛麗娜·(兩西西里公主)
Atiq Rahimi,阿提克·拉希米
Antoine de Bourbon,安托萬·德·波旁
Paul-Henri Mathieu,保羅-亨利·馬蒂厄
Isabelle d'Orléans (1878-1961),伊莎貝爾·德·奧爾良·(1878年—1961年)
Georges Dumézil,喬治·杜梅吉爾
Antoine Meillet,安托万·梅耶
Camille Jordan (mathématicien),卡米尔·若尔当
Henri Fantin-Latour,亨利·方丹-拉图尔
Jean-Baptiste Greuze,让-巴蒂斯特·格勒兹
Jehan Alain,耶罕·阿兰
Marcel Cerdan,马塞尔·塞尔当
Lazare Carnot,拉扎尔·卡诺
Dagobert Ier,达戈贝尔特一世
Serge Haroche,塞尔日·阿罗什
Julie Delpy,茱莉·蝶兒
Geoffroy V d'Anjou,安茹伯爵若弗鲁瓦五世
Dominique Sanda,多米妮克·桑达
Ariane Mnouchkine,亞莉安·莫虛金
Alfred de Musset,阿爾弗雷德·德·繆塞
Sébastien Vieilledent,塞巴斯蒂安·维埃耶当
Jules Dassin,朱爾斯·達辛
Jean Giraudoux,让·季洛杜
Roland Barthes,罗兰·巴特
Paul Deschanel,保罗·欧仁·路易·德沙内尔
Hélène d'Orléans,海倫·德·奧爾良
Fénelon,弗朗索瓦·芬乃伦
Christiaan Hendrik Persoon,克里斯蒂安·亨德里克·珀森
François Rude,弗朗索瓦·吕德
Théodore Rousseau,泰奧多爾·盧梭
Robert Estienne,罗伯特·司提反
Michael Lonsdale,迈克尔·朗斯代尔
Charles Ier d'Orléans,查理一世·(奥尔良公爵)
Helenio Herrera,希倫尼奧·靴利拿
Bernard Le Bouyer de Fontenelle,贝尔纳·勒·布耶·德·丰特奈尔
André Tardieu,安德烈·塔迪厄
Barthélemy Boganda,巴泰勒米·波岡達
Jean de Berry,贝里公爵约翰
Franz Reichelt,弗朗茨·赖歇尔特
Robert Pirès,罗贝尔·皮雷斯
Charles N'Zogbia,夏尔·恩佐比亚
Loïc Rémy,路爾治·雷米
Aristide Briand,阿里斯蒂德·白里安
Ahmed Ben Bella,艾哈邁德·本·貝拉
Kenny de Schepper,肯尼·德谢佩
Raymond VII de Toulouse,图卢兹伯爵雷蒙七世
Francis Coquelin,弗兰西斯·科克林
Marguerite Ire de Bourgogne,瑪格麗特一世·(勃艮第)
Tsugouharu Foujita,藤田嗣治
Pascal Cygan,帕斯卡·西甘
Antoine de Jomini,安托万-亨利·若米尼
Armand Leroy de Saint-Arnaud,雅克·勒鲁瓦·德·圣阿尔诺
Marie Bonaparte,瑪麗·波拿巴
Bertrand Gille (handball),贝特朗·吉勒
Françoise Dürr,弗朗索瓦丝·迪尔
Thomas Robert Bugeaud,托马-罗贝尔·比若
Louis Ier d'Anjou,路易一世·德·安茹
Robert II d'Artois,羅貝爾二世·(阿圖瓦)
Amin Maalouf,阿敏·馬盧夫
Charles Gounod,夏尔·古诺
Blaise de Vigenère,布莱斯·德·维吉尼亚
Sandrine Kiberlain,桑特琳娜·基貝蘭
Jules Michelet,儒勒·米什莱
Joseph Marie Jacquard,约瑟夫·马里·雅卡尔
Mehdy Metella,梅迪·梅泰拉
Achille Baraguey d'Hilliers,阿希尔·巴拉杰·迪里埃
Horace Sébastiani,奥拉斯·塞巴斯蒂亚尼
Pierre Riel de Beurnonville,皮埃尔·里埃尔·德·伯农维尔
Louis II de Bourbon-Condé,路易二世·德·波旁-孔代
Henri Deglane (lutte),亨利·德格拉纳
Laurent de Gouvion-Saint-Cyr,洛朗·德·古維翁·聖西爾
Thích Nhất Hạnh,釋一行
Monique Wittig,莫尼克·維蒂格
Lambert Wilson,藍柏·威爾森
Adolphe Niel,阿道夫·尼埃尔
Edmond Le Bœuf,埃德蒙·勒伯夫
Jacques Louis Randon,雅克·路易·朗东
Jean-Baptiste Philibert Vaillant,让-巴蒂斯特·菲利贝尔·瓦扬
Ursula Meier,烏蘇拉·梅耶
Amélie Mauresmo,阿梅莉·毛瑞斯莫
Alfred Cortot,阿尔弗雷德·科尔托
François Boucher,弗朗索瓦·布歇
Charles-Albert (roi de Sardaigne),卡洛·阿尔贝托
Donald-Olivier Sié,唐纳德·西
Charles Fourier,夏尔·傅立叶
Victor Regnault,亨利·维克托·勒尼奥
Lorik Cana,洛里克·察纳
Sébastien Frey,塞巴斯蒂安·弗赖
Paul Broca,保罗·布罗卡
Nabil El Zhar,纳比勒·兹哈尔
Jean de Valette,让·德·瓦莱特
Bakaye Traoré,巴卡耶·特劳雷
Jean-Charles Peltier,让·查尔斯·佩尔蒂
Jean-Marie Leclair,让-玛丽·勒克莱尔
Gilles de Rais,吉爾·德·雷
Philippe Pinel,菲利普·皮內爾
Benjamin Boukpeti,邦雅曼·布克佩蒂
Georges Marchais,乔治·马歇
"Carlos Sánchez (football, 1986)",卡洛斯·阿尔贝托·桑切斯·莫雷诺
Jeanne Calment,讓娜·卡爾芒
Alain Badiou,阿兰·巴迪欧
Jean-François Pilâtre de Rozier,讓-弗朗索瓦·皮拉特爾·德·羅齊耶
Gaspar Noé,加斯帕·诺
Henri de Schomberg,亨利·德·朔姆贝格
Lilian Thuram,利利安·图拉姆
Henri Colpi,亨利·柯比
Mathieu Gourdain,马蒂厄·古尔丹
Rémy Joseph Isidore Exelmans,雷米·约瑟夫·伊西多尔·埃克塞尔曼斯
Georges Rigal,乔治·里加尔
Érik Izraelewicz,埃里克·伊茨拉勒维奇
Frédéric Passy,弗雷德里克·帕西
Pierre Méchain,皮埃尔·梅尚
Louis-Philippe d'Orléans (1725-1785),奧爾良公爵路易-菲利普一世
Aimé Jacquet,艾梅·雅凯
Sadi Carnot (physicien),尼古拉·卡诺
Guy Périllat,居伊·佩里亚
Younès Belhanda,尤內思·巴爾漢達
Jessica Fox,杰茜卡·福克斯
Jean-Baptiste Carpeaux,让-巴蒂斯特·卡尔波
Jules Dufaure,朱尔·杜弗尔
Pierre l'Ermite,隱士彼得
François Auguste Ferdinand Mariette,奥古斯特·马里埃特
François Clerc (football),弗朗索瓦·克莱尔
Pierre Loti,皮埃爾·洛蒂
Paul Vidal de La Blache,维达尔·白兰士
Camille Chautemps,卡米耶·肖当
Younès Kaboul,尤尼斯·卡布尔
Alejandro Jodorowsky,亞歷山卓·尤杜洛斯基
Mustapha Hadji,穆斯塔法·哈吉
David N'Gog,大卫·恩戈
Antoine Reicha,安东·雷哈
Antoine François Prévost,安東尼·普列沃斯
François Ravaillac,弗朗索瓦·拉瓦亚克
Armand-Louis de Gontaut Biron,阿尔芒·路易·德·贡托
Arthur de Gobineau,阿蒂尔·德·戈比诺
Hubert Lyautey,于贝尔·利奥泰
Pierre Auguste Cot,皮埃尔·奥古斯特·考特
Thomas Heurtel,托马·厄泰尔
Bon-Adrien Jeannot de Moncey,邦·阿德里安·让诺·德·蒙塞
Houssine Kharja,侯赛因·哈尔贾
Louis Trousselier,路易·特鲁瑟利耶
Charles-Armand de Gontaut-Biron,夏尔·阿尔芒·德·贡托-比龙
Robert Guérin,羅伯特·格林·(國際足球聯合會會長)
Thérèse de Lisieux,利雪的德蘭
Marie de Médicis,玛丽·德·美第奇
Gilles Marini,吉勒·马里尼
Émile Bernard (peintre),埃米尔·贝尔纳
Bernard Pierre Magnan,贝尔纳·皮埃尔·马尼昂
"Frank Abagnale, Jr.",弗兰克·阿巴内尔
Jean-Yves Béziau,哲養·北炯
Gaston Maspero,加斯頓·馬伯樂
Jean-Jacques Audubon,约翰·詹姆斯·奥杜邦
Émilie Loit,艾米莉·露華
Gustave Charpentier,古斯塔夫·夏庞蒂埃
Joakim Noah,乔金·诺阿
Louis-Philippe d'Orléans (1747-1793),路易-菲利普二世·(奥尔良公爵)
Laurent Cantet,洛宏·康鐵
François de Rugy,戴扈杰
Jean Baudrillard,尚·布希亞
Guillaume de Tyr,提尔的威廉
Alexandre Guilmant,亚历山大·吉尔芒
Christian Lacroix,克里斯蒂安·拉克鲁瓦
Yoann Gourcuff,约翰·古尔库夫
Jules de Polignac (1780-1847),朱尔·(波利尼亚克亲王)
Jérôme Fernandez,热罗姆·费尔南德斯
Nicole-Reine Lepaute,妮科尔-雷娜·勒波特
Adel Taarabt,艾迪爾·塔拉布特
Gerda Wegener,格爾達·韋格納
Maurice Manificat,莫里斯·马尼菲卡
Marie Sebag,玛丽·塞巴格
Georges Bidault,乔治·皮杜尔
Maurice Couve de Murville,莫里斯·顾夫·德姆维尔
Alain Giresse,阿兰·吉雷瑟
Salif Diao,萨利夫·迪奥
Alain Boghossian,阿兰·博格西安
René Carmille,勒内·卡米尔
Edwige Fenech,愛雲·芬芝
Maurice Duruflé,莫里斯·迪吕弗莱
Antoine Watteau,让-安托万·华托
Claude Jade,克劳德·杰德
Mamadou Sakho,馬馬杜·沙高
Jacques Demy,雅克·德米
Alain Corneau,阿蘭·科爾諾
Auguste Bravais,奥古斯特·布拉菲
Emmanuel Mounier,艾曼纽·穆尼埃
David Trezeguet,大卫·特雷泽盖
Théophile Gautier,泰奥菲尔·戈蒂耶
Théodore Géricault,泰奧多爾·傑利柯
Louis Althusser,路易·阿尔都塞
Duchesse de Fontanges,丰唐热公爵夫人
Paul Demiéville,戴密微
Gilles Deleuze,吉尔·德勒兹
Camille Claudel,卡米耶·克洛岱爾
Ernest Chausson,埃内斯特·肖松
Antoine Destutt de Tracy,安托万·德斯蒂·德·特拉西
Komitas,科米塔斯
Henri II de Bourbon-Condé,亨利二世·德·波旁-孔代
Claude Makélélé,克洛德·马克莱莱
Jean Genet,让·热内
Jérémy Stravius,热雷米·斯特拉维于斯
Philippe Leclerc de Hauteclocque,菲利普·勒克萊爾
Robert de Clermont,羅貝爾·德·克萊蒙
Yves Rocher,伊夫·黎雪
Marius Petipa,马里于斯·珀蒂帕
François Ozon,法蘭索瓦·歐容
Nicolas Gessner,尼古拉斯·格斯纳
Victor Schœlcher,维克托·舍尔歇
Mylène Farmer,米蓮·法莫
Georges Jacques Danton,乔治·雅克·丹东
Amel Bent,艾蜜兒·班特
Florence Devouard,弗洛朗絲·德伍阿爾
Madeleine Vionnet,玛德琳·薇欧奈
Roberto Alagna,羅伯托·阿藍尼亞
SoShy,Soshy
Nicole de Lorraine,妮可·(洛林)
François II de Bretagne,法蘭索瓦二世·(布列塔尼)
Félix Guattari,费利克斯·瓜塔里
Robert IV de Sablé,薩布萊的羅貝爾四世
László Bölöni,伯勒尼·拉斯洛
Claude-Louis Berthollet,克洛德·贝托莱
Khaled (chanteur),哈立德·(阿尔及利亚音乐家)
Jamel Debbouze,賈梅·德布茲
Théodore de Banville,西奥多·庞维勒
Karim Matmour,卡林·馬莫亞
Alain Robert (grimpeur),阿蘭·羅貝爾
Alphonse Louis Nicolas Borrelly,阿方斯·路易·尼古拉斯·包瑞利
Nicolas Batum,尼古拉·巴頓
Robert Faurisson,羅貝爾·福里松
Léopold Eyharts,利奥波德·埃亚尔茨
Jean-Louis de Rambures,让-路易·让毕尤斯
Français (peuple),法兰西人
Henry Le Chatelier,亨利·路易·勒夏特列
Ferdinand Cheval,费迪南·薛瓦勒
Nicolas Berdiaev,尼古拉·亚历山大罗维奇·别尔嘉耶夫
Jacques Feyder,雅克·費代爾
Benjamin Constant,邦雅曼·康斯坦
Jean-Paul Marat,让-保尔·马拉
Raymond Kopa,雷蒙·科帕
Jean-Pierre Rampal,尚-皮爾·雷波爾
Paul Avril,愛德華-亨利·阿夫里爾
Gilbert du Motier de La Fayette,拉斐德侯爵
Gaël Monfils,加埃爾·蒙菲爾斯
Fernand Braudel,費爾南·布勞岱爾
Eugène Pottier,欧仁·鲍狄埃
Ariane Ascaride,亞希安·阿斯卡希德
Raí,拉易·奧利維拉
Alain-René Lesage,阿兰-勒内·勒萨日
Vaudès,彼得·瓦勒度
Stéphane Mbia,斯特凡纳·姆比亚
Eugène-François Vidocq,尤金·弗朗西斯·維多克
Fleur Pellerin,弗勒尔·佩尔兰
Jacqueline du Bief,雅克利娜·迪比耶夫
Anna Laetitia Barbauld,安娜·拉埃蒂茨娅·巴鲍德
Jean Echenoz,让·埃舍诺
Jean-François Paul de Gondi,若望-方济各·保禄·德·贡迪
Remy de Gourmont,雷米·德·古尔蒙
Charles Sturm,雅克·夏尔·弗朗索瓦·施图姆
Jean-Andoche Junot,讓-安多什·朱諾
Fabrice Santoro,法布里斯·桑托羅
Auguste Frédéric Viesse de Marmont,奧古斯特·德·馬爾蒙
Abraham Breguet,亞伯拉罕·路易·布雷蓋
Félix Vallotton,费利克斯·瓦洛东
Pierre Arditi,皮耶·阿帝提
Laure Boulleau,洛尔·布洛
Marie-Madeleine Dreux d'Aubray,瑪莉瑪德蓮·瑪格莉特·德奧貝
Darius Milhaud,达律斯·米约
Louis Charles Antoine Desaix,路易·德賽
René Clément,勒内·克莱芒
Michel-Richard de Lalande,米歇尔·理查德·德拉兰德
Félix Ioussoupov,費利克斯·尤蘇波夫
Émilie Fer,埃米莉·费尔
Julie Bresset,朱莉·布雷塞
Charles Édouard Guillaume,夏尔·纪尧姆
Antonin Artaud,安托南·阿尔托
Alexis Carrel,亚历克西·卡雷尔
Guillaume Hoarau,纪尧姆·瓦罗
Claudine Auger,克勞迪娜·奧格爾
Karim Ziani,卡林·施安尼
Lou Doillon,露·杜瓦隆
Najat Vallaud-Belkacem,纳贾特·瓦洛-贝勒卡西姆
Jean Mabillon,让·马比荣
Pierre II de Courtenay,皮埃爾二世·(庫特奈)
Ernest Meissonier,埃内斯特·梅索尼埃
Brassaï,布拉塞
Victorien Sardou,维克托里安·萨尔杜
Célestin Freinet,瑟勒斯坦·佛勒內
Nathalie Kosciusko-Morizet,纳塔莉·科希丘什科-莫里泽
Stéphane Peterhansel,斯特凡·彼得汉塞尔
Nicolas Fouquet,尼古拉·富凯
Yannick Agnel,扬尼克·阿涅尔
Eugène Antoniadi,歐仁·米歇爾·安東尼亞第
Christian de Portzamparc,克里斯蒂安·德波尔藏帕克
Jean-Baptiste Maunier,让-巴蒂斯特·莫尼耶
Abel Gance,阿贝尔·冈斯
Jacques Santini,積基斯·辛天尼
Ferdinand Berthoud,费尔迪南·贝尔杜
Yves de Chartres,沙特尔的伊沃
Léon Foucault,莱昂·傅科
Clément Ader,克雷芒·阿德尔
Bakari Koné,巴卡里·科内
Jean Metzinger,讓·梅金傑
Jérémy Mathieu,謝路美·馬菲奧
Jean d'Ormesson,让·多麦颂
Jean-Jacques Sempé,讓-雅克·桑貝
Philippe d'Orléans (1838-1894),巴黎伯爵腓力·德·奧爾良
Alexandre Kojève,亚历山大·科耶夫
Thomas Paine,托马斯·潘恩
Madame de Pompadour,龐巴度夫人
Jean-Baptiste Colbert,让-巴蒂斯特·柯尔贝尔
Mady Mesplé,玛迪·梅普莱
Charles de Valois,瓦盧瓦伯爵查理
Pierre-André Latreille,皮埃尔·安德烈·拉特雷耶
Jean-Baptiste de La Salle,聖若翰·喇沙
Erik Satie,埃里克·薩蒂
Guillaume Henri Dufour,纪尧姆·亨利·杜福尔
Arthur Honegger,阿蒂尔·奥涅格
Pierre-Gilles de Gennes,皮埃尔-吉勒·德热纳
Mikhaïl Gromov,米哈伊尔·格罗莫夫
Teddy Riner,特迪·里内
Gabriel Lamé,加布里埃尔·拉梅
Adel Abdessemed,阿岱尔·阿德斯梅
Guillaume Budé,纪尧姆·比代
Jean-Henri Lambert,约翰·海因里希·朗伯
Jacques Cariou,雅克·卡里乌
Augustin Fresnel,奥古斯丁·菲涅耳
Lionel Jospin,利昂内尔·若斯潘
Alfred Werner,阿尔弗雷德·维尔纳
Alberto Santos-Dumont,亞伯托·桑托斯·杜蒙
Modibo Keïta (1915-1977),莫迪博·凯塔
Michel Legrand,米歇尔·勒格朗
Charles III le Simple,查理三世·(西法兰克)
Alain Ducasse,艾伦·杜卡斯
Marie-Thérèse Geoffrin,玛丽-泰蕾兹·罗代·若弗兰
Dương Thu Hương,楊秋香
Emmanuel Petit,埃马纽埃尔·珀蒂
Adélaïde d'Orléans (1777-1847),阿黛拉伊德·德·奧爾良·(1777年—1847年)
Alphonse Pyrame de Candolle,阿方斯·比拉姆·德康多爾
Alexandre Yersin,亞歷山大·耶爾森
Honoré Daumier,奥诺雷·杜米埃
Marius Trésor,马里乌斯·特雷索尔
Julien Benneteau,儒利安·貝內托
Guy Demel,居伊·德梅尔
Jean-Henri Fabre,让-亨利·法布尔
Louis Blanc,路易·布朗
Bruno Latour,布鲁诺·拉图尔
Charles Jacque,夏爾-埃米爾·雅克
Jérôme Eugène Coggia,耶羅姆·尤金·科吉亞
Louis de Buade de Frontenac,路易·德·布阿德·德·芳堤娜
Stéphane Guivarc'h,史提芬·古華治
Pierre Broussel,皮埃尔·布卢赛尔
Michel Gondry,米歇·龔德里
François Viète,弗朗索瓦·韦达
Marin Mersenne,马兰·梅森
Vincent d'Indy,樊尚·丹第
Georges Sorel,乔治·索雷尔
Alain Connes,阿蘭·科納
Henri Ier de Guise,亨利一世·德·吉斯
François-Joseph Gossec,弗朗索瓦-约瑟夫·戈塞克
Nicéphore Niépce,約瑟夫·尼塞福爾·涅普斯
Pierre Plantard,皮埃尔·普朗塔尔
Anna Mouglalis,安娜·蒙格拉絲
Bernard-Germain de Lacépède,贝尔纳·热尔曼·德·拉塞佩德
Alexandre Desplat,亚历山大·德斯普拉
Algirdas Julien Greimas,阿爾吉爾達斯·朱利安·格雷馬斯
Emmanuel Chabrier,艾曼紐·夏布里耶
Albert Roussel,阿尔贝·鲁塞尔
Charles Pichegru,让-夏尔·皮舍格吕
Benoît Pedretti,伯努瓦·柏迪堤
Marie-Antoine Carême,马里-安托万·卡雷姆
