Joachim Heinrich Wilhelm Wagener,勒夫海因里希·威廉·瓦格納
"Prinz Wilhelm, Furst von Hohenzollern",威廉 (霍亨索伦)
Wolfgang Hilbig,沃尔夫冈·希尔比格
Ilse Koch,伊尔斯·科赫
Wilhelm Ernst,威廉·恩斯特
Peter van Eyck,彼得·范·艾克
Kunigunde von Staufen,士瓦本的庫妮根德
Sebastian Koch,塞巴斯蒂安·科赫
August Horch,奧古斯特·霍希
August Miete,奥古斯特·米耶特
Patrick Reimer,帕特里克·赖默尔
Jürgen Gosch,尤根·哥許
Bill Brandt,比爾·布蘭特
Peter Zadek,彼得·扎德克
Bernhard Frank,伯恩哈德·法蘭克
Albrecht Herzog von Sachsen-Eisenach,阿爾布雷希特
Wilhelm Kreis,威廉·克莱斯
Hans-Georg Aschenbach,汉斯·乔治·阿斯琴巴赫
Eduard Sievers,爱德华·西弗斯
Bernhard Krüger,伯恩哈德·克鲁格
Kamil Glik,卡米爾·格里克
Else Lasker-Schüler,埃尔莎·拉斯克-许勒
Udo Bölts,乌多·波尔茨
Andrea Sawatzki,安德丽亚·萨瓦兹
Ingo Metzmacher,英戈·梅茨马赫
Otto I.,奧托一世 (安德希斯公爵)
Stephan II.,巴伐利亚公爵斯蒂芬二世
Marcel Hacker,马塞尔·哈克尔
Willi Hennig,维利·亨尼希
Otto Carius,奥托·卡利乌斯
Oskar Deecke,奥斯卡·德克
Kurt Raab,库尔特·拉博
Maria Schrader,玛丽亚·施拉德
Fritz Hellwig,弗里茨·黑尔维希
Dimitrij Ovtcharov,迪米特里·奥恰洛夫
Katarina Witt,卡特琳娜·维特
Wilhelm Stuckart,威廉·史圖卡爾特
Paul Schöffler,保罗·舍弗勒
"Prinz Wilhelm Karl, Herzog von Urach",明道加斯二世
Leo Geyr von Schweppenburg,莱奥·盖尔·冯·施韦彭堡
Kurt Hiller,库尔特·希勒
Claus Peter Flor,克劳斯·彼得·弗洛尔
Bernhard I.,伯恩哈德一世 (薩克森-邁寧根)
Rolf Aldag,罗尔夫·阿尔达格
Hans Hotter,汉斯·霍特
Johann II.,約翰二世
Ernst Hanfstaengl,漢夫丹格
Tim Wieskötter,蒂姆·维斯克特
Ernst Boris Chain,恩斯特·伯利斯·柴恩
Annett Böhm,安妮特·伯姆
Daniel Wende,丹尼尔·温德
Reinhard Gehlen,赖因哈德·格伦
Herbert Schade,赫伯特·沙德
Hans Koch,漢斯·柯赫
Leonhard Rauwolf,莱昂哈德·劳沃尔夫
"Elisabeth von Dänemark, Norwegen und Schweden",丹麥的伊莉莎白
Guido Knopp,吉多·克諾普
Carl Boese,卡爾·伯澤
Æmilie Juliane von Barby-Mühlingen,艾蜜莉·朱麗安
Otto Brunfels,奥托·布伦费尔斯
Paul Guthnick,保罗·古特尼克
Karl Schulze,卡尔·舒尔策
Heike Kemmer,海克·克默尔
Max Hoff,马克斯·霍夫 (皮划艇运动员)
Gottfried zu Hohenlohe-Langenburg,霍恩洛厄-朗根堡的戈特佛萊德
Collien Ulmen-Fernandes,科琳·烏蒙-费尔南德兹
Maximilian Karl von Thurn und Taxis,馬克西米利安·卡爾
Helena Fromm,海伦娜·弗罗姆
Torsten Eckbrett,托尔斯滕·埃克布雷特
Arthur Hantzsch,亚瑟·汉斯
Clemens Franz de Paula von Bayern,巴伐利亚的克莱蒙特-弗朗西斯公爵
Ludwig VI.,路易六世
Hans Reiter,漢斯·康拉德·朱利葉斯·萊特
Julius Tafel,朱利葉斯·塔菲爾
Arthur von Posadowsky-Wehner,亚瑟·冯·波萨多夫斯基-魏纳
Zita Funkenhauser,齐塔-埃娃·丰肯豪泽
Curt Bois,科特·博伊斯
Christian Wilhelm,克里斯蒂安·威廉一世
Lothar Claesges,洛塔尔·克莱斯格斯
Heinrich von Langenstein,朗根施泰因的亨利
Johann Ernst I.,約翰·恩斯特一世
Adolf Wilhelm,阿道夫·威廉 (薩克森-艾森納赫)
René Pape,勒内·帕普
Silke Rottenberg,茜尔克·罗滕贝格
Herbert Wohlfarth,赫伯特·沃尔法特
Georg Elias Müller,G.E. 缪勒
Philipp Wende,菲利普·文德
Heinrich Müller,海因里希·穆勒 (蓋世太保)
Steffi Nerius,施特菲·内里乌斯
Wolfgang Hoppe,沃尔夫冈·霍佩
André Gunder Frank,安德列·貢德·弗蘭克
Otto II.,奧托二世
Ilija Trojanow,伊利亚·托亚诺
Gerhard Schmidhuber,格哈德·施米德胡贝尔
Jakob Mauvillon,雅各布·莫维永
Karl Link,卡尔·林克
Ferdinand von Bayern,斐迪南
Frank Kugler,弗兰克·库格勒
Simon Schobel,西蒙·绍贝尔
Lutz Altepost,卢茨·阿尔特波斯特
Moritz Bleibtreu,莫里茲·布萊楚
Hagen Schulze,哈根·舒尔泽
Daniel Brühl,丹尼爾·布爾
Friedrich IV.,腓特烈四世 (索倫伯爵)
Dennis Siver,丹尼斯·锡弗
Rudi Fink,鲁迪·芬克
Luise Elisabeth von Kurland,庫爾蘭的路易絲·伊莉莎白
Uwe Alzen,乌韦·阿尔岑
Carolin Leonhardt,卡罗琳·莱昂哈特
Guido Westerwelle,基多·威斯特威勒
Robert Spaemann,罗伯特·施佩曼
Ernst Ludwig I.,恩斯特·路德維希一世
Moritz von Hessen,莫里茨
Dinah Pfizenmaier,黛娜·普菲澤邁爾
Hermann Scheer,赫尔曼·舍尔
August Friedrich von Schleswig-Holstein-Gottorf,奧古斯特·腓特烈
Wilhelm von Lüneburg,呂訥堡的威廉
Christiane Weber,克里斯蒂安娜·韦伯
Guido Fulst,吉多·富尔斯特
Zacharias Wagner,扎卡赖亚斯·维根涅尔
André Schürrle,安德列·舒賀爾尼
Bertha Krupp von Bohlen und Halbach,伯莎·克虏伯
Julius Schreck,尤利烏斯·施雷克
Johann Friedrich,約翰·腓特烈
Karl Grün,卡爾·格律恩
Ernst Röhm,恩斯特·罗姆
Gisela Uhlen,吉塞拉·乌伦
Heinrich von Nassau-Dillenburg,拿騷-迪倫堡的亨德里克
Ewald von Kleist-Schmenzin,埃瓦爾德·馮·克萊斯特-舒曼森
Uwe Laysiepen,乌雷
Hermann Ahlwardt,赫爾曼·阿爾華特
Lennart Poettering,雷納．波特林
Manfred Zapf,曼弗雷德·察普夫
Walter Krüger,沃爾特·克呂格爾
Wend von Wietersheim,維特斯海姆
Karsten Braasch,卡斯騰·布拉什
Conny Waßmuth,康妮·瓦斯穆特
Sebastian Sailer,瑟巴斯丁‧賽勒
Franz Müntefering,弗朗茨·明特费林
Michael Krumm,米夏埃尔·克鲁姆
Erich Bärenfänger,埃里希·巴倫方格
Rudolf II.,普法爾茨伯爵魯道夫二世
Jehuda Amichai,耶胡达·阿米亥
Hans Fritzsche,漢斯·弗里切
Mandy Wötzel,曼迪·韦策尔
"Prinzessin Elisabeth Helene, Markgrafin von Meißen",伊莉莎白·海倫
Conrad Ansorge,康拉德·安索尔格
Engelbert II. von der Mark,恩格爾貝特二世
Hermann Recknagel,赫爾曼·雷克納格爾
Heinrich von Schweinfurt,施韋因富特的亨利
Mandala Tayde,曼达拉·泰德
Philip Gröning,菲利普·格罗因
Erik H. Erikson,爱利克·埃里克森
David Kross,大卫·克劳斯
Ernst August von Hannover,恩斯特·奧古斯特五世
Robert Ley,罗伯特·莱伊
Konrad I.,康拉德一世
Walter Sedlmayr,瓦爾特·塞德梅
Johannes Bückler,大鰭盔蝦屬
Alexander Lippisch,亞歷山大·利皮施
Konrad von Marburg,柯那德·凡·馬柏格
Ludwig IV.,圖林根領地伯爵路德維希四世
Arthur Drews,亞瑟·德魯
Albrecht Wellmer,阿尔布雷希特·威尔默
Otto Koehler,奥托·科勒
Patrik Kühnen,帕特里克·库内
David Prinosil,大衛·普里諾西爾
Lars Burgsmüller,拉爾斯·布斯穆勒
Philipp von der Pfalz,普法爾茨的菲利普
Oskar Dirlewanger,奥斯卡·迪勒万格
Martina Müller,马丁娜·米勒
Martin Gerbert,马丁·格伯特
Georg Cassander,格奥尔格·卡桑德
Robert Lehr,罗伯特·莱尔
Heinrich Hollreiser,海因里希·霍尔赖泽尔
Andreas Dresen,安卓·爵森
Vijessna Ferkic,维婕丝娜·费基克
Feodora von Sachsen-Meiningen,費奧多拉 (薩克森-邁寧根)
Edith Clever,埃迪特·克莱韦
Adam Stegerwald,亞當·施特格瓦爾德
Alexander Hacke,亚历山大·哈克
Julius Schaub,尤利乌斯·绍布
August Wilhelm von Preußen,奥古斯特·威廉王子 (普鲁士)
Hans Jürgen Eysenck,汉斯·艾森克
Andreas Hermes,安迪斯·荷梅斯
Florian Gallenberger,弗洛里安·加伦贝格尔
Paul Heinrich von Groth,保罗·格劳斯
Karl Gebhardt,卡爾·格布哈特
Maximilian Harden,马克西米利安·哈登
Siegfried Handloser,齊格弗里德·漢德羅瑟
Hans von Dohnanyi,汉斯·冯·多赫南伊
Max Fürbringer,麥斯·弗布林格
Johannes Popitz,約翰內斯·波皮茲
Klaus Ploghaus,克劳斯·普洛格豪斯
Max August Zorn,马克斯·奥古斯特·佐恩
Nora Nova,諾拉·諾瓦
Martin Cromer,马尔钦·克罗梅尔
Steffen Hamann,斯特芬·哈曼
Alexander Rădulescu,亚历克斯·拉杜勒斯库
Hans Jordan,汉斯·约尔丹
Philipp,菲利普
Otto V. von Scheyern,奥托五世
Kurt Behrens,库尔特·贝伦斯
Jacob Christian Schäffer,雅各布·克里斯琴·沙弗
Otto Braun,奧托·布勞恩
Günther Rall,京特·拉爾
Erdoğan Atalay,埃尔多冈·阿塔雷
Juliane Köhler,茱莉安·歌娜
Hanns Martin Schleyer,汉斯·马丁·施莱尔
Benedict Friedlaender,本篤·弗里德倫德爾
Horst Niemack,霍斯特·尼馬克
Wilhelm,威爾赫姆
Joachim Mrugowsky,約阿希姆·穆魯高斯基
Silke Kraushaar-Pielach,西尔克·克劳斯哈尔-皮拉赫
Kostja Ullmann,科斯蒂亚·乌尔曼
Albert Pick,阿爾伯特·皮克
Brigitte Mira,布里奇特·米拉
Harald Weinrich,哈拉尔德·韦因里奇
Oskar Pfungst,奥斯卡·芬格斯特
Fritz Feld,弗里兹·费尔德
Bernhard Neumann,伯恩哈德·诺伊曼
Günther Enderlein,京特·恩德莱因
Robert Heger,羅伯特·黑格爾
Oskar Becker,奧斯卡·貝克爾
Therese Giehse,特蕾泽·吉泽
Katja Flint,凯迪亚·弗林特
Theodor Eustach,特奧多爾·歐斯塔赫 (普法爾茨-蘇爾茨巴赫)
Helmut Gernsheim,赫尔穆特·格恩斯海姆
Johannes Clauberg,克劳伯格
Hugo Sperrle,胡戈·施佩勒
Hans-Joachim Stuck,漢斯·喬西姆·斯塔克
Katharina Thalbach,卡特琳娜·塔巴赫
Michael Braungart,邁克·布朗嘉特
Kristina Bach,克里斯蒂娜·巴赫
Uschi Disl,乌席·迪斯尔
Karl-Otto Apel,卡爾-奧托·阿佩爾
Jens Voigt,延斯·福格特
Katrin Himmler,卡特琳·希姆勒
Heinrich Mussinghoff,亨利·穆辛赫夫
Rudi Glöckner,鲁迪·格洛克纳
Rudolf Bayer,鲁道夫·拜尔
Andreas von Bülow,安德烈亚斯·冯·比洛
Jürgen Sparwasser,尤尔根·斯帕瓦塞尔
Friedrich Wilhelm Kettler,弗雷德里克·威廉
Norbert Blüm,诺贝特·布吕姆
Emil Ludwig,埃米爾·路德維希
Claudia Nystad,克劳迪娅·尼斯塔
Roger Cicero,罗杰·自茨乐
Franz Konwitschny,弗兰茨·孔维奇尼
Anton Friedrich Büsching,安东·弗里德里希·比兴
Theodor Nöldeke,特奥多尔·诺尔迪克
Christian Knorr von Rosenroth,克里斯蒂安·克諾爾·馮·羅森羅斯
Simone Laudehr,西蒙妮·劳德尔
Reiner Schöne,萊納·舒納
Dietmar Haaf,迪特玛·哈夫
Elisabeth von Hohenzollern-Nürnberg,紐倫堡的伊莉莎白
Gregor Reisch,格列高尔·赖什
Hans-Wilhelm Müller-Wohlfahrt,汉斯-威廉·穆勒-沃尔法特
Helmut Griem,漢密·格烈
Petra Schneider,彼得拉·施奈德
Elisabeth Lemmerhirt,玛利亚·伊丽莎白·莱姆希特
Ekkehard von Aura,艾克哈德
Marvin Plattenhardt,馬爾文·普拉滕哈特
Jörg Guido Hülsmann,约尔格·吉多·许尔斯曼
Friedrich von Hohenzollern,弗里德里希 (霍亨索伦)
Karl I.,卡爾一世
Ernst Günther von Schleswig-Holstein-Sonderburg-Augustenburg,恩斯特·京特尔
Hans Hermann von Katte,漢斯·赫爾曼·馮·卡特
Erich Bagge,埃里希·巴格
Ulla Wiesner,烏拉·威斯納
Wolfgang Kapp,沃爾夫岡·卡普
Michael Kunze,米高·昆澤
Tatiana von Metternich-Winneburg,塔蒂亞娜·馮·梅特尼西·維納堡
Hans Jacob Reissner,漢斯·賴斯納
Hans-Jürgen Riediger,汉斯-于尔根·里迪格
Friedrich Ulrich,腓特烈·烏爾里希
Magdalena Wilhelmine von Württemberg,瑪格達列娜·威廉明妮
Fritz Rieger,弗里茨·里格
Ronald Rauhe,罗纳德·劳厄
Tim Grohmann,蒂姆·格罗曼
Joachim Winkelhock,約阿希姆·溫克霍克
Serge Gnabry,塞尔吉·格纳布里
Rüdiger Vogler,鲁迪格·福格勒
Ernst Friedrich,恩斯特·腓特烈
Gunther Plüschow,贡特尔·普吕朔
Wilhelm II.,威廉二世
Adam Grünewald,亚当·格吕内瓦尔德
Raphael Holzdeppe,拉斐尔·霍尔兹德皮
Rolf Hoppe,罗尔夫·霍帕
Nicole Fessel,妮科尔·费塞尔
Bruno Paul,布魯諾·保羅
Stefan Lindemann,斯蒂芬·林德曼
Jasmin Wöhr,佳思敏·沃尔
Max Streibl,马克斯·施特赖布尔
Erich Kempka,埃里希·肯普卡
Heinz Linge,海因茨·林格
Kollegah,科莱格
Caspar Schamberger,加斯帕·尚伯格
Wilhelm Filchner,威廉·菲爾希納
Samuel von Cocceji,塞缪尔·冯·科切吉
Prinz Louis Ferdinand von Preußen,路易·斐迪南·奥斯卡
Jochen Schöps,約翰·索普斯
Johannes von Thurn und Taxis,約翰尼斯
Vanessa Petruo,瓦娜莎·佩特罗
Paul Giesler,保羅·吉斯勒
Arthur Scherbius,亚瑟·谢尔比乌斯
Andreas Krieger,安德里亞斯·克利戈爾
Carl Severing,卡尔· 塞弗林
Ralf Scheepers,朗夫·席柏斯
Hermann Prieß,赫爾曼·普利斯
Pulsedriver,Pulsedriver
Eva Habermann,伊娃·哈伯曼
Renate Schmidt,雷纳特·施密特
Monika Maron,莫妮卡·马龙
Theodor Ziehen,西奧多爾·契恩
Richard Adjei,里夏德·阿杰伊
Jutta von Mecklenburg-Strelitz,尤塔王儲妃 (黑山)
Franz Xaver von Sachsen,薩克森的法蘭茲·薩維爾
Heidi Klum,海迪·克林
Otto Fickeisen,奥托·菲凯森
Jasmin Tabatabai,贾思敏·塔巴塔拜
Gustav von Kahr,古斯塔夫·馮·卡爾
Odo Marquard,奥多·马夸德
Lutz Heßlich,卢茨·黑斯利希
Maximilian Levy,马克西米利安·莱维
Patric Leitner,帕特里克·莱特纳
Max Rudolf,马克斯·鲁道夫
Sebastian Polter,塞巴斯蒂安·波爾特
Mike Frantz,麥克·弗蘭茨
Mady Rahl,玛迪·拉尔
Hans von Koester,漢斯·馮·斯科斯特
Peter Gay,彼得·盖伊
Arne Friedrich,阿尔内·弗雷德里希
Heinz Josef Algermissen,海因茨·若瑟·阿爾格爾米森
Marion Becker,玛丽昂·贝克尔
Ulrich Matthes,乌尔里希·马特斯
Elly Beinhorn,埃莉·拜因霍恩
Mike Rockenfeller,米克·罗肯费勒
Georg Friedrich von Reichenbach,格奥尔格·弗里德里希·冯·赖兴巴赫
Moritz von der Pfalz,普法尔茨的莫里斯
Monika Pflug,莫妮卡·普夫卢格
Hannah Arendt,汉娜·阿伦特
Johann Georg Palitzsch,约翰·格奥尔格·帕利奇
Ilse Steppat,伊爾斯史蒂佩特
Philipp,菲利普
Benjamin Starke,本傑明·斯塔克
Gerda Steinhoff,格尔达·施泰因霍夫
Joseph Karl von Pfalz-Sulzbach,普法爾茨-蘇爾茨巴赫的約瑟夫·卡爾
Frank Busemann,弗兰克·布泽曼
August Heißmeyer,奧古斯特·海斯梅耶
Karl-Eduard von Schnitzler,卡尔·爱德华·冯··施尼茨勒
Erich II.,埃里希二世 (薩克森-勞恩堡)
Hermann Niehoff,赫爾曼·尼霍夫
Hugo Blaschke,胡戈·布拉施克
Otto Fürst von Bismarck,阿奇博爾德·馮·俾斯麥
Sarah Connor,莎拉·蔻娜
Friedrich Wilhelm von Mellenthin,弗里德里希·冯·梅伦廷
Rudolf Spanner,鲁道夫·施潘纳
Nicola Thost,妮古拉·托斯特
Artur Dinter,亚瑟·丁特
Gabriel Heinze,加夫列尔·海因策
Piet Sielck,皮特·錫爾克
Thomas Bach,托马斯·巴赫
Dirk Galuba,德克·加巴
Georg Lunge,喬治·隆格
Klaus Köste,克劳斯·克斯特
Günter Blobel,古特·布洛伯爾
Herbert Marcuse,赫伯特·马尔库塞
Marc Zwiebler,马克·茨维布勒
Bruno Bräuer,布魯諾·布魯爾
Nikolaus von Vormann,尼古拉斯·冯·沃尔曼
Marco Minnemann,馬可·明尼曼
Gottlob Frege,戈特洛布·弗雷格
Jörg Vaihinger,约尔格·费英格
Albert Speer,阿尔伯特·斯佩尔
Günter Schlierkamp,君特·斯里坎普
Hinrich Romeike,欣里希·罗迈克
Kurt Neumann,庫爾特·諾伊曼
Karl Bähre,卡尔·贝雷
Gaby Bußmann,加比·布斯曼
Roland Emmerich,羅蘭·艾默瑞奇
Ulli Lommel,尤利·隆美尔
Ernst II. zu Hohenlohe-Langenburg,恩斯特二世
Johann Leopold von Sachsen-Coburg und Gotha,約翰·利奧波德 (薩克森-科堡-哥達王儲)
Karl Wilhelm Ramler,卡尔·威廉·拉姆勒
Wau Holland,瓦乌·霍兰
Erich IV.,埃里希四世 (薩克森-勞恩堡)
Wolfgang Seguin,沃尔夫冈·泽金
Robert Schwentke,勞勃·史溫凱
Otto von Guericke,奥托·冯·居里克
Deva Premal,德瓦·普雷马尔
Norbert Reithofer,諾伯特·雷瑟夫
Magnus I.,馬格努斯一世
Gerhard Ertl,格哈德·埃特尔
Karl Dietrich Bracher,卡尔·迪特里希·布拉赫
Michael Stich,米夏埃尔·施蒂希
Konrad Zuse,康拉德·楚澤
Bernhard von Bülow,伯恩哈德·冯·比洛
Ernst Maisel,恩斯特·梅塞爾
Dirk Heinen,海能
Monika Treut,莫妮卡·楚特
Irma Grese,伊爾瑪·格雷澤
Maximilian Friedrich von Königsegg-Rothenfels,马克西米利安·腓特烈
Werner Peters,維爾納·彼得斯
Erich Mußfeldt,艾里希·姆斯费尔特
Ernst Ising,恩斯特·易辛
Ulrike Holzner,乌尔丽克·霍尔茨纳
Dorothea von Anhalt-Zerbst,安哈特-采爾布斯特的多蘿西亞
Eduard von Knorr,愛德華·馮·克諾爾
Franz Roh,弗朗茨·羅
Otto Lummer,奧托·盧默
Isolda Dychauk,伊索妲·迪奧克
Kuno von Praeneste,普諾斯的提庫諾
Julia Jentsch,尤莉亞·嫣琪
Britta Heidemann,布丽塔·海德曼
Roberto Hilbert,羅伯托·希爾伯特
Alfred Einstein,艾爾法特·愛因斯坦
Karl Korsch,卡爾·柯爾施
Petra Rossner,佩特拉·罗斯纳
Franz Pfnür,弗朗茨·普夫尼尔
Adolf,普法爾茨的阿道夫
Tanja Szewczenko,坦娅·斯泽维琴科
Hermann Grädener,赫尔曼·格雷登纳
Horst Schönau,霍斯特·舍瑙
Hans Sennholz,漢斯·森霍爾茲
Julius von Soden,尤利乌斯·冯·索登
Otto Graf Lambsdorff,奧托·格拉夫·蘭布斯多夫
Hans Frank,漢斯·法郎克
Eckhart Tolle,埃克哈特·托尔
Brigitte Fassbaender,布麗姬‧法絲賓德
Johann Reinhard III.,約翰·萊因哈德三世
Ludwig Friedrich I.,路德維希·腓特烈一世
Conrad Schumann,康拉德·舒曼
Ruprecht I.,普法尔茨选帝候鲁普莱希特一世
Bert Hölldobler,伯特·霍尔多布勒
Bodo Bittner,博多·比特纳
Helmut Sick,赫爾穆特·西克
Jörg Hoffmann,约尔格·霍夫曼
Melitta Sollmann,梅莉塔·绍尔曼
Bruno Richard Hauptmann,布鲁诺·理查德·豪普特曼
Albert Anton,阿爾貝特·安東 (施瓦茨堡-魯多爾施塔特)
Johann Ernst II.,約翰·恩斯特二世
Elias Holl,艾里亞斯·霍爾
Christian Träsch,克里斯蒂安·特雷施
Serdar Taşçı,塞尔达·塔什彻
Heinrich Freiherr von Stackelberg,海因里希·弗賴爾·馮·斯塔克爾貝格
Wilhelm,威廉一世
Max Amann,馬克斯·阿曼
Johann August Ephraim Goeze,約翰·高茲
Hans Kahle,汉斯·卡勒
Karl Kling,卡爾·克林
Hermann von François,赫爾曼·馮·弗朗索瓦
Holger Behrendt,霍尔格·贝伦特
Aby Warburg,阿比·沃伯格
Ferdinand von Schirach,費迪南·馮·席拉赫
Wolfgang,沃尔夫冈
Johann Beringer,約翰·柏林格
Georg I.,瓦爾德克和皮爾蒙特親王格奧爾格一世
Ernst Kretschmer,恩斯特·克雷奇默
Hermann Scherchen,赫尔曼·舍尔兴
Friedrich Ludwig,腓特烈·路德維希 (什勒斯維希-霍爾斯坦-森訥堡-貝克)
Ernst Streng,恩斯特·施特伦
Engelbert III. von der Mark,英格爾貝特三世
Dietrich Eckart,狄特里希·埃卡特
Heinrich Barkhausen,海因里希·巴克豪森
Peter van Pels,彼得·范·佩爾斯
Sibel Kekilli,西贝尔·凯基莉
Irene Epple-Waigel,艾琳·愛普爾
Elisabeth Renata von Lothringen,洛林的伊莉莎白
Alexander Schalck-Golodkowski,亚历山大·沙尔克-格洛科斯基
Alexander von Kluck,亞歷山大·馮·克魯克
Wilhelm Backhaus,威廉·巴克豪斯
Edith Picht-Axenfeld,埃迪特·皮希特-阿克森费尔德
Michelle,米歇尔
Anna von Pfalz-Veldenz,普法爾茨-費爾登茨的安娜
Willy Ley,威利·雷
Josef Stangl,若瑟·施坦格爾
Ludwig zu Mecklenburg,路易公爵
Johann August von Sachsen-Gotha-Altenburg,约翰·奥古斯特
Mischa Zverev,米沙·茲韋列夫
Hermann Zapf,赫尔曼·察普夫
Lotte Lehmann,洛特·萊曼
Johann Ernst,約翰·恩斯特 (薩克森-科堡-薩爾費爾德)
Friedrich I.,腓特烈一世
Ludwig IV.,路德維希四世 (普法爾茨)
Wilhelm Haferkamp,威廉·哈弗坎普
Johann IV.,約翰四世
Elly Ney,埃利·奈伊
Ernst Troeltsch,恩斯特·特勒爾奇
Gunda Niemann-Stirnemann,贡达·尼曼-施蒂内曼
André Hennicke,安德列·汉尼克
Helge Meeuw,赫爾格·梅爾
Gottlob Berger,戈特洛勃·伯格爾
Gerhard Ritter,格哈德·里特
Paul Biedermann,保罗·比德尔曼
Jürgen Moltmann,于爾根·莫特曼
Stefan Rosenbauer,斯特凡·罗森鲍尔
Günter Ziegler,根特·齐格勒
Robert Jungk,罗伯特·容克
Franz Eugen Simon,弗朗西斯·西蒙
Jo Leinen,乔·莱恩
Heinrich George,海因里希·喬治
Philipp Bouhler,菲利普·布勒
Ingrid Auerswald,英格丽德·奥尔斯瓦尔德
Jochen Babock,约亨·巴博克
Rudolf Heinze,鲁道夫·海因策
Sibylle von Jülich-Kleve-Berg,克萊沃的希比爾
Erhard Heiden,埃哈德·海登
Ernst Gräfenberg,恩斯特·格雷芬贝格
Bibiana Steinhaus,毕碧安娜·施泰因豪斯
Michael Berrer,米夏埃爾·貝雷爾
Friedrich I.,腓特烈一世 (普法爾茨-錫門)
Alfred Wünnenberg,阿爾弗雷德·溫能堡
Friedrich August von Finck,弗里德里希·奧古斯特·馮·芬克
Paul Conrath,保羅·康拉特
Otto Schott,奥托·肖特
Hans Freiherr von Funck,汉斯·冯·丰克
Sandra Hüller,桑德拉·惠勒
Walther Reinhardt,瓦爾特·萊因哈特
Lou Bega,盧·貝加
Wenzel Jaksch,溫澤·賈克施
Marianne Werner,玛丽安娜·维尔纳
Wilhelm René de l’Homme de Courbière,威廉·勒内·德洛姆·德·库尔比埃
Sebastian Rudy,塞巴斯蒂安·魯迪
Friedrich Kirchner,弗里德里希·基什內爾
Peter Armbruster,彼得·安布鲁斯特
Mathias Jung,马蒂亚斯·荣格
Anton Dostler,安東·多斯特勒
Jutta Bauer,尤塔·鲍尔
Kirsten Münchow,基尔斯滕·明肖
Christian Ludwig,克里斯蒂安·路德維希
Luise von Brandenburg-Schwedt,路易丝
Hermann Kemper,赫爾曼·肯佩爾
Karl II. Otto,卡爾二世·奧托
Wilhelm Heye,威廉·海耶
Edward Conze,愛德華·孔茲
Hermann von Stein,赫爾曼·馮·斯坦因
Jens Todt,延斯·托特
Bettina Schmidt,贝蒂娜·施密特
Walter Schottky,華特·蕭特基
Erich Koch,埃里希·科赫
Katharina Rutschky,卡達麗娜‧如曲基
Heinrich V.,亨利五世 (盧森堡)
Erich Neumann,埃里希·诺依曼
Alfred Dompert,阿尔弗雷德·东佩特
Adam Heinrich von Steinau,亞當·海因里希·馮·施泰諾
Paul Rostock,保羅·洛斯塔克
Johann von Werth,约翰·冯·韦斯
Hermann von Oppeln-Bronikowski,赫尔曼·冯·奥佩尔恩-布罗尼科夫斯基
Josef Greindl,約瑟夫·格賴因德爾
Andreas Dittmer,安德烈亚斯·迪特默
Ernst Freiherr Stromer von Reichenbach,恩斯特·斯特莫
Christofer Heimeroth,克里斯托夫·海梅羅特
Ernst-Robert Grawitz,恩斯特－羅柏特·格拉維茨
Viktoria von Preußen,維多利亞公主 (普魯士)
Christina von Sachsen,薩克森的克里斯蒂娜
Jörg Zander,約格·贊德
Carl Dietrich Harries,卡爾·哈里斯
Erhard Raus,埃哈德·勞斯
Otto Jaekel,奧托·耶克爾
Marc Lieb,馬克·利布
Heinrich Bleichrodt,海因里希·布莱希罗特
Friedrich-Wilhelm Müller,弗里德里希-威廉·穆勒
Stefan Aust,斯蒂芬·奥斯特
Walther Wenck,瓦尔特·文克
Martin Harnik,馬丁·哈尼克
Anita Pallenberg,安妮德·巴蘭寶
Gustav Mie,古斯塔夫·米
Adolf Heusinger,阿道夫·豪辛格
Johann III.,約翰三世
Friedrich V.,腓特烈五世
Friedrich Flick,弗里德里希·弗利克
Lothar von Richthofen,洛塔爾·馮·里希特霍芬
Sven Ulreich,斯文·乌爾賴希
Thomas Metzinger,湯瑪斯·梅辛革
Paul Dietrich Giseke,保罗·迪特里希·吉塞克
Agnes Miegel,阿格涅·米蓋爾
Josef Priller,約瑟夫·匹勒
Karl Helfferich,卡爾·赫弗里希
Herta Heuwer,赫塔·夏洛特·霍伊韦尔
Manfred Burgsmüller,曼弗雷德·博格斯穆勒
Elke Winkens,埃爾克·溫肯斯
Claudia Nolte,克劳迪娅·诺尔特
Joachim von Preußen,约阿希姆王子
Delron Buckley,德爾羅·巴克利
Ortwin Runde,奧爾特溫·倫德
Hugo Junkers,雨果·容克斯
Jakob Wassermann,雅各布·瓦瑟曼
Klaus Rainer Röhl,克劳斯·莱纳·罗尔
Harald Czudaj,哈拉尔德·楚达伊
Heinz Berggruen,貝爾古恩
Ole von Beust,歐勒·馮·伯思特
Karl-Heinz Schnellinger,卡尔-海因茨·施内林格
Hellmut Krug,赫爾穆特·克魯格
Richard Schirrmann,理查·席爾曼
Judith Holofernes,茱蒂丝·乐佛妮
Ludwig Ernst von Braunschweig-Wolfenbüttel,路易·欧内斯特
Friedrich Trendelenburg,弗里德里希·特伦德伦伯
Oļegs Znaroks,奧列格·扎納羅克
Anja Mittag,安雅·米塔格
Otto von Münchhausen,奧托·馮·閔希豪森
Kurt Ahrens,小庫爾特·阿倫斯
Alexander Beyer,亚历山大·贝叶尔
Anna Schäffer,安娜·謝夫勒
