"Гройс, Борис Ефимович",鮑里斯·格羅伊斯
Фёдор Михайлович Смолов,費多爾·斯莫羅夫
Абел Аганбегян,阿贝尔·格泽维奇·阿甘别吉扬
Николай Семёнович Кардашёв,尼古拉·卡爾達肖夫
"Кудрявцев, Александр Михайлович",亞歷山大·古德亞夫謝夫
Игорь Шалимов,伊戈尔·沙利莫夫
"Овчинников, Владимир Павлович",弗拉基米尔·奥夫钦尼科夫
Александр Яковлевич Аскольдов,阿列克山卓·阿斯寇多夫
Вероника Аркадьевна Долина,贝罗尼卡·多利纳
Вильям Васильевич Похлёбкин,威廉·波赫列布金
Сергей Семёнович Собянин,謝爾蓋·謝苗諾維奇·索比亞寧
"Тодоровский, Пётр Ефимович",彼得·托多洛夫斯基
Владимир Поляков,弗拉迪米尔·波利亚科夫
"Образцова, Евгения Викторовна",叶甫根尼娅·维克多罗夫娜·奥布拉兹佐娃
Евгений Рошал,尤金·羅謝爾
"Любимов, Павел Григорьевич",帕维尔·柳比莫夫
Муху Гимбатович Алиев,穆胡·阿利耶夫
Максим Бельков,马克西姆·贝尔科夫
Юлия Такшина,尤利娅·塔克希娜
Симеон Полоцкий,谢苗·波洛茨基
Юлий Борисович Харитон,尤利·鲍里索维奇·哈里顿
"Шутова, Любовь Андреевна",柳博芙·舒托娃
"Зайцев, Михаил Митрофанович",米哈伊尔·米特罗法诺维奇·扎伊采夫
Аркадий Владимирович Дворкович,阿尔卡季·德沃尔科维奇
Сергей Николаевич Старостин,谢尔盖·尼古拉耶维奇·斯塔罗斯京
Александр Сергеевич Бухаров,亚历山大·布哈罗夫
"Подклетнов, Евгений Евгеньевич",尤金·博德克勒洛夫
Николай Николаевич Галахов,尼古拉 · 加拉霍夫
Анна Джамбулиевна Чакветадзе,安娜·恰克韋塔澤
Талгат Амангельдиевич Мусабаев,塔爾加特·穆薩巴耶夫
Константин Петрович Феоктистов,康斯坦丁·费奥科迪斯托夫
Владимир Исаакович Кейлис-Борок,弗拉迪米尔·凯利斯-波洛克
Шолбан Валерьевич Кара-оол,绍尔班·卡拉乌尔
"Зязиков, Мурат Магометович",穆拉特·查基科夫
"Померанц, Григорий Соломонович",克日什托夫·米哈爾斯基
Глеб Павловский,格列布·巴甫洛夫斯基
Юрий Михайлович Борзаковский,尤里·博尔扎科夫斯基
Владимир Георгиевич Сорокин,弗拉基米尔·索罗金
Марианна Александровна Максимовская,玛丽安娜·马克西莫夫斯卡娅
"Годунов, Сергей Константинович",謝爾蓋·康斯坦丁諾維奇·戈杜諾夫
Виктор Петрович Астафьев,维克托·阿斯塔菲耶夫
Георгий Аркадьевич Арбатов,格奥尔基·阿尔卡季耶维奇·阿尔巴托夫
Дина Анатольевна Кочеткова,迪娜·科切特科娃
"Григоренко, Михаил Олегович",米哈伊尔·格里戈连科
Александр Рязанцев,里亞贊特采夫
"Хизанейшвили, Отар Давидович",歐塔‧齊札奈許維里
Максим Михайлович Михайлов,馬克西姆·米哈伊洛夫
"Жуков, Игорь Михайлович",伊戈尔·米哈伊洛维奇·茹科夫
Александр Александрович Щелканов,亚历山大·亚历山德罗维奇·谢尔卡诺夫
Олег Викторович Новицкий,奧勒根·諾維斯基
Носорог,犀牛人
Гурий Иванович Марчук,古里·马尔丘克
Олег Евгеньевич Меньшиков,欧列格·缅希科夫
"Филиппов, Дмитрий Николаевич",迪米特里菲利波夫
Эдуард Эргартович Россель,爱德华·叶加尔托维奇·罗塞尔
"Рассказов, Роман Владимирович",罗曼·拉斯卡佐夫
"Карпов, Владимир Васильевич",弗拉基米尔·瓦西里耶维奇·卡尔波夫
Майкл Лукас,迈克尔·卢卡斯
Николай Дмитриевич Кузнецов,尼古拉·德米特里耶维奇·库兹涅佐夫
Борис Павлович Бугаев,鮑里斯·帕夫洛維奇·布加耶夫
"Пасько, Григорий Михайлович",格里高里·帕斯科
Юлий Михайлович Воронцов,尤里·米哈伊洛维奇·沃伦特索夫
"Решетников, Вениамин Сергеевич",韦尼阿明·谢尔盖耶维奇·列舍特尼科夫
"Якименко, Алексей Андреевич",阿列克谢·安德烈耶维奇·亚基缅科
Сергей Петрович Новиков,謝爾蓋·彼得羅維奇·諾維科夫
Эдгар Приб,埃德加·普里布
Лев Сергеевич Термен,李昂·特雷門
Станислав Константинович Смирнов,斯坦尼斯拉夫·斯米尔诺夫
"Писаревский, Глеб Олегович",皮萨列夫斯基
"Бобров, Алексей Владимирович",阿列克谢·弗拉基米罗维奇·博布罗夫
Анна Цуканова-Котт,安娜·茨卡诺瓦
Валерий Николаевич Брумель,瓦列裡·布魯梅爾
"Личутин, Владимир Владимирович",V.V. 李秋京
Валерий Георгиевич Газзаев,基沙夫
Владислав Николаевич Листьев,弗拉季斯拉夫·利斯季耶夫
"Гребенников, Виктор Степанович",維克多·格列賓尼科夫
"Спиридонов, Алексей Сергеевич",阿列克谢·斯皮里多诺夫
"Кербель, Лев Ефимович",列夫·可贝尔
Сергей Валерьянович Базаревич,谢尔盖·巴扎尔耶维奇
Сергей Валерьевич Мозякин,謝爾蓋·莫扎金
Алексей Анатольевич Ковалёв,阿列克谢·阿纳托利耶维奇·科瓦廖夫
Василий Григорьевич Якеменко,瓦西里·亚克缅科
"Фридман, Уильям Фредерик",威廉·弗里德曼
Лев Борисович Окунь,列夫·奥昆
"Мансуров, Фуат Шакирович",弗阿特·曼苏罗夫
Анатолий Александрович Собчак,阿纳托利·亚历山德洛维奇·索布恰克
Алексей Викторович Швед,阿歷克謝·舍維德
Сергей Юрьевич Родионов,谢尔盖·拉奇奥诺夫
Виктор Фёдорович Янукович,维克托·亚努科维奇
Геннадий Николаевич Айги,捷納狄·艾基
"Рудин, Александр Израилевич",亞歷山大·魯丁
Паршивлюк Сергей Викторович,派斯約克
"Медведев, Вадим Андреевич",瓦季姆·梅德韋傑夫
"Маслаченко, Владимир Никитович",弗拉基米尔·马斯拉琴科
Андрей Константинович Каряка,安德烈·卡里亚卡
"Цветков, Максим Сергеевич",马克西姆·茨韦特科夫
Дмитрий Александрович Хворостовский,季米特里·霍洛斯托夫斯基
Александр Иванович Бастрыкин,亞歷山大·巴斯特雷金
Антон Назаренко,安东·纳扎仁科
"Хриплович, Иосиф Бенционович",约瑟夫·赫里普洛维奇
"Лапшин, Тимофей Алексеевич",季莫费伊·拉普申
"Малкин, Виталий Борисович",维塔利·鲍里索维奇·马尔金
Екатерина Дмитриевна Рябова,叶卡捷琳娜·里亚博娃
Елена Владимировна Темникова,叶莲娜·杰姆尼科娃
"Макаров, Николай Егорович",尼古拉·馬卡羅夫
"Прибыловский, Владимир Валерианович",弗拉基米尔·普利比洛夫斯基
Юрий Кара,尤里·卡拉
"Тихоненко, Валерий Алексеевич",瓦莱里·蒂克霍嫩科
"Мусатов, Игорь Максимович",伊果·馬薩托夫
Ренат Исламович Ибрагимов,雷纳塔·易卜拉欣莫
Гильерме Маринато,马里纳图
Николай Николаевич Бордюжа,尼古拉·博尔久扎
"Семёнова, Галина Владимировна",加林娜·弗拉基米罗夫娜·谢苗诺娃
"Качалин, Гавриил Дмитриевич",加夫里尔·卡恰林
"Дворецкий, Марк Израилевич",馬克·德沃列茨基
"Тимченко, Геннадий Николаевич",根纳季·季姆琴科
"Калинин, Сергей Павлович",謝爾蓋·卡里寧
Шейн Перкинс,沙恩·珀金斯
Владимир Теодорович Спиваков,弗拉基米尔·斯皮瓦科夫
Василий Сергеевич Кульков,瓦西里·庫里括夫
"Тараканов, Сергей Николаевич",谢尔盖·塔拉卡诺夫
Георгий Степанович Жжёнов,格奥尔基·斯捷潘诺维奇·日茹诺夫
Ахрик Сократович Цвейба,艾赫利克·茨維巴
Михаил Иванович Будыко,麦克海尔·伊万诺维奇·布迪科
"Богдан, Иван Гаврилович",伊万·博赫丹
Алексей Иванович Аджубей,阿列克谢·伊万诺维奇·阿朱别伊
"Кавазашвили, Анзор Амберкович",安佐尔·卡瓦扎什维利
"Гайсанов, Рашид Яхьяевич",拉希德·叶海亚耶维奇·盖桑诺夫
"Чурбанов, Юрий Михайлович",尤里丘爾巴諾夫
Наталья Петровна Бехтерева,娜塔莉亚·贝赫捷列娃
"Калери, Александр Юрьевич",亚历山大·卡列里
Тимур Бекмамбетов,提默·貝克曼比托夫
Михаил Игнатьев,米哈伊尔·伊格纳季耶夫
"Котов, Олег Валериевич",奥列格·科托夫
Александр Владимирович Мостовой,莫斯托禾
Антон Германович Силуанов,安东·格尔马诺维奇·西卢安诺夫
Эдуард Николаевич Мудрик,爱德华·穆德里克
Андрей Дмитриевич Дементьев,安德烈·德門季耶夫
Геннадий Викторович Хазанов,根纳季·哈萨诺威
"Лисина, Екатерина Викторовна",叶卡捷琳娜·丽西娜
"Федотов, Михаил Александрович",米哈伊尔·亚历山大罗维奇·费多托夫
"Федонкин, Михаил Александрович",米哈伊爾·費登金
"Ревин, Сергей Николаевич",谢尔盖·列温
Алексей Владимирович Баталов,阿列克谢·巴塔洛夫
"Понкрашов, Антон Александрович",安東·邦卡拉索夫
"Залыгин, Сергей Павлович",谢尔盖·帕夫洛维奇·扎雷金
Павел Юрьевич Деревянко,帕维尔·杰列维扬科
Юрий Иванович Маленченко,尤里·馬連琴科
Виталий Михайлович Буяновский,維塔利·布亞諾夫斯基
Теймураз Габашвили,泰穆拉茲·加巴什維利
"Шатров, Михаил Филиппович",米哈伊尔·沙特罗夫
Лариса Долина,拉丽莎·多利纳
Анатолий Иванович Богданов,安纳托里·波格丹诺夫
Нина Уланова,尼娜·乌兰诺娃
"Крикунов, Владимир Васильевич",弗拉基米爾·克里庫諾夫
Михаил Михайлович Капранов,米哈伊爾·卡普拉諾夫
"Минин, Михаил Петрович",米哈伊爾·米寧
Константин Евгеньевич Кинчев,康斯坦丁·金奇维
Александр Юрьевич Домогаров,亚历山大·多莫加罗夫
"Филатова, Анастасия Ивановна",阿娜斯塔西亚·费拉托娃
Михаил Петрович Чумаков,米哈伊尔·楚马科夫
Арсен Баширович Каноков,阿尔森·卡诺科夫
"Ушаков, Дмитрий Аркадьевич",德米特里·乌沙科夫
Таисия Повалий,塔伊西娅·波瓦尔利
Галина Яковлевна Джугашвили,加琳娜·朱加什维利
Гарри Яковлевич Бардин,加里·巴爾丁
Григорий Горин,格里戈里·戈林
"Фесиков, Сергей Васильевич",謝爾蓋·費西科夫
Сергей Николаевич Бабурин,谢尔盖·尼古拉耶维奇·巴布林
Александр Евгеньевич Павленко,柏華蘭高
Омари Михайлович Тетрадзе,特特拉澤
"Шкаплеров, Антон Николаевич",安东·什卡普列罗夫
"Гоман, Алексей Владимирович",阿列克谢·戈曼
Антон Тариэльевич Сихарулидзе,安東·西哈魯利澤
"Карасёв, Сергей Васильевич",塞爾吉·卡拉塞夫
"Рубаков, Валерий Анатольевич",瓦莱里·鲁巴科
Илья Резник,伊利亞·雷茲尼克
Нина Евгеньевна Меньшикова,妮娜·门希科瓦
Леонид Аркадьевич Десятников,列昂尼德·戴西亚特尼科夫
Дмитрий Маликов,德米特里·马里科夫
Ник Перумов,尼克·佩鲁莫夫
Николай Укк,尼古拉·乌卡卡
Ирина Вадимовна Муравьёва,伊琳娜·穆拉维耶娃
"Слепышев, Антон Владимирович",安东·斯列皮舍夫
"Гришина, Анастасия Николаевна",安娜斯塔西娅·格里什娜
"Родионов, Евгений Александрович",叶夫根尼·罗季奥诺夫
"Свешников, Герман Александрович",格尔曼·亚历山德罗维奇·斯韦什尼科夫
"Королёв, Олег Петрович",奥列格·彼得罗维奇·科罗廖夫
Леонид Сергеевич Броневой,列昂尼德·布罗涅沃伊
Евгений Сергеевич Воронов,葉夫根尼·薩夫羅諾夫
Леонид Иванович Бородин,L.I. 鲍罗金
Александр Богданович Карлин,亚历山大·波格丹诺维奇·卡林
Михаил Абрамович Швейцер,米哈伊尔·阿布拉莫维奇·施韦泽
Татьяна Миткова,塔季揚娜·米特科娃
Леонид Геннадьевич Парфёнов,莱昂纳德·帕菲永诺夫
Ксения Дмитриевна Афанасьева,克謝尼娅·阿法纳西耶娃
"Пасека, Мария Валерьевна",瑪麗亞·柏絲卡
Роман Константинович Воробьёв,羅曼‧沃洛布約夫
Николай Николаевич Губенко,尼古拉·尼古拉耶维奇·古边科
Борис Александров,鲍里斯·亚历山大耶维奇·亚历山德罗夫
Максим Евгеньевич Бузникин,馬克希姆‧布茲尼金
Александр Дмитриевич Беглов,亚历山大·别格洛夫
"Драгомощенко, Аркадий Трофимович",阿卡迪·德拉戈莫申科
Александр Викторович Збруев,亚历山大·兹布吕耶夫
Вячеслав Евгеньевич Позгалёв,维亚切斯拉夫·叶夫根尼耶维奇·波兹加廖夫
Семён Сергеевич Антонов,賽姆楊·安托諾夫
Армен Тахтаджян,亚美因·塔赫塔江
Фёдор Николаевич Юрчихин,費奧多爾·雅奇金
"Наумов, Вадим Владимирович",纳乌莫夫
Велько Кадиевич,韦利科·卡迪耶维奇
Евгений Романович Устюгов,葉夫根尼·烏斯秋戈夫
"Зубов, Сергей Александрович",谢尔盖·祖博夫
Руслан Валерьевич Пименов,鲁斯兰·皮梅诺夫
"Проханов, Александр Андреевич",亚力山大·安德烈耶维奇·普罗哈诺夫
Максим Ильич Сорокин,马克西姆·伊里奇·索罗金
Марк Евгеньевич Тайманов,马克·泰马诺夫
Виктор Васильевич Горбатко,維克托·戈爾巴特科
Ерохин Александр Юрьевич,亚历山大·叶罗欣
"Сергеев, Аркадий Михайлович",阿尔卡迪·谢尔盖耶夫
"Зайков, Лев Николаевич",列夫·尼古拉耶维奇·扎伊科夫
"Румянцев, Алексей Матвеевич",阿列克谢·鲁缅采夫
Алексей Иванович Бугаев,阿列克謝·布加耶夫
Роман Алексеевич Ерёменко,羅曼·葉廖緬科
Михаил Леонидович Громов,米哈伊尔·格罗莫夫
"Никифоров, Николай Анатольевич",尼古拉·尼基福洛夫·阿纳托利耶维奇
"Сергеев, Николай Дмитриевич",尼古拉·德米特里耶維奇·謝爾蓋耶夫
"Моня, Сергей Александрович",瑟盖·蒙尼亚
"Кудрин, Алексей Леонидович",阿列克谢·库德林
"Делимханов, Адам Султанович",亞當·傑利姆漢諾夫
Ольга Михайловна Остроумова,奥尔佳·奥斯特罗乌莫娃
Олег Григорьевич Митяев,奥列格·格里戈里耶维奇·米佳耶夫
Валентин Иосифович Гафт,瓦连京·佳夫特
"Радионова, Елена Игоревна",叶连娜·伊戈列夫娜·拉季奥诺娃
Мария Егоровна Гайдар,瑪麗亞·蓋達爾
Владимир Абрамович Этуш,弗拉基米尔·埃图什
"Смирнов, Николай Иванович",尼古拉·伊万諾維奇·斯米尔诺夫
Анастасия Юрьевна Заворотнюк,阿纳斯塔西娅·扎沃罗特纽克
"Тернавский, Владислав Михайлович",弗拉迪斯拉夫‧特納夫斯基
Тамара Гвердцители,塔玛拉·格维尔济介里
Николай Крылов,尼古拉·克雷洛夫
Николай Петрович Бурляев,尼古拉·彼得洛维奇·布尔利亚耶夫
"Старинов, Илья Григорьевич",伊利亚·斯塔利诺夫
"Камболов, Руслан Александрович",鲁斯兰·卡姆博洛夫
Василий Семёнович Лановой,瓦西里·兰诺沃依
Дмитрий Иосифович Светозаров,德米特里·斯韦托扎罗夫
Людмила Александровна Шагалова,柳德米拉·莎加洛娃
"Салманов, Фарман Курбан оглы",法尔曼·萨尔马诺夫
Александр Николаевич Николаенко,亚历山大·尼科拉恩科
Сергей Ервандович Кургинян,謝爾蓋·葉爾萬多維奇·庫爾吉揚
"Ламонова, Евгения Алексеевна",叶夫根尼娅·拉莫诺娃
"Королёв, Ярослав Игоревич",雅洛斯拉弗·科若列夫
"Сотникова, Аделина Дмитриевна",阿德琳娜·索特尼科娃
Станислав Жук,斯坦尼斯拉夫·祖克
Юлия Леонидовна Латынина,尤利婭·菲尼娜
Михаил Иванович Бурцев,米哈伊尔·伊万诺维奇·布尔采夫
"Хвостов, Дмитрий Григорьевич",德米特里·科沃斯托夫
Сергей Леонидович Гармаш,谢尔盖·加尔马什
Владимир Константинович Буковский,弗拉基米尔·布科夫斯基
Рашид Гумарович Нургалиев,拉希德·努尔加利耶夫
Рената Муратовна Литвинова,雷娜塔·利特维诺娃
"Першин, Иван Васильевич",伊万·珀辛
Светлана Александровна Меткина,斯維特拉娜·麥金娜
"Ониани, Тариэл Гурамович",塔里埃尔·奥尼安尼
"Королёв, Евгений Евгеньевич",葉甫根尼·科羅廖夫
Кир Булычёв,柯·布利乔夫
Вадим Валентинович Евсеев,瓦迪姆·埃夫塞夫
Дмитрий Леонидович Радченко,季米特里·拉德琴科
Юрий Яковлевич Чайка,柴卡
Игорь Иванович Добровольский,多布羅沃斯基
"Грачёв, Александр Павлович",亚历山大·格拉切夫
Василий Борисович Ливанов,瓦西里·利瓦诺夫
"Халдей, Евгений Ананьевич",叶甫根尼·阿纳耶维奇·哈尔代伊
Александр Колобнев,亚历山大·科洛布涅夫
Константин Меладзе,康斯坦丁·梅拉德泽
Никита Александрович Некрасов,尼基塔·涅克拉索夫
"Кулик, Олег Борисович",奧列格·庫利克
Елена Яковлевна Соловей,艾蓮娜·索洛維
Константин Эдуардович Бронзит,康士坦汀布朗茲
Татьяна Люсьеновна Друбич,塔雅娜·德鲁比奇
"Филипенко, Егор Всеволодович",葉戈爾·菲利彭科
"Кульчий, Александр Николаевич",亞列克山大‧庫爾奇
Виктор Иванов,维克托·伊万诺夫
"Емельянов, Роман Павлович",羅曼‧葉美雅諾夫
Тимофей Павлович Мозгов,季莫费·莫兹戈夫
Борис Борисович Егоров,鲍里斯·叶戈罗夫
"Геллер, Ефим Петрович",叶菲姆·盖勒
Леонид Денисович Кизим,列奥尼德·奇兹米
Эдуард Хиль,愛德華·吉爾
Диана Арбенина,黛安娜·阿貝尼納
Михаил Михайлович Жванецкий,米哈伊爾·米哈伊洛維奇·日瓦涅茨基
Елена Всеволодовна Сафонова,叶连娜·萨福诺娃
Константин Фёдорович Затулин,康斯坦丁·扎特林
Александр Михайлович Татарский,亚历山大·塔塔尔斯基
Александр Владимирович Мартынович,亞歷山大·馬丁諾維奇
Олег Александрович Веретенников,奥列格·维雷杰尼科夫
Алексей Васильевич Петренко,阿列克謝·彼得連科
Светлана Яковлевна Сурганова,斯維特蘭娜·蘇爾加諾娃
Абдурахман Геназович Авторханов,阿卜杜拉赫曼·阿夫托尔汉诺夫
Анатолий Леонидович Кот,阿纳托利·科特
Семён Давидович Аранович,謝米揚·阿拉諾維奇
Мрачный охотник,冷酷猎人
Юлий Соломонович Гусман,尤利·古斯曼
Михаил Юрьевич Зурабов,米哈伊爾·祖拉博夫
Борис Ефимов,鲍里斯·叶菲莫夫
Владислав Борисович Галкин,福拉迪斯拉夫·加尔金
Евгений Иванович Шапошников,叶夫根尼·伊万诺维奇·沙波什尼科夫
"Старшова, Екатерина Игоревна",叶卡捷琳娜·斯塔肖瓦
"Ерин, Виктор Фёдорович",維克托·葉林
Владимир Иванович Хотиненко,弗拉基米尔·霍季年科
Александр Эммануилович Нудельман,A·E·諾德爾曼
Владимир Иванович Долгих,弗拉基米尔·伊万诺维奇·多尔吉赫
"Кулахметов, Марат Минюрович",马拉特·库拉赫梅托夫
Егор Афанасьевич Борисов,葉戈爾·鮑里索夫
"Голицын, Георгий Сергеевич",格奥尔基·谢尔盖耶维奇·戈利岑
Надежда Никитична Михалкова,娜杰日达·米哈尔科娃
Марк Семёнович Солонин,马克·索洛宁
"Кренделёв, Вячеслав Николаевич",弗亞切斯拉夫‧克連戴爾約夫
"Тюрин, Михаил Владиславович",米哈伊尔·秋林
Витас,维塔斯
Григорий Яковлевич Бакланов,格里高利·雅可夫列维奇·巴克拉诺夫
Алексей Алексеевич Ерёменко,阿列克谢·叶廖缅科
"Михальчук, Илья Филиппович",伊利亚·菲利波诺维奇·米哈利丘克
Валентин Владимирович Филатов,華倫汀‧費拉托夫
"Алексеев, Виктор Петрович",维克托·彼得罗维奇·阿列克谢耶夫
Виктор Михайлович Зимин,维克托·米哈伊洛维奇·济明
Ляйсан Альбертовна Утяшева,利亚桑·乌蒂亚谢娃
Фарход Саиджонович Васиев,法尔霍德·瓦谢耶夫
"Хусаинов, Галимзян Салихович",胡塞諾夫
"Линде, Андрей Дмитриевич",安德烈·林德
Александр Евгеньевич Бовин,亚历山大·叶夫根尼耶维奇·鲍文
"Кесарев, Владимир Петрович",弗拉基米尔·凯萨列夫
Дмитрий Владимирович Гаев,德米特里·加耶夫
Александр Петрович Баркашов,亚历山大·巴尔卡绍夫
"Лукин, Владимир Петрович",弗拉基米尔·卢金
Алексей Викторович Иванов,阿列克谢·伊万诺夫
"Сутеев, Владимир Григорьевич",弗拉基米尔·苏捷耶夫
Игорь Борисович Скляр,伊戈尔·斯克利亚尔
Анатолий Кузнецов,阿纳托利·鲍里索维奇·库兹涅佐夫
Сергей Каюмович Шакуров,谢尔盖·沙库洛夫
Андрей Краско,安德烈·克拉斯科
Александра Евгеньевна Яковлева,亚历山德拉·雅科夫列娃
Михаил Евгеньевич Пореченков,米哈伊尔·波列琴科夫
Сергей Николаевич Новицкий,诺维斯基
Владимир Петрович Евтушенков,弗拉基米尔·彼得罗维奇·叶夫图申科夫
Пётр Олегович Авен,彼得·奥列格维奇·埃文
Евгений Дога,叶夫根尼·德米特里耶维奇·朵加
Александр Шалвович Пороховщиков,亚历山大·波罗霍夫什奇科夫
Алексей Иванович Булдаков,阿列克斯·布尔达科夫
Олег Андреевич Анофриев,奧列格·阿諾弗里耶夫
Валентин Иванович Афонин,瓦伦丁·阿福宁
Николай Иванович Рыжков,尼古拉·伊万诺维奇·雷日科夫
Борис Ефимович Немцов,鲍里斯·涅姆佐夫
"Овсянников, Олег Владимирович",奥列格·奥维斯亚尼科夫
"Сердюков, Валерий Павлович",瓦列里·帕夫洛维奇·谢尔久科夫
Вячеслав Михайлович Котёночкин,维亚切斯拉夫·米哈伊洛维奇·科琼诺奇金
Рудольф Борисович Баршай,鲁道夫·鲍里索维奇·巴尔沙伊
Александр Александрович Серебров,亞歷山大·謝列布羅夫
"Куницын, Игорь Константинович",伊戈爾·庫尼岑
Давид Сагитович Белявский,大衛·貝里亞夫斯奇
"Сорокин, Алексей Иванович",阿列克谢·伊万诺维奇·索罗金
Дмитрий Олегович Яковенко,德米特里·雅科文科
Георгий Тимофеевич Береговой,乔治·贝雷戈瓦
Юрий Ильич Скуратов,尤里·伊里奇·斯库拉托夫
Тихон Николаевич Хренников,吉洪·尼古拉耶维奇·赫连尼科夫
Георгий Александрович Балл,喬治·亞歷山德羅維奇·波
Анна Ивановна Щетинина,安娜·伊萬諾夫娜·謝季寧娜
Анна Леонидовна Ковальчук,安娜·科瓦利丘克
Василий Пичул,瓦希里·皮楚爾
"Смирнов, Александр Викторович",亞歷山大斯米爾諾夫
Минтимер Шарипович Шаймиев,明季梅尔·沙里波维奇·沙伊米耶夫
Лерика,莱里卡
"Соловцов, Николай Евгеньевич",尼古拉·索洛夫佐夫
Максим Концевич,马克西姆·孔采维奇
"Козин, Виктор Михайлович",维克托尔·科津
Александра Вячеславовна Пацкевич,阿列克桑德拉·帕茨克维奇
"Чичерин, Никита Геннадьевич",切卓林
Меседа Абдулларисовна Багаудинова,梅塞达·贝戈迪诺瓦
"Чижов, Алексей Рудольфович",阿列克谢·鲁道福维奇·奇若夫
Олег Дмитриевич Бакланов,奥列格·德米特里耶维奇·巴克拉诺夫
Эммануэль Вениаминович Брагинский,埃米尔·布拉金斯基
Ахсарбек Хаджимурзаевич Галазов,阿赫萨尔别克·哈吉穆尔扎耶维奇·加拉佐夫
"Юшкевич, Адольф Павлович",A.П. 尤什克维奇
Анатолий Николаевич Байдачный,阿纳托利·拜达奇尼
Геннадий Иванович Падалка,根納季·帕達爾卡
Егор Летов,葉戈爾·萊托夫
Алан Маратович Гатагов,加泰高夫
Лариса Иосифовна Богораз,拉里莎·波哥拉茲
"Таджуддин, Талгат Сафич",塔加特·塔祖丁
Михаил Петрович Алёшин,米哈伊尔·阿列申
Геннадий Эдуардович Бурбулис,根纳季·布尔布利斯
Александра Крунич,雅歷珊查·古努尼克
"Линецкая, Евгения Симоновна",叶夫根尼亚·里内斯卡娅
Николай Максимович Цискаридзе,尼古拉·齊斯卡里澤
Игорь Крутой,伊戈尔·克鲁托伊
Курбан Бекиевич Бердыев,古尔班·贝尔迪耶夫
Сергей Михайлович Миронов,谢尔盖·米罗诺夫
Альберт Михайлович Макашов,阿尔伯特·马卡绍夫
Валдис Эйженович Пельш,瓦尔迪斯·艾热诺维奇·佩尔什
Эдмонд Кеосаян,埃德蒙·凯赛恩
Александр Семёнович Феклисов,亚历山大·费克利索夫
Даниил Олегович Трифонов,丹尼爾·特里福諾夫
Владимир Михайлович Филиппов,弗拉基米尔·菲利波夫
Вера Викторовна Красова,薇拉·克拉索娃
Лев Константинович Дуров,列夫·杜羅夫
"Концедалов, Роман Игоревич",羅曼‧康瑟達羅夫
Никита Сергеевич Андреев,安德維
Леонид Иванович Седов,李奥尼德·赛德伍
Андрей Николаевич Тихонов,安德烈·尼古拉耶维奇·吉洪诺夫
Лолита Милявская,洛莉塔·米亚维斯卡亚
"Ярбусова, Франческа Альфредовна","雅布索夫 ,"
"Норштейн, Юрий Борисович",尤里·諾里斯金
"Мельтюхов, Михаил Иванович",米哈伊爾·梅切科夫
"Коржаков, Александр Васильевич",亚历山大·科扎科夫
Игорь Леонидович Кириллов,伊戈尔·列昂尼多维奇·基里洛夫
Лев Александрович Кулиджанов,列夫·庫利扎諾夫
Виктор Павлович Баранников,维克托·帕夫洛维奇·巴兰尼科夫
Валерий Тодоровский,瓦列里·托多洛夫斯基
Гавриил Абрамович Илизаров,加夫里尔·伊里扎洛夫
Григорий Алексеевич Рапота,格里戈里·拉波塔
Александр Евгеньевич Лебедев,亚历山大·列别杰夫
Виталий Дуркин,维塔利·杜尔金
Александр Олегович Каун,萨沙·考恩
"Халилов, Раппани Абдуллаевич",拉帕尼·哈利洛夫
Юлия Дмитриевна Чичерина,尤利婭·奇切里納
Вячеслав Геннадьевич Буцаев,維亞切斯拉夫·布沙耶夫
Дмитрий Вячеславович Лоськов,路斯高夫
Григорий Исаакович Баренблатт,格里戈里·巴倫布拉特
"Дмитриев, Александр Сергеевич",亚历山大·德米特里耶夫
"Михалёв, Илья Русланович",伊尔亚·米哈廖夫
Константин Иванович Кобец,康斯坦丁·科別茨
"Королёв, Александр Иванович",亚历山大·伊万诺维奇·科罗廖夫
"Маисурадзе, Нодари Отариевич",諾達利·麥蘇拉澤
"Смирнов, Дмитрий Александрович",德米特里·亚历山德罗维奇·斯米尔诺夫
"Сквернюк, Алексей Вячеславович",亞列克謝‧斯奇維爾紐克
Николай Михайлович Афанасьев,尼古拉·M·西耶夫
Егор Вадимович Бероев,伊戈尔·弗拉基米罗维奇·别罗耶夫
Владимир Иванович Мартынов,弗拉基米爾·馬丁諾夫
"Кононенко, Олег Дмитриевич",奥列格·科诺年科
"Уфимцев, Пётр Яковлевич",彼得·乌菲莫切夫
"Головкин, Сергей Александрович",谢尔盖·戈洛夫金
Станислав Юрьевич Маркелов,斯坦尼斯拉夫·马科洛夫
"Купченко, Ирина Петровна",伊琳娜·库普琴科
"Белавин, Александр Абрамович",亚历山大·别拉温
Ольга Голованова,奥尔佳·阿尔汉格尔斯卡亚
"Гиря, Ольга Александровна",奥尔加·吉尔娅
Марина Деникина,瑪利亞·鄧尼金娜
"Жилинский, Дмитрий Дмитриевич",德米特里·日林斯基
Юлия Викторовна Снигирь,尤利娅·斯尼吉尔
"Городецкий, Владимир Филиппович",弗拉基米尔·菲利波维奇·戈罗杰茨基
Анатолий Александрович Вассерман,阿纳托利·瓦瑟曼
Махмут Ахметович Гареев,马赫穆特·艾哈迈托维奇·加列耶夫
Александр Глебович Невзоров,亚历山大·涅夫佐罗夫
