黄现璠,黄現璠
张经武,張経武
常昊,常昊
肇俊哲,肇俊哲
黄博文,黄博文
曲波·(足球运动员),曲波・(サッカー選手)
李霄鹏,李霄鵬
徐云龙,徐雲龍
池莉,池莉
程月磊,程月磊
楚金玲,楚金玲
林莉·(游泳運動員),林莉・(競泳選手)
韩晓鹏,韓暁鵬
隋寶庫,隋宝庫
多杰才旦,ドルジェ・ツェプテン
张伯达,張伯達
王震,王震
孙悦·(篮球运动员),孫悦・(バスケットボール)
蒿俊闵,蒿俊閔
柳传志,柳傳志
湯鎮業,湯鎮業
胡耀宇,胡耀宇
胡锡进,胡錫進
毛剑卿,毛剣卿
庹震,庹震
撒贝宁,撒貝寧
盛泽田,盛沢田
曾金蓮,曾金蓮
黄鸣,黄鳴
黄宏·(演员),黄宏
王薔,王薔
蒋勤勤,蔣勤勤
劉霞·(作家),劉霞・(作家)
刘长春,劉長春
阿沛·阿旺晋美,ンガプー・ンガワン・ジクメ
谢赫·(中国),謝赫・(囲碁)
杨振铎,楊振鐸
何勇·(1940年),何勇
卫留成,衛留成
于汉超,于漢超
蔡力,蔡力
马朝旭,馬朝旭
徐守盛,徐守盛
許紹雄,ホイ・シウホン
袁贵仁,袁貴仁
方滨兴,方浜興
杨成武,楊成武
陈耀烨,陳耀燁
刁亦男,ディアオ・イーナン
姜翠华,姜翠華
谌容,諶容
潘庆林,潘慶林
舒婷,舒婷
李道豫,李道豫
刘亚洲,劉亜洲
张建红,張建紅
沈钧儒,沈鈞儒
王国生·(上将),王国生・(軍人)
杨珺菁,楊珺菁
焦国标,焦国標
章沁生,章沁生
檀啸,檀嘯
洪磊,洪磊
童世平,童世平
孫蔚如,孫蔚如
席振峰,席振峰
黄炎培,黄炎培
金山·(演员),金山・(俳優)
黄兴国,黄興国
王莹·(电影演员),王瑩・(女優)
九零后,90後
竺苗龙,竺苗龍
侯咏,侯咏
王喜斌,王喜斌
江維杰,江維傑
赵克石,趙克石
于仁泰,ロニー・ユー
林峯,レイモンド・ラム
马天宇,馬天宇
朱哲琴,ダダワ
赵忠尧,趙忠堯
李璨琛,サム・リー
許晴,許晴
唐琳,唐琳
陳雅倫,エレン・チャン
何厚鏵,何厚鏵
史冬鹏,史冬鵬
蔡名照,蔡名照
于學忠,于学忠
蔡泽林,蔡澤林
蔡明紹,マシュー・チャドウィック
颜骏凌,顔駿凌
秦晖,秦暉
金韫颖,愛新覚羅韞穎
王翀·(導演),オウ・チュウ
李子君,李子君
于建嵘,于建嶸
孙其昌,孫其昌
张云逸,張雲逸
辛沪光,辛滬光
沈洋,シェン・ヤン
赵九章,趙九章
马俊仁,馬俊仁
梅婷,梅婷
谢朝平,謝朝平
陳紹寬,陳紹寛
余漢謀,余漢謀
朱良才,朱良才
岳開先,岳開先
萧劲光,蕭勁光
周学昌,周学昌
湯良禮,湯良礼
于芷山,于芷山
缪森,繆森
孙震·(中华民国将领),孫震
徐永昌,徐永昌
李书城,李書城
苏耀国,蘇耀国
張燕卿,張燕卿
阮振铎,阮振鐸
李喆·(围棋棋手),李喆
叶选平,葉選平
洪水·(军事将领),グエン・ソン
周韦彤,周韋彤
梅兰芳,梅蘭芳
吴天明,呉天明
后羿·(神话人物),羿
樊麾,樊麾
路晨,路晨
李玲·(撑竿跳高运动员),李玲・(棒高跳)
尧乐博士,ユルバース・カーン
袁华,袁華
程小東,チン・シウトン
田壮壮,田壮壮
古天樂,ルイス・クー
田亮,田亮
绿川英子,長谷川テル
佟健,佟健
吴征镒,呉征鎰
张国焘,張国燾
程恩富,程恩富
安替,安替
何琢言,何琢言
残雪,残雪・(作家)
程开甲,程開甲
多吉扎西,多吉扎西
劉家輝,リュー・チャーフィー
杨超声,楊超声
卡楚米,カツニ
崔健,崔健
毓嶦,愛新覚羅毓セン
苏炳添,蘇炳添
蔣婷婷,蔣婷婷
葉偉信,ウィルソン・イップ
赵祖康,趙祖康
蔣文文,蔣文文
孙耀庭,孫耀庭
許冠傑,サミュエル・ホイ
康生,康生
孙锐,孫鋭
張伯苓,張伯苓
唐莉,唐莉
郝帅,郝帥
盛光祖,盛光祖
田沅,田原・(女優)
林家棟,林家棟
孙来燕,孫来燕
孔泉,孔泉
高凤莲,高鳳蓮
曹宪明,曹憲明
廖锡龙,廖錫竜
曹谁,曹誰
尤勇智,尤勇
周冬雨,周冬雨
巴森,バーサンジャブ
夏德仁,夏徳仁
邵兵,邵兵
鄭融,ステファニー・チェン
周柏豪,チャウ・パッホウ
张维娜,張維娜
王磊·(围棋棋手),王磊・(囲碁)
蔡約翰,ジョン・サイズ
吳日言,ヤン・ン
林子聰,林子聰
王靖超,王靖超
金立群,金立群
金毓嶂,金毓嶂
江铸久,江鋳久
歐陽萬成,ジミー・O・ヤン
绿坝娘,グリーンダムたん
叶培建,葉培建
薛之谦,薛之謙
谭政,譚政
姜昆,姜昆
李忠云·(柔道运动员),李忠雲
徐绍史,徐紹史
张迪·(柔道运动员),張迪
張薇薇·(1977年),Vivibear
張叔平·(電影人),張叔平
蔣光鼐,蔣光鼐
郑振铎,鄭振鐸
谷祖琳,ジョー・コク
中村祐人,中村祐人
翁文灝,翁文灝
楊森·(軍閥),楊森・(四川)
刘星·(围棋棋手),劉星
宋佳,宋佳・(1980年生)
胡兰成,胡蘭成
張婉婷,メイベル・チャン
周睿羊,周睿羊
马欢欢,馬歓歓
何金,何金
胡舒立,胡舒立
哈達·(1955年),ハダ
吉田海偉,吉田海偉
倪妮,倪妮
唐鵬,唐鵬
邱峻,邱峻
马可·(音乐家),馬可
戚发轫,戚発軔
廖承志,廖承志
蔡赟,蔡贇
刘云山,劉雲山
陆俊,陸俊
贺绿汀,賀緑汀
陈全国,陳全国
刘国梁,劉国梁
薄一波,薄一波
劉伯明·(航天員),劉伯明
冯友兰,馮友蘭
陈云,陳雲
戴秉国,戴秉国
袁隆平,袁隆平
韦国清,韋国清
胡杰·(导演),胡傑
胡凱,胡凱
惠若琪,恵若琪
胡歌,胡歌
尉健行,尉健行
阎森,閻森
彭荃,彭筌
嚴浩,厳浩
王偉·(棒球運動員),王偉・(野球)
苍国来荣吉,蒼国来栄吉
王晨·(花样滑冰运动员),王晨・(フィギュアスケート選手)
王檄,王檄
于小洋,于小洋
王建民·(上将),王建民・(上将)
黎瑞恩,ヴィヴィアン・ライ
黃寬·(醫學家),黄寛
劉以達,劉以達
吳樾·(演員),呉樾・(俳優)
邵炜刚,邵煒剛
韩雪,韓雪
江永华,江永華
胡威威,胡威威
廖力生,廖力生
宦乡,宦郷
贾鹏芳,賈鵬芳
劳义,労義
方镜淇,方鏡淇
高麗虹,ジョイス・コウ
麥浚龍,麦浚竜
陆思敬,ジン・ルージ
乔清晨,喬清晨
江洪杰,江洪杰
李云迪,ユンディ・リ
北岛·(诗人),北島・(詩人)
沙孟海,沙孟海
石堅,シー・キエン
马云,馬雲
杨幂,楊冪
沈从文,沈従文
錢鍾書,銭鍾書
孟学农,孟学農
邓超,鄧超
黃日華,フェリックス・ウォン
曾江,ケネス・ツァン
倍賞千惠子,倍賞千恵子
關菊英,スザンナ・クァン
薛明·(排球运动员),薛明
香港人,香港人
周苏红,周蘇紅
霍英東,霍英東
梁相,梁相
文詠珊,ジャニス・マン
朱践耳,朱践耳
贾乃亮,賈乃亮
蒋方舟,蔣方舟
索达吉堪布,ケンポ・ソダルジェ
俞孔坚,兪孔堅
地下浩多,地下浩多
韓釐王,釐王・(韓)
姜至鹏,姜至鵬
苑瓊丹,キングダム・ユン
李长春,李長春
房祖名,ジェイシー・チャン
孙祥,孫祥
姬鹏飞,姫鵬飛
谢晋,謝晋
张东荪,張東蓀
彭勃·(1981年),彭勃
张贤亮,張賢亮
吕正操,呂正操
李德生·(1916年),李徳生
董驃,トン・ピョウ
唐国强,唐国強
阿部力,阿部力
王蒙·(作家),王蒙・(小説家)
艾達·王,エイダ・ウォン
李雪尧,李雪尭
楼云,楼雲
衛詩雅,ミシェール・ワイ
范忠良,范忠良
蕭正楠,エドウィン・シウ
劉孝生,劉孝生
傅穎,テレサ・フー
梁漢文,エドモンド・リョン
胡春华,胡春華
梁漱溟,梁漱溟
努尔·白克力,ヌル・ベクリ
古力,古力
麥寶嬋,麦宝嬋
李敏·(1936年),李敏
陆定一,陸定一
凯尔·安德森,カイル・アンダーソン
秦昊,秦昊
秦嵐,秦嵐
乔振宇,喬振宇
浦志强,浦志強
钱宇平,銭宇平
强卫,強衛
齐佳,斉佳
郎營來,郎営来
马蕴雯,馬蘊雯
张莉·(田径运动员),張莉
梁羽生,梁羽生
华罗庚,華羅庚
周有光,周有光
计成·(自行车运动员),ジ・チェン
葛然朗巴·平措汪杰,プンツォク・ワンギャル
刘华清,劉華清
黄珊汕,黄珊汕
董斌,董斌
董枝明,董枝明
丁石孙,丁石孫
周璇,周璇
陸錫麟,ケイ・ルーク
魏巍·(作家),魏巍
刘慈欣,劉慈欣
胡彥斌,胡彦斌
胡启立,胡啓立
霍达·(作家),霍達
凌力,凌力
周克芹,周克芹
王旭·(摔跤運動員),王旭・(レスリング選手)
丁关根,丁関根
胡軍,胡軍
鄧健泓,パトリック・タン
唯色,ツェリン・オーセル
傅聰,フー・ツォン
于幼军,于幼軍
秦基伟,秦基偉
鄒文懷,レイモンド・チョウ
關楚耀,ケルビン・クァン
于丹,于丹
孙红雷,孫紅雷
區文詩,アンジェラ・アウ
區瑞強,アルバート・アウ
艾敬,艾敬
赛福鼎·艾则孜,セイプディン・エズィズィ
肖钢,肖鋼
薛凱琪,フィオナ・シット
周笔畅,周筆暢
汪道涵,汪道涵
黎锦熙,黎錦熙
李佳祺,李佳祺
袁珂,袁珂
谭元元,ヤンヤン・タン
袁伟时,袁偉時
刘晓江,劉暁江
陈忠实,陳忠実
阿不来提·阿不都热西提,アブラテ・アブドルシテ
夏煊泽,夏煊澤
路遥,路遙
李方桂,李方桂
王丹,王丹
吾爾開希·多萊特,ウーアルカイシ
裘小龙,ジョー・シャーロン
刘文金,劉文金
柴玲,柴玲
王洛宾,王洛賓
李从军,李従軍
李博·(植物生态学家),李博・(植物学者)
顧冠忠,顧冠忠
邱少云,邱少雲
李运秋,李運秋
欧阳予倩,欧陽予倩
韋家輝,ワイ・カーファイ
郑律成,鄭律成
夏衍,夏衍
姚依林,姚依林
靳雲鵬,靳雲鵬
宋平,宋平
汪东兴,汪東興
李德全,李徳全
高伯新,リチャード・ギブソン
里卡多·高拉特,リカルド・グラール・ペレイラ
黃百鳴,レイモンド・ウォン
任航,任航
任继愈,任継愈
金博洋,金博洋
李振輝,李振輝
秦少波,秦少波
杨旭,楊旭
白光·(影星),白光・(女優)
竇驍,ショーン・ドウ
查阜西,査阜西
沈静思,沈静思
徐刚·(自行车运动员),シュー・ガン
华春莹,華春瑩
李富春,李富春
王治郅,王治郅
曾國祥,デレク・ツァン
宋楠,宋楠
向巴平措,チャンパ・プンツォー
乔石,喬石
徐才厚,徐才厚
李勇·(1951年),李勇・(1951年生の政治家)
沈祖伦,沈祖倫
李雪健,李雪健
李思忠·(鱼类学家),李思忠・(魚類学者)
张伏佳,張伏佳
張成林,張成林
金鲁贤,金魯賢
郭伯雄,郭伯雄
任達華,サイモン・ヤム
薛玉洋,薛玉洋
鄧紫棋,鄧紫棋
許冠文,マイケル・ホイ
闫涵,閻涵
喬宏,ロイ・チャオ
魏秋月,魏秋月
列确,レーチョク
元奎,ユン・ケイ
郭敬明,郭敬明
陈竺,陳竺
黄奕,黄奕
傅满洲,フー・マンチュー
陈舜臣,陳舜臣
黎鴻昇,黎鴻昇
孟建柱,孟建柱
许海峰,許海峰
郭金龙,郭金龍
袁詠儀,アニタ・ユン
李月明,李月明
赵旭日,趙旭日
郭跃华,郭躍華
李振声·(小麦遗传育种学家),李振声
梁实秋,梁実秋
李志堅·(電子學家),李志堅
關淑怡,シャーリー・クァン
胡秀英,胡秀英
张孝文,張孝文
张晓彬·(1985年),張暁彬
张萍·(排球运动员),張萍
斯琴高娃,スーチン・ガオワー
李濟深,李済深
陈望道,陳望道
夏雨·(中国大陆),夏雨
蔡廷锴,蔡廷鍇
刘晓庆,劉暁慶
陈赓,陳賡
王若望,王若望
张万年,張万年
章士釗,章士釗
韩鹏,韓鵬
刘淇,劉淇
熊向晖,熊向暉
张承志,張承志
顧嘉煇,ジョセフ・クー
李小鹏·(政治人物),李小鵬・(政治家)
林夕,林夕
王树声,王樹声
鄭中基,ロナルド・チェン
刘诗昆,劉詩昆
洪学智,洪学智
李守信·(1892年),李守信
趙學而,ボンディー・チュウ
刘心武,劉心武
吴耀宗,呉耀宗
吳雨霏,キャリー・ン
唐生智,唐生智
陳百祥,ナタリス・チャン
张湘祥,張湘祥
李宇春,李宇春
劉峙,劉峙
程潛,程潜
王明,王明
楊鍾健,楊鍾健
孫連仲,孫連仲
陳潔如,陳潔如
周英华,マイケル・チャウ
伍法岳,伍法岳
邵美琪,マギー・シュウ
张玉宁·(1977年),張玉寧・(1977年生のサッカー選手)
张子谦,張子謙
张育林·(解放军),張育林
张召忠,張召忠
黃翠珊,スーザン・ウォン
张伊伊,張伊伊
张稀哲,張稀哲
荣毅仁,栄毅仁
吴阶平,呉階平
林虎,林虎
吕思清,呂思清
譚啟龍,譚啓竜
赵丽蓉,趙麗蓉
赵明剑,趙明剣
譚海,譚海・(サッカー審判員)
趙樸初,趙樸初
赵忠祥,趙忠祥
羅康瑞,ビンセント・ロウ
鄧錫侯,鄧錫侯
黃紹竑,黄紹竑
李蕙敏,アマンダ・リー
梁家輝,レオン・カーフェイ
李日朗,ドン・リー
泳兒,泳児
熊十力,熊十力
林立果,林立果
李锐·(小说家),李鋭・(小説家)
张太雷,張太雷
张雨绮,キティ・チャン
泰迪羅賓,テディ・ロビン・クァン
劉浩龍,ウィルフレッド・ラウ
孙旭,孫旭
齐桥桥,斉橋橋
刘东生·(1917年),劉東生
江平·(学者),江平
林丹,林丹
江嘉良,江加良
彭清华,彭清華
郑龙,鄭龍
钟文靖,鍾文靖
郑爽,鄭爽
周贺玺,周賀璽
周杰,周杰
周汝昌,周汝昌
周克華,周克華
周伟·(运动员),周偉
廖國文,廖國文
唐君毅,唐君毅
狄龙,ティ・ロン
黎智英,黎智英
周曉蘭,周暁蘭
朱德熙,朱徳熙
许家印,許家印
朱大卫,朱大衛
陳偉霆,陳偉霆
李立三,李立三
林伯渠,林伯渠
麥子豪,デニス・マック
贺龙,賀竜
梅汝璈,梅汝璈
于斌,于斌
鄭秀文,サミー・チェン
罗瑞卿,羅瑞卿
陈炳德,陳炳徳
龐炳勛,龐炳勲
陈其钢,陳其鋼
白冰·(演员),白冰
六小龄童,六小齢童
高玉生,高玉生
朱旭·(演员),朱旭
庄佳杰,庄佳傑
宗璞,宗璞
陳木勝,ベニー・チャン
李成江,李成江
黄奕中,黄奕中
刘文辉,劉文輝
徐向前,徐向前
陆志韦,陸志韋
何香凝,何香凝
李典,李典
李志清·(香港),李志清
刘小光,劉小光
陈慕华,陳慕華
張兆輝,チョン・シウファイ
倪岳峰,倪岳峰
蒋伟烈,蔣偉烈
黄坤明,黄坤明
蓝天立,藍天立
胡和平,胡和平
郝鹏·(1960年),郝鵬・(中華人民共和国)
張耀揚,ロイ・チョン
刘伯承,劉伯承
聂荣臻,聶栄臻
朴文垚,朴文尭
王子平,王子平
赵洪祝,趙洪祝
管平湖,管平湖
蒋超良,蔣超良
李賽鳳,ムーン・リー
周士第,周士弟
董其武,董其武
黄晓明,黄暁明
唐嫣,ティファニー・タン
杨天娲,ティアンワ・ヤン
闫怀礼,閆懐礼
马德华,馬徳華
牛犇,牛犇
陳麗怡,陳麗怡
陳靜·(香港),ダダ・チャン
蒙曼,蒙曼
朱丽兰,朱麗蘭
谌贻琴,諶貽琴
申纪兰,申紀蘭
佟麗婭,トン・リーヤー
王羽,ジミー・ウォング
劉振忠,劉振忠
李玟,ココ・リー
王楠·(棒球運動員),王楠・(野球)
李常受,ウイットネス・リー
吳鎮宇,フランシス・ン
吴化文,呉化文
王刚·(足球运动员),王剛・(サッカー選手)
张琳芃,張琳芃
杜鵑·(模特兒),ドゥ・ジュアン
张烁,張爍
刘诗诗,劉詩詩
李锡铭,李錫銘
陈思诚,陳思誠
张也,張也
毛阿敏,毛阿敏
吕叔湘,呂叔湘
王宝强,王宝強
毛曉彤,毛暁彤
熱依扎·阿里木江,レイザ
何澤堯,何澤堯
吴桂贤,呉桂賢
刘维明·(政治人物),劉維明
孙志远,孫志遠
蒋南翔,蔣南翔
黎原,黎原
袁姗姗,袁姗姗
陳蕾,陳蕾
毕淑敏,畢淑敏
張璐·(翻譯),張璐
苗可秀,ノラ・ミャオ
王祖藍,王祖藍
曹大元,曹大元
林雪,林雪
黃伊汶,エンメ・ウォン
金毓黻,金毓黻
迟重瑞,遅重瑞
劳安,労安
张云川·(1946年),張雲川
李宏基·(主教),李宏基
林超賢,ダンテ・ラム
曹建明,曹建明
王一梅,王一梅
罗京,羅京
陈国令,陳国令
武大偉,武大偉
张瑞敏,張瑞敏
王毅,王毅
張家輝,ニック・チョン
高圆圆,高圓圓
李佳军,李佳軍
范漢傑,范漢傑
刘源,劉源
刘家义,劉家義
赵蕊蕊,趙蕊蕊
万学远,万学遠
古永鏘,古永鏘
李长才,李長才
吴双战,呉双戦
柁嘉熹,柁嘉熹
张毅·(1950年),張毅・(中華人民共和国の政治家)
张洁清,張潔清
李雷雷,李雷雷
姜瑜,姜瑜
李金羽,李金羽
高洪波·(足球运动员),高洪波
罗洗河,羅洗河
许光达,許光達
吕洪祥,呂洪祥
袁家骝,袁家騮
魏凤和,魏鳳和
王宏伟·(1969年),王宏偉
王军·(1941年),王軍・(実業家)
汪涵,汪涵
王健·(大提琴家),ジャン・ワン
王大雷,王大雷
梁詠琪,ジジ・リョン
李仁港,ダニエル・リー・(映画監督)
陈坤,陳坤
劉嘉玲,カリーナ・ラウ
徐特立,徐特立
朱厚泽,朱厚沢
铁瑛,鉄瑛
孙奇,孫奇・(政治家)
陳璧君,陳璧君
王海滨,王海濱
王镇,王鎮
陈祚·(游泳运动员),陳祚
陈果,フルーツ・チャン
林大輝,林大輝
李煥之,李煥之
鄭少秋,アダム・チェン
刘成军·(解放军),劉成軍
安树新,安樹新
李瑞环,李瑞環
宋任穷,宋任窮
陳倩揚,スカイ・チャン
王学圻,ワン・シュエチー
陳奕迅,イーソン・チャン
姜大衞,姜大衛
馬岳梁,馬岳梁
杜鸣心,杜鳴心
李沁,李沁
符浩,符浩
馬榮成,馬栄成
古力娜扎,グーリーナーザー
馬賢達,馬賢達
吕志武,呂志武
罗干,羅幹
张又侠,張又侠
王全安,ワン・チュアンアン
张淼·(自行车运动员),張淼
王亚平,王亜平
韩大辉,韓大輝
万茜,レジーナ・ワン
吕丽萍,呂麗萍
王文涛,王文濤
阮成发,阮成発
刘西元,劉西元
吴晗,呉晗
王义夫,王義夫
蔡培,蔡培
關錦鵬,スタンリー・クワン
刘宾雁,劉賓雁
叶永烈,葉永烈
穆罕默德·伊敏,ムハンマド・アミーン・ブグラ
穆青,穆青
江鸣久,江鳴久
刘鹤,劉鶴
金人庆,金人慶
陈丕显,陳丕顕
李讷,李訥
林妙可,林妙可
王晶,王晶・(映画監督)
劉青雲,ラウ・チンワン
金莎,金莎
朱德海,朱徳海
李德洙,李徳洙
張建宗,張建宗
毛致用,毛致用
李沛瑤,李沛瑶
陈求发,陳求発
南萍,南萍
江拥辉,江擁輝
方強,方強
雒树刚,雒樹剛
王宏坤,王宏坤
乙晓光,乙暁光
羅卓睿,マイケル・アンドリュー・ロー
程虹,程虹
杜景臣,杜景臣
徐洪猛,徐洪猛
王显波,王顕波
諸葛紫岐,諸葛紫岐
岑旭,岑旭
薛驹,薛駒
苏支前,蘇支前
李新良,李新良
刘毅·(1955年),劉毅・(軍人)
张展南,張展南
魏亮,魏亮
王教成,王教成
田中·(中将),田中・(中国軍人)
周本顺,周本順
许达哲,許達哲
朱福熙,朱福熙
郑卫平,鄭衛平
赵宗岐,趙宗岐
马兴瑞,馬興瑞
黄雅莉,黄雅莉
柳岩,柳岩
汤灿,湯燦
袁弘,袁弘
金海心,金海心
吴铁城,呉鉄城
劉家良,ラウ・カーリョン
郑汛,鄭汛
刘震云,劉震雲
陳國坤,陳國坤
马寅初,馬寅初
姜波·(足球运动员),姜波・(サッカー選手)
徐少华·(演员),徐少華
王美银,ワン・メイイン
王林·(足球运动员),王林・(サッカー選手)
张学铭,張学銘
沈怡·(政治人物),沈怡
孫越崎,孫越崎
李培基,李培基
許崇清,許崇清
賀耀組,賀耀組
錢大鈞,銭大鈞
黄新廷,黄新廷
杨虎,楊虎
陳明仁·(1903年),陳明仁
周钟岳,周鍾嶽
邵力子,邵力子
陈希同,陳希同
陳法拉,陳法拉
刘炜,劉煒
陶铸,陶鋳
惠英紅,恵英紅
吳孟達,ン・マンタ
许靖华,ケネス・シュー
高虎城,高虎城
杜恒岩,杜恒岩
刘福连,劉福連
杜金才,杜金才
王立群,王立群
陈希,陳希
王人美,王人美
谢觉哉,謝覚哉
趙南起,趙南起
巫丹,巫丹
吳景略,呉景略
吴楠·(花样滑冰运动员),呉楠
吴孟超,呉孟超
郑维山,鄭維山
吴文光·(导演),呉文光
梁兴初,梁興初
吴树根,呉樹根
罗青长,羅青長
徐光宪,徐光憲
熊飞·(足球运动员),熊飛
舒同,舒同
廖亦武,廖亦武
王耀武,王耀武
陈江华·(篮球运动员),陳江華
张丰毅,張豊毅
陈至立,陳至立
陳銘樞,陳銘枢
趙文卓,チウ・マンチェク
王胜俊,王勝俊
王刚·(全国政协前副主席),王剛・(政治家)
杜汶澤,チャップマン・トウ
英若诚,英若誠
黄圣依,黄聖依
唐国强·(1951年),唐国強・(外交官)
闵恩泽,閔恩沢
李家傑,李家傑
黄敬,兪啓威
彭桓武,彭桓武
吳光正,呉光正
王振义·(医学家),王振義
王竹溪,王竹溪
王忠诚,王忠誠
张研农,張研農
李国英·(1963年),李国英
孙志刚·(官员),孫志剛
韦永丽,韋永麗
秦刚,秦剛
严屹宽,厳屹寛
許淵冲,許淵冲
阎崇年,閻崇年
景甜,景甜
殷茵,殷茵
弋腾,弋騰
何立峰,何立峰
金壮龙,金壮竜
蔡英挺,蔡英挺
车俊,車俊
陈润儿,陳潤児
潘长江,潘長江
欧阳鲲鹏,欧陽鯤鵬
吴曦·(足球运动员),呉曦
王平·(1907年),王平・(上将)
王首道,王首道
何长工,何長工
龙潜·(1913年),竜潜
李永泰,李永泰
王登平,王登平
邱会作,邱会作
习明泽,習明沢
黎石秋,黎石秋
黎春秋,黎春秋
苏毅然,蘇毅然
谭平山,譚平山
彭述之,彭述之
高狄,高狄
駱俊,駱俊
陳云根,陳雲・(香港)
钱国梁,銭国梁
贾廷安,賈廷安
杨鼎新,楊鼎新
杨芳·(花样滑冰运动员),楊芳
谷牧,谷牧
阎明复,閻明復
于敏,于敏
于小雨,于小雨
俞平伯,兪平伯
杨至成,楊志成
楊錫蘭,楊錫蘭
杨永信,楊永信
罗援,羅援
叶选宁,葉選寧
刘精松,劉精松
刘粤军,劉粤軍
周鲠生,周鯁生
张学思,張学思
鄧力群,鄧力群
萧乾,蕭乾・(作家)
萧淑娴,蕭淑嫻
袁家军,袁家軍
徐粉林,徐粉林
孙建国·(海军),孫建国
刘振起,劉振起
咸辉,咸輝
李希,李希
韓敘,韓敘
谢娜,謝娜
曹火星,曹火星
景俊海,景俊海
蒋大为,蔣大為
敬一丹,敬一丹
柯蓝·(作家),柯藍
孔祥明,孔祥明
丁薛祥,丁薛祥
杜家毫,杜家毫
高景德,高景徳
张澜,張瀾
吕东,呂東
王新亭,王新亭
李偉光,李応章
何东昌,何東昌
麦家,麦家
鞠萍,鞠萍
姜斯宪,姜斯憲
纪连海,紀連海
蔣曉松,蔣暁松
裴怀亮,裴懐亮
邓华,鄧華
李天佑,李天佑
周桓,周桓
李丰平,李豊平
刘镇武,劉鎮武
李乾元,李乾元
侯树森,侯樹森
朱文泉,朱文泉
王克·(1931年),王克
李来柱,李来柱
贺炳炎,賀炳炎
李耀文,李耀文
张定发,張定発
胡彦林,胡彦林
宋普选,宋普選
萧华·(上将),蕭華
郭涛·(中将),郭涛・(中将)
苗华,苗華
金仁燮,金仁燮・(軍人)
芮杏文,芮杏文
江腾蛟,江騰蛟
陈文清,陳文清
唐军·(1962年),唐軍
刘昌毅,劉昌毅
周衣冰,周衣氷
唐韦星,唐韋星
刘菁,劉菁
周琦·(篮球运动员),周琦
周涛,周濤
苏士亮,蘇士亮
陈武·(1954年),陳武・(政治家)
张国清,張国清
张仕波,張仕波
徐一天,徐一天
沈金龙,沈金龍
張晉,マックス・チャン
朱启祯,朱啓禎
宋健,宋健
马原·(作家),馬原
王垚,王尭
莫怀戚,莫懐戚
華路雲,ローワン・ヴァーティ
李作成,李作成
王成斌,王成斌
王建民·(中将),王建民・(中将)
李凤洲,李鳳洲
谢家麟,謝家麟
艾力更·依明巴海,アルケン・イミルバキ
李洱,李洱
夏笳,夏笳
曹又尹,曹又尹
曹文轩,曹文軒
蔣欣,蔣欣
蔡明,蔡明
张铁生,張鉄生
成克杰,成克傑
孙可,孫可
李修平,李修平
廖国勋,廖国勛
杨伯峻,楊伯峻
雨僑,エヴァ・ユーキウ
李思思,李思思
许勤·(1961年),許勤
李锦斌,李錦斌
李靖飞,李靖飛
李梓萌,李梓萌
谢华安,謝華安
李兰娟,李蘭娟
王家楨·(外交),王家楨
劉永·(演員),トニー・リュウ
王恩哥,王恩哥
劉強東,劉強東
刘赐贵,劉賜貴
张璇·(围棋棋手),張璇
释传印,伝印
章立凡,章立凡
朱迅,朱迅
张亚东·(音乐人),張亜東
赵一德,趙一徳
程镕时,程鎔時
陈垣,陳垣
李代沫,李代沫
李小萌·(主持人),李小萌
梁晓声,梁暁声
連笑,連笑
李赫,李赫
丁聲樹,丁声樹
刘伟国,劉偉国
廖凡,廖凡
刘纯燕,劉純燕
劉剛·(中國民運人士),劉剛
石平·(评论家),石平・(評論家)
于梅玲,于梅玲
钟南山,鍾南山
赵晓岚·(学者),趙暁嵐
區諾軒,區諾軒
陈吉宁,陳吉寧
党毅飞,党毅飛
孟泰龄,孟泰齢
毛伟明,毛偉明
马瑞芳,馬瑞芳
张剑飞,張剣飛
张壮·(演员),張壮
叶笃正,葉篤正
张鑫森,張鑫森
张立·(围棋棋手),張立・(囲碁棋士)
张译,張譯
楼阳生,楼陽生
林苑,ジア・リン
林武·(1962年),林武・(政治家)
郎永淳,郎永淳
连岳,連岳
陆树铭,陸樹銘
賀一誠,賀一誠
丁愷蒂,ケディ
何思源,何思源
刘国中,劉国中
刘夫生,劉夫生
刘世振,劉世振
刘筠·(生理学家),劉筠
孙悦·(歌手),孫悦・(歌手)
师昌绪,師昌緒
蘇曉康,蘇暁康
沈傲君,沈傲君
单丹娜,単丹娜
韩栋,韓棟
罗常培,羅常培
郝平·(官员),郝平
葉渭渠,葉渭渠
周乃翔,周乃翔
陳啟宗,陳啓宗
吴恒权,呉恒権
陳家樂·(藝人),カルロス・チャン
陳嘉銳,陳嘉鋭
王娜·(排球运动员),王娜・(バレーボール)
柳雲龍,柳雲龍
柴璐,柴璐
梁伟棠,梁偉棠
郭志坚,郭志堅
鄭弘·(圍棋棋手),鄭弘・(囲碁棋士)
雷军,雷軍
刘思齐,劉思斉
曾庆存,曽慶存
王志安·(记者),王志安
李易峰,李易峰
闻世震,聞世震
李保田,李保田
杜润生,杜潤生
郭达,郭達
郦波,酈波
白百何,白百何
宝晓峰,宝暁峰
陈破空,陳破空
杨晖·(围棋棋手),楊暉
张文东,張文東
曹慶澤,曹慶澤
葉玉如,葉玉如
叶叔华,葉叔華
李谷一,李穀一
楊張新悅,ニコラ・チョン
曹星如,レックス・ツォ
陈文新,陳文新
