Douglas Adams,더글러스 애덤스
Daley Thompson,데일리 톰프슨
John Sulston,존 설스턴
Pamela Adlon,패멀라 애들론
Jean Marsh,진 마시
"Jonathan Sacks, Baron Sacks",조너선 색스
Mick Taylor,믹 테일러
Frederick Delius,프레더릭 딜리어스
Mark Strong,마크 스트롱
Jonathan Pryce,조너선 프라이스
Bill Bruford,빌 브루포드
Amira Casar,아미라 카사르
Rob Halford,롭 핼퍼드
Robert Wyatt,로버트 와이어트
Claude Auchinleck,클로드 오친렉
Steve Howe,스티브 하우
Edward Heath,에드워드 히스
Harold Wilson,해럴드 윌슨
Stuart Sutcliffe,스튜어트 섯클리프
Alec Douglas-Home,앨릭 더글러스흄
Jane Asher,제인 애셔
Megan Taylor,메건 테일러
Gina Bellman,지나 벨먼
Janick Gers,야닉 거스
Ione Skye,아이오니 스카이
Norman Haworth,노먼 하워스
Edgar Wallace,에드거 월리스
Davy Jones (musician),데이비 존스 (음악가)
Harriet Walter,해리엇 월터
Janet Montgomery,재닛 몽고메리
Georgina Leonidas,조지나 레오니다스
Alan Parker,앨런 파커
Prunella Scales,프루넬라 스케일스
Michael Owen,마이클 오언
John Bowlby,존 볼비
M.I.A. (rapper),M.I.A.
Tim Roth,팀 로스
Boy George,보이 조지
David Yates,데이비드 예이츠
Sam Hutchinson,샘 허친슨
Basil Rathbone,배질 래스본
Nick Hornby,닉 혼비
Dominic West,도미닉 웨스트
David McCallum,데이비드 매컬럼
Harold Macmillan,해럴드 맥밀런
Anthony Eden,앤서니 이든
John Gielgud,존 길구드
Isaiah Berlin,아이제이아 벌린
Brian Jones,브라이언 존스
Helen Baxendale,헬렌 백슨데일
"Edwina Mountbatten, Countess Mountbatten of Burma",마운트배튼오브버마 백작부인 에드위나 마운트배튼
Janet Suzman,자넷 수즈먼
Stephen Rea,스티븐 레이
Arthur Cecil Pigou,아서 세실 피구
Aurel Stein,아우렐 스타인
Shola Ameobi,숄라 아메오비
Denholm Elliott,덴홈 엘리엇
Clement Attlee,클레멘트 애틀리
Ian Gillan,이언 길런
Steve Valentine,스티브 밸런타인
Heather Angel (actress),헤더 안젤
Matt Busby,맷 버즈비
Diana Wynyard,다이애나 윈야드
Celia Johnson,실리아 존슨
Damon Albarn,데이먼 알반
Jack Butland,잭 버틀런드
Trevor Horn,트레버 혼
Paul Rodgers,폴 로저스
Colin Kazim-Richards,콜린 카즘리처즈
Peter Frampton,피터 프램프턴
Dominic Purcell,도미닉 퍼셀
Alan Moore,앨런 무어
Vernon Dobtcheff,베르농 도브체프
Joe Allen,조 앨런
Vivien Leigh,비비언 리
Hugh Jackman,휴 잭맨
Robbie Fowler,로비 파울러
"Phil Jones (footballer, born 1992)",필 존스
Wayne Bridge,웨인 브리지
Angela Lansbury,앤절라 랜즈베리
George Michael,조지 마이클
Robert Webb,로버트 웨브
Harold Scott MacDonald Coxeter,해럴드 스콧 맥도널드 콕서터
Luke Treadaway,루크 트레더웨이
Olaf Stapledon,올라프 스테이플던
Tom Simpson,톰 심프슨
Joseph Morgan (actor),조지프 모건
Ian Smith,이언 스미스
Jamie Campbell Bower,제이미 캠벨 바워
Richard Adams,리처드 애덤스
Elvis Costello,엘비스 코스텔로
A. A. Milne,A. A. 밀른
Richard Williamson (bishop),리처드 윌리엄슨
Taio Cruz,타이오 크루즈
Gilbert Ryle,길버트 라일
Tara Fitzgerald,타라 피츠제럴드
Ted Hughes,테드 휴스
Liz Truss,리즈 트러스
Andy Serkis,앤디 서키스
Jason Orange,제이슨 오렌지
Tracey Ullman,트레이시 울먼
Mark Owen,마크 오언
Van Morrison,밴 모리슨
Norman Angell,노먼 에인절
"Andrew Adonis, Baron Adonis",앤드류 애도니스
Bill Shankly,빌 섕클리
Jodie Marsh,조디 마시
Juliet Stevenson,줄리엣 스티븐슨
Paul Di'Anno,폴 디애노
"Henry Petty-Fitzmaurice, 5th Marquess of Lansdowne",제5대 랜즈다운 후작 헨리 페티피츠모리스
Hugh Gaitskell,휴 게이츠컬
Judd Trump,저드 트럼프
W. Arthur Lewis,아서 루이스
Stephen Daldry,스티븐 돌드리
John Gribbin,존 그리빈
Howard Donald,하워드 도널드
Pixie Lott,픽시 로트
Bill Nighy,빌 나이 (배우)
Robert Carlyle,로버트 칼라일
Ledley King,레들리 킹
Pete Best,피트 베스트
Malcolm Arnold,말콤 아놀드
John Powell (film composer),존 파월 (작곡가)
Vidal Sassoon,비달 사순
Oliver Reed,올리버 리드
James Blunt,제임스 블런트
John Bodkin Adams,존 보드킨 애덤스
Lawrence Bragg,윌리엄 로런스 브래그
Mischa Barton,미샤 바턴
Brian Clough,브라이언 클러프
P. G. Wodehouse,P. G. 우드하우스
David Healy (footballer),데이비드 힐리 (축구 선수)
Tricky (rapper),트리키
John Galliano,존 갈리아노
Justine Waddell,저스틴 와델
Elizabeth Spriggs,엘리자베스 스프리그스
Colin Morgan,콜린 모건
John Wyndham,존 윈덤
Michael Nyman,마이클 나이먼
Martin Evans,마틴 에번스
Mark Cavendish,마크 캐번디시
William Wilberforce,윌리엄 윌버포스
Alexander McQueen,알렉산더 매퀸
Ian Curtis,이언 커티스
Ralph Vaughan Williams,레이프 본 윌리엄스
Julia Sawalha,줄리아 사왈라
Aubrey Beardsley,오브리 비어즐리
Naomi Watts,나오미 왓츠
Gerard Manley Hopkins,제라드 맨리 홉킨스
Thomas Hardy,토머스 하디
John Logie Baird,존 로지 베어드
Tom Hardy,톰 하디
Peter D. Mitchell,피터 D. 미첼
Ozzy Osbourne,오지 오스본
Jade Jones (taekwondo),제이드 존스
Glynis Johns,글리니스 존스
Jack Charlton,잭 찰턴
Fabrice Muamba,파브리스 무암바
Jack Bruce,잭 브루스
"James Vaughan (footballer, born 1988)",제임스 본 (1988년)
Rupert Everett,루퍼트 에버렛
Nathaniel Parker,너새니얼 파커
Paolo Nutini,파올로 누티니
Bill Ward (musician),빌 워드
Thomas Beecham,토머스 비첨
David Miliband,데이비드 밀리밴드
J. L. Austin,존 랭쇼 오스틴
Billie Whitelaw,빌리 화이틀로
Fatboy Slim,팻보이 슬림
Edwin Flack,에드윈 플랙
James Hanratty,제임스 핸래티
Jo Whiley,조 와일리
William Henry Bragg,윌리엄 헨리 브래그
George Paget Thomson,조지 패짓 톰슨
Jordan Spence,조던 스펜스
Jon Anderson,존 앤더슨 (음악가)
Robert Shaw (actor),로버트 쇼 (배우)
Richard Caborn,리처드 카본
Philip Larkin,필립 라킨
George Graham,조지 그레이엄
Prince Michael of Kent,켄트 공자 마이클
Jack Wild,잭 와일드 (배우)
Nigel Short,나이젤 쇼트
Herbert Chapman,허버트 채프먼
V (character),브이 (DC 코믹스)
Phil Jagielka,필 야기엘카
Kazuo Ishiguro,가즈오 이시구로
Banksy,뱅크시
Ashley Cole,애슐리 콜
Michael Atiyah,마이클 아티야
Howard Carter,하워드 카터
Kristin Scott Thomas,크리스틴 스콧 토머스
Naveen Andrews,나빈 앤드루스
Arthur Henderson,아서 헨더슨
Remus Lupin,리머스 루핀
Katherine Jenkins,캐서린 젱킨스
Barbara Pym,바바라 핌
Aimee-Ffion Edwards,에이미피언 에드워즈
Kim Cattrall,킴 커트랠
James Mason,제임스 메이슨
"George Villiers, 1st Duke of Buckingham",제1대 버킹엄 공작 조지 빌리어즈
John Osborne,존 오스본
Tom Daley,톰 데일리
Thomas Browne,토머스 브라운 (작가)
Hubert Cecil Booth,허버트 세실 부스
Colonel Race,레이스 대령
Nawaz Sharif,나와즈 샤리프
Will Hughes,윌 휴스
Rachel Weisz,레이철 바이스
Tommy Flanagan (actor),토미 플래너건 (배우)
Alfred Radcliffe-Brown,앨프리드 래드클리프브라운
Gabriel Agbonlahor,게이브리얼 아그본라호
John le Carré,존 르 카레
Bob Hoskins,밥 호스킨스
Grant Holt,그랜트 홀트
Jake Livermore,제이크 리버모어
Hugh Dancy,휴 댄시
"Geoffrey II, Duke of Brittany",조프루아 2세 드 브르타뉴 공작
James May,제임스 메이
Gordon Strachan,고든 스트라컨
Geoffrey Wilkinson,제프리 윌킨슨
Terry Venables,테리 베너블스
Robert Harris (novelist),로버트 해리스
Jenna Coleman,제나 콜먼
Chris Kirkland,크리스 커클랜드
Gregory Bateson,그레고리 베이트슨
Anthony Head,앤서니 헤드
John Toshack,존 토샥
Richard Stanley Peters,리처드 스탠리 피터스
Arnold Bennett,아널드 베넷
"Scott Brown (footballer, born June 1985)",스콧 브라운 (축구 선수)
Greg Lake,그렉 레이크
David Harvey,데이비드 하비
Dave Murray (musician),데이브 머레이
Ken Follett,켄 폴릿
Amelia Warner,어밀리아 워너
Elizabeth Jagger,엘리자베스 재거
Roger Moore,로저 무어 (1927년생 배우)
Danny Boyle,대니 보일
Micah Richards,마이카 리처즈
Neil Gaiman,닐 게이먼
W. Somerset Maugham,윌리엄 서머싯 몸
Jeff Lynne,제프 린
Damian Lewis,데이미언 루이스
Toby Jones,토비 존스
Mark Addy,마크 애디
Idris Elba,이드리스 엘바
Robert Watson-Watt,로버트 왓슨와트
Eric Idle,에릭 아이들
Ronnie Wood,로니 우드
James Lovelock,제임스 러브록
David Lloyd George,데이비드 로이드 조지
Jordan Henderson,조던 헨더슨
Matthew Rhys,매슈 리스
Michael Dummett,마이클 더밋
Ben Whishaw,벤 위쇼
Bob Paisley,밥 페이즐리
Godfrey Hounsfield,고드프리 하운스필드
Natalie Press,내털리 프레스
George Whitefield,조지 휫필드
Steve Winwood,스티브 윈우드
Nick Aldis,닉 앨디스
Harry Treadaway,해리 트레더웨이
Oona O'Neill,우나 오닐
Jackie Burroughs,재키 버로스
"Murray MacLehose, Baron MacLehose of Beoch",맥리호스오브비오크 남작 머레이 맥리호스
Tom Wilkinson,톰 윌킨슨
Charlie Austin,찰리 오스틴
Nick Drake,닉 드레이크
Keith Moon,키스 문
William Holman Hunt,윌리엄 홀먼 헌트
Emily Barclay,에밀리 바클리
Clare Higgins,클레어 히긴스
Wayne Hennessey,웨인 헤네시
Catherine McCormack,캐서린 매코맥
Martin Kelly (footballer),마틴 켈리
Jon Flanagan,존 플래너건 (축구 선수)
Harry Gregson-Williams,해리 그레그슨윌리엄스
E. H. Carr,에드워드 핼릿 카
Frieda Inescort,프리다 이네스코트
Rosie Huntington-Whiteley,로지 헌팅턴화이틀리
Philip Noel-Baker,필립 노엘베이커
Rupert Friend,루퍼트 프렌드
Jonjo Shelvey,존조 셸비
Peter Maxwell Davies,피터 맥스웰 데이비스
Mark Williams (actor),마크 윌리엄스 (배우)
David Suchet,데이비드 수셰이
Brett Anderson,브렛 앤더슨 (가수)
Archibald Leitch,아치볼드 리치
David Thewlis,데이비드 슐리스
Richard Griffiths,리처드 그리피스
Zadie Smith,제이디 스미스
Ciarán Hinds,키어런 하인즈
Terence Young (director),테런스 영
Cheryl (singer),셰릴 (가수)
Geoff Hurst,제프 허스트
Bob Klose,밥 클로스
Gem Archer,겜 아처
J. G. Ballard,J. G. 밸러드
James Hunt,제임스 헌트
Kenneth Grahame,케네스 그레이엄
Adrian Smith,아드리안 스미스
Alan Parsons,알란 파슨스
Rob Morrow,롭 모로
John Mahoney,존 머호니
Kate Dickie,케이트 디키
Michael Byrne (actor),마이클 번
Kate Moss,케이트 모스
Luol Deng,루올 뎅
Joanne Froggatt,조앤 프로갯
Zak Starkey,잭 스타키
Donald Pleasence,도널드 플레전스
Phil O'Donnell (footballer),필 오도넬
Arthur Rackham,아서 래컴
Mason Ryan,메이슨 라이언
Thomas Middleton,토머스 미들턴
Ron Atkinson,론 앳킨슨
Peter Beardsley,피터 비어슬리
Peter Phillips,피터 필립스
Peter Bonetti,피터 보네티
Natasha Richardson,너태샤 리처드슨
Monica Lewinsky,모니카 르윈스키
Terry Eagleton,테리 이글턴
Frances Hodgson Burnett,프랜시스 호지슨 버넷
Phil Collins,필 콜린스
Natasha Bedingfield,너태샤 베딩필드
Jane Birkin,제인 버킨
Steve Sidwell,스티브 시드웰
Matthew Macfadyen,매슈 맥패디언
Mitch Mitchell,미치 미첼
John Boyd Orr,존 보이드 오어
Ed Speleers,에드워드 스펠리어스
Danny Simpson,대니 심슨
Aaron Ramsey,에런 램지
Emilia Fox,에밀리아 폭스
Camille Coduri,커밀 코두리
Thomas Andrews,토머스 앤드루스 (조선업자)
Charlotte Gainsbourg,샤를로트 갱스부르
Benjamin Britten,벤저민 브리튼
George McCartney (footballer),조지 맥카트니
Steven Fletcher (footballer),스티븐 플레처
Gitta Sereny,지타 세레니
Richard Burns,리처드 번스
Gordon Banks,고든 뱅크스
Duncan Edwards,덩컨 에드워즈
Nigel Reo-Coker,나이절 리오코커
John Houseman,존 하우스먼
John Mills,존 밀스
Mike Leigh,마이크 리
Steve Hackett,스티브 해킷
Jeffrey Goldstone,제프리 골드스톤
Andy Summers,앤디 서머스
Ben Okri,벤 오크리
Frank Ramsey (mathematician),프랭크 램지
Peter Green (musician),피터 그린 (음악가)
Ian McDiarmid,이언 맥더미드
Peter Lawford,피터 로퍼드
Roger Fenton,로저 펜튼
Bernard Williams,버나드 윌리엄스
David Arnold,데이비드 아널드
Scott Parker,스콧 파커
Tom Huddlestone,톰 허들스톤
"Andrew Johnson (footballer, born 1981)",앤드루 존슨 (축구 선수)
Ali Carter,앨리 카터
Anthony Quayle,앤서니 퀘일
J. Bruce Ismay,J. 브루스 이스메이
Vanessa Redgrave,버네사 레드그레이브
Ida Lupino,이다 루피노
Kevin Nolan,케빈 놀런
Zat Knight,잿 나이트
Charles Algernon Parsons,찰스 앨저넌 파슨스
Henry Moore,헨리 무어
Billie Piper,빌리 파이퍼
Annie Lennox,애니 레녹스
Graham Bonnet,그레이엄 보넷
Zara Tindall,자라 틴들
Darren Bent,대런 벤트
Charles Scott Sherrington,찰스 스콧 셰링턴
"Archibald Wavell, 1st Earl Wavell",제1대 웨이벌 백작 아치볼드 웨이벌
James Jeans,제임스 호프우드 진스
Michael Moorcock,마이클 무어콕
John Mayall,존 메이올
Billy Boyd (actor),빌리 보이드
Leon Osman,리언 오스먼
Anna Maxwell Martin,애나 맥스웰 마틴
Philip Sidney,필립 시드니
Jason Isaacs,제이슨 아이작스
Peter Medawar,피터 메더워
Ian Paice,이언 페이스
Sam Neill,샘 닐
Frederick Sanger,프레더릭 생어
"Anne, Princess Royal",프린세스 로열 앤
James Donald,제임스 도날드
Alex Turner,알렉스 터너
Steve Jones (musician),스티브 존스 (음악가)
John Barbirolli,존 바비롤리
Dave Evans (singer),데이브 에번스
Michael Lonsdale,미카엘 롱스달
Geoff Downes,제프 다운스
Nick Simper,닉 심퍼
Jack O'Connell (actor),잭 오코널
Frederick Griffith,프레더릭 그리피스
Carl Palmer,칼 파머
Mark Hughes,마크 휴스
David Seaman,데이비드 시먼
Beatrix Potter,베아트릭스 포터
Lutalo Muhammad,루탈로 무하마드
Sarah Brightman,사라 브라이트만
James Morrison (singer),제임스 모리슨 (가수)
Adam Ant,애덤 앤트
Tony Abbott,토니 애벗
Brian McDermott (footballer),브라이언 맥더멋
Stephen Moyer,스티븐 모이어
Dixie Dean,딕시 딘
Alan Cumming,앨런 커밍
Kevin Keegan,케빈 키건
Fred Uhlman,프레드 울만
Matthew Goode,매슈 구드
Rhys Ifans,리스 이반스
Dominic Monaghan,도미닉 모너핸
Chiwetel Ejiofor,추이텔 에지오포
George Shearing,조지 시어링
Bernard Montgomery,버나드 몽고메리
Arthur Eddington,아서 스탠리 에딩턴
Helen Mirren,헬렌 미렌
John Fisher,존 피셔 (성직자)
R. G. Collingwood,R. G. 콜링우드
Simon Webbe,사이먼 웨브
Will Young,윌 영
Adam Brown (actor),애덤 브라운
Gary Neville,게리 네빌
Mark Ronson,마크 론슨
Queen Camilla,영국 왕비 카밀라
Bobby Zamora,보비 자모라
Vanessa-Mae,버네사 메이
Robert Plant,로버트 플랜트
William Regal,윌리엄 리걸
Claude Choules,클로드 출스
"Prince Harry, Duke of Sussex",서식스 공작 해리
Eduard Fraenkel,에두아르트 프랭켈
Melanie C,멜러니 C
James George Frazer,제임스 조지 프레이저
Kyle Naughton,카일 노턴
Richard Burton,리처드 버턴
John Entwistle,존 엔트위슬
"Paul Robinson (footballer, born 1979)",폴 로빈슨 (1979년)
"Alan Smith (footballer, born 1980)",앨런 스미스 (1980년)
Nikolaas Tinbergen,니콜라스 틴베르헌
"Princess Margaret, Countess of Snowdon",영국 공주 마거릿
Jeremy Clarkson,제러미 클라크슨
Fraser Forster,프레이저 포스터
Aiden Turner,에이든 터너 (1977년)
András Schiff,안드라스 쉬프
Ajahn Brahm,아잔 브라흐마
Gareth Southgate,개러스 사우스게이트
"Walter Rothschild, 2nd Baron Rothschild",월터 로스차일드
Roger Hargreaves,로저 하그리브스
Mark Williams (snooker player),마크 윌리엄스 (스누커 선수)
Danny Mills,대니 밀스
Steve Coogan,스티브 쿠건
Danny Guthrie,대니 거스리
Chris Slade,크리스 슬레이드
Martin Birch,마틴 버치
John Peter Zenger,존 피터 젱어
Joleon Lescott,졸리언 레스콧
John Fowles,존 파울즈
David Tennant,데이비드 테넌트
Sol Campbell,솔 캠벨
Thomas De Quincey,토머스 드 퀸시
Matt Lucas,맷 루커스
Pat Sheehan (Irish republican),패트릭 시한
Donovan,도노반
Eric Liddell,에릭 리델
Ally McCoist,앨리 매코이스트
Glenn Tipton,글렌 팁톤
Fish (singer),피시 (가수)
Dan Gosling,댄 고슬링
Johnny Marr,조니 마
David Rohl,데이비드 롤
Lawrence Oates,로런스 오츠
Adam Rayner,애덤 레이너
Joseph Needham,조지프 니덤
Roger Glover,로저 글로버
Joan Collins,조앤 콜린스
Michael Apted,마이클 앱티드
Lady Rose Gilman,레이디 로즈 길먼
Edward Victor Appleton,에드워드 빅터 애플턴
Marianne Jean-Baptiste,마리애나 장바티스트
Peter Mullan,피터 멀런
Charlie Watts,찰리 와츠
"Prince Andrew, Duke of York",요크 공작 앤드루
Ian Anderson,이언 앤더슨
Stanley Matthews,스탠리 매슈스
Freeman Dyson,프리먼 다이슨
Bryan Ferry,브라이언 페리
Jon Kelly,존 켈리 (음악가)
Oliver Smithies,올리버 스미시스
Dominic Cooper,도미닉 쿠퍼
Ed Miliband,에드 밀리밴드
Craig David,크레이그 데이비드
Oskar Kokoschka,오스카르 코코슈카
Peter Shaffer,피터 섀퍼
Shaka Hislop,샤카 히즐롭
Chris Hughton,크리스 휴턴
Shaun Murphy,숀 머피 (스누커 선수)
Jonny Wilkinson,조니 윌킨슨
Joe McElderry,조 매켈더리
James Blake (musician),제임스 블레이크 (음악가)
Neville Marriner,네빌 매리너
Claude Rains,클로드 레인스
Cliff Williams,클리프 윌리엄스
Gregory Paul Martin,그레고리 폴 마틴
Sophie Ellis-Bextor,소피 엘리스 벡스터
Andy Cole,앤디 콜
Adela Pankhurst,아델라 팽크허스트
César Milstein,세사르 밀스테인
Archibald Hill,아치볼드 비비언 힐
Malcolm Gladwell,맬컴 글래드웰
Michael Redgrave,마이클 레드그레이브
Charles Brabin,찰스 브래빈
Hugh Bonneville,휴 보너빌
Dennis Gabor,데니스 가보르
Seal (musician),씰 (가수)
Francis Bacon (artist),프랜시스 베이컨 (화가)
George Everest,조지 에버리스트
Nigel Pearson,나이절 피어슨
Cat Stevens,캣 스티븐스
Matt Le Tissier,맷 르티시에
Jamie Redknapp,제이미 레드냅
Joss Stone,조스 스톤
Pete Postlethwaite,피트 포슬스웨이트
Liam Gallagher,리암 갤러거
Ronald Fisher,로널드 피셔
Abdulrazak Gurnah,압둘라자크 구르나
Jamie Murray,제이미 머리
Iris Murdoch,아이리스 머독
Lucian Freud,루시언 프로이드
Maud of Wales,웨일스 공녀 모드
Dugald Stewart,듀걸드 스튜어트
Stanley Rous,스탠리 라우스
Susan Blackmore,수전 블랙모어
"Prince Edward, Duke of Edinburgh",에든버러 공작 에드워드
Example (musician),이그잼플
Santiago Cabrera,산티아고 카브레라
Oliver Hart (economist),올리버 하트
Gertrude Lawrence,거트루드 로런스
Diarmaid MacCulloch,디아메이드 맥클로흐
Phyllida Law,필리다 로
Gavin Rossdale,개빈 로즈데일
"Sir George Stokes, 1st Baronet",제1대 준남작 조지 스토크스 경
Leslie Howard,레슬리 하워드
Peter Hook,피터 훅
Nigel Farage,나이절 패라지
Don Revie,돈 레비
Inspector Japp,제임스 제프
John Sykes,존 사이크스
Ciaran Clark,키어런 클라크
Laura Michelle Kelly,로라 미셸 켈리
Ian Brown,이언 브라운
David Hewlett,데이비드 휼렛
Yehudi Menuhin,예후디 메뉴인
Katie Melua,케이티 멜루아
Rick Astley,릭 애스틀리
Carl Cox,칼 콕스
Ian Stewart (musician),이언 스튜어트 (음악가)
Ian Rush,이언 러시
Chris Waddle,크리스 워들
Mark Allen (snooker player),마크 앨런 (스누커 선수)
Bill Kenwright,빌 켄라이트
Raymond Cattell,레이몬드 카텔
J. B. S. Haldane,존 버든 샌더슨 홀데인
Bonnie Tyler,보니 타일러
John Boland (Irish nationalist politician),존 피우스 볼랜드
Keith Emerson,키스 에머슨
Jonathan Walters,조너선 월터스
John Edensor Littlewood,존 이든저 리틀우드
William Webb Ellis,윌리엄 웨브 엘리스
David Oyelowo,데이비드 오옐러워
Anthony Burgess,앤서니 버제스
"Sophie, Duchess of Edinburgh",에든버러 공작부인 소피
Phil Neville,필 네빌
Jessie Ware,제시 웨어
Justin Hoyte,저스틴 호이트
Ted Drake,테드 드레이크
Julian Lloyd Webber,줄리언 로이드 웨버
Johnny Haynes,조니 헤인스
Tom Finney,톰 피니
Chris Froome,크리스 프룸
Sacha Dhawan,사샤 다완
Richard Garriott,리처드 개리엇
Bernard Lovell,버나드 로벨
China Miéville,차이나 미에빌
Richard O'Connor,리처드 오코너
Steven Wilson,스티븐 윌슨
Lawrence Durrell,로런스 더럴
Noel Redding,노엘 레딩
Lee Dixon,리 딕슨
Andy Bell (Welsh musician),앤디 벨 (1970년)
Alexander R. Todd,알렉산더 R. 토드
"Louis Mountbatten, 1st Earl Mountbatten of Burma",제1대 마운트배튼오브버마 백작 루이 마운트배튼
Simon Wright (musician),사이먼 라이트
Chris Tsangarides,크리스 샹그리디
Harry Kroto,해럴드 크로토
Brian Horrocks,브라이언 호록스
E. P. Thompson,E. P. 톰슨
Mairead Maguire,메어리드 코리건
Andy Whitfield,앤디 휫필드
Chris Lowe,크리스 로
Richard Stone,리처드 스톤
Paul Nurse,폴 너스
Dusty Springfield,더스티 스프링필드
PJ Harvey,PJ 하비
Nick Powell,닉 파월
Bernie Taupin,버니 토핀
Ian Dury,이언 듀리
Hubert Parry,휴버트 패리
Clive Burr,클라이브 버
Harrison Birtwistle,해리슨 버트위슬
Jack Higgins,잭 히긴스
Paula Malcomson,폴라 맬컴슨
Coleen Rooney,콜린 루니
Naomie Harris,나오미 해리스
Lynn Redgrave,린 레드그레이브
Angela Beesley,안젤라 비즐리
Emma Bunton,엠마 번튼
Joseph Rotblat,조지프 로트블랫
Albert Finney,앨버트 피니
Carey Mulligan,케리 멀리건
Rod Evans,로드 에번스
Paul Oakenfold,폴 오컨폴드
Tony Banks (musician),토니 뱅크스
David Bradley (English actor),데이비드 브래들리 (배우)
David Heyman,데이비드 헤이먼
Simon Rattle,사이먼 래틀
Betty Williams,베티 윌리엄스
Vivienne Westwood,비비안 웨스트우드
Zygmunt Bauman,지그문트 바우만
Princess Beatrice of the United Kingdom,영국 공주 베아트리스
"Prince Edward, Duke of Kent",켄트 공작 에드워드
Anthony Giddens,앤서니 기든스
Alfred Pennyworth,알프레드 페니워스
Jack Collison,잭 콜리슨
Andy Carroll,앤디 캐럴
"Richard of Shrewsbury, Duke of York",요크 공작 슈루즈베리의 리처드
Harry Redknapp,해리 레드냅
Engelbert Humperdinck (singer),잉글버트 험퍼딩크
Richard Hamilton (artist),리처드 해밀턴 (예술가)
James Stirling (architect),제임스 스털링 (건축가)
Tim Henman,팀 헨먼
Sam Havadtoy,샘 허배토이
Jonathan Edwards (triple jumper),조너선 에드워즈 (육상 선수)
Roy Jenkins,로이 젱킨스
Hamilton Camp,해밀턴 캠프
Kingsley Amis,킹즐리 에이미스
Bryn Terfel,브린 터펠
Jamie Bamber,제이미 뱀버
Owain Yeoman,오웨인 요먼
Ian Hill,이언 힐
Midge Ure,밋지 유르
Tony Martin (British singer),토니 마틴 (영국의 가수)
Vicky McClure,비키 매클루어
Gary Glitter,게리 글리터
Nick Griffin,닉 그리핀
David Hockney,데이비드 호크니
Allen Carr,알렌 카
Paul Greengrass,폴 그린그래스
Daniel Sturridge,대니얼 스터리지
Martine Beswick,마틴 베스윅
Joseph Priestley,조지프 프리스틀리
"George Plantagenet, Duke of Clarence",조지 플랜태저넷 클래런스 공작
Robert Hardy,로버트 하디
Trevor Pinnock,트레버 피노크
Ian Holm,이언 홈
Arthur Geoffrey Walker,아서 지오프리 워커
Christopher Hogwood,크리스토퍼 호그우드
Rita Tushingham,리타 터싱엄
Matt Jarvis,매슈 자비스
David Irving,데이비드 어빙
Carlton Cole,칼턴 콜
"Matthew Taylor (footballer, born 1981)",매슈 테일러 (축구 선수)
Mark Noble,마크 노블
Victoria Eugenie of Battenberg,빅토리아 에우게니 폰 바텐베르크
Evgeny Kissin,예브게니 키신
"James Collins (footballer, born 1983)",제임스 콜린스
Timothy Gowers,윌리엄 티머시 가워스
Jude Law,주드 로
James Galway,제임스 골웨이
Jarvis Cocker,자비스 코커
Michael Tippett,마이클 티펫
Charles Spearman,찰스 스피어먼
"Alex Scott (footballer, born 1984)",앨릭스 스콧 (1984년생 축구인)
Ann Todd,앤 토드
Denny Laine,데니 레인
Susan Hampshire,수전 햄프셔
Laura Davies,로라 데이비스
Alison Williamson,앨리슨 윌리엄슨
K. K. Downing,K. K. 다우닝
Patrick O'Brian,패트릭 오브라이언
Stuart Pearce,스튜어트 피어스
Tsai Chin (actress),저우차이친
Alan White (Yes drummer),앨런 화이트 (예스 드러머)
Steven Davis,스티븐 데이비스
Francis Ysidro Edgeworth,프랜시스 에지워스
Darren O'Shaughnessy,대런 섄
Cameron Jerome,캐머런 제롬
John Stuart (actor),존 스튜어트 (배우)
Ingeborga Dapkūnaitė,잉게보르가 답쿠나이테
Jonathan Hyde,조너선 하이드
Moura Lympany,모라 림파니
Charles Glover Barkla,찰스 글러버 바클라
Gary Cahill,게리 케이힐
Joseph Fiennes,조지프 파인스
Paul Scofield,폴 스코필드
Michael Palin,마이클 페일린
Dave Stewart (Eurythmics),데이비드 A. 스튜어트
Michael Howard,마이클 하워드
Robert Palmer,로버트 파머
Michael Polanyi,마이클 폴라니
William Shockley,윌리엄 쇼클리
Hugh Grant,휴 그랜트
Colin Firth,콜린 퍼스
Aphex Twin,에이펙스 트윈
John Eliot Gardiner,존 엘리엇 가디너
Nicko McBrain,니코 맥브레인
Mark Rylance,마크 라일런스
Charles Rennie Mackintosh,찰스 레니 매킨토시
Ken Livingstone,켄 리빙스턴
"Billy Wright (footballer, born 1924)",빌리 라이트
Sam Mendes,샘 멘데스
Bernard Rose (director),버나드 로즈
John Whiting,존 화이팅
Jamie Cullum,제이미 컬럼
Charlie Hunnam,찰리 허냄
Brian Molko,브라이언 몰코
Lara Croft,라라 크로프트
John Maynard Smith,존 메이너드 스미스
Rick Allen (drummer),릭 앨런
Geraint Thomas,게라인트 토머스
P. L. Travers,패멀라 린던 트래버스
Simon Cowell,사이먼 코웰
"Prince Arthur, Duke of Connaught and Strathearn",코넛과 스트래선 공작 아서
William Huggins,윌리엄 허긴스
Graeme Dott,그레임 돗
Simon Le Bon,사이먼 르 봉
Hattie Morahan,해티 모라한
Thandiwe Newton,탠디 뉴턴
Minnie Driver,미니 드라이버
Zoë Wanamaker,조이 워너메이커
Mark Shuttleworth,마크 셔틀워스
William Ewart Gladstone,윌리엄 유어트 글래드스턴
"Prince George, Duke of Kent",켄트 공작 조지
