код игры Riot Pixels,Riot Pixels遊戲識別碼
Любанская наступательная операция,柳班战役
Вишнёвый сад,櫻桃園
Амурский залив,阿穆爾灣
Амурская плита,阿穆尔板块
Ванкорское нефтегазовое месторождение,万科尔油田
Поворот сибирских рек,蘇聯北方河道改道計劃
Уфимский метрополитен,烏法地鐵
Абанский район,阿班斯基區
Абазинский район,阿巴津斯基區
Абыйский улус,阿貝斯基區
Бологое,博洛戈耶
Болотное,博洛特諾耶
Ак Барс Арена,新喀山紅寶石體育場
Невельск,涅韦尔斯克
селькупский язык,谢尔库普语
Вишера,維舍拉河
крейсер «Аврора»,阿芙罗拉号巡洋舰
Тобольск,托博爾斯克
Ачхой-Мартановский район,亞扎開-馬爾坦州
Азиатская хоккейная лига,亚洲冰球联赛
Онежское озеро,奥涅加湖
Бодайбо,博代博
Болгар,博爾加爾
Казань-Пассажирская,喀山客運站
коми-зырянский язык,科米-兹梁语
ненцы,涅涅茨人
Богданович,波格丹諾維奇
Богородицк,博戈羅季茨克
Нарткала,納爾特卡拉
Невель,涅韋爾
Богородск,博戈羅茨克
Яхрома,亞赫羅馬
Урюпинск,烏留平斯克
Чернушка,切爾努什卡
Болохово,博洛霍沃
Болхов,博爾霍夫
Дегтярск,傑格佳爾斯克
Большой Камень,大卡缅
Бор,博爾
Абинский район,阿賓斯基區
Абзелиловский район,阿布澤利洛沃區
Амуро-Якутская железнодорожная магистраль,阿穆爾-雅庫茨克鐵路
Южный федеральный округ,南部聯邦管區
Невьянск,涅維揚斯克
Невинномысск,涅溫諾梅斯克
Свято-Владимирский собор в Херсонесе,克森尼索主教座堂
Первомайский,五一镇_(外贝加尔边疆区)
Семилуки,謝米盧基
табасаранский язык,塔巴薩蘭語
Орлов,奧爾洛夫
Яренга,亞連加河
Каменск-Уральский,烏拉爾地區卡緬斯克
ашкеназы,阿什肯納茲猶太人
сету,塞托语
цезский язык,切兹语
Донецк,頓涅茨克
Миасс,米阿斯
Осетия,奧塞梯
Новая газета,新报
Таганрог,塔甘羅格
Балаклавский подземный музейный комплекс,巴拉克拉瓦海軍博物館
Вишера,維舍拉河
Рубин,喀山红宝石足球俱乐部
Ростовская операция,羅斯托夫戰役
тувинский язык,图瓦语
шорский язык,索爾語
Раздольная,绥芬河
Ока,奧卡河
Анадырский залив,阿納德爾灣
чемпионат мира по футболу 2018,2018年國際足協世界盃足球賽
Юринский район,尤林斯基區
Георгиевск,格奧爾吉耶夫斯克
Борзя,博尔贾
Вытегра,維捷格拉
Нерехта,涅列赫塔
узбеки,乌兹别克族
Анабарский залив,阿納巴爾灣
Анабарское плато,阿納巴爾高原
якутский язык,雅库特语
прусский язык,普魯士語
бабинский саамский язык,阿卡拉薩米語
Юрацкий язык,尤拉茨語
Анадырская низменность,阿納德爾低地
Главное разведывательное управление ВС РФ,格鲁乌
арчинский язык,阿奇語
Азовское море,亞速海
Нижняя Тура,下图拉
Николаевск,尼古拉耶夫斯克
Остров Врангеля,弗兰格尔岛
европейский автомобильный маршрут,欧洲高速公路
Николаевск-на-Амуре,庙街
Шилка,石勒喀河
биатлон на зимних Олимпийских играх 2014,2014年冬季奧林匹克運動會冬季兩項比賽
Нелидово,涅利多沃
Нефтекамск,涅夫捷卡姆斯克
Нижневартовск,下瓦爾托夫斯克
Нея,涅亞
Нестеров,涅斯捷羅夫
Монголо-Маньчжурская степь,蒙古高原草原-內蒙古草原-东北草原
Нефтегорск,涅夫捷戈爾斯克
Мирный,米爾內
Мирный,米尔内
Мыски,梅斯基
Нерюнгри,涅留恩格里
Ельники,亞屯站
Нефтеюганск,涅夫捷尤甘斯克
Казанский университет,喀山联邦大学
Анадырское плоскогорье,阿納德爾高原
Нефтекумск,涅夫捷庫姆斯克
Москвич,莫斯科人
Мещерский язык,梅谢拉语
ненецкий язык,涅涅茨語
Волчанский трамвай,沃爾昌斯克電車
Нижняя Салда,下薩爾達
Татарский пролив,韃靼海峽
латгальский язык,拉特加萊語
Великий Устюг,大烏斯秋格
Нижнекамск,下卡姆斯克
ВКонтакте,VKontakte
Нижнеудинск,下烏金斯克
Уральские горы,乌拉尔山脉
Lada,拉達汽車
Муромский язык,穆羅瑪語
нивхский язык,尼夫赫語
Водо-водяной энергетический реактор,水-水高能反應堆
камасинский язык,卡馬斯語
Кул-Шариф,庫爾沙里夫清真寺
Юго-Восточный административный округ,东南行政区
Юрюзань,尤留贊河
кумыкский язык,庫梅克語
лакский язык,拉克語
Маруся,玛鲁西亚车队
коми язык,科米語
корякский язык,科里亚克语
понтийский язык,旁狄希臘語
Никольск,尼科利斯克
Мидланд,米蘭德車隊
Никольск,尼科利斯克
Нижние Серги,下謝爾吉
Нижний Ломов,下洛莫夫
Новоалтайск,新阿爾泰斯克
Новоаннинский,新安寧斯基
Немецкий национальный район,涅梅茨基民族區
Колывань,科雷万_(新西伯利亚州)
Пермский академический театр оперы и балета имени П. И. Чайковского,彼尔姆歌剧院芭蕾舞剧院
.ru,.ru
Тобол,托博尔河
нганасанский язык,恩加納桑語
Коньково,孔尼科沃區 (莫斯科)
правовая система Российской Федерации,俄羅斯法律
Шотозеро,紹托澤羅湖
Сборная России по мини-футболу,俄罗斯国家室内足球队
Чиркейская ГЭС,Chirkey水壩
рутульский язык,鲁图尔语
Тофаларский язык,圖法語
Курило-Камчатский жёлоб,千岛海沟
Независимый Московский университет,莫斯科獨立大學
Алеутский жёлоб,阿留申海沟
Новоалександровск,新亞歷山德羅夫斯克
Гран-при России,俄罗斯大奖赛
Новая Ляля,新利亞利亞
Российско-исландские отношения,俄罗斯－冰岛关系
Российско-венгерские отношения,匈牙利－俄羅斯關係
Хадыженск,哈德任斯克
Мангазея,曼加泽亚
Новокубанск,新庫班斯克
Ряжск,里亞日斯克
Нововоронеж,新沃羅涅日
Трасса в Олимпийском парке,索契國際街道賽道
Новодвинск,新德文斯克
Новозыбков,新濟布科夫
готский язык,哥德語
Новокуйбышевск,新古比雪夫斯克
Новомичуринск,新米丘林斯克
Центральный парк культуры и отдыха им. Горького,高爾基公園 (莫斯科)
Черняховский городской округ,切爾尼亞霍夫斯基區
сербы,塞族
Новомосковск,新莫斯科斯克
Сулейман-Стальский район,蘇列伊曼-斯塔利斯基區
Калужско-Рижская линия,卡卢加-里加线
Становое нагорье,斯塔諾沃耶高地
Иртыш,额尔齐斯河
удинский язык,乌第语
цахурский язык,札库尔语
тиндинский язык,廷地語
Вторая чеченская война,第二次車臣戰爭
Ялта,雅尔塔
Мордовия,薩蘭斯克足球俱樂部
Хибины,希比內山脈
Таймыр,泰梅爾半島
Обь-Енисейский канал,鄂畢－葉尼塞運河
Дагестанские Огни,达吉斯坦奥格尼
Северный Кавказ,北高加索
Черногорск,切尔诺戈尔斯克
Физико-энергетический институт,莱朋斯基物理和动力工程研究院
Ганина Яма,加尼纳坑
ливвиковское наречие,利维卡累利阿语
йоканьгско-саамский язык,特爾薩米語
Правдинский район,普拉夫金斯基區
Полесский городской округ,波列斯基區
Славский район,斯拉夫斯基區
Светлогорский район,斯韋特洛戈爾斯基區
Чувашский государственный театр оперы и балета,楚瓦什共和国国立芭蕾歌剧院
агульский язык,阿古爾語
Мерянский язык,梅里亚语
Новоуральск,新烏拉爾斯克
Новохопёрск,新霍皮奧爾斯克
Новосокольники,新索科利尼基
Новотроицк,新特羅伊茨克
Сталинградская битва,斯大林格勒战役
Китайско-Восточная железная дорога,東清鐵路
Новоульяновск,新烏里揚諾夫斯克
Новоузенск,新乌津斯克
Нурлат,努爾拉特
Нытва,內特瓦
Усть-Джегутинский район,烏斯季-傑古京斯基區
Зеленчукский район,澤連丘克斯基區
авиакатастрофа в Смоленске 10 апреля 2010 года,2010年波兰空军图-154坠机事件
Днепр,第聂伯河
Петропавловская крепость,彼得保罗要塞
республика в составе Российской Федерации,俄罗斯的共和国
Роскомнадзор,俄罗斯联邦通信、信息技术和大众传媒监督局
Снежный человек,雪人
Новопавловск,新巴甫洛夫斯克
Новоржев,新勒熱夫
Сернурский район,謝爾努爾斯基區
Малокарачаевский район,小卡拉恰埃夫斯基區
Прикубанский район,普里庫班斯基區
Хабезский район,哈別茲斯基區
Нюрба,纽尔巴
Новосиль,諾沃西利
федеральный округ России,俄羅斯聯邦管區
футуризм,未来主义
Борисоглебск,鲍里索格列布斯克
Боровичи,博羅維奇
Российско-китайские отношения,中俄关系
Череповец,切列波韋茨機場
Храм Василия Блаженного,聖巴西爾大教堂
Московский международный кинофестиваль 1963,第3屆莫斯科影展
Новочебоксарск,新切博克薩爾斯克
Ворыква,沃雷克瓦河
Временное правительство России,俄國臨時政府
Сибирский государственный аэрокосмический университет имени академика М. Ф. Решетнёва,西伯利亚国家航空航天大学
Москва,莫斯科河
Норильск,诺里尔斯克
Нолинск,諾林斯克
Сочи,索契
Дальневосточный федеральный округ,遠東聯邦管區
киргизы,柯尔克孜族
Великая Финляндия,大芬兰
Обь,鄂畢
Ноябрьск,诺亚布里斯克
Пятигорск,皮亚季戈尔斯克
Линия перемены даты,国际日期变更线
российский рубль,俄罗斯卢布
Большеулуйский район,博利舍烏盧伊斯基區
Параньгинский район,帕蘭金斯基區
Няндома,尼揚多馬
Шоша,紹沙河
Дербент,傑爾賓特
Охотское море,鄂霍次克海
Чемпионат мира по настольному теннису среди команд 2010,2010年世界乒乓球团体锦标赛
Искитимский район,伊斯基季姆斯基區
Одинцово,奧金佐沃
Красная площадь,紅場
Бронницы,布龍尼齊
Озёры,奧焦雷
Облучье,奥布卢奇耶
Братск,布拉茨克
Озёрск,奧焦爾斯克
Бира,比拉河
Кетой,計吐夷島
Буй,布伊河
Буйнакск,布伊納克斯克
Обнинск,奥布宁斯克
Будённовск,布瓊諾夫斯克
монголы,蒙古族
Боровск,博羅夫斯克
Бородино,博羅季諾
Нягань,尼亞甘
Прупт,普魯普特河
Янтарный путь,琥珀之路
Бира,比拉_(俄罗斯)
Окуловка,奧庫洛夫卡
Северомуйск,北穆伊斯克
Октябрьский,十月鎮
субъект Российской Федерации,俄罗斯联邦主体
Бугуруслан,布古魯斯蘭
Государственный Эрмитаж,埃尔米塔日博物馆
Бугульма,布古利馬
Ожерелье,奧熱列利耶
Озёрск,奧焦爾斯克
Камов,卡莫夫設計局
Идринский район,伊德林斯基區
Тарбагатайский район,塔爾巴加泰斯基區
Хакасы,哈卡斯人
Ковдозеро,科夫多澤羅湖
Алания,弗拉季高加索阿拉尼亚足球俱乐部
Новочеркасск,新切爾卡斯克
Карачаевцы,卡拉恰伊人
Ногинск,諾金斯克
Новый Уренгой,新乌连戈伊
алтайцы,阿爾泰人
Чёрная смерть,黑死病
Владимирский централ,弗拉基米尔中央监狱
Кемерово,克麥羅沃國際機場
Битва под Фридландом,弗里德蘭戰役
Северный полярный круг,北極圈
Велиж,韦利日
Вельск,韋利斯克
Сибирский федеральный округ,西伯利亚联邦管区
Уральский федеральный округ,乌拉尔联邦管区
Шелехов,謝列霍夫
Российская инженерная академия,俄羅斯工程院
Лешуконское,列舒孔斯科耶
Березник,别列兹尼克
Венёв,韋尼奧夫
Орехово-Зуево,奧列霍沃-祖耶沃
Шинник,雅罗斯拉夫尔辛尼克足球俱乐部
Белое море,白海
Эльбрус,厄尔布鲁士山
Будогощь,布多戈希
Отрадное,奧特拉德諾耶湖
флаги субъектов Российской Федерации,俄罗斯联邦主体旗帜
Вейделевский район,韦伊杰列夫卡区
Валуйки,瓦盧伊基
Бутурлиновка,布圖爾利諾夫卡
Валдай,瓦尔代
Верхнеуральск,上烏拉爾斯克
Олёкминск,奥廖克明斯克
Верещагино,韋列夏吉諾
Верея,韋列亞
Верхняя Салда,上薩爾達
ЦСКА,莫斯科中央陆军足球俱乐部
Бузулук,布祖盧克
Mail.Ru,Mail.ru
Оленегорск,奧列涅戈爾斯克
Ахмат,格羅茲尼艾卡馬特足球俱樂部
Остров,奧斯特羅夫
Адлер,阿德列尔
Омутнинск,奧穆特寧斯克
Онега,奧涅加
Островной,奧斯特羅夫諾伊
Острогожск,奧斯特羅戈日斯克
Осташков,奧斯塔什科夫
Северо-Кавказский федеральный округ,北高加索聯邦管區
Оса,奧薩
Осинники,奧辛尼基
58-я общевойсковая армия,俄罗斯第58集团军
Берингово море,白令海
Отрадный,奧特拉德內
Оха,奥哈
Буинск,布因斯克
Буй,布伊
Оханск,奧漢斯克
Павловск,巴甫洛夫斯克
Павловск,巴甫洛夫斯克
Медный,梅德內島
Ачинский район,阿欽斯基區
Ржевский муниципальный округ,勒熱夫斯基區
Кимжа,基姆扎河
Наука,科學出版社
Шойна,紹伊納
Иж,伊日河
Палеонтологический журнал,古生物學期刊
Мезенская Пижма,梅津斯卡亞皮日馬河
Кыма,克馬河
Петербургский метрополитен,圣彼得堡地铁
Лоптюга,洛普秋加河
Ловать,洛瓦季河
Уральский,乌拉尔斯基_(斯维尔德洛夫斯克州)
Дубёнский район,杜比翁斯基區
Свободный,斯沃博德内_(斯维尔德洛夫斯克州)
Староминский район,舊明斯基區
Большая Лоптюга,大洛普秋加河
Йирва,伊爾瓦河
Пысса,佩薩河
Ардон,阿尔东
чуваши,楚瓦什人
Лена,勒拿河
Пересвет,佩列斯韋特
Коломна,科洛姆纳
Первомайск,五一城
Перевоз,佩列沃茲
Протон,质子号运载火箭
Верхняя Тура,上圖拉
Верхотурье,維爾霍圖里耶
Комсомолец,共青团员岛
Тыя,特亞河
Кутузов,大西通島
Верхоянск,上扬斯克
Очёр,奧喬爾
Павлово,巴甫洛沃
Патомское нагорье,帕托姆高原
Новатэк,诺瓦泰克
Русская Кошка,魯斯卡亞科什卡
Репино,列宾诺
Кайралы,库奥拉亚尔维
Весьегонск,韋西耶貢斯克
Баренцево море,巴倫支海
Видное,維德諾耶
Петушки,佩圖什基
Вилюйск,维柳伊斯克
Вилючинск,维柳钦斯克
Ванино,瓦尼诺
А-107 «Московское малое кольцо»,A107公路
Петухово,佩圖霍沃
Петровск-Забайкальский,彼得罗夫斯克
Моздок,莫兹多克
Прохоровка,普洛霍羅夫卡
Смидович,斯米多维奇
площадка № 31,貝科奴太空發射場31號射點
Стрельна,斯特列利納
Приамурье,外東北
ингуши,印古什人
Петровск,彼得羅夫斯克
Павловский Посад,巴甫洛夫斯基镇
Палласовка,帕拉索夫卡
Мана,馬納河
Санкт-Петербургская консерватория,聖彼得堡音樂學院
Верхняя Пышма,上佩什馬
Верхний Тагил,上塔吉爾
Верхний Уфалей,上烏法列伊
уйгуры,维吾尔族
Другая Россия,其他俄羅斯
болгары,保加利亞人
Острый,奧斯特雷島
Толбачик,扎爾巴奇克火山
румыны,羅馬尼亞人
Удомельский район,烏多梅利斯基區
Клипер,快船号航天飞机
Псковский Кром,普斯科夫克罗姆
Любинский район,柳賓斯基區
бухарские евреи,布哈里猶太人
Египетский мост,埃及桥
Переславль-Залесский,佩列斯拉夫尔-扎列斯基
Петергоф,彼得宮城
Петров Вал,彼得羅夫瓦爾
Зеленогорск,泽列诺戈尔斯克
Пестово,佩斯托沃
Орск,奧爾斯克
Волгодонск,伏尔加顿斯克
Вихоревка,維霍列夫卡
Вичуга,維丘加
Казань,喀山國際機場
Цильнинский район,齊利寧斯基區
Новомалыклинский район,新馬雷克林斯基區
Объединённый институт ядерных исследований,杜布纳联合原子核研究所
Ыгыатта,伊格阿塔河
Тахтамукайский район,塔赫塔穆凱斯基區
Ворсма,沃爾斯馬
Карабаново,卡拉巴諾沃
Служба безопасности президента Российской Федерации,俄羅斯總統安全勤務局
Туапсинский район,圖阿普辛斯基區
Ржевская битва,熱澤夫戰役
Каратузский район,卡拉圖茲斯基區
Волжск,沃尔日斯克
Вуктыл,武克特爾
Лоухский район,洛烏赫斯基區
Русские горки,俄罗斯山坡跳台滑雪中心
Коношский район,科諾什斯基區
Волгореченск,伏爾加列琴斯克
Партизанск,游击队城
Певек,佩韦克
Ветлуга,韋特盧加
Московский Кремль,克里姆林宫
Большое Верево,大Verevo
Загорская ГАЭС,扎戈爾斯克抽水蓄能發電廠
Поворино,波沃里諾
Покачи,波卡奇
Ея,葉亞河
Камчатка,堪察加河
Новокручининский,新克鲁奇宁斯基
Чернышевск,车尔尼雪夫斯克
Шивелуч,舍维留奇火山
Мир,和平号空间站
Торопец,托羅佩茨
Олонец,奧洛涅茨
Мариинск,馬林斯克
Белокатайский район,别洛卡泰区
латыши,拉脫維亞人
русские,俄羅斯人
Олонка,奧隆卡河
Пласт,普拉斯特
Плёс,普廖斯
Воркута,沃尔库塔
Плавск,普拉夫斯克
Покров,波克羅夫
Покровск,波克罗夫斯克
башкиры,巴什基爾人
вечная мерзлота,永久冻土
Вязники,維亞茲尼基
Вятские Поляны,維亞茨基耶波利亞內
Пионерский,皮奧涅爾斯基
Питкяранта,皮特基亞蘭塔
Кубанский государственный аграрный университет,库班国立农业大学
Выкса,維克薩
Печора,伯朝拉
Печоры,佩喬雷
Салда,薩爾達河
Газпром-Медиа Холдинг,俄罗斯天然气传媒控股股份公司
Группа ГАЗ,高爾基集團
Автомобильные дороги федерального значения России,俄罗斯联邦公路
Национальный исследовательский университет «МИЭТ»,莫斯科电子技术学院
Зимний дворец,冬宫
Восход,沃斯霍德_(莫斯科州)
Дубовский район,杜博夫卡区
Онгудай,翁古达伊
Слюдянка,斯柳江卡
Комсомольская площадь,共青團廣場
Черноморец,查路摩列斯
Останкинская телебашня,奧斯坦金諾電視塔
Высоковск,維索科夫斯克
Поронайск,波罗奈斯克
Володарск,沃洛達爾斯克
Российско-югоосетинские отношения,俄羅斯－南奧塞梯關係
Европейский маршрут E58,欧洲E58公路
Вольск,沃利斯克
Стрежевой,斯特列熱沃伊
Ботанический институт имени В. Л. Комарова РАН,科马罗夫植物研究所
Воскресенск,沃斯克列先斯克
Воткинск,沃特金斯克
чемпионат России по футболу,俄羅斯足球超級聯賽
Российско-грузинские отношения,格俄关系
Полевской,波列夫斯科伊
Полесск,波列斯克
РБК,《RBC journal》
Россия-24,俄罗斯24
Императорская Академия художеств,帝國藝術學院
Лямбирский район,利亞姆比爾斯基區
Заветы Ильича,伊里奇遗训镇_(哈巴罗夫斯克边疆区)
протестное движение в России 2011—2013 годов,2011年－2012年俄罗斯示威抗议
Нара,納拉河
Карасукский район,卡拉蘇克斯基區
Алдан (аэропорт),阿爾丹機場
Камское водохранилище,卡馬水庫
Упа,烏帕河
Арбатско-Покровская линия,阿尔巴特-波克罗夫卡线
Рабочий и колхозница,工人和集体农庄女庄员
МЕГА,萬佳商場
Аракамчечен,阿拉卡姆车臣岛
Глазов,格拉佐夫
Гдов,格多夫
Кума,庫馬河
Авиакатастрофа под Ярославлем 7 сентября 2011 года,2011年雅罗斯拉夫尔空难
Гаврилов Посад,加夫里洛夫鎮
Гаврилов-Ям,加夫里洛夫-亞姆
Гагарин,加加林
Луганск,卢甘斯克
Горнозаводск,戈爾諾扎沃茨克
Горняк,戈爾尼亞克
Ставропольский район,斯塔夫羅波利斯基區
Городец,戈羅傑茨
Вышний Волочёк,上沃洛喬克
Вяземский,维亚泽姆斯基
российско-корейская граница,朝俄边界
Игринский район,伊格林斯基區
Храм на Крови,叶卡捷琳堡诸圣堂
Архара,阿尔哈拉
город федерального значения в России,俄罗斯联邦直辖市
Sukhoi Superjet 100,苏霍伊-100超级喷气式飞机
Гаджиево,加吉耶沃
Гай,加伊
Орлинское озеро,奧爾林斯科耶湖
Славянка,斯拉夫扬卡河
Рождествено,罗日德斯特韦诺庄园
Гуково,古科沃
Гурьевск,古里耶夫斯克
Голицыно,戈利齊諾
Горбатов,戈爾巴托夫
Грязи,格里亞濟
НПО машиностроения,切洛梅设计局
горские евреи,高加索犹太人
Грайворон,格賴沃龍
Гремячинск,格列米亞欽斯克
Порхов,波爾霍夫
Почеп,波切普
Галич,加利奇
Губкин,古布金
Губкинский,古布金斯基
Тайцы,泰齐
Городище,戈羅季謝
Вялье,維亞利耶湖
Ижора,伊佐拉河
Юрино,尤里诺_(马里埃尔共和国)
Хорошёво-Мнёвники,霍羅紹沃-姆尼奧夫尼基區
Сургут,蘇爾古特
Четвёртое транспортное кольцо,莫斯科四環路
Smash!!,Smash!!
Арбат,阿爾巴特區
Полярный,波利亞爾內
Ростов,羅斯托夫足球俱樂部
Полысаево,波雷薩耶沃
Полярные Зори,波利亞爾內耶佐里
Сиверский,锡韦尔斯基
Чита,赤塔
Читинская область,赤塔州
ГЛОНАСС,格洛纳斯系统
Весенний,韋謝尼島
сельское поселение в России,农村居民点
Мэнкэрэ,緬克列河
гопники,高普尼克
Правдинск,普拉夫金斯克
Приволжск,普里沃爾日斯克
Пугачёв,普加喬夫
Пудож,普多日
Починок,波奇諾克
Пошехонье,波舍霍尼耶
Пустошка,普斯托什卡
Пучеж,普切日
Авиакатастрофа под Тюменью 2 апреля 2012 года,烏塔航空120號班機空難
Лендерка,列克薩河
Правда,真理报
Грязовец,格里卓維次
Губаха,古巴哈
архи,奶酒
Елогуй,葉洛圭河
Лопань,洛潘河
Белоозёрский,别洛奥焦尔斯基
Прокопьевск,普羅科皮耶夫斯克
Летний дворец Петра I,彼得大帝夏宫
Государственная Третьяковская галерея,特列季亚科夫画廊
Пестовский район,佩斯托夫斯基區
Плесецк,普列谢茨克
Вашка,瓦什卡河
Приморск,普里莫尔斯克_(加里宁格勒州)
Ситская битва,西蒂河戰役
Горячий Ключ,戈里亞奇克柳奇
Городовиковск,戈羅多維科夫斯克
Гороховец,戈羅霍韋茨
Северсталь,北方鋼鐵集團
автономный округ в составе России,俄羅斯自治區
Большая Хета,大赫塔河
Закаменский район,扎卡緬斯基區
Завод имени Лихачёва,利哈乔夫汽车厂
Давлеканово,達夫列卡諾沃
Далматово,達爾馬托沃
Гудермес,古傑爾梅斯
Приморско-Ахтарск,濱海阿赫塔爾斯克
Ковда,科夫達河
Пирожок,皮羅若克島
Сибирь,新西伯利亞人
Дальавиа,俄羅斯遠東航空
Дебёсский район,傑比奧斯基區
Завьяловский район,扎維亞洛夫斯基區
Балезинский район,巴列津斯基區
Ардонский район,阿爾頓斯基區
Государственный академический симфонический оркестр России,俄罗斯国立模范交响乐团
Локчим,洛克奇姆河
Измайлово,伊茲邁洛沃區
Иглинский район,伊格利諾區
Прохладный,普罗赫拉德内
Пушкино,普希金諾
Пущино,普希諾
Пыталово,佩塔洛沃
Дальнереченск,达利涅列琴斯克
Данилов,丹尼洛夫
Пролетарск,普羅列塔爾斯克
Протвино,普羅特維諾
Бородинское сражение,博罗金诺战役
Гусь-Хрустальный,古西赫鲁斯塔利内
Гурьевск,古里耶夫斯克
Гусиноозёрск,古西诺奥泽尔斯克
якуты,雅库特人
Таганрогский авиационный научно-технический комплекс имени Г. М. Бериева,别里耶夫設計局
Тихвинка,季赫溫卡河
Сясь,夏西河
Киясовский район,基亞索夫斯基區
Дигорский район,季戈爾斯基區
Моздокский район,莫茲多克斯基區
Ардон,阿爾東河
Вилючинская Сопка,維柳欽斯基火山
"Спасо-Преображенский собор, Санкт-Петербург",主显圣容大教堂
Забайкалье,外貝加爾山脈
Пыть-Ях,佩季亞赫
Радужный,拉杜日內
Радужный,拉杜日內
Российская партия жизни,艾米里歐·李維拉
Кезский район,克茲斯基區
Малопургинский район,馬洛普爾金斯基區
Камбарский район,坎巴爾斯基區
Жиганский район,日甘斯基區
А240,A240公路
Залив Шелихова,舍利霍夫灣
Лев Толстой,列夫·托尔斯泰站
Нюрбинский район,紐爾賓斯基區
Таттинский улус,塔特京斯基區
Данков,丹科夫
Дедовск,杰多夫斯克
Фёдоровка,菲奧多羅夫卡河
Омь,鄂木河
Шаболовская,沙博羅夫卡站
Корякское нагорье,科爾亞克山脈
площадь Победы,勝利廣場
Краснопресненская,紅普列斯妮婭站
Кирсановский район,基爾薩諾夫斯基區
Благовещенский собор Казанского кремля,圣母领报大教堂
Марха,馬爾哈河
Миасс,米阿斯河
Амга,阿姆加河
Охотский район,奧霍特斯基區
Волга,伏爾加足球俱樂部
Нижнетагильский металлургический комбинат,下塔吉尔钢铁联合企业
Городской округ «Поронайский»,波羅奈斯基區
Время в России,俄羅斯時區
14-я гвардейская общевойсковая армия,苏联近卫第14集团军
Аничков дворец,阿尼奇科夫宫
Зенит,泽尼特
Континентальная хоккейная лига,大陸冰球聯盟
Союз ТМ-18,联盟TM-18
Финал Лиги чемпионов УЕФА 2008,2008年欧洲冠军联赛决赛
литовцы,立陶宛人
Совет Федерации,俄羅斯聯邦委員會
Хопёр,霍皮奧爾河
Демидов мост,德米多夫桥
Пограничный,波格拉尼奇内
Здание органов госбезопасности на Лубянке,卢比扬卡大楼
Псебай,普谢拜
Зелёный мост,绿桥
Шацк,沙茨克
Домодедово,多莫杰多沃国际机场
Иркутский авиационный завод,伊尔库茨克航空工厂
Арена 2000,2000球场
Арена Химки,希姆基球場
Арена-Металлург,冶金体育馆
Годоберинский язык,戈德贝里语
южноюкагирский язык,科雷马尤卡吉尔语
Темниковский район,捷姆尼科夫斯基區
Ромодановский район,羅莫達諾夫斯基區
Ирбейский район,伊爾別伊斯基區
Союз ТМ-27,联盟TM-27
горско-еврейский язык,犹太-塔特语
татский язык,塔特語
Солнцево,太陽區
Новодеревеньковский район,新傑列文科夫斯基區
ротмистр,騎兵隊長
Василеостровская,瓦西里島站
Лежнево,列日涅沃_(伊万诺沃州)
РКК «Энергия»,科羅廖夫能源火箭航天集團
Уренский район,烏倫斯基區
Атака лёгкой бригады,轻骑兵的冲锋
Атомстройэкспорт,俄罗斯原子能出口公司
Ачхой-Мартан,亞扎開-馬爾坦
Земля Франца-Иосифа,法兰士约瑟夫地群岛
Викимапия,維基衛星地圖
Памятник Минину и Пожарскому,米寧和波扎爾斯基紀念碑
Юрибей,尤里別伊河
Райчихинск,赖奇欣斯克
Котельный остров,科捷利內島
Троице-Измайловский собор,三一大教堂
Marussia Motors,馬魯西亞
4-я гвардейская военная база,第4军事基地
мыс Дежнёва,杰日尼奥夫角
Сибирские Увалы,西伯利亞山脈
Боголюбово,博戈柳博沃
Белгород,別爾哥羅德國際機場
Керченский пролив,刻赤海峽
Большевик,布爾什維克島
Большой Кавказ,大高加索山脈
Кобра,科布拉河
ойратский язык,卫拉特语
Выборы в Государственную думу 2011 года,2011年俄罗斯国家杜马选举
Курильское течение,親潮
Моркока,莫爾科卡河
МиГ,俄羅斯米格航空器集團
Центральный аэрогидродинамический институт имени профессора Н.Е. Жуковского,中央流體力學研究所
Центральный военно-морской музей,中央海军博物馆
Центральный музей Военно-воздушных сил РФ,中央空軍博物館
Центрально-Чернозёмный заповедник,中央黑土自然保護區
Аэрофлот,俄羅斯航空
города России,俄罗斯城市列表
Центральный музей Вооружённых Сил,中央軍事博物館 (莫斯科)
Федеральное государственное бюджетное учреждение культуры «Центральный музей Великой Отечественной войны 1941-1945 гг.»,衛國戰爭中央博物館
Центральный район,中央行政區
Катав-Ивановский район,卡塔夫-伊瓦諾夫斯克區
Вознесенский собор (Новочеркасск),新切爾卡斯克主教座堂
Кизимен,基济缅火山
Комсомольский,共青镇_(莫尔多瓦共和国)
Восточный (порт),东方港
Шебалинский район,夏巴林区
Промсвязьбанк,俄罗斯工业通讯银行
Европейский маршрут E121,欧洲E121公路
чжурчжэньский язык,女真語
Национальный исследовательский ядерный университет «МИФИ»,国家核子研究大学
Пёза,皮尤扎河
Остров Вилькицкого,維利基茨基島
Крутихинский район,克魯季欣斯基區
Косью,科西尤河
Тутончана,圖通恰納河
Туманная река,圖們江
югский язык,尤格語
Верещагинский район,韋列夏金斯基區
Москаленский район,莫斯卡連斯基區
Русско-Полянский район,魯斯科-波良斯基區
политические партии России,俄羅斯政黨
Оконешниковский район,奧科涅什尼科夫斯基區
Аргут,阿爾古特河
Аэропорт Южно-Сахалинск имени Антона Чехова,南薩哈林斯克機場
Усть-Большерецкий район,烏斯季-博利舍列茨基區
