Paris,巴黎
La Vraie-Croix,拉弗赖克鲁瓦
pyramide du Louvre,卢浮宫金字塔
Reichsfeld,雷克斯弗尔
Les Abymes,莱萨比姆
Picardie,皮卡第
Tissey,蒂塞
Puyravault,皮拉沃
Wolxheim,沃尔克赛姆
Oberhoffen-lès-Wissembourg,奥伯奥芬-莱维桑堡
Wolfisheim,沃尔菲赛姆
Neewiller-près-Lauterbourg,洛泰堡附近内维莱尔
Vanzac,旺扎克
Junay,瑞奈
Monteneuf,蒙特讷夫
Séglien,塞格利安
Saint-Hilaire-du-Bois,圣伊莱尔迪布瓦
Eschwiller,埃什维莱尔
Marlenheim,马尔勒奈姆
Le Canard enchaîné,鴨鳴報
Libération,解放报
Séné,塞内
Noyalo,努瓦亚洛
Rothbach,罗特巴克
Wolfskirchen,沃尔夫斯基申
Saint-Martial,圣马夏尔
Siecq,谢克
Ménéac,梅内阿克
Île-de-France,法蘭西島大區
Saint-Cyr-les-Colons,圣西尔莱科隆
Sundhouse,桑杜斯
Centre-Val de Loire,中央-盧瓦爾河谷大區
Saint-Avé,圣阿韦
Saint-Germain-de-Marencennes,圣日耳曼-德马朗塞讷
Jully,瑞利
Pagny-la-Ville,帕尼城
Buëch,比埃什河
Sauzon,索宗
Carnac,卡尔纳克
Saint-Nicolas-du-Tertre,圣尼古拉迪泰特尔
Limerzel,利梅泽勒
Lutzelhouse,吕策卢斯
Moustoir-Remungol,穆斯图瓦尔-勒曼戈勒
Grand-Champ,格朗尚
Missiriac,米西里亚克
Saint-Léry,圣莱里
Gueltas,盖尔塔斯
Lupstein,吕普斯坦
Oudezeele,乌德泽勒
Troisième République française,法兰西第三共和国
Mussig,米西格
Maennolsheim,梅诺尔赛姆
Saint-Malo-de-Beignon,圣马洛德贝尼翁
Champagne-Ardenne,香槟-阿登
Saint-Gravé,圣格拉韦
Ratzwiller,拉茨维莱尔
Camors,卡莫尔
Gumbrechtshoffen,甘布雷克特索方
Néant-sur-Yvel,伊韦勒河畔内昂
Eecke,埃克
Caubeyres,科贝尔
Plobsheim,普洛布赛姆
Buhl,比勒
Houtkerque,乌特凯尔克
Saint-Denis-sur-Ouanne,乌昂河畔圣但尼
Corse,科西嘉
Loire-les-Marais,卢瓦尔莱马赖
Kleingœft,克兰戈埃夫
Clermont-Dessous,克莱蒙代苏
Dolmayrac,多尔迈拉克
Serrigny,塞里尼
Aunou-le-Faucon,欧努勒福孔
Sennevoy-le-Bas,下塞讷瓦
canton de Nolay,诺莱县
canton de Nuits-Saint-Georges,尼伊圣乔治县
Hœdic,埃迪克
Savoie,薩伏依
Salignac-sur-Charente,夏朗德河畔萨利尼亚克
Plougoumelen,普卢古默朗
arrondissement de Beaune,博讷区
canton d'Arnay-le-Duc,阿尔奈勒迪克县
Lanvaudan,朗沃当
Rottelsheim,罗泰尔桑
Voissay,瓦赛
Férel,费雷勒
occitan,奥克语
Fouchy,富希
Campénéac,康佩内阿克
Inguiniel,安吉涅勒
Landaul,朗多勒
Neubois,讷布瓦
Krautwiller,克罗特维莱
Larmor-Plage,拉莫尔普拉日
Beaugas,博加
Provence-Alpes-Côte d'Azur,普罗旺斯-阿尔卑斯-蔚蓝海岸大区
Premier Empire français,法兰西第一帝国
Saint-Julien-sur-Veyle,韦勒河畔圣于连
Saint-Jacut-les-Pins,圣雅屈莱潘
Plaudren,普洛德朗
Monterblanc,蒙泰尔布朗
Lauzach,洛扎克
Locmalo,洛克马洛
Catalogne Nord,北加泰罗尼亚
Bourgougnague,布尔古尼亚格
Courbiac,库尔比亚克
Port-Louis,路易港
Slovènes,斯洛維尼亞人
Kurtzenhouse,屈尔特藏乌斯
Cerdagne,塞尔达尼亚
Vallespir,瓦耶斯皮尔
Roussillon,鲁西永地区
Haegen,埃根
Crach,克拉克
Rochefort-en-Terre,罗什福尔昂泰尔
Loulay,卢莱
Conflent,孔夫朗
Capcir,卡普希尔
Fenouillèdes,弗努耶德
Kogenheim,科格奈姆
Bruch,布吕什
Harskirchen,阿尔斯基申
Cambes,康布
Birac-sur-Trec,特雷克河畔比拉克
Lasson,拉松
Antigny-la-Ville,昂蒂尼城
Second Empire,法蘭西第二帝國
Ploemel,普莱梅勒
Saint-Pierre-du-Palais,圣皮埃尔迪帕莱
Pluméliau,普吕梅利欧
Espiens,埃斯皮安
La Grée-Saint-Laurent,拉格雷圣洛朗
francoprovençal,法兰克-普罗旺斯语
Belmont,贝尔蒙
Stigny,斯蒂尼
Gœrsdorf,格尔斯多夫
Locoal-Mendon,洛科阿勒-芒东
Beaupuy,博皮
Glénac,格莱纳克
Allerey,阿勒雷
La Roche-Bernard,拉罗什贝尔纳
Dondas,栋达
Bidassoa,比達索阿河
Doubs,杜河
Pont-Scorff,蓬斯科夫
Doudrac,杜德拉克
Gourin,古兰
Knœrsheim,克讷尔赛姆
Saint-Hilaire-de-Villefranche,圣伊莱尔-德维勒弗朗什
Louzignac,卢济尼亚克
Culètre,屈莱特尔
Saint-Ciers-Champagne,圣西耶香槟
Saint-Saturnin-du-Bois,圣萨蒂南迪布瓦
Saint-Martin-d'Ordon,圣马丹多尔东
Normandie,诺曼底
Castelnaud-de-Gratecambe,卡斯泰尔诺-德格拉特康布
Guégon,盖贡
Camoël,卡莫埃勒
La Chapelle-Gaceline,拉沙佩勒加斯利讷
Castelnau-sur-Gupie,居皮河畔卡斯泰尔诺
Calignac,卡利尼亚克
Saint-Malo-des-Trois-Fontaines,圣马洛-德特鲁瓦方丹
Tréhorenteuc,特雷奥朗特克
Fort-Louis,路易堡
Peillac,佩亚克
Champignolles,尚皮尼奥勒
Cavarc,卡瓦尔克
Hengwiller,恩维莱尔
Hatten,阿滕
Beauziac,博济亚克
Langonnet,朗戈内
Le Guerno,勒盖尔诺
Île-aux-Moines,伊勒欧穆瓦讷
Kauffenheim,考弗奈姆
Lélex,莱莱克斯
Bouglon,布格隆
Kerfourn,凯尔富恩
Heiligenberg,艾利根贝格
Sainte-Colombe,圣科隆布
Sormery,索尔默里
Mortiers,莫尔捷
Kilstett,基尔斯泰
Arnay-le-Duc,阿尔奈勒迪克
Kergrist,凯尔格里斯特
Sérent,塞朗
Gœrlingen,格尔林根
Guéhenno,盖埃诺
Plumelin,普吕姆兰
Magnien,马尼安
Le Fête,勒费特
Foissy,富瓦西
Saint-Martin-de-Coux,圣马丹德库
Saint-Martin,圣马丹
Cussy-le-Châtel,屈西勒沙泰勒
Westhouse,韦斯图斯
Corbie,科尔比
Rangen,朗让
Lacanche,拉康什
Longecourt-lès-Culêtre,隆日库尔-莱屈莱特尔
Caubon-Saint-Sauveur,科邦-圣索沃尔
Fessenheim-le-Bas,下费瑟奈姆
Ploemeur,普勒默尔
Baud,博
Clomot,克洛莫
Lanester,拉内斯泰尔
Westhouse-Marmoutier,韦斯图斯马尔穆捷
Clermont-Soubiran,克莱蒙苏比朗
Puyrolland,皮罗朗
Neulles,讷勒
Salignac-de-Mirambeau,萨利尼亚克-德米朗博
Saint-Pierre-en-Vaux,圣皮埃尔昂沃
Péaule,佩欧勒
Nivillac,尼维亚克
Maligny,马利尼
Mimeure,米默尔
Réminiac,雷米尼亚克
Talcy,塔尔西
Landévant,朗代旺
Saint-Loup-d'Ordon,圣卢多尔东
Saint-Dolay,圣多莱
Thales Alenia Space,泰雷兹阿莱尼亚宇航公司
Saint-Gonnery,圣戈纳里
Virson,维尔松
Langoëlan,朗戈埃朗
Merlevenez,梅尔勒沃内
Locmaria-Grand-Champ,洛克马里亚格朗尚
Truchtersheim,特吕什特赛姆
Josselin,若斯兰
Mohon,莫翁
Hennebont,埃讷邦
Moulins-en-Tonnerrois,托内鲁瓦地区穆兰
Jouey,茹埃
Westhoffen,韦斯托芬
Vœllerdingen,沃埃莱尔丹让
Montertelot,蒙泰尔特洛
Aloxe-Corton,阿洛斯科尔通
Amelécourt,阿姆莱库尔
Muron,米龙
Marchais-Beton,马尔谢贝通
Porcaro,波尔卡罗
La Chapelle-Caro,拉沙佩勒卡罗
Schœnenbourg,舍嫩堡
Île-d'Houat,伊勒德瓦特
Bellange,贝朗日
Rouffignac,鲁菲尼亚克
Sarre-Union,萨尔于尼翁
Musigny,米西尼
Landes,朗德
Nachamps,纳尚
Donnelay,多讷莱
Molac,莫拉克
Lichtenberg,利什滕贝格
Coulx,库尔
Sousmoulins,苏穆兰
Viévy,维耶维
Bischheim,比沙伊姆
Saint-Jean-de-Liversay,圣让德利韦尔赛
Saint-Rogatien,圣罗加西安
Meloisey,默卢瓦塞
Le Bono,勒博诺
Mavilly-Mandelot,马维利芒代洛
Bouilland,布扬
Jacques Monod la Demi-Lieue,雅克·莫诺-半地站
Échevronne,埃什夫罗讷
Villejuif,犹太城
Calan,卡朗
Saint-Caradec-Trégomel,圣卡拉代克特雷戈梅
Auxey-Duresses,欧塞迪雷斯
Saint-Prix-lès-Arnay,圣普里莱萨尔奈
Le Hézo,勒埃佐
Brignac,布里尼亚克
Dalstein,达尔斯坦
Pommiers-Moulons,波米耶-穆隆
Saint-Servant,圣塞尔旺
Locmariaquer,洛克马里亚凯尔
Theix,泰克斯
Inzinzac-Lochrist,安赞扎克-洛克里斯特
Thors,托尔
Condé-Northen,孔代-诺尔滕
Monthelie,蒙泰利
Concoret,孔科雷
Bioncourt,比永库尔
Treffléan,特雷夫莱昂
Villenavotte,维勒纳沃特
Quéven,凯旺
Villedoux,维勒杜
Silfiac,锡尔菲亚克
Gomelange,戈姆朗日
Évriguet,埃夫里盖
Meursault,默尔索
Saint-Pardoult,圣帕尔杜
Pernand-Vergelesses,佩尔南-韦热莱斯
Ruffiac,吕菲亚克
Fossieux,福雪
Bon-Encontre,博南孔特尔
Salles-sur-Mer,滨海萨勒
Delme,代尔姆
Rœschwoog,勒什沃格
Sainte-Colombe,圣科隆布
Tharot,塔罗
Bouze-lès-Beaune,布兹莱博讷
Saint-Sauveur-d'Aunis,圣索沃尔多尼斯
Gâvres,加夫尔
Cléguer,克莱盖尔
Haraucourt-sur-Seille,塞耶河畔阿罗库尔
Chorey-les-Beaune,绍雷莱博讷
Pommard,波马尔
Beaune,博讷
Nantoux,楠图
Noyal-Pontivy,努瓦亚勒蓬蒂维
Percey,佩尔塞
Valff,瓦尔夫
Savigny-lès-Beaune,萨维尼莱博讷
Kervignac,凯维尼亚克
Hampont,昂蓬
Bligny-lès-Beaune,布利尼莱博讷
Chevigny-en-Valière,舍维尼昂瓦利耶尔
Saint-Vivien,圣维维安
Île-d'Arz,伊勒达尔
Uttwiller,于特维莱
Cléguérec,克莱盖雷克
Monterrein,蒙泰兰
Saint-Thuriau,圣蒂里奥
Rugny,吕尼
Ladoix-Serrigny,拉杜瓦-塞里尼
Lorient,洛里昂
Wildersbach,维尔代尔斯巴克
Tréal,特雷阿勒
Aytré,艾特雷
Référendum d'autodétermination de l'Algérie,1962年阿尔及利亚独立公投
Wahlenheim,瓦勒奈姆
Volnay,沃尔奈
Saint-Froult,圣弗鲁
Châtelaillon-Plage,沙泰拉永普拉日
Loyat,洛亚
Chenois,舍努瓦
Locmaria,洛克马里亚
L'Haÿ-les-Roses,拉伊萊羅斯
Ploeren,普莱朗
Saint-Martin-de-Juillers,圣马丹德瑞耶
Sainte-Soulle,圣苏勒
Niederrœdern,涅代尔罗埃代尔恩
Saint-Loup,圣卢
Saint-Cyr-du-Doret,圣西尔迪多雷
Island,伊斯朗
Ruffey-lès-Beaune,吕费莱博讷
Léning,莱南
Venizy,沃尼济
Ébaty,埃巴蒂
Urmatt,于尔马特
Ternant,泰尔南
Merceuil,梅尔瑟伊
Levernois,勒韦尔努瓦
Meucon,默孔
Le Cours,勒库尔
Combertault,孔贝尔托
Valouse,瓦卢斯河
Angoulins,昂古兰
Mazerolles,马兹罗勒
Sarzeau,萨尔佐
Vendenheim,文德奈姆
La Walck,拉瓦尔克
Uttenhoffen,于唐奥方
Urbeis,于尔贝
Cryo Interactive,Cryo互動
Saint-Ouen-la-Thène,圣旺拉泰讷
Saint-Seine-sur-Vingeanne,万雅讷河畔圣塞纳
Caumont-sur-Garonne,加龙河畔科蒙
Oberhaslach,奥伯拉斯拉克
Polignac,波利尼亚克
Bournel,布尔内勒
Ormoy,奥尔穆瓦
Bessy-sur-Cure,屈尔河畔贝西
Marigny-lès-Reullée,马里尼莱勒莱
Antheuil,昂特伊
Saint-Christophe,圣克里斯托夫
Saint-Allouestre,圣阿卢埃斯特尔
Vitry-sur-Seine,塞纳河畔维特里
Meursanges,默尔桑日
Tailly,塔伊
Bussy-en-Othe,奥特地区比西
Marignac,马里尼亚克
Montagny-lès-Beaune,蒙塔尼莱博讷
Montigny-Mornay-Villeneuve-sur-Vingeanne,蒙蒂尼-莫尔奈-万雅讷河畔新城
Saint-Maurice-Thizouaille,圣莫里斯蒂祖阿耶
Neuvicq,讷维克
Paris Photo,巴黎国际照片展销博览会
Alpes occidentales,西阿爾卑斯山脈
Butteaux,比托
Saint-Maurice,圣莫里斯
Corcelles-les-Arts,科尔塞勒莱萨尔
Ergersheim,埃尔热尔桑
Montdidier,蒙迪迪耶
Orain,奥兰
Vignoles,维尼奥勒
Pouilly-sur-Vingeanne,万雅讷河畔普伊
Malicorne,马利科尔纳
Quiberon,基伯龙
pic du Midi d'Ossau,南奥索峰
Pech de Bugarach,比加拉什峰
Football Bourg-en-Bresse Péronnas 01,保格柏隆拿斯足球會
Volksberg,福尔克斯贝格
Sainte-Marie-la-Blanche,圣玛丽拉布朗什
Aubaine,欧拜讷
station spatiale internationale,国际空间站
Nordheim,诺尔代姆
grottes de Gargas,加尔加斯洞穴
Quenne,凯讷
Chaudenay-le-Château,绍德奈堡
Dampierre-et-Flée,当皮埃尔和弗莱
Beugnon,伯尼翁
Championnats du monde de tennis,世界硬地网球锦标赛
Villefargeau,维勒法尔若
Chémery-les-Deux,谢姆里莱德
Samer,萨梅
Bassou,巴苏
Larré,拉雷
Arraincourt,阿兰库尔
Willgottheim,维尔戈泰姆
Le Palais,勒帕莱
Siegen,锡根
Han-sur-Nied,尼德河畔昂
Saint-Barthélemy,聖巴泰勒米
Pleucadeuc,普勒卡德克
Fontaine-Française,方丹弗朗赛斯
Beauvilliers,博维利耶
Licey-sur-Vingeanne,万雅讷河畔利塞
Chaume-et-Courchamp,绍姆和库尔尚
Bessey-la-Cour,贝塞拉库尔
Bligny-sur-Ouche,乌什河畔布利尼
Carisey,卡里塞
Bourberain,布尔伯兰
Saint-Martin,圣马丁岛
Priziac,普里济亚克
Auxant,欧克桑
La Bussière-sur-Ouche,乌什河畔拉比西耶尔
Bonnard,博纳尔
Riantec,里扬泰克
Ambillou-Château,昂比尤堡
Baon,邦村
Walbourg,瓦尔堡
Cussy-la-Colonne,屈西拉科洛讷
Villé,维莱
Bellechaume,贝勒绍姆
Leugny,勒尼
Chaudenay-la-Ville,绍德奈城
Saint-Maurice-sur-Vingeanne,万雅讷河畔圣莫里斯
Val-de-Mercy,瓦勒德梅尔西
Bleigny-le-Carreau,布莱尼勒卡罗
Bessey-en-Chaume,绍姆地区贝塞
Crugey,克吕热
Saint-Jean-la-Poterie,圣让拉波特里
Haute-Vigneulles,上维尼厄勒
Écutigny,埃屈蒂尼
Bois-d'Arcy,布瓦达尔西
Saint-Abraham,圣亚伯拉罕
Burlioncourt,比利永库尔
Attilloncourt,阿蒂隆库尔
Jaulges,若尔日
Quelneuc,凯尔讷克
canton de Lormont,洛尔蒙县
canton de Talence,塔朗斯县
Vienne,維埃納
Fouligny,富利尼
Dalhain,达兰
Brosses,布罗斯
Blannay,布拉奈
Baudrecourt,博德勒库尔
canton de Mérignac-2,梅里尼亚克第二县
canton de Mérignac-1,梅里尼亚克第一县
Baugé,博热
Bouzillé,布济耶
Marcheseuil,马尔舍瑟伊
Chanteloup-les-Bois,尚特卢莱布瓦
Thorey-sur-Ouche,乌什河畔托雷
Saussey,索塞
Painblanc,潘布朗
Fonteny,丰特尼
Beauvoir,博瓦尔
canton de Pessac-2,佩萨克第二县
Alpine,阿尔派汽车
canton de Pessac-1,佩萨克第一县
Branches,布朗什
Lusigny-sur-Ouche,乌什河畔吕西尼
Bionville-sur-Nied,尼德河畔比永维尔
Montceau-et-Écharnant,蒙索和埃沙尔南
Thomirey,托米雷
Sementron,瑟芒特龙
Béhuard,贝于阿尔
Masters de Monte-Carlo 2004,2004年蒙地卡羅大師賽
Vermandois,韦尔芒杜瓦
Saint-Vincent-sur-Oust,乌斯特河畔圣樊尚
Sulniac,叙尔尼亚克
Écos,埃科
Pluherlin,普吕埃尔兰
Aigues-Vives,艾格维沃
Saint-Guyomard,圣吉约马尔
Bourgaltroff,布加尔特罗夫
Blacy,布拉西
Veilly,韦伊
JCDecaux,德高集團
Francaltroff,弗朗卡尔特罗夫
Taupont,托蓬
Aboncourt-sur-Seille,塞耶河畔阿邦库尔
Mosson,莫松
Surzur,叙聚尔
Gallargues-le-Montueux,加拉尔格勒蒙蒂厄
Saint-Perreux,圣佩勒
Le Roc-Saint-André,勒罗克圣安德烈
Weyersheim,韦埃尔桑
Vic-des-Prés,维克代普雷
Magny-les-Hameaux,马尼莱阿莫
Manlay,芒莱
Pont-Noyelles,蓬努瓦耶勒
Le Lac-d'Issarlès,勒拉克迪萨莱斯
Vignol,维尼奥勒
Veuvey-sur-Ouche,乌什河畔沃韦
Tracy-sur-Loire,卢瓦尔河畔特拉西
Vandenesse,旺德内斯
Pacte civil de solidarité,法國民事結合
Grimbosq,格兰博
Blanot,布拉诺
saut en hauteur masculin aux Jeux olympiques d'été de 1900,1900年夏季奥林匹克运动会田径男子跳高比赛
athlétisme aux Jeux olympiques de 1900 - triple saut sans élan,1900年夏季奧林匹克運動會田徑男子立定三級跳遠比賽
Bugatti,布佳迪
Rohan,罗昂
Mulhouse,米卢斯
Diancey,迪扬塞
ministère des Armées,法国国防部
montagne Pelée,培雷火山
Armentières-sur-Ourcq,乌尔克河畔阿尔芒蒂耶尔
Uhlwiller,于尔维莱
Hannocourt,阿诺库尔
canton de Saint-Médard-en-Jalles,圣梅达尔昂雅勒县
Plumelec,普吕姆莱克
Saint-Congard,圣孔加尔
Poilly-sur-Serein,瑟兰河畔普瓦伊
Delage,德拉热
championnat d'Europe de basket-ball 1983,1983年欧洲篮球锦标赛
Ménessaire,梅内赛尔
Bermering,贝尔默兰
Sussey,叙塞
Savilly,萨维利
Nitry,尼特里
Arvert,阿韦尔
Achain,阿尚
Brazey-en-Morvan,莫尔旺地区布拉泽
Censerey,桑瑟雷
île de Sable,珊迪島
championnats d'Europe de natation en petit bassin 2012,2012年歐洲短道游泳錦標賽
Bourdonnay,布尔多奈
Jour du Souvenir,國殤紀念日
Bard-le-Régulier,巴尔勒雷居利耶
Urzy,于尔济
Saint-Martin-de-la-Mer,圣马丹德拉梅尔
Saint-Nolff,圣诺尔夫
Vianges,维扬日
La Trinité-Porhoët,拉特里尼泰-波罗埃特
Liernais,列奈
Villiers-le-Sec,维利耶勒塞克
Haboudange,阿布当日
Tresnay,特雷奈
Baubigny,博比尼
Vielmanay,维耶尔马奈
Varennes-Vauzelles,瓦雷讷-沃泽勒
Bibiche,比比什
Adaincourt,阿丹库尔
Oltingue,奥尔坦格
Saint-Jodard,圣若达尔
Tronsanges,特龙桑日
Pluneret,普吕讷雷特
Bassing,巴桑
Plouay,普卢艾
Chassagne-Montrachet,沙萨涅蒙拉谢
Saint-Constant,圣康斯坦
Varennes-lès-Narcy,瓦雷讷莱纳尔西
athlétisme aux Jeux olympiques de 1900 - saut en longueur sans élan,1900年夏季奧林匹克運動會田徑男子立定跳遠比賽
Villiers-en-Morvan,莫尔旺地区维利耶尔
Bénestroff,贝内斯特罗夫
Quistinic,基斯蒂尼克
Vault-de-Lugny,沃德吕尼
Michelbach-le-Haut,米谢尔巴克莱奥
Bacourt,巴库尔
Grimault,格里莫
Trucy-l'Orgueilleux,特吕西洛格约
Albestroff,阿尔贝斯特罗夫
athlétisme aux Jeux olympiques de 1900 - 200 mètres hommes,1900年夏季奧林匹克運動會田徑男子200米比賽
Château-Bréhain,布雷安堡
Fontenouilles,丰特努耶
Verneuil,韦尔讷伊
Ivry-en-Montagne,伊夫里昂蒙塔涅
Jours-en-Vaux,茹尔昂沃
Helstroff,埃尔斯特罗夫
Heining-lès-Bouzonville,埃南莱布宗维尔
bataille de Crécy,克雷西會戰
Fontaine-sur-Maye,马耶河畔方丹
Villapourçon,维拉普松
Vitry-Laché,维特里拉谢
Puligny-Montrachet,皮利尼蒙拉谢
Corpeau,科尔波
Cormot-le-Grand,大科尔莫
Alaincourt-la-Côte,阿兰库尔拉科特
Terres australes et antarctiques françaises,法属南部和南极领地
Magny,马尼
Montreux-Vieux,旧蒙特勒
Sambourg,桑堡
Oberdorf,奥伯多夫
Adelange,阿德朗日
Saint-Romain,圣罗曼
Oberbruck,奥伯布吕克
Bambiderstroff,邦比代尔斯特罗
Raedersheim,雷德赛姆
Intercity-Express,城际特快列车
Hauterive,欧特里沃
Boucheporn,布什波恩
championnats du monde d'aviron 2015,2015年世界划船錦標賽
Fulvy,菲尔维
Acheux-en-Amiénois,阿舍昂纳米耶努瓦
Acheux-en-Vimeu,维默地区阿舍
relations entre la France et le Royaume-Uni,法英關係
Diebling,迪布兰
Toury-Lurcy,图里-吕尔西
Santenay,桑特奈
Villiers-sur-Yonne,约讷河畔维利耶
Molinot,莫利诺
Michelbach-le-Bas,米谢尔巴克莱巴
Oderen,奥德伦
Bréhain,布雷安
Domnom-lès-Dieuze,栋农莱迪约兹
Radenac,拉德纳克
Santosse,桑托斯
Ranspach-le-Bas,朗斯帕克莱巴
Berviller-en-Moselle,莫塞尔地区贝尔维莱
Pfetterhouse,普费特鲁斯
100 mètres masculin aux Jeux olympiques d'été de 1900,1900年夏季奧林匹克運動會田徑男子100米比賽
Muntzenheim,蒙策奈姆
athlétisme aux Jeux olympiques de 1900 - saut en hauteur sans élan,1900年夏季奥林匹克运动会田径男子立定跳高比赛
Ville-Langy,维尔朗吉
Nolay,诺莱
Girolles,日罗勒
Ablaincourt-Pressoir,阿布兰库尔-普雷苏瓦尔
Vauclaix,沃克莱
Aubigny-la-Ronce,欧比尼拉龙斯
Vauchignon,沃希尼翁
La Rochepot,拉罗什波
Toury-sur-Jour,茹尔河畔图里
Abbeville,阿布维尔
Niederhergheim,涅德雷尔甘
Franche-Comté,弗朗什-孔泰
basilique du Sacré-Cœur de Montmartre,聖心堂
catacombes de Paris,巴黎地下墓穴
Bezange-la-Petite,小伯藏日
Trois-Vèvres,特鲁瓦韦夫尔
Paroy-en-Othe,奥特地区帕鲁瓦
Varzy,瓦尔济
TGV,法国高速列车
Thury,蒂里
Flers,弗莱尔
Tintury,坦蒂里
Fontenay-sous-Fouronnes,丰特奈苏富罗讷
Petit-Landau,小朗多
Rorbach-lès-Dieuze,罗尔巴克莱迪约兹
Villefranche,维勒弗朗什
canton de Vic-sur-Aisne,埃纳河畔维克县
Saint-Aubin,圣欧班
Arcenant,阿尔瑟南
Mortzwiller,莫尔特兹维莱
Viviers,维维耶
Lubécourt,吕贝库尔
Sommecaise,索姆凯斯
Riedwihr,里德维尔
Saint-Brancher,圣布朗谢
Villers-sur-Nied,尼德河畔维莱尔
Vittoncourt,维通库尔
Villiers-les-Hauts,上维利耶尔
Mercy,梅尔西
Midi-Pyrénées,南部-比利牛斯
Boncourt-le-Bois,邦库尔勒布瓦
Duras,迪拉斯
Ajoncourt,阿容库尔
Œting,厄坦
Vannecourt,瓦讷库尔
Oberhergheim,奥伯雷尔甘
Rimbach-près-Masevaux,里姆巴克普雷马瑟沃
Oriocourt,奥里奥库尔
Comblanchien,孔布朗希安
Guerchy,盖尔希
ESCP Business School,ESCP欧洲商学院
Pimelles,皮梅勒
bataille de Normandie,诺曼底战役
Vassy-sous-Pisy,瓦西苏皮西
Niederentzen,涅德朗特藏
Peyre,佩尔
Pfastatt,法斯塔特
Ommeray,奥姆赖
Xocourt,克索库尔
Flagey-Echézeaux,弗拉热-埃谢佐
Kerprich-aux-Bois,凯尔普里什欧布瓦
Nébing,内班
débarquement de Normandie,諾曼第登陸
mont Blanc de Courmayeur,庫馬耶勃朗峰
Hispano-Suiza,西班牙-瑞士
pâte feuilletée,酥皮
Saint-Brieuc,圣布里厄
Sennevoy-le-Haut,上塞讷瓦
Gainneville,盖讷维尔
Ribeauvillé,里博維萊
Association mondiale des journaux,世界報業協會
Tharoiseau,塔鲁瓦索
Chaux,绍镇
Fussey,菲塞
Calonges,卡隆日
Monget,蒙热
Arsac-en-Velay,沃莱地区阿尔萨克
Jussy,瑞西
Mailly-la-Ville,马伊城
Championnats du monde de karaté 2012,2012年世界空手道錦標賽
Marey-lès-Fussey,马雷莱菲塞
Gilly-lès-Cîteaux,日伊莱西托
Muespach-le-Haut,米埃斯帕克莱奥
Romagny,罗马尼
Donjeux,栋热
Venouse,沃努斯
Meuilley,默耶
Kalhausen,卡劳森
Rosenau,罗斯诺
La Liberté guidant le peuple,自由引导人民
César de la meilleure révélation féminine,凯撒电影奖最佳新人女演员
Agencourt,阿让库尔
Menades,默纳德
Mant,芒村
Éblange,埃布朗日
Cutting,屈坦
Voimhaut,瓦莫
Premeaux-Prissey,普雷莫-普里塞
Argoules,阿尔古勒
Kirsch-lès-Sierck,基尔斯克莱谢尔
Niederbruck,尼德布吕克
Ancerville,昂塞维尔
Saint-Martin-sur-Ocre,奥克尔河畔圣马丹
Grandes Jorasses,大若拉斯山
Gerland,热尔朗
Nuits-Saint-Georges,尼伊圣乔治
Réguisheim,雷吉赛姆
mont Maudit,莫迪山
dôme du Goûter,古特圓丘
mont Blanc du Tacul,勃朗杜塔库峰
Vignes,维涅
Metzing,梅灿
Hartzviller,阿尔特兹维莱
Dior Homme,迪奥男装
Calvisson,卡尔维松
Mœrnach,默尔纳克
Montigny-la-Resle,蒙蒂尼拉雷勒
Magny-lès-Villers,马尼莱维莱尔
Argilly,阿尔日伊
Rammersmatt,拉默斯马特
Rombach-le-Franc,龙巴勒弗朗
Mooslargue,莫斯拉尔格
Lesperon,莱斯珀龙
Morganx,莫尔冈
Corgoloin,科尔戈卢万
Saint-Nicolas-lès-Cîteaux,圣尼古拉莱西托
Aulnois-sur-Seille,塞耶河畔欧努瓦
aiguille de Bionnassay,比翁納西峰
dent du Géant,巨人齒峰
Villars-Fontaine,维拉尔方丹
Roderen,罗德伦
Roffey,罗费
Perreux,佩勒
Quincerot,坎斯罗
Ailly-sur-Somme,索姆河畔阿伊
Nambsheim,南布桑
Airaines,艾赖讷
Rorschwihr,罗什维尔
Vincelles,万塞勒
Poudenx,普当
Obermorschwiller,奥贝尔莫尔斯克维莱
Maligny,马利尼
Armancourt,阿尔芒库尔
Rantzwiller,朗特兹维莱
Saint-Bernard,圣贝尔纳
Quincey,坎塞
Fontoy,丰图瓦
Bellenot-sous-Pouilly,贝勒诺苏普伊
Aigneville,艾涅维尔
Senan,瑟南
Walbach,瓦尔巴克
Andechy,昂德希
Agenvillers,阿让维莱尔
Villers-la-Faye,维莱拉费
Looze,洛兹
Roggenhouse,罗格努斯
Basse-Ham,下阿姆
Buhl-Lorraine,比勒洛林
Vireaux,维罗
Arrest,阿雷
aiguille Verte,韦尔特山
Grande Rocheuse,大洛磯山
barre des Écrins,巴尔德塞克兰峰
Varennes,瓦雷讷
Argœuves,阿尔格沃
Beurey-Bauguay,伯雷博盖
Assainvillers,阿桑维莱尔
Kemplich,肯普利什
Andainville,昂丹维尔
Bazoncourt,巴宗库尔
Villy-le-Moutier,维利莱穆蒂耶
Muhlbach-sur-Munster,曼斯泰河畔米尔巴克
Bouhey,布埃
Hanviller,昂维莱尔
Prunoy,普吕努瓦
Ham-sous-Varsberg,阿姆苏瓦尔斯贝格
Montreux-Jeune,新蒙特勒
Moosch,莫什
Raedersdorf,拉埃代尔斯多尔
