George Washington,조지 워싱턴
André Kertész,안드레 케르테스
Sanaa Lathan,사나 레이선
Aisha Tyler,아이샤 타일러
Melissa Belote,멀리사 벨로트
Czesław Miłosz,체스와프 미워시
Katie Couric,케이티 커릭
Anna Wintour,애나 윈터
Irene Worth,아이린 워스
Emily Osment,에밀리 오스먼트
Rebecca Gayheart,리베카 게이하트
Dale Carnegie,데일 카네기
Edward James Olmos,에드워드 제임스 올모스
Brandon Lee,브랜던 리
Lake Bell,레이크 벨
Ann Miller,앤 밀러
Juliet Landau,줄리엣 랜다우
I. M. Pei,I. M. 페이
Eric S. Raymond,에릭 레이먼드
Max Theiler,막스 타일러
Gar Samuelson,가 사무엘슨
Matthew McConaughey,매슈 매코너헤이
Melissa Benoist,멀리사 베노이스트
Benny Goodman,베니 굿먼
James Naismith,제임스 네이스미스
Man Ray,만 레이
Angie Stone,앤지 스톤
Martika,마티카
Georgia O'Keeffe,조지아 오키프
Noah Webster,노아 웹스터
Seth MacFarlane,세스 맥팔레인
Jack Kevorkian,잭 케보키언
Hulk,헐크
Raven-Symoné,레이븐시몬
David Robinson,데이비드 로빈슨
Brenda Lee,브렌다 리
Channing Tatum,채닝 테이텀
Allan Lane,앨런 레인
John Petrucci,존 페트루치
Jon Stewart,존 스튜어트 (희극인)
Claudia Christian,클로디아 크리스천
Linda Park,린다 박
Helena Mattsson,헬레나 맛손
Helen Slater,헬렌 슬레이터
Jacqueline Susann,재클린 수잔
Alexis Dziena,알렉시스 지나
Catherine Bell (actress),캐서린 벨
Melissa Gilbert,멀리사 길버트
Annie Oakley,애니 오클리
Amanda Bynes,어맨다 바인스
Jordana Brewster,조대나 브루스터
Maureen Stapleton,모린 스테이플턴
Willem Dafoe,윌럼 더포
Glenn Ford,글렌 포드
Mira Sorvino,미라 소비노
David Schwimmer,데이비드 슈위머
Richard Axel,리처드 액설
William Tecumseh Sherman,윌리엄 테쿰세 셔먼
Merle Oberon,멀 오베론
China Anne McClain,차이나 앤 매클레인
Jake Silbermann,제이크 실버먼
Katie Featherston,케이티 페더스턴
Rebecca Soni,리베카 소니
Janice Dickinson,재니스 디킨슨
Ethelda Bleibtrey,에셀다 블라이브트리
Lisa Marie (actress),리사 마리
McKayla Maroney,매케일라 머로니
Sharon Stouder,샤론 스타우더
Jordan Ladd,조던 래드
Warren Buffett,워렌 버핏
Condoleezza Rice,콘돌리자 라이스
Nate Dogg,네이트 도그
Chris Poland,크리스 폴랜드
Ben Stiller,벤 스틸러
Joseph Smith,조셉 스미스 주니어
Bill Russell,빌 러셀
Shailene Woodley,셰일린 우들리
Mary Blair,메리 블레어
Marie Colvin,마리 콜빈
Roger Ebert,로저 이버트
Jayma Mays,제이마 메이스
Jenny Thompson,제니 톰프슨
Patricia Heaton,퍼트리샤 히턴
Rudy Giuliani,루돌프 줄리아니
William Gibson,윌리엄 깁슨
John Frusciante,존 프루시안테
Ronda Rousey,론다 라우시
Mayim Bialik,마임 바이알릭
Morena Baccarin,모레나 바카링
Lana Parrilla,라나 파리야
Helen Stephens,헬렌 스티븐스
Vonda N. McIntyre,본다 N. 매킨타이어
Roger Guillemin,로제 기유맹
Erich Maria Remarque,에리히 마리아 레마르크
Kyle Broflovski,카일 브로플로브스키
Eric Cartman,에릭 카트먼
Jennifer Lawrence,제니퍼 로렌스
Liane Cartman,리안 카트먼
Henry Morgenthau Sr.,헨리 모건소
Maggie Siff,매기 시프
Bree Turner,브리 터너
Brittany Andrews,브리트니 앤드루스
Liam Aiken,리엄 에이킨
Curtis Granderson,커티스 그랜더슨
Robert Venturi,로버트 벤투리
Heather O'Rourke,헤더 오루크
Dania Ramirez,다니아 라미레스
Ashley Roberts,애슐리 로버츠
Coretta Scott King,코레타 스콧 킹
Jenny McCarthy,제니 매카시
Dianne Reeves,다이앤 리브스
Shonda Rhimes,숀다 라임스
Leah Remini,리아 레미니
Amy Jo Johnson,에이미 조 존슨
Julie Gonzalo,줄리 곤살로
Alyssa Milano,얼리사 밀라노
Xzibit,엑스지빗
Stan Marsh,스탠 마시
Robert Rodriguez,로버트 로드리게스
Lou Reed,루 리드
B. B. King,B.B. 킹
Howard Hughes,하워드 휴스
Igor Sikorsky,이고리 시코르스키
George Eastman,조지 이스트먼
Joseph McCarthy,조지프 매카시
Cliff Burton,클리프 버튼
Amanda Beard,어맨다 비어드
Patrick Dempsey,패트릭 뎀프시
Natasha Richardson,너태샤 리처드슨
Lawrence Tierney,로런스 티어니
Steven Pinker,스티븐 핑커
Rick Riordan,릭 라이어던
Julie London,줄리 런던
Olivia Thirlby,올리비아 설비
Kate Mara,케이트 마라
Brian De Palma,브라이언 드 팔마
Carlos Bocanegra,카를로스 보카네그라
Emma Caulfield,에마 콜필드
Joan Jett,조앤 제트
Kevin Garnett,케빈 가넷
Amanda Seyfried,어맨다 사이프리드
Sean Astin,숀 애스틴
Robert Gates,로버트 게이츠
Monica Lewinsky,모니카 르윈스키
Eric Clapton,에릭 클랩튼
Dana Vollmer,데이나 볼머
David Shepherd Nivison,데이비드 니비슨
Pete Conrad,피트 콘래드
Annette O'Toole,애넷 오툴
Amber Tamblyn,앰버 탬블린
Kelly Hu,켈리 후
Mamie Gummer,메이미 거머
Grace Zabriskie,그레이스 자브리스키
Betty Ford,베티 포드
Billy Ray Cyrus,빌리 레이 사이러스
Anne Fletcher,앤 플레처
Khloé Kardashian,클로이 카다시안
Crissy Moran,크리시 모란
Candace Parker,캔디스 파커
Kenny McCormick,케니 맥코믹
Milton Friedman,밀턴 프리드먼
John Brown (abolitionist),존 브라운
Chef (South Park),셰프 (사우스 파크)
Wendy Testaburger,웬디 테스타버거
Mr. Garrison,허버트 개리슨
Gloria Stuart,글로리아 스튜어트
Andy García,앤디 가르시아
Brooke Shields,브룩 실즈
Paris Hilton,패리스 힐튼
Stephen Colbert,스티븐 콜베어
Kim Novak,킴 노백
Zendaya,젠데이아
Gloria Steinem,글로리아 스타이넘
Torrie Wilson,토리 윌슨
Celeste Holm,설레스트 홈
Samuel Adams,새뮤얼 애덤스
Theodore William Richards,시어도어 리처즈
Helena Blavatsky,헬레나 블라바츠키
Burt Bacharach,버트 배커랙
Zen Gesner,젠 게스너
Lily Pons,릴리 폰스
Marion Davies,매리언 데이비스
Janel Parrish,저넬 패리시
Amanda Lepore,어맨다 레포어
Carol Potter (actress),캐럴 포터
Cameron Richardson,캐머런 리처드슨
Gladys George,글래디스 조지
Virginia Bruce,버지니아 브루스
Miriam Hopkins,미리엄 홉킨스
Alexis Smith,알렉시스 스미스
Edna May Oliver,에드나 메이 올리버
Kelly Lynch,켈리 린치
Amy Ryan,에이미 라이언
Jaime Pressly,제이미 프레슬리
Patricia Wettig,퍼트리샤 웨티그
Agnes Moorehead,애그니스 무어헤드
Jane Greer,제인 그리어
Lily Aldridge,릴리 앨드리지
Ivana Trump,이바나 트럼프
Miranda Lambert,미란다 램버트
Solange Knowles,솔란지 놀스
Suzanne Pleshette,수잰 플레셧
Aron Jóhannsson,에런 조핸슨
Lee Harvey Oswald,리 하비 오스월드
Stanley Donen,스탠리 도넌
Jennifer Jones,제니퍼 존스
The Game (rapper),게임 (래퍼)
Nicolaas Bloembergen,니콜라스 블룸베르헌
Molly Ringwald,몰리 링월드
Ralph Bunche,랠프 번치
Dina Meyer,디나 마이어
Madeleine Carroll,매들린 캐럴 (1906년)
Joy Lauren,조이 로렌
Katherine Kelly Lang,캐서린 켈리 랭
Larry King,래리 킹
Danica Patrick,대니카 패트릭
Paul Bettany,폴 베터니
Liu Yifei,류이페이
Jane Alexander,제인 알렉산더
Morgan Freeman,모건 프리먼
Richard Gere,리처드 기어
Blair Brown,블레어 브라운
Philip Glass,필립 글래스
Bernadette Peters,버나뎃 피터스
Annabella Sciorra,애너벨라 쇼라
Marvin Gaye,마빈 게이
Melvin Schwartz,멜빈 슈워츠
Ralph Waldo Emerson,랠프 월도 에머슨
Barbara Walters,바버라 월터스
Sara Gilbert,세라 길버트
B. F. Skinner,B. F. 스키너
Wesley Snipes,웨슬리 스나이프스
Robert Trujillo,로버트 트루히요
Helen Hayes,헬렌 헤이스
John Stockton,존 스톡턴
Danny Kaye,대니 케이
Seneca people,세네카족
Kimmie Meissner,키미 메이스너
Marlee Matlin,말리 매틀린
Emmylou Harris,에밀루 해리스
Diane Neal,다이앤 닐
Kristen Wiig,크리스틴 위그
Judy Reyes,주디 레예스
Sarah Lancaster,세라 랭커스터
Natalie Maines,내털리 메인스
Patricia Churchland,퍼트리샤 처칠랜드
Gerry Goffin,제리 고핀
Susan Kare,수전 케어
Glenn T. Seaborg,글렌 T. 시보그
Robert B. Laughlin,로버트 B. 로플린
Charles Scott Sherrington,찰스 스콧 셰링턴
Ashley Greene,애슐리 그린
Bill Cosby,빌 코스비
Dick Cheney,딕 체니
Foxy Brown (rapper),폭시 브라운
Rena Sofer,리나 소퍼
Marcia Cross,마샤 크로스
Mary Ainsworth,메리 에인스워스
Khandi Alexander,칸디 알렉산더
Naomi Novik,나오미 노빅
Meredith Monroe,메러디스 먼로
Mary McCormack,메리 매코맥
Genevieve Cortese,제네비브 코르테스
Katherine Heigl,캐서린 하이글
Ashlee Simpson,애슐리 심슨
Patricia Cornwell,퍼트리샤 콘월
Roberta Flack,로버타 플랙
Jessica Stroup,제시카 스트로프
Monica (singer),모니카 (가수)
Vickie Guerrero,비키 게레로
Zoe Saldaña,조이 살다나
Kristin Cavallari,크리스틴 캐밸러리
Diana Scarwid,다이애나 스카위드
Laura Marano,로라 마라노
Bonnie Blair,보니 블레어
Kelly LeBrock,켈리 르브락
Joan Blondell,조앤 블론델
Cathy Moriarty,캐시 모리아티
Ethel Waters,에설 워터스
John Debney,존 데브니
Linus Pauling,라이너스 폴링
Flo Rida,플로 라이다
Friedrich Wilhelm von Steuben,프리드리히 빌헬름 폰 슈토이벤
Rudolf Serkin,루돌프 제르킨
Billy Graham,빌리 그레이엄
Amy Davidson,에이미 데이비드슨
Ingrid Michaelson,잉그리드 마이클슨
Ellen McLain,엘런 매클레인
Raul Hilberg,라울 힐베르크
Kate Upton,케이트 업튼
Kara DioGuardi,카라 디오가디
Alexandra Daddario,알렉산드라 다다리오
Briana Evigan,브리애나 에비건
Jonathan Demme,조너선 데미
Lana Wood,라나 우드
Phylicia Rashad,필리샤 라샤드
Elaine Stritch,일레인 스트리치
Shanica Knowles,샤니카 놀스
Jordan Danger,조던 힌슨
Carole Landis,캐럴 랜디스
Melora Walters,멜로라 월터스
Larry Bird,래리 버드
Allen Iverson,앨런 아이버슨
Whoopi Goldberg,우피 골드버그
Patrick Swayze,패트릭 스웨이지
Adam Lambert,애덤 램버트
Clyde Tombaugh,클라이드 톰보
Caleb Deschanel,케일러브 데이셔넬
Herman Wouk,허먼 워크
Hedy Lamarr,헤디 라마르
Hans Richter (artist),한스 리히터 (1888년)
Joseph Barbera,조지프 바베라
Anatole Litvak,아나톨 리트박
Kurt Vonnegut,커트 보니것
Barry White,배리 화이트
Herbert Bayer,헤르베르트 바이어
Felicity Huffman,펄리시티 허프먼
Eadweard Muybridge,에드워드 마이브리지
"Marie-Chantal, Crown Princess of Greece",그리스 왕세자빈 마리샹탈
Charisma Carpenter,카리스마 카펜터
Toni Basil,토니 배질
Annette Bening,아네트 베닝
Sara Paxton,세라 팩스턴
Walter Mondale,월터 먼데일
Michael Johnson (sprinter),마이클 존슨 (육상 선수)
Philip W. Anderson,필립 워런 앤더슨
Jim Parsons,짐 파슨스
Kim Delaney,킴 딜레이니
Jorja Fox,조자 폭스
Kristin Chenoweth,크리스틴 체노웨스
Christopher Hitchens,크리스토퍼 히친스
Henry Way Kendall,헨리 웨이 켄들
Willard Libby,윌러드 리비
Nana Visitor,나나 비지터
Jesse James,제시 제임스
Vanessa Marcil,버네사 마실
Wolf Blitzer,울프 블리처
Arthur Leonard Schawlow,아서 레너드 숄로
Sylvia Sidney,실비아 시드니
Odette Annable,오뎃 애너블
Moriz Rosenthal,모리츠 로젠탈
Phil Spector,필 스펙터
Babe Ruth,베이브 루스
Bridgit Mendler,브리짓 멘들러
Adolf Busch,아돌프 부슈
Robert F. Wagner,로버트 F. 와그너
Lukas Foss,루카스 포스
Sasha Alexander,사샤 알렉산더
Kat Dennings,캣 데닝스
Eva LaRue,에바 라루
Kendra Wilkinson,켄드라 윌킨슨
Judith Resnik,주디스 레스닉
Ambrose Bierce,앰브로즈 비어스
Yuan T. Lee,리위안저
Douglass North,더글러스 노스
Dita Von Teese,디타 본 티즈
Lil Mama,릴 마마
Julia Louis-Dreyfus,줄리아 루이드라이퍼스
Sofía Vergara,소피아 베르가라
Pauley Perrette,폴리 페럿
Dan Quayle,댄 퀘일
Dudley R. Herschbach,더들리 허슈바크
Louis Sullivan,루이스 설리번
Captain America,캡틴 아메리카
James Rainwater,제임스 레인워터
William Daniel Phillips,윌리엄 대니얼 필립스
Jascha Heifetz,야샤 하이페츠
Leo Baekeland,리오 베이클랜드
Tom Selleck,톰 셀릭
Gary Becker,게리 베커
Bette Midler,벳 미들러
Barbara Bush,바버라 부시
Susan Lucci,수전 루치
Faith Ford,페이스 포드
Lynda Carter,린다 카터
Gabrielle Union,개브리엘 유니언
Tori Black,토리 블랙
Suzanne Somers,수잔 소머스
Wolfgang Köhler,볼프강 쾰러
Kazimierz Fajans,카지미에시 파얀스
Jenna Haze,제나 헤이즈
Velvet Sky,탈리아 메디슨
Belladonna (actress),벨라돈나 (포르노 배우)
Mary Kay Bergman,메리 케이 버그먼
Max Wertheimer,막스 베르트하이머
Ann Rutherford,앤 루더포드
Danica McKellar,대니카 매켈러
Emily Procter,에밀리 프록터
Hailee Steinfeld,헤일리 스타인펠드
Christina Grimmie,크리스티나 그리미
Jean Peters,진 피터스
Lady Randolph Churchill,레이디 랜돌프 처칠
Patricia Neal,퍼트리샤 닐
Jim Henson,짐 헨슨
Arielle Kebbel,애리엘 케벨
Marian Anderson,매리언 앤더슨
John G. Avildsen,존 G. 아빌드센
John Turturro,존 터투로
Joseph Erlanger,조지프 얼랭어
George Stigler,조지 스티글러
Brea Grant,브리 그랜트
Joan Severance,조안 시버런스
Jason Derulo,제이슨 데룰로
Howard Martin Temin,하워드 마틴 테민
Marion Ross,매리언 로스
Gordon Moore,고든 무어
John Dillinger,존 딜린저
Hornswoggle,혼스워글
Phil Murphy,필 머피
Anne Schedeen,앤 쉐딘
Jane Powell,제인 파웰
Jesse McCartney,제시 매카트니
Frederick Reines,프레더릭 라이너스
Paul Walker,폴 워커
James Newton Howard,제임스 뉴턴 하워드
Pat Metheny,팻 메스니
Natalie Cole,내털리 콜
Babe Didrikson Zaharias,베이브 디드릭슨
Gwen Torrence,그웬 토런스
Erin Brockovich,에린 브로코비치
Elizabeth Perkins,엘리자베스 퍼킨스
Gerhard Weinberg,거하드 와인버그
Roman Coppola,로만 코폴라
Joyce DeWitt,조이스 드윗
"John Stevens (inventor, born 1749)",존 스티븐스 (발명가)
Megan Rapinoe,메건 러피노
Priscilla Barnes,프리실라 반스
Nicole Gale Anderson,니콜 앤더슨
Barbara Eden,바바라 에덴
Janet Evans,재닛 에번스
Sally Ride,샐리 라이드
Val Kilmer,발 킬머
Tenley Albright,텐리 올브라이트
Sissy Spacek,시시 스페이식
George Foreman,조지 포먼
Steve Morse,스티브 모스
Anjelica Huston,앤젤리카 휴스턴
Carl Rogers,칼 로저스
Annise Parker,어니스 파커
Ann-Margret,앤 마그릿
Oliver E. Williamson,올리버 E. 윌리엄슨
Jim Jones,짐 존스
Jason Earles,제이슨 얼스
Scott Joplin,스콧 조플린
Edward Cullen,에드워드 컬렌
Edward Sapir,에드워드 사피어
Joe Jonas,조 조너스
Harvey Keitel,하비 카이텔
Lorenzo Brentano,로렌츠 브렌타노
Peter Medawar,피터 메더워
Tadeusz Kościuszko,타데우시 코시치우슈코
Charles J. Pedersen,찰스 J. 피더슨
George Minot,조지 리처드 마이넛
Eva Amurri,에바 아무리
Yaya DaCosta,야야 다코스타
Sprague Grayden,스프레이그 그레이든
Daniella Alonso,대니얼라 알론소
Pete Seeger,피트 시거
Gene Roddenberry,진 로든베리
Zooey Deschanel,조이 데이셔넬
Jim Jarmusch,짐 자무시
Martha Washington,마사 워싱턴
Marisa Tomei,머리사 토메이
T.I.,T.I.
Julieta Venegas,훌리에타 베네가스
Mackenzie Rosman,매켄지 로스먼
Linda Blair,린다 블레어
Virginia Mayo,버지니아 메이오
Samuel Marinus Zwemer,새뮤얼 즈웨이머
Clare Kramer,클레어 크레이머
Susan Blakely,수전 브레이클리
Kate Wilhelm,케이트 윌헬름
Melinda Culea,멀린다 컬리아
Tawny Kitaen,토니 키탠
Olivia Olson,올리비아 올슨
Joan Leslie,조안 레슬리
William Styron,윌리엄 스타이런
Piper Laurie,파이퍼 로리
Fantasia (singer),판타지아 배리노
Toni Kukoč,토니 쿠코치
Alice Bailey,앨리스 베일리
Richard Bach,리처드 바크
Adair Tishler,에이데어 티쉴러
Edie Brickell,에디 브리켈
Embeth Davidtz,엠베스 데이비츠
Toni Frissell,토니 프리셀
Terri Schiavo,테리 샤이보
Rob Schneider,롭 슈나이더
Ted Bundy,테드 번디
Lauren Ambrose,로런 앰브로즈
Lauryn Hill,로린 힐
Nora Zehetner,노라 제헤트너
Kerry Washington,케리 워싱턴
Rachael Leigh Cook,레이철 리 쿡
Joan Osborne,조앤 오즈번
Minnie Riperton,미니 리퍼턴
Dev (singer),데브 (가수)
Mary Astor,메리 애스터
Angela Bassett,앤절라 배싯
Emile Hirsch,에밀 허시
Tracy Chevalier,트레이시 슈발리에
Lloyd Shapley,로이드 섀플리
Ken Kesey,켄 키지
Barbara Bel Geddes,바버라 벨 게디스
Lisa Bonet,리사 보넷
Gertrude Neumark,거트루드 노이마르크
Zero Mostel,제로 모스텔
Ignacy Jan Paderewski,이그나치 얀 파데레프스키
Gene Wilder,진 와일더
Meir Kahane,메이르 카하네
Roseanne Barr,로잰 바
Conchata Ferrell,콘처터 페럴
Roger Wolcott Sperry,로저 울컷 스페리
Brea Bennett,브리아 베넷
Nick Carter,닉 카터
Monique Hennagan,모니크 헤너건
Karen McDougal,캐런 맥두걸
Cynthia Gibb,신시아 깁
Surya Bonaly,수리아 보날리
Ayaan Hirsi Ali,아얀 히르시 알리
Julia Child,줄리아 차일드
Stanley Cohen (biochemist),스탠리 코헨
Mae Whitman,메이 휘트먼
Selman Waksman,셀먼 에이브러햄 왁스먼
Erin Hamlin,에린 햄린
Robert McNamara,로버트 맥나마라
Peter Facinelli,피터 파치넬리
Robert Burns Woodward,로버트 번스 우드워드
Paul Auster,폴 오스터
Burton Richter,버턴 릭터
Karen Black,캐런 블랙
Bridget Moynahan,브리짓 모이너핸
Cat Power,캣 파워
Edie Sedgwick,이디 세지윅
Andy Williams,앤디 윌리엄스
Skin Diamond,스킨 다이아몬드
Theodosius Dobzhansky,테오도시우스 도브잔스키
Sunny Leone,서니 리오니
Hudson Leick,허드슨 레익
Cedar Walton,시더 월튼
Doyle Bramhall II,도일 브램홀 2세
Shelly Manne,셸리 맨
Wade Boggs,웨이드 보그스
Susan Faludi,수전 팔루디
Tammi Terrell,타미 테렐
John Howard Griffin,존 하워드 그리핀
Tura Satana,투라 사타나
Jules Dassin,줄스 다신
Danny Glover,대니 글러버
Robert Johnson,로버트 존슨
Herman Hollerith,허먼 홀러리스
Aaron Copland,에런 코플런드
Nora Ephron,노라 에프런
Tanya Roberts,타니아 로버츠
Anna May Wong,애나 메이 웡
Robert Lansing (actor),로버트 랜싱
Bill Macy,빌 메이시
Jeannette Rankin,저넷 랭킨
Susan B. Anthony,수전 B. 앤서니
Esther Williams,에스터 윌리엄스
Shannyn Sossamon,샤닌 소세이먼
Barbara Mikulski,바버라 미컬스키
Robert Fulton,로버트 풀턴
Thomas Eakins,토마스 에이킨스
Thomas Nast,토머스 내스트
Nicole Richie,니콜 리치
Dean Acheson,딘 애치슨
Calvin Klein,캘빈 클라인 (패션 디자이너)
Jack Ruby,잭 루비
Jennifer Hudson,제니퍼 허드슨
Chick Corea,칙 코리아
Sydney Tamiia Poitier,시드니 타미아 포이티어
Guy Ecker,가이 에커
Matthew Meselson,매슈 메셀슨
Lalo Schifrin,랄로 시프린
Alvan Graham Clark,앨번 그레이엄 클라크
Jack Horner (paleontologist),잭 호너
Bianca Kajlich,비앙카 카일릭
Jason Mraz,제이슨 므라즈
Vladimir Horowitz,블라디미르 호로비츠
Norma Talmadge,노마 탈매지
Aimee Mullins,에이미 멀린스
Kelly Stables,켈리 스테이블스
Rufus Wainwright,루퍼스 웨인라이트
Joseph Murray,조지프 머리
Edmund Phelps,에드먼드 펠프스
Simon Kuznets,사이먼 쿠즈네츠
Kenneth Arrow,케네스 애로
Annette Rogers,애닛 로저스
George Andrew Olah,조지 앤드루 올라
Ruth Gordon,루스 고든
Miyoshi Umeki,우메키 미요시
Jill Scott (singer),질 스콧 (가수)
Lori Petty,로리 페티
Lauren German,로런 저먼
Manish Dayal,마니시 다얄
Dan Calichman,단 칼리크만
Aline MacMahon,얼린 맥맨
Richard Davalos,리처드 다바로스
Tiffany Cohen,티퍼니 코헨
Nadia Bjorlin,나디아 비엘린
Meg Foster,메그 포스터
J. Kenneth Campbell,J. 케네스 캠벨
Jaime Bergman,제이미 버그먼
Ryan Reynolds,라이언 레이놀즈
Aaron Eckhart,에런 엑하트
Harry Belafonte,해리 벨라폰테
Willard Van Orman Quine,윌러드 밴 오먼 콰인
Debbie Harry,데비 해리
Estelle Parsons,에스텔 파슨스
Melissa Rosenberg,멀리사 로젠버그
John Templeton,존 템플턴
Summer Bishil,서머 비실
Roxanne Seeman,록샌 시먼
Susan Hayward,수전 헤이워드
Lisa Eilbacher,리사 에일바처
Erin Cummings,에린 커밍스
Kathryn Joosten,캐스린 주스틴
Michelle Akers,미셸 에이커스
Amy Brenneman,에이미 브레너먼
David Archuleta,데이비드 아출레타
Patty Duke,패티 듀크
Beatrice Straight,비어트리스 스트레이트
Laurel Clark,로럴 클라크
Macy Gray,메이시 그레이
Crawford Long,크로퍼드 롱
James F. Blake,제임스 F. 블레이크
Tania Raymonde,타니아 레이먼드
JonBenét Ramsey,존베네 램지
Ani DiFranco,아니 디프랭코
Rick James,릭 제임스
Ty Burrell,타이 버렐
Jeret Peterson,제렛 피터슨
Julianne Hough,줄리앤 허프
Minka Kelly,밍카 켈리
Michael Jai White,마이클 자이 화이트
James Blish,제임스 블리시
Kevin Richardson (musician),케빈 리처드슨 (음악가)
John Goodman,존 굿맨
Mary Todd Lincoln,메리 토드 링컨
Jamie Chung,제이미 정
Ivar Giaever,이바르 예베르
Joseph Hooton Taylor Jr.,조지프 후턴 테일러 주니어
Rick Perry,릭 페리
Robert Wadlow,로버트 워들로
Alexis Bledel,알렉시스 블레델
Gerard Kuiper,제러드 카이퍼
Drake Bell,드레이크 벨
Mona Marshall,모나 마셜
Torri Edwards,토리 에드워즈
Rachel Dratch,레이철 드래치
Ali Landry,앨리 랜드리
Muse Watson,뮤즈 왓슨
Daniel Dennett,대니얼 데닛
Richard Rorty,리처드 로티
Jordin Sparks,조딘 스파크스
Jerry Yang,제리 양
Jennifer Jason Leigh,제니퍼 제이슨 리
Linda Hunt,린다 헌트
Natalia Mishkutionok,나탈리야 미시쿠툐노크
Edward Bunker,에드워드 벙커
Crystal Bernard,크리스털 버나드
Sheila E.,실라 E.
George Westinghouse,조지 웨스팅하우스
Raymond Walburn,레이몬드 월번
Willa Ford,윌라 포드
Les Paul,레스 폴
Darren Aronofsky,대런 애러노프스키
John Mayer,존 메이어
Michael Stipe,마이클 스타이프
Estelle Getty,에스텔리 게티
JoJo (singer),조조 (가수)
Samuel C. C. Ting,새뮤얼 차오 충 팅
Anthony James Leggett,앤서니 레깃
Rachel Miner,레이철 마이너
Bonnie Somerville,보니 서머빌
Chris Volstad,크리스 볼스테드
Elizabeth Peña,엘리자베스 페냐
Adrianne Palicki,에이드리언 팰리키
Nicki Aycox,니키 에이콕스
Leon M. Lederman,리언 레더먼
Robert Coleman Richardson,로버트 콜먼 리처드슨
Charles Barkley,찰스 바클리
Emily Greene Balch,에밀리 그린 볼치
Cole Porter,콜 포터
Victoria Principal,빅토리아 프린시펄
Katharine Ross,캐서린 로스
Rebecca De Mornay,리베카 데 모네이
June Allyson,준 앨리슨
Ryan Miller,라이언 밀러 (아이스하키 선수)
Stephen F. Austin,스티븐 오스틴
Jenna Dewan,제나 디완
Temple Grandin,템플 그랜딘
Gabrielle Anwar,개브리엘 앤워
Haley Bennett,헤일리 베넷
Navi Rawat,나비 라왓
Rachel Ticotin,레이철 티코틴
George Grizzard,조지 그리자드
Richard Donner,리처드 도너
Milt Campbell,밀턴 캠벨
John Savage (actor),존 새비지
Amy Sedaris,에이미 서데러스
Elizabeth Loftus,엘리자베스 로프터스
Frank B. Kellogg,프랭크 빌링스 켈로그
Tim Duncan,팀 덩컨
Laurence Fishburne,로런스 피시번
CM Punk,CM 펑크
Portia de Rossi,포셔 드 로시
Mercedes Ruehl,머세이디스 룰
Jennifer Grey,제니퍼 그레이
Christine Lahti,크리스틴 라티
Dean Martin,딘 마틴
Tracey Gold,트레이시 골드
Roger Myerson,로저 마이어슨
Marina Sirtis,머리나 서티스
Majel Barrett,메이절 배럿
Lacey Chabert,레이시 셔베어
Shelley Long,셸리 롱
Chris Eigeman,크리스 아이제먼
Wang Leehom,왕리훙
Shirin Neshat,시린 네샤트
Karen Grassle,카렌 그라즐
Robin Givens,로빈 기븐스
Kathy Ireland,캐시 아일랜드
Matt Dillon,맷 딜런
Montgomery Clift,몽고메리 클리프트
Doris Roberts,도리스 로버츠
Lucas Grabeel,루커스 그레이빌
Terrence Malick,테런스 맬릭
Khaled Hosseini,할레드 호세이니
James Woods,제임스 우즈
Kathryn Morris,캐스린 모리스
Drea de Matteo,드레이 더 머테이오
Bebe Neuwirth,비비 뉴워스
Maura Tierney,모라 티어니
Christine Taylor,크리스틴 테일러
Jaime King,제이미 킹
Danny Elfman,대니 엘프먼
Lee Van Cleef,리 밴클리프
Nancy Kelly,낸시 켈리
Connie Stevens,코니 스티븐스
Chelsea Handler,첼시 핸들러
Judith Rich Harris,주디스 리치 해리스
Lauren Faust,로런 파우스트
Janine Turner,재닌 터너
Theodore Bikel,시어도어 비켈
Eva Angelina,에바 앤젤리나
Kagney Linn Karter,캐그니 린 카터
Jordan Burroughs,조던 버로스
Wesley A. Clark,웨슬리 A. 클락
Jessica Drake,제시카 드레이크
Julia Ann,줄리아 앤
Traci Lords,트레이시 로즈
Sarah Hyland,세라 하일랜드
Vanessa Carlton,버네사 칼턴
Nancy Reagan,낸시 레이건
Anthony Perkins,앤서니 퍼킨스
Ralph Nader,랠프 네이더
Jerry Seinfeld,제리 사인펠드
Kevin Federline,케빈 페더라인
Deborah Ann Woll,데버라 앤 월
Brian Tyler,브라이언 타일러
Emilie de Ravin,에밀리 더 래빈
Carrie Underwood,캐리 언더우드
Waylon Jennings,웨일런 제닝스
Gina Carano,지나 카라노
Tara Lipinski,타라 리핀스키
Teemu Selänne,테무 셀랜네
Carmit Bachar,카밋 버처
Robert Urich,로버트 유릭
Monique Alexander,모니크 알렉산더
Asa Akira,아사 아키라
Jared Padalecki,재러드 파달레키
John Milnor,존 밀너
Merna Kennedy,머나 케네디
Abby Wambach,애비 웜백
Spencer Breslin,스펜서 브레슬린
Hank Aaron,행크 에런
Jacob Schiff,제이컵 시프
Anne McCaffrey,앤 매캐프리
Nancy Travis,낸시 트래비스
Eric Maskin,에릭 매스킨
Henry A. Wallace,헨리 A. 월리스
Ted Turner,테드 터너
Steve Vai,스티브 바이
Duff McKagan,더프 맥케이건
Dorothy Hamill,도러시 해밀
Connie Sellecca,코니 셀레카
Abel Ferrara,에이블 페라라
Vinnie Moore,비니 무어
