Douglas Adams,道格拉斯·亚当斯
P. G. Wodehouse,佩勒姆·格伦维尔·伍德豪斯
Helen Mirren,海倫·美蘭
Ralph Vaughan Williams,雷夫·佛漢·威廉斯
Peter D. Mitchell,彼得·米切尔
Melanie Marshall,梅拉妮·马歇尔
Godfrey Hounsfield,高弗雷·豪斯费尔德
Jordan Henderson,佐敦·軒達臣
Don Revie,唐·李維
Robbie Savage,羅比·沙維治
Kevin Kilbane,凯文·基尔巴尼
Michael Apted,迈克尔·艾普特
James Morrison (singer),詹姆斯·莫里森
Brian McDermott (footballer),白賴仁·麥達莫
Dixie Dean,迪斯·甸
"Adam Jones (rugby union, born 1981)",亞當·瓊斯·(橄欖球)
Adam Rayner,亞當·雷納
Stephen Moyer,史提芬·莫耶
Alan Cumming,亞倫·甘明
Ida Lupino,艾达·卢皮诺
Kevin Nolan,奇雲·路蘭
Mark Cavendish,马克·卡文迪什
William Wilberforce,威廉·威伯福斯
Martin Evans,马丁·埃文斯
Ian Curtis,伊恩·柯蒂斯
Billie Piper,比莉·派佩
Michael Atiyah,迈克尔·阿蒂亚
Frederick Sanger,弗雷德里克·桑格
Annie Lennox,安妮·蓝妮克丝
Arthur Henderson,阿瑟·亨德森
John Houseman,约翰·豪斯曼
John Mills,約翰·米爾斯·(演員)
Alex McLeish,亚历克斯·麥克萊什
Gareth Southgate,盖雷斯·索斯盖特
Mike Leigh,麥克·李
Andy Summers,安迪·萨默斯
Anne Dudley,安妮·杜德利
Amelia Warner,艾蜜莉亞·華納
Kristin Scott Thomas,克莉斯汀·史考特·湯瑪斯
Remus Lupin,雷木思·路平
Naveen Andrews,纳文·安德鲁斯
Mary Peters (athlete),玛丽·彼得斯
"Walter Rothschild, 2nd Baron Rothschild",第二代罗斯柴尔德男爵沃尔特·罗斯柴尔德
Geoffrey Wilkinson,杰弗里·威尔金森
Alan Hollinghurst,阿兰·霍灵赫斯特
Steve Coogan,史提夫·庫根
Danny Guthrie,丹尼·格思里
James Beattie (footballer),占士·比亞堤
Ciaran Clark,基亚伦·克拉克
Nicky Shorey,尼克·肖雷
Joe McElderry,喬·麥克德里
Adam Matthews,亞當·馬修斯
"Anne, Princess Royal",安妮长公主
Melanie C,媚兒喜
Sarah Brightman,莎拉·布萊曼
Rupert Everett,鲁伯特·埃弗里特
V (character),V·(漫畫人物)
Phil Jagielka,菲爾·積基爾卡
"Richie Gray (rugby union, born 1989)",里奇·格雷
Kim Cattrall,金·凱特羅
James Mason,詹姆士·梅遜
Flora Montgomery,弗洛拉·蒙哥馬利
William Regal,威廉·瑞格
R. G. Collingwood,罗宾·乔治·柯林武德
John Ray,约翰·雷
Claude Choules,克勞德·喬勒斯
Chris Hughton,克里斯·休顿
John Fisher,若望·費舍爾
Adam Tooze,亚当·图兹
Richard Burton,理查德·伯顿
A. E. Housman,阿尔弗雷德·爱德华·豪斯曼
James George Frazer,詹姆斯·弗雷澤
Bernard Montgomery,伯納德·蒙哥馬利
Harry Hill (cyclist),哈里·希尔
Micah Richards,米卡·李察士
Charles King (cyclist),查尔斯·金
John le Carré,約翰·勒卡雷
Thomas De Quincey,托馬斯·德·昆西
Matt Lucas,马修·卢卡斯
Neil Kinnock,尼尔·基诺克
Chiwetel Ejiofor,切瓦特·艾乔福
Sacha Dhawan,萨沙·达万
Mark Williams (snooker player),馬克·威廉斯·(撞球員)
Danny Mills,丹尼·米斯
Matthew Goode,馬修·古德
Nat Lofthouse,纳特·洛夫特豪斯
Dominic Monaghan,多米尼克·莫納漢
Victoria Treadell,維多利亞·崔德爾
Neil Gaiman,尼爾·蓋曼
Joann Fletcher,乔安·弗莱彻
Martin Kelly (footballer),馬丁·凱利
Kevin Keegan,凯文·基冈
Bobby Zamora,鲍比·萨莫拉
Queen Camilla,卡蜜拉王后
Ronnie Wood,羅尼·伍德
E. H. Carr,愛德華·霍列特·卡爾
Ally McCoist,埃利·麥考伊斯特
John Tavener,约翰·塔文纳
Lucy Morton,露西·莫顿
Bob Hoskins,鲍勃·霍斯金斯
Dan Gosling,丹·格斯林
Johnny Marr,強尼·馬爾
Dominic Cooper,多米尼克·庫珀
Jamie Redknapp,杰米·雷德克纳普
Matt Le Tissier,馬菲·拿鐵斯
Mark Allen (snooker player),馬克·艾倫
Ray Wilkins,雷·韋建士
Chris Waddle,克里斯·沃德尔
Raymond Cattell,雷蒙德·卡特尔
Joan Collins,瓊·考琳絲
"Prince Harry, Duke of Sussex",薩塞克斯公爵哈里王子
James Lovelock,詹姆斯·洛夫洛克
Edward Victor Appleton,爱德华·阿普尔顿
Eric Idle,埃里克·艾德尔
Ken Follett,肯·福莱特
"Prince Andrew, Duke of York",約克公爵安德魯王子
Diane Abbott,黛安娜·艾勃特
Tom Wilkinson,湯姆·威爾金森
Michaela Tabb,麦克拉·塔布
Keith Moon,凱思·穆恩
Nick Drake,尼克·德雷克
William Holman Hunt,威廉·霍爾曼·亨特
Joanne Goode,喬安·古德
Charlie Austin,查理·奥斯汀
Donovan,唐納文
Eric Liddell,埃里克·利德爾
Tom Finney,湯·芬尼
Frances Ridley Havergal,弗朗西絲·里德利·海弗格爾
Gillian Gilks,吉莉安·吉爾克斯
Luol Deng,罗尔·邓
C. Northcote Parkinson,西里爾·諾斯古德·帕金森
Steven Wilson,史蒂文·威尔逊
Abdulrazak Gurnah,阿卜杜勒-拉扎克·古尔纳
Jamie Murray,傑米·穆雷
Craig Brewster,克雷格·布雷斯特
Lawrence Oates,劳伦斯·奥茨
Joseph Needham,李约瑟
Lee Dixon,李·迪臣
John Edensor Littlewood,約翰·恩瑟·李特爾伍德
Joe Jordan,祖·佐敦
Ade Akinbiyi,艾迪·艾堅比耶
Lee Bowyer,李·保耶
Lucian Freud,盧西安·弗洛伊德
Maud of Wales,莫德王后·(挪威)
Emilia Fox,艾米丽雅·福克斯
Aaron Ramsey,阿隆·拉姆塞
William Webb Ellis,威廉·韋伯·艾利斯
Jock Stein,乔克·斯泰恩
Roger Bannister,罗杰·班尼斯特
David Suchet,大衛·蘇切特
Freeman Dyson,弗里曼·戴森
Hannah Chaplin,汉娜·卓别林
Rosie Huntington-Whiteley,露絲·漢丁頓-維莉
Philip Noel-Baker,菲利普·诺埃尔-贝克
Alan Parsons,亚伦·派森
Peter Shaffer,彼得·謝弗
Oldfield Thomas,奥德菲尔德·托马斯
Shaka Hislop,沙卡·希斯洛普
Malcolm Gladwell,麥爾坎·葛拉威爾
Michael Redgrave,迈克尔·雷德格雷夫
Nigel Farage,奈杰尔·法拉奇
Ian Rankin,伊恩·藍欽
David Hewlett,大衛·惠利特
Gary McAllister,加利·麥亞里士打
Ian Dury,艾恩·迪里
Francis Younghusband,荣赫鹏
Francis Bacon (artist),弗朗西斯·培根·(画家)
Craig David,克雷格·大衛
Oskar Kokoschka,奥斯卡·柯克西卡
David Thewlis,大卫·休里斯
Cheryl (singer),谢丽尔·(歌手)
Thomas Andrews,托马斯·安德鲁斯
Natasha Bedingfield,娜塔莎·貝汀菲兒
Jane Birkin,珍·柏金
Charlotte Gainsbourg,夏洛特·甘斯布
Jamie Bamber,傑米·班柏
Owain Yeoman,歐文·約曼
Alan Watts,艾倫·威爾遜·瓦茨
Frances Hodgson Burnett,法蘭西絲·霍森·柏納特
Justin Hoyte,積斯汀·賀迪
Johnny Haynes,约翰尼·海恩斯
China Miéville,柴納·米耶維
Richard Garriott,理查·蓋瑞特
Richard Dalitz,理查德·达利兹
"Princess Margaret, Countess of Snowdon",瑪嘉烈公主·(斯諾登伯爵夫人)
Nigel Pearson,尼格尔·皮尔逊
Nikolaas Tinbergen,尼古拉斯·廷贝亨
Kate Moss,姬·摩絲
Natasha Richardson,娜塔莎·李察遜
Monica Lewinsky,莫妮卡·莱温斯基
Cat Stevens,卡特·史蒂文斯
Adam Zamoyski,亚当·扎莫伊斯基
Leslie Godfree,莱斯利·戈德弗里
Steve Sidwell,史提夫·薛維爾
Geoff Hurst,吉奧夫·赫斯特
Ian Scott (cyclist),伊恩·斯科特
Neville Marriner,内维尔·马里纳
Gordon Thomas (cyclist),戈登·托马斯
Bob Maitland,鲍勃·梅特兰
Ben Gordon,本·戈登
Jonny Wilkinson,尊尼·韋健遜
Clive Burr,克莱夫·伯尔
Claude Rains,克勞德·雷恩斯
Shaun Murphy,肖恩·墨菲
Hubert Parry,休伯特·帕里
Harrison Birtwistle,哈里森·伯特威斯尔
Roy Porter,羅伊·波特
Gitta Sereny,基塔·瑟倫利
Katie Melua,凱特·瑪露
"Sir George Stokes, 1st Baronet",乔治·斯托克斯
Leslie Howard,莱斯利·霍华德·(英國演員)
Richard Burns,理查德·伯恩斯
Gordon Banks,戈登·班克斯
Duncan Edwards,邓肯·爱德华兹
Scott Parker,斯科特·帕克
Nigel Reo-Coker,尼祖·李奧-曲加
Billy Boyd (actor),比利·包依德·(演員)
Sandra Knapp,桑德拉·纳普
"Prince Edward, Duke of Edinburgh",爱丁堡公爵爱德华王子
Jonathan Greening,莊拿芬·格寧
Egon Wellesz,埃贡·韦勒斯
Goldie Sayers,戈尔迪·塞耶斯
Leon Osman,莱昂·奥斯曼
Benik Afobe,本尼克·阿弗比
John Boland (Irish nationalist politician),约翰·博兰
Keith Emerson,基思·埃默森
Jonathan Walters,莊拿芬·禾達斯
Hugh Bonneville,休·博內威利
César Milstein,塞萨尔·米尔斯坦
Carl Cox,卡爾·考克斯
Ian Stewart (musician),伊恩·史都華
Archibald Hill,阿奇博爾德·希爾
"Sophie, Duchess of Edinburgh",愛丁堡公爵夫人蘇菲
Dennis Gabor,加博尔·德奈什
Leonard Woolley,伦纳德·伍利
"George Plantagenet, Duke of Clarence",第一代克拉伦斯公爵乔治·金雀花
Allen Carr,艾倫·卡爾
Paul Greengrass,保羅·葛林葛瑞斯
Darren Bent,戴倫·賓特
Charles Scott Sherrington,查尔斯·斯科特·谢灵顿
Tom Huddlestone,汤姆·赫德尔斯通
"Andrew Johnson (footballer, born 1981)",安祖·莊臣
Julian Lloyd Webber,朱利安·劳埃德·韦伯
Chris Froome,克里斯·弗鲁姆
J. B. S. Haldane,约翰·伯顿·桑德森·霍尔丹
Bonnie Tyler,邦妮·泰勒
Lynn Redgrave,琳恩·雷德格雷夫
Francis Ysidro Edgeworth,弗朗西斯·伊西德罗·埃奇沃思
Patrick O'Brian,帕特里克·奥布莱恩
Marc Quinn,马克·奎安
Steven Davis,斯蒂文·戴維斯
Sam Neill,森·尼爾
Jason Isaacs,傑森·艾塞克
Peter Medawar,彼得·梅达沃
Naomie Harris,娜奥米·哈里斯
"Ben Williams (footballer, born 1982)",本·威廉姆斯·(足球運動員)
Jacob Aagaard,雅各布·奥高
Lucia Moholy,卢西娅·莫侯利
Evan Roberts (minister),伊凡·罗伯斯
David Bradley (English actor),大卫·布拉德利
David Heyman,大衛·海曼
Lutalo Muhammad,卢塔洛·穆罕默德
Jamie Cullum,傑米·卡倫
Charlie Hunnam,查理·杭南
Geraint Thomas,杰兰特·托马斯
Alexander R. Todd,托德男爵亚历山大·罗伯图斯·托德
"Louis Mountbatten, 1st Earl Mountbatten of Burma",第一代緬甸的蒙巴頓伯爵路易·蒙巴頓
Beatrix Potter,碧雅翠絲·波特
Mark Hughes,馬克·曉士·(足球運動員)
Yehudi Menuhin,耶胡迪·梅纽因
David Seaman,大卫·西曼
Anita Lasker-Wallfisch,安妮塔·拉斯克-沃尔费什
John Fowles,约翰·福尔斯
"Valerian Wellesley, 8th Duke of Wellington",第八代威靈頓公爵瓦勒良·韋爾斯利
David Tennant,大衛·田納特
David Gray (musician),大衛·格雷
Ian Walker (footballer),伊恩·沃克
Stuart Pearce,斯图尔特·皮尔斯
Princess Beatrice of the United Kingdom,贝翠丝公主·(英国)
Zygmunt Bauman,齐格蒙特·鲍曼
Gavin McCann,加雲·麥肯
Darren O'Shaughnessy,向達倫
Cameron Jerome,卡梅隆·杰罗梅
Vivienne Westwood,薇薇安·魏斯伍德
Bryn Terfel,布莱恩·特菲尔
Richard Fortey,理查德·福提
John Maynard Smith,约翰·梅纳德·史密斯
Graeme Dott,格林美·杜特
Malcolm Lowry,馬爾科姆·勞瑞
Mark Ronson,馬克·朗森
Tim Ahearne,蒂姆·阿亨
Jarvis Cocker,賈維斯·卡克
Craig Bryson,克雷格·布赖森
Aiden Shaw,艾登·肖
"Mick Jones (footballer, born 1945)",米克·鍾斯
Vanessa-Mae,陈美
"Prince Edward, Duke of Kent",肯特公爵愛德華王子
David Irving,大衛·艾文
Carlton Cole,卡頓·高爾
Matt Jarvis,馬菲·查維斯
John Peter Zenger,曾格案件
John Entwistle,約翰·恩特維斯托
"Paul Robinson (footballer, born 1979)",保羅·羅賓遜·(1979年)
Mairead Maguire,梅里德·科里根·麥奎爾
Harry Kroto,哈罗德·克罗托
Joleon Lescott,乔莱昂·莱斯科特
"Matthew Taylor (footballer, born 1981)",馬菲·泰萊
Mark Noble,马克·诺布尔
Aaron Wilbraham,阿隆·威爾布拉漢姆
John Gatenby Bolton,约翰·盖滕比·博尔顿
Charlie Watts,查理·沃茨
Andy Carroll,安德鲁·卡罗尔
Graham Nash,格雷厄姆·納許
Viv Anderson,韋夫·安德遜
Rhys Ifans,瑞斯·伊凡斯
Arthur Eddington,亚瑟·爱丁顿
Joe Davis,乔·戴维斯
George Lusztig,喬治·盧斯蒂格
Nigel Bond,奈傑爾·邦德
William Henry (swimmer),威廉·亨利·(游泳运动员)
András Schiff,希夫·安德拉斯
Michael Webb (architect),迈克尔·韦伯
Nick Powell,尼克·鮑威爾
Jack Collison,杰克·科里森
Alfred Pennyworth,阿尔弗莱德·潘尼沃斯
"James Collins (footballer, born 1983)",詹姆斯·科林斯
Simon Rattle,西蒙·拉特尔
Betty Williams,貝蒂·威廉斯
John Crook (ethologist),約翰·赫里爾·克魯克
Peter Taylor (botanist),彼得·泰勒·(植物學家)
Bernard Lee,柏納德·李
Roy Jenkins,羅伊·詹金斯
Sol Campbell,索尔·坎贝尔
Stanley Matthews,斯坦利·马修斯
Michael Tippett,迈克尔·蒂皮特
David Leadbetter (golf instructor),大衛·利百特
Jeremy Clarkson,杰里米·克拉克森
Ajahn Brahm,阿姜布拉姆
"Tom Denning, Baron Denning",湯姆·丹寧，丹寧男爵
Harold Stamper,哈罗德·斯坦珀
Raymond Gosling,雷蒙·葛斯林
Monty Don,蒙提·唐
Akmal Shaikh,阿克毛·沙伊克
Akong Rinpoche,阿贡仁波切
Mark Rylance,马克·里朗斯
Peter Brunt,彼得·布兰特
Victor Turner,维克多·特纳
Kit Harington,基特·哈靈頓
"Simon Cox (footballer, born 1987)",西蒙·考克斯
Tom Heaton,湯·希頓
Howard Jacobson,霍華德·雅各布森
Robert Plant,罗伯特·普兰特
James Galway,詹姆斯·高威
Charles Glover Barkla,查尔斯·巴克拉
Jude Law,裘德·洛
Richard Hamilton (artist),理查德·哈密爾頓·(藝術家)
James Stirling (architect),詹姆斯·斯特林·(建筑师)
George Everest,喬治·埃佛勒斯
Pete Postlethwaite,彼得·普斯特李威
Joss Stone,喬絲·史東
Robert Maudsley,羅伯特·莫斯利
Nick Griffin,尼克·格里芬
David Hockney,大卫·霍克尼
Joseph Priestley,约瑟夫·普利斯特里
Peter Davison,彼得·戴維森
Simon Jones (actor),西蒙·琼斯
Andy Cole,安迪·科尔
Nigel Kennedy,奈吉爾·甘迺迪
Victoria Eugenie of Battenberg,巴滕貝格的維多利亞·歐珍妮
Evgeny Kissin,艾夫根尼·紀新
Iris Murdoch,艾瑞斯·梅鐸
Anthony Burgess,安东尼·伯吉斯
"Alan Smith (footballer, born 1980)",阿倫·史密夫
John Eliot Gardiner,约翰·艾略特·加德纳
Bryan Ferry,布萊恩·費瑞
Oliver Smithies,奥利弗·史密西斯
Inspector Japp,傑派探長
Liam Gallagher,連恩·蓋勒格
Mike Phelan,麦克·费兰
Wilfred Waters,威尔弗雷德·沃特斯
David Ricketts (cyclist),戴维·里基茨
Alan Geldard,艾伦·吉尔达德
Alan Sillitoe,亞倫·西利托
Ed Miliband,文立彬
Sophie Ellis-Bextor,蘇菲·艾利斯-貝斯特
Ronald Fisher,羅納德·愛爾默·費雪
Arthur Berry (footballer),阿瑟·贝里
Gordon Wright (footballer),戈登·赖特
Tony Buzan,托尼·布詹
Joe Bennett (footballer),乔·贝内特
Rick Astley,理查德·艾斯利
Walter Smith,沃尔特·史密斯
Rupert Penry-Jones,魯伯·潘瑞-瓊斯
Sylvan Ebanks-Blake,西尔万·埃班克斯-布莱克
Ross Barkley,罗斯·巴克利
William Shockley,威廉·肖克利
Richard Stone,理查德·史東
Lee Mears,李·米爾斯
John Shirley-Quirk,約翰·雪利-夸克
Jordan Rhodes,乔丹·罗德斯
Islam Feruz,埃斯拉姆·费鲁兹
Dennis Wise,丹尼斯·韋斯
John Peel,约翰·皮尔
Charles Arden-Clarke,查尔斯·阿登-克拉克
David Walliams,戴维·沃廉姆斯
Joe Mercer,祖·梅沙
Andrew Keen,安德鲁·基恩
"Princess Louise, Duchess of Argyll",路易丝公主·(阿盖尔公爵夫人)
Phil Neville,菲尔·内维尔
William Ewart Gladstone,威廉·格萊斯頓
Jessie Ware,杰西·薇尔
Norman Hunter (footballer),諾曼·亨特
Paul Merson,保羅·麥臣
Peter Mullan,彼得·穆蘭
Tanya Byron,塔妮婭·拜倫
Julie Andrews,茱莉·安德絲
Seal (musician),席尔
Dugald Stewart,杜格尔德·斯图尔特
Brian G. Marsden,布萊恩·馬斯登
Stanley Rous,斯坦利·劳斯
David Oyelowo,大衛·奧伊羅
Glen Berry,格倫·貝里
Patrick Bamford,帕特里克·班福特
John Hoppner,约翰·霍普纳
Stephen Darby,斯蒂芬·達比
Julian Lennon,朱利安·列侬
Michael Howard,迈克尔·霍华德
Frederick Blackman,弗雷德里克·布莱克曼
Charles Gmelin,查爾斯·格梅林
Mitch Hewer,米奇·休尔
Aneurin Bevan,安奈林·貝文
Tom Baker,湯姆·貝克
William Huggins,威廉·哈金斯
"Prince Arthur, Duke of Connaught and Strathearn",康诺特和斯特拉森公爵亞瑟王子
Trevor Brooking,特雷弗·布鲁金
Michael Howard (historian),迈克尔·E·霍华德
Nick Blackman,尼克·布莱克曼
"Prince George, Duke of Kent",喬治王子·(肯特公爵)
Elise Laverick,埃莉斯·拉韦里克
C. S. Forester,塞西尔·斯科特·福雷斯特
Lewis Fry Richardson,路易斯·弗萊·理查德森
Michael Polanyi,迈克尔·波兰尼
Hugh Grant,休·格蘭特·(演員)
Albert Finney,亞伯特·芬尼
Carey Mulligan,嘉莉·慕萊根
Andy Whitfield,安迪·怀特菲尔德
Colin Firth,哥連·費夫
James Purefoy,詹姆斯·鲍弗
Peter Reid,彼得·列特
Frank Fielding,法蘭·費丁
George Cruikshank,喬治·克魯克香克
Max Minghella,麦克思·明格拉
John Elliott (British boxer),约翰·埃利奥特
Vladimir Bukovsky,弗拉基米尔·康斯坦丁诺维奇·布科夫斯基
Karl Bushby,卡尔·布什比
Stewart Symes,史超域·賽姆斯
Sam Johnstone,山姆·約翰斯通
Christian Coulson,克里斯蒂安·庫爾森
Paul Anderson (footballer),保羅·安德森·(足球運動員)
Martita Hunt,玛蒂塔·亨特
Oliver Hart (economist),奥利弗·哈特
Gertrude Lawrence,格特鲁德·劳伦斯
Charles Bennett (athlete),查尔斯·本内特·(田径运动员)
Charles Eliot (diplomat),儀禮·(香港大學校長)
Peter Grant (music manager),彼得·格兰特
Geraldine McCaughrean,潔若婷·麥考琳
Selwyn Selwyn-Clarke,司徒永覺
Joseph Silk,约瑟夫·西尔克
Fiona MacDonald,菲奥娜·麦克唐纳
Russell T Davies,拉塞爾·T·戴維斯
Andrea Arnold,安德莉亞·阿諾德
Thomas Murray (curler),托马斯·默里
Paul Nurse,保罗·纳斯
Duncan Kenworthy,邓肯·肯沃西
Anish Kapoor,安尼施·卡普爾
Gail Emms,盖尔·埃姆斯
Barry Cunliffe,巴里·坎利夫
Peter Molyneux,彼得·莫利纽兹
Simon Cowell,西蒙·高維爾
Jony Ive,乔纳森·艾维
Alan Pardew,阿兰·帕杜
Charles Thomson Rees Wilson,查爾斯·湯姆森·里斯·威爾遜
"Harry Hooper (footballer, born 1933)",哈里·胡珀
Tommy Taylor,汤米·泰勒
Kingsley Amis,金斯利·艾米斯
Anthony Giddens,安東尼·紀登斯
Guy Hamilton,蓋·漢彌爾頓
Daniel Day-Lewis,丹尼爾·戴-劉易斯
"David Martin (footballer, born 1986)",大衛·馬田
"Lee Martin (footballer, born 1987)",李·马丁
Ian Rush,伊恩·拉什
Flinders Petrie,弗林德斯·皮特里
Maxine Nightingale,玛可欣·南丁格尔
Charlie Hodgson,查理·霍森
Angela Beesley,安吉拉·貝絲蕾·斯塔林
George S. Robertson,乔治·S·罗伯逊
"Billy Wright (footballer, born 1924)",比利·胡禮
Sam Mendes,山姆·曼德斯
Lawrence Durrell,劳伦斯·达雷尔
Dusty Springfield,達斯蒂·斯普林菲爾德
George Best,佐治·貝斯
Emma Bunton,爱玛·邦顿
Joseph Rotblat,约瑟夫·罗特布拉特
Stanhope Forbes,史丹霍普·福布斯
Leon Kossoff,莱昂·科索夫
Lewis Moody,劉易斯·穆迪
Peter Hill-Wood,彼得·希-活
Danny Care,達尼·卡爾
Nick Easter,尼克·伊斯特
Simon Shaw,西蒙·肖
Joanne Whalley,瓊妮·威利
Katie Johnson (English actress),凯蒂·约翰逊
Mary Hesse,玛丽·赫西
Danny Cipriani,達尼·齊普里亞尼
Jack Higgins,傑克·希金斯
Eduardo Paolozzi,爱德华多·包洛奇
Len Blavatnik,莱恩·布拉瓦特尼克
Jimmy Page,吉米·佩奇
Paul Potts,保羅·波茨
Sean Biggerstaff,肖恩·比格斯塔夫
Bradley James,布拉德利·詹姆斯
William Hartnell,威廉·哈特内尔
Timothy Gowers,蒂莫西·高爾斯
Charles Rennie Mackintosh,查爾斯·雷尼·麥金托什
Ken Livingstone,肯·利文斯通
Dave Kitson,戴夫·傑臣
Alan Johnston,艾伦·约翰斯顿
Steve Cram,史蒂夫·克拉姆
Gladys Yang,戴乃迭
E. P. Thompson,爱德华·帕尔默·汤普森
"David Jones (footballer, born 1984)",大衛·鍾斯
Craig Cathcart,格力·卡夫卡特
Laura Tomlinson,劳拉·汤姆林森
Christophe Berra,基斯杜菲·比拉
Princess Beatrice,比阿特丽斯郡主·(马佩利-莫茨夫人)
Harry Redknapp,哈里·雷德克纳普
Engelbert Humperdinck (singer),英格伯·漢普汀克
Harry Maguire,哈利·馬古尼
Princess Eugenie,尤金妮郡主·(布鲁斯班克夫人)
"Richard of Shrewsbury, Duke of York",约克公爵什鲁斯伯里的理查
Jonathan Edwards (triple jumper),乔纳森·爱德华兹·(田径运动员)
Tim Henman,蒂姆·亨曼
Ernest Jones,歐內斯特·瓊斯
David Batty,大衛·柏堤
Daniel Sturridge,丹尼爾·史杜歷治
Jared Harris,傑瑞德·哈里斯
Andrew Fabian,安德鲁·费边
Delroy Lindo,德尔罗伊·林多
Iain Turner,伊恩·端納
"Alex Scott (footballer, born 1984)",艾莉絲·史葛
Alex Coomber,亚历克丝·孔伯
Karen Corr,卡倫·高爾
Shara Proctor,莎拉·普罗克特
Mary Beard (classicist),玛丽·比尔德
Alison Williamson,艾莉森·威廉森
Douglas Mawson,道格拉斯·莫森
John Lukic,約翰·盧傑斯
Terry Jones,特里·瓊斯
Alan Minter,艾伦·明特
Ian Holm,伊恩·荷姆
Fabian Delph,法比安·德爾夫
David Warner (actor),大衛·華納
Aphex Twin,艾費克斯雙胞胎
Patrick Doyle,帕特里克·道尔
Nick Frost,尼克·佛洛斯特
Anna Lo,盧曼華
Lord Dunsany,邓萨尼勋爵
Martine Beswick,瑪蒂娜·貝斯維克
Robert Hardy,羅拔·哈迪
Trevor Pinnock,特雷沃·平诺克
H. H. Asquith,H·H·阿斯奎斯
Christopher Hogwood,克利斯朵夫·霍格伍德
Karel Reisz,卡雷·瑞茲
Brian Molko,布萊恩·莫爾可
Lara Croft,蘿拉·卡芙特
Stanley Baldwin,斯坦利·鲍德温
Ramsay MacDonald,拉姆齊·麥克唐納
Byron Webster,拜倫·韋伯斯特
Beckii Cruel,贝吉·克鲁尔
Imogen Bankier,伊莫金·班克尔
Mike Williamson (footballer),麥克·威廉姆森
Shirley Cawley,雪莉·考利
Tsai Chin (actress),周采芹
Siegfried Sassoon,齐格弗里德·沙逊
David Nugent,大卫·纽根特
"David Wilson, Baron Wilson of Tillyorn",衛奕信
Tony Woodcock (footballer),托尼·沃科克
Michael Palin,迈克尔·帕林
Ernest Mason Satow,薩道義
Paul Scofield,保羅·史高菲
Robert T. A. Innes,羅伯特·因尼斯
Geoffrey Burbidge,傑佛瑞·伯比奇
Chris Sutton,克里斯·萨顿
J. D. Bernal,J·D·伯纳尔
Tina Beattie,蒂娜·比堤
Nicky Gargano,尼基·加格诺
Eunice Gayson,尤尼斯·蓋森
Nikolai Medtner,尼古拉·梅特纳
Jaroslav Drobný,雅罗斯拉夫·德罗布尼
Susan Hampshire,苏姗·汉普希尔
Rita Tushingham,丽塔·塔欣厄姆
Edward Youde,尤德
Freddie Sears,弗雷迪·西尔斯
Beryl Reid,贝丽尔·里德
Susannah York,苏珊娜·约克
Marlon Harewood,馬龍·希亞活
Josephine Butler,約瑟芬·巴特勒
Dave Davies,戴夫·戴維斯
Alexander McCall Smith,亚历山大·麦考尔·史密斯
Nicholas Winton,尼古拉斯·溫頓
Jonathan Hyde,乔纳森·海德
Henry Thomas Buckle,亨利·巴克爾
George Albert Boulenger,乔治·阿尔贝·布兰洁
Roger Deakins,罗杰·狄金斯
Kate O'Mara,凱特·奧瑪拉
Joseph Fiennes,約瑟夫·費因斯
Ambrosius Aurelianus,安布羅休斯·奧理安
Jessie Penn-Lewis,宾路易师母
Ben Mansfield,本·曼斯菲爾德
Gary Cahill,加利·卡希爾
Steven Gerrard,史提芬·謝拉特
Tarzan,泰山·(角色)
Julia Ormond,朱莉娅·奥蒙德
Minnie Driver,蜜妮·卓芙
Linsey MacDonald,琳赛·麦克唐纳
George Wilkinson (water polo),乔治·威尔金森
David Brewster,大卫·布儒斯特
Donald Crisp,唐纳德·克里斯普
Roy Welensky,罗伊·韦伦斯基
Svetlana Alliluyeva,斯韦特兰娜·约瑟福芙娜·阿利卢耶娃
Sam Warburton,山姆·瓦伯頓
Craig Eastmond,克雷格·伊斯特蒙德
Lord Alfred Douglas,阿尔弗雷德·道格拉斯勋爵
"Jonathan Davies (rugby union, born 1988)",約拿坦·戴維斯
Jason Kenny,贾森·肯尼
Mark Shuttleworth,马克·沙特尔沃思
Naomi Mitchison,内奥米·密契森
Emma Thompson,艾瑪·湯普遜
Otto Niemeyer,奥托·尼梅尔
Thomas Hanbury,漢璧禮
Julie Walters,茱莉·華特絲
Owen Willans Richardson,欧文·理查森
Lena Headey,琳娜·海蒂
Zuleikha Robinson,祖雷克哈·羅賓遜
Hannah Simone,漢娜·席夢
Malky Mackay,马尔基·马凯
Ruth Sheen,露丝·希恩
Georgie Henley,乔基·亨莉
Jacqueline du Pré,杰奎琳·杜·普蕾
Dizzee Rascal,迪齐·拉斯科
Colin Davis,科林·戴维斯
Frank Bridge,弗兰克·布里奇
Jimmy White,吉米·怀特
Andrew Marvell,安德鲁·马维尔
John Flaxman,约翰·弗拉克斯曼
Allan Wells,艾伦·韦尔斯
Dominic Inglot,多米尼克·英格洛特
Gerard Butler,傑拉德·巴特勒
Jason Statham,傑森·史塔森
Mary F. Lyon,瑪莉·里昂
Colin Salmon,科林·薩爾蒙
Rose Leslie,蘿絲·萊斯莉
Thomas Bradwardine,托馬斯·布拉德華
Steven Moffat,史蒂芬·莫法特
Princess Marina of Greece and Denmark,希臘的瑪麗娜
Ernest Gellner,厄內斯特·蓋爾納
