王明娟,왕밍쥐안
谷峰,구펑
许广平,쉬광핑
许飞,허비 (가수)
陆毅,루이 (배우)
袁家骝,위안자류
罗晋,뤄진
罗洗河,뤄시허
陳偉霆,천웨이팅
李立三,리리싼
林伯渠,린보취
贺龙,허룽 (1896년)
梅汝璈,메이루아오
于斌,위빈 (추기경)
黃智雯,황지문
湯鎮宗,탕진종
毛致用,마오즈융
吴曦·(足球运动员),우시 (축구 선수)
陳鼓應,천구잉
柳岩,류옌 (배우)
王朔,왕숴 (작가)
劉丹·(香港),류단 (1944년)
梁文豪,량원하오
陈舜臣,진순신
趙雅芝,자오야즈
黄奕,황이 (배우)
王宪魁,왕셴쿠이
罗微,뤄웨이
熊十力,슝스리
林立果,린리궈
王明,왕밍
宋丹丹,쑹단단
秦沛,친페이
陳潔如,천제루
石山麟,석산린
馬蘇,마쑤
马明哲,마밍저
李佳芯,리카이섬
朱珠,주주 (배우)
降央卓玛,잠양 돌마
文章·(演员),원장
袁弘,위안훙
童菲,퉁페이
魏晨,웨이천 (1985년생 가수)
李典,이전 (후한)
刘小光,류샤오광
林躍,린웨
陳山聰,천산충
刘伯承,류보청
張耀揚,장요양
聂荣臻,녜룽전
朴文垚,퍄오원야오
赵洪祝,자오훙주
吴小旋,우샤오쉬안
錢嘉樂,첸자러
黃智賢·(香港),황즈셴
王毅,왕이 (정치인)
张瑞敏,장루이민
陳展鵬,천잔펑
張家輝,장가휘
李德全,리더취안
李佳航,리자항
熊佛西,슝포시
朱德海,주덕해
梁嘉琪,량자치
李德洙,리덕수
方安娜,팡안나
张钰·(演员),장위 (배우)
辛鑫,신신 (수영 선수)
谢娜,셰나
張建宗,매슈 청
鄭秀文,정수문
罗瑞卿,뤄루이칭
陈炳德,천빙더
陳華順,진화순
张闻天,장원톈
任建新·(法官),런젠신
陳穎·(射擊運動員),천잉 (사격 선수)
黄晓明,황샤오밍
萧乾,샤오첸
肖智,샤오즈
萧军,샤오쥔 (작가)
习明泽,시밍쩌
李晨·(演员),리천
吴秀波,우슈보
林嘉華,린자화
苗可秀,묘가수
曹大元,차오다위안
林雪,임설
羅敏莊,뤄민좡
徐光宪,쑤광선
王祖藍,왕쭈란
徐嘉余,쉬자위
何祚庥,허쭤슈
梁家輝,양가휘
张雨绮,장위치
狄龙,디룽
孙乐,쑨러
金海心,김해심
吴恩裕,우언위
黄奕中,황이중
郑天翔,정톈샹
徐向前,쉬샹첸
刘文辉,류원후이
张博·(1982年),장보 (배우)
李毅凱,리이카이
薛晓路,쉐샤오루
羅卓睿,마이클 앤드류 로
苗圃·(演员),먀오푸
高華柱,가오화추
闫妮,옌니 (배우)
杨之贤,양즈셴
周汶錡,저우원치
杨霞,양샤 (역도 선수)
高圆圆,가오위안위안
李金羽,리진위 (축구 선수)
姜瑜,장위 (외교관)
高洪波·(足球运动员),가오훙보
尚钺,상웨
钱端升,첸돤성
羅維·(導演),나유 (배우)
王学圻,왕쉐치
陳奕迅,천이쉰
黄渤,황보 (배우)
姜大衞,장다웨이
林更新,린겅신
林永健,린융젠
南勇,남용 (1962년)
林鹏·(演员),린펑 (1986년)
劉兆銘,류자오밍
孙海英,쑨하이잉
刘洪才,류훙차이
劉丹·(1972年),류단 (1972년)
高尧,가오야오 (축구인)
吴晗,우한 (역사가)
王义夫,왕이푸
王磊·(击剑运动员),왕레이 (펜싱 선수)
刘彬彬,류빈빈
牟敦芾,모돈불
莫小奇,모샤오치
陳法拉,천파라
陶铸,타오주
陈希同,천시통
袁腾飞,위안텅페이
穆罕默德·伊敏,무함마드 아민 부그라
罗清泉,뤄칭취안
张云川·(1946年),장윈촨
陈建国·(1945年),천젠궈
武大偉,우다웨이
趙南起,조남기
宁静,닝징
李佳军,리자쥔
刘源,류위안 (정치인)
刘家义,류자이
张宝顺,장바오순
施扬·(游泳运动员),쉬양
邵力子,사오리쯔
杨鼎新,양딩신
杨二车娜姆,양얼처나무
李易祥,리이샹
张国强·(中国大陆演员),장궈창
李雪健,리쉐젠
李玟,코코 리
刘诗诗,류스스
陈思诚,천쓰청
王海滨,왕하이빈
王镇,왕전 (경보 선수)
梁实秋,량스추
梁从诫,량충제
叶企孙,예치쑨
陳惠敏·(演員),진혜민
何晟铭,허성밍
鄭少秋,정사오추
刘成军·(解放军),류청쥔
李瑞环,리루이환
宋任穷,쑹런충
吳鎮宇,우전위 (배우)
李常受,위트니스 리
王刚·(足球运动员),왕강 (축구 선수)
张琳芃,장린펑
赵菁,자오징
罗干,뤄간
张又侠,장유샤
劉哮波,류샤오보 (태권도 선수)
王亚平,왕야핑
于波,위보
王胜俊,왕성쥔
趙文卓,자오원줘
王刚·(全国政协前副主席),왕강 (정치인)
杜汶澤,두문택
英若诚,잉뤄청
黄圣依,황성이
叶冲,예충
邓华,덩화
李香琴,리샹친
黃宗澤,황쭝쩌
惠英紅,후이잉훙
李四光,리쓰광
吳孟達,오맹달
陈丕显,천비셴
李讷,리너
黄华华,황화화
林妙可,린먀오커
王晶,왕정 (영화 감독)
劉青雲,류칭윈
金莎,진사 (가수)
廖亦武,랴오이우
张康之,장캉즈
王大雷,왕다레이
梁詠琪,양영기
劉嘉玲,류자링
陈坤,천쿤 (배우)
劉家良,유가량
刘震云,류전윈
马寅初,마인추
陳國坤,천궈쿤
朱敏·(击剑运动员),주민 (펜싱 선수)
朱光潜,주광첸
胡和平,후허핑
郝鹏·(1960年),하오펑
巍子,웨이쯔
廖國文,리우궉만
詹福瑞,잔푸루이
刘佩琦,류페이치
秦宜智,친이즈
黄坤明,황쿤밍
林铎·(1956年),린둬
潘长江,판창장
潘兵,판빙
张丰毅,장펑이
王耀武,왕야오우
和志强,허즈창
陳肇鈞,천자오쥔
袁家军,위안자쥔
王学军·(1952年),왕쉐쥔
张国清,장궈칭
杨岳·(1968年),양웨
韦永丽,웨이융리
秦刚,친강
张稀哲,장시저
陈宝生,천바오성
何立峰,허리펑
李希,리시 (정치인)
景甜,징톈
张馨予,장신위
钟文靖,중원징
郑爽,정솽
周贺玺,저우허시
周克華,저우커화
陈武·(1954年),천우 (정치인)
石泰峰,스타이펑
杜家毫,두자하오
丁薛祥,딩쉐샹
李小林,리샤오린
秦嵐,친란
秦昊,친하오
强卫,창웨이
戚薇,치웨이
乔振宇,차오전위
古力娜扎,구리나자
高虎城,가오후청
马兴瑞,마싱루이
陈希,천시 (정치인)
刘慧,류후이
金泰延,진타이옌
駱俊,낙준 (후한)
蓝燕·(演员),란옌
伍允龍,오윤룡
竇驍,더우샤오
譚松韻,탄쑹윈
里卡多·高拉特,가오라터
李振輝,리전후이
袁姗姗,위안산산
王珞丹,왕뤄단
刘鹤,류허 (정치인)
金巧巧,진차오차오
李亞男,리야난
李建华·(1954年),리젠화
何香凝,허샹닝
黃百鳴,황바이밍
李沁,리친 (배우)
簡慧真,간혜진
鄧力群,덩리췬
唐一菲,탕이페이
萬美汐,완메이시
万茜,완첸
蔣依依,장이이 (배우)
张歆艺,장신이
罗常培,뤄창페이
周本顺,저우번순
白百何,바이바이허
张文东,장원둥
陳俊樂,천쥔러
陈文清,천원칭
冯洪达,펑훙다
毛曉彤,마오샤오퉁
杨蓉,양룽
斓曦,란시 (배우)
陈宝国,천바오궈
邓岳,등웨
鄧萃雯,등취문
孙亚芳,쑨야팡
關山·(演員),관샨
刘康·(足球教练),류캉
宋春丽,쑹춘리
斯琴高娃,쓰친가오와
尹子維,윤자유
张伯礼,장보리 (의사)
张凯丽,장카이리
王恩哥,왕언거
戴娇倩,다이자오첸
邓家佳,덩자자
丁嘉丽,딩자리
桐华,퉁화 (소설가)
佟麗婭,퉁리야
歐錦棠,구금당
宋涛·(篮球运动员),쑹타오 (농구인)
崔世平,추이스핑
陈建斌,천젠빈
傅艺伟,푸이웨이
童瑶,퉁야오
田家炳,톈자빙
李家超,이가초
王千源,왕첸위안 (배우)
魏宗万,웨이쭝완
王鸥,왕어우
王传君,왕전군
檀健次,탄젠츠
厉以宁,리이닝
令谷,링구
錢理群,첸리췬
谢容儿,셰룽얼
郭京飞,곽경비
陈数,천슈
迟子建,츠쯔젠
张毅·(1950年),장이 (1950년)
高露,가오루 (배우)
海清,하이칭
何穗,허쑤이
贺美英,허메이잉
张佳宁,장자닝
张檬,장멍 (1988년)
夏业良,샤예량
孫藝洲,쑨이저우
宋涛·(外交官),쑹타오 (1955년)
孟宏伟,멍훙웨이
唐嫣,탕옌
谭维维,탄웨이웨이
周韻,저우윈
吕佳容,뤼자룽
劉剛·(中國民運人士),류강 (1961년)
唐君毅,탕쥔이
包贝尔,바오베이얼
时越,스웨
孙文广,쑨원광
柁嘉熹,퉈자시
关晓彤,관샤오퉁
邓莎,덩사
段奕宏,돤이훙
王晨星,왕천싱
冯远征,펑위안정
王学兵,왕쉐빙
冯克安,풍극안
魏宏,웨이훙
葉維廉,예웨이롄
胡兵,후빙
王嘉男,왕자난 (육상 선수)
梁嘉恆,렁카항
陳赫,천허
樓南光,누남광
王宝强,왕바오창
王宾·(足球运动员),왕빈 (축구 선수)
王怡·(作家),왕이 (목회자)
王蒙徽,왕멍후이
李学鹏,리쉐펑
臧金生,짱진성
张嘉益,장자이 (남자 배우)
金世佳,김세가
居文沛,쥐원페이
江铠同,장카이퉁
何炅,허중
叶青·(演员),예칭
许纪霖,쉬지린
海霞·(主播),하이샤
李进军,리진쥔
杜雨露,두위루
杨童舒,양퉁수
李晟,리성 (배우)
李易峰,리이펑
闞清子,칸칭쯔
熊乃瑾,슝나이진
俞飞鸿,위페이훙
穎兒,잉얼
李玲玉,리링위
李滨·(官员),리빈 (외교관)
张庭延,장팅옌
潘建伟,판젠웨이
海陸·(演員),하이루
潘粤明,판웨밍
左小青,쭤샤오칭
阳翰笙,양한성
殷桃,인타오
于和伟,위허웨이
王麗坤,왕리쿤
王自健,왕쯔젠
张峻宁,장준닝
戴春榮,다이춘룽
孙可,쑨커 (축구 선수)
李保田,리바오톈
王戎·(演員),왕융 (배우)
刘敏涛,류민타오
刘国中,류궈중
刘世振,류스전
唐韦星,탕웨이싱
杨钰莹,양위잉
杨紫,양쯔 (배우)
杨晓渡,양샤오두
劉永·(演員),유영 (1952년)
刘金国,류진궈
劉強東,류창둥
刘芸·(影视演员),류윈 (배우)
颜丙燕,옌빙옌
曹文轩,차오원쉬엔
江一燕,장이옌
贾清,자칭
黃威·(香港),황웨이 (홍콩의 축구 선수)
梅方,메이팡
马原·(作家),마위안
王垚,왕야오
郎永淳,랑융춘
張萌,장멍 (1981년)
張晉,장진 (배우)
祖鋒,쭈펑
連笑,롄샤오
李幼斌,리유빈
李赫,리허
郑恺,정카이 (1986년 4월)
廖凡,랴오판
张子枫,장쯔펑
詹伯慧,잔보후이
母其弥雅,무치미야
孔祥明,쿵샹밍
张璇·(围棋棋手),장쉬안
張嘉倪,장자니
高梓淇,가오쯔치
刘棣怀,류디화이
张鑫森,장신썬
张立·(围棋棋手),장리 (바둑 기사)
钟南山,중난산 (의사)
林雨申,린위선
羅海瓊,뤄하이충
麥迪娜·買買提,마디나 메메트
孟泰龄,멍타이링
倪大宏,니다훙
宁赋魁,닝푸쿠이
蒋梦婕,장멍제
蔣欣,장신 (배우)
賀一誠,호얏셍
李金铭,리진밍
李依晓,리이샤오
杨奎松,양쿠이쑹
芈昱廷,미위팅
赵汀阳,자오팅양
罗永浩,라영호
胡可·(演员),후커 (배우)
葛均波,거쥔보
英达,잉다
乔任梁,차오런량
郭志坚,궈즈젠
郭曉婷,궈샤오팅
鍾發,종발
陈吉宁,천지닝
吴刚·(中国大陆演员),우강 (배우)
党毅飞,당이페이
刘殿座,류뎬쭤
雷军,레이쥔
虞梦,위멍
黃仁德,황인덕
孙腾宇,쑨텅위
秦海璐,친하이루
唐艺昕,탕이신
趙麗穎,자오리잉
周金黄,저우진황
孔铉佑,쿵쉬안유
娄艺潇,러우이샤오
张千一,장천일
潘虹,판훙
蒲巴甲,푸바자
吴淞笙,우쑹성
吴文藻,우원짜오
马伊琍,마이리
薛篤弼,설독필
宋养初,송찬양
陈晓,천샤오
释学诚,쉬에청
張雪迎,장쉐잉
姚星彤,야오싱퉁
顏卓靈,응안척링
李昂·(足球运动员),리앙
高晟晖,가오윈샹
張藝興,레이 (가수)
董子健,둥쯔젠
毛俊杰,마오쥔제
正珠尔扎布,젱주르자브
丁西林,딩시린
於之莹,위즈잉
段文凝,돤원닝
苏青·(演员),쑤칭
鹿晗,루한
黃子韜,황쯔타오
李初梨,리추리
黃鷹·(武俠小說家),황응
雷佳音,레이자인
王凱·(中國大陸演員),왕카이 (배우)
汤用彤,탕융퉁
陈梦,천멍
陶昕然,타오신란 (배우)
徐璐,쉬루
王上源,왕상위안
蔡雅同,차이야퉁
戴耀廷,다이야오팅
张蓝心,장란신
周楚楚,저우추추
陈岱孙,천다이쑨
朱元豪,주위안하오
柯洁,커제
李书磊,리수레이
徐新·(足球运动员),쉬신 (축구 선수)
张益唐,장이탕
王子文,왕쯔원
吴原春,우위안춘
章乃器,장나이치
曹喜八,조희팔
贾宏声,자훙성
許冠武,허관무
樊振东,판전둥
任子威,런쯔웨이
卢军宏,노군홍
费南多,페르난지뉴 (1993년)
齊如山,치루산
陈之辉,천즈후이
龚祥瑞,궁샹루이
黄云嵩,황윈쑹
范蕴若,판윈뤄
戎毅,룽이
孙力·(围棋棋手),쑨리 (바둑 기사)
田志希,전지희
李轩豪,리쉬안하오
陶欣然,타오신란 (바둑 기사)
严欢,옌환
鄭守一,정수일
辛柏青,신바이칭
蒋建华,장젠화 (1959년)
彭立峣,펑리야오
王嘉爾,잭슨 (가수)
何冰娇,허빙자오
盧靖姍,설리나 제이드
王雷·(围棋棋手),왕레이 (1986년)
牛雨田,뉴위톈
高孔廉,가오쿵롄
朱文熊,주원슝
谌利军,천리쥔
段宜恩,마크 투안
柴碧云,차이비윈
黄轩,황쉬안
周奇奇,저우치치
王霜,왕솽 (축구 선수)
贺麟,허린
高准翼,가오준이
李干杰,리간제
侯永永,후융융
王雅繁,왕야판
戴国宏,다이궈훙
刘伟·(歌手),류웨이 (피아니스트)
趙溫,조온 (후한)
武大靖,우다징
李健吾,리젠우
韩天宇,한톈위
陈观慧,천관훼이
过惕生,궈티성
吳莫愁,우모처우
邱国洪,추궈훙
林天苗,린톈먀오
金美儿,김미아
王昊洋,왕하오양
李宇琪,리위치
奚国华·(1951年),시궈화
邬光亚,우광야
夏晨琨,샤천쿤
张涛·(围棋棋手),장타오 (바둑 기사)
池忠国,츠중궈
姚贝娜,야오베이나
连奕名,롄이밍
华晨宇,화천위
白银市连环杀人案,가오청융
宁泽涛,닝쩌타오
史婧琳,스징린
汪雪儿,왕쉐얼
陳欣怡,천신이
毕易榕,비이룽
韦世豪,웨이스하오
陈洁·(游泳运动员),천제 (수영 선수)
李朱濠,리주하오
陈瑶光,장야오광
于朦胧,위멍룽
张律,장률
江旻憓,장민후이
沈鐸,선둬
張家朗,장자랑
周庭,아그네스 차우
刘忻,리우신
杨子姗,양쯔산
韩童生,한퉁성
李晨浩,리천하오
张磊·(1972年),장레이
彭蕾,펑레이
张慧雯·(中国大陆演员),장후이원
趙嘉敏,쟈오쟈민
尹力·(1962年),인리 (정치인)
朱一龙,주이룽
车永莉,처융리
任桂辛,런구이신
王一楠,왕이난
林允,린윈
刘湘·(游泳运动员),류샹 (수영 선수)
江疏影,장수잉
骆宾基,뤄빈지
李溪芮,리시루이
姜妍,장옌 (배우)
林路迪,루디 린
李欽誠,리친청
张玉宁·(1997年),장위닝
毛睿龙,마오루이룽
蒋光太,타이어스 브라우닝
陈龙·(演员),진룡
朱寶玉,주바오위
张芷溪,장즈시
吴磊,우레이 (배우)
彭冠英,펑관잉
彭小苒,펑샤오란
秦亚青,친야칭
舒群,수췬
李藝彤,리이퉁 (가수)
张玉安,장위안 (방송인)
韩东君,한둥쥔
春夏,춘샤
迪丽热巴·迪力木拉提,디리러바
李榮浩,리롱하오
罗云熙,라운희
卢志强,루즈창
周群飞,저우췬페이
黃碧蓮,황벽련
馬思純,마쓰춘
张之臻,장즈전
趙婷,클로이 자오
江泽佳,장쩌자
顾乐观,구러관
王一博,이보 (가수)
刘结一,류제이
毛林林,마오린린
蒋科律,장커뤼
李皓晴,리하오칭
徐明浩,디에잇
胡冰卿,후빙칭
陳都靈,천두링
陈雨菲,천위페이
吴倩·(演员),우첸
張健·(民運人士),장젠 (활동가)
王立銘,왕리밍
许佳琪,쉬자치
赵帅,자오솨이
郑姝音,정수인 (태권도 선수)
魏大勋,웨이다쉰
张语格,장위거
陈意涵·(中国大陆),천이한 (중국의 배우)
費沁源,페이친위엔
孙芮,쑨루이 (가수)
焦俊艳,자오쥔옌
杜凱琹,두카이친
耿爽,겅솽
张嘉佳,장자자
朱婷,주팅 (배구 선수)
周雨彤,저우위퉁
陳婉婷·(足球教練),천완팅 (축구인)
于颂,위쑹
周冠宇,저우관위
陈海威,천하이웨이
童梦成,퉁멍청
张彬彬,장빈빈
施嘉炀,스자양
卡斯柏,캐스퍼 (중국의 래퍼)
张予曦,장위시
盛一伦,성일륜
宋轶,쑹이 (배우)
刘昊然,류하오란
吴伯箫,우보샤오
马宁·(足球裁判),마닝
刘洋·(1995年),류양 (1995년)
宋芸樺,쑹윈화
许魏洲,쉬웨이저우
曹璐,차오루
杨楷文,양카이원
程潇,성소 (가수)
安冬旭,안둥쉬
蔡竞,차이징
徐宏傑,쩌이왕킷
王俊凯,왕쥔카이
林耶凡,아나스타샤 린
成毅,청이 (배우)
劉些寧,류셰닝
张天爱·(黑龙江),장톈아이
孙一文,쑨이원
沈沛然,선페이란
黃景瑜,황징위
刘宇航,류위항
周泓余,저우훙위
何语涵,허위한
陆敏全,루민취안
白敬亭,바이징팅
王小洪,왕샤오훙
卢祖尚,노조상
王思聪,왕스총
徐立·(演员),쉬리 (배우)
易烊千玺,이양첸시
郭俊辰,곽준진
賀飛,허페이 (배우)
颜宁,옌닝
张雨霏,장위페이 (수영 선수)
趙志偉·(藝人),자오즈웨이
舒一笑,슈이샤오
蒋其润,장치룬
廖元赫,랴오위안허
刘曦·(围棋棋手),류시 (1988년)
谢科·(围棋棋手),셰커
许嘉阳,쉬자양
陈贤·(围棋棋手),천셴
张维·(围棋棋手),장웨이 (1989년)
赵晨宇,자오천위
王泽锦,왕쩌진
秦悦欣,친웨신
胡跃峰,후웨펑
廖行文,랴오싱원
付冲,푸충 (바둑 기사)
国宇征,궈위정
丁浩·(围棋棋手),딩하오
陈浩·(围棋棋手),천하오 (1994년)
甘思阳,간쓰양
严在明,옌짜이밍
马逸超,마이차오 (바둑 기사)
范胤,판인
张强·(围棋棋手),장창 (바둑 기사)
李铭·(围棋棋手),리밍 (바둑 기사)
李翔宇·(围棋棋手),리샹위
李维清,리웨이칭
汪涛·(围棋棋手),왕타오 (바둑 기사)
伊凌涛,이링타오
曹潇阳,차오샤오양
韩一洲,한이저우
陈梓健,천쯔젠
崔灿,추이찬
韩晗·(围棋棋手),한한 (바둑 기사)
吴佳欣,우자신
吴谨言,우진옌
高亭宇,가오팅위
德尔加多,페드루 델가두
刘少昂,류 사오앙
文俊輝,준 (1996년)
黄婷婷,황팅팅
林声·(击剑运动员),린성
曲春雨,취춘위
林思意,린스이
徐海乔,쉬하이차오
辜梓豪,구쯔하오
金波,진보 (축구 선수)
吴易昺,우이빙
陳宇翱,천위아오
梁冠聰,량관충
黃夢瑩,황멍잉
宋伊人,쑹이런
程训钊,청쉰자오
蔡文静,차이원징
何卫东,허웨이둥
美·(守望先锋),메이 (오버워치)
金冲及,진충지
馮薪朵,펑신둬
潘之琳,판즈린
袁冰妍,위안빙옌
王晓晨,왕샤오천
鞠婧禕,쥐징이
趙粵,자오웨
莊奴,좡누
楊世銘,양스밍
杨立瑜,양리위
孟美岐,미기
李发彬,리파빈
邓伦,덩룬
周潔瓊,주결경
王源,왕위안
谢尔豪,셰얼하오
朱亞明,주야밍
郝景芳,하오징팡
宋威龙,송웨이롱
张丹三,장단싼
张新成,장신청 (배우)
孙珍妮,쑨전니
谢蕾蕾,셰레이레이
林高遠,린가오위안
曾艳芬,정옌펀
羅冠聰,네이선 로
葛曼棋,거만치
谭代山,타이슨 탄
孫穎莎,쑨잉사
郭闻潮,궈원차오
陸婷,루팅 (가수)
李现,리셴
金龍國,용국
宋妍霏,송연비
吴宣仪,선의 (가수)
茹子楠,루쯔난
万丽娜,완리나
熊梓淇,슝쯔치
陳幸同,천싱퉁
王曼昱,왕만위
于晓光,위샤오광
宋昕冉,송신란
吴希泽,우시쩌
張柏嘉,장보자
段艺璇,두안이쉬엔
蔡徐坤,차이쉬쿤
祝绪丹,주쉬단
赵今麦,자오진마이
林孝埈,린샤오쥔
侯明昊,허우밍하오
沈月,선웨
諒輔,양보 (후한)
辰乐,천러
石正丽,스정리
涂們,투먼 (배우)
胡一天,후이톈
王秀竹,왕슈주
刘柏辛,렉시 리우
王鶴棣,왕허디
曾舜晞,쩡순시
孫銘謙,쑨밍첸
詹建俊,잔젠쥔
赵露思,자오루쓰
经超,징차오
陈钰琪,천위치
许龄月,쉬링웨
孫銥,쑨이 (1993년 7월)
李泽锋,리쩌펑
殷震,인전 (1926년)
馮提莫,펑티모
朱明叶,주밍예
袁征·(企业家),에릭 유안
肖戰,샤오잔
杨超越,양차오웨
李子柒,리쯔치
仁俊,런쥔
朱辰杰,주천제
张奚若,장시뤄
白鹿·(演員),바이루 (배우)
閻羽茜,캐시 옌
王楚然,왕초연
王菊,왕쥐 (가수)
张学斌·(棋手),장쉐빈
龔俊,궁쥔
昀昀,윈윈
胡意旋,호의선
锟,쿤 (1996년)
邢海明,싱하이밍
肖俊·(NCT),샤오쥔 (가수)
李庚希,리겅시
閆桉,옌안 (가수)
宋雨琦,우기 (가수)
张晞临,장시린
李奧軒,이오현
虞書欣,위수신
徐艺洋,쉬이양
吴少聪,우사오충
陈小纭,천샤오윈
靳如超爆炸案,스자좡 폭탄 테러
杨采钰,양차이위
谷爱凌,구아이링
陈芋汐,천위시
曹原,차오위안 (물리학자)
覃海洋,친하이양
王安宇,왕안위
张继先,장지셴
王怡人,이런
李雯雯,리원원 (역도 선수)
郭帆,궈판 (영화 감독)
陈秋实·(律师),천추스
梁靖康,량징캉
贺建奎,허젠쿠이
孟晚舟,멍완저우
韩旭·(篮球运动员),한쉬 (농구 선수)
侯志慧,허우즈후이
杨洋,양양 (배우)
屈楚萧,취추샤오
宋继扬,송지양
林墨,린모
张楠·(演员),장난 (배우)
咏梅,융메이
玛吉·麦克尼尔,마거릿 맥 닐
李文亮,리원량
李文龙·(短道速滑运动员),리원룽 (쇼트트랙 선수)
王一菲,왕이페이
屈菁菁,취징징
孙亦航,쑨이항
卢云秀,루윈슈
高莉莉,릴리 가오
吳宇恆,우위헝
闫文港,옌원강
李菲儿,리페이얼
黄斯沉,황쓰천
金子涵,진쯔한
閆麗夢,옌리멍
迪妮格尔·衣拉木江,디니거얼 이라무장
陳哲遠,진철원
王星昊,왕싱하오
謝可寅,셰커인
杨肸子,양시쯔
柯玲玲,커링링
张月,장웨
安崎,안치 (가수)
劉雨昕,류위신 (가수)
孔雪兒,쿵쉐얼
张楚桐,장추퉁
李浩菲,리하오페이
庄达菲,좡다페이
刘学义,류쉐이
钟睒睒,중산산
屠晓宇,투샤오위
陈卓璇,천줘쉬안
张梦儿,장멍얼
王艺瑾,왕이진
姜贞羽,쟝쩐위
張藝凡,장이판
卜冠今,부관진
刘畅·(1993年),류창
张志民·(诗人),장즈민
謝興陽,셰씽양
張嘉元,장쟈위엔
吴依铭,우이밍
毛唯嘉,마오웨이자
葉知恩,예즈언
朱苓,주링
劉念·(AKB48·Team·SH),류녠
寧藝卓,닝닝
刘宇·(艺人),류위 (가수)
范朋飞,판펑페이
甘望星,간왕씽
张雨婷,장위팅 (쇼트트랙 선수)
沈小婷,샤오팅 (1999년)
魏宏宇,웨이홍위
史蒂文·何,스티븐 히
蔡浩宇,차이하오위
全红婵,취안훙찬
杨倩·(射击运动员),양첸 (사격 선수)
张常鸿,장창훙 (사격 선수)
季美含,지메이한
沈泉鋭,리키 (2004년)
章昊,장하오 (가수)
潘展乐,판잔러
陈致逸,천위펑 (작곡가)
苏翊鸣,쑤이밍
