Brasil,브라질
Derby Paulista,데르비 파울리스타
Esporte Clube XV de Novembro (Piracicaba),이스포르치 클루비 XV 지 노벰브루 (피라시카바)
Natura,나투라 (기업)
Guarani Esporte Clube (Ceará),구아라니 EC (세아라주)
São Raimundo Esporte Clube (Pará),상하이문두 EC (파라주)
Aliança Bíblica Universitária do Brasil,미국기독학생회
Salgueiro Atlético Clube,사우게이루 AC
Copa Mercosul de 1999,1999년 코파 메르코수르
Copa Mercosul de 2000,2000년 코파 메르코수르
Grêmio Osasco Audax,그레미우 오자스쿠 아우다스
Agremiação Sportiva Arapiraquense,아그레미아상 스포르치바 아라피라켄시
Relações internacionais do Brasil,브라질의 대외 관계
Brusque Futebol Clube,브루스키 FC
Moto Club,모투 클루브
Seleção Brasileira de Futebol Sub-20,브라질 U-20 축구 국가대표팀
Ferroviário Atlético Clube (Ceará),페호비아리우 AC (세아라주)
Meridiano 35 W,서경 35도
Meridiano 52 W,서경 52도
Meridiano 62 W,서경 62도
Meridiano 54 W,서경 54도
Meridiano 61 W,서경 61도
Meridiano 70 W,서경 70도
Meridiano 56 W,서경 56도
Meridiano 38 W,서경 38도
Meridiano 60 W,서경 60도
Meridiano 50 W,서경 50도
Meridiano 53 W,서경 53도
Meridiano 55 W,서경 55도
Meridiano 57 W,서경 57도
Meridiano 59 W,서경 59도
Meridiano 64 W,서경 64도
Meridiano 58 W,서경 58도
Botafogo Futebol Clube (Ribeirão Preto),보타포구 FC (상파울루주)
Rede Bandeirantes,헤지 반데이란치스
Upaon-Açu,상루이스섬
Meridiano 67 W,서경 67도
Meridiano 69 W,서경 69도
Meridiano 68 W,서경 68도
Meridiano 65 W,서경 65도
Catupiry,카투피리
Murici Futebol Clube,무리시 FC
Meridiano 45 W,서경 45도
Nova Iguaçu Futebol Clube,노바이구아수 FC
Rio Abiaí,에이비얼강
Partido Social Liberal,사회자유당 (브라질)
Associação Desportiva Ferroviária Vale do Rio Doce,데스포르치바 페호비아리아
Partido Liberal (2006),자유당 (브라질)
Americano Futebol Clube,아메리카누 FC
Aliança Renovadora Nacional,국민개조동맹당
Recopa Sul-Americana de 2012,2012년 레코파 수다메리카나
Mogi Mirim Esporte Clube,모지미링 EC
Seleção Brasileira de Futebol Sub-17,브라질 U-17 축구 국가대표팀
Agricultura no Brasil,브라질의 농업
América Futebol Clube (São José do Rio Preto),아메리카 푸치보우 클루비 (상조제두히우프레투)
Arquivo Nacional (Brasil),브라질 국립 문서 보관소
Copa Intercontinental de 1976,1976년 인터콘티넨털컵
Atlético Acreano,아틀레치쿠 아크레아누
Sampaio Corrêa Futebol Clube,삼파이우 코헤아 FC
Botafogo Futebol Clube (João Pessoa),보타포구 FC (주앙페소아)
Eleição da cidade-sede dos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 개최지 선정
Águia de Marabá Futebol Clube,아기아 지 마라바 FC
Línguas pano-tacanas,파노타카나어족
Rebeldes (banda),헤베우지스
Universidade do Estado de Minas Gerais,미나스제라이스 주립 대학교
River Atlético Clube,히베르 AC
Esporte Clube São José,EC 상조제
Central Sport Club,센트라우 SC
Quinta da Boa Vista,퀸타 다 보아 비스타 공원
Santos Futebol Clube (Macapá),산투스 FC (아마파주)
Cuiabá Esporte Clube,쿠이아바 EC
J.Malucelli Futebol S/A,J.말루셀리 푸치보우
Brumado,브루마두
Associação Chapecoense de Futebol,아소시아상 샤페코엔시 지 푸테보우
Vice-presidente do Brasil,브라질의 부통령
São Raimundo Esporte Clube (Amazonas),상하이문두 EC (아마조나스주)
São Raimundo Esporte Clube (Roraima),상하이문두 EC (호라이마주)
Embraer E-Jets,엠브라에르 E-Jets
Língua matsé,마체스어
Esporte Clube São Bento,EC 상벤투
Volta Redonda Futebol Clube,보우타헤돈다 FC
Clube do Remo,클루비 두 헤무
Picos,피쿠스 (피아우이주)
Democrata Futebol Clube,데모크라타 FC
Lista de partidos políticos do Brasil,브라질의 정당
Meridiano 40 W,서경 40도
Chá mate,마테차
Clube Atlético Metropolitano,CA 메트로폴리타누
Esporte Clube Internacional (Lages),EC 인테르나시오나우 (라지스)
Recopa Sul-Americana de 2014,2014년 레코파 수다메리카나
Copa América de 2019,2019년 코파 아메리카
Festival de Brasília,브라질리아 영화제
Câmara dos Deputados do Brasil,브라질 대의원
Pururuca,돼지 껍데기
Capivariano Futebol Clube,카피바리아누 FC
Para o Brasil seguir mudando,인민의 힘과의 연합
Incêndio na boate Kiss,키스 나이트클럽 화재
Milagre de Belo Horizonte,미국 대 잉글랜드 (1950년 FIFA 월드컵)
Clube Atlético Sorocaba,아틀레치쿠 소로카바
Grêmio Esportivo Novorizontino,그레미우 이스포르치부 노보리존치누
Estádio Hailé Pinheiro,이스타지우 다 세히냐
Direitos transgênero no Brasil,브라질의 트랜스젠더 권리
Recopa Sul-Americana de 1993,1993년 레코파 수다메리카나
Associação Ferroviária de Esportes,아소시아상 페호비아리아 지 이스포르치스
Associação Portuguesa Londrinense,아소니아상 포르투게사 론드리넨스
Clube Esportivo Lajeadense,CE 라지아덴시
Golfe nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 골프
Associação Atlética Flamengo,AA 플라멩구
Clube Atlético Linense,CA 리넨시
Clube Atlético Penapolense,CA 페나폴렌시
Atlético Clube Paranavaí,AC 파라나바이
Grêmio Catanduvense de Futebol,그레미우 카탄두벤시
Gurupi Esporte Clube,구루피 EC
Imigração chinesa no Brasil,중국계 브라질인
Allianz Parque,알리안츠 파르키
Hino da cidade do Rio de Janeiro,리우데자네이루 찬가
Centro de Futebol Zico do Rio Sociedade Esportiva,CFZ 두 리우
Província magmática do Paraná-Etendeka,파라나-에텐데카 트랩
Campo de Golfe Olímpico,캄푸 올림피쿠 지 골피
Presidente do Brasil,브라질의 대통령
Aeroporto de Vilhena,빌례나 공항
Maniçoba,마니소바
Golpe de Estado no Brasil em 1964,1964년 브라질 쿠데타
Bife a cavalo,비프 아 카발루
Campanha presidencial de José Serra em 2010,변화의 브라질
Carlsberg Cup de 2005,2005년 구정컵
Eleições gerais no Brasil em 2014,2014년 브라질 대통령 선거
Bragantino Clube do Pará,브라간치누 클루비 두 파라
Marina da Glória,마리나 다 글로리아
Ação Integralista Brasileira,브라질 통합주의행동
Recopa Sul-Americana de 2006,2006년 레코파 수다메리카나
Recopa Sul-Americana de 2007,2007년 레코파 수다메리카나
Festival Internacional da Linguagem Eletrônica,전자 언어 국제 페스티벌
RIO Linhas Aéreas,리오 에어
Roma Esporte Apucarana,로마 에스포르치 아푸카라나
Club de Regatas Vasco da Gama,CR 바스쿠 다 가마
Tênis de mesa nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 탁구
Recopa Sul-Americana de 2009,2009년 레코파 수다메리카나
Nacional Atlético Clube (São Paulo),나시오날 아틀레티코 클럽 (SP)
Tênis nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 테니스
Campeonato Brasileiro de Futebol Feminino,캄페오나투 브라질레이루 페미니누
Estádio Kleber Andrade,이스타지우 클레베르 안드라지
Centro Nacional de Tiro,국립 사격 센터
Grande Prêmio do Brasil de 2013,2013년 브라질 그랑프리
Juqueí,주케이
Coreano-brasileiro,한국계 브라질인
Voo Varig 967,바리그 브라질 항공 967편 실종 사건
Arena Fonte Nova,아레나 폰치 노바
Locais de competição dos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 경기장
Vela nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 요트
República do Pampa,팜파스 공화국
Natação nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 수영
Universidade Federal de Goiás,고이아스주 연방대학교
União Recreativa dos Trabalhadores,우니앙 헤크레아치바 두스 트라발랴도리스
Parque Nacional da Serra da Canastra,세라 다 카나스트라 국립공원
Tanabi Esporte Clube,타나비 EC
Hóquei sobre a grama nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 하키
Rua Oscar Freire,오스카르 프레이레 거리
Sociedade Desportiva Juazeirense,SD 주아제이렌시
União Bandeirante Futebol Clube,우니앙 반데이란치 FC
Olímpia Futebol Clube,올림피아 FC
Farinha de pau,카사바 가루
Comando Militar,지역사령부
Copa do Mundo FIFA de 2014 – Grupo A,2014년 FIFA 월드컵 A조
Copa do Mundo FIFA de 2014 – Grupo C,2014년 FIFA 월드컵 C조
Copa do Mundo FIFA de 2014 – Grupo B,2014년 FIFA 월드컵 B조
Copa do Mundo FIFA de 2014 – Grupo D,2014년 FIFA 월드컵 D조
Copa do Mundo FIFA de 2014 – Grupo F,2014년 FIFA 월드컵 F조
Copa do Mundo FIFA de 2014 – Grupo G,2014년 FIFA 월드컵 G조
Copa do Mundo FIFA de 2014 – Grupo E,2014년 FIFA 월드컵 E조
Feijoada à brasileira,페이조아다 (브라질 음식)
Copa do Mundo FIFA de 2014 – Grupo H,2014년 FIFA 월드컵 H조
Lulismo,룰라주의
Grêmio Novorizontino,그레미우 노보리존치누
Linguiça calabresa,링구이사 칼라브레자
Pavê,파베
Praça XV (Rio de Janeiro),11월 15일 광장
Pirão,피랑
PAL-M,PAL-M
Praça da República (São Paulo),헤프블리카 광장
São Francisco Futebol Clube (Santarém),상프란시스쿠 FC (산타렝)
TV Maracu,TV 마라쿠
Subdivisões do Brasil,브라질의 행정 구역
Caxirola,카시롤라
Futebol nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 축구
Brasil na Copa do Mundo FIFA,브라질의 FIFA 월드컵 성적
Badminton nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 배드민턴
Brasil nos Jogos Olímpicos de Inverno de 2014,2014년 동계 올림픽 브라질 선수단
Pirarrãs,피라항인
Campeonato Mundial de Judô de 2013,2013년 세계 유도 선수권 대회
Handebol nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 핸드볼
Pentatlo moderno nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 근대5종
Tiro com arco nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 양궁
Judô nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 유도
Lutas nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 레슬링
Ciclismo nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 사이클
Ginástica nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 체조
Lista de árbitros da Copa do Mundo FIFA de 2014,2014년 FIFA 월드컵 심판
Convocações para a Copa do Mundo FIFA de 2014,2014년 FIFA 월드컵 선수 명단
Voleibol nos Jogos Olímpicos de Verão de 2016 - Masculino,2016년 하계 올림픽 배구 남자
Copa das Confederações FIFA de 2013 – Fase final,2013년 FIFA 컨페더레이션스컵 결선 토너먼트
Jornadas de Junho,2013년 브라질 시위
Copa do Mundo FIFA de 2014 – Fase final,2014년 FIFA 월드컵 결선 토너먼트
Esgrima nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 펜싱
Seleções participantes da Copa das Confederações FIFA de 2013,2013년 FIFA 컨페더레이션스컵 선수 명단
We Are One (Ole Ola),We Are One (Ole Ola)
Tiro nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 사격
Protestos no Brasil contra a Copa do Mundo FIFA de 2014,2014년 브라질 시위
Final da Copa do Mundo FIFA de 2014,2014년 FIFA 월드컵 결승전
Final da Copa das Confederações FIFA de 2013,2013년 FIFA 컨페더레이션스컵 결승전
Belém (Pará),벨렝
Copa América Feminina de 2014,2014년 코파 아메리카 페메니나
Epidemia de chicungunha na América de 2013-2014,2013~2014년 치쿤구니야 유행
Easy Taxi,이지택시
Taekwondo nos Jogos Olímpicos de Verão de 2016 - Até 67 kg feminino,2016년 하계 올림픽 태권도 여자 67kg급
Atletismo nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 육상
Copa das Confederações FIFA de 2013 – Grupo A,2013년 FIFA 컨페더레이션스컵 A조
Liga Mundial de Voleibol de 2015,2015년 FIVB 배구 월드리그
Estatísticas da Copa do Mundo FIFA de 2014,2014년 FIFA 월드컵 통계
Basquetebol nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 농구
Voleibol nos Jogos Olímpicos de Verão de 2016 - Feminino,2016년 하계 올림픽 배구 여자
Basquetebol nos Jogos Olímpicos de Verão de 2016 - Masculino,2016년 하계 올림픽 농구 남자
Voleibol nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 배구
Voleibol de praia nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 비치발리볼
Relações entre Brasil e Coreia do Sul,대한민국-브라질 관계
Brasil 1–7 Alemanha (2014),브라질 대 독일 (2014년 FIFA 월드컵)
Eliminatórias da Copa do Mundo FIFA de 2018 - América do Sul,2018년 FIFA 월드컵 남미 지역 예선
Dados disciplinares da Copa do Mundo FIFA de 2014,2014년 FIFA 월드컵 경고 기록
Cerimônia de abertura dos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 개막식
Globo Futebol Clube,글로부 FC
Futebol nos Jogos Olímpicos de Verão de 2016 - Masculino,2016년 하계 올림픽 축구 남자
Futebol nos Jogos Olímpicos de Verão de 2016 - Feminino,2016년 하계 올림픽 축구 여자
Cerimônia de encerramento dos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 폐막식
Vinícius e Tom,비니시우스와 통
Campeonato Brasileiro de Futebol de 2015 - Série D,캄페오나투 브라질레이루 세리이 D 2015
Taekwondo nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 태권도
Futebol nos Jogos Olímpicos de Verão de 2016 - Convocações masculinas,2016년 하계 올림픽 축구 남자 선수 명단
Campeonato Brasileiro de Futebol de 2015 - Série C,캄페오나투 브라질레이루 세리이 C 2015
Halterofilismo nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 역도
Campeonato Brasileiro de Futebol de 2015 - Série A,캄페오나투 브라질레이루 세리이 A 2015
Campeonato Brasileiro de Futebol de 2015 - Série B,캄페오나투 브라질레이루 세리이 B 2015
Basquetebol nos Jogos Olímpicos de Verão de 2016 - Feminino,2016년 하계 올림픽 농구 여자
Campeonato Brasileiro de Futebol de 2016 - Série B,캄페오나투 브라질레이루 세리이 B 2016
Epidemia de febre zica em 2015–2016,2015~2016년 지카바이러스 유행
Campeonato Brasileiro de Futebol de 2016 - Série A,캄페오나투 브라질레이루 세리이 A 2016
Atletas Olímpicos Independentes nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 독립 선수단
Campeonato Paulista de Futebol de 2016 - Série A1,캄페오나투 파울리스타 2016
Atletismo nos Jogos Olímpicos de Verão de 2016 - Maratona masculina,2016년 하계 올림픽 육상 남자 마라톤
Copa do Mundo FIFA Sub-17 de 2019,2019년 FIFA U-17 월드컵
Una,우나 (브라질)
Vitória da Conquista,비토리아다콩키스타
Revezamento da tocha dos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 성화 봉송
Taekwondo nos Jogos Olímpicos de Verão de 2016 - Mais de 67 kg feminino,2016년 하계 올림픽 태권도 여자 %2B67kg급
Crise econômica brasileira de 2014,2014-2017년 브라질 경제 위기
Arena Carioca 2,카리오카 아레나 2
Arena Carioca 3,카리오카 아레나 3
Conselho Nacional do Petróleo,국가석유위원회
Equipe Olímpica de Refugiados nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 난민 선수단
Associação Atlética de Altos,AA 아우투스
Campeonato Brasileiro de Futebol de 2017 - Série B,캄페오나투 브라질레이루 세리이 B 2017
Campeonato Brasileiro de Futebol de 2017 - Série D,캄페오나투 브라질레이루 세리이 D 2017
Eleições gerais no Brasil em 2018,2018년 브라질 대통령 선거
Quadro de medalhas dos Jogos Paralímpicos de Verão de 2016,2016년 하계 패럴림픽 메달 집계
Handebol nos Jogos Olímpicos de Verão de 2016 - Feminino,2016년 하계 올림픽 핸드볼 여자
Campeonato Brasileiro de Futebol de 2017 - Série A,캄페오나투 브라질레이루 세리이 A 2017
Natação nos Jogos Olímpicos de Verão de 2016 - 400 m livre masculino,2016년 하계 올림픽 수영 남자 400m 자유형
Campeonato Brasileiro de Futebol de 2017 - Série C,캄페오나투 브라질레이루 세리이 C 2017
Taekwondo nos Jogos Olímpicos de Verão de 2016 - Mais de 80 kg masculino,2016년 하계 올림픽 태권도 남자 %2B80kg급
Taekwondo nos Jogos Olímpicos de Verão de 2016 - Até 57 kg feminino,2016년 하계 올림픽 태권도 여자 57kg급
Taekwondo nos Jogos Olímpicos de Verão de 2016 - Até 58 kg masculino,2016년 하계 올림픽 태권도 남자 58kg급
Taekwondo nos Jogos Olímpicos de Verão de 2016 - Até 68 kg masculino,2016년 하계 올림픽 태권도 남자 68kg급
Taekwondo nos Jogos Olímpicos de Verão de 2016 - Até 49 kg feminino,2016년 하계 올림픽 태권도 여자 49kg급
Taekwondo nos Jogos Olímpicos de Verão de 2016 - Até 80 kg masculino,2016년 하계 올림픽 태권도 남자 80kg급
Futebol nos Jogos Olímpicos de Verão de 2016 - Convocações femininas,2016년 하계 올림픽 축구 여자 선수 명단
Quadro de medalhas dos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 메달 집계
Project46,프로젝트46
Recopa Sul-Americana de 2017,2017년 레코파 수다메리카나
Brasil nos Jogos Olímpicos de Inverno de 2018,2018년 동계 올림픽 브라질 선수단
Recopa Sul-Americana de 2018,2018년 레코파 수다메리카나
Badminton nos Jogos Olímpicos de Verão de 2016 - Simples masculino,2016년 하계 올림픽 배드민턴 남자 단식
Campeonato Brasileiro de League of Legends,서킷 브라질리언 리그 오브 레전드
Esgrima nos Jogos Olímpicos de Verão de 2016 - Espada individual masculino,2016년 하계 올림픽 펜싱 남자 에페 개인전
Tiro com arco nos Jogos Olímpicos de Verão de 2016 - Individual masculino,2016년 하계 올림픽 양궁 남자 개인
Tiro com arco nos Jogos Olímpicos de Verão de 2016 - Individual feminino,2016년 하계 올림픽 양궁 여자 개인
Brasil nos Jogos Olímpicos de Verão de 2020,2020년 하계 올림픽 브라질 선수단
Incêndio no Museu Nacional do Rio de Janeiro,브라질 국립박물관 화재
Copa América de 2021,2021년 코파 아메리카
Extinction Rebellion,멸종에의 반란
Embaixada da Coreia do Sul em Brasília,주브라질 대한민국 대사관
Campeonato Brasileiro de Futebol de 2019 - Série A,캄페오나투 브라질레이루 세리이 A 2019
Colégio Polilogos,브라질한국학교
Rompimento de barragem em Brumadinho,브루마지뉴 댐 붕괴 사고
Final da Copa América de 2019,2019년 코파 아메리카 결승전
Eleições gerais no Brasil em 2022,2022년 브라질 대통령 선거
Incêndios florestais na Amazônia em 2019,2019년 아마존 우림 산불
Pandemia de COVID-19,코로나19 범유행
Pandemia de COVID-19 no Brasil,브라질의 코로나19 범유행
Cuca (bolo),쿠카
TUE Série 2005 (Supervia),SuperVia2005호대전동차
Final da Copa América de 2021,2021년 코파 아메리카 결승전
Recopa Sul-Americana de 2021,2021년 레코파 수다메리카나
Conspiração do Acre,아크리주의 음모
Final do torneio de futebol masculino nos Jogos Olímpicos de Verão de 2020,2020년 하계 올림픽 축구 남자 결승전
Embraer ERJ,엠브라에르 ERJ 145
Enchentes e deslizamentos de terra em Petrópolis em 2022,2022년 페트로폴리스 홍수
Surto de varíola dos macacos em 2022,2022~2023년 엠폭스 유행
19.ª reunião de cúpula do G20,2024년 리우데자네이루 G20 정상회의
Ataques de 8 de janeiro em Brasília,2023년 브라질 삼권광장 습격 사건
