王明娟,왕밍쥐안
羿 (唐堯),예
梁治平,량즈핑
梁实秋,량스추
卜祥志,부샹즈
韓寒,한한
李卓然,리줘란
蒙嘉慧,멍자후이
羅文,뤄원
田蕊妮,톈루이니
谷峰,구펑
顧錦輝,구감파이
關信基,관신지
吳良鏞,우량융
劉鑾雄,라우륀훙
常永祥,창융샹
赵忠尧,자오중야오
索达吉堪布,켄포 소달지
张虹,장훙
林更新,린겅신
宗馥莉,쭝푸리
鞠盈智,쥐잉즈
梁从诫,량충제
傅海峰,푸하이펑
陈强尼,조니 챈
蒋彦永,장옌융
崔天凯,추이톈카이
马晓天,마샤오톈
邓文迪,웬디 덩
孔琳,쿵린
傅欢,푸환
彭真,펑전
聂海胜,녜하이성
張力尹,장리인
刘永清,류융칭
徐云龙,쉬윈룽
肇俊哲,자오쥔저
曲波,취보
黄博文,황보원
冯潇霆,펑샤오팅
万厚良,완허우량
楊千嬅,양천화
林鹏 (演员),린펑
林永健,린융젠
程永华,청융화
周覓,조미
金焰,김염
张杰,장지에
毛岸英,마오안잉
邵佳一,사오자이
李霄鹏,리샤오펑
黄继光,황계광
容祖兒,용조아
古巨基,고거기
叶佳,예자
巍子,웨이쯔
陳念慈,찬님치
罗隆基,뤄룽지
顾汝章,구루장
黃少谷,황사오구
黃一飛,황일비
刘彬彬,류빈빈
安琦,안치
尚氣,상치
陳鏡開,천징카이
孙乐,쑨러
李康廉,리홍림
李明逵,리밍콰이
阎嵩,옌쑹
杜威,두웨이
宋时轮,쑹스룬
孔令文,쿵링원
姜至鹏,장즈펑
周生賢,저우성셴
鄧楠,덩난
龚品梅,궁핀메이
鍾楚紅,중추훙
高瑜,가오위
巴特尔,바터얼
黎耀昌,라이이우청
王震,왕전
劉志強,라우지컹
劉念溢,라우님얏
蒿俊闵,하오쥔민
刘佩琦,류페이치
孟佳,지아
令计划,링지화
张庆黎,장칭리
葉劍英,예젠잉
黄菊,황쥐
佘詩曼,여시만
吴阿顺,우아순
孔颖超,쿵잉차오
胡先骕,후셴쑤
徐帆,쉬판
钱红,찬훙
尚宗,샹 청
韩晓鹏,한샤오펑
李堅柔,리젠러우
李林,린리
史美倫,로라 차
羅致光,로지궝
刘显伟,류셴웨이
榮智健,룽즈젠
马达钦,마다친
李晨,리천
孙悦,쑨웨
六小龄童,류샤오링퉁
李石曾,리스청
陸永,루용
李思明,리시밍
李威廉,리와이림
梁子駿,렁지전
梁耀忠,렁이우중
李本舰,리번젠
廖國文,리우궉만
温麟衍,리애나 웬
苏树林,쑤수린
史良,스량
阿沛·阿旺晉美,응가포 응가왕 지그메
王浩,왕하오
李菁,리칭 (배우)
牛犇,뇨번
陳靜,Dada Chan
羅志焜,로지관
石挥,스후이
李恒滙,리항우이
冯天伦,레오 퐁
李从军,리충쥔
李德倫,리더룬
李德全,리더취안
孫明明,선밍밍
努·賽伯特,눕 사이봇
丁子霖,딩쯔린
雷聲,레이셩
陈白尘,천바이천
李佳航,리자항
李富胜,리푸성
李国豪,리궈하오
譚耀宗,탐이우중
譚海,탄하이
檀健次,탄젠츠
劉雨欣,유우흔
梁志榮,렁지윙
许飞,허비 (가수)
许广平,쉬광핑
陆毅,루이 (배우)
李捷,리제
楊正光,영징궝
白彪,백표
金熙德,김희덕
金毓黻,진위푸
金振吉,김진길 (1959년)
李磊,리레이
包宜鑫,바오이신
袁家骝,위안자류
罗晋,뤄진
蔡天文,차이톈원
卢广,루광
罗洗河,뤄시허
林峯,레이먼드 람
张磊,장레이
韦唯,웨이웨이
马明哲,마밍저
呂思勉,뤼쓰몐
唐吉田,탕지톈
唐君毅,탕쥔이
李克农,리커눙
石山麟,석산린
谭维维,탄웨이웨이
谭中怡,탄중이
陈正雷,첸젱레이
尹子維,윤자유
汤沐黎,탕무리
汤晓丹,탕샤오단
汤于翰,탕위한
孫楠,쑨난
林巧稚,린차오즈
湯鎮宗,탕진종
馬蘇,마쑤
黃智雯,황지문
程开甲,청카이자
成思危,청쓰웨이
曾蔭培,창얌푸이
謝敏榮,제만윙
唐灵生,탕링성
桐华,퉁화
佟麗婭,퉁리야
蒂芬妮·埃斯佩森,티퍼니 에스펀슨
唐嫣,탕옌
李德洙,리덕수
朱德海,주덕해
曹荻秋,차오디추
茅道林,마오다오린
茅以升,마오이성
梁嘉琪,량자치
毛致用,마오즈융
欧阳江河,어우양장허
张钰 (演员),장위 (배우)
张博,장보 (배우)
霍震霆,폭잔팅
杨昊,양하오
徐田龍子,쉬톈룽쯔
滿大人,만다린
张毅 (中共官员),장이 (1950년)
万学远,완쉐위안
周纯全,저우춘취안
许光达,쉬광다
張建宗,매슈 청
方安娜,팡안나
残雪,찬쉐
何琢言,하탁언
周子健,저우쯔젠
孟浪,멍랑
苗圃,먀오푸
魏宏,웨이훙
张广宁,장광닝
柁嘉熹,퉈자시
苗僑偉,먀오차오웨이
周冬雨,저우둥위
姚滨,야오빈
謝安琪,사안기
劉家輝,류자후이
侯德榜,허우 데방
葉志豪,입치호
南勇,남용
劉兆銘,류자오밍
劉丹,류단
刘洪才,류훙차이
何晟铭,허성밍
周汶錡,저우원치
马忠臣,마중천
谷開來,구카이라이
司天峰,쓰톈펑
王宝强,왕바오창
王宾 (足球运动员),왕빈
周建南,저우젠난
朱物华,주우화
葉維廉,예웨이롄
梅蘭芳,메이란팡
江鸣久,장밍주
于大宝,위다바오
孙晔,쑨예
李曼,리만 (1988년)
尤勇,유융
孟克·巴特尔,멍커바터얼
蒋海琦,장하이치
万超尘,완차오천
万古蟾,완구찬
溫健儀,완긴이
蔡亚林,차이야린
胡歌,후거
羅卓睿,마이클 앤드류 로
陳惠敏,진혜민
韓雯雯,한원원
鲍彤,바오퉁
田壮壮,톈좡좡
张国焘,장궈타오
佟健,퉁젠
夏宝龙,샤바오룽
吴天明,우톈밍
趙南起,조남기
莫小棋,막소기
牟敦芾,모돈불
孙俪,쑨리
刘振亚,류전야
穆罕默德·伊敏,무함마드 아민 부그라
王國生,왕궈성
宁高宁,닝가오닝
乔晓光,차오샤오광
裴钢,페이강
竺延风,주옌펑
關菊英,관쥐잉
馬浚偉,마쥔웨이
邓超,덩차오
肖國棟,샤오궈둥
安替,마이클 안티
绿川英子,하세가와 테루
王天普,왕톈푸
刘明康,류밍캉
阎森,옌썬
王宏伟,왕훙웨이
杨幂,양미
倍賞千恵子,바이쇼 치에코
孟学农,멍쉐눙
王尔卓,왕얼줘
宁静,닝징
钮经义,뉴징이
于仁泰,워런타이
吳征鎰,우정이
王楠,왕난
王楠,왕난
尉健行,웨이젠싱
許志安,허지안
戴秉国,다이빙궈
程小東,정소동
王林,왕린
黎姿,려자
姚景远,야오징위안
汪峰,왕펑
古天樂,고천락
田亮,톈량
卡楚米,셀린 트랑
馬雲,잭 마
崔健,최건
杨沛宜,양페이이
香港人,홍콩인
吕良偉,여량위
王勇,왕융
宫润伯,공룬보
岳敏君,웨민쥔
杨秀峰,양슈펑
南怀瑾,남 희근
傅連暲,푸롄장
黃成智,웡싱지
董驃,동표
龚秋霞,공 치우시아
曾江,쩡장
黃日華,황르화
欧阳自远,어우양쯔위안
潘兵,판빙
潘长江,판창장
陳肇鈞,천시우관
梁漱溟,양수명
裴恩才,페이언차이
康生,캉성
蔡赟,차이윈
贺绿汀,허뤼팅
陳茂波,찬모보
蓝燕 (演员),란옌
秦剛,친강
汪曾祺,왕쩡치
王振义,왕전이
王忠诚,왕중청
王西麟,왕시린
何平,허핑
許冠傑,허관걸
彭桓武,펑환우
陈全国,천취안궈
刘云山,류윈산
陈云,천윈
李云迪,윤디 리
艾达·王,에이다 윙
阿部力,아베 쓰요시
王锐,왕루이
王銳基,왕루이지
石堅,석견
李家傑,리가깃
潘家铮,판자정
潘石屹,판쓰이
潘云鹤,판윈허
楼云,러우윈
王蒙,왕멍
唐国强,당국강
汪品先,왕핀셴
杨继绳,양지성
薄一波,보이보
王儒林,왕루린
胡春华,후춘화
古力,구리
胡启立,후치리
林超榮,임초영
李小加,리샤오자
張元元,장위안위안
沈从文,선충원
冯小宁,펑샤오닝
陳樹英,찬슈잉
刘国梁,류궈량
吕小军,뤼샤오쥔
王稼祥,왕자샹
周海媚,주해미
鄒文懷,추문회
傅聰,푸충
姚莉,야오리
鄧健泓,덩젠훙
錢鍾書,첸중수
李长春,리창춘
张东荪,장둥쑨
彭实戈,펑스거
魏晨,웨이천
劉伯明,류보밍
冯友兰,펑유란
丁立人,딩리런
胡军,후준
沙孟海,사멍하이
北岛,베이다오
丁石孙,딩스쑨
袁弘,위안훙
金海心,김해심
谢晋,셰진
董栋,둥둥
刘华清,류화칭
姬鹏飞,지펑페이
房祖名,팡쭈밍
王强,왕창
王应睐,왕잉라이
韦永丽,웨이용리
周有光,주유광
毛舜筠,모순균
孙祥,쑨샹
李德生,리더성
伍允龍,오윤룡
駱俊,낙준
金泰延,김태연
文章,문장
黃維,황웨이
吕正操,뤼정차오
景甜,징톈
張國鈞,정궉관
张馨予,장신위
南炳文,난빙원
吳少湘,우사오샹
吴传玉,우촨위
浦志强,푸즈창
潘文廸,푼만딕
胡國雄,우궉훙
吴孟超,우멍차오
周璇,주선
吴恩裕,우언위
董枝明,둥즈밍
唐佳琳,탕자린
钱李仁,첸리런
钱信忠,첸신중
邱少云,구소운
刘慈欣,류츠신
吾爾開希,우얼카이시
柴玲,차이링
裘小龙,추샤오룽
秦昊,친하오
秦嵐,친란
梁羽生,량위성
夏萍,샤핑
华罗庚,화뤄겅
钱宇平,첸위핑
强卫,창웨이
乔振宇,차오전위
夏煊泽,샤쉬안쩌
陸奇,루치
戚薇,치웨이
陆锡麒,케이 루크
王丹,왕단
马清运,마칭윈
華春瑩,화춘잉
李富春,리푸춘
吴曦,우시
黃百鳴,"황 백명,"
吳新智,우신즈
吴亚军,우야쥔
吳文凱,우원카이
宋平,쑹핑
欧阳予倩,어우양위첸
夏衍,샤옌
習明澤,시밍쩌
谢伏瞻,셰푸잔
徐梵澄,쉬판청
徐光宪,쑤광선
平措汪杰,푼촉 왕걀 고라낭파
项怀诚,샹화이청
任畹町,런완팅
马晓春,마샤오춘
计成,지청
辛鑫,신신
熊佛西,슝포시
吳秀波,우슈보
吴有训,우유쉰
熊庆来,슝칭라이
姜广涛,장광타오
徐嘉余,슈지아유
王治郅,왕즈즈
赖润明,라이룬밍
刘雅菊,류야쥐
王洛宾,왕뤄빈
萧军,샤오쥔
萧乾,샤오첸
王朔,왕숴
趙雅芝,자오야즈
黄奕,황이
劉丹,류단
聂卫平,녜웨이핑
俞斌,위빈
徐刚,쉬강
李振輝,리전후이
任嘉庆,런자칭
朱晨麗,주천리
簡慧真,간혜진
谢娜,셰나
肖智,샤오즈
张充仁,장충런
白鹤,바이허
元奎,윈콰이
周晓文,저우샤오원
周雅菲,저우야페이
熊维平,슝웨이핑
黄健翔,황젠샹
童第周,퉁디저우
任達華,임달화
戴小祥,다이샤오샹
薛玉洋,쉐위양
鄧紫棋,등자기
商毅,상이
郭敬明,궈징밍
陳竺,천주
姚依林,야오이린
郑律成,정율성
汪东兴,왕둥싱
傅彪,푸뱌오
里卡多·古拉特,히카르두 골라르트
鄂维南,어웨이난
金博洋,진보양
邵象华,사오샹화
鄧萃雯,등취문
沈玮,쉔 웨이
李濟深,리지선
陈赓,천겅
陈望道,천왕다오
洪学智,훙쉐즈
闫妮,염니
薛晓璐,쉐샤오루
吳雨霏,오우비
刘京,류징
刘淇,류치
王明,왕밍
史金波,스진보
史萬成,스완청
杨鼎新,양딩신
杨二车娜姆,양얼처나무
杨福家,양푸자
陈舜臣,진순신
張智霖,장지림
夏雨,샤위
許淵冲,쉬위안충
杨焕明,양환밍
杨澜,양 란
陳寶珠,천바오주
韩鹏,한펑
刘晓庆,류샤오칭
李宇春,리위춘
唐生智,탕성즈
陈明义,천밍이
李学勇,리쉐융
石笑天,스샤오톈
施雅风,스야펑
施蛰存,스저춘
李守信,리서우신
吴汉雄,우한슝
竇驍,더우샤오
鄺廣傑,퀑궝깃
杨旭,양쉬
秦少波,친사오보
白光,바이광
岑國培,삼궉푸이
司马南,쓰마난
施永青,시윙칭
鄭紹遠,정시우윈
宋涛,쑹타오
秦沛,진패
宋丹丹,쑹단단
劉慧卿,라우와이힝
李小鵬,리샤오펑
江津,장진
郭政新,궈정신
章士釗,장스자오
张承志,장청즈
喬宏,교굉
許冠文,허관문
何祚庥,허쭤슈
施扬 (游泳运动员),쉬양
盛爱颐,성아이이
盛雪,성쉐
林伯渠,린보취
于斌,위빈
陳偉霆,천웨이팅
梁家輝,양가휘
阎崇年,옌충녠
宋卫平,쑹웨이핑
郭伯雄,궈보슝
徐才厚,쉬차이허우
向巴平措,샹바핑춰
曾國祥,정궈샹
乔石,차오스
陳潔如,천제루
熊十力,슝스리
李健和,리긴워
罗微,뤄웨이
杨之贤,양지샨
赵旭日,자오쉬르
郭金龙,궈진룽
袁詠儀,원영의
斯琴高娃,쓰친가오와
馬賽,마싸이
姚桐斌,야오퉁빈
丘建威,야우긴와이
水华,장수이화
周英华,마이클 초우
胡万林,후완린
邵美琪,사오메이치
束星北,수싱베이
孙亚芳,쑨야팡
林丹,린단
杨霞,양샤
叶企孙,예치쑨
于波,위보
余雲岫,위윈시우
林立果,린리궈
郑筱萸,정샤오위
张雨绮,장위치
歐錦棠,구금당
刘伯承,류보청
朴文垚,퍄오원야오
吴小璇,우샤오쉬안
張耀揚,장요양
周凱旋,자우호이쉰
宋春丽,쑹춘리
郭新,궉산
孙莉 (垒球运动员),쑨리
狄龍,디룽
吳偉超,응와이치우
阴法唐,인파탕
飞龙,페이롱
张闻天,장원톈
陳華順,진화순
陈炳德,천빙더
麥子豪,마이쯔하오
賀龍,허룽
梅汝璈,매여오
李立三,리리싼
林躍,린웨
陳山聰,천산충
李典,이전
亨利·O,헨리 오
孟建柱,멍젠주
傅满洲,푸 만추
王伟,왕웨이
于敏,위민
罗瑞卿,뤄루이칭
鄭秀文,정수문
许海峰,쉬하이펑
冯至,펑쯔
黃曉明,황효명
陳穎,천잉
葉繼歡,입가이푼
吳家瑋,우자웨이
于子千,위쯔첸
庾耀东,위야오둥
徐步高,쉬푸가오
杨以伦,양이룬
杨晶,양징
范可新,판커신
彭清华,펑칭화
崔浩然,초이 니콜라스 에드워드
梁嘉明,렁카밍
曾诚,쩡청
朱芳雨,주팡위
錢嘉樂,첸자러
林雪,임설
潘耀焯,푼이우척
葛优,거유
武大偉,우다웨이
张云川,장윈촨
谢容儿,사용아
袁腾飞,위안텅페이
朱文,주원
韩峰,한펑
孫志峰,쑨즈펑
周慧敏,비비언 차우
林嘉華,린자화
刘小光,류샤오광
陈慕华,천무화
聂荣臻,네룽전
任建新,런젠신
也斯,예쓰
张宏堡,장훙바오
张宏江,장훙장
朱敏 (击剑运动员),주민
庄晓天,좡샤오톈
祝希娟,주시좐
苗可秀,묘가수
曹大元,차오다위안
王祖藍,왕쭈란
傅成玉,푸청위
赵洪祝,자오훙주
王毅,왕이
张永和,장융허
曾成偉,쩡청웨이
李海強,리하이창
黃智賢,황즈셴
羅敏莊,뤄민좡
张瑞敏,장루이민
陳展鵬,천잔펑
沈祥福,선샹푸
張家輝,장가휘
张崇瑶,장총야오
王旭东,왕쉬둥
劉源,류위안
张国强,장궈창
邹游,쩌우유
邹侑根,쩌우유건
张弦,장셴
郑天翔,정톈샹
王楠,왕난
荣毅仁,룽이런
宿茂臻,쑤마오전
于根伟,위건웨이
李娜,리나
刘家义,류자이
张宝顺,장바오순
李珊珊,리산산
刘慧,류후이
张康之,장캉즈
张蕾,장레이
张蕾 (水球运动员),장레이
詹福瑞,잔푸루이
马明宇,마밍위
王楠,왕난
资中筠,쯔중윈
陈云英,천윈잉
徐向前,쉬샹첸
李成江,리청장
黄奕中,황이중
刘文辉,류원후이
吴爱英,우아이잉
鲍鲸鲸,바오징징
李佳军,리자쥔
高圆圆,가오위안위안
申纪兰,선지란
陈建国,천젠궈
张萌萌,장멍멍
李楊,리양
罗京,뤄징
罗清泉,뤄칭취안
姜瑜,장위
高洪波,가오훙보
王羽,왕위
汪顺,왕순
秦志戬,친즈젠
何香凝,허샹닝
雷洁琼,레이제충
撒贝宁,사베이닝
李雷雷,리레이레이
张功耀,장국야오
张烁,장숴
李金羽,리진위
王鹏,왕펑
唐一菲,탕이페이
万茜,완첸
曾黎,쩡리
张歆艺,장신이
黄宗英,황쭝잉
梅志,메이즈
张晓刚,장샤오강
陈翔,천샹
王东明,왕둥밍
張義威,장이웨이
曾金蓮,쩡진랸
黃耀富,웡이우푸
劉詩詩,유시시
陈思诚,천쓰청
刘金东,류진둥
童菲,퉁페이
朱珠,주주
叶静子,예징쯔
吴阶平,우제핑
馬劍飛,마지안페이
黎智英,지미 라이
张效瑞,장샤오루이
张小文,장샤오원
张孝文,장샤오원
王海滨,왕하이빈
王镇,왕전
李小林,리샤오린
艾蓓,아이베이
陈衡哲,천헝저
张国光,장궈광
赵奕欢,자오이환
张圣容,장성룽
齊橋橋,치차오차오
林大輝,람다이파이
陳奕迅,천이쉰
张晓光,장샤오광
許家印,쉬자인
宋任穷,쑹런충
刘成军,류청쥔
李瑞环,리루이환
王春露,왕춘루
张经武,장징우
常昊,창하오
陈兼,천젠
林衍聰,람 힌 청
骆晓娟,뤄샤오쥐안
刘晓,류샤오
楊翠玲,융취링
斓曦,란시
杨蓉,양룽
毛曉彤,마오샤오퉁
热依扎·阿里木江,레이자
张稀哲,장시저
李玟,코코 리
宋振瑜,쑹전위
梁文豪,량원하오
傅抱石,푸바오스
戴厚英,다이허우잉
古力娜扎,구리나자
李沁,리친
萬美汐,완메이시
蔣依依,장의의
袁姗姗,원산산
谭松韵,탄쑹윈
金巧巧,진차오차오
张远 (足球运动员),장위안
隋寶庫,쑤이바오쿠
黃建新,황젠신
吳鎭宇,우전위
王刚,왕강
李亞男,리야난
張名雅,정멩아
李常受,위트니스 리
张琳芃,장린펑
湯洛雯,통록만
王珞丹,왕뤄단
张又侠,장유샤
王全安,왕취안안
罗干,뤄간
张新宝,장신바오
章新胜,장신성
"羅維,",나유
王学圻,왕쉐치
王蓉,왕롱
方芳,팡팡
黄渤,황발
姜大衛,강대위
张志英,장즈잉
田璐菡,티안루한
李蒿楠,리하오난
陳偉豪,찬와이호
苏紫紫,수쯔쯔
买买提明·买买提,압둘 하크 알투르키스타니
高華柱,가오화추
邵力子,사오리쯔
吴铁城,우톄청
陳鼓應,천구잉
劉哮波,류샤오보
赵菁,자오징
鄭少秋,정소추
李煥之,리환즈
付天余,푸톈위
王义夫,왕이푸
叶秀峰,예슈펑
張學銘,장쉐밍
還珠樓主,하이주러우주
譚志源,탐지윈
杨成武,양청우
張子強,장쯔창
柳岩,류옌
张宇璇,장위쉬안
张晓明,장샤오밍
蔡畅,차이창
李佳芯,리카이섬
降央卓玛,잠양 돌마
張火丁,장훠딩
王亚平,왕야핑
秦侃滢,친칸잉
朱兆基,주시우게이
何厚鏵,이드문드 우
鄭振瑤,장전야오
劉家良,유가량
马寅初,마인추
刘震云,류전윈
刘炜,류웨이
潘凤贞,판펑전
葉國謙,입궉힘
甘乃威,감나이와이
许安琪,수안치
陈耀烨,천야오예
張瑞芳,장루이팡
吳亮星,응렁싱
陳其鋼,천치강
白冰,바이빙
吴晗,우한
王磊,왕레이
叶永烈,예융례
周荣鑫,저우룽신
周其凤,저우치펑
林家棟,임가동
王宪魁,왕셴쿠이
郑爽,정솽
李强 (皮划艇运动员),리창
馬英,마잉
李玲 (撑竿跳高运动员),리링
樊麾,판후이
陈希同,천시통
陶鋳,타오주
陳法拉,천파라
钱端升,첸돤성
任长霞,런창샤
尚钺,상웨
梁詠琪,량융치
劉嘉玲,류자링
高尧,가오야오
陈坤,천쿤
劉青雲,류칭윈
王晶,왕정
李錄,리루
刁亦男,댜오이난
王铁崖,왕톄야
钟文靖,중원징
王大雷,왕다레이
李珊珊,리산산
周贺玺,저우허시
周国治,저우궈즈
李香琴,리샹친
黃宗澤,황쭝쩌
李四光,리쓰광
袁华,위안화
孙耀庭,쑨야오팅
徐诚斌,쉬청빈
苏炳添,쑤빙톈
林妙可,린먀오커
金莎,진샤
黄华华,황화화
徐寅生,쉬인성
呂昊天,뤼하오톈
何享健,허샹젠
周克華,저우커화
孙海英,쑨하이잉
金凤浩,김봉호
李强,리창
廖亦武,랴오이우
王耀武,왕야오우
何德普,허더푸
何丽萍,허리핑
贺友直,허유즈
陳國坤,천궈쿤
李子奇,리쯔치
孙来燕,쑨라이옌
哈達,하다
高峰,가오펑
高耀洁,가오야오제
曾雪明,쩡쉐밍
倪妮,니니
戚发轫,치파런
张丰毅,장풍의
朱宝杰,주바오제
朱大卫,주다웨이
朱光潜,주광첸
朱建荣,주졘룽
范明 (将军),판밍
惠英紅,후이잉훙
吳孟達,우멍다
鄧力群,덩리췬
方镜淇,팡징치
朱民,주민
阚桂香,֑
郭家明,궉가밍
王刚,왕강
邓岳,등웨
黄圣依,황성이
英若诚,잉뤄청
王胜俊,왕성쥔
胡志军,후즈쥔
周苏红,저우쑤훙
杜汶澤,두문택
叶冲,예충
趙文卓,자오원줘
李卓皓,리줘하오
陈丕显,천비셴
李讷,리너
王众孚,왕중푸
李金发,리진파
贾鹏芳,가붕방
何立峰,허리펑
金壮龙,진좡룽
王玉普,왕위푸
王伟光,왕웨이광
王学军,왕쉐쥔
王鸿祯,왕훙전
霍英東,폭잉둥
顾雏军,구추쥔
全哲洙,전철수
房凤友,팡펑유
李慧琼,스태리 리
韦国清,웨이궈칭
袁隆平,위안룽핑
李希,리시
梅克保,메이커바오
李保东,리바오둥
黎国介,리궈제
努尔·白克力,누얼바이커리
蔡英挺,차이잉팅
陈宝生,천바오성
杜家毫,두자하오
段春华,돤춘화
石泰峰,스타이펑
胡和平,후허핑
蒋南翔,장난샹
郝鹏,하오펑
厉以宁,리이닝
令谷,링구
關楚耀,관초요
茹志鹃,루즈쥐안
刘海粟,류하이쑤
袁家军,위안자쥔
秦宜智,친이즈
阮成发,롼청파
万立骏,완리쥔
王首道,왕서우다오
赛福鼎·艾则孜,사이푸딘 아지지
王旭,왕쉬 (레슬링 선수)
丁关根,딩관건
傅穎,부영
梁漢文,양한문
秦基伟,친지웨이
林铎 (哈尔滨市委书记),린둬
马建堂,마젠탕
薛凱琪,쉐카이치
寿者,판톈서우
徐一天,쉬이톈
莫桂蘭,막계란
宁瀛,닝잉
孙紅雷,쑨훙레이
张仕波,장스보
張國清,장궈칭
苏振华,쑤전화
陸定一,루딩이
贺彪,허뱌오
唐敖庆,탕아오칭
王恩哥,왕언거
宋普选,쑹푸쉬안
邓华,덩화
张伟,장웨이
张宗烨,장쭝예
张香桐,장샹퉁
劉剛 (民運人士),류강
雷军,레이쥔
刘仙洲,류셴저우
宋一平,쑹이핑
錢理群,전이군
夏业良,샤예량
曾庆存,쩡칭춘
戚玉武,척옥무
夏笳,샤자
许勤,쉬친
于伟国,위웨이궈
陈希,천시
杨岳 (福州市委书记),양웨
刘兴元,류싱위안
陈武,천우
丁薛祥,딩쉐샹
黄坤明,황쿤밍
黄新初,황신추
吕锡文,뤼시원
麦超,마이차오
文彼得,만베이닥
蘇進安,소친안
林申,린위선
梁愛琪,량아이치
范海福,판하이푸
郑卫平,정웨이핑
刘鹤,류허 (1952년)
李建华,리젠화
陈求发,천추파
雒树刚,뤄수강
周笔畅,주필창
汤一介,탕이제
王志安,왕즈안
罗常培,뤄창페이
李少红,이소홍
王正伟,왕정웨이
刘晓江,류샤오장
李金铭,리진밍
李龙熙,리룡희
乙晓光,이샤오광
曹广晶,차오광징
张学忠,장쉐중
陈远波,천위안보
冯洪达,펑훙다
叶连松,예롄쑹
和志强,허즈창
路遥,루야오
毛小兵,마오샤오빙
高虎城,가오후청
马兴瑞,마싱루이
管松涛,관쑹타오
陈文清,천원칭
丛珊,충산
东方闻樱,둥팡웬잉
于梅玲,위메이링
郑必坚,정비젠
马飚,마뱌오
安芷生,안즈성
李金明,리진밍
成克杰,청커제
程维高,청웨이가오
黄松有,황쑹유
许家屯,쉬자툰
杨晖,양후이
陈健,천젠
陈建斌,천젠빈
金仁燮,김인섭
鄭漢鈞,젱혼관
陈文新,천원신
陈昊苏,천하오쓰
陈星弼,천싱비
马伊琍,마이리
刘康,류캉
孟浪,멍랑
孟泰龄,멍타이링
蒲巴甲,푸바자
权恒,취안헝
馬力,마릭
楼阳生,러우양성
羅海瓊,뤄하이충
蓝天,란톈
郎永淳,랑융춘
白百何,바이바이허
崔永哲,최영철
张文东,장원둥
宁财神,닝차이선
聶德權,닙닥퀸
马瑞芳,마루이팡
宁赋魁,닝푸쿠이
宝晓峰,바오샤오펑
李强,리창
李永泰,리영태
程镕时,청룽스
陈鲤庭,천리팅
陳俊樂,탄춘록
蔡启瑞,차이치루이
何毓琦,허위치
何立伟,허리웨이
姚喆,야오저
许达哲,쉬다저
周本顺,저우번순
曾绍山,쩡사오산
叶选宁,예쉬안닝
崔世平,추이스핑
郭良鋆,곽량윤
陈数,천슈
陈楸帆,천추판
杜宪,두셴
段奕宏,돤이훙
董彦,둥옌
容志行,룽즈싱
胡平,후핑
郭京飞,궈징페이
师昌绪,스창쉬
孙文广,쑨원광
孙莉,쑨리
曹卫星,차오웨이싱
倪大宏,니다훙
年芸,녠윈
倪光南,니광난
李卫红,리웨이훙
任新民,런신민
蘇曉康,쑤샤오캉
孙丹丹,쑨단단
孟宪承,멍셴청
饶子和,라오쯔허
刘连昆,류롄쿤
李慎明,리선밍
迟子建,츠쯔젠
陈宝国,진보국
關山,관샨
张庭延,장팅옌
戴春榮,다이춘룽
李依依,리이이
秦海璐,친하이루
乔任梁,차오런량
潘粤明,판웨밍
孙可,쑨커
趙家賢,지우가인
趙麗穎,자오리잉
王元,왕위안
邓中翰,덩중한
邓子新,덩쯔신
潘虹,판훙
王守业 (军人),왕서우예
范亞峰,판야펑
李希凡,리시판
聂辰席,녜천시
刘再复,류짜이푸
包贝尔,바오베이얼
區諾軒,아우녹힌
李易峰,이역봉
李晟,리청
李景浩,리경호
李朝义,리차오이
郭光灿,궈광찬
郭志坚,궈즈젠
郭曉婷,궈샤오팅
时越,스웨
邵震中,사오전중
党毅飞,당이페이
吴先恩,우셴언
李家超,리가치우
邓家佳,덩자자
丁嘉丽,정가려
董卿,둥칭
黄新廷,황신팅
刘殿座,류뎬쭤
刘益春,류이춘
方天丰,팡톈펑
霍啟剛,폭카이공
笛安,디안
董璇,둥쉬안
戴娇倩,다이자오첸
杨学明,양쉐밍
李貽煌,리이황
邓家贵,덩자구이
邓晓芒,덩샤오망
邓莎,덩사
谷建芬,구젠펀
南派三叔,난파이싼수
卢永根,루융건
印小天,인샤오톈
夏培肃,샤페이쑤
孙腾宇,쑨텅위
申泮文,선판원
田家炳,톈자빙(田家炳)
童瑶,퉁야오
唐奕,탕이
李保田,리바오톈
王晨星,왕천싱
王鸥,왕오우
郭维,궈웨이
鄧忍光,당얀궝
鄭弘,정훙
高露,가오루 (배우)
杨晋华,양진화
杨钫涵,양팡한
李方华,리팡화
邱永辉,추융후이
周韻,저우윈
郑永飞,정융페이
朱葉玉如,입육위
何國泉,호궉췬
何炅,허중
吴越,우웨
陳赫,천허
金硕仁,김석인
黄频捷,황핀제
黄荣辉,황룽후이
黄觉,황각
金日光,김일광
冯远征,펑위안정
冯克安,풍극안
丰立祥,펑리샹
傅艺伟,푸이웨이
顾方舟,구팡저우
金雅琴,진야친
鍾發,종발
钱逸泰,첸이타이
柯華,커화
魏宗万,웨이쭝완
王千源,왕첸위안
黃玉山,웡육산
宋涛,쑹타오
孙喆,쑨저
顾诵芬,구쑹펀
關曉彤,관샤오퉁
柴璐,차이루
梁伟棠,량웨이탕
樓南光,누남광
吕佳容,뤼자룽
呂麗瑤,러이라이이우
周卫健,저우웨이젠
