Łyna,위나강
powiat tczewski,트체프군
Reprezentacja Polski w piłce nożnej kobiet,폴란드 여자 축구 국가대표팀
Tatry Zachodnie,서타트리산맥
Sukiennice w Krakowie,수키엔니체
Narodowe Odrodzenie Polski,국민부활을 위한 폴란드
powiat jasielski,야스워군
powiat łańcucki,완추트군
powiat bielski,비엘스코군
powiat stargardzki,스타르가르트군
powiat tarnowski,타르누프군
Uniwersytet Muzyczny Fryderyka Chopina w Warszawie,바르샤바 음악원
powiat świdwiński,시비드빈군
Narodowe Święto Niepodległości,폴란드 독립기념일
powiat białogardzki,비아워가르트군
Port lotniczy Wrocław-Strachowice,브로츠와프-코페르니쿠스 공항
Suwalszczyzna/Suvalkija,수발키야
powiat starogardzki,스타로가르트군
powiat kwidzyński,크비진군
powiat leski,레스코군
powiat rzeszowski,제슈프군
powiat buski,부스코군
Polska na Zimowych Igrzyskach Olimpijskich 1964,1964년 동계 올림픽 폴란드 선수단
Polska na Zimowych Igrzyskach Olimpijskich 1980,1980년 동계 올림픽 폴란드 선수단
Plac Zamkowy w Warszawie,잠코비 광장
Polska na Zimowych Igrzyskach Olimpijskich 1968,1968년 동계 올림픽 폴란드 선수단
powiat piaseczyński,피아세치노군
Zwierzyniec,즈비에지니에츠
Krzyżtopór,크리지즈토푸르
Suchedniów,수헤드니우프
Wiadomości,비아도모슈치
powiat zambrowski,잠브루프군
powiat sieradzki,시에라츠군
Zimowa Uniwersjada 1993,1993년 동계 유니버시아드
powiat pajęczański,파옝치노군
Kolegium Europejskie,유럽 대학교
powiat zgierski,즈기에시군
powiat wysokomazowiecki,비소키에마조비에츠키에군
trasa europejska E261,유럽 고속도로 261호선
trasa europejska E462,유럽 고속도로 462호선
Wieprz,비에프시강
powiat bartoszycki,바르토시체군
powiat mrągowski,므롱고보군
powiat augustowski,아우구스투프군
powiat łomżyński,웜자군
powiat sochaczewski,소하체프군
Warszawski Międzynarodowy Festiwal Filmowy,바르샤바 국제 영화제
port lotniczy Modlin,바르샤바 모들린 공항
powiat grodziski,그로지스크군
powiat grajewski,그라예보군
powiat suwalski,수바우키군
powiat ełcki,에우크군
powiat zawierciański,자비에르치에군
powiat żywiecki,지비에츠군
powiat kętrzyński,켕트신군
Polska Organizacja Wojskowa,폴란드 군사 기구
Marki,마르키
powiat siemiatycki,시에미아티체군
powiat hajnowski,하이누프카군
Reprezentacja Polski w piłce siatkowej mężczyzn,폴란드 배구 국가대표팀
powiat choszczeński,호슈치노군
powiat sejneński,세이니군
powiat poddębicki,포뎅비체군
powiat olecki,올레츠코군
Narodowy Instytut Dziedzictwa,폴란드 국립문화유산위원회
powiat nowodworski,노비드부르군
powiat nidzicki,니지차군
powiat ostrowski,오스트루프군
powiat bytowski,비투프군
powiat słupski,스웁스크군
powiat wejherowski,베이헤로보군
Stare Miasto w Warszawie,스타레미아스토
powiat człuchowski,치우후프군
Obóz Narodowo-Radykalny,국민급진기지
powiat dąbrowski,동브로바군
powiat działdowski,지아우도보군
powiat iławski,이와바군
powiat radomszczański,라돔스코군
powiat goleniowski,골레니우프군
Osobłoga,오소블라하강
powiat sławieński,스와브노군
Kresy Wschodnie,크레시
powiat białostocki,비아위스토크군
powiat skierniewicki,스키에르니에비체군
powiat legionowski,레기오노보군
Socjaldemokracja Rzeczypospolitej Polskiej,폴란드 사회민주당
powiat drawski,드라프스코군
powiat pyrzycki,피지체군
powiat opatowski,오파투프군
powiat łaski,와스크군
powiat opoczyński,오포치노군
powiat mikołowski,미코우프군
powiat cieszyński,치에신군
powiat elbląski,엘블롱크군
powiat chrzanowski,흐샤누프군
Fantastic,Fantastic
kościół archiprezbiterialny pw. Wniebowzięcia Najświętszej Marii Panny w Krakowie,성모 승천 교회
powiat sandomierski,산도미에시군
powiat rawski,라바군
Chełmża,헤움자역
powiat kamieński,카미엔군
powiat łowicki,워비치군
powiat wieluński,비엘룬군
powiat piotrkowski,피오트르쿠프군
Muszyna,무쉬나
powiat kościerski,코시치에지나군
powiat kłobucki,크워부츠크군
powiat lubliniecki,루블리니에츠군
powiat bieruńsko-lędziński,비에룬렝지니군
powiat mielecki,미엘레츠군
trasa europejska E373,유럽 고속도로 373호선
OLiS,OLiS
powiat lęborski,렝보르크군
powiat nowosądecki,노비송치군
powiat miechowski,미에후프군
powiat oświęcimski,오시비엥침군
Oliwa,올리바
powiat skarżyski,스카르지스코군
powiat tatrzański,타트라군
powiat bocheński,보흐니아군
powiat tarnobrzeski,타르노브제크군
powiat brzozowski,브조주프군
powiat dębicki,뎅비차군
powiat tarnogórski,타르노프스키에구리군
powiat częstochowski,쳉스토호바군
powiat lubaczowski,루바추프군
powiat lidzbarski,리즈바르크군
Stadion Zagłębia Lubin,스타디온 자그웽비아 루빈
powiat proszowicki,프로쇼비체군
powiat brzeziński,브제지니군
Ludźmierz,루치미에시
Jednostka Wojskowa GROM,JW GROM
Nysa Kłodzka,니사크워츠카강
Łososina Dolna,워소시나 돌나
Kościół katolicki w Polsce,폴란드의 로마 가톨릭교회
powiat krośnieński,크로스노군
Muzeum Książąt Czartoryskich w Krakowie,차르토리스키 미술관
granica polsko-słowacka,슬로바키아-폴란드 국경
granica polsko-czeska,체코-폴란드 국경
Reprezentacja Polski w hokeju na lodzie mężczyzn,폴란드 아이스하키 국가대표팀
Wisłok,비스워크강
Polskie Stronnictwo Ludowe „Wyzwolenie”,폴란드 인민당 "비즈볼레니아"
demografia Polski,폴란드의 인구
Polskie Stronnictwo Ludowe „Piast”,폴란드 인민당 "피아스트"
powiat wałecki,바우치군
powiat krakowski,크라쿠프군
powiat pabianicki,파비아니체군
Wisła Płock,비스와 프워츠크
Orkiestra Symfoniczna Filharmonii Narodowej,바르샤바 국립 필하모니 관현악단
Międzynarodowy Port Lotniczy Katowice w Pyrzowicach,카토비체 공항
Zwoleń,즈볼렌
powiat braniewski,브라니에보군
Owińska,오빈스카역
powiat łobeski,워베스군
Stocznia Gdańska,그단스크 조선소
powiat gdański,그단스크군
Uniwersytet Szczeciński,슈체친 대학교
Górnik Łęczna,구르니크 웽치나
Bruk-Bet Termalica Nieciecza KS,LKS 니에치에차
Sandecja Nowy Sącz,산데츠야 노비송치
Opole Lubelskie,오폴레 루벨스키에
Bielany Wrocławskie,비엘라느 브로츠와프스키에
Nida,니다강
Zamek Ujazdowski w Warszawie,우야즈두프성
kultura Polski,폴란드의 문화
Prężynka,프렝진카
Domaszków,도마슈쿠프
Zimowa Uniwersjada 2001,2001년 동계 유니버시아드
Medyka,메디카
Nałęczów,나웽추프
herb Warszawy,바르샤바의 문장
bazylika prymasowska Wniebowzięcia Najświętszej Maryi Panny w Gnieźnie,그니에즈노 대성당
Niepruszewo,니에프루셰보
trasa europejska E371,유럽 고속도로 371호선
Konina,코니나
Awaryjne lądowanie lotu PLL LOT 016,LOT 폴란드 항공 16편 동체착륙 사고
Dzika Orlica,디보카 오를리체강
granica polsko-litewska,리투아니아-폴란드 국경
Białowieża,비아워비에자
Polska na Letnich Igrzyskach Olimpijskich 2000,2000년 하계 올림픽 폴란드 선수단
Biskupice Podgórne,비스쿠피체 포드구르네
polskie listy przebojów,폴란드 음악 차트
Lanckorona,란츠코로나
Reprezentacja Polski w baseballu mężczyzn,폴란드 야구 국가대표팀
Tyniec Mały,트니에츠 마우으
Międzyrzec Podlaski,미엥지제츠포들라스키
Poręba Wielka,포렝바 비엘카
Parlament Rzeczypospolitej Polskiej,폴란드 의회
Bochotnica,보호트니차
Przeźmierowo,프셰지미에로보
Prudnik,프루드니크강
Lusowo,루소보
Gest Kozakiewicza,주먹감자
Olsztynek,올슈티네크역
trasa europejska E372,유럽 고속도로 372호선
granica polsko-białoruska,벨라루스-폴란드 국경
Pełkinie,페우키니에
Mistrzostwa Świata w Piłce Siatkowej Mężczyzn 2014,2014년 세계 남자 배구 선수권 대회
Bitwa w Lasach Królewskich,라시크로레위스키 전투
Związek Producentów Audio-Video,폴란드 축음기 산업 협회
granica polsko-ukraińska,우크라이나-폴란드 국경
Rynek Starego Miasta w Warszawie,리네크 스타레고 미아스타
Żabka,자브카
Południk Warszawski,바르샤바 자오선
Bitwa pod Tomaszowem Mazowieckim,토마슈프마조비에츠키 전투
Wylatowo,블라토보
generał broni,병과대장
Ziemie Odzyskane,수복령
Zamek w Krasiczynie,크라시친성
Polski Komitet Olimpijski,폴란드 올림픽 위원회
Generalny Inspektorat Sił Zbrojnych,군부총감
Prezes Rady Ministrów,폴란드의 총리
Cmentarz Wojskowy na Powązkach,포와즈키 군 공동묘지
Stadion Miejski w Bielsku-Białej,비엘스코비아와 시립경기장
World Games 2017,2017년 월드 게임
4 Armia Sił Powietrznych i Obrony Przeciwlotniczej,제4항공및방공군
Baumkuchen,바움쿠헨
Muzeum Fryderyka Chopina w Warszawie,프레데리크 쇼팽 박물관
Ośrodek Przetwarzania Informacji,폴란드 국가정보처리센터
Rząd Tymczasowy Rzeczypospolitej Polskiej,폴란드 임시 정부
Stronnictwo Ludowe,인민당 (폴란드)
Gmach Główny Muzeum Narodowego w Krakowie,국립박물관 건물
Arrinera,아리네라 오토모티브
Antoniówka,안토니우프카
11 bit studios,11비트 스튜디오
Kozłówka,코주프카
Dom Urodzenia Fryderyka Chopina,쇼팽의 생가
Strajk chłopski (1937),1937년 폴란드 농민파업
Stronnictwo Chłopskie,농민당
powiat namysłowski,나미수프군
1 Drezdeński Korpus Pancerny,폴란드 제1기갑군단
chleb żytni,호밀빵
Baranowo,바라노보
Bitwa graniczna,폴란드 국경 전투
Bitwa pod Mokrą,모크라 전투
Brodnia Górna,브로드니아 구르나
Chojnata,호이나타
Bieglów,비글로
Obóz Wielkiej Polski,위대한 폴란드 기지
Chochołów,호호우프
Sułoszowa,수워쇼바
Emilcin,에밀친
Domasław,도마스와프
Grudza,그루자
Ogrodniczki,오그로드니치키
Bobrówka,보브루프카
Koninki,코닌키
Kamienica,카미에니차강
Kośmin,코시민
języki Polski,폴란드의 언어
Białowieski Park Narodowy,비아워비에자 국립공원
afera na Okęciu,오케치에 공항 사건
CD Projekt,CD 프로젝트
Małuszów,마우슈프
Muzeum Historii Polski w Warszawie,폴란드 역사 박물관
Stosunki polsko-rumuńskie,루마니아-폴란드 관계
stosunki polsko-brytyjskie,영국-폴란드 관계
stosunki polsko-ukraińskie,우크라이나-폴란드 관계
Polska na Zimowych Igrzyskach Olimpijskich 2014,2014년 동계 올림픽 폴란드 선수단
Piotrowice,피어트로우비츠
Potrzanowo,포트샤노보
Kategoria:Polskie linie lotnicze,분류:폴란드의 항공사
Teyon,테이온
Trojany,트로야니
Wikidot,위키닷
Sędziejowice,셍지에요비체
Więckowice,비엥츠코비체
Turbacz,투르바츠
Wysocko,비소츠코
Żernica,제르니차
Zborowo,즈보로보
2 Brygada Łączności,폴란드 제2통신여단
Świebodów,시비에보두프
Ambasada Arabii Saudyjskiej w Polsce,주 폴란드 사우디아라비아 대사관
Ambasada Korei Południowej w Polsce,주폴란드 대한민국 대사관
Czarna Orawa,차르나 오라바강
Dowództwo Garnizonu Warszawa,바르샤바 위수사령부
Fundacja Nautilus,노틸러스 재단
Ekstraliga polska w piłce nożnej kobiet,폴란드 엑스트랄리가
Garnizon Warszawa,바르샤바 위수지역
Stowarzyszenie Elektryków Polskich,Stowarzyszenie Elektryków Polskich
Strzeżenice,스트셰제니체
Stęszew,스텡셰프역
Wartogłowiec,바르토그워비에츠
Zamek w Olsztynku,올슈티네크성
Łomnica (dopływ Bobru),웜니차강 (보브라강의 지류)
Łubinka,우빈카강
Łososina (rzeka),워소시나강
6 Brygada Powietrznodesantowa,제6공수여단
Ambasada Hiszpanii w Polsce,주 폴란드 스페인 대사관
Lewiatan,레비아탄
Mszanka (dopływ Raby),므샨카강
Narodowa Partia Robotnicza,국민노동당
Partynice,파르트니체
Porębianka,포렝비안카
Polski Instytut Spraw Międzynarodowych,폴란드 국제 관계 연구원
Plac Unii Lubelskiej w Warszawie,루블린 연합 광장
Polskie Towarzystwo Chemiczne,폴란드 화학 협회
"Konferencja Narodów Zjednoczonych w sprawie Zmian Klimatu, Warszawa 2013",2013년 국제 연합 기후 변화 회의
pomnik historii,폴란드의 역사기념물 목록
Mistrzostwa Świata w Siatkówce Plażowej 2013,2013년 세계 비치발리볼 선수권 대회
Wikimania 2010,위키마니아 2010
granica polsko-szwedzka,스웨덴-폴란드 국경
granica polsko-duńska,덴마크-폴란드 국경
Ambasada Węgier w Polsce,주폴란드 헝가리 대사관
Twój Ruch,너의 운동
granica polsko-niemiecka,독일-폴란드 국경
Mistrzostwa Europy U-21 w Piłce Nożnej 2017,2017년 UEFA U-21 축구 선수권 대회
rosół,로수
Polska na Letnich Igrzyskach Olimpijskich 2016,2016년 하계 올림픽 폴란드 선수단
Pomnik Wikipedii w Słubicach,위키피디어 기념물
Nowa Nadzieja,자유당
Koleje Małopolskie,마워폴스카의 철도
Polska Grupa Zbrojeniowa,폴란드 군비 그룹
Wybory parlamentarne w Polsce w 2015 roku,2015년 폴란드 총선
Stronnictwo Katolicko-Ludowe,가톨릭국민당
wybory parlamentarne w Polsce w  2019 roku,2019년 폴란드 총선
Piotr Michalski,피오트르 미할스키
Mistrzostwa Świata U-20 w Piłce Nożnej 2019,2019년 FIFA U-20 월드컵
Przesmyk suwalski,수바우키 간격
Wolni i Solidarni,자유와 연대
Komitet Obrony Demokracji,민주주의 수호 위원회
KS Cracovia,KS 크라코비아
Kukiz’15,쿠키스15
.Nowoczesna,폴란드 현대당
Wojska Obrony Terytorialnej,국토방위군
Liga Światowa w Piłce Siatkowej Mężczyzn 2016,2016년 FIVB 배구 월드리그
Zjednoczona Lewica,좌파연합
Lewica Razem,함께당
Polska na Zimowych Igrzyskach Olimpijskich 2018,2018년 동계 올림픽 폴란드 선수단
Minister Spraw Zagranicznych Polski,폴란드의 외무장관
Unia Europejskich Demokratów,유럽민주연합당
Teren skansenu (Sądecki Park Etnograficzny),노비송치 민속촌
Wybory prezydenckie w Polsce w 2020 roku (28 czerwca),2020년 폴란드 대통령 선거
Igrzyska Europejskie 2023,2023년 유러피언 게임
Centralny Port Komunikacyjny,중앙 교통허브 공항
Hydropolis,하이드로 폴리스
Porozumienie,협정당
Reprezentacja Polski na Mistrzostwach Świata w Piłce Nożnej 2018,2018년 FIFA 월드컵의 폴란드
Muzeum Miniaturowej Sztuki Profesjonalnej Henryk Jan Dominiak w Tychach,미니어처 전문 미술 박물관 Henryk Jan Dominiak
Wybory samorządowe w Polsce w 2018 roku,2018년 폴란드 지방선거
edukacja w Polsce,폴란드의 교육문화
stosunki polsko-kenijskie,케냐-폴란드 관계
Extinction Rebellion,멸종에의 반란
Wiosna,비오스나
Stosunki polsko-południowokoreańskie,대한민국-폴란드 관계
Dom Mikołaja Kopernika w Toruniu,니콜라우스 코페르니쿠스의 생가
pandemia COVID-19,코로나바이러스감염증-19 유행
strefa wolna od LGBT,성소수자 청정지대
Lewica (2019),좌파
pandemia COVID-19 w Polsce,폴란드의 코로나바이러스감염증-19 범유행
pandemia COVID-19 w Europie,유럽의 코로나바이러스감염증-19 유행
Bukaresztańska Dziewiątka,부쿠레슈티 나인
Huragan Alex,폭풍 알렉스
Zabytki w Sosnowcu,소스노비에츠의 문화유산 기념물
MAK,MAK
Orkan Eunice,폭풍우 유니스
Hebe - zdrowie i piękno,헤베
katastrofa ekologiczna na Odrze,2022년 오더 환경재앙
20 Brygada Łączności,폴란드 제20통신여단
eksplozja w Przewodowie,2022년 러시아의 폴란드 미사일 공격
Wikimania 2024,위키마니아 2024
