Diego Velázquez,디에고 벨라스케스
Jordi Arrese,조르디 아레제
Álvaro Vázquez,알바로 바스케스
Álvaro Mejía Pérez,알바로 메히아 페레스
Josep Maria Fusté,조세프 마리아 푸스테
Vicenç Piera,비센테 피에라
Ricardo Viñes,리카르도 비네스
Cristian Darío Álvarez,크리스티안 다리오 알바레스
Cristina Castaño,크리스티나 카스타뇨
Ángel Guirado,앙헬 기라도
David Trueba,다비드 트루에바
Joel González,호엘 곤살레스 보니야
Lorenzo Serra Ferrer,로렌소 세라 페레르
Sergio Escudero Palomo,세르히오 에스쿠데로 팔로모
Juan Antonio Ipiña,후안 안토니오 이피냐
Carlos Busquets,카를레스 부스케츠
Enrique Almaraz y Santos,엔리케 알마라스 이 산토스
Manolo Sánchez Delgado,마누엘 산체스 델가도
Joan Segarra,주안 세가라
Mariano Martín,마리아노 마르틴
Álvaro de Laiglesia,알바로 데 라글레시아
Alfredo Landa,알프레도 란다
Jesús Gil,헤수스 힐
Ángel Zubieta,앙헬 수비에타
Ferran Olivella,페란 올리베야
Borja Oubiña,보르하 오우비냐
Jon Kortajarena,혼 코르타하레나
Piru Gaínza,아구스틴 가인사
María Teresa Torró Flor,마리아 테레사 토로 플로르
Chris Marquette,크리스 마켓
Juan Marrero Pérez,후안 일라리오 마레로
David Álvarez Aguirre,다비드 알바레스 아기레
Guillermo Gorostiza,기예르모 고로스티사
Javier Pascual Rodríguez,하비에르 파스콸 로드리게스
Ángel Lafita,앙헬 라피타
Ángel Arocha,앙헬 아로차
Rafael Marañón,라파엘 카를로스 페레스 곤살레스
Juan Lindo y Zelaya,후안 린도
Miguel Tendillo,미겔 텐디요
Gervasio Deferr,헤르바시오 데페르
Rafael Iriondo,라파엘 이리온도
Daniel Vázquez Díaz,다니엘 바스케스 디아스
Íñigo Díaz de Cerio,이니고 디아스 데 세리오
Koikili Lertxundi,코이킬리 레르춘디
Enrique de Lucas,엔리케 데루카스
José Rodríguez Martínez,호세 로드리게스 마르티네스
José Iraragorri,호세 이라라고리
Ángel López Ruano,앙헬 로페스
Juan Zambudio Velasco,후안 삼부디오 벨라스코
Mariví Bilbai,마리비 빌바오
Juan José Flores,후안 호세 플로레스
Edurne Pasaban,에두르네 파사반
Yon González,욘 곤살레스
Sabino Barinaga,사비노 바리나가
Manel Estiarte,마누엘 에스티아르테
Jean Cassou,장 카수
Marianín,마리아닌
Domingo Cisma,도밍고 시스마
Martín Montoya,마르틴 몬토야
Nicolás de Ovando,니콜라스 데 오반도
Jesús Huerta de Soto,헤수스 우에르타 데소토
Nicolás García Hemme,니콜라스 가르시아
Fran Yeste,프란시스코 예스테
Xavier Vila Gazquez,샤비에르 빌라 가스케스
Fernando Sor,페르난도 소르
Manuel Blanco Ramos,마누엘 블랑코 라모스
Diego Forlán,디에고 포를란
Míchel,미첼
Juanele,후아넬레
Manuel Olivares,마누엘 올리바레스
Trinidad Jiménez,트리니다드 히메네스
Víctor Erice,빅토르 에리세
Juan Echanove,후안 에차노브
Aitor Ocio Carrión,아이토르 오시오
Ciriaco Errasti,시리아코 에라스티
Amparo Muñoz,암파로 무노즈
Fernando Gómez Colomer,페르난도 고메스 콜로메르
Ramón Rodríguez,라몬 로드리게스
Loyola de Palacio,로욜라 데팔라시오
Kiko Casilla,키코 카시야
Roberto Marina,로베르토 마리나
Gaspar Cassadó,가스파르 카사도
Juan José Nogués,후안 호세 노게스
Miguel Ángel Estrada Cobeña,미겔 에스트라다
Fernando Andina,페르난도 안디나
Keylor Navas,케일로르 나바스
Rossy de Palma,로시 데팔마
Gorka Iraizoz,고르카 이라이소스
José Mercé,호세 메르세
Concha Buika,콘차 부이카
Najwa Nimri,나지와 님리
Elena Salgado Méndez,엘레나 살가도
Soledad Miranda,솔레다드 미란다
Ignacio Zoco,이그나시오 소코
Nina Zhivanevskaya,니나 지바넵스카야
Juanín García,후아닌 가르시아
Igor Gabilondo,이고르 가빌론도
Vavá II,루시아노 산체스
Ariadna Gil,아리아드나 힐
Pako Ayestarán,파코 아예스테란
Loles León,롤레스 레온
Víctor Claver,빅토르 클라베르
Joan Fuster Ortells,조안 푸스터
Lucia Bosè,루차 보세
Kiko,프란시스코 미겔 나르바에스 마촌
Pol Espargaró,폴 에스파가로
Patricia Urquiola,파트리시아 우르키올라
Ascanio Sforza,아스카니오 스포르차
Juan Donoso Cortés,후안 도노소 코르테스
Marquitos,마르코스 알론소 이마스
Esther Cañadas,에스테르 카냐다스
Rosendo Hernández,로센도 에르난데스
Jaime de Marichalar,하이메 데 마리차라르
Daniel Plaza,다니엘 플라자
Gorka Elustondo,고르카 엘루스톤도
Icíar Bollaín,이시아르 보야인
Josep Gonzalvo,호세 곤살보
Eulogio Martínez,에울로히오 마르티네스
Ana Obregón,아나 오브레곤
Xabi Castillo,샤비 카스티요
Niurka Montalvo,니우르카 몬탈보
Joaquín Vázquez,호아킨 바스케스
River Viiperi,리버 비페리
Lilí Álvarez,릴리 알바레스
María Casares,마리아 카자레스
Roque Olsen,로케 올센
Osmar Barba,오스마르 바르바
Pascual Veiga,파스칼 베이가
Kike Sola,키케 솔라
José María Olazábal,호세 마리아 올라사발
Ramón Pérez de Ayala,라몬 페레스 데 아얄라
Miguel Ángel González Suárez,미겔 앙헬 곤살레스 수아레스
Santiago Cañizares,산티아고 카니사레스
Isabel Preysler,이사벨 프레이슬레르
Tete Montoliu,테테 몬톨리우
Carmen Laforet,카르멘 라포레
Carles Benavent,카를레스 베나벤트
Jesús María Satrústegui,헤수스 마리아 사트루스테기
Isabel Fernández Gutiérrez,이사벨 페르난데스
Angy Fernández,앙히 페르난데스
Leopoldo Calvo-Sotelo Bustelo,레오폴도 칼보소텔로
Valentín Fuster Carulla,발렌틴 푸스터 카를라
Enrique de la Mata,엔리케 데라마타
Chus Lampreave,추스 람프레아베
Brigitte Yagüe,브리히테 야궤
María Pujalte,마리아 푸할테
Ana Torroja,아나 토로하
Juan Arza,후안 아르사
Marta Etura,마르타 에투라
María Teresa Campos,마리아 테레사 캄포스 루케
Paloma Picasso,팔로마 피카소
Luis Suárez,루이스 수아레스 미라몬테스
Cristina Marcos,크리스티나 마르코스
Marc Gasol,마크 가솔
Francisco Vázquez de Coronado,프란시스코 바스케스 데 코로나도
Severiano Ballesteros,세베 바예스테로스
Fernando Tabales,페르난도 타발레스
Abelardo González,아벨라르도 곤살레스
Juan Ignacio Otero,후안 이그나시오 오테로
Jennifer Serrano,헤니페르 세라노
Narciso Yepes,나르시소 예페스
Julieta Serrano,훌리에타 세라노
Rosa Maria Sardà,로사 마리아 사르다
Alejandro Amenábar,알레한드로 아메나바르
Mikel Aranburu,미켈 아란부루
Paz de la Huerta,파스 데라우에르타
Blanca Fernández Ochoa,블랑카 페르난데스 오초아
Gonzalo Pizarro,곤살로 피사로
Gregorio Blasco Sánchez,그레고리오 블라스코
Jesús Guridi,헤수스 구리디
Juande Ramos,후안데 라모스
Jeffrén Suárez,헤프렌 수아레스
Carlos Montoya,카를로스 몬토야
Gaizka Toquero,가이스카 토케로
Jon Aurtenetxe,혼 아우르테네체
Concha Velasco,콘차 벨라스코
Amaro Rodríguez Felipe,아마로 파고
Assumpta Serna,아숨프타 세르나
Juan Antonio Orenga,후안 안토니오 오렝가
Paulino Alcántara,파울리노 알칸타라
Natalia Verbeke,나탈리아 베르베케
Francisco Buyo,프란시스코 부요
Koke Resurrección,코케
Alejandro Sanz,알레한드로 산스
Sergio García Fernández,세르히오 가르시아
María Micaela del Santísimo Sacramento,마리아 미카엘라 데메지에르
Joaquín Peiró,호아킨 페이로
José Celestino Mutis,호세 셀레스티노 무티스
Carlos Pacheco,카를로스 파체코
Montse Ribé,몬세 리베
Ernesto Alterio,에르네스토 알테리오
David Fuster,다비드 푸스테르
Bruno Saltor,브루노 살토르
Yvonne Blake,이본 블레이크
Iago Falque,이아고 팔케
Luis Rubiales,루이스 루비알레스
Javier Urruticoechea,하비에르 우루티코에체아
Felipe Bigarny,펠리페 비가르니
Lucía Jiménez,루시아 히메네스
Karra Elejalde,카라 엘레할데
Lola Dueñas,롤라 두에냐스
Juan Manuel Lillo Díez,후안마 리요
Pablo Hernández Domínguez,파블로 에르난데스 도밍게스
Verónica Forqué,베로니카 포르케
María de Estrada,마리아 데 에스트라다
Manuel Alexandre,마누엘 알렉산드레
Sito Pons,시토 폰스
Ramón J. Sender,라몬 J. 센데르
Elías García Martínez,엘리아스 가르시아 마르티네스
Marina Pérez,마리나 페레스
Borja Valero,보르하 발레로
Mari Lacruz,헤수스 마리아 라크루스
Oliver Torres,올리베르 토레스
Conchita Supervía,콘치타 스페르비아
Estela Giménez,에스텔라 히메네스
Miguel Ríos,미겔 리오스
Alicia Borrachero,알리시아 보라체로
Carlos Juan Finlay,카를로스 핀라이
Pirri,호세 마르티네스 산체스
Wilfredo Caballero,윌리 카바예로
Roberto Echevarría,로베르토 에체바리아
Luis Aragonés,루이스 아라고네스
Ángel Luis Rodríguez Díaz,앙헬 로드리게스
Fran Perea,프란 페레아
Ricardo López Felipe,리카르도 로페스 펠리페
Patxi Puñal,프란시스코 푸냘
Xabier Etxeita,샤비에르 에체이타
José Antonio Reyes,호세 안토니오 레예스
Pablo Alborán,파블로 알보란
Ustaritz Aldekoaotalora,우스타리츠 알데코아오탈로라
Marcos Alonso Mendoza,마르코스 알론소 멘도사
Juan de Garay,후안 데 가라이
Julián Alonso,훌리안 알론소
Silke,실케
Paloma San Basilio,팔로마 산바실리오
Gerard López,제라르 로페스
Diego Rodríguez Fernández,디에고 로드리게스 페르난데스
Azorín,아소린
Emilio Nsue,에밀리오 은수에
Pilar Lorenza García Seta,필라르 로렌가르
Ramón Gómez de la Serna,라몬 고메스 데 라 세르나
Augusto Lamo Castillo,아우구스토 라모 카스티요
Irene Escolar,이레네 에스콜라르
José Ramón Alexanko,호세 라몬 알렉상코
Enrique Saura Gil,엔리케 사우라
Jaime Gavilán,하이메 가빌란
Camilo Sesto,카밀로 세스토
Rodolfo Chikilicuatre,로돌포 치킬리쿠아트레
Toni Ribas,토니 리바스
Esteban Granero,에스테반 그라네로
Víctor Vázquez Solsona,빅토르 바스케스
Alejandro Casona,알레한드로 카소나
Gaizka Garitano,가이스카 가리타노
Miguel Ángel Lotina,미겔 앙헬 로티나
Fernando Tejero,페르난도 테제로
Manuel Ruz Baños,마누엘 루스
Pasieguito,파시에기토
Blanca Portillo,블랑카 포르티요
Laura del Río,라우라 델리오
Manuel Santana,마누엘 산타나
Lucas Porcar,루카스 포르카르
Aitana Sánchez-Gijón,아이타나 산체스히혼
Antonio Moreno,안토니오 모레노
Severino Reija,세베리노 레이하
Íñigo Martínez,이니고 마르티네스
Ramon Guzmán,라몬 구스만
Fernán Caballero,페르난 카바예로
Pedro Parages,페드로 파라헤스
Xabier San Martín,하비 산 마르틴
José Millán-Astray,호세 미얀 아스트라이
Javi Chica,하비에르 치카
Óscar de Marcos,오스카르 데 마르코스
Cayetana Fitz-James Stuart,카예타나 피츠하메스 스투아르트
Miriam Blasco,미리암 블라스코
José Luis Abajo,호세 루이스 아바호
Óscar de la Renta Fiallo,오스카르 데라렌타
Salvador Larroca,살바도르 라로카
José Juncosa,호세 훙코사
Gioconda Belli,조콘다 벨리
Adam Jezierski,아담 예지에르스키
Óscar García Junyent,오스카르 가르시아 후니엔트
Dani Martín,다니 마르틴
Héctor Rial,엑토르 리알
José Francisco Molina,호세 프란시스코 몰리나
Pablo Iglesias,파블로 이글레시아스
Pedro Vélez,페드로 벨레스
Óscar Pujol,오스카 푸홀
Luis García Sanz,루이스 하비에르 가르시아 산스
Tirso de Molina,티르소 데 몰리나
Juan Rodríguez Fonseca,후안 로드리게스 폰세카
César Azpilicueta,세사르 아스필리쿠에타
Mónica Naranjo,모니카 나랑호
Unai Emery,우나이 에메리
Antonio Resines,안토니오 레시네스
Pedro Duque,페드로 두케
Kiti Mánver,키티 만베르
Francisco Javier Farinós,하비에르 파리노스
Amaia Salamanca,아마이아 살라망카
Silvestre Igoa,실베스트레 이고아
Joaquín Sánchez Rodríguez,호아킨 산체스
Enrique Granados,엔리케 그라나도스
Carlos Ruiz Herrero,카를로스 루이스 에레로
Carmelo Cedrún,카르멜로 세드룬
George Gordon Meade,조지 미드
Iván Helguera,이반 엘게라
Vicente Rodríguez Guillén,비센테 로드리게스
Ricardo Zamora,리카르도 사모라
Eloy Olaya,엘로이 올라야
Rodrigo de la Fuente,로드리고 데라푸엔테
David Albelda,다비드 알벨다
Gaizka Mendieta,가이스카 멘디에타
Beatriz Luengo,베아트리스 루엥고
Silvia Marsó,실비아 마르소
Leticia Dolera,레티시아 돌레라
Yolanthe Sneijder-Cabau,욜란테 스네이더르카바우
Ruy López de Segura,루이 로페스 데 세구라
Neus Asensi,노이 스아센시
Carlos Manuel de Céspedes del Castillo,카를로스 마누엘 데 세스페데스
Néstor Calderón,네스토르 칼데론
Pablo Infante,파블로 인판테
Celso Bugallo Aguiar,셀소 부갈로
Cristian López,크리스티안 로페스
Christian Alfonso López,크리스티안 알폰소 로페스
Gonzalo López-Gallego,곤잘로 로페즈 갈레고
Ladislao Kubala,쿠벌러 라슬로
Carlos Saura,카를로스 사우라
Rosana Simón,로사나 시몬
Diego Colón,디에고 콜롬버스
Javier Marías,하비에르 마리아스
Amancio Amaro,아만시오 아마로
Javier Clemente,하비에르 클레멘테
Manuel Sanchis Martínez,마누엘 산치스 마르티네스
Pilar Bardem,필라르 바르뎀
Dafne Fernández,다프네 페르난데스
Samuel Sánchez,사무엘 산체스
Andrés Velencoso,안드레스 벨렝코소
Álvaro Fuentes,알바로 푸엔테스
Laia Marull,라이아 마룰
César Martín,세사르 마르틴
Santiago Carrillo,산티아고 카리요
Yohana Cobo,요아나 코보
Francisco Pi y Margall,프란세스크 피 아이 마르갈
Nieves Navarro,니브즈 나바로
Francisco Javier Muñoz Llompart,시스코 무뇨스
Rubén Baraja,루벤 바라하
Ana Botín,아나 보틴
Francisco Fernández de Capillas,프란치스코 페르난도 데 카필라
Lorenzo Sanz,로렌조 산즈
David Bisbal,다비드 비스발
Jorge Valdano,호르헤 발다노
Pere Solé i Junoy,페드로 솔레
Blanca Romero,블랑카 로메로
Rodrigo Rato,로드리고 라토
Estanislao Basora,에스타니슬라오 바소라
Francisco Herrera el Viejo,프란시스코 데 에레라
Beñat Etxebarria,베냣 에체베리아
Marian Rivera,마리안 리베라
Antonio Casas,안토니오 카사스
Luis Santaló,루이스 산탈로
Gerardo Torrado,헤라르도 토라도
José Garcia,호세 가르시아
Daisy Fuentes,데이지 푸엔테스
Eusebio Poncela,에우세비오 폰셀라
Verónica Echegui,베로니카 에체기
Aarón Ñíguez,아론 니게스
Miguel Ángel Muñoz,미겔 앙헬 무뇨스
Antonio López Guerrero,안토니오 로페스 게레로
Albert Montañés,알베르트 몬타녜스
José Emilio Amavisca,호세 아마비스카
Manuel Gómez Pedraza,마누엘 고메스 페드라사
José María Zárraga,호세 마리아 사라가
Julián Arcas,훌리안 아르카스
Miguel de Fuenllana,미겔 데 푸에냐나
Javi García,프란시스코 하비에르 가르시아
Antón Lamazares,안톤 라마자레스
Fernando Arrabal,페르난도 아라발
Rafa Alcántara,라파 알칸타라
Francisco Javier García Fajer,프란시스코 하비에르 가르시아 파헤르
Ángel Montoro Sánchez,앙헬 몬토로
Daniel Gimeno,다니엘 히메노
Pere Riba,페레 리바
Amr Waked,암르 와케드
Axel Pons,악셀 폰스
Valeri Karpin,발레리 카르핀
Marc Bartra,마르크 바르트라
Pedro León,페드로 레온
Marcos Alonso Peña,마르코스 알론소 페냐
Lluís Homar,류이스 오마르
Mariano Fortuny Madrazo,마리아노 포르투니
Diego Velázquez de Cuéllar,디에고 벨라스케스 데 케야르
José Ángel Valdés,호세 앙헬 발데스
Roberto Jiménez Gago,로베르토 히메네스 가고
Federico Mompou,페데리코 몸포우
Cristóbal Montoro,크리스토발 몬토로
Ramón Calderé,라몬 칼데레
Arly Jover,알리 조버
Eve Gordon,이브 고든
Sergi Bruguera,세르지 브루게라
Miguel Ángel Nadal,미겔 앙헬 나달
Joseba Etxeberria,호세바 에체베리아
Juan Carlos Navarro,후안 카를로스 나바로
Ana Torrent,아나 토렌트
Nuria Fergó,누리아 페르고
Albert Luque,알베르트 루케
Garcilaso de la Vega,가르실라소 데 라 베가
Albert Ramos,알베르트 라모스
Miguel Reina,미겔 레이나
Carolina Marín,카롤리나 마린
Chus Martínez,추스 마르티네스
Mikel Rico Moreno,미켈 리코
Fernando Navarro Corbacho,페르난도 나바로
Manuel Castells Oliván,마누엘 카스텔
Jaime Nunó,하이메 누노 로카
Dani Aranzubia,다니엘 아란수비아
Sebastián Coates,세바스티안 코아테스
Baltasar Albéniz Martínez,발타사르 알베니스
Philippe Coutinho,필리피 쿠티뉴
Oona Chaplin,우나 채플린
Gonzalo Fernández Castaño,곤살로 페르난데스 카스타뇨
Juan Diego Botto,후안 디에고 보토
Mikel San José,미켈 산 호세
Rudy Fernández,루디 페르난데스
Jonathan Castroviejo,조나탄 카스트로비에호
Pedro Solbes,페드로 솔베스
Joan Laporta,호안 라포르타
Rafael Moneo,라파엘 모네오
Sebastián Ontoria,세바스티안 온토리아
Eladio Silvestre,엘라디오 실베스트레
Bodo Illgner,보도 일그너
Antonio Pinilla,안토니오 피니야
Migueli,미겔 베르나르도 비안케티
Albert Celades,알베르트 셀라데스
Andrea Guasch,안드레아 과스크
Ruth Núñez,루트 누녜스
Dani Pacheco,다니엘 파체코
Sandro Rosell,산드로 로셀
Diego Costa,디에고 다 시우바 코스타
José Antonio Camacho,호세 안토니오 카마초
Joaquín Almunia,호아킨 알무니아
Marc Clotet,마르크 클로테트
Cristian Llama,크리스티안 야마
Gonzalo de Berceo,곤살로 데 베르세오
Francisco Largo Caballero,프란시스코 라르고 카바예로
Leire Martínez,레이레 마르티네스
Claudia Bassols,클라우디아 바솔스
Sofía de Borbón,스페인 공주 소피아
Joan Manuel Serrat,후안 마누엘 세라
Juan Negrín,후안 네그린
Raúl Tamudo,라울 타무도
Nerea Camacho,네레아 카마초
Damià Abella,다미아 아베야
Andrea Orlandi,안드레아 오를란디
Camarón de la Isla,카마롱 데 라 이슬라
Antonio Nariño,안토니오 나리뇨
Salvador González Marco,보로
Juan Carlos Valerón,후안 카를로스 발레론
Estíbaliz Martínez,에스티발리스 마르티네스
Mauricio Pochettino,마우리시오 포체티노
Maya Plisétskaya,마이야 플리세츠카야
Patricia Kraus,파트리시아 크라우스
Alexis Ruano,알렉시스 루아노 델가도
Enrique Líster,엔리케 리스테르
José Luis Mendilibar,호세 루이스 멘딜리바르
Antonio Rebollo,안토니오 레보요
Asier del Horno,아시에르 델 오르노
Telmo Zarra,텔모 사라
Antonio makakinho,안토니오 바라간
Juan Marsé,후안 마르세
Claudio Bravo,클라우디오 브라보
Josu Urrutia,호수 우루티아
Xavi Torres,사비 토레스
Pepe Habichuela,페페 아비추엘라
Daniel Diges,다니엘 디헤스
Javier Garrido Behobide,하비에르 가리도
Periko Alonso,미겔 앙헬 알론소
Antonio Tapia,안토니오 타피아
Antonio Álvarez Giráldez,안토니오 알바레스 히랄데스
Miguel Ángel Angulo,미겔 앙헬 앙굴로
Francisco Tárrega,프란시스코 타레가
Sergio García de la Fuente,세르히오 가르시아
Alejandro Farnesio,알레산드로 파르네세 디 파르마 공작
Fernando Guillén Gallego,페르난도 길렌
Josep Borrell,주제프 보레이
Luis Antonio García Navarro,루이스 안토니오 가르시아 나바로
David Cerrajería,다비드 세라헤리아
Juan Arango,후안 아랑고
Héctor Moreno,엑토르 모레노
Daniel Giménez Cacho,다니엘 지메네스 카초
Dani Ruiz Bazán,다니엘 루이스바산
Eduardo Pondal,에두아르도 폰달
Diego Capel,디에고 카펠
Miguel Pardeza,미겔 파르데사
Juan Carlos Fresnadillo,후안 카를로스 프레스나디요
Toño de la Cruz,안토니오 데 라 크루스
Serge Ibaka,서지 이바카
Pedro Antonio de Alarcón,알라르콘 이 아리사
Ricardo Gallego,리카르도 가예고
Rafael Gordillo,라파엘 고르디요
Natasha Yarovenko,나타샤 야로벤코
Juan de Borbón,후안 데 보르본 이 바텐베르그
Fernando Amorebieta,페르난도 아모레비에타
Iker Muniain,이케르 무니아인
Marc Muniesa,마르크 무니에사
Luis Carrero Blanco,루이스 카레로 블랑코
Antonio Vega,안토니오 베가
David Belda,데이비드 벨다
Antonio Troitiño,안토니오 트로이티뇨
Pilar López de Ayala,필라르 로페스 데 아얄라
Niceto Alcalá-Zamora,니세토 알칼라사모라
Fran Mérida,프란 메리다
Chendo,첸도
Adrián López Álvarez,아드리안 로페즈 알바레스
Pablo Ibáñez,파블로 이바녜스
Juan Valera y Alcala Galiano,후안 발레라이아칼라 갈리아노
Lauren Bisan-Etame,로렌
Antonio Soler Ramos,안토니오 솔레르
Luis Fernández,루이스 페르난데스
Javi de Pedro,하비에르 데 페드로
Andrés Gimeno,안드레스 히메노
Àngel Rangel,앙헬 랑헬
Sergio Asenjo,세르히오 아셍호
Miguel Torres Gómez,미겔 토레스 고메스
Ricardo Darín,리카르도 다린
Francisco de Paula de Borbón y Borbón,프란시스코 데 파울라
Amparo Rivelles,암파로 리베예스
Carlos Velasco Carballo,카를로스 벨라스코 카르바요
Pierre Webó,피에르 웨보
César Sánchez Domínguez,세사르 산체스
Delfí Geli,델피 젤리
Julio Velázquez,훌리오 벨라스케스
Javi Márquez,하비 마르케스
Diego López Rodríguez,디에고 로페스 로드리게스
David Mateos,다비드 마테오스
Nikola Mirotić,니콜라 미로티치
Pablo Puyol,파블로 푸욜
Jordi Mestre,호르디 메스트레
Mikel Herzog,미켈 헤르소흐
David Russell,데이비드 러셀
Ariel Ibagaza,아리엘 아바가사
Raúl Bravo Sanfélix,라울 브라보
Iván Campo,이반 캄포
Víctor Sánchez Mata,빅토르 산체스 마타
Luis José de Vendôme,방돔 공작 루이 조제프 드 부르봉
Carlos Salinas de Gortari,카를로스 살리나스 데 고르타리
Elena Furiase,엘레나 푸리아세
Nora Navas,노라 나바스
Michelle Jenner,미셸 제너
Juanito Gómez,후안 고메스 곤살레스
Saúl Ñíguez,사울 니게스
Jorge Garbajosa,호르헤 가르바호사
Alaska,알라스카
Manuela Velasco,마누엘라 벨라스코
Haritz Garde,하리츠 가르테
Pablo Benegas,파블로 베네기스
Francisco Suárez,프란시스코 수아레스
Juan Luis Vives,후안 루이스 비베스
Verónica Boquete Giadáns,베로니카 보케테
Dark Alex,다크 알렉스
José Cadalso,호세 카달소
Miquel Soler,미켈 솔레르
Nenê,네네 (1981년)
Ricardo Alós,리카르도 알로스
Paco Rabanne,파코 라바네
Diego León,디에고 레온
Lina Romay,리나 로메이
José Manuel Calderón,호세 칼데론
Manuel Godoy,마누엘 데 고도이
Ricardo Bofill Leví,리카르도 보필
Raúl García Escudero,라울 가르시아 에스쿠데로
Albert Ferrer,알베르트 페레르
Alfonso Pérez,알폰소 페레스
Antonio Garrido,안토니오 가리도
Alfonso Sastre,알폰소 사스트레
Diego Mariño Villar,디에고 마리뇨
Alejo Vidal-Quadras,알레호 비달쿠아드라스
Eduard Fernández,에두아르드 페르난데스
Mariano Pernía,마리아노 페르니아
Iván de la Peña López,이반 데 라 페냐
Joaquín Turina,호아킨 투리나
José de Anchieta,안시에타의 요셉
Manuel Marín,마누엘 마린
Gloria Lasso,글로리아 라소
Ana Polvorosa,아나 폴보로사
Grigory Sokolov,그리고리 소콜로프
Jordi Savall,조르디 사발
Txiki Begiristain,치키 베히리스타인
Bigas Luna,비가스 루나
Josep Lluís Sert,주제프 류이스 세르트
Pedro Obiang,페드로 오비앙
Pedro Regueiro,페드로 레게이로
Manuel Sanchís Hontiyuelo,마누엘 산치스 온티유엘로
Jordi Codina,조르디 코디나
Mabel Rivera,마벨 리베라
Manuel Enrique Mejuto González,마누엘 메후토 곤살레스
Andoni Iraola,안도니 이라올라
Óscar Jaenada,오스카르 하에나다
Alexander García Düttmann,알렉산더 가르시아 tt맨
Gonzalo Fernández de Córdoba,곤살로 페르난데스 데 코르도바
Perla Cristal,펄라 크리스탈
Abel Antón,아벨 안톤
Sergi Enrich,세르지 엔리히
Adolfo Mengotti,아돌프 멩고티
Félix Sesúmaga,펠릭스 세수마가
Alberto Botía,알베르토 보티아
Laura Pamplona,라우라 팜플로나
Maxi Iglesias,막시 이글레시아스
Fernando Fernán Gómez,페르난도 페르난 고메스
Baltasar Garzón,발타사르 가르손
Abelardo Fernández,아벨라르도 페르난데스
Abel Resino,아벨 레시노
Jordi Vinyals,조르디 비냘스
Modest Urgell,무데스트 우르제이
Carlos Marín,카를로스 마린
Federico Moreno Torroba,페데리코 모레노 토로바
Isidro Lángara,이시드로 랑가라
Víctor Fernández,빅토르 페르난데스
Ander Herrera,안데르 에레라
José Mari Bakero,호세 마리 바케로
Santiago Luna,산티아고 루나
José Manuel Lara,호세 마누엘 라라
Esperanza Aguirre,에스페란사 아기레
Iñigo Calderón,이니고 칼데론
Miguel Ángel Gómez Martínez,미겔 고메스 마르티네스
Ignacio Garrido,이그나시오 가리도
Juan Garaizabal,후안 가라이사발
Pablo Orbaiz,파블로 오르바이스
Léo Baptistinho,레오 밥티스탕
Fernando Martín,페르난도 마르틴
Félix Pons,펠릭스 폰스
Urbano Ortega,우르바노 오르테가
Jesús Landáburu,헤수스 란다부루
Lucía Gil,루시아 힐
Predrag Savović,프레드라그 사보비치
Roberto Fresnedoso,로베르토 프레스네도소
Ricardo Penella Arias,리카르도 페네야 아리아스
Juan Carlos Arteche,후안 카를로스 아르테체
Ferenc Puskás,푸스카스 페렌츠
Miguel Ángel Martín,미겔 앙헬 마르틴
Nacho Vidal,나초 비달
Samuel Eto'o,사뮈엘 에토
Abraham Maffeo,아브라함 마테오
Antonio Adán,안토니오 아단
Abraham Olano,아브라암 올라노
Iñaki de Juana Chaos,이냐키 데후아나 카오스
Dulcinea del Toboso,둘시네아
Silvia Giner,실비아 히네르
Carlos Bardem,카를로스 바르뎀
Ana Wagener,아나 와헤네르
Sergio Ramos,세르히오 라모스
Ana Mariscal,아나 마리스칼
Natalia Streignard,나탈리아 스트레이그나드
Jesús Garay Vecino,헤수스 가라이
Miguel de Andrés,미겔 데 안드레스
Luis Mariano,루이스 마리아노
Íñigo Liceranzu,이니고 리세란수
Paco Gento,프란시스코 헨토
Rivaldo,히바우두
José Carreras,호세 카레라스
Francisco Mujika Garmendia,프란시스코 무히카 가르멘디아
José Zorrilla,호세 소리야
David Lombán,다비드 롬반
José Rivero,호세 리베로
Francisco Mancebo,프란시스코 망세보
José Arribas,호세 아리바스
Denís Suárez,데니스 수아레스
Gil de Siloé,길 데 실로에
José Santamaría,호세 산타마리아
Usun Yoon,윤우선
Urbano Navarrete,우르바노 나바레테 코르테스
Alejo Sauras,알레조 사우라스
Ander Garitano,안데르 가리타노
Andréi Xepkin,안드레이 셉킨
Nacho Fernández Iglesias,나초 페르난데스
Pruden Sánchez,프루덴 산체스
Xavier Cugat,자비에르 쿠가트
Daniel Fortea,다니엘 포르테아
Alfredo Pérez Rubalcaba,알프레도 페레스 루발카바
Xavier O'Callaghan,샤비에르 오칼랴간
David Rodríguez Sánchez,다비드 로드리게스 산체스
Fernando II de las Dos Sicilias,페르디난도 2세
Olivier Martinez,올리버 마르티네스
Ricardo-María Carles y Gordó,리카르도 마리아 카를레스 고르도
Thomas Christiansen,토마스 크리스티안센
Francisco José Ayala,프란시스코 아얄라
Santi Denia,산티아고 데니아
José Miguel Moreno,호세 미겔 모레노
Sergio Gontán Gallardo,케코
Javier Irureta,하비에르 이루레타
Miguel Arias Cañete,미겔 아리아스 카녜테
Gai Assulin,가이 애슐린
Ramón Langa,라몬 랑가
Guido Pizarro,기도 피사로
Antonio Betancort,안토니오 베탕코르트
