Figueras,菲格拉斯
puente de Alcántara,阿尔坎塔拉桥 (托莱多)
Villaconejos de Trabaque,比利亚科内霍斯德特拉瓦克
San Julián de Cerdañola,桑特胡利亚德塞尔达尼奥拉
Santa María de Marlés,圣马里亚德梅尔莱斯
Sitio de Barcelona (1705),巴塞隆納圍城戰
Masanella,馬薩內利亞峰
Puebla de Montornés,拉波夫拉德蒙托尔内斯
Sitges,锡切斯
Aranjuez,阿兰胡埃斯
Quintanilla de Onsoña,金塔尼利亚德翁索尼亚
Anexo:Municipios de España por población,西班牙市鎮列表
Castelldefels,卡斯特尔德费尔斯
Arcos de la Frontera,阿尔科斯-德拉弗龙特拉
Dos Hermanas,多斯埃尔马纳斯
Comares,科马雷斯
Begas,贝格斯
Villamartín de Don Sancho,比利亚马尔廷德东桑乔
Orihuela Club de Fútbol,奥里韦拉足球俱乐部
La Herrera,拉埃雷拉
Henche,恩切
Lezuza,莱苏萨
Torneo WTA de Marbella 2009,安达鲁西亚网球赛
Diócesis de Coria-Cáceres,天主教科里亞-卡塞雷斯教區
Baracaldo,巴拉卡尔多
lituanos,立陶宛人
peseta,比塞塔
Cervelló,塞尔韦略
Collbató,科利瓦托
SEAT S.A.,西亚特
gastronomía de Andalucía,安达卢西菜
dialecto andaluz,安达卢西亚方言
Torrejón de Ardoz,托雷洪德亚尔多斯
Baeza,拜萨
Castellví de Rosanes,卡斯特利维德罗萨内斯
Minaya,米奈阿
Lentegí,伦特希
Abrera,阿夫雷拉
Iberia,西班牙國家航空
Corralejo,科拉莱霍
Arnedillo,阿尔内迪略
Canyellas,卡涅列斯
Franja de Aragón,西部地带
Martorell,马尔托雷利
Albalate de las Nogueras,阿尔瓦拉特德拉斯诺格拉斯
San Cristóbal de la Vega,圣克里斯托瓦尔德拉韦加
Catarroja Club de Fútbol,卡塔霍哈
Autovía del Guadiana,瓜迪亚纳公路（西班牙）
Sisante,西桑特
Olesa de Montserrat,奥莱萨德蒙特塞拉特
Batalla de Clavijo,克拉維霍戰役
Vallehermoso,巴列埃尔莫索
Partido Progresista,進步黨 (西班牙)
Móstoles,莫斯托莱斯
Molins de Rey,莫林斯德雷
Cornellá de Llobregat,略夫雷加特河畔科内利亚
Arenas Club de Getxo,格乔阿雷纳斯俱乐部
Arenas de San Pedro,阿雷纳斯德圣佩德罗
Corbera de Llobregat,略夫雷加特河畔科尔韦拉
Campeonato Mundial de Natación de 2003,2003年世界游泳錦標賽
Pozuelo de Alarcón,波苏埃洛德亚拉尔孔
Esplugas de Llobregat,埃斯普卢格斯德略夫雷加特
Gavá,加瓦
San Clemente de Llobregat,桑特克利门特德略夫雷加特
Partido Popular,西班牙人民党
Estadio de San Mamés,圣马梅斯球场
Mezquita Central de Madrid,馬德里中央清真寺
Lanjarón,兰哈龙
Villalobón,比利亚洛翁
Metro de Madrid,马德里地铁
Ayerbe,阿耶韦
Andasol,安达索尔太阳能电站
Baza,巴萨
Cachorrilla,卡乔里利亚
Llano de Olmedo,利亚诺德奥尔梅多
Tinajo,蒂纳霍
Alcalá la Real,阿尔卡拉拉雷亚尔
Lobras,洛夫拉斯
Esparraguera,埃斯帕雷格拉
Hispania,西班牙省
El Prat de Llobregat,埃尔普拉特德略夫雷加特
Estación de Príncipe de Vergara,贝尔加拉王子站
Alhama de Almería,阿尔阿马德亚尔梅里亚
La Malahá,拉马拉阿
Triacastela,特里亚卡斯特拉
Museo Arqueológico de Sevilla,塞维利亚考古博物馆
Archidiócesis de Pamplona y Tudela,天主教潘普洛纳暨图德纳总教区
Castielfabib,卡斯铁尔法维布
Ricote,里科特
Batalla del Bruch,埃尔布鲁克战役
Molinicos,莫利尼科斯
Fuerteventura,富埃特文图拉岛
San Vicente del Raspeig,圣比森特德尔拉斯佩格
Partido de la Ley Natural,自然法黨
Almuñécar,阿尔穆涅卡尔
Guecho,格乔
Madrigueras,马德里格拉斯
Lújar,卢哈尔
Villada,比利亚达
turismo en España,西班牙觀光
Boal,博阿尔
La Razón,理性報
San Baudilio de Llobregat,略夫雷加特河畔圣包迪利奥
San Andrés de la Barca,桑坦德雷乌德拉瓦尔卡
Santa Coloma de Cervelló,圣科洛马德塞尔韦略
Peñón de Vélez de la Gomera,戈梅拉岛
Zentyal,Zentyal
Cebreros,塞夫雷罗斯
La Recueja,拉雷库埃哈
Ábalos,阿瓦洛斯
Liétor,列托尔
Letur,莱图尔
Aeropuerto Madrid-Torrejón,马德里-托雷洪机场
Fuengirola,丰希罗拉
El Papiol,埃尔帕皮奥尔
Gran Premio de la Comunidad Valenciana de 2012,瓦倫西亞
Banco de Valencia,瓦伦西亚银行
Campos de Sport de El Sardinero,沙丁鱼人体育场
Pallejá,帕列哈
La Palma de Cervelló,拉帕尔马德塞尔韦略
La Baronia de Rialb,拉瓦罗尼亚德里亚尔布
plaza de soberanía,西属主权地
Irún,伊倫
Mijas,米哈斯
Andorra,安多拉 (特鲁埃尔省)
Guernica y Luno,格尔尼卡
Almendralejo,阿尔门德拉莱霍
Calviá,卡尔维亚
Mondragón,蒙德拉贡
Burganes de Valverde,布尔加内斯德瓦尔韦尔德
San Vicente dels Horts,桑特维森斯斯德尔斯奥尔特斯
Torrellas de Llobregat,托雷列斯德略夫雷加特
Medina Sidonia,梅迪纳-西多尼亚
Escalante,埃斯卡兰特
Vivero,比韦罗
Sotorribas,索托里瓦斯
Asociación de Amistad con Corea,朝鮮友好協會
Uncastillo,温卡斯蒂略
Gil-García,希尔加尔西亚
Santillana del Mar,滨海桑蒂利亚纳
Calahorra,卡拉奥拉
Langreo,兰格雷奥
Baztán,巴斯坦
Cizur Menor,西祖尔梅诺
Reino de Aragón,阿拉贡王国
Universiada de Verano 1999,1999年夏季世界大學生運動會
Lista de Encabezamientos de Materia en Catalán,加泰羅尼亞語主題標題列表
mar de Alborán,阿尔沃兰海
Maracena,马拉塞纳
bandera del Principado de Asturias,阿斯圖里亞斯旗幟
Santa María del Val,圣马里亚德尔瓦尔
Festival Internacional de Benicasim,貝尼卡西母音樂節
Solera de Gabaldón,索莱拉德加瓦尔东
Príncipe de Viana,維亞納親王
Bergondo,贝尔贡多
Villaluenga de la Sagra,比利亚伦加德拉萨格拉
Valle Gran Rey,巴列格兰雷
Alcoy,阿尔科伊
Alcobendas CF,阿尔科文达斯足球俱乐部
Club Deportivo Villanueva,維拉紐瓦
Primera División de España 1968/69,1968年至1969年西班牙足球甲级联赛
Fuenterrabía,丰特拉维亚
Berja,贝尔哈
Villanueva del Rosario,罗萨里奥新镇
Eurocopa Sub-21 de 1996,1996年歐洲U-21足球錦標賽
Otero de Rey,欧泰罗德雷
San Feliú de Llobregat,略夫雷加特河畔圣费利乌
San Esteban de Sasroviras,桑特斯特韦塞斯罗维雷斯
España 2000,西班牙2000
Campeonato Mundial de Natación de 1986,1986年世界游泳錦標賽
Lumbier,伦别尔
Rivas-Vaciamadrid,里瓦斯-瓦西亚马德里德
Pozuelo de Calatrava,波苏埃洛德卡拉特拉瓦
Arnedo,阿尔内多
Arens de Lledó,阿伦斯德列多
Lalueza,拉卢埃萨
Real Academia de la Lengua Vasca,巴斯克语言学院
Sistema Ibérico,伊比利亞山脈
mar Balear,巴利阿里海
Club Baloncesto Lucentum Alicante,阿利坎特光之地籃球俱樂部
Anexo:Medallero de los Juegos Olímpicos de Barcelona 1992,1992年夏季奥林匹克运动会奖牌榜
El Robledo,埃尔罗夫莱多
Cáceres,卡塞雷斯
Vélez-Málaga,贝莱斯-马拉加
La Serna del Monte,拉塞尔纳德尔蒙特
Universidad de Madrid,马德里大学
Torremolinos,托雷莫利诺斯
La Bouza,拉沃萨
Cádiz,加的斯
Tour de Francia 2001,2001年環法自由車賽
Terremoto de Lorca de 2011,2011年洛尔卡地震
Tordellego,托尔德列戈
Segunda División de España 1979/80,1979年至1980年西班牙足球乙级联赛
Copa de la Liga de España,西班牙聯賽盃
Alburquerque,阿尔武尔克尔克
Andrach,安德拉特斯
Milagro,米拉格罗
Sobrado,索夫拉多
Segovia,塞哥维亚
Oñate,奥尼亚特
Briones,布里奥内斯
San Cugat Sasgarrigas,桑特库加特塞斯加里格斯
Ruente,伦特
San Justo Desvern,桑特胡斯特德斯韦尔恩
Éibar,埃瓦尔
San Joan Despí,桑特霍安德斯皮
La Palma,拉帕爾馬島
Estadio de La Condomina,孔多米纳球场
Yémeda,耶梅达
Alcalá de los Gazules,加苏莱斯堡
Pico Almanzor,阿爾曼索爾峰
Cabo Trafalgar,特拉法加角
Primera División de España 1956/57,1956年至1957年西班牙足球甲级联赛
Osuna,奥苏纳
Estepona,埃斯特波纳
El Puerto de Santa María,圣玛丽亚港
El Ronquillo,埃尔龙基略
Urrea de Gaén,乌雷亚德盖恩
Mar de Cerdeña,薩丁尼亞海
Tivenys,蒂韦尼斯
Salamanca,萨拉曼卡
estadio Alfredo Di Stéfano,阿尔弗雷多·迪斯蒂法诺球场
Alcolea de Calatrava,阿尔科莱亚德卡拉特拉瓦
Tolosa,托洛萨
Jaén,哈恩
Vilabella,比拉韦利亚
Hoz de Jaca,奥斯德哈卡
Catedral de Santiago de Compostela,圣地亚哥－德孔波斯特拉主教座堂
Codex Calixtinus,加里斯都卷軸
Cuatretonda,夸特雷通达
Primera División de España 1998/99,1998年至1999年西班牙足球甲级联赛
Segunda División de España 1945/46,1945年至1946年西班牙足球乙级联赛
Longás,隆加斯
Campo de Mestalla,馬斯泰拿球場
Torrelavega,托雷拉韦加
El Ejido,埃尔埃希多
Vallirana,巴利拉纳
Viladecans,比拉德坎斯
Club Esportiu Premià,普雷米亞體育俱樂部
Valenzuela,巴伦苏埃拉
Llanos del Caudillo,利亚诺斯德尔考迪略
El Campo de Peñaranda,埃尔坎波德佩尼亚兰达
Real Monasterio de la Encarnación,化身修道院
Villanova,比利亚诺瓦
Badajoz,巴達霍斯
Reillo,雷略
Capafonts,卡帕丰特斯
Falange Española de las JONS,長槍黨
geografía de España,西班牙地理
Ávila,阿维拉
El Berrueco,埃尔韦鲁埃科
Distrito Macarena,马卡雷纳
La Granja d'Escarp,拉格兰哈德斯卡尔普
Orbita,奥尔维塔
Calatayud,卡拉泰乌德
Marañón,马拉尼翁
Monasterio de Poblet,波夫萊特修道院
Bultaco,Bultaco
Urola,烏羅拉河
Spanair,西班牙航空
Estella,埃斯特利亚
Algeciras Club de Fútbol,阿尔赫西拉斯足球俱乐部
Santo Domingo de la Calzada,圣多明各-德拉卡尔萨达
Aranda de Duero,杜罗河畔阿兰达
Argensola,阿尔亨斯索拉
Bellprat,贝利普拉特
Denia,德尼亚
Reales Alcázares,塞维利亚王宫
Roquetas de Mar,罗克塔斯德马尔
Zamora,萨莫拉
Amayuelas de Arriba,阿迈韦拉斯德亚里瓦
Batalla de Chiclana,巴洛萨之战
Hoz y Costeán,奥西科斯特亚恩
Castellolí,卡斯特略利
Copóns,科蓬斯
Arganda del Rey,阿尔甘达德尔雷
La Garrovilla,拉加罗维利亚
Mojácar,莫哈卡尔
Castro Urdiales,卡斯特罗-乌尔迪亚莱斯
Cirauqui,锡劳基
Lepe,莱佩
Almendral de la Cañada,阿尔门德拉尔德拉卡尼亚达
Rally Dakar de 2004,2004年達喀爾拉力賽
Anfiteatro de Itálica,意大利迦罗马圆形剧场
Alhama de Granada,格拉纳达省阿拉马
moriscos,摩里斯科人
Pico Aneto,阿内托峰
Sanlúcar de Barrameda,桑卢卡尔-德巴拉梅达
Llanes,利亚内斯
Campeonato Europeo de Atletismo de 2010,2010年歐洲田徑錦標賽
Alcalá de Guadaíra,瓜代拉堡
Real Federación Española de Fútbol,西班牙皇家足球協會
Barbastro,巴尔瓦斯特罗
Casa Amatller,阿马特耶之家
Alcalá del Obispo,阿尔卡拉德洛维斯波
Primera División de España 2011/12,2011年至2012年西班牙足球甲級聯賽
León,莱昂
El Bruc,埃尔夫鲁克
Cabrera de Igualada,卡夫雷拉迪瓜拉达
Guadalmez,瓜达尔梅斯
Padrón,帕德龙
Juegos Mediterráneos de 2018,2018年地中海运动会
Batalla de Gerona (1808),第一次赫罗纳之战
Mulhacén,穆拉森山
Lonja de la Seda,巴倫西亞絲綢交易所
Bot,博特
Pedrosa del Príncipe,佩德罗萨德尔普林西佩
Arrecife,阿雷西费
Meñaca,梅尼亚卡
Carme,卡尔梅
Castellfollit de Riubregós,卡斯特利福利特德留夫雷戈斯
Estadio Vicente Calderón,比森特·卡尔德隆球场
Puente Genil,蓬特赫尼尔
Bronchales,布龙查莱斯
Aeropuerto de Jerez,赫雷斯機場
Línea de alta velocidad Perpiñán-Figueras,佩皮尼昂－菲格雷斯高速铁路
Monterrubio de la Serena,蒙特鲁维奥德拉塞雷纳
Capellades,卡佩利亚德斯
Calaf,卡拉夫
Calonge de Segarra,卡隆赫德塞加拉
Ódena,奥德纳
Orpí,奥尔皮
Cordillera Cantábrica,坎塔布里亚山脉
Onil,奥尼尔
Valdastillas,巴尔达斯蒂利亚斯
Palacios de Riopisuerga,帕拉西奥斯德里奥皮苏埃尔加
Torija,托里哈
Casa Milá,米拉之家
Diario 16,十六報
Villasdardo,比利亚斯达尔多
Igualada,伊瓜拉达
Els Hostalets de Pierola,埃尔斯奥斯塔莱特斯德彼罗拉
Rota,罗塔
Vallada,巴利亚达
Echevarría,埃切瓦里亚
Las Meninas,宮女
Arceniega,阿尔塞涅加
Puig Major,馬佐爾峰
Torneo Conde de Godó 2012,2012年巴塞罗那网球公开赛
Primera División de España 2009/10,2009年至2010年西班牙足球甲級聯賽
Masquefa,马斯克法
Montmaneu,蒙特马内乌
San Quintín de Mediona,圣金廷-德梅迪奥纳
Anexo:Balonmano en los Juegos Olímpicos de Barcelona 1992,1992年夏季奧林匹克運動會手球比賽
Alcázar de los Reyes Cristianos,基督教君主城堡
Premios Goya,哥雅獎
pelota vasca,壁網球
Piera,彼拉
La Pobla de Claramunt,拉波夫拉德克拉拉蒙特
Casla,卡斯拉
Baños de la Encina,巴尼奥斯德莱恩西纳
Parque de Atracciones de Madrid,马德里游乐园
Jorba,霍尔瓦
La Llacuna,拉利亚库纳
Vueling Airlines,伏林航空
Navalvillar de Pela,纳瓦尔维利亚尔德佩拉
Teatro Real,馬德里皇家歌劇院
Madinat Al-Zahra,扎赫拉古城
Villena,比列纳
Ducado de Abrantes,阿布蘭特什公爵
Ducado de Montblanch,蒙特夫蘭克公爵
Merindad de Valdeporres,梅林达德瓦尔德波雷斯
Batasuna,巴斯克独立党
Batalla de Cabezón,卡韦松之战
Selección de baloncesto de España,西班牙国家男子篮球队
Tribaldos,特里瓦尔多斯
Santa María del Arroyo,圣马里亚德拉罗约
Legión Española,西班牙外籍兵團
Basconcillos del Tozo,巴斯孔西略斯德尔托索
Frúniz,弗鲁尼斯
Loporzano,洛波尔萨诺
Estación de Barceloneta,巴塞隆尼塔站
Park Güell,桂尔公园
Vallbona,巴利沃纳达诺亚
Santa María de Miralles,圣马里亚德米拉列斯
Torre de Claramunt,拉托雷德克拉拉蒙特
Parrillas,帕里利亚斯
Torralba de Oropesa,托拉尔瓦德奥罗佩萨
Urkulu,乌尔库卢山
Motril,莫特里尔
Gallegos del Río,加列戈斯德尔里奥
Espinosa de los Monteros,埃斯皮诺萨德洛斯蒙特罗斯
Palacio Episcopal de Astorga,阿斯托加主教宫
El Losar del Barco,埃略萨尔德尔瓦尔科
Melque de Cercos,梅尔克德塞尔科斯
La Bisbal de Falset,拉维斯瓦尔德法尔塞特
Arguineguín,阿尔基内金
Segunda División de España 1999/2000,1999年至2000年西班牙足球乙级联赛
Alconada de Maderuelo,阿尔科纳达德马德鲁埃洛
Vicálvaro,比卡爾巴羅區
Hospital de la Santa Cruz y San Pablo,圣十字圣保罗医院
Autopista AP-61,AP-61高速公路（西班牙）
Vilarrodona,比拉-罗多纳
Novelda Clibros de Fútbol,諾維達
Foncea,丰塞亚
Lucena,卢塞纳
Puente Romano,羅馬橋 (梅里達)
Maestrazgo,美斯特拉格
Estación de Aeroport T1,機場1號航廈站
Cuatro Torres Business Area,四大樓商業區
Alberche,阿爾韋奇河
Tiétar,鐵塔爾河
Alagón,阿拉貢河
La Carolina,拉卡罗利纳
Catedral de Santa Cruz de Cádiz,加的斯主教座堂
El Granado,埃尔格拉纳多
Torre PwC,普華永道大廈
Arzúa,阿尔苏阿
Gran Premio de Europa de Motociclismo,歐洲大獎賽
Solsona,索尔索纳
Central nuclear de Vandellós,班德略斯核电站
Serie 104 de Renfe,西班牙國鐵104型電聯車
San Martín de Tous,桑特马尔蒂德托斯
cetrería,鷹匠
Vilaseca,比拉-塞卡
Masoteras,马索特雷斯
Rubió,鲁维奥
San Martín Sasgayolas,桑特马尔蒂塞斯盖奥莱斯
franquismo,佛朗哥时期
Millanes,米利亚内斯
Universidad de Barcelona,巴塞罗那大学
Ibieca,伊维耶卡
Aísa,艾萨
Tour de Francia 2009,2009年環法自由車賽
Veciana,贝西亚纳
Vilanova del Camí,比拉诺瓦德尔卡米
Valgañón,巴尔加尼翁
Autovía del Suroccidente asturiano,阿斯图里亚斯西南高速公路（西班牙）
Pico Cilindro,锡林德罗峰
Agrupación Deportiva Cerro de Reyes Badajoz Atlético,塞罗雷耶斯
Atentados del 11 de marzo de 2004,馬德里三一一連環爆炸案
Costa del Sol,太阳海岸
Prats del Rey,埃尔斯普拉特斯德雷
Pujalt,普哈尔特
Bufali,布法利
Costa Brava,布拉瓦海岸
Ayelo de Malferit,阿耶洛-德马尔费里特
Alaminos,阿拉米诺斯
Club Deportivo Tenerife,特內里費足球俱樂部
Santiago de Alcántara,桑蒂亚戈德亚尔坎塔拉
Morcín,莫尔辛
Peralejos,佩拉莱霍斯
La Restinga (El Hierro),拉雷斯廷加
Club de Fútbol Villanovense,比利亚诺文塞足球俱乐部
Socovos,索科沃斯
Segunda División de España 2004/05,2004年至2005年西班牙足球乙级联赛
Premio Internacional Cataluña,加泰罗尼亚国际奖
Guadarrama,瓜达拉马河
Jarama,哈拉馬河
golpe de Estado en España de 1981,1981年西班牙未遂政变
Monte Perdido,佩尔迪多山
Inmigración en España,西班牙的移民
Las Rozas de Madrid,拉斯罗萨斯德马德里德
Manzanares,曼薩納雷斯河
Salavinera,桑特佩雷萨利亚维内拉
Santa Margarida de Montbui,圣马尔加里达德蒙特维
Tajuña,塔胡尼亞河
río Henares,埃納雷斯河
Lozoya,洛索亞河
Tubilla del Agua,图维利亚德拉瓜
Telescopio Nazionale Galileo,伽利略望遠鏡
Jerez,雪利酒
Balsareny,巴尔萨雷尼
Calders,卡尔德尔斯
Cañizal,卡尼萨尔
Capsanes,卡普斯萨内斯
La 2,La 2頻道
batalla de Las Navas de Tolosa,拉斯納瓦斯德托洛薩戰役
Manzanera,曼萨内拉
Universidad Complutense de Madrid,马德里康普顿斯大学
Boadilla del Camino,博阿迪利亚德尔卡米诺
Almonte,阿爾蒙特河
Aguilar de Segarra,阿吉拉尔德塞加拉
Torralba del Río,滨河托拉尔瓦
Incio,奥因西奥
El Buste,埃尔武斯特
Edificio España,西班牙大廈
Coca,科卡
Junta Suprema Central,最高中央委员会
Arbeteta,阿尔韦特塔
Gran Premio de España de 1991,1991年西班牙大獎賽
Moclín,莫克林
Poveda de la Sierra,波韦达德拉谢拉
Estudio General de Palencia,帕伦西亚大学
Ribadesella,里瓦德塞利亚
Aldealengua,阿尔德亚伦瓜
Montefrío,蒙特夫里奥
Gran Premio de Europa de 2011,2011年欧洲大奖赛
Cercanías Murcia/Alicante,穆爾西亞與阿利坎特近郊鐵路
Segunda División de España 2002/03,2002年至2003年西班牙足球乙级联赛
Serie 114 de Renfe,西班牙國鐵114型電聯車
Gran Premio de Europa de 1994,1994年歐洲大獎賽
Gran Premio de Europa de 1997,1997年歐洲大獎賽
Torrevieja,托雷维耶哈
Alquiza,阿尔基萨
Villaluenga del Rosario,比利亚伦加德尔罗萨里奥
Aeropuerto de Menorca,馬翁
Aeropuerto de Melilla,梅利利亚机场
Tratado de los Pirineos,比利牛斯條約
Búger,布赫尔
Lloréns,略伦斯斯德尔佩内德斯
Castellbell y Vilar,卡斯特利韦列尔维拉尔
Castellfullit del Boix,卡斯特利福利特德尔沃伊斯
Manresa,曼雷萨
oveja merina,美利奴羊
Portezuelo,波特苏埃洛
Marganell,马尔加内利
Záncara,桑卡拉河
Moyá,莫亚
Gayá,加亚
Puertollano,普埃尔托利亚诺
Cortes Generales,西班牙國會
Gran Premio de España de 1954,1954年西班牙大奖赛
Unión Deportiva Vecindario,贝辛达里奥足球俱乐部
Fuencarral-El Pardo,丰卡拉尔-埃尔帕尔多区
Montejícar,蒙特希卡尔
Zoológico de Barcelona,巴塞罗那动物园
Utebo,乌特沃
RCD Espanyol (fútbol femenino),皇家西班牙人女子體育俱樂部
Rute,鲁特
Castrillón,卡斯特里利翁
San Martín de Valderaduey,圣马尔廷德瓦尔德拉杜埃
Fuerzas Aéreas de la República Española,西班牙共和国空军
Tour de Francia 1966,1966年環法自由車賽
La Calzada de Béjar,拉卡尔萨达德韦哈尔
Aeropuerto de Palma de Mallorca,马略卡岛帕尔马机场
Sierra de Alcaraz,阿爾卡拉斯山脈
San Martín Sarroca,桑特马尔蒂萨罗卡
Navas de Jorquera,纳瓦斯德霍尔克拉
Cangas de Onís,坎加斯德奥尼斯
Blancafort,布兰卡福尔特
Estadio Nuevo Colombino,哥倫賓奴球場
Membrillera,门夫里列拉
Bandera de Canarias,加那利群島旗幟
Navas del Madroño,纳瓦斯德尔马德罗尼奥
La Vanguardia,先鋒報
Cañamaque,卡尼亚马克
Primera División de España 1943/44,1943年至1944年西班牙足球甲级联赛
Tour de Francia 1992,1992年環法自由車賽
Deportivo Alavés,阿拉维斯竞技俱乐部
Primera División de España 1997/98,1997年至1998年西班牙足球甲级联赛
Primera División de España 1930/31,1930年至1931年西班牙足球甲级联赛
San Sebastián de La Gomera,圣塞瓦斯蒂安-德拉戈梅拉
Becedas,贝塞达斯
Corvera de Asturias,科尔韦拉德阿斯图里亚斯
El Bosque,埃尔沃斯克
Anexo:Campeonato Europeo Sub-16 de la UEFA 1999,1999年歐洲U-16足球錦標賽
Nerpio,内尔皮奥
Consejero Primero del Gobierno de Cataluña,加泰罗尼亚总理
Biota,比奥塔
Cigüela,锡圭拉河
Nogal de las Huertas,诺加尔德拉斯韦尔塔斯
Becerril de la Sierra,贝塞里尔德拉谢拉
Catedral de la Asunción de El Burgo de Osma,布爾戈德奧斯馬主教座堂
Rabanera del Pinar,拉瓦内拉德尔皮纳尔
Castellgalí,卡斯特利加利
Castellnou de Bages,卡斯特利诺德瓦赫斯
L'Estany,莱斯塔尼
Fonollosa,福诺略萨
Tour de Francia 2005,2005年環法自由車賽
Segunda División de España 1976/77,1976年至1977年西班牙足球乙级联赛
Magaña,马加尼亚
río Guadalupe,瓜達盧佩河
Zújar,素哈爾河
Monistrol de Calders,莫尼斯特罗尔德卡尔德尔斯
Monistrol de Montserrat,莫尼斯特罗尔-德蒙塞拉特
Gran Premio de España de 1999,1999年西班牙大獎賽
Metrovalencia,瓦倫西亞軌道交通
Tarifa,塔里法
Callús,卡柳斯
Cardona,卡尔多纳
Gran Premio de España de 1998,1998年西班牙大獎賽
Ossa de Montiel,奥萨德蒙铁尔
Villalpardo,比利亚尔帕尔多
Vuelta a España 1962,1962年環西自行車賽
Hinojosa del Duque,伊诺霍萨德尔杜克
Sopelana,索佩拉纳
Ansoáin,安索艾恩
Gran Premio de España de 2007,2007年西班牙大奖赛
Primera División de España 1960/61,1960年至1961年西班牙足球甲级联赛
Ceberio,塞韦里奥
Casas del Puerto,卡萨斯德尔普埃尔托德维利亚托罗
Grañén,格拉年
Ariañy,阿里亚尼
España en el Festival de la Canción de Eurovisión Junior,西班牙在歐洲青少年歌唱大賽之歷年表現
Comarca del Eume,欧梅县
Accidente de Los Rodeos,特內里費空難
Chiprana,奇普拉纳
Valverde de los Arroyos,巴尔韦尔德德洛萨罗约斯
Gran Premio de España de 2011,2011年西班牙大奖赛
Gran Premio de España de 1994,1994年西班牙大獎賽
Gran Premio de España de 1996,1996年西班牙大獎賽
Avinyó,阿维尼奥
Gran Premio de España de 1995,1995年西班牙大獎賽
Cabezón de la Sal,卡韦松德拉萨尔
Gran Premio de España de 1993,1993年西班牙大獎賽
Morelábor,莫雷拉沃尔
Segunda División de España 1972/73,1972年至1973年西班牙足球乙级联赛
Monterrubio de la Sierra,蒙特鲁维奥德拉谢拉
Buendía,本迪亚
Santa Olalla,圣奥拉利亚
Artés,阿尔特斯
Arenzana de Arriba,阿伦萨纳德亚里瓦
Campillos-Sierra,坎皮略斯-谢拉
Montillana,蒙蒂利亚纳
Navás,纳瓦斯
El Pont de Vilomara i Rocafort,埃尔蓬特德维洛马赖罗卡福尔特
Murtas,穆尔塔斯
Gran Premio de España de 1992,1992年西班牙大獎賽
Guardiola,桑特萨尔瓦多尔德瓜尔迪奥拉
San Juan de Torruella,桑特霍安德维拉托拉达
San Mateo de Bages,桑特马特乌德瓦赫斯
Sant Feliu Sasserra,圣费利乌萨塞拉
San Fructuoso de Bages,桑特夫鲁伊托斯德瓦赫斯
Monachil,莫纳奇尔
distribución geográfica del idioma español,西班牙語地理分佈
línea 6 del Metro de Madrid,馬德里地鐵6號線
Tierzo,铁尔索
Gran Premio de España de 1990,1990年西班牙大獎賽
Requejo,雷克霍
Villar de Barrio,比拉尔德瓦里奥
Cazurra,卡苏拉
Navarcles,纳瓦尔克莱斯
Santa Úrsula,圣乌尔苏拉
Rajadell,拉哈德利
Sallent de Llobregat,萨连特
Mura,穆拉
Copa Intercontinental 2000,2000年洲际杯足球赛
Arico,阿里科
Mas de Barberáns,马斯德瓦尔韦兰斯
Itálica,意大利迦
Final de la Copa de Campeones de Europa 1956-57,1957年欧洲冠军杯决赛
Orduña,奥尔杜尼亚
Caravaca de la Cruz,卡拉瓦卡德拉克鲁斯
Ejulve,埃胡尔韦
Mugía,穆希亚
Zuya,苏亚
Zumaya,苏马亚
Cobeña,科韦尼亚
Gemuño,赫穆尼奥
Zuheros,苏埃罗斯
Ondárroa,翁达罗阿
Zubizuri,祖毕祖里桥
Zufre,苏夫雷
Sociedad Deportiva Amorebieta,阿莫雷維耶塔足球會
Villargordo del Cabriel,比利亚尔戈尔多德尔卡夫列尔
Teatro Campos Elíseos,香榭丽舍剧院 (毕尔巴鄂)
Sitio de Ciudad Rodrigo (1810),羅德里戈城圍城戰
Castuera,卡斯图埃拉
Gran Premio de España de 2001,2001年西班牙大獎賽
Gran Premio de España de 2002,2002年西班牙大奖赛
Gran Premio de España de 2003,2003年西班牙大奖赛
Vierlas,别尔拉斯
Pozorrubielos de la Mancha,波索鲁维耶洛斯德拉曼查
Catedral de Santa Eulalia de Barcelona,巴塞罗那主教座堂
Puebla de Segur,拉波夫拉德塞古尔
Gran Premio de España de 2005,2005年西班牙大奖赛
Gran Premio de España de 2006,2006年西班牙大奖赛
San Vicente de Castellet,圣维森特-德卡斯特列特
Santa Maria d'Oló,圣马里亚多洛
Catedral de Santa María de Teruel,特魯埃爾主教座堂
La Puebla de Valverde,拉普埃夫拉德瓦尔韦尔德
Sampedor,桑特佩多尔
Suria,苏里亚
Club Polideportivo Ejido,埃希多体育
Cazorla,卡索尔拉
Gallipienzo,加利皮恩索
Curiel de Duero,库列尔德杜埃罗
Puertas,普埃尔塔斯
Motilleja,莫蒂列哈
Montealegre del Castillo,蒙特亚莱格雷德尔卡斯蒂略
La Oliva,拉奥利瓦
Guadaíra,瓜代拉河
Ababuj,阿瓦武赫
Orden de Alcántara,阿尔坎塔拉勋章
Anexo:Atletismo en los Juegos Olímpicos de Barcelona 1992,1992年夏季奧林匹克運動會田徑比賽
Pájara,帕哈拉
Mendata,门达塔
Gran Premio de la Comunidad Valenciana 2010,瓦倫西亞
Adiós,阿迪奥斯
