Kazimierz III Wielki,卡齐米日三世
Włodzimierz Zawadzki,沃齐米日·扎瓦兹基
Artur Rubinstein,阿图尔·鲁宾斯坦
Karol Joseph Bobko,卡罗尔·鲍勃科
Jerzy Rybicki,耶日·雷比茨基
Filip Friedman,菲利普·弗里德曼
Konrad Niedźwiedzki,康拉德·涅季维兹基
Harald Konopka,哈拉德·科诺普卡
Stanisław Zając,查庸茨
Bartosz Jurecki,巴尔托什·尤雷茨基
Kazimierz Bartel,卡齊米日·巴爾特教授
Łeonid Krawczuk,列昂尼德·克拉夫丘克
Danuta Dmowska-Andrzejuk,达努塔·德莫夫斯卡
Marek Chodakiewicz,马雷克·扬·霍达基耶维茨
Krzysztof Komeda,克日什托夫·科梅达
Tadeusz Kasprzycki,塔德乌什·马科夫斯基
Grzegorz Kosok,格雷澤戈爾茨·科索克
Leon Kruczkowski,莱昂·克鲁奇科夫斯基
René Leibowitz,雷内·莱博维兹
Tomasz Radzinski,托马斯·拉津斯基
Anna Grodzka,安娜·格萝兹卡
Jerzy Kulej,耶日·库莱伊
Leonard Buczkowski,伦纳德·布奇科夫斯基
Maurycy Gottlieb,毛里希·戈特利布
Andrzej Jakimowski,安杰伊·亚基莫夫斯基
Alicja Bachleda-Curuś,艾丽卡·巴赫蕾达
Basia,Basia
Grzegorz Rasiak,格热戈日·拉夏克
Piotr Sztompka,彼得·什托姆普卡
Radosław Wojtaszek,拉多斯瓦夫·沃伊塔泽克
Krzysztof Urbanski,克里斯托弗·乌尔班斯基
Nazım Hikmet,納欣·希克美
Stanisław Haller,斯坦尼斯瓦夫·哈勒
Wacław Niżyński,瓦斯拉夫·弗米契·尼金斯基
Wojciech Szczęsny,沃伊切赫·什琴斯尼
Zenon Grocholewski,高澤農
Zenon Licznerski,泽农·利奇内尔斯基
Józef Dowbor-Muśnicki,约瑟夫·多夫波尔－穆斯尼茨基
Sławomir Nowak,萨拉沃米尔·诺瓦克
Zenon Jaskuła,泽农·亚斯库瓦
Jan Józef Lipski,扬·约瑟夫·利普斯基
Katarzyna Figura,卡塔芝娜·費古拉
Barbara Janiszewska,芭尔芭拉·索博塔
Marika Domińczyk,马里卡·多米泽克
Stanisław Szozda,斯坦尼斯瓦夫·绍兹达
Bolesław III Rozrzutny,波列斯瓦夫三世 (西里西亞)
Stanisław Mazur,斯坦尼斯瓦夫·馬祖爾
Janina Korowicka,贾尼娜·科罗奇卡
Tadeusz Mytnik,塔德乌什·梅特尼克
Wojciech Bartnik,沃伊切赫·巴尔特尼克
Grzegorz Ryś,額我略·雷斯
Dariusz Wosz,达柳什·沃什
Itzhak Stern,伊萨克·斯特恩
Edmund Casimir Szoka,埃德蒙·斯佐卡
Tadeusz Estreicher,塔德乌什·埃斯特莱赫
Kinga Preis,金嘉·普雷斯
Jerzy Jeszke,耶日·杰克
Kaja Paschalska,卡哈·帕沙尔斯卡
Łukasz Moreń,卢卡斯·莫伦
Ignacy Jan Paderewski,伊格纳奇·扬·帕德雷夫斯基
Jerzy Dudek,耶日·杜德克
Piotr Sobociński,彼得·索博欽斯基
Małgorzata Zajączkowska,玛乌戈热塔·扎永奇科夫斯卡
Wiktor Ormicki,维克多·奥尔米斯基
Marian Krzaklewski,馬利安·克薩克萊夫斯
Ewelina Lisowska,埃琳娜·利索斯卡
Dariusz Michalczewski,达里乌兹·米切尔泽维斯基
Bob Kurland,鲍勃·库兰
Jonas Boruta,若望·博魯塔
Krzysztof Putra,克日什托夫·普特拉
Krzysztof Meyer,克日什托夫·梅耶
Joanna Fiodorow,乔安娜·费奥多罗
Tadeusz Dembończyk,塔德乌什·德姆邦奇克
Stefan Mazurkiewicz,斯特凡·馬祖爾凱維奇
Christopher Ferguson,克里斯托弗·弗格森
Stefan Liv,斯特凡·利夫
Julian Klaczko,尤利安·克拉茨科
Tadeusz Ślusarski,塔德乌什·希卢萨尔斯基
Józef Szmidt,約瑟夫·施密特
Jacek Malczewski,贾塞克·马尔泽夫斯基
Menachem Sawidor,梅纳赫姆·萨维都
Jakub Wujek,波蘭語版聖經（全譯本）
Przemysław Wacha,普熱梅斯瓦夫·瓦查
Dan Marino,丹·馬里諾
Janusz Kupcewicz,雅努什·库普切维奇
Kazimierz Kutz,卡其米尔茨·库茨
Alex Czerniatynski,亚历山大·切尔尼亚滕斯基
Artur Partyka,阿图尔·帕尔蒂卡
Roman Sikorski,羅曼·西葛斯基
Richard Pipes,理查德·派普斯
Bruno Rodzik,布鲁诺·罗兹克
Bruno Winawer,布鲁诺·威纳维尔
Josef František,约瑟夫·弗朗蒂谢克
Sebastian Mila,塞巴斯蒂安·米拉
Maja Ostaszewska,玛雅·奥丝塔泽斯卡
Roman Opałka,罗曼·奥帕乌卡
Tomasz Frankowski,托马什·弗兰库斯基
Krzysztof Lisek,李斯克
Joanna Chmielewska,乔安娜·奇米勒斯卡
Bartosz Konopka,巴托斯·科诺普卡
Jacek Wszoła,亚采克·弗绍瓦
Rafał Blechacz,拉法爾·布雷查茲
Eligiusz Niewiadomski,埃利尤什·涅维亚多姆斯基
Tomasz Siemoniak,托马什·谢莫尼亚克
Jan Furtok,扬·福托克
Kazimierz Barburski,卡齐米日·巴尔布尔斯基
Władysław Pasikowski,瓦迪斯瓦夫·帕西科夫斯基
Karolina Gruszka,卡罗利娜·格鲁什卡
Andrzej Gołota,安德鲁·格洛塔
Eva Rubinstein,E. 鲁宾斯坦
Adam Małysz,亚当·马维什
Artur Boruc,阿尔图尔·博鲁茨
Wojciech Szkudlarczyk,沃伊切赫·苏库德拉尔塞克
Nechama Tec,尼查马·泰克
Marcin Lijewski,马尔钦·利耶夫斯基
Jan Lenica,尚·连尼卡
Sebastian Tyrała,塞巴斯蒂安·泰拉拉
Witold Urbanowicz,維克托莉亞·烏爾班諾維茨
Alfred Tarski,阿尔弗雷德·塔斯基
Emil Młynarski,埃米尔·姆维纳尔斯基
Piotr Trzaskalski,彼德·恰斯卡尔斯基
Leon Sperling,莱昂·斯佩林
Damien Perquis,達米恩·佩爾基
Władysław Komar,瓦迪斯瓦夫·科马尔
Bronisław Huberman,布罗尼斯瓦夫·胡伯曼
Dorota Rabczewska,多罗塔·拉布切夫斯卡
Wanda Wiłkomirska,万达·维乌科米尔斯卡
Tadeusz Brzeziński,塔德乌什·布热津斯基
Konrad II Garbaty,薩根公爵康拉德二世
Grzegorz Mielcarski,格热戈日·梅尔察尔斯基
Agnieszka Radwańska,阿格涅什卡·拉德萬斯卡
Mariusz Jurasik,马里乌什·尤拉西克
Kazimiera Utrata,卡濟梅拉·烏特拉塔
Ludwik Silberstein,盧迪威格·席柏斯坦
Beata Poźniak,贝娅塔·波兹尼亚克
Monika Michalik,莫妮卡·米查利克
Cezary Skubiszewski,塞薩里·斯庫比斯夫斯基
Cezary Tobollik,塞萨里·托伯里克
Jan Zachwatowicz,扬·扎赫瓦托维奇
Katarzyna Pawłowska,凯瑟琳·帕弗沃夫斯卡
Maria Ossowska,玛丽亚·奥索夫斯卡
Jan Karski,扬·卡尔斯基
Adam Zamoyski,亚当·扎莫伊斯基
Kornel Makuszyński,科内尔·马库申斯基
Bogdan Golik,波格丹·高力克
Lucjan Malinowski,盧茨揚·馬凌諾斯基
Marek Galiński,馬雷克·加林斯基
Joachim Halupczok,约阿希姆·哈卢普乔克
Józef Pankiewicz,約澤夫·潘基奇斯
Leopold Zborowski,利奧波德·茲博羅夫斯基
Katarzyna Stankiewicz,卡西亚·斯坦基维奇
Sylwia Bogacka,瑟尔维亚·博加茨卡
Kazimierz Fajans,卡齐米日·法扬斯
Teofil Kwiatkowski,泰奥菲尔·奇亚科夫斯基
Jarosław opolski,奧波萊公爵雅羅斯拉夫
Ludwika Paleta,卢德威卡·帕莱塔
Waldemar Krzystek,瓦尔德马·克日斯泰克
Dora Diamant,多拉·迪亚曼特
Chris Pozniak,克里斯·波兹尼亚克
Beata Kozidrak,贝娅塔·科齐德雷克
Łukasz Piątek,卢卡斯·皮昂特克
Pinchas Lawon,平哈斯·拉冯
Krzysztof Skubiszewski,克里斯托夫·斯庫比薛斯基
Henryk Trębicki,亨里克·特伦比茨基
Chamique Holdsclaw,沙米克·霍尔兹克劳
Charles Denner,查尔斯·丹纳
Jacek Dukaj,傑西克·杜卡
Olga Sosnovska,歐嘉·宋思諾芙絲卡
Wanda Szmielew,汪達·斯米勒夫
Steve Bartkowski,史蒂夫·巴特考斯基
Marian Szeja,马里安·谢亚
Wojciech Siemion,沃伊切赫·西米恩
Maya Mishalska,玛雅·米沙尔斯卡
Helena Rasiowa,海倫娜·羅修娃
Zofia Kossak-Szczucka,佐菲亚·科萨科-什丘斯卡
Henrikas Žukauskas,亨利卡斯·茹卡烏斯卡斯
Arkadiusz Skrzypaszek,阿尔卡迪乌什·斯克日帕谢克
Marek Dopierała,马雷克·多皮耶拉瓦
Mateusz Klich,馬特烏什·克利希
Olga Konon,奥尔佳·科农
Jadwiga Barańska,雅德維佳·巴蘭斯卡
Maria Kuncewiczowa,M. 昆采维措娃
Marek Łbik,马雷克·乌比克
Paweł Baraszkiewicz,帕维乌·巴拉什凯维奇
Adam Seroczyński,亚当·塞罗琴斯基
Beata Sokołowska-Kulesza,贝娅塔·索科沃夫斯卡-库莱沙
Paweł Piwko,帕维乌·皮夫科
Marcin Wichary,马尔钦·维哈里
Patryk Kuchczyński,帕特里克·库赫琴斯基
Piotr Wyszomirski,彼得·维绍米尔斯基
Józef Maria Bocheński,約瑟夫·瑪麗亞·伯亨斯基
Moriz Rosenthal,莫里兹·罗森塔尔
Rudolf von Scheliha,魯道夫·馮·舍利亞
Fryderyk Jagiellończyk,腓特烈·雅蓋隆
Shmuel Noah Eisenstadt,舒默凱·諾亞·艾森思塔特
Stanislaus Kobierski,斯坦尼斯劳斯·科别尔斯基
Konstanty Ildefons Gałczyński,康斯坦蒂·伊尔德方斯·高琴斯基
Przemysław Miarczyński,普瑟明茲洛·米拉辛斯基
Abraham Joshua Heschel,亞伯拉罕·約書亞·赫舍爾
Wojciech Jerzy Has,沃伊切赫·哈斯
Czesław Kiszczak,切斯瓦夫·基什恰克
Oskar Lange,奥斯卡·R·兰格
Zofia Kielan-Jaworowska,索非亚·凯兰·加沃罗斯卡
Maria Kaczyńska,玛丽亚·卡钦斯卡
Felix Nussbaum,菲利克斯·努斯鲍姆
Andrzej Wróblewski,安杰伊·弗鲁布列夫斯基
Andrzej Udalski,安傑依·烏戴斯基
Nadieżda Zięba,娜蒂斯达·希尔巴
Tomasz Smolarz,斯摩拉兹
Ignacy Skorupka,斯科鲁普卡
Andrzej Lis,安杰伊·利斯
Irena Opdyke,伊莲娜·古特
Hilary Minc,希拉里·明克
Mateusz Jachlewski,马特乌什·亚赫莱夫斯基
Chaïm Perelman,查姆·佩雷尔曼
Ignacy Feliks Dobrzyński,伊格纳齐·费利克斯·多布任斯基
Kacper Kozłowski,卡帕·科茲洛夫斯基
Leopold Staff,利奥波德·斯塔夫
Wilhelm Kurtz,威廉·庫爾茨
Ryszard Kapuściński,雷沙德·卡普钦斯基
Hubert Taczanowski,休伯特·塔恰諾夫斯基
Krzysztof Zaleski,克日什托夫·扎列斯基
Aleksander Kłak,亚历山大·克瓦克
Andrzej Kazimierz Potocki,安杰伊·卡杰米日·波托茨基
Filip Peliwo,菲利普·佩里沃
Sergiusz Wołczaniecki,塞尔吉乌什·沃乌恰涅茨基
Bogusław Zych,博古斯瓦夫·齐赫
Mieszko cieszyński,切申公爵梅什科一世
Kazimierz I cieszyński,卡齊米日一世 (切申公爵)
Marcin Borski,馬爾欽·博斯基
Stefan Rowecki,斯特凡·罗维茨基
Zofia Nałkowska,佐菲亚·纳夫科夫斯卡
Manfred Lachs,曼弗雷德·拉克斯
Krzysztof Zwoliński,克日什托夫·兹沃林斯基
Irena Szewińska,伊雷娜·謝溫斯卡
Alfred Józef Potocki,阿爾弗雷德·約瑟夫·波託基
Tamara Łempicka,塔瑪拉·德·藍碧嘉
Li Qian,李倩
Grażyna Wolszczak,格拉齐娜·扎波罗夫斯卡
Joseph Rotblat,约瑟夫·罗特布拉特
Curtis Tomasevicz,柯蒂斯·托马塞维奇
Hugo Steinhaus,胡戈·施泰因豪斯
Ludwik Krzywicki,卢德维克·克日维茨基
Stanisław Redens,斯坦尼斯拉夫·弗兰特斯维奇·雷登斯
Wojciech Żurek,沃傑克·祖瑞克
Franciszek Gągor,弗朗齐歇克·贡戈尔
Artur Sobiech,阿圖爾·索別赫
Artur Żmijewski,亚特·祖米卓斯基
Czesław Młot-Fijałkowski,切斯瓦夫·姆沃特-菲亚乌科夫斯基
Celina Jesionowska,采莉纳·耶肖诺夫斯卡
Elżbieta Bieńkowska,艾姿琵塔·比恩寇斯卡
Jarosław Gowin,贾罗斯瓦夫·戈温
Lidia Kopania,莉迪亞·科帕尼亞
Marta Domachowska,杜馬查思嘉
Grażyna Bacewicz,格拉奇娜·巴切维茨
Agnieszka Holland,阿格涅絲卡·霍蘭
Rafał Szukała,拉法乌·舒卡瓦
Zbigniew Skrudlik,兹比格涅夫·斯克鲁德利克
Zygmunt Pawlas,齐格蒙特·帕夫拉斯
Adam Lisewski,亚当·利塞夫斯基
Mariusz Strzałka,马里乌什·斯恰乌卡
Czesław Niemen,切斯瓦夫·涅门
Kazimierz Fabrycy,卡西米爾茲·法布雷西
Oswald Balzer,奧斯瓦爾德·巴爾澤
Piotr Jabłkowski,彼得·雅布乌科夫斯基
Adolf Rosner,埃迪·罗斯纳
Piotr Markiewicz,彼得·马尔凯维奇
Pola Negri,波拉·内格里
Wiesław Mering,維斯瓦夫·梅林
Izabella Scorupco,依莎貝拉·絲科魯波
Emil Ochyra,埃米尔·奥黑拉
Michał Butkiewicz,米哈乌·布特凯维奇
Henryk Nielaba,亨里克·涅拉巴
Audrys Juozas Bačkis,奧德里斯·尤奧扎斯·巴契基斯
Joanna Sulej,乔安娜·苏勒杰
Izabela Trojanowska,艾萨贝拉·特罗亚诺斯卡
Barbara Wysoczańska,芭尔芭拉·维索钱斯卡
Ernst Stavro Blofeld,恩斯特·斯塔夫羅·布洛費德
Roman Palester,罗曼·帕莱斯特
Janusz Zakrzeński,雅努兹·扎克岑斯基
Tara Lipinski,塔拉·利平斯基
Erich Juskowiak,埃里希·尤斯科维亚克
Abraham Stern,亚伯拉罕·斯特恩
Aleksandra Socha,亞歷山德拉·索哈
Julian Marchlewski,尤利安·马尔赫莱夫斯基
Adam Wójcik,亞當·沃奇克
Damian Janikowski,达米扬·雅尼科夫斯基
Bronisława Niżyńska,布罗尼斯拉瓦·尼金斯卡
Anja Rubik,安嘉·魯貝克
Maryla Rodowicz,瑪莉萊‧羅多維次
Leon Niemczyk,萊昂·尼姆奇克
Miron Białoszewski,米龙·比亚沃谢夫斯基
Elisabeth Jerichau-Baumann,伊麗莎白·傑里紹-鮑曼
Anna Rogowska,安娜·罗戈夫斯卡
Dawid Przepiórka,大卫·普谢皮乌卡
Kamila Skolimowska,卡米拉·斯克利莫夫斯卡
Edyta Górniak,耶荻塔·葛米亞克
Martha Stewart,瑪莎·海倫·史都華
Józef Pińkowski,约瑟夫·平科夫斯基
Wanda Rutkiewicz,汪達・盧切維奇
Tadeusz Boy-Żeleński,塔德乌什·波伊-热伦斯基
Henryk Zygalski,亨里克·佐加尔斯基
Alice Miller,愛麗絲·米勒
Urszula Radwańska,厄蘇拉·拉德萬斯卡
Magdalena Tul,玛格达莉娜·图尔
Paul Freier,保罗·弗赖尔
Ignacy Friedman,伊格納茲·弗里德曼
Daniel Olbrychski,丹尼爾·歐布利斯基
Dagmara Wozniak,達格瑪拉·沃茲尼亞克
Lech Ordon,萊希·奧登
Torben Piechnik,杜賓·派尼克
Tadeusz Konwicki,塔德烏什·康維茨基
Elżbieta Krzesińska,埃尔日别塔·克热辛斯卡
Martin Max,马丁·马克斯
Uri Orlev,尤里·奥莱夫
Jonas Lionginas,約納斯·連吉納斯
Bogusław Schaeffer,博古斯瓦夫·舍费尔
Leopold Infeld,利奧波德·英費爾德
Marie Rambert,玛丽· 兰伯特
Ida Haendel,艾达·亨德尔
Marian Jaworski,瑪里安·雅沃爾斯基
Daria Werbowy,黛莉亞·維寶莉
Halina Konopacka,哈莉娜·科诺帕茨卡
Marek Wesoły,马雷克·维索斯
Bartosz Bereszyński,巴托斯·貝雷辛內斯基
Waldemar Malak,瓦尔德马·马拉克
Jan Ciągliński,扬·齐翁格林斯基
Anna Jagiellonka,安娜·雅盖隆卡
Justyna Kowalczyk-Tekieli,尤斯蒂娜·科瓦尔奇克
Juliusz Słowacki,尤利烏什·斯沃瓦茨基
Sieciech,希切赫
Dariusz Adamczuk,达里乌斯·亚当茨丘克
Jerzy Kuryłowicz,J. 库雷沃维奇
Zygmunt Janiszewski,齐格蒙特·扬尼舍夫斯基
Karol Bielecki,卡罗尔·别莱茨基
Jan Jakub Kolski,杨·雅各·科尔斯基
Marian Spychalski,马里安·斯彼哈尔斯基
Jan Szczepanik,扬·斯泽帕尼克
Zygmunt Berling,齐格蒙特·贝林
Roman Maciejewski,罗曼·马切耶夫斯基
Jarosław Dąbrowski,雅罗斯拉夫·东布罗夫斯基
Damian Wleklak,达米安·弗莱克拉克
Danuta Wałęsa,达努塔·瓦文萨
Karol Borsuk,卡罗尔·博尔苏克
Jan Jarkowski,伊凡·亚尔科夫斯基
Euzebiusz Smolarek,尤泽比乌兹·斯莫拉雷克
Zygfryd Szołtysik,齐克弗里特·绍乌蒂西克
Stanisław Tymiński,斯坦尼斯瓦夫·蒂明斯基
Kazik Staszewski,卡齐克·斯斯泽斯基
Kamil Stoch,卡米尔·斯托赫
Heinrich Kwiatkowski,海因茨·科维亚特科夫斯基
Irena Górska-Damięcka,艾里纳·戈斯卡·达米克基
Henryk Sławik,亨利克·斯瓦维克
Joanna Brodzik,乔安娜·布罗兹克
Paweł Edmund Strzelecki,帕维乌·斯切莱茨基
Martin Gray,马丁·格雷
Irka Bochenko,伊尔卡·波琴科
Alina Szapocznikow,阿丽娜·萨波奇尼科夫
Zygmunt Maszczyk,齐格蒙特·马什奇克
Tewje Bielski,圖維亞·別爾斯基
Marian Czura,马里安·克苏拉
Walerian Borowczyk,瓦莱利安·博罗夫奇克
Klaudia Jans-Ignacik,克勞迪亞·揚斯-伊格納契克
Jan Czochralski,扬·柴可拉斯基
Hans Ziglarski,汉斯·齐格拉尔斯基
Marek Leśniak,馬雷克·列希尼亞克
Danuta Hübner,达努塔·许布纳
Maria Dąbrowska,瑪麗亞·東布羅夫斯卡
Zygmunt Malanowicz,齊格蒙特·馬拉諾維茨
Robert Gadocha,罗伯特·加多哈
Ivan Putski,伊凡·普茲基
Jacek Koman,杰克·科曼
Mordechaj Gebirtig,莫迪凯·戈比尔
Aleksander mazowiecki,馬佐夫舍的亞歷山大
Władysław Starewicz,拉迪斯拉斯·史塔列維奇
Tadeusz Łomnicki,塔德乌什·罗姆尼斯基
Ireneusz Paliński,伊雷纽什·帕林斯基
Mieczysław Ledóchowski,米爾徹斯羅·哈爾卡·利多卓斯基
Aleksander Zawadzki,亚历山大·萨瓦茨基
Michal Martychowiec,米歇尔·马蒂楚维奇
Janusz Gortat,雅努什·戈尔塔特
Artur Gold,亚图尔·戈尔德
Artur Ekert,阿图尔·埃克特
Dariusz Gęsior,达留什·根肖尔
Mikołaj Kozakiewicz,米·科萨凯维奇
Jakub Berman,雅库布·伯曼
Jacek Jezierski,雅欽多·耶傑爾斯基
Zygmunt Wróblewski,齊格蒙特·弗羅布萊夫斯基
Rafał Gliński,拉法乌·格林斯基
Mateusz Ponitka,馬特烏什·波尼特卡
Stanisław Ruziewicz,斯坦尼斯瓦夫·卢切维奇
Ryszard Wolny,理夏德·沃尔内
Jan Kropidło,揚·克羅畢沃
Fryderyk I legnicki,腓特烈一世
Ludwik I brzeski,路德維克一世 (布熱格)
Mieczysław Słowikowski,梅齐斯瓦夫·斯沃维科夫斯基
Zygmunt Miłkowski,齐格蒙特·米乌科夫斯基
Zygmunt Muchniewski,齐格蒙特·穆切涅夫斯基
Ewa Kopacz,埃娃·科帕奇
Mirosław Baka,米罗斯洛·巴卡
Izuagbe Ugonoh,伊祖·乌戈诺赫
Bronisław Malinowski,布罗尼斯瓦夫·马利诺夫斯基
Paweł Włodkowic,帕維爾・沃德科維茨
Grzegorz Tkaczyk,格热戈日·特卡奇克
Tomasz Kuszczak,托马什·库什恰克
Artur Miziński,阿爾圖爾·明津斯基
Stanisław Car,斯坦尼斯瓦夫·卡尔
Michał Kubiak,米扎爾·庫比亞克
Maciej Płażyński,马切伊·普瓦任斯基
Aleksander Cichoń,亚历山大·齐洪
Artur Żmijewski,阿尔图尔·日米耶夫斯基
Dawid Kubacki,达维德·库巴茨基
Zygmunt Zimowski,齊格蒙特·齊莫斯基
Aleksander Michałowski,亚历山大·米哈沃夫斯基
Leon Chwistek,雷奧·屈斯克特
Szymon An-ski,西蒙·安季莫维奇·安-斯基
Michał Gołaś,米哈乌·戈瓦斯
Lech Majewski,莱彻·玛祖斯基
Ryszard Parulski,理夏德·帕鲁尔斯基
Tadeusz Kotarbiński,塔德乌什·柯塔宾斯基
Michał Winiarski,米扎爾·維尼阿爾斯基
Marian Foik,瑪麗安·福克
Artur Olech,阿图尔·奥莱赫
Mieczysław Małecki,梅齐斯瓦夫·马维斯基
Michael Klim,麥可·克利姆
Jakub Parnas,雅各布·卡罗尔·帕尔纳斯
Artur Śliwiński,阿尔图尔·希利溫斯基
Anna świdnicka,希维德尼察的安娜
Krzysztof Michalski,克日什托夫·米哈爾斯基
Natalia Partyka,娜達莉雅·柏迪卡
Bohdan Winiarski,波丹·溫尼亞爾斯基
Czesław Wycech,切斯瓦夫·维采赫
Marek Borowski,馬雷克·波羅斯基
Paweł Nastula,帕维乌·纳斯图拉
Dominika Paleta,多米尼卡·帕莱塔
Jacek Krzynówek,加塞克·科日诺维克
Luiza Złotkowska,路易莎·兹沃特科夫斯卡
Artūras Melianas,阿圖拉斯·梅里阿涅斯
Henryk Rozmiarek,亨里克·罗兹米亚雷克
Jan Bochenek,扬·博赫内克
Artur Wichniarek,維赫尼亞雷克
Tamara Gee,塔瑪拉·吉
Krzysztof Hołowczyc,克日什托夫·霍沃奇奇
Krystyna Skarbek,克里斯蒂娜·斯卡贝克
Józef Ignacy Kraszewski,约瑟夫·伊格纳齐·克拉舍夫斯基
Janusz Głowacki,雅努什·格沃瓦茨基
Ewa Serwa,伊娃·塞尔娃
Horst Szymaniak,霍斯特·希马尼亚克
Witold Woyda,维托尔德·沃伊达
Jan Kidawa-Błoński,扬·基达瓦·布朗斯基
Andrzej Bartkowiak,安德烈·爾百托克
Jan Gmyrek,扬·格梅雷克
Przemysław Saleta,普尔泽米斯拉夫·萨莱塔
Szolem Mandelbrojt,索勒姆·曼德爾布羅伊特
Arkadiusz Godel,阿尔卡迪乌什·戈德尔
Marek Dąbrowski,马雷克·东布罗夫斯基
Jerzy Kaczmarek,耶日·卡奇马雷克
Seweryn Bialer,塞维林·比亚勒
Wiesław Maniak,維斯瓦夫·馬尼亞克
Tadeusz Sołtyk,塔德烏什·蘇爾蒂克
Władysław Stecyk,瓦迪斯瓦夫·斯泰齐克
Magda Linette,瑪格達·蕾妮特
Janusz Szrom,亚努西·史罗坶
Krzysztof Jeżowski,克齐斯茨托夫·杰佐斯基
Henryk Grynberg,亨里克·格林贝格
Michał Pazdan,米哈爾·帕茲丹
Leopold Tyrmand,利奥波德·蒂曼德
Ignacy Szyszyłowicz,伊格纳茨·冯·塞塞沃维奇
Kazimierz Zarankiewicz,卡齊米日·扎蘭凱維奇
Eddie Slovik,埃迪·斯洛維克
Rafał Lemkin,拉斐爾·萊姆金
Józef Hofmann,约瑟夫·霍夫曼
Janusz Krupski,亚努什·克鲁普斯基
Jan Mycielski,揚·米切爾斯基
Olga Tokarczuk,奥尔加·托卡尔丘克
Alicja Rosolska,阿麗莎·羅索絲卡
Leszek Blanik,萊謝克·布拉尼克
Janusz Korwin-Mikke,雅努什·可維英-米凱
Stanisław Bareja,史丹修·布林賈
Jan Sobiło,若望·索比沃
Jan Styrna,若望·斯蒂爾納
Hanna Krall,汉娜·克拉尔
Andrzej Zawada,安德魯·札瓦達
Maurycy Lilien,以法蓮·摩西·利立
Jan Zając,若望·扎揚茨
Aleksander Ford,亞歷山大·福特
Lucjan Lis,卢茨扬·利斯
Otton Nikodym,欧顿·尼科迪姆
Jan Sztolcman,楊·史托茲曼
Jan Tyssowski,扬·蒂索夫斯基
Andrzej Piotr Wypych,安德肋·伯多祿·維佩赫
Wojciech Fibak,沃伊切赫·費巴克
Emanuel Ax,伊曼纽尔·艾克斯
Juliusz Kaden-Bandrowski,尤利乌什·卡登-班德罗夫斯基
Ewa Sonnet,伊娃·索內特
Maria Szymanowska,瑪麗亞·希馬諾夫斯卡
August Hlond,奥古斯特·赫隆德
Mieczysław Karłowicz,米奇斯拉夫·卡洛维茨
Janina Bauman,雅尼娜·鲍曼
Edward Marczewski,愛德華·馬爾切夫斯基
Denis Urubko,丹尼斯·纽博克
Janusz Zaorski,贾尼斯·萨斯基
Jerzy Gorgoń,耶日·戈尔贡
Andrzej Szczytko,安德烈·斯奇奇科
Andrzej Schinzel,安杰伊·欣策尔
Erin Mielzynski,埃琳·米尔津斯基
Anna Wierzbicka,安娜·威尔宗比卡
Dobroniega Maria,多布羅涅加-瑪麗亞·弗拉基米羅芙娜
Jakub Wawrzyniak,雅库布·瓦夫日尼亚克
Monika Soćko,莫妮卡·索科
Teresa Ciepły,特蕾莎·奇普瓦
Joanna Pacuła,喬安娜·帕庫拉
Ludovic Obraniak,奧布拉尼亞克
Józef Świeżyński,约瑟夫·希维任斯基
Walery Antoni Wróblewski,瓦莱雷·弗罗布莱夫斯基
Leopold Skulski,利奥波德·斯库尔斯基
Mateusz Bartel,马特乌什·巴特尔
Jerzy Antczak,泽基·安特科扎克
Krzysztof Wielicki,喀日什托夫·維利斯基
Izabella Miko,伊莎貝拉·美高
Janusz Onyszkiewicz,奧耐斯科維茨
Matthias Ostrzolek,馬提亞斯·奧斯特爾佐萊克
Jan Szczepański,扬·什切潘斯基
Mateusz Skutnik,马修·斯库尼克
Piotr Mokrosiński,彼得·莫克罗辛斯基
Richard Nowakowski,里夏德·诺瓦科夫斯基
Krzysztof Włodarczyk,克尔兹斯托夫·沃达尔奇克
Sławomir Szmal,斯瓦沃米尔·什马尔
Jerzy Engel,耶日·恩格尔
Andrzej Saramonowicz,安德烈·萨拉蒙诺维奇
Jerzy Giedroyc,耶日·盖德罗伊茨
Kazimierz Zimny,卡齐米日·齐姆内
Samo Chalupka,S. 哈卢普卡
Leon Schiller,莱昂·席勒
Grażyna Gęsicka,格拉日娜·杰西卡
Jalu Kurek,雅鲁·库雷克
Karolina Sayn-Wittgenstein,卡罗琳·赛恩-维特根斯坦
Julian Przyboś,尤利安·普日博希
Peter Geach,彼得·吉奇
Mieczysław Nowak,米奇斯瓦夫·诺瓦克
Edmund Bursche,埃德蒙·布尔舍
Jerzy Zieliński,耶日·杰林斯基
Jarosław Narkiewicz,亞羅斯拉夫·納爾克維奇
Jacek Jędruch,雅瑟克·耶德魯赫
Helga Haase,黑尔佳·哈泽
Jerzy Maksymiuk,耶日·马克西米克
Władysław Marconi,瓦迪斯瓦夫·马可尼
Wolf Messing,沃尔夫·梅辛
Janusz Pyciak-Peciak,雅努什·佩恰克-佩恰克
Władysław Żmuda,施慕達
Jerzy Hryniewski,耶日·赫里涅夫斯基
Eddie Niedzwiecki,埃迪·尼域斯基
Wojciech Kossak,沃伊切赫·科萨克
Teresa Piotrowska,特雷莎·彼得罗夫斯卡
Liliana Komorowska,莉娜·柯莫蘿絲卡
Marcelina Sembrich-Kochańska,M. 森布里希
Stanisław Maczek,斯坦尼斯·馬切克
