日本,일본
大隅諸島,오스미 제도
大隅半島,오스미반도
西条市,사이조시
男鹿市,오가시
日立市,히타치시
夕張市,유바리시
東栄駅,도에이역
池場駅,이케바역
追分町,오이와케정
垂水駅,다루미역 (효고현)
柿平駅,가키다이라역
三河槙原駅,미카와마키하라역
三河川合駅,미카와카와이역
石田駅・(京都府),이시다역 (교토부)
亀岡市,가메오카시
柏崎市,가시와자키시
円高不況,엔고불황
桐生市,기류시
本長篠駅,혼나가시노역
藤井寺市,후지이데라시
日本十進分類法,일본십진분류법
不動の沢駅,후도노사와역
出馬駅,이즌마역
日本産業規格,일본 산업 규격
日本音楽著作権協会,일본음악저작권협회
上市場駅,가미이치바역
松原市,마쓰바라시
三河大野駅,미카와오노역
あざみ野駅,아자미노역
朝霞台駅,아사카다이역
ヨネックス,요넥스
日本コロムビア,일본 컬럼비아
鹿部町,시카베정
湯谷温泉駅,유야온센역
旗の台駅,하타노다이역
銚子電気鉄道線,조시 전기철도선
2008年日本グランプリ・(4輪),2008년 일본 그랑프리
ブリヂストン,브리지스톤
神恵内村,가모에나이촌
町屋駅,마치야역
根津駅,네즈역
茂木町,모테기정
スーパーヒーロータイム,슈퍼 히어로 타임
日本アルプス,일본 알프스
こうのとり・(列車),고노토리 (열차)
読売新聞,요미우리 신문
マングローブ・(アニメ制作会社),망글로브
所得倍増計画,소득 배증 계획
苫小牧市,도마코마이시
阿賀野川,아가노강
阿賀野市,아가노시
館山市,다테야마시
ジェフユナイテッド市原・千葉,제프 유나이티드 이치하라 지바
泉北郡,센보쿠군 (오사카부)
南矢代駅,미나미야시로역
大和小泉駅,야마토코이즈미역
南田辺駅,미나미타나베역
三田駅・(兵庫県),산다역
お雇い外国人,고용 외국인
山形空港,야마가타 공항
デンソー,덴소
第23回衆議院議員総選挙,제23회 일본 중의원 의원 총선거
両国国技館,료고쿠 국기관
鎌ケ谷市,가마가야시
サッカー日本女子代表,일본 여자 축구 국가대표팀
日本共産党,일본공산당
各務原市,가카미가하라시
藤原氏,후지와라씨
河北新報,가호쿠 신보
国道8号,국도 제8호선 (일본)
御嵩町,미타케정
出島,데지마
津和野町,쓰와노정
沖電気工業,오키 전기공업
ヤシカ,야시카
善通寺,젠쓰지
八尾駅,야오역
郡山駅・(奈良県),고리야마역 (나라현)
河内堅上駅,가와치카타카미역
道場駅,도조역 (효고현)
広野駅・(兵庫県),히로노역 (효고현)
額田郡,누카타군
東京メトロ有楽町線,도쿄 메트로 유라쿠초선
高井田駅・(大阪府柏原市),다카이다역 (가시와라시)
草野駅・(兵庫県),구사노역 (효고현)
コルグ,코르그
旭川空港,아사히카와 공항
日田市,히타시
保内町,호나이정
紫波町,시와정
鴨川市,가모가와시
川口市,가와구치시
新宮町,신구정
津軽半島,쓰가루반도
宇宙航空研究開発機構,일본 우주항공연구개발기구
上野目駅,가미노메역
名取市,나토리시
薩南諸島,사쓰난 제도
南相馬市,미나미소마시
刈谷市,가리야시
豊川市,도요카와시
人事院,일본 인사원
福島空港,후쿠시마 공항
群馬大学,군마 대학
リコー,리코
第1次森内閣,제1차 모리 내각
北区・(岡山市),기타구 (오카야마시)
中村日赤駅,나카무라닛세키역
TDK,TDK (기업)
国道174号,국도 제174호선 (일본)
東区・(岡山市),히가시구 (오카야마시)
JR三山木駅,JR 미야마키역
国道51号,국도 제51호선 (일본)
本山駅・(愛知県),모토야마역 (아이치현)
千住大橋駅,센주오하시역
弘安,고안 (1278년)
ワールドゲームズ2001,2001년 월드 게임
宗谷岬,소야곶
四国電力,시코쿠 전력
広島高速交通広島新交通1号線,히로시마 고속 교통 히로시마 신교통 1호선
長尾駅・(大阪府),나가오역 (오사카부)
新南陽市,신난요시
安土城,아즈치성
川西池田駅,가와니시이케다역
野崎駅・(大阪府),노자키역 (오사카부)
松井山手駅,마쓰이야마테역
津田駅,쓰다역
小野田市,오노다시
河内磐船駅,가와치이와후네역
中山寺駅,나카야마데라역
倉吉市,구라요시시
むつ市,무쓰시
FC岐阜,FC 기후
小和田駅,고와다역
大嵐駅,오조레역
勝山町・(福岡県),가쓰야마정 (후쿠오카현)
第1回衆議院議員総選挙,제1회 일본 중의원 의원 총선거
チュンソフト,춘소프트
木曽川,기소강
共同通信社,교도 통신사
飛鳥寺,아스카데라
阪急西宮スタジアム,한큐 니시노미야 스타디움
スカイライナー,스카이라이너
こいのぼり,고이노보리
香取郡,가토리군
帯広市,오비히로시
利根川,도네강
丸岡町,마루오카정
西武豊島線,세이부 도시마선
志紀駅,시키역 (오사카부)
新三田駅,신산다역
JR長瀬駅,JR 나가세역
本吉町,모토요시정
星田駅,호시다역
武田尾駅,다케다오역
柏原駅・(大阪府),가시와라역
久宝寺駅,규호지역
同志社前駅,도시샤마에역
法隆寺駅,호류지역
稲荷山古墳出土鉄剣,이나리야마 고분 철검
北伊丹駅,기타이타미역
忍ケ丘駅,시노부가오카역
藤阪駅,후지사카역
新加美駅,신카미역
福岡猫虐待事件,후쿠오카 고양이 학대 사건
寝屋川公園駅,네야가와코엔역
住道駅,스미노도역
小学館,쇼가쿠칸
蕨駅,와라비역
岩手郡,이와테군
盛岡駅,모리오카역
2011年のJリーグ・ディビジョン1,J리그 디비전 1 2011
新宿区,신주쿠구
長門市,나가토시
武蔵村山市,무사시무라야마시
千曲市,지쿠마시
新潟市,니가타시
千駄木駅,센다기역
二重橋前駅,니주바시마에역
東大和市,히가시야마토시
綾瀬駅,아야세역
鹿沼市,가누마시
湯島駅,유시마역 (도쿄도)
潟上市,가타가미시
遠野市,도노시
朝霞市,아사카시
南砺市,난토시
十和田市,도와다시
日本とネパールの関係,네팔-일본 관계
東京モノレール,도쿄 모노레일
西春日井郡,니시카스가이군
エイベックス,에이벡스 그룹
阿波市,아와시
アビスパ福岡,아비스파 후쿠오카
綾瀬市,아야세시
西宮名塩駅,니시노미야나지오역
王寺駅,오지역 (나라현)
東部市場前駅,도부시조마에역
加美駅,가미역
生瀬駅,나마제역
野江駅,노에역
三郷駅・(奈良県),산고역 (나라현)
平野駅・(JR西日本),히라노역 (서일본 여객철도)
百舌鳥駅,모즈역
上野芝駅,우에노시바역
和泉鳥取駅,이즈미톳토리역
信太山駅,시노다야마역
東佐野駅,히가시사노역
和泉府中駅,이즈미후추역
日根野駅,히네노역
津久野駅,쓰쿠노역
FC東京,FC 도쿄
北信太駅,기타시노다역
小豆郡,쇼즈군
僧堂,젠도
中村区,나카무라구
川渡温泉駅,가와타비온센역
池月駅,이케즈키역
吾妻郡,아가쓰마군
甘木鉄道甘木線,아마기 철도 아마기선
稲沢市,이나자와시
小牧市,고마키시
北方領土問題,쿠릴 열도 분쟁
寝屋川市,네야가와시
厚木市,아쓰기시
TOMOYO・Linux,TOMOYO 리눅스
鳥取砂丘,돗토리 사구
石生駅,이소역
楯の会,방패회
アトラス・(ゲーム会社),아틀러스 (기업)
長岡京駅,나가오카쿄역
見附宿,미쓰케슈쿠
酒々井町,시스이정
早来町,하야키타정
瑞穂市,미즈호시
ゲームフリーク,게임프리크
日本の高齢化,일본의 고령화
日吉駅・(神奈川県),히요시역 (가나가와현)
上石津町,가미이시즈정
摂津市,셋쓰시
下狛駅,시모코마역
三島郡・(大阪府),미시마군
祝園駅,호소노역 (교토부)
越生町,오고세정
宇城市,우키시
西会津町,니시아이즈정
周南市,슈난시
京都国際マンガミュージアム,교토 국제 만화 박물관
川棚町,가와타나정
京田辺駅,교타나베역
四条畷駅,시조나와테역
西木津駅,니시키즈역
金山駅・(福岡県),가나야마역 (후쿠오카현)
徳庵駅,도쿠안역
セレッソ大阪,세레소 오사카
鶴舞駅,쓰루마이역
福島駅・(JR西日本),후쿠시마역 (서일본 여객철도)
NMB48,NMB48
東海地方,도카이 지방
2012・FIFA・U-20女子ワールドカップ,2012년 FIFA U-20 여자 월드컵
スズキ・(企業),스즈키
岩倉市,이와쿠라시
白石区,시로이시구
富士吉田市,후지요시다시
アーツビジョン,아트비전
2020年東京オリンピック,2020년 하계 올림픽
秩父市,지치부시
愛知大学,아이치 대학
東京六大学野球連盟,도쿄 6대학 야구 연맹
スーパーカミオカンデ,슈퍼 가미오칸데
リンナイ,린나이
宮古海峡,미야코 해협
佐野市,사노시
麻布,아자부
沖縄戦跡国定公園,오키나와 전적 국정공원
小松市,고마쓰시
亀山市,가메야마시
氷見市,히미시
天満宮,덴만구
MTV・Video・Music・Awards・Japan,MTV 비디오 뮤직 어워드 재팬
神戸ポートタワー,고베 포트 타워
南魚沼郡,미나미우오누마군
塩沢町,시오자와정
上尾駅,아게오역
英国海外航空機空中分解事故,영국해외항공 911편 추락 사고
新家駅,신게역
鶴ケ丘駅,쓰루가오카역
赤羽駅,아카바네역
久米田駅,구메다역
りんくうタウン駅,린쿠타운역
紀伊駅,기이역
熊取駅,구마토리역
湖南市,고난시 (시가현)
さぬき市,사누키시
糸魚川市,이토이가와시
高石市,다카이시시
井高野駅,이타카노역
平林駅・(大阪府),히라바야시역 (오사카부)
中ふ頭駅,나카후토역
鴫野駅,시기노역
新森古市駅,신모리후루이치역
南港口駅,난코구치역
清水駅・(大阪府),시미즈역 (오사카부)
トレードセンター前駅,트레이드 센터마에역
フェリーターミナル駅,페리 터미널역
瑞光四丁目駅,즈이코 4초메역
南港東駅,난코히가시역
一関市,이치노세키시
関目成育駅,세키메세이이쿠역
ポートタウン西駅,포트 타운 니시역
ポートタウン東駅,포트 타운 히가시역
だいどう豊里駅,다이도토요사토역
甲信越地方,고신에쓰 지방
江崎グリコ,에자키 글리코
山陽地方,산요 지방
北部九州,호쿠부큐슈
信越地方,신에쓰 지방
吾妻線,아가쓰마선
尖閣神社,센카쿠 신사
袖ケ浦市,소데가우라시
山陰地方,산인 지방
粟国島,아구니섬
浅草駅,아사쿠사역
茅ケ崎駅,지가사키역
阿佐ケ谷駅,아사가야역
秋葉原駅,아키하바라역
熱海駅,아타미역
浅草橋駅,아사쿠사바시역
恵比寿駅,에비스역 (도쿄도)
船橋駅,후나바시역
福山駅,후쿠야마역
府中本町駅,후추혼마치역
福島駅・(福島県),후쿠시마역 (후쿠시마현)
岐阜羽島駅,기후하시마역
千葉駅,지바역
八戸駅,하치노헤역
郡上市,구조시
庄原市,쇼바라시
守山市,모리야마시
蓮田市,하스다시
伊万里市,이마리시
豊後高田市,분고타카다시
北本市,기타모토시
塩尻市,시오지리시
STUDIO・4℃,STUDIO 4℃
中古日本語,중고 일본어
京・(スーパーコンピュータ),K 컴퓨터
三菱グループ,미쓰비시 그룹
スタジオジブリ,스튜디오 지브리
会見町,아이미정
相生市,아이오이시
坂本比叡山口駅,사카모토역 (시가현)
一本松駅・(福岡県),잇폰마쓰역 (후쿠오카현)
那覇市,나하시
日本の右翼団体,일본의 우익단체
一ノ関駅,이치노세키역
橋本駅・(神奈川県),하시모토역 (가나가와현)
石川町駅,이시카와초역
市ケ谷駅,이치가야역
東中野駅,히가시나카노역
日野駅・(東京都),히노역 (도쿄도)
東十条駅,히가시주조역
東小金井駅,히가시코가네이역
飯田橋駅,이다바시역
博多駅,하카타역
原宿駅,하라주쿠역
見附市,미쓰케시
浜松町駅,하마마쓰초역
八王子駅,하치오지역
土佐国,도사국
分倍河原駅,부바이가와라역
栗東市,릿토시
美濃加茂市,미노카모시
高根沢町,다카네자와정
二式水上戦闘機,2식 수상전투기
田沢湖線,다자와코선
いわて銀河鉄道線,이와테 은하 철도선
東尋坊,도진보
湯築城,유즈키성
浜松市,하마마쓰시
江戸時代,에도 시대
乃木坂46,노기자카46
三芳町,미요시정
エアーニッポン,에어닛폰
三菱重工業,미쓰비시 중공업
御宿町,온주쿠정
名古屋城,나고야성
我孫子町駅,아비코초역
関目駅,세키메역
和泉砂川駅,이즈미스나가와역
板橋駅,이타바시역
自由が丘駅,지유가오카역 (도쿄도)
十条駅・(東京都),주조역 (도쿄도)
加茂市,가모시
鉾田市,호코타시
イタイイタイ病,이타이이타이병
東京タワー,도쿄 타워
明石海峡大橋,아카시 해협 대교
武士道,무사도
アイシン,아이신
姶良市,아이라시
アイワ,아이와
味の素,아지노모도
東京スタジアム・(多目的スタジアム),아지노모도 스타디움
マッドハウス,매드하우스
浅虫温泉駅,아사무시온센역
三菱商事,미쓰비시상사
1991年世界陸上競技選手権大会,1991년 세계 육상 선수권 대회
赤平市,아카비라시
小国町・(熊本県),오구니정 (구마모토현)
西山天王山駅,니시야마텐노잔역
安土駅,아즈치역
赤磐市,아카이와시
阿寒摩周国立公園,아칸 국립공원
赤石山脈,아카이시산맥
志摩半島,시마반도
戸畑区,도바타구
城南町,조난정 (구마모토현)
甲斐国,가이국
北信越地方,호쿠신에쓰 지방
若松区,와카마쓰구
富合町,도미아이정
若松島,와카마쓰섬
小倉南区,고쿠라미나미구
富木駅,도노키역
英賀保駅,아가호역
中国山地,주고쿠 산지
紀伊中ノ島駅,기이나카노시마역
江迎町,에무카에정
串木野市,구시키노시
日本原子力研究所,일본 원자력 연구소
青葉台駅,아오바다이역
杉本町駅,스기모토초역
東岸和田駅,히가시키시와다역
西大山駅,니시오야마역
西国分寺駅,니시코쿠분지역
新潟大学前駅,니가타다이가쿠마에역
西荻窪駅,니시오기쿠보역
長津田駅,나가쓰타역
根岸駅・(神奈川県),네기시역 (가나가와현)
日暮里駅,닛포리역
中野駅・(東京都),나카노역 (도쿄도)
登戸駅,노보리토역
西川口駅,니시카와구치역
赤井電機,아카이 (기업)
赤城山,아카기산
浮世絵,우키요에
神田駅・(東京都),간다역 (도쿄도)
掛川駅,가케가와역
関内駅,간나이역
大阪大学,오사카 대학
蒲田駅,가마타역 (도쿄도)
村山市,무라야마시
御茶ノ水駅,오차노미즈역
館林市,다테바야시시
鹿町町,시카마치정
土呂駅,도로역 (사이타마현)
ベースボール・チャレンジ・リーグ,베이스볼 챌린지 리그
関西独立リーグ・(初代),간사이 독립 리그 (초대)
福江島,후쿠에섬
北品川駅,기타시나가와역
八幡東区,야하타히가시구
植木町,우에키정 (구마모토현)
美馬市,미마시
小倉駅・(福岡県),고쿠라역
北浦和駅,기타우라와역
菊名駅,기쿠나역
駒込駅,고마고메역
吉祥寺駅,기치조지역
錦糸町駅,긴시초역
川越駅,가와고에역
北千住駅,기타센주역
嘉禎,가테이
南足柄市,미나미아시가라시
赤坂・(東京都港区),아카사카 (도쿄도)
女満別空港,메만베쓰 공항
第2次森内閣,제2차 모리 내각
千林駅,센바야시역
京都駅,교토역
六十谷駅,무소타역
鳳駅,오토리역
長滝駅,나가타키역
山中渓駅,야마나카다니역
東貝塚駅,히가시카이즈카역
東羽衣駅,히가시하고로모역
鴻巣駅,고노스역
武蔵小金井駅,무사시코가네이역
浦和駅,우라와역
町田駅,마치다역
高円寺駅,고엔지역
米原駅,마이바라역
武蔵小杉駅,무사시코스기역
舞浜駅,마이하마역
向ヶ丘遊園駅,무코가오카유엔역
武蔵浦和駅,무사시우라와역
富士通,후지쯔
中立国,중립국
秋田書店,아키타 쇼텐
安芸高田市,아키타카타시
秋葉原,아키하바라
安芸市,아키시
東広島市,히가시히로시마시
小田原駅,오다와라역
岡山駅,오카야마역
御徒町駅,오카치마치역
荻窪駅,오기쿠보역
熱海市,아타미시
多賀城市,다가조시
松本空港,마쓰모토 공항
田中藩,다나카번
厚岸町,앗케시정
1997年のJリーグ,J리그 1997
新神戸駅,신코베역
新川崎駅,신카와사키역
鳥取駅,돗토리역
新橋駅,신바시역
霧島市,기리시마시
京都精華大学,교토 세이카 대학
鉄火丼,뎃카돈
両国駅,료고쿠역
さいたま新都心駅,사이타마신토신역
小山駅,오야마역 (도치기현)
桜木町駅,사쿠라기초역
仙台駅,센다이역 (미야기현)
千駄ケ谷駅,센다가야역
札幌駅,삿포로역
曽於市,소오시
匝瑳市,소사시
香取市,가토리시
五泉市,고센시
伊良部島,이라부섬
えりも町,에리모정
芦ノ湖,아시노호
天皇の一覧,일본 천황 목록
新しい歴史教科書をつくる会,새로운 역사 교과서를 만드는 모임
十日町市,도카마치시
志布志市,시부시시
大日本帝国,일본 제국
グラミン銀行,그라민 은행
芥川龍之介賞,아쿠타가와 류노스케상
SILVER・LINK.,SILVER LINK.
としまえん,도시마엔
ヤマハ,야마하
越後線,에치고선
延岡市,노베오카시
下田市,시모다시
土浦市,쓰치우라시
東京国立博物館,도쿄 국립박물관
北秋田市,기타아키타시
三島市,미시마시
吹田市,스이타시
与野駅,요노역
有楽町駅,유라쿠초역
上野駅,우에노역
山手駅,야마테역
四ツ谷駅,요쓰야역
横浜駅,요코하마역
宇都宮駅,우쓰노미야역
なにわ橋駅,나니와바시역
不二家,후지야
中之島駅,나카노시마역 (오사카부)
伊達市・(福島県),다테시 (후쿠시마현)
吹上駅・(愛知県),후키아게역 (아이치현)
上山口駅,가미야마구치역
営団日比谷線中目黒駅構内列車脱線衝突事故,도쿄 지하철 히비야선 나카메구로역 탈선 사고
名古屋港駅・(名古屋市営地下鉄),나고야코역
幕末,막말
琵琶湖線,비와코선
獏,바쿠 (요괴)
バンダイビジュアル,반다이 비주얼
磐梯朝日国立公園,반다이아사히 국립공원
大宮駅・(埼玉県),오미야역 (사이타마현)
大阪駅,오사카역
大井町駅,오이마치역
王子駅,오지역 (도쿄도)
大口駅,오구치역
大塚駅・(東京都),오쓰카역
大崎駅,오사키역
立川駅,다치카와역
高崎駅,다카사키역
田端駅,다바타역 (도쿄도)
田町駅,다마치역 (도쿄도)
高田馬場駅,다카다노바바역
戸塚駅,도쓰카역
津田沼駅,쓰다누마역
鶯谷駅,우구이스다니역
静岡駅,시즈오카역
新宿駅,신주쿠역
新横浜駅,신요코하마역
品川駅,시나가와역
新大阪駅,신오사카역
水道橋駅,스이도바시역
姫路城,히메지성
巣鴨駅,스가모역
西武国分寺線,세이부 고쿠분지선
千代川村・(茨城県),지요카와촌 (이바라키현)
富良野市,후라노시
市場前駅,시조마에역
かりゆしクラブ,가리유시 클럽
都営バス,도에이 버스
鎌倉高校前駅,가마쿠라코코마에역
由比ヶ浜駅,유이가하마역
瑞穂区役所駅,미즈호쿠야쿠쇼역
印旛日本医大駅,인바니혼이다이역
鶴里駅,쓰루사토역
テレコムセンター駅,텔레컴 센터역
国際センター駅・(愛知県),고쿠사이센터역 (아이치현)
指差喚呼,지적환호
札幌大学,삿포로 대학
大阪学院大学,오사카 가쿠인 대학
国人,국인
新年会,신년회
成田湯川駅,나리타유카와역
東京臨海高速鉄道70-000形電車,도쿄 임해 고속철도 70-000형 전동차
首都高速4号新宿線,수도고속도로 4호선 신주쿠선
浜松基地,하마마쓰 기지
高徳線,고토쿠선
石山合戦,이시야마 전투
北九州市,기타큐슈시
奈良時代,나라 시대
ブラジリアン柔術,브라질 주짓수
磐越東線,반에쓰토선
芝浦ふ頭駅,시바우라후토역
長谷駅・(神奈川県),하세역 (가나가와현)
磐越西線,반에쓰사이선
バンダイナムコホールディングス,반다이 남코 홀딩스
鵠沼駅,구게누마역
竹芝駅,다케시바역
大日本プロレス,대일본 프로레슬링
腰越駅,고시고에역
車道駅,구루마미치역
お台場海浜公園駅,오다이바카이힌코엔역
和田塚駅,와다즈카역
久屋大通駅,히사야오도리역
極楽寺駅,고쿠라쿠지역
三河吉田藩,요시다번 (미카와국)
稲村ヶ崎駅,이나무라가사키역
瑞穂運動場西駅,미즈호운도조니시역
桜本町駅,사쿠라혼마치역
セコム,세콤
七里ヶ浜駅,시치리가하마역
秋山駅,아키야마역
湘南海岸公園駅,쇼난카이간코엔역
出雲市駅,이즈모시역
牟岐線,무기선
令制国,율령국
人取橋の戦い,히토토리바시 전투
東北福祉大学,도호쿠 복지대학
聖心女子大学,성심여자대학 (일본)
高松駅・(香川県),다카마쓰역 (가가와현)
岡山電気軌道,오카야마 전기 궤도
行田市,교다시
関市,세키시
千葉都市モノレール,지바 도시 모노레일
邑楽町,오라정
ブシロード,부시로드
穂高岳,호타카다케산
京王競馬場線,게이오 게이바조선
秩父多摩甲斐国立公園,지치부타마카이 국립공원
日吉大社,히요시타이샤
赤穂市,아코시
大字,오아자
上代特殊仮名遣,상대 특수 가나 표기법
小豆坂の戦い,아즈키자카 전투
勲章・(日本),일본의 훈장
柳小路駅,야나기코지역
琴似駅・(JR北海道),고토니역 (홋카이도 여객철도)
少納言,소납언
石上駅,이시가미역
勝田駅,가쓰타역
築地市場,쓰키지 시장
山鹿市,야마가시
鳴門線,나루토선
中津市,나카쓰시
大阪スタヂアム,오사카 구장
伊豆国,이즈국
田井ノ浜駅,다이노하마역
インターチャネル,인터채널
塩谷駅,시오야역 (홋카이도)
気象庁,일본 기상청
土讃線,도산선
徳島駅,도쿠시마역
摺上原の戦い,스리아게하라 전투
銚子駅,조시역
日本科学未来館,일본 과학 미래관
別海町,베쓰카이정
有田市,아리다시
鳥栖市,도스시
糸満市,이토만시
日南市,니치난시
深川市,후카가와시
ベネッセコーポレーション,베네세 코퍼레이션
美唄市,비바이시
三条市,산조시
城陽市,조요시
北広島市,기타히로시마시
池田市,이케다시
豊明市,도요아케시
旭日章,욱일장
小千谷市,오지야시
EXILE,EXILE
下地島空港,시모지시마 공항
宿毛市,스쿠모시
ビィートレイン,비 트레인
日本書紀,일본서기
ベヨネース列岩,베요네스 열암
BEMANIシリーズ,BEMANI
慶應義塾大学,게이오기주쿠 대학
日本神話,일본 신화
京田辺市,교타나베시
津島市,쓰시마시 (아이치현)
高浜市,다카하마시
真庭市,마니와시
山陽小野田市,산요오노다시
長岡京市,나가오카쿄시
東かがわ市,히가시카가와시
平野区,히라노구
宇土市,우토시
全日本学生自治会総連合,전일본학생자치회총연합
港区・(東京都),미나토구 (도쿄도)
八丈支庁,하치조 지청
国定駅,구니사다역
久留米藩,구루메번
関ケ原町,세키가하라정
大潟村,오가타촌
和光市,와코시
京都賞,교토상
河内長野市,가와치나가노시
能代市,노시로시
鹿屋市,가노야시
魚津市,우오즈시
鳥羽市,도바시
西予市,세이요시
宗像市,무나카타시
羽島市,하시마시
交野市,가타노시
恵那市,에나시
下呂市,게로시
須賀川市,스카가와시
石岡市,이시오카시
旭区・(大阪市),아사히구 (오사카시)
東住吉区,히가시스미요시구
阪南市,한난시
観音寺市,간온지시
美作市,미마사카시
小林市,고바야시시
人吉市,히토요시시
厳島神社,이쓰쿠시마 신사
八戸市,하치노헤시
防衛総司令部,방위총사령부
金沢市,가나자와시
善通寺市,젠쓰지시
日本の漫画家,일본의 만화가
幣原内閣,시데하라 내각
長篠の戦い,나가시노 전투
東北自動車道,도호쿠 자동차도
日本のキリスト教史,일본의 기독교
尖閣諸島問題,센카쿠 열도 분쟁
平安時代,헤이안 시대
横浜美術館,요코하마 미술관
幡生駅,하타부역
北海道庁旧本庁舎,홋카이도청 구 본청사
野木駅,노기역 (도치기현)
尾道駅,오노미치역
大分駅,오이타역
古河駅,고가역 (이바라키현)
幾寅駅,이쿠토라역
東大宮駅,히가시오미야역
安中駅,안나카역
袋井市,후쿠로이시
東海道新幹線,도카이도 신칸센
名寄市,나요로시
直方市,노가타시
第1次小泉内閣,제1차 고이즈미 내각
三原市,미하라시
慶雲,게이운
十勝郡,도카치군
内閣総理大臣官邸,총리대신 관저
能美市,노미시
第39回衆議院議員総選挙,제39회 일본 중의원 의원 총선거
堺市,사카이시 (오사카부)
渋谷駅,시부야역
登別市,노보리베쓰시
衆議院,중의원
葛城市,가쓰라기시
滑川市,나메리카와시
箕面市,미노오시
後志総合振興局,시리베시 종합진흥국
神俣駅,간마타역
阿寒湖,아칸호
四街道市,요쓰카이도시
太平駅,다이헤이역
妙義町,묘기정
柳井市,야나이시
熊野市,구마노시
西新宿,니시신주쿠
小美玉市,오미타마시
北村山郡,기타무라야마군
飯南町,이난정
第3次小泉内閣・(改造),제3차 고이즈미 내각 (개조)
江南市,고난시 (아이치현)
多治見市,다지미시
第1次小泉内閣・(第2次改造),제1차 고이즈미 내각 (제2차 개조)
東京ディズニーシー・ホテルミラコスタ,도쿄 디즈니시 호텔 미라코스타
彌彦神社,이야히코 신사
北九州市立大学,기타큐슈 시립 대학
東京ディズニーランドホテル,도쿄 디즈니랜드 호텔
上野市駅,우에노시역
日本未来の党,일본미래당
西武新宿線,세이부 신주쿠선
津幡町,쓰바타정
室戸市,무로토시
内灘町,우치나다정
名和駅・(鳥取県),나와역 (돗토리현)
浜田市,하마다시
因島市,인노시마시
赤穂事件,아코 사건
伊豆半島,이즈반도
羽咋市,하쿠이시
小金井駅,고가네이역
野毛山動物園,노게야마 동물원
西出雲駅,니시이즈모역
余市駅,요이치역
九州平定,규슈 정벌
仁木駅,니키역
蘭島駅,란시마역
TENGA,텐가
大成駅,다이세이역
然別駅,시카리베쓰역
清水エスパルス,시미즈 에스펄스
白石市,시로이시시
壱岐市,이키시
小松島市,고마쓰시마시
光市,히카리시
新高尾村,신타카오촌
天草エアライン,아마쿠사 항공
江ノ島電鉄線,에노시마 전철선
歌舞伎町,가부키초
朝日新聞社,아사히 신문사
西表島,이리오모테섬
宝塚市,다카라즈카시
御殿場線,고텐바선
国民精神総動員,국민정신총동원
薩摩国,사쓰마국
ドーム前千代崎駅,도무마에치요자키역
総持寺駅,소지지역
越後国,에치고국
中央市,주오시
沼田市,누마타시
浪速区,나니와구
南国市,난코쿠시
玉名市,다마나시
渋谷区,시부야구
関西国際空港,간사이 국제공항
日本アカデミー賞,일본 아카데미상
弘前市,히로사키시
国道20号,국도 제20호선 (일본)
実用英語技能検定,실용영어기능검정시험
大浦天主堂,오우라 천주당
川田駅,가와타역
真壁町,마카베정
延徳,엔토쿠
北野天満宮,기타노 덴만구
福山市,후쿠야마시
佐多岬,사타곶
戸田市,도다시
新宮市,신구시
三浦市,미우라시
輪島市,와지마시
東松山市,히가시마쓰야마시
寒河江市,사가에시
公園西駅,고엔니시역
はなみずき通駅,하나미즈키도리역
東根市,히가시네시
長久手古戦場駅,나가쿠테코센조역
銀山駅,긴잔역 (홋카이도)
瑞穂運動場東駅,미즈호운도조히가시역
杁ヶ池公園駅,이리가이케코엔역
愛・地球博記念公園駅,아이치큐하쿠키넨코엔역
妙音通駅,묘온도리역
上前津駅,가미마에즈역
芸大通駅,게이다이도리역
本陣駅,혼진역
陶磁資料館南駅,도지시료칸미나미역
志賀本通駅,시가혼도리역
茶屋ヶ坂駅,자야가사카역
伏見駅・(愛知県),후시미역 (아이치현)
準天頂衛星システム,QZSS
名古屋大学駅,나고야다이가쿠역
栄駅・(愛知県),사카에역 (아이치현)
亀島駅,가메지마역
南アルプス市,미나미알프스시
掛川市,가케가와시
米原市,마이바라시
狭山市,사야마시
北杜市,호쿠토시 (야마나시현)
出雲市,이즈모시
中村公園駅,나카무라코엔역
青森ねぶた,아오모리 네부타 축제
堀田駅・(名古屋市営地下鉄),호리타역 (나고야 시영 지하철)
Kalafina,Kalafina
幕張メッセ,마쿠하리 멧세
万葉仮名,만요가나
平城京,헤이조쿄
庄内緑地公園駅,쇼나이료쿠치코엔역
本郷駅・(愛知県),혼고역 (아이치현)
東京都写真美術館,도쿄도 사진미술관
大須観音駅,오스칸논역
浄心駅,조신역
弁天島・(稚内市),벤텐섬 (왓카나이시)
熊本市,구마모토시
田沼町,다누마정
煎餅,센베이
大分市,오이타시
十七条憲法,십칠조헌법
慶良間諸島,게라마 제도
沖の南岩,오키노미나미 암
1994年の日本シリーズ,1994년 일본 시리즈
ゼクシズ,ZEXCS
L0系,신칸센 L0계
早稲田大学大学院アジア太平洋研究科,와세다 대학 아시아 태평양 연구과
奄美市,아마미시
天草諸島,아마쿠사 제도
天草市,아마쿠사시
彦成村,히코나리촌
歌舞伎,가부키
日本学術振興会,일본 학술진흥회
宋明理学,성리학
福津市,후쿠쓰시
美里町・(熊本県),미사토정 (구마모토현)
古墳時代,고훈 시대
目黒駅,메구로역
建武の新政,겐무 신정
先生,선생
高松城・(讃岐国),다카마쓰성 (가가와현)
