Mato Grosso do Sul,마투그로수두술주
Luverdense Esporte Clube,루베르덴시 EC
Tupi Football Club,투피 FC
Duque de Caxias Futebol Clube,두키지카시아스 FC
Lagoa Mirim,미링호
Campinense Clube,캄피넨시 클루비
Campeonato Brasileiro de Seleções Estaduais,Campeonato Brasileiro de Seleções Estaduais
Rio das Ostras,리오 다스 오스트라스
Cianorte Futebol Clube,시아노르치 FC
Embraer EMB-145 AEW&C,엠브라에르 R-99
Estádio Beira-Rio,이스타지우 베이라히우
Igarassu,이가라수
Japeri,자페리
Cametá,카메타
Ceará Sporting Club,세아라 SC
lista de imperatrizes do Brasil,브라질의 군주 배우자
Beija-mão,손등 키스
Santo Antônio de Jesus,산토 안토니오 데 제수스
eleições gerais no Brasil em 2010,2010년 브라질 총선거
Elencos da Copa do Mundo FIFA de 1950,1950년 FIFA 월드컵 선수 명단
Eliminatórias da Copa do Mundo FIFA de 2014 - Repescagem intercontinental,2014년 FIFA 월드컵 예선 대륙간 플레이오프
Corpo de Fuzileiros Navais,브라질 해병대
Indaiatuba,인다이아투바
Dia de São José,성 주세페의 날
IEs4Linux,IEs4Linux
São Mateus,상 마테우스
Região Sudeste do Brasil,수데스치 지방
Feriados no Brasil,브라질의 공휴일
Teresópolis,테레조폴리스
Ponte Octávio Frias de Oliveira,옥타비우 프리아스 드 올리베이라 다리
"Eliminatórias da Copa do Mundo FIFA de 2014 - América do Norte, Central e Caribe",2014년 FIFA 월드컵 북아메리카 지역 예선
Happy Science,행복의 과학
Correntina,코헨치나
Domingos Martins,도밍구스마르칭스
Botafogo,보타포구
Caruaru,카루아루
Uruguaiana,우루구아이아나
Jogos Pan-Americanos de 2007,2007년 팬아메리칸 게임
Região Sul do Brasil,술 지방
TAM Cargo,TAM 카고
Araguaína,아라구아이나
Arapiraca,아라피라카
Casa Grande,카자그란지
Copa do Mundo FIFA de Futebol de Areia de 2005,2005년 FIFA 비치사커 월드컵
Jaguarari,자구아라리
Brasil Foods S.A.,BRF
Bragança Paulista,브라간사파울리스타
Brahma,브라흐마
Carmo,카르무
Araçatuba,아라사투바
Paço do Lumiar,파코도루미나
geografia do Brasil,브라질의 지리
Jequié,제키에
Araraquara,아라라쿠아라
Seleção Brasileira de Futebol Sub-23,브라질 U-23 축구 국가대표팀
Pinhais,피냐이스
Seleção Brasileira de Handebol Masculino,브라질 핸드볼 국가대표팀
Pato Branco,파투브랑쿠
Barcarena,바카레나
Cambé,깜베
Araucária,아라우까리아
Toledo,톨레도
demografia do Brasil,브라질의 인구
Parauapebas,파라우아페바스
Viçosa,비소자
Comitê Olímpico Brasileiro,브라질 올림픽 위원회
Lagarto,라가르토
Tailândia,타일랜디아
Seleção Brasileira de Futebol Sub-20,브라질 U-20 축구 국가대표팀
Itapagipe,이타파지피
Bacabal,바카바우
São Félix do Xingu,상 펠릭스 도 싱구
Botafogo Futebol Clube,보타포구 FC
Agremiação Sportiva Arapiraquense,아그레미아상 스포르치바 아라피라킨시
Codó,코도
Brumado,Brumado
Águas Belas,아구아스벨라스
Partido Social Liberal,사회자유당
Rio Abiaí,에이비얼강
Americano Futebol Clube,아메리카누 FC
Seleção Brasileira de Futebol Sub-17,브라질 U-17 축구 국가대표팀
Copa Mercosul de 2000,2000년 코파 메르코수르
Brusque Futebol Clube,브루스키 FC
Moto Club de São Luís,모투 클루브
Copa Mercosul de 1999,1999년 코파 메르코수르
Picos,피쿠스
Taça Intercontinental de 1976,1976년 인터콘티넨털컵
Mogi Mirim Esporte Clube,모지미림 EC
Ferroviário Atlético Clube,페호비아리우 AC
Meridiano 35 W,서경 35도
Torneio da França,투르누아 드 프랑스
Meridiano 38 W,서경 38도
Meridiano 50 W,서경 50도
Meridiano 60 W,서경 60도
Tubarão,투바랑
Sampaio Corrêa Futebol Clube,삼파이우 코헤아 FC
Meridiano 55 W,서경 55도
Meridiano 64 W,서경 64도
Meridiano 65 W,서경 65도
Meridiano 45 W,서경 45도
Meridiano 70 W,서경 70도
Meridiano 61 W,서경 61도
Meridiano 54 W,서경 54도
Meridiano 62 W,서경 62도
Meridiano 69 W,서경 69도
Meridiano 68 W,서경 68도
Meridiano 67 W,서경 67도
Upaon-Açu,상루이스섬
Rede Bandeirantes,헤지 반데이란치스
Catupiry,카투피리
fronteira Brasil-Guiana,가이아나-브라질 국경
Meridiano 56 W,서경 56도
Meridiano 52 W,서경 52도
Meridiano 57 W,서경 57도
Meridiano 58 W,서경 58도
Meridiano 53 W,서경 53도
Meridiano 59 W,서경 59도
Associação Desportiva Ferroviária Vale do Rio Doce,데스포르치바 페로비아리아
cultura do Brasil,브라질
Fronteira Brasil–Uruguai,브라질-우루과이 국경
Águia de Marabá Futebol Clube,아기아 지 마라바 FC
Universidade do Estado de Minas Gerais,미나스제라이스 주립 대학교
Línguas pano-tacanas,파노타카나어족
Rebeldes,헤베우지스
Aliança Renovadora Nacional,국민개조동맹당
Partido Liberal,자유당
Quinta da Boa Vista,퀸타 다 보아 비스타 공원
Central Sport Club,센트라우 SC
Agricultura no Brasil,브라질의 농업
Câmara dos Deputados do Brasil,브라질 대의원
Esporte Clube São José,EC 상조제
Sport Club Corinthians Paranaense,J.말루셀리 푸치보우
Associação Chapecoense de Futebol,아소시아상 샤페코엔시 지 푸테보우
Maracanaú,마라카나우
Embaixada da França em Brasília,주 브라질 프랑스 대사관
Marcopolo,마르코폴로 SA
Museu Nacional,국립박물관
Arquivo Nacional,브라질 국립 문서 보관소
Recopa Sul-Americana de 2012,2012년 레코파 수다메리카나
Joinville Esporte Clube,조인빌리 EC
Clube do Remo,클루비 두 헤무
Volta Redonda Futebol Clube,보우타헤돈다 FC
Uberlândia Esporte Clube,우베를란지아 EC
Copa Ouro de 1993,1993년 코파 데 오로
Copa Ouro de 1995,1995년 코파 데 오로
Copa Ouro de 1996,1996년 코파 데 오로
Clube Atlético Metropolitano,CA 메트로폴리타누
Atlético Acreano,아틀레치쿠 아크레아누
Universidade Federal de Santa Catarina,산타카타리나 연방대학교
fronteira Brasil–França,브라질-프랑스 국경
Planaltina,플란날티나
Campeonato Brasileiro de Futebol - Série C,캄페오나투 브라질레이루 세리에 C
América Futebol Clube (São Paulo),아메리카 FC
Eleição da cidade-sede dos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 개최지 선정
Partido Social Democrático,사회민주당
Partido Socialista Brasileiro,브라질 사회당
Maranguape,마란구아페
Meridiano 40 W,서경 40도
Campeonato Gaúcho de Futebol,캄페오나투 가우슈
Guaratinguetá Futebol Ltda.,구아라칭게타 푸치보우
Rio Branco Football Club,히우브랑쿠 FC
brasileiro pardo,파르도
Botafogo Futebol Clube (João Pessoa),보타포구 FC
Tatuí,타투이
Sertãozinho,세르타오지노
Operário Ferroviário Esporte Clube,오페라리우 페호비아리우 EC
Marília Atlético Clube,마릴리아 AC
Lagoa da Canoa,라고아다카노아
lista de partidos políticos no Brasil,브라질의 정당
Cuiabá Esporte Clube,쿠이아바 EC
Vice-presidente da República Federativa do Brasil,브라질의 부통령
Eunápolis,유나폴리스
Esporte Clube São Bento,EC 상벤투
São Lourenço da Mata,상루렌수다마타
Língua matsés,마체스어
Santa Rita,산타리타
Esporte Clube XV de Novembro,XV 지 노벰브루
Ação Libertadora Nacional,국민해방운동
fronteira Brasil-Colômbia,브라질-콜롬비아 국경
Derby Paulista,파울리스타 더비
São Raimundo Esporte Clube,상하이문두 EC
Mirassol Futebol Clube,미라소우 FC
Partido Social Cristão,기독교사회당
Democrata Futebol Clube,데모크라타 FC
Alto Paraíso,Alto Paraíso
Salgueiro Atlético Clube,사우게이루 AC
Aliança Bíblica Universitária do Brasil,미국기독학생회
relações exteriores do Brasil,브라질의 대외 관계
Itapipoca,이타피포카
Esporte Clube Internacional de Lages,EC 인테르나시오나우
fronteira Brasil-Suriname,브라질-수리남 국경
Campo Alegre de Lourdes,캄푸알레그리지로르지스
Patos,파토스
Nossa Senhora do Socorro,노사 센호라
fronteira Brasil-Venezuela,베네수엘라-브라질 국경
Museu Nacional de Belas Artes,국립미술관
Guarani Esporte Clube (Ceará),구아라니 EC
Audax São Paulo Esporte Clube,그레미우 오자스쿠 아우다스
Bolsa de Valores do Rio de Janeiro,리우데자네이루 증권거래소
Hypermarcas,이페라 파르마
Queimados,케이마도스
Natura,나투라
Aeroporto de Teresina,테레시나 공항
Família Embraer E-Jets,엠브라에르 E-Jets
fronteira Bolívia-Brasil,볼리비아-브라질 국경
Murici Futebol Clube,무리시 FC
Aeroporto Internacional de Belo Horizonte-Confins,탕크레두 네비스 국제공항
Nova Iguaçu Futebol Clube,노바이구아수 FC
São Raimundo Esporte Clube (Roraima),상하이문두 EC
São Raimundo Esporte Clube (Manaus),상하이문두 EC
Águas Claras,아구아스 클라라스
Salto,살토
relações entre Brasil e Rússia,러시아-브라질 관계
fronteira Brasil-Paraguai,브라질-파라과이 국경
Santana,산타나
fronteira Argentina-Brasil,브라질-아르헨티나 국경
fronteira Brasil-Peru,브라질-페루 국경
chá mate,마테차
Recanto das Emas,레칸토 다스 데마스
Santa Cruz do Capibaribe,산타크루즈도카피바리베
Vídeo Brinquedo,비디오 브린쿠에도
Campeonato Sul-Americano de Futebol Feminino de 1995,1995년 남아메리카 여자 축구 선수권 대회
pele de porco,돼지 껍데기
River Atlético Clube,히베르 AC
Santos Futebol Clube Amapá,산투스 FC
incêndio na boate Kiss,키스 나이트클럽 화재 사고
Guará,구아라
Santa Maria,산타 마리아
São Sebastião,상 세바스티앙
Senado Federal do Brasil,브라질 연방상원
O Milagre de Belo Horizonte,미국 대 잉글랜드 (1950년 FIFA 월드컵)
Grêmio Esportivo Novorizontino,그레미우 이스포르치부 노보리존치누
Clube Atlético Sorocaba,아틀레치쿠 소로카바
AmBev,암베브
Estádio Hailé Pinheiro,이스타지우 다 세히냐
Clube Atlético Linense,CA 리넨시
Clube Atlético Penapolense,CA 페나폴렌시
Grêmio Catanduvense de Futebol,그레미우 카탄두벤시
Gurupi Esporte Clube,구루피 EC
Dialeto mbiá,nujnnjuytg
Grêmio Esportivo Catanduvense,그레미오 에스포르티보 카탄두벤세
Associação Ferroviária de Esportes,아소시아상 페호비아리아 지 이스포르치스
Associação Portuguesa Londrinense,아소니아상 포르투게사 론드리넨스
Queijo coalho,코알류 치즈
Atlético Clube Paranavaí,AC 파라나바이
Clube Esportivo Lajeadense,CE 라지아덴시
moeda sul-americana,남미통합화폐
Marituba,마리투바
Associação Atlética Flamengo,AA 플라멩구
Centro de Futebol Zico do Rio Sociedade Esportiva,센트로 데 푸테볼 지쿠 소시에다데 에스포르티바
Presidente do Brasil,브라질의 대통령
Queijo prato,프라투 치즈
Allianz Parque,알리안츠 파르키
Bife a cavalo,비프 아 카발루
Voo Varig 967,바리그 브라질 항공 967편 실종 사건
Aeroporto de Vilhena,빌례나 공항
Província magmática do Paraná-Etendeka,파라나-에텐데카 트랩
Regime Militar no Brasil em 1964,1964년 브라질 쿠데타
Paio,파이우
Bragantino Clube do Pará,브라강치누 클루비 두 파라
Pato no tucupi,파투 누 투쿠피
Coreano-brasileiros,한국계 브라질인
RIO Linhas Aéreas,리오 에어
Festival Internacional da Linguagem Eletrônica,전자 언어 국제 페스티벌
eleições gerais no Brasil em 2014,2014년 브라질 대통령 선거
Ação Integralista Brasileira,브라질 통일주의 행동당
O Brasil pode mais,변화의 브라질
Carlsberg Cup de 2005,2005년 구정컵
Recopa Sul-Americana de 2006,2006년 레코파 수다메리카나
Juqueí,주케이
Roma Esporte Apucarana,로마 에스포르테 아푸카라나
Grande Prémio do Brasil de 2013,2013년 브라질 그랑프리
Recopa Sul-Americana de 2007,2007년 레코파 수다메리카나
Estádio Kléber Andrade,이스타지우 클레베르 안드라지
Arena Fonte Nova,아레나 폰치 노바
ténis nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 테니스
posse do presidente do Brasil,브라질 대통령 취임식
Club de Regatas Vasco da Gama,CR 바스쿠 다 가마
Campeonato Brasileiro de Futebol Feminino,캄페오나투 브라질레이루 지 푸치보우 페미니누
Recopa Sul-Americana de 2009,2009년 레코파 수다메리카나
Recopa Sul-Americana de 2014,2014년 레코파 수다메리카나
Copa América de 2019,2019년 코파 아메리카
ténis de mesa nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 탁구
Festival de Brasília,브라질리아 영화제
Campo Olímpico de Golfe,캄푸 올림피쿠 지 골피
Maniçoba,마니소바
direitos transgênero no Brasil,브라질의 트랜스젠더 권리
Recopa Sul-Americana de 1993,1993년 레코파 수다메리카나
Marina da Glória,마리나 다 글로리아
Cidade Maravilhosa,리우데자네이루 찬가
Capivariano Futebol Clube,카피바리아누 푸테보우 클루비
Sino-brasileiros,중국계 브라질인
Para o Brasil seguir mudando,국민의 힘
G1,G1
vela nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 요트
Russo-brasileiro,러시아계 브라질인
Nacional Atlético Clube (São Paulo),나시오날 아틀레티코 클럽(SP)
golfe nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 골프
Rua Oscar Freire,오스카르 프레이레 거리
União Bandeirante Futebol Clube,우니앙 반데이란치 FC
Centro Nacional de Tiro,국립 사격 센터
Parque Nacional da Serra da Canastra,세라 다 카나스트라 국립공원
Tanabi Esporte Clube,타나비 EC
Sociedade Desportiva Juazeirense,SD 주아제이렌시
Olímpia Futebol Clube,올림피아 FC
Universidade Federal de Goiás,고이아스주 연방대학교
Biblioteca Carlos Benjamin de Lyra,Biblioteca Carlos Benjamin de Lyra
República do Pampa,팜파스 공화국
Locais de competição dos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 경기장
União Recreativa dos Trabalhadores,우니앙 헤크레아치바 두스 트라발랴도리스
hóquei em campo nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 하키
natação nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 수영
Copa do Mundo FIFA de 2014 – Grupo H,2014년 FIFA 월드컵 H조
Copa do Mundo FIFA de 2014 – Grupo F,2014년 FIFA 월드컵 F조
Copa do Mundo FIFA de 2014 – Grupo E,2014년 FIFA 월드컵 E조
Copa do Mundo FIFA de 2014 – Grupo G,2014년 FIFA 월드컵 G조
Copa do Mundo FIFA de 2014 – Grupo C,2014년 FIFA 월드컵 C조
Copa do Mundo FIFA de 2014 – Grupo B,2014년 FIFA 월드컵 B조
Copa do Mundo FIFA de 2014 – Grupo D,2014년 FIFA 월드컵 D조
Copa do Mundo FIFA de 2014 – Grupo A,2014년 FIFA 월드컵 A조
farinha de mandioca,카사바가루
feijoada à brasileira,페이조아다
comando militar de área,지역사령부
Grêmio Novorizontino,그레미우 노보리존치누
Igreja da Ordem Terceira do Carmo,올덴 테르세이라 두 카르모 교회
Jardim 25 de Agosto,8 월 25 일
linguiça calabresa,링구이사 칼라브레자
Lulismo,룰라주의
PAL-M,PAL-M
pavê,파베
Pirão,피랑
Secretaria da Receita Federal do Brasil,receita federal
Praça da República,헤프블리카 광장
Praça XV de Novembro,11월 15일 광장
São Francisco Futebol Clube (Santarém),상프란시스쿠 FC
subdivisões do Brasil,브라질의 행정 구역
Pirarrãs,피라항인
luta nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 레슬링
Brasil nos Jogos Olímpicos de Inverno de 2014,2014년 동계 올림픽 브라질 선수단
badminton nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 배드민턴
Copa do Mundo FIFA de 2014 – Fase final,2014년 FIFA 월드컵 결선 토너먼트
ciclismo nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 사이클
Brasil na Copa do Mundo FIFA,브라질의 FIFA 월드컵 성적
Caxirola,카시롤라
futebol nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 축구
tiro com arco nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 양궁
Judo nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 유도
esgrima nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 펜싱
andebol nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 핸드볼
pentatlo moderno nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 근대5종
Voleibol nos Jogos Olímpicos de Verão de 2016 - Masculino,2016년 하계 올림픽 배구 남자
Convocações para a Copa do Mundo de 2014,2014년 FIFA 월드컵 선수 명단
ginástica nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 체조
BR,BR
lista de árbitros da Copa do Mundo FIFA de 2014,2014년 FIFA 월드컵 심판
We Are One (Ole Ola),We Are One
Aeródromo Marchesan S.A,Marchesan
Seleções participantes da Copa das Confederações FIFA de 2013,2013년 FIFA 컨페더레이션스컵 선수 명단
Campeonato Sul-Americano de Futebol Feminino de 2014,2014년 남아메리카 여자 축구 선수권 대회
Haas&Hahn,Haas&Hahn
epidemia de chicungunha na américa de 2013-2014,2013-2014년 치쿤구니야 유행
Copa das Confederações FIFA de 2013 – Grupo A,2013년 FIFA 컨페더레이션스컵 A조
protestos no Brasil em 2013,2013년 브라질 반정부 시위
Final da Copa do Mundo FIFA de 2014,2014년 FIFA 월드컵 결승전
Easy Taxi,이지택시
Taekwondo nos Jogos Olímpicos de Verão de 2016 - Até 67 kg feminino,2016년 하계 올림픽 태권도 여자 67kg급
Belém,벨렝
estatísticas da Copa do Mundo FIFA de 2014,2014년 FIFA 월드컵 통계
Embaixada da Coreia do Norte em Brasília,조선민주주의인민공화국 대사관
Copa das Confederações FIFA de 2013 – Fase final,2013년 FIFA 컨페더레이션스컵 결선 토너먼트
dados disciplinares da Copa do Mundo FIFA de 2014,2014년 FIFA 월드컵 경고 기록
Protestos no Brasil contra a Copa do Mundo de 2014,2014년 브라질 반정부 시위
Final da Copa das Confederações FIFA de 2013,2013년 FIFA 컨페더레이션스컵 결승전
Miss T Brasil,틀:미스코리아
Brasil 1–7 Alemanha,미네이랑의 비극
Relações entre Brasil e Coreia do Sul,대한민국-브라질 관계
Eliminatórias da Copa do Mundo FIFA de 2018 - América do Sul,2018년 FIFA 월드컵 남아메리카 지역 예선
Brasil nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 브라질 선수단
basquetebol nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 농구
Voleibol de praia nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 비치발리볼
Brigada de Infantaria Paraquedista,낙하산여단
cerimónia de abertura dos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 개막식
Campeonato Mundial de Judo de 2013,2013년 세계 유도 선수권 대회
Atletismo nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 육상
tiro nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 사격
Liga Mundial de Voleibol de 2015,2015년 FIVB 배구 월드리그
voleibol nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 배구
Voleibol nos Jogos Olímpicos de Verão de 2016 - Feminino,2016년 하계 올림픽 배구 여자
Basquetebol nos Jogos Olímpicos de Verão de 2016 – Torneio masculino,2016년 하계 올림픽 남자 농구
Globo Futebol Clube,글로부 FC
Campeonato Brasileiro de Futebol de 2015 - Série A,캄페오나투 브라질레이루 세리이 A 2015
Partido Novo,신당
Campeonato Brasileiro de Futebol de 2015 - Série B,캄페오나투 브라질레이루 세리에 B 2015
halterofilismo nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 역도
Futebol nos Jogos Olímpicos de Verão de 2016 - Feminino,2016년 하계 올림픽 축구 여자
Futebol nos Jogos Olímpicos de Verão de 2016 - Masculino,2016년 하계 올림픽 축구 남자
Cerimónia de encerramento dos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 폐막식
Vinícius e Tom,비니시우스와 통
Campeonato Brasileiro de Futebol de 2015 - Série D,캄페오나투 브라질레이루 세리이 D 2015
Kuwait nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 쿠웨이트 선수단
Copa do Mundo FIFA Sub-17 de 2019,2019년 FIFA U-17 월드컵
taekwondo nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 태권도
Campeonato Brasileiro de Futebol de 2015 - Série C,캄페오나투 브라질레이루 세리에 C 2015
Campeonato Brasileiro de Futebol de 2016 - Série B,캄페오나투 브라질레이루 세리이 B 2016
Futebol nos Jogos Olímpicos de Verão de 2016 - Convocações masculinas,2016년 하계 올림픽 축구 남자 선수 명단
Basquetebol nos Jogos Olímpicos de Verão de 2016 – Torneio feminino,2016년 하계 올림픽 농구 여자
Campeonato Brasileiro de Futebol de 2016 - Série A,캄페오나투 브라질레이루 세리이 A 2016
Epidemia de febre zica em 2015–2016,아메리카 지카 바이러스 유행
Campeonato Paulista de Futebol de 2016 - Série A1,캄페오나투 파울리스타 2016
Atletismo nos Jogos Olímpicos de Verão de 2016 - Maratona masculina,2016년 하계 올림픽 육상 남자 마라톤
Alagoinhas,알라구이냐스
Una,우나
Vitória da Conquista,비토리아다콩키스타
Três Lagoas,트레스 라고아스
Esgrima nos Jogos Olímpicos de Verão de 2016 - Espada individual masculino,2016년 하계 올림픽 펜싱 남자 에페 개인전
Tiro com arco nos Jogos Olímpicos de Verão de 2016 - Individual masculino,2016년 하계 올림픽 양궁 남자 개인
Tiro com arco nos Jogos Olímpicos de Verão de 2016 - Individual feminino,2016년 하계 올림픽 양궁 여자 개인
Recopa Sul-Americana de 2017,2017년 레코파 수다메리카나
Embaixada da Arábia Saudita em Brasília,주 브라질 사우디아라비아 대사관
Revezamento da Tocha dos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 성화 봉송
Crise econômica brasileira de 2014,2014-2017 브라질 경제 위기
Conselho Nacional do Petróleo,국가석유위원회
Campeonato Brasileiro de Futebol de 2017 - Série C,캄페오나투 브라질레이루 세리이 C 2017
Associação Atlética de Altos,AA 아우투스
Arena Carioca 2,카리오카 아레나 2
Arena Carioca 3,카리오카 아레나 3
Campeonato Brasileiro de Futebol de 2017 - Série B,캄페오나투 브라질레이루 세리이 B 2017
Handebol nos Jogos Olímpicos de Verão de 2016 - Feminino,2016년 하계 올림픽 핸드볼 여자
Atletas Olímpicos Refugiados nos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 난민 선수단
Campeonato Brasileiro de Futebol de 2017,캄페오나투 브라질레이루 세리이 A 2017
Quadro de medalhas dos Jogos Paralímpicos de Verão de 2016,2016년 하계 패럴림픽 메달 집계
eleições gerais no Brasil em 2018,2018년 브라질 대통령 선거
Natação nos Jogos Olímpicos de Verão de 2016 - 400 m livre masculino,2016년 하계 올림픽 수영 남자 400m 자유형
BTD Awards,BreakTudo 어워드
Campeonato Brasileiro de League of Legends,서킷 브라질리언 리그 오브 레전드
Quadro de medalhas dos Jogos Olímpicos de Verão de 2016,2016년 하계 올림픽 메달 집계
Brasil nos Jogos Olímpicos de Inverno de 2018,2018년 동계 올림픽 브라질 선수단
Project46,프로젝트46
Recopa Sul-Americana de 2018,2018년 레코파 수다메리카나
Futebol nos Jogos Olímpicos de Verão de 2016 - Convocações femininas,2016년 하계 올림픽 축구 여자 선수 명단
Badminton nos Jogos Olímpicos de Verão de 2016 - Individual masculino,2016년 하계 올림픽 배드민턴 남자 단식
Taekwondo nos Jogos Olímpicos de Verão de 2016 - Até 58 kg masculino,2016년 하계 올림픽 태권도 남자 58kg급
Taekwondo nos Jogos Olímpicos de Verão de 2016 - Até 68 kg masculino,2016년 하계 올림픽 태권도 남자 68kg급
Taekwondo nos Jogos Olímpicos de Verão de 2016 - Até 80 kg masculino,2016년 하계 올림픽 태권도 남자 80kg급
Taekwondo nos Jogos Olímpicos de Verão de 2016 - Até 49 kg feminino,2016년 하계 올림픽 태권도 여자 49kg급
Taekwondo nos Jogos Olímpicos de Verão de 2016 - Mais de 80 kg masculino,2016년 하계 올림픽 태권도 남자 +80kg급
Campeonato Brasileiro de Futebol de 2017 - Série A,캄페오나투 브라질레이루 세리이 A 2017
Campeonato Brasileiro de Futebol de 2017 - Série D,캄페오나투 브라질레이루 세리이 D 2017
Taekwondo nos Jogos Olímpicos de Verão de 2016 - Até 57 kg feminino,2016년 하계 올림픽 태권도 여자 57kg급
Taekwondo nos Jogos Olímpicos de Verão de 2016 - Mais de 67 kg feminino,2016년 하계 올림픽 태권도 여자 +67kg급
Brasil nos Jogos Olímpicos de Verão de 2020,2020년 하계 올림픽 브라질 선수단
Capela Verzeri,Capela Verzeri
Embaixada da Coreia do Sul em Brasília,주브라질 대한민국 대사관
Incêndio no Museu Nacional do Rio de Janeiro,브라질 국립박물관 화재
Colégio Polilogos,브라질한국학교
Copa América de 2021,2021년 코파 아메리카
Extinction Rebellion,멸종에의 반란
Rotura de barragem em Brumadinho,브루마지뉴 댐 붕괴 사고
Campeonato Brasileiro de Futebol de 2019 - Série A,캄페오나투 브라질레이루 세리이 A 2019
Final da Copa América de 2019,2019년 코파 아메리카 결승전
Eleições gerais no Brasil em 2022,2022년 브라질 대통령 선거
Incêndios florestais na Amazônia em 2019,2019년 아마존 우림 산불
pandemia de COVID-19,코로나바이러스감염증-19 유행
pandemia de COVID-19 no Brasil,브라질의 코로나19 범유행
pandemia de COVID-19 na América do Sul,남아메리카의 코로나바이러스감염증-19 범유행
Embaixada da Itália em Brasília,브라질 이탈리아 대사관
SuperVia - Série 2005,SuperVia2005호대전동차
cuca,쿠카
Final da Copa América de 2021,2021년 코파 아메리카 결승전
Recopa Sul-Americana de 2021,2021년 레코파 수다메리카나
Jardim Pedro Zalla,자르딤 페드로 잘라
embaixada de Israel no Brasil,주이스라엘 브라질 대사관
embaixada do Egito no Brasil,주브라질 이집트 대사관
Conspiração do Acre,아크리주의 음모
Final do torneio de futebol masculino nos Jogos Olímpicos de Verão de 2020,2020년 하계 올림픽 축구 남자 결승전
Embraer ERJ,엠브라에르 ERJ 145
Enchentes em Petrópolis em 2022,2022년 페트로폴리스 홍수
Comando da Força de Submarinos,브라질 잠수함군사령부
Che Lagarto Hostel Porto de Galinhas,시 라가르투 오스테우 포르투 지 갈리냐스
surto de varíola dos macacos em 2022,2022년 원숭이두창 유행
19.º reunião de cúpula do G20,2024년 리우데자네이루 G20 정상회의
Consulado Geral da Coreia do Sul em São Paulo,주상파울루 대한민국 총영사관
morte de Pelé,펠레의 죽음
Ataques de 8 de janeiro em Brasília,2023년 브라질 삼권광장 습격 사건
