Idioma catalán,加泰罗尼亚语
Muñomer del Peco,穆尼奥梅尔德尔佩科
Castielfabib,卡斯铁尔法维布
Capela,阿卡佩拉
Montes de Toledo,托萊多山脈
Garcillán,加尔西良
Mendaro,门达罗
Viver y Serrateix,比韦尔和塞拉泰克斯
Vilada,比拉达·(巴塞罗那省)
Verín,贝林·(奥伦塞省)
Museo Thyssen-Bornemisza,提森-博内米萨博物馆
RCDE Stadium,RCDE球场
Arbo,阿尔沃
Valmala (España),巴尔马拉
Navalonguilla,纳瓦隆吉利亚
Saldes,萨尔德斯
San Jaime de Frontanya,圣海梅-德弗龙塔尼亚
San Julián de Cerdañola,圣胡利安-德塞尔达尼奥拉
Vallcebre,巴尔塞夫雷
Santa María de Marlés,圣玛丽亚-德梅尔莱斯
Villanueva y Geltrú,比利亚努埃瓦和赫尔特鲁
Sitges,锡切斯
Casaseca de Campeán,卡萨塞卡德坎佩亚恩
La Roda (Albacete),拉罗达
Palau Sant Jordi,聖喬治宮體育館
Caltojar,卡尔托哈尔
El Rosario (Tenerife),埃尔罗萨里奥
Algete,阿尔赫特
Olivella,奥利韦利亚
San Pedro de Ribas,圣佩德罗-德里瓦斯
Canyellas,卡涅利亚斯
Cubellas,库韦利亚斯
Grañón,格拉尼翁
Naturgy,天然氣公司
Amorebieta-Echano,阿莫雷维耶塔-埃查诺
Cunit,库尼特
Lentegí,伦特希
Lújar,卢哈尔
Madrigueras,马德里格拉斯
Lobras,洛夫拉斯
Lanjarón,兰哈龙
Arco de Bará,貝拉拱門
Segunda República española,西班牙第二共和国
Ibiza (ciudad),伊维萨
Alhama de Almería,阿尔阿马德亚尔梅里亚
Iniesta,伊涅斯塔·(昆卡省)
Begas,贝加斯
Abrera,阿夫雷拉
Primera División de España 1992-93,1992–93赛季西班牙足球甲级联赛
Recopa de Europa 1988-89,1988–89年歐洲盃賽冠軍盃
Corbera de Llobregat,略夫雷加特河畔科尔韦拉
Nulles,努列斯
Berlanga de Duero,杜罗河畔贝尔兰加
Castellví de Rosanés,罗萨内斯旧堡
Castelldefels,卡斯特尔德费尔斯
Cervelló,塞尔韦略
Collbató,科尔瓦托
Cornellá de Llobregat,略夫雷加特河畔科内利亚
El Prat de Llobregat,略夫雷加特河畔埃尔普拉特
Esparraguera,埃斯帕拉格拉
Letur,莱图尔
Minaya,米奈阿
Ábalos,阿瓦洛斯
La Recueja,拉雷库埃哈
Santa Coloma de Cervelló,圣科洛马-德塞尔韦略
El Papiol,埃尔帕皮奥尔
Golmés,戈尔梅斯
Albendiego,阿尔文迭戈
Azpeitia,阿斯佩蒂亚
Levantamiento del 2 de Mayo,五月二日起义
Mamá (escultura),妈妈·(雕塑)
Gran Canaria,大加那利岛
Diócesis de Cuenca,天主教昆卡教區
Final de la Copa de Campeones de Europa 1985-86,1986年欧洲冠军杯决赛
Primera División de España 2006-07,2006–07赛季西班牙足球甲级联赛
La Malahá,拉马拉阿
Gil-García,希尔加尔西亚
Bandera del Principado de Asturias,阿斯圖里亞斯旗幟
Maracena,马拉塞纳
Arco de Triunfo de Barcelona,凯旋门·(巴塞罗那)
Uncastillo,温卡斯蒂略
San Andrés de la Barca,圣安德烈斯-德拉巴尔卡
Anexo:Gran Premio de Europa de 2008,2008年欧洲大奖赛
Gavá,加瓦·(巴塞罗那省)
Esplugas de Llobregat,埃斯普卢加斯
Tordellego,托尔德列戈
La Bouza,拉沃萨
Terremoto de Lorca de 2011,2011年洛尔卡地震
Cucalón,库卡隆
Archena,阿尔切纳
Briones,布里奥内斯
Lumbier,伦别尔
La Serna del Monte,拉塞尔纳-德尔蒙特
Tulebras,图莱夫拉斯
San Cugat Sasgarrigas,圣库加特-萨斯加里加斯
Aeropuerto de Almería,阿尔梅里亚机场
Archivo General de Indias,西印度群岛综合档案馆
Amposta,安波斯塔
Pilones de Cádiz,加的斯输电线塔
Sariñena,萨里涅纳
Villaluenga de la Sagra,比利亚伦加德拉萨格拉
Valle Gran Rey,巴列格兰雷
Segunda División de España 1979-80,1979年至1980年西班牙足球乙级联赛
Martorell,马尔托雷尔
Molins de Rey,莫林斯-德雷伊
Olesa de Montserrat,奥莱萨-德蒙特塞拉特
Pallejá,帕列哈
La Palma de Cervelló,拉帕尔马-德塞尔韦略
Museo Guggenheim Bilbao,毕尔巴鄂古根海姆美术馆
San Pedro de Riudevitlles,圣佩德罗-德留德维特列斯
Arbancón,阿尔万孔
Campeonato Europeo Sub-16 de la UEFA 1988,1988年歐洲U-16足球錦標賽
Diócesis de Orense,天主教奧倫塞教區
Reino de Castilla,卡斯蒂利亚王国
Arévalo,阿雷瓦洛
Sahún,萨温
Primera División de España 1968-69,1968–69赛季西班牙足球甲级联赛
Odieta,奥迭塔
Partido Progresista (España),進步黨·(西班牙)
Villaflores (Salamanca),比利亚弗洛雷斯
San Clemente de Llobregat,圣克莱门特-德略夫雷加特
San Baudilio de Llobregat,略夫雷加特河畔圣包迪利奥
Talavera de la Reina,塔拉韦拉-德拉雷纳
San Esteban Sasroviras,圣埃斯特万-德萨斯罗维拉斯
Sant Feliu de Llobregat,略夫雷加特河畔圣费利乌
Partido Comunista de España,西班牙共产党
Amurrio,阿穆里奥
Paralelo 38 norte,北纬38度线
Copa de la Paz,和平盃足球賽
Aliud,阿柳德
Copa del Rey,西班牙國王盃
Llanos del Caudillo,利亚诺斯德尔考迪略
Cuatretonda,夸特雷通达
El Campo de Peñaranda,埃尔坎波德佩尼亚兰达
Granja de Escarpe,拉格兰哈德斯卡尔普
Macarena (Sevilla),马卡雷纳·(塞维利亚)
Cantavieja,坎塔维耶哈
Sollana,索利亚纳
Tamarite de Litera,塔马里特德利特拉
Universidad de Zaragoza,沙拉哥薩大學
Sada (Navarra),萨达·(纳瓦拉)
Argecilla,阿尔赫西利亚
San Vicente dels Horts,圣维森特-德尔斯奥尔特斯
Torrellas de Llobregat,略夫雷加特河畔托雷列斯
Lanzarote,兰萨罗特岛
Eurocopa 1964,1964年歐洲國家盃
Vallirana,巴利拉纳
Estadio de San Mamés,圣马梅斯球场·(2013年)
Algeciras,阿尔赫西拉斯
Baraona,巴劳纳
San Justo Desvern,圣胡斯托-德斯韦尔恩
Sant Joan Despí,圣胡安德斯皮
Orbita (España),奥尔维塔
Medinaceli,梅迪纳塞利
Primera División de España 1956-57,1956–57赛季西班牙足球甲级联赛
Osuna,奥苏纳
Armallones,阿尔马略内斯
Albeta,阿尔韦塔
Aranzueque,阿兰苏埃克
Marín (Pontevedra),马林·(蓬特韦德拉省)
Angón,安贡
Valenzuela (Córdoba),巴伦苏埃拉
Urrea de Gaén,乌雷亚德盖恩
San Sebastián de los Reyes,圣塞瓦斯蒂安-德洛斯雷耶斯
Llubí,柳维
Mezquita Central de Madrid,馬德里中央清真寺
Partido Popular,人民党·(西班牙)
El Clásico,西班牙打吡
El Burgo de Osma-Ciudad de Osma,布尔戈德奥斯马-休达德奥斯马
Marbella,马贝拉
Láchar,拉查尔
Hoz y Costean,奥西科斯特亚恩
Aeropuerto de Jerez,赫雷斯机场
Línea de alta velocidad Perpiñán-Figueras,佩皮尼昂—菲格拉斯高速铁路
La Garrovilla,拉加罗维利亚
Puig Mayor,馬佐爾峰
Arceniega,阿尔塞涅加
Casla,卡斯拉
Baños de la Encina,巴尼奥斯德莱恩西纳
Navamorcuende,纳瓦莫尔昆德
Onil,奥尼尔·(阿利坎特省)
Almadrones,阿尔马德罗内斯
Anquela del Pedregal,安克拉德尔佩德雷加尔
Quintanilla de Onsoña,金塔尼利亚德翁索尼亚
Aranjuez,阿兰胡埃斯
Reus,雷烏斯
Yanguas,伊安瓜斯
Terradillos de Esgueva,特拉迪略斯德埃斯格瓦
Candelaria (Tenerife),坎德拉里亚·(特内里费岛)
San Esteban de Gormaz,圣埃斯特万德戈尔马斯
Alcobendas,阿尔科文达斯
Orihuela,奥里韦拉
Alocén,阿洛森
Almonacid de Zorita,阿尔莫纳西德索里塔
Viladecans,比拉德坎斯
Hoyos de Miguel Muñoz,奥约斯德米格尔穆尼奥斯
Batalla de Clavijo,克拉維霍戰役
Vallehermoso,巴列埃尔莫索
Badajoz,巴達霍斯
Suellacabras,苏埃利亚卡夫拉斯
Ferrol,费罗尔
Jaén,哈恩·(西班牙)
Monterrubio de la Serena,蒙特鲁维奥德拉塞雷纳
Baracaldo,巴拉卡尔多
Lonja de la Seda,瓦倫西亞絲綢交易廳
Guadalmez,瓜达尔梅斯
Valdastillas,巴尔达斯蒂利亚斯
Cáceres,卡塞雷斯·(西班牙)
Pueblo lituano,立陶宛人
Diócesis de Coria-Cáceres,天主教科里亞-卡塞雷斯教區
Hispania,西班牙·(罗马行省)
Don Benito,唐贝尼托
Benicasim,贝尼卡西姆
Archidiócesis de Pamplona y Tudela,天主教潘普洛纳暨图德纳总教区
Museo Arqueológico de Sevilla,塞维利亚考古博物馆
Triacastela,特里亚卡斯特拉
Arcos de la Frontera,阿尔科斯-德拉弗龙特拉
Orihuela Club de Fútbol,奥里韦拉足球俱乐部
Villamartín de Don Sancho,比利亚马尔廷德东桑乔
Tinajo,蒂纳霍
Benidorm,贝尼多姆
SEAT,西亚特
Olivenza,奥利文萨
Iberia (aerolínea),西班牙國家航空
Baeza,拜萨
Puente romano de Mérida,羅馬橋·(梅里達)
Palacios de Riopisuerga,帕拉西奥斯德里奥皮苏埃尔加
Cádiz,加的斯
Móstoles,莫斯托莱斯
Segovia,塞哥维亚
Ávila,阿维拉
Puente Genil,蓬特赫尼尔
Bronchales,布龙查莱斯
Sitio de Barcelona (1705),巴塞隆納圍城戰·(1705年)
Alcalá la Real,雷亚尔堡
Masanella,馬薩內利亞峰
Puebla de Montornés,拉波夫拉德蒙托尔内斯
Mondariz,蒙达里斯
Batalla de Medellín,麥德林戰役
Peseta,比塞塔
Salamanca,萨拉曼卡
Anexo:Municipios de España por población,西班牙城市列表
Benalmádena,贝纳尔马德纳
Torrejón de Ardoz,托雷洪-德阿尔多斯
Vicálvaro,比卡尔瓦罗区
Alconada de Maderuelo,阿尔科纳达德马德鲁埃洛
Segunda División de España 1999-2000,1999年至2000年西班牙足球乙级联赛
Dos Hermanas,两姊妹镇
Comares,科马雷斯
Tribaldos,特里瓦尔多斯
Torralba de Oropesa,托拉尔瓦德奥罗佩萨
Parrillas,帕里利亚斯
Bot (España),博特
Pedrosa del Príncipe,佩德罗萨德尔普林西佩
Pozuelo de Alarcón,波苏埃洛-德阿拉尔孔
Tarazona,塔拉索纳
Santa María del Arroyo,滨河圣玛丽亚
Andasol,安达索尔太阳能电站
Baza (Granada),巴萨·(格拉纳达省)
Calviá,卡尔维亚
Mondragón,蒙德拉贡
Guecho,格乔
Fuenterrabía,丰特拉维亚
Berja,贝尔哈
San Vicente del Raspeig,圣维森特-德尔拉斯佩奇
Almendralejo,阿尔门德拉莱霍
Baronía de Rialp (Lérida),拉瓦罗尼亚德里亚尔布
Andorra (Teruel),安多拉·(特鲁埃尔省)
Fuengirola,丰希罗拉
Torremolinos,托雷莫利诺斯
Merindad de Valdeporres,梅林达德瓦尔德波雷斯
Bufali,布法利
Legión Española,西班牙外籍兵團
Loporzano,洛波尔萨诺
Ribadesella,里瓦德塞利亚
Aldealengua,阿尔德亚伦瓜
Copa de la Liga de España,西班牙聯賽盃
Alburquerque,阿尔武尔克尔克
Estepona,埃斯特波纳
Andrach,安德拉奇
El Ejido,埃尔埃希多
Santillana del Mar,滨海桑蒂利亚纳
Langreo,兰格雷奥
Torralba del Río,滨河托拉尔瓦
Incio,奥因西奥
Arbeteta,阿尔韦特塔
Boadilla del Camino,博阿迪利亚德尔卡米诺
Alcoy,阿尔科伊
Torrelavega,托雷拉韦加
Ayerbe,阿耶韦
Guernica y Luno,格尔尼卡
Zamora,萨莫拉·(西班牙)
Las Rozas de Madrid,拉斯罗萨斯-德马德里
Rute,鲁特·(科尔多瓦省)
Vélez-Málaga,贝莱斯-马拉加
Plazas de soberanía,西属主权地
Turismo en España,西班牙觀光
Campeonato Mundial de Natación de 2003,2003年世界游泳錦標賽
Cachorrilla,卡乔里利亚
Llano de Olmedo,利亚诺德奥尔梅多
Mijas,米哈斯
Peralejos,佩拉莱霍斯
Santiago de Alcántara,圣地亚哥-德阿尔坎塔拉
León (España),莱昂·(西班牙)
Tubilla del Agua,图维利亚德拉瓜
Cañizal,卡尼萨尔
Rota,罗塔·(加的斯省)
Argensola,阿尔亨斯索拉
Montejícar,蒙特希卡尔
Bellprat,贝利普拉特
Bruch,埃尔布鲁克
Carme,卡尔梅
Calonje de Segarra (Barcelona),卡隆赫-德塞加拉
Capellades,卡佩利亚德斯
Alcalá de Guadaíra,瓜代拉堡
Aranda de Duero,杜罗河畔阿兰达
Cabrera de Igualada,卡夫雷拉-德伊瓜拉达
Calaf (España),卡拉夫
Peñón de Vélez de la Gomera,戈梅拉半岛
Castellolí,卡斯特略利
Castellfullit de Riubregós,富利特堡-德留夫雷戈斯
La Llacuna,拉利亚库纳
Jorba,霍尔瓦
Igualada,伊瓜拉达
Éibar,埃瓦尔
Calatayud,卡拉泰乌德
San Martín Sarroca,圣马丁萨罗卡
Navas de Jorquera,纳瓦斯德霍尔克拉
Oñate,奥尼亚蒂
Anexo:Campeonato Europeo Sub-16 de la UEFA 1999,1999年歐洲U-16足球錦標賽
Nerpio,内尔皮奥
Tierzo,铁尔索
Monachil,莫纳奇尔
Escalante (Cantabria),埃斯卡兰特
Boal,博阿尔
Copóns,科蓬斯
Els Hostalets de Pierola,彼罗拉
Villada (España),比利亚达
Ódena,奥德纳
Villalobón,比利亚洛翁
Montmaneu,蒙特马内乌
Masquefa,马斯克法
Mojácar,莫哈卡尔
Arganda del Rey,阿尔甘达-德尔雷伊
Moclín,莫克林
Murtas,穆尔塔斯
Montillana,蒙蒂利亚纳
Montefrío,蒙特弗里奥
Morelábor,莫雷拉沃尔
Arenas Club,格乔阿雷纳斯俱乐部
Arenas de San Pedro,阿雷纳斯-德圣佩德罗
Vivero,比韦罗
Metro de Madrid,马德里地铁
Molinicos,莫利尼科斯
Fuerteventura,富埃特文图拉岛
Almuñécar,阿尔穆涅卡尔
Tolosa (Guipúzcoa),托洛萨
Juegos Mediterráneos de 2018,2018年地中海运动会
Padrón (La Coruña),帕德龙
Castro-Urdiales,卡斯特罗-乌尔迪亚莱斯
Lepe,莱佩
Cabezón de la Sal,卡韦松德拉萨尔
Motilleja,莫蒂列哈
Roquetas de Mar,滨海罗克塔斯
Real Alcázar de Sevilla,塞维利亚王宫
Ossa de Montiel,奥萨德蒙铁尔
Montealegre del Castillo,蒙特阿莱格雷-德尔卡斯蒂略
Gallipienzo,加利皮恩索
Anexo:Gran Premio de España de 2001,2001年西班牙大獎賽
Curiel de Duero,杜罗河畔库列尔
Anexo:Gran Premio de España de 2003,2003年西班牙大奖赛
Anexo:Gran Premio de España de 2002,2002年西班牙大奖赛
Vierlas,别尔拉斯
Calahorra,卡拉奥拉
Baztán,巴斯坦
Orpí,奥尔皮
Piera,彼拉
Prats del Rey,普拉茨-德尔雷伊
La Pobla de Claramunt,拉波夫拉-德克拉拉蒙特
Pujalt,普哈尔特
San Martín Sasgayolas,圣马丁萨斯加约拉斯
Rubió,鲁维奥
Santa Margarita de Montbuy,圣玛格丽塔-德蒙特维
Salavinera,萨拉维内拉
San Martín de Tous,圣马丁-德托斯
Santa María de Miralles,圣玛丽亚-德米拉列斯
Vallbona,巴尔沃纳·(加泰罗尼亚)
Torre de Claramunt,托雷-德克拉拉蒙特
Alhama de Granada,格拉纳达省阿拉马
Anexo:Gran Premio de España de 2005,2005年西班牙大奖赛
Anexo:Gran Premio de España de 2006,2006年西班牙大奖赛
Ceberio,塞韦里奥
Primera División de España 1960-61,1960–61赛季西班牙足球甲级联赛
Anexo:Gran Premio de España de 2007,2007年西班牙大奖赛
Arnedo,阿尔内多
Valverde de los Arroyos,滨河巴尔韦德
Cebreros,塞夫雷罗斯
Vilanova del Camí,卡米新镇
Veciana,贝西亚纳
Jerez,雪利酒
Río Tajuña,塔胡尼亞河
Río Jarama,哈拉馬河
Río Lozoya,洛索亞河
Río Henares,埃納雷斯河
Sotorribas,索托里瓦斯
Sisante,西桑特
Asociación de Amistad con Corea,朝鮮友好協會
Mar de Alborán,阿尔沃兰海
Solera de Gabaldón,索莱拉德加瓦尔东
Universiada de 1999,1999年夏季世界大學運動會
Santa María del Val,圣玛丽亚德尔巴尔
Irún,伊倫
Reino de Aragón,阿拉贡王国
Barbastro,巴尔瓦斯特罗
Villena,比列纳
Medina Sidonia,锡多尼亚城
Arens de Lledó,阿伦斯德列多
Catllar,埃尔卡特利亚尔
Anexo:Gran Premio de España de 2011,2011年西班牙大奖赛
Masters de Madrid 2012,2012年馬德里公開賽
Artés,阿尔特斯
Avinyó,阿维尼奥
Callús,卡柳斯
Balsareny,巴尔萨雷尼
Calders,卡尔德尔斯
Aguilar de Segarra,阿吉拉尔-德塞加拉
Río Alagón,阿拉贡河·(塔霍河支流)
Río Almonte,阿爾蒙特河
Villasdardo,比利亚斯达尔多
Torija,托里哈
Cuatro Torres Business Area,四大樓商業區
Llanes,利亚内斯
Lucena,卢塞纳
Casa Amatller,阿马特耶之家
Alcalá del Obispo,阿尔卡拉德洛维斯波
Alberche,阿尔韦切河
Río Tiétar,鐵塔爾河
Río Manzanares,曼薩納雷斯河
Ababuj,阿瓦武赫
La Encina (Salamanca),莱恩西纳
Burganes de Valverde,布尔加内斯德瓦尔韦尔德
Yémeda,耶梅达
Espinosa de los Monteros,埃斯皮诺萨-德洛斯蒙特罗斯
Hospital de la Santa Cruz y San Pablo,圣十字圣保罗医院
Gallegos del Río,滨河加列戈斯
Castellfullit del Boix,富利特堡-德尔博伊克斯
Castellgalí,加利堡
Cardona,卡尔多纳
Castellbell y Vilar,贝尔堡和比拉尔
Castellnou de Bages,巴赫斯新堡
Fonollosa,福诺略萨
Estany,埃斯塔尼
Cigüela,锡圭拉河
Villanueva del Rosario,罗萨里奥新镇
Anexo:Medallero de los Juegos Olímpicos de Barcelona 1992,1992年夏季奥林匹克运动会奖牌榜
El Robledo (Ciudad Real),埃尔罗夫莱多
Sistema Ibérico,伊比利亞山脈
Mar Balear,巴利阿里海
La Palma,拉帕爾馬島
Lalueza,拉卢埃萨
Manresa,曼雷萨
Gayá,加亚
Bergondo,贝尔贡多
Primera División de España 1998-99,1998–99赛季西班牙足球甲级联赛
Otero de Rey,欧泰罗德雷
Navás (Barcelona),纳瓦斯·(市镇)
Rocafort y Vilumara,罗卡福特和比卢马拉
Pico Almanzor,阿爾曼索爾峰
Cabo Trafalgar,特拉法加角
San Felíu Saserra,圣费利乌萨塞拉
Rajadell,拉哈德尔
Sallent de Llobregat,萨连特
Nogal de las Huertas,诺加尔德拉斯韦尔塔斯
Pozorrubielos de la Mancha,波索鲁维耶洛斯德拉曼查
Polanco (España),波兰科
Muro (Baleares),穆罗
Ondárroa,翁达罗阿
Alcudia de Monteagud,阿尔库迪亚德蒙特亚古德
Catedral de El Burgo de Osma,布爾戈德奧斯馬主教座堂
Rabanera del Pinar,拉瓦内拉德尔皮纳尔
Bultaco,Bultaco
Villademor de la Vega,比利亚德莫尔德拉韦加
Güeñes,圭涅斯
Malpica de Bergantiños,马尔皮卡-德贝甘蒂尼奥斯
Pallaresos,埃尔斯帕利亚雷索斯
Línea de alta velocidad Madrid-Segovia-Valladolid,馬德里—華拉度列高速鐵路
Santo Domingo de la Calzada,圣多明各-德拉卡尔萨达
Barcheta,巴尔克塞塔
Alcolea de Calatrava,阿尔科莱亚德卡拉特拉瓦
Marganell,马加内尔
Záncara,桑卡拉河
Monistrol de Calders,卡尔德斯河畔莫尼斯特罗尔
Moyá,莫亚·(巴塞罗那省)
Monistrol de Montserrat,莫尼斯特罗尔-德蒙塞拉特
Estadio de Mestalla,馬斯泰拿球場
Navarclés,纳瓦尔克莱斯
Alcalá de los Gazules,加苏莱斯堡
Capsanes,卡普斯萨内斯
El Puerto de Santa María,圣玛丽亚港
Mura,穆拉·(巴塞罗那省)
Río Guadalupe,瓜達盧佩河
Segunda División de España 1944-45,1944年至1945年西班牙足球乙级联赛
Cantimpalos,坎廷帕洛斯
La Oliva,拉奥利瓦
Poveda de la Sierra,波韦达德拉谢拉
Manzanera,曼萨内拉
Buenavista del Norte,布埃纳维斯塔-德尔诺尔特
Valdepiélago,巴尔德彼拉戈
Estadio Alfredo Di Stéfano,阿尔弗雷多·迪斯蒂法诺球场
El Ronquillo,埃尔龙基略
Tivenys,蒂韦尼斯
Las Navas de la Concepción,拉斯纳瓦斯德拉孔塞普西翁
Melque de Cercos,梅尔克德塞尔科斯
El Losar del Barco,埃略萨尔德尔瓦尔科
Vilaseca,比拉-塞卡
Alaminos,阿拉米诺斯
Ayelo de Malferit,阿耶洛-德马尔费里特
Valgañón,巴尔加尼翁
Pico Cilindro,锡林德罗峰
Palacio Episcopal de Astorga,阿斯托加主教宫
Solsona,索尔索纳
El Granado,埃尔格拉纳多
Chiprana,奇普拉纳
Masoteras,马索特雷斯
Marañón (Navarra),马拉尼翁
Monasterio de Poblet,波夫萊特修道院
Mar de Cerdeña,薩丁尼亞海
El Berrueco,埃尔韦鲁埃科
Capafons,卡帕丰特斯
Reíllo,雷略
Rivas-Vaciamadrid,里瓦斯-巴西亚马德里德
Longás,隆加斯
Segunda División de España 1945-46,1945年至1946年西班牙足球乙级联赛
Pozuelo de Calatrava,波苏埃洛德卡拉特拉瓦
Milagro (Navarra),米拉格罗
Ruente,伦特
Sobrado (La Coruña),索夫拉多
San Fructuoso de Bages,圣弗鲁克托索-德巴赫斯
San Juan de Torruella,圣胡安-德托鲁埃利亚
Santa María de Oló,圣玛丽亚-德奥洛
Sampedor,桑佩多尔
Catedral de Santiago de Compostela,圣地亚哥-德孔波斯特拉主教座堂
Spanair,西班牙航空
Río Urola,烏羅拉河
San Vicente de Castellet,圣维森特-德卡斯特列特
Guardiola,瓜尔迪奥拉
San Mateo de Bages,圣马特奥-德巴赫斯
Villalpardo,比利亚尔帕尔多
Villamayor de Monjardín,蒙哈尔丁大镇
Navas del Madroño,纳瓦斯德尔马德罗尼奥
Metrovalencia,瓦倫西亞軌道交通
Villanova (Huesca),比利亚诺瓦
Cirauqui,锡劳基
La Vanguardia,先锋报
Biota (Zaragoza),比奥塔
Palacio Güell,桂尔宫
Barrio Gótico de Barcelona,哥特区
Catedral de la Santa Cruz y Santa Eulalia (Barcelona),巴塞罗那主教座堂
Trofeo Joan Gamper,甘伯盃
Matrimonio entre personas del mismo sexo en España,西班牙同性婚姻
Selección de fútbol de Cataluña,加泰罗尼亚联队
Puebla de Segur,波夫拉德塞古尔
Ares (La Coruña),阿雷斯·(拉科鲁尼亚省)
Fiscal (Huesca),菲斯卡尔
Dévanos,德瓦诺斯
Meñaca,梅尼亚卡
Arrecife (España),阿雷西费
Casbas de Huesca,卡斯瓦斯德韦斯卡
Aeropuerto de Bilbao,毕尔巴鄂机场
Vilabella,比拉韦利亚
Hoz de Jaca,奥斯德哈卡
Estadio de La Romareda,罗马雷达球场
Pico Aneto,阿内托峰
Morisco,摩里斯科人
Segunda División de España 1972-73,1972年至1973年西班牙足球乙级联赛
Cañamaque,卡尼亚马克
Arenzana de Arriba,上阿伦萨纳
Buendía,本迪亚
Monterrubio de la Sierra,蒙特鲁维奥德拉谢拉
Talamanca (Barcelona),塔拉曼卡
Suria,苏里亚
Geografía de España,西班牙地理
Primera División de España 2011-12,2011–12賽季西班牙足球甲級聯賽
Real Federación Española de Fútbol,西班牙皇家足球協會
San Sebastián de La Gomera,圣塞瓦斯蒂安-德拉戈梅拉
Cordillera Cantábrica,坎塔布里亚山脉
Casa Milà,米拉之家
Estadio Vicente Calderón,比森特·卡尔德隆球场
Becedas,贝塞达斯
Mugía,穆希亚
Camarzana de Tera,卡马尔萨纳德特拉
Segunda División de España 1977-78,1977年至1978年西班牙足球乙级联赛
Ejulve,埃胡尔韦
Vueling Airlines,伏林航空
Estella,埃斯特利亚
Corral de Almaguer,科拉尔德亚尔马格尔
Oreja (Guipúzcoa),奥雷哈
Amayuelas de Arriba,上阿马尤拉斯
Denia,德尼亚
Selección de baloncesto de España,西班牙国家男子篮球队
Motril,莫特里尔
Campeonato Europeo de Atletismo de 2010,2010年歐洲田徑錦標賽
Medina Azahara,阿爾扎哈拉古城
Premio Internacional Cataluña,加泰罗尼亚国际奖
Alcázar de los Reyes Cristianos,基督教君主城堡
Sanlúcar de Barrameda,桑卢卡尔-德巴拉梅达
Teatro Real (Madrid),马德里皇家剧院
Cetrería,鹰猎
Cosuenda,科孙达
Fuente-Álamo (Albacete),丰特-阿拉莫
Alberuela de Tubo,阿尔韦鲁埃拉德图沃
Monte Caro,卡羅山
Lozoya (Madrid),洛索亚
Vallada,巴利亚达
Anexo:Balonmano en los Juegos Olímpicos de Barcelona 1992,1992年夏季奧林匹克運動會手球比賽
San Quintín de Mediona,圣金廷-德梅迪奥纳
Echevarría (Vizcaya),埃切瓦里亚
El Buste,埃尔武斯特
Navalvillar de Pela,纳瓦尔维利亚尔德佩拉
Premios Goya,哥雅獎
Pelota vasca,巴斯克回力球
Odiel,奥迭尔河
Guadiana Menor,瓜迪亞納梅諾爾河
Juslapeña,胡斯拉佩尼亚
Río Tinto,廷托河
Campillos-Sierra,坎皮略斯-谢拉
Catedral de Teruel,特魯埃爾主教座堂
Santa Olalla (Toledo),圣奥拉利亚
Conca de Dalt,孔卡德达尔特
Gabet de la Conca,加韦特德拉孔卡
Isona y Conca Dellá,伊索纳和孔卡德利亚
Ventas de Huelma,本塔斯德韦尔马
Iglesia Matriz de la Concepción (Santa Cruz de Tenerife),无玷始胎堂·(圣克鲁斯-德特内里费)
Palacio de la Generalidad de Cataluña,加泰罗尼亚政府宫
Biscarrués,比斯卡鲁埃斯
La Puebla de Valverde,巴尔韦德镇
Distribución geográfica del idioma español,西班牙語圈
Línea 6 (Metro de Madrid),馬德里地鐵6號線
Puertollano,普埃尔托利亚诺
Monte Perdido,佩爾迪多山
Edificio España,西班牙大廈
Coca (Segovia),科卡
Río Guadajoz,瓜达霍斯河
Guadaíra,瓜代拉河
Río Genil,赫尼爾河
Batalla de Gerona (1808),第一次赫罗纳之战
Primera División de España 2009-10,2009–10賽季西班牙足球甲級聯賽
Las meninas,宮女·(委拉斯開茲)
Mulhacén,穆拉森山
Batasuna,团结·(巴斯克)
Serós,塞罗斯
Torres de Segre,托雷斯德塞格雷
Almendral de la Cañada,阿尔门德拉尔德拉卡尼亚达
Llimiana,利米亚纳
Sant Esteve de la Sarga,圣埃斯特万-德拉萨尔加
Salás del Pallars,萨拉斯德帕利亚尔斯
Villargordo del Cabriel,比利亚尔戈尔多德尔卡夫列尔
Baides,拜德斯
Pollensa,波连萨
Aísa,艾萨
Millanes,米利亚内斯
Benetúser,贝内图塞尔
Puzol,普斯索尔
Paterna,帕特尔纳
Sarroca de Bellera,萨罗卡德韦列拉
Talarn,塔拉尔恩
Senterada,森特拉达
Anfiteatro de Itálica,意大利迦罗马圆形剧场
Frúniz,弗鲁尼斯
Basconcillos del Tozo,巴斯孔西略斯德尔托索
Tremp,特伦普
Torre de Capdella,拉托雷德卡夫德利亚
Guadalentín,瓜達倫廷河
Río Segura,塞古拉河
Río Mundo,蒙多河
Georgianos,喬治亞人
Atentados del 11 de marzo de 2004,馬德里三一一連環爆炸案
Costa del Sol,太阳海岸
Río Andarax,安达拉克斯河
Abella de la Conca,阿韦利亚德拉孔卡
Guadalmedina,瓜達爾麥迪娜河
Río Guadalfeo,瓜達爾費奧河
Cazurra,卡苏拉
Castuera,卡斯图埃拉
Villar de Barrio,比拉尔德瓦里奥
Río Guadiaro,瓜迪亞羅河
Guadalete,瓜達萊特河
Bembézar,本贝萨尔河
Guadalhorce,瓜達洛塞河
