Osasco,奥萨斯库
Capela do Alto Alegre,卡佩拉-杜阿尔图阿莱格里
Santa Rita do Araguaia,圣丽塔-杜阿拉瓜亚
Diocese de Cametá,天主教卡梅塔教区
Ilha Grande do Gurupá,古魯帕島
Braúna (São Paulo),布拉乌纳
Santa Gertrudes (São Paulo),圣热尔特鲁迪斯
Partido Verde (Brasil),綠黨·(巴西)
Júlio de Castilhos (Rio Grande do Sul),茹利乌-迪卡斯蒂柳斯
LATAM Airlines Group,南美航空集团
Movimento Democrático Brasileiro (1980),巴西民主運動
União da Serra,乌尼昂-达塞拉
Vila Nova do Sul,南维拉诺瓦
Artur Nogueira,阿图尔诺盖拉
Álvares Machado,阿尔瓦里斯马沙杜
Lista de municípios de Sergipe,塞爾希培州市鎮列表
Bento de Abreu,本托迪阿布雷乌
Lins,林斯
Getúlio Vargas (Rio Grande do Sul),热图利奥·瓦尔加斯·(南里奥格兰德州)
Porto Estrela,埃斯特雷拉港
Estiva Gerbi,埃斯蒂瓦热尔比
Sete Barras,塞蒂巴拉斯
Pajeú do Piauí,皮奥伊州帕热乌
Relações entre Brasil e Japão,巴西—日本關係
Orizona,奥利佐纳
Salvador do Sul,南萨尔瓦多
Supremo Tribunal Federal,巴西最高法院
Pico da Neblina,內布利納峰
Guararapes,瓜拉拉佩斯
Muqui,穆基·(聖埃斯皮里圖州)
Jaguaquara,雅瓜夸拉
Iracemápolis,伊拉塞马波利斯
Aeroporto Internacional do Rio de Janeiro-Galeão,里约热内卢/加利昂-安东尼奥·卡洛斯·若比姆国际机场
Juvenília,茹韦尼利亚
Rancho Alegre (Paraná),兰舒阿莱格里
Itaguaí,伊塔瓜伊
Nova Candelária,新坎德拉里亚
Floraí,费洛拉伊
Jaíba,雅伊巴
Icapuí,伊卡普伊
Pilar (Paraíba),皮拉爾·(帕拉伊巴州)
Vila Bela da Santíssima Trindade,维拉贝拉-达桑蒂西马特林达迪
Santa Margarida do Sul,南聖瑪加麗達
Itupeva,伊图佩瓦
Itapororoca,伊塔波罗罗卡
Carneirinho,卡内里尼奥
Bom Sucesso de Itararé,邦苏塞苏-迪伊塔拉雷
Esperança Nova,新埃斯佩兰萨
Rio Acima,里奥阿西马
Santo Antônio do Retiro,圣安东尼奥-杜雷蒂鲁
Serra do Espinhaço,埃斯皮尼亞蘇山脈
Jequitaí,热基塔伊
São José das Missões,圣若泽-达斯米松伊斯
São José de Mipibu,圣若泽-迪米皮布
Otacílio Costa,奥塔西柳科斯塔
Mercedes (Paraná),梅賽德斯·(巴拉那州)
Mascote (Bahia),马斯科蒂
Mariana Pimentel,马里亚纳皮门蒂尔
Picada Café,皮卡达卡费
Esteio,埃斯特尤
Capão da Canoa,卡庞达卡诺阿
Guaíba,瓜伊巴
Itu,伊图
Araguanã (Tocantins),阿拉瓜南·(托坎廷斯州)
Caiabu,凯亚布
Arquidiocese de Natal,天主教納塔爾總教區
São Gonçalo do Abaeté,阿巴埃特河畔圣贡萨洛
Cruz do Espírito Santo,克鲁斯-杜圣埃斯皮里图
Arquidiocese da Paraíba,天主教帕拉伊巴总教区
Diocese de Palmeira dos Índios,天主教帕尔梅拉-杜斯印第乌斯教区
Barra do Ouro,巴拉-杜欧鲁
Alambari,阿兰巴里
Hispanofonia,西班牙語圈
Rio Pardo,里奥帕尔杜
Aurelino Leal,奥雷利努莱阿尔
Ribeirão Branco,里贝朗布兰库
Nova Venécia,新貝內西亞
Poço Dantas,波苏丹塔斯
Universidade de Brasília,巴西利亚大学
Jordânia (Minas Gerais),若尔达尼亚
Morro da Garça,莫鲁达加尔萨
Novo Oriente de Minas,新奥连蒂-迪米纳斯
Lima Duarte (Minas Gerais),利马杜阿蒂
Nova Bandeirantes,新班代兰蒂斯
Uarini,瓦里尼
Tiros,蒂鲁斯
Diocese de Januária,天主教雅努阿里亚教区
Garruchos,加鲁绍斯
Calçoene,卡爾索埃內
Campo Limpo Paulista,坎普林普保利斯塔
Assis Brasil,阿西斯巴西
Aracati,阿拉卡蒂
Sena Madureira,塞納馬杜雷拉
Bujari,布亞里
Serra do Navio,塞拉杜纳维乌
Cutias (Amapá),庫蒂亞斯
Diocese de Barreiras,天主教巴雷拉斯教区
Cabo Frio,卡波弗里奧
Chupinguaia,舒平瓜亞
Imigrante (Rio Grande do Sul),伊米格兰蒂
Timóteo,蒂莫特乌
Cândido Rodrigues,坎迪杜-罗德里格斯
Partido da Social Democracia Brasileira,巴西社会民主党
Biritiba Mirim,比里蒂巴-米里姆
Meridiano 63 W,西經63度線
São Lourenço do Piauí,皮奥伊州圣洛伦索
Nova Esperança do Sudoeste,西南新埃斯佩兰萨
Marília,馬里利亞
Tarumirim,塔鲁米林
Suzano,蘇扎諾
Belford Roxo,貝爾福羅舒
Betim,貝廷
General Câmara,萨马拉将军镇
Eldorado do Sul,南埃尔多拉多
Agronômica,阿格罗诺米卡
Ribeirão das Neves,里贝朗尼维斯
Grão Mogol,大莫古尔
Junqueirópolis,容凯罗波利斯
Araçoiaba da Serra,阿拉索亚巴达塞拉
Álvares Florence,阿尔瓦里斯弗洛伦西
Leme do Prado,莱米-杜普拉杜
Itambacuri,伊坦巴库里
São Domingos das Dores,圣多明戈斯-达斯多里斯
São Geraldo da Piedade,圣热拉尔杜-达彼达迪
Camanducaia,卡曼杜卡亚
Vazante,瓦赞蒂
Leandro Ferreira,莱安德鲁·弗雷拉镇
Santos Dumont (Minas Gerais),桑托斯杜蒙特
Pedra do Indaiá,佩德拉-杜因达亚
Partido Socialismo e Liberdade,社会主义和自由党·(巴西)
Visconde do Rio Branco (Minas Gerais),里奥布朗库子爵镇
Oliveira (Minas Gerais),奥利韦拉·(巴西)
Mar de Espanha,马迪埃斯帕尼亚
Maravilhas,马拉维利亚斯
Umburatiba,温布拉蒂巴
Riacho dos Machados,里亚舒-杜斯马沙杜斯
Vermelho Novo,新韦尔梅柳
Ribeirão Vermelho,里贝朗-韦梅柳
Pedrinópolis,佩德里诺波利斯
Nova Ponte,新蓬蒂
Macedônia (São Paulo),马塞多尼亚
Santo Antônio do Aventureiro,圣安东尼奥-阿文图雷鲁
Martinho Campos,马蒂纽坎普斯
Virmond,维尔蒙德
Canarana (Mato Grosso),卡納拉納·(馬托格羅索州)
Nova Esperança do Sul,南新埃斯佩兰萨
Miranda (Mato Grosso do Sul),米蘭達·(南馬托格羅索州)
Laje do Muriaé,穆里亚埃河畔拉日
São João del-Rei,圣若昂德尔雷伊
Santa Maria (Rio Grande do Sul),聖瑪麗亞·(南里奧格蘭德州)
Central Nuclear Almirante Álvaro Alberto,安格拉核電廠
Diocese de Bacabal,天主教巴卡巴尔教区
Arquidiocese de Brasília,天主教巴西利亞總教區
Santo Amaro (Bahia),圣阿马鲁
Diocese do Rio Grande,天主教里奥格兰德教区
Patrocínio,帕特罗西尼乌
Tupã (São Paulo),图庞
Joaquim Pires,若阿金皮雷斯
Nova Monte Verde,新蒙蒂韦尔迪
Monte Formoso,蒙蒂福莫苏
Andradas,安德拉达斯
Marliéria,马利埃里亚
Monjolos,蒙若卢斯
Ribeira do Piauí,皮奥伊州里贝拉
Feira Grande,大费拉
Messias Targino,梅西亚斯塔尔吉努
Nova Floresta,新弗洛雷斯塔
Mallet,马莱特
São Miguel dos Milagres,圣米格尔-杜斯米拉格里斯
Carvalhos (Minas Gerais),卡瓦略斯
Cairu,凯鲁
Princesa (Santa Catarina),普林塞萨
Primeira Cruz,普里梅拉克鲁斯
Mata (Rio Grande do Sul),马塔
Serra da Saudade,塞拉-达绍达迪
Nova Belém,新贝伦
Santo Hipólito,圣伊波利图
Pedra do Anta,佩德拉杜安塔
Assis (São Paulo),阿西斯
Caibaté,凯巴特
Parque Nacional do Iguaçu,伊瓜苏国家公园·(巴西)
Caparaó,卡帕拉奥
São João do Caru,圣若昂-杜卡鲁
Marajá do Sena,马拉亚-杜塞纳
Quatiguá,夸蒂瓜
Pontes Gestal,蓬蒂斯热斯塔尔
Ipubi,伊普比
Nova Veneza (Santa Catarina),新韦内扎
Westfália (Rio Grande do Sul),韦斯特法利亚
Piraquê,皮拉克
Brasiliense Futebol Clube,巴西人足球俱乐部
Paranhos (Mato Grosso do Sul),帕拉尼奧斯·(南馬托格羅索州)
Santa Maria do Tocantins,托坎廷斯州圣玛丽亚
Severiano de Almeida,塞韦里亚努-迪阿梅达
André da Rocha,安德雷达罗沙
Paraisópolis,帕赖索波利斯
Diocese de Santo Ângelo,天主教圣安热卢教区
Parisi,帕里西
Ipê (Rio Grande do Sul),伊佩
Estádio Urbano Caldeira,维拉贝尔米罗体育场
Ibicaraí,伊比卡拉伊
Engesa,恩格薩
Nova Maringá,新马林加
Palmeirante,帕尔梅兰蒂
Palmelo,帕尔梅鲁
Paralelo 4 S,南纬4度线
Sinimbu,锡宁布
Poço Fundo,波苏丰杜
Mamonas,马莫纳斯
Bom Jesus do Amparo,邦热苏斯杜安帕罗
Prudente de Morais (Minas Gerais),普鲁登蒂-迪莫赖斯
Alfenas,阿尔费纳斯
Mata Verde,马塔韦尔迪
Josenópolis,若塞诺波利斯
Santa Rita de Caldas,圣丽塔-迪卡尔达斯
Bodocó,博多科
Presidente Prudente,普鲁登特总统城
Fartura,法尔图拉
Abreu e Lima,阿布雷乌埃利马
Farroupilha,法羅皮利亞
Arquidiocese de Campo Grande,天主教大坎普总教区
São Bento Abade,圣本图阿巴迪
Arquidiocese de Belo Horizonte,天主教贝洛奥里藏特总教区
Arquidiocese de Belém do Pará,天主教貝倫總教區
Arquidiocese de Aparecida,天主教阿帕雷西达总教区
Arquidiocese de Aracaju,天主教阿拉卡茹总教区
Arquidiocese de Botucatu,天主教博圖卡圖總教區
Campeonato Paulista de Futebol,巴西聖保羅州聯賽
Eparquia Greco-Melquita Nossa Senhora do Paraíso,默基特希臘禮天主教聖保羅天堂之母教區
Arena das Dunas,沙丘競技場
Eparquia Maronita do Brasil,馬龍尼禮天主教聖保羅黎巴嫩聖母教區
Voo Gol 1907,高尔航空1907号班机空难
Arena de Pernambuco,伯南布哥體育場
Epitaciolândia,埃皮塔西奧蘭迪亞
Caeté,卡埃特
São Roque de Minas,圣罗克迪米纳斯
Diocese de Franca,天主教弗朗卡教区
Camboriú,坎博里乌
Arquidiocese de Uberaba,天主教乌贝拉巴总教区
Malhada,马利亚达
Orós,奥罗斯·(塞阿拉州)
Bananeiras,巴纳内拉斯
Passo Fundo,帕苏丰杜
Poté,波特·(巴西)
Matias Cardoso,马蒂亚斯-卡尔多苏
Linhares (Espírito Santo),利尼亞雷斯
Novo Cruzeiro,新克鲁赛罗
Ouro Verde de Minas,欧鲁韦尔迪-迪米纳斯
São Miguel do Anta,圣米格尔-杜安塔
Salto da Divisa,萨尔图-达迪维萨
Neo Química Arena,哥林多人競技場
Povos indígenas do Brasil,巴西原住民
Tupinambarana,圖皮南巴拉納島
Dom Aquino,唐阿基努
Catanduvas (Paraná),卡坦杜瓦斯
Rio Largo,里奥拉戈
Itaipé,伊泰佩
Cristália,克里斯塔利亚
Engenheiro Navarro,纳瓦鲁工程师镇
Senador Salgado Filho,萨尔加杜·菲柳参议员镇
Afonso Cunha,阿方索库尼亚
Três Palmeiras,特雷斯帕尔梅拉斯
Dirce Reis,迪塞雷斯
Bandeira do Sul,南班代拉
Itacajá,伊塔卡雅
Cordeiro (Rio de Janeiro),科尔代鲁
Lagoa de Velhos,拉戈阿-迪韦柳斯
Gravatá (Pernambuco),格拉瓦塔
Lista de municípios de Mato Grosso do Sul,南馬托格羅索州市鎮列表
Nossa Senhora de Nazaré (Piauí),纳扎雷圣母城
Américo de Campos,阿梅里科迪坎波斯
Plácido de Castro (Acre),普拉西杜-迪卡斯特罗
Governador Jorge Teixeira,若熱特謝拉州長鎮
Sistema Brasileiro de Televisão,巴西电视系统
Itanagra,伊塔纳格拉
Jataí (Goiás),雅塔伊
Santo Antônio de Leverger,圣安东尼奥-杜莱韦热
Ipupiara,伊普皮亚拉
Nova Canaã Paulista,新卡纳昂保利斯塔
Santana de Parnaíba,圣安娜-迪巴纳伊巴
Lagoa Nova,新拉戈阿
Dom Basílio,唐巴西利乌
Birigui,比里吉
Areial,阿雷亚尔
Boa Esperança (Paraná),博阿埃斯佩蘭薩·(巴拉那州)
Itabirito,伊塔比里图
Itaberaí,伊塔贝拉伊
Monsenhor Tabosa,蒙塞纽尔塔博萨
Mari (Paraíba),马里·(巴西)
Oeste Futebol Clube,奧斯迪足球會
Rio Real (Bahia),里奥雷亚
Tianguá,蒂安瓜
Ponto dos Volantes,蓬图-杜斯沃兰蒂斯
Pratinha,普拉蒂尼亚
Rubim,鲁宾·(巴西)
Padre Paraíso,帕德里帕拉伊苏
Arquidiocese de Sorocaba,天主教索羅卡巴總教區
Arquidiocese de São Luís do Maranhão,天主教马拉尼昂的圣路易斯总教区
Arquidiocese de Ribeirão Preto,天主教里貝朗普雷圖總教區
Arquidiocese de São Paulo,天主教圣保罗总教区
Arquidiocese de Pouso Alegre,天主教波苏阿雷格里总教区
Arquidiocese de São Salvador da Bahia,天主教巴伊亚的圣萨尔瓦多总教区
Arquidiocese de Porto Alegre,天主教阿雷格里港总教区
Minas Novas,新米纳斯
Veredinha,韦雷迪尼亚
Rio do Prado,里奥-杜普拉杜
Paracatu,帕拉卡图
Medeiros,梅代鲁斯
Matozinhos,马托齐纽斯
Piumhi,皮乌米
Santana do Riacho,圣安娜-杜里亚舒
Machacalis,马沙卡利斯
São Sebastião do Paraíso,圣塞巴斯蒂昂-杜帕拉伊苏
Malacacheta,马拉卡谢塔
Arquidiocese de Campinas,天主教坎皮纳斯总教区
Arquidiocese de Cuiabá,天主教库亚巴总教区
Arquidiocese de Curitiba,天主教库里蒂巴总教区
Arquidiocese de Fortaleza,天主教福塔莱萨总教区
Arquidiocese de Juiz de Fora,天主教茹伊斯迪福拉总教区
Arquidiocese de Florianópolis,天主教弗洛里亚诺波利斯总教区
Arquidiocese de Goiânia,天主教戈亚尼亚总教区
Arquidiocese de Maceió,天主教马塞约总教区
Arquidiocese de Pelotas,天主教佩洛塔斯总教区
Arquidiocese de Montes Claros,天主教蒙蒂斯克拉鲁斯总教区
Arquidiocese de Mariana,天主教馬里亞納總教區
Arquidiocese de Maringá,天主教馬林加總教區
Arquidiocese de Palmas,天主教帕爾馬斯總教區
Arquidiocese de Niterói,天主教尼泰罗伊总教区
Arquidiocese de Passo Fundo,天主教帕苏丰杜总教区
Arquidiocese de Manaus,天主教馬瑙斯總教區
Ibicoara,伊比科阿拉
São Roberto (Maranhão),圣罗贝图
Campo Florido,坎普弗洛里杜
Borebi,博雷比
Mombuca,蒙布卡
Santo Antônio do Içá,聖安東尼奧杜伊薩
Riachão do Poço,里亚尚-杜波苏
Cacimbas,卡辛巴斯
O Globo,环球报·(巴西)
Diocese de Caçador,天主教卡萨多尔教区
Serra dos Aimorés (Minas Gerais),塞拉-杜斯艾莫雷斯
Fraiburgo,弗赖堡·(巴西)
Santa Helena de Minas,圣埃伦娜-迪米纳斯
Anahy,阿纳伊
Barracão (Rio Grande do Sul),巴拉康·(南里奧格蘭德州)
Jateí,雅特伊
Bastos,巴斯图斯
Instituto Butantan,布坦坦研究所
Além Paraíba,阿莱姆帕莱巴
Bandeira (Minas Gerais),班代拉
Bambuí,班布伊
Berilo (Minas Gerais),贝里卢
Planura,普拉努拉
Sabinópolis,萨比诺波利斯
Santa Fé de Minas,圣菲-迪米纳斯
Piranguinho,皮兰吉纽
Carrancas,卡兰卡斯
Itaú de Minas,伊塔乌迪米纳斯
Divisa Nova,新迪维萨
Inhaúma,伊尼亚乌马
Inconfidentes,因孔菲登蒂斯
Ibertioga,伊贝蒂奥加
Japaraíba,雅帕拉伊巴
Chapada Gaúcha,沙帕达-加乌沙
Jequeri,热克里
Iguatama,伊瓜塔马
Dom Cavati,唐卡瓦蒂
Nielsen Holdings,尼爾森NV
Red Bull Bragantino,巴拉干天奴紅牛
São Romão (Minas Gerais),圣罗芒
Poço das Antas,波苏达斯安塔斯
Diocese de Imperatriz,天主教因佩拉特里斯教区
Paracuru,帕拉库鲁
Tietê,铁特
Angra dos Reis,安格拉杜斯雷斯
Nova Lacerda,新拉塞尔达
Rincão,林康
Tupandi,图潘迪
Guaraci (Paraná),瓜拉西
Coroatá,科罗阿塔
São Caetano do Sul,南圣卡埃塔诺
Ipira,伊皮拉·(巴西)
Arquidiocese de Teresina,天主教特雷西纳总教区
Arquidiocese de Vitória da Conquista,天主教维多利亚达孔基斯塔总教区
Jijoca de Jericoacoara,日若卡-迪热里科阿科阿拉
Ponte Rio-Niterói,里约—尼泰罗伊大桥
Icém,伊森·(巴西)
Aracitaba,阿拉西塔巴
Dois Irmãos do Tocantins,托坎廷斯州两兄弟镇
Taquara (Rio Grande do Sul),塔夸拉
São João de Iracema,圣若昂-迪伊拉塞马
Itapebi,伊塔佩比
Bodoquena,博多克納
Virgem da Lapa,维尔任-达拉帕
Ilha Grande (Angra dos Reis),格蘭德島·(里約熱內盧州)
Ditadura militar brasileira,巴西軍人獨裁統治時期
Onça de Pitangui,翁萨迪皮坦吉
Monte Sião (Minas Gerais),蒙蒂锡昂
São José da Varginha,圣若泽-达瓦尔吉尼亚
Santana do Garambéu,圣安娜-杜加兰贝乌
Bento Gonçalves (Rio Grande do Sul),本图贡萨尔维斯
Montanhas (Rio Grande do Norte),蒙塔尼亚斯
General Carneiro (Mato Grosso),卡內魯將軍鎮·(馬托格羅索州)
Sul Brasil,南巴西镇
Pedro Canário,佩德羅卡納里奧
Arquidiocese de Cascavel,天主教卡斯卡韦尔总教区
Nova Crixás,新克里沙斯
São Bernardo Futebol Clube,聖貝拿度足球會
Serra de Maracaju,馬拉卡茹山
Pinheirinho do Vale,皮涅里纽-杜瓦利
ATP Challenger Tour Finals,ATP挑戰賽總決賽
Jeriquara,热里夸拉
Alto Rio Novo,上里奧諾沃
Palhoça,帕略萨
Pindamonhangaba,平达莫尼扬加巴
Anamã,阿納芒
Paralelo 30 S,南緯30度線
Paralelo 8 S,南纬8度线
Paralelo 19 S,南緯19度線
Paralelo 10 S,南緯10度線
Paralelo 16 S,南緯16度線
Capelinha,卡佩利尼亚
Paralelo 13 S,南緯13度線
Angelândia,安热兰迪亚
Araçaí,阿拉萨伊
Lagoa Salgada,拉戈阿萨尔加达
Ibirama,伊比拉马
Paraíso do Sul,南帕莱索
Caraá,卡拉阿
Xangri-lá,尚格里拉
Palmares,帕尔马里斯
São José do Cedro,圣若泽-杜塞德鲁
Carmo de Minas,卡尔穆-迪米纳斯
Joaíma,若阿伊马
Águas Vermelhas,阿瓜斯-韦梅利亚斯
Francisco Badaró,弗朗西斯科-巴达罗
Petrolândia (Santa Catarina),彼得羅蘭迪亞·(聖卡塔琳娜州)
Seleção Brasileira de Beisebol,巴西棒球代表隊
Campeonato Mundial de Handebol Feminino de 2011,2011年世界女子手球錦標賽
Acopiara,阿科皮亚拉
Anhanguera (Goiás),阿尼揚格拉·(戈亞斯州)
Rafard,拉法尔德
Boquim,博基姆
Chapadinha,沙帕迪尼亚
Nova Andradina,新安德拉迪納
Combinado,孔比纳杜
Belém de Maria,贝伦德马里亚
Elsevier,愛思唯爾
Chopinzinho,绍平济纽
Maragogi,马拉戈日
Conceição das Alagoas,康塞桑-达斯阿拉瓜斯
Rio Teles Pires,特利斯皮里斯河
Itápolis,伊塔波利斯
Gonzaga,贡萨加
Paula Cândido,保拉坎迪杜
Pedro de Toledo,佩德鲁迪托莱杜
São José da Coroa Grande,圣若泽-达科罗阿格兰迪
Treze Futebol Clube,十三足球俱乐部
Campina Verde,坎皮纳韦尔迪
Barreiras,巴雷拉斯
Água Comprida,阿瓜孔普里达
Comendador Gomes,戈麦斯爵士镇
Córrego Danta,科雷古丹塔
Araújos,阿拉乌茹斯
Fronteira dos Vales,弗龙泰拉-杜斯瓦莱斯
Cachoeira de Minas,卡舒埃拉-迪米纳斯
Cajuri,卡茹里
Astolfo Dutra,阿斯托尔福杜特拉
Caputira,卡普蒂拉
Buenópolis,布埃诺波利斯
Gameleiras,加梅莱拉斯
Areado,阿雷阿杜
Novo Planalto,新普拉纳图
Parque Nacional Montanhas do Tumucumaque,图穆库马克国家公园
Barra do Garças,巴拉-杜加萨斯
Óbidos (Pará),奧比杜斯
Segredo (Rio Grande do Sul),塞格雷杜
Parque Nacional do Monte Roraima,羅賴馬國家公園
Água Branca (Piauí),阿瓜布蘭卡·(皮奧伊州)
Igarapava,伊加拉帕瓦
São Pedro da Aldeia,圣佩德罗-达阿尔德亚
Jequitinhonha,热基蒂尼奥尼亚
Rio dos Bois,里奥杜斯博伊斯
Itariri,伊塔里里
Crisópolis,克里索波利斯
Catiguá,卡蒂瓜
Copa Mercosul de 1998,1998年南方共同市場盃
Cinelândia,西尼蘭地亞廣場
Wenceslau Guimarães,文塞斯劳吉马良斯
Salto do Itararé,萨尔图-杜伊塔拉雷
Araras (São Paulo),阿拉拉斯
Campo do Meio,坎波杜梅奥
São Lourenço da Serra,圣洛伦索-达塞拉
Abadia dos Dourados,阿巴迪亚多斯多拉多斯
Camacho,卡马绍
Conceição da Barra de Minas,康塞桑-达巴拉迪米纳斯
Alvorada de Minas,阿尔沃拉达德米纳斯
Felixlândia,费利什兰迪亚
Baía da Traição,巴伊亚达特莱桑
Borborema (São Paulo),博爾博雷馬
Leópolis,莱奥波利斯
Diocese de Bauru,天主教包鲁教区
Sapucaia (Rio de Janeiro),萨普卡亚
Caroebe,卡羅埃貝
Microrregião da Serra de São Miguel,聖米格爾的塞拉
São Francisco de Assis do Piauí,皮奥伊州圣弗朗西斯科-迪阿西斯
Laranjal (Minas Gerais),拉然雅爾·(米納斯吉拉斯州)
São Pedro dos Ferros,圣佩德罗-杜斯费鲁斯
Almenara,阿尔梅纳拉·(米纳斯吉拉斯州)
Tarauacá,塔勞阿卡
Massaranduba (Santa Catarina),馬薩蘭杜巴·(聖卡塔琳娜州)
Região Centro-Oeste do Brasil,巴西中西部地区
Paralelo 17 S,南緯17度線
Paralelo 12 S,南緯12度線
Paralelo 18 S,南緯18度線
Joaquim Nabuco (Pernambuco),若阿金纳布科
Evento do Rio Curuçá,1930年庫魯薩河事件
Dom Silvério,唐锡尔韦里乌
Belo Vale,贝卢瓦莱
Cabeceira Grande,大卡贝塞拉
Ibiá,伊比亚
Inimutaba,伊尼穆塔尼
Arantina,阿兰蒂纳
Córrego Fundo,科雷古-丰杜
Carvalhópolis,卡瓦略波利斯
Cruzília,克鲁齐利亚
Botelhos,博特略斯
Carmo do Rio Claro,克拉鲁河畔卡尔穆
Serra do Mar,馬爾山脈
Eixo Monumental,紀念軸
Aiquara,艾夸拉
Tacacá,酸麻蝦湯
Paralelo 28 S,南緯28度線
Paralelo 29 S,南緯29度線
Paralelo 9 S,南緯9度線
Paralelo 26 S,南緯26度線
Paralelo 3 S,南纬3度线
Partido Democrático Trabalhista,民主工党·(巴西)
Festival de Gramado,格拉马杜电影节
Coronel Murta,穆尔塔上校镇
Pirapora,皮拉波拉
Ituiutaba,伊图尤塔巴
Jenipapo de Minas,热尼帕普-迪米纳斯
Novais (São Paulo),诺瓦伊斯
Catas Altas da Noruega,卡塔斯阿尔塔斯-达诺鲁埃加
Copa do Brasil de Futebol de 2010,2010年巴西杯
Borá,博拉
Nova Iorque (Maranhão),新约基
Bom Conselho,博姆孔塞略
Conselheiro Lafaiete,拉法耶蒂顾问城
Bom Progresso,邦普罗格雷索
Catolândia,卡托兰迪亚
Claraval,克拉拉瓦尔
Rodeiro,罗代鲁
Irapuru (São Paulo),伊拉普鲁
Paralelo 1 S,南纬1度线
Paralelo 32 S,南緯32度線
Paralelo 33 S,南緯33度線
Paralelo 21 S,南緯21度線
Paralelo 7 S,南纬7度线
Baldim,巴尔丁
Bocaiuva,博凯乌瓦
Catuti,卡图蒂
Divisópolis,迪维索波利斯
Mutuípe,穆图伊皮
Tefé,特費
Embraer C-390 Millennium,KC-390運輸機
Solonópole,索洛诺波利
Diocese de Coari,天主教科阿里教區
Paralelo 22 S,南緯22度線
Paraíso do Tocantins,托坎廷斯河畔帕拉伊苏
Cuité de Mamanguape,奎特迪马曼瓜佩
Paralelo 27 S,南緯27度線
Paralelo 14 S,南緯14度線
Paralelo 31 S,南緯31度線
Paralelo 11 S,南緯11度線
Paralelo 15 S,南緯15度線
Paralelo 24 S,南緯24度線
Paralelo 25 S,南纬25度线
Mongaguá,蒙加瓜
Vinhedo,维涅杜
Manacapuru,馬納卡普魯
Durandé,杜兰德
Glaucilândia,格劳西兰迪亚
Alterosa,阿尔特罗萨
São Martinho da Serra,圣马蒂纽-达塞拉
Funilândia,富尼兰迪亚
Dionísio (Minas Gerais),迪奥尼西乌
Alto Rio Doce,上里约多塞
São Sepé,圣塞佩
Dona Francisca,唐娜弗兰西斯卡
Maximiliano de Almeida,马希米利亚努-迪阿尔梅达
Pinhal Grande,大皮尼亚尔
Itapuca,伊塔普卡
Mormaço,莫尔马苏
Ilópolis,伊洛波利斯
Bocaina de Minas,博凯纳-迪米纳斯
Cana Verde,卡纳韦尔迪
Herval,埃尔瓦尔
Araporã,阿拉波朗
Catuji,卡图日
Chapada do Norte,北沙帕达
Frei Gaspar,弗雷加斯帕
Ervália,埃瓦利亚
Dores do Indaiá,多里斯-杜因达亚
Alpinópolis,阿尔皮诺波利斯
Franciscópolis,弗朗西斯科波利斯
Jequitibá (Minas Gerais),热基蒂巴
Serafina Corrêa,塞拉菲纳科雷阿
Monte Belo do Sul,南蒙蒂贝卢
Montauri,蒙陶里
Paraí,帕莱·(巴西)
Machadinho,马沙蒂纽
Sales (São Paulo),萨利斯
Caraí,卡拉伊
Beruri,貝魯里
Igreja Nosso Senhor do Bonfim,邦芬主教座堂
Português brasileiro,巴西葡萄牙语
Parque Nacional da Chapada dos Veadeiros,韋阿代魯斯高地國家公園
Conferência das Nações Unidas sobre Meio Ambiente e Desenvolvimento,地球高峰會
Eldorado Business Tower,埃尔多拉多商业塔
Prudentópolis,普鲁登托波利斯
Valinhos,瓦利尼乌斯
Riozinho,里奥齐纽
Venâncio Aires,韦南西乌艾里斯
Charqueada (São Paulo),沙尔克阿达
Varginha,瓦尔任阿
Caconde,卡孔德
Osório (Rio Grande do Sul),奥索里乌
Santo Antônio da Alegria,圣安东尼奥-达阿莱格里亚
Peçanha,佩萨尼亚
Barra Funda,巴拉丰达
Itanhandu,伊塔年杜
Campos Altos,坎普斯阿尔图斯
Araxá,阿拉沙
Macau (Rio Grande do Norte),馬考·(北里約格朗德州)
Universidade Federal do Rio de Janeiro,里约热内卢联邦大学
Amapá (município),阿馬帕·(阿馬帕州)
Vera Cruz (Rio Grande do Norte),韋拉克魯斯·(北里約格朗德州)
Diocese de Cajazeiras,天主教卡雅泽拉斯教区
Diocese de Joinville,天主教若因维利教区
Leme,莱米·(圣保罗州)
Conselheiro Mairinck,迈林克顾问城
Itaú Unibanco,伊塔烏聯合銀行
Paulista Futebol Clube,保利斯達足球會
Jussara (Bahia),茹薩拉·(巴伊亞州)
Carbonita,卡博尼塔
Dona Euzébia,唐娜欧泽比娅
Cambuí (Minas Gerais),坎布伊
Joaquim Felício,若阿金费利西乌
Itacambira,伊塔坎比拉
Coronel Xavier Chaves,泽维尔·查韦斯上校镇
Bertópolis,贝尔托波利斯
Guanhães,瓜尼扬伊斯
Castanheira (Mato Grosso),卡斯塔涅拉·(馬托格羅索州)
Carrapateira,卡拉帕泰拉
Entre Rios do Sul,南恩特里里乌斯
Sapiranga,萨皮兰加
Rondonópolis,龙多诺波利斯
Santa Bárbara d'Oeste,西聖巴巴拉
Concórdia,康科迪亚
Cabaceiras do Paraguaçu,卡巴塞拉斯-杜帕拉瓜苏
Aeroporto Internacional de Porto Alegre,薩爾加多·菲柳阿雷格里港國際機場
Teatro Amazonas,亚马逊剧院
