Россия,ロシア
Административно-территориальное деление Москвы,モスクワの行政区画
Флаг Татарстана,タタールスタンの国旗
Союз ТМ-25,ソユーズTM-25
"Искра (волейбольный клуб, Одинцово)",イスクラ・オジンツォボ
Ветлуга (река),ヴェトルガ川
Военно-морской флот Российской Федерации,ロシア海軍
Ак Барс Арена,カザン・アリーナ
Маяк (производственное объединение),マヤーク核技術施設
Амгунь,アムグン川
Российско-белорусские энергетические конфликты,ロシア・ベラルーシエネルギー紛争
Саяно-Шушенская ГЭС,サヤノシュシェンスカヤダム
Бураново (Удмуртия),ブラノボ
Каменные острова,カメンニエ諸島
Цезский язык,ツェズ語
Янтарная комната,琥珀の間
Керчь,ケルチ
Возвращение блудного сына (Рембрандт),放蕩息子の帰還・(レンブラント)
Находка,ナホトカ
Лаишево,ライシェヴォ
Манси,マンシ人
"Нефтехимик (футбольный клуб, Нижнекамск)",FKネフテヒミク・ニジネカムスク
Росатом,ロスアトム
Дыхтау,ディフタウ
Чемпионат мира по борьбе 2010,2010年レスリング世界選手権
Smartavia,スマータヴィア
Битва на реке Воже,ヴォジャ河畔の戦い
Рубль СССР,ソビエト連邦・ルーブル
Большая кольцевая линия,大環状線・(モスクワ地下鉄)
Исторический центр Санкт-Петербурга и связанные с ним группы памятников,サンクトペテルブルク歴史地区と関連建造物群
Русь-М,ルーシ-M
Московский зоопарк,モスクワ動物園
Селькупские языки,セリクプ語
Остров Анциферова,志林規島
Тувинский язык,トゥバ語
Коми-зырянский язык,コミ・ジリエーン語
Шорский язык,ショル語
Юрацкий язык,ユラツ語
Якутский язык,サハ語
Лесозаводск,レソザヴォーツク
Леон Сатурн,サトゥルン・ラメンスコーエ
Ленск,レンスク
Вишнёвый сад,桜の園
Ансамбль песни и пляски Российской армии имени А. В. Александрова,アレクサンドロフ・アンサンブル
Абыйский улус,アビー地区
Паз (река),パーツヨキ川
Атсонупури,阿登佐岳
НПО «Энергомаш» имени академика В. П. Глушко,NPOエネゴマシュ
Танну-Ола,タンドゥ山脈
Тюмень (мини-футбольный клуб),MFKチュメニ
Арчинский язык,アルチ語
Азовское море,アゾフ海
Сретенье (в славянской традиции),グロムニツァ
Прусский язык,プロシア語
Бабинский саамский язык,アッカラ・サーミ語
Ливны,リーヴヌィ
Уральские горы,ウラル山脈
Амуро-Якутская железнодорожная магистраль,アムール・ヤクーツク鉄道
Амурский залив,アムール湾
Lada,ラーダ・(自動車)
Ломоносов (город),ロモノソフ
Азиатская хоккейная лига,アジアリーグアイスホッケー
Амурская плита,アムールプレート
Липки (город),リプキ
Лихославль,リホスラヴリ
Лиски,リスキ
Узбеки,ウズベク人
Балтийский завод,バルチック造船所
Ангара (семейство ракет-носителей),アンガラ・(ロケット)
Ясный (пусковая база),ヤースヌイ宇宙基地
Арбатско-Покровская линия,アルバーツコ＝ポクローフスカヤ線
Чемпионат мира по фигурному катанию 2011,2011年世界フィギュアスケート選手権
Южный федеральный округ,南部連邦管区
Коми язык,コミ語
Корякский язык,コリャーク語
Лакский язык,ラク語
Макаров (город),マカロフ・(サハリン州)
Земля Георга,ゼムリャ・ゲオルグ
Сражение под Прохоровкой,プロホロフカの戦い
Оскол,オスコル川
Упа,ウパ川
Императорская Академия художеств,サンクトペテルブルク美術大学
Горские евреи,山岳ユダヤ人
Кумыкский язык,クムク語
Любим,リュビーム
Людиново,リュジノヴォ
Звезда (НПП),NPP・ズヴェズダ
Алые паруса (праздник выпускников),赤い帆・(祭り)
Протестное движение в России (2011—2013),2011年ロシア反政府運動
Готский язык,ゴート語
Москвич (завод),モスクヴィッチ
Водо-водяной энергетический реактор,ロシア型加圧水型原子炉
Камасинский язык,カマス語
Китеж,キーテジ
Луховицы,ルホヴィツィ
Союз-2 (семейство ракет-носителей),ソユーズ2
Бахапча,バハプチャ川
Парус (скала),帆岩
Союз ТМ-24,ソユーズTM-24
Нивхский язык,ニヴフ語
Муромский язык,ムーロマ語
Ненецкий язык,ネネツ語
Латгальский язык,ラトガリア語
Макарьев,マカリエフ
Малая Вишера,マーラヤ・ヴィシェラ
Малгобек,マルゴベク
Анадырский залив,アナディリ湾
Енисей (футбольный клуб),FKエニセイ・クラスノヤルスク
Чемпионат мира по спортивной гимнастике 1981,1981年世界体操競技選手権
Российско-северокорейская граница,露朝国境
Катастрофа ATR 72 под Тюменью,UTエアー120便墜落事故
Архара,アルハラ
Агульский язык,アグール語
Мерянский язык,メリャ語
Ливвиковское наречие,リッヴィ語
.ru,.ru
Малоархангельск (Орловская область),マロアルハンゲリスク
Малоярославец,マロヤロスラヴェツ
Мамадыш,ママディシュ
Мамоново,マモノヴォ
Финляндский вокзал,フィンリャンツキー駅
Медвежье-Саньково,メドヴェジエ、サニコヴォ
"Белый (остров, Карское море)",ベルイ島
Бой у Командорских островов,アッツ島沖海戦
Гопники,ゴプニク
День железнодорожника,鉄道の日
Тятя,爺爺岳
Мглин,ムグリン
Мегион,メギオン
Таймыр,タイミル半島
Медвежьегорск,メドヴェジエゴルスク
Цахурский язык,ツァフル語
Удинский язык,ウディ語
Федеральные округа Российской Федерации,連邦管区
Завод имени Лихачёва,ジル・(自動車)
ГУМ,グム百貨店
Аничков мост,アニチコフ橋
Залив Шелихова,シェリホフ湾
Ардон (река),アードン川
Нганасанский язык,ガナサン語
Йоканьгско-саамский язык,テル・サーミ語
Государственный академический симфонический оркестр России,ロシア国立交響楽団
Понтийский язык,ギリシア語ポントス方言
Тофаларский язык,トファ語
Рутульский язык,ルトゥル語
Мантурово,マントゥロヴォ
Хибины,ヒビヌイ山脈
Северный Кавказ,北コーカサス
Мордовия (футбольный клуб),FCモルドヴィア・サランスク
Северсталь,セヴェルスターリ
Дальавиа,ダリアビア航空
Ленфильм,レンフィルム
Медынь,メドゥイニ
Межгорье (город),メジゴーリエ
Междуреченск,メジュドゥレチェンスク
Камни Унковского,ウンコフスキー島
Арена 2000,アリーナ2000
Арена Химки,アレナ・ヒムキ
Российская партия жизни,ロシア生活党
Китайско-Восточная железная дорога,東清鉄道
Сталинградская битва,スターリングラード攻防戦
Петропавловская крепость,ペトロパヴロフスク要塞
Мензелинск,メンゼリンスク
Мещовск,メシチョフスク
Меленки,メレンキ
Менделеевск,メンデレーエフスク
Киргизы,キルギス人
Атомфлот,アトムフロート
Омь,オミ川
Таганрогский авиационный научно-технический комплекс имени Г. М. Бериева,G・M・ベリーエフ記念タガンローク航空科学技術複合体
Миасс (река),ミアス川
"Волга (футбольный клуб, Нижний Новгород)",FCヴォルガ・ニジニ・ノヴゴロド
Сочи,ソチ
Минеральные Воды,ミネラーリヌィエ・ヴォードィ
Минусинск,ミヌシンスク
Бронетанковый музей в Кубинке,クビンカ戦車博物館
Монгольское плато,モンゴル高原
Трансмонгольская железная дорога,モンゴル縦貫鉄道
Забайкалье,ザバイカル
Новосибирск-Главный,ノヴォシビルスク駅
Союз ТМ-27,ソユーズTM-27
Российский рубль,ロシア・ルーブル
Красная площадь,赤の広場
Мичуринск,ミチュリンスク
Днепр,ドニエプル川
Ингуши,イングーシ人
Кавалеровский район,カヴァレーロヴォ地区
Михайлов (город),ミハイロフ・(リャザン州)
Кирха Святого Семейства (Калининград),聖家族教会・(カリーニングラード)
Кёнигсбергский замок,ケーニヒスベルク城
Республика в составе Российской Федерации,ロシアの共和国
Охотское море,オホーツク海
Мурманский трамвай,ムルマンスク軌道
Калининградский трамвай,カリーニングラード市電
Пограничный (Приморский край),ポグラニチニ・(沿海地方)
Котельный,コテリヌイ島
Marussia Motors,マルシャ・モーターズ
Уральский федеральный округ,ウラル連邦管区
Можайск,モジャイスク
Мончегорск,モンチェゴルスク
НТВ,NTV・(ロシア)
Самара (приток Волги),サマーラ川
Ленин (атомный ледокол),レーニン・(原子力砕氷艦)
Охотск,オホーツク
Allegro (электропоезд),カレリアントレインズSm6電車
Экономическое районирование России,ロシアの経済地区
Острова Анжу,アンジュー諸島
Битва на Калке,カルカ河畔の戦い
Оймяконский улус,オイミャコン地区
Краснопресненская,クラスノプレスネンスカヤ駅
Здание органов госбезопасности на Лубянке,ルビャンカ
Союз ТМ-18,ソユーズTM-18
Финал Лиги чемпионов УЕФА 2008,UEFAチャンピオンズリーグ・2007-08・決勝
Дальневосточный федеральный округ,極東連邦管区
Монголы,モンゴル民族
Бира (приток Амура),ビラ川
Пятигорск,ピャチゴルスク
Мосальск,モサリスク
Чукотское море,チュクチ海
Красный Яр (регбийный клуб),クラスニヤール・クラスノヤルスク
Мыс Дежнёва,デジニョフ岬
Уфа (аэропорт),ウファ国際空港
Большевик (остров),ボリシェヴィク島
Сибирский федеральный округ,シベリア連邦管区
Европейский маршрут E30,E30号線
Демянская операция (1942),デミャンスク包囲戦
История России,ロシアの歴史
Кольский залив,コラ湾
Владивосток (аэропорт),ウラジオストク国際空港
Чёрная смерть,黒死病
Конституция Российской Федерации,ロシア連邦憲法
Первая лига России по футболу,ロシア・ナショナル・フットボールリーグ
1-я гвардейская танковая армия,第1親衛戦車軍・(ロシア陸軍)
Курский вокзал,クールスキー駅
Острова Де-Лонга,デロング諸島
Белогорье (волейбольный клуб),ベロゴリエ・ベルゴロド
Шинник (футбольный клуб),FCシンニク・ヤロスラヴリ
Раменское,ラメンスコエ
Россия на летних Олимпийских играх 2000,2000年シドニーオリンピックのロシア選手団
Россия на летних Олимпийских играх 2004,2004年アテネオリンピックのロシア選手団
Муром,ムーロム
Мценск,ムツェンスク
Люблинско-Дмитровская линия,リュビリーンスコ＝ドミトロフスカヤ線
Уральские авиалинии,ウラル航空
Дворец Советов,ソビエト宮殿
Калининско-Солнцевская линия,カリーニンスコ＝ソンツェフスカヤ線
Эльбрус,エルブルス山
Ангара,アンガラ川
Мышкин,ムィシュキン
Mail.ru,Mail.ru
Смоленское сражение (1941),スモレンスクの戦い・(1941年)
Херсонская область,ヘルソン州
Коломенское,コローメンスコエ
Восточно-Сибирское море,東シベリア海
Атомстройэкспорт,アトムストロイエクスポルト
Неро,ネロ湖
Хабаровск I,ハバロフスクI駅
Чистопольский часовой завод,ボストーク・(時計メーカー)
Россия на летних Олимпийских играх 1912,1912年ストックホルムオリンピックのロシア選手団
Герой Российской Федерации,ロシア連邦英雄
Ульяновский автомобильный завод,UAZ
Государственная академическая капелла Санкт-Петербурга,サンクトペテルブルク国立アカデミーカペラ
Пролив Екатерины,国後水道
Кругобайкальская железная дорога,バイカル湖岸鉄道
Тофалары,トファ人
Остров Атласова,阿頼度島
Патриоты России,ロシアの愛国者
Назрань,ナズラン
Белое море,白海
Наро-Фоминск,ナロ＝フォミンスク
Киренга,キレンガ川
Библиотека имени Ленина (станция метро),ビブリオチェーカ・イーミニ・レーニナ駅
Русская освободительная армия,ロシア解放軍
Российские железные дороги,ロシア鉄道
Тура (река),トゥラ川
Мазурское сражение (1914),第一次マズーリ湖攻勢
Другая Россия (коалиция),もう一つのロシア
Вознесенский собор (Новочеркасск),ノヴォチェルカッスク大聖堂
Ненцы,ネネツ人
Киевский вокзал,キエフスキー駅
Боголюбово,ボゴリュボヴォ
Восточный (порт),ボストチヌイ港
Девственные леса Коми,コミの原生林
Архипелаг Римского-Корсакова,リムスキー%3Dコルサコフ諸島
Воробьёвы горы,雀が丘
Южный поток,サウス・ストリーム
Берингово море,ベーリング海
Бухарские евреи,ブハラ・ユダヤ人
Герб России,ロシアの国章
Кольский полуостров,コラ半島
Невель,ネヴェリ
Невельск,ネベリスク
Уссурийский залив,ウスリー湾
Кубок конфедераций 2017,FIFAコンフェデレーションズカップ2017
Шуховская башня,シューホフ・タワー
Баренцево море,バレンツ海
Онежское озеро,オネガ湖
Фонтанка,フォンタンカ川
Красноярск-Пассажирский,クラスノヤルスク旅客駅
РКК «Энергия»,S.P.コロリョフ・ロケット%26スペース・コーポレーション・エネルギア
Союзное государство,ベラルーシ・ロシア連合国家
Остров Вилькицкого (Восточно-Сибирское море),ヴィリキツキー島
Невинномысск,ネヴィンノムイスク
Троице-Измайловский собор,至聖三者大聖堂・(サンクトペテルブルク)
Уйгуры,ウイグル
Кольцевая автомобильная дорога вокруг Санкт-Петербурга,サンクトペテルブルク環状道路
Мойка (река),モイカ川
Остров Генриетты,ヘンリエッタ島
Сахалин-1,サハリン1
"Динамо (женский волейбольный клуб, Москва)",ディナモ・モスクワ・(女子バレーボール)
Волга-Днепр,ヴォルガ・ドニエプル航空
Южно-Сахалинск (аэропорт),ユジノサハリンスク空港
Политические партии России,ロシアの政党
Моздок,モズドク
Ардон (город),アルドン・(北オセチア)
Лена,レナ川
Аврора (крейсер),アヴローラ・(防護巡洋艦)
Попигай (кратер),ポピガイ・クレーター
Переделкино,ペレデルキノ
Газета.ru,ガゼータ・ルー
Иркутский государственный университет,イルクーツク国立大学
Солнечное затмение 1 августа 2008 года,2008年8月1日の日食
Первая Падь (станция),一ノ沢駅
Рено Россия,アフトフラモス
Третья Падь (станция),三ノ沢駅
Казань (аэропорт),カザン国際空港
Орск,オルスク
Торопец,トロペツ
Мир (орбитальная станция),ミール
Толбачик,トルバチク山
Тобольск,トボリスク
Ростовская наступательная операция (1941),ロストフの戦い・(1941年)
Новая газета,ノーヴァヤ・ガゼータ
Рубин (футбольный клуб),FCルビン・カザン
Ока,オカ川
Битва на Ворскле,ヴォルスクラ川の戦い
Тверца,トヴェルツァ川
Мокша (река),モクシャー川
Западно-Сибирская железная дорога,西シベリア鉄道支社
Таганрог,タガンログ
Чемпионат мира по футболу 2018,2018・FIFAワールドカップ
РЖД Арена,ロコモティフ・スタジアム・(モスクワ)
Императорский Царскосельский лицей,ツァールスコエ・セロー・リツェイ
"Успенский собор (Владимир, Россия)",生神女就寝大聖堂・(ウラジーミル)
Российско-монгольская граница,露蒙国境
Академик Ломоносов,アカデミック・ロモノソフ
Еникале,イエニカレ
Медный всадник,青銅の騎士
Совет Безопасности Российской Федерации,ロシア連邦安全保障会議
Дикое поле,荒野・(ウクライナ)
Крымская наступательная операция,クリミアの戦い・(1944年)
Валаамский архипелаг,ヴァラーム
Аркона (группа),アルコナ
День космонавтики,宇宙飛行士の日
Шивелуч,シベルチ山
Латыши,ラトビア人
Русские,ロシア人
Нерехта (город),ネレフタ
Нелидово,ネリドヴォ
Нерюнгри,ネリュングリ
Слободская Украина,スロボダ・ウクライナ
"Октябрьская (станция метро, Кольцевая линия)",オクチャーブリスカヤ駅・(環状線)
Черноморско-Каспийская степь,ポントス・カスピ海草原
Пеники,ペニキ
Арктический совет,北極評議会
Smirnoff,スミノフ
Архипелаг Императрицы Евгении,イェフゲニー諸島
Кальчик (река),カリチク川
Олонец,オロネツ
Нестеров (Калининградская область),ネステロフ
Нея (город),ニェヤ
Южно-Курильск,ユジノ・クリリスク
"Суперлига (баскетбол, мужчины)",ロシア・バスケットボール・スーパーリーグ
Гыданский полуостров,ギダン半島
Флаг Карелии,カレリアの国旗
Таврический дворец,タヴリーダ宮殿
Вазуза,ヴァズーザ川
Лубянка (станция метро),ルビャンカ駅
Острова Арктического Института,アルクチチェスキー・インスチトゥート諸島
Мидланд (команда «Формулы-1»),MF1レーシング
Авангард (хоккейный клуб),アヴァンギャルド・オムスク
БТА (телескоп),BTA-6
Союз правых сил,右派連合・(ロシア)
Всероссийская перепись населения (2010),2010年全ロシア国勢調査
Августовская операция (1915),第二次マズーリ湖攻勢
Мариинск,マリインスク
Нижневартовск,ニジネヴァルトフスク
Нижнекамск,ニジネカムスク
Казанский кремль,カザン・クレムリン
Казахская степь,カザフステップ
Коломенский трамвай,コロムナ市電
Диксон (посёлок городского типа),ディクソン・(ロシア)
Бутовская линия,ブートフスカヤ線
Союзмультфильм,ソユーズムリトフィルム
Таймыр (остров),タイミル島
Олимпийский комитет России,ロシアオリンピック委員会
Ижора (река),イジョラ川
Волчанский трамвай,ヴォルチャンスク市電
Николаевск-на-Амуре,ニコラエフスク・ナ・アムーレ
Расшуа,羅処和島
Фенноскандия,フェノスカンジア
Луна-21,ルナ21号
Хребет Черского (Северо-Восточная Сибирь),チェルスキー山脈
Холмогоры,ホルモゴルイ
Женская сборная России по гандболу,ハンドボールロシア女子代表
Снежная (река),スネージナヤ川
Сож,ソジ川
Европейский маршрут E97,E97号線
Маруся (команда «Формулы-1»),マルシャF1チーム
Гран-при России,ロシアグランプリ
Нововоронеж,ノヴォヴォロネジ
Сочи Автодром,ソチ・オートドローム
Ми-2,Mi-2・(航空機)
Дальний Восток России,極東ロシア
55-я параллель северной широты,北緯55度線
Азиатский маршрут AH7,アジアハイウェイ7号線
Флаг Чечни,チェチェンの旗
Пулково (аэропорт),プルコヴォ空港
Уральский экономический район,ウラル経済地区
Марийская Автономная Советская Социалистическая Республика,マリ自治ソビエト社会主義共和国
Багулалы,バグバリ人
Министерство иностранных дел Российской Федерации,ロシア外務省
Мангазея,マンガゼヤ
Новозыбков,ノヴォズィプコフ
Новодвинск,ノヴォドヴィンスク
Сибирский государственный университет науки и технологий,シベリア航空宇宙大学
Москва (река),モスクワ川
Спартак-Нальчик,PFCスパルタク・ナリチク
Ряжск,リャジスク
Авачинская Сопка,アヴァチンスカヤ山
"Авангард (футбольный клуб, Курск)",FKアヴァンガルト・クルスク
Палана,パラナ・(ロシア)
МС-21,イルクート・MS-21
Авиадвигатель (компания),アヴィアドヴィガーテリ
Битва при Клушине,クルシノの戦い
Енисей-СТМ,エニセイSTM
Мужская сборная России по волейболу,バレーボールロシア男子代表
Сенатский дворец,ロシア大統領官邸
Новокуйбышевск,ノヴォクイビシェフスク
Новомичуринск,ノヴォミチュリンスク
Гросс-Егерсдорфское сражение,グロース＝イェーゲルスドルフの戦い
Ингода,インゴダ川
Новомосковск (Россия),ノヴォモスコフスク
Анабарский улус,アナバル地区
Хасанские бои (1938),張鼓峰事件
Сражение при Тали — Ихантала,タリ＝イハンタラの戦い
Балтика (футбольный клуб),FCバルチカ・カリーニングラード
Черноморский флот ВМФ России,黒海艦隊
Рутульцы,ルトゥル人
Рокский тоннель,ロキトンネル
Новоржев,ノヴォルジェフ
Новосиль,ノヴォシリ
Калужско-Рижская линия,カルーシュスコ＝リーシュスカヤ線
Становое нагорье,スタノヴォイ高地
Новосокольники,ノヴォソコリニキ
Дальневосточный федеральный университет,極東連邦大学
Союз ТМ-20,ソユーズTM-20
Озёрское (Сахалинская область),長浜村・(樺太)
Союз ТМ-19,ソユーズTM-19
Союз ТМ-22,ソユーズTM-22
Ноглики,ノグリキ
Ольга (Приморский край),オリガ・(町)
Гребенская (станция),東礼文駅
Ясноморский (станция),阿幸駅
Соловьёвка (станция),貝塚駅・(樺太)
Крымская астрофизическая обсерватория,クリミア天体物理天文台
Лесогорское,名好町
Охотское (Сахалинская область),富内村
Метровагонмаш,メトロワゴンマッシュ
Битва при Колле,コッラの戦い
Эльгыгытгын,エリギギトギン湖
"Смоленская (станция метро, Арбатско-Покровская линия)",スモレンスカヤ駅・(アルバーツコ＝ポクローフスカヤ線)
Новый Уренгой,ノヴィ・ウレンゴイ
Ногинск,ノギンスク
Норильск,ノリリスク
Босфор Восточный,東ボスポラス海峡
Золотой Рог (Владивосток),金角湾・(ウラジオストク)
Полуостров Муравьёва-Амурского,ムラヴィヨフ＝アムールスキー半島
Поронай,幌内川・(樺太)
Нурлат,ヌルラト
Ноябрьск,ノヤブリスク
Сахалинский залив,サハリン湾
Сунгача,ソンガチャ川
Пролив Невельского,ネヴェリスコイ海峡
Сахалинский тоннель,サハリントンネル
Железнодорожная линия Обская — Бованенково — Карская,オブスカヤ・ボヴァネンコヴォ・カルスカヤ鉄道
Железнодорожная линия Барановский — Хасан,バラノフスキー・ハサン鉄道
Железнодорожная линия Комсомольск-на-Амуре — Дежнёвка,ヴォロチャーエフカ・ジョムギ鉄道
Калининград-Пассажирский,カリーニングラード南駅
Бырранга,ビルランガ山脈
Босняки,ボシュニャク人
Хатангский залив,ハタンガ湾
Вихра,ヴィフラ川
Чита,チタ
Нюрба,ニュルバ
Новочеркасск,ノヴォチェルカッスク
Северный флот ВМФ России,北方艦隊
Няндома,ニャンドマ
Нягань,ニャガン
Шоша,ショーシャ川
Новочебоксарск,ノヴォチェボクサルスク
Государственная дума,国家院・(ロシア)
Газопровод Сахалин — Хабаровск — Владивосток,サハリン・ハバロフスク・ウラジオストクパイプライン
Сахалинские корейцы,在樺コリアン
Россия на зимних Олимпийских играх 2002,2002年ソルトレークシティオリンピックのロシア選手団
Балтийский федеральный университет имени Иммануила Канта,バルト連邦大学
Анива (залив),亜庭湾
Кяхтинский договор (1727),キャフタ条約・(1727年)
Ноктундо,鹿屯島
Корё-сарам,高麗人
Заречье-Одинцово,ザレチエ・オジンツォボ
Новый Уренгой (аэропорт),ノーヴィ・ウレンゴイ空港
Хамар-Дабан,ハマル＝ダバン山脈
Хабаровский трамвай,ハバロフスク市電
Кан (река),カン川
ОМОН (Россия),OMON
Великая Финляндия,大フィンランド
Обнинск,オブニンスク
Одинцово,オジンツォボ
Ожерелье (микрорайон),オジェリェーリエ
Банк России,ロシア連邦中央銀行
Балтийский вокзал (Санкт-Петербург),バルチースキー駅
Балтийский флот ВМФ Российской Федерации,バルチック艦隊
Вулкан Баранского,指臼岳
130-й меридиан восточной долготы,東経130度線
Европейский маршрут E18,E18号線
Остров Шмидта,シュミット島
Земля Вильчека,ゼムリャ・ビリチェク
Остров (город),オストロフ
Осташков,オスタシコフ
Озёрск (Калининградская область),オジョルスク・(カリーニングラード州)
Озёрск (Челябинская область),オジョルスク
Хасан (озеро),ハサン湖
Конькобежный спорт на зимних Олимпийских играх 2014,2014年ソチオリンピックのスピードスケート競技
138-я отдельная гвардейская мотострелковая бригада,第138独立親衛自動車化狙撃旅団・(ロシア陸軍)
200-я отдельная гвардейская мотострелковая бригада,第200独立親衛自動車化狙撃旅団・(ロシア陸軍)
Mental ray,Mental・ray
Караимы,クリミア・カライム人
Баргузин (река),バルグジン川
Баргузинский хребет,バルグジン山脈
Независимая газета,ニェザヴィーシマヤ・ガゼータ
Александро-Невская лавра,アレクサンドル・ネフスキー大修道院
Базовый элемент,ベーシック・エレメント
Башнефть,バシネフチ
Баскунчак,バスクンチャク湖
Трансполярная магистраль,サレハルド-イガルカ鉄道
Олёкминск,オリョークミンスク
Окуловка,オクロフカ
"ЦСКА (футбольный клуб, Москва)",PFC・CSKAモスクワ
Газпром Арена,ガスプロム・アリーナ
Катунь,カトゥニ川
Белуха (гора),ベルーハ山
Онега (город),オネガ
"Белорусская (станция метро, Кольцевая линия)",ベラルースカヤ駅・(環状線)
Курумоч (аэропорт),クルモチ国際空港
Сочинский национальный парк,ソチ国立公園
Северный полярный круг,北極圏
Орехово-Зуево,オレホヴォ＝ズエヴォ
Оборона Севастополя (1854—1855),セヴァストポリ包囲戦・(1854年-1855年)
Кеть,ケチ川
Бурлак,船引き
"Сибирь (футбольный клуб, Новосибирск)",FCシビル・ノヴォシビルスク
Сборная России по футболу,サッカーロシア代表
Базардюзю,バザルデュジ山
Бельковский,ベリコフスキー島
Организованная преступность в России,ロシアン・マフィア
Белое озеро (Вологодская область),ベロエ湖
Оха,オハ
Международная азиатская сеть,アジアハイウェイ
Павловск (Санкт-Петербург),パヴロフスク
Россия (авиакомпания),ロシア航空
Химки (футбольный клуб),FCヒムキ
Остров Беннетта,ベネット島
Парамушир,幌筵島
Россия на зимних Олимпийских играх 1994,1994年リレハンメルオリンピックのロシア選手団
Брош (остров),ブロシュ島
Сокольническая линия,ソコーリニチェスカヤ線
Канин (полуостров),カニン半島
Бурея (река),ブレヤ川
Россия на Олимпийских играх,オリンピックのロシア選手団
Пролив Вилькицкого,ヴィリキツキー海峡
Мамаев курган,ママエフ・クルガン
Котлин,コトリン島
Вуокса (река),ヴオクサ川
Женская сборная России по волейболу,バレーボールロシア女子代表
Павловский Посад,パヴロフスキー・ポサド
Партизанск,パルチザンスク
Певек,ペヴェク
Минусинская котловина,ミヌシンスク盆地
Центр подготовки космонавтов имени Ю. А. Гагарина,ガガーリン宇宙飛行士訓練センター
Общероссийский народный фронт,全ロシア人民戦線
170-й меридиан западной долготы,西経170度線
Усть-Ордынский,ウスチオルディンスキー
Остров Ратманова,ラトマノフ島
Палатка (Магаданская область),パラトカ
Санкт-Петербургская консерватория имени Н. А. Римского-Корсакова,サンクトペテルブルク音楽院
Северо-Крымский канал,北クリミア運河
Кандидат наук,博士候補
Петропавловский собор,首座使徒ペトル・パウェル大聖堂・(サンクトペテルブルク)
Волго-Донской канал,ヴォルガ・ドン運河
Садовое кольцо,サドーヴォエ環状道路
Пионерский (город),ピオネールスキー
Печоры,ペチョールィ
Серпуховско-Тимирязевская линия,セルプホーフスコ＝チミリャーゼフスカヤ線
Красная звезда (газета),クラスナヤ・ズヴェズダ・(新聞)
Женская сборная России по футболу,サッカーロシア女子代表
Мая (приток Алдана),マヤ川
Транспортная система России,ロシアの交通
Крайний Север,極北・(ロシア)
Пограничная служба Федеральной службы безопасности Российской Федерации,ロシア国境軍
Yota,Yota
Петергоф,ペテルゴフ
Пестово,ペストヴォ
Переславль-Залесский,ペレスラヴリ・ザレスキー
Острова Сергея Кирова,セルゲイ・キーロフ諸島
Флаг Дагестана,ダゲスタン共和国の国旗
АКСМ-84300M,AKSM-843
РИА Новости,RIAノーボスチ
Карачай (озеро),カラチャイ湖
Россия (банк),ロシア銀行
Петушки (город),ペトゥシキ
Ванино,ワニノ
Прикаспийская низменность,カスピ海沿岸低地
Печора (город),ペチョラ
Сейм (река),セイム川
Безымянный (вулкан на Камчатке),ベズイミアニ山
Интеркосмос,インターコスモス
Берутарубе,ベルタルベ山
Лена (автодорога),ロシア連邦道路A360
Плавск,プラフスク
Плёс (город),プリョス
S7 Airlines,S7航空
Кольцевая линия (Москва),環状線・(モスクワ地下鉄)
Край (Россия),ロシアの地方
Остров Дика,ディック島
Взрывы жилых домов в России в сентябре 1999 года,ロシア高層アパート連続爆破事件
Краснотурьинский трамвай,クラスノトゥリンスク市電
Многолетняя мерзлота,永久凍土
Западный Кавказ,西コーカサス
Замоскворецкая линия,ザモスクヴォレーツカヤ線
Филёвская линия,フィリョーフスカヤ線
Дальнереченский район,ダリネレチェンスク地区
Томский государственный университет,トムスク大学
Ушишир,宇志知島
Кировский район (Приморский край),キーロフスキー地区
Европейский маршрут E58,E58号線
Чемпионат России по футболу 1999,ロシア・トップディヴィジョン・1999
Канал имени Москвы,モスクワ運河
Блестящие,ブレスチャーシチエ
Останкинская телебашня,オスタンキノ・タワー
Покровск (Якутия),ポクロフスク
Слюдянка (город),スリュジャンカ
Владимирская (станция метро),ヴラジミル駅
"Спартак (хоккейный клуб, Москва)",HCスパルタク・モスクワ
Катастрофа Як-42 под Ярославлем,ヤロスラヴリ旅客機墜落事故
"Кума (река, впадает в Каспийское море)",クマ川
Область (Россия),ロシアの州
ЮКОС,ユコス
Рыбачий (полуостров),ルイバチー半島
Марийский язык,マリ語
Пастила,パスチラ
Флаг Республики Саха,サハ共和国の国旗
Распутица,泥濘期
Мыс Флигели,フリゲリ岬
Флаг Бурятии,ブリヤート共和国の国旗
Воздушно-десантные войска Российской Федерации,ロシア空挺軍
Чемпионат России по футболу 2003,ロシア・プレミアリーグ・2003
Обская губа,オビ湾
Селигер,セリゲル湖
Нововоронежская АЭС-2,ノヴォヴォロネジ第二原子力発電所
ЛОМО,ロモ
Челюскин (мыс),チェリュスキン岬
Вах (река),ヴァフ川
Железнодорожный транспорт в России,ロシアの鉄道
Ферапонтов Белозерский монастырь,フェラポントフ修道院
Зимний дворец,冬宮殿
Балаклава,バラクラヴァ
Чемпионат России по футболу,ロシアサッカー・プレミアリーグ
Российско-грузинские отношения,ジョージアとロシアの関係
Острова Известий ЦИК,イスヴェスチ・ツィク諸島
Союз ТМ-23,ソユーズTM-23
180-й меридиан,180度経線
Белокаменные памятники Владимира и Суздаля,ウラジーミルとスーズダリの白亜の建造物群
