室伏広治,무로후시 고지
足利義尚,아시카가 요시히사
白鵬翔,하쿠호 쇼
沢村一樹,사와무라 잇키
上杉茂憲,우에스기 모치노리
土岐麻子,토키 아사코
五島純玄,고토 스미하루
松本哲也・(野球),마쓰모토 데쓰야
SUEMITSU・%26・THE・SUEMITH,수에미츠 %26 더 수에미스
大橋歩夕,오하시 아유루
上杉斉憲,우에스기 나리노리
KEIKO・(1985年生の歌手),쿠보타 케이코
藤田元司,후지타 모토시
中川秀政,나카가와 히데마사
東野峻,도노 슌
EXILE・AKIRA,AKIRA (가수)
佐々木彩夏,사사키 아야카
ヤスダスズヒト,야스다 스즈히토
高城れに,타카기 레니
片山洋,가타야마 히로시
三塚博,미쓰즈카 히로시
武内健,타케우치 켄
藤澤恵麻,후지사와 에마
少年ライフル魔事件,가타기리 미사오
川本真琴,카와모토 마코토
髙橋信二,다카하시 신지
三枝夕夏,사에구사 유카
神尾光臣,가미오 미쓰오미
青木一男,아오키 가즈오
早見あかり,하야미 아카리
三谷幸喜,미타니 코키
玉井詩織,타마이 시오리
有安杏果,아리야스 모모카
橋本晃司,하시모토 고지
邑野みあ,무라노 미아
重光葵,시게미쓰 마모루
足利義輝,아시카가 요시테루
江國香織,에쿠니 가오리
大和悠河,야마토 유우가
堂本剛,도모토 츠요시
飯田里穂,이이다 리호
田村正和,타무라 마사카즈
要潤,카나메 준
織田優成,오다 유세이
伊坂幸太郎,이사카 고타로
太田真一郎,오타 신이치로
井上真樹夫,이노우에 마키오
一木喜徳郎,이치키 기토쿠로
今村直樹,이마무라 나오키
林権助,하야시 곤스케
永川勝浩,나가카와 가쓰히로
佐藤昭大,사토 아키히로 (1986년 8월)
大来佐武郎,오키타 사부로
勝田清孝事件,가쓰타 기요타카
はいむらきよたか,하이무라 키요타카
石黒英雄,이시구로 히데오
帆足和幸,호아시 가즈유키
栗山巧,구리야마 다쿠미
日之内エミ,히노우치 에미
安藤裕子,안도 유코 (가수)
三浦翔平,미우라 쇼헤이
天谷宗一郎,아마야 소이치로
隠善智也,인젠 도모야
金刃憲人,가네토 노리히토
八木智哉,야기 도모야
鎌池和馬,카마치 카즈마
ダンス☆マン,댄스☆맨
中村悠一,나카무라 유이치 (성우)
津村まこと,츠무라 마코토
岡本太郎,오카모토 다로
平岡秀夫,히라오카 히데오
野村貢,노무라 미쓰구
諸星すみれ,모로호시 스미레
榎あづさ,에노키 아즈사
内野正雄,우치노 마사오
KOKIA,KOKIA
伏見宮博恭王,후시미노미야 히로야스 왕
押井守,오시이 마모루
秋山豊寛,아키야마 도요히로
荒木経惟,아라키 노부요시
巴御前,도모에 고젠
称光天皇,쇼코 천황
大島正太郎,오시마 쇼타로
神保道夫,진보 미치오
別所浩郎,벳쇼 고로
元良親王,모토요시 친왕
多和田葉子,타와다 요코
Motsu,Motsu
Yuri,Yuri (일본의 가수)
小宮山悟,고미야마 사토루
長嶋清幸,나가시마 기요유키
新浦壽夫,니우라 히사오
朴春琴,박춘금
春奈るな,하루나 루나
毛利隆元,모리 다카모토
韓昌祐,한창우 (1931년)
つなこ,츠나코
金城基泰,김기태 (1952년)
夏田鐘甲,우종갑
末吉秀太,스에요시 슈타
島津歳久,시마즈 도시히사
兒玉秀雄,고다마 히데오
小山伸一郎,고야마 신이치로
山田顕義,야마다 아키요시
晶エリー,테루누마 파리자
穂井田元清,호이다 모토키요
Noria,Noria (가수)
朝倉宗滴,아사쿠라 소테키
支倉凍砂,하세쿠라 이스나
阿部正勝,아베 마사카쓰
永井柳太郎,나가이 류타로
杉井光,스기이 히카루
白井貴子・(バレーボール),시라이 다카코
宮藤官九郎,쿠도 칸쿠로
田代まさし,다시로 마사시
LISA・(歌手),LISA (가수)
倉田保昭,쿠라타 야스아키
小川祐忠,오가와 스케타다
植村秀,우에무라 슈
五代友厚,고다이 도모아쓰
斎藤隆・(野球),사이토 다카시 (야구인)
藤原家隆・(従二位),후지와라노 이에타카
家中宏,야나카 히로시
蒼井そら,아오이 소라
水田わさび,미즈타 와사비
堺利彦,사카이 도시히코
細貝萌,호소가이 하지메
徳川慶喜,도쿠가와 요시노부
小林由美子,코바야시 유미코
オダギリジョー,오다기리 조
鈴木明子,스즈키 아키코
高楠順次郎,다카쿠스 준지로
輪湖直樹,와코 나오키
後亀山天皇,고카메야마 천황
在原業平,아리와라노 나리히라
後花園天皇,고하나조노 천황
寺島しのぶ,테라지마 시노부
冬目景,토우메 케이
桂正和,카츠라 마사카즈
中田翔,나카타 쇼
梅原大吾,우메하라 다이고
金達寿,김달수 (소설가)
小林沙苗,코바야시 사나에
能見篤史,노미 아쓰시
小山慶一郎,코야마 케이치로
哀川翔,아이카와 쇼우
鷹司平通,다카쓰카사 도시미치
沢庵宗彭,다쿠안 소호
河森正治,카와모리 쇼지
柳生宗矩,야규 무네노리
川上信夫,가와카미 노부오
寺尾聰,테라오 아키라
お市の方,오이치노가타
小藤文次郎,고토 분지로
井村雅代,이무라 마사요
木本花音,키모토 카논
丹羽雄哉,니와 유야
英照皇太后,에이쇼 황태후
團琢磨,단 다쿠마
竹中平蔵,다케나카 헤이조
島津忠義,시마즈 다다요시 (1840년)
カレン・ロバート,로버트 컬런
高峰秀子,타카미네 히데코
藤井裕久,후지이 히로히사
金子光晴,가네코 미쓰하루
望月淳,모치즈키 준
山口美也子,야마구치 미야코
萱野茂,가야노 시게루
中島崇典,나카지마 다카노리
宮沢りえ,미야자와 리에
CHARA,CHARA
宮部みゆき,미야베 미유키
田中明日菜,다나카 아스나
金子みすゞ,가네코 미스즈
津島佑子,쓰시마 유코
高田賢三,다카다 겐조
May・J.,May J.
森田紀一,모리타 기이치
稲田悦子,이나다 에쓰코
関勉,세키 쓰토무
山田五十鈴,야마다 이스즈
櫻井浩美,사쿠라이 하루미
宝田明,타카라다 아키라
北条綱成,호조 쓰나시게
川野淳次,가와노 준지
深澤直人,후카사와 나오토
伊達宗城,다테 무네나리
山本脩斗,야마모토 슈토
原田左之助,하라다 사노스케
金子千尋,가네코 지히로
榊原諒,사카키바라 료
久米宏,쿠메 히로시
脇谷亮太,와키야 료타
浅尾拓也,아사오 다쿠야
鈴木このみ,스즈키 코노미
野見祐二,노미 유지
鬼庭綱元,오니니와 쓰나모토
狗神煌,이누가미 키라
日野由利加,히노 유리카
三橋加奈子,미츠하시 카나코
小笠原亜里沙,오가사와라 아리사
福元美穂,후쿠모토 미호
海堀あゆみ,가이호리 아유미
髙瀬愛実,다카세 메구미
阪口夢穂,사카구치 미즈호
矢野喬子,야노 교코
片岡信和,가타오카 신와
村井貞勝,무라이 사다카쓰
徳永暁人,토쿠나가 아키히토
北白川房子,기타시라카와 후사코
島津斉興,시마즈 나리오키
山田規三生,야마다 기미오
武論尊,부론손
神尾葉子,카미오 요코
大山倍達,최영의
久保帯人,쿠보 타이토
足利義勝,아시카가 요시카쓰
藤山愛一郎,후지야마 아이이치로
伊藤清,이토 기요시
大賀典雄,오가 노리오
藤野かほる,후지노 카오루
小渕優子,오부치 유코
柳澤伯夫,야나기사와 하쿠오
酒井法子,사카이 노리코
伊藤仁斎,이토 진사이
金沢浄,가나자와 조
田尻智,다지리 사토시
小野田寛郎,오노다 히로
西崎義展,니시자키 요시노부
堀北真希,호리키타 마키
久保裕也・(野球),구보 유야 (야구 선수)
藪恵壹,야부 게이이치
吉田康弘・(サッカー選手),요시다 야스히로
山本紗也加,야마모토 사야카 (1987년)
ナターシャ・グジー,나탈리야 구지
橘佳奈,다치바나 가나
豊口めぐみ,토요구치 메구미
中原龍太郎,나카하라 류타로
東郷平八郎,도고 헤이하치로
南雲忠一,나구모 주이치
高塚正也,타카츠카 마사야
沼田祐介,누마타 료스케
兎塚エイジ,우사츠카 에이지
高岩成二,타카이와 세이지
宝亀克寿,호키 가쓰히사
相楽晴子,사가라 하루코
川上未映子,가와카미 미에코
平野文,히라노 후미
枝村匠馬,에다무라 다쿠마
山本海人,야마모토 가이토
檀れい,단 레이
有沢まみず,아리사와 마미즈
杉山浩太,스기야마 고타
坂口智隆,사카구치 도모타카
永澤菜教,나가사와 나오 (성우)
横井小楠,요코이 쇼난
福盛和男,후쿠모리 가즈오
澤村拓一,사와무라 히로카즈
東山奈央,토야마 나오 (성우)
東久邇成子,히가시쿠니 시게코
池田厚子,이케다 아쓰코
鷹司和子,다카쓰카사 가즈코
高松宮宣仁親王,다카마쓰노미야 노부히토 친왕
青山穣,아오야마 유타카
北条義時,호조 요시토키
瀬戸大也,세토 다이야
田村ゆかり,타무라 유카리
浅野温子,아사노 아츠코
村上幸平,무라카미 코우헤이
青山草太,아오야마 소타
和央ようか,와오 요우카
UA・(歌手),UA (가수)
山内房治郎,야마우치 후사지로
青山直晃,아오야마 나오아키
松浦拓弥,마쓰우라 다쿠야
岩下敬輔,이와시타 게이스케
足利尊氏,아시카가 다카우지
栗林忠道,구리바야시 다다미치
西園寺公望,사이온지 긴모치
山縣有朋,야마가타 아리토모
田中角栄,다나카 가쿠에이
推古天皇,스이코 천황
つじあやの,츠지 아야노
松井須磨子,마츠이 수마코
千代反田充,지요탄다 미쓰루
笛木優子,유민 (1979년)
南野陽子,미나미노 요코
小林慶行,고바야시 요시유키
中町公祐,나카마치 고스케
田中亜土夢,다나카 아토무
伊倉一恵,이쿠라 카즈에
水沢史絵,미즈사와 후미에
小椋祥平,오구라 쇼헤이
兵藤慎剛,효도 신고
松本治一郎,마쓰모토 지이치로
草野大輔,구사노 다이스케
有銘兼久,아리메 가네히사
細川亨,호소카와 도루
高橋浩祐,다카하시 고스케
吉岡隆徳,요시오카 다카요시
岸田護,기시다 마모루
渡辺明・(棋士),와타나베 아키라
大竹寛,오타케 간
遍昭,헨조
畠山智之,하타케야마 사토시
浦野一美,우라노 가즈미
緋村剣心,히무라 켄신
大野克夫,오노 가쓰오
東山紀之,히가시야마 노리유키
G.G.佐藤,G. G. 사토
池田恒興,이케다 쓰네오키
加瀬亮,카세 료
前山田健一,마에야마다 켄이치
いのくちゆか,이노쿠치 유카
夏帆,카호
小泉孝太郎,고이즈미 코타로
杉浦太陽,스기우라 타이요
壱智村小真,이치무라 오마
橋本左内,하시모토 사나이
OKI・(ミュージシャン),OKI (음악가)
池田勇人,이케다 하야토
孝明天皇,고메이 천황
吉田茂,요시다 시게루
西村雄一,니시무라 유이치
小宮山洋子,고미야마 요코
香里奈,카리나 (배우)
坂井真紀,사카이 마키
板垣退助,이타가키 다이스케
ベッキー,벡키 (가수)
前田美順,마에다 미유키
内田潤,우치다 준
志治達雄,시지 다쓰야
飯倉大樹,이이쿠라 히로키
木ノ本嶺浩,키노모토 미네히로
藤谷文子,후지타니 아야코
志摩清英,시마 기요히데
常盤御前,도키와 고젠
森杏奈,모리 안나
中村麻里子,나카무라 마리코
土田尚史,쓰치다 히사시
永尾まりや,나가오 마리야
仲俣汐里,나카마타 시오리
島田晴香,시마다 하루카
梅田悠,우메다 하루카
竹内美宥,타케우치 미유
松下唯,마쓰시다 유이
山内鈴蘭,야마우치 스즈란
若林倫香,와카바야시 도모카
木村昌福,기무라 마사토미
七枷社,나나카세 야시로
成歩堂龍一,나루호도 류이치
宇垣秀成,우가키 히데나리
藤村大介・(野球),후지무라 다이스케
広瀬アリス,히로세 아리스
福本愛菜,후쿠모토 아이나
佐藤実絵子,사토 미에코
はるな愛,하루나 아이
剛力彩芽,고리키 아야메
手束真知子,데즈카 마치코
興津和幸,오키츠 카즈유키
村山実,무라야마 미노루
梅本まどか,우메모토 마도카
水野理紗,미즈노 리사
佐々木道誉,사사키 도요
北畠顕家,기타바타케 아키이에
森可成,모리 요시나리
中島健人,나카지마 켄토
金田一京助,긴다이치 교스케
賀屋興宣,가야 오키노리
高師直,고노 모로나오
尾上松之助,오노에 마츠노스케
出口陽,데구치 아키
江川卓・(野球),에가와 스구루
中西優香,나카니시 유카
鈴木貞一,스즈키 데이이치
柴田淳,시바타 준
藤あや子,후지 아야코
小池里奈,고이케 리나
田口壮,다구치 소
詩月カオリ,우타쓰키 가오리
相川亮二,아이카와 료지
熊沢蕃山,구마자와 반잔
奥田民生,오쿠다 다미오
大堀恵,오호리 메구미
千利休,센노 리큐
小野坂昌也,오노사카 마사야
青野武,아오노 다케시 (성우)
辻谷耕史,츠지타니 코지
Hitomi,히토미 (가수)
Tetsuya,Tetsuya (가수)
佐川一政,사가와 잇세이
Hyde,Hyde (음악가)
かきふらい,카키후라이
野田聖子,노다 세이코
宮崎吾朗,미야자키 고로
佐野稔,사노 미노루 (피겨스케이팅 선수)
武田梨奈,다케다 리나
スティーヴ・アオキ,스티브 아오키
櫻井孝宏,사쿠라이 타카히로
井上雄彦,이노우에 다케히코
近藤昭一,곤도 쇼이치
武田修宏,다케다 노부히로
田中友幸,다나카 도모유키 (프로듀서)
箭内政之,야나이 마사유키
黒部光昭,구로베 데루아키
継谷昌三,쓰기타니 쇼조
秋元康,아키모토 야스시
小栗旬,오구리 슌
杉森建,스기모리 켄
園田博之,소노다 히로유키
岡本昌弘,오카모토 마사히로
具志堅用高,구시켄 요코
菊池寛,기쿠치 간
彩花みん,아야하나 민
酒井直樹・(サッカー選手),사카이 나오키
沢田謙太郎,사와다 겐타로
吉田孝行,요시다 다카유키
三田麻央,미타 마오
風間俊介,카자마 슌스케
土門仁,도몬 진
井筒和幸,이즈쓰 가즈유키
阿波野秀幸,아와노 히데유키
鹿野優以,카노 유이
永山絢斗,나가야마 켄토
松本若菜,마츠모토 와카나
佐藤隆太,사토 류타
石川数正,이시카와 가즈마사
高良健吾,코라 켄고
水川潤,유메 카나
光宗薫,미츠무네 카오루
甲斐谷忍,카이타니 시노부
大久保忠世,오쿠보 다다요
和田豊,와다 유타카
城後寿,조고 히사시
柏幸奈,카시와 유키나
西島隆弘,니시지마 타카히로
ささきむつみ,사사키 무츠미 (삽화가)
井川慶,이가와 게이
松雪泰子,마츠유키 야스코
相武紗季,아이부 사키
仙台エリ,센다이 에리
八原博通,야하라 히로미치
宮城リョータ,송태섭
長手絢香,나가테 아야카
山本百合子,야마모토 유리코
小出恵介,코이데 케이스케
AZUKI七,아즈키 나나
井浦新,이우라 아라타
本多雄一,혼다 유이치
藤ヶ谷太輔,후지가야 타이스케
太田美知彦,오타 미치히코
宮脇咲良,사쿠라 (가수)
佐藤友亮,사토 도모아키
石井琢朗,이시이 다쿠로
玉森裕太,타마모리 유타
中西香菜,나카니시 가나
水沢エレナ,미즈사와 에레나
伊達成実,다테 시게자네
米沢瑠美,요네자와 루미
希美まゆ,노조미 마유
水野信元,미즈노 노부모토
佐倉綾音,사쿠라 아야네
熊木杏里,쿠마키 안리
松岡錠司,마쓰오카 조지
三田紀房,미타 노리후사
幸田露伴,고다 로한
有村架純,아리무라 카스미
松井稼頭央,마쓰이 가즈오
坂本勇人,사카모토 하야토
鍋島直茂,나베시마 나오시게
KAGAYA,카가야 유타카
久邇宮邦彦王,구니노미야 구니요시 왕
川島義之,가와시마 요시유키
武本康弘,타케모토 야스히로
安藤優也,안도 유야
Huke,Huke
Miwa,Miwa (가수)
橋本龍太郎,하시모토 류타로
Nayuta,Nayuta (가수)
田中哲司,다나카 테츠시
松重豊,마츠시게 유타카
石井萌々果,이시이 모모카
岡本綾,오카모토 아야
水野美紀,미즈노 미키
風吹ジュン,후부키 준
竹内外史,다케우치 가이시
浅丘ルリ子,아사오카 루리코
樹木希林,키키 키린
渡部絵美,와타나베 에미
浅井えり子,아사이 에리코
徳姫,도쿠히메 (1559년)
山田南平,야마다 난페이
初音・(歌手),하츠네
又吉イエス,마타요시 미쓰오
佐藤ひろ美,사토 히로미
井上正大,이노우에 마사히로
森野将彦,모리노 마사히코
五木ひろし,이츠키 히로시
池脇千鶴,이케와키 치즈루
本名陽子,혼나 요코
島袋光年,시마부쿠로 미츠토시
中務,나카쓰카사
森川智之,모리카와 토시유키
大島直人,오시마 나오토
青森伸,아오모리 신
蜂須賀茂韶,하치스카 모치아키
島津久光,시마즈 히사미쓰
国仲涼子,쿠니나카 료코
三浦友和,미우라 토모카즈
紗栄子,사에코
橋本みゆき,하시모토 미유키
YURIA,YURIA
吉高由里子,요시타카 유리코
春野寿美礼,하루노 스미레
井上源三郎,이노우에 겐자부로
マシ・オカ,마시 오카
今村昌平,이마무라 쇼헤이
小沢一郎,오자와 이치로
藤原惺窩,후지와라 세이카
川村万梨阿,카와무라 마리아
伊藤整一,이토 세이이치
柄本明,에모토 아키라
小日向文世,코히나타 후미요
岡本玲,오카모토 레이
井川遥,이가와 하루카
柏原収史,카시와바라 슈지
岸部一徳,키시베 잇토쿠
舘ひろし,타치 히로시
渡哲也,와타리 테츠야
完顔阿骨打・(漫画家),완얀 아구다 (만화가)
光石研,미츠이시 켄
豊原功補,토요하라 코스케
森口瑤子,모리구치 요코
川崎希,가와사키 노조미
成田梨紗,나리타 리사
松本白鸚・(2代目),마츠모토 하쿠오 (2대)
佐伯美香・(アイドル),사에키 미카
染谷将太,소메타니 쇼타
井伊直孝,이이 나오타카
松平清康,마쓰다이라 기요야스
有栖川宮威仁親王,아리스가와노미야 다케히토 친왕
成瀬理沙,나루세 리사
鈴木福,스즈키 후쿠
上坂すみれ,우에사카 스미레
木坂規矩三,기사카 기쿠조
安田成美,야스다 나루미
磯谷廉介,이소가이 렌스케
米倉涼子,요네쿠라 료코
玉置浩二,타마키 코지
りょう・(女優),료 (배우)
南沢奈央,미나미사와 나오
平山あや,히라야마 아야
加藤あい,카토 아이
寺島拓篤,테라시마 타쿠마
立花慎之介,다치바나 신노스케
押尾学,오시오 마나부
鈴木杏樹,스즈키 안즈
瀧川幸辰,다키카와 유키토키
三上博史,미카미 히로시
近江知永,오미 토모에
内山理名,우치야마 리나
松下奈緒,마츠시타 나오
宮前真樹,미야마에 마키
大泉洋,오오이즈미 요
稲森いずみ,이나모리 이즈미
忌野清志郎,이마와노 키요시로
神木隆之介,카미키 류노스케
矢田亜希子,야다 아키코
村山富市,무라야마 도미이치
金城武,카네시로 타케시
西郷隆盛,사이고 다카모리
駒野友一,고마노 유이치
源義経,미나모토노 요시쓰네
田中マルクス闘莉王,다나카 마르쿠스 툴리오
森本貴幸,모리모토 다카유키
清水玲子,시미즈 레이코
山本博・(アーチェリー選手),야마모토 히로시 (양궁 선수)
菅原孝標女,다카스에의 딸
ヤマトタケル,야마토타케루
小泉進次郎,고이즈미 신지로
瓜生外吉,우류 소토키치
宮崎勤,미야자키 쓰토무
有馬洪,아리마 고
武田勝頼,다케다 가쓰요리
浦田直也,우라타 나오야
宇喜多直家,우키타 나오이에
藤本敦士,후지모토 아쓰시
洲崎綾,스자키 아야
土井裕泰,도이 노부히로
怕尼芝,하니지
土井利勝,도이 도시카쓰
三吉聖王,미요시 기요타카
若尾文子,와카오 아야코
江夏豊,에나쓰 유타카
西又葵,니시마타 아오이
三輪士郎,미와 시로
丸山隆平,마루야마 류헤이
千鳥かなめ,치도리 카나메
堀絢子,호리 준코
山田ユギ,야마다 유기
アイラミツキ,아이라 미쓰키
麻生智久,아소 토모히사
市川実日子,이치카와 미카코
赤松真人,아카마쓰 마사토
秋田児童連続殺害事件,하타케야마 스즈카
大場真人,오바 마히토
今井麻美,이마이 아사미
石田卓也・(俳優),이시다 타쿠야
蓮佛美沙子,렌부츠 미사코
柿澤弘治,가키자와 고지
五十嵐亮太,이가라시 료타
内田篤人,우치다 아쓰토
宮市亮,미야이치 료
川島永嗣,가와시마 에이지
盛田昭夫,모리타 아키오
岡崎慎司,오카자키 신지
八木重吉,야기 주키치
樽床伸二,다루토코 신지
高山樗牛,다카야마 조규
立原正秋,김윤규
大佛次郎,오사라기 지로
Nujabes,누자베스
平沢里菜子,히라사와 리나코
吉田健一・(英文学者),요시다 겐이치
村山達雄,무라야마 다쓰오
鳥居元忠,도리이 모토타다
寺田寅彦,데라다 도라히코
堤康次郎,쓰쓰미 야스지로
喜多村英梨,키타무라 에리
渡辺大輔・(俳優),와타나베 다이스케 (배우)
西塚泰美,니시즈카 야스토미
藤原璋子,후지와라노 다마코
片山東熊,가타야마 도쿠마
樋口真嗣,히구치 신지
兒玉遥,코다마 하루카
黒瀬真奈美,쿠로세 마나미
諸塚香奈実,모로즈카 카나미
里見浩太朗,사토미 코타로
原由実,하라 유미
廣木隆一,히로키 류이치
DJ・OZMA,DJ OZMA
上祐史浩,조유 후미히로
秋山ゆりか,아키야마 유리카
長谷川明子,하세가와 아키코
尼子経久,아마고 쓰네히사
大川藍,오카와 아이
天海祐希,아마미 유키
福井俊彦,후쿠이 도시히코
西郷局,사이고노쓰보네
顕如,겐뇨
佐々木主浩,사사키 가즈히로
徳川頼宣,도쿠가와 요리노부
清水宗治,시미즈 무네하루
内川藍維,우치카와 아이
徳川光貞,도쿠가와 미쓰사다
草壁皇子,구사카베노 황자
川原礫,카와하라 레키
比嘉愛未,히가 마나미
谷澤恵里香,야자와 에리카
江口洋介,에구치 요스케
宇徳敬子,우토쿠 게이코
森川美穂,모리카와 미호
原田ひとみ,하라다 히토미
小川真奈,오가와 마나
秋篠宮文仁親王,아키시노노미야 후미히토 친왕
上杉謙信,우에스기 겐신
稲本潤一,이나모토 준이치
MIYAVI,MIYAVI
伊達政宗,다테 마사무네
錦織圭,니시코리 게이
日蓮,니치렌
大久保嘉人,오쿠보 요시토
YOSHIKI,YOSHIKI (음악가)
谷垣禎一,다니가키 사다카즈
清水崇,시미즈 다카시 (영화 감독)
松岡利勝,마쓰오카 도시카쓰
水城せとな,미즈시로 세토나
藤沢とおる,후지사와 토루
北条政子,호조 마사코
中山慶子,나카야마 요시코
長慶天皇,조케이 천황
有栖川宮熾仁親王,아리스가와노미야 다루히토 친왕
有田八郎,아리타 하치로
梅田高志,우메다 다카시
佐藤優樹・(歌手),사토 마사키
藤原長良,후지와라노 나가요시
水木しげる,미즈키 시게루
内藤玲,나이토 료
恒松あゆみ,츠네마츠 아유미
結城アイラ,유키 아이라
津田美波,츠다 미나미
地井武男,치이 타케오
藤原彰子,후지와라노 쇼시 (988년)
津田左右吉,쓰다 소키치
大山鎬則,오야마 타카노리
髙嶋政宏,타카시마 마사히로
早水リサ,하야미즈 리사
大久保瑠美,오오쿠보 루미
阪口周平,사카구치 슈헤이
前田剛,마에다 다케시 (배우)
髙嶋政伸,타카시마 마사노부
高階貴子,다카시나노 기시
藤原道雅,후지와라노 미치마사
中村太亮,나카무라 다이스케 (성우)
檀臣幸,단 토모유키
飯島直子,이이지마 나오코
伊波普猷,이하 후유
螢雪次朗,호타루 유키지로
後藤夕貴,고토 유키
金太郎,긴타로
川津泰彦,카와즈 야스히코
花田光,하나다 히카루
中村由利・(歌手),나카무라 유리 (가수)
速水優,하야미 마사루
藤本京太郎,후지모토 교타로
千葉涼平,치바 료헤이
泉谷しげる,이즈미야 시게루
村上義清,무라카미 요시키요
麻原彰晃,아사하라 쇼코
千代の富士貢,지요노후지 미쓰구
赤松健,아카마츠 켄
植松伸夫,우에마쓰 노부오
仁孝天皇,닌코 천황
堀河天皇,호리카와 천황
山田正彦・(政治家),야마다 마사히코
レイシャ・ヘイリー,레이샤 헤일리
与謝野晶子,요사노 아키코
HIROYA,히로야 (킥복싱 선수)
三上和良,미카미 가즈요시
子安武人,코야스 타케히토
星野桂,호시노 가쓰라
西尾末広,니시오 스에히로
徳川家達,도쿠가와 이에사토
真田信綱,사나다 노부쓰나
小西紀行,코니시 노리유키
辰巳ヨシヒロ,다쓰미 요시히로
鈴木通夫,스즈키 미치오
攝津正,셋쓰 다다시
河野和久,거노 가즈히사
中村剛也,나카무라 다케야
大瀬楓,오세 가에데
吉本隆明,요시모토 다카아키
中嶋宏,나카지마 히로시
上野亮,우에노 료
白玉雅己,시라타마 마사미
塩野七生,시오노 나나미
水谷豊,미즈타니 유타카
川中美幸,카와나카 미유키
田畑智子,타바타 토모코
泰勇気,타이 유우키
柳宗悦,야나기 무네요시
小形満,오가타 미츠루
石井弘寿,이시이 히로토시
安彦良和,야스히코 요시카즈
新島襄,니지마 조
羅川真里茂,라가와 마리모
古川愛李,후루카와 아이리
J・(ミュージシャン),J (음악가)
大鳥圭介,오토리 게이스케
北村一輝,키타무라 카즈키
東村アキコ,히가시무라 아키코
北島康介,기타지마 고스케
坂口博信,사카구치 히로노부
加藤澤男,가토 사와오
吉川広家,깃카와 히로이에
椎名へきる,시이나 헤키루
山田裕貴,야마다 유키
小澤亮太,오자와 료타
牛島満,우시지마 미쓰루
賀来賢人,카쿠 켄토
清水一希,시미즈 카즈키
菅沼久義,스가누마 히사요시
MAKO,MAKO
槇文彦,마키 후미히코
孝霊天皇,고레이 천황
孝昭天皇,고쇼 천황
孝安天皇,고안 천황
小林一茶,고바야시 잇사
仁徳天皇,닌토쿠 천황
坂本九,사카모토 큐
本田宗一郎,혼다 소이치로
青山テルマ,아오야마 텔마
樋上いたる,히노우에 이타루
夏川りみ,나츠카와 리미
小野涼子,오노 료코
蓮舫,렌호
向田邦子,무코다 구니코
吉田えり,요시다 에리
足利義澄,아시카가 요시즈미
岡崎京子,오카자키 쿄코
足利義持,아시카가 요시모치
足利義量,아시카가 요시카즈
西澤明訓,니시자와 아키노리
伏見宮貞愛親王,후시미노미야 사다나루 친왕
中原杏,나카하라 안
足利義詮,아시카가 요시아키라
山口紗弥加,야마구치 사야카
佐々木希,사사키 노조미 (모델)
白眞勲,하쿠 신쿤
田中眞紀子,다나카 마키코
田中好子,다나카 요시코
宮本百合子,미야모토 유리코
古田重然,후루타 시게나리
池松壮亮,이케마츠 소스케
本多正純,혼다 마사즈미
大矢真那,오오야 마사나
木下ミシェル,키노시타 유키코
須田亜香里,스다 아카리
常高院,조코인
向田茉夏,무카이다 마나츠
伊東忠太,이토 주타
加藤るみ,카토 루미
平田璃香子,히라타 리카코
桑原みずき,구와바라 미즈키
松本梨奈,마츠모토 리나
平松可奈子,히라마쓰 가나코
田中実・(俳優),다나카 미노루 (배우)
石田安奈,이시다 안나
鈴木紫帆里,스즈키 시호리
末松謙澄,스에마쓰 겐초
市川美織,이치카와 미오리
田崎潤,타자키 준
わたなべまさこ,와타나베 마사코
やなぎなぎ,야나기나기
能登有沙,노토 아리사
空条承太郎,쿠죠 죠타로
綏靖天皇,스이제이 천황
明智光秀,아케치 미쓰히데
小渕恵三,오부치 게이조
安寧天皇,안네이 천황
豊臣秀頼,도요토미 히데요리
小澤征爾,오자와 세이지
高梨沙羅,다카나시 사라
黒柳徹子,쿠로야나기 테츠코
山下智久,야마시타 토모히사
佐藤寿人,사토 히사토
高橋洋子・(歌手),타카하시 요코
土肥洋一,도이 요이치
福西崇史,후쿠니시 다카시
豊田副武,도요다 소에무
ハーフナー・マイク,마이크 하프나
永山瑛太,나가야마 에이타
髙橋ツトム,타카하시 츠토무 (만화가)
西村京太郎,니시무라 교타로
武者小路実篤,무샤노코지 사네아쓰
麻枝准,마에다 준
北原沙弥香,키타하라 사야카
北畠親房,기타바타케 지카후사
勝田里奈,가쓰다 리나
永野愛,나가노 아이
水原希子,미즈하라 키코
小木曽汐莉,오기소 시오리
森高千里,모리타카 치사토
藤原実方,후지와라노 사네카타
松原剛志,마츠바라 츠요시
二条昭実,니조 아키자네
江口愛実,에구치 아이미
木﨑ゆりあ,키자키 유리아
生駒親正,이코마 지카마사
有川ひろ,아리카와 히로
石井真,이시이 마코토
前野長康,마에노 나가야스
一柳夢吾,이치야나기 유고
塩屋浩三,시오야 코조
高本めぐみ,타카모토 메구미
黒川芽以,쿠로카와 메이
増田長盛,마시타 나가모리
さだまさし,사다 마사시
藤原咲平,후지와라 사쿠헤이
Taka・(ONE・OK・ROCKのメンバー),모리우치 타카히로
芦名星,아시나 세이
東山天皇,히가시야마 천황
小畑健,오바타 다케시
徳川綱吉,도쿠가와 쓰나요시
霊元天皇,레이겐 천황
光格天皇,고카쿠 천황
桃園天皇,모모조노 천황
