André-Pierre Gignac,앙드레피에르 지냐크
Paco Malgesto,파코 말헤스토
Alan-Peter Gadiot,피터 개디오
Miguel Ángel Reyes-Varela,미겔 앙헬 레예스바렐라
Isaac Brizuela,이사크 브리수엘라
Lupe Carriles,루프 카릴즈
Ismael Valadez,이스마엘 발라데스
Sandra Destenave,산드라 데스테나베
Manuel Capetillo,마누엘 카페티요
Lyn May,린 메이
Yolanda Ventura,욜 란다 벤츄라
Jonás Cuarón,호나스 쿠아론
Alejandro de la Madrid,알레한드로 데 라 마드리드
Kristyan Ferrer,크리스티안 페레
Valeria Luiselli,발레리아 루이셀리
Danh Vö,자인보
Gabriel Luna,게이브리얼 루나
Sofía Castro,소피아 카스트로
Diego Sinhue Rodríguez Vallejo,디에고 로드리게스 발레호
Marina de Tavira,마리나 데 타비라
Carlos Salcedo,카를로스 살세도
Carlos Emiliano Salinas,에밀리아노 살리나스
Ténoch Huerta Mejía,테노치 우에르타
Carlos Ortiz,카를로스 오르티스
Rubí Sandoval,루비 산도발
Alex Arnold León,아놀드 레온
Tito Junco,티토 준코
Rodolfo Cazaubon,로돌포 카사우본
Mauricio González,마우리시오 곤잘레즈
Mascarita Dorada,마스카리타 도라다
Mascarita Sagrada,마스카리타 사그라다
Sophie Alexander,소피 알레한데르
Miguel Couturier,미구엘 쿠투리에
María Chacón,마리아 차콘
Joan Sebastian,호안 세바스티안
Israel Alcántara,이지 알칸트라
Alexandra de la Mora,알렉산드라 드 라 모라
Humberto Vélez,움베르토 벨레즈
Miguel Roman,미구엘 로만
José María Flores (gobernador),호세 마리아 플로레스
Mauricio Mancera,마우리시오 만세라
Ximena Ayala,히메나 아얄라
Natalia Juárez,나탈리아 주아레즈
Susana Noriega,수사나 노리에가
Dagoberto Gama,다고베토 가마
Paulina Goto,파울리나 고토
Omar Fayad,오마르 파야드
Karla Souza,카를라 소우사
Pedro Valtierra,페드로 발티에라
Guillermo Tovar de Teresa,길레르모 토바 드 테레사
Ana Lilian de la Macorra,아나 릴리안 데라마코라
Pepe Aguilar,페페 아길라르
Rosa María Bianchi,로사 마리아 비안치
Carlos Chávez,카를로스 차베스
Patricia Acevedo,패트리샤 에이스베도
Viridiana Alatriste,비리디아나 알라트리스테
Roberto Aguire,로버토 어과이어
Raquel Torres,라퀠 토레스
Perro Aguayo Jr.,페로 아과요 주니어
Carlos Manuel Urzúa Macías,카를로스 마누엘 우르수아 마시아스
Pilar Pellicer,필러 펠리서
María Renée Prudencio,마리아 레네 프루덴시오
José Manuel Cruzalta,호세 마누엘 크루살타
Luis Cessa,루이스 세사
José Tolentino,호세 톨렌티노
Robert Livermore,로버트 리버모어
Reyli,레일리
Julio Bracho Castillo,훌리오 브라보
José Ramón Sauto,호세 라몬 사우토
Rogelio Ramírez de la O,로헬리오 라미레스 데라오
Rodolfo Cota,로돌포 코타
Rosita López Augirre,로시 아귀레
Sebastian Hofmann,세바스티안 오프만
Héctor Jiménez,헥터지 메네즈
Rafael Díaz,라파엘 디아스
Renata Zarazúa,레나타 사라수아
Ernesto Carlos,이원국
Luis Videgaray Caso,루이스 비데가라이 카소
Manuel Balbi,마누엘 발비
Armando Casas,아르만도 카사스
Adan Canto,아단 칸토
Zachary Laoutides,재커리 래오타이즈
Noé Hernández,노에 에르난데스
Ophelia Pastrana,오필리아 파스트라나
Michel Franco,미셸 프랑코
Erick Chapa,에릭 차파
Miguel Gonzalez,미겔 곤살레스
Ela Velden,엘라 벨덴
Carmen Sarahí,카르멘 사라이
Alonso Ruizpalacios,알론소 루이즈 팔라시오스
Hirving Lozano,이르빙 로사노
Henry Martín,엔리 마르틴
Camila Fernández,카밀라 페르난데스
Erick Gutiérrez,에리크 구티에레스
Rogelio Franco Castán,로젤리오 프랑코 캐스탄
Martín Abundis,마르틴 아분디스
Gaby López,가비 로페스
Gabriela Bayardo,가브리엘라 슐로세
René García,르네 가르시아
Jesús Daniel Gallardo Vasconcelos,헤수스 가야르도
Sr Pelo,Sr Pelo
Manuel Garcia-Rulfo,마누엘 가르시아룰포
Luis Chávez,루이스 차베스
Brenda Vélez,브렌다 벨 레즈
Luciana Silveyra,루시아나 실비아
Lopez Pérez Conejo,우리엘 안투나
Yuya,유야
Francisco Sebastián Córdova,세바스티안 코르도바
Roberta Colindrez,로베르타 콜린드레스
Yanet García,야네트 가르시아
Orbelín Pineda,오르벨린 피네다
Marcela Guirado,마르셀라 귀라도
Susana Palazuelos,수사나 팔라수엘로스
Sara Ladrón de Guevara,사라 라드론 데게바라
Kristal Silva,크리스탈 실바
Ilse Salas,일세 살라스
Marcela Rubiales,마르셀라 루비알레스
Patricia Azarcoya Schneider,파트리샤 아자르코야 슈나이더
Stephanie Sigman,스테파니 시그먼
Sofía Reyes,소피아 레예스
Karol Sevilla,카롤 세비야
Antonio Riestra,안토니오 리에스트라
Rogelio Hernández,세사르 몬테스
Melissa Barrera,멜리사 바레라
Long Gutiérrez,롱 구티에레스
Cassandra Ciangherotti,카산드라 치아첼로티
Aleph Molinari,Aleph Molinari
Gerardo Arteaga,헤라르도 아르테아가
Yuriy Khovanskiy,유리 호반스키
Roberto Alvarado,로베르토 알바라도
Flavino Ríos Alvarado,플라비노 리오스 알바라도
Raúl Vale,라울 베일
Alexis Vega,알렉시스 베가
Adriana Paz,아드리아나 파스
Nemesio Oseguera Cervantes,Rubén Oseguera Cervantes
Luis Ricardo Reyes,루이스 리카르도 레예스
Moisés Arizmendi,모이세 아리스멘디
Alex Verdugo,앨릭스 베르두고
Juan Carlos Olivas,후안 카를로스 올리바스
Brenda Viramontes,브렌다 비라몬테스
Norma Palafox,노르마 팔라폭스
Natalia Cordova-Buckley,나탈리아 코르도바버클리
Jorge Sánchez Ramos,호르헤 산체스
Edson Álvarez,에드손 알바레스
Deneva Cagigas,데네바 카히가스
Tomás Rojas,토마스 로자스
David Pablos,다비드 파블로스
Bruno Figueroa Fischer,브루노 피게로아
Meneses Monroy,Meneses Monroy
Gastón Pavlovich,가스톤 파블로비치
Barbara López de Achaga,바르바라 로페스
Paulette Gebara Farah,초안:폴레트 게바라 파라의 죽음
Dharius,다리우스
Katty Martínez,카티 마르티네스
Kimberly Loaiza,킴벌리 로아이사
Gustavo Egelhaaf,구스타보 에겔하프
Cristina Rodlo,크리스티나 로드로
Tuco Salamanca,투코 살라망카
Raul Inglis,라울 잉글리스
José Alejandro García Muñoz,호세 알레한드로 가르시아 무뇨스
Jessica Vilchis,제시카 빌키스
Yago César da Silva,야구 세자르 다 시우바
Marco Polo Constandse,마르코 폴로 콘스탄드세
Humberto Busto,움베르토 부스토
Mauricio Isaac,마우리시오 이삭
Christian Nodal,크리스티안 노달
Lizbeth Ovalle,리즈베스 오바예
Analiz Sanchez,아날리스 산체스
Gabriel Santoyo,가브리엘 산토요
Christian Lanz,크리스티앙 란스
Arturo Herrera Gutiérrez,아르투로 에레라 구티에레스
Luis Romo,루이스 로모
Veronica Falcón,베로니카 팔콘
Santiago Giménez,산티아고 히메네스
Daniel Lajud,다니엘 라후드
Julián Araujo,훌리안 아라우조
Randy Arozarena,란디 아로사레나
José Carlos Villarreal,호세 카를로스 비야레알
Cristina Ferral,크리스티나 페랄
Andrea Meza,안드레아 메사
Gigi Saul Guerrero,지기 사울 게레로
Yalitza Aparicio,얄리차 아파리시오
Kevin Nahin Álvarez Campos,케빈 알바레스
Omar Leyva,오마르 레이바
Johan Vázquez ibarra,호안 바스케스
Leonardo Ortizgris,레오나르도 오르티즈그리스
Jaidy Gutiérrez,하이디 구티에레스
Alejandra Ambrosi,알레한드라 암브로시
Sebastián Ferrat,세바스티안 페라트
Alicia Jaziz,알리시아 쟈지즈
Norma Krafft,노르마 크라프트
Norma Hernandez,노르마 에르난데스
Karla Nieto,카를라 파올라 니에토
Desirée Monsiváis,데시레 몬시바이스
Lila Avilés,릴라 아빌레스
Carlos Alberto Rodríguez,카를로스 알베르토 로드리게스
Andrés Almeida,안드레스 알메이다
Fernando Frías,페르난도 프리아스 데라파라
Isaac Ezban,아이작 에즈반
Pablo César López,파블로 로페스
Peniley Ramírez,페닐레이 라미레스
Lex Ortega,렉스 오르테가
Sombra,솜브라
Christian Burgos,크리스티안 부르고스
Samuel Kim,펀치
B. Traven,B. 트라벤
Giselle Kuri,지젤 쿠리
Alan Jonsson,앨런 존슨
Juan Pablo de Santiago,후안 파블로 데 산티아고
Fátima Molina,파티마 몰리나
Nicolasa Ortiz Monasterio,니콜라사 오티즈 모나스테리오
Hoze Meléndez,호에 멜렌데스
Horacio Garcia Rojas,호라시오 가르시아 로자스
Fernando Álvarez Rebeil,페르난도 알바레스 리베일
Hernán Mendoza,헤르난 멘도자
Gerardo Naranjo,헤랄도 나라뇨
Juan Pablo Castañeda,후안 파블로 카스타네다
Miriana Moro,미리아나 모로
Ricardo Esquerra,리카르도 에스퀘라
Emiliano Rocha Minter,에밀리아노 로차 민터
Victoria Volkóva,빅토리아 볼코바
Martha Claudia Moreno,마사 클라우디아 모레노
Emma Hurtado,에마 우르타도
Diego Calva,디에고 칼바
Nitro Fun,Nitro fun
Majo Aguilar,마호 아길라르
Luka Romero,루카 로메로
Juan Daniel García Treviño,다니엘 가르시아 트레비뇨
Hiromi Kamata,히로미 카마타
Enrique Cabrera,Enrique Cabrera
Neftali Martinez,Neftali Martinez
Iñaki Godoy,이냐키 고도이
Giuseppe Gamba,주세페 감바
Mario Bautista,마리오 바티스타
Kenia Os,케니아 오스
Kim Gyu Jin,김규진
Rodrigo Brand,로드리고 브랜드
