George Washington,ジョージ・ワシントン
Max Schmeling,マックス・シュメリング
Kurt Lewin,クルト・レヴィン
John Young (astronaut),ジョン・ヤング・(宇宙飛行士)
Rachel Nichols (actress),レイチェル・ニコルズ
Bill Monroe,ビル・モンロー
Henry James,ヘンリー・ジェイムズ
Lana Del Rey,ラナ・デル・レイ
Johnny Depp,ジョニー・デップ
Paul Feyerabend,ポール・ファイヤアーベント
Talia Shire,タリア・シャイア
Erich von Stroheim,エリッヒ・フォン・シュトロハイム
Robert F. Furchgott,ロバート・ファーチゴット
Harrison Schmitt,ハリソン・シュミット
Carl Ferdinand Cori,カール・コリ
Peter Lorre,ピーター・ローレ
Hamilton O. Smith,ハミルトン・スミス
Robert W. Holley,ロバート・W・ホリー
Jackie Chan,ジャッキー・チェン
Gregory Peck,グレゴリー・ペック
Robert Woodrow Wilson,ロバート・ウッドロウ・ウィルソン
German Americans,ドイツ系アメリカ人
Stephanie Zimbalist,ステファニー・ジンバリスト
Jack Conway (filmmaker),ジャック・コンウェイ・(映画監督)
James Garner,ジェームズ・ガーナー
Wolfgang Zilzer,ヴォルフガング・ツィルツァー
John Michael Talbot,ジョン・マイケル・タルボット
Helen Hunt,ヘレン・ハント
Erich Leinsdorf,エーリヒ・ラインスドルフ
Mary Steenburgen,メアリー・スティーンバージェン
Carrie Fisher,キャリー・フィッシャー
Nancy Pelosi,ナンシー・ペロシ
Jackson Pollock,ジャクソン・ポロック
Nicole Kidman,ニコール・キッドマン
Walter Kohn,ウォルター・コーン
Franz Werfel,フランツ・ヴェルフェル
Fritz Kreisler,フリッツ・クライスラー
Victor Francis Hess,ヴィクトール・フランツ・ヘス
Philip K. Dick,フィリップ・K・ディック
Thalía,タリア
Milla Jovovich,ミラ・ジョヴォヴィッチ
Christopher A. Sims,クリストファー・シムズ
Ray Manzarek,レイ・マンザレク
Ralph Alpher,ラルフ・アルファー
George Peppard,ジョージ・ペパード
Tippi Hedren,ティッピ・ヘドレン
Eva Mendes,エヴァ・メンデス
Roger D. Kornberg,ロジャー・コーンバーグ
Adolf Busemann,アドルフ・ブーゼマン
William Prager,ウィリアム・プラーガー
Richie Ginther,リッチー・ギンサー
Marshall Warren Nirenberg,マーシャル・ニーレンバーグ
Elisha Otis,エリシャ・オーチス
Dan Gurney,ダン・ガーニー
Fritz Machlup,フリッツ・マハループ
Carl Djerassi,カール・ジェラッシ
Fritz Stiedry,フリッツ・シュティードリー
Rudolph Schindler (architect),ルドルフ・シンドラー
Heinz Kohut,ハインツ・コフート
Max Reinhardt,マックス・ラインハルト
Joseph Rock,ジョセフ・フランシス・チャールズ・ロック
Mila Kunis,ミラ・クニス
Hanns Eisler,ハンス・アイスラー
Jeffrey Carney,ジェフリー・カーニー
Art Tatum,アート・テイタム
Josef von Sternberg,ジョセフ・フォン・スタンバーグ
René Spitz,ルネ・スピッツ
Christopher Lloyd,クリストファー・ロイド
Rosanna Arquette,ロザンナ・アークエット
Helene Deutsch,ヘレーネ・ドイチュ
Ernst Haas,エルンスト・ハース
Otto F. Kernberg,オットー・カーンバーグ
T. S. Eliot,T・S・エリオット
Natalie Portman,ナタリー・ポートマン
Wolfgang Puck,ウルフギャング・パック
Francis Lederer,フランツ・レデラー
Paul Federn,ポール・フェダーン
Frederick Herzberg,フレデリック・ハーズバーグ
Jack Anderson (columnist),ジャック・アンダーソン
Thomas Mifflin,トマス・ミフリン
Richard Mentor Johnson,リチャード・メンター・ジョンソン
Alexander Granach,アレクサンダー・グラナック
Norman Thagard,ノーマン・サガード
Alfred Thayer Mahan,アルフレッド・セイヤー・マハン
Ginnifer Goodwin,ジニファー・グッドウィン
Renato Dulbecco,レナート・ドゥルベッコ
Thomas A. Steitz,トマス・A・スタイツ
Peter Diamond,ピーター・ダイアモンド
Mario Andretti,マリオ・アンドレッティ
Thelonious Monk,セロニアス・モンク
Dale T. Mortensen,デール・モーテンセン
Scott Speed,スコット・スピード
Viggo Mortensen,ヴィゴ・モーテンセン
Edmond H. Fischer,エドモンド・フィッシャー
Edwin G. Krebs,エドヴィン・クレープス
Masiela Lusha,マシエラ・ルーシャ
Leonardo DiCaprio,レオナルド・ディカプリオ
Mike Tyson,マイク・タイソン
Superman,スーパーマン・(架空の人物)
Edwin E. Salpeter,エドウィン・サルピーター
Julius Axelrod,ジュリアス・アクセルロッド
Edward Calvin Kendall,エドワード・カルビン・ケンダル
George Takei,ジョージ・タケイ
E. E. Smith,E・E・スミス
Hiram Johnson,ハイラム・ジョンソン
Nicholas Schenck,ニコラス・シェンク
Bill Paxton,ビル・パクストン
William Giauque,ウイリアム・ジオーク
Cory Doctorow,コリイ・ドクトロウ
Justin Bartha,ジャスティン・バーサ
Helen Keller,ヘレン・ケラー
Henry Middleton,ヘンリー・ミドルトン
Henrietta Swan Leavitt,ヘンリエッタ・スワン・リービット
Brett Lunger,ブレット・ランガー
Matthew Perry,マシュー・ペリー・(俳優)
Jamie Foxx,ジェイミー・フォックス
Rikky von Opel,リッキー・フォン・オペル
Peter Revson,ピーター・レブソン
Ernestine Schumann-Heink,エルネスティーネ・シューマン＝ハインク
Spider-Man,スパイダーマン
Laura Prepon,ローラ・プレポン
Tamarine Tanasugarn,タマリネ・タナスガーン
Hayden Panettiere,ヘイデン・パネッティーア
Bill Vukovich,ビル・ブコビッチ
Alice Drummond,アリス・ドラモンド
Michael Andretti,マイケル・アンドレッティ
Jake Johnson,ジェイク・ジョンソン
George Lucas,ジョージ・ルーカス
Robert Duvall,ロバート・デュヴァル
Mark Donohue,マーク・ダナヒュー
Thomas Mann (actor),トーマス・マン・(俳優)
Luis Walter Alvarez,ルイス・ウォルター・アルヴァレズ
Chris Evans (actor),クリス・エヴァンス
David Allen (author),デビッド・アレン
A. O. Scott,A・O・スコット
Ernie Pyle,アーニー・パイル
William Faulkner,ウィリアム・フォークナー
Emma Goldman,エマ・ゴールドマン
Nicole Arendt,ニコル・アレント
Michael Crichton,マイケル・クライトン
Karen Uhlenbeck,キャレン・アーレンベック
Roger Penske,ロジャー・ペンスキー
Oscar Homolka,オスカー・ホモルカ
Lisette Model,リゼット・モデル
Fredrik Franson,フレデリック・フランソン
W. H. Auden,W・H・オーデン
Sean Waltman,ショーン・ウォルトマン
James R. Schlesinger,ジェームズ・R・シュレシンジャー
Alberto Del Rio,アルベルト・ロドリゲス
J. D. Salinger,J・D・サリンジャー
Kristen Bell,クリスティン・ベル
Winrich Kolbe,ウィンリック・コルベ
Percy Williams Bridgman,パーシー・ブリッジマン
Marvin Minsky,マービン・ミンスキー
Phil McGraw,フィル・マグロー
Ronnie Bucknum,ロニー・バックナム
Jennifer Garner,ジェニファー・ガーナー
Bobby Unser,ボビー・アンサー
George Follmer,ジョージ・フォルマー
John Malkovich,ジョン・マルコヴィッチ
Bobby Rahal,ボビー・レイホール
Al Leiter,アル・ライター
Alexander Hamilton,アレクサンダー・ハミルトン
Jim Hall (racing driver),ジム・ホール・(レーサー)
Hoodie Allen,フーディ・アレン
Richard Feynman,リチャード・P・ファインマン
Norbert Wiener,ノーバート・ウィーナー
Mickey Rourke,ミッキー・ローク
Yasiin Bey,モス・デフ
Drew Brees,ドリュー・ブリーズ
Ndamukong Suh,エンダムカン・スー
Joe Grant,ジョー・グラント
Edward Emerson Barnard,エドワード・エマーソン・バーナード
Rosser Reeves,ロッサー・リーブス
Lisa Kudrow,リサ・クドロー
Janet Leigh,ジャネット・リー
William Jennings Bryan,ウィリアム・ジェニングス・ブライアン
Carmen Hart,カルメン・ハート
Frankie Knuckles,フランキー・ナックルズ
Tyra Banks,タイラ・バンクス
Sam Posey,サム・ポージー
Dax McCarty,ダックス・マッカーティ
Kareem Abdul-Jabbar,カリーム・アブドゥル＝ジャバー
Derrick Rose,デリック・ローズ
James M. Buchanan,ジェームズ・M・ブキャナン
Billy Zane,ビリー・ゼイン
George Mary Searle,ジョージ・サール
Al Capone,アル・カポネ
Megan Fox,ミーガン・フォックス
Jan Stenerud,ヤン・ステナルード
William P. Murphy,ウィリアム・P・マーフィ
John Steinbeck,ジョン・スタインベック
Emily Deschanel,エミリー・デシャネル
Garrett Eckbo,ガレット・エクボ
Gerty Cori,ゲルティー・コリ
Charlize Theron,シャーリーズ・セロン
Anthony Kiedis,アンソニー・キーディス
Mark David Chapman,マーク・チャップマン
Julianne Moore,ジュリアン・ムーア
Michael Phelps,マイケル・フェルプス
Hoyt Axton,ホイト・アクストン
Norman Johnson (mathematician),ノーマン・ジョンソン
Naomi Oreskes,ナオミ・オレスケス
Aaron Burr,アーロン・バー
Danny Ongais,ダニー・オンガイス
Vinnie Vincent,ヴィニー・ヴィンセント
Salvador Luria,サルバドール・エドワード・ルリア
Franco Modigliani,フランコ・モディリアーニ
Bradley Cooper,ブラッドリー・クーパー
Chelsea Kane,チェルシー・ストウブ
Jared Diamond,ジャレド・ダイアモンド
Joni Mitchell,ジョニ・ミッチェル
Matt Sorum,マット・ソーラム
Brad Paisley,ブラッド・ペイズリー
Joshua Chamberlain,ジョシュア・チェンバレン
Kevin Rankin (actor),ケヴィン・ランキン
Katherine Helmond,キャサリン・ヘルモンド
Steven Weinberg,スティーヴン・ワインバーグ
Butch Otter,ブッチ・オッター
Candice King,キャンディス・アッコラ
Terry Branstad,テリー・ブランスタッド
Johnny Thomson,ジョニー・トムソン
Steven Chu,スティーブン・チュー
Alex D. Linz,アレックス・D・リンツ
Ray Conniff,レイ・コニフ
John L. Hall,ジョン・ホール・(物理学者)
Douglas Osheroff,ダグラス・D・オシェロフ
Stephen King,スティーヴン・キング
Jack Nicholson,ジャック・ニコルソン
David Boreanaz,デヴィッド・ボレアナズ
Carl Wieman,カール・ワイマン
Willie Nelson,ウィリー・ネルソン
Zita Johann,ジータ・ジョハン
Arthur Miller,アーサー・ミラー
Eddie George,エディ・ジョージ
Abigail Adams,アビゲイル・アダムズ
Hank Williams,ハンク・ウィリアムズ
Charlton Heston,チャールトン・ヘストン
Timbaland,ティンバランド
Fred Kelly (hurdler),フレデリック・ケリー
Ted Williams,テッド・ウィリアムズ
Eric Allin Cornell,エリック・コーネル
Robert Nozick,ロバート・ノージック
Ashraf Ghani,アシュラフ・ガニー
DJ Khaled,DJキャレド
Isaac Hayes,アイザック・ヘイズ
David Marciano,デヴィッド・マルシアーノ
Craig Mello,クレイグ・メロー
James Pickens Jr.,ジェームズ・ピケンズ・Jr
Ed Lauter,エド・ローター
Pearl S. Buck,パール・S・バック
Alice B. Toklas,アリス・B・トクラス
Donald A. Glaser,ドナルド・グレーザー
The Notorious B.I.G.,ノトーリアス・B.I.G.
Robert Lefkowitz,ロバート・レフコウィッツ
Chris Bauer,クリス・バウアー
Brian Kobilka,ブライアン・コビルカ
John Travolta,ジョン・トラボルタ
George Smoot,ジョージ・スムート
Gucci Mane,グッチ・メイン
John Rawls,ジョン・ロールズ
Ernie Ball,アーニー・ボール
John Kluge,ジョン・クルーゲ
Louise Ritter,ルイス・リッター
Oliver Stone,オリバー・ストーン
Thomas Schelling,トーマス・シェリング
Mahalia Jackson,マヘリア・ジャクソン
Val Logsdon Fitch,ヴァル・フィッチ
Gael García Bernal,ガエル・ガルシア・ベルナル
Dante Spinotti,ダンテ・スピノッティ
Domingo Quiñones,ドミンゴ・キニョーネス
William Coley,ウィリアム・コーリー
Stephen Crane,スティーヴン・クレイン
Chandra Wilson,チャンドラ・ウィルソン
Justin Chambers,ジャスティン・チェンバース
Sara Ramirez,サラ・ラミレス
Samuel L. Jackson,サミュエル・L・ジャクソン
Mischa Barton,ミーシャ・バートン
O. Henry,オー・ヘンリー
William Saroyan,ウィリアム・サローヤン
Lenny Kravitz,レニー・クラヴィッツ
Anton Heida,アントン・ハイダ
Matthew Pearl,マシュー・パール
Zsa Zsa Gabor,ザ・ザ・ガボール
Sylvester Stallone,シルヴェスター・スタローン
Ronny Cox,ロニー・コックス
Blythe Danner,ブライス・ダナー
Candy Clark,キャンディ・クラーク
Bret Hart,ブレット・ハート
Bud Cort,バッド・コート
Anthony Rapp,アンソニー・ラップ
Janina Gavankar,ジャニナ・ガヴァンカー
Jessica Capshaw,ジェシカ・キャプショー
Jesse Williams (actor),ジェシー・ウィリアムズ
Isaiah Washington,イザイア・ワシントン
Richard Linklater,リチャード・リンクレイター
T. R. Knight,T・R・ナイト
Mike Vogel,マイク・ヴォーゲル
Will Smith,ウィル・スミス
Walt Whitman,ウォルト・ホイットマン
Ricki Lake,リッキー・レイク
Janeane Garofalo,ジャニーン・ガラファロー
Steven Seagal,スティーヴン・セガール
Carl von Marr,カール・マール
Igor Rodnianski,イーゴリ・ロドニアンスキー
Ant-Man (Scott Lang),アントマン・(スコット・ラング)
Sadakichi Hartmann,サダキチ・ハートマン
Robert E. Howard,ロバート・E・ハワード
Shannen Doherty,シャナン・ドハーティー
Charles Goodyear,チャールズ・グッドイヤー
Kevin McHale (basketball),ケビン・マクヘイル
Edward Frenkel,エドワード・フレンケル
Keak da Sneak,キーク・ダ・スニーク
Pierce Brosnan,ピアース・ブロスナン
Paddy Chayefsky,パディ・チャイエフスキー
Stanisława Walasiewicz,スタニスラワ・ワラシェビッチ
Lewis Black,ルイス・ブラック
Gary Sinise,ゲイリー・シニーズ
Warren Sapp,ウォーレン・サップ
Oguchi Onyewu,オグチ・オニェウ
Jacqueline Carey,ジャクリーン・ケアリー
Kyle MacLachlan,カイル・マクラクラン
P. G. Wodehouse,P・G・ウッドハウス
Alfred Tarski,アルフレト・タルスキ
Bella Thorne,ベラ・ソーン
Murray Gell-Mann,マレー・ゲルマン
Arno Allan Penzias,アーノ・ペンジアス
Lewis Morris Rutherfurd,ルイス・ラザファード
Emilio Segrè,エミリオ・セグレ
Frank Gehry,フランク・ゲーリー
L. Frank Baum,ライマン・フランク・ボーム
Raymond Chandler,レイモンド・チャンドラー
Daryl Hannah,ダリル・ハンナ
Robert Armstrong (actor),ロバート・アームストロング・(俳優)
William Paulding Jr.,ウィリアム・ポールディング・ジュニア
Francis Walker (Virginia politician),フランシス・ウォーカー・(バージニア州の政治家)
Steve Nichols,スティーブ・ニコルズ
Margaret Mitchell,マーガレット・ミッチェル
Stephen Jay Gould,スティーヴン・ジェイ・グールド
Sarah Michelle Gellar,サラ・ミシェル・ゲラー
Joseph Heller,ジョセフ・ヘラー
Harrison Ford,ハリソン・フォード
James M. Cain,ジェームズ・M・ケイン
Cate Blanchett,ケイト・ブランシェット
Amy Lee,エイミー・リー
Talisa Soto,タリサ・ソト
Brenda Song,ブレンダ・ソング
Peter Pau,ピーター・パウ
Margaret Mead,マーガレット・ミード
Joan Crawford,ジョーン・クロフォード
Andrea Bowen,アンドレア・ボーウェン
Shawn Ray,ショーン・レイ
Sandra Oh,サンドラ・オー
Dave Chappelle,デイヴ・シャペル
Stipe Miocic,スティーペ・ミオシッチ
Jay Grdina,ジャスティン・スターリング
Adele Goldstine,アデル・ゴールドスタイン
Nelsan Ellis,ネルサン・エリス
Jim Carrey,ジム・キャリー
Mark Spitz,マーク・スピッツ
Anna Nicole Smith,アンナ・ニコル・スミス
John Cage,ジョン・ケージ
Harold Urey,ハロルド・ユーリー
Keith Jarrett,キース・ジャレット
Sophia Bush,ソフィア・ブッシュ
John C. Calhoun,ジョン・カルフーン
Steven Hill,スティーヴン・ヒル
DeMarre Carroll,デマール・キャロル
Gene Simmons,ジーン・シモンズ・(ミュージシャン)
Fergie (singer),ファーギー・(歌手)
Robert E. Jager,ロバート・ジェイガー
Ty Law,タイ・ロー
Denise Richards,デニス・リチャーズ
Michael Hedges,マイケル・ヘッジス
Angela Lansbury,アンジェラ・ランズベリー
David Gross,デイビッド・グロス
Little Richard,リトル・リチャード
Teddy Mayer,テディ・メイヤー
Jessica Lange,ジェシカ・ラング
Iron Man,トニー・スターク
Eric Roberts,エリック・ロバーツ
Winsor McCay,ウィンザー・マッケイ
Danny Sullivan,ダニー・サリバン
Eddie Cheever,エディ・チーバー
Mary Cassatt,メアリー・カサット
A. J. Foyt,A.J.フォイト
Frank Miller,フランク・ミラー
Elisabeth Shue,エリザベス・シュー
Carole Lombard,キャロル・ロンバード
Dolly Parton,ドリー・パートン
Tom DeLay,トム・ディレイ
Boris Johnson,ボリス・ジョンソン
Omar Bradley,オマール・ブラッドレー
Mary Elizabeth Winstead,メアリー・エリザベス・ウィンステッド
Sandra Bullock,サンドラ・ブロック
Gilbert N. Lewis,ギルバート・ルイス
Hope Solo,ホープ・ソロ
Margaret Brown,マーガレット・ブラウン
Julia Roberts,ジュリア・ロバーツ
John Wayne,ジョン・ウェイン
Brian Thompson,ブライアン・トンプソン
Gene Vincent,ジーン・ヴィンセント
Bill Evans,ビル・エヴァンス
Linda Hamilton,リンダ・ハミルトン
Stanley Milgram,スタンレー・ミルグラム
Éamon de Valera,エイモン・デ・ヴァレラ
Susie Essman,スージー・エスマン
Lillian Moller Gilbreth,リリアン・ギルブレス
Kate Capshaw,ケイト・キャプショー
Joseph Pulitzer,ジョーゼフ・ピューリツァー
Julie Bowen,ジュリー・ボーウェン
Philip Seymour Hoffman,フィリップ・シーモア・ホフマン
Loie Fuller,ロイ・フラー
Lucky Luciano,ラッキー・ルチアーノ
Jaegwon Kim,ジェグォン・キム
Kristanna Loken,クリスタナ・ローケン
Ice Cube,アイス・キューブ
Monica Seles,モニカ・セレシュ
Rod Fontana,ロッド・フォンタナ
Pervis Ellison,パービス・エリソン
Tim Allen,ティム・アレン
Michael Bradley (soccer),マイケル・ブラッドリー・(サッカー選手)
Kalomira,カロミラ
Bo Derek,ボー・デレク
Allison Janney,アリソン・ジャネイ
Willa Cather,ウィラ・キャザー
Blake Jenner,ブレイク・ジェンナー
Ray Bradbury,レイ・ブラッドベリ
Natalie Wood,ナタリー・ウッド
John Wilkes Booth,ジョン・ウィルクス・ブース
Ray Allen,レイ・アレン
Jozy Altidore,ジョジー・アルティドール
Andie MacDowell,アンディ・マクダウェル
Shia LaBeouf,シャイア・ラブーフ
Paul Giamatti,ポール・ジアマッティ
Chaka Khan,チャカ・カーン
Jayne Mansfield,ジェーン・マンスフィールド
Sarah Vaughan,サラ・ヴォーン
Michelle Trachtenberg,ミシェル・トラクテンバーグ
Jennifer Lopez,ジェニファー・ロペス
Terrence Jones,テレンス・ジョーンズ
Mariah Carey,マライア・キャリー
Julie Adams,ジュリー・アダムス
Frank Sinatra,フランク・シナトラ
Jane Addams,ジェーン・アダムズ
Norman Mailer,ノーマン・メイラー
Jane Fonda,ジェーン・フォンダ
Jennifer Beals,ジェニファー・ビールス
Melvin Frank,メルヴィン・フランク
Arthur Penn,アーサー・ペン
Kris Kristofferson,クリス・クリストファーソン
Julianna Margulies,ジュリアナ・マルグリーズ
Sarah Chalke,サラ・チョーク
Robin Tunney,ロビン・タニー
Madeleine Stowe,マデリーン・ストウ
Marg Helgenberger,マーグ・ヘルゲンバーガー
Melina Kanakaredes,メリーナ・カナカレデス
Catherine Hardwicke,キャサリン・ハードウィック
Ike Turner,アイク・ターナー
Bo Diddley,ボ・ディドリー
Kim Cattrall,キム・キャトラル
Jackie Joyner-Kersee,ジャッキー・ジョイナー＝カーシー
Rene Russo,レネ・ルッソ
Michelle McCool,ミシェル・マクール
Maryse Mizanin,マリース・ウエレ
Martin Scorsese,マーティン・スコセッシ
Henry Cabot Lodge,ヘンリー・カボット・ロッジ
Al Haig,アル・ヘイグ
Eileen Collins,アイリーン・コリンズ
Malin Akerman,マリン・アッカーマン
Chelsea Clinton,チェルシー・クリントン
Christa McAuliffe,クリスタ・マコーリフ
Christopher Reeve,クリストファー・リーヴ
Marion Jones,マリオン・ジョーンズ
Wallis Simpson,ウォリス・シンプソン
Telly Savalas,テリー・サバラス
Jackie Wilson,ジャッキー・ウィルソン・(ミュージシャン)
Robert Middleton,ロバート・ミドルトン
Teri Hatcher,テリー・ハッチャー
Herbert A. Simon,ハーバート・サイモン
Tom Cole,トム・コール
John Bassett Moore,ジョン・バセット・ムーア
Bryce Dallas Howard,ブライス・ダラス・ハワード
Heather Locklear,ヘザー・ロックリア
Steve Ballmer,スティーブ・バルマー
Annie Proulx,E・アニー・プルー
Virginia Madsen,ヴァージニア・マドセン
Grace Slick,グレイス・スリック
Frank McCourt,フランク・マコート
Mr. Wrestling,ミスター・レスリング
Kyle Busch,カイル・ブッシュ
Katie Cassidy,ケイティ・キャシディ
Lyndsy Fonseca,リンジー・フォンセカ
Natalie Coughlin,ナタリー・コーグリン
Katie Hoff,ケイティ・ホフ
Dara Torres,ダラ・トーレス
Holly Madison,ホリー・マディソン
Lucy Hale,ルーシー・ヘイル
Mary-Louise Parker,メアリー＝ルイーズ・パーカー
Ornette Coleman,オーネット・コールマン
Raquel Welch,ラクエル・ウェルチ
George Fisher (musician),ジョージ・フィッシャー
Charles Coughlin,チャールズ・カフリン
Ronnie Vannucci Jr.,ロニー・ヴァヌッチィ
Laura Branigan,ローラ・ブラニガン
Patty Hearst,パトリシア・ハースト
Yang Chen-Ning,楊振寧
Kyra Sedgwick,キーラ・セジウィック
Lauren Holly,ローレン・ホリー
Akebono Tarō,曙太郎
Al Pacino,アル・パチーノ
Ursula K. Le Guin,アーシュラ・K・ル＝グウィン
Madeleine Albright,マデレーン・オルブライト
Reid Priddy,ウィリアム・プリディ
Bernard Baruch,バーナード・バルーク
Wayne Gretzky,ウェイン・グレツキー
Sherilyn Fenn,シェリリン・フェン
Ali MacGraw,アリ・マッグロー
Kate Walsh (actress),ケイト・ウォルシュ・(女優)
Fats Domino,ファッツ・ドミノ
Clarence DeMar,クラレンス・デマー
Lucille Ball,ルシル・ボール
Brittany Snow,ブリタニー・スノウ
Katie Holmes,ケイティ・ホームズ
Jodie Foster,ジョディ・フォスター
Bobby Fischer,ボビー・フィッシャー
Edward Norton Lorenz,エドワード・ローレンツ
William H. Welch,ウィリアム・H・ウェルチ
Charles Stark Draper,チャールズ・スターク・ドレイパー
Michael Moore,マイケル・ムーア
Dolph Lundgren,ドルフ・ラングレン
Carly Simon,カーリー・サイモン
Julius Erving,ジュリアス・アービング
Katherine LaNasa,キャサリン・ラ・ナサ
Mary Tyler Moore,メアリー・タイラー・ムーア
Demi Lovato,デミ・ロヴァート
Kurt Gödel,クルト・ゲーデル
Bill Talbert,ビル・タルバート
Ken Baumann,ケン・バウマン
David Darling (musician),デヴィッド・ダーリング
Loraine Gonzales,ロレイン・ゴンザレス
Jeff Bridges,ジェフ・ブリッジス
Al Jarreau,アル・ジャロウ
John Simon (record producer),ジョン・サイモン
Ray Milland,レイ・ミランド
Lita (wrestler),エーミィ・ダーマス
Tiffani Thiessen,ティファニー・ティーセン
Evelyn Ashford,エベリン・アシュフォード
Maureen O'Sullivan,モーリン・オサリヴァン
Ève Curie,エーヴ・キュリー
David Patrick Kelly,デヴィッド・パトリック・ケリー
Hubert Humphrey,ヒューバート・H・ハンフリー
Teresa Wright,テレサ・ライト
Tatum O'Neal,テータム・オニール
Kate Mulgrew,ケイト・マルグルー
Alan Shepard,アラン・シェパード
Frances Lee McCain,フランシス・リー・マッケイン
Betty Comden,ベティ・コムデン
Rita Moreno,リタ・モレノ
Ethel Barrymore,エセル・バリモア
Danielle Panabaker,ダニエル・パナベイカー
Eve Torres,イヴ・トーレス
Kiele Sanchez,キーリー・サンチェス
Dennis Tito,デニス・チトー
Irene Dunne,アイリーン・ダン
Broderick Crawford,ブロデリック・クロフォード
Louise Fletcher,ルイーズ・フレッチャー
Cynthia Watros,シンシア・ワトロス
Gabourey Sidibe,ガボレイ・シディベ
Gilbert Stuart,ギルバート・ステュアート
Josh Brolin,ジョシュ・ブローリン
Dorothy Malone,ドロシー・マローン
Cloris Leachman,クロリス・リーチマン
Nina Simone,ニーナ・シモン
Wilt Chamberlain,ウィルト・チェンバレン
Lee Remick,リー・レミック
John Ortiz,ジョン・オーティス
Jean M. Auel,ジーン・アウル
Leslie Caron,レスリー・キャロン
Jennie Garth,ジェニー・ガース
Richard Dreyfuss,リチャード・ドレイファス
Blind Willie McTell,ブラインド・ウィリー・マクテル
Scott Westerfeld,スコット・ウエスターフェルド
Abraham Flexner,エイブラハム・フレクスナー
Robert Marshak,ロバート・マーシャク
Walt Szczerbiak,ウォルター・ザービアック
Washington Irving,ワシントン・アーヴィング
Julia Stiles,ジュリア・スタイルズ
Charles Greeley Abbot,チャールズ・アボット・(天文学者)
George R. R. Martin,ジョージ・R・R・マーティン
Louis Kahn,ルイス・I・カーン
Peter Fonda,ピーター・フォンダ
Jordan Rudess,ジョーダン・ルーデス
Jennifer Love Hewitt,ジェニファー・ラブ・ヒューイット
Lauren Conrad,ローレン・コンラッド
Jane Darwell,ジェーン・ダーウェル
Nastia Liukin,ナスティア・リューキン
Danneel Ackles,ダニール・ハリス
Kari Byron,キャリー・バイロン
Fredric March,フレドリック・マーチ
Cliff Robertson,クリフ・ロバートソン
Stan Lee,スタン・リー
Tony Hillerman,トニイ・ヒラーマン
Eliza Dushku,エリザ・ドゥシュク
Courtney Thorne-Smith,コートニー・ソーン＝スミス
Lee Grant,リー・グラント
Olympia Dukakis,オリンピア・デュカキス
Patti Page,パティ・ペイジ
Igor Olshansky,イゴール・オルシャンスキー
Thaddeus Shideler,タデウス・シデラー
Janet Gaynor,ジャネット・ゲイナー
Marc Singer,マーク・シンガー
Michael Jordan,マイケル・ジョーダン
Mark Ruffalo,マーク・ラファロ
Cybill Shepherd,シビル・シェパード
Rashard Lewis,ラシャード・ルイス
Gene Pitney,ジーン・ピットニー
Simon Rex,サイモン・レックス
Thomas Birch (artist),トーマス・バーチ・(画家)
Barbara Cochran,バーバラ・コクラン
F. Murray Abraham,F・マーリー・エイブラハム
Leroy Brown (high jumper),リロイ・ブラウン
Jack Kilby,ジャック・キルビー
Susan Helms,スーザン・J・ヘルムズ
Paul Lukas,ポール・ルーカス
Richard E. Byrd,リチャード・バード
Lawrence Eagleburger,ローレンス・イーグルバーガー
Amaury Nolasco,アマウリー・ノラスコ
Anne Archer,アン・アーチャー
Amy Poehler,エイミー・ポーラー
Joe Theismann,ジョー・サイズマン
Bill Christian,ビル・クリスチャン
Lauren Weisberger,ローレン・ワイズバーガー
Sidney Darlington,シドニー・ダーリントン
Felix Perez Camacho,フェリクス・ペレス・カマチョ
Pee Wee Reese,ピー・ウィー・リース
William Samuel Johnson,ウィリアム・サミュエル・ジョンソン
Robert H. Goddard,ロバート・ゴダード
Shirley Temple,シャーリー・テンプル
Jill Ireland,ジル・アイアランド
Thomas Leonidas Crittenden,トマス・L・クリッテンデン
Mircea Eliade,ミルチャ・エリアーデ
Steve Perry,スティーヴ・ペリー
Monique Coleman,モニーク・コールマン
Joseph Nye,ジョセフ・ナイ
William H. Crawford,ウィリアム・クロウフォード・(政治家)
Christopher George,クリストファー・ジョージ
Max Roach,マックス・ローチ
Robert Langdon,ロバート・ラングドン
Aubrey Plaza,オーブリー・プラザ
Paul Muni,ポール・ムニ
Larry James,ラリー・ジェームズ
Misty May-Treanor,ミスティ・メイトレーナー
Elliott Smith,エリオット・スミス
J. Edgar Hoover,ジョン・エドガー・フーヴァー
Caroline Kennedy,キャロライン・ケネディ
Nellie Bly,ネリー・ブライ
Katee Sackhoff,ケイティー・サッコフ
Melina Perez,メリーナ・ペレス
Amanda Righetti,アマンダ・リゲッティ
Julie Benz,ジュリー・ベンツ
George C. Scott,ジョージ・C・スコット
Mark Hamill,マーク・ハミル
Kim Raver,キム・レイヴァー
Alicia Fox,ビクトリア・クロフォード
Christina Milian,クリスティーナ・ミリアン
Jessica Tandy,ジェシカ・タンディ
Mary Lynn Rajskub,メアリー・リン・ライスカブ
Christina Hendricks,クリスティーナ・ヘンドリックス
Michael Shannon,マイケル・シャノン
Ludwig Mies van der Rohe,ルートヴィヒ・ミース・ファン・デル・ローエ
Raymond Davis Jr.,レイモンド・デイビス
Hannibal Lecter,ハンニバル・レクター
