Marea Neagră,黑海
Petroșani,彼得羅沙尼
Augustin,奧古斯廷鄉
Cotuș,科圖什
Hârșova,哈索瓦
Biserici de lemn din Maramureș,馬拉穆列什的木教堂群
Moldova Nouă,新摩爾多瓦
Bran,布蘭 (布拉索夫縣)
Nicolae Bălcescu,尼古拉伯爾切斯庫鄉
Sângeorz-Băi,聖喬治-伯伊
Vlăhița,弗勒希察
Brestovăț,布雷斯托沃茨鄉
Ghimeș-Făget,吉梅什-弗傑特鄉
Agapia,阿加皮亞鄉
Huțuli,胡楚爾人
Salcia,薩爾恰鄉
Ciolănești,喬勒內什蒂鄉
Universitatea de Științe Agricole și Medicină Veterinară Cluj-Napoca,克盧日-納波卡農業科學與獸醫大學
Partidul România Mare,大罗马尼亚党
FC Gloria Buzău,凱萊布澤烏足球會
Măneciu,默內丘鄉
Cenad,切納德鄉
Teiuș,泰尤什
Orșova,奧爾紹瓦
Vatra Dornei,瓦特拉多爾內
Avram Iancu,阿夫拉姆揚庫鄉
FCV Farul Constanța,康斯坦察維托足球俱樂部
Cornu,科爾努鄉
Agigea,阿吉賈鄉
"Vârful Pietrosul Călimanilor, Munții Călimani",彼得罗苏峰
Arhidieceza de Alba Iulia,天主教阿爾巴尤利亞總教區
Bârlad,伯尔拉德河
Filipeștii de Pădure,菲利佩什蒂德珀杜雷鄉
Foresta Fălticeni,佛雷斯塔
Cupa Ligii,罗马尼亚联赛杯
Brezoi,布雷佐伊
Seaca de Pădure,塞亞卡德珀杜雷鄉
Aeroportul Internațional Sibiu,錫比烏
Universitatea Babeș-Bolyai,貝比什鮑里亞大學
Moldova,摩爾多瓦河
Sinagoga din Cetate,塞塔特猶太會堂
Azuga,阿祖加
Costeștii din Vale,科斯泰什蒂丁瓦萊鄉
Buzău,布澤烏河
Ludești,盧代什蒂鄉
Baraolt,巴拉奧爾特
FC Inter Sibiu,英特錫比烏
Jiu,日烏河
CS Otopeni,歐特佩尼
Masivul Vlădeasa,瓦達薩山脈
Ordinul național „Steaua României”,羅馬尼亞之星勳章
Astra Giurgiu,阿斯特拉足球俱樂部
Trotuș,特羅圖什河谷
Munții Harghita,哈尔吉塔山
Catedrala Greco-Catolică Schimbarea la Față din Cluj,主显圣容主教座堂
cutremurul din 1977,1977年布加勒斯特地震
Plopeni,普洛佩尼
Vintilă Vodă,溫蒂勒大公鄉
Târnava Mică,塔納瓦·米卡
Piața Avram Iancu din Cluj-Napoca,阿夫拉姆·扬库广场
Huedin,胡埃丁
Marghita,馬爾吉塔
Baia de Criș,巴亞德克里什鄉
Onești,奧內什蒂
Poarta Ecaterinei din Brașov,加大肋纳门
Bucovăț,布科沃茨鄉
Liești,列什蒂
Extreme Light Infrastructure,極端光基礎設施
Petrache Poenaru,彼得拉克·波耶納魯站
Cimitirul Vesel din Săpânța,瑟彭察欢乐墓园
Sărulești,瑟魯萊什蒂鄉
Mihăilești,米赫伊萊什蒂
Pipera,丕巴赫
Uniunea Națională pentru Progresul României,羅馬尼亞進步國家聯盟
Partidul Social Democrat,社会民主党
Templul Mare din Satu Mare,薩圖馬雷猶太會堂
Cergău,切爾格烏鄉
Hobița,霍比察
România la Concursul Muzical Eurovision,羅馬尼亞在歐洲歌唱大賽之歷年表現
Anina,阿尼納
Aninoasa,阿尼諾阿薩
Supercupa Europei 1986,1986年欧洲超级杯
Parcul Cișmigiu,西斯米吉烏花園
Simeria,錫梅里亞
Boldești-Gradiștea,博爾代什蒂-格勒迪什泰亞鄉
Boldur,博爾杜爾鄉
Ocna Mureș,穆列什鹽礦鎮
Covasna,科瓦斯納
Sânnicolau Mare,大聖尼古拉
Radio Cluj,克卢日电台
Partidul Unității Națiunii Române,罗马尼亚民族团结党
Ineu,伊內烏
Regio Călători,雷吉奥跨越
Parlamentul Republicii Moldova,摩尔多瓦共和国议会
Săcele,瑟切萊
Târgu Ocna,特爾古奧克納
Armata Română,羅馬尼亞軍隊
Tecuci,泰庫奇
drumul european E584,欧洲E584公路
Năvodari,訥沃達里
Vulcan,武爾坎
Uricani,烏里卡尼
Turnu Măgurele,圖爾努默古雷萊
Echipa națională de rugby a României,羅馬尼亞國家橄欖球隊
Sărățel,萨拉特尔
Bolintin-Vale,博林廷瓦萊
Liga I 2011-2012,2011年至2012年罗马尼亚足球甲级联赛
Rădoiești,勒多耶什蒂鄉
Șotrile,紹特里萊鄉
Parcul Național Buila-Vânturarița,布伊拉-文圖拉里察國家公園
FC Universitatea Cluj,克卢日大学足球俱乐部
Munții Hășmaș,赫什马什山脉
Reghin,雷京
Cisnădie,奇斯訥迪耶
Hațeg,哈采格
Gura Humorului,古拉胡莫魯盧伊
Podișul Transilvaniei,外西凡尼亞高原
gara Timișoara Nord,蒂米什瓦拉机场a
Athénée Palace Hilton București,雅典娜宮希爾頓布加勒斯特
Solocma,索羅科馬
președinte al României,罗马尼亚总统
Borsec,博爾塞克
Universitatea de Vest din Timișoara,西蒂米什瓦拉大學
Biblioteca Teleki-Bolyai din Târgu Mureș,泰勒克伊-鲍耶图书馆
Breaza,布雷亞扎
Banca Națională a României,羅馬尼亞國家銀行
Colțea Brașov,布拉索夫科尔切亚
Potlogi,波特洛吉鄉
drumul european E578,欧洲E578公路
drumul european E574,欧洲E574公路
drumul european E81,欧洲E81公路
Băile Tușnad,伯伊萊圖什納德
Autostrada A8 (România),東西高速公路
Teatrul Maghiar de Stat din Cluj,克盧日匈牙利劇院
Forța de Jandarmerie Europeană,歐盟國家憲兵
Carpatair,卡帕特航空
Merei,梅雷伊鄉
Târgu Trotuș,特爾古特羅圖什鄉
FC Sportul Studențesc București,布加勒斯特學生體育足球會
Boldești-Scăeni,博爾代什蒂-斯克埃尼
Aeroportul Internațional București Băneasa - Aurel Vlaicu,布加勒斯特伯尼亚萨－奥雷尔·弗拉伊库国际机场
Sălașu de Sus,上瑟拉舒鄉
Mera,梅拉鄉
Năruja,訥魯亞鄉
Hârtibaciu,赫尔蒂巴奇河
Munții Bucegi,布切吉山脈
Centura alpidă,阿尔卑斯带
Munții Făgăraș,弗格拉什山脈
Horgești,霍爾傑什蒂鄉
FC Argeș Pitești,FC阿加斯
Brad,布拉德
Palatul de Justiție din Cluj,正义宫
Pestișu Mic,小佩斯蒂舒鄉
Măeriște,默埃里什泰鄉
Fotbalistul român al anului,羅馬尼亞年度球員
Poiana Brașov,波亞納布拉布拉索夫
Comăna,科默納鄉
Palatul Bánffy din Cluj,克卢日-纳波卡艺术博物馆
Lupeni,盧佩尼
Târnăveni,特爾訥韋尼
Sâmbăta de Sus,上森伯塔鄉
Milcovul,米爾科武爾鄉
Mănăstirea Humor,胡摩爾修道院
Castelul Bánffy de la Bonțida,班菲城堡
Minaur Baia Mare,巴亞馬雷足球會
Salonta,薩隆塔
Codlea,科德萊亞
Regiunea Autonomă Maghiară,马扎尔自治区
Mănăstirea Cârța,卡拉塔修道院
DN2,國道2號
Societatea Română de Televiziune,罗马尼亚电视台
Mărășești,默勒謝什蒂
Brănișca,布勒尼什卡鄉
Depresiunea Brașovului,布拉索夫洼地
Corabia,科拉比亞
Drăgășani,德勒格沙尼
Gheorgheni,格奧爾蓋尼
Carei,卡雷
Găiceana,格伊恰納鄉
Bulzeștii de Sus,上布爾澤什蒂鄉
Meseșenii de Jos,下梅塞謝尼鄉
drumul european E79,欧洲E79公路
România Mare,大罗马尼亚
Certeju de Sus,上切爾泰茹
Borș,博爾什鄉
Gorgota,戈爾戈塔鄉
Agăș,阿格什鄉
Poiana Mărului,波亞納默魯盧伊鄉
Crișul Repede,湍克勒什河
Garoafa,加羅阿法鄉
Boșorod,博紹羅德鄉
Minimax,匈牙利極小電視台
Camăr,卡默爾鄉
Podu Turcului,波杜圖爾庫盧伊鄉
Robănești,羅伯內什蒂鄉
Bumbești-Jiu,本貝什蒂日烏
Borod,博羅德鄉
Cetatea Făgărașului,弗格拉什城堡
Bursa de Valori București,布加勒斯特證券交易所
Gârleni,格爾萊尼鄉
Baia,巴亞鄉
Ordinea de succesiune la tronul României,羅馬尼亞王位繼承順序
Brebu,布雷布鄉
Ținutul Secuiesc,塞凯伊地
Făurei,弗烏雷伊
Tanacu,塔納庫鄉
Costești,科斯泰什蒂鄉
Ocnele Mari,大鹽礦鎮
Răchitoasa,勒基托阿薩鄉
Florești,弗洛雷什蒂鄉
Ardeoani,阿爾代瓦尼鄉
Numerele de înmatriculare auto în România,車牌
Geoagiu,喬阿久
Cavnic,卡夫尼克
Slănic,斯勒尼克
Parincea,帕林恰鄉
Dragalina,德拉加利納鄉
Muzeul Național al Satului „Dimitrie Gusti”,羅馬尼亞農村博物館
Teliu,泰利烏鄉
Catedrala Sfântul Gheorghe din Timișoara,圣乔治主教座堂
Nereju,內雷茹鄉
CSA Steaua Turabo București,CSA布加勒斯特星
Brănești,布納內什蒂 (伊爾福夫縣)
Pandurii Târgu Jiu,特爾古日烏彭杜歷體育會
Eforie,埃福列
integrarea României în Uniunea Europeană,罗马尼亚加入欧盟
Săvârșin,瑟沃爾欣鄉
Ștefăneștii de Jos,下斯特弗內什蒂鄉
Șarja de la Prunaru,普盧那魯突擊
Teleorman,特列奥尔曼河
Amărăștii de Jos,下阿默勒蒂鄉
Prahova,普拉霍瓦河
Almăj,阿爾默日鄉
Siret,錫雷特
FCU Craiova,克拉约瓦大学足球俱乐部
Scornicești,斯科爾尼切什蒂
Stângăceaua,斯滕格恰瓦鄉
Roșiești,羅謝什蒂鄉
Bârsești,伯爾塞什蒂鄉
Pucheni,普凱尼鄉
Cultura României,羅馬尼亞文化
Ciucurova,丘庫羅瓦鄉
Brusturi,布魯斯圖里鄉
Abram,阿布拉姆鄉
Cărpiniș,克爾皮尼什鄉
Duda-Epureni,杜達-埃普雷尼鄉
Câmpia Transilvaniei,美索錫
Gornești,格尼耶塞格
Campionatul European de Fotbal sub 19 ani 2011,2011年欧洲U-19足球锦标赛
AFC Progresul București,布加勒斯特進展足球會
Albești-Paleologu,阿爾貝什蒂-帕萊奧洛古鄉
I.L. Caragiale,揚盧卡卡拉賈萊鄉
Viișoara,維什瓦拉鄉
Vețel,韋采爾鄉
Băleni,伯萊尼鄉
Cenade,切纳德乡
Prejmer,普雷日梅爾
Costești,科斯泰什蒂鄉
Bârsău,伯爾瑟烏德鄉
Tâmboești,滕博埃什蒂鄉
Fântânele,芳特内莱
Tătăranu,韃靼拉努鄉
Industria petrolului în România,羅馬尼亞石油工業
Chinezii din România,罗马尼亚华人
Pârgărești,珀爾格雷什蒂鄉
Râu de Mori,勒烏德莫里鄉
Dimitrie Cantemir,迪米特列坎泰米爾鄉
Aeroportul Internațional Cluj,克盧日國際機場
Albac,阿尔巴克
Crângurile,克倫古里萊鄉
Buciumeni,布丘梅尼鄉
Erou al Republicii Socialiste România,罗马尼亚社会主义共和国英雄
Valea Mare,大谷鄉
Oituz,歐伊圖茲
Hoghiz,霍吉茲鄉
Racoș,拉科什鄉
Cața,卡察鄉
Vulcana-Băi,武爾卡納-伯伊鄉
TVR Internațional,羅馬尼亞電視國際台
BCR Open Romania Ladies,罗马尼亚女子网球公开赛
Tarutino,塔鲁蒂内
Jijia,日日亞河
Universitatea de Vest „Vasile Goldiș” din Arad,維索迪斯大學
Someșul Mic,索梅舒尔米克
Mănăstirea Moldovița,摩尔多维察修道院
Lădești,勒代什蒂鄉
Cârjiți,克爾日齊鄉
Parcul Carol I,卡羅爾公園
Modelu,莫代盧鄉
Universitatea 1 Decembrie 1918 din Alba Iulia,1918年12月1日大学
Partidul Liberal Democrat,自由民主黨
Gazeta Sporturilor,体育公报
Linia M1 a metroului din București,布加勒斯特地鐵1號線
Ruginești,魯吉內什蒂鄉
Universiada de vară din 1981,1981年夏季世界大學生運動會
Cetatea Sighișoara,锡吉什瓦拉历史中心
Politehnica Iași,CSMS雅西足球俱樂部
Solonț,索隆茨鄉
Clubul Atletic Timișoara,CA蒂米什瓦拉
CSF CFR 1933 Timișoara,CFR蒂米什瓦拉足球俱乐部
Vânjuleț,文茹萊茨鄉
Mândra,門德拉鄉
Talpa,塔爾帕鄉
Forțele Terestre Române,羅馬尼亞陸軍
Castelul Pelișor,佩利绍尔城堡
Negrilești,內格里萊什蒂鄉
Sud - Muntenia,南蒙特尼亞發展地區
Sânpetru,聖彼得魯鄉
Părău,珀勒烏鄉
Bunești,布內什蒂鄉
CSM Râmnicu Vâlcea,勒姆尼庫沃爾恰體育會
CSM Reșița,雷西察學校足球會
Concordia Chiajna,基亞日納足球俱樂部
CS Turnu Severin,CS塞維林堡足球俱樂部
Parcul Herăstrău,赫拉斯特勞公園
Crizbav,克里茲巴夫鄉
Apața,阿帕察鄉
Gurasada,古拉薩達鄉
Partidul Naționalist-Democrat,国家民主党
Pedeapsa capitală în România,罗马尼亚死刑制度
Castelul Huniade din Timișoara,匈雅提城堡
Sârbii-Măgura,瑟爾比-默古拉鄉
Linia M4 a metroului din București,布加勒斯特地鐵4號線
Vama Buzăului,布澤烏河畔瓦馬鄉
Curcani,庫爾卡尼鄉
Aeroportul Oradea,奧拉迪亞
Balotești,巴洛泰什蒂鄉
Blandiana,布兰迪亚纳乡
Homoroade,霍莫羅阿代鄉
Gura Șuții,古拉舒齊鄉
Orchestra Națională Radio,罗马尼亚国家广播乐团
Stațiuni românești la Marea Neagră,羅馬尼亞黑海海岸
Plenița,普萊尼察鄉
DN13,国道13号
Sinagoga din Fabric,法布里克猶太會堂
Sarmizegetusa,薩爾米澤傑圖薩鄉
Ghelari,蓋拉里鄉
Stadionul Dinamo,戴拿模球場 （布加勒斯特）
Liga Națională,羅馬尼亞籃球甲級聯賽
Bicazu Ardelean,比卡祖阿爾代良鄉
Podul Calafat-Vidin,新歐洲橋
Gornet-Cricov,戈爾內特-克里科夫鄉
Tărlungeni,特爾倫傑尼鄉
drumul european E675,欧洲E675公路
Tătaru,特塔魯鄉
Provița de Sus,上普羅維察鄉
Poiana Câmpina,波亞納肯皮納鄉
Puchenii Mari,大普凱尼鄉
Uliești,烏列什蒂鄉
Timpuri Noi,新時代站
Golești,戈萊什蒂鄉
Dorna-Arini,多爾納-阿里尼鄉
Sectorul 1,第1區
Sântămăria-Orlea,聖特默里亞-奧爾萊亞鄉
Pui,普伊鄉
Olari,奧拉里鄉
Perișani,佩里沙尼鄉
Ștefești,什泰費什蒂鄉
Stadionul Dr. Constantin Rădulescu,康斯坦丁·勒杜列斯库博士球场
Drăgănești-Vlașca,德勒格內什蒂-弗拉什卡鄉
Crucea,克魯恰鄉
România la Universiada de vară din 2011,2011年夏季世界大学生运动会罗马尼亚代表团
regiune de dezvoltare,羅馬尼亞發展地區
Centrala Nucleară de la Cernavodă,切爾納沃德核電廠
Sângeru,聖傑魯鄉
Râfov,勒福夫鄉
Hărău,赫勒烏鄉
Aștileu,阿什蒂萊烏鄉
Dumbrava,敦布拉瓦鄉
trenulețul de la Platoul Cornești,特尔古穆列什儿童铁路
Lacul Roșu,紅湖
Păulești,珀烏萊什蒂鄉
Teișani,泰伊沙尼鄉
Iordăcheanu,伊奧爾德凱亞努鄉
Valea Călugărească,克魯格魯亞斯克鄉
Bahna,巴赫納鄉
Măgurele,默古雷萊
Sălciile,瑟爾西萊鄉
Secăria,塞克里亞鄉
Podenii Noi,波代尼諾伊鄉
Predeal-Sărari,普雷代亞爾-瑟拉里鄉
România Sub-21,羅馬尼亞21歲以下國家足球隊
Echipa națională de volei masculin a României,羅馬尼亞國家男子排球隊
Nănești,訥內什蒂鄉
Culciu,庫爾丘鄉
Ruginoasa,魯吉諾阿薩鄉
Lipănești,利珀內什蒂鄉
Hârseni,赫爾塞尼鄉
Gura Caliței,古拉卡利采伊鄉
Dragomirești,德拉戈米雷什蒂鄉
Dumbrava,敦布拉瓦鄉
Provița de Jos,下普羅維察鄉
Șoimari,紹伊米里鄉
Muzeul Tehnic Dimitrie Leonida,迪米特里·莱奥尼达
Groupama,安盟保险集团
Măgureni,默古雷尼鄉
Moftin,莫夫廷鄉
Gura Vitioarei,古拉維蒂瓦雷伊鄉
Bodești,博代什蒂鄉
Ulmi,烏爾米鄉
Renașterea națională a României,现代罗马尼亚
Valea Lungă,長谷鄉
Paralela 45 nord,北緯45度線
Catedrala Încoronării din Alba Iulia,加冕主教座堂
Telega,泰萊加鄉
Plopu,普洛普鄉
Eclipsa totală de Soare din 11 august 1999,1999年8月11日日食
drepturi LGBT în România,羅馬尼亞LGBT權益
1 Decembrie,十二月一日乡
Obârșia de Câmp,奧伯爾希亞德肯普鄉
Bălțătești,伯爾策泰什蒂鄉
Pădina,大珀迪納鄉
Tomșani,塔姆沙尼鄉
Vărbilău,沃爾比勒烏鄉
Boianu Mare,大博亞努鄉
Viișoara,維什瓦拉鄉
Beclean,貝克良鄉
CSP UM Timișoara,UM添米索亞拿
Balta,巴爾塔鄉
Obârșia-Cloșani,奧伯爾希亞－克洛沙尼鄉
Întreprinderea de Autocamioane Brașov,罗曼
Catedrala Mitropolitană din Timișoara,蒂米什瓦拉正教會大教堂
FC Botoșani,博托沙尼足球俱樂部
Orlești,奧爾萊什蒂鄉
Bezdead,貝茲代亞德鄉
Aeroportul Internațional „Ștefan cel Mare” Suceava,蘇恰瓦
Preciziei,精確站
Drăgănești,德勒格內什蒂鄉
Dumbrăvița,敦布勒維察鄉
Romanian Top 100,羅馬尼亞top100
drumul european E581,欧洲E581公路
Salcia,薩爾恰鄉
Aeroportul Internațional Satu Mare,薩圖馬雷
Dănicei,德尼切伊鄉
Țifești,齊費什蒂鄉
Frontiera între România și Serbia,羅馬尼亞-塞爾維亞邊界
Gara de Nord,北站
Zborul 371 al TAROM,羅馬尼亞航空371號班機空難
Lacul Snagov,斯納戈夫湖
Regiunea de dezvoltare Vest,西部發展地區
Cacica,卡奇卡鄉
Stroești,斯特羅埃什蒂鄉
Luica,盧伊卡鄉
Dărmănești,德爾默內什蒂鄉
Societatea de Transport București,布加勒斯特交通公司
Șinca,欣卡鄉
Aninoasa,阿尼諾阿薩鄉
Ciomăgești,喬默傑什蒂鄉
transporturile în România,羅馬尼亞交通
EuroVelo 6 - Atlantic-Marea Neagră,EuroVelo6号线
Porțile de Fier I,铁门一号水电站
Societatea Feroviară de Turism,铁路观光协会
Pietrari,彼得拉里鄉
Glodeanu Sărat,格洛代亞努瑟拉特鄉
Drăgești,德勒傑什蒂鄉
Mătăsaru,默特薩魯鄉
Vulturești,武爾圖雷什蒂鄉
Colegiul Național „Sfântul Sava” din București,聖薩瓦國立學院
Forța Civică,公民力量
Parcul Național Cozia,科濟亞國家公園
Parcul Național Călimani,克利馬尼國家公園
Parcul Național Defileul Jiului,德菲萊烏爾日山國家公園
Regiunea de dezvoltare București - Ilfov,布加勒斯特-伊爾福夫發展地區
Lisa,利薩鄉
Agenția Spațială Română,羅馬尼亞航天局
Răzvad,勒茲瓦德鄉
Cașin,卡欣鄉
Traian,特拉揚鄉
Tamași,塔馬希鄉
Zărnești,澤爾內什蒂鄉
Raciu,拉丘鄉
Dragomirești-Vale,德拉戈米雷什蒂-瓦萊鄉
Vișeu de Jos,下維謝烏鄉
Priponești,普里波內什蒂鄉
MediaPro Music,瀏覽音樂公司
Homorod,霍莫羅德鄉
Republica,共和站
Pantelimon,潘泰利蒙站
Biserica Stavropoleos,斯塔弗羅波萊奧斯修道院
Tomești,托梅什蒂鄉
Moroeni,莫羅埃尼鄉
FC Petrolul Ploiești,普羅耶什蒂佩特羅魯足球俱樂部
Armata a 4-a Română,第4軍團
Râmeț,勒梅茨鄉
Cernătești,切爾訥泰什蒂鄉
Măgura,默古拉鄉
Vișani,維沙尼鄉
Parava,帕拉瓦鄉
Brațul Chilia,基利亚分流
Palanca,帕蘭卡鄉
Răchitova,勒基托瓦鄉
Pârjol,珀爾若爾鄉
Sascut,薩斯庫特鄉
Ștefan cel Mare,斯特凡大帝
Berceni,貝真尼
Ministerul Apărării Naționale,羅馬尼亞國防部
Muzeul Național de Artă al României,國立羅馬尼亞藝術博物館
viticultura în România,羅馬尼亞葡萄酒
Chevereșu Mare,大凱韋雷舒鄉
Mărgineni,默爾吉內尼鄉
Sărata,瑟拉塔鄉
Ucea,烏恰鄉
Nicolae Bălcescu,尼古拉伯爾切斯庫鄉
Coșoveni,科紹韋尼鄉
Bistreț,比斯特雷茨鄉
Sălcioara,瑟爾喬阿拉鄉
Cosâmbești,科聖貝什蒂鄉
Stadionul Ilie Oană,伊利耶瓦娜體育場
sportul în România,羅馬尼亞體育
Săbăreni,瑟伯雷尼鄉
Tulucești,圖盧切什蒂鄉
Măgura,默古拉鄉
Palatul de Justiție din București,正義宮
Berteștii de Jos,下貝爾泰什蒂鄉
Mărăcineni,默勒奇內尼鄉
Bilca Mare,比爾卡河
Bilciurești,比爾丘雷什蒂鄉
Petru Rareș,彼得魯拉雷什鄉
Vișeu,維謝烏河
Biserica Sfântul Nicolae din Brașov,圣尼古拉教堂
Turdaș,圖爾達什鄉
Muzeul Etnografic al Transilvaniei,民族志博物馆
județul Hotin,和田縣
Palatul Camerei Deputaților,國會宮
Orange România,罗马尼亚电信
Platonești,普拉托內什蒂鄉
Sfântu Gheorghe,聖格奧爾基鄉
drumul european E68,欧洲E68公路
drumul european E671,欧洲E671公路
Scânteiești,斯肯泰耶什蒂鄉
Sinești,錫內什蒂鄉
Tratatul de la Craiova,克拉约瓦条约
Bărăști,伯勒什蒂鄉
România în al Doilea Război Mondial,第二次世界大战中的罗马尼亚
Brațul Sulina,蘇利納分支
drumul european E673,欧洲E673公路
drumul european E577,欧洲E577公路
Electroputere,克拉约瓦电力机车设备
Muzeul Național de Istorie a Transilvaniei,特兰西瓦尼亚国家历史博物馆
demografia României,羅馬尼亞人口
drumul european E87,欧洲E87公路
Păușești-Măglași,珀烏謝什蒂-默格拉希鄉
Optași-Măgura,奧普塔希-默古拉鄉
Sâmburești,森布雷什蒂鄉
Milcov,米爾科夫鄉
Scânteia,斯肯泰亞鄉
Șirna,錫爾納鄉
Crasna,克拉斯納河
Mănăstirea Putna,普特纳修道院
Negri,內格里鄉
Filipeni,菲利佩尼鄉
"Vârful Negoiu, Munții Făgăraș",内戈尤峰
Sărățeni,瑟勒采尼鄉
Sohatu,索哈圖鄉
Lunca,倫卡鄉
Gârnic,格爾尼克鄉
Strejești,斯特雷熱什蒂鄉
Scorțeni,斯科爾采尼鄉
Padeș,帕代什鄉
Bolotești,博洛泰什蒂鄉
Vrâncioaia,弗倫喬阿亞鄉
Cornățelu,科爾訥泰盧鄉
Pietroasele,皮耶特羅阿塞萊鄉
Câineni,克伊內尼鄉
Bratca,布拉特卡鄉
Sânmartin,聖馬丁鄉
Bogdănești,博格德內什蒂鄉
Ministerul Culturii,羅馬尼亞文化部
Broșteni,布羅什泰尼鄉
Buduslău,布杜斯勒烏鄉
Stadionul Ion Oblemenco,奧布拉門科球場
Tărtășești,特爾特謝什蒂鄉
Lungulețu,倫古萊圖鄉
Itești,伊特什蒂鄉
Țițești,茨采什蒂鄉
Bătălia pentru București,布加勒斯特保衛戰
Coțofenii din Dos,科措費尼丁多斯鄉
Drăgotești,德勒戈泰什蒂鄉
Dobrești,多布雷什蒂鄉
Șuletea,舒萊泰亞鄉
Frontiera între Republica Moldova și România,摩爾多瓦-羅馬尼亞邊界
Amaru,阿馬魯鄉
Ofensiva Armatei României în Transilvania în 1916,特蘭西瓦尼亞戰役
Voicești,沃伊切什蒂鄉
Boțești,博采什蒂鄉
Brănești,布勒內什蒂鄉
Cepari,切帕里鄉
Apostolache,阿波斯托拉凱鄉
Stoicănești,斯托伊克內什蒂鄉
Vișina,維希納鄉
Petreu,阿布勒穆茨鄉
Satu Mare,薩圖馬雷鄉
Mănăstirea Cozia,科济亚修道院
Șaru Dornei,沙魯多爾內鄉
Mihăești,米赫埃什蒂鄉
Dămienești,德米耶內什蒂鄉
Vedea,韋代亞鄉
Căiuți,克尤齊鄉
Aninoasa,阿尼諾阿薩鄉
Holocaustul în România,罗马尼亚的犹太人大屠杀
Vulturești,武爾圖雷什蒂鄉
Cleja,克萊扎鄉
Parcul Natural Apuseni,阿普塞尼國家公園
Slobozia,斯洛博齊亞鄉
Huruiești,胡魯耶什蒂鄉
Berești-Bistrița,貝雷什蒂-比斯特里察鄉
Pietroșani,彼得羅沙尼鄉
Șelimbăr,謝林伯爾鄉
Toplița,托普利察鄉
Casa Presei Libere,新聞自由之家
Țara de Sus,上摩爾達維亞
Mărtinești,默爾蒂內什蒂鄉
drumul european E771,欧洲E771公路
Doicești,多伊切什蒂鄉
Gura Foii,古拉福伊鄉
Finta,芬塔鄉
Stadionul Giulești - Valentin Stănescu,吉烏萊斯蒂球場
Partidul Socialist Român,社会主义选择党
Aeroportul Internațional Arad,阿拉德國際機場
Glodeni,格洛代尼鄉
Cocu,科庫鄉
Covăsânț,科沃聖茨鄉
Uda,烏達鄉
Belciugatele,貝爾丘加泰萊鄉
Adunați,阿杜納蒂鄉
bătălia de la Caransebeș,卡蘭塞貝什戰役
Luizi-Călugăra,盧濟-克盧格拉鄉
Lehliu,萊赫柳鄉
Partidul Conservator,保守黨
Bucșani,布克沙尼鄉
Vlădești,弗勒代什蒂鄉
Ștefan cel Mare,斯特凡大帝
Vorța,沃爾察鄉
Nat Geo People,國家地理悠人頻道
Boghești,博蓋什蒂鄉
Păulești,珀烏萊什蒂鄉
Ticușu,蒂庫舒鄉
Piața Charles de Gaulle,戴高樂廣場
Piața Revoluției,革命廣場
Dobrești,多布雷什蒂鄉
Biserica Kretzulescu,克雷楚列斯庫教堂
Bunești-Averești,布內什蒂-阿韋雷什蒂鄉
Galbenu,加爾貝努鄉
Popești,波佩什蒂鄉
Suceava,蘇恰瓦河
Vișina,維希納鄉
vlax romani,夫拉克斯羅姆語
Ulpia Traiana Sarmizegetusa,烏爾比亞·圖拉亞那·薩爾米澤傑圖薩
DN5,國道5號
Serviciul Român de Informații,羅馬尼亞情報局反恐旅
Catedrala Mântuirii Neamului,罗马尼亚人民救主主教座堂
Aeroportul Internațional Maramures,巴亞馬雷機場
Dealul Spirii,繡線菊山
Prislav,别列雅斯拉维茨
Sala Polivalentă din București,布加勒斯特多功能競技場
Șoseaua Kiseleff,基塞萊夫大道
Cutremurul din 1940,1940年弗朗恰地震
Crăiești,克勒耶什蒂鄉
Aeroportul Internațional Timișoara - Traian Vuia,蒂米什瓦拉
Albeștii de Argeș,阿爾傑什河畔阿爾貝什蒂德鄉
Festivalul Internațional „Cerbul de Aur”,金鹿國際流行音樂節
Dobrogea de Nord,北多布罗加
Dorobanțu,多羅班楚鄉
Batăr,巴特爾鄉
Vernești,韋爾內什蒂鄉
Vadu Pașii,瓦杜帕希鄉
Mărașu,默拉舒鄉
Robeasca,羅貝亞斯卡鄉
Surdila-Găiseanca,蘇爾迪拉-格伊塞安卡鄉
Calvini,卡爾維尼鄉
Salcia Tudor,薩爾恰圖多爾鄉
Pâncești,彭切什蒂鄉
Rușețu,魯謝楚鄉
Valea Salciei,薩爾切伊鄉
Bordei Verde,博爾代韋爾德鄉
Romanu,羅馬努鄉
Giulvăz,久爾沃茲鄉
Senatul României,罗马尼亚参议院
Produlești,普羅杜萊什蒂鄉
Husnicioara,胡斯尼喬阿拉鄉
Echipa națională de baschet a României,羅馬尼亞國家男子籃球隊
Universitatea Transilvania din Brașov,布拉索夫特蘭西瓦大學
Tursib,圖錫布
Poiana,波亞納鄉
Jirlău,日爾勒烏鄉
Recea,雷恰鄉
FC Dinamo II București,布加勒斯特迪纳莫二队
Vârtop,沃爾托普
Berghin,贝尔金乡
Godeni,戈代尼鄉
Lacul Razim,拉濟湖
Cănești,克內什蒂鄉
Movila Miresii,莫維拉米雷西鄉
Chiscani,基斯卡尼鄉
Teatrul Național din Cluj,克盧日-納波卡國家劇院
Muzeul Militar Național,罗马尼亚国家军事博物馆
