François Hollande,프랑수아 올랑드
Pierre Savorgnan de Brazza,피에르 사보르냥 드 브라자
Suzanne Valadon,수잔 발라동
Marc Bloch,마르크 블로크
Christian Karembeu,크리스티앙 카랑뵈
Bruno Walter,브루노 발터
François Darlan,프랑수아 다를랑
Émile Waldteufel,에밀 발퇴펠
Nolwenn Leroy,놀웬 르루아
Jean-Baptiste Biot,장바티스트 비오
Louis XII,루이 12세
Fernand Léger,페르낭 레제
Marcel Marceau,마르셀 마르소
Alberto Giacometti,알베르토 자코메티
Christine de Pizan,크리스틴 드 피장
Emmanuelle Seigner,에마뉘엘 세니에르
Yo-Yo Ma,요요 마
Michèle Morgan,미셸 모르강
Abdoul Mbaye,압둘 음바예
Élisabeth Jacquet de La Guerre,엘리자베스 자케 드 라 게르
Mistinguett,미스탱게트
Daniel-François-Esprit Auber,다니엘 오베르
Émilie Simon,에밀리 시몽
Jean-Yves Berteloot,장이브 베르틀루
Léo Ferré,레오 페레
Mounir Obbadi,무니르 오바디
Fabrice N'Sakala,파브리스 은사칼라
Lucien Febvre,뤼시앵 페브르
Jorge Semprún,호르헤 셈프룬
Romain Gary,로맹 가리
Philippe Ier (roi des Francs),필리프 1세 (프랑스)
Yann Tiersen,얀 티에르상
Georges Perec,조르주 페렉
Simone Weil,시몬 베유 (철학자)
Éric Carrière (football),에리크 카리에르
Benjamin Brou Angoua,뱅자맹 앙구아
Alessandra Martines,알레산드라 말티네스
Éric Di Meco,에리크 디 메코
Marie de Bourgogne,마리 드 부르고뉴 여공작
Eugénie de Montijo,외제니 드 몽티조
Ernest Renan,에르네스트 르낭
Jeanne de Chantal,요안나 프란치스카 드 샹탈
Éric Zemmour,에리크 제무르
Nicolas Douchez,니콜라 두셰
Virginie Ledoyen,비르지니 르두아얭
Mélanie Laurent,멜라니 로랑
Mélissa Theuriau,멜리사 퇴리오
Louis Brière de l'Isle,루이 브리에르 드 리즐
Éric Woerth,에리크 뵈르트
François Guizot,프랑수아 기조
Maria de Medeiros,마리아 드 메데이루스
Hélène Cixous,엘렌 식수
Séraphine de Senlis,세라핀 루이
Cécilia Attias,세실리아 아티아스
Marie-Louise d'Autriche,마리루이즈 도트리슈
Emma de Caunes,엠마 드 콘
Julie Clary,쥘리 클라리
Natalya Lisovskaya,나탈리야 리솝스카야
Yvonne Loriod,이본 로리오
Bonne de Luxembourg,이트카 체스케 왕녀
Gwladys Épangue,글라디스 에팡그
Otar Iosseliani,오타르 이오셀리아니
Raïs M'Bolhi,라이스 므볼리
Djamel Abdoun,자멜 압둔
Moussa Sissoko,무사 시소코
Cheikh M'Bengue,세킴 음벵게
Patrice de Mac Mahon,파트리스 드 마크 마옹
Emma Shapplin,에마 샤플랭
Louis Nicolas Davout,루이 니콜라 다부
Vincent Auriol,뱅상 오리올
Élodie Bouchez,엘로디 부셰즈
Benoît Delhomme,브누아 들롬
Leonor Varela,레오노르 바렐라
Françoise Dorléac,프랑수아즈 도를레아크
Jacques Weber,자크 베베르
Jacques Ellul,자크 엘륄
Georges Gope-Fenepej,조지스 고페-페네페즈
Jean-Daniel Akpa-Akpro,장다니엘 아크파아크프로
Julia Kristeva,쥘리아 크리스테바
Patricia Kaas,파트리샤 카스
Joseph Louis Proust,조제프 루이 프루스트
Nikola Karabatic,니콜라 카라바티치
Jérémie Bréchet,제레미 브레슈
Marie Trintignant,마리 트랭티냥
Adélaïde Labille-Guiard,아델라이드 라비유기아르
Marguerite-Marie Alacoque,마르가리타 마리아 알라코크
Erik Orsenna,에리크 오르세나
Ninon de Lenclos,니농 드 랑클로
Amélie d'Orléans,아멜리 도를레앙
Deanna Durbin,디애나 더빈
Michèle Mouton,미셸 무통
Juliette Récamier,쥘리에트 레카미에
Étienne Maurice Falconet,에티엔 모리스 팔코네
Gaston Julia,가스통 쥘리아
Michel Rolle,미셸 롤
Gaston Modot,가스통 모도
Étienne Balibar,에티엔 발리바르
André Weil,앙드레 베유
Étienne Capoue,에티엔 카푸에
Franck Tabanou,프랑크 타바누
Isabelle Carré,이자벨 카레
Serge Aurier,세르주 오리에
Emmanuel Rivière,에마뉘엘 리비에르
Bernadette Lafont,베르나데트 라퐁
Mathilde Seigner,마틸드 세니에르
Catherine Breillat,카트린 브레야
Albert Lebrun,알베르 르브룅
Claude Louis Hector de Villars,클로드루이엑토르 드 빌라르 공작
Marcel Pagnol,마르셀 파뇰
René Coty,르네 코티
Arletty,아를레티
Jeanne Hébuterne,잔 에뷔테른
Catherine de Navarre,카탈리나 (나바라)
Walter Gieseking,발터 기제킹
Louis Jouvet,루이 주베
Chaïm Soutine,카임 수틴
Ossip Zadkine,오시프 자드킨
Vassily Kandinsky,바실리 칸딘스키
Wanda Landowska,반다 란도프스카
Prosper Mérimée,프로스페르 메리메
Louise Bourgeois (plasticienne),루이즈 부르주아
Albert Ier (prince de Monaco),알베르 1세 (모나코)
Christian Dior,크리스티앙 디오르
Jean Monnet,장 모네
Eugène Atget,외젠 아제
Jeanne de France (1464-1505),프랑스의 잔
Moritz Moszkowski,모리츠 모슈코프스키
Paul Delaroche,폴 들라로슈
Cécile Chaminade,세실 샤미나드
Madame de La Fayette,라파예트 부인
Madeleine de Scudéry,마들렌 드 스퀴데리
Madame de Sévigné,세비녜 부인
Étienne-François Geoffroy,에티엔 프랑수아 조프루아
Étienne Gilson,에티엔 질송
Paul Reynaud,폴 레노
Bruno Faidutti,브뤼노 페뒤티
Patachou,파타슈
Régine Crespin,레진 크레스팽
Charles-Maurice de Talleyrand-Périgord,샤를모리스 드 탈레랑페리고르
Linda Maria Baros,린다 마리아 바로스
Marie-Claire Alain,마리-클레르 알랭
Étienne Mattler,에티엔 마틀레
Marlène Harnois,마를렌 아르누아
Daniel Mesguich,다니엘 메스귀치
Friedrich Burgmüller,프리드리히 부르크뮐러
Michel Constantin,미셸 콩스탕탱
Karl-Heinz Förster,카를하인츠 푀르슈터
Charles VI (roi de France),샤를 6세
Gilbert Bécaud,질베르 베코
Jean-Pierre Raffarin,장피에르 라파랭
Raymond Aron,레몽 아롱
Alexa Davalos,알렉사 다발로스
Étienne de La Boétie,에티엔 드 라 보에티
Mathilde Bonaparte,마틸드 보나파르트
Alison Moyet,앨리슨 모예
Adélaïde de France (1732-1800),프랑스의 아델라이드
Philippe Sollers,필리프 솔레르스
Lucien Lévy-Bruhl,뤼시앵 레비브륄
François Cavanna,프랑수아 카바나
Enrico Macias,엔리코 마샤스
Beate Klarsfeld,베아테 클라르스펠트
André Breton,앙드레 브르통
Henri Lefebvre,앙리 르페브르
Claire Denis,클레르 드니
Marie de Bourbon-Montpensier,마리 드 부르봉몽팡시에 여공작
Hélène Ségara,엘렌 세가라
Joris Ivens,요리스 이벤스
Frank Lebœuf,프랑크 르뵈프
Ivan Desny,이반 데스니
Jean-Bedel Bokassa,장베델 보카사
Pascale Arbillot,파스칼 아르비요
Uffie,어피
Elsa Lunghini,엘자 룅기니
Paul Henri Balluet d'Estournelles de Constant,폴앙리뱅자맹 데스투르넬 드 콩스탕
Frédéric Back,프레더릭 백
Sophie Marceau,소피 마르소
Laura Flessel,로라 플레셀콜로비크
Pierre-Augustin Caron de Beaumarchais,피에르 보마르셰
Édouard Vuillard,에두아르 뷔야르
Valerie Harper,밸러리 하퍼
Marie-Josée Croze,마리조제 크로즈
Marguerite Yourcenar,마르그리트 유르스나르
Michèle Laroque,미셸 라로크
Cécile Corbel,세실 코르벨
Anne Fontaine (réalisatrice),안 퐁텐
Marie-Josèphe de Saxe (1731-1767),마리아 요제파 폰 작센 (1731년)
Pierre Drieu la Rochelle,피에르 드리외라로셸
Rafidine Abdullah,라피딘 압둘라
Raoul Giraudo,라울 지로도
Aure Atika,아우레 아티카
Nora Arnezeder,노라 아르네제더
Anastasia Griffith,아나스타샤 그리피스
Pierre de Jean Olivi,피에르 드 장 올리비
Thomas Couture,토마 쿠튀르
Aurélien Chedjou,오렐리앵 체주
Enzo Zidane,엔초 지단
Julia Dietze,율리아 디체
Claudius Dornier,클라우드 도르니에
Alfred Kastler,알프레드 카스틀레르
Clément Janequin,클레망 잔캥
Mireille Mathieu,미레유 마티외
Wendelin Werner,벤델린 베르너
Marie Laforêt,마리 라포레트
Chantal Akerman,샹탈 아케르만
Pierre Louis Moreau de Maupertuis,피에르 루이 모페르튀이
Henri Cartan,앙리 카르탕
Yvette Guilbert,이베트 길베르
Marie-Christine Barrault,마리크리스틴 바로
Louise d'Orléans (1812-1850),루이즈 도를레앙 (1812년)
Lucas Digne,뤼카 디뉴
Olga Kurylenko,올가 쿠릴렌코
René Thom,르네 톰
Jacques Hadamard,자크 아다마르
Marie-France Pisier,마리프랑스 피지에
Gaston Darboux,장 가스통 다르부
Fanny Valette,파니 발레트
Sara Forestier,사라 포레스티에
Linh-Dan Pham,린 단 팜
Marina Hands,마리나 핸즈
Élodie Yung,엘로디 융
Edgar Faure,에드가르 포르
Brigitte Fossey,브리지트 포세
Sandra Milo,산드라 밀로
Catherine Millet,카트린 밀레
Marion Maréchal,마리옹 마레샬
Charles Koechlin,샤를 케클랭
Paul Sérusier,폴 세뤼지에
Lucie Décosse,뤼시 데코스
Paul Le Guen,폴 르구엔
Sophie Quinton,소피 캥통
Guy Béart,기 베아르
Jacques Prévert,자크 프레베르
Jean-Baptiste Dumas (chimiste),장바티스트 뒤마
Julie Depardieu,쥘리 드파르디외
Élisabeth Depardieu,엘리자베트 드파르디외
Georges Moustaki,조르주 무스타키
Jacques-Bénigne Bossuet,자크베니뉴 보쉬에
Michel Bréal,미셸 브레알
Pierre de Fermat,피에르 드 페르마
Louis VIII le Lion,루이 8세
Jean XXII,교황 요한 22세
Agnès Jaoui,아녜스 자우이
Emmanuel-Joseph Sieyès,에마뉘엘 조제프 시에예스
Guy de Lusignan (roi de Jérusalem),기 드 뤼지냥
Richard Clayderman,리샤르 클레데르망
Lautréamont,로트레아몽 백작
Jean-François de La Pérouse,장프랑수아 드 갈롭 드 라페루즈 백작
Maurice de Saxe (1696-1750),모리스 드 삭스
Louis VI le Gros,루이 6세
Sandra (chanteuse),잔드라 (가수)
Mathé Altéry,마테 알테리
Marina Vlady,마리나 블라디
Sylvie Vartan,실비 바르탕
Natalie Dessay,나탈리 드세이
Christa Ludwig,크리스타 루트비히
Emmanuelle Devos,에마뉘엘 드보스
Maurice de Vlaminck,모리스 드 블라맹크
Olivier Blanchard,올리비에 블랑샤르
Gustave Le Bon,귀스타브 르 봉
Virginie Despentes,비르지니 데팡트
Paul Ramadier,폴 라마디에
Alexandre Grothendieck,알렉산더 그로텐디크
Georges Enesco,제오르제 에네스쿠
Jules Mazarin,쥘 마자랭
Sami Bouajila,사미 부아질라
Marie-Anne de Camargo,마리 카마르고
Pierre Alphonse Laurent,피에르 알퐁스 로랑
Claude Lelouch,클로드 를루슈
Guillaume Depardieu,기욤 드파르디외
Léon Gambetta,레옹 강베타
Marcel Mauss,마르셀 모스
Gustave Caillebotte,귀스타브 카유보트
Michel Piccoli,미셸 피콜리
Eva Darlan,에바 달랑
Antoine-Alexandre Barbier,앙투안알렉상드르 바르비에
Benoît Assou-Ekotto,브누아 아수에코토
Romy Schneider,로미 슈나이더
Richard Coudenhove-Kalergi,리하르트 니콜라우스 폰 코우덴호페칼레르기
Hubert de Givenchy,위베르 드 지방시
Jacques Rivette,자크 리베트
Pierre Vaultier,피에르 볼티에
Marguerite Broquedis,마르그리트 브로크디
Rosa Bonheur,로자 보뇌르
André Chénier,앙드레 셰니에
Édouard Limonov,에두아르드 리모노프
Pierre Janet,피에르 자네
Michel Muller (humoriste),미셸 뮐러
Joseph-Louis Lagrange,조제프루이 라그랑주
Charles V le Sage,샤를 5세
Takis,타키스 (조각가)
Zaz (chanteuse),자즈
Zazie,자지 (가수)
Roger Guillemin,로제 기유맹
Catherine Labouré,가타리나 라부레
Étienne Œhmichen,에티엔 에미션
Jean Tigana,장 티가나
Lily Pons,릴리 폰스
Henri Poincaré,앙리 푸앵카레
Alizée,알리제
Charles Hermite,샤를 에르미트
Jean Marais,장 마레
Gérard Houllier,제라르 울리에
Paul Claudel,폴 클로델
Jean-Pierre Léaud,장피에르 레오
Hassan Yebda,하산 옙다
Jean de Lattre de Tassigny,장 드 라트르 드 타시니
Joseph Jérôme Lefrançois de Lalande,제롬 랄랑드
Jean-Paul Gaultier,장폴 고티에
Lothaire (roi des Francs),로테르 (서프랑크)
Camille (chanteuse),카미유 (가수)
Demba Ba,뎀바 바
Michel Debré,미셸 드브레
Philippe d'Orléans (1640-1701),필리프 도를레앙 (1640년)
Dado Pršo,다도 프르쇼
Boughéra El Ouafi,부게라 엘 와피
Jean-Marie Lustiger,장마리 뤼스티제
Jean-Victor Poncelet,장빅토르 퐁슬레
Roger Milla,로제 밀라
Jean-Pierre Melville,장피에르 멜빌
Jean Sablon,장 사블롱
Sylvie Testud,실비 테스튀
Shy'm,샤임
André Masséna,앙드레 마세나
Caterina Valente,캐터리나 발렌트
Gaston Doumergue,가스통 두메르그
Jean-de-Dieu Soult,장드디외 술트
Félix Faure,펠릭스 포르
Jules Grévy,쥘 그레비
François Mauriac,프랑수아 모리아크
Niki de Saint Phalle,니키 드 생팔
Seán MacBride,숀 맥브라이드
Catalans,카탈루냐인
Kristina Mladenovic,크리스티나 믈라데노비치
Alexandre Dumas (fils),알렉상드르 뒤마 피스
Jean-Marie Vianney,요한 마리아 비안네
Costa-Gavras,콘스탄티노스 가브라스
Armand Fallières,아르망 팔리에르
Saad Hariri,사드 하리리
Kader Keita,압둘 카데르 케이타
Nicolas Cop,니콜라스 콥
Josef Hoëné-Wronski,유제프 마리아 호에네브론스키
Charles-Augustin Coulomb,샤를 드 쿨롱
Ségolène Royal,세골렌 루아얄
Innocent VI,교황 인노첸시오 6세
Zygmunt Krasiński,지그문트 크라신스키
Émile Loubet,에밀 루베
Urbain IV,교황 우르바노 4세
Benjamin Stambouli,벤자민 스탐불리
Roman Coppola,로만 코폴라
Kossi Agassa,코시 아가사
Roscelin de Compiègne,로스켈리누스
Alain Bernard,알랭 베르나르
Jacques Charles,자크 샤를
Olivier Kapo,올리비에 카포
Brian Joubert,브라이언 주베르
Jacques Ibert,자크 이베르
Christopher Tolkien,크리스토퍼 톨킨
Jean-Baptiste de Lamarck,장바티스트 라마르크
Charles Despiau,샤를 데스피오
Jacques Lacan,자크 라캉
Benoît Paire,브누아 페르
Léonin,레오냉
Grégoire XI,교황 그레고리오 11세
Hassan Gouled Aptidon,하산 굴레드 압티돈
Ambroise Thomas,앙브루아즈 토마
Hippolyte Taine,이폴리트 텐
Nathalie Sarraute,나탈리 사로트
Edmund Dene Morel,에드먼드 딘 모렐
Henri de Toulouse-Lautrec,앙리 드 툴루즈로트레크
Johan Micoud,조앙 미쿠
Jean Dubuffet,장 뒤뷔페
Chris Marker,크리스 마르케
Robert Desnos,로베르 데스노스
Alexandre Farnèse (cardinal),알레산드로 파르네세 (추기경)
Claude-Henri de Rouvroy de Saint-Simon,클로드앙리 드 루브루아 드 생시몽
Yasmina Reza,야스미나 레자
Camille Desmoulins,카미유 데물랭
David Ruelle,다비드 뤼엘
Hilaire Belloc,힐레어 벨럭
Alexandre Gaydamak,알렉상드르 가이다마크
Raymond Radiguet,레몽 라디게
Éric Cantona,에리크 캉토나
Julien Gracq,쥘리앵 그라크
Maxime Weygand,막심 베강
Jackson Richardson,잭슨 리처드슨
Kees van Dongen,키스 반 동겐
Simone Veil,시몬 베유 (정치인)
Vikash Dhorasoo,비카슈 도라소
Nicolas-Louis Vauquelin,루이니콜라 보클랭
Guy Debord,기 드보르
René-Robert Cavelier de La Salle,르네 로베르 카벨리에 드 라 살
Jacques-Louis David,자크루이 다비드
Pierre de Coubertin,피에르 드 쿠베르탱
Philippe VI de Valois,필리프 6세
Calixte II,교황 갈리스토 2세
Benoît XII,교황 베네딕토 12세
Jean-Baptiste Jourdan,장바티스트 주르당
Yves Bonnefoy,이브 본푸아
Pierre Bérégovoy,피에르 베레고부아
Alain-Fournier,알랭 푸르니에
Pierre-Louis Lions,피에르루이 리옹
Jules Janssen,피에르 장센
Louis Renault (industriel),루이 르노 (기업인)
Gabriel Obertan,가브리엘 오베르탕
Paul Barras,폴 바라스
David Belle,다비드 벨
Emmanuel de Grouchy,에마뉘엘 드 그루시 후작
Jean Cocteau,장 콕토
Jacques-Yves Cousteau,자크 쿠스토
Jean Victor Marie Moreau,장 빅토르 마리 모로
Alain Touraine,알랭 투렌
Louis de Broglie,루이 드 브로이
Étienne Macdonald,자크 마크도날
Gaston Leroux,가스통 르루
Cédric Villani,세드리크 빌라니
Samir Amin,사미르 아민
Jean sans Peur,장 1세 드 부르고뉴 공작
Philippe II de Bourgogne,필리프 2세 드 부르고뉴 공작
Clément VI,교황 클레멘스 6세
Innocent V,교황 인노첸시오 5세
Djimi Traoré,지미 트라오레
Hubert Beuve-Méry,위베르 뵈브메리
François Joseph Lefebvre,프랑수아 조제프 르페브르
André Gorz,앙드레 고르츠
Joséphine de Beauharnais,조제핀 드 보아르네
Patrick Bruel,파트리크 브뤼엘
Claude Berri,클로드 베리
Pierre Cardin,피에르 가르뎅
Charles Itandje,샤를 이탕주
Simon Helberg,사이먼 헬버그
Carlo Ponti,카를로 폰티
Jules Romains,쥘 로맹
Tahar Ben Jelloun,타하르 벤 젤룬
Paul Belmondo (pilote),폴 벨몬도
Henri d'Artois,앙리 다르투아
Julie Engelbrecht,줄리 엥겔브레히트
Roxane Duran,록산 뒤랑
Christopher Samba,크리스토페 삼바
Alain Cuny,알랭 퀴니
Yves Saint Laurent,이브 생로랑
Théodore Agrippa d'Aubigné,아그리파 도비녜
Sofiane Feghouli,소피안 페굴리
Léon Mba,레옹 음바
Vincent Candela,뱅상 캉델라
Julien Green,쥘리앵 그린
Rémi Gaillard,레미 가이야르
Pierre Louÿs,피에르 루이스
Charles Péguy,샤를 페기
Léon Daudet,레옹 도데
Rémy Card,레미 카드
Stefan Sagmeister,슈테판 자그마이스터
Louis-Marie Grignion de Montfort,루이마리 그리그뇽 드 몽포르
Hans-Georg Pflaum,한스게오르크 플라움
Georges Clemenceau,조르주 클레망소
Fréhel (chanteuse),프레헬
Jeannot Szwarc,자노 슈와르크
Stéphane Lannoy,스테판 라누아
Gaël Kakuta,가엘 카퀴타
Simone Simon,시몬 시몽
Marie d'Agoult,마리 다구
Milan Kundera,밀란 쿤데라
Louis Braille,루이 브라유
György Cziffra,조르주 치프라
Alfred Dreyfus,알프레드 드레퓌스
Julie Zenatti,쥘리 제나티
Armand Penverne,아르망 팡베른
Hubert Maga,위베르 마가
Rodolphe Kreutzer,루돌프 크로이처
Jean Aurel,장 오렐
Marc Chagall,마르크 샤갈
René Dupont (prêtre),르네 뒤퐁
Ilya Ilitch Metchnikov,엘리 메치니코프
Olivier Panis,올리비에 파니스
Philippe III le Hardi,필리프 3세 (프랑스)
Violette Szabo,바이올렛 스자보
Sarah Lassez,사라 라세즈
Simon IV de Montfort,제5대 레스터 백작 시몽 드 몽포르
César de Vendôme,세자르 드 방돔 공작
Henri de La Tour d'Auvergne (1611-1675),앙리 드 라 투르 도베르뉴 (1611년)
Charles Ehresmann,샤를 에레스만
Olivia de Havilland,올리비아 드 하빌랜드
Emir Kusturica,에밀 쿠스투리차
Georges Cuvier,조르주 퀴비에
Omar Bongo,오마르 봉고
Marielle Goitschel,마리엘 구아첼
Bertrand Tavernier,베르트랑 타베르니에
Théodore Dubois,테오도르 뒤부아
Mathilda May,마틸다 메이
Mehdi Nebbou,메디 네브부
Souleymane Doukara,술레만 두카라
Audrey Tautou,오드레 토투
Abbé Pierre,아베 피에르
Capucine (actrice),카푸치네
Roger Lemerre,로제 르메르
Lolo Ferrari,롤로 페라리
Inès de La Fressange,이네스 드 라 프레상주
Abedi Pelé,아베디 펠레
Louis Ier d'Orléans,루이 1세 도를레앙 공작
Abdelkader Ghezzal,압델카데르 게잘
Dominique Horwitz,도미니크 호위츠
Lino Ventura,리노 벤투라
Bettina Rheims,베티나 림스
Sacha Guitry,사샤 기트리
Mathias Énard,마티아스 에나르
Luc Montagnier,뤼크 몽타니에
Ludovic Obraniak,루도비크 오브라니아크
Soko (chanteuse),소코
François Fillon,프랑수아 피용
Benoît Mandelbrot,브누아 망델브로
Sergueï Prokoudine-Gorski,세르게이 프로쿠딘고르스키
George Weah,조지 웨아
Sheryfa Luna,셰리파 루나
Abdellatif Kechiche,압둘라티프 케시시
Abdoulay Konko,압둘라이 콩코
Georges Prêtre,조르주 프레트르
Jimmy Briand,지미 브리앙
Marion Bartoli,마리옹 바르톨리
Jules Hoffmann,율레스 호프만
Maurice Allais,모리스 알레
Henri Moissan,앙리 무아상
Michel Houellebecq,미셸 우엘베크
Papiss Cissé,파피스 시세
Jean Giraud,장 지로
Madeleine Renaud,마들렌 르노
Alfred de Vigny,알프레드 드 비니
Fénelon,프랑수아 페넬롱
Paul Deschanel,폴 데샤넬
Hélène d'Orléans,엘렌 도를레앙
Carole Montillet,카롤 몽티예
Berthe Morisot,베르트 모리조
Christophe Lambert,크리스토퍼 램버트
Gaël Givet,가엘 지베
Charles Boyer,샤를 부아예
Maurice Chevalier,모리스 슈발리에
Lorie Pester,로리 (프랑스의 가수)
Jean Bureau,장 뷔로
Sofia Boutella,소피아 부텔라
Cécile Aubry,세실 오브리
Valérie Lemercier,발레리 르메르시에
Maurice Jarre,모리스 자르
Charles IV le Bel,샤를 4세
Alfred Sisley,알프레드 시슬레
Amaury Vassili,아모리 바실리
Théodore Rousseau,테오도르 루소
Helenio Herrera,엘레니오 에레라
Peguy Luyindula,페기 루인둘라
Florent Sinama-Pongolle,플로랑 시나마 퐁골
Philippe Christanval,필리프 크리스탕발
Mamadou Niang,마마두 니앙
Victor Grignard,빅토르 그리냐르
Jean-Baptiste Bessières,장바티스트 베시에르
Maurice Thorez,모리스 토레즈
Gabriel Fauré,가브리엘 포레
Leconte de Lisle,르콩트 드 릴
Andrée Joly,앙드레 브뤼네
Roland Joffé,롤랑 조페
Auguste Blanqui,루이 오귀스트 블랑키
Michel Butor,미셸 뷔토르
Fernando Arrabal,페르난도 아라발
Nicolas Malebranche,니콜라 말브랑슈
Jean-Louis Barrault,장루이 바로
Jean Giraudoux,장 지로두
Moktar Ould Daddah,모크타르 울드 다다
Françoise Barré-Sinoussi,프랑수아즈 바레시누시
Pierre Braunberger,피에르 보롱베르제
Ľubomír Moravčík,류보미르 모라우치크
Alcide Dessalines d'Orbigny,알시드 도르비니
Daniel Auteuil,다니엘 오퇴유
Urbain Le Verrier,위르뱅 르베리에
Jean-Michel Jarre,장미셸 자르
Paul Sabatier (chimiste),폴 사바티에
Jean Tirole,장 티롤
Julio Cortázar,훌리오 코르타사르
Henri Fantin-Latour,앙리 팡탱라투르
Robert II d'Artois,로베르 2세 다르투아
Gabriel Ier de Montgommery,가브리엘 1세 드 몽고메리 백작
Christophe Dugarry,크리스토프 뒤가리
Jean de Berry,장 1세 드 베리 공작
Camille Jordan (mathématicien),카미유 조르당
Lazare Carnot,라자르 카르노
Barthélemy Boganda,바르텔레미 보간다
André Tardieu,앙드레 타르디외
Yves Montand,이브 몽탕
Philippe Leroy (acteur),필립 르로이
Jeanne Moreau,잔 모로
Jules Dassin,줄스 다신
Marc Levy,마르크 레비
Simone Signoret,시몬 시뇨레
Élisabeth de France (1545-1568),발루아의 엘리자베트
Charles Ier d'Orléans,샤를 1세 도를레앙
Delphine Seyrig,델핀 세리그
Surya Bonaly,수리아 보날리
Bernard Le Bouyer de Fontenelle,베르나르 퐁트넬
Bernard Le Coq,베르나르 르코크
Jean Yanne,장 얀
Jean-Louis Trintignant,장루이 트랭티냥
Juliette Binoche,쥘리에트 비노슈
Jean-Claude Brialy,장클로드 브리알리
Fanny Ardant,파니 아르당
Isabelle Huppert,이자벨 위페르
Isabelle Adjani,이자벨 아자니
Jean-Paul Belmondo,장폴 벨몽도
Sheila,셰일라 (가수)
Jérémy Chardy,제레미 샤르디
Louis II de Bourbon-Condé,루이 2세 드 부르봉콩데
François Rude,프랑수아 뤼드
Michael Lonsdale,미카엘 롱스달
Anthar Yahia,안타르 야히아
Antoine Meillet,앙투안 메이예
Pierre d'Amboise,피에르 당부아즈
Armand David,아르망 다비드
Georges Dumézil,조르주 뒤메질
Michel Bastos,미셰우 바스투스
Christian Clavier,크리스티앙 클라비에
Alice Guy,알리스 기블라셰
François Magendie,프랑수아 마장디
Joseph Marie Jacquard,조셉 마리 자카드
Jules Michelet,쥘 미슐레
Catherine Deneuve,카트린 드뇌브
Mikaël Silvestre,미카엘 실베스트르
Annie Girardot,아니 지라르도
Jean Giono,장 지오노
Tsugouharu Foujita,후지타 쓰구하루
Boris Spassky,보리스 스파스키
Antoine de Bourbon,앙투안 드 방돔 공작
Joseph Bernard (sculpteur),조제프 베르나르
Bertrand Gille (handball),베르트랑 질 (핸드볼 선수)
Sandrine Kiberlain,상드린 키베를랭
Alexandre Cabanel,알렉상드르 카바넬
Julie Dreyfus,쥘리 드레퓌스
Monique Wittig,모니크 위티그
Alejandro Jodorowsky,알레한드로 호도로프스키
Camille Chautemps,카미유 쇼탕
Thích Nhất Hạnh,틱낫한
Jean Rochefort,장 로슈포르
Claude Brasseur,클로드 브라쇠르
Alain Badiou,알랭 바디우
Pierre Méchain,피에르 메셍
Arthur de Gobineau,아르튀르 드 고비노
Aimé Jacquet,에메 자케
Sabine Azéma,사빈 아제마
Carole Bouquet,카롤 부케
Nathalie Baye,나탈리 바이
Michel Galabru,미셸 갈라브루
Hiam Abbass,히암 아바스
Philippe de Vitry,필리프 드 비트리
Gérard Genette,제라르 주네트
Antoine François Prévost,아베 프레보
Maurice Utrillo,모리스 위트릴로
Gaspar Noé,가스파 노에
Philippe Noiret,필리프 누아레
Emmanuelle Béart,에마뉘엘 베아르
Alice Taglioni,알리스 타글리오니
Younès Kaboul,유네스 카불
Gérard Depardieu,제라르 드파르디외
Mustapha Hadji,무스타파 하지
David N'Gog,다비드 은고그
Antoine Reicha,안톤 라이하
Alain Delon,알랭 들롱
Timothée Kolodziejczak,티모테 콜로지에이차크
Younès Belhanda,유네스 벨랑다
Kalonymus ben Kalonymus,칼로니무스 벤 칼로니무스
Dominique Sanda,도미니크 상다
Ariane Mnouchkine,아리안 므누슈킨
Adam Philippe de Custine,아당 필리프 드 퀴스틴 백작
Edwige Fenech,에드위그 페네치
Nadine Trintignant,나딘 트랭티냥
Jean de Valette,장 파리조 드 라 발레트
Audrey Dana,오드리 다나
Guillaume de Tyr,윌렐무스 티렌시스
Jules Allix,쥘 알릭스
Sébastien Frey,세바스티앵 프레이
Lorik Cana,로리크 차나
Nabil El Zhar,나빌 엘 자르
Paul Broca,폴 브로카
Laurent de Gouvion-Saint-Cyr,로랑 드 구비옹 생시르
Patrice Leconte,파트리스 르콩트
Claude Sautet,클로드 소테
Jean-Marie Lehn,장마리 렌
Claudia Cardinale,클라우디아 카르디날레
Henri Ier (roi des Francs),앙리 1세 (프랑스)
Jean Anouilh,장 아누이
Roland Barthes,롤랑 바르트
Noémie Lenoir,노에미 르누아르
Gerda Wegener,게르다 베게너
Gilles de Rais,질 드 레 남작
Philippe Pinel,필리프 피넬
Louis Ier d'Anjou,루이 1세 당주 공작
Kassim Abdallah,카심 압달라
Joakim Noah,조아킴 노아
Bakaye Traoré,바카예 트라오레
Jean-Marie Leclair,장마리 르클레르
Bénigne Dauvergne de Saint-Mars,베니뉴 도베르뉴 드 생마르스
Julie Delpy,줄리 델피
Geoffroy V d'Anjou,조프루아 5세 당주 백작
Aristide Briand,아리스티드 브리앙
Ahmed Ben Bella,아메드 벤 벨라
Ismaïl Kadaré,이스마일 카다레
Florence Devouard,플로랑스 드부아르
Amel Bent,아멜 벤트
Beatrice Rosen,비어트리스 로즌
Georges Bidault,조르주 비도
