Dortmund,多特蒙德
Landkreis Hersfeld-Rotenburg,黑斯费尔德-罗滕堡县
Vogelsbergkreis,福格尔斯山县
Landkreis Marburg-Biedenkopf,马尔堡-比登科普夫县
Userin,乌瑟林
Wokuhl-Dabelow,沃库尔-达伯洛
Feldberger Seenlandschaft,费尔德贝格森兰德沙夫特
Landkreis Gießen,吉森县
Neustrelitz,新施特雷利茨
Crostwitz,克罗斯特维茨
Bretnig-Hauswalde,布雷特尼格-豪斯瓦尔德
Burkau,布尔考
Demitz-Thumitz,代米茨-图米茨
Doberschau-Gaußig,多伯绍-高西希
Cunewalde,库讷瓦尔德
Neue Wache,新崗哨
Porta Nigra,尼格拉城門
MHPArena,曼合普竞技场
Schokoladenmuseum Köln,伊姆霍夫巧克力博物館
Ludwig-Maximilians-Universität München,慕尼黑大学
Technische Hochschule Köln,科隆应用技术大学
Hochschule für Musik und Tanz Köln,科隆音乐与舞蹈学院
Universität der Künste Berlin,柏林艺术大学
Guttau,古陶·(德国萨克森州)
Haselbachtal,哈瑟尔巴赫塔尔
Großpostwitz,大波斯特维茨
Königswartha,柯尼希斯瓦尔塔
Hochkirch,霍赫基希
Landkreis Limburg-Weilburg,林堡-魏尔堡县
Lahn-Dill-Kreis,兰-迪尔县
Kubschütz,库布许茨
Völkischer Beobachter,人民观察家报
Partei des Demokratischen Sozialismus,民主社会主义党·(德国)
Landkreis Saalfeld-Rudolstadt,萨尔费尔德-鲁多尔施塔特县
Landkreis Weimarer Land,魏玛地区县
Ilm-Kreis,伊尔姆县
Großharthau,大哈尔陶
Großdubrau,大杜布劳
Großnaundorf,大瑙恩多夫
Saale-Orla-Kreis,萨勒-奥拉县
Priepert,普里珀特
Eifel,艾费尔山
Hockenheimring Baden-Württemberg,霍根海姆赛道
Buddy Bär,联合巴迪熊
Sieg (Fluss),锡格河
Wustrow (Mecklenburgische Seenplatte),武斯特罗·(梅克伦堡湖区县)
Wesenberg (Mecklenburg),韦森贝格·(梅克伦堡-前波美拉尼亚州)
Blankensee (Mecklenburg),布兰肯塞·(梅克伦堡湖区县)
Max-Morlock-Stadion,马克斯·莫洛克体育场
Heinz-von-Heiden-Arena,海因茨·冯海登竞技场
Salzach,薩爾察赫河
Hochtaunuskreis,上陶努斯县
Rheingau-Taunus-Kreis,莱茵高-陶努斯县
Bonn Hauptbahnhof,波恩火车总站
Holzminden,霍尔茨明登
Main-Taunus-Kreis,美因-陶努斯县
Wetteraukreis,韦特劳县
Main-Kinzig-Kreis,美因-金齐希县
Lichtenberg (Landkreis Bautzen),利希滕贝格·(包岑县)
Laußnitz,劳斯尼茨
Lohsa,洛萨
Nebelschütz,内伯尔许茨
Malschwitz,马尔施维茨
Neukirch (bei Königsbrück),柯尼希斯布吕克附近诺伊基希
Neschwitz,内施维茨
Neukirch/Lausitz,劳西茨地区诺伊基希
Deutsches Institut für Normung,德国标准化学会
Plane (Fluss),普拉訥河
2. Fußball-Bundesliga,德國足球乙級聯賽
Obergurig,上古里希
Landkreis Darmstadt-Dieburg,达姆施塔特-迪堡县
Landkreis Groß-Gerau,大盖劳县
Landkreis Offenbach,奥芬巴赫县
Drage (Nordfriesland),德拉格
Dagebüll,达格比尔
Simonsberg,锡蒙斯贝格
Ohorn,奥霍恩
Luftwaffe (Bundeswehr),德國聯邦國防軍空軍
Corvey,柯维修道院
Bundeswehr,德國聯邦國防軍
KZ Buchenwald,布痕瓦尔德集中营
Oßling,奥斯灵
Ottendorf-Okrilla,奥滕多夫-奥克里拉
Panschwitz-Kuckau,潘施维茨-库考
Puschwitz,普施维茨
Leichtathletik-Weltmeisterschaften 2009,2009年世界田径锦标赛
Brücke (Künstlergruppe),桥社
Alexanderplatz,亚历山大广场
Regierungsbezirk Düsseldorf,杜塞尔多夫行政区
Regierungsbezirk Arnsberg,阿恩斯贝格行政区
Büsum,比苏姆
Treene,特雷訥河
Wyk auf Föhr,弗尔岛维克
Landkreis Bergstraße,贝格施特拉瑟县
Odenwaldkreis,奥登瓦尔德县
Regierungsbezirk Köln,科隆行政区
Regierungsbezirk Gießen,吉森行政区
Regierungsbezirk Kassel,卡塞尔行政区
Alkersum,阿尔克苏姆
Vollerwiek,福勒维克
Regierungsbezirk Detmold,代特莫尔德行政区
Regierungsbezirk Münster,明斯特行政区
Arlewatt,阿勒瓦特
Schwepnitz,施韦普尼茨
Spreetal,施普雷塔尔
Sohland an der Spree,施普雷河畔索兰
Kanzler von Deutschland,德国总理
Zentraler Sanitätsdienst der Bundeswehr,中央医疗军
Streitkräftebasis,基础军
Gröde,格勒德
Deutsche Marine,德国海军
Bundespolizei (Deutschland),德國聯邦警察
Bundesverfassungsgericht,德国联邦宪法法院
Räckelwitz,雷克尔维茨
Schmölln-Putzkau,施默尔恩-普茨考
Schönteichen,申泰兴
Rammenau,拉默瑙
Freie Universität Berlin,柏林自由大学
Neues Rathaus (München),慕尼黑新市政厅
Oberlausitz,上盧薩蒂亞
Regierungsbezirk Darmstadt,达姆施塔特行政区
Arte,德法公共电视台
Olderup,奥尔德鲁普
Oldsum,奥尔德苏姆
Elisabeth-Sophien-Koog,伊丽莎白-索芬-科格
Oldenswort,奥尔登斯沃特
Sankt Peter-Ording,圣彼得-奥尔丁
Hattstedtermarsch,哈特施泰特马施
Katharinenheerd,卡塔里嫩黑尔德
Auswärtiges Amt,德國外交部
Grothusenkoog,格罗特胡森科格
Süderhöft,南赫夫特
Bredstedt,布雷德施泰特
Groß-Berlin,大柏林
Deutsche Wiedervereinigung,兩德統一
Wachau (Sachsen),瓦豪·(德国)
Steinigtwolmsdorf,施泰尼格特沃尔姆斯多夫
Steina (Sachsen),施泰纳
Ralbitz-Rosenthal,拉尔比茨-罗森塔尔
Radibor,拉迪博尔
Hofbräuhaus am Platzl,宫廷啤酒屋
Stachus,卡尔广场·(慕尼黑)
Asamkirche (München),阿萨姆教堂
Heckler %26 Koch,黑克勒%26科赫
Georg-August-Universität Göttingen,哥廷根大学
Großer Preis von Deutschland,德國大獎賽
Wirtschaft Deutschlands,德國經濟
Regierungsbezirk Freiburg,弗赖堡行政区
Regierungsbezirk Karlsruhe,卡尔斯鲁厄行政区
Regierungsbezirk Tübingen,蒂宾根行政区
Regierungsbezirk Stuttgart,斯图加特行政区
Poppenbüll,波彭比尔
Tetenbüll,泰滕比尔
Kotzenbüll,科岑比尔
Main-Donau-Kanal,美因-多瑙河运河
Bröl,布勒爾河
Universität Potsdam,波茨坦大学
Saubach (Inde),紹巴赫河
Rosenmontag,玫瑰星期一
Sülz (Fluss),敘爾茨河
Eipbach,艾普巴赫河
Gedenkstätte Berliner Mauer,柏林牆紀念碑
Stadtbahn Köln,科隆城铁
S-Bahn,城市快铁
Berliner Verkehrsbetriebe,柏林公共交通公司
Walter de Gruyter (Verlag),德古意特出版社
S-Bahn Berlin,柏林城市快鐵
Wurm (Rur),武爾姆河
Bertha Benz Memorial Route,贝尔塔·本茨纪念之路
Bad Godesberg,巴特戈德斯贝格
Inde (Fluss),因德河
Weiße Rose,白玫瑰·(反抗組織)
Fresendelf,弗雷森代尔夫
Oevenum,厄沃努姆
Nieblum,尼布卢姆
Wenningstedt-Braderup (Sylt),文宁施泰特-布拉德鲁普
Emmerich am Rhein,莱茵河畔埃默里希
Kaiserdom St. Bartholomäus,法蘭克福大教堂
Internationale Automobil-Ausstellung,德國國際車展
Frankfurter Buchmesse,法蘭克福書展
Amtsberg,阿姆茨贝格
Altes Stadthaus (Berlin),柏林舊市政廳
Osterhever,东黑沃
Westerhever,西黑沃
Utersum,乌特苏姆
Bad Schlema,巴特施莱马
Auerbach (Erzgebirge),奥尔巴赫·(厄尔士山县)
Bärenstein (Erzgebirge),贝伦施泰因
Bernsbach,贝恩斯巴赫
Bockau,博考
Börnichen/Erzgeb.,伯尼兴
Altes Stadthaus (Dortmund),多特蒙德老市政厅
Neckar-Odenwald-Kreis,内卡-奥登瓦尔德县
Rhein-Neckar-Kreis,莱茵-内卡县
Landkreis Karlsruhe,卡尔斯鲁厄县
Landkreis Rastatt,拉施塔特县
Enzkreis,恩茨县
Hooge,哈利格霍格
Landkreis Calw,卡尔夫县
Landkreis Freudenstadt,弗罗伊登施塔特县
Borstendorf,博尔斯滕多夫
Burkhardtsdorf,布克哈茨多夫
Breitenbrunn/Erzgeb.,布赖滕布伦·(萨克森州)
Nordstrand (Gemeinde),北滩岛镇
Sylt (Gemeinde),叙尔特
Tümlauer Koog,蒂姆劳尔科格
Ortenaukreis,奥特瑙县
Landkreis Breisgau-Hochschwarzwald,布赖斯高-上黑林山县
Landkreis Emmendingen,埃门丁根县
Drebach,德雷巴赫
Deutschneudorf,德意志诺伊多夫
Crottendorf,克罗滕多夫
Maasbüll,马斯比尔
Gornau/Erzgeb.,戈尔瑙
Gelenau/Erzgeb.,盖勒瑙
Landkreis Lörrach,勒拉赫县
Liebstadt,利布施塔特
Ahr,阿爾河
U-Bahn-Linie U6 (Berlin),柏林地鐵6號線
Großolbersdorf,大奥尔伯斯多夫
Gornsdorf,戈恩斯多夫
Großrückerswalde,大吕克斯瓦尔德
Norderfriedrichskoog,北腓特烈斯科格
Norddorf auf Amrum,诺德多夫
Rothenburg ob der Tauber,罗滕堡·(陶伯河)
Pfrimm,普夫里姆河
Alemannia Aachen,亚琛足球俱乐部
Waffen-SS,武装党卫队
Kaufingerstraße,考芬格街
Lousberg,盧斯山
Colonius,科隆塔
U-Bahn-Linie U1 (Berlin),柏林地鐵1號線
Straßenbahn Berlin,柏林有轨电车
Erlbach-Kirchberg,埃尔巴赫-基希贝格
Ramstedt,拉姆施泰特
Mildstedt,米尔德施泰特
U-Bahn-Linie U2 (Berlin),柏林地鐵2號線
U-Bahn-Linie U55 (Berlin),柏林地鐵55號線
U-Bahn-Linie U4 (Berlin),柏林地鐵4號線
U-Bahn-Linie U5 (Berlin),柏林地鐵5號線
U-Bahn-Linie U3 (Berlin),柏林地鐵3號線
Niebüll,尼比尔
Borussia Mönchengladbach,慕遜加柏體育會
Reußenköge,罗伊森克格
Witsum,维特苏姆
Nebel (Amrum),内伯尔
Dunsum,敦苏姆
Landkreis Reutlingen,罗伊特林根县
Süderende,叙德伦德
Breitach,布賴塔赫河
Rabenau (Sachsen),拉伯瑙·(萨克森州)
Alb-Donau-Kreis,山地-多瑙县
Friedrichstadt,腓特烈施塔特
Oldersbek,奥尔德斯贝克
Landkreis Ravensburg,拉芬斯堡县
Rathen,拉滕·(萨克森州)
Landkreis Biberach,比伯拉赫县
Seiffen/Erzgeb.,塞芬
Tannenberg (Sachsen),坦嫩贝格
Stützengrün,施蒂岑格林
Zschorlau,乔劳
Ehrenfriedersdorf,埃伦弗里德斯多夫
Thermalbad Wiesenbad,泰马尔巴德维森巴德
Hattstedt,哈特施泰特
Rausdorf (Holstein),劳斯多夫·(石勒苏益格-荷尔斯泰因州)
Ostenfeld (Husum),奥斯滕费尔德
Sehmatal,塞马塔尔
Husum,胡苏姆
Grünenthal (Unternehmen),格蘭泰
Schloss Bensberg,本斯堡城堡
Lippe (Fluss),利珀河
Bergisches Land,贝吉舍斯兰
Burg Eltz,埃爾茨城堡
Führerbunker,元首地堡
Landkreis Konstanz,康斯坦茨县
Müglitztal,米格利茨塔尔
U-Bahn-Linie U9 (Berlin),柏林地鐵9號線
Grünhainichen,格林海尼兴
U-Bahn-Linie U7 (Berlin),柏林地鐵7號線
U-Bahn-Linie U8 (Berlin),柏林地鐵8號線
Schwarzwald-Baar-Kreis,黑林山-巴尔县
Lohmen (Sachsen),洛门·(萨克森州)
Landkreis Waldshut,瓦尔茨胡特县
Landkreis Tuttlingen,图特林根县
Landkreis Rottweil,罗特韦尔县
Neustadt in Sachsen,萨克森地区诺伊施塔特
Rantrum,兰特鲁姆
Tönning,滕宁
VfL Wolfsburg,沃尔夫斯堡足球俱乐部
Landkreis Tübingen,蒂宾根县
Pretzschendorf,普雷茨兴多夫
Kleinmachnow,小马赫诺
Pommern,波美拉尼亞
Bayer 04 Leverkusen,勒沃库森足球俱乐部
Hohndorf,霍恩多夫
Heidersdorf,海德斯多夫
Hormersdorf (Zwönitz),霍尔梅尔斯多夫
SpVgg Greuther Fürth,格雷特霍夫體育會
Pockau,波考
Pfaffroda,普法夫罗达
Niederwürschnitz,下维尔施尼茨
Niederdorf (Sachsen),尼德多夫·(德国)
Neukirchen/Erzgeb.,厄尔士山麓诺伊基兴
Königswalde,柯尼希斯瓦尔德
Jahnsdorf/Erzgeb.,延斯多夫
Mildenau,米尔德瑙
Schönheide,申海德
Raschau-Markersbach,拉绍-马克斯巴赫
Südniederfränkisch,林堡语
Hertha BSC,柏林赫塔體育俱樂部
Rote Armee Fraktion,红军派
Oktoberfest,慕尼黑啤酒节
Lahn,兰河·(德国)
Endenich,安德尼希
Deutsche Welle,德国之声
Rosenthal-Bielatal,罗森塔尔-比拉塔尔
Stadt Wehlen,施塔特韦伦
Schmiedeberg (Dippoldiswalde),施米德贝格
Fußgönheim,富斯根海姆
Tharandt,塔兰特·(德国)
Altrip,阿尔特里普
Struppen,施特鲁彭
Stolpen,施托尔彭
Olympische Sommerspiele 1972,1972年夏季奥林匹克运动会
Herxheim am Berg,山麓黑克斯海姆
Bockenheim an der Weinstraße,魏恩施特拉瑟地区博肯海姆
Ebertsheim,埃伯茨海姆
Hermersberg,黑默斯贝格
Höheischweiler,赫埃施韦勒
Rheinzabern,莱茵察本
Winnweiler,温韦勒
Dörrenbach,德伦巴赫
Jöhstadt,约施塔特
Lengefeld,伦格费尔德
Lößnitz (Erzgebirge),勒斯尼茨
SC Freiburg,弗赖堡体育俱乐部
Albert-Ludwigs-Universität Freiburg,弗赖堡大学
Eberhard Karls Universität Tübingen,蒂宾根大学
Konzil von Konstanz,康士坦斯大公會議
Loveparade,爱的大游行
Wikimedia Deutschland,德國維基媒體協會
Wilsdruff,维尔斯德鲁夫
Oelsnitz/Erzgeb.,厄尔斯尼茨·(厄尔士山县)
Olbernhau,奥尔伯恩豪
Scheibenberg,沙伊本贝格
Huy (Gemeinde),许镇
Lindwedel,林德韦德尔
Eibenstock,艾本施托克
Hockenheim,霍肯海姆
Odenwald,歐登瓦德山
Bodenseekreis,博登湖县
Rathmannsdorf,拉特曼斯多夫
Lindau (Bodensee),林道·(城市)
Saar,萨尔河
Ellern (Hunsrück),埃伦·(莱茵兰-普法尔茨)
Waldfischbach-Burgalben,瓦尔德菲施巴赫-布格阿尔本
Kirn,基恩·(莱茵兰-普法尔茨)
Landkreis Sigmaringen,锡格马林根县
Reinhardtsdorf-Schöna,赖恩哈茨多夫-舍纳
Großkarlbach,大卡尔巴赫
Gerolsheim,盖罗尔斯海姆
Erpolzheim,埃波尔茨海姆
Verdienstorden der Bundesrepublik Deutschland,德意志联邦共和国功绩勋章
Zollernalbkreis,措伦阿尔布县
List auf Sylt,叙尔特岛利斯特
German Sky Airlines,德国天空航空
Eintracht Braunschweig,和睦布倫瑞克
3. Fußball-Liga,德国足球丙级联赛
Arminia Bielefeld,比勒費爾德阿米尼亞德國體育會
Kaiser-Wilhelm-Gedächtniskirche,威廉皇帝纪念教堂
Geographie Deutschlands,德国地理
Borussia-Park,普鲁士公园体育场
1. FC Kaiserslautern,凯泽斯劳滕足球俱乐部
Landkreis Schwäbisch Hall,施韦比施哈尔县
Main-Tauber-Kreis,美因-陶伯县
Hohenlohekreis,霍恩洛厄县
Aue (Sachsen),奧厄
Annaberg-Buchholz,安娜贝格-布赫霍尔茨
Schwarzenberg/Erzgeb.,施瓦岑贝格·(德国)
Marienberg,马林贝格
Karlsruher SC,卡尔斯鲁厄体育俱乐部
Lugau,卢高
Oberwiesenthal,上维森塔尔
Europastraße,欧洲高速公路
VfL Bochum,波鸿体育俱乐部
Fußball-Weltmeisterschaft der Frauen 2011,2011年國際足協女子世界盃
Energie Cottbus,科特布斯能量足球俱乐部
Nord Stream 1,北溪一号
Schlacht um Berlin,柏林戰役
Ostalbkreis,奥斯特阿尔布县
Landkreis Heidenheim,海登海姆县
Landkreis Göppingen,格平根县
Bissersheim,比瑟斯海姆
Kindenheim,金登海姆
Dirmstein,迪姆施泰因
Donnersberg,唐纳山
Kallstadt,卡尔施塔特·(莱茵兰-普法尔茨州)
Stollberg/Erzgeb.,厄尔士山麓施托尔贝格
Thalheim/Erzgeb.,塔尔海姆·(萨克森州)
Münchner Abkommen,慕尼黑協定
MSV Duisburg,MSV杜伊斯堡
Mecklenburg,梅克伦堡
Fußball-Bundesliga 2011/12,2011年至2012年德國足球甲級聯賽
Schlettau,施莱陶
Schneeberg (Erzgebirge),施内贝格·(萨克森州)
Elterlein,埃尔特莱恩
Geyer,盖尔·(萨克森州)
Friesen,弗里斯兰人
Johanngeorgenstadt,约翰乔治城
Grünhain-Beierfeld,格林海恩-拜尔费尔德
Isar,伊萨尔河
Brauerei Beck,贝克啤酒
Landkreis,县·(德国)
1. FSV Mainz 05,美因茨05足球俱乐部
1. FC Köln,科隆足球俱乐部
Palais Ludwig Ferdinand,路德维希·费迪南德宫
Fußball-Bundesliga 2010/11,2010年至2011年德國足球甲級聯賽
Teutoburger Wald,条顿堡林山
Deutscher Fußball-Bund,德國足球協會
Landkreis Bad Dürkheim,巴特迪克海姆县
Landkreis Kaiserslautern,凯撒斯劳滕县
Landkreis Kusel,库瑟尔县
Donnersbergkreis,唐纳山县
Landkreis Alzey-Worms,阿尔蔡-沃尔姆斯县
TSG 1899 Hoffenheim,賀芬咸1899體育會
Germersheim,盖默斯海姆
Landkreis Bernkastel-Wittlich,贝恩卡斯特尔-维特利希县
Landkreis Vulkaneifel,艾费尔火山县
Landkreis Mainz-Bingen,美因茨-宾根县
Speyerer Dom,施派尔主教座堂
Flughafen Düsseldorf,杜塞尔多夫机场
Eifelkreis Bitburg-Prüm,比特堡-普吕姆-艾费尔山县
Landkreis Trier-Saarburg,特里尔-萨尔堡县
Landkreis Birkenfeld,比肯费尔德县
Altpörtel,舊門
Rhein-Pfalz-Kreis,莱茵-普法尔茨县
Unterschleißheim,下施莱斯海姆
Eberbach,埃伯巴赫
Constructor University,康斯特大學
Mehren (Westerwald),梅伦·(阿尔滕基兴县)
Wolkenstein (Erzgebirge),沃尔肯施泰因
Thum,图姆
Ottendorf (Thüringen),奥滕多夫
Randersacker,兰德萨克
Zwischenahner Meer,茨維申安湖
Zeuthener See,措伊滕湖
Landkreis Südwestpfalz,西南普法尔茨县
Landkreis Germersheim,盖默斯海姆县
Landkreis Südliche Weinstraße,南魏恩施特拉瑟县
Kreisfreie Stadt,非县辖城市
Rhein-Lahn-Kreis,莱茵-兰县
Banteln,班特尔恩
Schalksmühle,沙尔克斯米勒
Walldorf,瓦尔多夫
Ramstein-Miesenbach,拉姆施泰因-米森巴赫
Regierungsbezirk,行政区·(德国)
Betzenberg,贝岑山
Die PARTEI,黨·(德國政黨)
Landkreis Bad Kreuznach,巴特克罗伊茨纳赫县
Rhein-Hunsrück-Kreis,莱茵-洪斯吕克县
Rems-Murr-Kreis,雷姆斯-穆尔县
Landkreis Esslingen,埃斯林根县
Landkreis Cochem-Zell,科赫姆-采尔县
Landkreis Ahrweiler,阿尔韦勒县
Landkreis Mayen-Koblenz,迈恩-科布伦茨县
Landkreis Ludwigsburg,路德维希堡县
Landkreis Böblingen,伯布林根县
Stutensee,施图滕塞
Wilhelmsfeld,威廉斯费尔德
Altlußheim,旧卢斯海姆
Jiddisch,意第緒語
Wiesloch,維斯洛赫
Westfalen,西發里亞
Landkreis Altenkirchen (Westerwald),阿尔滕基兴县
Illerkirchberg,伊勒基希贝格
Rauenberg,劳恩贝格
Lampertswalde,兰佩茨瓦尔德
Leuben-Schleinitz,洛伊本-施莱尼茨
Lommatzsch,洛马奇
Bad Dürkheim,巴特迪克海姆
Speyerbach,施派尔河
Kusel,库瑟尔
Aumühle,奥米勒
Graben-Neudorf,格拉本-诺伊多夫
Selbitz (Oberfranken),塞尔比茨
Küssaberg,屈萨贝格
Erlenbach (Landkreis Heilbronn),埃伦巴赫·(巴登-符腾堡)
Universität Leipzig,莱比锡大学
Deutscher Bundestag,德国联邦议院
Messerschmitt AG,梅塞施密特
Schlacht bei Jena und Auerstedt,耶拿-奧爾施泰特戰役
Landkreis Köthen,克滕县
Wölferbütt,韦尔费尔比特
Weserstadion,威悉体育场
Zoologischer Garten Berlin,柏林動物園
Jüten,朱特人
Alte Pinakothek,老绘画陈列馆
Eurovision Song Contest 1957,1957年欧洲歌唱大赛
Deutschland beim Eurovision Song Contest,德國在歐洲歌唱大賽之歷年表現
Goldener Bär,金熊奖
Zweite Schlacht bei Höchstädt,布伦海姆战役
Landkreis Neuwied,新维德县
Westerwaldkreis,韦斯特林山县
Kleinkarlbach,小卡尔巴赫
Maikammer,迈卡默
Efringen-Kirchen,埃夫林根-基兴
Eimeldingen,艾默尔丁根
Haune,豪訥河
Wittlingen,维特林根
Sonnschied,松希德
Nusplingen,努斯普林根
Meißen,迈森
Böhl-Iggelheim,伯尔-伊格尔海姆
Lustadt,卢施塔特
Moritzburg (Sachsen),莫里茨堡
Gneven,格内芬
Inzlingen,因茨林根
Affalterbach,阿法尔特巴赫
Lingenfeld,林根费尔德
Schloss Charlottenburg,夏洛滕堡宫
Siegessäule (Berlin),胜利纪念柱
FIFA-Konföderationen-Pokal 2005,2005年洲際國家盃
Merkur Spiel-Arena,水星娱乐竞技场
Zwönitz,茨沃尼茨
Zschopau,乔保
Zöblitz,策布利茨
Westwall,齊格菲防線
KZ Sachsenhausen,萨克森豪森集中营
Schönhausen (Elbe),舍恩豪森
Landkreis Anhalt-Zerbst,安哈尔特-采尔布斯特县
Bodenwerder,博登韦德
Delligsen,代利格森
Holstein,荷尔斯泰因
Berliner Dom,柏林大教堂
Friedrich-Schiller-Universität Jena,耶拿大学
Die Bremer Stadtmusikanten,不来梅的城市乐手
Oberharmersbach,上哈默斯巴赫
Ebersburg,埃伯斯堡
Eschershausen,埃舍斯豪森
Regenbogensee,雷根博根湖
Stadtoldendorf,施塔特奥尔登多夫
St. Elisabeth (Nürnberg),圣伊撒伯尔堂·(纽伦堡)
Deutsche Fußballnationalmannschaft der Frauen,德国国家女子足球队
Bärnau,贝尔瑙
Fritz-Walter-Stadion,弗里茨·瓦尔特体育场
Diera-Zehren,迪拉-采伦
Coswig (Sachsen),科斯维希
Annweiler am Trifels,特里费尔斯山麓安韦勒
Deidesheim,代德斯海姆
Ebersbach (bei Großenhain),埃伯斯巴赫
Landstuhl,兰施图尔
Glaubitz,格劳比茨
Grünstadt,格林施塔特
Kandel (Pfalz),坎德尔
Rockenhausen,罗肯豪森
Gröditz,格勒迪茨
Großenhain,格罗森海恩
Hirschstein,希尔施施泰因
Käbschütztal,凯布许茨塔尔
Ketzerbachtal,克策尔巴塔尔
Holzen (bei Eschershausen),霍尔岑
Gaiberg,盖贝格
Neulußheim,新卢斯海姆
Brühl (Baden),布呂爾·(巴登-符騰堡州)
Deutsche Universität für Verwaltungswissenschaften Speyer,施派尔德国行政科学大学
Ilvesheim,伊尔沃斯海姆
Ketsch (Gemeinde),凯奇·(巴登-符腾堡)
Faßberg,法斯贝格
Sandhausen,桑德豪森
Lambsheim,兰布斯海姆
Klipphausen,克利普豪森
Eger (Elbe),奥赫热河
Zwinger (Dresden),茨温格宫
Polydor,宝丽多唱片
Glasfelderkopf,格拉斯費爾德山
Asperg,阿斯佩格
Zell im Wiesental,维瑟河谷采尔
Creglingen,克雷格林根
Heinade,海纳德
Wissenschaftlich-humanitäres Komitee,科學人道委員會
Bad Bellingen,巴特贝林根
Wittighausen,维蒂希豪森
Werbach,韦尔巴赫
Germanwings,德国之翼航空
Tunau,图瑙
Böllen,伯伦
Fröhnd,弗伦德
Niederau,尼德奥·(萨克森州)
Nauwalde,瑙瓦尔德
Jockgrim,约克格里姆
Kirchheim an der Weinstraße,魏恩施特拉瑟地区基希海姆
Radebeul,拉德博伊尔
Nossen,诺森
Priestewitz,普里斯特维茨
Nünchritz,宁希里茨
Ober-Olm,上奥尔姆
Schifferstadt,希弗施塔特
Beindersheim,拜恩德斯海姆
Rieschweiler-Mühlbach,里施韦勒-米尔巴赫
Friedelsheim,弗里德尔斯海姆
Weisenheim am Sand,魏森海姆阿姆桑德
Benningen am Neckar,内卡河畔本宁根
Erdmannhausen,埃德曼豪森
Leimen (Baden),萊門·(巴登-符騰堡州)
Marktschellenberg,马克特谢伦贝格
Westerholz (Kreis Schleswig-Flensburg),韦斯特霍尔茨
Rotes Rathaus,红色市政厅
FC Carl Zeiss Jena,耶拿卡尔蔡司足球俱乐部
Rot-Weiss Essen,红白埃森足球俱乐部
Bad Oldesloe,巴特奥尔德斯洛
Ernst Heinkel Flugzeugwerke,亨克爾
Messerschmitt Me 163,Me·163戰鬥機
Wangelnstedt,旺格尔恩施泰特
Freudental,弗罗伊登塔尔
Ditzingen,迪青根
Philipps-Universität Marburg,马尔堡大学
Kruckow,克鲁科·(梅克伦堡-前波美拉尼亚州)
Kandern,坎登·(巴登-符腾堡)
Hatzenbeck (Wupper),哈岑貝克河
Eisenbach (Hochschwarzwald),艾森巴赫
Fahrdorf,法尔多夫
Bippen,比彭
Mosbach,莫斯巴赫
Röderaue,勒德奥厄
Riesa,里薩
Radeburg,拉德堡
Hundsangen,洪灿根
Börsborn,伯尔斯博恩
Pfälzische Dialekte,普法尔茨方言
Korntal-Münchingen,科恩塔尔-明兴根
Todtnau,托特瑙
Ellerstadt,埃勒施塔特
Remseck am Neckar,内卡河畔雷姆塞克
Büsingen am Hochrhein,莱茵河上游比辛根
Armenische Sprache,亚美尼亚语
Gaienhofen,盖恩霍芬
Erfde,埃尔夫德
Westheim (Pfalz),韦斯特海姆·(莱茵兰-普法尔茨)
Edesheim,埃德斯海姆
Waldsee (Pfalz),瓦尔德塞
Schönfeld (Landkreis Meißen),申费尔德·(萨克森州)
Römerberg (Pfalz),勒默贝格
Stauchitz,施陶希茨
Queidersbach,奎德斯巴赫
Hamberge,汉贝格
Neues Schloss Herrenchiemsee,海伦基姆湖宫
2. Fußball-Bundesliga 2009/10,2009年至2010年德國足球乙級聯賽
Bezirk Marzahn-Hellersdorf,马尔灿-黑勒斯多夫
Otzing,奥青
Bernkastel-Kues,贝恩卡斯特尔-库斯
Messerschmitt Bf 110,Bf·110戰鬥機
Oberriexingen,上里克辛根
Ingersheim (Neckar),英格斯海姆
Steinheim an der Murr,穆尔河畔施泰因海姆
Mattstedt,马特施泰特
Sersheim,塞斯海姆
Külsheim,屈尔斯海姆
Forst an der Weinstraße,魏恩施特拉瑟地区福斯特
Steinbach am Glan,格兰河畔施泰因巴赫
Schopp,绍普
TuS Koblenz,科布伦茨体操及竞赛俱乐部
Großheide,格罗斯海德
Merzalben,梅茨阿尔本
Lemberg (Pfalz),伦贝格·(莱茵兰-普法尔茨州)
Erligheim,埃利希海姆
Airbus Helicopters,空中客车直升机公司
Volkswagen Arena,大众汽车竞技场
Handball-Weltmeisterschaft der Männer 2007,2007年世界男子手球錦標賽
Thiendorf,廷多夫
Tauscha,陶沙
Strehla,施特雷拉
Weinböhla,魏恩伯拉
Wülknitz,维尔克尼茨
Zeithain,蔡特海恩
Frankenstein (Pfalz),弗兰肯施泰因
Otterstadt,奥特施塔特
Hauenstein (Pfalz),豪恩施泰因
Rülzheim,吕尔茨海姆
Obermoschel,上莫舍尔
Siebeldingen,西伯尔丁根
Blasewitz,布拉泽维茨
Straelen,施特拉伦
Albertstadt,阿尔贝城
Äußere Neustadt,外新城
Europäische Zentralbank,欧洲中央银行
Niederstetten,下施泰滕
Assamstadt,阿萨姆施塔特
Audi,奥迪
Hessischer Rundfunk,黑森廣播公司
Heilshoop,海尔斯霍普
Contact Air,康塔克特航空
Gehle,蓋勒河
Großrinderfeld,大林德费尔德
Schönau im Schwarzwald,黑林山区舍瑙
