Județul Alba,阿爾巴縣
"Comuna Gura Vadului, Prahova",古拉瓦杜盧伊鄉
Cutremurul din 1977 (România),1977年布加勒斯特地震
Tâmpa,坦帕山
Sinagoga Neologă din Brașov,布拉索夫猶太會堂
Plopeni,普洛佩尼
Partidul România Mare,大罗马尼亚党
"Comuna Nicolae Bălcescu, Vâlcea",尼古拉伯爾切斯庫鄉·(沃爾恰縣)
"Comuna Cenad, Timiș",切納德鄉·(蒂米什縣)
Teiuș,泰尤什
"Comuna Măneciu, Prahova",默內丘鄉
Autostrada A1 (România),A1高速公路·(羅馬尼亞)
Autostrada A2 (România),A2高速公路·(羅馬尼亞)
Autostrada A3 (România),A3高速公路·(羅馬尼亞)
Rădăuți,勒德烏齊
Moldova Nouă,新摩爾多瓦
Râul Bârlad,伯尔拉德河
FC Gloria Buzău (1973),凱萊布澤烏足球會
Arhidieceza de Alba Iulia,天主教阿爾巴尤利亞總教區
Templul Mare din Satu Mare,薩圖馬雷猶太會堂
Partidul Social Democrat (România),社会民主党·(罗马尼亚)
Râul Buzău,布澤烏河
Universitatea din Craiova,克拉约瓦大学
Peștera Movile,莫維勒洞穴
Români,羅馬尼亞人
Piața Avram Iancu din Cluj-Napoca,阿夫拉姆·扬库广场·(克卢日-纳波卡)
"Comuna Ludești, Dâmbovița",盧代什蒂鄉
"Comuna Costeștii din Vale, Dâmbovița",科斯泰什蒂丁瓦萊鄉
Gherla,蓋爾拉
Armata României,罗马尼亚武装部队
FC Vaslui,瓦斯盧伊足球俱樂部
Câmpia Turzii,肯皮亞圖爾濟
Mangalia,曼加利亞
"Comuna Boldești-Gradiștea, Prahova",博爾代什蒂-格勒迪什泰亞鄉
"Comuna Vintilă Vodă, Buzău",溫蒂勒大公鄉
"Comuna Avram Iancu, Bihor",阿夫拉姆揚庫鄉·(比霍爾縣)
Ocna Mureș,穆列什鹽礦鎮
Mihăilești,米赫伊萊什蒂
"Comuna Sărulești, Călărași",瑟魯萊什蒂鄉·(克勒拉希縣)
Cimitirul Vesel din Săpânța,瑟彭察欢乐墓园
Echipa națională de rugby a României,羅馬尼亞國家橄欖球隊
"Comuna Cergău, Alba",切爾格烏鄉
"Comuna Rădoiești, Teleorman",勒多耶什蒂鄉
Parcul Cișmigiu,西斯米吉烏花園
Liga I 2011-2012,2011年至2012年罗马尼亚足球甲级联赛
Ineu,伊內烏
Chișineu-Criș,基希內烏克里什
Simeria,錫梅里亞
FC Universitatea Cluj,克卢日大学足球俱乐部
Hațeg,哈采格
Sânnicolau Mare,大聖尼古拉
Covasna,科瓦斯納
Banca Națională a României,羅馬尼亞國家銀行
Cisnădie,奇斯訥迪耶
Gura Humorului,古拉胡莫魯盧伊
"Comuna Boldur, Timiș",博爾杜爾鄉
Bolintin-Vale,博林廷瓦萊
Moinești,莫伊內什蒂
"Comuna Potlogi, Dâmbovița",波特洛吉鄉
"Comuna Câlnic, Alba",克爾尼克鄉·(阿爾巴縣)
Drăgănești-Olt,德勒格內什蒂-奧爾特
Sebiș,塞比什
Nădlac,訥德拉克
Autostrada A8 (România),東西高速公路·(羅馬尼亞)
"Comuna Măeriște, Sălaj",默埃里什泰鄉
Președintele României,罗马尼亚总统
Drumul european E81,欧洲E81公路
Athénée Palace Hilton,雅典娜宮希爾頓布加勒斯特
Lacul Vidraru,維德拉魯湖
"Comuna Ciorogârla, Ilfov",喬羅格爾拉鄉
Predeal,普雷代亞爾
CSM Unirea Alba Iulia,烏尼雷亞阿爾巴尤利亞足球會
Tratatul de la București (1913),布加勒斯特條約·(1913年)
Corabia,科拉比亞
"Comuna Adâncata, Suceava",阿登卡塔鄉·(蘇恰瓦縣)
FC Argeș Pitești,阿格斯比迪斯特足球會
Borsec,博爾塞克
Carpatair,卡帕特航空
"Comuna Ghimeș-Făget, Bacău",吉梅什-弗傑特鄉
"Comuna Brestovăț, Timiș",布雷斯托沃茨鄉
"Comuna Agapia, Neamț",阿加皮亞鄉
"Comuna Agigea, Constanța",阿吉賈鄉
Salonta,薩隆塔
Codlea,科德萊亞
CS Minaur Baia Mare (fotbal),巴亞馬雷足球會
FC Sportul Studențesc București,布加勒斯特學生體育足球會
Gara Timișoara Nord,蒂米什瓦拉北站
Depresiunea colinară a Transilvaniei,特兰西瓦尼亚高原
Castelul Bánffy de la Bonțida,班菲城堡
Aeroportul Internațional București Băneasa - Aurel Vlaicu,布加勒斯特伯尼亚萨-奥雷尔·弗拉伊库国际机场
"Comuna Merei, Buzău",梅雷伊鄉
"Comuna Bulzeștii de Sus, Hunedoara",上布爾澤什蒂鄉
Râul Jiu,捷烏河
Maghiarii din România,羅馬尼亞的匈牙利人
Călan,克蘭
Gheorgheni,格奧爾蓋尼
Carei,卡雷·(羅馬尼亞)
Vulcan (oraș),武爾坎·(胡內多阿拉縣)
Năvodari,訥沃達里
Băile Tușnad,伯伊萊圖什納德
Drăgășani,德勒格沙尼
Lupeni,盧佩尼
Târnăveni,特爾訥韋尼
"Comuna Comăna, Brașov",科默納鄉
Munții Bucegi,布切吉山脈
Brad (oraș),布拉德
DN2,國道2號·(羅馬尼亞)
Societatea Română de Televiziune,罗马尼亚电视台
Munții Făgăraș,弗格拉什山脈
Centura alpidă,阿尔卑斯带
"Comuna Boșorod, Hunedoara",博紹羅德鄉
Dumbrăveni,敦布勒韋尼
"Comuna Măgurele, Prahova",默古雷萊鄉·(普拉霍瓦縣)
"Comuna Certeju de Sus, Hunedoara",上切爾泰茹鄉
"Comuna Pestișu Mic, Hunedoara",小佩斯蒂舒鄉
"Comuna Sălașu de Sus, Hunedoara",上瑟拉舒鄉
Brezoi,布雷佐伊
"Comuna Năruja, Vrancea",訥魯亞鄉
"Comuna Mera, Vrancea",梅拉鄉·(弗朗恰縣)
"Comuna Horgești, Bacău",霍爾傑什蒂鄉
"Comuna Baia, Suceava",巴亞鄉
"Comuna Brănișca, Hunedoara",布勒尼什卡鄉
Ținutul Secuiesc,塞凯伊地
"Comuna Brebu, Prahova",布雷布鄉·(普拉霍瓦縣)
Cetatea Făgărașului,弗格拉什城堡
Bursa de Valori București,布加勒斯特證券交易所
Făurei,弗烏雷伊
"Comuna Găiceana, Bacău",格伊恰納鄉
"Comuna Garoafa, Vrancea",加羅阿法鄉
Baraolt,巴拉奧爾特
"Comuna Gârleni, Bacău",格爾萊尼鄉
FCV Farul Constanța,康斯坦察維托足球俱樂部
"Comuna Cornu, Prahova",科爾努鄉·(普拉霍瓦縣)
"Comuna Borș, Bihor",博爾什鄉·(比霍爾縣)
"Comuna Gorgota, Prahova",戈爾戈塔鄉
"Comuna Milcovul, Vrancea",米爾科武爾鄉
Mănăstirea Humor,胡摩爾修道院
"Comuna Sâmbăta de Sus, Brașov",上森伯塔鄉
Industria petrolului în România,羅馬尼亞石油工業
"Comuna Tătăranu, Vrancea",韃靼拉努鄉
Catedrala Sfântul Gheorghe din Timișoara,圣乔治主教座堂·(蒂米什瓦拉)
Chinezii din România,罗马尼亚华人
"Comuna Nereju, Vrancea",內雷茹鄉
"Comuna Parincea, Bacău",帕林恰鄉
"Comuna Abram, Bihor",阿布拉姆鄉·(比霍爾縣)
"Comuna Brusturi, Bihor",布魯斯圖里鄉·(比霍爾縣)
"Comuna Pârgărești, Bacău",珀爾格雷什蒂鄉
"Comuna Borod, Bihor",博羅德鄉·(比霍爾縣)
Câmpia Transilvaniei,美索錫
"Comuna Teliu, Brașov",泰利烏鄉
"Comuna Ardeoani, Bacău",阿爾代瓦尼鄉
"Comuna Agăș, Bacău",阿格什鄉
"Comuna Brănești, Ilfov",布勒內什蒂鄉·(伊爾福夫縣)
"Comuna Dragalina, Călărași",德拉加利納鄉
"Sinagoga din Cetate, Timișoara",塞塔特猶太會堂
Azuga,阿祖加
"Comuna Cărpiniș, Timiș",克爾皮尼什鄉
Geoagiu,喬阿久
Cavnic,卡夫尼克
Slănic,斯勒尼克
"Comuna Prejmer, Brașov",普雷伊梅爾鄉
Supercupa Europei 1986,1986年欧洲超级杯
"Comuna Bucovăț, Timiș",布科沃茨鄉·(蒂米什縣)
Săcele,瑟切萊
România la Concursul Muzical Eurovision,羅馬尼亞在歐洲歌唱大賽之歷年表現
Anina,阿尼納
Aninoasa,阿尼諾阿薩
Parlamentul Republicii Moldova,摩尔多瓦议会
Tecuci,泰庫奇
Poarta Ecaterinei din Brașov,加大肋纳门
Onești,奧內什蒂
"Comuna Baia de Criș, Hunedoara",巴亞德克里什鄉
Universitatea Babeș-Bolyai,巴比什-博雅依大学
Râul Moldova,摩爾多瓦河
"Comuna Sântămăria-Orlea, Hunedoara",聖特默里亞-奧爾萊亞鄉
"Comuna Pui, Hunedoara",普伊鄉
CSM Reșița,雷西察學校足球會
FC Politehnica Iași (2010),雅西理工足球會
CS Concordia Chiajna,基亞日納足球俱樂部
CSM Râmnicu Vâlcea,勒姆尼庫沃爾恰體育會
Breaza,布雷亞扎
"Comuna Amărăștii de Jos, Dolj",下阿默勒蒂鄉
"Comuna Bârsești, Vrancea",伯爾塞什蒂鄉
"Comuna Cârjiți, Hunedoara",克爾日齊鄉
Tarutino,塔鲁季诺
"Comuna Stângăceaua, Mehedinți",斯滕格恰瓦鄉
Muzeul Național al Satului „Dimitrie Gusti”,羅馬尼亞農村博物館
"Comuna Pucheni, Dâmbovița",普凱尼鄉
Cultura României,羅馬尼亞文化
"Comuna Olari, Prahova",奧拉里鄉·(普拉霍瓦縣)
Castelul Huniade din Timișoara,匈雅提城堡
"Comuna Ruginești, Vrancea",魯吉內什蒂鄉
Pedeapsa capitală în România,罗马尼亚死刑制度
Aeroportul Internațional Avram Iancu Cluj,克盧日國際機場
"Comuna Mândra, Brașov",門德拉鄉
"Comuna Vețel, Hunedoara",韋采爾鄉
"Comuna Băleni, Dâmbovița",伯萊尼鄉·(登博維察縣)
"Comuna Râu de Mori, Hunedoara",勒烏德莫里鄉
Universiada de vară din 1981,1981年夏季世界大學運動會
"Comuna Albești-Paleologu, Prahova",阿爾貝什蒂-帕萊奧洛古鄉
"Comuna Gurasada, Hunedoara",古拉薩達鄉
"Comuna Săvârșin, Arad",瑟沃爾欣鄉
"Comuna Ghelari, Hunedoara",蓋拉里鄉
"Comuna Ștefăneștii de Jos, Ilfov",下斯特弗內什蒂鄉
"Comuna Răchitoasa, Bacău",勒基托阿薩鄉
"Comuna Florești, Prahova",弗洛雷什蒂鄉·(普拉霍瓦縣)
"Comuna Podu Turcului, Bacău",波杜圖爾庫盧伊鄉
"Comuna Camăr, Sălaj",卡默爾鄉
"Comuna Cața, Brașov",卡察鄉
"Comuna Racoș, Brașov",拉科什鄉
"Comuna Hoghiz, Brașov",霍吉茲鄉
FC Progresul București,布加勒斯特前進足球會
Târgu Ocna,特爾古奧克納
Regio Călători,雷吉奥跨越
"Comuna Șotrile, Prahova",紹特里萊鄉
Parcul Național Buila-Vânturarița,布伊拉-文圖拉里察國家公園
CS Turnu Severin,特魯塞維林體育會
"Comuna Albac, Alba",阿尔巴克乡
"Comuna Oituz, Bacău",奧伊圖茲鄉
"Comuna Crizbav, Brașov",克里茲巴夫鄉
"Comuna Sarmizegetusa, Hunedoara",薩爾米澤傑圖薩鄉·(胡內多阿拉縣)
"Comuna Sânpetru, Brașov",聖彼得魯鄉
"Apața, Brașov",阿帕察鄉
"Comuna Bunești, Brașov",布內什蒂鄉·(布拉索夫縣)
"Comuna Părău, Brașov",珀勒烏鄉
"Comuna Valea Mare, Dâmbovița",大谷鄉·(登博維察縣)
"Comuna Vulcana-Băi, Dâmbovița",武爾卡納-伯伊鄉
"Comuna Solonț, Bacău",索隆茨鄉
"Comuna I.L. Caragiale, Dâmbovița",揚盧卡卡拉賈萊鄉·(登博維察縣)
Uricani,烏里卡尼
Turnu Măgurele,圖爾努默古雷萊
Boldești-Scăeni,博爾代什蒂-斯克埃尼
Lacul Roșu,紅湖·(羅馬尼亞)
"Comuna Bicazu Ardelean, Neamț",比卡祖阿爾代良鄉
"Comuna Vama Buzăului, Brașov",布澤烏河畔瓦馬鄉
Mănăstirea Moldovița,摩爾多維泰修道院
Cetatea Sighișoara,锡吉什瓦拉历史中心
"Comuna Dimitrie Cantemir, Vaslui",迪米特里耶·坎泰米爾鄉
Erou al Republicii Socialiste România,罗马尼亚社会主义共和国英雄
"Comuna Crângurile, Dâmbovița",克倫古里萊鄉
"Râul Jijia, Prut",日日亞河
"Comuna Buciumeni, Dâmbovița",布丘梅尼鄉·(登博維察縣)
Reghin,雷京
"1 Decembrie, Ilfov",十二月一日乡
"Comuna Ruginoasa, Iași",魯吉諾阿薩鄉·(雅西縣)
"Comuna Târgu Trotuș, Bacău",特爾古特羅圖什鄉
"Comuna Hărău, Hunedoara",赫勒烏鄉
Podul Calafat-Vidin,新歐洲橋
"Comuna Tărlungeni, Brașov",特爾倫傑尼鄉
"Comuna Ciucurova, Tulcea",丘庫羅瓦鄉
România Mare,大罗马尼亚
Linia M1 a metroului din București,布加勒斯特地鐵1號線
"Comuna Modelu, Călărași",莫代盧鄉
"Comuna Beclean, Brașov",貝克良鄉·(布拉索夫縣)
"Comuna Lipănești, Prahova",利珀內什蒂鄉
Regiunea Autonomă Maghiară,马扎尔自治区
"Comuna Tomșani, Prahova",塔姆沙尼鄉·(普拉霍瓦縣)
Mărășești,默勒謝什蒂
"Comuna Viișoara, Bihor",維什瓦拉鄉·(比霍爾縣)
"Comuna Dumbrava, Prahova",敦布拉瓦鄉·(普拉霍瓦縣)
"Comuna Aștileu, Bihor",阿什蒂萊烏鄉
"Comuna Uliești, Dâmbovița",烏列什蒂鄉
"Comuna Balotești, Ilfov",巴洛泰什蒂鄉
"Comuna Plopu, Prahova",普洛普鄉
"Poiana Mărului, Brașov",波亞納默魯盧伊鄉
"Comuna Meseșenii de Jos, Sălaj",下梅塞謝尼鄉
Râul Crișul Repede,湍克勒什河
Drumul european E79,欧洲E79公路
Parcul Regele Mihai I al României,赫拉斯特勞公園
"Comuna Sârbii-Măgura, Olt",瑟爾比-默古拉鄉
"Comuna Lădești, Vâlcea",勒代什蒂鄉
"Comuna Plenița, Dolj",普萊尼察鄉
"Sinagoga din Fabric, Timișoara",法布里克猶太會堂
"Comuna Curcani, Călărași",庫爾卡尼鄉
"Comuna Golești, Vâlcea",戈萊什蒂鄉·(沃爾恰縣)
"Comuna Boianu Mare, Bihor",大博亞努鄉
"Comuna Hârseni, Brașov",赫爾塞尼鄉
"Comuna Robănești, Dolj",羅伯內什蒂鄉
Pandurii Târgu Jiu,特爾古捷烏彭杜歷體育會
Eforie,埃福列
Bumbești-Jiu,本貝什蒂日烏
Scornicești,斯科爾尼切什蒂
Ocnele Mari,大鹽礦鎮
"Comuna Cacica, Suceava",卡奇卡鄉
"Comuna Drăgești, Bihor",德勒傑什蒂鄉
"Comuna Cașin, Bacău",卡欣鄉
"Comuna Tamași, Bacău",塔馬希鄉
"Comuna Traian, Bacău",特拉揚鄉·(巴克烏縣)
"Comuna Sascut, Bacău",薩斯庫特鄉
"Comuna Pârjol, Bacău",珀爾若爾鄉
Biserica Sfântul Nicolae din Brașov,圣尼古拉教堂·(布拉索夫)
"Comuna Ștefan cel Mare, Bacău",斯特凡大公村鄉·(巴克烏縣)
Râul Vișeu,維謝烏河
"Comuna Lunca, Mureș",倫卡鄉·(穆列什縣)
"Comuna Produlești, Dâmbovița",普羅杜萊什蒂鄉
Echipa națională de baschet a României,羅馬尼亞國家男子籃球隊
"Comuna Husnicioara, Mehedinți",胡斯尼喬阿拉鄉
Regiunile de dezvoltare ale României,羅馬尼亞發展地區
Centrala nucleară de la Cernavodă,切尔纳沃德核电站
"Comuna Gura Caliței, Vrancea",古拉卡利采伊鄉
"Comuna Dragomirești, Dâmbovița",德拉戈米雷什蒂鄉·(登博維察縣)
Bătălia de la Caransebeș,卡蘭塞貝什戰役
"Comuna Lehliu, Călărași",萊赫柳鄉
"Comuna Bucșani, Dâmbovița",布克沙尼鄉·(登博維察縣)
"Partidul Conservator (România, 1880–1918)",保守黨·(羅馬尼亞，1880年–1918年)
"Comuna Dobra, Dâmbovița",多布拉鄉·(登博維察縣)
"Comuna Albeștii de Argeș, Argeș",阿爾傑什河畔阿爾貝什蒂德鄉
"Comuna Răchitova, Hunedoara",勒基托瓦鄉
România la Universiada de vară din 2011,2011年夏季世界大学生运动会罗马尼亚代表团
Stadionul Dr. Constantin Rădulescu,康斯坦丁·勒杜列斯库博士球场
"Comuna Gornet-Cricov, Prahova",戈爾內特-克里科夫鄉
Paralela 45 nord,北緯45度線
"Comuna Lungulețu, Dâmbovița",倫古萊圖鄉
"Comuna Tărtășești, Dâmbovița",特爾特謝什蒂鄉
"Comuna Belciugatele, Călărași",貝爾丘加泰萊鄉
"Comuna Glodeni, Dâmbovița",格洛代尼鄉·(登博維察縣)
"Vârtop, Dolj",沃爾托普鄉·(多爾日縣)
"Comuna Cornești, Dâmbovița",科爾內什蒂鄉·(登博維察縣)
Siret,錫雷特
"Comuna Chevereșu Mare, Timiș",大凱韋雷舒鄉
"Comuna Gârnic, Caraș-Severin",格爾尼克鄉
"Comuna Almăj, Dolj",阿爾默日鄉
"Comuna Turdaș, Hunedoara",圖爾達什鄉
"Comuna Mărgineni, Bacău",默爾吉內尼鄉·(巴克烏縣)
Catedrala Mitropolitană din Timișoara,蒂米什瓦拉都主教座堂
FC Botoșani,博托沙尼足球俱樂部
Catedrala Încoronării din Alba Iulia,加冕主教座堂
"Comuna Budeasa, Argeș",布迪亞薩鄉
"Comuna Giulvăz, Timiș",久爾沃茲鄉
"Comuna Mioarele, Argeș",米瓦雷萊鄉
Eclipsa de Soare din 11 august 1999,1999年8月11日日食
"Comuna Galiciuica, Dolj",加利西維卡鄉
"Comuna Mitreni, Călărași",米特雷尼鄉
"Comuna Dor Mărunt, Călărași",多爾默倫特鄉
"Comuna Godeni, Argeș",戈代尼鄉
"Comuna Palanca, Bacău",帕蘭卡鄉·(巴克烏縣)
"Comuna Parava, Bacău",帕拉瓦鄉·(巴克烏縣)
"Comuna Petreu, Bihor",阿布勒穆茨鄉
"Comuna Șirna, Prahova",錫爾納鄉
"Râul Crasna, Tisa",克拉斯納河
"Comuna Bratca, Bihor",布拉特卡鄉
"Comuna Sânmartin, Bihor",聖馬丁鄉·(比霍爾縣)
"Comuna Buduslău, Bihor",布杜斯勒烏鄉
"Comuna Satu Mare, Suceava",薩圖馬雷鄉·(蘇恰瓦縣)
"Comuna Adunați, Prahova",阿杜納蒂鄉
Limanul Razim,拉濟湖
"Comuna Valea Lungă, Dâmbovița",長谷鄉·(登博維察縣)
"Comuna Andrășești, Ialomița",安德勒謝什蒂鄉
"Comuna Ciocârlia, Ialomița",喬克爾利亞鄉·(雅洛米察縣)
"Comuna Orlești, Vâlcea",奧爾萊什蒂鄉
Măgurele,瑪格雷麗
"Comuna Izvoarele, Giurgiu",伊茲瓦雷萊鄉·(久爾久縣)
Vârful Stogu,斯季格山·(馬爾馬羅什山脈)
"Comuna Șinca, Brașov",欣卡鄉
"Comuna Ciomăgești, Argeș",喬默傑什蒂鄉
"Comuna Aninoasa, Argeș",阿尼諾阿薩鄉·(阿爾傑什縣)
"Comuna Toplița, Hunedoara",托普利察鄉·(胡內多阿拉縣)
"Comuna Mărtinești, Hunedoara",默爾蒂內什蒂鄉
"Vârful Negoiu, Munții Făgăraș",内戈尤峰
Transporturile în România,羅馬尼亞交通
Echipa națională de fotbal a României Sub-21,羅馬尼亞21歲以下國家足球隊
Echipa națională de volei masculin a României,羅馬尼亞國家男子排球隊
"Gârbovi, Ialomița",格爾博維鄉
"Comuna Bordușani, Ialomița",博爾杜沙尼鄉
"Munteni-Buzău, Ialomița",蒙泰尼布澤烏鄉
"Comuna Bod, Brașov",博德鄉·(布拉索夫縣)
"Comuna Biharia, Bihor",比哈里亞鄉
"Comuna Feldioara, Brașov",費爾迪瓦拉鄉
"Comuna Bengești-Ciocadia, Gorj",本傑什蒂-喬卡迪亞鄉
Ziua națională a României,国家统一日·(罗马尼亚)
"Comuna Ciochina, Ialomița",喬基納鄉
"Comuna Chiojdu, Buzău",基奧伊杜鄉
"Comuna Rădulești, Ialomița",勒杜萊什蒂鄉
"Comuna Cislău, Buzău",奇斯勒烏鄉
"Comuna Cleja, Bacău",克萊扎鄉
"Comuna Luizi-Călugăra, Bacău",盧濟-克盧格拉鄉
"Comuna Mogoșani, Dâmbovița",莫戈沙尼鄉
"Comuna Pâncești, Neamț",彭切什蒂鄉·(尼亞姆茨縣)
"Comuna Malaia, Vâlcea",馬拉亞鄉
"Comuna Stelnica, Ialomița",斯泰爾尼卡鄉
"Comuna Hărmănești, Iași",赫爾默內什蒂鄉
"Comuna Valea Ciorii, Ialomița",喬里鄉
"Comuna Reviga, Ialomița",雷維加鄉
"Comuna Vorța, Hunedoara",沃爾察鄉
"Comuna Ticuș, Brașov",蒂庫舒鄉
"Comuna Bezdead, Dâmbovița",貝茲代亞德鄉
"Comuna Salcia, Mehedinți",薩爾恰鄉·(梅赫丁茨縣)
"Comuna Dănicei, Vâlcea",德尼切伊鄉
"Comuna Boghicea, Neamț",博吉恰鄉
"Comuna Runcu, Dâmbovița",倫庫鄉·(登博維察縣)
"Gâdinți, Neamț",格丁茨鄉
"Comuna Vâlcele, Olt",沃爾切萊鄉·(奧爾特縣)
"Comuna Stroești, Vâlcea",斯特羅埃什蒂鄉
"Comuna Luica, Călărași",盧伊卡鄉
"Comuna Totești, Hunedoara",托泰什蒂鄉
"Comuna Șoimuș, Hunedoara",紹伊穆什鄉
Vin românesc,羅馬尼亞葡萄酒
Muzeul Național de Artă al României,國立羅馬尼亞藝術博物館
"Comuna Axintele, Ialomița",阿克辛泰萊鄉
"Comuna Batăr, Bihor",巴特爾鄉
"Comuna Alexandru cel Bun, Neamț",亞歷山德魯切爾本鄉·(尼亞姆茨縣)
"Comuna Verguleasa, Olt",韋爾古萊亞薩鄉
"Comuna Dărmănești, Dâmbovița",德爾默內什蒂鄉·(登博維察縣)
"Comuna Vădastra, Olt",沃達斯特拉鄉
Frontul Salvării Naționale,救国阵线
FC Petrolul Ploiești,普羅耶什蒂佩特羅魯足球俱樂部
"Comuna Brețcu, Covasna",布雷茨庫鄉
"Comuna Ilia, Hunedoara",伊利亞鄉·(胡內多阿拉縣)
"Comuna Cincu, Brașov",欽庫鄉
"Comuna Hălchiu, Brașov",赫爾基烏鄉
"Comuna Urzicuța, Dolj",烏爾濟庫察鄉
"Comuna Verbița, Dolj",韋爾比察鄉
Drumul european E87,欧洲E87公路
"Comuna Țifești, Vrancea",齊費什蒂鄉
"Comuna Vlădila, Olt",弗勒迪拉鄉
"Comuna Valea Doftanei, Prahova",多夫塔內鄉
"Comuna Vulturești, Olt",武爾圖雷什蒂鄉·(奧爾特縣)
"Comuna Voineasa, Olt",沃伊內亞薩鄉·(奧爾特縣)
"Comuna Râmeț, Alba",勒梅茨鄉
"Comuna Godeanu, Mehedinți",戈迪亞努鄉
"Comuna Pătulele, Mehedinți",珀圖萊萊鄉
"Comuna Moara, Suceava",莫阿拉鄉·(蘇恰瓦縣)
"Comuna Vulpeni, Olt",武爾佩尼鄉
"Comuna Tinosu, Prahova",蒂諾蘇鄉
Electroputere,克拉约瓦电力机车设备
"Comuna Vișani, Brăila",維沙尼鄉
"Comuna Măgura, Buzău",默古拉鄉·(布澤烏縣)
"Comuna Zărnești, Buzău",澤爾內什蒂鄉·(布澤烏縣)
"Comuna Raciu, Dâmbovița",拉丘鄉
"Comuna Pietrari, Dâmbovița",彼得拉里鄉·(登博維察縣)
"Comuna Glodeanu Sărat, Buzău",格洛代亞努瑟拉特鄉
"Comuna Apele Vii, Dolj",阿佩萊維鄉
"Comuna Vâlcănești, Prahova",沃爾克內什蒂鄉
"Comuna Secuieni, Bacău",塞庫耶尼鄉·(巴克烏縣)
"Comuna Izvoru Berheciului, Bacău",伊茲沃魯貝爾丘盧伊鄉
"Comuna Orbeni, Bacău",奧爾貝尼鄉
"Comuna Argetoaia, Dolj",阿爾傑托阿亞鄉
"Comuna Zemeș, Bacău",澤梅什鄉
"Comuna Jugureni, Prahova",茹古雷尼鄉
"Comuna Starchiojd, Prahova",斯塔爾喬伊德鄉
"Comuna Niculești, Dâmbovița",尼庫萊什蒂鄉
"Comuna Bogdănești, Vaslui",博格德內什蒂鄉·(瓦斯盧伊縣)
"Comuna Vultureni, Bacău",武爾圖雷尼鄉·(巴克烏縣)
"Comuna Șuletea, Vaslui",舒萊泰亞鄉
"Comuna Ungureni, Bacău",溫古雷尼鄉·(巴克烏縣)
"Comuna Orbeasca, Teleorman",奧爾貝亞斯卡鄉
"Comuna Vârtoape, Teleorman",沃爾托阿佩鄉
"Comuna Jariștea, Vrancea",亞里什泰亞鄉
"Comuna Mereni, Teleorman",梅雷尼鄉·(特列奧爾曼縣)
"Comuna Plopana, Bacău",普洛帕納鄉
"Comuna Râmnicelu, Brăila",勒姆尼切盧鄉·(布勒伊拉縣)
"Comuna Stănișești, Bacău",斯特尼謝什蒂鄉
"Comuna Poduri, Bacău",波杜里鄉
"Comuna Valea Seacă, Bacău",塞亞克鄉·(巴克烏縣)
"Comuna Lipova, Bacău",利波瓦鄉·(巴克烏縣)
"Comuna Racova, Bacău",拉科瓦鄉
"Comuna Letea Veche, Bacău",舊萊泰亞鄉
"Comuna Livezi, Bacău",利韋濟鄉·(巴克烏縣)
"Comuna Găneasa, Ilfov",格內亞薩鄉·(伊爾福夫縣)
"Comuna Răcăciuni, Bacău",勒古丘尼鄉
Parcul Național Domogled - Valea Cernei,多莫戈爾德-切爾納鄉國家公園
"Comuna Iedera, Dâmbovița",耶代拉鄉
"Comuna Dealu Morii, Bacău",代亞盧莫里鄉
"Comuna Lăpușata, Vâlcea",勒普沙塔鄉
"Comuna Cernătești, Buzău",切爾訥泰什蒂鄉·(布澤烏縣)
"Comuna Mărăcineni, Buzău",默勒奇內尼鄉·(布澤烏縣)
"Comuna Tulnici, Vrancea",圖爾尼奇鄉
"Comuna Măciuca, Vâlcea",默丘卡鄉
"Comuna Golești, Vrancea",戈萊什蒂鄉·(弗朗恰縣)
"Comuna Slobozia Bradului, Vrancea",斯洛博齊亞布拉杜盧伊鄉
"Comuna Vintileasca, Vrancea",溫蒂萊亞斯卡鄉
"Comuna Soveja, Vrancea",索韋亞鄉
"Comuna Gugești, Vrancea",古格什蒂鄉
"Comuna Jitia, Vrancea",日蒂亞鄉
"Comuna Sihlea, Vrancea",錫赫萊亞鄉
"Comuna Câmpineanca, Vrancea",肯皮內亞卡鄉
"Comuna Cârligele, Vrancea",克爾利傑萊鄉
"Comuna Răcoasa, Vrancea",勒夸薩鄉
"Comuna Chiojdeni, Vrancea",基奧伊代尼鄉
"Comuna Străoane, Vrancea",斯特勒瓦內鄉
"Comuna Vidra, Vrancea",維德拉鄉·(弗朗恰縣)
"Comuna Poiana Cristei, Vrancea",波亞納克里斯泰伊鄉
"Comuna Reghiu, Vrancea",雷吉烏鄉
"Comuna Vulturu, Vrancea",武爾圖魯鄉·(弗朗恰縣)
"Comuna Valea Sării, Vrancea",鹽谷鄉
"Comuna Tănăsoaia, Vrancea",特訥索阿亞鄉
Universitatea Politehnica din București,布加勒斯特理工大学
"Comuna Bunești-Averești, Vaslui",布內什蒂-阿韋雷什蒂鄉
"Comuna Cepari, Argeș",切帕里鄉
"Comuna Poienarii de Muscel, Argeș",波耶納里德穆斯切爾鄉
"Comuna Helegiu, Bacău",海萊久鄉
"Comuna Glăvănești, Bacău",格勒沃內什蒂鄉
"Comuna Ungheni, Iași",溫蓋尼鄉·(雅西縣)
"Comuna Bărcănești, Ialomița",伯爾克內什蒂鄉·(雅洛米察縣)
"Comuna Nuci, Ilfov",努奇鄉
"Comuna Șercaia, Brașov",謝爾卡亞鄉
"Comuna Brateș, Covasna",布拉泰什鄉
