日本,일본
両国駅,료고쿠역
さいたま新都心駅,사이타마신토신역
桜木町駅,사쿠라기초역
札幌駅,삿포로역
千駄ケ谷駅,센다가야역
仙台駅,센다이 역 (미야기 현)
横浜駅,요코하마역
別海町,베쓰카이정
有田市,아리다시
百舌鳥駅,모즈역
津久野駅,쓰쿠노역
和泉府中駅,이즈미후추역
日根野駅,히네노역
信太山駅,시노다야마역
和泉鳥取駅,이즈미톳토리역
東佐野駅,히가시사노역
北信太駅,기타시노다역
鶴ケ丘駅,쓰루가오카역
りんくうタウン駅,린쿠타운역
久米田駅,구메다역
衆議院,중의원
会見町,아이미정
相生市,아이오이시
一本松駅,잇폰마쓰역
エアーニッポン,에어닛폰
宇都宮駅,우쓰노미야역
上野駅,우에노역
山手駅,야마테역
与野駅,요노역
四ツ谷駅,요쓰야역
有楽町駅,유라쿠초역
能美市,노미시
内閣総理大臣官邸,일본 수상 관저
新しい歴史教科書をつくる会,새로운 역사 교과서를 만드는 모임
芦ノ湖,아시노호
えりも町,에리모정
伊良部島,이라부섬
大崎駅,오사키역
大塚駅,오쓰카역
琵琶湖線,비와코선
獏,바쿠 (요괴)
幕末,막부 말기
浜松市,하마마쓰시
伊万里市,이마리시
イタイイタイ病,이타이이타이병
東京タワー,도쿄 타워
ヤマハ,야마하
穂高岳,호타카다케산
京王競馬場線,게이오 전철 경마장선
ブシロード,부시로드
日吉大社,히요시타이샤
秩父多摩甲斐国立公園,지치부타마카이 국립공원
芥川龍之介賞,아쿠타가와 류노스케상
京,K 컴퓨터
三菱グループ,미쓰비시 그룹
天皇の一覧,역대 일본 천황
越後線,에치고선
富良野市,후라노시
下地島空港,시모지시마 공항
厚岸町,앗케시정
田中藩,다나카번
武士道,무사도
国道342号,국도 제342호선
SILVER LINK.,SILVER LINK.
新党大地,신당대지
としまえん,도시마엔
秋田書店,아키타 쇼텐
安芸高田市,아키타카타시
分倍河原駅,부바이가와라역
土佐国,도사국
我孫子町駅,아비코초역
関目駅,세키메역
和泉砂川駅,이즈미스나가와역
千林駅,센바야시역
赤坂,아카사카
鳳駅,오토리역
東羽衣駅,히가시하고로모역
東貝塚駅,히가시카이즈카역
長滝駅,나가타키역
山中渓駅,야마나카다니역
六十谷駅,무소타역
東岸和田駅,히가시키시와다역
杉本町駅,스기모토초역
富木駅,도노키역
紀伊中ノ島駅,기이나카노시마역
英賀保駅,아가호역
安芸市,아키시
秋葉原,아키하바라
赤磐市,아카이와시
阿寒摩周国立公園,아칸 국립공원
乃木坂46,노기자카46
三芳町,미요시정
和光市,와코시
北野天満宮,기타노텐만 궁
北九州市,기타큐슈시
奈良時代,나라 시대
加茂市,가모시
鉾田市,호코타시
村山市,무라야마시
館林市,다테바야시시
京都賞,교토상
十勝郡,도카치군
第39回衆議院議員総選挙,제39회 일본 중의원 의원 총선거
植木町,우에키정
八幡東区,야하타히가시구
土呂駅,도로역
鹿町町,시카마치정
関西独立リーグ,간사이 독립 리그
ベースボール・チャレンジ・リーグ,베이스볼 챌린지 리그
八丈支庁,하치조 지청
久留米藩,구루메번
関ケ原町,세키가하라정
大潟村,오가타촌
浮世絵,우키요에
中国山地,주고쿠 산지
青葉台駅,아오바다이역
串木野市,구시키노시
日本原子力研究所,일본 원자력 연구소
江迎町,에무카에정
美馬市,미마시
中立国,중립
新川崎駅,신카와사키역
新神戸駅,신코베역
新橋駅,신바시역
新横浜駅,신요코하마역
新大阪駅,신오사카역
静岡駅,시즈오카역
磐梯朝日国立公園,반다이아사히 국립공원
バンダイビジュアル,반다이 비주얼
バンダイナムコホールディングス,반다이 남코 홀딩스
葛城市,가쓰라기시
慶應義塾大学,게이오기주쿠 대학
BEMANIシリーズ,비마니 시리즈
北本市,기타모토시
渋谷駅,시부야역
登別市,노보리베쓰시
郡上市,구조시
蓮田市,하스다시
国定駅,구니사다역
太平駅,다이헤이역
妙義町,묘기정
西新宿,니시신주쿠
北村山郡,기타무라야마군
小美玉市,오미타마시
赤穂市,아코시
大字,오아자
十日町市,도카마치시
志布志市,시부시시
神俣駅,간마타역
日ソ関係,소련-일본 관계
四街道市,요쓰카이도시
阿寒湖,아칸호
日本のキリスト教,일본의 기독교
幣原内閣,시데하라 내각
長篠の戦い,나가시노 전투
東北自動車道,도호쿠 자동차도
慶雲,게이운
京田辺市,교타나베시
高浜市,다카하마시
姫路城,히메지성
若松島,와카마쓰섬
甲斐国,가이국
北信越地方,호쿠신에쓰 지방
城南町,조난정
戸畑区,도바타구
五泉市,고센시
匝瑳市,소사시
飯南町,이난정
福山市,후쿠야마시
津島市,쓰시마시
ベネッセコーポレーション,베네세 코퍼레이션
東海道新幹線,도카이도 신칸센
後志総合振興局,시리베시 종합진흥국
神戸連続児童殺傷事件,고베 아동 연속 살상 사건
箕面市,미노 시
グラミン銀行,그라민 은행
天草諸島,아마쿠사 제도
天草市,아마쿠사시
深川市,후카가와시
美唄市,비바이시
全日本学生自治会総連合,전일본학생자치회총연합
全国知事会,전국지사회
港区,미나토구
延徳,엔토쿠
佐多岬,사타곶
室戸市,무로토시
名和駅,나와역
善通寺市,젠쓰지시
美濃加茂市,미노카모시
栗東市,릿토시
ドーム前千代崎駅,도무마에치요자키역
金沢市,가나자와시
ブラジリアン柔術,브라질 주짓수
沼田市,누마타시
越後国,에치고국
総持寺駅,소지지역
磐越東線,반에쓰토선
磐越西線,반에쓰사이선
ベヨネース列岩,베요네스 열암
日本書紀,일본서기
日本の漫画家,일본 만화가
香取市,가토리시
小千谷市,오지야시
河内長野市,가와치나가노시
富士通,후지쯔
国道20号,국도 제20호선
大浦天主堂,오우라 천주당
川田駅,가와타역
実用英語技能検定,실용영어기능검정시험
真壁町,마카베정
薩摩国,사쓰마국
国民精神総動員,국민정신총동원
御殿場線,고텐바선
有田町,아리타정
第一三共,다이이치산쿄
三条市,산조시
鹿屋市,가노야시
東京都中央卸売市場,도쿄중앙도매시장
防衛総司令部,방위총사령부
猪苗代町,이나와시로정
浅草神社,천초신사
立山町,다테야마정
江ノ島電鉄線,에노시마 전철 에노시마 전철선
朝日新聞社,아사히 신문사
新高尾村,신타카오촌
日本国と中華人民共和国との間の平和友好条約,중일평화우호조약
古川市,후루카와시
東屯田通停留場,히가시톤덴도리 정류장
大日本帝国,일본 제국
厳島神社,이쓰쿠시마 신사
志摩半島,시마반도
若松区,와카마쓰구
富合町,도미아이정
小倉南区,고쿠라미나미구
北品川駅,기타시나가와역
福江島,후쿠에섬
鳥取駅,돗토리역
津幡町,쓰바타정
内灘町,우치나다정
因島市,인노시마시
飯舘村,이타테촌
レベルファイブ,LEVEL-5
美里町,미사토정
奥尻島,오쿠시리섬
歌舞伎町,가부키초
中央市,주오시
関西国際空港,간사이 국제공항
渋谷区,시부야구
堺市,사카이시
池田市,이케다시
旭日章,욱일장
ビィートレイン,비 트레인
日本神話,일본 신화
鉄火丼,뎃카돈
京都精華大学,교토 세이카 대학
霧島市,기리시마시
宗像市,무나카타시
奄美市,아마미시
奄美群島,아마미 제도
三河吉田藩,요시다번
腰越駅,고시고에역
豊明市,도요아케시
天草エアライン,아마쿠사 항공
浜田市,하마다시
西表島,이리오모테섬
ジャパン・エンターテイメント・ネットワーク,카툰 네트워크
吹上駅,후키아게역
長谷駅 (神奈川県),하세역
鵠沼駅,구게누마역
芝浦ふ頭駅,시바우라후토역
竹芝駅,다케시바역
お台場海浜公園駅,오다이바카이힌코엔역
瑞穂運動場西駅,미즈호운도조니시역
車道駅,구루마미치역
魚津市,우오즈시
西予市,세이요시
八戸市,하치노헤시
尖閣諸島問題,센카쿠 열도 분쟁
煎餅,센베이
曽於市,소오시
日本アカデミー賞,일본 아카데미상
日本未来の党,일본미래당
上野市駅,우에노시역
東京ディズニーランドホテル,도쿄 디즈니랜드 호텔
恵那市,에나시
石岡市,이시오카시
グランドスラム・東京,도쿄 그랜드슬램 유도대회
東大寺,도다이지
平安時代,헤이안 시대
弘前市,히로사키시
大山崎町,오야마자키정
あま市,아마시
かりゆしクラブ,가리유시 클럽
国際センター駅,고쿠사이센터 역
指差喚呼,지적환호
市場前駅,시조마에역
由比ヶ浜駅,유이가하마역
印旛日本医大駅,인바니혼이다이역
瑞穂区役所駅,미즈호쿠야쿠쇼역
テレコムセンター駅,텔레컴 센터역
鎌倉高校前駅,가마쿠라 고교 앞역
ハンズ,핸즈
蕨市,와라비시
登呂遺跡,토로 유적
日高本線,히다카 본선
下呂市,게로시
交野市,가타노시
東京ディズニーシー・ホテルミラコスタ,도쿄 디즈니시 호텔 미라코스타
北九州市立大学,기타큐슈 시립 대학
彌彦神社,이야히코 신사
西武新宿線,세이부 철도 신주쿠 선
桜本町駅,사쿠라혼마치역
久屋大通駅,히사야오도리역
大日本プロレス,대일본 프로레슬링
セコム,세콤
七里ヶ浜駅,시치리가하마역
湘南海岸公園駅,쇼난 해안공원역
和田塚駅,와다즈카역
秋山駅,아키야마역
稲村ヶ崎駅,이나무라가사키역
極楽寺駅,고쿠라쿠지역
外房線,소토보선
壮瞥町,소베쓰정
高松城,다카마쓰성
箱根町,하코네정
柳井市,야나이시
城陽市,조요시
北広島市,기타히로시마시
印旛郡,인바군
東浦町,히가시우라정
目黒駅,메구로역
先生,선생
松阪市,마쓰사카시
羽島市,하시마시
能代市,노시로시
ゼクシズ,ZEXCS
十七条憲法,십칠조헌법
L0系,신칸센 L0계
電気通信大学,전기통신대학
慶良間諸島,게라마 제도
鶴里駅,쓰루사토역
都営バス,도에이 버스
札幌大学,삿포로 대학
勲章,일본의 훈장
築地市場,쓰키지 시장
名寄市,나요로시
多治見市,다지미시
江南市,고난시
第1次小泉第2次改造内閣,제1차 고이즈미 내각
第3次小泉改造内閣,제3차 고이즈미 내각
丸亀市,마루가메시
今治市,이마바리시
須賀川市,스카가와시
伊賀市,이가시
高徳院,고토쿠인
第44回衆議院議員総選挙,제44회 일본 중의원 의원 총선거
可児郡,가니군
鵜沼宿,우누마쥬쿠
薩摩藩,사쓰마번
清水エスパルス,시미즈 에스펄스
白石市,시로이시시
中部国際空港,중부국제공항 센트레어
1964年東京オリンピックのメダル受賞数一覧,1964년 하계 올림픽 메달 집계
新宮市,신구시
戸田市,도다시
松山市,마쓰야마시
鳴門市,나루토시
出雲市駅,이즈모시역
令制国,율령국
岡山電気軌道,오카야마 전기 궤도
霊屋,영옥
ISO 3166-2:JP,ISO 3166-2:JP
古墳時代,고훈 시대
羽咋市,하쿠이시
伊豆半島,이즈반도
光市,히카리시
滑川市,나메리카와시
塩谷駅,시오야역
土讃線,도산선
銚子駅,조시역
鳴門線,나루토선
大阪スタヂアム,오사카 구장
山鹿市,야마가시
熊本市,구마모토시
三原市,미하라시
第1次小泉内閣,제1차 고이즈미 내각
彦成村,히코나리촌
日本学術振興会,일본 학술진흥회
田沼町,다누마정
上代特殊仮名遣,상대 특수 가나 표기법
少納言,쇼나곤
勝田駅,가쓰타역
柳小路駅,야나기코지역
第一次小豆坂の戦い,아즈키자카 전투
石上駅,이시가미역
琴似駅,고토니역
成田湯川駅,나리타유카와역
東京臨海高速鉄道70-000形電車,도쿄 임해 고속철도 70-000형 전동차
鳥羽市,도바시
半田市,한다시
重陽,중양절
牟岐線,무기선
高松駅,다카마쓰역
人取橋の戦い,히토토리바시 전투
千葉都市モノレール,지바 도시 모노레일
鹿嶋市,가시마시
営団日比谷線中目黒駅構内列車脱線衝突事故,도쿄 지하철 히비야 선 나카메구로 사고
中之島駅,나카노시마역
関市,세키시
行田市,교다시
東北本線,도호쿠 본선
大日駅,다이니치역
日本車輌製造,닛폰차량
東京地下鉄,도쿄 메트로
伊達市,다테시
なにわ橋駅,나니와바시역
名古屋港駅,나고야코역
不二家,후지야
上山口駅,가미야마구치역
横須賀市,요코스카시
2000年シドニーオリンピックの柔道競技,2000년 하계 올림픽 유도
五霞町,고카정
中富良野町,나카후라노정
日本のポルノ,일본의 포르노그래피
天満駅,덴마역
宇部市,우베시
糸満市,이토만시
日南市,니치난시
秦野市,하다노시
輪島市,와지마시
東松山市,히가시마쓰야마시
田井ノ浜駅,다이노하마역
インターチャネル,인터채널
伊豆国,이즈국
気象庁,일본 기상청
長岡京市,나가오카쿄시
東かがわ市,히가시카가와시
阪南市,한난시
熊野市,구마노시
真庭市,마니와시
山陽小野田市,산요오노다시
盛岡市,모리오카시
1994年の日本シリーズ,1994년 일본 시리즈
沖の南岩,오키노미나미 암
岡山市,오카야마시
レクシスネクシス,렉시스
小郡市,오고리시
鳥栖市,도스시
徳島駅,도쿠시마역
摺上原の戦い,스리아게하라 전투
鎌倉市,가마쿠라시
早稲田大学大学院アジア太平洋研究科,와세다 대학 아시아 태평양 연구과
栗原市,구리하라시
名古屋市美術館,나고야시 미술관
民主党,민주당
三浦市,미우라시
直方市,노가타시
蘭島駅,란시마역
野毛山動物園,노게야마 동물원
TENGA,텐가
大分市,오이타시
高知市,고치시
歌舞伎,가부키
東根市,히가시네시
109,109
二本松市,니혼마쓰시
丸森町,마루모리정
豊田市,도요타
中津市,나카쓰시
長与町,나가요정
東京ゲームショウ,도쿄 게임 쇼
岩泉町,이와이즈미정
阪急電鉄,한큐 전철
Verbatim,버바팀
母島,하하지마섬
後楽園球場,고라쿠엔 구장
六甲山,롯코산
名古屋市立大学,나고야 시립 대학
関西外国語大学,간사이 외국어대학
三種の神器,삼종신기
中央区,주오구
伊勢神宮,이세 신궁
内海町,우치노미정
掛川市,가케가와시
聖心女子大学,세이신 여자 대학
餅,모찌
雌阿寒岳,메아칸산
倉敷市,구라시키시
豊中市,도요나카시
宇都宮市,우쓰노미야시
和歌山市,와카야마시
石山合戦,이시야마 전투
国人,고쿠진
高徳線,고토쿠선
浜松基地,하마마쓰 기지
ケイ・エム・プロデュース,KM 프로듀스
大阪学院大学,오사카 가쿠인 대학
首都高速4号新宿線,수도고속도로 4호선 신주쿠선
新年会,신년회
東北福祉大学,도호쿠 복지대학
琵琶湖,비와호
袋井市,후쿠로이시
赤穂事件,아코 사건
竹原市,다케하라시
第5回先進国首脳会議,제5회 G7 정상회담
TV FUN,APF TV Fun
鹿島市,가시마시
程ヶ谷宿,호도가야슈쿠
キャメロット,카멜롯
金沢大学,가나자와 대학
高松市,다카마쓰시
八幡浜市,야와타하마시
鳥取市,돗토리시
広島市立大学,히로시마 시립 대학
海士町,아마정
海部郡,아마군
仙台市地下鉄,센다이시 지하철
福井市,후쿠이시
山手線,야마노테선
三方ヶ原の戦い,미카타가하라 전투
中川郡,나카가와군
能登半島,노토반도
湘南ベルマーレ,쇼난 벨마레
富里市,도미사토시
JR福知山線脱線事故,JR 후쿠치야마선 탈선 사고
府中市,후추시
旭川市,아사히카와시
北杜市,호쿠토시
福津市,후쿠쓰시
1972年ミュンヘンオリンピックの柔道競技,1972년 하계 올림픽 유도
オリンパス,올림푸스
平野区,히라노구
宇土市,우토시
出雲市,이즈모시
旭区,아사히구
美作市,미마사카시
岩見沢市,이와미자와시
小松島市,고마쓰시마시
江坂駅,에사카역
近鉄奈良線,긴키 닛폰 철도 나라 선
田沢湖駅,다자와코역
八坂神社,야사카 신사
マキタ,마끼다
瀬戸内市,세토우치시
東住吉区,히가시스미요시구
観音寺市,간온지시
余市駅,요이치역
然別駅,시카리베쓰역
仁木駅,니키역
九州の役,규슈 정벌
小金井駅,고가네이역
大成駅,다이세이역
西出雲駅,니시이즈모역
オリコン,오리콘
国立国会図書館,일본 국립국회도서관
アクワイア,어콰이어
熱田神宮,아쓰타 신궁
埼玉スタジアム2002,사이타마 스타디움 2002
バスケットボール女子日本リーグ,일본 여자 농구 리그
安八町,안파치정
国立駅,구니타치역
竹富島,다케토미섬
寒河江市,사가에시
宝塚市,다카라즈카시
瑞穂運動場東駅,미즈호운도조히가시역
銀山駅,긴잔역
上前津駅,가미마에즈역
志賀本通駅,시가혼도리역
本陣駅,혼진역
栄駅,사카에역
硫黄島,이오섬
ソフトバンクグループ株式会社,소프트뱅크
第37回衆議院議員総選挙,제37회 일본 중의원 의원 총선거
琵琶,비와
清水市,시미즈시
日韓トンネル,한일 해저 터널
成人の日,성인의 날
Ntreev Soft,엔트리브 소프트
千葉ロッテマリーンズ,지바 롯데 마린스
2005年の日本シリーズ,2005년 일본 시리즈
鳥島,도리시마섬
大坂の陣,오사카 전투
BEGIN,비긴
紋別市,몬베쓰시
日本製紙クレインズ,닛폰제지 크레인스
日本海呼称問題,동해의 이름에 대한 논쟁
阿倍野区,아베노구
武蔵町,무사시정
五島市,고토시
北海道庁旧本庁舎,홋카이도청 구 본청사
古河駅,고가역
野木駅,노기역
横浜美術館,요코하마 미술관
玉名市,다마나시
大分スポーツ公園総合競技場,오이타 종합경기장
静岡県小笠山総合運動公園スタジアム,시즈오카 에코파 스타디움
CHEMISTRY,케미스트리
長久手古戦場駅,나가쿠테코센조역
はなみずき通駅,하나미즈키도리역
公園西駅,고엔니시역
陶磁資料館南駅,도지시료칸미나미역
芸大通駅,게이다이도리역
杁ヶ池公園駅,이리가이케코엔역
愛・地球博記念公園駅,아이치큐하쿠키넨코엔역
妙音通駅,묘온도리역
小林市,고바야시시
人吉市,히토요시시
ねじれ国会,네지레 국회
第20回参議院議員通常選挙,제20회 일본 참의원 의원 통상선거
南アルプス市,미나미알프스시
狭山市,사야마시
米原市,마이바라시
宋明理学,성리학
福田康夫内閣,후쿠다 야스오 내각
建武の新政,겐무 신정
第2次森改造内閣,제2차 모리 내각 개조내각
隠岐諸島,오키 제도
うるま市,우루마시
江南駅,고난역
日活,닛카쓰
磐城国,이와키국
前橋市,마에바시시
大分駅,오이타역
尾道駅,오노미치역
幾寅駅,이쿠토라역
ロッテグループ,롯데그룹
アジアリーグアイスホッケー,아시아리그 아이스하키
北緯38度線,북위 38도선
大津市,오쓰시
伊達市,다테시
壱岐市,이키시
幡生駅,하타부역
東大宮駅,히가시오미야역
安中駅,안나카역
銚子市,조시시
筑西市,지쿠세이시
2001年世界水泳選手権,2001년 세계 수영 선수권 대회
綾部市,아야베시
ニート,니트족
小学館漫画賞,쇼가쿠칸 만화상
古河市,고가시
九州電力,규슈 전력
尾張旭市,오와리아사히시
社会民主党,사회민주당
航空自衛隊,항공자위대
兵庫県立大学,효고 현립 대학
川内町,가와우치정
重信町,시게노부정
日本の文化,일본의 문화
竹島問題,독도 분쟁
ボンズ,본즈 (스튜디오)
スケバン,스케반
日本の教育,일본의 교육
全日本空輸,전일본공수
除夜の鐘,제야의 종
山陰海岸国立公園,산인 해안 국립공원
在日本大韓民国民団,재일본대한민국민단
千葉マリンスタジアム,지바 마린 스타디움
日中韓首脳会談,한중일 정상회의
生野区,이쿠노구
鶴見区,쓰루미 구 (오사카 시)
都島区,미야코지마구
七ヶ浜町,시치가하마정
三陸海岸,산리쿠 연안
アムールプレート,아무르판
流通経済大学,유통경제대학
新宿,신주쿠
鹿屋体育大学,가노야 체육 대학
神戸電鉄,고베 전철
2010年のパシフィック・リーグクライマックスシリーズ,2010년 퍼시픽 리그 클라이맥스 시리즈
FIFAコンフェデレーションズカップ2001,2001년 FIFA 컨페더레이션스컵
丹沢山地,단자와 산지
NHN JAPAN,NHN Japan
守口市,모리구치시
羽曳野市,하비키노시
堀田駅,호리타역
青森ねぶた,아오모리 네부타 축제
幕張メッセ,마쿠하리 멧세
平城京,헤이조쿄
津市,쓰시
牛丼,규돈
牛窓町,우시마도정
東京国際空港,도쿄 국제공항
西川町,니시카와정
石狩市,이시카리시
千歳市,지토세시
王政復古,왕정복고
第32回衆議院議員総選挙,제32회 일본 중의원 의원 총선거
本場所,혼바쇼
浪速区,나니와구
南国市,난코쿠시
下関市,시모노세키시
第18回参議院議員通常選挙,제18회 일본 참의원 의원 통상선거
ガイナックス,가이낙스
山形国際ドキュメンタリー映画祭,야마가타 국제 다큐멘터리 영화제
日蓮正宗,일련정종
一橋大学,히토쓰바시 대학
新城市,신시로시
蒲郡市,가마고리시
taspo,taspo
m-flo,엠플로
1998年長野オリンピックのスノーボード競技,1998년 동계 올림픽 스노보드
石垣市,이시가키시
国会,일본 국회
甲府市,고후시
八尾市,야오시
富田林市,돈다바야시시
水戸市,미토시
宮崎市,미야자키시
富山市,도야마시
茅野市,지노시
1988年ソウルオリンピックの日本選手団,1988년 하계 올림픽 일본 선수단
対馬海盆,울릉분지
日本国と大韓民国との間の基本関係に関する条約,대한민국과 일본국간의 기본관계에 관한 조약
阿南市,아난시
庄内緑地公園駅,쇼나이료쿠치코엔역
富山湾,도야마만
宮城球場,미야기 구장
大和西大寺駅,야마토사이다이지역
城東区,조토구
東淀川区,히가시요도가와구
都留文科大学,쓰루 문과대학
第40回衆議院議員総選挙,제40회 일본 중의원 의원 총선거
山形市,야마가타시
大阪市長居陸上競技場,얀마 스타디움 나가이
札幌ドーム,삿포로 돔
関門海峡,간몬 해협
北上市,기타카미시
Kalafina,카라피나
万葉仮名,만요가나
東京都写真美術館,도쿄도 사진미술관
本郷駅,혼고역
二戸市,니노헤시
久慈市,구지시
岩塚駅,이와쓰카역
浅間町駅,센겐초역
池下駅,이케시타역
星ヶ丘駅,호시가오카역
一社駅,잇샤역
上社駅,가미야시로역
新馬場駅,신반바역
浦添市,우라소에시
駒ヶ根市,고마가네시
泉南市,센난시
御崎公園球技場,미사키 공원 구기장
茨城県立カシマサッカースタジアム,이바라키 현립 가시마 축구 스타디움
宮城スタジアム,미야기 스타디움
檜山支庁,히야마 지청
日高支庁,히다카 지청
根室支庁,네무로 지청
釧路支庁,구시로 지청
上川支庁,가미카와 지청
十勝支庁,도카치 지청
宗谷支庁,소야 지청
渡島支庁,오시마 지청
空知支庁,소라치 지청
小諸市,고모로시
21_21 DESIGN SIGHT,21 21 DESIGN SIGHT
清水駅,시미즈역
千種駅,지쿠사역
横浜・八景島シーパラダイス,요코하마 핫케이지마 시 파라다이스
浅草花やしき,하나야시키
紀伊山地,기이 산지
東急百貨店,도큐 백화점
八田駅,핫타역
準天頂衛星システム,QZSS
亀島駅,가메지마역
名古屋大学駅,나고야다이가쿠역
茶屋ヶ坂駅,자야가사카역
伏見駅,후시미역
中村公園駅,나카무라코엔역
浄心駅,조신역
大須観音駅,오스칸논역
弁天島,벤텐섬
スーパーダッシュ文庫,슈퍼 대시 문고
荒畑駅,아라하타역
磐田駅,이와타역
山越駅,야마코시역
大和高田市,야마토타카다시
岡谷市,오카야시
北茨城市,기타이바라키시
日本の警察,일본 경찰
戦国時代,센고쿠 시대
さくら市,사쿠라시
登米市,도메시
白山市,하쿠산시
大仙市,다이센시
矢板市,야이타시
七尾市,나나오시
宇陀市,우다시
スクウェア・エニックス,스퀘어 에닉스
弥生時代,야요이 시대
備前市,비젠시
バレーボール日本男子代表,일본 배구 국가대표팀
中野市,나카노시
東別院駅,히가시베쓰인역
名城公園駅,메이조코엔역
黒川駅,구로카와역
矢場町駅,야바초역
紀伊国,기이국
日本の市,일본의 시
新潟スタジアム,니가타 스타디움 빅 스완
平川市,히라카와시
九七式艦上攻撃機,나카지마 97식 함상공격기
小田急50000形電車,오다큐 전철 50000형 전동차
新宿NSビル,신주쿠 NS 빌딩
笠岡市,가사오카시
後志支庁,시리베시 지청
石狩支庁,이시카리 지청
明石藩,아카시번
高田藩,다카다번
大垣藩,오가키번
キネティックノベル,키네틱 노벨
善隣教,선린회
自由民主党の派閥,자유민주당의 파벌
上九一色村,가미쿠이시키촌
稚内駅,왓카나이역
橿原市,가시하라시
徳島市,도쿠시마시
佐久市,사쿠시
鈴鹿市,스즈카시
常陸太田市,히타치오타시
四国中央市,시코쿠추오시
日朝関係史,한일 관계
金大中事件,김대중 납치 사건
男女群島,단조 군도
ウェザーニューズ,웨더뉴스
国際連合大学,국제 연합 대학교
伊予市,이요시
常陸大宮市,히타치오미야시
アジアハイウェイ1号線,아시안 하이웨이 1호선
Perfume,퍼퓸
松江市,마쓰에시
江戸幕府,에도 막부
富士見市,후지미시
天皇,일본의 천황
新庄市,신조시
守谷市,모리야시
天王寺区,덴노지구
淀川区,요도가와구
天売島,데우리섬
川名駅,가와나역
日光東照宮,닛코 동조궁
香芝市,가시바시
稲敷市,이나시키시
知多市,지타시
2010年の日本シリーズ,2010년 일본 시리즈
菊花章,국화장
連合国軍占領下の日本,연합군 점령하 일본
三次市,미요시시
神栖市,가미스시
庄内通駅,쇼나이도리역
大江戸温泉物語,오에도온센 모노가타리
2010年アジア競技大会日本選手団,2010년 아시안 게임 일본 선수단
東静岡駅,히가시시즈오카역
新宿コマ劇場,신주쿠 코마 극장
旭駅,아사히역
新栄町駅,신사카에마치역
覚王山駅,가쿠오잔역
新宿住友ビルディング,신주쿠 스미토모 빌딩
京都大学数理解析研究所,교토 대학 수리해석 연구소
いすみ市,이스미시
渋川駅,시부카와역
豊後国,분고국
美濃国,미노국
大東亜共栄圏,대동아공영권
島原の乱,시마바라의 난
種子島,다네가섬
境港市,사카이미나토시
出雲大社,이즈모타이샤
豊岡市,도요오카시
山口市,야마구치시
勝浦市,가쓰우라시
角田市,가쿠다시
鹿角市,가즈노시
黒石市,구로이시시
壱岐島,이키섬
國學院大學,고쿠가쿠인 대학
対馬海流,쓰시마 해류
利尻島,리시리섬
井原市,이바라시
伊豆の国市,이즈노쿠니시
三沢市,미사와시
鳥栖駅,도스역
アルファ・システム,알파 시스템
津久見市,쓰쿠미시
和泉市,이즈미시
α,소니 알파
常滑市,도코나메시
潮来市,이타코시
貝殻島,시그날니섬
八王子市,하치오지시
府中市,후추시
山崎駅,야마사키역
日進市,닛신시
花見,하나미
町田市,마치다시
伊豆市,이즈시
喜多方市,기타카타시
四国旅客鉄道,시코쿠 여객철도
焼津市,야이즈시
駿河国,스루가국
昭和町駅,쇼와초역
りんくうタウン,린쿠타운
国縫駅,군누이역
安食駅,아지키역
黒松内駅,구로마쓰나이역
中ノ沢駅,나카노사와역
室蘭市,무로란시
JR,JR
碧南市,헤키난시
尾道市,오노미치시
ひたちなか市,히타치나카시
石谷信号場,이시야역
森駅,모리역
蘭越駅,란코시역
神楽岡駅,가구라오카역
植田駅,우에다역
多度津駅,다도쓰역
AKB48劇場,AKB48 극장
富士宮市,후지노미야시
門真市,가도마시
横手市,요코테시
五所川原市,고쇼가와라시
野球殿堂,일본 야구 전당
検非違使,게비이시
福島第二原子力発電所,후쿠시마 제2 원자력 발전소
日本銀行券,일본은행권
留萌支庁,루모이 지청
胆振支庁,이부리 지청
山の神,산신
岩国藩,이와쿠니번
相模原市,사가미하라시
佐賀市,사가시
佐倉市,사쿠라시
富津市,훗쓰시
蕨岱駅,와라비타이역
小沢駅,고자와역
静岡清水線,시즈오카 철도 시즈오카시미즈선
石倉駅,이시쿠라역
AKABEiSOFT2,아카베소프트2
伊豆急行線,이즈 급행 이즈 급행 선
黒岩駅,구로이와역
北豊津信号場,기타토요쓰역
筑後国,지쿠고국
摂津国,셋쓰국
伊勢国,이세국
箱根 駒ヶ岳ロープウェー,하코네 고마가타케 로프웨이
熱郛駅,넷푸역
野田生駅,노다오이역
Lump of Sugar,Lump of Sugar
昆布駅,곤부역
落部駅,오토시베역
ポケモンジェット,포켓몬 제트
谷中霊園,야나카 령원
市原市,이치하라시
元寇,원나라의 일본 원정
新横浜ラーメン博物館,신요코하마 라멘 박물관
元赤坂,모토아카사카
伊豆箱根鉄道,이즈하코네 철도
姫川信号場,히메카와역
大山観光電鉄大山鋼索線,오야마 케이블카
東山駅,히가시야마역
調布市,조후시
2007年世界陸上競技選手権大会,2007년 세계 육상 선수권 대회
福岡藩,후쿠오카번
高等専門学校,고등전문학교
飛鳥時代,아스카 시대
津田山駅,쓰다야마역
飯田市,이다시
ウチナーヤマトグチ,우치나 야마토구치
阪急阪神ホールディングス,한큐한신홀딩스
首都圏新都市鉄道,수도권 신도시 철도
相馬市,소마시
八重山列島,야에야마 제도
山梨市,야마나시시
MIRACLE LINUX,미러클 리눅스
