Madrid,馬德里
Navaleno,纳瓦莱诺
Nalda,纳尔达
Nafría de Ucero,纳夫里亚德乌塞罗
Muro de Aguas,穆罗德亚瓜斯
Munilla,穆尼利亚
Morón de Almazán,莫龙德亚尔马桑
Morales del Vino,莫拉莱斯德尔维诺
Montserrat,蒙特塞拉特修道院
Hinojosa del Campo,伊诺霍萨德尔坎波
Hiendelaencina,延德莱恩西纳
Guardo,瓜尔多
Grañón,格拉尼翁
Gordoncillo,戈尔东西略
Gómara,戈马拉
Golmayo,戈尔迈奥
Goizueta,戈伊苏埃塔
Sierra de Gata,加塔山脈
Fuentidueña,丰蒂杜埃尼亚
Fuentes de Béjar,丰特斯德韦哈尔
Fuentecén,丰特森
Fresnedilla,夫雷斯内迪利亚
Fonz,丰斯
Fontiveros,丰蒂韦罗斯
Fonfría,丰夫里亚
Fermoselle,费尔莫塞列
Canicosa de la Sierra,卡尼科萨德拉谢拉
Candilichera,坎迪利切拉
Campillo de Ranas,坎皮略德拉纳斯
Caminreal,卡明雷亚尔
Caleruega,卡莱鲁埃加
Cabezón de la Sierra,卡韦松德拉谢拉
Buendía,本迪亚
Briones,布里奥内斯
Boceguillas,博塞吉利亚斯
Boada,博阿达
Biel,别尔
Bermillo de Sayago,贝尔米略德赛阿戈
Barruecopardo,巴鲁埃科帕尔多
Bárcena de Pie de Concha,巴尔塞纳德彼德孔查
Barca,巴尔卡
Barásoain,巴拉索阿因
Baños de Rioja,巴尼奥斯德里奥哈
Bañares,巴尼亚雷斯
Azofra,阿索夫拉
Ausejo,奥塞霍
Atienza,阿蒂恩萨
Arnedillo,阿尔内迪略
Yanguas,伊安瓜斯
Vitigudino,比蒂古迪诺
Vinuesa,比努埃萨
Vilviestre del Pinar,比尔维耶斯特雷德尔皮纳尔
Villaturiel,比利亚图列尔
Villamanín,比利亚马宁
Villamañán,比利亚马尼扬
Villalba de Duero,比利亚尔瓦德杜埃罗
Villafranca de la Sierra,谢拉自由镇
Villa del Campo,坎波镇
Villacastín,比利亚卡斯廷
Viguera,比格拉
Viana de Duero,比亚纳德杜埃罗
Anguiano,安吉亚诺
Almarza,阿尔马萨
Aldealpozo,阿尔德亚尔波索
Aldealafuente,阿尔德亚拉丰特
Alcubilla de las Peñas,阿尔库维利亚德拉斯佩尼亚斯
Alcubilla de Avellaneda,阿尔库维利亚德亚韦利亚内达
Alconaba,阿尔科纳瓦
Alcanadre,阿尔卡纳德雷
Alar del Rey,阿拉尔德尔雷
Aísa,艾萨
Aguilar del Río Alhama,阿吉拉尔德尔里奥阿尔阿马
Agüero,阿格罗
Adradas,阿德拉达斯
Adanero,阿达内罗
El Pinar de El Hierro,埃尔皮纳尔德埃尔耶罗
Museo Thyssen-Bornemisza,提森-博内米萨博物馆
Casa Batlló,巴特略之家
Palau de la Música Catalana,加泰罗尼亚音乐宫
Circuito de Jerez,赫雷斯賽道
Montañas de Prades,普拉德斯山脈
Casa Milà,米拉之家
Centro Cultural Internacional Oscar Niemeyer,奧斯卡·尼邁耶國際文化中心
Saucedilla,绍塞迪利亚
Conquista de la Sierra,孔基斯塔德拉谢拉
Iglesia de la Concepción,无玷始胎堂
Arcos de las Salinas,阿尔科斯德拉萨利纳斯
