Portugal,ポルトガル
Copa Europeia/Sul-Americana de 2004,インターコンチネンタルカップ・(サッカー)2004
Funicular dos Guindais,グインダイスのケーブルカー
Base Aérea do Montijo,モンティジョ航空基地
Adidas Roteiro,ロテイロ
Eleições presidenciais portuguesas de 1986,1986年ポルトガル共和国大統領選挙
Seleção Portuguesa de Futebol Sub-17,U-17サッカーポルトガル代表
Eleições presidenciais portuguesas de 1991,1991年ポルトガル共和国大統領選挙
Seleção Portuguesa de Râguebi Sevens Masculino,7人制ラグビー男子ポルトガル代表
Estádio de São Miguel,エスタディオ・デ・サン・ミゲル・(ポンタ・デルガダ)
União Desportiva Vilafranquense,UDヴィラフランケンセ
Casa e Capela dos Coimbras,コインブラス礼拝堂
Queijo Terrincho,テリンチョ
Queijo picante da Beira Baixa,ピカンテ・ダ・ベイラ・バイシャ
Portugal nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのポルトガル選手団
Milagre do Sol,太陽の奇跡
Farol de Santa Clara,サンタ・クララ燈台
Base Aérea de Sintra,シントラ航空基地
Estação Baixa-Chiado,バイシャ＝シアード駅
Sé Velha de Coimbra,コインブラの旧大聖堂
Eusébio Cup,エウゼビオ・カップ
Final da Liga Europa da UEFA de 2013–14,UEFAヨーロッパリーグ・2013-14・決勝
Aeródromo Militar de Lisboa,リスボン軍用飛行場
Base Aérea N.º 8,オヴァール軍用飛行場
STOXX Europe 600,ストックス欧州600指数
Relações entre Japão e Portugal,日本とポルトガルの関係
Arco da Vila,アルコ・ダ・ヴィラ
ATP de Estoril,ミレニアム・エストリル・オープン
Espinho (Portugal),エスピーニョ
Primeira Liga de 2014–15,プリメイラ・リーガ2014-2015
Copa do Mundo FIFA de 2030,2030・FIFAワールドカップ
Arte mudéjar,ムデハル様式
Clube Desportivo da Cova da Piedade,CDコヴァ・ダ・ピエダーデ
Universidade de Coimbra - Alta e Sofia,コインブラ大学-アルタとソフィア
Portugal nos Jogos Olímpicos de Inverno de 2014,2014年ソチオリンピックのポルトガル選手団
Algarve Cup de 2016,アルガルヴェ・カップ2016
Cruz Vermelha Macau,マカオ紅十字会
Festival Eurovisão da Canção 2018,ユーロビジョン・ソング・コンテスト2018
Chapitô,チャピト
Algarve Cup de 2017,アルガルヴェ・カップ2017
Portugal nos Jogos Olímpicos de Inverno de 2018,2018年平昌オリンピックのポルトガル選手団
Challenger Cup de Voleibol Masculino de 2018,2018年FIVB男子バレーボール・チャレンジャーカップ
Portugal nos Jogos Olímpicos de Verão de 2020,2020年東京オリンピックのポルトガル選手団
Futsal do Sport Lisboa e Benfica,SLベンフィカ・(フットサル)
Futsal do Sporting Clube de Portugal,スポルティングCP・(フットサル)
Extinction Rebellion,エクスティンクション・レベリオン
B-SAD,ベレネンセスSAD
Final da Liga dos Campeões da UEFA de 2020–21,UEFAチャンピオンズリーグ・2020-21・決勝
Final da Liga dos Campeões da UEFA de 2019–20,UEFAチャンピオンズリーグ・2019-20・決勝
Liga das Nações da UEFA de 2018–19 – Fase Final,UEFAネーションズリーグ2018-19・決勝ラウンド
Portugal nos Jogos Olímpicos de Inverno de 2022,2022年北京オリンピックのポルトガル選手団
Voo Air Astana KC1388,エア・アスタナ1388便事故
Pandemia de COVID-19 na Europa,ヨーロッパにおける2019年コロナウイルス感染症の流行状況
Primeira Liga de 2020–21,プリメイラ・リーガ2020-2021
Pandemia de COVID-19,新型コロナウイルス感染症の世界的流行・(2019年-)
Grande Prémio de Portugal de 2020,2020年ポルトガルグランプリ
Jardim Botânico da Universidade de Coimbra,コインブラ大学植物園
Conímbriga,コニンブリガ
XXIII Governo Constitucional de Portugal,第23次ポルトガル立憲政府
Surto de hepatite aguda grave em crianças em 2022,2022年原因不明の小児肝炎
Grande Prémio de Portugal de 2021,2021年ポルトガルグランプリ
Surto de varíola dos macacos em 2022,2022年のエムポックス流行
Estádio Pina Manique,エスタディオ・ピナ・マニケ
AVS Futebol SAD,AVSフトゥボルSAD
Milagre eucarístico de Santarém,サンタレンの聖体の奇跡
