반기문,潘基文
최성봉,チェ・ソンボン
여홍철,呂洪哲
진갑용,陳甲龍
조성모,チョ・ソンモ
루이스 카를루스 페르난지스,ルイス・カルロス・フェルナンデス
노민우,ノ・ミヌ
하희라,ハ・ヒラ
황병기,ファン・ビョンギ
모윤숙,毛允淑
윤예지,ユン・イェジ
임성아,イム・ソンア
이상돈,イ・サンドン
방영웅,方榮雄
이호,李澔
엄민영,厳敏永
김영선,金永善
김정렴,金正濂
이규호,李奎浩
이원경,李源京
조세형,趙世衡
권철현,権哲賢
안희제,安熙済
훈 (가수),フン
여민정 (성우),ヨ・ミンジョン
염동균,廉東均
이홍,李泓
윤일상,ユン・イルサン
윤종빈,ユン・ジョンビン
윤주상,ユン・ジュサン
염수정,廉洙政
이광수,イ・グァンス
윤후명,尹厚明
박진섭,朴珍燮
장윤주,チャン・ユンジュ
김훈,金薫
유현 (축구 선수),劉鉉
유진선,兪鎭先
유진룡,劉震竜
이원복,李元馥
정현욱,鄭現旭
김태원,キム・テウォン
염동균,廉東均
오세근,呉世根
장이욱,張利郁
양미경,ヤン・ミギョン
이선빈,イ・ソンビン
이성재 (축구 선수),イ・ソンジェ (1987年生のサッカー選手)
이성재 (1976년),李成宰
이용수 (축구인),李容秀
이용 (1986년),李鎔
이용 (1989년),李龍
이윤기,イ・ユンギ
김용식,金溶植
채명신,蔡命新
김동섭,金東燮
정호용,鄭鎬溶
김용준,キム・ヨンジュン
차동훈,車東訓
차기석,チャ・ギソク
임상협,林尚協
전주도,全周都
김영희 (농구 선수),金英姫
이형숙,李亨淑
주현,朱鉉
켄지,Kenzie
메이슨 문 무어하우스,ムン・メイスン
유기흥,劉基興
유상우,ユ・サンウ
유원상,柳元相
이우영,李宇韺
유대현,柳大鉉
유한준,柳漢俊
이왕표,李王杓
장기려,張起呂
장미희,チャン・ミヒ
송창식 (가수),宋昌植
장소연,チャン・ソヨン
나태주,ナ・テジョー
이승훈,李承勲
안치용,安致溶
안경진,アン・ギョンジン
이정훈,李政勳
이정식,李貞植
양현종,梁玹種
문익환,文益煥
이유진,イ・ユジン
MC 스나이퍼,MC Sniper
김인,金寅
정상영,鄭相永
최철한,崔哲瀚
정우성,チョン・ウソン
가희,カヒ
오진혁,呉真爀
홍정호,洪正好
박영훈,朴永訓
변영주,ピョン・ヨンジュ
홍수환,洪秀煥
랜디 김,ランディ・キム
김성준,金性俊
정호승,鄭浩承
이수성,李寿成
김창룡,金昌龍
이옥성,李玉城
조혜련,チョ・ヘリョン
복거일,卜鉅一
감우성,カム・ウソン
신명철,申命澈
조양호,趙亮鎬
임충현,林忠炫
임현준,林玄埈
장욱진,張旭鎮
장용석,チャン・ヨンソク
윤석찬,尹錫璨
조준호,曺準好
최강희,崔康熙
이수영,イ・スヨン
조용필,チョー・ヨンピル
정몽구,鄭夢九
빅토르 시몽이스,ヴィクトール・シモンス
최나연,チェ・ナヨン
차상광,車相光
차태성,車泰成
차영환,車永煥
채의진,チェ・ウイジン
우영,ウヨン
김석훈,キム・ソックン
김현주,キム・ヒョンジュ
이현우,イ・ヒョヌ
조태용,趙太庸
조용철,趙容徹
조용태,チョ・ヨンテ
이싸빅,李サビク
강제규,カン・ジェギュ
임권택,イム・グォンテク
유시민,柳時敏
송승현,ソン・スンヒョン
유인촌,ユ・インチョン
윤정옥,尹貞玉
윤대녕,尹大寧
이영은 (1982년),イ・ヨンウン
이영진 (배우),イ・ヨンジン
이송희일,李宋喜一
이상윤,イ・サンユン
최현배,崔鉉培
이태식,李泰植
임창정,イム・チャンジョン
김신욱,金信煜
조인철,趙麟徹
조재기,趙在基
김서영,キム・ソヨン
노병준,盧炳俊
박한이,朴漢伊
왕빛나,ワン・ビンナ
김동진,金東振
석민희,ソク・ミンヒ
박서보,パク・ソボ
리영희,李泳禧
조남석,趙南錫
조선작,趙善作
조세희,趙世熙
조소현,趙昭賢
조성진,趙成眞
최영희,崔栄喜
김선빈,金善彬
조오련,趙五連
남진,ナム・ジン
염혜선,ヨム・ヘソン
장건상,張建相
김환진,金煥珍
김석수,金碩洙
이승호,李丞鎬
심민,シンミン
윤영관,尹永寬
유희열,ユ・ヒヨル
윤신영,尹信榮
윤성열,尹誠悅
렉시,レクシー
하대성,河大成
이호성,李昊星
윤명준,尹明準
윤능민,尹能民
윤문식,ユン・ムンシク
황보라,ファン・ボラ
황인영,ファン・イニョン
고영구,高泳耉
고윤후,コ・イゴン
최창호,崔昌鎬
장은경,張銀景
배종옥,ペ・ジョンオク
김선아,キム・ソナ
이만희,イ・マニ
이학래,李鶴来
도끼,トッキ
조병화,趙炳華
조병영,趙炳瑛
조찬호,趙澯鎬
조중연 (축구인),趙重衍
조해일,趙海一
조해렴,チョ・ヘリョム
조진호 (야구 선수),曹珍鎬
이박사,李博士
강재섭,姜在渉
김영철,金泳徹
임현식,イム・ヒョンシク
장동우,ドンウ
마이클 스위프트,マイケル・スウィフト
한은선,ハン・ウンソン
홍성지,洪性志
송은채,カン・ウンビ
간미연,カン・ミヨン
전혜빈,チョン・ヘビン
박은혜,パク・ウネ
오주원,呉周原
오선진,呉先真
엄정욱,嚴正郁
강유택,姜儒澤
김재걸,金在杰
김주찬,金周燦
김주호,金主鎬
김성배,金成培
김대균,金大鈞
김태완,金泰完
구옥희,具玉姫
박소라,パク・ソラ
곽지민,クァク・ジミン
박장순,朴章洵
최진한,崔震澣
최주환,崔周煥
최정한,崔正漢
채연,チェヨン
주진모,チュ・ジンモ
K,K
최불암,チェ・ブラム
한다민,ハン・ダミン
진중권,陳重権
윤영선,尹栄善
정유석,チョン・ユソク
최인호,崔仁浩
최재수,崔在洙
최진수,催進樹
한혜숙,ハン・へスク
고나은,カン・セジョン
고세원,コ・セウォン
한고은,ハン・ゴウン
김보형,キム・ボヒョン
이혜영,イ・ヘヨン
이강,李強
이정석,李正錫
이숭용,李崇勇
이성우,李晟宇
이성재,李聖宰
이지희,李知姫
이도형,李到炯
이보근,李輔根
주민준,イ・ヨンホ
이사강,イ・サガン
이지애,イ・ジエ
오재원,呉載元
안재현,アン・ジェヒョン
현영,ヒョンヨン
김재욱,キム・ジェウク
오지호,オ・ジホ
김예령,キム・イェリョン
민지영,ミン・ジヨン
김현수,キム・ヒョンス
김현숙,キム・ヒョンスク
이영덕,李栄德
조봉암,曺奉岩
곽상훈,郭尚勲
하준임,ハ・ジュンイム
최근식,崔根植
최경자,崔敬子
최경환,崔炅煥
최진혁,チェ・ジニョク
최광식,崔光植
최상훈,チェ・サンフン
최보경,崔普慶
백예린,ペク・イェリン
박시현,パク・シヒョン
라비,ラビ (VIXX)
석하정,石賀浄
박승현,パク・スンヒョン
양하은,梁夏銀
윤병세,尹炳世
유세윤,ユ・セユン
이인성,イ・インソン
이영후,イ・ヨンフ
김정은,キム・ジョンウン
유이,ユイ
박성웅,パク・ソンウン
최성우 (성우),チェ・ソンウ
최승호 (시인),崔勝鎬
최승현,チェ・スンヒョン
송하윤,ソン・ハユン
배유나,ペ・ユナ
김선우,金善宇
최남선,崔南善
정순옥,鄭順玉
서채연,サ・チェヨン
신성현,申成鉉
강수지,スージー・カン
서용빈,徐容彬
서관수,徐冠秀
송한기,宋韓基
최명길,チェ・ミョンギル
한대화,韓大化
기욤 패트리,ギヨーム・パトリー
방정환,方定煥
정웅인,チョン・ウンイン
이영자,イ・ヨンジャ
영재,ヨンジェ
류병현,柳炳賢
유효진,劉孝真
여운계,ヨ・ウンゲ
이시영,イ・シヨン
김승우,キム・スンウ
곽도원,クァク・ドウォン
곽정철,郭正哲
구민정,ク・ミンジョン
금민철,琴民鐡
김강,金剛
김경득,金敬得
김경원,金瓊元
김경준,キム・ギョンジュン
데니우송 마르틴스 나시멘투,デニウソン・マルティンス・ナシメント
조한승,趙漢乗
김원기,金原基
한왕용,韓王龍
문희준,ムン・ヒジュン
홍석천,ホン・ソクチョン
공옥진,孔玉振
유수영,シュー
차경복,車敬福
강풀,カン・ブル
서봉수,徐奉洙
박예진,パク・イェジン
김태균,キム・テギュン
브라이언,ブライアン・ジョー
강소라,カン・ソラ
최명훈,崔明勲
우선희,禹仙姬
최덕주,崔徳柱
최한빛,チェ・ハンビッ
조여정,チョ・ヨジョン
윤흥길,尹興吉
송지만,宋志晩
서민정,ソ・ミンジョン
김남진,キム・ナムジン
김찬우 (배우),キム・チャヌ
김영환,金永煥
김정현 (배우),キム・ジョンヒョン
김정난,キム・ジョンナン
황지만,黄智万
오인혜,オ・インヘ
구원,クウォン
천우희,チョン・ウヒ
김국진,キム・グクジン
김규철,キム・ギュチョル
김남석,キム・ナムソク
김대유,金村大裕
김대중,金大中
김도연,金度演
김도현,キム・ドヒョン
김동명,金東鳴
김복동,金復東
최점환,崔漸煥
박영균,朴永均
조인주,曹仁柱
임경완,林炅玩
배기석,裵基錫
신종훈,シン・ジョンフン
김뢰하,キム・レハ
김만제,金満堤
김명성,金明成
김명수,キム・ミョンス
김무종,木本茂美
김민성,金旼成
김병세,キム・ビョンセ
차인표,チャ・インピョ
김재형,キム・ジェヒョン
김정은,金正銀
김지순,智順
김준표,金振杓
김창국,金昌国
김창완,キム・チャンワン
김철,金哲
권리세,リセ
백승환,ペク・スンファン
나혜미,ナ・ヘミ
정훈,鄭勲
정현숙,鄭賢淑
정준양,鄭俊陽
오광록,オ・グァンロク
송미진,ソン・ミジン
황성웅,ファン・ソンウン
양방언,梁邦彦
김유진,金裕晋
형민우,邢民友
류시훈,柳時熏
김영호,キム・ヨンホ
김미경,キム・ミギョン
김수현,キム・スヒョン
김연주,キム・ヨンジュ
김봉웅,つかこうへい
김상진,金尚珍
김상훈,金相勳
김새롬,キム・セロム
김성래,金聲來
김성종,金聖鍾
김세련,金世錬
김세진,キム・セジン
김소운,金素雲
김태균,金泰均
문성민,ムン・ソンミン
강우석,康祐碩
최원권,崔源權
최원형,チェ・ウォニョン
최우혁,チェ・ウヒョク
최용신,崔鎔信
최민환,チェ・ミンファン
최몽룡,崔夢龍
최무룡,チェ・ムリョン
최명성,チェ・ミョンソン
최상국,崔相國
배병우,裵炳雨
이형철,李炯哲
김유리,キム・ユリ
권오준,権五俊
이정우,李廷佑
이영유,リ・ヨンユ
최희용,崔熙墉
오하나,オ・ハナ
김한길,金ハンギル
김혁민,金赫珉
김현옥,金玄玉
김형석,キム・ヒョンソク
김혜경,キム・ヘギョン
김혜은,キム・ヘウン
김홍식,金弘植
김환기,金煥基
주요한,朱耀翰
전주원,銭周媛
천영우,千英宇
최윤겸,崔允謙
천상병,千祥炳
추병직,秋秉直
최경주,崔京周
김병현,金炳賢
유창혁,劉昌赫
조병옥,趙炳玉
염정아,ヨム・ジョンア
최영은,チェ・ヨンウン
최영준,崔栄峻
최윤칠,崔崙七
이형철,イ・ヒョンチョル
이경진,イ・ギョンジン
해이,パク・チヨン
이경희 (1969년),イ・ギョンヒ
이수혁,イ・スヒョク
박서준,パク・ソジュン
김수임,金寿任
김승연,金升淵
김승준,金承俊
김승준,キム・スンジュン
김신부,金城信夫
김실,田中実
김연자,キム・ヨンジャ
김연지,キム・ヨンジ
김영선,キム・ヨンソン
최영이 (종교인),崔栄伊
박주미,パク・チュミ
김영아,ヨンア
김원웅,金元雄
김원형,金圓衡
김원희,キム・ウォニ
김윤아,キム・ユナ
김장,キム・ジャン
김재박,金在博
김동률,キム・ドンリュル
이재진,イ・ジェジン
우장춘,禹長春
피터 정,ピーター・チョン
임태경,イム・テギョン
엔,N
김윤서,キム・ユンソ
이기광,イ・ギグァン
고나은,コ・ウリ
장주원,張周元
조보아,チョ・ボア
조형기,チョ・ヒョンギ
김이영,キム・イヨン
김희원,キム・ヒウォン
김용옥,金容沃
도동현,都東顯
도금봉,ト・グンボン
강별,カン・ビョル
손진태,孫晋泰
이상봉,イ・サンボン
전월선,田月仙
오원빈,WONBIN
최승인,崔昇仁
최수진,チェ・スジン
최수빈,崔守斌
이용규,李容圭
박경완,朴勍完
김수경,金守経
박재홍,朴栽弘
강민호,姜珉鎬
양기탁,梁起鐸
김정욱,キム・ジョンウク
김숙,キム・スク
김수연,キム・スヨン
김여희,キム・ヨヒ
한보름,ハン・ボルム
임명옥,イム・ミョンオク
유지태,ユ・ジテ
조갑제,趙甲濟
휘성,フィソン
박명수,パク・ミョンス
이은철,イ・ウンチョル
김수미,キム・スミ
임슬옹,イム・スロン
정아,ジョンア
루나,ルナ (韓国歌手)
여운곤,呂運坤
박찬영,朴讃栄
김진우,キム・ジヌ
윤영숙,尹映淑
디에구 올리베이라 지 케이로스,ディエゴ・ケイロス・デ・オリヴェイラ
김창준,ジェイ・キム
전병관,全炳寛
정의선,鄭義宣
정은순,鄭銀順
양재호,梁宰豪
이영유,イ・ヨンユ
이선균,イ・ソンギュン
유성제,柳　成祭
김인경,金寅敬
권창훈,権昶勲
이수경,イ・スギョン
지석진,チ・ソクジン
손호영,ソン・ホヨン
마일영,馬一英
문지애,文智愛
문현정,文鉉晶
Rihwa,Rihwa
미르,ミル
Ryu,Ryu (歌手)
박경태,朴倞兌
박기남,朴基南
일레인 김,エレイン・キム
윤진이,ユン・ジニ
김우빈,キム・ウビン
곽경근,郭慶根
이회성,李恢成
최양일,崔洋一
석진욱,石晋旭
설운도,ソル・ウンド
손영민,孫詠敏
손정아,ソン・ジョンア
송광민,宋光敏
송새벽,ソン・セビョク
송일수,石山一秀
송재박,吉本博
신도성,愼道晟
이지영 (야구 선수),李知栄
이 재현,G-MA$TA
황산 (삽화가),H2SO4
주석 (가수),JoosuC
리오 케이코아,L.E.O
메이린,MEILIN
듀나,デュナ
레베카 김,レベッカ・キム
황일수,黄一琇
장원석,張原碩
이동현,イ・ドンヒョン
이석,李錫
강지환,カン・ジファン
제이민,J-Min
황연석,ファン・ヨンソク
유아인,ユ・アイン
김정화,キム・ジョンファ
황정리,ウォン・チェン・リー
최지인,チェ・ジイン
귀인 이씨,光華堂貴人李氏
유재하,ユ・ジェハ
최효진,崔孝鎮
양동근,ヤン・ドングン
전광렬,チョン・グァンリョル
나카무라 유리,中村ゆり
아라이 히로후미,新井浩文
소유,ソユ
배유미,ペ・ユミ
손민한,孫敏漢
MC몽,MCモン
신지애,申智愛
이승호,李承浩
정대현,鄭大炫
박종화,朴鍾和
박준서,朴夋序
박지미,パク・チミ
박철우,パク・チョルウ
박현준,朴顯俊
박희본,パク・ヒボン
방수원,房水源
배영섭,裵栄燮
김명완,金明完
나희덕,羅喜徳
김사인,キム・サイン
곽재구,郭在九
김학규,金学奎
이주형,李柱衡
지해,ジヘ
유옥렬,柳玉烈
이종원 (축구 선수),李鐘元
신영준,辛詠俊
김오규,キム・オキュ
에바 포피엘,エバ・ポピエル
안선주,アン・ソンジュ
김인완,金仁完
차성미,チャ・ソンミ
심형래,シム・ヒョンレ
채림,チェリム
김대은,金大恩
고수희,高秀喜
공성진,孔星鎮
권덕용,權德龍
정은채,チョン・ウンチェ
정대현,デヒョン
당성증,唐聖増
임학수,林学洙
심정수,沈正洙
신사동호랭이,新沙洞の虎
신용운,申龍雲
신우,シヌゥ
신종길,辛鍾吉
심동섭,沈東燮
심상정,沈相奵
장도원,ドン・チャン
강경준,カン・ギョンジュン
정성숙,鄭成淑
윤종용,尹鍾龍
최필립 (1979년),チェ・フィリップ
최윤영,チェ・ユニョン (1986年生の女優)
혜리,ヘリ
옥한흠,玉漢欽
온소진,温昭珍
우정신,ウ・ジョンシン
원혜영,元恵栄
유동룡,伊丹潤
유동훈,劉東勳
유봉식,青木定雄
유승진,柳承辰
유일한,柳一韓
유재웅,兪在雄
류지현,柳志炫
김대의,金大儀
김현중,キム・ヒョンジュン
김건한,金建翰
나미,ナミ
나주환,羅州煥
남지연,ナム・ジヨン
노계현,ノ・ケヒョン
노성일,盧聖一
노승호,ノ・スンホ
노장진,盧長震
노천명,盧天命
연준석,ヨン・ジュンソク
임현식 (1992년),イム・ヒョンシク
김상진,キム・サンジン
허영무,ホ・ヨンム
이미륵,李彌勒
박충균,朴忠均
박노민,朴魯珉
박상철,パク・サンチョル
박상혁,朴相赫
박순천,朴順天
박옥수,朴玉洙
박용오,朴容旿
박은숙,パク・ウンスク
박정권,朴正権
박종윤,朴鐘潤
박종철,朴鍾哲
박정아,パク・チョンア
김호,金皓
유진,ユジン
강상중,姜尚中
조민기,チョ・ミンギ
한상훈,韓尚勲
엄현정,オム・ヒョンジョン
박만복,朴萬福
양동현,梁東炫
우성용,禹成用
허재원,許宰源
임방언,イム・バンウン
김호철,キム・ホチョル
백지영,ペク・チヨン
김치우,金致佑
배장호,裵莊鎬
배정미,ペ・ジョンミ
백낙청,白楽晴
변영로,卞栄魯
부완혁,夫琓爀
서태화,ソ・テファ
서영은,ソ・ヨンウン
서영은,徐永恩
이성민,李聖敏
전가을,田ガウル
김기태,金杞泰
송진우,宋津宇
심은하,シム・ウナ
임창용,林昌勇
송승준,宋勝準
최민호,崔敏浩
오연수,オ・ヨンス
장동현,チャン・ドンヒョン
김영근,金英根
제로,Zero (歌手)
안병직,安秉直
안재홍,安在鴻
양동일,梁東一
양성길,梁成吉
양유찬,梁裕燦
양의지,梁義智
채은정,チェ・ウンジョン
연경흠,延卿欽
오상순,呉相淳
오인성,オ・インソン
오정복,呉正福
차승원,チャ・スンウォン
홍수현,ホン・スヒョン
김지수,キム・ジス
선우은숙,ソヌ・ウンスク
김동주,金東柱
세훈,セフン
수호,スホ
박찬호,朴賛浩
옥주현,オク・チュヒョン
박지윤,パク・チユン
설경구,ソル・ギョング
정명석,鄭明析
구대성,具臺晟
정준호,チョン・ジュノ
카이,カイ
이본,イ・ボン
우현 (가수),ナム・ウヒョン
조성형,チョ・ソンヒョン
강신우,姜信寓
조민우,趙民宇
유진오,兪鎮午
유해준,ユ・ヘジュン
유해진,ユ・ヘジン
윤경로,尹慶老
윤규진,尹奎真
윤길중,尹吉重
윤길현,尹吉鉉
윤미나,ユン・ミナ
윤석민,尹錫珉
김상경,キム・サンギョン
이진영,李晋暎
황보,皇甫恵貞
이특,イトゥク
권기옥,クォン・キオク
최익현,崔益鉉
추신수,秋信守
황보관,皇甫官
조우진,趙佑鎮
이우선,李宇善
이원석,李沅錫
이윤우,イ・ユンウ
이윤형,李允馨
이인성,イ・インソン
이인제,李仁済
이재용,イ・ジェヨン
한혜령,韓兮領
한현희,韓賢熙
한현숙,ハン・ヒョンスク
김동희,金東煕
문창진,文昶辰
이민수,李珉洙
이인화,李仁和
기형도,奇亨度
고희동,高義東
이충남,山本忠男
이학인,李學仁
이한위,イ・ハヌィ
이한진,李翰珍
이현선,イ・ヒョンソン
이현진,イ・ヒョンジン
이호준,李昊俊
이희호,李姫鎬
인태식,印泰植
임기준,任基準
고임표,コ・インピョ
민해경,ミン・ヘイギョン
이루,イル
이솜,イ・ソム
김준엽,金俊燁
보라,ユン・ボラ
유소연,柳簫然
강정구,姜禎求
강창일,姜昌一
강혜미,カン・ヘミ
계용묵,桂鎔黙
계은숙,桂銀淑
고권삼,高権三
고우석,高宇錫
고원부,吉村元富
고유진,コ・ユジン
고효준,高孝準
최형민,チョ・ヒョンミン
최지성,崔志成
이대진,李大振
권영진,権泳臻
권예영,クォン・イェヨン
권오기,権五琦
권오병,權五柄
권오성,クォン・オソン
권오을,権五乙
권용운,クォン・ヨンウン
권은희,権垠希
권이종,権彛鐘
이준구,イ・ジュング
최윤,崔允
윤미라,ユン・ミラ
윤성현,尹盛鉉
윤성혜,ユン・ソンヘ
윤요섭,尹ヨソプ
윤제균,ユン・ジェギュン
은영선,ウン・ヨンソン
이광재,李光宰
이기택,李基澤
이상열,李尚烈
이대형,李大炯
이동원,イ・ドンウォン
이만기,イ・マンギ
이배영,李培永
이범석,李範錫
이병기,李秉岐
이보람,イ・ボラム
김원일 (축구 선수),金源一
이재권,李在権
주현미,チュ・ヒョンミ
신현준,シン・ヒョンジュン
박성화,朴成華
이종욱,李鍾旭
이병규,李炳圭
시우민,シウミン
비범,ビボム
피오,P.O
한민구,韓民求
한무숙,韓戊淑
채정안,チェ・ジョンアン
정두언,鄭斗彦
장외룡,張外龍
김신영,金信泳
하성민 (축구 선수),河成敏
함형규,咸炯揆
함기용,咸基鎔
한봉수,ボン・スー・ハン
한대수,韓大洙
한그루,韓グル
권익현,権翊鉉
권일수,クォン・イルス
권재홍,クォン・ジェホン
권정달,権正達
권중동,權重東
권중돈,権仲敦
권진규,権鎮圭
권진영,クォン・ジニョン
권태술,権泰述
권태신,権泰信
권태원,クォン・テウォン
권태호,クォン・テホ
이상화,李相和
이상훈,李相薫
이상훈,李相勳
이성순,李聖淳
이소라,イ・ソラ
이순자,李順子
이순철,李順喆
이승복,李承福
이승윤,李承潤
이우민,李禹旼
이용훈,李勇勳
최혜인,崔惠仁
정호원,チョン・ホウォン
김수로,キム・スロ
남규리,ナム・ギュリ
이언,イ・オン
이어령,李御寧
이영구,木山英求
이영훈,李栄薫
이영희,イ・ヨンヒ
한영실,韓栄実
서희경,徐希ギョン
박희영,朴熙栄
김진만 (1918년),金振晩
김진민,キム・ジンミン (演出家)
김진복 (1924년),金鎮福
김진성,金珍成
김진우 (투수),金鎭尤
이재정,李在禎
이정민,李貞旼
이종원,李鍾元
이종환,李鍾煥
이민혁,ミニョク
이창환,イ・チャンファン
송혜교,ソン・ヘギョ
김민준,キム・ミンジュン
김현정,キム・ヒョンジョン
최종훈,チェ・ジョンフン
한석규,ハン・ソッキュ
이대호,李大浩
김명민,キム・ミョンミン
정몽준,鄭夢準
허장강,ホ・ジャンガン
허세욱 (1953년),許世旭
김희경,キム・ヒギョン
여호민,ヨ・ホミン
이아름,韓雅凜
김진욱,金鎭旭
김진웅,金珍雄
김진태 (배우),キム・ジンテ
김진희 (아나운서),金鎭熹
김창규 (1920년),金昌圭
오영실,オ・ヨンシル
강승윤,カン・スンユン
나비드,NAVID
박광일,朴光一
박건 (축구 선수),朴建
신하균,シン・ハギュン
송민순,宋旻淳
조동건,趙東建
조세권,趙世權
임수혁,任秀赫
임종국,林鍾国
장명부,福士敬章
장종훈,張鍾勲
장호연,張浩淵
전상국,全商国
전영택,田栄沢
전우엽,田玗曄
전재희,全在姫
전준우,田峻玗
전준호,田俊鎬
전진한,銭鎮漢
정광태,チョン・グァンテ
정남규,チョン・ナムギュ
박성우,朴晟佑
이완,イ・ワン
권환,權煥
귀귀,グィグィ
금수현,金守賢
금진호,琴震鎬
금태섭,琴泰燮
기은세,キ・ウンセ
길달호,キル・タロ
김기승,金基昇
김기진,金基鎮
김기춘,金淇春
김기택 (시인),キム・ギテク
김기현 (1959년),金起炫
김기현 (1989년),金起賢
김기흥 (1938년),金基興
김길수,金吉洙
김길호,キム・ギロ
정민태,鄭珉台
장원삼,張洹三
박노자,朴露子
박진만,朴鎮萬
김민재,金敏宰
한기주,韓基周
정근우,鄭根宇
한채영,ハン・チェヨン
박해일,パク・ヘイル
김가은,キム・ガウン
김각중,金珏中
김갑,金甲
김갑수 (정치인),キム・ガプス
김갑태,金甲泰
김강률,金江栗
김강일,キム・ガンイル
김겨울,キム・ギョウル
김경남,金慶男
강의석,カン・イソク
정수라,チョン・スラ
정수일,鄭守一
정용운,鄭用雲
정유미,チョン・ユミ
정의신,鄭義信
정인욱,鄭寅煜
정재복,鄭載福
정재은,チェウニ
조동화,趙東和
조성환,趙晟桓
조순,趙淳
조승수,趙承洙
조영훈,趙煐勳
CUTEG,CUTEG
강경식,姜慶植
강구한,カン・グハン
강동우,姜東佑
강명운,カン・ミョンウン
강병수,大原秉秀
강석희,姜碩煕
강수진,姜秀珍
강영식,姜永植
강윤구,姜允求
강윤지,Yoonji
정동환,チョン・ドンファン
정민철,鄭珉哲
정상호,鄭相昊
정성철,鄭成哲
정성훈,鄭成勲
정세균,丁世均
신승훈,シン・スンフン
김완선,キム・ワンソン
이지아,イ・ジア
조은별,チョ・ウンビョル
조정은,チョ・ジョンウン
조태수,趙兌洙
주동식,宇田東植
주요섭,朱耀燮
진도희,ジン・ドヒ
차일목,車日穆
채민서,チェ・ミンソ
한상혁,ハン・サンヒョク
한수림,ハン・スリム
한동일,ハン・ドンイル
나홍진,ナ・ホンジン
하정우,ハ・ジョンウ
정보석,チョン・ボソク
김태한 (뮤지컬 배우),キム・テハン
김태형,金太亨
김태환 (1943년),金泰煥
김태환 (1976년),キム・テファン
김태환 (희극인),キム・テファン
김태훈,金泰勲
김태훈 (1987년),金太勲
김태훈 (음악 평론가),キム・テフン
김택술,金宅述
김택기,金宅起
김판술,金判述
공대유,コン・テユ
김경도 (1985년),金竟道
김경란,キム・ギョンナン
김경룡,キム・ギョンリョン
김경민 (1955년),金慶珉
김경배 (1895년),金庚培
김경애 (배우),キム・ギョンエ
김경언,金京言
김경욱 (소설가),金勁旭
김경재 (1942년),金景梓
김경진,金慶珍
김경한,金慶漢
김경화,キム・ギョンファ
허웅,許雄
허준호,ホ・ジュノ
허창수,許昌秀
현정은,玄貞恩
호사카 우지,保坂祐二
임은아,イム・ウナ
이유,イユ
길영희,吉瑛羲
길옥윤,吉屋潤
길용우,キル・ヨンウ
길전식,吉典植
길종섭,吉宗燮
길정우,吉炡宇
길창덕,吉昌悳
김가영,キム・ガヨン
김관동,金寛童
김광균,金光均
김광림 (1948년),金光琳
김광수,キム・グァンス
김광수,金光秀
김광일 (1939년),金光一
김광진 (1964년),キム・グァンジン
김교중,金教中
김교흥,金教興
김국환,キム・グクファン
김규민 (배우),キム・ギュミン
김규식 (북로군정서),金圭植
백성현,ペク・ソンヒョン
JAY B,JAY B
수애,スエ
최민수,チェ・ミンス
장사익,チャン・サイク
황재원,黄載元
채병용,蔡秉龍
채종범,蔡鍾範
최병렬,崔秉烈
최영필,崔映弼
최용규,崔龍圭
최윤희,チェ・ユニ
최인훈,崔仁勲
최일언,崔一彦
최형우,崔炯宇
김추월,キム・チュウォル
김춘진,金椿鎮
김충수,金忠銖
김칠성,金七星
김치열,金致烈
김태규,キム・テギュ
김태술,金泰術
김채하 (성우),キム・チェハ
김채빈,チェ・ビン
김철수 (배우),キム・チョルス
김철호,金喆浩
김청,キム・チョン
김추련,キム・チュリョン
김근태 (군인),金近泰
김기림,金起林
김기방,キム・ギバン
김기범 (야구 선수),金基範
김기수,キム・ギス
한혜진,ハン・ヘジン
한강,韓江
김해강,金海剛
김해님,キム・ヘニム
김해송,金海松
김해수 (1952년),金海洙
김해인,キム・ヘイン
김행,金杏
홍기,洪基
홍사용,洪思容
홍혜정,ホン・ヘジョン
황두성,黄斗聖
이인영,李仁栄
이은주,イ・ウンジュ
이은실,イ・ウンシル
이광희,イ・グァンヒ
이경원,イ・キョンウォン
이지수,イ・ジス
이장수,イ・ジャンス
오순택,スーン＝テック・オー
박종훈,朴鍾勛
박화요비,火曜飛
박보영,パク・ボヨン
양현석,ヤン・ヒョンソク
배슬기,ペ・スルギ
김주혁,キム・ジュヒョク
윤두준,ユン・ドゥジュン
정성훈,鄭聖勲
조재민,趙在ミン
이하라 쓰요시,伊原剛志
안석환,アン・ソックァン
박은빈,パク・ウンビン
황재균,黄載鈞
이주홍,イ・ジュホン
이종호,イ・ジョンホ
이수광,イ・スグァン
이태강,イ・テガン
이연숙,イ・ヨンスク
황종률,黄鍾律
옥지영,オク・チヨン
김준현 (배우),キム・ジュンヒョン
김종원,キム・ジョンウォン
김선영,キム・ソニョン
김태관,キム・テグワン
이범수,イ・ボムス
태진아,テ・ジナ
송진형,宋珍炯
함병춘,咸秉春
함태영,咸台永
전효성,チョン・ヒョソン
최화정,チェ・ファジョン
최훈락,崔勳洛
추미애,秋美愛
탁원제,タク・ウォンジェ
하수빈,ハ・スビン
하은주,河恩珠
하쿠류,白竜
김필진,キム・ピルジン
김하림,キム・ハリム
김하중,金夏中
김학민,金学旻
김학송,金鶴松
김학응,金鶴応
김학철,キム・ハクチョル
박상민,パク・サンミン
