Douglas Adams,더글러스 애덤스
Francis Crick,프랜시스 크릭
John Dee,존 디
Cary Elwes,케리 엘위스
Alain de Botton,알랭 드 보통
"Frederick Gordon-Lennox, 9th Duke of Richmond",제9대 리치먼드 공작 프레더릭 고든레녹스
Richard Francis Burton,리처드 프랜시스 버턴
Geoffrey Fisher,제프리 피셔
Jack Colback,잭 콜백
"Charles Gordon-Lennox, 8th Duke of Richmond",제8대 리치먼드 공작 찰스 고든레녹스
Beeban Kidron,비밴 키드론
Jack Davenport,잭 대븐포트
Ray Winstone,레이 윈스턴
Ian Holloway,이언 헐러웨이
Paul Ince,폴 인스
Robin Cook,로빈 쿡
"Clementine Churchill, Baroness Spencer-Churchill",클레멘타인 처칠
Steve Webster,스티브 웹스터
Charles Williams,찰스 윌리엄스
Marc Albrighton,마크 알브라이턴
Dido,다이도
John Davis,존 데이비스
Roger Daltrey,로저 달트리
George Mallory,조지 맬러리
Dan Wheldon,댄 웰던
Ralph Brown,랠프 브라운
Michael Caine,마이클 케인
Harold Ridley,해럴드 리들리
William Walton,윌리엄 월튼
Gary Speed,게리 스피드
Morrissey,모리세이
Hugh Griffith,휴 그리피스
Fraizer Campbell,프레이저 캠벨
Drew McIntyre,드루 매킨타이어
Steven Taylor,스티븐 테일러
Heather Wheeler,헤더 휠러
Peter Bone,피터 본
Nick Boles,닉 볼스
Holliday Grainger,홀리데이 그레인저
Steve McClaren,스티브 매클래런
Les Ferdinand,레스 퍼디낸드
Lara Pulver,라라 풀버
Jamie xx,제이미 엑스엑스
Flora Robson,플로라 롭슨
Nicholas Courtney,니컬러스 코트니
Joey Barton,조이 바턴
Herbert Morrison,허버트 모리슨
"John Spencer-Churchill, 11th Duke of Marlborough",제11대 말버러 공작 존 스펜서처칠
Danny Gabbidon,대니 가비던
Karen Bradley,캐런 브래들리
Simon Reynolds,사이먼 레이놀즈
Jack Straw,잭 스트로
Colin Jackson,콜린 잭슨
Edward Collingwood,에드워드 콜링우드
Caroline Goodall,캐럴라인 구돌
Walter George,월터 조지
Stewart Downing,스튜어트 다우닝
Craig Gardner,크레이그 가드너
Connor Wickham,코너 위컴
Arnold Wesker,아널드 웨스커
Philip Chetwode,필립 체트우드
Janice Rankin,재니스 랭킨
Mark Lawrenson,마크 로런슨
"John Spencer-Churchill, 10th Duke of Marlborough",제10대 말버러 공작 존 스펜서처칠
Kevin Davies,케빈 데이비스
Charlie Adam,찰리 애덤
Pat Jennings,팻 제닝스
Nicola Blackwood,니컬라 블랙우드
Mary McCartney,메리 매카트니
"Valerie Amos, Baroness Amos",밸러리 에이머스
P. F. Strawson,피터 스트로슨
"Charles Canning, 1st Earl Canning",캐닝 백작 찰스 캐닝
James Herriot,제임스 헤리엇
Matthew Upson,매슈 업슨
Curtis Davies,커티스 데이비스
David Dunn,데이비드 던
David Vaughan,데이비드 본
Emma McClarkin,에마 매클라킨
Rick Wakeman,릭 웨이크먼
Mark Selby,마크 셀비
Pete Doherty,피트 도허티
James McNeill Whistler,제임스 애벗 맥닐 휘슬러
Vince Clarke,빈스 클라크
Ben Bradshaw,벤 브래드쇼
"Alan Brooke, 1st Viscount Alanbrooke",제1대 앨런브룩 자작 앨런 브룩
David Blunkett,데이비드 블렁킷
Kate Winslet,케이트 윈즐릿
Tony Iommi,토니 아이오미
David Hamilton,데이비드 해밀턴
Robert Fripp,로버트 프립
Sean Hoare,숀 호어
Jade Goody,제이드 구디
Nonso Anozie,논소 아노지
Paul Grice,폴 그라이스
Aga Khan IV,아가 칸 4세
Mike Newell,마이크 뉴웰
Steve Harper,스티브 하퍼
Brian Epstein,브라이언 엡스틴
David Prowse,데이비드 프로스
John Charles,존 찰스
Duncan James,덩컨 제임스
Julian Fellowes,줄리언 펠로스
John Bowlby,존 보울비
Michael Gambon,마이클 갬본
Edward Heath,에드워드 히스
Harold Wilson,해럴드 윌슨
Graham Brady,그레이엄 브레이디
John Whittingdale,존 위팅데일
Lauren Cohan,로런 코핸
Graham Greene,그레이엄 그린
Tom Brake,톰 브레이크
Nigella Lawson,나이젤라 로슨
Boris Karloff,보리스 칼로프
David Platt,데이비드 플래트
Ben Amos,벤 아모스
Georg Solti,게오르그 솔티
John Ambrose Fleming,존 앰브로즈 플레밍
Mick Jagger,믹 재거
Wade Barrett,웨이드 배럿
Anthony Eden,앤서니 이든
Raheem Sterling,라힘 스털링
Tony Judt,토니 젓
Christopher Eccleston,크리스토퍼 에클스턴
Matt Smith,맷 스미스
John Turner,존 터너
Craig Whittaker,크레이그 휘터커
Geraldine McEwan,제랄딘 맥완
Michael Owen,마이클 오언
Susannah Harker,수재나 하커
James Brokenshire,제임스 브로큰셔
Annette Brooke,애넷 브룩
Kevin McKidd,케빈 매키드
Clement Attlee,클레멘트 애틀리
Thomas Brodie-Sangster,토머스 생스터
Ian Kershaw,이언 커쇼
Tom Hollander,톰 홀랜더
Paul McGann,폴 맥갠
Tim Roth,팀 로스
Christopher Guest,크리스토퍼 게스트
"Richard Kahn, Baron Kahn",리처드 칸
Onora O'Neill,오노라 오닐 (Onora O'Neill)
"Douglas Haig, 1st Earl Haig",제1대 헤이그 백작 더글러스 헤이그
Clive Granger,클라이브 그레인저
"John Hunt, Baron Hunt",존 헌트
Norman Tebbit,노먼 테빗
Christopher Soames,크리스토퍼 솜스
Kevin Brennan,케빈 브레넌
Georgia Tennant,조지아 모펫
Frank Whittle,프랭크 휘틀
Bill Wyman,빌 와이먼
Roy Hodgson,로이 호지슨
Isaiah Berlin,아이제이아 벌린
Mick Taylor,믹 테일러
Frederick Delius,프레더릭 딜리어스
John Louis Emil Dreyer,욘 드레위에르
Angus Deaton,앵거스 디턴
Theresa May,테리사 메이
Bill Wiggin,빌 위긴
Scott Speedman,스콧 스피드먼
Brian Jones,브라이언 존스
Harold Macmillan,해럴드 맥밀런
Bill Bruford,빌 브루퍼드
Davy Jones,데이비 존스
Norman Haworth,노먼 하워스
M.I.A.,M.I.A.
Alec Douglas-Home,알렉 더글러스흄
Bon Scott,본 스콧
Stuart Sutcliffe,스튜어트 서트클리프
Nick Brown,닉 브라운
John Gielgud,존 길구드
Iain Banks,이언 뱅크스
Steve Valentine,스티브 밸런타인
Vivien Leigh,비비언 리
"Frederick Lugard, 1st Baron Lugard",제1대 루가드 남작 프레더릭 루가드
"Herbert Plumer, 1st Viscount Plumer",제1대 플러머 자작 헐버트 플러머
Daley Thompson,데일리 톰슨
Arthur Drewry,아서 드루리
Laura Fraser,로라 프레이저
Shayne Ward,셰인 워드
Claude Auchinleck,클로드 오킨렉
Mark Owen,마크 오웬
Boy George,보이 조지
Stuart Holden,스튜어트 홀든
Asa Butterfield,아사 버터필드
Alan Moore,앨런 무어
Wayne Bridge,웨인 브리지
Ian Wright,이언 라이트
Jane Asher,제인 애셔
David McCallum,데이비드 매컬럼
Jeremy Browne,제러미 브라운
"Patricia Rawlings, Baroness Rawlings",롤링스 남작 퍼트리샤 롤링스
Ian Gillan,이언 길런
Hugh Jackman,휴 잭맨
"Margaret Jay, Baroness Jay of Paddington",패딩턴의 제이 남작부인 마거릿 제이
Filipe Morais,필리프 모라이스
Dominic Purcell,도미닉 퍼셀
David Haye,데이비드 헤이
Luke Treadaway,루크 트레더웨이
Steve Howe,스티브 하우
Robert Wyatt,로버트 와이어트
Howard Donald,하워드 도널드
George Michael,조지 마이클
Angela Lansbury,앤절라 랜스베리
Nick Park,닉 파크
Vernon Dobtcheff,베르농 도브체프
Ozzy Osbourne,오지 오스본
Harold Scott MacDonald Coxeter,해럴드 스콧 맥도널드 콕서터
Robert Webb,로버트 웹
Robbie Fowler,로비 파울러
Eva Le Gallienne,에바 르 갈리엔
Katherine Parkinson,캐서린 파킨슨
Yvonne Murray,이본 머리
Jack McConnell,잭 매코널
Frances Yates,프랜시스 예이츠
A. A. Milne,A. A. 밀른
"George Douglas-Hamilton, 10th Earl of Selkirk",제10대 셀커크 백작 조지 더글러스해밀턴
Phil Jones,필 존스
Sam Hutchinson,샘 허친슨
David Yates,데이비드 예이츠
Neil Tennant,닐 테넌트
Bill Nighy,빌 나이
Robert Carlyle,로버트 칼라일
Chris Bryant,크리스 브라이언트
Roger Williams,로저 윌리엄스
Aurel Stein,아우렐 스타인
David Lodge,데이비드 로지
Nick Hornby,닉 혼비
Shola Ameobi,숄라 아메오비
James Blunt,제임스 블런트
Moira Shearer,모이라 시어러
Jonathan Pryce,조너선 프라이스
David Martin,데이비드 마틴
Naomi Watts,나오미 와츠
John Gribbin,존 그리빈
Mark Strong,마크 스트롱
Matt Busby,맷 버즈비
Arthur Cecil Pigou,아서 세실 피구
Dominic West,도미닉 웨스트
Stephen Rea,스티븐 레아
John Bodkin Adams,존 보드킨 애덤스
William Lawrence Bragg,윌리엄 로런스 브래그
Andy Serkis,앤디 서키스
Pete Best,피트 베스트
Randall Davidson,랜들 데이비드슨
William Temple,윌리엄 템플
Wayne Rooney,웨인 루니
Ledley King,레들리 킹
Bill Shankly,빌 섕클리
Theresa Villiers,테리사 빌리어스
Wilfrid Voynich,빌프리트 보이니치
Keith Vaz,키스 배즈
Denholm Elliott,덴홈 엘리엇
Barbara Steele,바버라 스틸
Mark Williams,마크 윌리엄스
Olivia d'Abo,올리비아 다보
Pixie Lott,픽시 로트
John Logie Baird,존 로지 베어드
Richard Adams,리처드 애덤스
Richard Chartres,리처드 차터스
Jason Orange,제이슨 오렌지
Tracey Ullman,트레이시 울먼
Paul Rodgers,폴 로저스
Colin Kazim-Richards,콜린 카즘리처즈
Mischa Barton,미샤 바턴
Annie Ross,애니 로스
Joseph Morgan,조지프 모건
Trevor Horn,트레버 혼
Shenton Thomas,셴튼 토머스
Richard Williamson,리처드 윌리엄슨
P. G. Wodehouse,P. G. 우드하우스
William Henry Bragg,윌리엄 헨리 브래그
Ian Douglas Smith,이언 스미스
Sarah Lucas,세라 루커스
Elvis Costello,엘비스 코스텔로
Stephen Daldry,스티븐 돌드리
Conrad Black,콘래드 블랙
Rachel Weisz,레이철 바이스
Maurice Norman,모리스 노먼
Alan Sugar,앨런 슈거
Mark Cavendish,마크 캐번디시
George Paget Thomson,조지 패짓 톰슨
Thomas Hardy,토머스 하디
Jordan Spence,조던 스펜스
Tommy Flanagan,토미 플래너건
Brian Clough,브라이언 클러프
Patrick Moore,패트릭 무어
Jo Whiley,조 와일리
Judd Trump,저드 트럼프
John Powell,존 파월
Jack Butland,잭 버틀런드
Ashley Cole,애슐리 콜
Will Hughes,윌 휴즈
Vidal Sassoon,비달 사순
Malcolm Arnold,말콤 아놀드
Banksy,뱅크시
Alexander McQueen,알렉산더 매퀸
Ralph Vaughan Williams,레이프 본 윌리엄스
Ian Hart,이언 하트
Oliver Reed,올리버 리드
John Galliano,존 갈리아노
Peter D. Mitchell,피터 D. 미첼
Stephen Williams,스티븐 윌리엄스
Heather Mills,헤더 밀스
Penelope Fitzgerald,퍼넬러피 피츠제럴드
Howard Carter,하워드 카터
"Michael Young, Baron Young of Dartington",마이클 영 (사회학자)
"Patricia Knatchbull, 2nd Countess Mountbatten of Burma",제2대 마운트배튼오브버마 여백작 패트리샤 내치불
"Frank Russell, 2nd Earl Russell",제2대 러셀 백작 프랭크 러셀
Chuka Umunna,추카 우무나
Joe Allen,조 앨런
Jamie Campbell Bower,제이미 캠벨 바워
Tom Hardy,톰 하디
Taio Cruz,타이오 크루즈
Gilbert Ryle,길버트 라일
Roger Moore,로저 무어
John Horton Conway,존 호튼 콘웨이
Alistair Carmichael,앨리스터 카마이클
Arthur Henderson,아서 헨더슨
Lady Davina Windsor,레이디 다비나 윈저
Michael Atiyah,마이클 아티야
Naveen Andrews,나빈 앤드루스
Violet Jessop,바이올렛 제솝
Remus Lupin,리머스 루핀
Nawaz Sharif,나와즈 샤리프
Kristin Scott Thomas,크리스틴 스콧 토머스
William Wilberforce,윌리엄 윌버포스
Joe Lewis,조 루이스
Rebecca Ferguson,리베카 퍼거슨
Danny Boyle,대니 보일
John Lynch,존 린치
Dominic Raab,도미니크 라아브
John Wyndham,존 윈덤
Vanessa Angel,바네사 엔젤
Michael Nyman,마이클 나이먼
Colin Morgan,콜린 모건
V,브이
Clare Holman,클레어 홀먼
Martin Evans,마틴 에번스
Ian Curtis,이언 커티스
William Somerset Maugham,윌리엄 서머싯 몸
James Vaughan,제임스 본
Gerard Manley Hopkins,제라드 맨리 홉킨스
Charlotte Lewis,샬럿 루이스
David Lloyd George,데이비드 로이드 조지
Jon Anderson,존 앤더슨 (음악가)
Jack Charlton,잭 찰턴
David Healy,데이비드 힐리
Tricky,트리키
Gabriel Agbonlahor,가브리엘 아그본라호르
Bill Ward,빌 워드
Paolo Nutini,파올로 누티니
Sally Potter,샐리 포터
"Arthur Cockfield, Baron Cockfield",콕필드 남작 아서 콕필드
"George Lascelles, 7th Earl of Harewood",제7대 헤어우드 백작 조지 라셀레스
Merlyn Rees,멀린 리스
Paul Di'Anno,폴 디애노
Jack Bruce,잭 브루스
Fabrice Muamba,파브리스 무암바
Phil Jagielka,필 야기엘카
Rupert Everett,루퍼트 에버릿
Nathaniel Parker,너새니얼 파커
Prince Michael of Kent,켄트 공자 마이클
Neil Carmichael,닐 카마이클
Talulah Riley,타룰라 라일리
Lou Doillon,루 두아용
James Mason,제임스 메이슨
Philip Larkin,필립 라킨
Jonathan Sacks,조너선 색스
Kim Cattrall,킴 캐트럴
John le Carré,존 르 카레
Angelica Mandy,앤젤리카 맨디
Gregory Campbell,그레고리 캠벨
"Alfred Douglas-Hamilton, 13th Duke of Hamilton",제13대 해밀턴 공작 앨프리드 더글러스해밀턴
Tom Daley,톰 데일리
Diana Vickers,다이애나 비커스
Bill Cash,빌 캐시
Micah Richards,마이카 리처즈
Neil Gaiman,닐 게이먼
Nick Aldis,닉 앨디스
"Joyce Quin, Baroness Quin",조이스 퀸
Murray MacLehose,머레이 맥리호스
Eric Idle,에릭 아이들
James Lovelock,제임스 러브록
Jackie Burroughs,재키 버로스
Oona O'Neill,우나 오닐
Harry Treadaway,해리 트레더웨이
Bob Hoskins,밥 호스킨스
Alfred Radcliffe-Brown,앨프리드 래드클리프브라운
David Suchet,데이비드 서쳇
Melvyn Bragg,멜빈 브래그
"Thomas Beecham, 2nd Baronet",토머스 비첨
Robert Shaw,로버트 쇼
Wayne Hennessey,웨인 헤네시
Thomas Kyd,토머스 키드
Eileen Atkins,아일린 앳킨스
Dave Murray,데이브 머레이
Ken Follett,켄 폴릿
Melanie Blatt,멜라니 블래트
Ronnie Wood,로니 우드
Kay Kendall,케이 켄들
"George Villiers, 1st Duke of Buckingham",제1대 버킹엄 공작 조지 빌리어즈
Thomas Browne,토머스 브라운 (작가)
Herbert Chapman,허버트 채프먼
Edwin Flack,에드윈 플랙
John Osborne,존 오즈번
Terry Venables,테리 베너블스
Gordon Strachan,고든 스트라컨
Gregory Bateson,그레고리 베이트슨
Angela Scoular,안젤라 스쿨라
Conor Burns,코너 번스
Simon Burns,사이먼 번스
George Graham,조지 그레이엄
Nigel Short,나이절 쇼트
Catherine McCormack,캐서린 매코맥
David Wilkie,데이비드 윌키
Scott Brown,스콧 브라운
Peter Maxwell Davies,피터 맥스웰 데이비스
Paul Sanders,폴 샌더스
Chris Kirkland,크리스 커클랜드
Tom Wilkinson,톰 윌킨슨
"Jonathan Guinness, 3rd Baron Moyne",제3대 모인 남작 조너선 기니스
Robert Harris,로버트 해리스
Jeff Lynne,제프 린
Steve Winwood,스티브 윈우드
Myra Hess,마이러 헤스
Robert Buckland,로버트 버클런드
Nigel Hawthorne,나이절 호손
James Hunt,제임스 헌트
William Holman Hunt,윌리엄 홀먼 헌트
Camilla Luddington,커밀라 러딩턴
Andy Burnham,앤디 버넘
George V,조지 5세
Liam Byrne,리엄 번
Charlie Austin,찰리 오스틴
George Whitefield,조지 휫필드
Bob Paisley,밥 페이즐리
Rosie Huntington-Whiteley,로지 헌팅턴 휘틀리
Stuart Taylor,스튜어트 테일러
Arnold Bennett,아널드 베넷
Zak Starkey,잭 스타키
"Henry Petty-Fitzmaurice, 5th Marquess of Lansdowne",제5대 랜즈다운 후작 헨리 페티피츠모리스
James May,제임스 메이
Geoffrey II,제프리 2세
Basil Rathbone,배질 래스본
Kate Dickie,케이트 디키
Terry Davis,테리 데이비스
Dorothy Tyler-Odam,도러시 타일러오덤
Zat Knight,잿 나이트
Ida Lupino,이다 루피노
Ciarán Hinds,키어런 하인즈
Zara Tindall,자라 필립스
P. D. James,P. D. 제임스
Monica Lewinsky,모니카 르윈스키
Marina Lewycka,마리나 레비츠카
Alan Parsons,앨런 파슨스
Susan Hill,수잔 힐
Alistair Burt,앨리스터 버트
"Philip Noel-Baker, Baron Noel-Baker",필립 노엘베이커
David Johnson,데이비드 존슨
Phil Collins,필 콜린스
Zadie Smith,제이디 스미스
Olaf Stapledon,올라프 스테이플던
Kevin Nolan,케빈 놀런
Peter Frampton,피터 프램프턴
"Andrew Adonis, Baron Adonis",앤드류 애도니스
Adrian Smith,에이드리언 스미스
J. G. Ballard,J. G. 밸러드
Kate Moss,케이트 모스
Richard Griffiths,리처드 그리피스
Richard Burden,리처드 버든
Virginia Anne McKenna,버지니아 매케나
Chris Grayling,크리스 그레일링
Hugh Dancy,휴 댄시
Harry Gregson-Williams,해리 그레그슨윌리엄스
Nick Drake,닉 드레이크
Keith Moon,키스 문
Terence Young,테런스 영
Natasha Richardson,나타샤 리처드슨
Geoff Hurst,제프 허스트
Cheryl,셰릴 콜
Douglas Hurd,더글러스 허드
Hugh Gaitskell,휴 게이츠컬
Natasha Bedingfield,너태샤 베딩필드
Kenneth Grahame,케네스 그레이엄
Tom Simpson,톰 심프슨
Phyllis Johnson,필리스 존슨
"John Montagu Douglas Scott, 7th Duke of Buccleuch",제7대 버클루 공작 존 몬터규더글러스스콧
Michael Byrne,마이클 번
Arnold Bax,아널드 백스
Joanne Froggatt,조앤 프로갯
Henry Moore,헨리 무어
Alsou,알수
Jon Flanagan,존 플래너건
Jonjo Shelvey,존조 셸비
Graham Bonnet,그레이엄 보넷
Julia Winter,줄리아 윈터
Jane Birkin,제인 버킨
Alan Williams,앨런 윌리엄스
Charles Algernon Parsons,찰스 앨저넌 파슨스
David Thewlis,데이비드 슐리스
Ethel Muckelt,에설 머켈트
Rupert Friend,루퍼트 프렌드
Matthew Macfadyen,매슈 맥패디언
Steven Fletcher,스티븐 플레처
Janet Montgomery,재닛 몽고메리
Georgina Leonidas,조지나 레오니더스
Lee McConnell,리 매코널
Peter Ainsworth,피터 에인즈워스
Cyril Smith,시릴 스미스
John Battle,존 배틀
Vera Baird,베라 베어드
James Donald,제임스 도날드
Lado Gurgenidze,라도 구르게니제
George McCartney,조지 맥카트니
Philip Sidney,필립 시드니
"Archibald Wavell, 1st Earl Wavell",아치볼드 웨이벌
Nicholas Winterton,니컬러스 윈터턴
Benjamin Britten,벤저민 브리튼
James George Frazer,제임스 조지 프레이저
Dick Francis,딕 프랜시스
Arthur Rackham,아서 래컴
Peter Green,피터 그린
John Boyd Orr,존 보이드 오어
Richard Burton,리처드 버턴
Frederick Sanger,프레더릭 생어
Ian Paice,이언 페이스
Tamzin Merchant,탬진 머챈트
Peter Benenson,피터 베넨슨
Phil O'Donnell,필 오도넬
"Anne, Princess Royal",프린세스 로열 앤
Jean Marsh,진 마시
Alice Evans,앨리스 에번스
Mary Stewart,메리 스튜어트
John Mills,존 밀스
Annie Lennox,애니 레녹스
Mason Ryan,메이슨 라이언
Mitch Mitchell,미치 미첼
Harriet Walter,해리엇 월터
Sarah Brightman,세라 브라이트먼
Prunella Scales,프루넬라 스케일스
Ian McDiarmid,이언 맥더미드
Pamela Adlon,패멀라 애들론
Jason Isaacs,제이슨 아이작스
Peter Medawar,피터 메더워
"Prince Harry, Duke of Sussex",서식스 공작 해리
Arthur Young,아서 영
Alan Parker,앨런 파커
Donald Pleasence,도널드 플레전스
Emilia Fox,에밀리아 폭스
Darren Bent,대런 벤트
Charles Scott Sherrington,찰스 스콧 셰링턴
Billie Piper,빌리 파이퍼
Bernard Montgomery,버나드 로 몽고메리
John Houseman,존 하우스먼
John Sulston,존 설스턴
James Hopwood Jeans,제임스 호프우드 진스
Ray Lovejoy,레이 러브조이
Denzil Davies,덴질 데이비스
Bobby Zamora,바비 자모라
Dominic Monaghan,도미닉 모나한
Scott Parker,스콧 파커
Aaron Ramsey,에런 램지
Rob Halford,롭 할포드
Janick Gers,야닉 거스
Danny Simpson,대니 심슨
Terry Eagleton,테리 이글턴
David Tennant,데이비드 테넌트
Gordon Banks,고든 뱅크스
Gitta Sereny,지타 세레니
Richard Burns,리처드 번스
Alex Turner,앨릭스 터너
George Tabori,조지 타 보리
Sam Neill,샘 닐
Freeman Dyson,프리먼 다이슨
Andy Summers,앤디 서머스
Steve Hackett,스티브 해킷
Ben Okri,벤 오크리
Frank P. Ramsey,프랭크 램지
Gina Bellman,지나 벨먼
Melanie C,멜러니 치점
Diana Clifton-Peach,다이애나 클리프턴피치
"Walter Rothschild, 2nd Baron Rothschild",월터 로스차일드
Gareth Southgate,개러스 사우스게이트
Megan Taylor,메간 테일러
John Hodge,존 호지
David Seaman,데이비드 시먼
Kevin Keegan,케빈 키건
Damon Albarn,데이먼 알반
Arthur Eddington,아서 스탠리 에딩턴
Edward Victor Appleton,에드워드 빅터 애플턴
Amira Casar,아미라 카사르
Cat Stevens,캣 스티븐스
Alan Hollinghurst,앨런 홀링허스트
Michael Moorcock,마이클 무어콕
Joan Collins,조앤 콜린스
Mark Hughes,마크 휴스
"Prince Andrew, Duke of York",요크 공작 앤드루
Queen Camilla,영국 왕비 커밀라
"Princess Margaret, Countess of Snowdon",영국 왕녀 마거릿
Helen Baxendale,헬렌 백슨데일
R. G. Collingwood,로빈 조지 콜링우드
Beatrix Potter,베아트릭스 포터
Danny Guthrie,대니 거스리
Steve Coogan,스티브 쿠건
Eduard Fraenkel,에두아르트 프랭켈
Ione Skye,아이오니 스카이
Pat Hitchcock,팻 히치콕
Rhys Ifans,리스 에반스
Steve Shirley,스티브 셜리
Stephen Moyer,스티븐 모이어
Alan Cumming,앨런 커밍
Richard Caborn,리처드 카본
David Curry,데이비드  커리
Jack Wild,잭 와일드
William Regal,윌리엄 리걸
John Ray,존 레이
Mike Leigh,마이크 리
Celia Johnson,셀리아 존슨
Vanessa-Mae,버네사 메이
Janet Suzman,자넷 수즈먼
Joleon Lescott,졸리언 레스콧
Dixie Dean,딕시 딘
Brian McDermott,브라이언 맥더멋
Diane Abbott,다이앤 애벗
Claude Choules,클로드 출스
James Hanratty,제임스 핸래티
John Mayall,존 메이올
James Morrison,제임스 모리슨
Oskar Kokoschka,오스카르 코코슈카
Leopold Spinner,레오폴트 슈피너
Francis Bacon,프랜시스 베이컨
Craig David,크레이그 데이비드
Kenneth Clarke,케네스 클라크
Niko Tinbergen,니콜라스 틴버겐
Ron Harris,론 해리스
Eric Liddell,에릭 리델
Donovan,도너번
Colonel Race,레이스 대령
Stanley Matthews,스탠리 매슈스
Katy Clark,케이티 클라크
Sol Campbell,솔 캠벨
John Fowles,존 파울즈
Hugh Bonneville,휴 보너빌
Greg Clark,그레그 클라크
Lucian Freud,루시안 프로이트
Paul Robinson,폴 로빈슨
Maud of Wales,웨일스의 메우드
Edgar Wallace,에드거 월리스
Mark Williams,마크 윌리엄스
Danny Mills,대니 밀스
Matthew Goode,매슈 구드
Idris Elba,이드리스 엘바
Ian Anderson,이언 앤더슨
Fish,피시
Chiwetel Ejiofor,추이텔 에지오포
Stephen Twigg,스티븐 트위그
Dennis Gabor,데니스 가보르
Leslie Howard,레슬리 하워드
"Edwina Mountbatten, Countess Mountbatten of Burma",마운트배튼오브버마 백작부인 에드위나 마운트배튼
"Sophie, Duchess of Edinburgh",웨식스 백작부인 소피
Archibald Hill,아치볼드 비비언 힐
Hannah Chaplin,해나 채플린
"Prince Edward, Duke of Edinburgh",에든버러 공작 에드워드
Susan Blackmore,수전 블랙모어
Jake Livermore,제이크 리버모어
Heather Angel,헤더 안젤
Andrew Stephenson,앤드루 스티븐슨
Glenn Tipton,글렌 팁톤
Fred Uhlman,프레드 울만
Diana Wynyard,다이애나 윈야드
Ronald Fisher,로널드 피셔
Jon Kelly,존 켈리
Ted Hughes,테드 휴스
P Money,피 머니
Nigel Pearson,니겔 피어슨
Bryan Ferry,브라이언 페리
Charlie Watts,찰리 와츠
Norman Angell,노먼 에인절
Alan Smith,앨런 스미스
Liz Truss,리즈 트러스
John Fisher,존 피셔
Thomas De Quincey,토머스 드 퀸시
Jeremy Clarkson,제러미 클라크슨
Matt Lucas,맷 루커스
Pete Postlethwaite,피트 포슬스웨이트
Tara Fitzgerald,타라 피츠제럴드
Ed Miliband,에드 밀리밴드
Neil Kinnock,닐 키넉
Shaun Ryder,숀 라이더
Katie Melua,케이티 멜루아
Jon Trickett,존 트리킷
John Entwistle,존 엔트위슬
John Peter Zenger,존 피터 젱어
Lynn Redgrave,린 레드그레이브
Matt Le Tissier,맷 르티시에
Jamie Redknapp,제이미 레드냅
Damian Lewis,데이미언 루이스
Robert Watson-Watt,로버트 왓슨-와트
Mairead Maguire,메어리드 코리건
Roger Glover,로저 글러버
Mary Hoffman,메리 호프먼
Rick Astley,릭 애스틀리
Anthony Burgess,앤서니 버제스
Ally McCoist,앨리 매코이스트
Harry Kroto,해럴드 크로토
Van Morrison,밴 모리슨
Naomie Harris,나오미 해리스
César Milstein,세사르 밀스테인
Yehudi Menuhin,예후디 메뉴인
"Louis Mountbatten, 1st Earl Mountbatten of Burma",루이스 마운트배튼
Betty Williams,베티 윌리엄스
Jodie Marsh,조디 마시
Johnny Marr,조니 마
Dan Gosling,댄 고슬링
Hubert Cecil Booth,허버트 세실 부스
Vivienne Westwood,비비안 웨스트우드
Andrew Cole,앤드루 콜
George Everest,조지 에버레스트
Dugald Stewart,듀걸드 스튜어트
Juliet Stevenson,줄리엣 스티븐슨
Grant Holt,그랜트 홀트
Joss Stone,조스 스톤
Ben Whishaw,벤 휘쇼
Iris Murdoch,아이리스 머독
Justin Tomlinson,저스틴 톰린슨
Mark Addy,마크 애디
Michael Dummett,마이클 더밋
Jessie Ware,제시 웨어
Oliver Smithies,올리버 스미시스
"Sir George Stokes, 1st Baronet",제1대 스토크스 준남작 조지 가브리엘 스토크스
David Oyelowo,데이비드 오옐러워
Phil Neville,필 네빌
Seal,실
Matthew Rhys,매슈 리스
Liam Gallagher,리엄 갤러거
Sophie Ellis-Bextor,소피 엘리스 벡스터
Arthur Lewis,아서 루이스
Toby Jones,토비 존스
Trevor Howard,트레버 하워드
John Toshack,존 토샥
Edward Timpson,에드워드 팀프슨
Joe Bennett,조 베넷
Nigel Farage,나이절 패라지
Neville Marriner,네빌 매리너
Dominic Cooper,도미닉 쿠퍼
Michael Redgrave,마이클 레드그레이브
David Harvey,데이비드 하비
Greg Lake,그렉 레이크
Malcolm Gladwell,맬컴 글레드웰
Stephen Timms,스티븐 팀스
"Alexander R. Todd, Baron Todd",알렉산더 R. 토드
Justin Hoyte,저스틴 호이트
David Irving,데이비드 어빙
Matt Jarvis,매슈 자비스
Zoë Baker,조이 베이커
Zygmunt Bauman,지그문트 바우만
J.B.S. Haldane,J. B. S. 홀데인
Bonnie Tyler,보니 타일러
Shaun Murphy,숀 머피
Stanley Rous,스탠리 라우스
Elizabeth Spriggs,엘리자베스 스프리그스
Dilly Knox,딜리 녹스
Lawrence Oates,로런스 오츠
Joseph Needham,조지프 니덤
"Prince Arthur, Duke of Connaught and Strathearn",코넛과 스트래선 공작 아서
Cliff Williams,클리프 윌리엄스
Claude Rains,클로드 레인스
Richard Stanley Peters,리처드 스탠리 피터스
Anthony Head,앤서니 헤드
Abdulrazak Gurnah,압둘라자크 구르나
Peter Ackroyd,피터 애크로이드
Emily Thornberry,에밀리 손베리
