Klaus Ernst,클라우스 에른스트
Ernst-Robert Grawitz,에른스트로베르트 그라비츠
Thomas Bach,토마스 바흐
Dieter Laser,디터 라저
Marcel Schlutt,마르셀 슐루트
Rudolf Heinze,루돌프 하인체
Dieter Hoeneß,디터 회네스
Dieter Müller,디터 뮐러
Günter Schlierkamp,귄터 슐리에르캄프
Patric Leitner,파트리크 라이트너
Lothar von Richthofen,로타르 폰 리히트호펜 남작
Robert Maras,로베르트 마라스
Arne Friedrich,아르네 프리드리히
Sibel Kekilli,지벨 케킬리
Thomas Pogge,토마스 포게
Irma Grese,이르마 그레제
Thomas Luckmann,토마스 루크만
Valeri Brainin,발레리 브라이닌
Franz Ritter von Epp,프란츠 리터 폰 에프
Gabriel Heinze,가브리엘 에인세
Lutz Heßlich,루츠 헤슬리히
Ulrich Matthes,울리히 마테스
Kurt Sanderling,쿠르트 잔덜링
Joseph Berchtold,요제프 베르히톨트
Ludwig Leitner,루트비히 라이트너
Serdar Taşçı,세르다르 타쉬츠
André Hennicke,안드레 헤니케
Günter Guillaume,귄터 기욤
Jörg Hoffmann,외르크 호프만
Melitta Sollmann,멜리타 졸만
Miriam Neureuther,미리암 노이로이터
Wolfgang Iser,볼프강 이저
Gerhard Grimmer,게르하르트 그리머
Tilly Fleischer,틸리 플라이셔
André Lange,안드레 랑게
Thomas Strunz,토마스 슈트룬츠
Horst Buchholz,호르스트 부흐홀츠
Ariane Friedrich,아리아네 프리드리히
Georg Kaiser,게오르크 카이저
Sarah Connor,세라 코너
Peter Gay,피터 게이
Helge Meeuw,헬게 메우
Klaus Darga,클라우스 다르가
Detlev Rohwedder,데틀레프 로베더
Bettina Schmidt,베티나 슈미트
Anton Dostler,안톤 도슈틀러
Oliver Hirschbiegel,올리버 히르슈비겔
Alexander Kluge,알렉산더 클루게
Erich Köhler,에리히 쾰러
Artur Axmann,아르투어 악스만
Hermann Lüdemann,헤르만 뤼데만
Karl Bartos,카를 바르토스
Claudia Leistner,클라우디아 레이스트너
Veit Harlan,바이트 할란
Joseph Süß Oppenheimer,요제프 쥐스 오펜하이머
Holger Behrendt,홀거 베렌트
Bruno Richard Hauptmann,리처드 하우프트먼
Andrea Klump,안드레아 클룸프
Kim Dotcom,킴 닷컴
Oka Nikolov,오카 니콜로프
Walter Dornberger,발터 도른베르거
Petra Rossner,페트라 로스너
Jens Todt,옌스 토트
Alfred Dompert,알프레트 돔페르트
Armin Bittner,아르민 비트너
Marlene Schmidt,마를레네 슈미트
Viktor Brack,빅토어 브라크
Franz Pfnür,프란츠 프뉘어
Johann Beringer,요한 베링거
Benjamin Buchloh,베냐민 부흘로
Rudolf Moralt,루돌프 모랄트
Arthur Hoffmann,아르투어 호프만
Robert Schwentke,로베르트 슈벤트케
Jo Leinen,요 라이넨
Andreas Beck,안드레아스 베크
Marcel Goc,마르셀 고치
Christian Pampel,크리스티안 팜펠
Gerd Schönfelder,게르트 쇤펠더
Natalia Wörner,나탈리아 뵈르너
Georg-Hans Reinhardt,게오르크한스 라인하르트
Oksana Chusovitina,옥사나 추소비티나
Thomas Metzinger,토마스 메칭거
Friedrich August von Finck,프리드리히 아우구스트 폰 피흐
Artur Jussupow,아르투르 유수포프
Georg Gänswein,게오르그 겐스바인
Traudl Hächer,트라우들 헤허
Christoph Schubert,크리스토프 슈베르트
Martina Hellmann,마르티나 헬만
Ute Lemper,우테 렘퍼
Paul Moritz Warburg,폴 워버그
Emil Schürer,에밀 쉬러
Siegfried Palm,지크프리트 팔름
Ernst Freiherr Stromer von Reichenbach,에른스트 슈트로머
Menahem Pressler,메나헴 프레슬러
Gordon M. Gollob,고르돈 골로프
Wolfgang Becker,볼프강 베커
Astrid Kumbernuss,아스트리트 쿰베르누스
Axel Honneth,악셀 호네트
Denis Gremelmayr,데니스 그레멜마이어
Adolf Friedrich zu Mecklenburg,아돌프 프리드리히 추 메클렌부르크 대공자
Norbert Haug,노르베르트 하우크
Charles P. Steinmetz,찰스 프로테우스 스타인메츠
Benno Fürmann,베노 퓌어만
Helmut Rahn,헬무트 란
Wilhelm Mohnke,빌헬름 몽케
Martin Keller,마르틴 켈러
Jens Kruppa,옌스 크루파
Andrea Schöpp,안드레아 쇠프
Janin Lindenberg,야닌 린덴베르크
Alexander Beyer,알렉산더 바이어
Evi Sachenbacher-Stehle,에비 자헨바허슈텔레
Günter Behnisch,귄터 베니슈
Daniel Fridman,다니엘 프리드만
Thomas Greiss,토마스 그라이스
Frank Rommel,프랑크 로멜
Siegfried Lowitz,지크프리트 로비츠
Hanns Seidel,한스 자이델
Walther Hewel,발터 헤벨
Holger Meins,홀거 마인스
Helene zu Waldeck und Pyrmont,헬레네 추 발데크운트피르몬트
Felix Loch,펠릭스 로흐
Marion Wagner,마리온 바그너
Dieter Baumann,디터 바우만
Bettina Zimmermann,베티타 치머만
Karl Helfferich,카를 헬페리히
Walter Giller,월터 길러
Manfred Wörner,만프레트 뵈르너
Ingrid Caven,잉그리드 카벤
Nicole Struse,니콜 슈트루제
Hans Prinzhorn,한스 프린츠호른
Anton Malloth,안톤 말로트
Martin Kaymer,마르틴 카이머
Philipp von Hessen,필리프 란트그라프 폰 헤센
Heino Ferch,하이노 페르히
Sabrina Setlur,사브리나 세트루어
Anja Mittag,아냐 미타크
Maik Bullmann,마이크 불만
Werner Tübke,베르너 튑케
Franz Etzel,프란츠 에첼
Ursula von der Leyen,우르줄라 폰데어라이엔
Rolf Hochhuth,롤프 호흐후트
Marlene Weingärtner,마를레네 바인게르트너
Ellen Allien,엘렌 알리엔
Lucas David,루카스 다비트
Karl Simrock,카를 짐로크
Doris Schröder-Köpf,도리스 슈뢰더 쾨프
Tobias Regner,토비아스 레그너
Ruth Leuwerik,루트 로이베리크
Daniel Küblböck,다니엘 퀴블뵈크
Manfred Schnelldorfer,만프레트 슈넬도르퍼
Ernst Schäfer,에른스트 섀퍼
Matthias Habich,마티아스 하비흐
Ferdinand Alexander Porsche,페르디난트 알렉산더 포르셰
Hyazinth Graf Strachwitz,히아친트 그라프 슈트라흐비츠 폰 그로스-자우헤운트캄미네츠
Stephanie Beckert,슈테파니 베케르트
Otto Schily,오토 실리
Heinrich Ratjen,도라 라첸
Robert Alexy,로베르트 알렉시
Sonja Ziemann,소냐 치만
Gerhard Schröder,게르하르트 슈뢰더
Marc Ziegler,마르크 치글러
August Oetker,아우구스트 외트커
Margit Carstensen,마르기트 카르스텐센
Daniela Schreiber,다니엘라 슈라이버
Annika Liebs,아니카 리프스
Michael Ande,미하엘 안데
Ricarda Huch,리카르다 후흐
Emmy Göring,에미 괴링
Dennis Gansel,데니스 간젤
Mehmet Ekici,메흐메트 에키지
Heinz Harmel,하인츠 하르멜
Mark Keller,마크 켈러
Christian Thielemann,크리스티안 틸레만
Christoph Eschenbach,크리스토프 에셴바흐
Alfred Andersch,알프레드 앤더 쉬
Erwin Madelung,에르빈 마델룽
Robert Gernhardt,로베르트 게른하르트
Volker Kauder,폴커 카우더
Johann Georg von Brandenburg-Jägerndorf,요한 게오르크
Friedrich Wilhelm Gotter,프리드리히 빌헬름 고터
Arthur Rudolph,아르투어 루돌프
Sebastian Fitzek,제바스티안 피체크
Nadja Uhl,나디아 울
Katrin Zeller,카트린 첼러
Ron Spanuth,론 슈파누트
Cornelia Froboess,코르넬리아 프로뵈스
Bianka Lamade,비앙카 라마데
Alois von Brinz,알로이스 폰 브린츠
Günter Rexrodt,귄터 렉스로트
Stephan Schröck,슈테판 슈뢰크
Georg Niedermeier,게오르크 니더마이어
Tunay Torun,투나이 토룬
Nina Schenk Gräfin von Stauffenberg,니나 솅크 그래핀 폰 슈타우펜베르크
Christian Welp,크리스 벨프
Martin Kneser,마르틴 크네저
Karl Del’Haye,카를 델하예
Sarah Gronert,자라 그로네르트
Fritz Straßmann,프리츠 슈트라스만
Günter Eich,귄터 아이히
Ronny Ostwald,로니 오스트발트
Eva Pfaff,에바 파프
Günther Anders,귄터 안더스
Heinrich Eberbach,하인리히 에버바흐
Heinrich Hellwege,하인리히 헬베게
Karl Steinbuch,카를 슈타인부흐
Thomas Nipperdey,토마스 니퍼다이
Christian Petzold,크리스티안 페촐트
Pasquale Passarelli,파스쿠알레 파사렐리
Robert Müller,로베르트 뮐러
Albrecht Mayer,알브레히트 마이어
Heinz Rühmann,하인즈 뤼만
Hans Denck,한스 뎅크
Henrich Focke,하인리히 포케
Wilhelm Gliese,빌헬름 글리제
Martin Opitz,마르틴 오피츠
Oswald Mathias Ungers,오스발트 마티아스 웅거스
Hendrik Dreekmann,헨드리크 드레크만
Chris Liebing,크리스 리빙
Frank Giering,프랑크 지에링
Johann Elias Schlegel,요한 엘리아스 슐레겔
Eberhard von Mackensen,에버하르트 폰 마켄젠
Willy Fritsch,빌리 프리치
Rose Ausländer,로제 아우슬렌더
Kurt Biedenkopf,쿠르트 비덴코프
Werner Kohlmeyer,베르너 콜마이어
Lilli Palmer,릴리 팔머
Martin Schwarzschild,마르틴 슈바르츠실트
Werner Kempf,베르너 켐프
Christina Meier-Höck,크리스티나 마이어회크
Julius Müller,율리우스 뮐러
Carl Ludwig Schleich,카를 루트비히 슐라이히
Gerhard Ebeling,게하르트 에벨링
Dieter Kindlmann,디터 킨들만
Otto Friedrich Bollnow,오토 볼노브
Peter Högl,페터 회글
Bernhard Lehmann,베른하르트 레만
Muriel Baumeister,뮤엘 바움 메이 스터
Tim Ohlbrecht,팀 올브레히트
Fritz Bayerlein,프리츠 바예를라인
Rolf Carls,롤프 카를스
Walter Model,발터 모델
Heinrich von Brentano,하인리히 폰 브렌타노
Jan Sosniok,얀 소스니오크
David Katz,데이비드 카츠
Fedor von Bock,페도르 폰 보크
Barbara Sukowa,바르바라 수코바
Jan Frodeno,얀 프로데노
Christian Hoffmann von Hoffmannswaldau,크리스티안 호프만 폰 호프만슈발다우
Ernst Jacobi,에른스트 야코비
Edgar Feuchtinger,에드가 포이흐팅거
Wolfgang Böhmer,볼프강 뵈머
Robin Szolkowy,로빈 숄코비
Per Mertesacker,페어 메르테자커
Erwin Piscator,에르빈 피스카토르
Wilhelm Adam,빌헬름 아담
Dagmar Lurz,다그마 루르츠
Kurt Symanzik,쿠르트 쥐만치크
Ole Bischof,올레 비쇼프
Grit Breuer,그리트 브로이어
Wilhelm Ritter von Leeb,빌헬름 리터 폰 레프
Julius Dorpmüller,율리우스 도르프뮐러
Wolfgang Clement,볼프강 클레멘트
Gerd von Rundstedt,게르트 폰 룬트슈테트
Anni Friesinger-Postma,아니 프리징거포스트마
Hartwig Gauder,하르트비히 가우더
Michael Hamburger,마이클 햄버거
Clueso,클루 소
Irmgard Seefried,이름가르트 제프리트
Max Littmann,호프브로이하우스
Christian Berkel,크리스티안 베르켈
Hans Georg Dehmelt,한스 게오르크 데멜트
Judith Hermann,유디트 헤르만
Sabine Everts,자비네 에버츠
Udo Dirkschneider,우도 디르크슈나이더
Uzi Gal,우지엘 갈
Kim Petras,킴 페트라스
Wilhelm Ackermann,빌헬름 아커만
Walter Gieseking,발터 기제킹
Christina Schwanitz,크리스티나 슈바니츠
Assani Lukimya,아사니 루키먀-물롱고티
Paul Augustin Mayer,파울 아우구스틴 마이어
Theo Adam,테오 아담
Heinz Guderian,하인츠 구데리안
Markus Bott,마르쿠스 보트
Kathrin Hölzl,카트린 횔츨
Wolf Kahler,볼프 칼러
Felix Neureuther,펠릭스 노이로이터
Arno Holz,아르노 홀츠
Carlo Ljubek,카를로 류벡
Carlo Schmid,카를로 슈미트
Wilhelm Herrmann,빌헬름 헤르만
Arno Breker,아르노 브레커
Julius Curtius,율리우스 쿠르티우스
Winfried Kretschmann,빈프리트 크레치만
Günter Kunert,귄터 쿠네르트
Manuela Schwesig,마누엘라 슈베지히
Inge Helten,잉게 헬텐
Theo Jörgensmann,테오 요르겐스만
Richard Eichberg,리하르트 아이히베르크
Babett Peter,바베트 페터
Walter Gropius,발터 그로피우스
Helmut Lemke,헬무트 렘케
Ursula Krechel,우르줄라 크레헬
Paul Panzer,폴 팬저
Olaf Scholz,올라프 숄츠
Adam Bousdoukos,아담 부스두코스
Augustin Bea,아우구스틴 베아
Wassily Kandinsky,바실리 칸딘스키
Helga Arendt,헬가 아렌트
Sebastian Münster,제바스티안 뮌스터
Richard Courant,리하르트 쿠란트
Tony Martin,토니 마틴
Marcus Böhme,마르쿠스 뵈메
Hugo von Seeliger,휴고 폰 젤리거
Arnolt Schlick,아르놀트 슐리크
Wilhelm Schepmann,빌헬름 셰프만
Uwe Blab,우베 블라프
Klaus Löwitsch,클라우스 뢰비치
Thanos Petsos,타노스 페초스
Wilhelm Redieß,빌헬름 레디스
Bernhard von Sachsen-Weimar,베른하르트 폰 작센 바이마르
Bruno Apitz,브루노 아피 츠
Herbert Norkus,헤르베르트 노르쿠스
Frei Otto,프라이 오토
Hans Conon von der Gabelentz,한스 코논 폰 데어 가벨렌츠
Michael Gwisdek,마이클 귀스덱
Günter Litfin,귄터 리트핀
Nikolaus Schneider,니콜라우스 슈나이더
Carl Raddatz,칼 라다츠
Hannah Elisabeth Pick-Goslar,하넬리 호슬라르
Christian Tetzlaff,크리스티안 테츨라프
Charlotte Bühler,샤를로테 뷜러
Siegfried Buback,지크프리트 부바크
Walther Nehring,발터 네링
Sig Ruman,지그 루만
Udo Riglewski,우도 리글레프스키
Karoline Herfurth,카롤리네 헤르푸르트
Oskar Barnack,오스카 바르낙
Ralf Moeller,랄프 묄러
Fritz Gerlich,프리츠 게를리히
Joseph Keilberth,요제프 카일베르트
Adolf Strauß,아돌프 슈트라우스
Percy Adlon,퍼시 아들론
Frederick Lau,프레데리크 라우
Leo Weisgerber,레오 바이스게르버
Walter Momper,발터 몸퍼
Klaus Teuber,클라우스 토이버
Hermann Prey,헤르만 프라이
Karl August Wittfogel,카를 비트포겔
Hans Ehard,한스 에하르트
Michael Kohlmann,미하엘 콜만
Georg August Zinn,게오르크아우구스트 친
Jakob Kaiser,야코프 카이저
Andrea Fischer,안드레아 피셔
Judith Arndt,유디트 아른트
Kurt Niedermayer,쿠르트 니더마이어
Sebastian Bayer,제바스티안 바이어
Claudia Kohde-Kilsch,클라우디아 코데킬슈
Albrecht II. Alcibiades,알브레히트 2세 알키비아데스
Peter Berling,페터 베를링
Luigi Colani,루이지 꼴라니
Christian Klar,크리스티안 클라어
Hilde Gerg,힐데 게르크
Wolke Hegenbarth,볼케 하겐바르트
Theodor Weissenberger,테오도어 바이센베르거
Paul Stäckel,파울 슈테켈
Johannes Hentschel,요하네스 헨첼
Klaus Tennstedt,클라우스 텐슈테트
Matthias Schweighöfer,마티아스 슈바이크회퍼
Ingo Steuer,잉고 슈토이어
Michael Verhoeven,미하엘 페어회벤
Adolf Metzner,아돌프 메츠너
Bertha Pappenheim,베르타 파펜하임
Heinz Günther Guderian,하인츠 귄터 구데리안
Martin Emmrich,마르틴 엠리히
Paul Weinstein,파울 바인슈타인
Sabine Braun,자비네 브라운
Stéphane Franke,스테판 프랑크
Wolfgang Sawallisch,볼프강 자발리슈
Johannes Franz Hartmann,요하네스 하르트만
Paul Falk,파울 팔크
Heinrich Brandt,하인리히 브란트
Gustav Herglotz,구스타프 헤르글로츠
Peter Hacks,페터 학스
Fredi Bobic,프레디 보비치
Frank Schätzing,프랑크 셰칭
Dieter Hecking,디터 헤킹
Georg Hamel,게오르크 하멜
Erich Klausener,에리히 클라우제너
Kurt Heegner,쿠르트 헤그너
Konrad Knopp,콘라트 크노프
Susi Erdmann,수지 에르트만
Eduard Spranger,에두아르트 슈프랑거
Ludwig Crüwell,루트비히 크뤼벨
Markus Babbel,마르쿠스 바벨
Petra Kelly,페트라 켈리
Annette Dytrt,아네테 디트르트
Hans Blumenberg,한스 블루멘베르크
Otto Braun,오토 브라운
Karl Hessenberg,카를 헤센베르크
Friedrich Hund,프리드리히 훈트
Dietrich von Choltitz,디트리히 폰 콜티츠
Hermann Amandus Schwarz,헤르만 아만두스 슈바르츠
Ria Baran,리아 바란
Johann Samuel König,요한 사무엘 쾨니히
Christian Gentner,크리스티안 겐트너
Felix Hoffmann,펠릭스 호프만
Hannes Messemer,한스 메셈머
Inge Bödding,잉게 뵈딩
Josef Bühler,요제프 뷜러
Hilde Schramm,힐데 슈람
Ingo Schultz,잉고 슐츠
Hermann Graf,헤르만 그라프
Hans Grodotzki,한스 그로도츠키
Alfred Müller-Armack,알프레트 뮐러아르마크
Johann Baptist Metz,요한 밥티스트 메츠
Albert von Schrenck-Notzing,알베르트 폰 슈렝크노칭
Stefan Leko,스테판 레코
Jan Assmann,얀 아스만
Hans Zender,한스 첸더
Karin Büttner-Janz,카린 얀츠
Hans Brandner,한스 브란트너
Philipp Plein,필립 플레인
Bruno Mondi,브루노 몬디
Martin Bangemann,마르틴 방게만
Sven Schultze,스벤 슐체
Michael Veith,미하엘 파이트
Johannes Blank,요한 블랑크
Josef Müller,요제프 뮐러
Wilhelm Brückner,빌헬름 브뤼크너
Rosel Zech,로젤 제크
Jens Boden,옌스 보덴
Engelbert I. von Köln,엥엘베르트 1세
Sascha Klein,자샤 클라인
Edmund Heines,에드문트 하이네스
Uwe Kröger,우베 크뢰거
Josef Straßberger,요제프 슈트라스베르거
Axel Lesser,악셀 레서
Christopher Lutz,크리스토퍼 루츠
Johannes Rydzek,요하네스 뤼트체크
Ernst Käsemann,에른스트 케제만
Wilhelm Koppe,빌헬름 코페
Florian Lukas,플로리안 루카스
Rolf Heißler,롤프 하이슬러
Nina Hoss,니나 호스
Fritz von Unruh,프리츠 폰 운루
Otto Wöhler,오토 뵐러
Gerhard von Rad,게르하르트 폰 라트
Andreas Wank,안드레아스 방크
Gustaf Gründgens,구스타프 그뤼드겐스
René Sommerfeldt,레네 조머펠트
Reinhart Koselleck,라인하르트 코젤레크
Hans Robert Jauß,한스 로베르트 야우스
Marquard Sebastian Schenk von Stauffenberg,마르크바르트 제바스티안 솅크 폰 슈타우펜베르크
Marco Huck,마르코 후크
Fabian Hambüchen,파비안 함뷔헨
Uwe Boll,우베 볼
Friederike von Hannover,하노버의 프레데리키
Martin Bormann junior,마르틴 아돌프 보어만
Albert Bitter,알베르트 비터
Adolf Bestelmeyer,아돌프 베스텔마이어
Sebastian Urzendowsky,세바스찬 우르젠도스키
Danny Schwarz,대니 슈바르츠
Rudolf Meidner,루돌프 마이드너
Ulla Schmidt,울라 슈미트
Ellen Brockhöft,엘렌 브로크회프트
Xenia Seeberg,제니아 씨버그
Johann der Beständige,요한 폰 작센 선제후
Bernd Karbacher,베른트 카르바허
Erich Hückel,에리히 휘켈
Patrick Beckert,파트리크 베케르트
Wolfhart Pannenberg,볼프하르트 판넨베르크
Henning Harnisch,헤닝 하르니슈
Ralf Bißdorf,랄프 비스도어프
Christian Alvart,크리스티안 알바르트
Christopher Franke,크리스토퍼 프랑케
Rudolf Scharping,루돌프 샤르핑
Mario Adorf,마리오 아도프
Simon Verhoeven,지몬 페어회벤
Dieter Hallervorden,디터 할러포르덴
Rick Kavanian,릭 카바니안
Nadine Keßler,나딘 케슬러
Christian Ulmen,크리스티안 울멘
Reiner Goldberg,라이너 골트베르크
Elke Schall,엘케 샬
Henriette von Schirach,헨리에테 폰 시라흐
Johann Bayer,요한 바이어
Armin Veh,아어민 페
Johanna Wokalek,요하나 보칼레크
Rainer Hunold,라이너 펀드
Dieter Nuhr,디터 누어
Julian Schieber,율리안 쉬버
Monika Hohlmeier,모니카 홀마이어
Jürgen Prochnow,위르겐 프로흐노
Werner Goldberg,베르너 골트베르크
Johannes Piscator,요한 피스카토르
Ernst Fritz Fürbringer,에른스트 프리츠 퓌르빙거
Heinrich Khunrath,하인리히 쿤라트
Martin Lanig,마틴 라니히
Wolfgang Tiefensee,볼프강 티펜제
Gerd Michael Henneberg,게르트 마이클 헨네 버그
Jennifer Ulrich,예니퍼 울리히
Sylvester Groth,질베스터 그로트
Karl Heun,카를 호인
Mario Stojić,마리오 스토이치
Otto Kumm,오토 쿰
Sami Allagui,사미 알라구이
Rudolf von Sebottendorf,아담 알프레트 루돌프 글라우어
Conrad Böcker,콘라트 뵈커
Christian Tramitz,크리스티안 트라미츠
Johannes Werner,요하네스 베르너
Paul Mattick,폴 매틱
Armin Rohde,아민 로데
Ernst Goldenbaum,에른스트 골덴바움
Heinz Hilpert,하인츠 힐페르트
Max Riemelt,막스 리멜트
Hermann Ehlers,헤르만 엘러스
Jan Niklas,잔 니클라스
Dieter Althaus,디터 알트하우스
Adolf Endler,아돌프 엔들러
Albert Bormann,알베르트 보어만
Gerd Theißen,게르트 타이센
Gerhard Hessenberg,게르하르트 헤센베르크
Heinz Hopf,하인츠 호프
Martin Eichler,마르틴 아이클러
Romy Schneider,로미 슈나이더
Hermann Oberth,헤르만 오베르트
Leonie Tepe,레오니 테페
Knut Hinz,크누트 힌츠
Monika Wagner,모니카 바그너
Volker Wieker,폴커 비커
Heinrich II.,브라운슈바이크뤼네부르크 공작 하인리히 5세
Philipp Boy,필리프 보이
Irm Hermann,임 허만
Johannes Steinhoff,요하네스 슈타인호프
Dieter Brenninger,디터 브레닝거
Otto Schniewind,오토 슈니빈트
Elyas M’Barek,엘리아스 음바레크
Ferry Porsche,페리 포르셰
Bernhard Wicki,베른하르트 비키
Klaus Uwe Benneter,클라우스 우베 베네터
Joachim Fuchsberger,요아힘 푹스베르거
Margarete Schütte-Lihotzky,마가레테 쉬테-리호츠키
Fritz Kortner,프리츠 코트너
Alexander Granach,알렉산더 그라나흐
Harald Deilmann,하랄트 다일만
Jörg Schüttauf,외르크 쉬타우프
Herta Oberheuser,헤르타 오버호이저
Eva Mattes,에바 마테스
Sebastian Jung,제바스티안 융
Leena Günther,레나 귄터
Miroslav Klose,미로슬라프 클로제
Bernd Kannenberg,베른트 카넨베르크
Stephan Engels,슈테판 엥겔스
Franziska Brantner,프란치스카 브란트너
Nina Gnädig,니나 그나 디그
Robin Knoche,로빈 크노헤
Yıldıray Baştürk,이을드라이 바쉬튀르크
Benjamin Schmolck,베냐민 슈몰크
Walter Gotell,발터 고텔
Boris Becker,보리스 베커
Katja Kipping,카탸 키핑
Jürgen Ponto,위르겐 폰토
Otto von Habsburg,오스트리아 황태자 오토
Gottfried John,고트프리드 존
Mehmet Kurtuluş,메멧 쿠투루스
Günter Strack,귄터 스트랙
Andrea Ypsilanti,안드레아 입실란티
August Sander,아우구스트 잔더
Fritz Fischer,프리츠 피셔
Thomas Lurz,토마스 루르츠
Nils Winter,닐스 빈터
Erwin Planck,에르빈 플랑크
Alfred Weidenmann,알프레트 바이덴만
Dietrich Bonhoeffer,디트리히 본회퍼
Rudolf Bultmann,루돌프 불트만
Ina Müller,이나 뮐러
Norbert Thimm,노르베르트 팀
Juli Zeh,율리 체
Philipp Melanchthon,필리프 멜란히톤
Erika Mann,에리카 만
Wilhelm Keitel,빌헬름 카이텔
Bernd Michael Lade,베른트 미하엘 라데
Mesut Özil,메수트 외질
Annett Renneberg,아네트 레네베르그
Uwe Johnson,우베 욘존
Ludwig Hofmann,루트비히 호프만
Jürgen Klopp,위르겐 클로프
Nikolaus Ludwig von Zinzendorf,니콜라우스 루트비히 폰 친첸도르프
Horst Tappert,호르스트 타파트
Jens Böhrnsen,옌스 뵈른젠
Hans Söhnker,한스 죙커
Arnold Gehlen,아르놀트 겔렌
Rosi Mittermaier,로지 미터마이어
Hans-Georg Gadamer,한스-게오르크 가다머
Valeska Gert,발레스카 거트
Tomasz Wałdoch,토마시 바우도흐
Hans Zimmer,한스 짐머
Heinrich August Winkler,하인리히 아우구스트 빙클러
Paul Frielinghaus,폴 프링링하우스
Ingo Steinhöfel,잉고 슈타인회펠
Sven Regener,스벤 레게너
Ulrich Pinner,울리히 피너
Jörg Pilawa,외르크 필라바
Viktoria Brams,빅토리아 브람스
Walther Meißner,발터 마이스너
Richard Röstel,리하르트 뢰스텔
Lilli Lehmann,릴리 레만
Helmuth Rilling,헬무트 릴링
Mirko Slomka,미르코 슬롬카
Friedrich von Huene,프리드리히 폰 후에네
Detlef Schrempf,데틀레프 슈렘프
Rudi Cerne,루디 체르네
Uwe Timm,우베 팀
Hans Speidel,한스 슈파이델
Karl Böhm,카를 뵘
Dieter Thoma,디터 토마
Rudolf Jugert,루돌프 주거트
Wilhelm Kaisen,빌헬름 카이젠
Maria Antonia Walpurgis von Bayern,바이에른의 마리아 안토니아
Gökhan Töre,괴크한 퇴레
Jürgen Sundermann,위르겐 준더만
Eva Renzi,에바 렌치
Karl-Josef Rauber,칼요제프 라우버
Sabine Hack,사비네 하크
Alfred Vohrer,알프레드 보렐
Elga Andersen,엘가 앤더슨
Thomas Wessinghage,토마스 베싱하게
Reinhold Mack,라인홀트 맥
Oliver Grau,올리버 그라우
Joachim Kerzel,요아킴 케첼
Fritz Schäffer,프리츠 셰퍼
Rolf Gehring,롤프 게링
Heidemarie Wieczorek-Zeul,하이데마리 비초레크초일
Armin Laschet,아르민 라셰트
Ingo Naujoks,잉고 나우욕스
Petra Felke,페트라 펠케
Jakob Michael Reinhold Lenz,야코프 미하엘 라인홀트 렌츠
Christian Oliver,크리스티안 올리버
Franz Ludwig Schenk Graf von Stauffenberg,프란츠루트비히 솅크 그라프 폰 슈타우펜베르크
Kurt Sieveking,쿠르트 지베킹
Angela Schanelec,앙겔라 샤넬레크
Jürgen Habermas,위르겐 하버마스
Kurt Schmücker,쿠르트 슈뮈커
Gerhard Jahn,게르하르트 얀
Anja Jaenicke,안자 재닉
Karl Dönitz,카를 되니츠
Carl Ludwig Siegel,카를 루트비히 지겔
Max Dehn,막스 덴
Cordula Trantow,코르둘라 트란토
Ulrike Folkerts,율리크 폴커츠
Gustav Landauer,구스타프 란다우어
Charles Bukowski,찰스 부코스키
Ralf Dujmovits,랄프 두이모비츠
Pascual Jordan,파스쿠알 요르단
Carl Brandan Mollweide,카를 몰바이데
Agnes Bernauer,아그네스 베르나우어
Hinrich Wilhelm Kopf,하인리히 빌헬름 코프
Rudolf Peierls,루돌프 파이얼스
Antje Möldner-Schmidt,안톄 묄트너슈미트
Kurt Eisner,쿠르트 아이스너
Julius Neßler,율리우스 네슬러
Helmut Hasse,헬무트 하세
Talla 2XLC,크기 2XLC
Barnaby Metschurat,바나비 메츠슈럿
Magdalena Neuner,마그달레나 노이너
Kurt Hensel,쿠르트 헨젤
Moritz Pasch,모리츠 파슈
Michael Habeck,미하엘 하베크
Friedrich Hirzebruch,프리드리히 히르체브루흐
Walther Bothe,발터 보테
Dieter Rams,디터 람스
Carl Philipp Emanuel Bach,카를 필리프 에마누엘 바흐
Kirsten Dunst,커스틴 던스트
Hermann Vallentin,헤르만 발렌틴
Ulrike Mai,울리 케 마이
Alexander Waske,알렉산더 바스케
Otto Zöckler,오토 최클러
Michael Ende,미하엘 엔데
Rolf Milser,롤프 밀저
Ruth Drexel,루스 드렉 셀
Stella Heiß,슈텔라 하이스
Marc Kühne,마르크 퀴네
Lucas Wolf,루카스 볼프
Erika Mann,에리카 만
Rainer Maria Rilke,라이너 마리아 릴케
Franz Schafheitlin,프란즈 샤프헤이틀린
Alfred Zeisler,알프레드 자이슬러
Johann Pachelbel,요한 파헬벨
Konrad Heiden,콘라트 하이덴
Alexandra Wenk,알렉산드라 벵크
Herbert Knaup,헤르베르트 크나우프
Thomas Mann,토마스 만
Wolfgang Ketterle,볼프강 케털리
Gisela Hahn,기셀라 한
Heinrich Mann,하인리히 만
Ursula Karven,우르줄라 카르벤
Max Scheler,막스 셸러
Alexander Kröckel,알렉산더 크뢰켈
Corinna Scholz,코리나 숄츠
Olivia Pascal,올리비아 파스칼
Arthur Werner,아르투어 베르너
Gerhard Kowalewski,게르하르트 코발레프스키
Jürgen Ehlers,위르겐 엘러스
Malu Dreyer,말루 드라이어
Martin Stadtfeld,마르틴 슈타트펠트
