Lionel Messi,リオネル・メッシ
Franco Uncini,フランコ・ウンチーニ
Giuseppe Andaloro (pianista),ジュゼッペ・アンダローロ
Antonio Pugliese,トニー・パリシ
Sergio Fiorentino,セルジオ・フィオレンティーノ
Alessandro Potenza,アレッサンドロ・ポテンツァ
Piero De Palma,ピエロ・デ・パルマ
Ignazio Giunti,イグナツィオ・ギュンティ
Eugenio Castellotti,エウジェニオ・カステロッティ
Beppe Gabbiani,ベッペ・ガビアーニ
Lamberto Leoni,ランベルト・レオーニ
Domenico Berardi,ドメニコ・ベラルディ
Adalberto Libera,アダルベルト・リベラ
Armin Zöggeler,アルミン・ツェゲラー
Raffaele Bianco,ラッファエレ・ビアンコ
Alessandro Altobelli,アレッサンドロ・アルトベッリ
Gianni Leoni,ジャンニ・レオーニ
Stefania Berton,ステファニア・ベルトン
Matteo Ferrari,マッテオ・フェラーリ
Gianluca Curci,ジャンルカ・クルチ
Susanna Driano,スザンナ・ドリアーノ
Anna Galiena,アンナ・ガリエナ
Alberto Burri,アルベルト・ブッリ
Ivan Zaytsev,イバン・ザイツェフ
Silvio Martinello,シルビオ・マルティネッロ
Antonio Bacci,アントニオ・バッチ
Michele Bartoli,ミケーレ・バルトリ
Licio Gelli,リーチオ・ジェッリ
Battista Farina,バッティスタ・ファリーナ
Tullio Serafin,トゥリオ・セラフィン
Nello Pagani,ネッロ・パガーニ
Aldo Costa,アルド・コスタ
Luigi Bartolini,ルイジ・バルトリーニ
Pietro Vierchowod,ピエトロ・ヴィエルコウッド
Bruno Maderna,ブルーノ・マデルナ
Luigi Ganna,ルイジ・ガンナ
Gianpiero Combi,ジャンピエロ・コンビ
Sandro Munari,サンドロ・ムナーリ
Davide Di Gennaro,ダヴィデ・ディ・ジェンナーロ
Oscar Gatto,オスカル・ガット
Matteo Tosatto,マッテオ・トザット
Giuliano Gemma,ジュリアーノ・ジェンマ
Elsa Schiaparelli,エルザ・スキャパレッリ
Roberto Abbado,ロベルト・アバド
Marco Apicella,マルコ・アピチェラ
Renzo Zorzi (pilota automobilistico),レンツォ・ゾルジ
Siegfried Stohr,ジークフリート・ストール
Aldo Clementi,アルド・クレメンティ
Matteo Carrara,マッテオ・カッラーラ
Roberto Mussi,ロベルト・ムッシ
Lorenzo Minotti,ロレンツォ・ミノッティ
Federico Faggin,フェデリコ・ファジン
Marco Galiazzo,マルコ・ガリアッツォ
Alberto Zedda,アルベルト・ゼッダ
Massimo Taibi,マッシモ・タイービ
Cristiano Doni,クリスティアーノ・ドニ
Damiano Tommasi,ダミアーノ・トンマージ
Nicola Cabibbo,ニコラ・カビボ
Simone Padoin,シモーネ・パドイン
Gianmarco Zigoni,ジャンマルコ・ジゴーニ
Valentino Mazzola,ヴァレンティーノ・マッツォーラ
Daniel Fonseca,ダニエル・フォンセカ
Ivan Pelizzoli,イバン・ペリッツォーリ
Ray Lovelock,レイ・ラブロック
Afro Poli,アフロ・ポーリ
Paolo Martin,パオロ・マルティン
Fausto Cercignani,ファウスト・チェルチニャーニ
Sergio Pellissier,セルジオ・ペリッシエール
Paolo Schianchi,パオロ・スキアンキ
Carlo Facetti,カルロ・ファセット
Filippo Timi,フィリッポ・ティーミ
Davide Faraoni,マルコ・ダヴィデ・ファラオーニ
Pier Ferdinando Casini,ピエル・フェルディナンド・カジーニ
Luca Badoer,ルカ・バドエル
Giancarlo Fisichella,ジャンカルロ・フィジケラ
Victor de Sabata,ヴィクトル・デ・サバタ
Roberto Cavalli,ロベルト・カバリ
Alcides Ghiggia,アルシデス・ギジャ
Giuseppe Sculli,ジュゼッペ・スクッリ
Gaetano Starrabba,ガエターノ・スタルラッバ
Fabrizio Barbazza,ファブリツィオ・バルバッツァ
Riccardo Patrese,リカルド・パトレーゼ
Alex Caffi,アレックス・カフィ
Andrea Montermini,アンドレア・モンテルミーニ
Nicola Larini,ニコラ・ラリーニ
Mark Iuliano,マルク・ユリアーノ
Gabriele Oriali,ガブリエーレ・オリアーリ
Dino Grandi,ディーノ・グランディ
Daniele Massaro,ダニエレ・マッサーロ
Michele Pirro,ミケーレ・ピロ
Andrea Della Valle (imprenditore),アンドレア・デッラ・ヴァッレ
Emanuele Sella,エマヌエーレ・セッラ
Silvio Gazzaniga,シルビオ・ガザニガ
Franco Pellizotti,フランコ・ペッリツォッティ
Rosario Scalero,ロザリオ・スカレロ
Patty Pravo,パティ・プラヴォ
Anna Falchi,アンナ・ファルチ
Elsa Martinelli,エルザ・マルティネッリ
Alessandro Pittin,アレッサンドロ・ピッティン
Dalila Di Lazzaro,ダリラ・ディ・ラザーロ
Carla Fracci,カルラ・フラッチ
Bruno Zumino,ブルーノ・ズミノ
Roberto Calasso,ロベルト・カラッソ
Guido Bontempi,ギド・ボンテンピ
Piercarlo Ghinzani,ピエルカルロ・ギンザーニ
Michele Alboreto,ミケーレ・アルボレート
Domenico Schiattarella,ドメニコ・スキャッタレーラ
Alessandro Nannini,アレッサンドロ・ナニーニ
Elio De Angelis,エリオ・デ・アンジェリス
Bruno Giacomelli,ブルーノ・ジャコメリ
Lorenzo Bandini,ロレンツォ・バンディーニ
Massimiliano Allegri,マッシミリアーノ・アッレグリ
Nereo Rocco,ネレオ・ロッコ
Andrea Dovizioso,アンドレア・ドヴィツィオーゾ
Giulio Angioni,ジュリオ・アンジョーニ
Gianmaria Bruni,ジャンマリア・ブルーニ
Andrea de Adamich,アンドレア・デ・アダミッチ
Alex Zanardi,アレッサンドロ・ザナルディ
Rosy Bindi,ロージー・ビンディ
Stefano Domenicali,ステファノ・ドメニカリ
Flavio Briatore,フラビオ・ブリアトーレ
Andrea De Cesaris,アンドレア・デ・チェザリス
Daniele Barioni,ダニエーレ・バリオーニ
Naike Rivelli,ナイケ・リベリ
Alberto Bigon,アルベルト・ビゴン
Gian Luigi Polidoro,ジャン・ルイジ・ポリドロ
Marino Basso,マリーノ・バッソ
Marco Lucchinelli,マルコ・ルッキネリ
Enrico Letta,エンリコ・レッタ
Rinaldo Capello,リナルド・カペッロ
Ennio Fantastichini,エンニオ・ファンタスティキーニ
Pierfrancesco Favino,ピエルフランチェスコ・ファヴィーノ
Giulio Polerio,ジュリオ・ポレリオ
Fernando De Napoli,フェルナンド・デ・ナポリ
Riccardo Paletti,リカルド・パレッティ
Carlo Ginzburg,カルロ・ギンズブルグ
Bernardo Pasquini,ベルナルド・パスクィーニ
Franco Causio,フランコ・カウジオ
Matteo Brighi,マッテオ・ブリーギ
Vincent Gardenia,ヴィンセント・ガーディニア
Gabriele Ferzetti,ガブリエーレ・フェルツェッティ
Pasquale Foggia,パスクアーレ・フォッジャ
Mattia Preti,マッティア・プレーティ
Alessandra Amoroso,アレッサンドラ・アモローゾ
Leandro Rinaudo,レアンドロ・リナウド
Salvatore Aronica,サルヴァトーレ・アロニカ
Gian Carlo Minardi,ジャンカルロ・ミナルディ
Aurelio Lampredi,アウレリオ・ランプレディ
Gioachino Colombo,ジョアッキーノ・コロンボ
Raphael Gualazzi,ラファエル・グアラッツィ
Domenico Starnone,ドメニコ・スタルノーネ
Nicolás Pareja,ニコラス・パレハ
Danny Huston,ダニー・ヒューストン
Marco Pinotti,マルコ・ピノッティ
Geki (pilota automobilistico),ジャコモ・ルッソ
Max Papis,マッシミリアーノ・パピス
Nanni Galli,ナンニ・ギャリ
Gabriele Tarquini,ガブリエル・タルキーニ
Paolo Giordano (scrittore),パオロ・ジョルダーノ
Joe Manganiello,ジョー・マンガニエロ
Francesco Graziani,フランチェスコ・グラツィアーニ
Mario Beretta,マリオ・ベレッタ
Bruno Conti,ブルーノ・コンティ
Riccardo Riccò,リカルド・リッコ
Filippo Pozzato,フィリッポ・ポッツァート
Franco Maria Malfatti,フランコ・マリア・マルファッティ
Carlos Diogo,カルロス・ディオゴ
Fabrizio Giovanardi,ファブリツィオ・ジョヴァナルディ
Gianluca Rocchi,ジャンルカ・ロッキ
Armando Picchi,アルマンド・ピッキ
Mario Cipollini,マリオ・チポリーニ
Gianni Agnelli,ジャンニ・アニェッリ
Miguel Bosé,ミゲル・ボセ
Mariacarla Boscono,マリアカルラ・ボスコーノ
Fábio Deivson Lopes Maciel,ファビオ・デイヴソン・ロペス・マシエウ
Silvio Orlando,シルヴィオ・オルランド
Giorgio Battistelli,ジョルジオ・バティステッリ
Giorgio Ascanelli,ジョルジオ・アスカネッリ
Mauro Forghieri,マウロ・フォルギエリ
Tazio Nuvolari,タツィオ・ヌヴォラーリ
Carlo Ancelotti,カルロ・アンチェロッティ
Armando Trovajoli,アルマンド・トロヴァヨーリ
Vittorio Gregotti,ヴィットリオ・グレゴッティ
Fabrizio Meoni,ファブリツィオ・メオーニ
Gianfranco Ferré,ジャンフランコ・フェレ
Roberto Locatelli,ロベルト・ロカテリ
Cesare Zavattini,チェーザレ・ザヴァッティーニ
Luigi Lo Cascio,ルイジ・ロ・カーショ
Chiara Di Iulio,キアラ・ディウリオ
Giuseppe Baresi,ジュゼッペ・バレージ
Giovanni Sartori,ジョヴァンニ・サルトーリ
Jádson,ジャジソン・ロドリゲス・ダ・シルバ
Alessandro Ballan,アレッサンドロ・バッラン
Paolo Orlandoni,パオロ・オルランドーニ
Salvator Rosa,サルヴァトル・ローザ
Franco Balmamion,フランコ・バルマミオン
Davide Valsecchi,ダヴィデ・ヴァルセッキ
Paul G. Comba,パオロ・G・コンバ
Costante Girardengo,コスタンテ・ジラルデンゴ
Enrico Mattei,エンリコ・マッテイ
Francesco Guidolin,フランチェスコ・グイドリン
Mario Rigoni Stern,マーリオ・リゴーニ・ステルン
Sal Borgese,サル・ボルジェーセ
Paolo Rossi (calciatore 1956),パオロ・ロッシ
Artur Moraes,アルトゥール・モラエス
Dante Spinotti,ダンテ・スピノッティ
Saverio di Borbone-Parma,ハビエル・デ・ボルボン＝パルマ
Cesare Siepi,チェーザレ・シエピ
Michele Scarponi,ミケーレ・スカルポーニ
Mauro Esposito,マウロ・エスポージト
Tito Gobbi,ティート・ゴッビ
Pericle Fazzini,ペリクレ・ファッツィーニ
Jannis Kounellis,ヤニス・クネリス
Leopoldo Trieste,レオポルド・トリエステ
Emilio Scanavino,エミリオ・スカナヴィーノ
Christian Riganò,クリスティアン・リガノ
Piero Manzoni,ピエロ・マンゾーニ
Giuseppe Mascara,ジュゼッペ・マスカーラ
Salvatore Giuliano,サルヴァトーレ・ジュリアーノ
Joe D'Amato,ジョー・ダマト
Dario Marianelli,ダリオ・マリアネッリ
Ugo Frigerio,ウーゴ・フリジェリオ
Danilo Napolitano,ダニーロ・ナポリターノ
Charles Ponzi,チャールズ・ポンジ
Gazebo (cantante),ガゼボ・(歌手)
Rinaldo Nocentini,リナルド・ノチェンティーニ
Vjačeslav Ivanovič Ivanov,ヴャチェスラフ・イヴァーノフ
Paolo Villaggio,パオロ・ヴィラッジョ
Learco Guerra,レアルコ・グエッラ
Giuseppe Taddei,ジュゼッペ・タッデイ
Bernardo Corradi,ベルナルド・コッラーディ
Francesco Tavano,フランチェスコ・タヴァーノ
Paolo Benvenuti,パオロ・ベンヴェヌーティ
Max Biaggi,マックス・ビアッジ
Louis de Breda Handley,ルイス・ハンドリー
Salvatore Licitra,サルヴァトーレ・リチートラ
Fausto Bertinotti,ファウスト・ベルティノッティ
Immacolata Sirressi,イマコラータ・シレッシ
Gianni Amelio,ジャンニ・アメリオ
Bruno Zevi,ブルーノ・ゼヴィ
Gabriele Muccino,ガブリエレ・ムッチーノ
Calogero Vizzini,カロジェロ・ヴィッツィーニ
Dino Zoff,ディノ・ゾフ
Manuel Pasqual,マヌエル・パスクアル
Giorgio Chinaglia,ジョルジョ・キナーリャ
Vittorio Storaro,ヴィットリオ・ストラーロ
Daniele Bennati,ダニエーレ・ベンナーティ
Enrico Gasparotto,エンリコ・ガスパロット
Roberto Regazzi,ロベルト・レガッツィ
Andrea Noè,アンドレア・ノエ
Claudio Marchisio,クラウディオ・マルキジオ
Edoardo Mortara,エドアルド・モルタラ
Roberto De Simone,ロベルト・デ・シモーネ
Edoardo Amaldi,エドアルド・アマルディ
Marco Sau,マルコ・サウ
Claudio Baglioni,クラウディオ・バリオーニ
Chiara Arcangeli,キアラ・アルカンジェリ
Carlo Galetti,カルロ・ガレッティ
Nello Santi,ネルロ・サンティ
Ercole Spada,エルコーレ・スパーダ
Adolfo Consolini,アドルフォ・コンソリーニ
Adolfo Baloncieri,アドルフォ・バロンチェーリ
Adolfo Celi,アドルフォ・チェリ
Alberto Cova,アルベルト・コバ
Paolo Maldini,パオロ・マルディーニ
Amy Adams,エイミー・アダムス
Antonio Cassano,アントニオ・カッサーノ
Enzo Ferrari,エンツォ・フェラーリ
Juan Martín Maldacena,フアン・マルダセナ
Vittorio Caprioli,ヴィットリオ・カプリオーリ
Alberto Savinio,アルベルト・サヴィニオ
Arnaldo Pambianco,アルナルド・パンビアンコ
Joe Adonis,ジョー・アドニス
David Di Michele,ダビド・ディ・ミケーレ
Tommaso Landolfi,トンマーゾ・ランドルフィ
Antonio Stradivari,アントニオ・ストラディバリ
Alberto Gilardino,アルベルト・ジラルディーノ
Fabio Capello,ファビオ・カペッロ
Ivano Bordon,イヴァノ・ボルドン
Rita Levi-Montalcini,リータ・レーヴィ＝モンタルチーニ
Fulvio Collovati,フルヴィオ・コッロヴァーティ
Gianluca Zambrotta,ジャンルカ・ザンブロッタ
Cesare Bovo,チェーザレ・ボヴォ
Mario Scelba,マリオ・シェルバ
Toto Cutugno,トト・クトゥーニョ
Paolo Negro,パオロ・ネグロ
Davide Lanzafame,ダヴィデ・ランザファーメ
Ricky Tognazzi,リッキー・トニャッツィ
Daria Nicolodi,ダリア・ニコロディ
Bartolomeo Pagano,バルトロメオ・パガーノ
Gigi Proietti,ジジ・プロイエッティ
Francesco Moser,フランチェスコ・モゼール
Massimo Scolari,マッシモ・スコラーリ
Johnny Torrio,ジョニー・トーリオ
Francesco Saverio Nitti,フランチェスコ・サヴェリオ・ニッティ
Sani Bečirovič,サニ・ベシロビッチ
Guglielmo Stendardo,グリエルモ・ステンダルド
Pierluigi Collina,ピエルルイジ・コッリーナ
Gianbattista Baronchelli,ジャンバッティスタ・バロンケッリ
Dino Zandegù,ディーノ・ザンデグー
Mauricio Macri,マウリシオ・マクリ
Luigi Pareyson,ルイジ・パレイゾン
Pierfranco Vianelli,ピエルフランコ・ヴィアネッリ
Andrea Anastasi,アンドレア・アナスタージ
Michael Agazzi,ミカエル・アガッツィ
Emilio Lussu,エミリオ・ルッス
Gianni De Biasi,ジャンニ・デ・ビアージ
Daniele Dessena,ダニエレ・デッセーナ
Carlo Rubbia,カルロ・ルビア
Riccardo Giacconi,リカルド・ジャコーニ
Nicola Caricola,ニコラ・カリコラ
Francesca Schiavone,フランチェスカ・スキアボーネ
Gianluigi Galli,ジャンルイジ・ガリ
Andrea Collinelli,アンドレア・コッリネッリ
Andrea Cossu,アンドレア・コッス
Andrea Esposito,アンドレア・エスポージト
Andrea Fortunato,アンドレア・フォルトゥナート
Roberto Tricella,ロベルト・トリセラ
Anselmo Robbiati,アンセルモ・ロヴィアーティー
Andrea Lucchetta,アンドレア・ルケッタ
Vincenzo Sospiri,ヴィンセンツォ・ソスピリ
Bruno Sammartino,ブルーノ・サンマルチノ
Carlo Zecchi,カルロ・ゼッキ
Rinaldo Alessandrini,リナルド・アレッサンドリーニ
Ettore Bastico,エットーレ・バスティコ
Giovanni Lombardi (ciclista),ジョヴァンニ・ロンバルディ
Carlo Abarth,カルロ・アバルト
Massimo Ambrosini,マッシモ・アンブロジーニ
Sergio Parisse,セルジオ・パリセ
Leo Nomellini,レオ・ノメリーニ
Marco Materazzi,マルコ・マテラッツィ
Massimo Cacciari,マッシモ・カッチャーリ
Gian Piero Gasperini,ジャン・ピエロ・ガスペリーニ
Luca Toni,ルカ・トーニ
Andrea Gasbarroni,アンドレア・ガスバッローニ
Claudio Langes,クラウディオ・ランジェス
Piero Sraffa,ピエロ・スラッファ
Andrea Carnevale,アンドレア・カルネヴァーレ
Andrea Cassarà,アンドレア・カッサーラ
Anthony Steffen,アンソニー・ステファン
Pietro Parolin,ピエトロ・パロリン
Andrea Bertolini,アンドレア・ベルトリーニ
Andrea Boattini,アンドレア・ボアッティーニ
Renato Salvatori,レナート・サルヴァトーリ
Luciano Salce,ルチアーノ・サルチェ
Vittorio Emanuele di Savoia (1937),ヴィットーリオ・エマヌエーレ・ディ・サヴォイア
Elena Ferrante,エレナ・フェッランテ
Andrea Guardini,アンドレア・グアルディーニ
Andrea Iannone,アンドレア・イアンノーネ
Andrea Masiello,アンドレア・マジエッロ
Andrea Mantovani,アンドレア・マントヴァーニ
Andrea Mandorlini,アンドレア・マンドルリーニ
Alfredo Ottaviani,アルフレド・オッタビアーニ
Giacomo Balla,ジャコモ・バッラ
Aldo Busi,アルド・ブージ
Christian Vieri,クリスティアン・ヴィエリ
Reinhold Messner,ラインホルト・メスナー
Mauro Camoranesi,マウロ・カモラネージ
Franco Baresi,フランコ・バレージ
Riccardo Chailly,リッカルド・シャイー
Walter Mazzarri,ワルテル・マッツァーリ
Delio Rossi,デリオ・ロッシ
Ruggiero Rizzitelli,ルジェーロ・リッツィテッリ
Clyde Geronimi,クライド・ジェロニミ
Mario Zanin,マリオ・ツァニン
Gustavo Petro,グスタボ・ペトロ
Gianni Poggi,ジャンニ・ポッジ
Fabiano Santacroce,ファビアーノ・サンタクローチェ
Felice Casorati,フェリーチェ・カゾラーティ・(画家)
Domenico Paladino,ミンモ・パラディーノ
Franco Semioli,フランコ・セミオーリ
Giuseppe Galderisi,ジュゼッペ・ガルデリシ
Marino Marini (scultore),マリノ・マリーニ
Maurizio Ganz,マウリツィオ・ガンツ
Fabio Lione,ファビオ・リオーネ
Eros Capecchi,エロス・カペッキ
Gianpiero Marini,ジャンピエロ・マリーニ
Corrado Alvaro,コラード・アルバロ
Maurizio Stecca,マウリシオ・ステッカ
Bruno Sacco,ブルーノ・サッコ
Carmelo Bossi,カルメロ・ボッシ
Francesco Antonioli,フランチェスコ・アントニオーリ
Alfonso Calzolari,アルフォンソ・カルツォラーリ
Matteo Priamo,マッテオ・プリアーモ
Luca Marrone,ルカ・マッローネ
Renzo Piano,レンゾ・ピアノ
Moreno Torricelli,モレノ・トリチェッリ
Nuccio Ordine,ヌッチョ・オルディネ
Zetti,アルメリーノ・ドニゼッティ・クワリアト
Nicola Leali,ニコラ・レアーリ
Emanuele Giaccherini,エマヌエレ・ジャッケリーニ
Stefano Tacconi,ステファノ・タッコーニ
Claudio Chiappucci,クラウディオ・キアプッチ
Francesco Camusso,フランチェスコ・カムッソ
Fortunato Baliani,フォルトゥナート・バリアーニ
Adriano Baffi,アドリアーノ・バッフィ
Giovanni Arrighi,ジョヴァンニ・アリギ
Antonio Chimenti,アントニオ・キメンティ
Roger Piantoni,ロジェ・ピアントニ
Giuseppe Baldini,ジュゼッペ・バルディーニ
Dario David Cioni,ダリオ・チオーニ
Ugo Fano,ウーゴ・ファノ
Giuliano Giannichedda,ジュリアーノ・ジャンニケッダ
Eberardo Pavesi,エベラルド・パヴェージ
Mike D'Antoni,マイク・ダントーニ
Nicola Pietrangeli,ニコラ・ピエトランジェリ
Joseph Bonanno,ジョゼフ・ボナンノ
Roberto Cecon,ロベルト・チェコン
Pietro Caucchioli,ピエトロ・カウッキオーリ
Franco Bitossi,フランコ・ビトッシ
Giacomo Alberione,ヤコブ・アルベリオーネ
Artemide Zatti,アルテミデ・ザッティ
Ernesto Brambilla,エルネスト・ブランビラ
Nicola Ventola,ニコラ・ヴェントラ
Francesco Chicchi,フランチェスコ・キッキ
Nicola di Grecia (1969),ニコラオス・ティス・エラザス・(1969-)
Alberto Aquilani,アルベルト・アクィラーニ
Vincenzo Iaquinta,ヴィンチェンツォ・イアクインタ
Giuseppe Meazza,ジュゼッペ・メアッツァ
Thiago Motta,ティアゴ・モッタ
Benedetto Croce,ベネデット・クローチェ
Fiorenzo Magni,フィオレンツォ・マーニ
Luciano Pigozzi,ルチアーノ・ピゴッツィ
Francesco Panetta,フランチェスコ・パネッタ
Massimo Ficcadenti,マッシモ・フィッカデンティ
Luca Cadalora,ルカ・カダローラ
Giovanni Pasquale,ジョヴァンニ・パスクアーレ
Manuel Quinziato,マヌエル・クインツィアート
Marco Simoncelli,マルコ・シモンチェリ
Bettino Craxi,ベッティーノ・クラクシ
Pio da Pietrelcina,ピオ神父
Gianni Rodari,ジャンニ・ロダーリ
Paolo Lorenzi,パオロ・ロレンツィ
Luigi Padovese,ルイージ・パドヴェーゼ
Souleymane Diamoutene,スレイマン・ディアムテーヌ
Bruno Munari,ブルーノ・ムナーリ
Salvatore Accardo,サルヴァトーレ・アッカルド
Diego Lugano,ディエゴ・ルガーノ
Paolo Sorrentino,パオロ・ソレンティーノ
Andrea Raggi,アンドレア・ラッジ
Francesco Moriero,フランチェスコ・モリエーロ
Giovanni Sollima,ジョヴァンニ・ソッリマ
Andrea Tafi,アンドレア・タフィ
Daniele Bagnoli,ダニエレ・バニョーリ
Gelindo Bordin,ジェリンド・ボルディン
Adriano Celentano,アドリアーノ・チェレンターノ
Pietro Badoglio,ピエトロ・バドリオ
Mirka Francia,ミルカ・フランシア
Adriano Panatta,アドリアーノ・パナッタ
Adriano Malori,アドリアーノ・マローリ
Giovanni Galli,ジョバンニ・ガッリ
Marzio Bruseghin,マルツィオ・ブルセギン
Antonio Bailetti,アントニオ・バイレッティ
Giuseppe Occhialini,ジュセッペ・オキャリーニ
Marco Marcato,マルコ・マルカート
Vasco Bergamaschi,ヴァスコ・ベルガマスキ
Giovanni Battista Caproni,ジョヴァンニ・バッチスタ・カプロニ
Samuele Longo,サムエレ・ロンゴ
Maurizio Fondriest,マウリツィオ・フォンドリエスト
Francesco Bardi,フランチェスコ・バルディ
Paolo Marella,パウロ・マレラ
Simone Rosalba,シモーネ・ロサルバ
Domenico Modugno,ドメニコ・モドゥーニョ
Giuliano Amato,ジュリアーノ・アマート
Federico Ferrari,フェデリコ・フェラーリ
Mario Sereni,マリオ・セレーニ
Giulio Castagnoli,ジュリオ・カスタニョリ
Lou Castel,ルー・カステル
Igor Markevitch,イーゴリ・マルケヴィチ
Tarcisio Burgnich,タルチシオ・ブルニチ
Aldo Protti,アルド・プロッティ
Mario Castelnuovo-Tedesco,マリオ・カステルヌオーヴォ＝テデスコ
Carlo Rambaldi,カルロ・ランバルディ
Lorenzo Bernucci,ロレンツォ・ベルヌッチ
Carlo Zotti,カルロ・ゾッティ
Andrea Gaudenzi,アンドレア・ガウデンツィ
Margherita Buy,マルゲリータ・ブイ
Guido Cantelli,グィード・カンテッリ
Daniele Nardello,ダニエーレ・ナルデッロ
Luca Cambiaso,ルカ・カンビアーゾ
Gastone Nencini,ガストネ・ネンチーニ
Angelo Mangiarotti,アンジェロ・マンジャロッティ
Isabella Rossellini,イザベラ・ロッセリーニ
Simone Pepe,シモーネ・ペペ
Salvatore Luria,サルバドール・エドワード・ルリア
Pierluigi Casiraghi,ピエルルイジ・カシラギ
Giovannino Guareschi,ジョバンニ・グァレスキ
Ivan Gotti,イヴァン・ゴッティ
Carlo Campogalliani,カルロ・カンポガリアーニ
George Pan Cosmatos,ジョージ・P・コスマトス
Giovan Battista Moroni,ジョヴァンニ・バッティスタ・モローニ
Stefano Guberti,ステファノ・グベルティ
Antonello Cuccureddu,アントネッロ・クックレドゥ
Giuseppe Colombo (matematico),ジュゼッペ・コロンボ
Maximilian Sciandri,マキシミリアン・シャンドリ
Roberto Ferrari (ciclista),ロベルト・フェッラーリ
Mario Cecchi Gori,マリオ・チェッキ・ゴーリ
Franco Modigliani,フランコ・モディリアーニ
Flavia Pennetta,フラビア・ペンネッタ
Carlo Cudicini,カルロ・クディチーニ
Stéphane Grappelli,ステファン・グラッペリ
Giovanni Falcone,ジョヴァンニ・ファルコーネ
Pontormo,ヤコポ・ダ・ポントルモ
Giacomo Manzù,ジャコモ・マンズー
Francesco Casagrande,フランチェスコ・カーザグランデ
Andrew Viterbi,アンドリュー・ビタビ
Davide Fontolan,ダビデ・フォントラン
Alessandro Pier Guidi,アレッサンドロ・ピエール・グイディ
Pompeo Batoni,ポンペオ・バトーニ
Antonino Rocca,アントニオ・ロッカ
Antonino Votto,アントニーノ・ヴォットー
Mauro Santambrogio,マウロ・サンタンブロージョ
Francesco Baiano,フランチェスコ・バイアーノ
Guccio Gucci,グッチオ・グッチ
Luca Rossettini,ルカ・ロッセッティーニ
Simone Corsi,シモーネ・コルシ
Titta Ruffo,ティッタ・ルッフォ
Piero Liatti,ピエロ・リアッティ
Roberto Calvi,ロベルト・カルヴィ
Lamberto Dini,ランベルト・ディーニ
Tranquillo Barnetta,トランクイロ・バルネッタ
Leonardo Bonucci,レオナルド・ボヌッチ
Milo Manara,ミロ・マナラ
Giancarlo Antognoni,ジャンカルロ・アントニョーニ
Annunzio Paolo Mantovani,マントヴァーニ
Ildebrando Pizzetti,イルデブランド・ピツェッティ
Samantha Cristoforetti,サマンサ・クリストフォレッティ
Stefano Baldini,ステファノ・バルディーニ
Goffredo Petrassi,ゴッフレド・ペトラッシ
Alessandro Passerin d'Entrèves,アレクサンダー・パッセリン・ダントレーヴ
Nevio Scala,ネヴィオ・スカラ
Roberto Rolfo,ロベルト・ロルフォ
Pino Caruso,ピノ・カルーソ
Fratello Metallo,チェザーレ・ボニッチ
Vigor Bovolenta,ヴィゴール・ボボレンタ
Giampaolo Caruso,ジャンパオロ・カルーゾ
Rachele Guidi,ラケーレ・グイーディ
Vittorio Grigolo,ヴィットリオ・グリゴーロ
Giuseppe Tucci,ジュゼッペ・トゥッチ
Alessandro Diamanti,アレッサンドロ・ディアマンティ
Federico Macheda,フェデリコ・マケダ
Lucky Luciano,ラッキー・ルチアーノ
Giorgio Di Centa,ジョルジョ・ディ・チェンタ
Martina Guiggi,マルティーナ・グイッジ
Valentino (stilista),ヴァレンティノ・ガラヴァーニ
Massimo Bottura,マッシモ・ボットゥーラ
Domenico Di Carlo,ドメニコ・ディ・カルロ
Mattia De Sciglio,マッティア・デ・シリオ
Corrado Gini,コッラド・ジニ
Davide Rebellin,ダヴィデ・レベッリン
Mario Trevi (cantante),マリオ・トレビ
Roberto Soriano,ロベルト・ソリアーノ
Italo Montemezzi,イタロ・モンテメッツィ
Mauro Formica,マウロ・フォルミカ
Antonio Carluccio,アントニオ・カルルッチョ
Antonio Cavoli,アントニオ・カヴォリ
Giuliano Bonfante,ジュリアーノ・ボンファンテ
Luigi Vitale,ルイジ・ヴィターレ
Marcelo Tieppo Huertas,マルセロ・ウェルタス
Duccio Tessari,ドゥッチョ・テッサリ
Tommaso Buscetta,トンマーゾ・ブシェッタ
Andrea Poli,アンドレア・ポーリ
Silvio Proto,シルヴィオ・プロト
Christian Maggio,クリスティアン・マッジョ
Ignazio Abate,イニャツィオ・アバーテ
Mauro Bellugi,マウロ・ベルージ
Pina Carmirelli,ピーナ・カルミレッリ
Jacopo Amigoni,ヤコポ・アミゴーニ
Michele Placido,ミケーレ・プラチド
Mattia Destro,マッティア・デストロ
Oliviero Toscani,オリビエーロ・トスカーニ
Robert Acquafresca,ロベルト・アクアフレスカ
Daniele Galloppa,ダニエレ・ガッロッパ
Antonio Di Gennaro (calciatore),アントニオ・ディ・ジェンナロ
Antonino Barillà,アントニーノ・バリッラ
Tomas Locatelli,トーマス・ロカテッリ
Antonio Filippini,アントニオ・フィリッピーニ
Giacomo Nizzolo,ジャコモ・ニッツォーロ
Davide Biondini,ダヴィデ・ビオンディーニ
Giacomo Bulgarelli,ジャコモ・ブルガレッリ
Lido Vieri,リード・ヴィエーリ
Goffredo Alessandrini,ゴッフレード・アレッサンドリーニ
Giulio Romano,ジュリオ・ロマーノ
Domenico Criscito,ドメニコ・クリッシト
Alessio Tacchinardi,アレッシオ・タッキナルディ
