조선민주주의인민공화국,朝鮮民主主義人民共和国
신대역 (과일),新大駅
이천청년역,伊川青年駅
임남댐,任南ダム
신안주,新安州
리과대학,平城理科大学
평양철도대학,平壌鉄道大学
흥수역,興水駅
피바다가극단,血の海歌劇団
광명성,光明星
개풍역,開豊駅
고건원선,古乾原線
고려박물관,高麗博物館
라진역,羅津駅
고성역,高城駅・(江原道)
조선민주주의인민공화국 여자 U-20 축구 국가대표팀,U-20サッカー朝鮮民主主義人民共和国女子代表
주조 러시아 대사관,在朝鮮民主主義人民共和国ロシア大使館
고읍역,古邑駅
려행증,旅行証・(朝鮮民主主義人民共和国)
금천역,金川駅・(黄海北道)
고원탄광선,高原炭鉱線
2016년 하계 올림픽 조선민주주의인민공화국 선수단,2016年リオデジャネイロオリンピックの北朝鮮選手団
풍계리 핵 실험장,豊渓里核実験場
강계선,江界線
백마선,白馬線
금골선,クムゴル線
력포역,力浦駅
신흥선,新興線
두만강역,豆満江駅
개천선,价川線
강덕선,康徳線
의주비행장,義州飛行場
덕현선,徳峴線
은률선,殷栗線
흑교역,黒橋駅
배천선,白川線
삼지연선,三池淵線
신안주청년역,新安州青年駅
조선민주주의인민공화국의 전화번호 체계,朝鮮民主主義人民共和国の電話番号
황해청년선,黄海青年線
남신의주역,南新義州駅
선천역,宣川駅
하단역 (정주),下端駅・(平安北道)
황주역,黄州駅
룡주역,龍州駅
평산역,平山駅・(黄海北道)
옹진선,甕津線
조국해방전쟁 승리 기념일,祖国解放戦争勝利記念日
평덕선,平徳線
무산선,茂山線
항구구역,港口区域
한포역,汗浦駅
회령탄광선,会寧炭鉱線
백무선,白茂線
회암선,灰岩線
정도역,鼎島駅
안골선,アンゴル線
조선민주주의인민공화국 무역은행,朝鮮民主主義人民共和国貿易銀行
철산선,鉄山線
룡담역,龍潭駅
박연폭포,朴淵瀑布
맹중리역,孟中里駅
금강산청년선,金剛山青年線
계정역,鶏井駅
만덕선,満徳線
곽산역,郭山駅
조국평화통일위원회,祖国平和統一委員会
덕산비행장,徳山飛行場
천내역,川内駅・(江原道)
재북평화통일촉진협의회,在北平和統一促進協議会
라자루스 그룹,ラザルスグループ
현내역,県内駅
문천역,文川駅
조선로동당 제5차 대회,朝鮮労働党第5次大会
세길역,セギル駅・(江原道)
화도역,花島駅
청암역,青岩駅
배화역,培花駅
송도원역,松涛園駅
4.25문화회관,4・25文化会館
둔전역 (고원),屯田駅・(咸鏡南道)
양덕역,陽徳駅
은산역,殷山駅
조선인민군 총참모부,朝鮮人民軍総参謀部
조선민주주의인민공화국의 대량살상무기,朝鮮民主主義人民共和国の大量破壊兵器
조선인민군 총정치국,朝鮮人民軍総政治局
2019년 남북미정상회담,2019年6月米朝首脳会談
삼방역,三防駅
7·4 남북 공동 성명,南北共同声明
갑산파,甲山派
동가리역,董家里駅
김정일정치군사대학,金正日政治軍事大学
광명역 (고산),光明駅・(江原道)
검불랑역,剣払浪駅
고무산역,古茂山駅
성산역 (세포),城山駅・(江原道)
남산역 (안변),南山駅・(江原道)
락천역,落川駅
가곡역,佳谷駅
금강산청년역,金剛山青年駅
김책제철련합기업소,金策製鉄所
8월 종파 사건,8月宗派事件
제11군단 (조선민주주의인민공화국),軽歩兵教導指導局
인민위원회,人民委員会
김일성방송대학,金日成放送大学
평강역 (평강),平康駅
북한한류,北鮮海流
세포청년역,洗浦青年駅
백암청년역,白岩青年駅
룡지원역,龍池院駅
대장역 (평안북도),大将駅
4월의 봄 친선예술축전,4月の春親善芸術祭
소련파,ソ連派・(朝鮮)
한국어족,朝鮮語族
리목역,梨木駅
부래산역,浮来山駅
만포청년역,満浦青年駅
반죽역,班竹駅
코로나19 범유행,新型コロナウイルス感染症の世界的流行・(2019年-)
염주역,塩州駅
신성천역,新成川駅
운암역,雲巌駅
평양원산관광도로,平壌-元山観光道路
은산선,殷山線
운산선,雲山線
운전역,雲田駅
성내역 (고원),城内駅・(咸鏡南道)
석탕온천역,石湯温泉駅
로농적위군,労農赤衛軍
조선소년단,朝鮮少年団
순안역,順安駅
다사도선,多獅島線
대교역,大橋駅・(平安南道)
태백산성역,太白山城駅
대안선,大安線
조선민주주의인민공화국의 핵개발 연표,北朝鮮核問題の年表
숙천역,粛川駅
서해갑문선,西海閘門線
태풍 기러기,キロギー
석암역,石巌駅
서흥역,瑞興駅
태왕,太王
동림역,東林駅
어파역,漁波駅
납북자,北朝鮮による韓国人拉致問題
조선민주주의인민공화국 U-20 축구 국가대표팀,U-20サッカー朝鮮民主主義人民共和国代表
려현역,礪峴駅
룡성 관저,龍城官邸
서산축구경기장,西山サッカー競技場
신계역,新渓駅
석현역,石峴駅・(黄海北道)
룡천역,龍川駅
룡강선,龍岡線
평북선,平北線
조선민주주의인민공화국의 총리,朝鮮民主主義人民共和国の首相
옥평역,玉坪駅
부포선,釜浦線
박천선,博川線
곡부 공씨,曲阜孔氏
락원역 (신의주),楽元駅
라남역,羅南駅
봉산역,鳳山駅・(黄海北道)
로하역,路下駅
양지역 (금호),陽地駅・(咸鏡南道)
북미정상회담,米朝首脳会談
덕흥리고분,徳興里古墳
주체농법,主体農法
조선문학예술총동맹,朝鮮文学芸術総同盟
득장선,得将線
3대혁명붉은기쟁취운동,三大革命赤旗獲得運動
대북전단과 대남전단,北朝鮮向けビラ
고참탄광선,古站炭鉱線
조선민주주의인민공화국 중앙검찰소,朝鮮民主主義人民共和国中央検察所
비날론선,ビナロン線
장상선,長上線
구봉산선,亀鳳山線
남양국경선,南陽国境線
조선민주주의인민공화국의 문법론,朝鮮民主主義人民共和国の文法論
청진 궤도전차,清津市電
춘두선,チュンドゥ線
대건선,戴建線
재일 조선인 북송사업,在日朝鮮人の帰還事業
홍의역,洪儀駅
해주청년역,海州青年駅
조선민주주의인민공화국 원자력공업성,原子力工業省
화성-17형,火星17
천내선,川内線
보위국,朝鮮人民軍保衛司令部
관하선,官下線
수풍선,水豊線
청진항선,清津港線
자력갱생,自力更生
최고인민회의 상임위원회,最高人民会議常任委員会
성평선,城坪線
대각선 (철도),大角線
대중율동체조,律動体操
덕남선,徳南線
락랑선,楽浪線
평양방어사령부,平壌防御司令部
창흥선,昌興線
명당선,明堂線
조선불교도련맹,朝鮮仏教徒連盟
동포선,東浦線
성진제강련합기업소,城津製鋼所
사회과학원,朝鮮社会科学院
재동선,梓洞線
직동탄광선,直洞炭鉱線
조국해방전쟁승리기념관,祖国解放戦争勝利記念館
문천항선,文川港線
서호선,西湖線
금야선,金野線
아시아의 코로나19 범유행,アジアにおける2019年コロナウイルス感染症の流行状況
조선민주주의인민공화국의 코로나19 범유행,北朝鮮における2019年コロナウイルス感染症の流行状況
조선로동당 제8차 대회,朝鮮労働党第8次大会
청년전위,青年前衛
룡암선,龍岩線
고산역 (고산),高山駅・(江原道)
강계역,江界駅
김일성 배지,金日成バッジ
동대역,東坮駅
평성역,平城駅・(平安南道)
남강덕역,南康徳駅
다사도역,多獅島駅
랑림역,狼林駅
길주청년역,吉州青年駅
금옥역,金玉駅
신남포역,新南浦駅
명천역,明川駅
수성역,輸城駅
부포역,釜浦駅
룡성역,龍城駅
삼일포역,三日浦駅
룡반역,龍蟠駅
신강령역,新康翎駅
룡문탄광선,龍門炭鉱線
무산역,茂山駅
비날론역,ビナロン駅
배천역,白川駅・(黄海南道)
복계역,福渓駅
로동자구,労働者区
동 (행정 구역),洞・(行政区画)
화성구역,和盛区域
제로코비드,ゼロコロナ政策
신전역,新田駅・(咸鏡北道)
2018년 동계 올림픽 조선민주주의인민공화국 선수단,2018年平昌オリンピックの北朝鮮選手団
2017년 8월 29일 조선민주주의인민공화국 미사일 발사,北朝鮮によるミサイル発射実験・(2017年8月)
2018년 조선민주주의인민공화국,2018年の朝鮮民主主義人民共和国
모학선,慕鶴線
2017년 조선민주주의인민공화국 핵 실험,北朝鮮の核実験・(2017年9月)
조선의 오늘,朝鮮の今日
판문구역,板門区域
문암역 (단천),門岩駅
주청진 중국 총영사관,在清津中華人民共和国総領事館
쌍암역,双岩駅・(咸鏡南道)
제14기 최고인민회의 대의원 선거,2019年朝鮮民主主義人民共和国最高人民会議選挙
곡구역,谷口駅・(咸鏡南道)
샛별-4형,セッピョル-4・(航空機)
김군옥영웅함,金君玉英雄艦
평해튼,ピョンハッタン
판문각,板門閣
북한의 맥주,北朝鮮のビール
주조 중국 대사관,在朝鮮民主主義人民共和国中華人民共和国大使館
2018년 제2차 남북정상회담,南北首脳会談・(2018年5月)
2017년 조선민주주의인민공화국 미사일 발사,北朝鮮によるミサイル発射実験・(2017年)
조선-러시아 우정의 다리,朝鮮・ロシア友情橋
통일각,統一閣
조선민주주의인민공화국의 국가 원수 배우자,朝鮮民主主義人民共和国のファーストレディー
2017년 조선민주주의인민공화국,2017年の朝鮮民主主義人民共和国
십리동역,十里洞駅
동아시아 청소년 경기 대회,東アジアユースゲームズ
차가평역,車家坪駅
2018년 제1차 남북정상회담,2018年南北首脳会談
문악역,文岳駅
김일성고급당학교,金日成高級党学校
