Los Angeles,洛杉矶
Artesia,阿蒂西亚
Atascadero,阿塔斯卡德罗
Atwater,阿特沃特
Auburn,奥本
Azusa,阿苏萨
Banning,班宁
Beaumont,博蒙特
Bradley International Airport,布拉德利國際機場
Fillmore,菲尔莫尔
Lebanon,萊巴嫩
Wilkes-Barre,威尔克斯-巴里
South Portland,南波特兰
Waterville,沃特维尔
Westbrook,韦斯特布鲁克
Trenton,特伦顿
Martinsburg,马丁斯堡
Shelton,谢尔顿
Torrington,托灵顿
Wallingford,沃灵福德
Fairmont,费尔蒙特
Burlington,伯灵顿
Washington Dulles International Airport,华盛顿杜勒斯国际机场
Portland International Jetport,波特兰国际喷射机机场
Saco,索科
Wellesley,韋爾斯利
West Springfield,西斯普林菲尔德
Auburn,奧本
Biddeford,比迪福德
Milton,米尔顿
Newburyport,纽伯里波特
Sandusky,桑达斯基
Steubenville,斯托本维尔
Hudson,哈德遜
Marion,马里恩
Niles,尼爾斯
Wadsworth,瓦斯沃斯
Pittsburgh International Airport,匹兹堡国际机场
Hazleton,黑兹尔顿
Wahpeton,瓦佩顿
West Fargo,西法戈
Cloquet,克洛凯
Grand Forks International Airport,大福克斯国际机场
Jamestown,詹姆斯敦
Keene,基恩
Laconia,拉科尼亚
Lebanon,萊巴嫩
Fremont,弗里蒙特
Hastings,黑斯廷斯
Brunswick,不倫瑞克
West Point,西點
Plattsburgh,普拉茨堡
Rego Park,雷哥公園
Tarrytown,柏油村
Alliance,阿莱恩斯
Ashtabula,阿什塔比拉
Bowling Green,鮑靈格林
La Guardia Airport,拉瓜地亞機場
Lake Placid,普萊西德湖
Lockport,洛克波特市
Long Island City,長島市
Oneida Lake,奧奈達湖
Clarksburg,克拉克斯堡
Elmhurst,埃尔姆赫斯特
Galesburg,盖尔斯堡
Bettendorf,贝滕多夫
Chicago Midway International Airport,芝加哥中途国际机场
Danville,丹维尔
DeKalb,迪卡尔布
Maywood,梅坞市
Fairfield,費爾菲爾德
Groton,格罗顿市
Williamsburg,威廉斯堡
Somerset,萨默塞特
Englewood,恩格尔伍德
Hackensack,哈肯萨克
Somersworth,薩默斯沃思
Asbury Park,阿斯伯里帕克
Morristown,莫里斯敦
New Jersey,新泽西州
Newark Liberty International Airport,紐華克自由國際機場
Chinatown,曼哈頓華埠
Amsterdam,阿姆斯特丹
Coney Island,康尼島
Corning,科宁
Allen Park,艾伦帕克
Auburn Hills,奧本山
Fergus Falls,弗格斯福尔斯
Forest Lake,福里斯特莱克
Northfield,諾斯菲爾德
Andover,安多弗
Minneapolis-St Paul International Airport,明尼阿波利斯－圣保罗国际机场
Everett,埃弗里特
Fitchburg,菲奇堡
Franklin,富兰克林
Burlington,伯灵顿
Dedham,戴德姆
Wheaton,惠顿
Zion,宰恩
Agawam,阿加萬
Alabaster,阿拉巴斯特
Albertville,艾伯特维尔
Alexander City,亚历山大城
Connecticut,康乃狄克州
Derby,德比
Memphis International Airport,孟菲斯国际机场
Greeneville,格林维尔
Mauldin,莫尔丁
North Augusta,北奥古斯塔
Clinton,克林顿
Cayce,凯西
Seneca,塞内卡
Simpsonville,辛普森维尔
Gaffney,加夫尼
Goose Creek,鹅溪
Hilton Head Island,希尔顿黑德岛
McComb,麦库姆
Ocean Springs,海泉市
Upper Marlboro,上马尔伯勒
Starkville,斯塔克維爾
Ocean City,大洋城
Mount Airy,芒特艾里
Raleigh-Durham International Airport,羅利達拉姆國際機場
Moore,穆尔
Loveland,洛弗兰德
Zanesville,曾斯維爾
Radford,拉德福
Ronald Reagan Washington National Airport,罗纳德·里根华盛顿国家机场
Falls Church,福爾斯徹奇
Staunton,斯湯頓
Fairfax,費爾法克斯
Uvalde,尤瓦尔迪
Abingdon,阿宾登
Lancaster,兰开斯特
Lexington,列克星敦
George Bush Intercontinental Airport,喬治·布什洲際機場
Austin-Bergstrom International Airport,奥斯汀-伯格斯特国际机场
Denison,丹尼森
Lumberton,兰伯顿
Southern Pines,南派恩斯
Elkton,埃尔克顿
Charlotte Douglas International Airport,夏洛特道格拉斯國際機場
Aberdeen,阿伯丁
Bel Air,貝萊爾
Conway,康威
Due West,迪韦斯特
Asheboro,阿什伯勒
Yukon,育空
West Chester,威徹斯特
Philadelphia International Airport,費城國際機場
Bridgeton,布里奇頓
Athens,阿森斯
Rolla,罗拉
Lambert–St. Louis International Airport,兰伯特-圣路易斯国际机场
Westminster,威斯敏斯特
Fulton,富尔顿
Calera,卡莱拉
Muscle Shoals,马斯尔肖尔斯
Monroe,门罗
Covington,卡温顿
Pineville,派恩维尔
Lake Pontchartrain,庞恰特雷恩湖
Ruston,拉斯顿
Thibodaux,蒂博
Gonzales,冈萨雷斯
Gretna,格雷特纳
Winchester,温彻斯特
Mandeville,曼德维尔
Morgan City,摩根城
Natchitoches,纳契托什
Louis Armstrong New Orleans International Airport,新奥尔良路易斯阿姆斯特朗国际机场
Abbeville,阿布维尔
Baker,贝克
Bogalusa,博加卢萨
Scottsboro,斯科茨博罗
Woodstock,伍德斯托克
Oxford,牛津
Ozark,奥索卡
Pelham,佩勒姆
Pell City,佩尔城
Eufaula,尤福拉
Fairfield,费尔菲尔德
Fairhope,费尔霍普
Foley,弗利
Fort Payne,佩恩堡
Gulf Shores,格尔夫海岸
Leeds,利兹
Hartselle,哈特塞尔
Helena,海伦娜
Jacksonville,杰克逊维尔
Daphne,达芙妮
Talladega,塔拉迪加
Troy,特洛伊
Arkadelphia,阿卡德尔菲亚
Avon Park,碧湖花园
District of Columbia,哥伦比亚特区
Delaware,特拉华州
Lewes,刘易斯
Middletown,米德尔敦
Milford,米尔福德
Milton,米尔顿
Plantation,种植园
Quincy,昆西
Rockledge,罗克雷治
Sebastian,塞巴斯蒂安
Tamarac,塔玛拉克
Tarpon Springs,塔彭斯普林斯
Miami International Airport,邁亞密國際機場
Milton,米尔顿
Mount Dora,山多拉
Niceville,尼斯维尔
North Miami,北迈阿密
North Miami Beach,北迈阿密海滩
Ocoee,奥科伊
Okeechobee,奥基乔比
Orlando International Airport,奥兰多国际机场
Palatka,帕拉特卡
Palm Beach Gardens,棕櫚灘花園
Palmetto,帕尔梅托
Panama City Beach,巴拿马市海滩
Cocoa Beach,可可比奇
Coconut Creek,椰子溪
Coral Gables,科勒尔盖布尔斯
Crystal River,水晶河
Doral,多拉
Dunedin,达尼丁
Eustis,尤斯蒂斯
Everglades National Park,大沼澤地國家公園
Fernandina Beach,费南迪纳比奇
Fort Lauderdale–Hollywood International Airport,劳德代尔堡－好莱坞国际机场
Haines City,海恩斯城
Wellington,惠灵顿
Weston,韦斯顿
Winter Springs,冬泉
Inverness,因弗内斯
Jacksonville Beach,杰克逊维尔海滩
Jacksonville International Airport,杰克逊维尔国际机场
Lady Lake,圣母湖
Lake Mary,玛丽湖
Lake Wales,威尔士湖
Maitland,梅特兰
Marco Island,马可岛
Margate,马盖特
Paducah,帕迪尤卡
Birmingham–Shuttlesworth International Airport,伯明翰－沙特尔斯沃思国际机场
Radcliff,雷德克里夫
Richmond,里士滿
Somerset,萨默塞特
Cincinnati/Northern Kentucky International Airport,辛辛那堤/北肯塔基國際機場
Danville,丹維爾
Hopkinsville,霍普金斯
Independence,独立城
Mammoth Cave National Park,猛犸洞国家公园
Nicholasville,尼古拉斯維爾
Berea,伯里亚
Elizabethtown,伊丽莎白
Erlanger,厄兰格
Georgetown,乔治敦
Henderson,亨德森
Richmond,里士满
Indianapolis International Airport,印第安纳波利斯国际机场
Commonwealth of the Northern Mariana Islands,北马里亚纳群岛
Yorktown,約克鎮
Portland International Airport,波特兰国际机场
Salt Lake City International Airport,盐湖城国际机场
Saratoga Springs,萨拉托加温泉
Spanish Fork,西班牙福克
Springville,史普林维尔
Syracuse,西勒鸠斯
Taylorsville,泰勒斯维尔
Vernal,韦纳尔
Aberdeen,阿伯丁
Crater Lake,火山口湖
Tigard,泰格德
Kaysville,凯斯维尔
Lehi,李海
Midvale,米德瓦尔
Park City,帕克城
Pleasant Grove,普莱森特格罗夫
Riverton,里弗顿
Roy,罗伊
North Platte,北普拉特
Albany,奥尔巴尼
Ashland,阿什兰
Oregon City,俄勒冈城
Scottsbluff,斯科茨布拉夫
Elko,埃尔科
Rock Springs,罗克斯普林
Draper,德雷珀
Grantsville,格兰茨维尔
Herriman,赫尔瑞姆安
Evanston,埃文斯顿
Jackson,杰克逊
Lake Stevens,史帝文斯湖
Longview,長景市
Hilo International Airport,希洛國際機場
Daniel K. Inouye International Airport,丹尼爾·井上國際機場
Gig Harbor,吉格港
Williston,威利斯顿
Centralia,森特勒利亚
Cheney,切尼
Anacortes,阿纳科特斯
Arlington,阿灵顿
Battle Ground,巴特爾格朗德
Blaine,布莱恩
Burien,布里恩
Lynden,林丁
Maple Valley,楓樹谷
Mercer Island,默瑟島
Monroe,门罗
Mount Vernon,弗农山
Mukilteo,马科尔蒂奥
Oak Harbor,橡港市
Dickinson,迪金森
Port Angeles,安吉利斯港
Port Orchard,奥查德港
Sammamish,瑟马米什
Spearfish,斯皮尔菲什
Seattle-Tacoma International Airport,西雅圖-塔科馬國際機場
Shoreline,岸線市
Snohomish,斯诺克米西
Spokane Valley,斯波坎谷
Sunnyside,桑尼賽德
University Place,大學城
Walla Walla,瓦拉瓦拉
Washougal,瓦休戈
Wenatchee,韦纳奇
West Richland,西里奇兰
Cutler Bay,卡特勒湾
Bethel,伯特利
Dillingham,迪林厄姆
Haines,海恩斯
Kailua,凱盧阿
Kona International Airport,科納國際機場
Fairbanks International Airport,费尔班克斯国际机场
Fox Islands,福克斯群島
Hooper Bay,胡珀湾
Yellowstone National Park,黃石國家公園
American Fork,亚美利加福克
Southeast Fairbanks Census Area,東南費爾班克斯人口普查區
Nome,诺姆
Nome Census Area,諾姆人口普查區
Northwest Arctic Borough,西北-北極自治市鎮
Kenai,基奈
Kenai Peninsula Borough,基奈半島自治市鎮
Kivalina,基瓦利纳
Kodiak Island Borough,科的阿克島自治市鎮
Lake and Peninsula Borough,湖泊-半島自治市鎮
Unalaska,乌纳拉斯卡
Aleutians East Borough,東阿留申自治市鎮
Lake Mead,米德湖
Orlando Sanford International Airport,奥兰多桑福德国际机场
Sunset Park,日落公园
Appalachian Mountains,阿巴拉契亚山脉
Walt Disney World Resort,華特迪士尼世界度假區
Eastvale,东谷
Naval Air Station Patuxent River,帕图森河海军基地
Tri-Cities,三城
Los Alamos National Laboratory,洛斯阿拉莫斯国家实验室
Columbus,哥伦布
Grants,格兰茨
Sterling,斯特林
Yuma,尤馬
Aberdeen,阿伯丁
Safford,萨福德
Cave Creek,洞溪
Chino Valley,奇诺谷
Coconino County,可可尼諾縣
Coolidge,柯立芝
Clearlake,克里尔雷克
Cloverdale,克罗弗戴尔
Colfax,科爾法克斯
Commerce,科默斯
Cottonwood,卡顿
Williams,威廉姆斯
Winslow,温斯洛
Corcoran,科克伦
Corte Madera,科特马德拉
Death Valley,死亡谷
Bell Gardens,貝爾花園
Big Bear Lake,大熊湖
Brisbane,布里斯班
Dinuba,迪纽巴
Disneyland,迪士尼乐园
El Cerrito,艾尔赛里托
El Segundo,埃尔塞贡多
Calipatria,卡利帕特里亚
Capitola,卡皮托拉
Globe,格洛布
Mohave County,莫哈維縣
Oro Valley,奥罗谷
Page,佩吉市
Paradise Valley,仙谷
Coventry,考文垂
East Greenwich,东格林尼治
Litchfield Park,利奇菲尔德公园
Miami,迈阿密
Huron,休伦湖
Exeter,埃克塞特
Fairfax,费尔法克斯
Farmersville,法默斯维尔
Fort Bragg,布拉格堡
Fresno County,費雷斯諾縣
Riverbank,里弗班克
Rowland Heights,罗兰岗
Louisville,路易斯维尔
Manitou Springs,科罗拉多温泉
Nederland,尼德兰
Northglenn,北葛伦
Gunnison,吉纳森
Idaho Springs,爱达荷泉
Leadville,莱德维尔
Palmer Lake,帕尔默湖
San Bernardino County,聖貝納迪諾縣
San Juan Bautista,圣胡安包蒂斯塔
Sanger,桑格
Willits,威利茨
Selma,塞尔玛
Sequoia National Park,美洲杉國家公園
Shafter,沙夫特
Solana Beach,索拉纳海滩
South El Monte,南艾爾蒙地
Sutter Creek,萨特克里克
Taft,塔夫脱
Placerville,普莱瑟维尔
Portola,波托拉
Portola Valley,波托拉谷
Rancho Mirage,兰乔米拉
Hawaiian Gardens,夏威夷花园
Hermosa Beach,何尔摩沙海滩
Imperial,因皮里尔
Yountville,扬特维尔
Alamosa,阿拉莫萨
Basalt,玄武岩
Bennett,贝内特
Ukiah,尤奇亚
Villa Park,维拉公园
Indian Wells,印第安維爾斯
Inyo County,因约县
Ione,艾奥尼
Jackson,杰克逊
Kerman,克尔曼
Needles,尼德尔斯
Nevada City,内华达城
Newman,纽曼
Oakdale,奥克戴尔
Ely,伊利
Bryce Canyon National Park,布萊斯峽谷國家公園
Capitol Reef National Park,圆顶礁国家公园
Big Bend National Park,大彎曲國家公園
Newtown,纽敦
Milford,米尔福德
Mount Pleasant,芒特普林森
Santaquin,桑塔金
Mount Shasta,芒特沙斯塔
Red Bluff,雷德布拉夫
Rio Dell,力拓戴尔
Mount Shasta,沙斯塔山
Blue Lake,蓝湖
Crescent City,克雷森特城
Ferndale,芬代尔
Lassen Volcanic National Park,拉森火山國家公園
Brush,布拉什
Craig,克雷格
Evans,埃文斯
Fort Morgan,摩根堡
Frederick,弗雷德里克
Johnstown,约翰斯敦
Hurricane,哈里肯
Washington,华盛顿
Zion National Park,錫安國家公園
Petersburg,彼得斯堡
Prince of Wales Island,威爾士親王島
Skagway,史凯威
Anderson,安德森
Apache Junction,阿帕奇章克申
Vermillion,弗米利恩
Barre,巴里
Bennington,本宁顿
Vergennes,弗金斯
Winooski,威努斯基
Phoenixville,菲尼克斯維爾
Pacific Grove,太平洋丛林
Parlier,帕利耶
Patterson,帕特森
Piedmont,皮蒙特
Golden Gate Park,金门公园
Marysville,马里斯维尔
Mendota,门多塔
Millbrae,密尔布瑞
La Palma,拉帕尔马
Lindsay,林赛
Loomis,卢米斯
Marina,玛丽娜
American Canyon,美利堅峽谷
Angels Camp,天使营
Arvin,阿文
Atherton,阿瑟顿
Avalon,阿瓦隆
Avenal,阿维纳尔
Bristol,布里斯托尔
Ecorse,埃科斯
Waynesboro,韋恩斯伯勒
Hallowell,哈洛韋爾
Kennebunkport,肯纳邦克波特
Old Town,奧爾德敦
Presque Isle,普雷斯克艾爾
Eastport,東港
Uxbridge,阿克斯布里奇
Williamstown,威廉斯敦
Acadia National Park,阿卡迪亚国家公园
Brewer,布魯爾
North Adams,北亚当斯
Tiffin,蒂芬
Milan,米兰
Urbana,厄巴那
Hershey,赫爾希鎮
Rainy Lake,雷尼湖
East Grand Forks,東大福克斯
Berlin,柏林
Claremont,克萊爾蒙特
Exeter,埃克塞特
Franklin,富蘭克林
Michigan,密歇根州
Sag Harbor,薩格港
Campbell,坎贝尔
Ashland,阿什兰
Bellefontaine,贝尔方丹
Little Falls,利特佛斯市
Mechanicville,梅卡尼克维尔
Altoona,阿尔图纳
Libertyville,利伯蒂维尔
Macomb,马克姆
Cleveland Heights,克利夫兰高地
East Rutherford,東盧瑟福
Freehold,菲力荷自治市
Casselton,卡斯尔顿
Johnson City,約翰遜城
Central Park,中央公園
Armonk,阿蒙克市
Lake George,喬治湖
East Village,东村
Algonac,阿尔戈纳克
Ely,伊利
Faribault,法里博
Wyandotte,怀恩多特
Anoka,阿诺卡
Mille Lacs Lake,米拉湖
Near North Side,近北区
Easthampton,伊斯特漢普頓
Hadley,哈德利
Harvard University,哈佛大学
Concord,康科特
Vienna,维也纳
Barnstable,巴恩斯特布尔
Attalla,阿塔拉
Nashville International Airport,纳什维尔国际机场
Great Smoky Mountains National Park,大煙山國家公園
Newberry,纽贝里
Ninety Six,九十六
Port Royal,皇家港口
Blacksburg,布莱克斯堡
Bluffton,布拉夫顿
Cheraw,奇罗
Georgetown,乔治敦
Hartsville,哈茨维尔
Woodruff,伍德拉夫
Oxford,牛津
Frostburg,弗羅斯特堡
Hancock,汉考克
Marietta,玛丽埃塔
Vandalia,万达利亚
Quantico,匡提科
Jamestown,詹姆斯鎮
Poquoson,普庫森市
Smithfield,史密斯菲尔德
Rockport,罗克波特
West,韦斯特
William P Hobby Airport,威廉·佩特斯·霍比机场
Lake City,莱克城
Sullivans Island,沙利文的岛
Travelers Rest,旅客休息
Fredericksburg,弗雷德里克斯堡
Laurinburg,劳林堡
Easton,伊斯頓
Carrboro,卡勃羅
Clinton,克林顿
Denmark,丹麦
Will Rogers World Airport,威尔·罗杰斯世界机场
Belton,贝尔顿
Atlantic City International Airport,大西洋城國際機場
Cape May,開普梅
Glassboro,葛拉斯堡罗
Sikeston,赛克斯顿
Ferguson,弗格森
Kirkwood,柯克伍德
Brewton,布鲁顿
Chelsea,切尔西
Childersburg,柴尔德斯堡
Clanton,克兰顿
Cleveland,克利夫兰
Millbrook,米尔布鲁克
Monroeville,门罗维尔
Montevallo,蒙特瓦洛
Chalmette,查尔梅特
Crowley,克羅利
DeRidder,德里德
Rayne,雷恩
Eunice,尤尼斯
Minden,明登
Opelousas,奥珀卢萨斯
Bastrop,巴斯特罗普
Breaux Bridge,布里奥克斯桥
Broussard,布鲁萨尔
Roanoke,罗阿诺克
Russellville,拉塞尔维尔
Saraland,萨拉兰
Sheffield,谢菲尔德
Opp,奥普
Piedmont,皮埃蒙特
Pinson,潘松
Pleasant Grove,普莱森特格罗夫
Prichard,普里查德
Rainbow City,彩虹市
Fayette,费耶特
Florala,弗洛腊拉
Gardendale,加登
Goodwater,古德沃特
Guin,古因
Lanett,拉内特
Leesburg,利斯堡
Lincoln,林肯
Lineville,莱恩斯维尔
Guntersville,甘特斯维尔
Haleyville,黑利维尔
Hanceville,汉斯维尔
Hartford,哈特福德
Homewood,霍姆伍德
Jackson,杰克逊
Crossville,克罗斯维尔
Daleville,戴尔维尔
Demopolis,戴摩波里斯
Spanish Fort,西班牙堡
Thomasville,托马斯维尔
Trussville,特鲁斯维尔
Tuscumbia,塔斯坎比亚
Tuskegee,塔斯基吉
Valley,山谷
Weaver,威弗维尔
Wetumpka,威屯卡
Winfield,温菲尔德
Newark,紐華克
Dardanelle,达达尼尔
Decatur,迪凯特
Apalachicola,阿巴拉契科拉
Atlantic Beach,大西洋海滩
Auburndale,奥本代尔
Aventura,阿文图拉
Bartow,巴托
Belle Glade,贝尔格莱德
Belleview,贝尔维尤
Cape Canaveral,卡纳维拉尔角
Cape Canaveral,卡纳维拉尔角
Delaware City,特拉华城
Harrington,哈灵顿
Millsboro,米尔斯伯勒
Rehoboth Beach,里霍伯斯灘
Seaford,锡福德
Townsend,汤森德
Riviera Beach,里维埃拉海滩
Royal Palm Beach,皇家棕榈滩
Safety Harbor,安全港
Satellite Beach,卫星海滩
Sunrise,森赖斯
Temple Terrace,庙台
Miami Lakes,迈阿密湖
Minneola,明尼
North Lauderdale,北劳德代尔
North Palm Beach,北棕榈滩
Oakland Park,奥克兰公园
Oldsmar,奥德马尔
Opa-locka,奥帕洛卡
Palm Beach,棕榈滩
Cooper City,库珀市
Crestview,克雷斯特韦
Dade City,戴德市
Dania Beach,达尼亚滩
DeLand,德兰
DeBary,徳拜瑞
Fort Myers Beach,迈尔斯堡海滩
Groveland,格罗夫兰
Hallandale Beach,哈伦代尔海滩
High Springs,高泉
Key Biscayne,比斯坎湾
Lake Placid,普莱西德湖
Lauderdale Lakes,劳德代尔湖
Lynn Haven,林恩避风港
Madison,麦迪逊
Marathon,马拉松
Marianna,玛丽安娜
Boaz,波阿斯
Burlington,伯灵顿
Campbellsville,坎贝尔斯威尔
Corbin,科尔宾
Dawson Springs,道森斯普林斯
Dayton,代顿
Lawrenceburg,劳伦斯堡
Lewisport,路易斯波特
Madisonville,麦迪逊维尔
Murray,穆雷
Auburn,奥本
Bardstown,巴兹敦
Blue Grass Airport,藍草機場
Glasgow,格拉斯哥
Macon,梅肯
Mattoon,马顿
Newburgh,纽堡
Seymour,西摩
Clarksville,克拉克斯维尔
Abilene,阿比林
Guam,关岛
Bayou La Batre,拜尤拉巴特里
Roseburg,罗斯堡
Smithfield,史密斯菲尔德
Tooele,图埃勒
Woods Cross,伍兹克洛斯
Crater Lake National Park,火山口湖國家公園
Lindon,林顿
Murray,穆雷
North Salt Lake,北盐湖城
Payson,查懋声
Providence,普罗维登斯
Ronan,罗南
Whitefish,怀特菲什
Lebanon,莱巴嫩
Winnemucca,温尼马卡
Glacier National Park,冰川國家公園
Elko County,埃爾科縣
Pyramid Lake,金字塔湖
Powell,鲍威尔
Riverton,里弗顿
Sheridan,谢里登
Brigham City,布里格姆城
Centerville,森特维尔
Cottonwood Heights,卡顿高地
Holladay,霍拉迪
Devils Tower,魔鬼塔
Fremont County,弗里蒙特縣
Glenrock,格伦罗克
Grand Teton National Park,大蒂頓國家公園
Green River,绿河
Lead,莱德
Kelso,凱爾索
Kenmore,肯莫尔
Long Beach,长滩
Enumclaw,伊纳姆克洛
Mandan,曼丹
Theodore Roosevelt National Park,西奥多·羅斯福國家公園
Des Moines,得梅因
DuPont,杜邦
East Wenatchee,東韋納奇
Ellensburg,埃伦斯堡
Buckley,巴克利
Burlington,伯灵顿
Camas,卡默斯
Cascade Range,喀斯喀特山脉
Medina,麦地那
Moses Lake,摩西湖市
Mountlake Terrace,芒特莱克泰勒斯
Nooksack,诺克塞克
Poulsbo,波尔斯波
Mount Rainier,瑞尼爾山
SeaTac,西塔科
Alpine,阿尔派
Sedro-Woolley,世德羅-伍利
Sequim,史魁恩
Snoqualmie,斯诺夸尔米
Sumner,萨姆纳
Tumwater,塔姆沃特
Lake Washington,华盛顿湖
Westport,西港市
Bainbridge Island,班布里治島
Woodinville,伍丁維爾
Barrow,巴羅
Cordova,科尔多瓦
Denali Borough,迪納利自治市鎮
Dillingham Census Area,迪靈漢人口普查區
Glacier Bay National Park and Preserve,冰川灣國家公園
Hoonah,霍纳
Gambell,甘伯尔
Homer,荷马
Maunaloa,冒纳罗亚火山
Maunakea,冒纳凯阿火山
Craig,克雷格
Selawik,塞拉威克
Seward,苏厄德
Soldotna,索尔多特纳
Tanana,塔纳纳
Teller,特勒
Naknek,纳克内克
North Pole,北极
Pribilof Islands,普里比洛夫群岛
King Salmon Airport,鮭魚王機場
Kotzebue,科策布
Matanuska-Susitna Borough,馬塔努斯卡-蘇西特納自治市鎮
Unalakleet,尤纳拉克利特
Valdez,瓦尔迪兹
Wales,威尔士
Akutan,阿库坦
Allakaket,阿拉卡基特
North America,北美洲
Tulsa International Airport,塔尔萨国际机场
National Mall,国家广场
Millennium Park,千禧公園
One World Trade Center,世界貿易中心一號大樓
Fort Drum,德拉姆堡
Edwards Air Force Base,爱德华兹空军基地
Rio Vista,里奥维斯塔
