François Hollande,フランソワ・オランド
Francis Mer,フランシス・メール
Jean-Marie Lustiger,ジャン＝マリー・ルスティジェ
Jules Dassin,ジュールズ・ダッシン
Surya Bonaly,スルヤ・ボナリー
Blaise de Vigenère,ブレーズ・ド・ヴィジュネール
Calixthe Beyala,カリクスト・ベヤラ
Hassan Gouled Aptidon,ハッサン・グレド・アプティドン
Philippe Soupault,フィリップ・スーポー
Rodolphe Kreutzer,ロドルフ・クレゼール
Bernard Menez,ベルナール・メネズ
Camille Chautemps,カミーユ・ショータン
Isabelle Delobel,イザベル・ドロベル
Jeannot Szwarc,ヤノット・シュワルツ
Robert Badinter,ロベール・バダンテール
Théodore Agrippa d'Aubigné,アグリッパ・ドービニェ
Françoise Dürr,フランソワーズ・デュール
François Magendie,フランソワ・マジャンディー
Betsy Jolas,ベッツィ・ジョラス
Ante Gotovina,アンテ・ゴトヴィナ
Roscelin de Compiègne,コンピエーニュのロスケリヌス
Bernard Cerquiglini,ベルナール・セルキリーニ
Urbain IV,ウルバヌス4世
Franck Riester,フランク・リーステール
Elena Poniatowska,エレナ・ポニアトウスカ
Marie-Caroline de Bourbon-Siciles,マリー・カロリーヌ・ド・ブルボン＝シシレ
Karen Lancaume,カレン・ランコム
Sofiane Feghouli,ソフィアン・フェグリ
Pierre-Henri de Valenciennes,ピエール＝アンリ・ド・ヴァランシエンヌ
Alexandre Blain,アレクサンドル・ブラン
Delphine Seyrig,デルフィーヌ・セリッグ
Sheila,シェイラ
Alain Bernard,アラン・ベルナール
Léonin,レオニヌス
Marie-Louise-Élisabeth d'Orléans,マリー・ルイーズ・エリザベート・ドルレアン
Jean-Claude Pecker,ジャン＝クロード・ペッケアー
Hubert Maga,ユベール・マガ
Jean Aurel,ジャン・オーレル
Innocent VI,インノケンティウス6世
Tsugouharu Foujita,藤田嗣治
André Chénier,アンドレ・シェニエ
Dado Pršo,ダド・プルショ
Abedi Pelé,アベディ・ペレ
Jean Monribot,ジョアン・モンリボット
Vencelas Dabaya,ヴェンセラス・ダバヤティアンチュ
Louis Ier d'Orléans,ルイ・ド・ヴァロワ
René Pottier,ルネ・ポティエ
Jacques Lacan,ジャック・ラカン
Gino Severini,ジーノ・セヴェリーニ
Philippe d'Orléans,フィリップ1世
Julie Dreyfus,ジュリー・ドレフュス
François Clouet,フランソワ・クルーエ
Charles Nodier,シャルル・ノディエ
Armand Fallières,アルマン・ファリエール
Ambroise Thomas,アンブロワーズ・トマ
Johan Micoud,ジョアン・ミクー
Robert Desnos,ロベール・デスノス
Nathalie Sarraute,ナタリー・サロート
Hippolyte Taine,イポリット・テーヌ
Maxime Weygand,マキシム・ウェイガン
Benoît XII,ベネディクトゥス12世
Simone Veil,シモーヌ・ヴェイユ
Grégoire XI,グレゴリウス11世
Bertrand Tavernier,ベルトラン・タヴェルニエ
Léon Bonnat,レオン・ボナ
Éric Cantona,エリック・カントナ
Gabriel Obertan,ガブリエル・オベルタン
Louis Renault,ルイ・ルノー
René Féret,ルネ・フェレ
Henri Cornet,アンリ・コルネ
Jean Dubuffet,ジャン・デュビュッフェ
René-Robert Cavelier de La Salle,ロベール＝カブリエ・ド・ラ・サール
Costa-Gavras,コスタ＝ガヴラス
Saad Hariri,サード・ハリーリー
Jean-Baptiste Élissalde,ジャン＝バチスト・エリサルド
Marthe Bibesco,マルト・ビベスコ
Madame du Deffand,デファン夫人
Philippe VI de France,フィリップ6世
Chris Marker,クリス・マルケル
Jean de Valette,ジャン・ド・ヴァレット
Sacha Guitry,サシャ・ギトリ
Liliane Bettencourt,リリアンヌ・ベタンクール
Anne de Bavière,アンヌ・ド・バヴィエール
Lino Ventura,リノ・ヴァンチュラ
Béatrix Beck,ベアトリ・ベック
Hugo Bonneval,ユーゴ・ボヌバル
Émile Loubet,エミール・ルーベ
Dominique Horwitz,ドミニク・ホルヴィッツ
Éléonore Desmier d'Olbreuse,エレオノール・ドルブリューズ
Gaston Rébuffat,ガストン・レビュファ
Charles  Delort,シャルル・エドゥアール・ドロル
Alejandro Jodorowsky,アレハンドロ・ホドロフスキー
Maurice Trintignant,モーリス・トランティニアン
Jean-Pierre Jabouille,ジャン＝ピエール・ジャブイーユ
Nicolas Rémy,ニコラ・レミー
Julien Gracq,ジュリアン・グラック
Guy Debord,ギー・ドゥボール
Émile Bernard,エミール・ベルナール
Mickaël Bourgain,ミカエル・ブルガン
Daniel-Henry Kahnweiler,ダニエル＝ヘンリー・カーンワイラー
Beate Klarsfeld,ベアーテ・クラースフェルト
Jean-Pierre Melville,ジャン＝ピエール・メルヴィル
Niki de Saint Phalle,ニキ・ド・サンファール
Kees van Dongen,キース・ヴァン・ドンゲン
Cyprian Kamil Norwid,ツィプリアン・ノルヴィット
Innocent V,インノケンティウス5世
Ivan Desny,イヴァン・デニ
Yasmina Reza,ヤスミナ・レザ
Clément VI,クレメンス6世
Achille Fould,アシーユ・フール
Mathilde de Brabant,マティルド・ド・ブラバン (1224-1288)
David Terrien,デビッドテリエン
Alain-Fournier,アラン＝フルニエ
Jules Janssen,ピエール・ジャンサン
Calixte II,カリストゥス2世
Victor de Broglie,アシル＝ヴィクトル＝シャルル・ド・ブロイ
Harry Schell,ハリー・シェル
Henri Pescarolo,アンリ・ペスカロロ
Philippe II de Bourgogne,フィリップ2世
Jean Ier de Bourgogne,ジャン1世
Heinrich Schëuch,ハインリッヒ・シューク
Humbert de Moyenmoutier,フンベルトゥス
Maurice Koechlin,モーリス・ケクラン
Étienne Macdonald,ジャック・マクドナル
Georges Clemenceau,ジョルジュ・クレマンソー
Paul Belmondo,ポール・ベルモンド
Gaston Leroux,ガストン・ルルー
Bettina Rheims,ベッティナ・ランス
Pierre Vernier,ピエール・ヴェルニエ (俳優)
Félicien Champsaur,フェリシアン・シャンプサール
Mathias Énard,マティアス・エナール
Jean-Louis Schlesser,ジャン＝ルイ・シュレッサー
Sébastien Bourdais,セバスチャン・ボーデ
Didier Pironi,ディディエ・ピローニ
Joséphine de Beauharnais,ジョゼフィーヌ・ド・ボアルネ
Edwige Fenech,エドウィジュ・フェネシュ
Gérard Genette,ジェラール・ジュネット
Louise de Vilmorin,ルイーズ・ド・ヴィルモラン
Samuel Bing,サミュエル・ビング
Salomon Munk,ザロモン・ミュンク
Jacques Laffite,ジャック・ラフィット
Claude Berri,クロード・ベリ
Lúcio Costa,ルシオ・コスタ
Émilie Loit,エミリー・ロワ
Mourad Boudjellal,ムラド・ブジェラル
Robert de Clermont,ロベール
Carlo Ponti,カルロ・ポンティ
Mathurin Jacques Brisson,マチュラン・ジャック・ブリソン
Achille Peretti,アシル・ペレッティ
Vincent Candela,ヴァンサン・カンデラ
Léon Mba,レオン・ムバ
Vikash Dhorasoo,ヴィカシュ・ドラソー
Pierre Bérégovoy,ピエール・ベレゴヴォワ
Patrick Depailler,パトリック・デパイユ
Jean-Pierre Jarier,ジャン＝ピエール・ジャリエ
Charles Itandje,シャルル・イタンジュ
Noémie Lenoir,ノエミ・ルノワール
Achille Richard,アシル・リシャール
Achille Valenciennes,アシル・ヴァランシエンヌ
Pierre Charles L'Enfant,ピエール・シャルル・ランファン
Giacomo Filippo Maraldi,ジャコーモ・フィリッポ・マラルディ
Cédric Kanté,セドリック・カンテ
José Beyaert,ジョゼ・ベヤールト
Sylvie Guillem,シルヴィ・ギエム
Pierre Levegh,ピエール・ルヴェー
Gernot Rohr,ゲアノート・ローア
Philippe Christanval,フィリップ・クリスタンヴァル
Jean-Pierre Beltoise,ジャン＝ピエール・ベルトワーズ
Florent Sinama-Pongolle,フロラン・シナマ＝ポンゴル
Wilhelm Uhde,ヴィルヘルム・ウーデ
Ľubomír Moravčík,リュボミール・モラフチク
Pierre-Henri Raphanel,ピエール＝アンリ・ラファネル
Pierre Auguste Cot,ピエール・オーギュスト・コット
ORLAN,オルラン
Mamadou Niang,ママドゥ・ニアン
Charles de Steuben,シャルル・ド・スチューベン
Vincent Descombes,ヴァンサン・デコンブ
Madeleine Béjart,マドレーヌ・ベジャール
Nicole-Reine Lepaute,ニコール＝レイヌ・ルポート
Beatrice Rosen,ベアトリス・ローゼン
Madeleine Vionnet,マドレーヌ・ヴィオネ
Gerda Wegener,ゲルダ・ヴィーグナー
Arnaud Clément,アルノー・クレマン
Arthur de Gobineau,アルテュール・ド・ゴビノー
Hubert Lyautey,ユベール・リョテ
Alice Taglioni,アリス・タグリオーニ
Pierre Cardin,ピエール・カルダン
Jo Schlesser,ジョー・シュレッサー
Alfred Dreyfus,アルフレド・ドレフュス
Jimmy Briand,ジミー・ブリアン
Georges Prêtre,ジョルジュ・プレートル
Théodore Chassériau,テオドール・シャセリオー
Ibrahim Ba,イブラヒム・バ
Peguy Luyindula,ペギー・リュインドゥラ
Stéphane Lannoy,ステファヌ・ラノワ
Annette Sergent,アネット・サージェント
Pierre Weiss,ピエール・ワイス
Patrick Bruel,パトリック・ブリュエル
Éric Bernard,エリック・ベルナール
Mathurin Méheut,マチュラン・メウ
Jean-Denis Lanjuinais,ジャン＝ドニ・ランジュイネ
Simon Helberg,サイモン・ヘルバーク
Pierre-Augustin Caron de Beaumarchais,カロン・ド・ボーマルシェ
Yves Saint Laurent,イヴ・サン＝ローラン
Olivier Panis,オリビエ・パニス
José Dolhem,ジョゼ・ドラン
Philippe Étancelin,フィリップ・エタンセラン
Jean Todt,ジャン・トッド
Geneviève Grad,ジュヌヴィエーヴ・グラ
Raymond Sommer,レイモン・ソメール
Pascal Fabre,パスカル・ファブル
Maria Mercader,マリア・メルカデル
Jean-Baptiste Bessières,ジャン＝バティスト・ベシェール
Roberto Alagna,ロベルト・アラーニャ
Marcel Artelesa,マルセル・アルテレザ
Germaine Krull,ジェルメーヌ・クルル
Jean Vinatier,ジャン・ヴィナティエ
Ginette Keller,ジネッテ・ケラー
Gaël Ernesto washington Kakuta,ガエル・カクタ
Jean-Gabriel Albicocco,ジャン＝ガブリエル・アルビコッコ
Judith Godrèche,ジュディット・ゴドレーシュ
René Schickele,ルネ・シッケル
Eugène Lauste,ウジェーヌ・ロースト
André Marchand,アンドレ・マルシャン
Charles de Rémusat,シャルル・ド・レミュザ
Nicole de Lorraine,ニコル・ド・ロレーヌ
Gina Pane,ジーナ・パネ
Pierre Michael,ピア・マイケル
Jean-Patrick Manchette,ジャン＝パトリック・マンシェット
Maurice Thorez,モーリス・トレーズ
Julia Dietze,ユリア・ディーツェ
Jean-Pol Martin,ジャン＝ポール・マーティン
Rémi Gaillard,レミ・ガイヤール
Louis Vierne,ルイ・ヴィエルヌ
Henri Maspero,アンリ・マスペロ
Moktar Ould Daddah,モクタル・ウルド・ダッダ
Jean Desmarets de Saint-Sorlin,ジャン・デマレ・ド・サン＝ソルラン
Pierre Nora,ピエール・ノラ
Joseph-Antoine Bell,ジョセフ＝アントワーヌ・ベル
Armand Penverne,アルマン・パンヴェルヌ
Johnny Servoz-Gavin,ジョニー・セルボ＝ギャバン
Gérard Larrousse,ジェラール・ラルース
Ellen Andrée,エレン・アンドレ
Hélène Boucher,エレーヌ・ブーシェ
Frédéric Back,フレデリック・バック
Georges Cuvier,ジョルジュ・キュヴィエ
Sarah Lassez,サラ・ラセズ
Max Jean,ジャン・マックス
Léon Halévy,レオン・アレヴィ
Dominique Besnehard,ドミニク・ベスネアール
Nadine Trintignant,ナディーヌ・トランティニャン
Magali Noël,マガリ・ノエル
Joseph Gérard,ジョセフ・ジェラール
George Sluizer,ジョルジュ・シュルイツァー
Raoul de Caen,ラルフ・ド・カーン
Mireille Mathieu,ミレイユ・マチュー
Pierre Braunberger,ピエール・ブロンベルジェ
Alphonse de Poitiers,アルフォンス・ド・ポワティエ
Lolo Ferrari,ロロ・フェラーリ
Henry de Triqueti,アンリ・ド・トリケティ
Sancie de Provence,サンチア・オブ・プロヴァンス
Catherine de Courtenay,カトリーヌ・ド・クルトネー
François Hesnault,フランソワ・エスノー
François Migault,フランソワ・ミゴール
Jean Behra,ジャン・ベーラ
Joseph Reinach,ヨセフ・ライナッハ
Guy Ligier,ギ・リジェ
Étienne Ier de Sancerre,エティエンヌ1世
Maxime Le Forestier,マキシム・ル・フォレスティエ
Mireille Balin,ミレイユ・バラン
Yves Rocher,イブロシェ
Florence Devouard,フロランス・ドゥヴアール
Omar Bongo,オマール・ボンゴ・オンディンバ
Pierre Claverie,ピエール・クラヴリー
Louis Niedermeyer,ルイ・ニデルメイエール
Alcide Dessalines d'Orbigny,アルシド・ドルビニ
Louis de Froment,ルイ・ド・フロマン
Simon IV de Montfort,シモン4世・ド・モンフォール
Alfred Kastler,アルフレッド・カストレル
François Ozon,フランソワ・オゾン
René Panhard,ルネ・パナール
Christiaan Hendrik Persoon,クリスティアーン・ヘンドリク・ペルズーン
François Rude,フランソワ・リュード
Jacques de Reinach,ジャック・ド・レーナック
Louis Milon,ルイ・ミロン
Luc Boltanski,リュック・ボルタンスキー
Jules Mouquet,ジュール・ムーケ
Robert Galley,ロベール・ガレ
André Simon,アンドレ・シモン
Anna Laetitia Barbauld,アナ・レティティア・バーボルド
Claudius Dornier,クラウディウス・ドルニエ
Bernard Le Coq,ベルナール・ル・コク
Maurice Delafosse,モリス・ドゥラフォス
Franck Dja Djédjé,フランク・ジャ・ジェジェ
César de Vendôme,セザール・ド・ブルボン
Alix de Foresta,アリックス・ド・フォレスタ
Amel Bent,アメル・ベント
Mathieu Bodmer,マチュー・ボドメ
Louis Aloÿs de Hohenlohe-Waldenbourg-Bartenstein,ホーエンローエ
Charles Koechlin,シャルル・ケクラン
Jules Mohl,ユーリウス・モール
Yann Clairay,ヤン・クラリー
Cyril Tommasone,シリル・トマゾン
Charles François de Cisternay du Fay,シャルル・フランソワ・デュ・フェ
Clément Janequin,クレマン・ジャヌカン
Éric Weil,エリック・ヴェイユ
Albert Marquet,アルベール・マルケ
Honoré Blanc,オノレ・ブラン
Mehdi Nebbou,メーディ・ネブー
Lucas Digne,リュカ・ディニュ
Alain-René Lesage,アラン＝ルネ・ルサージュ
Catherine Tanvier,カトリーヌ・タンヴィエ
Viktor Lazlo,ヴィクター・ラズロ
Édouard Baldus,エドゥアール・バルデュス
Guy Béart,ギイ・ベアール
François Mazet,フランソワ・マゼ
François Lepelletier,フランソワ・ルペルティエ
Michael Lonsdale,マイケル・ロンズデール
Charles-Frédéric Reinhard,シャルル＝フレデリック・ラインハルト
Adolphe Brongniart,アドルフ・ブロンニャール
Aurélien Recoing,オーレリアン・ルコワン
Charles Degeorge,シャルル・デジョルジュ
Audrey Tautou,オドレイ・トトゥ
Alain Mabanckou,アラン・マバンク
Najat Vallaud-Belkacem,ナジャット・ヴァロー＝ベルカセム
Charles Ehresmann,チャールズ・エーレスマン
Jacqueline du Bief,ジャクリーヌ・デュ・ビエフ
Henri de La Tour d'Auvergne,テュレンヌ子爵アンリ・ド・ラ・トゥール・ドーヴェルニュ
Abdelkader Ghezzal,アブデル・カデル・ゲザル
Ilya Ilitch Metchnikov,イリヤ・メチニコフ
André Falcon,アンドレ・ファルコン
Edmond de Polignac,エドモン・ド・ポリニャック
Didier Digard,ディディエ・ディガール
Jacques Villeret,ジャック・ヴィルレ
Bertrand Gachot,ベルトラン・ガショー
Patrick Tambay,パトリック・タンベイ
Philippe III de France,フィリップ3世
Patrick Gaillard,パトリック・ガイヤール
Laure Boulleau,ロール・ブロー
"Marie Madeleine Dreux d'Aubray, marquise de Brinvilliers",ド・ブランヴィリエ侯爵夫人
Jean-Paul Salomé,ジャン＝ポール・サロメ
Mireille Darc,ミレーユ・ダルク
Nathalie Kosciusko-Morizet,ナタリー・コシュースコ＝モリゼ
Abderrahmane Sissako,アブデラマン・シサコ
Armand David,アルマン・ダヴィド
Antoine Meillet,アントワーヌ・メイエ
abbé Pierre,アベ・ピエール
Abdel-Kader Zaaf,アブデル＝カデル・ザーフ
Georges-Antoine Rochegrosse,ジョルジュ・ロシュグロス
Dominique Voynet,ドミニク・ヴォワネ
Christiane Taubira,クリスチャーヌ・トビラ
Rachel Félix,レイチェル・フェリックス
Philippine Duchesne,ローズ・フィリピン・ドゥシェーン
Bernard Collomb,ベルナール・コロンブ
Érik Comas,エリック・コマス
Claude Pompidou,クロード・ポンピドゥー
Ariane Ascaride,アリアンヌ・アスカリッド
Catherine de Rambouillet,ランブイエ侯爵夫人カトリーヌ・ド・ヴィヴォンヌ
Louise d'Orléans,ルイーズ＝マリー・ドルレアン
Berthold Bartosch,ベルトール・バルトシュ
Ronan Pensec,ロナン・パンセック
Julie Bresset,ジュリー・ブルセ
Barthélemy Boganda,バルテレミー・ボガンダ
Raymond Decary,レーモン・デカリー
Jean de Berry,ジャン1世
Abdellatif Kechiche,アブデラティフ・ケシシュ
Abdelwahab Meddeb,アブデラワハブ・メデブ
François Cevert,フランソワ・セベール
Jean Alesi,ジャン・アレジ
Antar Yahia,アンター・ヤヒア
André Tardieu,アンドレ・タルデュー
Alexander Büchner,アレクサンダー・ビューヒナー
Fernando Arrabal,フェルナンド・アラバール
Éric Boullier,エリック・ブーリエ
Napoléon Louis Bonaparte,ナポレオン・ルイ・ボナパルト
Alfred de Vigny,アルフレッド・ド・ヴィニー
Leconte de Lisle,ルコント・ド・リール
Olivier Nakache,オリヴィエ・ナカシュ
Papiss Cissé,パピス・シセ
Nicolas Malebranche,ニコラ・ド・マルブランシュ
Philippe Streiff,フィリップ・ストレイフ
Abdourahman A. Waberi,アブドゥラマン・アリ・ワベリ
Boris Unbegaun,ボリース・ウンベガーウン
Jean Giraud,ジャン・ジロー
Adalbéron,アダルベロン
Yannick Dalmas,ヤニック・ダルマス
Philippe Alliot,フィリップ・アリオー
Olivier Grouillard,オリビエ・グルイヤール
Jehan Alain,ジャン・アラン
Adalbéron de Laon,アダルベロン (ラン司教)
George Weah,ジョージ・ウェア
Mado Robin,マド・ロバン
Roland Joffé,ローランド・ジョフィ
Michel Butor,ミシェル・ビュトール
Marcel Cerdan,マルセル・セルダン
Romuald Karmakar,ロムアルド・カーマカー
Marie-Eugénie de Jésus,聖マリ・ウージェニー
Émilie Fer,エミリ・フェア
Louis Rosier,ルイ・ロジェ
Jean Tirole,ジャン・ティロール
Julio Cortázar,フリオ・コルタサル
André Bellessort,アンドレ・ベルソール
Antoinette de Bourbon,アントワネット・ド・ブルボン＝ヴァンドーム
Jean-Marc Gounon,ジャン＝マルク・グーノン
Auguste Blanqui,ルイ・オーギュスト・ブランキ
Alix de Champagne,アリックス・ド・シャンパーニュ (エルサレム王女)
Claudine Auger,クローディーヌ・オージェ
Marie-Thérèse Rodet Geoffrin,マリー・テレーズ・ロデット・ジョフラン
Louis Chiron,ルイ・シロン
René Arnoux,ルネ・アルヌー
Franck Lagorce,フランク・ラゴルス
Warda El-Djazairia,ワルダ・アルジャザイリア
Jeanne de Toulouse,ジャンヌ・ド・トゥールーズ
Cécile Duflot,セシル・デュフロ
Allison Pineau,アリソン・ピノー
Antoinette Bourignon,アントワネット・ブリニョン
Jean-Christophe Boullion,ジャン＝クリストフ・ブイヨン
Stéphane Sarrazin,ステファン・サラザン
Paul Frère,ポール・フレール
Loïc Bigois,ロイック・ビゴワ
Gérard Ducarouge,ジェラール・ドゥカルージュ
Pierre de Fermat,ピエール・ド・フェルマー
Marie de Montpellier,マリー・ド・モンペリエ
Lou Doillon,ルー・ドワイヨン
Jean-Baptiste Greuze,ジャン＝バティスト・グルーズ
Catherine de Bourbon,カトリーヌ・ド・ブルボン
Fleur Pellerin,フルール・ペルラン
Jean Giraudoux,ジャン・ジロドゥ
Marianne Loir,マリアンヌ・ロワール
Michel Galabru,ミシェル・ガラブリュ
Abdoulay Konko,アブドゥレイ・コンコ
Mansour Ojjeh,マンスール・オジェ
Jeanne Balibar,ジャンヌ・バリバール
Henri Deglane,ヘンリー・デグレーン
Christophe Blain,クリストフ・ブラン
Fernand Pelez,フェルナン・ペレーズ
Jean-Louis Barrault,ジャン＝ルイ・バロー
Georges Couthon,ジョルジュ・クートン
Danielle Mitterrand,ダニエル・ミッテラン
Olivia Ruiz,オリビア・ルイス
Jean de Tournes,ジャン・ド・トゥルヌ
Charles IV de France,シャルル4世
Juliette Adam,ジュリエット・アダム
Michael Vartan,マイケル・ヴァルタン
Laurent de Gouvion-Saint-Cyr,ローラン・グーヴィオン＝サン＝シール
Franck Montagny,フランク・モンタニー
Donat Nonnotte,ドナシャン・ノノット
Abbas,アバス
André Danjon,アンドレ・ダンジョン
Paloma Picasso,パロマ・ピカソ
Mady Mesplé,マディ・メスプレ
Charles de Valois,シャルル
Jean-Barthélemy Hauréau,バルテルミ・オーレオー
Hermann Zotenberg,エルマン・ゾータンベール
Jacqueline Auriol,ジャクリーン・オリオール
Olga Preobrajenska,オリガ・プレオブラジェンスカ
Catherine Sauvage,カトリーヌ・ソヴァージュ
Kenneth White,ケネス・ホワイト
Alexandre Cabanel,アレクサンドル・カバネル
Louis Le Vau,ルイ・ル・ヴォー
Marisol Touraine,マリソル・トゥーレーヌ
Pierre-Charles Roy,ピエール＝シャルル・ロワ
Louis-Jules Mancini-Mazarini,ルイ＝ジュール・マンシーニ＝マザリーニ
Yolande d'Anjou,ヨランド・ダンジュー
Michelle de Valois,ミシェル・ド・フランス
Jean-Pierre Gibrat,ジャン＝ピエール・ジブラ
Paul Deschanel,ポール・デシャネル
François-Christian Gau,フランツ・クリスティアン・ガウ
Alfred Grosser,アルフレート・グロセール
Christian Clavier,クリスチャン・クラヴィエ
Dương Thu Hương,ズオン・トゥー・フォン
Adélaïde d'Orléans,ルイーズ・マリー・アデライード・ドルレアン
Jessica Fox,ジェシカ・フォックス
Anna Mouglalis,アンナ・ムグラリス
Georges Dumézil,ジョルジュ・デュメジル
Charles d'Orléans,シャルル・ド・ヴァロワ
Bernard Le Bouyer de Fontenelle,ベルナール・フォントネル
Susan George,スーザン・ジョージ
Gaston Bachelard,ガストン・バシュラール
Joseph Derenbourg,ジョゼフ・ドランブール
Louise Bourgoin,ルイーズ・ブルゴワン
Suzy Delair,シュジー・ドレール
Sébastien-Roch Nicolas de Chamfort,シャンフォール
Antoine de Bourbon,アントワーヌ
Paul-Henri Mathieu,ポール＝アンリ・マチュー
Victor-Adolphe Malte-Brun,ヴィクトル・マルト＝ブラン
Hacine Cherifi,アッシン・シェリフィー
Charles Chaynes,シャルル・シェーヌ
Pierre Amoyal,ピエール・アモイヤル
Jean Pucelle,ジャン・ピュセル
Bakaye Traoré,バカイェ・トラオレ
Louis Ier d'Anjou,ルイ1世・ダンジュー
Théodore Rousseau,テオドール・ルソー
Helenio Herrera,エレニオ・エレーラ
Hélène Carrère d'Encausse,エレーヌ・カレール＝ダンコース
Marguerite Laugier,マルグリット・ロージェ
Alfred Sisley,アルフレッド・シスレー
Michel Bastos,ミシェル・バストス
Fénelon,フランソワ・フェヌロン
Emmanuel Petit,エマニュエル・プティ
Romain Bussine,ロマン・ビュシーヌ
Henri Fantin-Latour,アンリ・ファンタン＝ラトゥール
Camille Jordan,カミーユ・ジョルダン
Jean Bureau,ジャン・ビューロー
Élisabeth de France,エリザベート・ド・ヴァロワ
Arthur Chuquet,アルテュール・シュケ
Louis-Philippe d'Orléans,ルイ・フィリップ1世
Lotte H. Eisner,ロッテ・アイスナー
Bernard Simondi,ベルナール・シモンディ
François Ravaillac,フランソワ・ラヴァイヤック
Maria Casarès,マリア・カザレス
Alice Evans,アリス・エヴァンス
Guy IV de Saint-Pol,ギー4世 (サン＝ポル伯)
Christiane Desroches Noblecourt,クリスティアーヌ・デロシュ・ノーブルクール
Jenifer,ジェニファー
Savitri Devi,サヴィトリ・デヴィ
Martin Fréminet,マルタン・フレミネ
Gaspar Noé,ギャスパー・ノエ
Philibert Le Roy,フィリベール・ル・ロワ
André Frédéric Cournand,アンドレ・フレデリック・クルナン
Éléonore de Vermandois,エレオノール (ヴェルマンドワ女伯)
Louis II de Bourbon-Condé,ルイ2世
Georges Enesco,ジョルジェ・エネスク
Robert Charroux,ロベール・シャルー
Thomas-Robert Bugeaud,トマ・ロベール・ブジョー
Jean de Léry,ジャン・ド・レリ
Adam Philippe de Custine,アダム・フィリップ・ド・キュスティーヌ
Michel Crépeau,ミシェル・クレポー
Sandra,サンドラ (歌手)
Jean-François Pilâtre de Rozier,ジャン＝フランソワ・ピラートル・ド・ロジェ
Maurice Sarrail,モーリス・サライユ
Simon de Vexin,シモン・ド・クレピー
Jérémy Chardy,ジェレミー・シャルディー
Victorine Meurent,ヴィクトリーヌ・ムーラン
Jeanne de Valois-Saint-Rémy,ジャンヌ・ド・ラ・モット・ヴァロア
Thích Nhất Hạnh,ティク・ナット・ハン
Marc Ducret,マルク・デュクレ
Louis Delaporte,"ドラポルト, L."
Célestin Nanteuil,セレスタン・ナントゥイユ
Jean Bourdichon,ジャン・ブルディション
Henri de Schomberg,アンリ・ド・ションベール
Gabriel Ier de Montgommery,ガブリエル・ド・ロルジュ
François Martin,フランソワ・マルタン
Jean-Charles Peltier,ジャン＝シャルル・ペルティエ
Jean-Marie Leclair,ジャン＝マリー・ルクレール
Serge Moati,セルジュ・モアティ
Daniel Cohn-Bendit,ダニエル・コーン＝ベンディット
Marc Levy,マルク・レヴィ
Lazare Carnot,ラザール・カルノー
Jules Michelet,ジュール・ミシュレ
André Sérot,アンドレ・セロット
Wes,ウエス・マディコ
Henri Martin,アンリ・マルタン
Hiam Abbass,ヒアム・アッバス
Hubert Curien,ユベール・キュリアン
Maurice de Saxe,モーリス・ド・サックス
Mikaël Silvestre,ミカエル・シルヴェストル
Jean-Marie Balestre,ジャン＝マリー・バレストル
Younès Belhanda,ユネス・ベランダ
Jacques Boyceau,ジャック・ボワソー
Armand-Louis de Gontaut Biron,アルマン・ルイ・ド・ゴントー
Alexandre Grothendieck,アレクサンドル・グロタンディーク
Joseph Marie Jacquard,ジョゼフ・マリー・ジャカール
Georges Duby,ジョルジュ・デュビー
Audrey Dana,オドレイ・ダナ
Marguerite Gérard,マルグリート・ジェラルド
Marie de Clèves,マリー・ド・クレーヴ
Christine Boutin,クリスティーン・ブタン
Guillaume II de Nevers,ギヨーム2世 (ヌヴェール伯)
Romy Schneider,ロミー・シュナイダー
Benjamin Boukpeti,バンジャマン・ボクペティ
Dudu Aouate,ドゥドゥ・アワット
Ismaël Bangoura,イスマエル・バングラ
Sol Bamba,スレイマン・バンバ
Emma Livry,エマ・リヴリー
Sébastien Frey,セバスティアン・フレイ
Henri Victor Regnault,アンリ・ヴィクトル・ルニョー
Jean Giono,ジャン・ジオノ
Timothée Kolodziejczak,ティモテー・コロジエチャク
Dominique Blanc,ドミニク・ブラン
Rudolf Lehnert,ルドルフ・フランツ・レーネルト
Hermann Mayer Salomon Goldschmidt,ヘルマン・ゴルトシュミット
Louis-Philippe d'Orléans,ルイ・フィリップ2世
Gustave Charpentier,ギュスターヴ・シャルパンティエ
Christophe Dugarry,クリストフ・デュガリー
Jacques Companéez,ジャック・コンパニーズ
Toyen,トイェン
Victoire Thivisol,ヴィクトワール・ティヴィソル
Pierre Angénieux,ピエール・アンジェニュー
Alexandre Guilmant,アレクサンドル・ギルマン
Madjid Bougherra,マジード・ブーゲッラ
Jérôme Pradon,ジェローム・プラドン
Adam Laloum,アダム・ラルーム
Vahina Giocante,ヴァイナ・ジョカンテ
Isabelle Eberhardt,イザベル・エーベルハルト
Michel-Eugène Chevreul,ミシェル＝ウジェーヌ・シュヴルール
Charles Le Brun,シャルル・ル・ブラン
Joakim Noah,ジョアキム・ノア
André Manoukian,アンドレ・マヌキアン
Jules de Polignac,ジュール・ド・ポリニャック
Nadir Belhadj,ナディル・ベルハジ
Alain Badiou,アラン・バディウ
Mustapha Hadji,ムスタファ・ハッジ
David N'Gog,ダビド・ヌゴグ
Karin Viard,カリン・ヴィアール
Pierre Messmer,ピエール・メスメル
Françoise d'Amboise,フランソワーズ・ダンボワーズ
