Paris,パリ
Cambo-les-Bains,カンボ＝レ＝バン
Camaret-sur-Mer,カマレ＝シュル＝メール
Cadenet,カドネ
Buzet-sur-Baïse,ビュゼ＝シュル＝バイズ
Esquibien,エスキビアン
Espelette,エスプレット
Erquy,エルキ
Enghien-les-Bains,アンギャン＝レ＝バン
Élan,ヘラジカ
Eguisheim,エギスハイム
Dol-de-Bretagne,ドル＝ド＝ブルターニュ
Digoin,ディゴワン
Barcelonnette,バルセロネット
Barbizon,バルビゾン
Baccarat,バカラ
Azay-le-Rideau,アゼ＝ル＝リドー城
Ax-les-Thermes,アクス＝レ＝テルム
Auvers-sur-Oise,オーヴェル＝シュル＝オワーズ
Audierne,オディエルヌ
Aubigny-sur-Nère,オービニー＝シュル＝ネール
Courchevel Airport,クールシュヴェル飛行場
Le Mont-Saint-Michel,ル・モン＝サン＝ミシェル
Jardin du Luxembourg,リュクサンブール公園
Château de Chambord,シャンボール城
Viaduc de Millau,ミヨー橋
Grand Case-Espérance Airport,グランカーズ・エスペランサ飛行場
Yvelines,イヴリーヌ県
Yonne,ヨンヌ県
Vosges,ヴォージュ県
Vinsobres,ヴァンソブル
Villefranche-de-Conflent,ヴィルフランシュ＝ド＝コンフラン
Villedieu-la-Blouère,ヴィルデュー＝ラ＝ブルエール
Tour Eiffel,エッフェル塔
Sword Beach,ソード・ビーチ
Omaha Beach,オマハ・ビーチ
Lesneven,レスネヴァン
Les Baux-de-Provence,レ・ボー＝ド＝プロヴァンス
Le Pouliguen,ル・プリガン
Le Pin-en-Mauges,ル・パン＝アン＝モージュ
Le Pellerin,ル・ペルラン
Le Monastier-sur-Gazeille,ル・モナスティエ＝シュル＝ガゼイユ
Legé,ルジェ
Le Fuilet,ル・フュイレ
Le Crotoy,ル・クロトワ
Le Cloître-Pleyben,ル・クロワトル＝プレバン
Le Buisson-de-Cadouin,ル・ビュイソン＝ド＝カドゥアン
La Wantzenau,ラ・ヴァンツェノー
Lavoûte-Chilhac,ラヴート＝シラク
Lavaudieu,ラヴォデュー
La Varenne,ラ・ヴァレンヌ
La Turbie,ラ・テュルビー
La Turballe,ラ・テュルバル
Latronquière,ラトロンキエール
Arlempdes,アルランド
Ardennes,アルデンヌ県
Ardèche,アルデシュ県
Andrezé,アンドルゼ
Amy,アミー
Amirat,アミラ
Alpes-Maritimes,アルプ＝マリティーム県
Alpes-de-Haute-Provence,アルプ＝ド＝オート＝プロヴァンス県
Aloxe-Corton,アロース・コルトン
Allier,アリエ県
Allassac,アラサック
Aisne,エーヌ県
Ain,アン県
Aiglun,エグラン
La Châtre,ラ・シャトル
La Chapelle-Rousselin,ラ・シャペル＝ルスラン
La Chapelle-Glain,ラ・シャペル＝グラン
La Chaise-Dieu,ラ・シェーズ＝デュー
La Boissière-sur-Èvre,ラ・ボワシエール＝シュル＝エヴル
La Bastide-Clairence,ラ・バスティッド＝クレーランス
Kerlaz,ケルラズ
La Tourlandry,ラ・トゥールランドリー
Latour-de-Carol,ラトゥール＝ドゥ＝カロル
La Salle-de-Vihiers,ラ・サル＝ド＝ヴィイエ
La Roche-Posay,ラ・ロッシュ＝ポゼ
Largentière,ラルジャンティエール
La Renaudière,ラ・ルノーディエール
Lapalud,ラパリュー
Langolen,ランゴラン
Langogne,ランゴーニュ
Landudec,ランデュデック
Landévennec,ランデヴェネック
Landéda,ランデダ
Lanarvily,ラナルヴィリー
Lampaul-Ploudalmézeau,ランポール＝プルダルメゾー
Lamotte-du-Rhône,ラモット＝デュ＝ローヌ
La Martyre,ラ・マルティル
Lamanon,ラマノン
La Jumellière,ラ・ジュメリエール
Lagrasse,ラグラス
Cognat-Lyonne,コニャ＝リヨンヌ
Coat-Méal,コア＝メアル
Coaraze,コアラーズ
Cléden-Cap-Sizun,クレデン＝カップ＝シザン
Île de la Cité,シテ島
Chicheboville,シシュボヴィル
Chevreuse,シュヴルーズ
Cher,シェール県
Chépy,シュピー
Chemillé-Melay,シュミエ＝ムレ
Chaumont-sur-Loire,ショーモン＝シュル＝ロワール
Châteldon,シャテルドン
Château-Thébaud,シャトー＝テボー
Château-Salins,シャトー＝サラン
Châteaugay,シャトゲ
Charolles,シャロル
Charente-Maritime,シャラント＝マリティーム県
Charantonnay,シャラントネー
Guimiliau,ギミリオー
Guimaëc,ギマエック
Guenrouet,ガンルエ
Guémené-sur-Scorff,ゲムネ＝シュル＝スコルフ
Guémené-Penfao,ゲムネ＝パンフォ
Grez-sur-Loing,グレ＝シュル＝ロワン
Grez-Neuville,グレ＝ヌヴィル
Gourdon,グルドン
Giverny,ジヴェルニー
Giromagny,ジロマニー
Geaune,ジョーヌ
Gâvres,ガヴル
Gamaches,ガマシュ
Jurançon,ジュランソン
Jura,ジュラ県
Jallais,ジャレ
Isère,イゼール県
Indre-et-Loire,アンドル＝エ＝ロワール県
Indre,アンドル県
Ille-et-Vilaine,イル＝エ＝ヴィレーヌ県
Île-Tudy,イル＝テュディ
Hunspach,アンスパック
Herbignac,エルビニャック
Hauts-de-Seine,オー＝ド＝セーヌ県
Haut-Rhin,オー＝ラン県
Hauteville-la-Guichard,オートヴィル＝ラ＝ギシャール
Haute-Savoie,オート＝サヴォワ県
Haute-Saône,オート＝ソーヌ県
Hautes-Alpes,オート＝アルプ県
Haute-Marne,オート＝マルヌ県
Haute-Loire,オート＝ロワール県
Haute-Goulaine,オート＝グレーヌ
Upper Corsica,オート＝コルス県
Hallencourt,アランクール
Saint-Ségal,サン＝セガル
Saint-Riquier,サン＝リキエ
Saint-Renan,サン＝ルナン
Saint-Remy-en-Bouzemont-Saint-Genest-et-Isson,サン＝ルミ＝アン＝ブズモン＝サン＝ジュネ＝エ＝イソン
Saint-Quentin-la-Motte-Croix-au-Bailly,サン＝カンタン＝ラ＝モット＝クロワ＝オー＝バイイ
Saint-Paul-de-Fenouillet,サン＝ポール＝ド＝フェヌイエ
Saint-Pabu,サン＝パビュ
Saint-Ouen-le-Houx,サン＝トゥーアン＝ル＝ウ
Saint-Nic,サン＝ニック
Saint-Nabor,サン＝ナボール
Saint-Mont,サン＝モン
Saint-Michel-Chef-Chef,サン＝ミシェル＝シェフ＝シェフ
Brem-sur-Mer,ブレム＝シュル＝メール
Saint-Mars-de-Coutais,サン＝マルス＝ド＝クテ
Île Saint-Louis,サン＝ルイ島
Saint-Laurent-des-Autels,サン＝ローラン＝デゾテル
Saint-Jean-Trolimon,サン＝ジャン＝トロリモン
Saint-Jean-du-Doigt,サン＝ジャン＝デュ＝ドワ
Saint-James,サン＝ジャム
Saint-Hilaire-Peyroux,サンティレール＝ペルー
Saint-Goazec,サン＝ゴアゼック
Saint-Germain-des-Vaux,サン＝ジェルマン＝デ＝ヴォー
Saint-Geniez,サン＝ジュニエ
Saint-Floret,サン＝フロレ
Saint-Fiacre-sur-Maine,サン＝フィアクル＝シュル＝メーヌ
Saint-Évarzec,サンテヴァルゼック
Saint-Étienne-le-Laus,サン＝テティエンヌ＝ル＝ロウ
Saint-Étienne-au-Mont,サン＝テティエンヌ＝オ＝モン
Sainte-Sève,サント＝セヴ
Sainte-Mère-Église,サント＝メール＝エグリーズ
Sainte-Menehould,サント＝ムヌー
Sainte-Florine,サント＝フロリーヌ
Sainte-Enimie,サンテニミー
Saint-Divy,サン＝ディヴィ
Saint-Derrien,サン＝デリアン
Saint-Bris-le-Vineux,サン＝ブリ＝ル＝ヴィヌー
Saint-Aignan-Grandlieu,サンテニャン＝グランリュー
Saclay,サクレー
Royat,ロワイヤ
Roscanvel,ロスカンヴェル
Roquefort-sur-Soulzon,ロックフォール＝シュル＝スールゾン
Roquebillière,ロクビリエール
Roissy-en-France,ロワシー＝アン＝フランス
Roche-en-Régnier,ロッシュ＝アン＝レニエ
Riom-ès-Montagnes,リオメス＝モンターニュ
Retournac,ルトゥールナック
Île de Ré,レ島
Piriac-sur-Mer,ピリアック＝シュル＝メール
Rhône,ローヌ県
Penvénan,パンヴェナン
Penmarch,パンマール
Pénestin,ペネスタン
Pégomas,ペゴマ
Pas-de-Calais,パ＝ド＝カレー県
Paradou,パラドゥー
Ottrott,オットロット
Ostabat,オスタバ＝アスム
Orne,オルヌ県
Oô,オウ
Seltz,セルツ
Seine-Saint-Denis,セーヌ＝サン＝ドニ県
Seine-Maritime,セーヌ＝マリティーム県
Seine-et-Marne,セーヌ＝エ＝マルヌ県
Sées,セー
Savoie,サヴォワ
Savigny-lès-Beaune,サヴィニー＝レ＝ボーヌ
Saverdun,サヴェルダン
Savenay,サヴネ
Sauxillanges,ソクシヤンジュ
Saugues,ソーグ
Sarthe,サルト県
Sartène,サルテーヌ
Saône-et-Loire,ソーヌ＝エ＝ロワール県
Santec,サンテック
Saint-Valery-sur-Somme,サン＝ヴァレリー＝シュル＝ソンム
Saint-Vaast-la-Hougue,サン＝ヴァースト＝ラ＝ウーグ
Vic-sur-Cère,ヴィック＝シュル＝セール
Vic-le-Comte,ヴィック＝ル＝コント
Vic-Fezensac,ヴィック＝フェザンサック
Veyre-Monton,ヴェイル＝モントン
Verteuil-sur-Charente,ヴェルトゥイユ＝シュル＝シャラント
Mont Ventoux,モン・ヴァントゥ
Vendée,ヴァンデ県
Vaucluse,ヴォクリューズ県
Var,ヴァール県
Valmy,ヴァルミー
Valençay,ヴァランセ
Val d'Oise,ヴァル＝ドワーズ県
Valdoie,ヴァルドワ
Val-de-Marne,ヴァル＝ド＝マルヌ県
Uzerche,ユゼルシュ
Uchaux,ユショー
Triel-sur-Seine,トリール＝シュル＝セーヌ
Quend,カン
Puy-de-Dôme,ピュイ＝ド＝ドーム県
Préfailles,プレファイユ
Poullan-sur-Mer,プラン＝シュル＝メール
Port-Saint-Père,ポール＝サン＝ペール
Port-Sainte-Foy-et-Ponchapt,ポール＝サント＝フォワ＝エ＝ポンシャ
Pontigny,ポンティニー
Pont-du-Château,ポン＝デュ＝シャトー
Pont-Croix,ポン＝クロワ
Plumelec,プリュムレック
Pluguffan,プリュギュファン
Plovan,プロヴァン
Plounévézel,プルネヴェゼル
Ploumoguer,プルモゲール
Ploumilliau,プルミリオー
Plouégat-Guérand,プルエガ＝ゲラン
Ploudiry,プルディリ
Plonévez-Porzay,プロネヴェ＝ポルゼ
Plonéis,プロネイス
Plogastel-Saint-Germain,プロガステル＝サン＝ジェルマン
