Marsilly (Moselle),马尔西伊·(摩泽尔省)
Chamvres,尚夫尔
Charmoy (Yonne),沙尔穆瓦
Champlay,尚普莱
Charleville-sous-Bois,沙勒维尔苏布瓦
Kirschnaumen,基什瑙門
Knutange,克尼唐日
Région française,大区·(法国)
Fort Boyard (monument),布瓦亚尔堡垒
Chassy (Yonne),沙西
Chailley,沙耶·(约讷省)
Arrondissement de Versailles,凡尔赛区
Chemilly-sur-Yonne,约讷河畔舍米伊
Cheny,舍尼
Festigny (Yonne),费斯蒂尼·(约讷省)
Petites Antilles,小安的列斯群岛
Carcassonne,卡尔卡松
Périgueux,佩里格
Hauconcourt,欧孔库尔
Brouderdorff,布鲁代尔多夫
Distroff,迪斯特罗夫
Guébling,盖布兰
Alzing,阿尔赞
Beux,伯镇
Altviller,阿尔特维莱尔·(摩泽尔省)
Oberrœdern,上勒代恩
Henriville,亨利维尔
Flandre française,法國法蘭德斯
Appalaches,阿巴拉契亚山脉
Ottmarsheim,奥特马赛姆
Retzwiller,雷茨维莱尔
Rimbachzell,林巴克采勒
Narbonne,纳博讷
Saint-Pierre-du-Mont (Nièvre),圣皮埃尔迪蒙·(涅夫勒省)
Insming,安斯曼
Saint-Franchy,圣弗朗希
Saint-Amarin,圣阿马兰
Rouffach,鲁法克
Ruelisheim,吕利赛姆
Wahlbach,瓦尔巴克·(米卢斯区)
Esnon,埃农·(约讷省)
Saint-Laurent-l'Abbaye,圣洛朗拉拜
Champcevrais,尚瑟夫赖
Vœgtlinshoffen,弗格特林索芬
Laudrefang,洛德勒方
Freistroff,弗雷斯特罗夫
Bettange,贝唐日
Berthelming,贝特尔曼
Évrange,埃夫朗日
TotalEnergies,道达尔能源
Bobigny,博比尼
Montbéliard,蒙贝利亚尔
Dannelbourg,达内尔堡
Guéblange-lès-Dieuze,盖布朗日莱迪约兹
Bronvaux,布龙沃
Vannes,瓦讷
Étale (sommet),埃塔勒山
Reporters sans frontières,无国界记者
Poitiers,普瓦捷
Strasbourg,斯特拉斯堡
Steenvoorde,斯滕福德
Pulversheim,皮尔沃赛姆
Muespach,米斯帕克
Oberentzen,上恩岑·(上莱茵省)
Roppentzwiller,罗彭茨维莱尔
Reynès,雷内斯
Agen,阿让
Alboussière,阿尔布西耶尔
Neuwiller,讷维莱尔
Frémery,弗雷默里
Guébestroff,盖贝斯特罗夫
Tarquimpol,塔尔坎波勒
Vibersviller,维贝尔斯维莱·(摩泽尔省)
Zommange,佐芒日
Chamoux,沙穆
Mittelwihr,米特尔维尔
Vogelgrun,福格尔格林
Munwiller,蒙维莱尔
Munster (Haut-Rhin),曼斯泰
Orschwihr,奥尔什维尔
Céret,塞雷·(东比利牛斯省)
Coustouges,库斯图日·(东比利牛斯省)
Niedermorschwihr,下莫什维尔
Cuisine française,法國飲食文化
Cerbère (Pyrénées-Orientales),塞贝尔
Le Perthus,勒佩尔蒂斯
Munchhouse,明舒斯
Obermorschwihr,上莫什维尔
Ranspach-le-Haut,上朗斯帕克
Neuf-Brisach,新布里萨克
Les Albres,莱萨尔布
Zealandia,西兰大陆
Saint-Cricq (Gers),圣克里克
Moulin-Rouge,红磨坊
Toul,图勒·(默尔特-摩泽尔省)
Pettoncourt,佩通库尔
Maizières-lès-Metz,迈济耶尔莱梅斯
Lindre-Haute,上兰德尔
Téterchen,泰泰尔尚
Vaxy,瓦克西·(摩泽尔省)
Laneuveville-en-Saulnois,索努瓦新城
Teting-sur-Nied,尼德河畔泰坦
Renault,雷诺
Hémilly,埃米利
Tincry,坦克里
Tenteling,唐特兰
Many,马尼·(摩泽尔省)
Château-Rouge,鲁日堡
Perpignan,佩皮尼昂
Saint-Epvre,圣埃夫尔
Ars-sur-Moselle,摩泽尔河畔阿尔斯
Thicourt,蒂库尔
Opération Michael,米夏耶爾作戰
Province du Dauphiné,多菲内
Lidrezing,利德勒赞
Bannay (Moselle),巴奈·(摩泽尔省)
Ley,莱镇·(摩泽尔省)
Sarre (rivière),萨尔河
Centrale nucléaire du Tricastin,特里卡斯坦核电站
Michelin,米其林
Champlost,尚普洛
Vénus de Milo,米洛的维纳斯
Ardenne,阿登·(地区)
Marange-Zondrange,马朗日-宗德朗日
Fresnes-en-Saulnois,索努瓦地区弗雷讷
Saint-Gratien-Savigny,圣格拉蒂安萨维尼·(涅夫勒省)
Vatimont,瓦蒂蒙
Saint-Père (Nièvre),圣佩尔
Saint-Nazaire,圣纳泽尔
Saint-Hilaire-Fontaine,圣伊莱尔枫丹
Saint-Parize-en-Viry,圣帕里兹昂维里
Paimpont,潘蓬
Front de l'Ouest (Première Guerre mondiale),西方戰線·(第一次世界大戰)
.fr,.fr
Courgis,库尔吉
Aff,阿夫河
Vers-sur-Selle,塞勒河畔韦尔
Basse-Terre (île en Guadeloupe),巴斯特尔岛
Catalan,加泰罗尼亚语
Berliet,贝利埃
Kuntzig,金齐什
Hallering,阿勒兰
Fraquelfing,弗拉凯尔凡
Destry,代斯特里
Cuvry,屈夫里
Hayes (Moselle),艾埃
Hayange,阿扬日
Beyren-lès-Sierck,贝朗莱谢尔克
Bousbach,布斯巴克
Assenoncourt,阿斯农库尔
Brouviller,布鲁维莱尔
Danne-et-Quatre-Vents,达讷和卡特尔旺
Bousse (Moselle),布斯
Hellering-lès-Fénétrange,埃勒兰莱费内特朗日
Mai 68,五月风暴
Peugeot,標緻汽車
Saint-Germain-des-Bois (Nièvre),圣日耳曼德布瓦·(涅夫勒省)
Gallo,加洛语
Courtoin,库尔图万
Saint-Maurice (Nièvre),圣莫里斯·(涅夫勒省)
Saint-Martin-du-Puy (Nièvre),圣马丁迪皮
Saint-Quentin-sur-Nohain,诺安河畔圣康坦
Langue d'oïl,奥依语
Charentenay,沙朗特奈
Saint-Privat (Ardèche),圣普里瓦
Bataille de Loigny,卢瓦尼拉巴塔耶战役
Reyssouze (rivière),雷蘇茲河
Sainte-Agnès (Alpes-Maritimes),圣阿涅斯·(滨海阿尔卑斯省)
Verdun,凡尔登
Champagne Salon,沙龍香檳
Foville,福维尔·(摩泽尔省)
Citroën,雪铁龙
Henridorff,亨利多夫
Chieulles,雪勒
Frauenberg,弗劳恩贝格·(摩泽尔省)
Azoudange,阿祖当日
Coin-lès-Cuvry,宽莱屈夫里
Mélanésie,美拉尼西亚
Le Chambon-sur-Lignon,利尼翁河畔勒尚邦
Institut supérieur de l'aéronautique et de l'espace,法国高等航空航天学院
Airbus Helicopters,空中客车直升机公司
Banyuls-sur-Mer,滨海巴纽尔斯
Ruminghem,吕曼盖姆
Union astronomique internationale,國際天文聯會
Franxault,弗朗克索
Pagny-le-Château,帕尼堡
Dijon,第戎
Eurostar,歐洲之星
Escaut,斯海尔德河
Boust,布斯特
Alsting,阿尔斯坦
Somme (fleuve),索姆河
Beaurainville,博兰维尔
Coupe du monde de football 1998,1998年國際足協世界盃
Forêts primaires de hêtres des Carpates et d'autres régions d'Europe,喀尔巴阡山脉及欧洲其它地区的原始山毛榉林
Gouy (Aisne),古伊
Thonville,通维尔
Manhoué,马努埃
Brettnach,布雷特纳克
Faulquemont,福尔克蒙
Varize-Vaudoncourt,瓦里兹-沃东库尔
Les Essarts-le-Roi,莱塞萨尔勒鲁瓦
Maurepas (Yvelines),莫尔帕
Domecy-sur-le-Vault,多姆西叙勒沃
Chassignelles,沙西涅勒
Cathédrale Sainte-Cécile d'Albi,阿尔比主教座堂
Chambeugle,尚伯格勒
Plateau de Saclay,萨克雷高地
Dissangis,迪桑吉
Dannemoine,达讷穆瓦讷
Brouck,布鲁克·(摩泽尔省)
Diges,迪日
Collan,科朗·(约讷省)
Cheney,舍内
Haute-Kontz,上孔茨
Bettviller,贝特维莱尔
Berg-sur-Moselle,摩泽尔河畔贝格
Hagondange,阿贡当日
Ay-sur-Moselle,摩泽尔河畔艾
Puttelange-lès-Thionville,皮特朗日莱蒂永维尔
Launstroff,劳恩斯特罗夫
Barchain,巴尔尚
Audun-le-Tiche,欧丹勒蒂什
Pont George-V,喬治五世大橋
Porte Noire (Besançon),黑门·(贝桑松)
Viaduc de Millau,米約高架橋
Pays basque français,北巴斯克地区
Pournoy-la-Chétive,普尔努瓦拉谢蒂沃
Uckange,于康日
Laumesfeld,劳默斯费尔德
Provence,普罗旺斯
Flamand occidental,西弗拉芒方言
Clouange,克卢昂日
Coin-sur-Seille,塞耶河畔宽
Saint-Julien-lès-Metz,圣于连莱梅斯
Villers-Stoncourt,维莱-斯通库尔
Hermelange,埃尔默朗日
Mécleuves,梅克勒沃
Jussy (Moselle),瑞西·(摩泽尔省)
Funiculaire de Montmartre,蒙马特缆车
Pouilly (Moselle),普伊
Cheminot (Moselle),舍米诺
Abreschviller,阿布雷什维莱尔
Chevillon (Yonne),舍维永·(约讷省)
Coulangeron,库朗日龙
Maxstadt,马克什塔特
Rochonvillers,罗雄维莱
L'Aiguillon,莱吉永
Oms (Pyrénées-Orientales),奥姆斯
Montferrer,蒙费雷
Taillet,塔耶特·(东比利牛斯省)
Corsavy,科尔萨维
Mouterhouse,穆特鲁斯
Loutzviller,卢茨维莱尔
Saint-Louis (Moselle),圣路易·(摩泽尔省)
Albiès,阿尔比耶斯
Alliat,阿利亚·(阿列日省)
Aleu,阿勒·(阿列日省)
Boussenois,布斯努瓦
Chazeuil (Côte-d'Or),沙泽伊
Orville (Côte-d'Or),奥维尔·(科多尔省)
Sacquenay,萨克奈
Foncegrive,丰斯格里沃
Selongey,瑟隆热
Vernois-lès-Vesvres,韦尔努瓦莱韦夫尔
Grivillers,格里维莱尔
Gentelles,让泰勒
Grécourt,格雷库尔
Grébault-Mesnil,格雷博梅尼勒
Glisy,格利西
Aéroport international de Bâle-Mulhouse,巴塞尔-米卢斯-弗赖堡欧洲机场
Grandcourt (Somme),格朗库尔·(索姆省)
Grouches-Luchuel,格鲁什-吕许埃勒
Challans,沙朗
L'Île-d'Yeu,利勒迪约
Aigues-Vives (Ariège),艾格维沃·(阿列日省)
Aigues-Juntes,艾格然特
Puig Neulós,内乌洛斯峰
Folschviller,福尔什维莱尔
Louvigny (Moselle),卢维尼·(摩泽尔省)
Silly-sur-Nied,尼德河畔锡伊
Saint-Privat-la-Montagne,圣普里瓦拉蒙塔涅
Puttelange-aux-Lacs,皮特朗日欧拉克
Amélie-les-Bains-Palalda,阿梅利莱班-帕拉尔达
Hertzing,埃尔特赞
Séfarades,塞法迪犹太人
L'Oréal,萊雅
Besançon,贝桑松
Gaule,高卢
Bataille de Sedan,色当会战
Institut national de la statistique et des études économiques,法国国家统计与经济研究所
Code Insee,INSEE编码
Rodemack,罗德马克
Moussey (Moselle),穆塞·(摩泽尔省)
Toulouse,圖盧茲
Économie de la France,法國經濟
Grand Trianon,大特里亚农宫
Grand Prix automobile de France,法國大獎賽
Petit Trianon,小特里亚农宫
Cathédrale Notre-Dame d'Amiens,亚眠主教座堂
Neustrie,紐斯特里亞
Voulpaix,武尔派
Musée maritime fluvial et portuaire de Rouen,鲁昂海事、内河航运和港口博物馆
Ginchy,然希
Goyencourt,瓜扬库尔
Gratibus,格拉蒂比
Route européenne,欧洲高速公路
Forcalquier,福卡尔基耶
Charte européenne des langues régionales ou minoritaires,歐洲區域或少數民族語言憲章
Alos (Ariège),阿洛·(阿列日省)
Allières,阿利耶尔
Molring,莫尔兰
Denting,当坦
Marimont-lès-Bénestroff,马里蒙莱贝内斯特罗夫
Maureillas-las-Illas,莫雷亚斯-拉西亚斯
Calmeilles,卡尔梅耶
Arles-sur-Tech,泰克河畔阿尔勒
Loupershouse,卢佩尔舒斯
Néerlandais,荷蘭語
Rolbing,罗尔班
Frucourt,弗吕库尔
Gézaincourt,热赞库尔
Gamaches,加马什
Guerbigny,盖尔比尼
Lhor,洛尔·(摩泽尔省)
Maizières-lès-Vic,迈济耶尔莱维克
Angers,昂热
Véronnes,韦罗讷
Montdidier (Moselle),蒙迪迪耶·(摩泽尔省)
Herny,埃爾尼·(摩澤爾省)
Insviller,因斯维莱尔
Saint-Cyr-l'École,圣西尔莱科勒
Eurocopter EC130,欧直EC130直升机
Eurocopter EC145,欧直EC145直升机
Aérospatiale AS550/555 Fennec,歐直耳廓狐直升機
Grand-Laviers,大拉维耶
Résistance intérieure française,法國抵抗運動
Jeux olympiques d'été de 1924,1924年夏季奥林匹克运动会
Gueudecourt,格德库尔
Occitanie (région culturelle),奧克西塔尼亞
Lezey,勒泽·(摩泽尔省)
Longeville-lès-Saint-Avold,隆日维尔莱圣阿沃尔德
Honskirch,翁斯基尔克
Schwerdorff,什韦尔多夫
Liocourt,利奥库尔
Obervisse,奥贝尔维斯
Saint-Martial-de-Valette,圣马夏尔德瓦莱特
Gruny,格吕尼·(索姆省)
Gorges (Somme),戈尔日·(索姆省)
Gauville (Somme),戈维尔
Guinzeling,甘兹兰
Mainvillers,曼维莱尔
Mégange,梅冈日
Vergaville,韦加维尔
Jallaucourt,雅洛库尔
Marsal (Moselle),马尔萨勒
Moncourt,蒙库尔·(摩泽尔省)
Sarralbe,萨拉尔布
Metting,梅坦
Roncourt (Moselle),龙库尔
Pévange,佩旺日
Saint-Quirin,圣基兰
Narbéfontaine,纳尔贝方丹
Jeux olympiques de 1900,1900年夏季奥林匹克运动会
Lagarde (Moselle),拉加尔德·(摩泽尔省)
Arte,德法公共电视台
Flétrange,弗莱特朗日
Sarcelles,萨塞勒
Communauté de Taizé,泰澤團體
Garons,加龙
Paix d'Amiens,亞眠和約
Ipsen,益普生
Anjou,安茹
Aérospatiale AS350 Écureuil,歐直AS350松鼠一型直升機
Tritteling-Redlach,特里特兰-雷德拉克
Lindre-Basse,下兰德尔
Malaucourt-sur-Seille,塞耶河畔马洛库尔
Place de l'Hôtel-de-Ville (Aix-en-Provence),市政厅广场·(普罗旺斯地区艾克斯)
Sud-Aviation SA365 Dauphin,歐直AS365海豚直升機
Place des Quatre-Dauphins,四海豚广场
Stade du Moustoir,穆斯圖瓦球場
Morville-lès-Vic,莫维尔莱维克
Marthille,马尔蒂尔·(摩泽尔省)
Gelucourt,热吕库尔
Rombas,龙巴
Sanry-sur-Nied,尼德河畔桑里
SOLEIL,法国SOLEIL同步辐射加速器
Trophée des champions 2012,2012年法国超级杯
Maison Bonaparte,波拿巴王朝
Ammertzwiller,阿梅尔茨维莱尔
Yutz,于茨
Xouaxange,舒阿桑日
Metzeresche,梅策雷什
Cannes,戛纳
Château d'Azay-le-Rideau,阿宰勒里多城堡
Phénix (réacteur),鳳凰號·(反應爐)
Luppy,吕皮
Sorbey (Moselle),索尔贝
Métairies-Saint-Quirin,梅泰里圣基兰
Vahl-lès-Faulquemont,瓦勒莱福尔克蒙
Sanry-lès-Vigy,桑里莱维日
Vœlfling-lès-Bouzonville,沃尔夫兰莱布宗维尔
Flévy,弗莱维
Hesse (Moselle),埃斯
Salonnes,萨洛讷·(摩泽尔省)
Moyeuvre-Petite,小穆瓦约夫尔
Merschweiller,梅尔斯克韦莱·(摩泽尔省)
Luttange,吕唐日
Collorec,科洛雷克
Basilique Saint-Bonaventure de Lyon,圣文德圣殿
Passage de l'Argue,白银廊街
Rue Victor-Hugo (Lyon),維克多·雨果路·(里昂)
Palais de la Bourse (Lyon),證交所宮
Presqu'île (Lyon),半岛·(里昂)
Église Saint-Nizier de Lyon,圣尼济耶教堂
Rue de la République (Lyon),共和路·(里昂)
Passage Pommeraye,波默海耶廊街
Musée d'Art contemporain de Lyon,里昂當代藝術博物館
Droit numérique,數位權利
Ajaccio,阿雅克肖
Plouray,普卢赖
Mézilhac,梅济亚克
Fitou,菲图
Beauce (France),博斯·(地区)
Rigaud (Alpes-Maritimes),里戈·(滨海阿尔卑斯省)
Authion (rivière),欧蒂永河
Zilling,齐兰·(摩泽尔省)
Saint-Louis-lès-Bitche,圣路易莱比奇
Pournoy-la-Grasse,普尔努瓦拉格拉斯
Bièvres (Essonne),比耶夫尔·(埃松省)
Natation aux Jeux olympiques de 1900,1900年夏季奥林匹克运动会游泳比赛
Rapa (île),拉帕岛
Rue du Bœuf,牛路·(里昂)
Palais de justice historique de Lyon,里昂正義宮
Bateau-mouche,蒼蠅船
Gadagne (musées),加达涅博物馆
Rue Saint-Jean (Lyon),圣若望路·(里昂)
Vieux Lyon,里昂老城
Hestroff,埃斯特罗夫
Hilbesheim,伊尔伯赛姆
Folkling,福尔克兰
Rahling,拉兰·(摩泽尔省)
Ranguevaux,朗格沃
Moyeuvre-Grande,大穆瓦约夫尔
Ogy (Moselle),奥日
Lemud,勒米·(摩泽尔省)
Vitry-sur-Orne,奥恩河畔维特里
Romelfing,罗默尔凡
Éguelshardt,埃格尔萨特
Valmont (Moselle),瓦尔蒙
Zetting,泽坦
Bataille du Mans (1871),勒芒战役
Frasne-le-Château,弗拉讷堡
Grand collisionneur de hadrons,大型強子對撞機
Soucht,苏赫特
Vantoux (Moselle),旺图
Saint-Éloi-de-Fourques,圣埃卢瓦德富尔克
Marseilles-lès-Aubigny,马赛莱索比尼
Vallerange,瓦勒朗日
Hinckange,安康日
Roppeviller,罗普维莱尔
Tulle,蒂勒
Bourguignon-lès-Conflans,布吉尼翁莱孔夫朗
Gravelotte,格拉沃洛特
Entrange,昂特朗日
Vilsberg,维尔斯贝格·(摩泽尔省)
Annot,阿诺特
Grindorff-Bizing,格兰多尔比赞
Ottange,奥唐日
Orny (Moselle),奥尔尼·(摩泽尔省)
Zoufftgen,祖夫根
Enchenberg,昂尚贝尔
Dardilly,达尔迪伊
Musée des Confluences,汇流博物馆
Oullins,乌兰·(里昂大都会)
Centre d'histoire de la résistance et de la déportation,抵抗运动史和流放史中心
Agence France-Presse,法新社
Menskirch,门斯基什
Université de Strasbourg,斯特拉斯堡大学
Gueschart,盖沙尔
Moreuil,莫勒伊
Cusy (Haute-Savoie),屈西
Rosières-en-Santerre,桑泰尔地区罗西耶尔
Lyons-la-Forêt,里昂斯拉福雷
La Chaumusse,拉绍米斯
Guignemicourt,吉涅米库尔
Froyelles,弗罗耶勒
Gorenflos,戈朗夫洛
Saint-Denis (Seine-Saint-Denis),聖但尼·(塞納-聖但尼省)
Tournoi de tennis de Lyon,里昂公開賽
Tournoi de tennis de Montpellier,法国南部网球公开赛
Oudrenne,乌德雷讷
Grostenquin,格罗唐坎
Vany,瓦尼·(摩泽尔省)
Volmunster,沃尔曼斯泰
Suisse (Moselle),瑞士·(摩泽尔省)
Communauté d'agglomération,城市圈公共社区
Famille Rothschild,罗斯柴尔德家族
Albertville,阿尔贝维尔
Montée du Gourguillon,古尔吉永斜坡
Église Saint-Bruno-les-Chartreux de Lyon,圣勃伦诺堂·(里昂)
Parc Olympique lyonnais,盧米埃爾球場
Gapennes,加佩讷
Grattepanche,格拉特庞什
Grivesnes,格里韦讷
Valmestroff,瓦尔梅斯特罗夫
Rohrbach-lès-Bitche,罗尔巴克莱比奇
Pas de Calais,多佛尔海峡
Artois (province),阿图瓦
Axa,安盛
Cherbourg-Octeville,瑟堡-奥克特维尔
Sanofi,赛诺菲
Turckheim,蒂尔凯姆
Bouc-Bel-Air,布克贝莱尔
Rosoy-en-Multien,米尔蒂安地区罗苏瓦
Censy,桑西·(约讷省)
Cuy (Yonne),屈伊
Coulours,库卢尔
Arc de Germanicus,日耳曼尼庫斯拱門
Ilévia,里尔都会公共交通
Champs-sur-Yonne,约讷河畔尚
Chichery,希什里
Forest-Montiers,福雷蒙捷
Rigney,里涅
Barguelonne,巴格洛訥河
Vézère,韋澤爾河
Renazé,勒纳泽
Klang (Moselle),克朗·(摩泽尔省)
Les Étangs,莱塞唐
Saint-Avit (Landes),圣阿维
Annequin (Pas-de-Calais),阿讷坎
Île Makatea,馬卡泰阿島
Dives (fleuve),迪沃河
Jeurre,热尔·(汝拉省)
Archipel de la Société,社會群島
Chailly-lès-Ennery,沙伊莱塞讷里
Boustroff,布斯特罗夫
Neufchef,讷夫谢夫
Réchicourt-le-Château,雷希库尔堡
Rouhling,鲁兰·(摩泽尔省)
Sarreinsming,萨兰斯曼
Rédange,雷当日·(摩泽尔省)
Sarraltroff,萨拉尔特罗夫
Guerre de Vendée,旺代戰爭
Pagny-lès-Goin,帕尼莱古万
Escherange,埃什朗日
Metzervisse,梅采维斯
Thimonville,蒂蒙维尔
Sailly-Achâtel,萨伊-阿沙泰勒
Hommarting,奥马尔坦
Yiddish,意第緒語
Chanville,尚维尔
Mittelbronn,米泰尔布龙·(摩泽尔省)
Neufgrange,讷夫格朗日
Les cent livres du siècle,世界報20世紀百大書籍
Tille,蒂耶河
.mf,.mf
Ételfay,埃泰尔费
Avricourt (Moselle),阿夫里库尔·(摩泽尔省)
Amnéville,阿姆内维尔
Chicourt,希库尔
Basque,巴斯克語
Hattigny,阿蒂尼·(摩泽尔省)
Amanvillers,阿芒维莱
Desseling,代斯兰
Ars-Laquenexy,阿尔斯-拉克内克西
Foulcrey,富尔克雷
Ligne Maginot,马奇诺防线
Châtel-Saint-Germain,沙泰勒圣日耳曼
Hagen (Moselle),阿根·(摩泽尔省)
Bousseviller,布斯维莱尔
Montauban-de-Bretagne,布列塔尼地区蒙托邦
Favières (Somme),法维耶尔·(索姆省)
1re armée (France),法国第一集团军
La Marseillaise,馬賽曲
Fieffes-Montrelet,菲耶弗蒙勒莱
Fescamps,费斯康
Aube (Moselle),奥布·(摩泽尔省)
Cappel (Moselle),卡佩勒
Grundviller,格伦德维莱尔
Niederstinzel,涅代尔斯坦泽·(摩泽尔省)
Mondorff,蒙多夫
Waldhouse,瓦尔杜斯
Malling,马兰·(摩泽尔省)
Lafrimbolle,拉夫兰博勒
Raville (Moselle),拉维尔
Manom,马诺姆
Garein,加兰
Uchacq-et-Parentis,于沙克和帕朗蒂斯
Saint-Martin-d'Oney,圣马丁多内
Ibigny,伊比尼
Freybouse,弗雷布斯
Veckersviller,韦凯尔斯维莱·(摩泽尔省)
Veckring,韦克兰
Schneckenbusch,什内肯比什
Saulny,索尔尼
Russange,吕桑日·(摩泽尔省)
Mittersheim,米泰尔桑·(摩泽尔省)
Hultehouse,于尔泰乌斯
Mondelange,蒙德朗日
Schmittviller,施米特维莱尔
Fameck,法梅克
Talange,塔朗日
Vernéville,韦尔内维尔
Chesny,谢尼
Schweyen,什韦恩
OpenSkies,開放天空航空
Arménien,亚美尼亚语
Hazembourg,阿藏堡
Dabo,达博
Arry (Moselle),阿里·(摩泽尔省)
Kappelkinger,卡珀尔坎热
Bickenholtz,比克诺尔茨
Chérisey,谢里塞
Boulange,布朗日
Achen,阿亨·(摩泽尔省)
Blies-Ébersing,布利斯埃贝尔桑
Antilly (Moselle),昂蒂利·(摩泽尔省)
Vic-le-Comte,维克勒孔特
Saint-Yorre,圣约尔
Police nationale (France),法國國家警察
Savants de la tour Eiffel,埃菲尔铁塔上所刻的72人列表
Fienvillers,菲安维莱尔
Ménilmontant (métro de Paris),梅尼尔蒙唐站
Melun,默伦
Arrondissement de Castres,卡斯特尔区
Valence (Drôme),瓦朗斯
Etzling,埃茨兰
Dornot,多尔诺·(摩泽尔省)
L'Étoile (Somme),莱图瓦勒
Harprich,阿尔普里什
Kerbach,凯尔巴克
Ouilly-le-Vicomte,乌伊勒维孔特
Courtonne-la-Meurdrac,库尔通拉默尔德拉克
Aumetz,欧梅斯
Estrées-sur-Noye,努瓦河畔埃斯特雷
Étalon (Somme),埃塔隆
Éterpigny (Somme),埃泰尔皮尼·(索姆省)
Porte d'Orléans (métro de Paris),奧爾良門站
Ferrières (Somme),费里耶尔·(索姆省)
Saint-Malo,圣马洛
Roscanvel,罗斯康韦勒
Saint-Florent-le-Vieil,旧圣弗洛朗
Plauzat,普洛扎
Bletterans,布莱特朗
Corentin Cariou (métro de Paris),科朗坦·卡里乌站
Fay (Somme),费村·(索姆省)
Embreville,昂布勒维尔
Saint-Jean-Pla-de-Corts,圣让普拉德科尔
Temple du Change,交易所教堂
La Croix-Rousse,红十字山
Tour Incity,城市大廈
Lucbardez-et-Bargues,吕克巴尔代兹和巴尔格
Traité de Versailles,凡尔赛条约
Jardin Rosa Mir,罗莎米尔花园
Montée de la Grande-Côte,大岸坡道
La Sortie de l'usine Lumière à Lyon,工厂大门
Le Boulou,勒布卢
Jardin botanique de Lyon,里昂植物園
Auxelles-Bas,下欧克塞勒
Nancy,南锡
Étricourt-Manancourt,埃特里库尔-马南库尔
Flaucourt,弗洛库尔
Blois,布卢瓦
Île Clipperton,克利珀頓島
Académie française,法兰西学术院
1er arrondissement de Paris,巴黎第一区
Nœux-les-Mines,讷莱米讷
Fédération internationale des traducteurs,国际翻译工作者联合会
Gorbio,戈尔比奥
Bagneux (Hauts-de-Seine),巴涅
Halstroff,阿尔斯特罗夫
Vaux (Moselle),沃镇·(摩泽尔省)
Petit-Réderching,小雷代尔尚
Schorbach,绍尔巴克
Niderhoff,尼德罗夫
Nilvange,尼尔旺日
Kœnigsmacker,柯尼希斯马克
Réding,雷丹
Landser,兰策·(上莱茵省)
Valdieu-Lutran,瓦尔迪约-吕特朗
Mertzen,梅尔岑·(上莱茵省)
Éclusier-Vaux,埃克吕谢沃
Docelles,多塞勒
Cérizols,塞里佐尔
Famechon (Somme),法姆雄
Meyenheim,马耶奈姆
Feuquières-en-Vimeu,维默地区弗基耶尔
Crozet (Ain),克罗泽
Manspach,曼斯帕克
Metzeral,梅泽拉尔
Logelheim,洛格莱姆
Ordre national de la Légion d'honneur,法國榮譽軍團勳章
Attilly,阿蒂伊
Bataille de Denain,德南戰役
Conseil de l'Europe,欧洲委员会
Laroque-des-Albères,阿尔贝拉地区拉罗克
Montbolo,蒙博洛
Armoiries de la France,法国国徽
Plouégat-Guérand,普卢埃加特盖朗
Vieux-Ferrette,旧费雷特
Village-Neuf,维拉日讷夫
Hoste (Moselle),奥斯特·(摩泽尔省)
Phalsbourg,法尔斯堡
Neufmoulins,讷夫穆兰·(摩泽尔省)
Montesquieu-des-Albères,阿尔贝拉地区孟德斯鸠
Cabestany,卡贝斯塔尼
Caen,卡昂
Hombourg-Budange,翁堡-比当日
Sainte-Barbe (Moselle),圣巴尔布
Béning-lès-Saint-Avold,贝南莱圣阿沃尔德
Moncheux,蒙舍
Liederschiedt,利德希特
Waldwisse,瓦尔德维斯
La Croix-Valmer,拉克鲁瓦瓦尔梅
Valenciennes,瓦朗謝訥
Simplon (métro de Paris),辛普朗站
10e arrondissement de Paris,巴黎第十区
Prix du jury du Festival de Cannes,評審團獎·(坎城影展)
La Roche-sur-Foron,福龙河畔拉罗什
Opéra de Lyon,里昂新歌劇院
Place Saint-Jean (Lyon),圣若翰广场
Église du Bon-Pasteur de Lyon,善牧堂·(里昂)
Rue des Archers (Lyon),射手路
Passage Thiaffait,蒂亚费廊街
Église Saint-Paul de Lyon,圣保禄教堂·(里昂)
Place de la Trinité (Lyon),圣三广场·(里昂)
Place des Célestins,策肋定广场·(里昂)
Jeux olympiques d'hiver de 1924,1924年冬季奥林匹克运动会
Aspach (Moselle),阿斯帕克·(摩泽尔省)
Farébersviller,法雷贝斯维莱尔
Prémery,普雷姆里
Sainte-Colombe-des-Bois,圣科隆布德布瓦
Saint-Agnan (Nièvre),圣阿尼昂·(涅夫勒省)
Terville,泰尔维尔
Rustroff,吕斯特罗夫
Peyraud,佩罗·(阿尔代什省)
Saint-Étienne-de-Lugdarès,圣艾蒂安德吕格达雷斯
Thorrenc,托朗克
Étréjust,埃特雷瑞斯特
Français (peuple),法兰西人
Faverolles (Somme),法沃罗勒·(索姆省)
Ungersheim,温格赛姆
Saint-Benin-d'Azy,圣伯南达济
Pousseaux,普索
Jeux olympiques d'hiver de 1968,1968年冬季奥林匹克运动会
Nitting,尼坦
Guebenhouse,盖伯努斯
Kirviller,基尔维莱尔·(摩泽尔省)
Saint-Didier (Nièvre),圣迪迪耶·(涅夫勒省)
Hunting,安坦
Rosselange,罗斯朗日
Monneren,莫讷伦
