Lionel Messi,리오넬 메시
Mariastella Gelmini,마리아스텔라 젤미니
Carolina Crescentini,카롤리나 크레센티니
Nereo Rocco,네레오 로코
Matteo Brighi,마테오 브리기
Francesco Graziani,프란체스코 그라치아니
Isabella Rossellini,이사벨라 로셀리니
Simone Pepe,시모네 페페
Ugo Ferrante,우고 페란테
Giacomo Neri,자코모 네리
Memmo Carotenuto,멤모 카로테누토
Vittorio Gregotti,비토리오 그레고티
Franco Causio,프란코 카우시오
Anna Falchi,안나 팔치
Luca Calvani,루카 칼바니
Dalila Di Lazzaro,달리아 디 라자로
Emma Marcegaglia,엠마 마르체갈리아
Stefania Prestigiacomo,스테파니아 프레스티자코모
Gaetano De Sanctis,가에타노 데 산크티스
Pontormo,자코포 다 폰토르모
Tranquillo Barnetta,트란퀼로 바르네타
Gino Cervi,지노 세르비
Stéphane Grappelli,스테판 그라펠리
Franco Modigliani,프랑코 모딜리아니
Johnny Dorelli,조니 도렐리
Giovanni Falcone,조반니 팔코네
Flavia Pennetta,플라비아 펜네타
Pierfrancesco Favino,피에르프란체스코 파비노
Salvatore Luria,샐버도어 에드워드 루리아
Carla Fracci,카를라 프라치
Adeodato Piazza,아데오다토 조반니 피아차
Gianni Agnelli,잔니 아녤리
Domenico Starnone,도메니코 스타르노네
Carlo Ginzburg,카를로 긴츠부르그
Chiara Cainero,키아라 카이네로
Massimo Ranieri,마시모 라니에리
Vincent Gardenia,빈센트 가데니아
Federico Macheda,페데리코 마케다
Miguel Bosé,미겔 보세
Alessandra Amoroso,알레산드라 아모로소
Danny Huston,대니 휴스턴
Nicolás Pareja,니콜라스 파레하
Bruno Zumino,브루노 추미노
Fabio Cinetti,파비오 치네티
Lamberto Dini,람베르토 디니
Lucky Luciano,러키 루치아노
Carlo Cudicini,카를로 쿠디치니
Jádson,자드송
Giovanni Sartori,조반니 사르토리
Paolo Orlandoni,파올로 오를란도니
Carlos Diogo,카를로스 디오고
Leonardo Bonucci,레오나르도 보누치
Naike Rivelli,나이케 리벨리
Bruno Conti,브루노 콘티
Giorgio Bocca,조르조 보카
Valerio Massimo Manfredi,발레리오 마시모 만프레디
Alessandro Diamanti,알레산드로 디아만티
Andrea Poli,안드레아 폴리
Christian Maggio,크리스티안 마조
Franco Fabrizi,프랑코 파브리지
Ennio Fantastichini,엔니오 판타스티키니
Fernando De Napoli,페르난도 데 나폴리
Gabriele Ferzetti,가브리엘레 페르제티
Carlo Molfetta,카를로 몰페타
Vincenzo Visco,빈첸초 비스코
Elio Vittorini,엘리오 비토리니
Scilla Gabel,쉴라 가벨
Giuseppe Baresi,주세페 바레시
Charles Ponzi,찰스 폰지
Michele Scarponi,미켈레 스카르포니
Tommaso Buscetta,톰마소 부셰타
Claudia Gerini,클라우디아 제리니
Ciccio Ingrassia,치초 인그라시아
Lucio Battisti,루초 바티스티
Ignazio Abate,이그나치오 아바테
Gabry Ponte,가브리 폰테
Antonio Nocerino,안토니오 노체리노
Alessandro Costacurta,알레산드로 코스타쿠르타
Leo Gullotta,레오 굴로타
Cesare Prandelli,체사레 프란델리
Gazebo,가체보
Carla Gravina,카를라 그라비나
Domenico Criscito,도메니코 크리시토
Sebastian Giovinco,세바스티안 조빈코
Maurizio Oioli,마우리치오 오이올리
Dario Marianelli,다리오 마리아넬리
Marina Berlusconi,마리나 베를루스코니
Luciano Floridi,루치아노 플로리디
Alessandro Haber,알렉산드로 하버
Roberto Herlitzka,로베르토 에를리츠카
Salvator Rosa,살바토르 로사
Giampaolo Pazzini,잠파올로 파치니
Mario Frustalupi,마리오 프루스탈루피
Morgan De Sanctis,모르간 데 산치스
Giuliana De Sio,줄리아나 데 시오
Tito Gobbi,티토 고비
Giuseppe Tomasi di Lampedusa,주세페 토마시 디 람페두사
Giulio Turcato,줄리오 투르카토
Franco Maria Malfatti,프란코 마리아 말파티
Luigi Lo Cascio,루이지 로 카시오
Giorgio Chinaglia,조르조 키날리아
Camillo Mastrocinque,카밀로 마스트로첸케
Nino Rota,니노 로타
Vittorio Storaro,비토리오 스토라로
Roberto Regazzi,로베르토 레가찌
Alfredo Foni,알프레도 포니
Giacinto Facchetti,자친토 파케티
Joe Manganiello,조 맹거넬로
Stefano Caldoro,스테파노 칼도로
Guido Stampacchia,귀도 스탐파키아
Mariacarla Boscono,마리아카를라 보스코노
Giuseppe Santomaso,주세페 산토마소
Gianfranco Ferré,잔프랑코 페레
Mario Delpini,마리오 델피니
Vittorio Caprioli,비토리오 카프리올리
Virginio Rosetta,비르지니오 로세타
Massimiliano Rosolino,마시밀리아노 로솔리노
Dino Meneghin,디노 메네긴
Mattia Cassani,마티아 카사니
Arnaldo Catinari,아르날도 카티나리
Luigi Allemandi,루이지 알레만디
Renato Izzo,레나토 이조
Fausto Coppi,파우스토 코피
Cristiano Lupatelli,크리스티아노 루파텔리
Graziano Pellè,그라지아노 펠레
Gino Peruzzi,히노 페루시
Claudio Volonté,클라우디오 볼론테
Simone Martini,시모네 마르티니
Marino Girolami,마리노 지로라미
Paolo Villaggio,파올로 빌라조
Riccardo Ferri,리카르도 페리
Luciano Berio,루치아노 베리오
Adolfo Baloncieri,아돌포 발론치에리
Francesco Guidolin,프란체스코 귀돌린
Lucas Leiva,루카스 레이바
Alessandro Nesta,알레산드로 네스타
Salvatore Giuliano,살바토레 줄리아노
Bud Spencer,버드 스펜서
Ferruccio Parri,페루초 파리
Leopoldo Trieste,레오폴도 트리에스테
Riccardo Cocciante,리카르도 코찬테
Mina,미나
Adone Zoli,아도네 촐리
Johnny Torrio,조니 토리오
Giuseppe Taddei,주세페 타데이
Al Cliver,알 클리버
Adolfo Celi,아돌포 셀리
Adolfo Consolini,아돌포 콘솔리니
Bernardo Corradi,베르나르도 코라디
Nicola Ciccolo,니콜라 치콜로
Gianni Amelio,잔니 아멜리오
Renata Tebaldi,레나타 테발디
Denis Verdini,데니스 베르디니
Marcello Dell'Utri,마르첼로 델우트리
Gianni Rivera,잔니 리베라
Gigliola Cinquetti,질리올라 칭케티
Alberto Cova,알베르토 코바
Daria Nicolodi,다리아 니콜로디
Ave Ninchi,아브 닌치
Sani Bečirovič,사니 베치로비치
Guglielmo Stendardo,굴리엘모 스텐다르도
Donatella Versace,도나텔라 베르사체
Valentina Vezzali,발렌티나 베찰리
Paola Pitagora,파올라 피타고라
Lina Sastri,리나 사스트리
Nino Frassica,니노 프라스 카
Lisa Gastoni,리사 가스토니
Sabrina Salerno,사브리나 살레르노
Gigi Proietti,지지 프로이에티
Salvo Randone,살보 란도네
Tommaso Padoa-Schioppa,톰마소 파도아스키오파
Fabio Grosso,파비오 그로소
Valeria Golino,발레리아 골리노
Elena Sofia Ricci,엘레나 소피아 리치
Giuseppe Siri,주세페 시리
Mario Scelba,마리오 셸바
Fabiano Caruana,파비아노 카루아나
Simone Perrotta,시모네 페로타
Renato Salvatori,레나토 살바토리
Aroldo Tieri,아롤도 티에리
Fulvio Collovati,풀비오 콜로바티
Massimo Serato,마시모 세라토
Marco Sau,마르코 사우
Asia Argento,아시아 아르젠토
Luciano Salce,루치아노 샐스
Mirella Freni,미렐라 프레니
Gianna Nannini,잔나 난니니
Valeria Bruni-Tedeschi,발레리아 브루니 테데스키
Juan Martín Maldacena,후안 말다세나
Francesco Saverio Nitti,프란체스코 사베리오 니티
Gian Piero Gasperini,잔 피에로 가스페리니
Vittorio Emanuele di Savoia,비토리오 에마누엘레 디 사보이아
Claudio Baglioni,클라우디오 발리오니
Luis Trenker,루이스 트렌커
Daniele Bonera,다니엘레 보네라
Nina Ricci,니나 리치
Francesco Toldo,프란체스코 톨도
Carolina Kostner,카롤리나 코스트너
Ettore Bastico,에토레 바스티코
Luigi Meneghello,루이지 메네겔로
Lorella De Luca,로렐라 데 루카
Giulio Natta,줄리오 나타
Federica Pellegrini,페데리카 펠레그리니
Iva Zanicchi,이바 자니키
Bruno Nicolai,브루노 니콜라이
Ferruccio Novo,페루초 노보
Roberto Maroni,로베르토 마로니
Valerio Adami,발레리오 아다미
Maria Grazia Cucinotta,마리아 그라치아 쿠치노타
Marco Amelia,마르코 아멜리아
Anna Oxa,안나 옥사
Giuseppe Bergomi,주세페 베르고미
Claudio Ranieri,클라우디오 라니에리
Mauricio Macri,마우리시오 마크리
Antonello Venditti,안토넬로 벤디티
Clelio Darida,클렐리오 다리다
Greta Scacchi,그레타 스카키
Alfredo Ottaviani,알프레도 오타비아니
Paolo Maldini,파올로 말디니
Elena Ferrante,엘레나 페란테
Paolo Negro,파올로 네그로
Mino Loy,미노 로이
Sofonisba Anguissola,소포니스바 안귀솔라
Romina Power,로미나 포베르
Bruno Sammartino,브루노 삼마르티노
Clemente Russo,클레멘테 루소
Fabiano Santacroce,파비아노 산타크로체
Gala,갈라
Toto Cutugno,토토 쿠티뇨
Amy Adams,에이미 애덤스
Marino Marini,마리노 마리니
Maurizio Ganz,마우리치오 간츠
Luca Marrone,루카 마로네
Franco Moschino,프랭코 모스키노
Pierluigi Collina,피에를루이지 콜리나
Monica Guerritore,모니카 구에리토레
Gianni De Biasi,잔니 데 비아시
Leonora Ruffo,레오노라 루포
Massimo Cacciari,마시모 카차리
Daniele Dessena,다니엘레 데세나
Tiziano Ferro,티지아노 페로
Sergio Girardi,세르조 지라르디
Annibale Bugnini,안니발레 부니니
Leoluca Orlando,레올루카 오를란도
Erri De Luca,에리 데루카
Francesco Antonioli,프란체스코 안토니올리
Licia Albanese,리차 알바네세
Nello Pazzafini,넬로 파자피니
Fiona May,피오나 마이
Stefania Sandrelli,스테파니아 산드렐리
Gianluca Vialli,잔루카 비알리
Nina Zilli,니나 질리
Ornella Vanoni,오르넬라 바노니
Fiorenza Cossotto,피오렌차 코소토
Gianna Beretta Molla,잔나 베레타 몰라
Giuseppe Galderisi,주세페 갈데리시
Luciano Ligabue,루차노 리가부에
Mia Martini,미아 마티니
Anselmo Robbiati,안셀모 로비아티
Gustavo Petro,구스타보 페트로
Delio Rossi,델리오 로시
Benito Lorenzi,베니토 로렌치
Caterina Murino,카테리나 무리노
Roberto Tricella,로베르토 트리첼라
Michael Agazzi,미카엘 아가치
Attilio Ruffini,아틸리오 루피니
Laura Antonelli,라우라 안토넬리
Piero Sraffa,피에로 스라파
Giovanni Lombardo Radice,조반니 롬바르도 라디체
Fabio Lione,파비오 리오네
Gianpiero Marini,잠피에로 마리니
Enrico Dante,엔리코 단테
Marco Storari,마르코 스토라리
Laura Gemser,로라 젬서
Andrea Barzini,안드레아 바지니
Giuseppe Milano,주세페 밀라노
Walter Mazzarri,발테르 마차리
Moreno Torricelli,모레노 토리첼리
Riccardo Chailly,리카르도 샤이
Sylva Koscina,실바 코스치나
Rik Battaglia,릭 바탈리아
Alda Merini,알다 메리니
Emiliano Viviano,에밀리아노 비비아노
Andrea Boattini,안드레아 보아티니
Andrea Cossu,안드레아 코수
Andrea Aureli,안드레아 오렐리
Andrea Collinelli,안드레아 콜리넬리
Flavia Fortunato,플라비아 포투나토
Tony Terlazzo,안토니 테를라초
Pietro Parolin,피에트로 파롤린
Milva,밀바
Francesca Neri,프란체스카 네리
Ondina Valla,트레비손다 발라
Omero Tognon,오메로 토뇬
Andrea Bianchi,안드레아 비앙치
Andrea Cassarà,안드레아 카사라
Gianluca Grava,잔루카 그라바
Alberto Braglia,알베르토 브랄리아
Daniela Bianchi,다니엘라 비안치
Renata Scotto,레나타 스코토
Amelita Galli-Curci,아멜리타 갈리 쿠르치
Andrea Baldini,안드레아 발디니
Diego Lugano,디에고 루가노
Vanessa Hessler,바네사 헤슬러
Andrea Carnevale,안드레아 카르네발레
Miuccia Prada,미우치아 프라다
Caterina Valente,캐터리나 발렌트
Dino Buzzati,디노 부차티
Terence Hill,테런스 힐
Paolo Sorrentino,파올로 소렌티노
Ugo Fano,우고 파노
John Turturro,존 터투로
Irene Fornaciari,이레네 포르나차리
Catalani,카탈루냐인
Andrea Fortunato,안드레아 포르투나토
Demetrio Albertini,데메트리오 알베르티니
Davide Bombardini,다비데 봄바르디니
Stefano Tacconi,스테파노 타코니
Mario Zanin,마리오 자닌
Adriana Asti,아드리아나 아스티
Mario Pescante,마리오 페스칸테
Fabio Borini,파비오 보리니
Giuseppe Baldini,주세페 발디니
Roger Piantoni,로제 피앙토니
Carlo Zotti,카를로 초티
John Acquaviva,존 아쿠아 비바
Marco Delvecchio,마르코 델베키오
Andrea Giordana,안드레아 지오다나
Ruggiero Rizzitelli,루제로 리치텔리
Giovanni Galli,조반니 갈리
Niccolò Ammaniti,니콜로 암만티
Andrea Mantovani,안드레아 만토바니
Andrea Seno,안드레아 세노
Giovanni Arrighi,조반니 아리기
Sergio Grieco,세르지오 그리에코
Claudio Chiappucci,클라우디오 키아푸치
Maurizio Stecca,마우리지오 스테카
Andrea Coda,안드레아 코다
Alberto Lupo,알베르토 루포
Guido Cantelli,귀도 칸텔리
Andrea Mandorlini,안드레아 만도를리니
Sara Gama,사라 가마
Ángel Di María,앙헬 디 마리아
Andrea Minguzzi,안드레아 민구치
Cristina Chiabotto,크리스티나 치아폿토
Clyde Geronimi,클라이드 제로니미
Luca Cambiaso,루카 캄비아소
Giuseppe Tosi,주세페 토시
Francesco Cilea,프란체스코 칠레아
Guido Marini,귀도 마리니
Eraldo Pecci,에랄도 페치
Gabriella Dorio,가브리엘라 도리오
Cecilia Maffei,체칠리아 마페이
Mirka Francia,미르카 프란시아
Guccio Gucci,구찌오 구찌
Gino Colaussi,지노 콜라우시
Adriano Sofri,아드리아나 소프리
Anita Caprioli,아니타 카프리올리
Angelo Infanti,안젤로 인판티
Maximilian Sciandri,맥시밀리언 시안드리
Marco Sala,마르코 살라
Giulia Michelini,줄리아 미켈리니
Aldo Protti,알도 프로티
Valentina Cortese,발렌티나 코르테세
Emanuele Canonica,에마누엘레 카노니카
Pietro Rava,피에트로 라바
Mara Bizzotto,마라 비초토
Nicola di Grecia,그리스와 덴마크의 왕자 니콜라오스
Luca Rossettini,루카 로세티니
Rachele Guidi,레이첼 무솔리니
Arturo Parisi,아르투로 파리시
Nicoletta Braschi,니콜레타 브라스키
Alessandra Mastronardi,알레산드라 마스트로나르디
Giuseppe Paratore,주세페 파라토레
Giulia Quintavalle,줄리아 퀸타발레
Arianna Fontana,아리안나 폰타나
Giovannino Guareschi,"죠반니노과레스끼,"
Marta Capurso,마르타 카푸르소
Mario Castelnuovo-Tedesco,마리오 카스텔누오보-테데스코
Angelo Bagnasco,안젤로 바냐스코
Pierluigi Casiraghi,피에를루이지 카시라기
Vladimir Luxuria,블라디미르 룩수리아
Francesco Zagatti,프란체스코 차가티
Francesco Moriero,프란체스코 모리에로
Andrea Zanzotto,안드레아 찬초토
Roberto Calvi,로베르토 칼비
Anton Giulio Bragaglia,안톤 줄리오 브라가글리아
Valentino,발렌티노 가라바니
Arturo Dominici,아르투로 도미니치
Giuseppe Occhialini,주세페 오키알리니
Roxana Baldetti,록사나 발데티
Giovanni Pasquale,조반니 파스콸레
Samuele Longo,사무엘레 롱고
Giovanni Battista Caproni,조반니 바티스타 카프로니
Samantha Cristoforetti,사만타 크리스토포레티
Elisa Di Francisca,엘리사 디 프란치스카
Stefano Rossini,스테파노 로시니
Annibale Betrone,안니발레 베트로네
Paolo Savona,파올로 사보나
Fabio Caressa,파비오 카레사
Nino Besozzi,니노 베소치
Sergio Ottolina,세르조 오톨리나
Rossana Podestà,로산나 포데스타
Al Bano,알 바노
Lilí de Álvarez,릴리 알바레스
Daniela Ceccarelli,다니엘라 체카렐리
Davide Biondini,다비데 비온디니
Giancarlo Antognoni,잔카를로 안토뇨니
Domenico Valentino,도메니코 발렌티노
Goffredo Alessandrini,고 프레도 알레 샌드 리니
Stefano Baldini,스테파노 발디니
Francesco Bardi,프란체스코 바르디
Rita Pavone,리타 파보네
Nino Cerruti,니노 세루티
Tamás Märcz,머르츠 터마시
Giacomo Bulgarelli,자코모 불가렐리
Lido Vieri,리도 비에리
Michele Placido,미켈레 플라치도
Mattia De Sciglio,마티아 데 실리오
Giorgio Di Centa,조르조 디 첸타
Antonio Sabàto Jr.,안토니오 사바토 주니어
Marcelo Tieppo Huertas,마르셀리뉴 우에르타스
Aureliano Bolognesi,아우렐리아노 볼로녜시
Ildebrando Pizzetti,일데브란도 피체티
Robert Acquafresca,로베르트 아콰프레스카
Enzo Dara,엔초 다라
Giacomo Nizzolo,자코모 니촐로
Gabriele Baldini,가브리엘레 발디니
Gianni Versace,잔니 베르사체
Gabriella Paruzzi,가브리엘라 파루치
Raimundo Orsi,라이문도 오르시
Vito Lattanzio,비토 라탄치오
Jacopo Amigoni,자코포 아미고니
Fernando Cerchio,페르난도 체르키오
Ottone Rosai,오토네 로사이
Crescenzio Sepe,크레셴치오 세페
Carlo Campogalliani,카를로 캄포갈리아니
Mattia Destro,마티아 데스트로
Pietro Paolo Virdis,피에트로 파올로 비르디스
Mario Filippeschi,마리오 필리페스키
Matteo Montaguti,마테오 몬타구티
Fedora Barbieri,페도라 바르비에리
Marco Andreolli,마르코 안드레올리
Raffaella Carrà,라파엘라 카라
Edwige Fenech,에드위그 페네치
Raoul Bova,라울 보바
Maurice Taylor,모리스 테일러
Tarcisio Burgnich,타르치시오 부르니치
Igor Markevitch,이고르 마르케비치
Michele Pazienza,미켈레 파치엔차
Michele Ferri,미켈레 페리
Gabriele Amorth,가브리엘레 아모르트
Enzo Biagi,엔초 비아지
Romeo Neri,로메오 네리
Giulio Gaudini,줄리오 가우디니
Federico Casarini,페데리코 카사리니
Veronica Lario,베로니카 라리오
Antonello Fassari,안토넬로 파사리
Antonello Cuccureddu,안토넬로 쿠쿠레두
Sergio Bertoni,세르조 베르토니
Lucia Bosè,루차 보세
Jovanotti,조바노티
Nico Pulzetti,니코 풀체티
Fabio Cudicini,파비오 쿠디치니
Nevio Scala,네비오 스칼라
Annunzio Paolo Mantovani,만토바니
Patrizio Prata,파트 리치 오 프라 타
Milo Manara,밀로 마나라
Fabrizio Ferron,파브리치오 페론
Gianluigi Lentini,잔루이지 렌티니
Goffredo Petrassi,고프레도 페트라시
Davide Fontolan,다비데 폰톨란
Antonia Truppo,안토니아 트렁크
Nicolas Bean,니콜라스 빈
Giovanni Ferrari,조반니 페라리
Matteo Contini,마테오 콘티니
Antonino Caponnetto,안토니노 카폰네토
Roberto Cammarelle,로베르토 캄마렐레
Claudio Villa,클라우디오 빌라
Roberto Alagna,로베르토 알라냐
Manuela Di Centa,마누엘라 디 첸타
Vittoria Puccini,비토리아 푸치니
Antonino Cassarà,닌니 카사라
Antonino Fogliani,안토니노 폴리아니
Andrea Zanchetta,안드레아 찬케타
Nichi Vendola,니키 벤돌라
Roberto Soriano,로베르토 소리아노
Camillo Ruini,카밀로 루이니
Davide Brivio,다비데 브리비오
Antonino Votto,안토니노 보토
Francesco Monterisi,프란체스코 몬테리시
Suso Cecchi D'Amico,수소 체키 다미코
Claudio Graziano,클라우디오 그라치아노
Matteo Maria Zuppi,마테오 추피
Benedetta Barzini,베네데타 바르지니
Franco Albini,프란코 알비니
Kasia Smutniak,카시아 스무트니아크
Alessandra Ferri,알레산드라 페리
Pietro Ferraris,피에트로 페라리스
Kim Rossi Stuart,김 로시 스튜어트
Allison Miller,앨리슨 밀러
Betty Curtis,베티 쿠르티스
Achille Compagnoni,아킬레 콤파뇨니
Maurizio De Jorio,마우리지오 데 요리오
Pino Dordoni,피노 도르도니
Gianni Franciolini,잔니 프란촐리니
Piero Tosi,피에로 토시
Giuseppe Favalli,주세페 파발리
Massimo Maccarone,마시모 마카로네
Mauro Sarmiento,마우로 사르미엔토
Giorgia Bronzini,조르자 브론치니
Gian Carlo Menotti,잔 카를로 메노티
Luca Zaia,루카 차이아
Lina Bo Bardi,리나 보 바르디
Sabrina Ferilli,사브리나 페릴리
Dario Franceschini,다리오 프란체스키니
Salvatore Baccaro,살바토레 바카로
Stefano Morrone,스테파노 모로네
Maurizio Iorio,마우리치오 이오리오
Ottavia Piccolo,오타피아 피콜로
Guido Crepax,귀도 크레팍스
Piero Ceccarini,피에로 체카리니
Mauro Bellugi,마우로 벨루지
Marco Malvaldi,마르코 말발디
Marisa Pavan,마리사 파반
Federico Lombardi,페데리코 롬바르디
Antonio Cassese,안토니오 카세세
Angelo Anquilletti,안젤로 안퀼레티
Alice Rohrwacher,알리체 로르바케르
Luigi De Agostini,루이지 데 아고스티니
Arianna Errigo,아리안나 에리고
Marco Pantani,마르코 판타니
Milly Carlucci,밀리 칼루치
Domenico Fioravanti,도메니코 피오라반티
Umberto Lenzi,움베르토 렌치
Jury Chechi,유리 케키
Enrico Fabris,엔리코 파브리스
Mario Corso,마리오 코르소
Costanza Zanoletti,코스탄차 차놀레티
Helena Makowska,헬레나 마코프스카
Daniele Galloppa,다니엘레 갈로파
Antonio Cantafora,안토니오 캔타포라
Licia Maglietta,리차 말리에타
Amintore Fanfani,아민토레 판파니
Michele di Grecia,그리스와 덴마크의 왕자 미하일
Sandro Puppo,산드로 푸포
Ezequiel Schelotto,에세키엘 스첼로토
Agostina Belli,아고스티나 벨리
Giancarlo Esposito,잔카를로 에스포시토
Ernesto Ambrosini,에르네스토 암브로시니
Antonio Floro Flores,안토니오 플로로 플로레스
Alessandro Gentile,알레산드로 젠틸레
Loretta Goggi,로레타 고지
Valeria Solarino,발레리아 솔라리노
Moira Orfei,모이라 오페이
Guido Castelnuovo,귀도 카스텔누오보
Giuseppe Dossena,주세페 도세나
Antonino Barillà,안토니노 바릴라
Antonio Leonviola,안토니오 레온비올라
Rosalinda Celentano,로살린다 첼렌타노
Gisella Marengo,지젤라 마렝고
Lea Padovani,레아 파도바니
Umberto Guidoni,움베르토 귀도니
Giovanni Messe,조반니 메세
Cristina Serafini,크리스티나 세라 피니
Xuxa,슈샤
Antonio Juliano,안토니오 율리아노
Bruno de Finetti,브루노 데 피네티
Andrea Petagna,안드레아 페타냐
Gino Fano,지노 파노
Giacomo Bonaventura,자코모 보나벤투라
Eusebio Di Francesco,에우세비오 디 프란체스코
Antonio Marcegaglia,안토니오 마르체갈리아
Raf Vallone,라프 발로네
Gigi Riva,루이지 리바
Riccardo Muti,리카르도 무티
Antonio Fazio,안토니오 파치오
Marisa Allasio,마리사 알라시오
Antonio Franchi,안토니오 프란치
Antonio Martino,안토니오 마르티노
Vito Mannone,비토 마노네
Elsa Morante,엘사 모란테
Rita Bernardini,리타 베르나르디니
Alfredo Bracchi,알프레도 브라키
Susanna Agnelli,수산나 아녤리
Rosanna Schiaffino,로잔나 쉬아피노
Elia Dalla Costa,엘리아 달라코스타
Fausto Pari,파우스토 파리
Francesco Gabrieli,프란체스코 가브리엘리
Giovanni Invernizzi,조반니 인베르니치
Girolamo Li Causi,지롤라모 리 카우시
Toni Servillo,토니 세르빌로
Mario Pizziolo,마리오 피치올로
Piero Chiambretti,피에로 키암브레티
Ugo Grappasonni,우고 그라파손니
Raffaele Palladino,라파엘레 팔라디노
Antonio Maria Magro,안토니오 마리아 마로
Facundo Roncaglia,파쿤도 롱카글리아
Carlo Maria Giulini,카를로 마리아 줄리니
Stefania Casini,스테파니아 카시니
Paolo Mieli,파올로 미엘리
Maurizio Seracini,마리지오 세라치니
Frank Puglia,프랭크 풀리아
Antonio Morelli,안토니오 모렐리
John Elkann,존 엘칸
Antonio Mirante,안토니오 미란테
Alex Gaudino,알렉스 가우디노
Emilio Pucci,에밀리오 푸치
Maurizio Gasparri,마우리치오 가스파리
Amelia Rosselli,아멜리아 로셀리
Tony Dallara,토니 달라라
Roberto Pruzzo,로베르토 프루초
Antonio Rosati,안토니오 로사티
Antonella Cannarozzi,안토넬라 카나로치
Pierino Prati,피에리노 프라티
Dacia Maraini,다차 마라이니
Gaetano Salvemini,가에타노 살베미니
Markus Windisch,마르쿠스 빈디슈
Laura Betti,라우라 베티
Alessandra Mussolini,알레산드라 무솔리니
Francesco Storace,프란체스코 스토라체
Rossella Fiamingo,로셀라 피아밍고
Ercole Rabitti,에르콜레 라비티
Simone Benedetti,시모네 베네데티
Serena Grandi,세레나 그 란디
Virgilio Savona,비릴리오 사보나
Alessandra Fossati,알레산드라 포사티
Fabio Galante,파비오 갈란테
Alice,알리체
Simone Montedoro,시모네 몬테도로
Cosimo Pinto,코시모 핀토
Peter Capaldi,피터 카팔디
Ernesto Calindri,에르네스토 칼린드리
Miki Biasion,미키 비아시온
Giorgio Lamberti,조르조 람베르티
Elisabetta Canalis,엘리사베타 카날리스
Giancarlo Marocchi,잔카를로 마로키
Carlo Rota,카를로 로타
Luigi Datome,루이지 다토메
Sergio Realini,세르조 레알리니
Mariangela Giordano,마리안젤라 지오르다노
Gaetano Lucchese,토미 루케세
Franca Bettoja,프란카 베토이아
Luca Bucci,루카 부치
Paolo Virzì,파올로 비르지
Enrico Cucchi,엔리코 쿠키
Alba Rohrwacher,알바 로르바허
Stefano Accorsi,스테파노 아코르시
Alessandra Martines,알레산드라 말티네스
Diana Gaspari,디아나 가스파리
Alessandra Panaro,알레산드라 파나로
Ilary Blasi,일라리 블라시
Gianfranco Barra,지안프랑코 바라
Emanuele Calaiò,에마누엘레 칼라이오
Francesco Solimena,프란체스코 솔리메나
Mimmo Jodice,밈모 요디체
Nicola Pavarini,니콜라 파바리니
Tommaso Berni,토마소 베르니
Giorgio Cantarini,조르조 칸타리니
Gioconda Belli,조콘다 벨리
Claudia Mori,클라우디아 모리
Lea Massari,레아 마사리
Alessandro Lucarelli,알레산드로 루카렐리
Claudio Gora,클라우디오 고라
Luigi Sturzo,스트루초
Anna Kanakis,안나 카나키스
Natalia Valeeva,나탈리아 발레예바
Carmen Giannattasio,카르멘 잔나타시오
Anna Bonitatibus,안나 보니타티부스
Giovanni Malagodi,조반니 말라고디
Maria Tipo,마리아 티포
Eleonora Giorgi,엘레오노라 조르지
Lara Comi,라라 코미
Giulia Rubini,줄리아 루비니
Roberto Di Donna,로베르토 디 돈나
Aitana Sánchez-Gijón,아이타나 산체스히혼
Roberto Murolo,로베르토 무롤로
Giorgio Strehler,조르조 스트렐레르
Marco Mengoni,마르코 멘고니
Matteo Messina Denaro,마테오 메시나 데나로
Cristiana Capotondi,크리스티아나 카포톤디
Maria Valtorta,마리아 발토르타
Franco Lavoratori,프란코 라보라토리
Cristina Scabbia,크리스티나 스카비아
Yvonne Rüegg,이본 뤼에크
Sandra Milo,산드로 밀로
Angelo Peruzzi,안젤로 페루치
Concetto Pozzati,콘체토 포차티
Isa Barzizza,이사 바르자
Lino Banfi,리노 밴피
Chiara Mastalli,키아라 마스탈리
Gianfranco Miccichè,잔프랑코 미치케
Alessandro Preziosi,알레산드로 프리지오시
Tomas Arana,토머스 아라나
Bianca Balti,비안카 발티
Luigi Beccali,루이지 베칼리
Lisandro López,리산드로 로페스
Roberto Rosetti,로베르토 로세티
Marco Travaglio,마르코 트라불리오
Mario Draghi,마리오 드라기
Alfonso Pecoraro Scanio,알폰소 페코라로 스카니오
Walter Zenga,발테르 젠가
Raffaele Guaita,라파엘레 과이타
Domiziana Giordano,도미지아나 지오다노
Oliviero Diliberto,올리비에로 딜리베르토
Roberto Donadoni,로베르토 도나도니
Anna Bonaiuto,안나 보나이우토
Federico Balzaretti,페데리코 발자레티
Luigi Russolo,루이지 루솔로
Angelo Comastri,안젤로 코마스트리
Franco Columbu,프랑코 콜럼부
Chiara Simionato,키아라 시미오나토
Arnaldo Forlani,아르날도 포를라니
Fabrizio Bentivoglio,파브리지오 벤티보글리오
Vasco Tagliavini,바스코 탈리아비니
Arrigo Sacchi,아리고 사키
Silvio Piola,실비오 피올라
Lucrezia Lante della Rovere,루크레치아 란타 델라 로베르
Pietro Serantoni,피에트로 세란토니
Alessandro Safina,알레산드로 사피나
Mercedes Bresso,메르체데스 브레소
Fabio Testi,파비오 테스티
Paola Borboni,파올라 보르보니
Pietro Arcari,피에트로 아르카리
