Ana de la Reguera,安娜·狄拉·雷格拉
Cristina Mittermeier,克里斯蒂娜·米特梅尔
Javier Valdez,哈维尔·巴尔德斯·卡德纳斯
Tony Ferguson,托尼·弗格森
Enrique Plancarte Solís,恩里克·普蘭卡特·索利斯
Cecilia González Gómez,塞西莉亞·岡薩雷斯·戈麥斯
Michel Franco,米歇爾·法蘭科
Jonás Cuarón,何纳斯·柯朗
Jahir Ocampo,海尔·奥坎波
Carlos Salcedo,卡洛斯·萨尔塞多
Carlos Cisneros,卡洛斯·西斯内罗斯
Gabriel Luna,蓋布瑞·盧納
Julio Urías,胡立歐·烏瑞亞斯
Alexa Moreno,亚历克莎·莫雷诺
Érick Aguirre,埃里克·阿吉雷
Ana Lilian de la Macorra,安娜·莉莲·德拉·马科拉·阿佩兰妮兹
Haramara Gaitán,哈拉玛拉·盖坦
Henry Martín,亨利·马丁
Hirving Lozano,伊爾文·洛薩諾
Briseida Acosta,布里塞伊達·艾科斯塔
Alexa Grasso,亚莉克莎·格拉索
Érick Gutiérrez,埃里克·古铁雷斯
Yair Rodríguez,亚伊尔·罗德里格斯
Eduardo Aguirre (futbolista),爱德华多·阿吉雷
Brandon Moreno,布兰登·莫雷诺
Samuel (cantante),金·塞缪尔
Job Castillo,约布·卡斯蒂略
José Joaquín Esquivel,何塞·埃斯基韦尔
Sombra (Overwatch),黑影
Sofía Reyes,索菲亚·雷耶斯
Roberto Alvarado,罗伯托·阿尔瓦拉多
Alexis Vega,亞歷克西斯·維加
Luis Ricardo Reyes,路易斯·雷耶斯
Jessica Salazar,杰茜卡·萨拉萨尔
Juan Toscano-Anderson,胡安·托斯坎諾-安德森
Dolores Hernández,多洛雷丝·埃尔南德斯
Melany Hernández,梅拉妮·埃尔南德斯
Natalia Cordova-Buckley,娜塔丽·科尔多瓦-贝克力
Johan Vásquez (futbolista mexicano),约翰·巴斯克斯
Mayes C. Rubeo,瑪耶絲·C·魯貝奧
Carlos Navarro Valdez,卡洛斯·纳瓦罗
Jorge Sánchez Ramos,豪尔赫·桑切斯
Luis Malagón,路易斯·马拉贡
Dafne Navarro,达夫妮·纳瓦罗
Luis Gerardo Chávez,路易斯·查韦斯
Randal Willars,兰达尔·维拉尔斯
Álex Verdugo,艾力士·韋杜戈
Luis Urías,路易斯·烏瑞亞斯
Diego Lainez Leyva,迭戈·莱内斯·(足球运动员)
Andrea Meza,安德烈娅·梅萨
Valeria Ortuño Martínez,巴莱里娅·奥图尼奥
Jesús Gallardo,赫苏斯·加利亚多
Ricardo Angulo,赫苏斯·里卡多·安古洛
Julieta Toledo,胡列塔·托莱多
Giuliana Olmos,朱里亚娜·奥尔莫斯
Gabriela Schloesser,加布麗埃拉·施魯塞爾
Jesús Angulo,赫苏斯·阿尔韦托·安古洛
César Montes,塞萨尔·蒙特斯
Abraham Ancer,亞伯拉罕·安瑟
Sebastián Córdova,塞瓦斯蒂安·科尔多瓦
Ismael Hernández (atleta),伊斯梅尔·埃尔南德斯
Rodrigo Diego López,罗德里戈·迭戈
Uriel Antuna,烏利爾·安度拿
Christian Nodal,克里斯蒂安·诺达尔
César Arturo Ramos,施薩·拉莫斯
Manuel García Rulfo,馬奴·賈西亞-魯爾福
Charly Rodríguez,卡洛斯·罗德里格斯·(足球运动员)
Misael Rodríguez,米萨埃尔·罗德里格斯
María Guadalupe González,玛利亚·瓜达卢普·冈萨雷斯
Sebastián Jurado,塞瓦斯蒂安·胡拉多
Gerardo Arteaga,赫拉尔多·阿特亚加
Dharius,達里烏斯
Aremi Fuentes,阿雷米·富恩特斯
Danielle O'Toole,丹妮爾·奧圖爾
Gabriela Agúndez,加芙列拉·阿贡德斯
Luis Romo,路易斯·罗莫
Fernando Beltrán Cruz,费尔南多·贝尔特兰
Randy Arozarena,藍迪·亞羅薩倫納
Daniela Souza,达妮埃拉·索萨
Kevin Berlín,凯文·伯林
Leydy Pech,雷迪·佩奇
Stefanía Aradillas,史蒂芬妮婭·阿拉迪亞斯
Aranza Vázquez,阿兰萨·巴斯克斯
Jesús Seade,施雅德
Carlos Sansores Acevedo,卡洛斯·桑索雷斯
Hugo López-Gatell,雨果·洛佩斯·盖特尔·拉米雷斯
Jorge Orozco Díaz,豪爾赫·奧羅斯科
Luis Armando Montoya,路易斯·阿尔曼多·蒙托亚·纳瓦罗
Edson Álvarez,埃德松·阿尔瓦雷斯
Luis Ramón Garrido,路易斯·拉蒙·加里多
Vladímir Loroña,弗拉迪米尔·洛罗尼亚
Fernanda Contreras (tenista),费尔南达·孔特雷拉斯·戈麦斯
Leslie Soltero,莱斯莉·索尔特罗
Alejandro Rejón Huchin,亚历杭德罗·雷洪
Osmar Olvera,奥斯马尔·奥尔韦拉
Brandon Plaza,布兰东·普拉萨
Yalitza Aparicio,耶莉莎·阿帕里西奧
Frida (perra),芙烈達·(搜救犬)
Juan Celaya,胡安·塞拉亚
Diego Balleza,迭戈·巴列萨
Xóchitl Gálvez,索奇特尔·加尔韦斯
Kevin Álvarez (futbolista nacido en 1999),凯温·阿尔瓦雷斯
Diego Calva,迪亞哥·卡爾瓦
Luka Romero,盧卡·羅美路
Luis Alegre Salazar,路易斯·阿萊格雷·萨拉萨尔
María Herrera Magdaleno,瑪麗亞·埃雷拉·馬格達萊諾
Adrián Mora Barraza,阿德里安·莫拉
Enrique Cabrera (artista),恩里克·卡布雷拉
Iñaki Godoy,伊納基·高代
María Fernanda Castro Maya,瑪麗亞·費爾南達·卡斯特羅·瑪雅
