大圍站,大囲駅
加舒尔布鲁木II峰,ガッシャーブルムII峰
昌邑区,昌邑区
玛沁县,瑪沁県
申扎县,シェンザ県
嘉黎县,ラリ県
滨州市,浜州市
聊城市,聊城市
宣威市,宣威市
莫力达瓦达斡尔族自治旗,モリンダワ・ダウール族自治旗
德令哈市,デリンハ市
鼓浪屿,鼓浪嶼
和硕县,ホショード県
上海申花足球俱乐部,上海申花足球倶楽部
太中银铁路,太中銀線
龙里县,竜里県
金坛区,金壇区
中国铁路武汉局集团,中国鉄路武漢局集団有限公司
龙海区,竜海区
陆丰市,陸豊市
台江区,台江区
同安区,同安区
汉江·(中国),漢江・(中国)
亚太空间合作组织,アジア太平洋宇宙協力機構
阿育王寺,阿育王寺
雷州半岛,雷州半島
亞洲時報在線,アジア・タイムズ・オンライン
東區·(香港),東区・(香港)
华州区,華州区
亞洲電視,亜洲電視
合肥市,合肥市
扶余市,扶余市
蔡甸区,蔡甸区
新市区·(乌鲁木齐市),新市区・(ウルムチ市)
玉树市,玉樹市
头屯河区,頭屯河区
井陉矿区,井陘鉱区
城关区·(拉萨市),城関区・(ラサ市)
类乌齐县,リウォチェ県
索县,ソク県
定日县,ティンリ県
新抚区,新撫区
麻栗坡县,麻栗坡県
現代標準漢語,標準中国語
2008年夏季奧林匹克運動會男子公路自行車個人計時賽,2008年北京オリンピックの自転車競技・男子個人タイムトライアル
大埔運動場,大埔運動場
上海大学站,上海大学駅
长江南路站·(上海市),長江南路駅
四平路站,四平路駅
老西门站,老西門駅
上海轨道交通12号线,上海軌道交通12号線
芳华路站,芳華路駅
葵青區,葵青区
沪杭铁路,滬杭線
民勤县,民勤県
中国国际广播电台,中国国際放送
亞洲公路網,アジアハイウェイ
顺义奥林匹克水上公园,順義オリンピック水上公園
上海大師賽,上海マスターズ
崇信县,崇信県
博罗县,博羅県
岷江,岷江
岷山,岷山山脈
瑞金市,瑞金市
清河站,清河駅
中秋节,中秋節
兰西县,蘭西県
茂南区,茂南区
黑水县,黒水県
广化寺·(北京市),広化寺・(北京市)
石峰区,石峰区
中国西昌卫星发射中心,西昌衛星発射センター
香港歷史,香港の歴史
潼关县,潼関県
TCL科技,TCL集団
如皋市,如皋市
芒市,芒市
兰溪市,蘭谿市
东阳市,東陽市
1990年亚洲运动会,1990年アジア競技大会
广德火箭发射场,広徳ロケット発射場
2010年玉樹地震,青海地震
2008年夏季奧林匹克運動會跆拳道比賽,2008年北京オリンピックのテコンドー競技
肇嘉浜路站,肇嘉浜路駅
南陈路站,南陳路駅
东方体育中心站,東方体育中心駅
曲阜路站,曲阜路駅
后滩站,後灘駅
雅砻江,雅礱江
场中路站,場中路駅
巨峰路站,巨峰路駅
殷高西路站,殷高西路駅
大华三路站,大華三路駅
上大路站,上大路駅
市民中心站·(深圳市),市民中心駅
杨高中路站,楊高中路駅
耀华路站,耀華路駅
少年宮站,少年宮駅
中华艺术宫站,中華芸術宮駅
锦绣路站,錦繍路駅
五山站,五山駅
塘桥站,塘橋駅
拱北口岸,拱北口岸
中兴路站,中興路駅
民生路站,民生路駅
羅湖口岸,羅湖口岸
2010年亞洲運動會羽毛球比賽,2010年アジア競技大会におけるバドミントン競技
洛川县,洛川県
玉门市,玉門市
丁青县,テンチェン県
中国国家图书馆,中国国家図書館
濟南奧林匹克體育中心體育場,済南オリンピック・スポーツセンター
东北航空,東北航空
玄中寺,玄中寺
行政建制镇,鎮
北京地铁15号线,北京地下鉄15号線
中国铁路线路列表,中国の鉄道路線一覧
兴和县,興和県
景山公园,景山公園
南浦大桥站,南浦大橋駅
嫩江路站,嫩江路駅
东明路站,東明路駅
陆家浜路站,陸家浜路駅
江达县,ジョムダ県
长清路站,長清路駅
源深体育中心站,源深体育中心駅
花木路站,花木路駅
江浦路站,江浦路駅
云台路站,雲台路駅
商城路站,商城路駅
金桥路站,金橋路駅
聂荣县,ニェンロン県
洛隆县,ロロン県
昂仁县,ガムリン県
色尼区,セニ区
教师节,教師の日
紫峰大厦,紫峰タワー
普宁寺,普寧寺・(承德市)
泥河湾遗址,泥河湾遺跡
宜章县,宜章県
藏族,チベット民族
达拉特旗,ダラト旗
昆仑山脉,崑崙山脈
沙雅县,シャヤール県
巴楚县,マラルベシ県
青河县,チンギル県
玛纳斯县,マナス県
温宿县,オンスー県
崇明岛,崇明島
老山自行车馆,老山自転車館
魏都区,魏都区
镶黄旗·(内蒙古),鑲黄旗
和平饭店·(上海),和平飯店
中国—蒙古国边界,中蒙国境
霍林郭勒市,ホーリンゴル市
木垒哈萨克自治县,モリ・カザフ自治県
托里县,トリ県
伽师县,ペイズィワト県
奉天会战,奉天会戦
南湾猴岛自然保护区,南湾猿島
沧县,滄県
本溪水洞,本渓水洞
贵南县,貴南県
景田站,景田駅
滑县,滑県
宁国市,寧国市
巴塘县,巴塘県
广东电视塔,広東テレビ塔
西成客运专线,西成旅客専用線
102国道,G102国道
花山区,花山区
丰县,豊県
临泉县,臨泉県
来凤县,来鳳県
香港短途錦標,香港スプリント
香港電車,香港トラム
宗·(建筑),ゾン
大昭寺,トゥルナン寺
2008年夏季奥林匹克运动会乒乓球比赛,2008年北京オリンピックの卓球競技
德江县,徳江県
桦川县,樺川県
觀塘綫,観塘線
高昌國,高昌
登封市,登封市
巴青县,バチェン県
扎什伦布寺,タシルンポ寺
浦江饭店,浦江飯店
噶尔县,ガル県
岗巴县,ガムパ県
尼玛县,ニマ県
南木林县,ナムリン県
贡觉县,ゴンジョ県
工布江达县,コンボギャムダ県
海曙区,海曙区
夏河县,夏河県
乐陵市,楽陵市
增城区,増城区
曾都区,曽都区
諾門罕戰役,ノモンハン事件
桂林市,桂林市
2008年夏季奧林匹克運動會籃球比賽,2008年北京オリンピックのバスケットボール競技
1956年亞足聯亞洲盃,AFCアジアカップ1956
林周县,ルンドゥプ県
成都双流国际机场,成都双流国際空港
加格拉河,ガーグラー川
玉光街礼拜堂,玉光街礼拝堂
五祖寺,五祖寺
香港瓶,香港ヴァーズ
韩江,韓江
三江平原,三江平原
丰都县,豊都県
雅戈泰,アガルタ
平罗县,平羅県
上海证券交易所,上海証券取引所
吉利控股集团,浙江吉利控股集団
1950年阿薩姆—西藏地震,アッサム・チベット地震
大埔區,大埔区
通河县,通河県
吴兴区,呉興区
社會民主連線,社会民主連線
新昌县,新昌県
桥西区·(石家庄市),橋西区・(石家荘市)
2015年世界田徑錦標賽,2015年世界陸上競技選手権大会
依兰县,依蘭県
伊尔克什坦口岸,イルケシュタム峠
中央民族大学,中央民族大学
2008年夏季奧林匹克運動會田徑比賽,2008年北京オリンピックの陸上競技
中原,中原
鄂温克族,エヴェンキ
中共中央党校,中国共産党中央党校
中央广播电视塔,中央広播電視塔
渭河平原,関中
海口市,海口市
2008年夏季奧林匹克運動會足球比賽,2008年北京オリンピックのサッカー競技
梟龍戰機,FC-1・(航空機)
韶山7型电力机车,中国国鉄韶山7型電気機関車
顺平县,順平県
江苏路站,江蘇路駅
6K型电力机车,中国国鉄6K型電気機関車
上海南站,上海南駅
中国移动,中国移動通信
固阳县,固陽県
横店影视城,横店影視城
韶山9型电力机车,中国国鉄韶山9型電気機関車
咸丰县,咸豊県
萨嘎县,サガ県
浪卡子县,ナンカルツェ県
岳普湖县,ヨプルガ県
泗水县,泗水県
中國2010年上海世界博覽會,上海国際博覧会
贵阳市,貴陽市
喀什地区,カシュガル地区
洞口县,洞口県
上海體育場,上海体育場
平谷区,平谷区
房山区,房山区
石景山区,石景山区
香港小姐競選,ミス香港
伊犁河,イリ川
釣魚臺列嶼主權問題,尖閣諸島問題
高昌区,高昌区
阿斯塔那古墓群,アスターナ古墓群
江汉区,江漢区
愛思唯爾,エルゼビア
和谐3B型电力机车,中国国鉄HXD3B型電気機関車
胶济客运专线,膠済旅客専用線
隆阳区,隆陽区
北京地铁1号线,北京地下鉄1号線
坊子区,坊子区
2000年夏季奥林匹克运动会中国代表团,2000年シドニーオリンピックの中国選手団
地级市,地級市
阳城县,陽城県
东乡族,ドンシャン族
顺河回族区,順河回族区
广胜寺,広勝寺
大秦铁路,大秦線
库木吐喇千佛洞,クムトラ石窟
博鳌镇,博鰲鎮
上海华普汽车,上海華普汽車
永兴岛,ウッディー島
宣武区,宣武区
水燈,灯籠流し
西林县,西林県
朝阳区·(长春市),朝陽区・(長春市)
崇文区,崇文区
大兴区,大興区
海淀区,海淀区
郫都区,郫都区
琼中黎族苗族自治县,瓊中リー族ミャオ族自治県
建德市,建徳市
天山区,天山区
德昂族,トーアン族
昌江黎族自治县,昌江リー族自治県
新乐市,新楽市
乐东黎族自治县,楽東リー族自治県
延寿县,延寿県
康平县,康平県
图瓦人,トゥバ人
2022年冬季奥林匹克运动会,2022年北京オリンピック
2008年夏季奧林匹克運動會網球比賽,2008年北京オリンピックのテニス競技
丰台区,豊台区
昌平区,昌平区
顺义区,順義区
黃巾之亂,黄巾の乱
奧林匹克運動會中國香港代表團,オリンピックの香港選手団
东城区,東城区・(北京市)
朝阳区,朝陽区・(北京市)
通州区,通州区・(北京市)
博白县,博白県
泌阳县,泌陽県
博爱县,博愛県
荃灣區,荃湾区
黃大仙區,黄大仙区
2008年夏季奧林匹克運動會網球比賽—男子單打,2008年北京オリンピックのテニス競技・男子シングルス
满洲里市,満洲里市
新都区,新都区
清新区,清新区
达坂城区,達坂城区
博湖县,バグラシュ県
东台市,東台市
宜州区,宜州区
黄岩区,黄岩区
呼兰区,呼蘭区
木兰县,木蘭県
大连外国语大学,大連外国語大学
道外区,道外区
凭祥市,憑祥市
镇江站,鎮江駅
炎陵县,炎陵県
临潼区,臨潼区
贵阳市奥林匹克体育中心,貴陽オリンピック・スポーツセンター・スタジアム
邵阳市,邵陽市
蒲台,蒲台島
万柏林体育场,太原万柏林体育場
越秀山体育场,越秀山体育場
广东奥林匹克体育中心,広東オリンピックスタジアム
广州大学城体育中心,広州大学城体育中心
河北足球俱乐部,河北足球倶楽部
橋咀洲,橋咀洲
鹤壁市,鶴壁市
平顶山市,平頂山市
静安寺,静安寺
渝利铁路,渝利線
離島區,離島区
中央广播电视总台光华路办公区,中国中央電視台本部ビル
东方红3型内燃机车,中国国鉄東方紅3型ディーゼル機関車
京沈客运专线,京瀋旅客専用線
和谐2型电力机车,中国国鉄HXD2型電気機関車
合蚌客运专线,合蚌旅客専用線
唐古拉站,タングラ駅
2008年夏季奥林匹克运动会田径男子100米比赛,2008年北京オリンピックの陸上競技・男子100m
中國漫畫,中国の漫画
韶山乡,韶山郷
博野县,博野県
泊头市,泊頭市
博兴县,博興県
广安区,広安区
皮山县,グマ県
澄海区,澄海区
临高县,臨高県
英德市,英徳市
中国人民解放军海军,中国人民解放軍海軍
波密县,ポメ県
博山区,博山区
博乐市,ボルタラ市
勃利县,勃利県
墨脱县,メトク県
什邡市,什邡市
沙依巴克区,サイバグ区
亚东县,ドモ県
日土县,ルトク県
兴化市,興化市
聂拉木县,ニャラム県
恩施市,恩施市
四人帮,四人組
网易,網易
東龍洲,東竜洲
闸北区,閘北区
香港郵政,香港郵政
察雅县,ダクヤプ県
沖南岩,沖の南岩
泽州县,沢州県
黑龙江扎龙国家级自然保护区,ジャロン自然保護区
漯河市,漯河市
许昌市,許昌市
濮阳市,濮陽市
新乡市,新郷市
焦作市,焦作市
广州北站,広州北駅
中国美术史,中国美術
厦深铁路,廈深線
三门峡市,三門峡市
实德集团,実徳グループ
宋家庄站,宋家荘駅・(北京市)
统万城,統万城
2012年中国反日示威活动,2012年の中国における反日活動
张掖市,張掖市
张湾区,張湾区
彰武县,彰武県
长子县,長子県
澳門航空,マカオ航空
白鹿洞书院,白鹿洞書院
機場快綫·(港鐵),機場快線
湛河区,湛河区
漳浦县,漳浦県
章丘区,章丘区
张家界市,張家界市
樟树市,樟樹市
常德市,常徳市
益阳市,益陽市
郴州市,郴州市
沧源佤族自治县,滄源ワ族自治県
香港藝術館,香港芸術館
博格达峰,ボゴダ峰
上海北站,上海北駅
中华人民共和国铁道部,中華人民共和国鉄道部
香港航空,香港航空
庆盛站,慶盛駅・(中国国鉄)
复兴门站·(北京市),復興門駅・(北京市)
西藏南路站,西蔵南路駅
车师,車師
松江新城站,松江新城駅
浦东国际机场站,浦東国際機場駅
桂林路站,桂林路駅
東亞共同體,東アジア共同体
港城路站,港城路駅
蓝村路站,藍村路駅
二里頭文化,二里頭文化
金沙江,金沙江
沪杭客运专线,滬杭旅客専用線
北京商务中心区,北京商務中心区
中华人民共和国政治,中華人民共和国の政治
滨北铁路,浜北線
石太客运专线,石太旅客専用線
融水苗族自治县,融水ミャオ族自治県
澄江市,澄江市
中国地震烈度表,中国震度階級
阿拉善右旗,アルシャー右旗
阳江核电站,陽江原子力発電所
三门核电站,三門原子力発電所
海阳核电站,海陽原子力発電所
沈河区,瀋河区
方家山核电站,方家山原子力発電所
万山区,万山区
麦盖提县,マルキト県
大箐山县,大箐山県
浦口区,浦口区
2008年夏季奧林匹克運動會體操比賽—男子個人全能,2008年北京オリンピックの体操競技・男子個人総合
乳源瑶族自治县,乳源ヤオ族自治県
洪江市,洪江市
湘西土家族苗族自治州,湘西トゥチャ族ミャオ族自治州
河西走廊,河西回廊
中国足球协会乙级联赛,中国サッカー・乙級リーグ
册亨县,冊亨県
扎囊县,ダナン県
章贡区,章貢区
张北县,張北県
张店区,張店区
漳河·(卫河),漳河
漳县,漳県
察哈尔蒙古语,チャハル・モンゴル語
中华人民共和国水利部,中華人民共和国水利部
吴淞江,呉淞江
中华人民共和国民政部,中華人民共和国民政部
中国网,中国網
中华人民共和国国家民族事务委员会,国家民族事務委員会
晋江,晋江
名山区,名山区
班公错,パンゴン湖
满洲里西郊机场,満洲里西郊空港
同人遊戲,同人ゲーム
青城山,青城山
PP视频,PPTV
上海国际金融中心,上海国際金融中心
信阳市,信陽市
中胜站,中勝駅
爱民区,愛民区
香港華民航空,エア・ホンコン
巴克特里亚语,バクトリア語
中华人民共和国教育,中華人民共和国の教育
2008年夏季奧林匹克運動會體操女子團體比賽,2008年北京オリンピックの体操競技・女子団体総合
2008年夏季奧林匹克運動會體操比賽—男子跳馬,2008年北京オリンピックの体操競技・男子跳馬
徐家汇,徐家匯
2008年夏季奧林匹克運動會體操比賽—女子個人全能,2008年北京オリンピックの体操競技・女子個人総合
兰陵县,蘭陵県
中國—蒙古國關係,中蒙関係
苍溪县,蒼渓県
澳門新葡京酒店,グランド・リスボア
仓山区,倉山区
苍梧县,蒼梧県
南阳市,南陽市・(河南省)
漳平市,漳平市
张家川回族自治县,張家川回族自治県
张家港市,張家港市
商丘市,商丘市
昭阳区,昭陽区
昭觉寺,昭覚寺
昭觉县,昭覚県
昭平县,昭平県
昭苏县,モンゴルキュレ県
唐昭陵,昭陵・(唐)
娄底市,婁底市
怀化市,懐化市
会泽县,会沢県
乌鲁木齐地窝堡国际机场,ウルムチ地窩堡国際空港
双湖县,双湖県
江城哈尼族彝族自治县,江城ハニ族イ族自治県
迪庆藏族自治州,デチェン・チベット族自治州
中国铁路高速列车,中国鉄路高速
海原县,海原県
长乐区,長楽区
阿合奇县,アクチ県
中國國家女子排球隊,バレーボール中華人民共和国女子代表
阿克苏地区,アクス地区
上海市徐汇区高安路第一小学,高安路第一小学校
阿克塞哈萨克族自治县,アクサイ・カザフ族自治県
淞虹路站,淞虹路駅
曲阜孔庙、孔林和孔府,三孔
威宁路站,威寧路駅
华南地区,華南
京九铁路,京九線
娄山关路站,婁山関路駅
灵岩南路站,霊岩南路駅
玉树巴塘机场,玉樹巴塘空港
沙鲁里山,沙魯里山脈
2004年夏季奧林匹克運動會中國香港代表團,2004年アテネオリンピックの香港選手団
2009年冬季世界大學生運動會,2009年冬季ユニバーシアード
辽西省,遼西省
沾化区,沾化区
诏安县,詔安県
赵县,趙県
沾益区,沾益区
肇东市,肇東市
站前区,站前区
北新泾站,北新涇駅
四惠东站,四恵東駅
北京地铁八通线,北京地下鉄八通線
四惠站,四恵駅
苹果园站,苹果園駅
世纪公园站,世紀公園駅
土桥站·(北京市),土橋駅・(北京市)
北京中医药大学,北京中医薬大学
富锦路站,富錦路駅
苏州高新技术产业开发区,蘇州高新技術産業開発区
2009年蘇迪曼盃,スディルマンカップ2009
长沙地铁,長沙地下鉄
苏州轨道交通2号线,蘇州軌道交通2号線
岑溪市,岑渓市
邕江,邕江
阿克苏市,アクス市
柘城县,柘城県
中国共产党中央政治局常务委员会,中国共産党中央政治局常務委員会
上海虹桥国际机场,上海虹橋国際空港
随县,随県
阿克陶县,アクト県
安居区,安居区
怒江傈僳族自治州,怒江リス族自治州
雨湖区,雨湖区
吉县,吉県
2009年亞足聯U-19女子錦標賽,AFC・U-19女子選手権2009
攀枝花市,攀枝花市
泸州市,瀘州市
谯城区,譙城区
肇州县,肇州県
昭通市,昭通市
柞水县,柞水県
招远市,招遠市
肇源县,肇源県
当雄县,ダムシュン県
223国道,G223国道
南昌站·(江西省),南昌駅・(江西省)
上海磁浮示范运营线,上海トランスラピッド
河津市,河津市
梅江·(韩江支流),梅江
辽东省,遼東省
北京猛虎队,北京タイガース
天津雄獅隊,天津ライオンズ
太子河,太子河
中华人民共和国教育部,中華人民共和国教育部
中北大学,中北大学
太平湖车辆段,太平湖車両基地
广州国际金融中心,広州国際金融センター
中华世纪坛,中華世紀壇
徐州站,徐州駅
中国东北地区,中国東北部
中共中央办公厅,中国共産党中央弁公庁
56網,56.com
海淀堂,海淀堂
京西国际学校,北京京西学校
黑龙江大学,黒竜江大学
南昌地铁,南昌地下鉄
镇雄县,鎮雄県
镇宁布依族苗族自治县,鎮寧プイ族ミャオ族自治県
镇平县,鎮平県
镇赉县,鎮賚県
镇康县,鎮康県
镇坪县,鎮坪県
内江市,内江市
乐山市,楽山市
遂宁市,遂寧市
正阳县,正陽県
镇海区·(宁波市),鎮海区・(寧波市)
浈江区,湞江区
蒸湘区,蒸湘区
正阳门,正陽門
思茅区,思茅区
望江县,望江県
天津滨海国际机场,天津浜海国際空港
简阳市,簡陽市
长安街,長安街
长安区·(西安市),長安区・(西安市)
长安区·(石家庄市),長安区・(石家荘市)
禅城区,禅城区
大连实德足球俱乐部,大連実徳足球倶楽部
中华人民共和国地理极点,中華人民共和国の端の一覧
眉山市,眉山市
南充市,南充市
广安市,広安市
宜宾市,宜賓市
盱眙县,盱眙県
长安航空,長安航空
长葛市,長葛市
长岛县,長島県
长丰县,長豊県
正安县,正安県
政和县,政和県
正定县,正定県
正宁县,正寧県
郑国渠,鄭国渠
正蓝旗·(内蒙古),正藍旗
中国排球协会,中国バレーボール協会
卢沟桥,盧溝橋
稻城亚丁,稲城亜丁
中国—朝鲜边界,中朝国境
揭阳潮汕国际机场,掲陽潮汕空港
霍爾果斯口岸,霍爾果斯口岸
强-6,Q-6・(航空機)
保定站,保定駅
中国人民解放军海军陆战队,中国人民解放軍海軍陸戦隊
华北地区,華北
大雁塔,大雁塔
承德避暑山庄及其周围寺庙,承徳避暑山荘と外八廟
广州站,広州駅
广州地铁2号线,広州地下鉄2号線
霍特國際商學院,ハルト・インターナショナル・ビジネススクール
澳門葡京酒店,ホテル・リスボア
广州地铁1号线,広州地下鉄1号線
振安区,振安区
镇巴县,鎮巴県
浙江大学,浙江大学
镇安县,鎮安県
贞丰县,貞豊県
德阳市,徳陽市
正镶白旗,正鑲白旗
喀喇沁旗,カラチン旗
任丘市,任丘市
绵阳市,綿陽市
广元市,広元市
五常市,五常市
梅赛德斯-奔驰文化中心,メルセデス・ベンツアリーナ
三水区,三水区
凉州区,涼州区
白塔区,白塔区
赤柱,赤柱
黔东南苗族侗族自治州,黔東南ミャオ族トン族自治州
砚山县,硯山県
觀塘,観塘
嘉陵江,嘉陵江
锡伯族,シベ族
北角,北角
地区行政公署,地区・(中華人民共和国)
苏州站,蘇州駅
赣江,贛江
县辖区·(中华人民共和国),県轄区
山东泰山足球俱乐部,山東泰山足球倶楽部
中华人民共和国监察部,中華人民共和国監察部
鄂伦春族,オロチョン族
茶陵县,茶陵県
哈尔滨站,ハルビン駅
中华人民共和国高速铁路,中華人民共和国の高速鉄道
滨洲铁路,浜洲線
镇远县,鎮遠県
振兴区,振興区
镇原县,鎮原県
柘荣县,柘栄県
镇沅彝族哈尼族拉祜族自治县,鎮沅イ族ハニ族ラフ族自治県
中国致公党,中国致公党
治多县,治多県
芷江侗族自治县,芷江トン族自治県
枝江市,枝江市
志丹县,志丹県
雅安市,雅安市
靖江市,靖江市
达州市,達州市
本溪满族自治县,本渓満族自治県
萨吾尔山,サウル山脈
南京地铁,南京地下鉄
玄武门站,玄武門駅
辽宁足球俱乐部,遼寧宏運足球倶楽部
安岳县,安岳県
郸城县,鄲城県
阿勒泰地区,アルタイ地区
中国航空博物馆,中国空軍航空博物館
和谐3型电力机车,中国国鉄HXD3型電気機関車
额济纳河,エチナ川
山海关,山海関
薛城区,薛城区
长沙县,長沙県
庆云县,慶雲県
浮山县,浮山県
山南市,山南市
震旦大学,震旦大学
昌宁县,昌寧県
漢長陵,長陵・(漢)
长岭县,長嶺県
长清区,長清区
庙岛群岛,長山列島
长宁县,長寧県
便宜坊,便宜坊
大连银行,大連銀行
家庭联产承包责任制,生産責任制
南迦巴瓦峰,ナムチャバルワ
盛京银行,盛京銀行
昌河飞机工业集团,昌河飛機工業公司
昌江区,昌江区
昌黎县,昌黎県
长海县,長海県
昌乐县,昌楽県
织金县,織金県
中方县,中方県
仲巴县,ドンパ県
中国棋院,中国棋院
忠县,忠県
支提华严寺,華厳寺・(寧徳市)
中关村,中関村
中国尊,中国尊
中江县,中江県
中华书局有限公司,中華書局
钟楼区,鐘楼区
易县,易県
东方红人造卫星系列,東方紅・(人工衛星)
阿拉善盟,アルシャー盟
中日和平友好條約,日本国と中華人民共和国との間の平和友好条約
卡若区,カルプ区
中國鋁業,中国アルミニウム
北京古观象台,北京古観象台
陈巴尔虎旗,陳バルグ旗
阿勒泰市,アルタイ市
307国道,G307国道
上海市历史博物馆,上海市歴史博物館
郊区·(阳泉市),郊区・(陽泉市)
特别行政区,特別行政区
灵丘县,霊丘県
上海博物馆,上海博物館
建宁县,建寧県
西塘镇·(嘉善县),西塘鎮
终南山,終南山
清丰县,清豊県
中国中南地区,中南
中牟县,中牟県
长汀县,長汀県
长顺县,長順県
长泰区,長泰区
藏北高原,チャンタン高原
常山县,常山県
中国人民解放军沈阳军区,瀋陽軍区
鹰手营子矿区,鷹手営子鉱区
黎城县,黎城県
五台县,五台県
壶关县,壷関県
中国人民解放军兰州军区,蘭州軍区
鹤大高速公路,鶴大高速道路
珲乌高速公路,琿烏高速道路
连霍高速公路,連霍高速道路
哈同高速公路,アジアハイウェイ33号線
黄石高速公路,黄石高速道路
广澳高速公路,広澳高速道路
济广高速公路,済広高速道路
京藏高速公路,京蔵高速道路
兰海高速公路,蘭海高速道路
京昆高速公路,京昆高速道路
京沪高速公路,京滬高速道路
南友高速公路,南友高速道路
京台高速公路,京台高速道路
京港澳高速公路,京港澳高速道路
京新高速公路,京新高速道路
荣乌高速公路,栄烏高速道路
沈吉高速公路,瀋吉高速道路
泉南高速公路,泉南高速道路
沪陕高速公路,滬陝高速道路
青新高速公路,青新高速道路
沈海高速公路,瀋海高速道路
沪蓉高速公路,滬蓉高速道路
青银高速公路,青銀高速道路
华阴市,華陰市
哈尔滨绕城高速公路,ハルビン環状高速道路
厦蓉高速公路,厦蓉高速道路
绥满高速公路,綏満高速道路
长洲区,長洲区
潮安区,潮安区
瀍河回族区,瀍河回族区
巢湖,巣湖
长武县,長武県
长兴县,長興県
昌图县,昌図県
昌邑市,昌邑市
长垣市,長垣市
长阳土家族自治县,長陽トゥチャ族自治県
华东地区,華東
朝天区,朝天区
潮南区,潮南区
中宁县,中寧県
中南海,中南海
中山区·(大连市),中山区・(大連市)
中沙群島,中沙諸島
钟山县,鍾山県
上海地铁,上海軌道交通
唐山大地震,唐山地震
彝族,イ族
安多县,アムド県
响水县,響水県
星光大道·(香港),アベニュー・オブ・スターズ・(香港)
郊区·(佳木斯市),郊区・(ジャムス市)
萝岗区,蘿崗区
人人网,人人網
达尔罕茂明安联合旗,ダルハン・ムミンガン連合旗
郑西客运专线,鄭西旅客専用線
大广高速公路,大広高速道路
长深高速公路,長深高速道路
天镇县,天鎮県
银昆高速公路,銀昆高速道路
丹阜高速公路,丹阜高速道路
二广高速公路,二広高速道路
丹锡高速公路,丹錫高速道路
中卫市,中衛市
钟山区,鍾山区
钟祥市,鍾祥市
2008年夏季奧林匹克運動會棒球比賽,2008年北京オリンピックの野球競技
1991年國際足協女子世界盃,1991・FIFA女子ワールドカップ
茅盾文学奖,茅盾文学賞
中阳县,中陽県
下关区,下関区
喀喇昆仑山口,カラコルム峠
白朗县,パナム県
西沙海战,西沙諸島の戦い
上海国际汽车工业博览会,上海モーターショー
沁县,沁県
神池县,神池県
灵石县,霊石県
怀来县,懐来県
屯留区,屯留区
中日韩领导人会议,日中韓首脳会談
西伯利亞高壓,シベリア高気圧
民航空運公司,民航空運公司
毕节市,畢節市
中国龙队,チャイナドラゴン・(アイスホッケー)
潮阳区,潮陽区
朝阳县,朝陽県
中国人民志愿军,中国人民志願軍
曲靖市,曲靖市
辽东湾,遼東湾
沅江,沅江
八達通,八達通
柯尔克孜族,キルギス人
安定区·(定西市),安定区・(定西市)
亞洲公路1號線,アジアハイウェイ1号線
亞洲公路6號線,アジアハイウェイ6号線
复旦大学,復旦大学
安顺市,安順市
六盘水市,六盤水市
铜仁市,銅仁市
元上都,上都
霍邱县,霍邱県
长春亚泰足球俱乐部,長春亜泰足球倶楽部
福州大学,福州大学
黄鹤楼,黄鶴楼
重陽節,重陽
殷墟,殷墟
江铃汽车,江鈴汽車
中华人民共和国商务部,中華人民共和国商務部
大连人民体育场,大連市人民体育場
2011年环北京自行车赛,ツアー・オブ・北京2011
南京总统府,南京中国近代史遺址博物館
深圳地铁3号线,深圳地下鉄3号線
中国共产党中央军事委员会,中国共産党中央軍事委員会
芮城县,芮城県
偏关县,偏関県
中国邮政,中国郵政
天津特大桥,天津特大橋
崇明区,崇明区
中国银行,中国銀行・(中華人民共和国)
中华人民共和国外交,中華人民共和国の国際関係
2008年夏季奧林匹克運動會自行車比賽—女子BMX賽,2008年北京オリンピックの自転車競技・BMX女子
国家开发银行,国家開発銀行
中国气象局,中国気象局
2008年夏季奧林匹克運動會自行車比賽—女子爭先賽,2008年北京オリンピックの自転車競技・女子スプリント
宜万铁路,宜万線
王府井天主堂,王府井天主堂
2008年夏季奥林匹克运动会男子公路自行车比赛,2008年北京オリンピックの自転車競技・男子個人ロードレース
艾丁湖,アイディン湖
阿瓦提县,アーバード県
成都大熊猫繁育研究基地,成都ジャイアントパンダ繁殖研究基地
五寨县,五寨県
香港文華東方酒店,マンダリン・オリエンタル香港
盐湖区,塩湖区
涞源县,淶源県
2008年夏季奧林匹克運動會女子公路自行車比賽,2008年北京オリンピックの自転車競技・女子個人ロードレース
中国联通,中国聯合通信
中华人民共和国国家安全部,中華人民共和国国家安全部
幻彩詠香江,シンフォニー・オブ・ライツ
武乡县,武郷県
万盛区,万盛区
和顺县,和順県
海兴县,海興県
武隆区,武隆区
荣昌区,栄昌区
双桥区·(重庆市),双橋区・(重慶市)
酉阳土家族苗族自治县,酉陽トゥチャ族ミャオ族自治県
江宁区,江寧区
上海轨道交通5号线,上海軌道交通5号線
深泽县,深沢県
汉沽区,漢沽区
西安区·(辽源市),西安区・(遼源市)
汾西县,汾西県
陈仓区,陳倉区
龙井茶,龍井茶
青冈县,青岡県
铜梁区,銅梁区
娄烦县,婁煩県
无极县,無極県
义县,義県
原平市,原平市
盖州市,蓋州市
交口县,交口県
平顺县,平順県
定襄县,定襄県
乡宁县,郷寧県
襄汾县,襄汾県
忻府区,忻府区
铁西区·(鞍山市),鉄西区・(鞍山市)
