код автора на ФантЛабе,ファントラブ 作者ID
горские евреи,山岳ユダヤ人
Ростовская операция,ロストフの戦い
Рубин,FCルビン・カザン
Аракамчечен,アラカンチェチェン島
Четвёртое транспортное кольцо,モスクワ4号環状道路
Свято-Владимирский собор в Херсонесе,聖ヴォロディームィル大聖堂 (ヘルソネソス)
Годоберинский язык,ゴドベリ語
южноюкагирский язык,コリマ・ユカギール語
Ботлихский язык,ボトリフ語
Smash!!,スマッシュ!!
Арбатско-Покровская линия,アルバーツコ＝ポクローフスカヤ線
Ясный,ヤースヌイ宇宙基地
Московский вертолётный завод имени М. Л. Миля,M・L・ミーリ記念モスクワ・ヘリコプター工場
Сибур,シブール・ホールディング
Брат-Чирпоев,知理保以南島
Ахвахский язык,アフバフ語
ненцы,ネネツ人
Онежское озеро,オネガ湖
Алеутский район,アレウト地区
коми-пермяцкий язык,コミ・ペルミャク語
северноюкагирский язык,ツンドラ・ユカギール語
Ансамбль песни и пляски Российской армии имени А. В. Александрова,アレクサンドロフ・アンサンブル
Китеж,キーテジ
Академия ФК «Зенит»,スメルナ＝ゼニト
Нелидово,ネリドヴォ
Нерехта,ネレフタ
Туманная река,豆満江
югский язык,ユグ語
Нерюнгри,ネリュングリ
Нестеров,ネステロフ
Хваршинский язык,フバルシ語
татский язык,ムスリム・タート語
горско-еврейский язык,ユダヤ・タート語
Орлов,オルロフ
Яренга,ヤレンガ川
Вишера,ヴィシェラ川
Бульварное кольцо,ブリヴァールノエ環状道路
кильские шпроты,キーラーシュプロッテ
трасянка,トラシャンカ
гунзибский язык,フンズィブ語
чамалинский язык,チャマラル語
Каратинский язык,カラタ語
Багвалинский язык,バグバリ語
Монголо-Маньчжурская степь,モンゴル・満洲草原
Нефтекамск,ネフチェカムスク
барабинский диалект,バラバ方言
чжурчжэньский язык,女真語
Национальный исследовательский ядерный университет «МИФИ»,モスクワ工学物理学研究所
Россия-24,ロシア24
Императорская Академия художеств,サンクトペテルブルク美術大学
НПО машиностроения,チェロメイ設計局
чемпионат мира по футболу 2018,2018 FIFAワールドカップ
Юринский район,ユリンスキー・ラヨン
ойратский язык,オイラト語
Выборы в Государственную думу 2011 года,2011年ロシア下院選挙
Курильское течение,親潮
Аэрофлот,アエロフロート・ロシア航空
Нефтеюганск,ネフチェユガンスク
Нея,ニェヤ
Скала Парус,帆岩
Коми-Пермяцкий автономный округ,コミ・ペルミャク管区
Союз-2,ソユーズ2
Бахапча,バハプチャ
Ростокинский акведук,ロストキンスキー・アクヴェドゥク
Российско-кипрские отношения,キプロスとロシアの関係
Болгаро-российские отношения,ブルガリアとロシアの関係
Федеральная служба безопасности Российской Федерации,ロシア連邦保安庁
Сибирские траппы,シベリア・トラップ
Братское водохранилище,ブラーツクダム
Русич,地下鉄81-740/741形電車
Научный,ナウチヌイ
протестное движение в России 2011—2013 годов,2011年ロシア反政府運動
РБК,RBCインフォメーションシステム
Рабочий и колхозница,労働者と集団農場の少女
Упа,ウパ川
Алдан (аэропорт),アルダン空港
Камское водохранилище,カマ湖
российско-корейская граница,露朝国境
Волчанский трамвай,ヴォルチャンスク市電
Карасукский район,カラスクスキー地区
Транссибирская магистраль,シベリア鉄道
Матч за звание чемпиона мира по шахматам 1951,世界チェス選手権1951
Нара,ナーラ川
Российско-хорватские отношения,クロアチアとロシアの関係
Российско-боснийские отношения,ボスニア・ヘルツェゴビナとロシアの関係
Российско-сирийские отношения,ロシア連邦とシリアの関係
Новоалександровск,ノヴォアレクサンドロフスク
Новоалтайск,ノヴォアルタイスク
Павловский район,パヴロフスキー地区
Биробиджанер штерн,ビロビジャンの星
Новый Оскол,ノヴィ・オスコル
Нижневартовск,ニジネヴァルトフスク
Ока,オカ川
oodji,オジ
Нижнекамск,ニジネカムスク
Богоявленка,ボゴヤフレンカ
Меркурий Сити Тауэр,マーキュリー・シティ・タワー
Новозыбков,ノヴォズィプコフ
Малёвка,マリョーフカ
Трасса в Олимпийском парке,ソチ・オリンピックパーク・サーキット
Мангазея,マンガゼヤ
Новодвинск,ノヴォドヴィンスク
гопники,カツアゲ
Государственный академический симфонический оркестр России,ロシア国立交響楽団
Матч за звание чемпиона мира по шахматам 2012,世界チェス選手権2012
Мужская сборная России по водному поло,水球ロシアナショナルチーム
Курейка,クレイカ川
Чкаловский,チカロフスキー飛行場
Александровская колонна,アレクサンドルの円柱
Система «Периметр»,死の手
остров Атласова,阿頼度島
Уралкалий,ウラルカリ
Внутренние войска МВД России,ロシア国内軍
Русская православная церковь,ロシア正教会
Башкирский государственный университет,バシキール国立大学
Карымское,カルィムスコエ
Дальавиа,ダリアビア航空
Автомобилист,アフトモビリスト・エカテリンブルグ
Залив Шелихова,シェリホフ湾
Корицкий,カモイワッカ岬
Ханкайский район,ハンカ地区
Остров Танфильева,水晶島
Нерль,ネルリ川
Анивский городской округ,アニワ地区
Нижнеудинск,ニジニウディンスク
Николаевск-на-Амуре,ニコラエフスク・ナ・アムーレ
Никольск,ニコリスク (ヴォログダ州)
Храм на Крови,血の上の教会
Архара,アルハラ
архи,アルヒ
Елогуй,エログイ川
Парголово,パルゴロヴォ
Остров Полонского,多楽島
Острова Дёмина,春苅島
Зелёный,志発島
Залари,ザラリ
Чунский,チュンスキー
Курская магнитная аномалия,クルスク磁気異常
Сибирь,HCシビル・ノヴォシビルスク
Завод имени Лихачёва,ジル
Северсталь,セヴェルスターリ
Ардон,アードン川
Вага,ヴァガ川
Уфтюга,ウフチュガ川
Нововоронеж,ノヴォヴォロネジ
Плесецк,プレセツク
Лопань,ロパン川
Авиакатастрофа под Тюменью 2 апреля 2012 года,UTエアー120便墜落事故
сельское поселение в России,農村集落
Кезский район,ケズ地区
Малопургинский район,マロプルジンスキー地区
Сыктывкар,スィクティフカル空港
Российско-британские отношения,英露関係
Новый Уоян,ノーヴィ・ウオヤン
Санкт-петербургский трамвай,サンクトペテルブルク市電
Выборы в Государственную думу 1999 года,1999年ロシア下院選挙
Тмутаракань,トムタラカン
Вашка,ヴァシュカ川
нивхи,ニヴフ
Рязань-ВДВ,リャザンVDV
Звезда-2005,WFCズヴェズダ2005ペルミ
Уфтюга,ウフチュガ川
СКА Санкт-Петербург,SKAサンクトペテルブルク
Илимпея,イリムペヤ川
Лев Толстой,レフ・トルストイ駅
Дигорский район,ディゴルスキー地区
Зеленогорск,ゼレノゴルスク (クラスノヤルスク地方)
Шебекино,シェベキノ
Новоржев,ノヴォルジェフ
Ляховские острова,リャーホフスキー諸島
Маточкин Шар,マトチキン海峡
Имажинизм,イマジニスト
Онежская губа,オネガ湾
Золотое кольцо России,黄金の環
Лапландия,ラップランド
Лежнево,レージネヴォ
Иркутский авиационный завод,イルクーツク航空機工場
Арена 2000,アリーナ2000
Маруся,マルシャF1チーム
Гран-при России,ロシアグランプリ
Чаунская губа,チャウンスカヤ湾
Муна,ムナ川
Новосиль,ノヴォシリ
Калужско-Рижская линия,カルーシュスコ＝リーシュスカヤ線
Новокуйбышевск,ノヴォクイビシェフスク
Новомичуринск,ノヴォミチュリンスク
Новокубанск,ノヴォクバンスク
Пышма,ピシュマ川
Кулунда,クルンダ
Масленица,マースレニッツァ
Становое нагорье,スタノヴォイ高地
Новосокольники,ノヴォソコリニキ
Новомосковск,ノヴォモスコフスク
Мидланд,MF1レーシング
Никольск,ニコルスク
Соперничество футбольных клубов «Спартак» (Москва) и «Динамо»,ライバル関係
Арена Химки,アレナ・ヒムキ
Омь,オミ川
Союз ТМ-27,ソユーズTM-27
Вычегда,ヴィチェグダ川
Сакмара,サクマラ川
Большой Ик,ボリショイ・イク川
Кумо-Манычская впадина,クマ＝マヌィチ窪地
Яренск,ヤレンスク
Tinkoff,チーム・サクソバンク - ティンコフバンク
Ряжск,リャジスク
Сибирский государственный аэрокосмический университет имени академика М. Ф. Решетнёва,シベリア航空宇宙大学
Архангельский собор,聖天使首大聖堂
Москва,モスクワ川
Хит FM,ヒットFM
Пруссия,プロイセン（地域）
Хатанга,ハタンガ
Шаболовская,シャボロフスカヤ駅
Миасс,ミアス川
Таганрогский авиационный научно-технический комплекс имени Г. М. Бериева,G・M・ベリーエフ記念タガンローク航空科学技術複合体
Европейский маршрут E77,E77号線
Новочеркасск,ノヴォチェルカッスク
Российская партия жизни,ロシア生活党
ротмистр,騎兵大尉 (ドイツ)
Чегдомын,チェグドムイン
Новый Ургал,ノーヴイ・ウルガル
Сунжа,スンジャ川
Городской округ «Поронайский»,ポロナイスク市管区
Волга,FCヴォルガ・ニジニ・ノヴゴロド
Сражение на Альме,アルマの戦い
Орден меньших братьев,小さき兄弟会
Лебедянский,レベデャンスキー
Охотский район,オホーツク地区
Экспресс,エクスプレス (ロシアの人工衛星)
Авиакатастрофа Ан-28 на Камчатке 12 сентября 2012 года,ペトロパブロフスク・カムチャツキー航空251便墜落事故
Финал Лиги чемпионов УЕФА 2008,UEFAチャンピオンズリーグ 2007-08 決勝
Здание органов госбезопасности на Лубянке,ルビャンカ
Новоуральск,ノヴォウラルスク
Новохопёрск,ノヴォホピョールスク
Ногинск,ノギンスク
Новый Уренгой,ノヴィ・ウレンゴイ
Российско-чешские отношения,チェコとロシアの関係
Чир,チル川
Чемпионат России по фигурному катанию на коньках,ロシアフィギュアスケート選手権
Магдагачи,マグダガチ
Бурея,ブレヤ町
Джугджур,ジュグジュル山脈
Федеральный медицинский исследовательский центр психиатрии и наркологии имени В.П. Сербского,V・P・セルブスキー連邦医学研究センター
Устья,ウスチヤ川
Лебедь,レベジ川
Лежа,レジャ川
РКК «Энергия»,S.P.コロリョフ ロケット&スペース コーポレーション エネルギア
площадь Победы,勝利広場 (カリーニングラード)
Новочебоксарск,ノヴォチェボクサルスク
"Спасо-Преображенский собор, Санкт-Петербург",変容大聖堂
Забайкалье,ザバイカル
внешняя политика России,ロシアの国際関係
Кулой,クロイ川
Селенга,セレンガ川
Новотроицк,ノヴォトロイツク
Троице-Измайловский собор,至聖三者大聖堂
Остров Вилькицкого,ヴィリキツキー島
Сузун,スズン
Атомстройэкспорт,アトムストロイエクスポルト
Ноябрьск,ノヤブリスク
Судавия,スドヴィア
Церковь Василия на Горке,丘の上の聖大ワシリイ教会
Котельный остров,コテリヌイ島
Ленин,レーニン
Одинцово,オジンツォヴォ
Нюрба,ニュルバ
Нягань,ニャガン
Нурлат,ヌルラト
Охотск,オホーツク
Промсвязьбанк,プロムスビャジバンク
Великая Финляндия,大フィンランド
Обь,オビ
Атака лёгкой бригады,軽騎兵の突撃
Вознесенский собор (Новочеркасск),ノヴォチェルカッスク大聖堂
Кизимен,キジメン山
Соболевский район,ソボレヴォ地区
Знамя Победы,勝利の旗
Кузнецкий Алатау,クズネツク・アラタウ山脈
Нолинск,ノリンスク
Норильск,ノリリスク
Заозёрный,ザオジョールヌイ
Курчатов,クルチャトフ (ロシア)
Краснопресненская,クラスノプレスネンスカヤ駅
Союз ТМ-18,ソユーズTM-18
Гогенлоэ,ホーエンローエ島
Железногорск,ジェレズノゴルスク
Обоянь,オボヤニ
Восточный (порт),ボストチヌイ港
Боголюбово,ボゴリュボヴォ
Белгород,ベルゴロド国際空港
Европейский маршрут E121,E121号線
Илья Муромец,落喜別の滝
Дмитров,HCディミトロフ
Самара,サマーラ川
Михайловский Воронежский кадетский корпус,ヴォロネジ士官候補生隊
Красноярск-Пассажирский,クラスノヤルスク駅
Нижнеколымский район,ニシュネコリムスク管区
Иультинский район,イルティンスキー地区
Волга-Днепр,ヴォルガ・ドニエプル航空
Аэропорт Южно-Сахалинск имени Антона Чехова,ユジノサハリンスク空港
Усть-Большерецкий район,ウスト・ボルシェレツキー地区
Яна,ヤナ川
политические партии России,ロシアの政党
Ожерелье,オジェリェーリエ
Котловина Больших Озёр,大湖盆地
Чемпионат России по футболу 2007,ロシア・プレミアリーグ 2007
Таганско-Краснопресненская линия,タガーンスコ＝クラスノプレースネンスカヤ線
Каховская линия,カホーフスカヤ線
"Швидлер, Евгений Маркович",ユージン・シュビドラー
Тамань,タマーニ
Дзержинск,ジェルジンスク
Облучье,オブルチエ
Няндома,ニャンドマ
Шоша,ショーシャ川
Енисей,エニセイ川
МКАД,モスクワ環状道路
Остров Анучина,秋勇留島
Олёкминск,オリョークミンスク
Оленегорск,オレネゴルス
ЦСКА,PFC CSKAモスクワ
Онега,オネガ
Гвардейский городской округ,グワルデイスキー地区
Хопёр,ホピョール川
Пограничный,ポグラニチニ (沿海地方)
Marussia Motors,マルシャ・モーターズ
Ванинский район,ヴァニンスク地区
Уфа,ウファ国際空港
мыс Дежнёва,デジニョフ岬
Лозьва,ロジヴァ川
Янтарный,ヤンタルヌイ
премия имени Н. И. Лобачевского,ロバチェフスキー賞
Банк Москвы,モスクワ銀行
Чернышевское,チェルニシェフスコエ
тофалары,トファ人
Косьва,コシヴァ川
Вильняус жинёс,ヴィリニュス・ジニオス
Хета,ヘタ川
14-й корпус Кремля,最高会議幹部会宮殿
Кама,カマ川
Октябрьский,オクチャブリスキ
Юрты,ユールトゥイ
Окуловка,オクロフカ
Герой Российской Федерации,ロシア連邦英雄
Аллаиховский улус,アルライホフスク管区
Озёрск,オジョルスク
Озёрск,オジョルスク
Аргут,アルグト川
Коломенское,コローメンスコエ
Беловежское соглашение,ベロヴェーシ合意
Великая Степь,ユーラシア・ステップ
УВБ-76,UVB-76
Тугуро-Чумиканский район,トゥグロ＝チュミカン地区
Пионер,ピオネール島
Обнинск,オブニンスク
Рено Россия,アフトフラモス
Домбай-Ульген,ドムバイ＝ウリゲン
Северный полярный круг,北極圏
СКА-Хабаровск,FCSKA-エネルギア・ハバロフスク
Беленджер,バランジャル
Майкоп,マイコープ空港
Раменский район,ラメンスキー地区
Борулах,ボルラフ川
Битва за Кавказ,コーカサスの戦い
Литературный музей,クラスノヤルスク人文博物館
Сулак,スラク川
Российско-монгольская граница,モンゴル＝ロシア国境
Бой у Валутиной горы,ヴァルティナ山の戦い
Красный Яр,クラスヌイ・ヤールクラスノヤルスク
Матч за звание чемпиона мира по шахматам 1985,世界チェス選手権1985
Большевик,ボリシェヴィク島
Прусская Ромува,ロムヴァ (神殿)
Кызыл,クズル空港
Маньчжурия,満洲
Осинники,オシンニキ
Европейский университет в Санкт-Петербурге,サンクトペテルブルク欧州大学
"Самокутяев, Александр Михайлович",アレクサンダー・サマクチャイエフ
Хемчик,ヘムチク川
Орехово-Зуево,オレホヴォ＝ズエヴォ
Онега,オネガ川
Певек,ペヴェク
Колыма,コリマ川
Осташков,オスタシコフ
Остров,オストロフ
Павловск,パヴロフスク
Павловский Посад,パヴロフスキー・ポサド
Партизанск,パルチザンスク
Аргументы недели,一週間の論拠
Аргун,アルグン川
Конституция Российской Федерации,ロシア連邦憲法
Вазуза,ヴァズーザ川
Ульяновский автомобильный завод,UAZ
Данилов монастырь,ダニーロフ修道院
Острогожск,オストロゴシュスク
Золотые ворота,黄金の門
Успенский собор,生神女就寝大聖堂
Саратовский мост,サラートフ橋
Павлово,パヴロヴォ
Адлер,アドレル
Островной,オストロヴノイ
Новогиреево,ノヴォギレエヴォ駅
Шуховская башня,シャーボロフスカヤのラジオ塔
Переславль-Залесский,ペレスラヴリ・ザレスキー
Зеленоградский городской округ,ゼレノグラーツク地区
Новая Земля,ノヴァヤゼムリャ
Первомайск,ペルヴォマイスク
Третья Падь,三ノ沢駅
Первая Падь,一ノ沢駅
Джимара,ジマラ山
Пролив Екатерины,国後水道
Федеральная служба по финансовому мониторингу,ロシア連邦金融監視局
Красные Крылья,BCクラースニェ・クリリア
Петровск-Забайкальский,ペトロフスク・ザバイカリスキー
Ванино,ワニノ
А-107 «Московское малое кольцо»,モスクワ小環状道路
Краснознаменский городской округ,クラスノズナメンスク・ラヨン
Метро-2,モスクワ・メトロ2
Истринский район,イストラ地区
Еникале,イエニカレ
Анучинский район,アヌチノ地区
Визинга,ヴィズィンガ
Федерация тенниса России,ロシアテニス連盟
Матч за звание чемпиона мира по шахматам 1984/1985,世界チェス選手権1984
Императорский Царскосельский лицей,ツァールスコエ・セロー・リツェイ
Шаройский район,シャロイ地区
Итум-Калинский район,イトゥム＝カレ地区
Красный,クラスノイ
Эльгыгытгын,エリギギトギン湖
МС-21,イルクート MS-21
Сенатский дворец,元老院宮殿
Енисей-СТМ,エニセイSTM
Убсу-Нур,ウヴス・ヌール
Тында,ティンダ空港
Неро,ネロ湖
Битва при Колле,コッラの戦い
Чемпионат России по футболу 2010,ロシア・プレミアリーグ 2010
Мана,マナ川
Мужская сборная России по волейболу,バレーボールロシア男子代表
Битва при Клушине,クルシノの戦い
рутульцы,ルトゥル人
Черноморский флот ВМФ России,黒海艦隊
Лахденпохский район,ラフデンポフスキー地区
Метровагонмаш,メトロワゴンマッシュ
Кальчик,カリチク川
Глобус,グローバス航空
Пражская,プラジュスカヤ駅
Архипелаг императрицы Евгении,イェフゲニー諸島
Smirnoff,スミノフ
Надым,ナディム川
Пур,プル川
Мезень,メゼニ川
Хатанга,ハタンガ川
Атлант,アトラント・モスクワ
Урал,ウラル川
Мазурское сражение,第一次マズーリ湖攻勢
Российские железные дороги,ロシア鉄道
Острова Арктического института,北極研究所諸島
Шуя,シューヤ川
Фигурное катание на зимних Олимпийских играх 2014,ソチオリンピックにおけるフィギュアスケート競技
Нижняя Таймыра,タイミール川
Триумф-Палас,トライアンフ・パレス
Курильские острова,千島列島
Сахалин-1,サハリン1
Остров Генриетты,ヘンリエッタ島
Динамо,ディナモ・モスクワ
TiJi,ティジ
Олимпийский комитет России,ロシアオリンピック委員会
Мома,モマ川
Тушинская,トゥシンスカヤ駅
Алтуфьево,アルトゥフィエヴォ駅
Рокский тоннель,ロキトンネル
Авианова,アヴィアノーヴァ
орден Дружбы,ロシア連邦友好勲章
Санкт-Петербургская консерватория,サンクトペテルブルク音楽院
Петровск,ペトロフスク
Таз,タズ川
Пясина,ピャシナ川
Валаамский архипелаг,ヴァラーム
Северный флот ВМФ России,北方艦隊
Новый Уренгой,ノーヴィ・ウレンゴイ空港
Медный всадник,青銅の騎士
Дикое поле,荒野
Аркаим,アルカイム
Коломенская,コロメンスカヤ駅
Киевский вокзал,キエフスキー駅
Осётр,オショートル川
Крымская астрофизическая обсерватория,クリミア天体物理天文台
Бульвар Адмирала Ушакова,ブルヴァール・アドミララ・ウシャコワ駅
Пестово,ペストヴォ
Петергоф,ペテルゴフ
Ольский городской округ,オルスキー地区
Оха,オハ
Заречье-Одинцово,ザレチエ・オジンツォボ
Усть-Луга,ウスト＝ルガ
Петушки,ペトゥシキ
Печора,ペチョラ
День космонавтики,宇宙飛行士の日
Аркона (группа),アルコナ
Солнечное затмение 1 августа 2008 года,2008年8月1日の日食
MTV Россия,MTVロシア
Тверца,トヴェルツァ川
Печоры,ペチョールィ
Всероссийская перепись населения 2010 года,2010年全ロシア国勢調査
БТА (телескоп),BTA-6
Авангард,アヴァンギャルド・オムスク
Совет безопасности Российской Федерации,ロシア連邦安全保障会議
Смоленская,スモレンスカヤ駅
Ижемский район,イズマ地区
Южный поток,サウス・ストリーム
Авиадвигатель,アヴィアドヴィガーテリ
Стрежевой,ストレジヴォイ
Чемпионат России по футболу 1999,ロシア・トップディヴィジョン 1999
Хамар-Дабан,ハマル＝ダバン山脈
Женская сборная России по гандболу,ハンドボールロシア女子代表
Снежная река,スネージナヤ川
Пенжинская губа,ペンジナ湾
Кош-Агачский район,コシュ・アガチスキー地区
Барабинская низменность,バラバ草原
Отрадное,オトラドノエ駅
Сож,ソジ川
юбилейная медаль «50 лет Победы в Великой Отечественной войне 1941—1945 гг.»,1941年–1945年大祖国戦争勝利50年記念記章
босняки,ボシュニャク人
Магнит,マグニト
Европейский маршрут E97,E97号線
ОМОН,OMON
Хатангский залив,ハタンガ湾
российско-польская граница,ポーランド・ロシア国境
Олений,オレニイ島
Внешэкономбанк,Vnesheconom銀行
Иркутский государственный университет,イルクーツク国立大学
Пионерский,ピオネールスキー
вечная мерзлота,永久凍土
Министерство иностранных дел Российской Федерации,ロシア外務省
Европейский маршрут E58,E58号線
Черноморец,FCチェルノモレツ・ノヴォロシスク
Останкинская телебашня,オスタンキノ・タワー
Покров,ポクロフ
Муя,ムヤ川
Крымская операция,クリミア攻勢
Плёс,プリョス
Поворино,ポヴォリノ
Покровск,ポクロフスク
Слюдянка,スリュジャンカ
Владикавказ,ベスラン空港
Мокшанский район,モクシャンスキー地区
Р-23,R23幹線道路
Тяжинский,チャジンスキー
Большая Кокшага,ボリシャヤ・コクシュガ川
Вихра,ヴィフラ川
Таврический дворец,タヴリーダ宮殿
Комсомольская площадь,コムソモーリスカヤ広場
Кума,クマ川
Марийская АССР,マリ自治ソビエト社会主義共和国
Багулалы,バグバリ人
Хабаровский трамвай,ハバロフスク市電
Чкаловская,チカロフスカヤ駅
Кан,カン川
Сибирский тракт,シベリアルート
Авангард,FKアヴァンガルト・クルスク
Авачинская Сопка,アバチャ山
Поварово,ポヴァロヴォ
Таганрогский троллейбус,タガンログ・トロリーバス
Румянцевский музей,ルミャンツェフ博物館
Трансполярная магистраль,サレハルド・イガルカ鉄道
Арктический совет,北極評議会
Цемесская бухта,ツェメ湾
Остров Шмидта,シュミット島
Бутовская линия,ブートフスカヤ線
Тушинский аэродром,ツシノ
Таймыр,タイミル島
Башня Татлина,第三インターナショナル記念塔
Плавск,プラフスク
Балтика,FCバルチカ・カリーニングラード
Авиакатастрофа под Ярославлем 7 сентября 2011 года,ヤロスラヴリ旅客機墜落事故
Национальный исследовательский университет «МИЭТ»,電子技術研究大学
Бикинский район,ビキンスク地区
Билибинский район,ビリビンスキー地区
Мосфильмовская улица,モスフィリモフスカヤ通り
Долгий,ドルジー島
права человека в России,ロシアにおける人権
20-й меридиан восточной долготы,東経20度線
Гребенская,東禮文駅
Пугачёво,馬群潭駅
Ясноморский,阿幸駅
Соловьёвка,貝塚駅 (樺太)
Химки,BCヒムキ
Енисей,BCエニセイ
Нижний Новгород,ニジニ・ノヴゴロドBC
Холмогоры,ホルモゴルイ
Дама в саду Сент-Адресс,庭の女
Хребет Черского,チェルスキー山脈
Россия на зимних Олимпийских играх 2002,2002年ソルトレークシティオリンピックのロシア選手団
Академик Ломоносов,アカデミック・ロモノソフ
Арктикуголь,アルクティクゴル
Зимний дворец,冬宮殿
130-й меридиан восточной долготы,東経130度線
Горьковская,ゴリコフスキー駅
Флаг Республики Карелия,カレリアの国旗
Пошехонье,ポシェホニエ
Правдинск,プラヴジンスク
Луна-21,ルナ21号
Дорога жизни,命の道
Лубянка,ルビャンカ駅
Диксон,ディクソン
Союзмультфильм,ソユーズムリトフィルム
Сургутнефтегаз,スルグトネフチガス
Горьковское водохранилище,ゴーリキー貯水池
Белое озеро,ベロエ湖
Сургут,スルグト
Полесск,ポレッスク
Читинская область,チタ州
Поронайск,ポロナイスク
Порхов,ポルホフ
Независимая газета,ニェザヴィーシマヤ・ガゼータ
Ростов,FCロストフ
орден Жукова,ジューコフ勲章
Европейский маршрут E18,E18号線
Александро-Невская лавра,アレクサンドル・ネフスキー大修道院
Высшее театральное училище имени М. С. Щепкина,M・S・シェープキン高等演劇学校
Курумоч,クルモチ国際空港
Нугуш,ヌグシュ川
Полевской,ポレフスコイ
Itera-Katusha,イテラ・カチューシャ
Тихоокеанский государственный университет,太平洋国立大学
Августовская операция 1915,第二次マズーリ湖の戦い
чемпионат России по футболу,ロシアサッカー・プレミアリーグ
Российско-грузинские отношения,ジョージアとロシアの関係
Новгородская епархия,ノヴゴロド大司教
Ейск,エイスク飛行場
Женская сборная России по волейболу,バレーボールロシア女子代表
Полярный,ポリャールヌイ
Турухан,トゥルハン川
Россия на зимних Олимпийских играх 1994,1994年リレハンメルオリンピックのロシア選手団
Брош,ブロシュ島
Армянское кладбище,アルメニア墓地
Приморск,プリモルスク
Ситская битва,シチ川の戦い
Союз ТМ-29,ソユーズTM-29
Государственная Третьяковская галерея,トレチャコフ美術館
Протвино,プロトヴィノ
Калининград-Пассажирский,カリーニングラード駅
Барановский — Хасан,バラノフスキー・ハサン鉄道
Линия Хонъисон,洪儀線
Прокопьевск,プロコピエフスク
Пролетарск,プロレタルスク
церковь Покрова на Нерли,生神女庇護聖堂
Садовое кольцо,サドーヴォエ環状道路
Пенза,ペンザ空港
Европейский маршрут E391,E391号線
Спартак-Нальчик,PFCスパルタク・ナリチク
Приморско-Ахтарск,プリモルスコ・アフタルスク
Железнодорожная линия Обская — Бованенково — Карская,オブスカヤ・ボヴァネンコヴォ・カルスカヤ鉄道
Николаевская железная дорога,モスクワ・サンクトペテルブルク鉄道
Сахалинский тоннель,サハリントンネル
Комсомольск-на-Амуре — Дежнёвка,ヴォロチャーエフカ・ジョムギ鉄道
автономный округ в составе России,ロシアの自治管区
Междушарский,Mezhdusharsky島
Почеп,ポーチェプ
Починок,ポチノク
Тихая Сосна,チハヤ・ソスナ川
Уральский экономический район,ウラル経済地区
Катунский заповедник,カトゥン自然保護区
Екатерингоф,エカテリンゴフ公園
Пулково,プルコヴォ空港
Институт теоретической физики им. Л. Д. Ландау РАН,ランダウ理論物理学研究所
Энгельс,エンゲリス空軍基地
Сочинский национальный парк,ソチ国立公園
Ловозеро,ロヴォゼロ湖
Пушкино,プーシキノ
Багдарин,バグダリン
Балтика,バルチカビール社
Тимано-Печорская нефтегазоносная провинция,ティマン=ペチョラ
Горьковская,ゴーリコフスカヤ駅
Марьино,マリイノ駅
Большой Ляховский остров,ボリショイ・リャーホフスキー島
Бородинское сражение,ボロジノの戦い
Иня,イニャ川
город федерального значения в России,ロシアの連邦市
Лендерка,リエクサンヨキ川
Пугачёв,プガチョフ (サラトフ州)
Балезино,バレジノ
Правда,プラウダ
Yota,Yota
Баксан,バクサン川
St. Petersburg Open 2010 — парный разряд,2010年サンクトペテルブルク・オープンダブルス
Лена,ロシア連邦道路A360
Крайний Север,極北
Бырранга,ビルランガ山脈
Союз правых сил,右派連合
Аэропорт Таксимо,タクシモ空港
Европейский маршрут E50,E50号線
Балтийский федеральный университет имени Иммануила Канта,イマニュエル・カント バルト連邦大学
Балтийский флот ВМФ России,バルチック艦隊
Балтийский вокзал,バルチスキー駅
Вулкан Баранского,指臼岳
Баргузинский хребет,バルグジン山脈
Баргузин,バルグジン川
Пыталово,プィタロヴォ
Радужный,ラードゥジヌイ
Райчихинск,ライチヒンスク
Земля Франца-Иосифа,ゼムリャフランツァヨシファ
Калиновка,カリノフカ
Колокольня Ивана Великого,イワン大帝の鐘楼
Пучеж,プチェシュ
Остров Дика,ディック島
взрывы жилых домов в России в сентябре 1999 года,ロシア高層アパート連続爆破事件
Балыгычан,バリギチャン川
Центральный банк Российской Федерации,ロシア連邦中央銀行
Бельковский остров,ベリコフスキー島
Природные пожары в России в 2010 году,ロシア山火事
Пустошка,プストシカ
Баскунчак,バスクンチャク湖
Ярославский государственный университет им. П. Г. Демидова,ヤロスラヴリ州立大学
Большой Пит,ボリショイ・ピト川
79-я параллель северной широты,北緯79度線
Костромская ГРЭС,コストロマ発電所
Зелёный мост,緑の橋
Памятник Минину и Пожарскому,ミーニンとポジャルスキーの像
Гросс-Егерсдорфское сражение,グロース＝イェーガースドルフの戦い
Чемпионат России по футболу 2005,ロシア・プレミアリーグ 2005
Амурский район,アムールスク地区
Хасанские бои,張鼓峰事件
Радужный,ラードゥジヌイ
Аничков дворец,アニチコフ宮殿
Викимапия,ウィキマピア
Ижма,イジュマ川
Башкаус,バシュカウス川
Башнефть,バシネフチ
Базовый элемент,ベーシック・エレメント
Палана,パラナ
Пущино,プーシチノ
Озёрское,オジョルスキー
Ильинское,イリインスクコエ
Дальневосточный федеральный университет,極東連邦大学
Лесогорское,名好町
Охотское,富内村
Амга,アムガ川
литовцы,リトアニア人
Бейсуг,ベイスグ川
Осада Пскова (1581—1582),プスコフの攻城戦
