Plostošana,木材流送
Latvija 2024. gada vasaras olimpiskajās spēlēs,2024年パリオリンピックのラトビア選手団
Žaunerāni,ジャウネラーニ
Bogdāni,ボグダーニ
Lokstenes dievturu svētnīca,ルアクステネ神社
Balvu Sporta centrs,バルビSC
FC Noah Jurmala,FCノア・ユールマラ
Attīstībai/Par!,発展・For!
EU/EEA Citizen,EU/EEAの市民
SK Super Nova,SKスーパー・ノヴァ
14. Saeimas vēlēšanas,2022年ラトビア総選挙
Joom,Joom
Latvijas Pareizticīgā Autonomā Baznīca,ラトビア自治正教会
Mikitāni,ミキターニ
Preiļu novads,プレイリ市
Rēzeknes novads,レーゼクネ市
Valmieras novads,ヴァルミエラ市
Ādažu novads,アーダジ市
Ķekavas novads,キェッカヴァ市
Balvu novads,バルヴィ市
Bauskas novads,バウスカ市
Cēsu novads,ツェーシス市
FK Dinamo Rīga,FKディナモ・リガ
Aizkraukles novads,アイズクラウクレ市
Augšdaugavas novads,アウゲシュダウガヴァ市
Mārtiņš Kazāks,マーティン・カザークス
Saldus novads,サルドゥス市
Saulkrastu novads,サウルクラスティ市
Siguldas novads,スィグルダ市
Madonas novads,マドナ市
Ogres novads,オグレ市
Jaunā Vienotība,新統一
Tukuma novads,トゥクムス市
Smiltenes novads,スミルテネ市
Talsu novads,タルスィ市
Dienvidkurzemes novads,南クルゼメ市
Dobeles novads,ドベレ市
Jelgavas novads,イェルガヴァ市
Jēkabpils novads,イェーカブピルス市
Krāslavas novads,クラースラヴァ市
Ludzas novads,ルッザ市
Kuldīgas novads,クルディーガ市
Limbažu novads,リンバジ市
2023. gada Latvijas prezidenta vēlēšanas,2023年ラトビア大統領選挙
COVID-19 pandēmija Latvijā,ラトビアにおける2020年コロナウイルス感染症の流行状況
2020. gads Latvijā,2020年のラトビア
Angulo,アングーロ
Ukrainas neatkarības iela,独立ウクライナ通り
2024. gads Latvijā,2024年のラトビア
COVID-19 pandēmija,新型コロナウイルス感染症 (COVID-19) の世界的流行
COVID-19 pandēmija Eiropā,ヨーロッパにおける新型コロナウイルス感染症の流行状況
Japānas vēstniecība Latvijā,在ラトビア日本国大使館
digitālā euro,デジタルユーロ
terorisms Latvijā,ラトヴィアのテロリズム
2023. gads Latvijā,2023年のラトビア
