Massachusetts,매사추세츠주
Federal Reserve Bank of Cleveland,클리블랜드 연방준비은행
Memorial Park station,메모리얼 파크 역
Pico station,피코역
Republic Records,리퍼블릭 레코드
Richmond Coliseum,리치먼드 콜리시엄
Universal Kids,유니버설 키즈
"Wells Fargo Center (Portland, Oregon)",웰스 파고 센터 (포틀랜드 (오리건주))
Paramount Streaming,파라마운트 스트리밍
SandForce,샌드포스
St. Edward's University,세인트 에드워즈 대학교
"Stratton, Vermont",스트래턴 (버몬트주)
Stout Scarab,스타우트 스캐럽
Covenant Theological Seminary,커버넌트 신학교
Cycling at the 1904 Summer Olympics – 5 miles,1904년 하계 올림픽 사이클 남자 5mi
1 Police Plaza,1 폴리스 플라자
1972 Major League Baseball season,1972년 메이저 리그 베이스볼 시즌
1983 Special Olympics World Summer Games,1983년 하계 스페셜 올림픽
1992 Major League Baseball expansion draft,1992년 메이저 리그 베이스볼 확장 드래프트
2009 Special Olympics World Winter Games,2009년 동계 스페셜 올림픽
U-verse TV,AT%26T 유-버스
Green Line (Washington Metro),그린 라인 (워싱턴 메트로)
ROK/US Combined Forces Command,한미연합군사령부
Capital Cargo International Airlines,캐피털 카고 인터내셔널
CGTN America,CGTN 아메리카
Intimidators Stadium,인티미데이터즈 스타디움
Chicago Blitz,시카고 블리츠
Dalhart High School,달하트 고등학교
Datalight,데이터라이트
Del Mar station,델마르역
Non-voting members of the United States House of Representatives,미국 하원 파견대표
Enrolled agent,미국 세무사
Rancho Cucamonga Quakes,랜초쿠카몽가 퀘이크스
"Harco, Illinois",하코
Alaska statistical areas,알래스카주의 통계 지구
Albuquerque International Balloon Fiesta,앨버커키 국제 열기구 축제
Korean Military Advisory Group,주한 미군 군사고문단
Allen station,앨런역
Alzheimer's Disease Neuroimaging Initiative,알츠하이머병 뇌영상 선도연구
Amalgamated Association of Iron and Steel Workers,제철제강노동자융합협회
Berkeley School of Theology,미국 웨스트 침례교신학교
Cloudflare,Cloudflare
Credit Union of Texas Event Center,앨런 이벤트 센터
"Embassy of China, Washington, D.C.",주미국 중국 대사관
Great Blizzard of 1899,1899년 블리자드
Hagerstown Suns,헤이거스타운 선스
Hastings College,헤이스팅스 칼리지
Hawaii Convention Center,하와이 컨벤션 센터
TPG Angelo Gordon,안젤로 고든
Hawkins v. McGee,호킨스 대 맥기 사건
Heritage Square station,헤리티지스퀘어역
Corning Inc.,코닝 (기업)
"Hines, Illinois",하인스 (일리노이주)
Katzenbach v. McClung,캐천백 대 매클렁 사건
Katzenbach v. Morgan,캐천백 대 모건 사건
KO-AM TV,KO-AM TV
KYPA,우리방송
"Monongalia County, Minnesota",모넌갈리아군 (미네소타주)
Montana statistical areas,몬태나주의 통계 지구
Sloan Park,슬로언 파크
Yurcak Field,유케이 필드
Ocean Center,오션 센터
Rayo OKC,라요 OKC
Rio Rancho Events Center,산타아나 스타 센터
Sam Houston Coliseum,샘 휴스턴 콜리시엄
San Diego Unified School District,샌디에고 통합 학구
Sandhurst Competition,샌드허스트 대회
1975 National Society of Film Critics Awards,1975년 전미 비평가 협회상
1983 National Society of Film Critics Awards,1983년 전미 비평가 협회상
1985 National Society of Film Critics Awards,1985년 전미 비평가 협회상
1988 National Society of Film Critics Awards,1988년 전미 비평가 협회상
1997 National Society of Film Critics Awards,1997년 전미 비평가 협회상
National Securities Markets Improvement Act of 1996,전국증권시장개선법
Nordhoff station,노드호프역
Puget Sound Gunners FC,노스사운드 시울브스
Ohio Dominican University,오하이오 도미니컨 대학교
Oklahoma statistical areas,오클라호마주의 통계 지구
Peddie School,페디 스쿨
Pelham Civic Center,펠햄 시빅 센터
Pierce College station,피어스 칼리지역
Pittsburgh Theological Seminary,피츠버그 신학교
Panum Crater,파눔 분화구
ROH Man Up,ROH 맨 업
Rivian,리비안
Roanoke College,로노크 대학교
Rock Island District,록 아일랜드 디스트릭트
Segway Inc.,세그웨이 (기업)
Personnel Administrator of Massachusetts v. Feeney,매사추세츠 인사행정처 대 피니 사건
University of Washington School of Law,워싱턴 대학교 법학대학원 (시애틀)
Security Treaty between the United States and Japan,미일안전보장조약
Southeastern Baptist Theological Seminary,사우스이스턴 침례 신학교
Spokane Spiders,스포캔 스파이더즈
St. Charles Chill,세인트찰즈 칠
St. Louis Strikers,세인트루이스 스트라이커스
15th Writers Guild of America Awards,제15회 미국 작가 조합상
1st Writers Guild of America Awards,제1회 미국 작가 조합상
22nd Writers Guild of America Awards,제22회 미국 작가 조합상
42nd Writers Guild of America Awards,제42회 미국 작가 조합상
46th Writers Guild of America Awards,제46회 미국 작가 조합상
49th Writers Guild of America Awards,제49회 미국 작가 조합상
4th Writers Guild of America Awards,제4회 미국 작가 조합상
59th Writers Guild of America Awards,제59회 미국 작가 조합상
60th Writers Guild of America Awards,제60회 미국 작가 조합상
63rd Writers Guild of America Awards,제63회 미국 작가 조합상
"Wolf, Wyoming",울프 (와이오밍주)
Woodman station,우드먼역
1984 United States House of Representatives elections,1984년 미국 하원의원 선거
2018 United States elections,2018년 미국 중간선거
VMFA-121,VMFA-121
"Volunteer, North Carolina",볼런티어 (노스캐롤라이나주)
WLIW (TV),WLIW
Total Mortgage Arena,토탈 모기지 아레나
Plant City Stadium,플랜트시티 스타디움
Pomona College,포모나 칼리지
Portland Exposition Building,포틀랜드 엑스퍼지션 빌딩
Providence Zen Center,프로비던스 젠 센터
Pure Storage,퓨어스토리지
Quality Distributors,퀄리티 디스트리뷰터스
Shifman Mattress Company,쉬프만 매트리스 컴퍼니
Southern Baptist Theological Seminary,남 침례교 신학교
TEDMED,TEDMED
The Boston Post,보스턴 포스트
"The Center for Palladian Studies in America, Inc.",미국 팔라디안 연구 센터
The '76 House,올드 76 하우스
Sheboygan Armory,시보이건 뮤니시펄 오디토리움 앤 아머리
Big E Coliseum,이스턴 스테이츠 콜리시엄
Taipei Economic and Cultural Office in Houston,주휴스턴 타이베이 경제문화판사처
Tea Party Caucus,티 파티 코커스
Texarkana metropolitan area,텍사캐나 대도시권
USC Gould School of Law,서던캘리포니아 대학교 법학대학원
Tingley Coliseum,팅글리 콜리시엄
Torero Stadium,토레로 스타디움
Truveo,트루비오
Respawn Entertainment,리스폰 엔터테인먼트
United States Army Civil Affairs and Psychological Operations Command,미국 육군 민사심리작전사령부
United States Army Gas School,가스학교
Vermont statistical areas,버몬트주의 통계 지구
Yacht Club Games,요트 클럽 게임스
Aztec Bowl (stadium),아즈텍 볼 (스타디움)
Foggy Bottom–GWU station,포기 보텀-GWU역
Category:Protected areas of Hawaii,분류:하와이주의 보호 지역
Natural Bridge Caverns,내추럴브리지 동굴
2013 Boston Marathon,2013년 보스턴 마라톤
Transportation in Chicago,시카고의 교통
Rock-Ola,록올라
ARINC,ARINC
Just Do It,Just Do It
Kents Hill School,켄츠 힐 고등학교
Geographic coordinate conversion,경위도
Sigma Sound Studios,시그마 사운드 스튜디오
Utica Comets,유티카 코메츠
Albany Civic Center,올버니 시빅 센터
Winston-Salem Fairgrounds Annex,LJVM 콜리시엄 안넥스
Despicable Me Minion Mayhem,미니언 메이헴
34th Golden Raspberry Awards,제34회 골든 래즈베리상
Mondelez International,몬덜리즈 인터내셔널
Paste (magazine),페이스트 (잡지)
The Ascension (professional wrestling),디 어센션
2014 CONCACAF Women's Championship,2014년 CONCACAF 여자 축구 선수권 대회
Westchester Knicks,웨스트체스터 닉스
Soap Box Derby,소프박스 더비
2014 Caribbean Cup,2014년 카리브컵
The Hastings Center,헤이스팅스 센터
Jungle City Studios,정글 시티 스튜디오
Honolulu molasses spill,호놀룰루 당밀 유출 사고
Lyft,리프트 (기업)
Stits DS-1,스티츠 DS-1
2014 International Champions Cup,2014 인터내셔널 챔피언스컵
Killing of Eric Garner,에릭 가너 피살 사건
Rovers FC (Guam),로버스 FC
Nokia Lumia 830,노키아 루미아 830
2022 World Games,2022년 월드 게임
NXT TakeOver,NXT 테이크오버
Manuʻa Islands,마누아 제도
United States at the 2016 Summer Olympics,2016년 하계 올림픽 미국 선수단
Deeplearning4j,Deeplearning4j
Murder of Kitty Genovese,키티 제노비스 사건
Tacoma Defiance,터코마 디파이언스
World Chess Championship 2016,2016년 세계 체스 선수권 대회
The Game Awards,더 게임 어워즈
2015 US Open (tennis),2015년 US 오픈 (테니스)
Nut rage incident,대한항공 086편 회항 사건
Hollywood Film Awards,할리우드 영화상
The Beat Down Clan,더 비트 다운 클랜
2022 World Athletics Championships,2022년 세계 육상 선수권 대회
Holiday Hell,홀리데이 헬
Killing of Freddie Gray,프레디 그레이 사망 사건
NWA World Title Tournament,NWA 월드 타이틀 토너먼트
Pershing II,퍼싱 II
Greenville Swamp Rabbits,그린빌 스웜프 래비츠
Hewlett Packard Enterprise,휴렛 팩커드 엔터프라이즈
Uproxx,업록스
WeWork,WeWork
BioSentinel,바이오 센티넬
Kate and Laura Mulleavy,멀리비 자매
North Fire (2015),노스 산불
OpenAI,오픈AI
Titan Soccer Complex,타이탄 사커 콤플렉스
Commander Fleet Activities Chinhae,진해 함대지원부대
Dallas Wings,댈러스 윙스
Danbury Titans,댄버리 타이탄스
Riseup,Riseup
89th Academy Awards,제89회 아카데미상
Apple Park,애플 파크
William Carey International University,윌리엄 캐리 국제대학교
2016 US Open (tennis),2016년 US 오픈 (테니스)
69th Writers Guild of America Awards,제69회 미국 작가 조합상
Jimmy John's Field,지미 존스 경기장
2017 International Champions Cup,2017년 인터내셔널 챔피언스컵
WWE Great Balls of Fire,WWE 그레이트 볼스 오브 파이어
Idaho Stampede,아이다호 스탬피드
Paire FC,페어 FC
Entertainment and Sports Arena,엔터테인먼트 앤 스포츠 아레나
Maine Mariners (ECHL),메인 매리너스 (ECHL)
Southwest Airlines Flight 1380,사우스웨스트 항공 1380편 엔진 폭발 사고
Puerto Rico at the 2018 Winter Olympics,2018년 동계 올림픽 푸에르토리코 선수단
Intuit Dome,인튜이트 돔
Nuro,뉴로
St. Louis Battlehawks,세인트루이스 배틀호크스
14th Directors Guild of America Awards,제14회 미국 감독 조합상
1st Directors Guild of America Awards,제1회 미국 감독 조합상
SpaceX Crew-1,스페이스X 크루-1
2018 Hawaii false missile alert,2018년 하와이 미사일 경보
2018 Anchorage earthquake,2018년 앵커리지 지진
Apple Card,애플 카드
47th Writers Guild of America Awards,제47회 미국 작가 조합상
2019 California wildfires,2019년 캘리포니아 산불
23rd Writers Guild of America Awards,제23회 미국 작가 조합상
Statue of Liberty Museum,자유의 여신상 박물관
40th Writers Guild of America Awards,제40회 미국 작가 조합상
44th Writers Guild of America Awards,제44회 미국 작가 조합상
2020 United States presidential election in Florida,2020년 미국 대통령 선거 플로리다주
2020 United States presidential election in New Hampshire,2020년 미국 대통령 선거 뉴햄프셔주
2020 United States presidential election in Colorado,2020년 미국 대통령 선거 콜로라도주
2020 United States presidential election in Connecticut,2020년 미국 대통령 선거 코네티컷주
2020 United States presidential election in Hawaii,2020년 미국 대통령 선거 하와이주
2020 United States presidential election in Kentucky,2020년 미국 대통령 선거 켄터키주
2020 United States presidential election in South Dakota,2020년 미국 대통령 선거 사우스다코타주
71st Writers Guild of America Awards,제71회 미국 작가 조합상
Austin FC,오스틴 FC
Warner Records,워너 레코드
Peacock (streaming service),피콕 (스트리밍 서비스)
1st Aviation Brigade,제1항공여단 (미국)
30th Medical Brigade (United States),제30의무여단
Lake Erie,이리호
Upper Manhattan,어퍼맨해튼
Empire State Building,엠파이어 스테이트 빌딩
John F. Kennedy International Airport,존 F. 케네디 국제공항
"DeWitt County, Texas",디위트군 (텍사스주)
"McMullen County, Texas",맥멀렌군
Astroworld Festival,아스트로월드 페스티벌
Amory Street station,보스턴 대학교 서역
Global Positioning System,GPS
"Leon County, Texas",리언군 (텍사스주)
"Morgan County, Utah",모건군 (유타주)
"Lewisville, Texas",루이스빌 (텍사스주)
"Robertson County, Texas",로버트슨군 (텍사스주)
Mount St. Helens,세인트헬렌스산
United States Army,미국 육군
"Delaware County, Pennsylvania",델라웨어군 (펜실베이니아주)
"Lansing, Michigan",랜싱
2021 World Series,2021년 월드 시리즈
"Burlington, Vermont",벌링턴 (버몬트주)
"Grand Forks, North Dakota",그랜드포크스
Houston,휴스턴
Detroit Grand Prix,디트로이트 그랑프리
United States Armed Forces,미군
United States Marine Corps,미국 해병대
Southeast Asia,동남아시아
Apple Studios,애플 스튜디오 (제작사)
"Elba, Alabama",엘바 (앨라배마주)
"Shishmaref, Alaska",시슈머레프
"Graham County, Arizona",그레이엄군 (애리조나주)
IBM,IBM
ImageShack,ImageShack
PNC Financial Services,PNC 파이낸셜 서비시즈
Goddard Space Flight Center,고더드 우주 비행 센터
"Norwalk, Connecticut",노워크 (코네티컷주)
1904 Summer Olympics,1904년 하계 올림픽
Lonely Planet,론리 플래닛
"San Juan County, Utah",샌환군 (유타주)
"Waller County, Texas",월러군
Navassa Island,나배사섬
Las Vegas,라스베이거스
Nicktoons (American TV channel),닉툰스 (미국)
United States,미국
2020 St. Louis Cardinals season,2020년 세인트루이스 카디널스 시즌
Joker Stairs,조커 계단
26th Screen Actors Guild Awards,제26회 미국 배우 조합상
Condron Ballpark,콘드론 볼파크
American Airlines,아메리칸 항공
Sierra Nevada,시에라네바다산맥 (미국)
"Wasatch County, Utah",워새치군
"Colorado County, Texas",콜로라도군
Eyak language,이야크어
Jeep,지프 (자동차)
Susquehanna River,서스쿼해나강
"Hollywood, Los Angeles",할리우드
Ojibwe language,오지브와어
Walloon language,왈롱어
IPad,아이패드
Motown,모타운
"Montcalm County, Michigan",몽칼름군
National Center for Biotechnology Information,미국 국립생물공학정보센터
Golden Gate Bridge,골든게이트 교
List of tallest buildings in Los Angeles,로스앤젤레스의 마천루 목록
Rockstar Games,록스타 게임스
Metro-North Railroad,메트로 노스 철도
Boeing,보잉
Indiana,인디애나주
South Carolina,사우스캐롤라이나주
Microsoft,마이크로소프트
Coca-Cola,코카콜라
Pennsylvania,펜실베이니아주
Warner Music Group,워너 뮤직 그룹
"Bismarck, North Dakota",비즈마크 (노스다코타주)
"Middlesex County, Massachusetts",미들섹스군 (매사추세츠주)
"Salem, Massachusetts",세일럼 (매사추세츠주)
"Cheyenne, Wyoming",샤이엔 (와이오밍주)
"Beverly Hills, California",베벌리힐스
"Las Animas County, Colorado",라스애니마스군
"Syracuse, New York",시러큐스 (뉴욕주)
"Charleston, West Virginia",찰스턴 (웨스트버지니아주)
New York City,뉴욕
"Tulsa, Oklahoma",털사
"La Plata County, Colorado",라플라타군
"Odessa, Texas",오데사 (텍사스주)
Baker Island,베이커섬
National Museum of African Art,국립 아프리카 미술관
"Port Arthur, Texas",포트아서 (텍사스주)
GitHub,깃허브
Google%2B,구글%2B
Denali,디날리산
"Palo Alto, California",팰로앨토
Boston Celtics,보스턴 셀틱스
"Mercer County, North Dakota",머서군 (노스다코타주)
"Wells County, North Dakota",웰스군 (노스다코타주)
"Pembina County, North Dakota",펨비나군
"Ward County, North Dakota",워드군 (노스다코타주)
"Barry County, Michigan",배리군 (미시간주)
"Van Buren County, Michigan",밴뷰런군 (미시간주)
"Atlantic City, New Jersey",애틀랜틱시티
"Lancaster County, Pennsylvania",랭커스터군 (펜실베이니아주)
"Lynn, Massachusetts",린 (매사추세츠주)
"North Adams, Massachusetts",노스애덤스 (매사추세츠주)
Radcliffe College,래드클리프 칼리지
Shenandoah Valley,셰넌도어 계곡
Mariana Islands,마리아나 제도
New York (state),뉴욕주
"Medford, Massachusetts",메드퍼드 (매사추세츠주)
"Bristol County, Rhode Island",브리스틀군 (로드아일랜드주)
"Marlborough, Massachusetts",말버러 (매사추세츠주)
Radio Disney,라디오 디즈니
Mozilla Foundation,모질라 재단
"Santa Cruz County, Arizona",샌타크루즈군 (애리조나주)
"Marion County, Arkansas",매리언군 (아칸소주)
National Institute for Occupational Safety and Health,미국 국립 직업안전위생연구소
Roanoke Colony,로어노크 식민지
Cage the Elephant,케이지 디 엘리펀트
Hollywood Walk of Fame,할리우드 명예의 거리
1892 United States presidential election,1892년 미국 대통령 선거
ALMA Award,ALMA 어워드
"Camden, Alabama",캠던 (앨라배마주)
"Pell City, Alabama",펠 시티
"Fort Payne, Alabama",포트페인
"Hughes, Arkansas",휴스 (아칸소주)
"Florence, Alabama",플로렌스 (앨라배마주)
"Kaktovik, Alaska",카크토비크
"Page, Arizona",페이지 (애리조나주)
"Paris, Arkansas",패리스 (아칸소주)
Hewlett-Packard,휴렛 팩커드
"Hooper Bay, Alaska",후퍼베이
"Brockton, Massachusetts",브록턴 (매사추세츠주)
"Warwick, Rhode Island",워릭 (로드아일랜드주)
"Greensboro, North Carolina",그린즈버러
"Bernalillo County, New Mexico",베르나릴로군
Buckingham Fountain,버킹엄 분수
Mauna Loa,마우나로아산
United States Secretary of State,미국의 국무장관
Big Apple,빅 애플
Slovenes,슬로벤인
Elimination Chamber (2010),일리미네이션 체임버 (2010)
"Northampton County, Virginia",노샘프턴군 (버지니아주)
"Benton, Alabama",벤턴 (앨라배마주)
"Benton, Arkansas",벤턴 (아칸소주)
San Diego,샌디에고
Santa Cruz Warriors,샌타크루즈 워리어스
LPGA,LPGA
Pontic Greek,폰토스 그리스어
WWE Classics on Demand,WWE 클래식스 온 디멘드
WWE Hall of Fame,WWE 명예의 전당
Stanford University,스탠퍼드 대학교
Cincinnati,신시내티
Federalist Party,연방당
Apollo 11,아폴로 11호
GameSpot,게임스팟
"Amherst, Massachusetts",애머스트 (매사추세츠주)
"Orlando, Florida",올랜도
San Antonio Brahmas,샌안토니오 브라머즈
"Garden Grove, California",가든그로브
"Carson County, Texas",카슨군
"Crosby County, Texas",크로즈비군
Penthouse (magazine),펜트하우스 (잡지)
"Hansford County, Texas",한스퍼드군
"Karnes County, Texas",칸스군
"Christian County, Illinois",크리스천군 (일리노이주)
"Haskell County, Texas",해스켈군 (텍사스주)
Blue Ridge Mountains,블루리지산맥
Utah Jazz,유타 재즈
"Clear Creek County, Colorado",클리어크리크군
"Peoria County, Illinois",피오리아군
"Carver County, Minnesota",카버군
"Franklin County, Ohio",프랭클린군 (오하이오주)
Indianapolis Motor Speedway,인디애나폴리스 모터 스피드웨이
83rd Academy Awards,제83회 아카데미상
CMT (American TV channel),컨트리 뮤직 텔레비전
"Cayuga County, New York",카유가군
"Clayton County, Iowa",클레이턴군 (아이오와주)
81st Academy Awards,제81회 아카데미상
Electric chair,전기의자
ArXiv,ArXiv
"Columbia County, Georgia",컬럼비아군 (조지아주)
"El Dorado County, California",엘도라도군
"Monterey County, California",몬터레이군
"San Mateo County, California",샌머테이오군
"Albany County, New York",올버니군 (뉴욕주)
"Bastrop County, Texas",배스트롭군
"Andrews County, Texas",앤드루스군
"El Paso County, Texas",엘패소군 (텍사스주)
"Bond County, Illinois",본드군
"Bureau County, Illinois",뷰로군
Lexington Avenue,렉싱턴가
Madison Avenue,매디슨가
"Union Square, Manhattan",유니언 스퀘어 (뉴욕)
"Santa Clara County, California",샌타클래라군
"Winnebago County, Illinois",위너베이고군 (일리노이주)
"Butte County, Idaho",뷰트군 (아이다호주)
"Rockland County, New York",로클랜드군
"DeWitt County, Illinois",디위트군 (일리노이주)
"Rockwall County, Texas",록월군
"Somervell County, Texas",서머벨군
"Wood County, Texas",우드군 (텍사스주)
Pioneer 10,파이어니어 10호
Kabardians,카바르다인
Ojibwe,오지브와족
"Arkansas County, Arkansas",아칸소군
"Woodruff County, Arkansas",우드러프군
Black Panther Party,흑표당
Gettysburg Address,게티즈버그 연설
Marvel Comics,마블 코믹스
Miami Heat,마이애미 히트
Pioneer 11,파이어니어 11호
"Pulaski County, Arkansas",펄래스키군 (아칸소주)
"Day County, South Dakota",데이군
Ames Research Center,에임스 연구 센터
Golden Gate,골든게이트 해협
Roswell incident,로즈웰 사건
"Decatur, Alabama",디케이터 (앨라배마주)
Fort Detroit,디트로이트 요새
"Newaygo County, Michigan",뉴웨이고군
Apollo 16,아폴로 16호
Apollo 7,아폴로 7호
Battle of Five Forks,파이브 포크스 전투
Indianapolis Colts,인디애나폴리스 콜츠
"Darien, Connecticut",대리엔 (코네티컷주)
Miss Universe,미스 유니버스
"Ogden, Utah",오그던 (유타주)
"Watertown, Massachusetts",워터타운 (매사추세츠주)
"Cathlamet, Washington",캐슬라메트
First United States Army Group,제1집단군
Potomac River,포토맥강
"Hampshire County, Massachusetts",햄프셔군 (매사추세츠주)
"Plymouth County, Massachusetts",플리머스군 (매사추세츠주)
Punjabi language,펀자브어
ECHL,ECHL
Harlem,할렘
"Ashley County, Arkansas",애슐리군 (아칸소주)
"Cheshire County, New Hampshire",체셔군 (뉴햄프셔주)
"Strafford County, New Hampshire",스트래퍼드군
"Aberdeen, South Dakota",애버딘 (사우스다코타주)
Apollo 4,아폴로 4호
Dunlop Tyres,던롭 타이어
Mercury Records,머큐리 레코드
"Macon, Georgia",메이컨 (조지아주)
Unification Church,세계평화통일가정연합
Denver Broncos,덴버 브롱코스
"Gunnison, Colorado",거니슨 (콜로라도주)
American Motors Corporation,아메리칸 모터스
American Music Awards,아메리칸 뮤직 어워드
Apollo 9,아폴로 9호
"Lonoke, Arkansas",로노크
Academy Award for Best Actor,아카데미 남우주연상
Apollo 15,아폴로 15호
Constitution of California,캘리포니아 헌법
Hollywood/Highland station,할리우드/하일랜드역
Parallels (company),패러렐즈
Airbnb,에어비앤비
"Chicot County, Arkansas",시코군
"Redmond, Washington",레드먼드 (워싱턴주)
"Columbus, Georgia",콜럼버스 (조지아주)
Rotten Tomatoes,로튼 토마토
1991 CONCACAF Gold Cup,1991년 CONCACAF 골드컵
"Naperville, Illinois",네이퍼빌
"Albia, Iowa",앨비아 (아이오와주)
United Methodist Church,연합 감리 교회
Academy Award for Best Adapted Screenplay,아카데미 각색상
"Sonoma County, California",소노마군
"Adams County, Nebraska",애덤스군 (네브래스카주)
"Rains County, Texas",레인스군
Athletics at the 1904 Summer Olympics – Men's 100 metres,1904년 하계 올림픽 육상 남자 100m
Honolulu Marathon,호놀룰루 마라톤
Montgomery bus boycott,몽고메리 버스 보이콧
"Perry County, Alabama",페리군 (앨라배마주)
"Adams County, Indiana",애덤스군 (인디애나주)
Adams–Onís Treaty,애덤스-오니스 조약
Interstate 20,주간고속도로 제20호선
Interstate 26,주간고속도로 제26호선
Interstate 35,주간고속도로 제35호선
Interstate 45,주간고속도로 제45호선
Continental Basketball Association,컨티넨탈 농구 협회
Jean Hersholt Humanitarian Award,진 허숄트 박애상
Pacific Division (NBA),퍼시픽 디비전 (NBA)
Procter %26 Gamble,프록터 앤드 갬블
Hummer,허머
"Clarksville, Tennessee",클라크스빌 (테네시주)
"Cleburne County, Alabama",클리번군 (앨라배마주)
"Clifton, New Jersey",클리프턴 (뉴저지주)
"Leadville, Colorado",리드빌
Interstate 49,주간고속도로 제49호선
Interstate 64,주간고속도로 제64호선
Interstate 68,주간고속도로 제68호선
Interstate 70,주간고속도로 제70호선
"Weld County, Colorado",웰드군
Cahokia,카호키아
Traveling Wilburys,트래블링 윌버리스
Recording Industry Association of America,미국 음반 산업 협회
Vermont/Beverly station,버몬트/베벌리역
"Harrison, New Jersey",해리슨 (뉴저지주)
Interstate 78,주간고속도로 제78호선
Interstate 83,주간고속도로 제83호선
Interstate 97,주간고속도로 제97호선
Interstate 99,주간고속도로 제99호선
"Big Stone County, Minnesota",빅스톤군
"Swisher County, Texas",스위셔군
"Washakie County, Wyoming",와샤키군
Stanley Cup,스탠리 컵
Epic Records,에픽 레코드
Worcester Sharks,우스터 샤크스
Academy Award for Best Picture,아카데미 작품상
General Dynamics F-16 Fighting Falcon,제너럴 다이내믹스 F-16 파이팅 팰컨
Battle of the Little Bighorn,리틀빅혼 전투
Deepwater Horizon,딥워터 허라이즌
Boston Massacre,보스턴 학살
"Skagit County, Washington",스캐짓군
"Van Zandt County, Texas",반젠트군
"Denton County, Texas",덴턴군
Group of Thirty,30인 위원회
Bose Corporation,보스 (미국의 기업)
Visa Inc.,비자 (기업)
"Autauga County, Alabama",오토가군
Steinway %26 Sons,스타인웨이
"Dallas County, Iowa",댈러스군 (아이오와주)
"Dawson County, Texas",도슨군 (텍사스주)
"Douglas County, Minnesota",더글러스군 (미네소타주)
"Erie County, New York",이리군 (뉴욕주)
"Maverick County, Texas",매버릭군
Bruce Medal,브루스 메달
Denver International Airport,덴버 국제공항
Beta Israel,베타 이스라엘
Food and Drug Administration,미국 식품의약국
"Daggett County, Utah",다제트군
"Dakota County, Minnesota",다코타군 (미네소타주)
"Madison County, New York",매디슨군 (뉴욕주)
"St. Clair County, Michigan",세인트클레어군 (미시간주)
Brigham Young University,브리검영 대학교
Chicago White Sox,시카고 화이트삭스
"Schenectady, New York",스키넥터디
Magic: The Gathering,매직 더 개더링
American Dream,아메리칸 드림
United States Army Central,미국 중부 육군
Black Hills,블랙힐스
Seattle SuperSonics,시애틀 슈퍼소닉스 (1967년)
"Garfield County, Colorado",가필드군 (콜로라도주)
"Greene County, New York",그린군 (뉴욕주)
"Bolivar County, Mississippi",볼리바르군
"Macon County, Illinois",메이컨군 (일리노이주)
Motorola,모토로라
Citigroup,씨티그룹
7 Up,세븐업
Super Bowl XLIV,슈퍼볼 XLIV
Sybase,사이베이스
Gold Glove Award,골드글러브
Palmyra Atoll,팔미라 환초
Surveyor program,서베이어 계획
Porcupine River,포큐파인강
Target Center,타깃 센터
FDR Drive,프랭클린 D. 루즈벨트 이스트 리버 드라이브
Pixar,픽사
"Manatee County, Florida",매너티군
"Ralls County, Missouri",랠스군
"Elbert County, Colorado",엘버트군 (콜로라도주)
Los Angeles Lakers,로스앤젤레스 레이커스
Rikers Island,라이커스섬
Utah Stars,유타 스타스
Enola Gay,이놀라 게이
"Yuba County, California",유바군
Mad (magazine),MAD (잡지)
"Gloucester County, Virginia",글로스터군 (버지니아주)
Pulitzer Prize for Biography,퓰리처상 전기 또는 자서전 부문
"Don't ask, don't tell","Don't ask, don't tell"
Student Nonviolent Coordinating Committee,학생 비폭력 조정 위원회
National Academy of Sciences,미국국립과학원
"Jim Hogg County, Texas",짐호그군
"Kit Carson County, Colorado",키트카슨군
Utah Territory,유타 준주
UPN,유나이티드 파라마운트 네트워크
Walt Disney World,월트 디즈니 월드 리조트
"Zion, Illinois",자이언 (일리노이주)
"Carrollton, Texas",캐럴턴 (텍사스주)
"Choctaw County, Mississippi",촉토군 (미시시피주)
"Jones County, Mississippi",존스군 (미시시피주)
Walters Art Museum,월터스 미술관
ConocoPhillips,코노코필립스
University of Hawaiʻi,하와이 대학교
"Aberdeen, Ohio",애버딘 (오하이오주)
"Marysville, Michigan",메리즈빌 (미시간주)
"McHenry County, North Dakota",맥헨리군 (노스다코타주)
Northwest Ordinance,북서부 조례
50 Greatest Players in NBA History,NBA 위대한 50인 선수
Cross Insurance Arena,크로스 인슈어런스 아레나
Kroger,크로거
Puerto Rico at the 2002 Winter Olympics,2002년 동계 올림픽 푸에르토리코 선수단
Red Line (MBTA),레드 라인 (MBTA)
United States at the 1936 Winter Olympics,1936년 동계 올림픽 미국 선수단
Business Insider,비즈니스 인사이더
California Current,캘리포니아 해류
"Canton, Texas",캔턴 (텍사스주)
"Cook County, Minnesota",쿡군 (미네소타주)
"Irion County, Texas",아이리온군
Pensacola Ice Pilots,펜서콜라 아이스 파일럿츠
Portland Trail Blazers,포틀랜드 트레일블레이저스
Pratt %26 Whitney,프랫 %26 휘트니
"La Salle County, Texas",라살군 (텍사스주)
"Park County, Wyoming",파크군 (와이오밍주)
"Saint Thomas, U.S. Virgin Islands",세인트토머스섬
38th parallel north,북위 38도
AFL-CIO,미국노동연맹–산별조직회의
XYZ Affair,XYZ 사건
GameSpy,게임스파이
"Grant County, Washington",그랜트군 (워싱턴주)
A%26W Restaurants,A%26W 레스토랑
Aon Center (Chicago),Aon 센터 (시카고)
Devils Tower,데빌스타워
