Tours,투르
Tournoi de tennis de Paris-Bercy,파리 마스터스
47e parallèle nord,북위 47도
Musée Grévin,그레뱅 박물관
Football Club de Martigues,FC 마르티그
Mouvement républicain populaire,대중공화운동
Syndrome de Paris,파리 증후군
Alternative libérale,자유로운 대안
Éclipse solaire du 11 août 1999,1999년 8월 11일 일식
Via Aquitania,아퀴타니아 가도
Ordre de Saint-Michel,생 미셸 기사단
Gouvernement de la République française,프랑스 정부
Nina Ricci (entreprise),니나 리치 (브랜드)
Midi de la France,남프랑스
Canton de Châtillon-sur-Chalaronne,샤티용쉬르샬라론 캉통
La Redoute (entreprise),라르두트
Parti radical (France),급진당 (프랑스)
Élection présidentielle française de 1974,1974년 프랑스 대통령 선거
Centre culturel Tjibaou,티바우 문화센터
Shakespeare and Company,셰익스피어 앤드 컴퍼니
Coupe Gambardella,쿠프 감바르델라
École nationale supérieure des mines de Paris,파리국립고등광업학교
Éléphant de la Bastille,바스티유의 코끼리
Col du Petit-Saint-Bernard,프티 생베르나르 고개
Appellations des membres de la maison de France,프랑스 왕실 구성원의 호칭
France aux Jeux olympiques de 1904,1904년 하계 올림픽 프랑스 선수단
Plan International,플랜 인터내셔널
Sagem,SAGEM
Élections constituantes françaises de 1945,1945년 프랑스 총선
Aéroport de Lille-Lesquin,릴 공항
Festival international du film d'animation d'Annecy,안시 국제 애니메이션 영화제
Nation (métro de Paris),나시옹역
Ipsos,입소스
50e parallèle nord,북위 50도
Régiment de chasse 2/30 Normandie-Niémen,노르망디-네만
Yéniche (langue),예니셰어
Festival du cinéma américain de Deauville,도빌 미국 영화제
Vantiva,테크니컬러 SA
Championnat de Polynésie française de football,타히티 퍼스트 디비시온
Référendum constitutionnel français de 1962,1962년 10월 프랑스 국민투표
Festival de Cannes 2013,2013년 칸 영화제
Collège de Montaigu,몽테귀 대학
Liste des cantons de Tarn-et-Garonne,타른에가론주의 캉통
Route européenne 604,유럽 고속도로 604호선
Artémis (groupe),그루프 아르테미스
Bataille pour l'Australie,오스트레일리아 전투
1er régiment d'artillerie de marine,제1해병포병연대
Occupation de la France par l'Allemagne pendant la Seconde Guerre mondiale,프랑스 군정청
Place de l'Opéra,오페라 광장
Aéroport de Pau-Pyrénées,포 피레네 공항
Pont de l'Alma,알마교
Maison Margiela,메종 마르지엘라
Élections législatives françaises de 1863,1863년 프랑스 총선
Liste de partis politiques en France,프랑스의 정당
Dio vi salvi Regina,코르시카의 국가
Offensive Nivelle,니벨 공세
Référendum sur l'autodétermination de l'Algérie,1961년 프랑스 국민투표
Arpitanie,아르피타니아
Élections législatives françaises de 1968,1968년 프랑스 총선
Drehu,데후어
Palme Dog,개종려상
Élections législatives françaises de 1799,1799년 프랑스 총선
Promenade des Anglais,프롬나드데장글레
Route européenne 501,유럽 고속도로 501호선
Élections législatives françaises de 1993,1993년 프랑스 총선
Élections régionales françaises de 2010,2010년 프랑스 레지옹 선거
Élection présidentielle française de 1848,1848년 프랑스 대통령 선거
Cour d'appel (France),항소법원 (프랑스)
Parti social français,프랑스 사회당
Route européenne 607,유럽 고속도로 607호선
Radio France,라디오 프랑스
Élections législatives françaises de 1958,1958년 프랑스 총선
70e méridien est,동경 70도
Créole guadeloupéen,과들루프 크리올
Flamme de la Liberté,자유의 불꽃
Force océanique stratégique,전략해군
Composition du Conseil de sécurité des Nations unies,유엔 안전 보장 이사회 상임이사국
Liste des chefs du gouvernement français,프랑스 정부수반 목록
Magistrat (France),사법관
Métropole du Grand Paris,메트로폴 뒤 그랑 파리
Illumination Studios Paris,일루미네이션 맥 거프
Yelle (groupe),옐 (밴드)
Normandie (région administrative),노르망디 (레지옹)
Auvergne-Rhône-Alpes,오베르뉴론알프
Attentats de janvier 2015 en France,2015년 1월 일드프랑스 테러
Prise d'otages du magasin Hyper Cacher de la porte de Vincennes,포르트드뱅센 인질극
Festival de Cannes 2016,2016년 칸 영화제
Championnat de France de football 2016-2017,리그 1 2016-17
France Info (chaîne de télévision),프랑스앵포
Jeux paralympiques d'été de 2024,2024년 하계 패럴림픽
Station F,Station F
Incendie de Notre-Dame de Paris,노트르담 대성당 화재
Finale de la Coupe du monde féminine de football de 2019,2019년 FIFA 여자 월드컵 결승전
Pandémie de Covid-19 en Nouvelle-Calédonie,누벨칼레도니의 코로나19 범유행
Pandémie de Covid-19 en Europe,유럽의 코로나19 범유행
Jeux olympiques d'hiver de 1924,1924년 동계 올림픽
Jeux olympiques de 1900,1900년 하계 올림픽
Gironde (département),지롱드 (데파르트망)
Indre (département),앵드르 (데파르트망)
Ille-et-Vilaine,일에빌렌
Debout la France,약진하는 프랑스
Savoie,사부아
Versailles,베르사유
Obernai,오베르네
Région d'outre-mer,해외 레지옹
Cher (département),셰르 (데파르트망)
Château de Blois,블루아성
Citroën,시트로엥
Ardennes (département),아르덴 (데파르트망)
Arte,아르테
Ploudalmézeau,플루달메조
Football Club Sochaux-Montbéliard,FC 소쇼-몽벨리아르
Ajaccio,아작시오
La Joconde,모나리자
Moselle (rivière),모젤강
Trophée des champions 2020,트로페 데 샹피옹 2020
Festival de Cannes 2021,2021년 칸 영화제
Assassinat de Samuel Paty,사뮈엘 파티 피살 사건
Lot (département),로트 (데파르트망)
Midi-Pyrénées,미디피레네
Golfe de Gascogne,비스케이만
La Réunion,레위니옹
Montigny-lès-Metz,몽티니레메스
Niederbronn-les-Bains,니데르브롱레뱅
Tchétchènes,체첸인
Rodez,로데스
Ubisoft,유비소프트
Dax,닥스 (랑드주)
Michelin,미쉐린
Verdun,베르됭
Laval (Mayenne),라발 (마옌주)
Natation aux Jeux olympiques de 1900,1900년 하계 올림픽 수영
Racing Club de Strasbourg Alsace,RC 스트라스부르
Fagauvea,서우베아어
Cannes,칸 (도시)
Rhône (département),론 (데파르트망)
Drôme (département),드롬 (데파르트망)
Garonne,가론강
Lagny-sur-Marne,라니쉬르마른
Tarn (département),타른주
Thionville,티옹빌
OpenSkies,오픈스카이스
Vienne (Isère),비엔 (이제르주)
Saramaka (langue),사마카어
Roubaix,루베
Aube (département),오브 (데파르트망)
Aude (département),오드 (데파르트망)
Haute-Corse,오트코르스주
Creuse (département),크뢰즈 (데파르트망)
Yiddish,이디시어
Saint-Malo,생말로
Sanofi,사노피
Valenciennes,발랑시엔
Laon,랑 (도시)
Nevers,느베르
Internationaux de France de tennis 2023,2023년 프랑스 오픈
Agence spatiale européenne,유럽 우주국
Cubisme,입체주의
Toulon,툴롱
Concile de Clermont (1095),클레르몽 공의회
Auray,오레 (프랑스)
Évreux,에브뢰
Soissons,수아송
Code Insee,INSEE 코드
Université de Strasbourg,스트라스부르 대학교
.mf,.mf
École nationale de l'aviation civile,국립민간항공학교
Simca,심카
Tapisserie de Bayeux,바이외 태피스트리
24 Heures du Mans,르망 24시
Montreuil (Seine-Saint-Denis),몽트뢰유 (센생드니주)
Mistral (vent),미스트랄 (바람)
Vincennes,뱅센
Douai,두에
Parti socialiste (France),사회당 (프랑스)
Vignoble de Bordeaux,보르도 포도주
Îles Marquises,마르키즈 제도
Beauvais,보베
Châteauroux,샤토루
Cinquième République (France),프랑스 제5공화국
Bataille de Poitiers (1356),푸아티에 전투
Clichy,클리시
Palaiseau,팔레조
Territoires du royaume de France,프로뱅스
Quimperlé,캥페를레
Département français,프랑스의 데파르트망
Révolution française,프랑스 혁명
Monarchie de Juillet,7월 왕정
Deuxième République (France),프랑스 제2공화국
Finale du Championnat d'Europe de football 1984,UEFA 유로 1984 결승전
Appalaches,애팔래치아산맥
Provence,프로방스
Route européenne,유럽 고속도로
Thales Alenia Space,탈레스 알레니아 스페이스
1re armée (France),제1군 (프랑스)
Bourg-en-Bresse,부르캉브레스
Drapeau basque,이쿠리냐
Liste des communes de l'Aisne,엔주의 코뮌 목록
Le Kremlin-Bicêtre,르크레믈랭비세트르
Eaubonne,오본 (프랑스)
Ermont,에르몽
Saut à la perche masculin aux Jeux olympiques de 1900,1900년 하계 올림픽 육상 남자 장대높이뛰기
Le Blanc (Indre),르블랑
Le Figaro,르 피가로
Cagnes-sur-Mer,카뉴쉬르메르
Oise (rivière),우아즈강
Morlaix,모를레
Collège de France,콜레주 드 프랑스
Ouessant,웨상
Bonifacio,보니파시오 (코르스뒤쉬드주)
Arbignieu,아르비뉴
Redon,르동
Avallon,아발롱
Castellane,카스텔라네
Brens (Ain),브랑 (앵주)
Le Blanc-Mesnil,르블랑메닐
Quartier du Montparnasse,카르티에 뒤 몽파르나스
Hérouville-Saint-Clair,에루빌생클레르
Kaysersberg,케제르베르
Turcs (peuple),튀르키예인
Biarritz,비아리츠
Bourg-Saint-Maurice,부르생모리스
Salon-de-Provence,살롱드프로방스
Ploufragan,플루프라강
Canal de Corse,코르시카 해협
HEC Paris,HEC 파리
Festival de Cannes 1997,1997년 칸 영화제
Lancer du poids masculin aux Jeux olympiques de 1900,1900년 하계 올림픽 육상 남자 포환던지기
Saint-Gratien (Val-d'Oise),생그라시앵
École nationale d'administration (France),국립행정학교
École nationale des chartes,국립고문서학교
Centre national de la recherche scientifique,프랑스 국립과학연구센터
Taverny,타베르니
Liste des communes des Hautes-Alpes,오트잘프주의 코뮌 목록
Prix Jean-Nicod,장 니코드 상
Jardin du Luxembourg,뤽상부르 공원
Pont Neuf,퐁뇌프
Pointe-à-Pitre,푸앵타피트르
Festival de Cannes 1969,1969년 칸 영화제
Élections législatives françaises de 1824,1824년 프랑스 총선
Cholet,숄레
Liste des communes de l'Ain,앵주의 코뮌 목록
Saint-Girons (Ariège),생지론
Académie des sciences (France),과학 아카데미 (프랑스)
Sète,세트 (프랑스)
Les Pennes-Mirabeau,레펜미라보
Montgeron,몽주롱
La Courneuve,라쿠르뇌브
École nationale des ponts et chaussées,국립고등교량도로학교
Brunoy,브뤼누아
Choisy-le-Roi,슈아지르루아
Chantepie,샹트피
Victoire de Samothrace,사모트라케의 니케
Île Tromelin,트로믈랭섬
Guyancourt,기앙쿠르
Franconville (Val-d'Oise),프랑콩빌
Porto-Vecchio,포르토베키오
CAC 40,CAC 40
Coupe des confédérations 2003,2003년 FIFA 컨페더레이션스컵
Île des Faisans,꿩섬
Dom Pérignon (cuvée),돔 페리뇽 (샴페인)
Livarot,리바로
Coupe de la Ligue française de football,쿠프 드 라 리그
Vélodrome Jacques-Anquetil,벨로드롬 드 뱅센
Arcueil,아르케이
Ribeauvillé,리보빌레
Grand Prix automobile de France 2008,2008년 프랑스 그랑프리
Forces françaises de l'intérieur,프랑스 국내군
Palme d'or,황금종려상
Villeneuve-sur-Lot,빌뇌브쉬르로트
Stade de Reims,스타드 드 랭스
Ceyzériat,세제리아
Châtillon-sur-Chalaronne,샤티용쉬르샬라론
Championnats du monde de tennis,세계 하드 코트 선수권 대회
Cathédrale Notre-Dame d'Amiens,아미앵 대성당
Union latine (organisation),라틴 연합
La Roche-Bernard,라로슈베르나르
Commune de Paris,파리 코뮌
Organisation internationale de la francophonie,프랑코포니
France aux Jeux olympiques d'été de 2008,2008년 하계 올림픽 프랑스 선수단
France aux Jeux olympiques d'hiver de 1924,1924년 동계 올림픽 프랑스 선수단
France aux Jeux olympiques d'hiver de 1976,1976년 동계 올림픽 프랑스 선수단
Institut supérieur de l'aéronautique et de l'espace,고등항공우주대학
Football Club des Girondins de Bordeaux,FC 지롱댕 드 보르도
Salon international de l'aéronautique et de l'espace de Paris-Le Bourget,파리 에어쇼
Châteaudun,샤토됭
Gourdon (Lot),구르동
Trappes,트라프
Louhans,루앙 (손에루아르주)
Angoumois,앙구무아
Balan (Ain),발랑 (앵주)
Châtillon-sur-Seine,샤티용쉬르센
Biscarrosse,비스카로스
Massy (Essonne),마시 (에손주)
Effectif des équipes à la Coupe du monde de football 1938,1938년 FIFA 월드컵 선수 명단
Gardanne,가르단
Palais-Royal,팔레 루아얄
Affaire des Placards,벽보 사건
Saint-Louis (Haut-Rhin),생루이 (오랭주)
Ain (rivière),앵강
Air Calédonie,에르 칼레도니
Forces armées françaises,프랑스군
Bataille de la crête de Vimy,비미 능선 전투
Vélizy-Villacoublay,벨리지빌라쿠블레
Affaire du collier de la reine,목걸이 사건
Loi favorisant la diffusion et la protection de la création sur internet,HADOPI
Pléiade (XVIe siècle),플레야드파
Parc des Buttes-Chaumont,뷔트쇼몽 공원
Patinage de vitesse aux Jeux olympiques de 1924,1924년 동계 올림픽 스피드스케이팅
Bataille de Cambrai (1917),캉브레 전투 (1917년)
Inde française,프랑스령 인도
Élections législatives françaises de 1997,1997년 프랑스 총선
Route européenne 21,유럽 고속도로 21호선
Route européenne 54,유럽 고속도로 54호선
Université Paris-Panthéon-Assas,팡테옹 아사스 대학교
Juifs Mizrahim,미즈라흐 유대인
Brigade franco-allemande,독불여단
Festival de Cannes 2001,2001년 칸 영화제
Look Cycle,룩 (기업)
Îles Gambier,강비에 제도
Île-de-Batz,일드바츠
Avions de transport régional,ATR (항공기 제조업체)
Stadium de Toulouse,스타디움 드 툴루즈
Méthode Levallois,르발루아 기법
Assemblée des notables,명사회
Brillat-savarin (marque fromagère),브리야사바랭
Charnoz-sur-Ain,샤르노즈쉬랭
Siège de Toulon (1707),툴롱 전투 (1707년)
Essay,에세이 (오른주)
LexisNexis,렉시스
Route européenne 52,유럽 고속도로 52호선
Alstom Traxx,봄바디어 TRAXX
Bibliothèque nationale et universitaire (Strasbourg),국립 대학 도서관 (스트라스부르)
Église Saint-Nicolas de Strasbourg,성 니콜라 교회 (스트라스부르)
RER trinational de Bâle,바젤 S반
Route européenne 512,유럽 고속도로 512호선
Patinage de vitesse sur piste courte aux Jeux olympiques de 1992,1992년 동계 올림픽 쇼트트랙
Le Vésinet,르베지네
Grande école,그랑제콜
Paris-Gare-de-Lyon,리옹역
Cricket aux Jeux olympiques,1900년 하계 올림픽 크리켓
Offensive du Printemps,춘계 공세
L'Équipe,레키프
Duché de Normandie,노르망디 공국
Institut Confucius,공자학원
Élections législatives françaises de 1827,1827년 프랑스 총선
Comité de salut public,공안위원회 (프랑스 혁명)
Diocèse de Versailles,가톨릭 베르사유 교구
Les Écologistes,유럽 생태녹색당
Aviron aux Jeux olympiques de 1900,1900년 하계 올림픽 조정
Exposition universelle de 1900,1900년 만국 박람회
Hockey sur glace aux Jeux olympiques de 1924,1924년 동계 올림픽 아이스하키
Rangiroa,랑이로아 환초
Juno Beach,주노 해변
Lanvin,랑방
Mandriva,맨드리바
V3 (canon),V-3 캐넌
Festival de Cannes 1955,1955년 칸 영화제
Supercoupe de l'UEFA 1996,1996년 UEFA 슈퍼컵
Stade départemental Yves-du-Manoir,스타드 올랭피크 이브 뒤 마누아르
Plaine (Révolution française),평원파
Chantiers de l'Atlantique,아틀랑티크 조선소
Alignements de Carnac,카르나크 열석
Stade Bollaert-Delelis,스타드 볼라르트 들렐리스
Tour horloge,시계탑
Beyssac,베사크
Bleu d'Auvergne,블뢰 도베르뉴
Cahiers du cinéma,카예 뒤 시네마
Blyes,블리
Châtenay (Ain),샤트네
Mons-en-Barœul,몽장바뢸
Villepinte (Aude),빌팽트 (오드주)
Équipe unifiée aux Jeux olympiques d'hiver de 1992,1992년 동계 올림픽 연합 선수단
Autoroute A23 (France),오토루트 23호선
Groupe ADP,파리 공항공단
Birieux,비리외
Arrondissement de Belley,벨레 아롱디스망
Bataille de Guinegatte (1513),스퍼스 전투
Croix-de-Feu,불의 십자단
Panhard,파나르
TGV 2N2,유로듀플렉스
Grand prix de la critique,ACBD 평론 대상
Constitution française du 4 octobre 1958,프랑스 헌법
La Berrichonne de Châteauroux,LB 샤토루
Bibliothèque de la Pléiade,플레야드 총서
Craponne,크라폰
Championnat de France de football de National,샹피오나 나시오날
Clermont Foot 63,클레르몽 푸트
Route européenne 80,유럽 고속도로 80호선
Festival de Cannes 1966,1966년 칸 영화제
Festival de Cannes 1986,1986년 칸 영화제
Festival de Cannes 2004,2004년 칸 영화제
Golf aux Jeux olympiques de 1900,1900년 하계 올림픽 골프
Parc de Belleville,벨빌 공원
Vitrolles (Hautes-Alpes),비트롤 (오트잘프주)
Palais Bourbon,부르봉궁
Festival de Cannes 1994,1994년 칸 영화제
Mont-Saint-Aignan,몽생테냥
Nouveau Parti anticapitaliste,반자본주의신당
École nationale supérieure de création industrielle,국립 산업 디자인 학교
Élection présidentielle française de 1981,1981년 프랑스 대통령 선거
Basilique Notre-Dame-de-la-Garde,노트르담 드 라 가르드 성당
La Défense,라데팡스
Évian (eau minérale),에비앙
Airbus DS Geo,스팟이미지
École nationale supérieure d'architecture de Versailles,국립 베르사유 고등 건축학교
Route nationale 6 (France métropolitaine),국도 제6호선 (프랑스)
Bataille de la Somme (1918),2차 솜 전투
Élections législatives françaises de 1798,1798년 프랑스 총재선거
Championnat de France féminin de football,디비지옹 1 페미닌
Ladurée,라뒤레
Le Bon Marché,르봉 마르셰
Université Nice-Sophia-Antipolis,니스 소피아 앙티폴리스 대학교
CMA CGM,CMA CGM
Pont des Invalides,앵발리드 다리
Coupe de l'Outre-Mer de football,쿠프 드 루트르메르
Tournoi de France de football de 1988,투르누아 드 프랑스 (1988년)
Essilor,에실로
Prix Fermat,페르마상
Simple messieurs de tennis aux Jeux olympiques de 1900,1900년 하계 올림픽 테니스 남자 단식
Valeo,발레오
TGV POS,SNCF TGV POS
Institut européen d'administration des affaires,INSEAD
Internationale des services publics,공무 인터내셔널
Cathédrale Notre-Dame-des-Doms d'Avignon,아비뇽 대성당
Château de Valençay,발랑세성
Régional (compagnie aérienne),레지오날
Seine (département),센주 (프랑스)
Citadelle de Besançon,브장송 요새
Fêtes et jours fériés en France,프랑스의 공휴일
Équipe de France de hockey sur glace,프랑스 아이스하키 국가대표팀
Élections législatives françaises de 2002,2002년 프랑스 총선
Fraternité Saint-Vincent-Ferrier,성 빈첸시오 페레리오 형제회
Groupe A de la Coupe du monde de football 1998,1998년 FIFA 월드컵 A조
Groupe G de la Coupe du monde de football 1998,1998년 FIFA 월드컵 G조
MBDA,MBDA
Gare d'Annecy,안시역
Casino de Paris,카지노 드 파리
Castanet-Tolosan,카스타네톨로장
Transavia France,트랜스아비아닷컴 프랑스
Université Paris-Descartes,파리 데카르트 대학교
Groupe Sothys,소티스
Manécanterie des Petits Chanteurs à la croix de bois,파리 나무십자가 소년합창단
Quatrième maison d'Orléans,오를레앙가
Liste des cantons du Val-de-Marne,발드마른주의 캉통
Conseil national de la résistance iranienne,이란 저항국민평의회
Prix Jean-Vigo,장 비고 상
Bataille de Metz,메스 전투
Île d'Yeu,일디외섬
Gare de Saint-Gervais-les-Bains-Le Fayet,생제르베레뱅-르파예역
Renaissance française,프랑스 르네상스
Titus Interactive,타이터스 인터랙티브
Élections législatives françaises de 1973,1973년 프랑스 총선
Centre pénitentiaire de Fleury-Mérogis,플뢰리 메로지 교도소
TV5 Monde,TV5Monde
Van Cleef %26 Arpels,반클리프 아펠
Athlético Aix Marseille Provence,아틀레티코 엑스 마르세유 프로방스
Fédération mondiale des anciens combattants,세계재향군인연맹
Shuss le skieur,슈스
Tramway de Montpellier,몽펠리에 라이트 레일
Route européenne 603,유럽 고속도로 603호선
Route européenne 611,유럽 고속도로 611호선
Élections législatives françaises de 1885,1885년 프랑스 총선
Coulée verte René-Dumont,프롬나드 플랑테
Coupe du monde féminine de rugby à XV 2014,2014년 여자 럭비 월드컵
"Liste des établissements publics à caractère scientifique, culturel et professionnel",프랑스의 대학 목록
Route européenne 511,유럽 고속도로 511호선
Stade des Alpes,스타드 데 잘프
Gare de Belfort,벨포르역
Mariage entre personnes de même sexe en France,프랑스의 동성결혼
Festival du film de Cabourg,카부르 영화제
Président du Sénat (France),프랑스 상원의장
Raid sur Cherbourg,셰르부르 습격
Miquelon,미클롱섬
BioMérieux,비오메리유
Établissement public à caractère administratif en France,행정적 성격의 공공기관
Élections législatives françaises de 1852,1852년 프랑스 총선
Club de Clichy,클리시 클럽
Démographie de La Réunion,레위니옹의 인구
Monarchiens,모나르시옝
Omois,오무아
Tête nucléaire océanique,TNO 핵탄두
Football à Paris,파리의 축구
École nationale supérieure des mines de Douai,두에국립광업학교
École supérieure d'arts et médias de Caen-Cherbourg,캉-쉘부르 미디어예술학교
Référendum constitutionnel français de 1945,1945년 프랑스 국민투표
Référendum constitutionnel français de mai 1946,1946년 5월 프랑스 국민투표
Bataille de Chambois,샹부아 전투
Ouigo,OUIGO
Union internationale pour l'étude scientifique de la population,국제인구과학연맹
Ambassade de Corée du Sud en France,주프랑스 대한민국 대사관
Airbus Defence and Space,에어버스 디펜스 앤드 스페이스
Championnat de France de football 2014-2015,리그 1 2014-15
Grand Est,그랑테스트
Groupe C du Championnat d'Europe de football 2016,UEFA 유로 2016 C조
Izy (transport),IZY
Attentat de l'église de Saint-Étienne-du-Rouvray,2016년 생테티엔뒤루브레 성당 테러
Affaire Adama Traoré,아다마 트라오레 사망사건
Finale de la Ligue des champions de l'UEFA 2021-2022,2022년 UEFA 챔피언스리그 결승전
Territoire de Belfort,테리투아르 드 벨포르
Grand Prix automobile de France,프랑스 그랑프리
Mai 68,프랑스의 68운동
Pandémie de Covid-19 à Saint-Martin (Antilles françaises),생마르탱의 코로나19 범유행
Stellantis,스텔란티스
Dijon,디종
Luxembourgeois,룩셈부르크어
Lozère (département),로제르 (데파르트망)
Lot-et-Garonne,로테가론
Prise de la Bastille,바스티유 습격
Alpes-Maritimes,알프마리팀주
Calvados (département),칼바도스 (데파르트망)
Élections législatives françaises de 2022,2022년 프랑스 총선
Strasbourg,스트라스부르
Sarlat-la-Canéda,사를라라카네다
Orléans,오를레앙
Poitou-Charentes,푸아투샤랑트
Concarneau,콩카르노
Tournoi des Six Nations,식스 네이션스
Saint-Pierre-et-Miquelon,생피에르 미클롱
.tf,.tf
Arc de triomphe de l'Étoile,에투알 개선문
200 mètres masculin aux Jeux olympiques de 1900 (athlétisme),1900년 하계 올림픽 육상 남자 200m
Saut en longueur masculin aux Jeux olympiques de 1900,1900년 하계 올림픽 육상 남자 멀리뛰기
Saut en longueur sans élan aux Jeux olympiques de 1900,1900년 하계 올림픽 육상 남자 제자리멀리뛰기
Agen,아쟁 (프랑스)
Arménien,아르메니아어
Indre-et-Loire,앵드레루아르
Saône-et-Loire,손에루아르주
Vaucluse (département),보클뤼즈 (데파르트망)
Saint-Dié-des-Vosges,생디에데보주
Vasière,갯벌
Yonne (département),욘 (데파르트망)
Morbihan,모르비앙주
Pyramide du Louvre,루브르 피라미드
Normandie,노르망디
Coupe de France de football 2021-2022,쿠프 드 프랑스 2021-22
Inondations de juillet 2021 en Europe,2021년 유럽 홍수
Aéroport de La Réunion-Roland-Garros,롤랑 가로스 공항
Paris,파리 (프랑스)
Quimper,캥페르
Mont Blanc,몽블랑산
Métro de Lyon,리옹 메트로
Forcalquier,포르칼퀴에
Paix d'Amiens,아미앵 조약
Coupe du monde de football 1998,1998년 FIFA 월드컵
Lancer du marteau masculin aux Jeux olympiques de 1900,1900년 하계 올림픽 육상 남자 해머던지기
Ballon d'or,발롱도르
Bataille de Sedan,스당 전투
Levallois-Perret,르발루아페레
Aérospatiale AS532 Cougar,유로콥터 AS532 쿠거
Autoroute A2 (France),오토루트 2호선
Aéroport de Saint-Barthélemy-Rémy-de-Haenen,구스타프 III 공항
Cascade de Vaipo,바이포 폭포
Ligure,리구리아어
Grand collisionneur de hadrons,대형 강입자 충돌기
Melun,믈룅
Parti nationaliste basque,바스크 국민당
Créteil,크레테유
Ligne 4 du métro de Paris,파리 메트로 4호선
Fort-de-France,포르드프랑스
Limoges,리모주
Champagne (AOC),샴페인
Issy-les-Moulineaux,이시레물리노
Royaumes francs,프랑크 왕국
France aux Jeux olympiques d'hiver de 2010,2010년 동계 올림픽 프랑스 선수단
Méridien de Paris,파리 자오선
Vénus de Milo,밀로의 비너스
14e arrondissement de Paris,파리 14구
Compiègne,콩피에뉴
Mulhouse,뮐루즈
Convention nationale,국민공회
Air Tahiti,에어 타히티
République de Gênes,제노바 공화국
Croisade des albigeois,알비 십자군
Troisième République (France),프랑스 제3공화국
1er arrondissement de Paris,파리 1구
Armoiries de la France,프랑스의 국장
Gap,가프
13e arrondissement de Paris,파리 13구
Lanvéoc,랑베오크
Golfe du Lion,리옹만
Polynésie française,프랑스령 폴리네시아
Agence France-Presse,프랑스 통신사
Tahiti,타히티섬
Internationaux de France de tennis,프랑스 오픈
Alpes occidentales,서알프스산맥
Châtelaillon-Plage,샤텔라용플라주
Football Bourg-en-Bresse Péronnas 01,부르캉브레스 01
Île Makatea,마카테아섬
Basques,바스크인
Dinard,디나르 (프랑스)
Angoulême,앙굴렘
Football Club de Nantes,FC 낭트
Stade Malherbe Caen,SM 캉
Bellegarde-sur-Valserine,벨가르드쉬르발세린
Massif central,마시프상트랄
Anglet,앙글레트
Longjumeau,롱쥐모
Goussainville (Val-d'Oise),구생빌
Dammarie-les-Lys,다마리레리
Champfromier,샹프로미에
Villefranche-sur-Saône,빌프랑슈쉬르손
Opéra Garnier,오페라 가르니에
Windward Islands,윈드워드 제도
Gascogne,가스코뉴
Limoux,리무 (프랑스)
Drancy,드랑시
Langres,랑그르
Le Cannet,르카네
Courbevoie,쿠르브부아
Parc des Princes,파르크 데 프랭스
Fontenay-sous-Bois,퐁트네수부아
Pessac,페사크
Edern,에데른
Évry,에브리 (에손주)
Alès,알레스 (프랑스)
Armentières,아르망티에르
Saint-Maur-des-Fossés,생모르데포세
Suresnes,쉬렌
Châtenay-Malabry,샤트네말라브리
Canal du Midi,미디 운하
Argis,아르지
Sorbonne,소르본
Stade brestois 29,스타드 브레스투아 29
Cerdon (Ain),세르동
Hénin-Beaumont,에냉보몽
Villeneuve-Saint-Georges,빌뇌브생조르주
Îles du Duc de Gloucester,듀크오브글로스터제도
16e arrondissement de Paris,파리 16구
18e arrondissement de Paris,파리 18구
Château de Fontainebleau,퐁텐블로궁
Géographie de la France,프랑스의 지리
Corte,코르트
France métropolitaine,프랑스 본토
Archipel Crozet,크로제 제도
Aubervilliers,오베르빌리에
Algérie française,프랑스령 알제리
4e arrondissement de Paris,파리 4구
Union internationale des chemins de fer,국제 철도 연맹
Aircalin,에어칼린
Lourmarin,루르마랭
Saint-Sébastien-sur-Loire,생세바스티앙쉬르루아르
Eurocopter EC225 Super Puma,유로콥터 EC225
Y (Somme),이 (솜주)
Lancer du disque masculin aux Jeux olympiques de 1900,1900년 하계 올림픽 육상 남자 원반던지기
Ligne 1 du tramway d'Île-de-France,일드프랑스 트램 1호선
Aéroport de Bora-Bora,보라보라 공항
Herblay-sur-Seine,에르블레
Effectif des équipes à la Coupe des confédérations 2003,2003년 FIFA 컨페더레이션스컵 선수 명단
Bény,베니 (프랑스)
Béon (Ain),베옹 (앵주)
La Garenne-Colombes,라가렌콜롱브
Barbizon,바르비종
Marcq-en-Barœul,마르크앙바뢸
École française d'Extrême-Orient,프랑스국립극동연구원
Île de Sable (Nouvelle-Calédonie),사블섬
Circuit Paul-Ricard,폴 리카르 서킷
Belfort,벨포르
Digne-les-Bains,디뉴레뱅
Saint-Lô,생로
Saint-Quentin,생캉탱 (엔주)
Le Puy-en-Velay,르퓌앙블레
Sedan,스당
Belley,벨레
Château d'If,샤토 디프
Festival de Cannes 2009,2009년 칸 영화제
Groupe Actéon,아크테온 제도
Areva,아레바
Festival d'Avignon,아비뇽 연극제
Thalys,탈리스
Prix de Rome (France),로마 대상
Rocamadour,로카마두르
Sainte-Foy-lès-Lyon,생트푸아레리옹
Tarascon (Bouches-du-Rhône),타라스콩
Tremblay-en-France,트랑블레앙프랑스
Aigle Azur,에글 아쥐르
Annemasse,안마스
École centrale de Nantes,에콜 상트랄 낭트
Liste des communes du Cantal,캉탈주의 코뮌 목록
Saint-Maurice (Val-de-Marne),생모리스 (발드마른주)
Yonne (rivière),욘강
Yser,이제르강 (벨기에)
9e arrondissement de Paris,파리 9구
