Maryse Bastié,마리즈 바스티에
Sophie Lefèvre,소피 르페브르
Germaine Dulac,제르멘 뒬락
Serge Laget,세르주 라제
Laura Thorpe,로라 토르프
Jean-Baptiste de Lamarck,장바티스트 라마르크
Simon IV de Montfort,시몽 드 몽포르
Jules Mouquet,쥘 무케
Antoine Lepautre,앙투안 르포트르
Armand Penverne,아르망 팡베른
Maurice Thorez,모리스 토레즈
Jean de Lattre de Tassigny,장 드 라트르 드 타시니
Françoise-Marie de Bourbon,프랑수아즈 마리 드 부르봉
Adélaïde de France,프랑스 공주 마리 아델라이드
Louise Abbéma,루이즈 아베마
Émile Durand,에밀 뒤랑
Macha Méril,마카 메릴
Jean-Patrick Manchette,장파트리크 망셰트
Lolo Ferrari,롤로 페라리
Charles Despiau,샤를 데스피오
Barthélemy Boganda,바르텔레미 보간다
Jean de Berry,베리 공작 장
Henri de Toulouse-Lautrec,앙리 드 툴루즈로트레크
Frédérick Bousquet,프레데리크 부스케
Sarah Lassez,사라 라세즈
Armand David,아르망 다비드
Pierre d'Amboise,피에르 당부아즈
Antoine Meillet,앙투안 메이예
Clotilde Hesme,클로틸드 에스므
François Rude,프랑수아 뤼드
Jean-Baptiste Bessières,장바티스트 베시에르
Jean Buridan,장 뷔리당
Jean-Baptiste Greuze,장바티스트 그뢰즈
Charlotte Aïssé,샤를로트 아이세
Charlotte Gainsbourg,샤를로트 갱스부르
Nancy Huston,낸시 휴스턴
Antar Yahia,안타르 야히아
André Tardieu,앙드레 타르디외
Alexa Davalos,알렉사 다바로스
Rachida Brakni,라시다 브라크니
Marie Souvestre,마리 수베스트르
Nicole Maurey,니콜 모리
Bernard Le Coq,베르나르 르콕
Pierre Chatenet,피에르 샤트네
Christine Angot,크리스틴 앵거
Mathilde Bonaparte,마틸드 보나파르트
Henri Deloge,앙리 들로주
César de Vendôme,세자르 드 방돔 공작
Charles Ehresmann,샤를 에레스만
Franck Dja Djédjé,프랑크 자제제
Geneviève Tabouis,준비에브 타부아
Martin Bossange,마르탱 보상주
Anne Brochet,안 브로셰
Alison Moyet,앨리슨 모예
Diane de Poitiers,디안 드 푸아티에
Jonathan Biabiany,조나탕 비아비아니
Maxime Kontsevitch,막심 콘체비치
Audrey Tautou,오드레 토투
Henri de La Tour d'Auvergne,튀렌 자작 앙리 드 라 투르 도베르뉴
Pierre de Coubertin,피에르 드 쿠베르탱
Georges-Antoine Rochegrosse,조르주 로슈그로스
Jean-Christophe Yoccoz,장크리스토프 요코즈
François Dubois,프랑수아 뒤부아
Paul Pelliot,폴 펠리오
Louis Durey,루이 뒤레
Abbas Fahdel,아바스 파델
André Danjon,앙드레루이 당종
Alain de Boissieu,알랭 드 부아시외
Jacques-Yves Cousteau,자크 쿠스토
René Caillié,René Caillié
Jacques Copeau,자크 코포
Souleymane Doukara,술레만 두카라
Mehdi Nebbou,메디 네브부
Louis de Broglie,루이 드 브로이
Jacques-Louis David,자크루이 다비드
abbé Pierre,아베 피에르
Hervé Guibert,에르베 기베르
Louis-Philippe d'Orléans,오를레앙 공작 루이 필리프 1세
Pascal Chimbonda,파스칼 심봉다
Marc Gicquel,마르크 지켈
Abdoulaye Sané,압둘라이 사네
Jules Coignet,쥘 쿠아녜
Jean-Barthélemy Hauréau,바르텔미 오레오
Abderrahmane Sissako,아브데라만 시사코
Abdoulay Konko,압둘라이 콩코
Pascal Lamy,파스칼 라미
André Gorz,앙드레 고르
Ambroise Paré,앙브루아즈 파레
Jean Cocteau,장 콕토
Jacques Hilling,자크 일링
Jean-Marie Collot d'Herbois,장 마리 코로 데르브와
Cassandre,카산드르
Pascal Vahirua,파스칼 바이뤼아
Geneviève Brossard de Beaulieu,준비에브 브로사르 드 볼리외
Hubert Beuve-Méry,위베르 뵈브메리
Michel Galabru,미셸 갈라브루
Luc Illusie,뤼크 일뤼지
Abdellatif Kechiche,압둘라티프 케시시
Laurent de Gouvion-Saint-Cyr,로랑 드 구비옹 생시르
Younès Belhanda,유네스 벨랑다
Kalonymus ben Kalonymus,칼로니무스 벤 칼로니무스
François-Joseph Lefebvre,프랑수아 조제프 르페브르
Gaspar Noé,가스파 노에
Leconte de Lisle,르콩트 드 릴
Roland Joffé,롤랑 조페
Jean Giraud,장 지로
Eugène Schueller,외젠 슈엘러
Michel Butor,미셸 뷔토르
Auguste Blanqui,루이 오귀스트 블랑키
Dany Robin,대니 로빈
Bernard Le Bouyer de Fontenelle,베르나르 퐁트넬
Antoine de Bourbon,앙투안 드 방돔 공작
André de Montbard,몽바르의 앙드레
Serge Hutin,세르주 위탱
Papiss Cissé,파피스 시세
Alfred de Vigny,알프레드 드 비니
Abdelkader Ghezzal,압델카데르 게잘
Thomas-Robert Bugeaud,토마 로베르 뷔조
Bénigne Dauvergne de Saint-Mars,베니뉴 도베르뉴 드 생마르스
Jean-Marie Leclair,장마리 르클레르
René Baire,르네루이 베르
Serge Lang,서지 랭
Claude-Henri de Rouvroy de Saint-Simon,앙리 드 생시몽
Abdourahman A. Waberi,압두라만 와베리
Louis Vuitton,루이 비통
Jacques-André Naigeon,자크앙드레 네종
Sébastien-Roch Nicolas de Chamfort,니콜라 샹포르
Alphonse Allais,알퐁스 알레
Joëlle Ceccaldi-Raynaud,조엘 세칼디레노
Jean Dieudonné,장 디외도네
Pierre Puget,피에르 폴 퓌제
Jean-Alain Boumsong,장알랭 붐송
Adam Philippe de Custine,아당 필리프 드 퀴스틴 백작
Michel Crépeau,미셸 크레포
Kassim Abdallah,카심 압달라
Bernard Diomède,베르나르 디오메드
Théodore Rousseau,테오도르 루소
Etteilla,에테야
Axel Corti,액셀 코르티
Jérôme Pradon,제롬 프라돈
Roxane Duran,록산 뒤랑
Paul Deschanel,폴 데샤넬
Fénelon,프랑수아 페넬롱
Jules Bianchi,줄스 비앙키
Alexandre Cabanel,알렉상드르 카바넬
Jean-Baptiste Debret,장바티스트 드브레
Rudy Molard,뤼디 몰라르
Sol Bamba,솔 밤바
Julie Engelbrecht,줄리 엥겔브레히트
Fernando Arrabal,페르난도 아라발
Madjid Bougherra,마지드 부게라
Nicolas Malebranche,니콜라 말브랑슈
Jean-Louis Barrault,장루이 바로
Nadir Belhadj,나디르 벨하지
Alexandre Guilmant,알렉상드르 길망
Sávio Bortolini Pimentel,사비우
Sylvain Armand,실뱅 아르망
Jean Giraudoux,장 지로두
Claude-Victor Perrin,벨루노 공작 클로드 빅토르 페랭
Christian Lacroix,크리스티앙 라크루아
Helenio Herrera,엘레니오 에레라
Charles d'Orléans,샤를 도를레앙
Stefan Sagmeister,슈테판 자그마이스터
Bakaye Traoré,바카예 트라오레
Louis Ier d'Anjou,앙주 공작 루이
Édouard Thouvenel,에두아르 투브넬
Claire Keim,클레르 켐
Christian Clavier,크리스티앙 클라비에
Moïse Kisling,모이즈 키슬링
Jules Allix,쥘 알릭스
Jérôme Fernandez,제롬 페르낭데즈
Pascal Feindouno,파스칼 팽두노
Jean-Joseph Cassanéa de Mondonville,장조제프 드 몽동빌
Saïd Taghmaoui,사이드 타그마우이
Dudu Aouate,두두 아우아테
Thích Nhất Hạnh,틱낫한
Alain Daniélou,알랭 다니엘루
Jean Jouzel,장 주젤
Louis Le Vau,루이 르 보
Georges Dumézil,조르주 뒤메질
Amédée IX,아메데오 9세 디 사보이아
Maurice Schumann,모리스 쉬만
Marie Skobtsov,마리아 스코브소파
Adel Taarabt,아델 타랍
Henri d'Artois,앙리 5세
Louis-Marie Grignion de Montfort,몽포르의 루도비코 마리아
Alain Badiou,알랭 바디우
Pierre Méchain,피에르 메셍
Joël de Rosnay,조엘 드로네
Alphonse de Châteaubriant,알퐁스 드 샤토브리앙
Geneviève Fioraso,준비에브 피오라조
Camille Jordan,카미유 조르당
Lazare Carnot,라자르 카르노
Joseph Marie Jacquard,조셉 마리 자카드
Louis II de Bourbon-Condé,루이 2세 드 콩데 공작
Léon Daudet,레옹 도데
Hans-Georg Pflaum,한스게오르크 플라움
Nicolas Martin,니콜라 마르탱
Bernard de Tramelay,트레믈레의 베르나르
Henri Callot,앙리 칼로
Younès Kaboul,유네스 카불
Mustapha Hadji,무스타파 하지
Michel Bastos,미셰우 바스투스
Henri Fantin-Latour,앙리 팡탱라투르
Bon-Adrien Jeannot de Moncey,봉아드리앙 자노 드 몽세
Jules de Polignac,쥘 드 폴리냐크 공작
Jules Michelet,쥘 미슐레
Rémy Card,레미 카드
Lorik Cana,로리크 차나
Adrian Mannarino,아드리앙 마나리노
Auguste Bravais,오귀스트 브라베
Antoine Destutt de Tracy,앙투안 데스튀트 드트라시
Henri II de Bourbon-Condé,콩데 공작 앙리 2세
Antoine François Prévost,아베 프레보
Philippe Pinel,필리프 피넬
Alain Boghossian,알랭 보고시앙
Aimé Jacquet,에메 자케
Sébastien Frey,세바스티앵 프레이
François II de Bretagne,프랑수아 2세 드 브르타뉴
Félix Guattari,펠릭스 가타리
Chiara Mastroianni,키아라 마스트로야니
Lucile Desmoulins,뤼실 두플레시
Nabil El Zhar,나빌 엘 자르
Paul Broca,폴 브로카
Joakim Noah,조아킴 노아
Gilles de Rais,질 드 레
Louis-Philippe d'Orléans,오를레앙 공작 루이 필리프 2세
Philippe de Vitry,필립 드 비트리
Nicolas Batum,니콜라 바튐
Évrard des Barres,바레스의 에버랏
Bertrand de Blanquefort,블랑쉐포르의 베르트랑
Alain Giresse,알랭 지레스
Mamadou Sakho,마마두 사코
Guillaume de Tyr,티레의 윌리엄
Pierre l'Ermite,은자 피에르
Fabrice Jeannet,파브리스 자네
Marie-Christine Vergiat,마리크리스틴 베르지아
David N'Gog,다비드 은고그
Antoine Reicha,안톤 라이하
Bertrand Meyer,버트란드 메이어
Juliette Drouet,쥘리에트 드루에
François Clerc,프랑수아 클레르크
Georges Peyroche,조르주 페로슈
Robert Hossein,로베르 오셍
Louis Braille,루이 브라유
Louis Muraton,루이 뮈라통
Christine Delphy,크리스틴 델피
Adrien Turnèbe,아드리앵 튀르네브
Juliet Berto,쥘리에트 베르토
Jean Moréas,장 모레아스
Francis Jammes,프랑시스 잠
Pierre Loti,피에르 로티
Pierre Termier,피에르마리 테르미에
Gaston de Foix,느무르 공작 가스통 드 푸아
Jacques Demy,자크 드미
Noé Pamarot,노에 파마로
Remy de Gourmont,레미 드 구르몽
Marc Chagall,마르크 샤갈
Claire Bretécher,클레르 브르테셰
Almira Skripchenko,알미라 스크립첸코
Guillaume Budé,기욤 부데
Patrice Mourier,파트리스 무리에
Dimitri Payet,디미트리 파예트
Teddy Riner,테디 리네르
André Fabre,앙드레 파브르
Henri de Lubac,앙리 드 뤼박
Ignace Lepp,"렙, 익냐스,"
Jonathan Zebina,조나탕 제비나
Paul Giéra,폴 지에라
Philippe Aghion,필립 아기온
Christophe Decarnin,크리스토프 드카르냉
Elisa Sednaoui,엘리사 세드나위
Christa Théret,크리스타 테레
Léon Bollée,레옹 볼레
Louis-Joseph-Raphaël Collin,라파엘 콜랭
Maurice Denis,모리스 드니
William Christie,윌리엄 크리스티
Noémie Lvovsky,노에미 르보브스키
Georges Bidault,조르주 비도
Maurice Couve de Murville,모리스 쿠브 드 뮈르빌
Dominique Lavanant,도미니크 라배넌트
Philippe Leclerc de Hauteclocque,필리프 르클레르 드 오트클로크
Gabriel Lamé,가브리엘 라메
Mikhaïl Gromov,미하일 레오니도비치 그로모프
Jean Echenoz,장 에슈노즈
Jean-Andoche Junot,앙도슈 쥐노
René Dupont,르네 뒤퐁
Isabel Marant,이자벨마랑
Bouabdellah Tahri,부압델라 타리
Emir Kusturica,에미르 쿠스투리차
Milan Kundera,밀란 쿤데라
Alain Corneau,알랭 코르노
Jean-Jacques Sempé,장자크 상페
Vincent Jay,뱅상 제
André Masson,앙드레 마송
Ernest Chausson,에르네스트 쇼송
Marius Petipa,마리우스 프티파
Isabelle Demongeot,이자벨 드몽조
Claude-Louis Berthollet,클로드 루이 베르톨레
Khaled,칼레드
Rosemonde Gérard,로즈몽드 제라르
Alexandre Kojève,알렉상드르 코제브
Jean Mabillon,장 마비용
Pierre II de Courtenay,피에르
Auguste Frédéric Viesse de Marmont,오귀스트 프레데리크 비셰 드 마르몽
Fabrice Santoro,파브리스 산토로
Jean-Baptiste de La Salle,요한 밥티스타 드 라 살
Népomucène Lemercier,네포뮈센 르메르시에
Marie-Thérèse Levasseur,테레즈 르바쇠르
Léon Deladerrière,레옹 들라데리에르
Yannick Agnel,야닉 아넬
Philippe d'Orléans,필리프 드 파리 백작
Mevlüt Erdinç,메블뤼트 에르딘스
Marine Delterme,마린 델테름
Henri Donnedieu de Vabres,앙리 돈디유 드 바브르
Jérémy Mathieu,제레미 마티외
Célestin Freinet,셀레스탱 프레네
Clément Ader,클레망 아데르
Karim Matmour,카림 마트무르
Alphonse Louis Nicolas Borrelly,알퐁스 보렐리
Alain Robert,알랭 로베르
Louis Jules Trochu,루이 쥘 트로쉬
Victorien Sardou,빅토리앵 사르두
Raí Souza Vieira de Oliveira,하이
Eugène Pottier,외젠 포티에
Izis,이지스 비데르마나스
Olivia de Havilland,올리비아 드 하빌랜드
Valérie Bonneton,발레리 보네통
Nadia Farès,나디아 파레스
Guy Demel,기 드멜
Jean-Paul Proust,장폴 프루스트
Ernest Meissonier,장 루이 에르네스트 메소니에
Alain Ferté,알랭 페르테
Jean Anthelme Brillat-Savarin,브리야 사바랭
Bruno Latour,브뤼노 라투르
Nicolas Fouquet,니콜라 푸케
Jamel Debbouze,자멜 드부즈
Marcel Lefebvre,마르셀 르페브르
Julie-Marie Parmentier,쥘리마리 파르망티에
Paul Lévy,폴 피에르 레비
Stéphane Mbia,스테판 음비아
Vaudès,피터 발도
Marie-Antoine Carême,마리앙투안 카렘
Grégory Bourdy,그레고리 부르디
Michel Legrand,미셸 르그랑
Jean-Henri Fabre,장앙리 파브르
Alexandre Desplat,알렉상드르 데스플라
Bernard-Germain de Lacépède,베르나르제르멩 드 라세페드 백작
Michel-Richard de Lalande,미셸리샤르 드랄랑드
Félix Ioussoupov,펠릭스 유수포프
Adrienne Clostre,아드리엔 클로스트르
Charles Alexandre Dupuy,샤를 뒤퓌
Jean Metzinger,장 메챙제
Bakari Koné,바카리 코네
Romain Duris,로망 뒤리스
Jacques Santini,자크 상티니
Julien Benneteau,쥘리앵 베네토
Marius Trésor,마리위스 트레소르
Jean Leray,장 르레
Yves Colin de Verdière,이브 콜랭 드베르디에르
Karim Ziani,카림 지아니
Guillaume Hoarau,기욤 오아로
Alexandre-Théophile Vandermonde,알렉상드르테오필 방데르몽드
Jean-Baptiste Maunier,장바티스트 모니에
Jean-Charles Pichegru,샤를 피슈그뤼
Émile Clapeyron,에밀 클라페롱
Charles Garnier,샤를 가르니에
Emmanuel Chabrier,에마뉘엘 샤브리에
Albert Roussel,알베르 루셀
Algirdas Julien Greimas,알기르다스 줄리앙 그레마스
Didier Auriol,디디에 오리올
Charles-François Dumouriez,샤를 프랑수아 뒤무리에
Eugène-Henri Gravelotte,외젠 앙리 그라벨로트
Carlos Ghosn,카를로스 곤
Alberto Santos-Dumont,알베르토 산토스뒤몽
Modibo Keïta,모디보 케이타
Jacques Lefèvre d'Étaples,자크 르페브르 데타플
Pierre Fournier,피에르 푸르니에
Abel Gance,아벨 강스
Vincent d’Indy,뱅상 당디
René Clément,르네 클레망
Louis Charles Antoine Desaix,루이 샤를 앙투안 드제
Philippe Jaroussky,필리프 자루스키
Christine Albanel,크리스틴 알바넬
Pépin II d'Aquitaine,아키텐의 피핀 2세
Jean Galfione,장 갈피온
François Vatable,프랑수와 바타블
Charles Cros,샤를 크로
Léa Drucker,레아 드뤼케르
Catherine Mouchet,카트린 무셰
René II de Lorraine,르네 2세 드 로렌
Joseph Duval,조제프 뒤발
Sarah Biasini,사라 비아시니
Samantha Cristoforetti,사만타 크리스토포레티
Henri Moissan,앙리 무아상
Steven Nzonzi,스티븐 은존지
Bernard-Henri Lévy,베르나르앙리 레비
Henri Navier,클로드 루이 나비에
Benoît Pedretti,베누아 페드레티
Mathieu Amalric,마티외 아말릭
Grégory Saint-Géniès,그레고리 생제니에스
Yves Hélory de Kermartin,케르마르탱의 이보
Henri Konan Bédié,앙리 코낭 베디에
Rod Fanni,롯 파니
Corynne Charby,코린 샤르비
Christophe Jallet,크리스토프 잘레
Benoît Mandelbrot,브누아 만델브로
André Campra,앙드레 캉프라
Fromental Halévy,프로망탈 알레비
Pierre Moscovici,피에르 모스코비시
François-Christophe Kellermann,프랑수아 크리스토프 켈레르만
Dominique Visse,도미니크 비스
François-Henri de Montmorency-Luxembourg,뤽상부르 공작 프랑수아 앙리 드 몽모랑시
Luc Montagnier,뤽 몽타니에
François Fillon,프랑수아 피용
Jean Clouet,장 클루에
François Mansart,프랑수아 망사르
Anne de Montmorency,안 드 몽모랑시
Jean-Antoine de Baïf,장앙투안 드 바이프
Auguste Escoffier,오귀스트 에스코피
Michel Houellebecq,미셸 우엘베크
Jules Guesde,쥘 게드
Eugène Cavaignac,루이외젠 카베냐크
Eugène Labiche,외젠 라비슈
Sebastião Salgado,세바스티오 살가도(Sebastião Salgado)
Jan Ladislav Dussek,얀 라디슬라브 듀섹
Omar Sy,오마르 시
Alain Finkielkraut,알랭 핑켈크로트
François-Joseph Gossec,프랑수아조제프 고세크
Henri Ier de Lorraine,앙리 1세 드 기즈 공작
Sergueï Prokoudine-Gorski,세르게이 프로쿠딘고르스키
Henri Skiba,앙리 스키바
Françoise Barré-Sinoussi,프랑수아 바레 시누스
Mohamed Diamé,무하메드 디아메
Emmanuel Le Roy Ladurie,에마뉘엘 르 루아 라뒤리
Louise Colet,루이즈 콜레
Alexandre Brongniart,알렉상드르 브롱니아르
Maximilien de Béthune,쉴리 공작 막시밀리앵 드 베튄
Pierre Reverdy,피에르 르베르디
Bernard-Marie Koltès,베르나르마리 콜테스
François-Marie Raoult,프랑수아-마리 라울
Andreï Makine,안드레이 마킨
François Coppée,프랑수아 코페
Henry de Montherlant,앙리 드 몽테를랑
Tzvetan Todorov,츠베탄 토도로프
Madeleine Robinson,마델라인 로빈슨
Louis-Pierre Vieillot,루이 피에르 비에요
François de Malherbe,프랑수아 드 말레르브
Pierre Waldeck-Rousseau,피에르 발데크루소
Alain Connes,알랭 콘
Georges Sorel,조르주 소렐
Gilles de Rome,에지디우스 로마누스
Tino Rossi,티노 로시
André Claveau,앙드레 클라보
Jean-Michel Jarre,장미셸 자르
Hervé Bazin,에르베 바쟁
Honoré d'Urfé,오노레 뒤르페
Michel Sardou,미셸 사르두
Clotilde Courau,클로틸드 쿠로
Gabriel Fauré,가브리엘 포레
Bernard Lama,베르나르 라마
Léon Chestov,셰스토프
Yann Arthus-Bertrand,얀 아르튀스 베르트랑
Guy Mollet,기 몰레
Martin Fourcade,마르탱 푸르카드
Félix Gouin,펠릭스 구앵
Christophe Lambert,크리스토프 랑베르
Maurice Duverger,모리스 뒤베르제
Maurice Bourgès-Maunoury,모리스 부르제모누리
Augustin Thierry,오귀스탱 티에리
Jean Calas,칼라스 사건
Pierre Mignard,피에르 미냐르
Michèle Chardonnet,미셸 샤르도네
Modeste Mbami,모데스트 음바미
Alexandre Ribot,알렉상드르 리보
Raymond Forni,레몽 포르니
Maurice Jarre,모리스 자르
Berthe Morisot,베르트 모리조
Frédéric Piquionne,프레데리크 피키온
Mehdi Nafti,메디 나프티
Kevin Constant,케빈 콘스탕
Christian d'Oriola,크리스티앙 도리올라
Kévin Gameiro,케뱅 가메이로
Paul Sabatier,폴 사바티에
Moussa Sow,무사 소우
Ryad Boudebouz,리아드 부데부즈
M. Pokora,M. 포코라
Antoine Bourdelle,앙투안 부르델
Hamani Diori,하마니 디오리
Stacia Napierkowska,스타시아 나피에르코프스카
François-Xavier Ortoli,프랑수아그자비에 오르톨리
Ignace Joseph Pleyel,이그나스 조셉 플레엘
Guillaume Canet,기욤 카네
Martin Solveig,마르탱 솔베이그
Albin Lermusiaux,알뱅 레르뮈지오
Paul Scheuring,폴 쉐어링
Rio Mavuba,리오 마뷔바
Aïssa Maïga,아이사 마이가
Maurice Chevalier,모리스 슈발리에
Jules Bigot,쥘 비고
Yodelice,요델리스
Hamer Bouazza,아뫼르 부아자
Bruno Metsu,브뤼노 메취
Victor Grignard,빅토르 그리냐르
Éric Djemba-Djemba,에릭 젬바젬바
Marie Rivière,마리 리비에르
Jean-Paul Roussillon,장폴 루시용
Antoine Parmentier,안토엥 파르멩티에르
Souleymane Diawara,술레만 디아와라
Maurice-Quentin de La Tour,캉탱 드 라 투르
Rina Ketty,리나 케티
Pierre Mendès France,피에르 망데스 프랑스
Jean-Louis Trintignant,장루이 트린티냥
Maurice Barrès,모리스 바레스
Jean Martinon,장 마르티농
Gesaffelstein,게사펠슈타인
André-Jacques Garnerin,앙드레자크 가르느랭
Simone Signoret,시몬 시뇨레
Louis Franchet d'Espèrey,루이 프랑셰 데페레
Jules Hoffmann,율레스 호프만
Jeanne Moreau,잔 모로
Urbain Le Verrier,위르뱅 르베리에
James Tissot,제임스 티소
Louis Métezeau,무이 메트조
Lucien Gamblin,뤼시앵 강블랭
Jacques Pierre Brissot,자크 피에르 브리소
Yves Montand,이브 몽탕
Philippe Leroy,필립 르로이
Julien Lizeroux,쥘리앵 리즈루
Jean Picard,장 피카르
Ousmane Dabo,우스만 다보
Jules Renard,쥘 르나르
Luis Fernandez,루이스 페르난데스
Olivier Dacourt,올리비에 다쿠르
Auguste Perret,오귀스트 페레
Didier Six,디디에 시스
Hector Malot,헥토르 말로
Juan-David Nasio,후안다비드 나시오
Marion Bartoli,마리온 바르톨리
Edmond About,에드몽 아부
Ettore Bugatti,에토레 부가티
Constantin Balmont,콘스탄틴 발몬트
Jean Stablinski,장 스타블랭스키
Claude Chappe,클로드 샤프
Jean-Claude Brialy,장클로드 브리알리
Manuel Amoros,마뉘엘 아모로스
Christophe Riblon,크리스토프 리블롱
Jean Froissart,장 프루아사르
Jacques Audiard,자크 오디아르
Louis Garrel,루이 가렐
Norodom Ranariddh,노로돔 라나리드
Pierre Lescot,피에르 레스코
Philippe Noiret,필리프 누아레
Pierre Quinon,피에르 키농
Roger Excoffon,로제 엑스코퐁
René Char,르네 샤르
Fanny Ardant,파니 아르당
Jacques-Henri Bernardin de Saint-Pierre,베르나르댕 드 생피에르
Marc Isambart Brunel,마크 이점바드 브루넬
Henri Charrière,앙리 샤리에르
Pierrick Fédrigo,피에리크 페드리고
Jean-Paul Belmondo,장폴 벨몽도
Jean Yanne,장 얀
Frédéric Beigbeder,프레데릭 베그베데
Isabelle Huppert,이자벨 위페르
Camille du Locle,카미유 뒤 로클
Maurice Allais,모리스 알레
Georges Bernanos,조르주 베르나노스
Jason Lamy-Chappuis,자송 라미샤퓌
Pierre Richard,피에르 리샤르
Pierre Pelot,피에르 펠로
Alaixys Romao,알렉시스 로마오
Serge Lifar,세르주 리파르
Charles Boyer,샤를 부아예
Jean de La Bruyère,장 드 라브뤼예르
Théodore De Bèze,테오도르 드 베즈
Paul Masson,폴 마송
Maurice Blanchot,모리스 블랑쇼
Mimsy Farmer,밈시 파머
Julien Faubert,쥘리앵 포베르
Nicolas de Catinat,니콜라 카티나
Gérard Depardieu,제라르 드파르디외
Jacques Cassini,자크 카시니
Philippe Juvin,필리프 쥐뱅
Ludovic Butelle,뤼도비크 뷔텔
Alain Delon,알랭 들롱
César Baldaccini,세자르 발다치니
Colin Clive,콜린 클라이브
Jean Rochefort,장 로슈포르
Catherine Deneuve,카트린 드뇌브
Marcel Achard,마르셀 아샤르
Gabriel Tarde,가브리엘 타르드
Georges Boulogne,조르주 불로뉴
Emmanuelle Béart,에마뉘엘 베아르
Claude Brasseur,클로드 브라쇠르
Isabelle Adjani,이자벨 아자니
Laurent Lafforgue,로랑 라포르그
Paul Painlevé,폴 팽르베
Charles III de Monaco,샤를 3세
André Frossard,앙드레 프로사르
Joseph Bertrand,조제프 베르트랑
Louis-Joseph de Vendôme,방돔 공작 루이 조제프 드 부르봉
Carole Bouquet,카롤 부케
Louis René Édouard de Rohan,루이 드 로앙
Daniel Auteuil,다니엘 오퇴유
Annie Girardot,아니 지라르도
Guillaume Bigourdan,기욤 비구르당
Pierre-Narcisse Guérin,피에르나르시스 게랭
Hal Singer,핼 싱어
André Michelin,앙드레 미슐랭
Maine de Biran,멘드비랑
Juliette Binoche,쥘리에트 비노슈
John Berger,존 버거
André Bazin,앙드레 바쟁
Ingrid Chauvin,잉그리드 쇼뱅
Francis Thomé,프랑시스 토메
Didier Dinart,디디에 디나르
Michaël Guigou,미카엘 기구
Louis Poinsot,루이 푸앵소
Jean Casimir-Perier,장 카시미르-페리에
Jean-Marie Lehn,장마리 렌
Claude Sautet,클로드 소테
Luc Abalo,뤼크 아발로
Louis-Claude Daquin,루이-클로드 다캥
Sabine Azéma,사빈 아제마
Pierre Schaeffer,피에르 셰페르
Georges Boulanger,조르주 불랑제
Jan Guillou,얀 기유
Jacek Bąk,야체크 봉크
Maurice Leblanc,모리스 르블랑
Michel Serres,미셸 세르
Léon Brillouin,레옹 브릴루앵
Louis Jourdan,루이 주르당
Pascale Ogier,파스칼 오지에
Didier Ratsiraka,디디에 라치라카
Jacques Attali,자크 아탈리
Richard Cantillon,리처드 캉티용
Nathalie Baye,나탈리 바이
David d'Angers,다비드 당제
Théophile-Jules Pelouze,테오필쥘 펠루즈
Manu Dibango,마뉘 디방고
Roger Vadim,로제 바딤
Huguette Dreyfus,위게트 드레퓌스
Adolf Scherer,아돌프 스헤레르
Irène Joachim,이렌 요아힘
Roxana Maracineanu,록사나 머러치네아누
Claudia Cardinale,클라우디아 카르디날레
Pierre Charles Silvestre de Villeneuve,피에르 빌뇌브
Lucien Laurent,뤼시앵 로랑
Dominique Schnapper,도미니크 슈나페르
Emmanuelle Haïm,에마뉘엘 아임
Henri Duparc,앙리 뒤파르크
Alain Aspect,알랭 아스페
Marcel Dupré,마르셀 뒤프레
Philibert Tsiranana,필리베르 치라나나
Philippe de Broca,필립 드 브로카
Henri Camara,앙리 카마라
Louis d'Orléans,오를레앙 공작 루이
Étienne-Nicolas Méhul,에티엔 메윌
Bernard Hinault,베르나르 이노
Maurice Utrillo,모리스 위트릴로
Clément Marot,클레망 마로
Serge Haroche,세르주 아로슈
Philippe Starck,필리프 스타르크
Louis Ier de Bourbon-Condé,루이 1세 드 콩데 친왕
Geneviève de Galard,준비에브 드 갈라르
Catherine Fleury-Vachon,카테린 플뢰리
Jean-Georges Noverre,장 조르주 노베르
Tony Robert-Fleury,토니 로베르플뢰리
André Jolivet,앙드레 졸리베
Robert de Courtenay,로베르 드 쿠르트네
Patrice Leconte,파트리스 르콩트
Tony Estanguet,토니 에스탕게
Louis François de Boufflers,부플레르 공작 루이 프랑수아
Caribert II,하리베르트 2세
Rafik Djebbour,라피크 제부르
Sylvain Distin,실뱅 디스탱
Bernard Buffet,베르나르 뷔페
Gabriel Ramanantsoa,가브리엘 라마난초아
Charlotte Perriand,샬로트 페리앙
Mélanie Doutey,멜라니 두티
Séverine Caneele,세브린 카네일러
Benoît Cheyrou,베누아 셰이루
Louis-Gabriel Suchet,루이 가브리엘 쉬셰
Tristan Corbière,트리스탕 코르비에르
Amand-Joseph Fava,아르망조제프 파바
Isabelle Blanc,이자벨 블랑
Adolphe Messimy,아돌프 메시미
Hélène Rollès,엘렌 롤레스
Antoine-François Fourcroy,앙투안 프랑수아 푸르크루아
Jules Antoine Lissajous,쥘 리사주
Dominique Strauss-Kahn,도미니크 스트로스칸
Julie Manet,쥘리 마네
Luigi Lucheni,루이지 루케니
Jean-Dominique Bauby,장 도미니크 보비
Julie Delpy,줄리 델피
Guy Drut,기 드뤼
Micheline Presle,미셸린 프레슬
Barthélemy Aneau,바르텔레미 아노
Jean-Baptiste de Cavaignac,장바티스트 카베냐크
Cyril Jeunechamp,시릴 죈샹
