España,スペイン
Fútbol Club España de Barcelona,FCエスパーニャ
Benicasim,ベニカシム
Azpeitia,アスペイティア
Hoyos de Miguel Muñoz,オヨス・デ・ミゲル・ムニョス
Olván,オルバン
La Pobla de Lillet,ラ・ポブラ・ダ・リリェート
Codex Las Huelgas,ラス・ウエルガス写本
Universidad de Las Palmas de Gran Canaria Club de Fútbol,ウニベルシダ・デ・ラス・パルマスCF
Aranjuez,アランフエス
Pozuelo de Alarcón,ポスエーロ・デ・アラルコン
Orihuela,オリウエラ
Corcubión,コルクビョン
España en los Juegos Olímpicos de Tokio 1964,1964年東京オリンピックのスペイン選手団
España en los Juegos Olímpicos de México 1968,1968年メキシコシティーオリンピックのスペイン選手団
Mamá,ママン
levantamiento del 2 de Mayo,5月2日の反乱
Llubí,リュビー
Tranvía de Tenerife,テネリフェ・トラム
Don Benito,ドン・ベニート
Baeza,バエサ
Odieta,オディエタ
Campeonato Mundial de Natación de 2003,2003年世界水泳選手権
Reus,レウス
Anexo:Municipios de España por población,スペインの都市の一覧
puente de Alcántara,アルカンタラ橋
Oyón,オジョン＝オイオン
Aeropuerto de Sabadell,サバデイ空港
Hispania,ヒスパニア
Baracaldo,バラカルド
Escalante,エスカランテ
Vivero,ビベイロ
Saldes,サルデス (スペイン)
Gobierno de las Islas Baleares,バレアレス諸島政府
Capela,ア・カペーラ
Ferrol,フェロル
Eurocopa 1964,1964 欧州ネイションズカップ
Mondariz,モンダリス
Tarazona,タラソナ
Iberia,イベリア航空
Corralejo,コラレッホ
San Pedro de Ribas,サン・ペレ・デ・リベス
Estadio de La Condomina,エスタディオ・デ・ラ・コンドミーナ
Dos Hermanas,ドス・エルマーナス
Villanueva y Geltrú,ビラノバ・イ・ラ・ジャルトル
España en la Copa Mundial de Fútbol de 1998,1998 FIFAワールドカップスペイン代表
Calahorra,カラオラ
Baztán,バスタン
Cizur Menor,シスール・メノール
Escuela paisajística de Olot,ウロット・スクール
Vuelta a España 1989,ブエルタ・ア・エスパーニャ1989
Batalla del Bruch,エル・ブルークの戦い
Franja de Aragón,ラ・フランハ地方
Olivella,オリベラ
Ayerbe,アイェルベ
Arenas Club de Getxo,アレナス・クルブ・デ・ゲチョ
Arenas de San Pedro,アレーナス・デ・サン・ペドロ
Estadio de San Mamés,サン・マメス・バリア
Partido Popular,国民党
Benalmádena,ベナルマデナ
Móstoles,モストレス
Arnedo,アルネド
Candelaria,カンデラリア
Begas,ベガス (スペイン)
Castelldefels,カステイダフェルス
Cebreros,セブレーロス
Guernica y Luno,ゲルニカ
plaza de soberanía,プラサス・デ・ソベラニア
Martorell,マルトレイ
Cervelló,サルバリョー
SEAT S.A.,セアト
peseta,ペセタ
Lezuza,レスーサ
Pantaleu,パンタレウ島
Baza,バサ
turismo en España,スペインの観光
Olivenza,オリベンサ
Rivas-Vaciamadrid,リバス＝バシアマドリード
Benidorm,ベニドルム
Madrigueras,マドリゲーラス
El Prat de Llobregat,アル・プラ・ダ・リョブレガート
San Vicente del Raspeig,サン・ビセンテ・デル・ラスペイグ
Partido de la Ley Natural,自然法党
lituanos,リトアニア人
Medina Sidonia,メディナ＝シドニア
Campeonato Mundial de Natación de 1986,1986年世界水泳選手権
Lumbier,ルンビエル
Las Encartaciones,エンカルテリ
Golfo de Valencia,バレンシア湾
Cultural y Deportiva Leonesa,クルトゥラル・イ・デポルティーバ・レオネッサ
Las Rozas Club de Fútbol,ラス・ロサスCF
Guecho,ゲチョ
La Razón,ラ・ラソン (スペイン)
Peñón de Alhucemas,ペニョン・デ・アルセマス
Asociación de Amistad con Corea,朝鮮友好連盟
Desierto de los Monegros,モネグロス砂漠
Reus Deportiu,レウス・デポルティウ
Banco de Valencia,バレンシア銀行
Challenger de Sevilla,コパ・セビリア
Campos de Sport de El Sardinero,エスタディオ・エル・サルディネーロ
Estepona,エステポナ
Esplugas de Llobregat,アスプルガズ・ダ・リュブラガート
Gavá,ガバ (スペイン)
Metro de Madrid,マドリード地下鉄
Fuenterrabía,オンダリビア
Universiada de Verano 1999,1999年夏季ユニバーシアード
mar de Alborán,アルボラン海
Berja,ベルハ
Peñón de Vélez de la Gomera,ペニョン・デ・ベレス・デ・ラ・ゴメラ
Corbera de Llobregat,クルベーラ・ダ・リュブラガート
Cornellá de Llobregat,コルネリャー・デ・リョブレガート
Terremoto de Lorca de 2011,スペイン南部地震
río Artibai,アルティバイ川
Autovía del Guadiana,グアディアナハイウェイ（スペイン）
Estación de Guitiriz,ギティリス駅
Molins de Rey,ムリンス・ダ・レイ
Olesa de Montserrat,オレサ・デ・モントセラート
Calviá,カルビア
Mondragón,アラサーテ
Almendralejo,アルメンドラレッホ
Club Baloncesto Lucentum Alicante,CBルセントゥム・アリカンテ
Anexo:Medallero de los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックのメダル受賞数一覧
Andorra,アンドラ (スペイン)
San Andrés de la Barca,サン・アンドレウ・ダ・ラ・バルカ
San Baudilio de Llobregat,サン・ボイ・ダ・リュブラガート
Tour de Francia 2001,ツール・ド・フランス2001
Milagro,ミラグロ
Sobrado,ソブラード
Aeropuerto Madrid-Torrejón,マドリード＝トレホン空港
Fuengirola,フエンヒローラ
Primera División de España 1998/99,リーガ・エスパニョーラ1998-1999
Reino de Aragón,アラゴン王国
gastronomía de Andalucía,アンダルシア料理
dialecto andaluz,アンダルシア方言
Torrejón de Ardoz,トレホン・デ・アルドス
El Papiol,アル・パピオル
Pallejá,パリャジャー
La Palma de Cervelló,ラ・パルマ・ダ・サルバリョー
Príncipe de Viana,ビアナ公
Bergondo,ベルゴンド
Santa Coloma de Cervelló,サンタ・クローマ・ダ・サルバリョー
WOMAD,ウォーマッド
Fútbol Club Barcelona,FCバルセロナ
La Punta,ラ・プンタ
Andrach,アンドラッチ
Elizalde,エリザルド
Villanueva del Rosario,ビジャヌエバ・デル・ロサリオ
Eurocopa Sub-21 de 1996,UEFA U-21欧州選手権1996
Otero de Rey,オウテイロ・デ・レイ
San Vicente dels Horts,サン・ビセンス・ダルス・オルツ
Torrellas de Llobregat,トゥレーリャス・ダ・リュブラガート
San Clemente de Llobregat,サン・クリメン・ダ・リュブラガート
Marañón,マラニョン (スペイン)
Monasterio de Poblet,ポブレー修道院
Vélez-Málaga,ベレス＝マラガ
Torremolinos,トレモリーノス
Distrito Macarena,マカレナ
La Granja d'Escarp,ラ・グランハ・デスカルプ
San Feliú de Llobregat,サン・ファリウ・ダ・リュブラガート
Briones,ブリオネス
Viladecans,ビラダカンス
Badajoz,バダホス
Villaluenga de la Sagra,ヴィジャルエンガ・デ・ラ・サグラ
Alcobendas CF,アルコベンダスCF
Club Deportivo Villanueva,CDビジャヌエバ
La Palma,ラ・パルマ島
Almuñécar,アルムニェーカル
Fuerteventura,フエルテベントゥラ島
Mijas,ミハス
Batalla de Chiclana,バロッサの戦い
Mar de Cerdeña,サルデーニャ海
Copa de la Liga de España,コパ・デ・ラ・リーガ
Alburquerque,アルブルケルケ
Torrelavega,トレラベーガ
Universidad de Madrid,マドリード大学
El Ejido,エル・エヒド
Estella,エステーリャ
masía,マシア
Osuna,オスナ
Algeciras Club de Fútbol,アルヘシラスCF
Santo Domingo de la Calzada,サント・ドミンゴ・デ・ラ・カルサーダ
Sistema Ibérico,イベリコ山系
Langreo,ラングレオ
Santillana del Mar,サンティリャーナ・デル・マル
mar Balear,バレアレス海
Agencia Comunitaria de Control de la Pesca,欧州漁業管理機関
Centro Dramático Nacional,スペイン国立演劇センター
Club Esportiu Premià,プレミア・デ・マール
Campeonato Regional Centro,カンペオナート・レギオナル・セントロ
Alcalá de Guadaíra,アルカラ・デ・グアダイラ
Universidad Complutense,アルカラ大学 (歴史)
Sever,セベル川
Cáceres,カセレス
Campo de Mestalla,エスタディオ・デ・メスタージャ
Isla de S'Espalmador,エスパルマドール島
Alcoy,アルコイ
Cádiz,カディス
San Joan Despí,サン・ホアン・デスピ
San Justo Desvern,サン・ジュスト・ダスベルン
Denia,デニア
Vueling Airlines,ブエリング航空
León,レオン
Wamba,ワンバ
Jaén,ハエン
Rota,ロタ
Irún,イルン
estadio Alfredo Di Stéfano,エスタディオ・アルフレッド・ディ・ステファノ
Alcalá de los Gazules,アルカラ・デ・ロス・ガスレス
El Puerto de Santa María,エル・プエルト・デ・サンタ・マリア
Baños de la Encina,バニョス・デ・ラ・エンシーナ
Parque de Atracciones de Madrid,パルケ・デ・アトラクショーネス・デ・マドリード
Arceniega,アルツィニエガ
Puig Major,プッジ・マジョー
Ávila,アビラ
Salamanca,サラマンカ
Codex Calixtinus,カリクストゥス写本
Catedral de Santiago de Compostela,サンティアゴ・デ・コンポステーラ大聖堂
Segovia,セゴビア
Oasys MiniHollywood,ミニ・ハリウッド
Anexo:Balonmano en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックのハンドボール競技
Zamora,サモラ
Real Academia de la Lengua Vasca,エウスカルツァインディア
Bultaco,ブルタコ
Urola,ウロラ川
Spanair,スパンエアー
Reales Alcázares,アルカサル
CETME FR-7 / FR-8 CETMETON,セトメトン
Roquetas de Mar,ロケタス・デ・マル
Sa Talaia,サ・タラヤ
Frúniz,フルイス
Aranda de Duero,アランダ・デ・ドゥエロ
Romesco,ロメスク
Equipo de Copa Davis de España,デビスカップスペイン代表
Aeropuerto de Jerez,ヘレス空港
Línea de alta velocidad Perpiñán-Figueras,LGVペルピニャン-フィゲラス線
Falange Española de las JONS,ファランヘ党
geografía de España,スペインの地理
Primera División de España 2011/12,リーガ・エスパニョーラ2011-2012
Real Federación Española de Fútbol,スペインサッカー連盟
Estadio Vicente Calderón,エスタディオ・ビセンテ・カルデロン
Lepe,レペ
Castro Urdiales,カストロ・ウルディアレス
Meñaca,メニャカ
Segunda División B de España 1977/78,1977-78シーズン
Alp 2500,Alp 2500
Arrecife,アレシフェ
Lonja de la Seda,ラ・ロンハ・デ・ラ・セダ
Candanchú,カンダンチュ
Pronair,プロン・エア
Padrón,パドロン
Juegos Mediterráneos de 2018,2018年地中海競技大会
Rally Dakar de 2004,2004年ダカール・ラリー
Coca,カウカ
Cirauqui,シラウキ
Edificio España,エディフィシオ・エスパーニャ
Calatayud,カラタユー
Pico Almanzor,アルマンソール峰
Monasterio de San Miguel de Escalada,サン・ミゲル・デ・エスカラーダ修道院
Cabo Trafalgar,トラファルガー岬
Batalla de Gerona (1808),ジローナの戦い (1808年)
Mulhacén,ムラセン山
Puente Romano,メリダ・ローマ橋
Cochinillo de Segovia,セゴビア風仔豚の丸焼き
Estación de Aeroport T1,アエロポルトT1駅
Éibar,エイバル
Oñate,オニャティ
Barbastro,バルバストロ
Llanes,リャネス
Igualada,イグアラダ
Tolosa,トロサ
La Carolina,ラ・カロリナ
Catedral de Santa Cruz de Cádiz,カディス大聖堂
Arganda del Rey,アルガンダ・デル・レイ
gambas al ajillo,海老のアヒージョ
Zipota,シポータ
Real Monasterio de la Encarnación,ラ・エンカルナシオン王立修道院
Taifa de Granada,ズィーリー朝 (スペイン)
Jorba,ヨルバ
La Llacuna,ラ・リャクナ
Echevarría,エチェバリア (スペイン)
Urkulu,ウルクル
gastronomía de Asturias,アストゥリア料理
Vicálvaro,ビカルバロ
Festival Internacional de Cine de San Sebastián 1956,第4回サン・セバスティアン国際映画祭
Torralba del Río,トラルバ・デル・リオ
Incio,オ・インシオ
Bot,ボット
Masquefa,マスケファ
Pico Aneto,アネト山
moriscos,モリスコ
Oiasso,オイアッソ
Fuerzas Aéreas de la República Española,スペイン空軍
Piera,ピエラ
Comarca de Tierra de Caldelas,コマルカ・ダ・テーラ・デ・カルデーラス
Puente Genil,プエンテ・ヘニル
Bronchales,ブロンチャレス
Cuatro Torres Business Area,クアトロ・トーレス・ビジネス・エリア
Lucena,ルセーナ
Vilarrodona,ビラ＝ルドーナ
Novelda Clibros de Fútbol,ノベルダCF
Guadiela,グアディエーラ川
Guadarrama,グアダラーマ川
Jarama,ハラマ川
Villena,ビリェーナ
Ducado de Abrantes,アブランテス公爵
Ducado de Montblanch,モントブランク公
Valladolid Rugby Asociación Club,バリャドリッドRAC
Las Rozas de Madrid,ラス・ロサス・デ・マドリード
Casa Milá,カサ・ミラ
Cordillera Cantábrica,カンタブリア山脈
Valdeorras,バルデオーラス (DO)
Casa Amatller,アマトリェー邸
Orihuela Deportiva Club de Fútbol,オリウエラ・デポルティバCF
Arguineguín,アルギネグイン
Campeonato Europeo de Atletismo de 2010,2010年ヨーロッパ陸上競技選手権大会
Sanlúcar de Barrameda,サンルーカル・デ・バラメーダ
Cercanías Murcia/Alicante,セルカニアス・ムルシア/アリカンテ
Autovía del Suroccidente asturiano,アストゥリアス南西部の高速道路（スペイン）
Pico Cilindro,シリンドロ峰
Alquiza,アルキサ
Motril,モトリル
Batasuna,バタスナ
Batalla de Cabezón,カベソンの戦い
Selección de baloncesto de España,バスケットボールスペイン代表
Primera División de España 2009/10,リーガ・エスパニョーラ2009-2010
Las Meninas,ラス・メニーナス
Alcázar de los Reyes Cristianos,キリスト教徒の王たちのアルカサル
Premios Goya,ゴヤ賞
pelota vasca,バスク・ペロタ
Estación de Barceloneta,バルセロネータ駅
fartón,ファルトン
Legión Española,スペイン外人部隊
franquismo,フランキスモ
cetrería,鷹狩
Santa Margarida de Montbui,サンタ・マルガリーダ・デ・モントブイ
Ribadesella,リベセヤ
Vuelta a España 1945,ブエルタ・ア・エスパーニャ1945
Búger,ブジャル
Teatro Real,テアトロ・レアル
Madinat Al-Zahra,ザフラー宮殿
Solsona,スルゾーナ
Central nuclear de Vandellós,バンデリョス原子力発電所
Serie 104 de Renfe,レンフェ104系電車
Manzanares,マンサナーレス川
Tajuña,タフーニャ川
río Henares,エナレス川
Lozoya,ロソヤ川
Arzúa,アルスーア
Gran Premio de Europa de Motociclismo,ヨーロッパグランプリ
Park Güell,グエル公園
Estación de Santa Coloma,サンタ・コローマ駅
Diario 16,ディアリオ16
Vilaseca,ビラ＝セカ
Licor 43,リコール43
Club de Fútbol Villanovense,CFビジャノベンセ
Mujer y Pájaro,ドナ・イ・オセル（女性と鳥）
Medalla de Oro de la Generalidad de Cataluña,カタルーニャ州政府ゴールドメダル
Premio Internacional Cataluña,カタルーニャ国際賞
Unión por La Rioja,リオハ党
Hospital de la Santa Cruz y San Pablo,サン・パウ病院
Autopista AP-61,AP-61モーターウェイ（スペイン）
Palacio Episcopal de Astorga,アストルガ司教館
Junta Suprema Central,フンタ
oveja merina,メリノ種
Tour de Francia 2005,ツール・ド・フランス2005
Vuelta a España 1967,ブエルタ・ア・エスパーニャ1967
Sierra de Somosierra,ソモシエーラ山地
RCD Espanyol (fútbol femenino),RCDエスパニョール・フェメニーノ
Rute,ルーテ
Gran Premio de España de 1954,1954年スペイングランプリ
Aeropuerto de Menorca,メノルカ空港
Aeropuerto de Melilla,メリリャ空港
Alberche,アルベルチェ川
Tiétar,ティエタル川
Alagón,アラゴン川 (タホ川水系)
Universidad Complutense de Madrid,マドリード・コンプルテンセ大学
batalla de Las Navas de Tolosa,ナバス・デ・トロサの戦い
golpe de Estado en España de 1981,23-F
Monte Perdido,モン・ペルデュ
Estadio Nuevo Colombino,エスタディオ・ヌエボ・コロンビーノ
Montefrío,モンテフリオ
Tratado de los Pirineos,ピレネー条約
Torrevieja,トレビエハ
Tour de Francia 1966,ツール・ド・フランス1966
Comarca de Allariz - Maceda,コマルカ・デ・アジャリス＝マセーダ
Gran Premio de España de 1991,1991年スペイングランプリ
Moclín,モクリン
Gran Premio de España de 1993,1993年スペイングランプリ
Gran Premio de España de 1994,1994年スペイングランプリ
Cortes Generales,国会
Telescopio Nazionale Galileo,Nazionale Galileo望遠鏡
Jerez,シェリー
Gallo,ガーリョ川
Tour de Francia 2009,ツール・ド・フランス2009
elecciones municipales de España de 2007,2007年スペイン地方選挙
Universidad de Barcelona,バルセロナ大学
Gran Premio de España de 1987,1987年スペイングランプリ
Liga española de balonmano femenino,ディビシオン・デ・オノール・フェミニーナ・デ・バロンマノ
Manresa,マンレザ
Gran Premio de Europa de 2011,2011年ヨーロッパグランプリ
Serie 114 de Renfe,レンフェ114系
Gran Premio de Europa de 1994,1994年ヨーロッパグランプリ
Gran Premio de Europa de 1997,1997年ヨーロッパグランプリ
Gran Premio de España de 1992,1992年スペイングランプリ
Club Deportivo Tenerife,CDテネリフェ
Costa Brava,コスタ・ブラバ
La Cabrera,ラ・カブレーラ
Tierra de Lemos,コマルカ・ダ・テーラ・デ・レモス
Gran Premio de España de 1990,1990年スペイングランプリ
Costa del Sol,コスタ・デル・ソル
Corvera de Asturias,コルベラ・デ・アストゥリアス
Salor,サロール川
Almonte,アルモンテ川
Chanza,チャンサ川
Agrupación Deportiva Cerro de Reyes Badajoz Atlético,ADセロ・デ・レジェス
Atentados del 11 de marzo de 2004,スペイン列車爆破事件
Río Lea,レア川
La Vanguardia,ラ・バングアルディア
Mugía,ムシーア
Ariañy,アリアニー
Vuelta al País Vasco 2007,バスク一周2007
Ansoáin,アンソアイン/アンツォアイン
Vuelta a España 1962,ブエルタ・ア・エスパーニャ1962
Metrovalencia,メトロバレンシア
Gran Premio de España de 1998,1998年スペイングランプリ
Gran Premio de España de 1999,1999年スペイングランプリ
Cigüela,シグエラ川
Clásica San Sebastián 1991,クラシカ・サンセバスティアン1991
Aeropuerto de Palma de Mallorca,パルマ・デ・マヨルカ空港
Sociedad Deportiva Tenisca,SDテニスカ
Volta a Cataluña 2006,カタルーニャ一周2006
Sierra de Alcaraz,シエラ・デ・アルカラス
Ardila,アルディーラ川
Castellgalí,カステルガリー
Unión Deportiva Vecindario,UDベシンダリオ
Queso San Simón da Costa,サン・シモン・ダ・コスタ
Fuencarral-El Pardo,フエンカラル＝エル・パルド
Puertollano,プエルトリャノ
Copa Intercontinental 2000,インターコンチネンタルカップ2000
La 2,La 2
Búnker,ブンケル
Estudio General de Palencia,パレンシア大学
Cardona,カルドナ
Catedral de la Asunción de El Burgo de Osma,アスンシォン・デ・エル・ブルゴ・デ・オスマ聖堂
Gran Premio de España de 1988,1988年スペイングランプリ
Anexo:Campeonato Europeo Sub-16 de la UEFA 1999,UEFA U-16欧州選手権1999
Tibidabo,ティビダボ
Monistrol de Montserrat,ムニストロル・ダ・ムンサラート
San Sebastián de La Gomera,サン・セバスティアン・デ・ラ・ゴメラ
Montealegre del Castillo,モンテアレグレ・デル・カスティーリョ
pincho moruno,ピンチョ・モルノ
Club Deportivo Logroñés,CDログロニェス
Parque natural del Peñón de Ifach,ペニャル・ディファク自然公園
Jabalón,ハバロン川
río Guadalupe,グアダルーペ川
Zújar,スハル川
Castuera,カストゥエラ
Villar de Barrio,ビラール・デ・バリオ
Requejo,レケホ
España en el Festival de la Canción de Eurovisión Junior,スペインのジュニア・ユーロビジョン・ソング・コンテスト
Comarca del Eume,コマルカ・ド・エウメ
Accidente de Los Rodeos,テネリフェ空港ジャンボ機衝突事故
Cangas de Onís,カンガス・デ・オニス
Bandera de Canarias,カナリア諸島の旗
Copa América 2007 (regata),第32回アメリカスカップ
Záncara,サンカラ川
Matachel,マタチェル川
Mura,ムーラ
Itálica,イタリカ
embalse de Salime,サリメ貯水池
Orduña,ウルドゥニャ
Copa América 2010 (regata),第33回アメリカスカップ
Suria,スリア
Club Deportivo Coslada,CDコスラーダ
Río Deva,デバ川
Comarca de O Condado,コマルカ・ド・コンダード
Sallent de Llobregat,サジェン
Chocolate con churros,チョコラテ・コン・チュロス
Sopelana,ソペラ
Zoológico de Barcelona,バルセロナ動物園
Utebo,ウテーボ
Club Deportivo Laudio,CDラウディオ
Ondárroa,オンダロア
Orden de Alcántara,アルカンタラ騎士団
La Oliva,ラ・オリーバ
Gran Premio de España de 2005,2005年スペイングランプリ
Gran Premio de España de 2006,2006年スペイングランプリ
Primera División de España 1943/44,リーガ・エスパニョーラ1943-1944
Tour de Francia 1992,ツール・ド・フランス1992
Tarifa,タリファ
Caravaca de la Cruz,カラバカ・デ・ラ・クルス
Polanco,ポランコ
Muro,ムーロ
Bonicaire,トレパット
Base Aérea de Los Llanos,ロス・リャノス空軍基地
Gran Premio de España de 2001,2001年スペイングランプリ
Gran Premio de España de 2002,2002年スペイングランプリ
Rugby en España,スペインのラグビーユニオン
Gran Premio de España de 2003,2003年スペイングランプリ
catedral de Sevilla,セビリア大聖堂
Autovía de Málaga,マラガ・モーターウェイ（スペイン）
Gran Premio de España de 1996,1996年スペイングランプリ
distribución geográfica del idioma español,スペイン語圏
línea 6 del Metro de Madrid,マドリード地下鉄6号線
Gran Premio de España de 1995,1995年スペイングランプリ
Cabezón de la Sal,カベソン・デ・ラ・サル
Primera División de España 1997/98,リーガ・エスパニョーラ1997-1998
Primera División de España 1930/31,リーガ・エスパニョーラ1930-31
Deportivo Alavés,デポルティーボ・アラベス
embalse de El Atazar,エル・アタサール・ダム
Catedral de Santa María de Teruel,サンタ・マリア大聖堂 (テルエル)
Gran Premio de España de 2007,2007年スペイングランプリ
Ceberio,セベリオ
Dima,ディマ
Gallipienzo,ガリピエンソ/ガリペンツ
Olvera,オルベラ
San Fernando de las Rocas,サン・フェラン・デ・セス・ロカス
Gran Premio de España de 2011,2011年スペイングランプリ
Cózar,コサル
Villacañas,ビリャカニャス
matrimonio entre personas del mismo sexo en España,スペインにおける同性結婚
Trofeo Joan Gamper,ジョアン・ガンペール杯
Puigmal,プッチマル
Lorca Deportiva Club de Fútbol,ロルカ・デポルティーバCF
Panoramio,Panoramio
Zubizuri,スビスリ橋
Zuheros,スエロス
Pájara,パハラ
Mendata,メンダタ
Anexo:Atletismo en los Juegos Olímpicos de Barcelona 1992,1992年バルセロナオリンピックの陸上競技
Primera División de España 1944/45,リーガ・エスパニョーラ1944-1945
Estación de Alvarado,アルバラード駅
La Alpujarra,アルプハーラ
Bahía de Cádiz,カディス湾
Gran Premio Miguel Induráin,グラン・プレミオ＝ミゲル・インドゥライン
Estadio Reino de León,エスタディオ・レイノ・デ・レオン
Barrio Gótico,ゴシック
elecciones al Parlamento Europeo de 1999 en España,1999年欧州議会議員選挙
Plasencia,プラセンシア
Cotobad,コトバーデ
Torre Cepsa,トーレ・カハ・マドリッド
Zuya,スイア
Zumaya,スマイア
Santa Cristina de Lena,サンタ・クリスティーナ・デ・レーナ教会
Pedernales,スカリエタ
Deyá,デイア
Segunda batalla de Cape Finisterre,第二次フィニステレ岬の海戦
Escuela de segunda oportunidad,成人用第二教育校
Las Omañas,ラス・オマーニャス
Estación de Lugo,ルーゴ駅
Güeñes,グエニェス
Villamayor de Monjardín,ビリャマジョール・デ・モンハルディン
La Estrella,ラ・エストレージャ
Países Catalanes,カタルーニャ語圏
río Tinto,ティント川
Estadio de La Romareda,エスタディオ・デ・ラ・ロマレーダ
Juslapeña,フスラペーニャ
Barcheta,バルセタ
Palacio Güell,グエル邸
Gran Premio de la Comunidad Valenciana 2010,2010年のバレンシアグランプリ
Adiós,アディオス (スペイン)
Metrocentro,メトロ・セントロ
Guadaíra,グアダイラ川
Guadalimar,グアダリマール川
Corbones,コルボネス川
Jándula,ハンドゥラ川
Rubiana,ルビアー
Andarax,アンダラシュ川
Almanzora,アルマンソーラ川
Guadarrama,グアダラマ
Puertas,プエルタス
Catedral de Santa Eulalia de Barcelona,サンタ・エウラリア大聖堂
Puebla de Segur,ラ・ポブラ・デ・セグール
Club Polideportivo Ejido,ポリ・エヒド
Salou,サロウ
Irijo,オ・イリーショ
Club de Fútbol Damm,CFダム
Batalla de Munda,ムンダの戦い
Ciudad de las Artes y las Ciencias,芸術科学都市
Ampurdán,アンプルダー
Acueducto de Segovia,セゴビアの水道橋
Sociedad Deportiva Cultural San Antonio,SDCサン・アントニオ
Trienio Liberal,スペイン立憲革命
Segunda División de España 1997/98,1997-98シーズン
Aeródromo de Son Bonet,ソン・ボネー飛行場
Hoyo de Manzanares,オヨ・デ・マンサナーレス
Múgica,ムシカ
Odiel,オディエル川
Guadiana Menor,グアディアナ・メノール川
Guadajoz,グアダホス川
Genil,ヘニル川
Sociedad Deportiva Amorebieta,SDアモレビエタ
Bloque Obrero y Campesino,労働者・農民ブロック
Gran Premio de la Comunidad Valenciana,バレンシアグランプリ
Fútbol Club Barcelona,FCバルセロナ・フェメニ
Corral de Almaguer,コラル・デ・アルマゲール
Aeropuerto de Bilbao,ビルバオ空港
Oreja,オレシャ
Selección de fútbol de Asturias,サッカーアストゥリアス州代表
Comarca de Tabeirós - Tierra de Montes,コマルカ・デ・タベイロス＝テーラ・デ・モンテス
Torre de Hércules,ヘラクレスの塔
Villanueva de Gómez,ビジャヌエバ・デ・ゴメス
Panda Security,Panda Security
Universidad de Vigo,ビーゴ大学
batalla de Gibraltar,ジブラルタルの海戦
Real Oviedo Rugby,オビエドRC
Toques,トケス
Futsal Cartagena,FSカルタヘナ
Partido Obrero de Unificación Marxista,マルクス主義統一労働者党
Navia,ナビア
Ikurriña,イクリニャ
Metro de Barcelona,バルセロナ地下鉄
Pabellones Güell,グエル別邸
Palamós Club de Futbol,パラモスCF
Alcudia de Monteagud,アルクディア・デ・モンアグー
Oimbra,オインブラ
gastronomía del País Vasco,バスク料理
Bardenas Reales,バルデナス・レアレス
Racing Club de Madrid,ラシン・デ・マドリード
río Mundo,ムンド川
Guadalentín,グアダレンティン川
Guadix,グアディクス
Clasificación de AFC y OFC para la Copa Mundial de Fútbol de 1982,1982 FIFAワールドカップ・アジア・オセアニア予選
Primera División de España 2007/08,ラ・リーガ 2007-2008
Estadio de San Mamés (1913),サン・マメス
Tudela,トゥデラ
Línea de alta velocidad Madrid-Segovia-Valladolid,マドリード-バリャドリッド高速線
Malpica de Bergantiños,マルピカ・デ・ベルガンティーニョス
Medellín,メデリン
Peñafiel,ペニャフィエル
Estación de Valdecarros,バルデカロス駅
Bembézar,ベンベサル川
Río Viar,ビアール川
Guadalete,グアダレーテ川
Guadiaro,グアディアーロ川
Selección de rugby de España,ラグビースペイン代表
Sant Martí,サン・マルティー
Ándalus Líneas Aéreas,アンダルス航空
Teulada,テウラーダ (スペイン)
Sitio de Zaragoza (1809),サラゴッサ包囲戦
Segunda División de España 1998/99,1998-99シーズン
Álora,アロラ
Águilas,アギラス
San Adrián,サン・アドリアン (スペイン)
¡Basta Ya!,¡バスタ・ジャ!
Ámbito metropolitano de Barcelona,アンビト・マトルプリター・ダ・バルサローナ
Mezquita Basharat,バシャラト・モスク
Área Metropolitana de Barcelona,バルセロナ大都市圏
Foyos,フォイオス
georgianos,カルトヴェリ人
Air Comet,エア・コメット
María de la Salud,マリーア・ダ・ラ・サル
La Torre de Cabdella,ラ・トレ・デ・キャブレラ
Isona y Conca Dellá,イゾナ・イ・コンカ・デッヤ
Alto Pirineo y Arán,アルト・ピリネウ・イ・アラン
selección de fútbol de Cataluña,サッカーカタルーニャ代表
Ares,アーレス
lista de monarcas de Asturias,アストゥリアス王の一覧
Serie 432 de Renfe,レンフェ432系電車
Cordillera Prelitoral,カタルーニャ海岸山脈
Yurreta,イウレタ
Donamaría,ドナマリア
Taifa de Denia,デニア王国
Xacobeo Galicia,シャコベオ・ガリシア
Autovía de la Barranca,アウトビア・デ・ラ・バランカ（スペイン）
Tremp,トレム
Segura,セグラ川
La Bola,ア・ボーラ
Fanlo,ファンロ
Alto Aragón,アルト・アラゴン地方
Valcarlos,ルサイデ/バルカルロス
Estadio Heliodoro Rodríguez López,エスタディオ・エリオドロ・ロドリゲス・ロペス
Primera División de España 2008/09,リーガ・エスパニョーラ2008-2009
Aspar Team,アンヘル・ニエト・チーム
Serie 490 de Renfe,レンフェ490系電車
Baides,バイデス
Pollensa,ポリェンサ
Guadalhorce,グアダルオルセ川
Guadalmedina,グアダルメディーナ川
Guadalfeo,グアダルフェオ川
Adra,アドラ川
plaza de toros de La Malagueta,マラガ闘牛場
