Margareta Kozuch,マルガレーテ・コズーフ
Wojciech Kurtyka,ヴォイテク・クルティカ
Julia Hartwig,ユリア・ハルトヴィク
Harald Konopka,ハーラルト・コノプカ
Zenon Jaskuła,ゼノン・ヤスクワ
Zenon Grocholewski,ゼノン・グロコルゥスキー
Marek Kuchciński,マレク・クフチンスキ
Feliks Jasieński,フェリクス・ヤシェンスキ
Marcin Lewandowski,マルチン・レヴァンドフスキ
Agnieszka Rylik,アニエシュカ・リリック
Wojciech Szczęsny,ヴォイチェフ・シュチェスニー
Napoleon Cybulski,ナポレオン・キブルスキー
Agnieszka Duczmal,アグニェシュカ・ドゥチマル
Agnieszka Grochowska,アグニエシュカ・グロホウスカ
Ignacy Jan Paderewski,イグナツィ・パデレフスキ
Sławomir Peszko,スワヴォミル・ペシュコ
Aleksander Ścibor-Rylski,アレクサンドル・シチボル・リルスキ
Lucjan Rydel,ルシアン・リーデル
Stanisław Skalski,スタニスワフ・スカルスキ
Anton Grot,アントン・グロット
Jan Franciszek Czartoryski,ヤン・フランチシェク・チャルトリスキ
Agnieszka Graff-Osser,アニエスカ・グラフ
Piotr Świerczewski,ピオトル・シビエルチェフスキ
Ryszard Rumianek,ルィシャルト・ルミャネク
Icchok Lejb Perec,イツホク・レイブシュ・ペレツ
Wilhelmina Iwanowska,ヴィルヘルミナ・イヴァノフスカ
Nazım Hikmet,ナーズム・ヒクメット
Michał Drzymała,ミハウ・ドゥジマワ
Wacław Niżyński,ヴァーツラフ・ニジンスキー
Łeonid Krawczuk,レオニード・クラフチュク
Jerzy Dudek,イェジー・ドゥデク
Filip Jan Rymsza,フィリップ・ジャン・リムサ
Jerzy Makarczyk,イェジ・マカルチク
Janusz Franciszek Radziwiłł,ヤヌシュ・フランチシェク・ラジヴィウ
Ryszard Staniek,リシャルト・スタニエク
Maciej Słomczyński,マチェイ・スウォムチンスキー
Andrzej Kobylański,アンジェイ・コビランスキ
Mark Grudzielanek,マーク・グルジラネック
Anna Biedrzycka-Sheppard,アンナ・B・シェパード
Michał Przysiężny,ミハル・プシシェズニ
Oscar Lewicki,オスカル・レヴィツキ
Krzysztof Pawlak,クシシュトフ・パヴラク
Józef Epstein,ジョセフ・エプスタイン
Marcin z Opawy,オパヴァのマルティン
Jerzy Brzęczek,イェジー・ブジェンチェク
Anna Fotyga,アンナ・フォティガ
Feliks Rybicki,フェリクス・リビツキ
Oskar Kolberg,オスカル・コルベルク
Dan Marino,ダン・マリーノ
Wojciech Kowalczyk,ヴォイチェフ・コヴァルチク
Jacob Leib Talmon,J・L・タルモン
Piotr Nowak,ピョートル・ノヴァク
Agnieszka Radwańska,アグニエシュカ・ラドワンスカ
Alfred Tarski,アルフレト・タルスキ
Henryk Kowalczyk,ヘンリク・コヴァルチク
Dorota Rabczewska,ドロタ・ラプチェフスカ
Franciszek Starowieyski,フランチシェク・スタロヴィエイスキ
Mikołaj Kamieniecki,ミコワイ・カミェニェツキ
Wojciech Weiss,ヴォイチェフ・ヴァイス
Dorota Siudek,ドロタ・シュデク
Ryszard Bugajski,リーズザード・ブガージスキー
Moriz Rosenthal,モーリツ・ローゼンタール
Władysław Kowalski,キラー・コワルスキー
Tomasz Frankowski,トーマス・フランコフスキー
Antoni Macierewicz,アントニ・マチェレヴィチ
Leon Wyczółkowski,レオン・ヴィチュウコフスキ
Sebastian Świderski,セバスチャン・シフィデフスキ
Władysław Orkan,ヴワディスワフ・オルカン
Jan Karski,ヤン・カルスキ
Gerard Cieślik,ゲラルド・チェスリク
Rafał Kalinowski,ラファエル・カリノフスキー
Damien Perquis,ダミアン・ペルキ
Kazimierz Fajans,カジミール・ファヤンス
Artur Boruc,アルトゥール・ボルツ
Kayah,カヤー
Andrzej Gołota,アンドリュー・ゴロタ
Adam Małysz,アダム・マリシュ
Marta Fernández,マルタ・フェルナンデス
Konrad Tom,コンラッド・トム
Piotr Pustelnik,ピョトル・プステルニク
Sławomir Nitras,スワヴォミル・ニトラス
Piotr Szulkin,ピオトル・シュルキン
Tadeusz Banachiewicz,タデウシュ・バナヒェヴィッチ
Antoni Wit,アントニ・ヴィト
Andrzej Stelmachowski,アンジェイ・ステルマホフスキ
Franciszek Pieczka,フランチシェク・ピェチカ
Jan Wnęk,ヤン・ヴネンク
Dariusz Dziekanowski,ダリウシュ・ジェカノフスキ
Tomasz Adamek,トマシュ・アダメク
Antoni Zygmund,アントニ・ジグムント
Antoni Łaciak,アントニ・ワチアク
Antoni Łomnicki,アントニ・ウォムニツキ
Władysław Raginis,ヴワディスワフ・ラギニス
Maria Kaczyńska,マリア・カチンスカ
Felix Nussbaum,フェリックス・ヌスバウム
Antoni Piotrowski,アントニ・ピオトロフスキー
Antoni Szymanowski,アントニ・シマノフスキ
Łukasz Jarosz,ルーカス・ヤロス
Michał Kalecki,ミハウ・カレツキ
Wojciech Stattler,ヴォイチェフ・コルネリ・スタトレル
Maria Kwaśniewska,マリア・クファシニェフスキ
Urszula Sadkowska,ウルシュラ・サドコウスカ
Józef Cyrankiewicz,ユゼフ・シランキエウィッツ
Szymon Ziółkowski,シモン・ジョルコフスキ
Krystian Długopolski,K.ドルゴポルスキ
Paweł Edelman,パヴェル・エデルマン
Florian Znaniecki,フロリアン・ズナニェツキ
Piotr Woźniak,ピョトル・ヴォジニャク
Michel Schwalbé,ミシェル・シュヴァルベ
Wanda Jakubowska,ヴァンダ・ヤクボフスカ
Jerzy Fitelberg,イェジー・フィテルベルク
Antoni Słonimski,アントニ・スウォニムスキ
Roman Rozdolski,ロスドルスキー
Cesare Benedetti,チェーザレ・ベネデッティ
Filip Bednarek,フィリップ・ベドナレク
Rafał Grupiński,ラファウ・グルピニスキ
Ryszard Kapuściński,リシャルト・カプシチンスキ
Czesław Piątas,チェスワフ・ピョンタス
Violetta Villas,ヴィオレッタ・ヴィーラス
Piotr Wadecki,ピョートル・ワデッキ
Abraham Joshua Heschel,アブラハム・ヨシュア・ヘッシェル
Michał Urbaniak,マイケル・ウルバニアク
Joseph Rotblat,ジョセフ・ロートブラット
Carl Yastrzemski,カール・ヤストレムスキー
Waldemar Baszanowski,ヴァルデマル・バシャノフスキ
Józef Michał Poniatowski,ユゼフ・ミハウ・ポニャトフスキ
Jan Krenz,ヤン・クレンツ
Zofia Nałkowska,ゾフィア・ナウコフスカ
Janusz Sidło,ヤヌス・シドウォ
Zofia Posmysz,ゾフィア・ポスミシュ
Henryk Melcer-Szczawiński,ヘンリク・メルツェル＝シュチャヴィニスキ
Karolina Tymińska,カロリナ・ティミンスカ
Eugeniusz Baziak,エウゲニウシュ・バジャク
Biernat z Lublina,ルブリンのビェルナト
Piotr Brożek,ピョートル・ブロジェク
George Adamski,ジョージ・アダムスキー
Anna Langfus,アンナ・ラングフュス
Romuald Kłos,ロムアルド・クロス
Leopold Staff,レオポルト・スタッフ
Julian Stryjkowski,ユリアン・ストリーコフスキ
Paweł Mykietyn,パヴェウ・ムィキェティン
Karolina Michalczuk,カロリーナ・ミカルチェク
Marcin Urbaś,マルチン・ウルバス
Tomasz Brzyski,トマシュ・ブジスキ
Wojciech Fortuna,ヴォイチェフ・フォルトゥナ
Lew Rywin,レフ・ルィヴィン
Andrzej Buncol,アンジェイ・ブンツォル
Igor Mitoraj,イゴール・ミトライ
Władysław Taczanowski,ヴワディスワフ・タチャノフスキ
Mateusz Kowalczyk,マテウシュ・コヴァルチク
Michał Kwiatkowski,ミハウ・クヴィアトコヴスキ
Thiago Cionek,チアゴ・チョネク
Janina Fetlińska,ヤニナ・フェトリンスカ
Ewa Wiśniewska,エヴァ・ヴィスニエフスカ
Grażyna Bacewicz,グラジナ・バツェヴィチ
Agnieszka Holland,アニエスカ・ホランド
Tamara Łempicka,タマラ・ド・レンピッカ
Irena Szewińska,イレーナ・シェビンスカ
Natalia Gorbaniewska,ナタリヤ・ゴルバネフスカヤ
Jan Kaczmarek,ヤン・A・P・カチュマレク
Józef Kozłowski,オシプ・コズロフスキー
Jan Nagórski,ヤン・ナグルスキ
Alfred Józef Potocki,アルフレト・ユゼフ・ポトツキ
Anna Prucnal,アンナ・プリュクナル
Władysław Łuszczkiewicz,ウワディスワフ・ウシュチキェヴィチ
Karolina Wydra,カロリーナ・ヴィドラ
Joanna Bruzdowicz-Tittel,ヨアンナ・ブルズドヴィチ
Andrzej Ancuta,アンジェイ・アンクタ
Anna Podolec,アンナ・ポドレッツ
Beatrycze świdnicka,ベアトリチェ・シフィドニツカ
Piotr Celeban,ピオトル・セレバン
Frank Piasecki,フランク・パイアセッキ
Adam Fidusiewicz,アダム・フィドゥシェヴィチ
Jarosław Gowin,ヤロスワフ・ゴヴィン
Artur Sobiech,アルトゥル・ソビエフ
Jan Kasprowicz,ヤン・カスプロヴィチ
Leon Pinsker,レオン・ピンスケル
Andrzej Panufnik,アンジェイ・パヌフニク
Piotr Małachowski,ピオトル・マラチョフスキ
Martha Stewart,マーサ・スチュワート
Pola Negri,ポーラ・ネグリ
Izabella Scorupco,イザベラ・スコルプコ
Wiesław Woda,ヴィエスワフ・ヴォダ
Hugo Steinhaus,ヒューゴ・シュタインハウス
Nitrous Oxide,Nitrous Oxide (人名)
Ewa Demarczyk,エヴァ・デマルチク
Katarzyna Figura,カタジーナ・フィグラ
Ludwik Gross,ルドウィク・グロス
Kamila Skolimowska,カミラ・スコリモフスカ
Edyta Górniak,エディータ
Grzegorz Rasiak,グジェゴシュ・ラシャク
Leonard Buczkowski,レオナルド・ブチコフスキ
Maurycy Gottlieb,マウリツィ・ゴットリープ
Janusz Kierzkowski,ヤヌシュ・キエジュコヴスキ
Aleksander Gierymski,アレクサンデル・ギェルィムスキ
Halina Górecka,ハリナ・ゴレツカ
Tara Lipinski,タラ・リピンスキー
Basia,バーシア
Magdalena Tul,マグダレナ・トゥル
Paul Freier,パウル・フライアー
Wanda Rutkiewicz,ヴァンダ・ルトキエヴィチ
Tony Zale,トニー・ゼール
Robert Więckiewicz,ロベルト・ヴィエツキーヴィッチ
Kazimierz Sikorski,カジミェシュ・シコルスキ
Ewa Podleś,エヴァ・ポドレシ
Stanisław Zając,スタニフワフ・ザヨンツ
Mitch Kupchak,ミッチ・カプチャック
Jean Stablinski,ジャン・スタブリンスキ
Stanisław Skrowaczewski,スタニスワフ・スクロヴァチェフスキ
Barbara Janiszewska,バルバラ・ヤニシェフスカ
Marika Domińczyk,マリカ・ドミンチク
Paweł Zagumny,パベウ・ザグムニ
Marta Domachowska,マルタ・ドマホフスカ
Anna Jagiellonka,アンナ
Justyna Kowalczyk-Tekieli,ユスチナ・コヴァルチック
Konrad Niedźwiedzki,コンラット・ニエジビエズキ
Jerzy Iwanow-Szajnowicz,ジャージー・イワノウ・シャウノビッチ
Mirosław Justek,ミロスワフ・ユステク
Mark Zborowski,マルク・ズボロフスキ
Narcyza Żmichowska,ナルツィザ・ジミホフスカ
Jean Graczyk,ジャン・グラチィク
Anna Rogowska,アンナ・ロゴフスカ
Monika Pyrek,モニカ・ピレク
Marian Krzaklewski,マリアン・クシャクレフスキ
Krzysztof Komeda,クリストフ・コメダ
Tadeusz Szeligowski,タデウシュ・シェリゴフスキ
Antoni Zajkowski,アントニー・ザイコフスキー
Gintaras Steponavičius,ギンタラス・ステポナヴィチュス
Euzebiusz Smolarek,エウゼビウシュ・スモラレク
Tomasz Radzinski,トマシュ・ラジンスキ
Kinga Preis,キンガ・プレイス
Daria Werbowy,ダリア・ウェーボウィ
Halina Konopacka,ハリナ・コノパッカ
Juliusz Słowacki,ユリウス・スロワチク
Marek Kamiński,マレック・カミンスキー
Anna Walentynowicz,アンナ・ヴァレンティノヴィチ
Alice Miller,アリス・ミラー
Urszula Radwańska,ウルシュラ・ラドワンスカ
Richard Pipes,リチャード・パイプス
Marie Rambert,マリー・ランバート
Ida Haendel,イダ・ヘンデル
Elżbieta Krzesińska,エルジュビェタ・クシェシンスカ
Apollo Korzeniowski,アポロ・コジェニョフスキ
Kazimierz Bartel,カジミェシュ・バルテル
Janina Korowicka,ジャニナ・コロウィッカ
René Leibowitz,ルネ・レイボヴィッツ
Agata Mróz-Olszewska,アガタ・ムロズ
Christopher Ferguson,クリストファー・ファーガソン
Bronisława Niżyńska,ブロニスラヴァ・ニジンスカ
Anja Rubik,アンジャ・ルービック
Grzegorz Bodziana,グジェゴシ・ボジアナ
Grzegorz Zgliński,グレッグ・ズグリンスキー
Zygmunt Berling,ズィグムント・ベルリンク
Eugenia Umińska,エウゲニア・ウミンスカ
Szymon Pawłowski,シモン・パヴウォフスキ
Paweł Kieszek,パヴェウ・キェシェク
Krzysztof Lisek,クシシュトフ・リセク
Joanna Chmielewska,ヨアンナ・ケミレスカ
Mieczysław Surzyński,ミェチスワフ・スジニスキ
Tadeusz Ślusarski,タデウス・スルシャルスキー
Jacek Wszoła,ヤチェク・ウショラ
Józef Szmidt,ヨゼフ・シュミット
Jacek Malczewski,ヤチェク・マルチェフスキ
Stanisław Mazur,マズール
Zygmunt Krauze,ジグムント・クラウゼ
Artur Partyka,アルツール・パルティカ
Alicja Bachleda-Curuś,アリシア・バックレーダ
Jerzy Jeszke,ジェジー・ジェク
Bob Kurland,ボブ・カーランド
Jean Malaquais,ジャン・マラケ
Sandra Zaniewska,サンドラ・ザニエウスカ
Itzhak Stern,イツァーク・シュテルン
Nikodem Caro,ニコデム・カロー
Zygmunt Waliszewski,ズィグムント・ヴァリシェフスキー
Hanna Segal,スィーガル H.
Marian Pankowski,マリアン・パンコフスキ
Kornel Ujejski,コルネル・ウイェイスキ
Małgorzata Zajączkowska,マウゴジャータ・ザヤンチュコウスカ
Maja Ostaszewska,マヤ・オスタシェフスカ
Włodzimierz Zawadzki,ブロジミエシュ・ザバツキ
Wanda Wiłkomirska,ワンダ・ウィウコミルスカ
Monika Michalik,モニカ・ミハリク
Wojciech Karolak,ヴォイチェフ・カロラク
Nechama Tec,ネハマ・テク
Rafał Blechacz,ラファウ・ブレハッチ
Karolina Gruszka,カロリナ・グルツカ
Zygmunt Modzelewski,ジグムント・モゼレフスキ
Zygmunt Wróblewski,ジグムント・ヴルブレフスキ
James Pawelczyk,ジェームズ・パウェルチェイク
Marcin Kowalczyk,マルチン・コヴァルチク
Marcin Wasilewski,マルチン・ボシレフスキ
Marcin Robak,マルツィン・ロバク
Danuta Szaflarska,ダヌタ・シャフラルスカ
Marzena Karpińska,マジェナ・カルピニスカ
Helena Modrzejewska,ヘレナ・モジェスカ
Tadeusz Kasprzycki,タデウシュ・カスプジツキ
Zygmunt Mycielski,ジグムント・ミチェルスキ
Władysław Pasikowski,ヴワディスワフ・パシコフスキ
Krzysztof Meyer,クシシュトフ・メイエル
Joanna Fiodorow,ヨアンナ・フョドロフ
Halina Skibniewska,ハリナ・スキブニェフスカ
Dariusz Wosz,ダリウス・ボッシュ
Zygmunt Malanowicz,ジグムント・マラノウッツ
Władysław Komar,ウラディスラフ・コマル
Beata Poźniak,ベアタ・ポズニアック
Roman Opałka,ロマン・オパルカ
Elżbieta Czyżewska,エルジュビエータ（エリザベス）・チジェフスカ
Dorota z Mątowów,モンタウのドロテーア
Stefan Mazurkiewicz,ステファン・マズルキエヴィチ
Maciej Płażyński,マチェイ・プワジンスキ
Bronisław Huberman,ブロニスラフ・フーベルマン
Diana Karenne,ディアナ・カレン
Hanna Kulenty,ハンナ・クルエンティ
Włodzimierz Lindeman,ボロディミール・リンデマン
Tomasz Kłos,トマシュ・クウォス
Katarzyna Pawłowska,カタジィナ・パヴウォヴスカ
Jacek Krzynówek,ヤツェク・クジノヴェク
Mikołaj Kozakiewicz,ミコワイ・コザケヴィチ
Ivo Pękalski,イヴォ・ペカルスキ
Bolesław III Rozrzutny,ボレスワフ3世ロズジュトヌィ
Dariusz Michalczewski,ダリユシュ・ミハルチェフスキ
Aleksandra Natalli-Świat,アレクサンドラ・ナタリ＝シフィアト
Tomasz Merta,トマシュ・メルタ
Piotr Sobociński,ピョートル・ソボチンスキー
Krzysztof Miętus,クシシュトフ・ミエトゥス
Marek Kondrat,マレク・コンドラト
Juliusz Paweł Schauder,ユリウス・シャウダー
Marek Borowski,マレク・ボロフスキ
Eugeniusz Zak,オイゲニウス・ザク
Saul Wahl,サウル・ヴァール
Ludwik Silberstein,ルートヴィヒ・シルバーシュタイン
Mieczysław Fogg,ミェチスラフ・フォグ
Czesław Kiszczak,チェスワフ・キシチャク
Oskar Lange,オスカル・ランゲ
Zygmunt Puławski,ズィグムント・プワフスキ
Krzysztof Urbanski,クシシュトフ・ウルバンスキ
Józef Dowbor-Muśnicki,ユゼフ・ドヴブル＝ムシニツキ
Jan Rokita,ヤン・ロキタ
Marek Jurek,マレク・ユレク
Ewa Kopacz,エヴァ・コパチ
Jacques Rossi,ジャック・ロッシ
Joachim Halupczok,ヨアキム・ハルプチョフ
Jan Smeterlin,ヤン・スメテルリン
Kazimierz Kutz,カジミェシュ・クッツ
Henryk Reyman,ヘンリク・レイマン
Maria Liktoras,マリア・リクトラス
Danuta Lato,ダヌータ・ラト
Josef František,ヨゼフ・フランチシェク
Anna Gawrońska,アンナ・ガウロンスカ
Harry Haft,ハリー・ハフト
Tamara Gee,タマラ・ジー
Jarosław opolski,ヤロスワフ
Ludwika Paleta,ルドウィカ・パレタ
Michel Mirowski,ミッシェル・ミロースキー
Jan Zachwatowicz,ヤン・ザフファトヴィチ
Olga Sosnovska,オルガ・ソスノフスカ
Emil Młynarski,エミル・ムイナルスキ
Helena Rasiowa,ヘレナ・ラショーヴァ
Jadwiga Barańska,ヤドヴィガ・バランスカ
Olga Tokarczuk,オルガ・トカルチュック
Ludovic Obraniak,ルドヴィク・オブラニアク
Krzysztof Putra,クシシュトフ・プトラ
Jan Lenica,ヤン・レニツァ
Sebastian Tyrała,セバスティアン・ティラワ
Jakub Wujek,ヤクブ・ヴイェク
Janusz Kupcewicz,ユヌシュ・クプチェヴィチ
Kazimiera Iłłakowiczówna,カジミール・イワコヴィチュヴナ
Marika Popowicz-Drapała,マリカ・ポポヴィッチュ＝ドラパワ
Czesław Niemen,チェズロー・ニエメン
Luiza Złotkowska,ルイザ・ズウォトコフスカ
Dominika Paleta,ドミニカ・パレタ
Wiesław Maniak,ヴィエスワフ・マニアク
Łukasz Piątek,ウカシュ・ピョンテク
Krzysztof Skubiszewski,クシシュトフ・スクビシェフスキ
Elżbieta Dzikowska,エルジュビェタ・ジロースカ
Pinchas Lawon,ピンハス・ラボン
Grzegorz Fitelberg,グジェゴシュ・フィテルベルク
Michał Czajkowski,ミハウ・チャイコフスキ
Menachem Sawidor,メナヘム・サヴィドール
Chaïm Perelman,ハイム・ペレルマン
Natalia Kowalska,ナターリア・コヴァルスカ
Witold Urbanowicz,ヴィトルト・ウルバノヴィチ
Franciszek Gągor,フランチシェク・ゴンゴル
Audrys Juozas Bačkis,アウドリース・バチキス
Joanna Kaczor,ヨアンナ・カチョル
Andrzej Kazimierz Potocki,アンジェイ・カジミェシュ・ポトツキ
Stanisław Stomma,スタニスワフ・ストンマ
Józef Maria Bocheński,ユゼフ・マリア・ボヘンスキー
Joanna Sulej,ヨアンナ・スレイ
Fryderyk Jagiellończyk,フリデリク・ヤギェロンチク
Józef Ignacy Kraszewski,ユゼフ・イグナツィ・クラシェフスキ
Anna Jesień,アンナ・イェシェン
Henryk Hayden,アンリ・エダン
Tomasz Siemoniak,トマシュ・シェモニャク
Kazimierz Jerzy Oberfeld,カジミール・オベルフェルド
Leopold Zborowski,レオポルド・ズボロウスキー
Jan Thurzo,トゥルゾー・ヤーノシュ
Bruno Jasieński,ブルーノ・ヤセンスキー
Bruno Rodzik,ブリュノ・ロジック
Krystyna Podolska,クリスティナ・ポドルスカ
Józef Pankiewicz,ユゼフ・パンキエヴィッチ
Steve Bartkowski,スティーブ・バートコウスキー
Grażyna Gęsicka,グラジナ・ゲンシツカ
Karolina Sayn-Wittgenstein,カロリーネ・ツー・ザイン＝ヴィトゲンシュタイン
Ewa Sonnet,エヴァ・ソネット
Maria Szymanowska,マリア・シマノフスカ
Anna świdnicka,アンナ・シフィドニツカ
Natalia Partyka,ナタリア・パルティカ
Kornel Makuszyński,コルネル・マクシンスキ
Chamique Holdsclaw,チャミーク・ホールドスクロー
Charles Denner,シャルル・デネル
Erin Mielzynski,エリン・ミールジンスキ
Denis Urubko,デニス・ウルブコ
Leon Niemczyk,レオン・ニェムチック
Artur Żmijewski,アルトゥル・ジミイェフスキ
Franz Jakubowski,フランツ・ジャクボウスキー
Tomasz Smolarz,トマシ・スモラシ
Teresa Ciepły,テレサ・チェプラ
Anna Wierzbicka,アンナ・ヴェジビツカ
Roman Palester,ローマン・パレスター
Felicja Blumental,フェリシア・ブルメンタール
Andrzej Udalski,アンジェイ・ウダルスキ
Antoni Kątski,アントニ・コンツキ
Dobroniega Maria,ドブロネガ・ウラジミロヴナ
Jakub Wawrzyniak,ヤクブ・バブジニャク
Igor Newerly,イゴール・ネーヴェルリ
Shmuel Noah Eisenstadt,S・N・アイゼンシュタット
Liliana Komorowska,リリアナ・コモロウスカ
Marcelina Sembrich-Kochańska,マルツェラ・ゼンブリヒ
Izabela Jaruga-Nowacka,イザベラ・ヤルガ＝ノヴァツカ
Li Qian,リー・チェン
Grażyna Wolszczak,グラジナ・ヴォルスチャク
Ignacy Feliks Dobrzyński,イグナツィ・フェリクス・ドブジンスキー
Piotr Duda,ピョートル・ドゥダ
Joanna Pacuła,ジョアンナ・パクラ
Jadwiga Jędrzejowska,ヤドヴィガ・イェンジェヨフスカ
Izabella Miko,イザベラ・マイコ
Elżbieta Granowska,エルジュビェタ・グラノフスカ
Wanda Panfil-González,ワンダ・パンフィル
Jacek Dukaj,ヤチェク・ドゥカイ
Joanna Krupa,ジョアンナ・クルーパ
Abraham Stern,アヴラハム・シュテルン
Izabela Trojanowska,イザベラ・トローロフスカ
Leon Schiller,レオン・シレル
Ewa Kłobukowska,エワ・クロブコフスカ
Dorota Świeniewicz,ドロタ・シフィニェビッチ
Oswald Balzer,オスファルト・バルツェル
Barbara Kwiatkowska-Lass,バルバラ・ラス
Grażyna Rabsztyn,グラジナ・ラブシチン
Arkadiusz Rybicki,アルカディウシュ・ルィビツキ
Arkadiusz Skrzypaszek,アルカディウス・スクシパシェク
Marcin Borski,マルチン・ボルスキ
Stefan Rowecki,ステファン・ロヴェツキ
Janusz Zajdel,ヤヌシュ・ザイデル
Adam Boryczka,アダム・ボリチカ
Jerzy Edigey,イェジィ・エディゲイ
Paweł Szymański,パヴェル・シマヌスキ
Hilary Minc,ヒラリー・ミンク
Świętosława Swatawa,スヴァタヴァ・ポルスカー
Katarzyna Smutniak,カシア・スムトゥニアク
Jadwiga Wajsówna,ヤドヴィガ・ワイス
Kamil Stoch,カミル・ストッフ
Jerzy Szmajdziński,イェジ・シュマイジンスキ
Mateusz Klich,マテウシュ・クリヒ
Hubert Taczanowski,ヒューバート・タクザノウスキー
Katarzyna Bachleda-Curuś,カタジナ・バフレダ＝ツルシ
David Tarka,デヴィッド・ターカ
Jarosław Dąbrowski,ドンブロフスキー
Jan Tomaszewski,ヤン・トマシェフスキ
Jadwiga Jagiellonka,ヤドヴィガ・ヤギェロンカ
Apolinary Szeluto,アポリナリ・シェルト
Bogusław Schaeffer,ボグスワフ・シェッフェル
Leopold Infeld,レオポルト・インフェルト
Roman Maciejewski,ロマン・マチエイェフスキ
Magdalena Mielcarz,マグダレーナ・ミエルカーツ
Krystyna Janda,クリスティナ・ヤンダ
August Czartoryski,アウグスト・チャルトリスキ
Sara Frenkel,サラ・フレンケル
Wojciech Jerzy Has,ヴォイチェフ・イエジー・ハス
Maria Wodzińska,マリア・ヴォジンスカ
Sylwester Szmyd,スィルヴェステル・シュムィド
Hans Ziglarski,ハンス・ツィクラルスキ
Jan Czochralski,ジャン・チョクラルスキー
Bartosz Bereszyński,バルトシュ・ベレシンスキ
Kazimierz I cieszyński,カジミェシュ1世
Manfred Sakel,マンフレート・ザーケル
Małgorzata Szumowska,マルゴスカ・シュモウスカ
Manfred Lachs,マンフレッド・ラクス
Mieszko cieszyński,ミェシュコ1世
Karol Borsuk,カロル・ボルサック
Ignacy Friedman,イグナーツ・フリードマン
Dagmara Wozniak,ダグマラ・ウォズニアック
Danuta Wałęsa,ダヌタ・ヴァウェンサ
Marek Stachowski,マレク・スタホフスキ
Bella Darvi,ベラ・ダルヴィ
Jadwiga Łuszczewska,ヤドヴィガ・ウシュチェヴスカ
Zofia Holszańska,ゾフィア・ホルシャンスカ
Marek Stefański,マレク・ステファンスキ
Cyprian Godebski,ツィプリアン・ゴデプスキ
Szymon Laks,シモン・ラクス
Roman Cieślewicz,ロマン・シエスレヴィチ
Maja Włoszczowska,マヤ・ヴウォシュチョヴスカ
Jadwiga Jagiellonka,ヤドヴィガ・ヤギェロンカ
Kacper Kozłowski,カスペル・コズウォフスキ
Candice Dupree,キャンディス・デュプリー
Bronisław Malinowski,ブロニスワフ・マリノフスキ
Julian Marchlewski,ユリアン・マルフレフスキ
Władysław Czartoryski,ヴワディスワフ・チャルトリスキ
Ernst Stavro Blofeld,エルンスト・スタヴロ・ブロフェルド
Tadeusz Kantor,タデウス・カンター
Uri Orlev,ウーリー・オルレブ
Jerzy Kuryłowicz,イェジ・クリウォヴィチ
Włodzimierz Ledóchowski,ヴウォジミエシュ・レドゥホフスキ
Grzegorz Lato,グジェゴシ・ラトー
Anna Werblińska,アンナ・ヴェルブリンスカ
Hanna Gronkiewicz-Waltz,ハンナ・グロンキエビッチ・ワルツ
Wojciech Kowalewski,ヴォイチェフ・コヴァレフスキ
Daniel Olbrychski,ダニエル・オルブリフスキー
Maria Peszek,マリア・ペシェク
Jolanta Szymanek-Deresz,ヨランタ・シマネク＝デレシュ
Paweł Cieślik,パヴェウ・チエシリク
Arkadiusz Radomski,アルカディウシュ・ラドムスキ
Michał Kubiak,ミハウ・クビアク
Bohdan Winiarski,ボフダン・ヴィニャルスキ
Damian Janikowski,ダミアン・ジャニコースキー
Tadeusz Boy-Żeleński,タデウシ・ジェレニスキー
Henryk Zygalski,ヘンリク・ジガルスキ
Stanisława Celińska,スタニスワヴァ・チェリンスカ
Artur Żmijewski,アルトゥル・ジミイェフスキ
Andrzej Bartkowiak,アンジェイ・バートコウィアク
Piotr Morawski,ピオトル・モラフスキ
Lim Dong-Min,イム・ドンミン
Leon Sternbach,レオ・スターンバック
Icchak Kacenelson,イツハク・カッツェネルソン
Ryszard Wolny,リザルド・ボルニー
Tadeusz Brzozowski,タデウシュ・ブジョゾフスキ
Zbigniew Kaczmarek,ズビグニェフ・ヴァルデマール・カチュマレク
Ryszard Ronczewski,リシャルト・ロンチェフスキ
Witold Gombrowicz,ヴィトルド・ゴンブローヴィッチ
Jerzy Nowosielski,イェジー・ノヴォシェルスキ
Tadeusz Konwicki,タデウシュ・コンヴィツキ
Maciej Wierzbowski,マチェイ・ヴィエジュボフスキ
Feliks Milgrom,フェリックス・ミルグロム
Witold Woyda,ヴィトルト・ヴォイダ
Yehiel De-Nur,イェヒエル・デ・ヌール
Heinrich Kwiatkowski,ハインリヒ・クフィアトコフスキ
Arkadiusz Gołaś,アルカディウシュ・ゴアシュ
Martin Max,マルティン・マックス
César Ruminski,セザール・ルミンスキ
Klemens Murańka,ムランカ・クレメンス
Henryk Muszyński,ヘンリク・ムシンスキ
Jan Jarkowski,イワン・オシポビッチ・ヤルコフスキー
Marian Spychalski,マリアン・スピカルスキ
Małgorzata Braunek,マウゴジャータ・ブラウネック
Maja Komorowska,マヤ・コモロフスカ
Kamil Biliński,ビリンスキ
Justyna Steczkowska,ユスティナ・ステチュコフスカ
Mordechaj Gebirtig,モルデハイ・ゲビルティグ
Aleksander mazowiecki,アレクサンデル・マゾヴィエツキ
John Kosmina,ジョン・コスミナ
Władysław Starewicz,ラディスラフ・スタレヴィッチ
