Andrzej Wajda,アンジェイ・ワイダ
Janusz Szrom,ヤヌシュ・スローム
David Tarka,デヴィッド・ターカ
Krzysztof Wielicki,クシストフ・ヴィエリツキ
Stefan Grabiński,ステファン・グラビンスキ
Elie Nadelman,エリー・ナーデルマン
Kamil Stoch,カミル・ストッフ
Kazimierz Serocki,カジミェシュ・セロツキ
Anna Wierzbicka,アンナ・ヴェジビツカ
Dobroniega Maria,ドブロネガ・ウラジミロヴナ
Jakub Wawrzyniak,ヤクブ・バブジニャク
Denis Urubko,デニス・ウルブコ
Przemysław Niemiec,プジェムィスワフ・ニエミエツ
Magda Linette,マグダ・リネッテ
Benjamin Jekhowsky,ヴェニアミン・ジェコフスキー
Arkadiusz Radomski,アルカディウシュ・ラドムスキ
Sylwester Szmyd,シルヴェスタ・シュミット
Karolina Koszewska,カロリーナ・ウカシク
Izabella Miko,イザベラ・マイコ
Jadwiga Jędrzejowska,ヤドヴィガ・イェンジェヨフスカ
Joanna Pacuła,ジョアンナ・パクラ
Michał Kubiak (siatkarz),ミハウ・クビアク
Szymon Laks,シモン・ラクス
Artur Żmijewski (artysta),アルトゥル・ジミイェフスキ・(映画監督)
Maciej Bodnar,マツィエイ・ボドナル
Peter Geach,ピーター・ギーチ
Kazimierz Kmiecik,カジミェシュ・クミェチク
Jadwiga Jagiellonka (1457–1502),ヤドヴィガ・ヤギェロンカ・(1457-1502)
Jan Tomaszewski (piłkarz),ヤン・トマシェフスキ
Jadwiga Wajsówna,ヤドヴィガ・ワイス
Świętosława Swatawa,スヴァタヴァ・ポルスカー
Kasia Smutniak,カシア・スムトゥニアク
Tomasz Kuszczak,トマシュ・クシュチャク
Leon Sternbach (chemik),レオ・スターンバック
Eddie Slovik,エディ・スロヴィク
Jerzy Gorgoń,イェジィ・ゴルゴン
Władysław Żmuda (ur. 1954),ヴワディスワフ・ジュムダ
Piotr Nowakowski (siatkarz),ピヨトル・ノバコフスキ
Paweł Wszołek,パヴェウ・ヴショウェク
Robert Mateja,ロベルト・マテヤ
Stanisław Bobak,スタニスワフ・ボバク
Andrzej Bartkowiak (filmowiec),アンジェイ・バートコウィアク
Tadeusz Rut (lekkoatleta),タデウス・ルット
Kamil Kosowski (piłkarz),カミル・コソフスキ
Emanuel Ax,エマニュエル・アックス
Wojciech Fibak,ヴォイチェフ・フィバク
Józef Hofmann,ヨゼフ・ホフマン
Zygmunt Bohusz-Szyszko,ズィグムント・ボフシュ＝シシュコ
Elżbieta Granowska,エルジュビェタ・グラノフスカ
Anna Werblińska,アンナ・ヴェルブリンスカ
Grzegorz Lato,グジェゴシ・ラトー
Wanda Panfil-González,ワンダ・パンフィル
Bella Darvi,ベラ・ダルヴィ
Krzysztof Warzycha,クシシュトフ・ヴァジハ
Sławomir Idziak,スワヴォミール・イジャック
Ryszard Bolesławski,ルイシャルト・ボレスワフスキ
Ewa Kłobukowska,エワ・クロブコフスカ
Maja Włoszczowska,マヤ・ヴウォシュチョヴスカ
Jadwiga Jagiellonka (1513–1573),ヤドヴィガ・ヤギェロンカ・(1513-1573)
Egon Petri,エゴン・ペトリ
Marian Woyna Orlewicz,マリアン・ヴォイナ＝オルレヴィッツ
Stanisław Marusarz,スタニスワフ・マルサシュ
Grzegorz Krychowiak,グジェゴシュ・クリホビアク
Józef Mehoffer,ユゼフ・メホフェル
Mariusz Wach,マリウシュ・ヴァフ
Janusz Gajos,ヤヌシュ・ガヨス
Louis Marcoussis,ルイ・マルクーシ
Zofia Holszańska,ゾフィア・ホルシャンスカ
Hanna Krall,ハンナ・クラル
Matthias Ostrzolek,マティアス・オストルツォレク
Mieczysław Karłowicz,ミェチスワフ・カルウォーヴィチ
Aleksander Wielopolski,アレクサンデル・ヴィエロポルスキ
Juliusz Machulski,ジュリアス・マチュルスキ
Julian Fałat,ユリアン・ファワト
Michał Łasko,ミカル・ラスコ
Piotr Adamczyk,ピョートル・アダムチク
Marek Walczewski,マレック・ヴァルチェフスキ
Léon Glovacki,レオン・グロヴァツキ
Mariusz Wlazły,マリウシュ・ブラズウィー
Roman Totenberg,ロマン・トーテンベルク
Michał Rola-Żymierski,ミハウ・ロラ＝ジミェルスキ
Layvin Kurzawa,レイヴァン・クルザワ
Ludomir Różycki,ルドミル・ルジツキ
Bolesław I Wysoki,ボレスワフ1世ヴィソキ
Moïse Kisling,モイズ・キスリング
Tomasz Peta,トマシュ・ペタ
Lucjan Błaszczyk,ルシアン・ブラシュチック
Witold Gombrowicz,ヴィトルド・ゴンブローヴィッチ
Stefan Niementowski,ステファン・ニーメントウスキー
Szymon Szewczyk,シモン・シェブチック
Anna Jurkiewicz,アンナ・ユルキェビッチ
Elżbieta Chojnacka,エリーザベト・ホイナツカ
Arkadiusz Gołaś,アルカディウシュ・ゴアシュ
Chesty Morgan,チェスティー・モーガン
Milena Rosner,ミレナ・ロスネル
Roger Walkowiak,ロジェ・ワルコヴィアック
Elżbieta Jagiellonka (1482–1517),エルジュビェタ・ヤギェロンカ
Witold Małcużyński,ヴィトルト・マウツジンスキ
Roman Kosecki,ロマン・コセツキ
Mateusz Chruściński,マテウシュ・フルシチンスキー
Eric Piatkowski,エリック・パイカウスキー
Józef Kowalski (weteran),ユゼフ・コワルスキー
Leopold Trepper,レオポルド・トレッペル
Stefania Woytowicz,ステファニア・ヴォイトヴィチ
Roman Kozłowski,ロマン・コズロースキー
Stanisław Maczek,スタニスワフ・マチェク
Tomasz Marczyński,トマシュ・マルチィニスキ
Jan Żabiński,ヤン・ジャビンスキ
August Freund,アウグスト・フロイント
Andrzej Mostowski (matematyk),アンジェイ・モストフスキ
Krystyna Bochenek,クリスティナ・ボヘネク
Herkules Dembowski,エルコレ・デンボウスキー
Andrzej Munk,アンジェイ・ムンク
Józef Młynarczyk,ユゼフ・ムイナルチク
Andrzej Sekuła,アンジェイ・セクラ
Małgorzata Glinka-Mogentale,マウゴジャータ・グリンカ
Teresa Żylis-Gara,テレサ・ツィリス＝ガラ
Andrzej Śliwiński (duchowny),アンジェイ・スリヴィンスキ
Karol Kłos,カロル・クウォス
Miron (Chodakowski),ミロン・(ホダコフスキ)
Jan Kott,ヤン・コット
Andrzej Żuławski,アンジェイ・ズラウスキー
Aleksander Wat,アレクサンデル・ヴァット
Zbigniew Promiński,ズビグニェフ・ロバート・プロミンスキー
Łukasz Burliga,ウカシュ・ブルリガ
Władysław Hieronim Sanguszko,ヴワディスワフ・ヒェロニム・サングシュコ
Henryk Mikołaj Górecki,ヘンリク・グレツキ
Emilia Plater,エミリア・プラテル
Franciszek Gajowniczek,フランツィシェク・ガヨウィニチェク
Ladislao Kubala,ラディスラオ・クバラ
Edward Śmigły-Rydz,エドヴァルト・リッツ＝シミグウィ
Roger Guerreiro,ロジェール・ゲレイロ
Wacław Sierpiński,ヴァツワフ・シェルピニスキ
Anna German,アンナ・ゲルマン
Grzegorz Nowak (dyrygent),グジェゴシュ・ノヴァーク
Roman Haubenstock-Ramati,ローマン・ハウベンシュトック＝ラマティ
Przemysław Tytoń,プシェミスワフ・ティトン
Bartosz Salamon,バルトシュ・サラモン
Rafał Kubacki,ラファウ・クバツキ
Artur Noga,アルトゥル・ノガ
Ludwik Fleck,ルドヴィック・フレック
Andrzej Czajkowski,アンジェイ・チャイコフスキ
Mariola Zenik,マリオラ・ゼニク
Paulina Maj-Erwardt,パウリナ・マイ
Moshe Lewin,モーシェ・レヴィン
Michał Jerzy Poniatowski,ミハウ・イェジー・ポニャトフスキ
Jerzy Kukuczka,イェジ・ククチカ
Edward Gierek,エドヴァルト・ギェレク
Marek Plawgo,マレク・プワブゴ
Stanisław Wyspiański,スタニスワフ・ヴィスピャンスキ
Henryk Szeryng,ヘンリク・シェリング
Paweł Brożek,パヴェウ・ブロジェク
Tadeusz Kutrzeba,タデウシュ・クチシェバ
Aleksandra Śląska,アレクサンドラ・シュロンスカ
Dariusz Dudka,ダリウシュ・ドゥドゥカ
Józef Babiński,ジョゼフ・ババンスキー
Paul Konchesky,ポール・コンチェスキー
Władysław Kozakiewicz,ウワディスワフ・コザキエビッチ
Włodzimierz Lubański,ヴォジミエシュ・ルバンスキ
Bartosz Bosacki,バルトシュ・ボサツキ
Michał Żewłakow,ミハウ・ジェヴワコフ
Piotr Szełochonow,ピョートル・シェロホーノフ
Herschel Grynszpan,ヘルシェル・グリュンシュパン
Wanda Półtawska,ワンダ・プウタフスカ
Robert Korzeniowski,ロベルト・コジェニョフスキ
Maciej Żurawski,マチェイ・ジュラフスキ
Ignacy Mościcki,イグナツィ・モシチツキ
Elżbieta Kazimierzówna,エルジュビェタ・カジミェジュヴナ
Jakub Przygoński,ヤクブ・プルジゴンスキー
Samuel Eilenberg,サミュエル・アイレンベルグ
Marcin Wasilewski (piłkarz),マルチン・ヴァシレフスキ
Samuel Reshevsky,サミュエル・ハーマン・レシェフスキー
Mariusz Lewandowski,マリウシュ・レヴァンドフスキ
Aleksander Wolszczan,アレクサンデル・ヴォルシュチャン
Andrzej Sapkowski,アンドレイ・サプコフスキ
Stanisław Leśniewski (1886–1939),スタニスワフ・レシニェフスキ
Stanisław Mikołajczyk,スタニスワフ・ミコワイチク
Salomon Morel,サロモン・モレル
Maciej Lampe,マチェイ・ランペ
Jerzy Kosiński,ジャージ・コジンスキー
Abel Korzeniowski,アベル・コジェニオウスキ
Bronisław Czech,ブロニスワフ・チェフ
Jerzy Ficowski,イェジィ・フィツォフスキ
Artur Jędrzejczyk,アルトゥル・イェンドジェイチク
Aleksandra Jagieło,アレクサンドラ・ヤゲーロ
Wojciech Kilar,ヴォイチェフ・キラール
Maria Kalergis,マリア・カレルギス
Małgorzata Olejnik,マウゴジャータ・オレイニク
Weronika Rosati,ヴェロニカ・ロサティ
Robert Krawczyk,ロベルト・クラフチク
Maurycy Moszkowski,モーリッツ・モシュコフスキ
Jan Zumbach,ヤン・ズムバッハ
Katarzyna Gajgał-Anioł,カタジナ・ガイガウ
Stanisław Gąsienica-Daniel,スタニスワフ・ガシェニツァ
Adam Matuszczyk,アダム・マトゥシュチク
Witold Pilecki,ヴィトルト・ピレツキ
Rafał Murawski,ラファウ・ムラフスキ
Adam Ludwik Czartoryski,アダム・ルドヴィク・チャルトリスキ
Agata Witkowska,アガタ・ヴィトコフスカ
Agata Sawicka,アガタ・サビツカ
Jacek Bąk (ur. 1973),ヤツェク・ボンク
Mariusz Pudzianowski,マリウス・プッツナウスキー
Solomon Asch,ソロモン・アッシュ
Jakub Świerczok,ヤクブ・シュヴィルツォク
Stanisław Srokowski (geograf),スタニスワフ・スロコフスキ
Jerzy Spława-Neyman,イェジ・ネイマン
Władysław Podkowiński,ヴワディスワフ・ポドコヴィンスキー
Stanisław Kania,スタニスワフ・カニャ
Ireneusz Jeleń,イレネウシュ・イェレン
Bogusław VIII,ボギスラフ8世・(ポメラニア公)
Marcin Kamiński (piłkarz),マルチン・カミンスキ
Kamil Grosicki,カミル・グロシツキ
Dariusz Kuć,ダリウシュ・クーツ
Paweł Adamowicz,パベウ・アダモビッチ
Stanisław Drzewiecki,スタニスワフ・ジェヴィエツキ
Wadim Brodski,ヴァディム・ブロドスキー
Zbigniew Drzewiecki,ズビグニェフ・ジェヴィエツキ
Zuzanna Szwed,ズザンナ・シュフェト
Waldemar Legień,バルデマール・レジェン
Janusz Karweta,ヤヌシュ・カルヴェタ
Tadeusz Wroński,タデウシュ・ヴロンスキ
Wojciech Łuczak,ヴォイチェフ・ウチャク
Rudolf Dreszer,ルドルフ・ドレシェル
Jakub Słowik,ヤクブ・スウォビィク
Zuzanna Efimienko-Młotkowska,スザンナ・エフィミエンコ＝ムウォトコフスカ
Kazimierz Ajdukiewicz,カジミエシュ・アイドゥキエヴィチ
Balthus,バルテュス
Józef Turczyński,ユゼフ・トゥルチンスキ
Antoni Listowski,アントニ・リストフスキ
Bolesław Bronisław Duch,ブロニスワフ・ドゥフ
Robert Grzegorczyk,ロベルト・グジェゴルチク
Józef Kamiński (kompozytor),ユーゼフ・カミンスキ
Jan Henryk XV Hochberg książę von Pless,ハンス・ハインリヒ15世・フォン・ホッホベルク
Stanisław Flanek,スタニスワフ・フラネク
Bryan Rabello,ブライアン・ラベージョ
Mordechaj Anielewicz,モルデハイ・アニエレヴィッツ
Aleksander Jabłoński,アレクサンデル・ヤブロンスキー
Piotr Rytel,ピョートル・レイテル
Helena Rakoczy,ヘレナ・ラコチ
Sylwia Pycia,シルビア・ピチャ
Henryk Pachulski,ヘンリク・パフルスキ
Kazimierz Kord,カジミエシュ・コルト
Jan Niecisław Baudouin de Courtenay,ヤン・ボードゥアン・ド・クルトネ
Włodzimierz Smolarek,ヴォジミエシュ・スモラレク
Alfred Korzybski,アルフレッド・コージブスキー
Jerzy Grotowski,イェジー・グロトフスキ
Witold Maliszewski (kompozytor),ヴィトルド・マリシェフスキ
Jakub Gimpel,ヤコブ・ギンペル
Michał Dworzyński,ミハウ・ドヴォジンスキ
Krzysztof Komosa,クシシュトフ・コモサ
Ilona Senderek,イロナ・センデレク
Maciej Bernadowski,マチェイ・ベルナドウスキー
Zygmunt Dygat,ジグムント・ディガット
Aleksandra Żelichowska,アレクサンドラ・ジェリホフスカ
Tatiana Szebanowa,タチアナ・シェバノワ
Stefan Bibrowski,ステファン・ビブロフスキー
Mamed Chalidow,マメッド・ハリドヴ
Adam Bodzek,アダム・ボジェク
Michał Wojnicz,ウィルフリッド・ヴォイニッチ
Ben Sahar,ベン・サハル
Adam Jerzy Czartoryski,アダム・イエジィ・チャルトリスキ
Łukasz Kubot,ルカシュ・クボット
Łukasz Kruczek,ルカシュ・クルチェク
Agnieszka austriacka,アグネス・フォン・バーベンベルク
Agnieszka Bednarek-Kasza,アニエスカ・ベドナレク
Abe Coleman,エイブ・コールマン
Aleksandra Olgierdówna,アレクサンドラ・アルギルダイテ
Tadeusz Świątek (piłkarz),タデウシュ・シフィオンテク
Leon Ludwik Sapieha,レオン・ルドヴィク・サピェハ
Aleksander Zawadzki (przyrodnik),アレクサンデル・ザワズキー・(博物学者)
Paweł Kołodziej,パヴェウ・コウォジェイ
Franciszek Kleeberg,フランチシェック・クレーベルク
Janusz I Starszy,ヤヌシュ1世スタルシ
Stanisław Kopański,スタニスワフ・コパンスキ
Maciej Rybus,マチェイ・リブス
Adam Darski,アダム・ダルスキ
Marian Kukiel,マリアン・クキェル
Władysław Korczyc,ヴワディスワフ・コルチツ
Paul Merwart,ポール・メルワール
Władysław Bortnowski,ヴワディスワフ・ボルトノフスキ
Eleonora Dziękiewicz,エレオノーラ・ジェキェビッチ
Walery Eljasz-Radzikowski,ヴァレリー・エリャシュ＝ラジコフスキ
Kazimierz Deyna,カジミエシュ・デイナ
Jerzy Andrzejewski,イェジ・アンジェイェフスキ
Delfina Potocka,デルフィナ・ポトツカ
Adrian Basta,アドリアン・バスタ
Rubén Wolkowyski,ルーベン・ウォルコウスキー
Joanna Mirek,ヨアンナ・ミレツ
Marek Halter,マレク・アルテール
Izabela Bełcik,イザベラ・ベルチク
Irena Weissowa,イレーナ・ヴァイソワ
Katarzyna Kłys,キャサリン・クライス
Dorota Kędzierzawska,ドロタ・ケンジェルザヴスカ
Przemysław Domański,プシェミスワフ・ドマンスキー
Józef Zając (generał),ユゼフ・ザヨンツ
Błogosławiona Salomea,サロメア・(福者)
Izabela Kowalińska,イザベラ・コバリンスカ
Anna Rechnio,アンナ・レフニョ
Bartosz Białkowski,バルトシュ・ビャウコフスキ
Aneta Szczepańska,アネタ・シュチェパンスカ
Wincenty z Kielczy,キェルチャのヴィンツェンティ
Kazimierz Dąbrowski (psycholog),カジミェシュ・ドンブロフスキ
Gabriela Polańska,ガブリエラ・ポランスカ
Milena Sadurek,ミレナ・ラデツカ
Katarzyna Skowrońska,カタジナ・スコブロニスカ
Jan Klata,ヤン・クラタ
Magdalena Śliwa,マグダレナ・シリバ
Kasia Struss,カシア・ストラス
Hope Dworaczyk,ホープ・ドラーシク
Pierre Mankowski,ピエール・マンコウスキ
Jan Ekier,ヤン・エキエル
Igor Lewczuk,イゴール・レヴチュク
Joanna Hoffman,ジョアンナ・ホフマン
Joanna Kulig,ヨアンナ・クーリク
Jean Dybowski,ジャン・ディボフスキィ
Jan Mirosław Peszke,ジャン・ペスケ
Bolesław Pobożny,ボレスワフ・ポボジュヌィ
Krzysztof Soszyński,クシシュトフ・ソシンスキー
Małgorzata Dydek,マウゴジャータ・ディデック
Berenika Tomsia,ベレニカ・トムシア
Joanna Wołosz,ヨアンナ・ボロシュ
Katarzyna Skorupa,カタジナ・スコルパ
Katarzyna Zaroślińska-Król,カタジナ・ザロスリンスカ
Adam Ulam,アダム・ウラム
Barbara Hesse-Bukowska,バルバラ・ヘッセ＝ブコフスカ
Klaudia Kaczorowska,クラウディア・カチョロフスカ
Karolina Różycka,カロリナ・コセク
Karol Zalewski,カロル・ザレフスキ
Karol Hoffmann (ur. 1989),カロル・ホフマン
Stanisław Marcin Badeni,スタニスワフ・バデーニ
Maja Tokarska,マヤ・トカルスカ
Maciej Skorża,マチェイ・スコルジャ
Krystyna Czajkowska,クリスティーナ・チャイコフスカ
Rudolf Gundlach (inżynier),ルドルフ・グンドラフ
Katarzyna Rogowiec,カタジナ・ロゴヴィエツ
Icchak Cukierman,イツハク・ツケルマン
Edmund Roman Orlik,エドモンド・ローマン・オルリック
Władysław Pachulski,ヴワディスワフ・パフルスキ
Bartosz Domański,バルトシュ・ドマンスキー
Leonard Pietraszak,レオナルト・ピェトラシャク
Krzysztof Mączyński,クシシュトフ・モンチニスキ
Paweł Zatorski,パベウ・ザトルスキ
Beata Szydło,ベアタ・シドゥウォ
Tomasz Bagiński,トメック・バギンスキー
Angelika Cichocka,アンゲリカ・チホツカ
Aleksander Imich,アレクサンダー・イミック
Tadeusz Klimecki,タデウシュ・クリメツキ
Aleksander Lesser,アレクサンデル・レッセル
Joanna Agacka-Indecka,ヨアンナ・アガツカ＝インデツカ
Maciej Małkowski,マチェイ・マウコフスキ
Roman Abraham,ロマン・アブラハム
Jan Pogány,ヤン・ポガニー
Władysław Leon Sapieha,ヴワディスワフ・レオン・サピェハ
Joanna Wiszniewicz,ヨアンナ・ウィズニエヴィッツ
Sergiusz Żymełka,セルギウス・ジメルカ
Michał Głogowski (kickbokser),ミハウ・グロガフスキー
Maciej Cieplucha,マチェイ・チェプルハ
Jan Mościcki,ヤン・モシチツキー
Michał Gajownik,ミハウ・ガヨフニク
Regina Smendzianka,レギナ・スメンジャンカ
Stanisław Wisłocki,スタニスワフ・ヴィスウォツキ
Paweł Kochański,パウル・コハンスキ
Sylwia Nowak-Trębacka,シルヴィア・ノヴァク
Tadeusz Kruszelnicki,タデウス・クルシェルニツキ
Sebastian Kolasiński,セバスチアン・コラシンスキー
Mieczysław Boruta-Spiechowicz,ミェチスワフ・ボルタ＝スピェホヴィッチ
Stefan Dąb-Biernacki,ステファン・ドンプ＝ビェルナツキ
Wincenty Kowalski,ヴィンツェンティ・コヴァルスキ
Edmund Knoll-Kownacki,エドムント・クノル＝コヴナツキ
Agata Kryger,アガタ・クリゲル
Władimir Agapiejew,ウラジーミル・アガペーエフ
Alexandra Kamieniecki,アレクサンドラ・カミニッキー
Łukasz Teodorczyk,ウカシュ・テオドルチュク
Krystyna Klimczak,クルィスティナ・クリムチャク
Joanna Budner,ヨアンナ・ブドネル
Natalia Bamber-Laskowska,ナタリア・バンベル
Maria Wittek,マリア・ヴィッテク
Tadeusz Romer,タデウシュ・ロメル
Tadeusz Strugała (dyrygent),タデウシュ・ストゥルガワ
Karolina Styczyńska,カロリーナ・フォルタン
Karol Stryja,カロル・ストリヤ
Jarosław Wierczuk,ヤレック・ヴィエルチュク
Andrzej Fonfara (bokser),アンドルー・フォンファラ
Michał Buchalik,ミハウ・ブハリク
Marian Tałaj,マリアン・タワイ
Grzegorz Eitel,グジェゴシ・エイテル
Franciszek Jarecki,フランチシェク・ヤレツキ
Katarzyna Herman,カタジーナ・ヘルマン
Karol Linetty,カロル・リネティ
Jan Kazimierz Kruszewski,ヤン・クルシェフスキ
George Modelski,ジョージ・モデルスキー
Mieczysław Klimaszewski,ミェチスワフ・クリマシェフスキ
Halina Aszkiełowicz,ハリナ・アシュキエロビッチ
Halina Machulska,ハリナ・マチュルスカ
Onar (raper),オナル
Łukasz Skorupski,ウカシュ・スコルプスキ
Piotr Zieliński (piłkarz),ピオトル・ジエリンスキ
Krzysztof Wojdan,クリシュチフ・ウオイダン
Krzysztof Wiłkomirski,クシシュトフ・ヴィウコミルスキ
Krzysztof Głowacki (bokser),クシシュトフ・グウォヴァツキ
Janusz Pawłowski (judoka),ヤヌシュ・パヴウォフスキ
Agnieszka Korneluk,アグニェシュカ・コンコレフスカ
Krystyna Jakubowska,クリスティーナ・ヤクボフスカ
Yoshiho Umeda,梅田芳穂
Paweł Olkowski,パヴェウ・オルコフスキ
Rafał Janicki,ラファウ・ヤニツキ
Rafał Gikiewicz,ラファウ・ギキエヴィツ
Radosław Murawski,ラドスワフ・ムラフスキ
Leon Wójcikowski,レオン・ヴォイジコフスキ
Marek Kuczma,マレク・クチマ
Seweryn Michalski,セヴェリン・ミハルスキ
Marcin Held,マルチン・ヘルド
Xilent,Xilent
Sabina Wojtala,サビーナ・ヴォイタラ
Andrzej Duda,アンジェイ・ドゥダ
Tomasz Kędziora,トマシュ・ケンジオラ
Andrzej Fiedor,アンジェイ・フィエドル
Szymon Marciniak,シモン・マルチニアク
Tadeusz Żmudziński,タデウシュ・ジュムジンスキ
Barbara Świątek-Żelazna,バルバラ・シフィオンテク
Adam Józef Potocki,アダム・ユゼフ・ポトツキ
Bronisława Wójcik-Keuprulian,ブロニスワヴァ・ケウプルリャン＝ヴイチク
Tomasz Makowski (historyk),トマシュ・マコフスキ
Adam Andrzejewski (śpiewak),アダム・アンジェイェフスキ
Adam Adamczyk,アダム・アダムチク
Elżbieta Stefańska,エルジュビェタ・ステファンスカ
Antoni Reiter,アントニー・レイテル
Elżbieta Adamiak (piosenkarka),エルジュビェタ・アダミャク
Bogusława Olechnowicz,ボグスワヴァ・オレフノビッチ
Dominika Leśniewicz,ドミニカ・レスニェビッチ
Rafał Trzaskowski,ラファウ・トシャスコフスキ
Donatan,ドナタン
Grzegorz Łomacz,グジェゴシュ・ウォマチ
Dorota Osińska,ドロタ・オシンスカ
Tomasz Kowalski (judoka),トマシ・コヴァルスキ
Szymon Hołownia,シモン・ホウォヴニャ
Roman Suszko (logik),ロマン・スシュコ
Roman Lasocki,ロマン・ラソツキ
Tomasz Bednarczyk,トマシュ・ベドナルチク
Wiesław Błach,ヴィエスワフ・ブワフ
Tomasz Niewodniczański,トマシュ・ニェボードニーチャンスキー
Wojciech Reszko,ヴォイチェフ・レシェコ
Łukasz Borowicz,ウカシュ・ボロヴィチ
Witold Jabłoński (sinolog),ウィットルド・ヤブロンスキー
Wincenty Okoń,ウィンセンティ・オコン
Zdzisław Szostak,ズジスワフ・ショスタク
Witold Waszczykowski,ヴィトルト・ヴァシチコフスキ
Zbigniew Rau (prawnik),ズビグニェフ・ラウ
Łukasz Janik,ウカシュ・ヤニク
Zdzisław Jasiński,ズジスワフ・ヤシンスキ
Beata Maksymow,ベアタ・マクシモフ
Kazimierz Lubomirski,カジミェシュ・ルボミルスキ
Jan Błachowicz,ヤン・ブラホヴィッチ
Konstanty Andrzej Kulka,コンスタンティ・クルカ
Marcin Różalski,マーティン・ロザルスキー
Maksymilian Zimoląg,マクシミリアン・ツィモロング
Krzysztof Szpilman,クリストファー・W・A・スピルマン
Jacek Kaspszyk,ヤツェク・カスプシク
Leon Hufnagel,レオン・フフナゲル
Katarzyna Nowak (tenisistka),カタジナ・ノバク
Jadwiga Rodowicz-Czechowska,ヤドヴィガ・ロドヴィッチ
Małgorzata Bielak,マウゴジャータ・ビエラク
Filip Starzyński (piłkarz),フィリップ・スタジンスキ
Irit Amiel,イリット・アミエル
Jan Toporowski,ヤン・トポロフスキ
Jakub Bartkowski,ヤクブ・バルトコフスキ
Grażyna Dudek,グラジナ・ドゥデク
Grzegorz Heromiński,グジェゴシ・ヘロミンスキー
Jakub Popiwczak,ヤクブ・ポピフチャク
Leszek Starkel,レシェク・スターケル
Krzysztof Jotko,クリストフ・ヨトゥコ
Kaja Danczowska,カヤ・ダンチョフスカ
Marcin Janusz,マルチン・ヤヌシュ
Marcin Budkowski,マルシン・ブドコウスキー
Malwina Smarzek,マルヴィナ・スマジェク
Kamila Frątczak,カミラ・フラトチャク
Małgorzata Roszkowska,マウゴジャータ・ロシュコフスカ
Maciej Zakościelny,マチェイ・ザコシェルニー
Michał Radomił Wiśniewski,ミハウ・ラドミル・ヴィシニェフスキ
Paulina Kaczanow,マリアンナ・ロキータ
Paulina Kuczalska-Reinschmit,パウリナ・クチャルスカ＝ラインシュミット
Mateusz Morawiecki,マテウシュ・モラヴィエツキ
Maria Gontowicz,マリア・ゴントビッチ
Joanna Jędrzejczyk,ヨアナ・イェンジェイチック
Dawid Kownacki,ダヴィド・コフナツキ
Karolina Kowalkiewicz-Zaborowska,カロリーナ・コバケビッチ
Sebastian Bonecki,セバスティアン・ボネツキ
Krzysztof Kamiński (ur. 1990),クシシュトフ・カミンスキー
Katarzyna Połeć,カタジナ・ポウェチ
Ewa Pajor,エヴァ・パヨル
Natalia Kaliszek-Wąsik,ナタリア・カリシェク
Jan Bednarek (piłkarz),ヤン・ベドナレク
Filip Jagiełło,フィリップ・ヤギェウォ
Michał Helik,ミハウ・ヘリク
Marcin Tybura,マルチン・ティブラ
Adam Czerniaków,アダム・チェルニャクフ
Aleksandra Dranka,アレクサンドラ・ドランカ
Helena Sparrow,ヘレナ・スパロウ
Paweł Bochniewicz,パヴェウ・ボフニェヴィチ
Monika Gałkowska,モニカ・ガウコフスカ
Krystian Bielik,クリスティアン・ビエリク
Bartosz Kapustka,バルトシュ・カプストゥカ
Damian Kądzior,ダミアン・コンジョル
Rafał Augustyniak,ラファウ・アウグスティニアク
Krzysztof Charamsa,クシシュトフ・ハラムサ
Michał Walski,ミハウ・ヴァルスキ
Martyna Grajber-Nowakowska,マルティナ・グライベル
Przemysław Frankowski (piłkarz),プジェミスワフ・フランコフスキ
Mateusz Gamrot,マテウス・ガムロット
Aleksander Śliwka,アレクサンデル・シリフカ
Adam Buksa,アダム・ブクサ
Stanisław Kowalski (1910–2022),スタニスワフ・コワルスキー
Paweł Dawidowicz,パヴェウ・ダヴィドヴィチ
Michał Masłowski (piłkarz),ミハウ・マスウォフスキ
Bartłomiej Drągowski,バルトウォミェイ・ドロンゴフスキ
Mateusz Szwoch,マテウシュ・シュヴォフ
Mateusz Wieteska,マテウシュ・ヴィテスカ
Karol Świderski,カロル・シフィデルスキ
Ewa Piątkowska,エワ・ピアットコフスカ
Paweł Tarnowski (żeglarz),パヴェウ・タルノフスキ
Michał Cieślak (bokser),ミハル・チェスラック
Maciej Sulęcki,マチェック・スレッキ
Natalia Starr,ナタリア・スター
Babatunde Aiyegbusi,ババテュンデ・アエグブシ
Łukasz Żal,ウカシュ・ジャル
Agata Ozdoba-Błach,アガタ・オズドバ
Joanna Majdan (judoczka),ヨアンナ・マイダン
Natasha Starr,ナターシャ・スター
Magdalena Ogórek,マグダレナ・オグレク
Ewa Brodnicka,エワ・ブロドニッカ
Rafał Kurzawa,ラファウ・クルザワ
Cleo (piosenkarka),クレオ・(歌手)
Agnieszka Rejment,アニエスカ・レイメント
Maksym Spodyriew,マクシム・スポディレフ
Kamil Wojtkowski,カミル・ヴォイトコフスキ
Kamil Dankowski,カミル・ダンコフスキ
Hubert Hurkacz,フベルト・フルカチュ
Damian Szymański,ダミアン・シマンスキ
Tomasz Fornal,トマシュ・フォルナル
Jarosław Niezgoda,ヤロスワフ・ニェズゴダ
Maria Andrejczyk,マリア・アンドレイチク
