Tokyo,東京
Mibu,壬生町
Menuma,妻沼町
Meguro-ku,目黒区
Megi Shima,めぎじま
Matsuyama-shi,松山市
Matsuura Shi,マツウラシ
Matsutō-shi,松任市
Matsuzaka-shi,松阪市
Matsumoto Shi,マツモトシ
Matsue Shi,まつえし
Matsudo Shi,松戸市
Matsubase,松原
Matsubara-shi,松原市
Masuda Shi,ますだし
Maruoka,丸岡町
Kamimaruko,上丸子
Marugame Shi,まるがめし
Makurazaki Shi,まくらざきし
Maki,真木
Maizuru Shi,舞鶴市
Maebashi Shi,まえばしし
Machida Shi,町田市
Kyōto Shi,京都市
Kuwana-shi,桑名市
Kuwana-gun,桑名郡
Kusu-gun,玖珠郡
Kushimoto,串本町
Kushima Shi,串間市
Kushikino,串木野市
Kusatsu-shi,くさつし
Kusatsu,草津
Kurume Shi,くるめし
Kurobe Shi,黒部
Kurihashi,栗橋町
Kure-shi,呉市
Kuraten-gun,くらてぐん
Kurashiki Shi,くらしきし
Kunitachi Shi,国立市
Kunigami-gun,国頭郡
Kume Jima,くめじま
Kume-gun,久米郡
Kumano-shi,熊野市
Kumamoto Shi,くまもとし
Kuga Gun,玖珂郡
Kudamatsu Shi,くだまつし
Kudamatsu,下松
Koza-shi,コザ市
Kōza-gun,高座郡
Kōyu-gun,児湯郡
Tatsuno-shi,たつの市
Zushi,逗子
Zentsūji Shi,善通寺
Zama Shi,座間市
Yuzawa,湯沢町
Yuza,遊佐
Yukuhashi Shi,行橋市
Yūki Shi,結城市
Yūki-gun,ゆうきぐん
Yugawara,湯河原町
Yuasa,湯浅
Yoshino-gun,吉野郡
Yoshikawa,吉川
Yoshida-kasugachō,吉田春日町
Yosa-gun,与謝郡
Yorii,寄居
Yonaguni-jima,与那国島
Yonago Shi,米子
Yonabaru,与那原
Yokosuka Shi,横須賀市
Yokohama Shi,横浜市
Yokkaichi-shi,四日市市
Youkaichi,八日市市
Yazu-gun,やずぐん
Yatsushiro Shi,やつしろし
Yatsushiro-gun,やつしろぐん
Yatsuka-gun,やつかぐん
Yatomi-shi,弥富市
Yasugichō,安来町
Yasu-shi,野洲市
Yaotsu,八百津
Yao-shi,八尾市
Yanai Shi,ヤナイシ
Yanai,柳井
Yanagawa Shi,柳川市
Yame Shi,ヤメシ
Yame-gun,八女郡
Yamatotakada-shi,大和高田市
Yamato-shi,大和市
Yamatokōriyama-shi,大和郡山市
Yamazakichō-nakabirose,山崎町中広瀬
Yamanote,ヤマノテ
Yamanashi Shi,やまなしし
Yamanaka Ko,山中湖
Yama-gun,耶麻郡
Yamaguchi Shi,山口市
Yamagata-gun,山県郡
Yakage,矢掛町
Yaizu Shi,やいづし
Yaita Shi,やいたし
Yaeyama-gun,やえやまぐん
Yae-dake,屋久島
Yabu-shi,養父市
Watarai-gun,度会郡
Warabi-shi,蕨市
Wakō-shi,和光市
Wake,和気町
Wakayama Shi,わかやまし
Wajima Shi,輪島
Uwajima-shi,宇和島市
Utsunomiya Shi,宇都宮市
Uto Shi,うとし
Uto,宇土
Utazu,宇多津町
Usuki Shi,臼杵市
Ushibukamachi,牛深町
Usa Shi,うさし
Urasoe Shi,浦添市
Urayasu-shi,浦安市
Saitama-shi,さいたま市
Uozu Shi,うおづし
Unzen National Park,雲仙天草国立公園
Umi,宇美
Uji Shi,宇治市
Uenohara-shi,上野原市
Uenohara,上野原
Ueno-ebisumachi,上野恵美須町
Uekimachi-mōno,ウエキマチモウノ
Ueda Shi,上田
Uda-gun,宇陀郡
Ube Shi,宇部
Tsuyama Shi,津山市
Tsushima-shi,津島市
Tsushima,津島
Tsushima,対馬
Tsu-shi,津市
Tsuru Shi,つるし
Tsurusaki-shi,鶴崎市
Tsuruoka Shi,鶴岡市
Tsurugashima-shi,鶴ヶ島市
Tsuruga Shi,つるがし
Tsunō,都農町
Tsukumi-shi,津久見市
Tsukubo-gun,都窪郡
Tsubata,津幡
Tsubame Shi,燕市
Toyota-shi,とよたし
Toyota-gun,豊田郡
Toyooka Shi,豊岡
Toyokawa Shi,トヨカワシ
Toyoake Shi,豊明市
Toyama Shinkō,富山新港
Toyama Shi,富山
Tottori Shi,鳥取
Tosu Shi,鳥栖
Tosa-shimizu Shi,土佐清水市
Tosa Shi,土佐
Tosa-gun,とさぐん
Tonoshō,土庄町
Tondabayashi Shi,とんだばやしし
Tonami Shi,砺波
Tomioka-shi,富岡市
Tomigusuku-shi,豊見城市
Tomigusuku,豊見城
Tomata-gun,とまたぐん
Tokushima Shi,トクシマシ
Tokorozawa-shi,所沢市
Tokoname Shi,とこなめし
Toki Shi,ときし
Tōkamachi,十日町市
Tōkamachi-shi,十日町市
Tōkai Shi,トウカイシ
Tōkaidō,東海道
Tōhaku-gun,とうはくぐん
Togitsu,時津町
Toda-shi,戸田市
Toba-shi,鳥羽市
Toba,鳥羽
Tenri-shi,天理市
Tatsuno,辰野
Tatsunochō-tominaga,龍野町富永
Tateyama Shi,館山
Tarumizu Shi,垂水市
Tarui,垂井町
Tanzawa Ōyama Kokutei Kōen,丹沢大山国定公園
Tanuma,田沼町
Tano-gun,多野郡
Tanabe Shi,田辺市
Tanabe,田辺
Tama Shi,多摩市
Tamano Shi,玉野市
Tamana Shi,タマナシ
Tamana-gun,たまなぐん
Tamamura,玉村町
Taku Shi,多久市
Taketoyo,武豊町
Taketa Shi,竹田市
Takeo Shi,武雄市
Takeo,武雄市
Takehara-shi,竹原市
Takayama Shi,タカヤマシ
Takatsuki Shi,高槻
Takasaki Shi,たかさきし
Takasago Shi,たかさごし
Takarazuka Shi,宝塚市
Takaoka Shi,たかおかし
Takaoka-gun,たかおかぐん
Takanabe,高鍋町
Takamatsu Shi,高松
Takaishi Shi,タカイシシ
Takaishi,高石
Takahashi Shi,高梁市
Takahama,高浜町
Takahama,高浜
Taka-gun,たかぐん
Bungo-Takada-shi,高田
Tajimi Shi,多治見市
Taira,たいら
Tahara-shi,田原市
Tagawa Shi,田川
Tagawa-gun,たがわぐん
Tagata-gun,田方郡
Tadotsu,多度津町
Tachikawa Shi,立川市
Tachiarai,大刀洗町
Suzu Shi,珠洲
Suzuka-shi,鈴鹿市
Suzaka-shi,須坂市
Suzaka,須坂市
Suwa Shi,諏訪
Suwa Ko,諏訪湖
Suwa-gun,諏訪郡
Susono Shi,裾野市
Susaki-shi,須崎市
Suntō-gun,駿東郡
Sumoto,洲本
Sumida-ku,墨田区
Suita Shi,すいたし
Sugito,スギト
Suginami-ku,杉並区
Sōraku-gun,相楽郡
Soo Gun,曽於郡
Sōja,総社
Shōzu-gun,小豆郡
Shōbu,しょうぶ
Shizuoka Shi,静岡
Shirone,白根
Shiraoka-shi,白岡市
Shiraoka,しらおか
Shirahamachō-usazakiminami,白浜町宇佐崎南
Shirahama,白浜町
Shiozawa,塩沢町
Shioya-gun,塩谷郡
Shiojiri-shi,塩尻市
Shinshiro Shi,しんしろし
Shinjuku-ku,新宿区
Shinji Ko,宍道湖
Shingū Shi,新宮市
Shingū,新宮町
Shin’etsu,信越
Shinagawa-ku,品川区
Shimotsuma Shi,下妻
Shimotsuga-gun,しもつがぐん
Shimotakai-gun,下高井郡
Shimonoseki Shi,下関市
Shimoniikawa Gun,下新川郡
Shimominochi-gun,下水内郡
Shimoina-gun,下伊那郡
Shimoda-shi,下田市
Shimoda,下田
Shimo-agata-gun,下県郡
Shimminato-shi,新湊
Nishishinminato,西新湊
Shima-shi,志摩市
Shima,志摩市
Shiki-gun,しきぐん
Shijonawate,四條畷市
Shibuya-ku,渋谷区
Shibushi-shi,志布志市
Shibukawa-shi,渋川市
Shibata Shi,新発田市
Settsu Shi,せっつし
Seto-shi,瀬戸
Inland Sea,瀬戸内海
Setakamachi-takayanagi,瀬高町高柳
Seta-gun,せたぐん
Setagaya-ku,世田谷区
Sennan-gun,せんなんぐん
Seki-shi,関市
Sayō-gun,さようぐん
Sayama-shi,狭山市
Sawa-gun,さばぐん
Satte,さって
Satsuma Gun,さつまぐん
Sashima-gun,さしまぐん
Sasebo Shi,佐世保
Sasaguri,篠栗
Sarashina-gun,更級郡
San’yō Chihō,山陽地方
Santō-gun,三島郡
Sanjō Shi,さんじょうし
San’in Chihō,山陰地方
Saku Shi,佐久
Sakurai-shi,桜井市
Sakawa,佐川町
Sakata Shi,酒田
Sakaki,坂城
Sakai Shi,さかいし
Sakaiminato Shi,境港
Sakai-gun,坂井郡
Sakaide Shi,さかいでし
Sakai-nakajima,境中島
Sakai,境町
Sakado Shi,坂戸市
Saka,坂町
Saito Shi,さいとし
Saiko Lake,西湖
Saiki Shi,さいきし
Saijō Shi,西条市
Saihaku-gun,西伯郡
Saga Shi,佐賀市
Sagara,相良町
Sagamihara-shi,相模原市
Sado Shi,佐渡市
Sabae,鯖江
Ryōtsu-minato,両津湊
Rittō-shi,栗東市
Ōzu-shi,大洲市
Oyama Shi,小山市
Oyabe Shi,おやべし
Owase Shi,尾鷲市
Owase,尾鷲
Owariasahi-shi,尾張旭
Ōtsu-shi,大津市
Ōtsuki Shi,大月市
Ōtsuki,大月
Ōta-shi,太田市
Ōta-ku,大田区
Ōtake-shi,大竹市
Ōshima Shichō,大島支庁
Ōshima-gun,大島郡
Ōshima-gun,おおしまぐん
Osaka-shi,大阪市
Ōra-gun,邑楽郡
Mount Ontake,桜島
Onomichi-shi,尾道市
Ōnojō Shi,おおのじょうし
Ono,大野
Ōno-hara,大野原
Onna,恩納村
Onga-gun,おんがぐん
Ōmuta Shi,おおむたし
Ōmihachiman-shi,おうみはちまんし
Ōme-shi,青梅市
Omaezaki-shi,御前崎市
Ōmachi-shi,大町市
Ōkuchi-shinohara,大口篠原
Nakanougan Jima,中御神島
Okinoerabujima Island,沖永良部島
Okidaitō Jima,沖大東島
Okinawa Shi,沖縄市
Oki-gun,隠岐郡
Okegawa-shi,桶川市
Okazaki Shi,おかざきし
Okaya Shi,オカヤシ
Okayama Shi,岡山
Okaya,岡谷
Ōkawa-shi,大川市
Ōkawa,大川
Ojiya-shi,小千谷市
Ojiya,小千谷
Ōita-shi,大分市
Ōiso,大磯
Ōi-gun,大飯郡
Ogose,越生町　
Ogōri-shi,小郡市
Ogi Shima,男木島
Ōgimi,おおぎみ
Ogi-shi,小城
Ogawa,小川町
Oga-shi,おがし
Ogano,小鹿野
Oga Quasi National Park,男鹿国定公園
Ōgaki Shi,大垣
Odawara-shi,小田原市
Ōda Shi,大田
Oda-gun,おだぐん
Ōchi Gun,邑智郡
Ochi-gun,越智郡
Ōbu Shi,おおぶし
Obama-shi,小浜市
Nyūzen,入膳
Nyū-gun,丹生郡
Numazu-shi,沼津
Nukata-gun,ぬかたぐん
Nonoichi-shi,野々市市
Nonoichi,野々
Nomi Gun,のみぐん
Nojiri Ko,野尻湖
Nōgata,直方
Noda-shi,野田市
Nobeoka Shi,延岡市
Niwa-gun,丹羽郡
Nisshin-shi,日進市
Nishiyatsushiro-gun,にしやつしろぐん
Nishiwaki Shi,にしわきし
Nishiuwa-gun,西宇和郡
Nishi-tonami-gun,西礪波郡
Nishitama-gun,西多摩郡
Nishisonogi-gun,にしそのぎぐん
Nishio Shi,西尾市
Nishiokitama-gun,にしおきたまぐん
Nishinoomote Shi,西之表市
Nishinoomote,西之表
Nishinomiya Shi,西宮市
Nishimuro-gun,にしむろぐん
Kōtō-ku,江東区
Kōshoku-shi,更埴市
Koshigaya Shi,越谷市
Konan-shi,湖南
Kōrakuen,後楽園
Kōnan-shi,江南市
Komoro Shi,こもろし
Komono,菰野
Komatsushima Shi,こまつしまし
Komatsushimachō,小松島
Komatsu Shi,小松市
Komaki-shi,小牧市
Komaga Dake,越後駒ヶ岳
Komagane Shi,駒ヶ根市
Komae-shi,狛江市
Kokubunji Shi,国分寺市
Kōka-shi,甲賀市
Kojima Ko,児島湖　
Koga Shi,こがし
Koganei-shi,小金井市
Koga-shi,古賀市
Koga,古賀
Kōfu-shi,甲府
Kodamachō-kodamaminami,児玉町児玉南
Kodaira-shi,小平市
Kōchi Shi,高知市
Kōbe Shi,神戸
Kobayashi,小林
Kizugawa-shi,木津川市
Kiyose-shi,清瀬市
Kiyan Misaki,喜屋武岬
Kitsuki Shi,きつきし
Kitauwa-gun,北宇和郡
Kitatsuru-gun,きたつるぐん
Kitashitara-gun,北設楽郡
Kitasaku-gun,きたさくぐん
Kitamuro-gun,北牟婁郡
Kitamatsuura-gun,きたまつうらぐん
Kitakyushu-shi,北九州市
Kita-ku,北区
Kita-kawachi-gun,北河内郡
Kitakatsushika Gun,北葛飾郡
Kitakata-shi,喜多方市
Kitakambara-gun,きたかんばらぐん
Kita-gun,木田郡
Kita-gun,喜多郡
Kitagumma-gun,北群馬郡
Kitagata,北方町
Kitadaitō Jima,北大東島
Kitaazumi Gun,北安曇郡
Kitaadachi-gun,北足立郡
Kishiwada Shi,きしわだし
Kisai,騎西
Kin Misaki,金武岬
Kin,金武町
Kimitsu Shi,君津
Kinbō Zan,キンボウザン
Kikugawa-shi,菊川市
Kikuchi Shi,きくちし
Kikuchi-gun,菊池郡
Keise Shima,チービシ
Kazo-shi,加須市
Kawasaki-shi,川崎市
Kawasaki,川崎町
Kawara,香春
Kawanuma-gun,河沼郡
Kawanishi Shi,川西
Kawaminami,川南
Kawaguchi-shi,川口市
Kawaguchi-ko,河口湖
Kawagoe Shi,川越市
Kawachi-nagano Shi,河内長野
Kawachi-gun,かわちぐん
Kawanabe-gun,川辺郡
Katsuyama Shi,カツヤマシ
Katsuyama,勝山市
Katsuura Gun,かつうらぐん
Katsuta-gun,かつたぐん
Katsushika Ku,葛飾区
Katano Shi,交野市
Kasuya-gun,糟屋郡
Kasuga Shi,カスガシ
Kasugai-shi,春日井市
Kashiwazaki Shi,柏崎市
Kashiwara-shi,柏原市
Kashima,鹿島市
Kashiba-shi,香芝市
Kaseda-shirakame,加世田白亀
Kasaoka Shi,笠岡市
Kasaoka,笠岡
Kasamatsuchō,笠松町
Kariya Shi,刈谷市
Kanzakimachi-kanzaki,神埼町神埼
Kanuma Shi,かぬまし
Kanra-gun,かんらぐん
Kan’onji Shi,観音寺市
Kan’onjichō,観音寺町
Kannabechō-yahiro,神辺町八尋
Kani-gun,かにぐん
Kanie,蟹江町
Kani Shi,可児市
Kanekomachi,金古町
Kanda,苅田
Kanazawa-shi,金沢市
Kanaya,金谷町
Kamo Shi,かもし
Kamo Ko,加茂湖
Kamo-gun,かもぐん
Kamo-gun,賀茂郡
Kamo,加茂
Kamitsuga-gun,上都賀郡
Kamitakai-gun,かみたかいぐん
Kaminokawa,上三川
Kamiina-gun,かみいなぐん
Kamiichi,上市町
Kami-gun,香美郡
Kamigōri,上郡町
Kamifukuoka Shi,上福岡市
Kameyama,亀山
Kameoka Shi,亀岡市
Kameda-honchō,亀田本町
Kanbara,蒲原町
Kamakura Shi,鎌倉市
Kako-gun,加古郡
Kakogawa Shi,かこがわし
Kakamigahara Shi,各務原
Kajiki,加治木町
Kaizuka Shi,貝塚市
Kaizu-shi,海津市
Kaisō-gun,海草郡
Kainan Shi,海南市
Kaifu Gun,海部郡
Kahoku Gun,かほくぐん
Kaho-gun,嘉穂郡
Kagoshima Shi,鹿児島
Kagawa-gun,香川郡
Kaga Shi,加賀市
Kadoma Shi,門真市
Kadogawa,門川町
Kadena,嘉手納町
Jōyō Shi,城陽市
Jōetsu Shi,じょうえつし
Jinzai Ko,神西湖
Jinseki-gun,神石郡
Izumo Shi,出雲
Izumi Shi,和泉
Izumi Shi,出水市
Izumiōtsu Shi,泉大津市
Izumiōtsu,泉大津
Izumi,出水
Izena,いぜな
Iyo-gun,伊予郡
Iyo-shi,伊予市
Iwata Shi,磐田市
Iwakuni Shi,岩国
Iwafune-gun,岩船郡
Iwade,岩出
Itsukaichi,五日市町
Itoshima-gun,糸島郡
Itoman Shi,糸満
Ito-gun,いとぐん
Itano-gun,いたのぐん
Itami Shi,伊丹市
Itabashi-ku,板橋区
Ishikawa-gun,石川郡
Ishikawa,石川
Ishii,石井町
Ishige,石下町
Ishigaki-shi,石垣市
Ise-shi,伊勢市
Isesaki Shi,伊勢崎
Isehara Shi,伊勢原市
Isawa,石和町
Iruma-shi,入間市
Iruma-gun,入間郡
Inuyama-shi,犬山市
Ino,いの町
Innoshima,因島市
Inazawa-shi,稲沢市
Ina Shi,いなし
Inagi-shi,稲城市
Imizu Shi,射水市
Nikko-shi,日光市
Imadate-gun,今立郡
Ikoma-shi,生駒市
Ikoma-gun,いこまぐん
Iki Shi,いきし
Ikeda Shi,いけだし
Ikeda Ko,池田湖
Ikeda,池田
Ikedachō,池田町
Ika-gun,伊香郡
Iizuka Shi,いいづかし
Iiyama Shi,飯山
Iida Shi,飯田市
Iga-shi,伊賀市
Iejima Island,伊江島
Ichinomiya Shi,いちのみやし
Ichikawa Shi,市川市
Ibusuki Shi,いぶすきし
Ibusuki,指宿
Ibo-gun,揖保郡
Ibaraki Shi,いばらきし
Hyūga Shi,ひゅうがし
Hōya-shi,保谷
Hōryūji,斑鳩町
Honjō Shi,本庄市
Hōjōzu-gata,放生津潟
Hoi-gun,ほいぐん
Hofu Shi,防府
Hitoyoshi Shi,ひとよしし
Hita Shi,ひたし
Hiroshima-shi,広島市
Hiratsuka Shi,平塚市
Hiratachō,平田町
Hirakata Shi,枚方
Hino Shi,日野市
Hino Gun,日野郡
Hino,日野町
Himi Shi,氷見市
Himeji Shi,姫路
Hikone-shi,彦根市
Hiki-gun,比企郡
Hikari Shi,光
Higashiyamato Shi,東大和市
Higashiusuki-gun,東臼杵郡
Higashi-tonami-gun,東礪波郡
Higashitagawa-gun,東田川郡
Higashisonigi-gun,ひがしそのぎぐん
Higashiōsaka Shi,東大阪市
Higashimuro-gun,ひがしむろぐん
Higashi-murayama-shi,東村山市
Higashimatsuyama Shi,東松山市
Higashimatsuura-gun,東松浦郡
Higashikurume-shi,東久留米市
Higashi-kasugai-gun,東春日井郡
Higashikambara-gun,東蒲原郡
Higashihiroshima Shi,東広島市
Higashiharima Kō,東播磨港
Higashichikuma Gun,東筑摩郡
Hidaka-gun,日高郡
Hekinan Shi,へきなんし
Hazu-gun,幡豆郡
Hayashima,早島町
Hayama,葉山
Hatsukaichi-shi,廿日市市
Hatogaya Shi,鳩ヶ谷市
Hateruma Jima,波照間島
Hata-gun,はたぐん
Hasuda-shi,蓮田市
Hashimoto Shi,ハシモトシ
Hashima Shi,羽島
Hashima-gun,羽島郡
Haruna Ko,榛名湖
Hannō-shi,飯能市
Hannan Shi,阪南
Hanishina-gun,埴科郡
Handa Shi,半田市
Hamura-shi,羽村市
Hamana-gun,浜名郡
Hamamatsu Shi,浜松市
Hamada Shi,はまだし
Hakui Shi,羽咋
Hakone,箱根町
Haibara-gun,はいばらぐん
Haibara-akanedai,榛原あかね台
Hagi Shi,萩
Katsuren-haebaru,勝連南風原
Hadano-shi,秦野市
Hachijō Shichō,八丈支庁
Hachijō Jima,八丈島
Habikino-shi,羽曳野市
Gyōda Shi,行田市
Gōtsu Shi,江津市
Gōtsuchō,江津
Gotenba Shi,御殿場
Gose Shi,御所市
Gosen Shi,五泉
Gosen,五泉
Gojō-shi,五條市
Gōdo,神戸町
Gobō,御坊市
Ginza,銀座
Ginowan Shi,宜野湾市
Ginbaru-kunrenjō,ぎんばるくんれんじょう
Gifu Shi,岐阜
Gero-shi,下呂市
Gamō-gun,蒲生郡
Gamagōri Shi,蒲郡市
Fuwa-gun,不破郡
Futtsu Shi,ふっつし
Fussa Shi,福生市
Funabashi-shi,船橋市
Fukuyama Shi,福山
Fukuroi Shi,ふくろいし
Fukura,福良
Fukuoka-shi,福岡
Nishifukuma,西福間
Fukui-shi,福井市
Fukue Jima,福江島
Fukuchiyama Shi,福知山市
Fukiage-fujimi,吹上富士見
Fukaya-shi,深谷市
Fuji-yoshida Shi,ふじよしだし
Fuji Shi,富士
Fujisawa Shi,藤沢市
Fujioka,藤岡町
Fujinomiya Shi,富士宮市
Fujimi-shi,富士見市
Fujiidera-shi,藤井寺市
Fuji-gun,富士郡
Fujieda Shi,ふじえだし
Fuchū-shi,府中市
Fuchū-shi,府中市
Fuchūchō,府中
Enzan,塩山市
Ena-shi,恵那市
Edogawa Ku,江戸川区
Echi-gun,愛知郡
Ebino-shi,えびの市
Dazaifu-shi,太宰府市
Danjo Guntō,男女群島
Daitō Shi,大東
Chūzenji Ko,中禅寺湖
Chūō Ku,中央区
Chōfu-shi,調布市
Chizu,智頭町
Chiyoda-ku,千代田区
Chita Shi,ちたし
Chita-gun,知多郡
Chiryū Shi,ちりゅうし
Chino Shi,茅野
Chikushino-shi,筑紫野市
Chikushi-gun,筑紫郡
Chikujō-gun,ちくじょうぐん
Chikugo Shi,筑後市
Chiisakata-gun,小県郡
Chigasaki Shi,茅ケ崎市
Chichibu-gun,秩父郡
Nagato,長門
Ōsaki,大崎町
Kushima,串間
Seirō,聖籠町
Niji no Matsubara,虹の松原
Nishikamo-gun,西加茂郡
Amami Shi,奄美市
Hioki Shi,日置市
Ichiki-kushikino Shi,いちき串木野市
Isa Shi,伊佐
Kirishima Shi,霧島市
Minamikyushu Shi,南九州市
Minamisatsuma Shi,南さつま市
Satsuma-sendai Shi,薩摩川内市
Soo Shi,曽於
Izumi-gun,出水郡
Kagoshima-gun,鹿児島郡
Kimotsuki Gun,肝属郡
Kiyosu Shi,清須市
Aisai Shi,愛西市
Iwakura Shi,岩倉市
Kitanagoya Shi,北名古屋市
Takahama Shi,高浜
Toyohashi Shi,豊橋市
Kanzaki-gun,神崎郡
Mikata-gun,美方郡
Sumoto Shi,すもとし
Miki Shi,ミキシ
Ono Shi,小野市
Sanda Shi,サンダシ
Kasai Shi,かさいし
Tanba-Sasayama-shi,丹波篠山市
Tanba Shi,丹波
Minamiawaji Shi,みなみあわじし
Asago Shi,あさごし
Awaji Shi,淡路市
Shisō Shi,宍粟市
Katō Shi,かとうし
Aki-takata Shi,安芸高田市
Shōbara-shi,庄原市
Sera-gun,世羅郡
Kinuta Park,砧公園
Hitachi-ota,常陸太田
Rittō,栗東
Kurobe-shi,黒部新
Hamura,羽村市
Tonami,砺波
Kaga,加賀
Matsuura,松浦
Minami-Sōma,南相馬
Tarama,多良間
Sōma,相馬
Higashimatsushima,東松島
Kurihara,栗原
Izunokuni,伊豆の国
Kikugawa,菊川
Kosai,湖西
Higashiōmi-shi,東近江市
Kita-Akita,北秋田
Yamagata,山県
Kaizu,海津
Minamiuonuma,南魚沼
Uonuma,魚沼
Hannan,阪南
Moriya-shi,守谷市
Natori Shi,名取市
Tagajō Shi,多賀城市
Hitachinaka Shi,ひたちなか市
Inashiki Shi,稲敷市
Sakuragawa Shi,桜川市
Kumagaya Shi,熊谷市
Kasukabe Shi,春日部市
Ageo Shi,上尾市
Shiki Shi,志木市
Kisarazu Shi,木更津市
Yachimata Shi,八街市
Sabae Shi,鯖江市
Akiruno Shi,あきる野市
Hachiōji Shi,八王子市
Nishitōkyō-shi,西東京市
Kowataritai Kōen,小渡平公園
Kanoya Shi,鹿屋市
Karatsu Shi,唐津市
Moriguchi Shi,守口市
Itō Shi,いとうし
Kakegawa Shi,かけがわし
Kosai Shi,コサイシ
Isahaya Shi,諫早市
Mikasa-shi,みかさし
Buzen,豊前
Tokyo Tower,東京タワー
Akashi Kaikyō Bridge,明石海峡大橋
Chichibu Shi,秩父市
Hanyū Shi,羽生市
Sōka Shi,草加市
Kuki-shi,久喜市
Kitamoto Shi,北本市
Satte Shi,幸手市
Yoshikawa Shi,吉川市
Fujimino Shi,ふじみ野市
Bunkyō-ku,文京区
Taitō-ku,台東区
Toshima-ku,豊島区
Kodama-gun,児玉郡
Ōsato-gun,大里郡
Kitasaitama-gun,きたさいたまぐん
Zushi Shi,逗子市
Ebina,海老名市
Minamiashigara Shi,南足柄市
Yotsukaidō Shi,四街道市
Minamibōsō Shi,南房総市
Sōsa Shi,匝瑳市
Sanmu Shi,山武市
Isumi Shi,いすみ市
Ōamishirasato-shi,大網白里市
Yoshida Gun,吉田郡
Nanjō-gun,南条郡
Mikata-gun,三方郡
Mikatakaminaka-gun,三方上中郡
Ōno Shi,大野市
Awara-shi,あわら市
Echizen Shi,越前市
Sakai-shi,坂井市
Hakui Gun,羽咋郡
Hōsu Gun,鳳珠郡
Kashima Gun,鹿島郡
Nanao Shi,七尾市
Kahoku Shi,かほく市
Hakusan Shi,白山市
Nomi Shi,能美市
Minamikanbara-gun,南蒲原郡
Kitaōnuma-gun,北魚沼郡
Minamiōnuma-gun,南魚沼郡
Nakaōnuma-gun,中魚沼郡
Kariwa-gun,刈羽郡
Aikō-gun,愛甲郡
Murakami Shi,村上市
Itoigawa Shi,糸魚川市
Agano Shi,阿賀野
Uonuma Shi,魚沼
Minamiuonuma Shi,南魚沼市
Tainai Shi,胎内
Gotō Shi,五島市
Hirado Shi,平戸市
Minamishimabara Shi,南島原市
Ōmura Shi,大村市
Saikai Shi,西海
Shimabara Shi,しまばらし
Tsushima Shi,対馬市
Unzen Shi,雲仙市
Ibi-gun,揖斐郡
Ōno Gun,大野郡
Yōrō-gun,養老郡
Gujō Shi,郡上市
Hida Shi,飛騨市
Mino Shi,美濃市
Mizuho Shi,瑞穂市
Motosu Shi,本巣市
Yamagata Shi,山県市
Asakura Shi,朝倉市
Fukutsu Shi,福津
Kama Shi,かまし
Maebaru-shi,前原市
Miyama Shi,みやま市
Miyawaka Shi,宮若市
Nōgata Shi,直方市
Ukiha Shi,うきは市
Gobō Shi,御坊市
Iwade Shi,イワデシ
Kinokawa Shi,紀の川市
Igu-gun,伊具郡
Kami-gun,加美郡
Oshika Gun,牡鹿郡
Tōda Gun,遠田郡
Watari-gun,亘理郡
Higashimatsushima Shi,東松島市
Kakuda Shi,角田市
Ōsaki Shi,大崎市
Higashine Shi,東根
Obanazawa Shi,尾花沢市
Akumi-gun,飽海郡
Kitamurayama-gun,北村山郡
Tendō Shi,天童市
Futaba-gun,双葉郡
Higashishirakawa-gun,東白川郡
Ishikawa-gun,石川郡
Iwase-gun,岩瀬郡
Nakatsugaru Gun,中津軽郡
Hirakawa Shi,平川市
Misawa Shi,三沢市
Tsugaru Shi,つがる市
Iwate-gun,岩手郡
Nishiiwai Gun,西磐井郡
Shimohei-gun,下閉伊郡
Hachimantai Shi,八幡平市
Ōshū-shi,奥州市
Rikuzentakata-shi,陸前高田市
Ogachi-gun,雄勝郡
Daisen-shi,大仙市
Katagami-shi,潟上市
Kitaakita-shi,きたあきたし
Yurihonjō-shi,由利本荘市
Abashiri-gun,網走郡
Akan-gun,阿寒郡
Akkeshi-gun,厚岸郡
Ashoro-gun,足寄郡
Esashi Gun,枝幸郡
Furuu-gun,古宇郡
Futami-gun,二海郡
Hidaka-gun,日高郡
Horoizumi-gun,幌泉郡
Ishikari-gun,石狩郡
Isoya-gun,磯谷郡
Kabato-gun,樺戸郡
Kasai-gun,河西郡
Katō-gun,河東郡
Kawakami-gun,川上郡
Kudō-gun,久遠郡
Mashike-gun,増毛郡
Matsumae-gun,松前郡
Menashi-gun,目梨郡
Monbetsu Gun,紋別郡
Nakagawa Gun,中川郡
Nakagawa-gun,中川郡
Niikappu-gun,新冠郡
Nishi-gun,爾志郡
Notsuke-gun,野付郡
Rumoi Gun,留萌郡
Samani-gun,様似郡
Saru-gun,沙流郡
Setana-gun,瀬棚郡
Shakotan-gun,積丹郡
Shari-gun,斜里郡
Shibetsu-gun,標津郡
Shimamaki-gun,島牧郡
Shiranuka-gun,白糠郡
Shiraoi-gun,白老郡
Sorachi-gun,空知郡
Sōya Gun,宗谷郡
Suttsu-gun,寿都郡
Tokachi-gun,十勝郡
Tokoro-gun,常呂郡
Urukawa-gun,浦河郡
Uryū Gun,雨竜郡
Usu-gun,有珠郡
Yamakoshi-gun,山越郡
Yūbari-gun,夕張郡
Yūfutsu-gun,勇払郡
