José Luis Panizo,ホセ・ルイス・パニーソ
Enrique Jiménez Fernández,エンリケ・エル・メジーソ
Oliver Torres,オリベル・トーレス
Alejandro Valverde,アレハンドロ・バルベルデ
Yoana Martínez,ヨアナ・マルティネス
Ernest Maragall,エルネスト・マラガイ
Ana Torrent,アナ・トレント
Antonio Jesús López Nieto,アントニオ・ロペス・ニエト
Antonio Pérez del Hierro,アントニオ・ペレス
Antonio Resines,アントニオ・レシネス
Caridad Mercader,エウスタキア・マリーア・カリダド・デル・リオ・エルナンデス
Carlos Arévalo,カルロス・アレバロ
Carlos Arniches,カルロス・アルニーチェス
Marta Sánchez,マルタ・サンチェス
Alessandra Aguilar,アレッサンドラ・アギラル
Guillermo Timoner,ギジェルモ・ティモネル
Miguel de Fuenllana,ミゲル・デ・フエンリャーナ
Iván Moreno y Fabianesi,イバン・モレノ・イ・ファビアネシ
Francisco Javier de Istúriz,フランシスコ・ハビエル・デ・イストゥリズ
Juan Gómez "Chicuelo",フアン・ゴメス・「チクエロ」
Aitana Sánchez-Gijón,アイタナ・サンチェス＝ギヨン
Iván Pérez Muñoz,イバン・ペレス・ムニョス
Manuel Sanchis Martínez,マヌエル・サンチス・マルティネス
Fernando Yáñez de la Almedina,フェルナンド・イェーネス・デ・ラ・アルメディナ
Verónica Echegui,ベロニカ・エチェーギ
Moshé ben Sem Tob de León,モーシェ・デ・レオン
Rafaela Porras y Ayllón,ラファエラ・マリア
Cristian López,クリスティアン・ロペス
Lucas Alcaraz,ルーカス・アルカラス
Carlos Barral,カルロス・バラル
Miriam Blasco,ミリアム・ブラスコ
Pablo Gargallo,パブロ・ガルガーリョ
Alberto Martín Magret,アルベルト・マルティン
Carolina Marín,カロリーナ・マリン
Antonio Albacete,アントニオ・アルバセテ
Federico Mayor Zaragoza,フェデリコ・マヨール
Federico Mompou,フェデリコ・モンポウ
Antonio Aguilar y Correa,アントニオ・アギラ
Carlos Cardús,カルロス・カルダス
Carlos Casagemas,カルロス・カサヘマス
Lluís Homar,ルイス・オマール
Cristóbal Montoro,クリストバル・モントーロ
José Luis Pellicer,ホセ・ルイス・ペリサ
Eloy Olaya,エロイ・オラージャ
Raimon Panikkar,ライモン・パニカール
José Garcia,ホセ・ガルシア
Juan Díaz Canales,フアン・ディアス・カナレス
María Bayo,マリア・バーヨ
Fernando Manzaneque,フェルナンド・マンサネーケ
Julián Arcas,フリアン・アルカス
Roberto Jiménez Gago,ロベルト・ヒメネス
Miguel Ángel Nieto de la Calle,ミゲル・アンヘル・ニエト
Pedro Martín,ペドロ・ホセ・マルティン・モレノ
Blanca Portillo,ブランカ・ポルティーリョ
Carmen Sevilla,カルメン・セビリア
Jerónimo Grimaldi,グリマルディ公爵
Antonio Moreno,アントニオ・モレノ
Antonio Aranda Mata,アントニオ・アランダ
Teresa Riera,テレサ・リエラ
Ángel Montoro Sánchez,アンヘル・モントロ
Juan Francisco de Güemes,フアン・フランシスコ・デ・グエメス
Gioconda Belli,ジョコンダ・ベッリ
Inés Sastre,イネス・サストレ
Axel Pons,アクセル・ポンス
Juan Oró,ジュアン・ウロー
Carolina Routier,カロリナ・ルーチェ
Carmelo Cedrún,カルメロ・セドゥルン
Enrique Saura Gil,エンリケ・サウラ
Elena Valenciano,エレーナ・バレンシアーノ
Carlos Costa,カルロス・コスタ
Rafael Pascual,ラファエル・パスカル
Diego Luis de San Vitores,ディエゴ・ルイス・デ・サン・ビトレス
Ramón Calderé,ラモン・カルデレ
Severino Reija,セベリーノ・レイヤ
Marcos Alonso Peña,マルコス・アロンソ・ペーニャ
Arly Jover,アルリ・ホベール
Eve Gordon,イヴ・ゴードン
Jordi Pujol,ジョルディ・プジョル
Fernán Caballero,フェルナン・カバリェーロ
Antonio Casas,アントニオ・カサス
Juan Navarro Baldeweg,フアン・ナバーロ・バルデヴェーグ
José Luis Ortiz Moreno,ホセ・ルイス・オルティス
Carlos Villarías,カルロス・ヴィラリャス
Carlos de Haes,カルロス・デ・アエス
Pablo Maqueda,パブロ・マケーダ
Daniel Fernández Artola,ダニエル・フェルナンデス・アルトラ
Ramón Cabanillas,ラモン・カバニージャス
Íñigo Ortiz de Retes,イニゴ・オルティス・デ・レテス
Íñigo Vélez de Guevara y Tassis,イニゴ・ベレス・デ・ゲバラ
Bárbara Dührkop,バーバラ・デュルコップ
José María Zárraga,ホセ・マリア・サラガ
Carlos Osoro Sierra,カルロス・オソロ
La Argentina,ラ・アルヘンティーナ
Ñuflo de Chaves,ニュフロ・デ・チャベス
Óscar Domínguez,オスカー・ドミンゲス
Oona Chaplin,ウーナ・チャップリン
Pello Salaburu,ペリョ・サラブル
Leonida Georgievna Bagration,レオニーダ・バグラチオン＝ムフランスカヤ
Carlos Ruiz Herrero,カルロス・ルイス・エレーロ
Pedro Solbes,ペドロ・ソルベス
Carlos Martínez de Irujo y McKean,カルロス・マルティネス・デ・イルホ・イ・マッキーン
Gonzalo López-Gallego,ゴンサーロ・ロペス＝ガイェゴ
Carlos Torrent,カルロス・トレント
Néstor Calderón,ネストル・カルデロン
Federico Gravina,フェデリコ・グラビーナ
Antonio Cánovas del Castillo de Rey,アントニオ・カスティーヨ
Andrés Velencoso,アンドレス・ベレンコソ
David DeMaría,ダビド・デマリア
Ana de Mendoza de la Cerda,アナ・デ・メンドーサ
Guayre Betancor,アントニオ・グアイレ
Antonio Hernández,アントニオ・エルナンデス
Íñigo Cervantes Huegun,イニーゴ・セルバンテス
Íñigo Méndez de Vigo y Montojo,イニィゴ・メンデス・デ・ビゴ
Óscar Pujol,オスカル・プジョル
Antonio Colom,アントニオ・コロム
Baltasar Albéniz Martínez,バルタサル・アルベニス
Óscar García Junyent,オスカル・ガルシア
Óscar Javier González Marcos,オスカル・ハビエル・ゴンサレス・マルコス
Amr Waked,アムール・ワケド
Andrea Guasch,アンドレア・ガッシュ
Óscar López Hernández,オスカル・ロペス
Bartolomé Carducho,バルトロメ・カルドゥッチョ
Celso Bugallo Aguiar,セルソ・ブガーリョ
Joaquín Sánchez Rodríguez,ホアキン・サンチェス
Enrique Granados,エンリケ・グラナドス
Juan Martín Díez,フアン・マルティン・ディエス
Carmen Romero,カルメン・ロメーロ
César Azpilicueta,セサル・アスピリクエタ・タンコ
Pello Bilbao,ペリョ・ビルバオ
Juanra Cabrero,フアン・ラモン・カブレーロ
Laureano Sanabria Ruiz,ラウレアーノ・サナブリア・ルイス
José Ángel Valdés,ホセ・アンヘル
Chema Madoz,チェマ・マドス
Ion Izagirre,ホン・イサヒレ
José Ramón Elizondo,ホセ・ラモン・エリソンド
Antonio Gamoneda,アントニオ・ガモネーダ
Antonio García Gutiérrez,アントニオ・ガルシア・グティエレス
Jonathan Castroviejo,ホナタン・カストロビエホ
Albert Crusat,アルベルト・クルサット
Diego Costa,ジエゴ・ダ・シウヴァ・コスタ
Albert Ramos,アルベルト・ラモス
Soledad Torres Acosta,マリーア・ソレダ・トーレス・アコスタ
Miguel Reina,ミゲル・レイナ
Migueli,ミゲル・ベルナルド
Albert Celades,アルベルト・セラーデス
Bartolomé de Carranza,バルトロメ・カランサ
Chano Domínguez,チャノ・ドミンゲス
Francisco Fernández de Capillas,フランシスコ・フェルナンデス・デ・カピリャス
Lorenzo Sanz,ロレンソ・サンス
Iván Helguera,イバン・エルゲラ
Juan Marsé,フアン・マルセー
Ignacio Zuloaga,イグナシオ・スロアガ
Óscar Sevilla,オスカル・セビリャ
Óscar Serrano Rodríguez,オスカル・セラーノ
Benito Arias Montano,ベニート・アリアス・モンターノ
Benito Zambrano,ベニート・サンブラーノ
Raquel del Rosario,ラケル・デル・ロサリオ
David Albelda,ダビド・アルベルダ
Gaizka Mendieta,ガイスカ・メンディエタ
Luis García Sanz,ルイス・ハビエル・ガルシア・サンス
Tirso de Molina,ティルソ・デ・モリーナ
Juan Carreño de Miranda,フアン・カレーニョ・デ・ミランダ
Ladislao Kubala,ラディスラオ・クバラ
Carlos Saura,カルロス・サウラ
Marco Banderas,マルコ・バンデラス
Manuel Gómez Pedraza,マヌエル・ゴメス・ペドラサ
Héctor Faubel,エクトル・ファウベル
Salvador González Marco,サルバドール・ゴンサーレス・マルコ
Gaspar de Zúñiga y Avellaneda,ガスパール・デ・スニガ・イ・アベリャネダ
Luis Rodríguez Moya,ルイス・モヤ
Rosalía Mera,ロザリア・メラ
Unai Emery,ウナイ・エメリ
George Gordon Meade,ジョージ・ミード
Gonzalo Castro Irizábal,ゴンサロ・カストロ・イリサバル
Miguel Flaño,ミゲル・フラーニョ
Bernardino Fernández de Velasco y Benavides,ベルナルディーノ・フェルナンデス・デ・ベラスコ
Antonio Mateos,アントニオ・マテオス
Antonio Mayáns,アントニオ・マヤン
David Bisbal,ダビッド・ビスバル
Ramón Mercader del Río,ラモン・メルカデル
Vicente Rodríguez Guillén,ビセンテ・ロドリゲス
Ricardo Zamora,リカルド・サモラ
Benja Martínez,ベンジャミン・マルティネス・マルティネス
Benjamín Noval,ベンハミン・ノバル
Laura del Sol,ラウラ・デル・ソル
Bodo Illgner,ボド・イルクナー
Neus Asensi,ネウス・アセンシー
Carlos Ruiz Zafón,カルロス・ルイス・サフォン
Antoni Caba,アントニ・カバ
Ruy López de Segura,ルイ・ロペス・デ・セグラ
Jeanette,ジャネット
Christian Poveda,クリスチャン・ポヴェダ
Antonio Nariño,アントニオ・ナリーニョ
Antonio Notario,アントニオ・ノタリート
Antonio León Ortega,アントニオ・レオン・オルテガ
Sofía de Borbón,ソフィア・デ・ボルボン
Alfonso Carlos de Borbón y Austria-Este,アルフォンソ・カルロス・デ・ボルボン
Javier Camuñas Gallego,ハビエル・カムーニャス
Damià Abella,ダミア・アベジャ・ペレス
Ramón Sampedro,ラモン・サンペドロ
José María García-Aranda,ホセ・マリア・ガルシア＝アランダ
Natalia Estrada,ナタリア・エストラーダ
Antonio de Pereda,アントニオ・デ・ペレーダ
Alfonso de Borbón y Dampierre,アルフォンソ・デ・ボルボーン
Antonio Mairena,アントニオ・マイレナ
Gregorio García de la Cuesta,グレゴリオ・ガルシア・デ・ラ・クエスタ
Diego de Pantoja,ディエゴ・デ・パントーハ
Hildegart Rodríguez Carballeira,イルデガルト・ロドリゲス・カルバリェイラ
Samuel Sánchez,サムエル・サンチェス
Santiago Carrillo,サンティアゴ・カリーリョ
Yohana Cobo,ヨアナ・コボ
Mariano José de Larra,マリアーノ・ホセ・デ・ラーラ
Javier Marías,ハビエル・マリアス
Bernardo Adam Ferrero,ベルナルド・アダム＝フェレーロ
Natasha Yarovenko,ナターシャ・ヤロヴェンコ
Maya Plisétskaya,マイヤ・プリセツカヤ
Antonio Rebollo,アントニオ・レボロ
Toño Martínez,アントニオ・ロドリゲス・マルティネス
Margot Cottens,マルゴット・コッテンス
Antonio Molino Rojo,アントニオ・モリノ・ロホ
Melcior Mauri,メルチョル・マウリ
Bernardo de Sandoval y Rojas,ベルナルド・デ・サンドーバル・イ・ロハス
Francisco Rodríguez Adrados,フランシスコ・ロドリゲス・アドラドス
Carina Mejías,マリーア・カリダッ・メヒーアス・サンチェス
Gómez IV Suárez de Figueroa y Córdoba,ゴメス・スワレス・デ・フィゲローア (フェリア公)
Philip Barker Webb,フィリップ・バーカー＝ウェッブ
Ignacio López Rayón,イグナシオ・ロペス・ラヨン
Manuel Jiménez Moreno "Chicuelo",マヌエル・ヒメネス・モレノ・"チクエロ"
Baldomero Galofre Jiménez,バルドメロ・ガロフレ・ヒメネス
Colin Cameron Davies,コリン・キャメロン・デイビーズ
Jorge Valdano,ホルヘ・バルダーノ
Chendo,ミゲル・ポルラン
Roldán Rodríguez,ロルダン・ロドリゲス
María Josefa Carmela de España,マリア・ホセファ・デ・ボルボン
Enric Llaudet,エンリク・リャウデット
Gaspar de Portolá,ガスパル・デ・ポルトラ
Fernando Guillén Cuervo,フェルナンド・ギリェン・クエルボ
Antonio Palomino,アントニオ・パロミーノ
Antonio Ruiz Pipó,アントニオ・ルイス＝ピポー
Fernando Guillén Gallego,フェルナド・ギリェン
Mariano Fortuny Madrazo,マリアノ・フォルトゥーニ・イ・マドラソ
Iñigo Larrainzar,イニゴ・ララインサル
Antonio Vega,アントニオ・ベガ
Miguel Pardeza,ミゲル・パルデサ
Juan Carlos Fresnadillo,ファン・カルロス・フレナディージョ
Facundo Bacardí,ドン・ファクンド・バカルディ
Isabel Muñoz Villalonga,イサベル・ムニョス
Miguel Mas,ミケル・マス・ガジャ
Josu Urrutia,ホス・ウルティア
Javi Fuego,ハビ・フエゴ
Vespasiano I Gonzaga,ヴェスパシアーノ・ゴンザーガ
Javier Clemente,ハビエル・クレメンテ
Antonio Suárez Vázquez,アントニオ・スアレス
Antonio Tapia,アントニオ・タピア
Antonio López Guerrero,アントニオ・ロペス
Albert Montañés,アルベルト・モンタニェス
Aarón Ñíguez,アーロン・ニゲス
Marino Lejarreta,マリノ・レハレタ
Gabriel Campillo,ガブリエル・カンピージョ
Jerónimo Saavedra,ヘロニモ・サーベドラ
Iñaki Azkuna,イニャキ・アスクナ
Enrique Líster,エンリケ・リステル
José Luis Mendilibar,ホセ・ルイス・メンディリバル
Javi de Pedro,ハビエル・デ・ペドロ
Rubén Baraja,ルベン・バラハ
Ana Botín,アナ・ボティン
Javier Baraja,ハビエル・バラハ・ベガス
Laura Valenzuela,ラウリタ・バレンスエラ
Joan Massagué Solé,ジュアン・マサグエ
José Ramón Sandoval,ホセ・ラモン・サンドバル
Pedro Pizarro,ペドロ・ピサロ
Nerea Camacho,ネレア・カマーチョ
Francisco de Paula de Borbón y Borbón,フランシスコ・デ・パウラ・デ・ボルボーン
José Padilla,パディラ
Imanol Erviti,イマノル・エルビティ
Ricardo Gallego,リカルド・ガジェゴ
Carlos Checa,カルロス・チェカ
Rafael Gordillo,ラファエル・ゴルディージョ
Marian Rivera,マリアン・リヴェラ
Guillermo Cabrera Infante,ギリェルモ・カブレラ＝インファンテ
Eladio Silvestre,エラディオ・シルベストレ
Francisco López de Mendoza y Mendoza,フランシスコ・ロペス・デ・メンドーサ
Periko Alonso,ペリコ・アロンソ
Nieves Navarro,ニエベス・ナバロ
Francisco Javier Muñoz Llompart,シスコ・ムニョス
Diego Laínez,ディエゴ・ライネス
Nuria Cabanillas,ヌリア・カバニーリャス
Tania Lamarca,タニア・ラマルカ
Kirmen Uribe,キルメン・ウリベ
Javi García,フランシスコ・ハビエル・ガルシア
Rubén Pérez Moreno,ルーベン・ペレス
Beñat Intxausti,ベニャト・インチャウスティ
Rodrigo Gil de Hontañón,ロドリゴ・ヒル・デ・オンタニョン
Björn Dunkerbeck,ビヨン・ダンカーベック
Àngel Rangel,アンヘル・ランヘル
Miguel Rafael Dávila Cuéllar,ミゲル・ダビラ
Aythami Artiles,アイタミ・アルティレス
Antonio Álvarez Giráldez,アントニオ・アルバレス
Carlos Antonio Muñoz Cobo,カルロス・ムニョス
Antonio del Amo,アントニオ・デル・アモ
Mikel Rico Moreno,ミケル・リコ
Conchita Nuñez,コンチータ・ヌニェス
Eduardo Pondal,エドゥアルド・ポンダル
Bingen Fernández,ビンゲン・フェルナンデス
José de Bustamante y Guerra,ホセ・デ・ブスタマンテ
Rosa Mauri,ロシタ・マウリ
Beatriz Enríquez de Arana,ベアトリクス
Simone Ortega,シモーネ・オルテガ
Fernando Navarro Corbacho,フェルナンド・ナバーロ
Manuel Castells Oliván,マニュエル・カステル
Francisco Javier Gómez Noya,ハビエル・ゴメス
Jesús Ángel García Bragado,ヘスース・アンヘル・ガルシア
Antonio Olaguer Feliú,アントニオ・オラゲール・イ・フェリウー
Antonio de Oquendo,アントニオ・デ・オケンド
Luis Antonio García Navarro,ルイス・アントニオ・ガルシア・ナバロ
Ricardo Darín,リカルド・ダリン
Rosalía de Castro,ロサリア・デ・カストロ
Miguel de Barrios,ミゲル・デ・バリオス
Ezequiel Mosquera,エセキエル・モスケラ
Antón Lamazares,アントン・ラマザレス
Fernando Arrabal,フェルナンド・アラバール
Laia Palau,ライア・パラウ
Eusebio Güell,エウゼビ・グエイ
Juanito Gómez,フアン・ゴメス・ゴンサレス
Miguel de Braganza,ミゲル2世・デ・ブラガンサ
Esther San Miguel Busto,エステール・サン・ミゲル
Jon Sobrino,ヨン・ソブリノ
Marc Clotet,マルク・クロテット
Cristian Llama,クリスティアン・リャマ
Pedro León,ペドロ・レオン
Toño de la Cruz,アントニオ・デラ・クルス
Antonio del Giudice,アントニオ・デル・ジュディーチェ
Mariano Enrique Calvo Cuéllar,マリアノ・エンリケ・カルボ
Carolina Pascual,キャロリーナ・パスクアル
José Bernardo de Tagle,ホセ・ベルナルド・デ・タグレ
Gonzalo Fernández Castaño,ゴンザロ・フェルナンデス＝カスタノ
Juan Diego Botto,ファン・ディエゴ・ボト
José María Ruiz-Mateos,ホセ・マリア・ルイス＝マテオス
Juan Martínez Montañés,フアン・マルティネス・モンタニェース
Jaime Nunó,ハイメ・ヌノ・ロカ
Jaime Lamo de Espinosa Michels de Champourcin,ハイメ・ラモ・デ・エスピノーサ
Laia Pons,ライア・ポンス
Manuel Pando Fernández de Pinedo,マヌエル・パンド・フェルナンデス・デ・ピネド
Xavi Torres,シャビ・トーレス
Alberto Undiano Mallenco,アルベルト・ウンディアーノ
Ramón María del Valle-Inclán,ラモン・マリア・デル・バリェ＝インクラン
Joan Laporta,ジョアン・ラポルタ
Rafael Moneo,ホセ・ラファエル・モネオ
José Durán Pérez,ホセ・デュラン
Héctor Font,エクトル・フォント
Manuel Bayeu,マヌエル・バイユー
Guillermo García López,ギリェルモ・ガルシア・ロペス
José Antonio Páez Herrera,ホセ・アントニオ・パエス
Luis Santaló,ルイス・サンタロー
Gerardo Torrado,ヘラルド・トラード
Patxi López,パチ・ロペス
María Moliner,マリア・モリネール
Lina Romay,ゼウディ・アラヤ
Fray Luis de Granada,ルイス・デ・グラナダ
José Antonio Camacho,ホセ・アントニオ・カマーチョ
Joaquín Almunia,ホアキン・アルムニア
Carlos Verona,カルロス・ベロナ
Juan Carlos Valerón,フアン・カルロス・バレロン
Francisco Ayala,フランシスコ・アヤラ
Pilar López de Ayala,ピラール・ロペス・デ・アジャラ
Alba Torrens,アルバ・トレンス
Diego Velázquez de Cuéllar,ディエゴ・ベラスケス・デ・クエリャル
Fernando Primo de Rivera y Sobremonte,フェルナンド・プリモ・デ・リベラ
Francisco de Miranda,フランシスコ・デ・ミランダ
José Montilla,ホセ・モンティーリャ
Joseba Etxeberria,ホセバ・エチェベリア
Juan Carlos Navarro,フアン・カルロス・ナバーロ
Patricia Moreno,パトリシア・モレーノ
José Azcona del Hoyo,ホセ・アスコナ・デル・オヨ
Antón García Abril,アントン・アブリル
Elvira de Hidalgo,エルビーラ・デ・イダルゴ
Sem Tob,シェム・トブ・ベン・イサク・アルドゥティエル
Manuel Gómez Pereira,マヌエル・ゴメス・ペレイラ
Derik Osede,デリク・オセデ
Antonio Cubillo,アントニオ・クビージョ
Gonzalo de Berceo,ゴンサロ・デ・ベルセオ
Mariano Lagasca,マリアーノ・ラガスカ・イ・セグーラ
Buenaventura Carlos Aribau,ブエナベントゥラ・カルロス・アリバウ
Carmen Valero,カルメン・バレロ
Alonso de Santa Cruz,アロンソ・デ・サンタ＝クルス
Ricardo Alós,リカルド・アロス
Lola Forner,ローラ・フォルネル
Gloria Lasso,グロリア・ラッソ
Julio Velázquez,フリオ・ベラスケス
Rafael Masó i Valentí,ラファエル・マゾー
Silvestre Vélez de Escalante,シルベストレ・ベレス・デ・エスカランテ
Tristán de Luna y Arellano,トリスタン・デ・ルナ・イ・アレヤーノ
Carlos del Cerro Grande,カルロス・デル・セロ・グランデ
Miguel Poveda,ミゲル・ポベダ
Valeri Karpin,ヴァレリー・カルピン
Marc Bartra,マルク・バルトラ
Luis Francisco de la Cerda,ルイス・フランシスコ・デ・ラ・セルダ
Salvador Meliá,サルバドール・メリア
Félix J. Palma,フェリクス・J・パルマ
Dulce Chacón,ドゥルセ・チャコン
Daniel Carasso,ダニエル・カラソ
Enrique de Guzmán,エンリケ・デ・グスマン・イ・リベラ
Claudia Bassols,クラウディア・バソル
Andrea Orlandi,アンドレア・オルランディ
Grandizo Munis,グランディーソ・ムニス
Mariana Pineda,マリアナ・ピネダ
Julián Palacios,フリアン・パラシオス
Isidre Esteve,イシドル・エステべ・プジョル
Bigas Luna,ビガス・ルナ
Cristina Garmendia,クリスティーナ・ガルメンディア
Dani Pacheco,ダニエル・パチェコ
Sandro Rosell,サンドロ・ロセイ
Nikola Mirotić,ニコラ・ミロティッチ
Dani Abalo,ダニ・アバロ
Josep Lluís Sert,ホセ・ルイ・セルト
José Luis Arrieta,ホセ・ルイス・アリエタ
Grigory Sokolov,グリゴリー・ソコロフ
Dani Aranzubia,ダニエル・アランスビア
Sebastián Coates,セバスティアン・コアテス
Víctor de la Parte,ビクトル・デ・ラ・パルテ
Sergi Bruguera,セルジ・ブルゲラ
Miguel Ángel Nadal,ミゲル・アンヘル・ナダル
Nora Navas,ノラ・ナバス
Michelle Jenner,ミシェル・ジェナー
Victor Veljko Paunović Ramírez,ヴェリコ・パウノヴィッチ
Nicolás Terol,ニコラス・テロル
Íñigo Cuesta,イニィーゴ・クエスタ
Camarón de la Isla,カマロン・デ・ラ・イスラ
Sancho IV de Castilla,サンチョ4世
Santi Ezquerro,サンティアゴ・エスケーロ
Francisco Largo Caballero,フランシスコ・ラルゴ・カバジェーロ
Asier del Horno,アシエル・デル・オルノ
Telmo Zarra,テルモ・サラ
Miliki,エミリオ・アラゴン・ベルムデス
Josep Borrell,ジョセップ・ボレル
Alejandro Farnesio,アレッサンドロ・ファルネーゼ
Eva Forest,エヴァ・フォレスト
Salvador Ibáñez,サルバドール・イバニェス
Manuel Marín,マヌエル・マリン
Philippe Coutinho,フィリペ・コウチーニョ
Mauricio Pochettino,マウリシオ・ポチェッティーノ
He Zhi Wen,何志文
Pablo Puyol,パブロ・プジョル
Ricky Cardús González,リカルド・カルダス
Mikel San José,ミケル・サン・ホセ
Rudy Fernández,ルディ・フェルナンデス
Albert Luque,アルベルト・ルケ
Garcilaso de la Vega,ガルシラーソ・デ・ラ・ベーガ
Paco Rabanne,パコ・ラバンヌ
Alberto Ruiz-Gallardón,アルベルト・ルイス＝ガリャルドン
Saúl Ñíguez,サウル・ニゲス
Dani Solà,ダニエル・ソラ
Pablo Nieto,パブロ・ニエト
Joan Manuel Serrat,ホアン・マヌエル・セラート
Juan Negrín,フアン・ネグリン・ロペス
Alexis Ruano,アレクシス・ルアーノ
Daniel Sánchez Gálvez,ダニエル・サンチェス・ガルベス
Daniel Giménez Cacho,ダニエル・ヒメネス・カチョ
Dani Ruiz Bazán,ダニエル・ルイス
David Aganzo,デビッド・アガンゾ
David Cerrajería,ダビド・セラヘリア
David Cuartero Sánchez,ダビド・クアルテロ・サンチェス
Imperio Argentina,インペリオ・アルヘンティーナ
Rosa Chacel,ロサ・チャセル
Dani Navarro,ダニエル・ナバーロ
Pedro Ponce de León,ペドロ・ポンセ・デ・レオン
José Luis García del Pozo,ホセ・ルイス・ガルシア・デル・ポソ
Antonio makakinho,アントニオ・バラガン
Alberto Botía,アルベルト・ボティア
José María Jiménez,ホセ・マリア・ヒメネス
Diego de Almagro el Mozo,ディエゴ・アルマグロ2世
Mabel Rivera,マベル・リベラ
David Castedo,ダビド・カステド
Roberto Bodegas,ロベルト・ボデガ
Dámaso Alonso,ダマソ・アロンソ
Raúl Tamudo,ラウール・タムード
David Belda,デイビット・ベルダ
David Fernández Borbalán,ダビド・フェルナンデス・ボルバラン
David Generelo,デビッド・ジェネレロ
Raül Romeva,ラウル・ルメーバ・イ・ルエーダ
Antonio Garrido,アントニオ・ガリード (ゴルファー)
Martín de Álzaga,マルティン・デ・アルサガ
Elena Furiase,エレナ・フリアセ
Marcelo González Martín,マルセロ・ゴンサレス・マルティン
David Russell,デイヴィッド・ラッセル (ギター奏者)
Clemente Domínguez,クレメンテ・ドミンゲス
Isidro Lángara,イシドロ・ランガラ
Juan Luis Cebrián,フアン・ルイス・セブリアン
Claudio Bravo,クラウディオ・ブラーボ
Pedro Morenés,ペドロ・モレネス
Pedro Obiang,ペドロ・オビアング
Marc Muniesa,マルク・ムニエッサ
Luis Carrero Blanco,ルイス・カレーロ・ブランコ
Juan Arango,フアン・アランゴ
Héctor Moreno,エクトル・モレノ
José Carlos Somoza,ホセ・カルロス・ソモーサ
Alicia Giménez Bartlett,アリシア・ヒメーネス・バルトレット
Víctor Fernández,ビクトル・フェルナンデス
Jaume Balagueró,ジャウマ・バラゲロ
"Leopoldo Alas, Clarín",レオポルド・アラス・クラリン
Miguel Ángel Angulo,ミゲル・アンヘル・アングロ
Francisco Tárrega,フランシスコ・タレガ
Ignacio Agramonte,イグナシオ・アグラモンテ・イ・ロイナズ
Sergio García de la Fuente,セルヒオ・ガルシア
Álvaro de Mendaña,アルバロ・デ・メンダーニャ・デ・ネイラ
Juan de Escalante,フアン・デ・エスカランテ
Miquel Soler,ミケル・ソレール
Sebastián Mora,セバスチャン・モラ
Papus,ジェラール・アンコース
Néstor Luján,ネストゥル・ルハン
Domingo Villar,ドミンゴ・ビジャール
David Montero,ダーフィト・モンテーロ
Antonio González y González,アントニオ・ゴンサレス・イ・ゴンサレス
Asier Maeztu Villabeitia,アシエル・マエストゥ
Óscar Jaenada,オスカル・ハエナダ
Pedro Espinosa,ペドロ・エスピノサ
Pablo Herrera Allepuz,パブロ・エレラ
Santiago Rodríguez Bonome,サンティアゴ・ロドリゲス・ボノメ
Delfí Geli,デルフィ・ヘリ
Félix de Azara,フェリックス・デ・アサーラ
Carlos Marín,カルロス・マリン
Federico Moreno Torroba,フェデリコ・モレーノ・トローバ
Pedro de Alcántara,アルカンタラの聖ペドロ
José Antonio Labordeta,ホセ・アントニオ・ラボルデータ
Fernando Martín,フェルナンド・マルティン
Ángel Nieto Jr.,アンヘル・ニエト・ジュニア
Félix Sesúmaga,フェリックス・セスマガ
Sergio G. Sánchez,セルヒオ・G・サンチェス
Pedro Gil Gómez,ペドロ・ヒル・ゴメス
Alejo Vidal-Quadras,アレホ・ビダル＝クアドラス・ロカ
Daniel Diges,ダニエル・ディヘス
Javier Garrido Behobide,ハビエル・ガリード
Jesús Moncada,ジャズス・ムンカダ
Hernando de Luque,エルナンド・デ・ルケ
Joaquim Rodríguez,ホアキン・ロドリゲス
Albert Jorquera,アルベルト・ジョルケラ
Juan Crisóstomo de Arriaga,ホアン・クリソストモ・アリアーガ
Oleguer Presas,オレゲール・プレサス
Joan Triadú,ジュアン・トゥリアドゥ
Niceto Alcalá-Zamora,ニセト・アルカラ＝サモラ
Fran Mérida,フラン・メリダ
José Manuel Pita Andrade,ホセ・マヌエル・ピタ・アンドラーデ
Martín Cortés de Albacar,マルティン・コルテス
Pedro Schwartz,ペドロ・シュワルツ
Peru Zaballa,ペドロ・サバリャ
José Cubiles,ホセ・クビレス
Sergi Vidal,セルジ・ビダル
Kirill Jalyavin,キリル・ハリャヴィン
Juan Ignacio Luca de Tena,フアン・イグナシオ・ルカ・デ・テナ
Alfonso Sastre,アルフォンソ・サストレ
Javier Sierra,ハビエル・シエラ
Cipriano Portocarrero,テバ伯爵シプリアノ・パラフォス・ポルトカリェロ
Diego Durán,ディエゴ・ドゥラン
Javi Márquez,ハビ・マルケス
Gonzalo Soriano,ゴンサロ・ソリアーノ
Fernando Sunyer Balaguer,フェラン・スニェール
Serge Ibaka,セルジ・イバカ
Pedro Antonio de Alarcón,ペドロ・アントニオ・デ・アラルコン
Jordi Vinyals,ジョルディ・ヴィニャルス
Pere Domènech i Roura,ペレ・ドメネク・イ・ロウラ
José Carreras,ホセ・カレーラス
Diego Ribero,ディオゴ・リベイロ
Diego de Covarrubias,ディエゴ・デ・コバルビアス
Fernando Amorebieta,フェルナンド・アモレビエタ
